Fiscal year,CIDA business delivery model (old),CountryRegion ID,Biodiversity (marker),Organisation name,Division ID,Programming process (new),Division name,Continent ID,Section ID,Project number,Trade development (marker),Branch name,Continent name,CountryRegion percent,Status,Maximum CIDA contribution (project-level),Branch ID,Section name,Regional program (marker),Fund centre ID,Fund centre name,Untied amount(Project-level budget),FSTC percent,IRTC percent,CFLI (marker),Bilateral aid (international marker),PBA type,Enviromental sustainability (marker),Climate change adaptation (marker),Climate change mitigation (marker),Desertification (marker),Participatory development and good governance
2009/2010,Responsive,SL,0,ECOWAS - Economic Community of West Africa States,D4207,Uncoded: Pre-APP,WWD West & Central Africa,2,S4249,A031988003,0,WGM Sub-Saharan Africa,Africa,0.0668,Closed,3749951.8,B4200,Gulf of Guinea Program,1,4310,Central & West Africa Regional Program,3749951.8,1.0,0.0,0,1,Not PBA,0,0,0,0,0
2009/2010,Responsive,SN,0,ECOWAS - Economic Community of West Africa States,D4207,Uncoded: Pre-APP,WWD West & Central Africa,2,S4249,A031988003,0,WGM Sub-Saharan Africa,Africa,0.0666,Closed,3749951.8,B4200,Gulf of Guinea Program,1,4310,Central & West Africa Regional Program,3749951.8,1.0,0.0,0,1,Not PBA,0,0,0,0,0
2009/2010,Responsive,TG,0,ECOWAS - Economic Community of West Africa States,D4207,Uncoded: Pre-APP,WWD West & Central Africa,2,S4249,A031988003,0,WGM Sub-Saharan Africa,Africa,0.0666,Closed,3749951.8,B4200,Gulf of Guinea Program,1,4310,Central & West Africa Regional Program,3749951.8,1.0,0.0,0,1,Not PBA,0,0,0,0,0
2009/2010,Directive,LK,0,Department of Foreign Affairs and International Trade,D4100,Uncoded: Pre-APP,OAD Asia Programming,3,S4141,A031998001,0,OGM Asia Pacific,Asia,1.0,Closed,3499415.5,B4100,"OAA Afghanistan, Pakistan and Sri Lanka",0,4118,Sri Lanka,3499415.5,1.0,0.0,0,1,Not PBA,0,0,0,0,0
2009/2010,Directive,LK,0,Information not available,D4100,Uncoded: Pre-APP,OAD Asia Programming,3,S4141,A031998001,0,OGM Asia Pacific,Asia,1.0,Closed,3499415.5,B4100,"OAA Afghanistan, Pakistan and Sri Lanka",0,4118,Sri Lanka,3499415.5,1.0,0.0,0,1,Not PBA,0,0,0,0,0
2009/2010,Directive,LK,0,Information not available,D4100,Uncoded: Pre-APP,OAD Asia Programming,3,S4141,A031998001,0,OGM Asia Pacific,Asia,1.0,Closed,3499415.5,B4100,"OAA Afghanistan, Pakistan and Sri Lanka",0,4118,Sri Lanka,3499415.5,1.0,0.0,0,1,Not PBA,0,0,0,0,0
2009/2010,Directive,LK,0,Department of Foreign Affairs and International Trade,D4100,Uncoded: Pre-APP,OAD Asia Programming,3,S4141,A031998001,0,OGM Asia Pacific,Asia,1.0,Closed,3499415.5,B4100,"OAA Afghanistan, Pakistan and Sri Lanka",0,4118,Sri Lanka,3499415.5,1.0,0.0,0,1,Not PBA,0,0,0,0,0
2009/2010,Directive,LK,0,Information not available,D4100,Uncoded: Pre-APP,OAD Asia Programming,3,S4141,A031998001,0,OGM Asia Pacific,Asia,1.0,Closed,3499415.5,B4100,"OAA Afghanistan, Pakistan and Sri Lanka",0,4118,Sri Lanka,3499415.5,1.0,0.0,0,1,Not PBA,0,0,0,0,0
2009/2010,Directive,LK,0,Information not available,D4100,Uncoded: Pre-APP,OAD Asia Programming,3,S4141,A031998001,0,OGM Asia Pacific,Asia,1.0,Closed,3499415.5,B4100,"OAA Afghanistan, Pakistan and Sri Lanka",0,4118,Sri Lanka,3499415.5,1.0,0.0,0,1,Not PBA,0,0,0,0,0
2009/2010,Directive,LK,0,Department of Foreign Affairs and International Trade,D4100,Uncoded: Pre-APP,OAD Asia Programming,3,S4141,A031998001,0,OGM Asia Pacific,Asia,1.0,Closed,3499415.5,B4100,"OAA Afghanistan, Pakistan and Sri Lanka",0,4118,Sri Lanka,3499415.5,1.0,0.0,0,1,Not PBA,0,0,0,0,0
2009/2010,Directive,LK,0,Information not available,D4100,Uncoded: Pre-APP,OAD Asia Programming,3,S4141,A031998001,0,OGM Asia Pacific,Asia,1.0,Closed,3499415.5,B4100,"OAA Afghanistan, Pakistan and Sri Lanka",0,4118,Sri Lanka,3499415.5,1.0,0.0,0,1,Not PBA,0,0,0,0,0
2009/2010,Directive,LK,0,Information not available,D4100,Uncoded: Pre-APP,OAD Asia Programming,3,S4141,A031998001,0,OGM Asia Pacific,Asia,1.0,Closed,3499415.5,B4100,"OAA Afghanistan, Pakistan and Sri Lanka",0,4118,Sri Lanka,3499415.5,1.0,0.0,0,1,Not PBA,0,0,0,0,0
2009/2010,Directive,ML,0,Department of Foreign Affairs and International Trade,D4207,Uncoded: Pre-APP,WWD West & Central Africa,2,S4215,A032009001,0,WGM Sub-Saharan Africa,Africa,1.0,Operational,20000000.0,B4200,Mali Program Section,0,4216,Mali,20000000.0,0.3,0.0,0,1,Other PBA,0,0,0,0,1
2009/2010,Directive,ML,0,CRC Sogema Inc.,D4207,Uncoded: Pre-APP,WWD West & Central Africa,2,S4215,A032009001,0,WGM Sub-Saharan Africa,Africa,1.0,Operational,20000000.0,B4200,Mali Program Section,0,4216,Mali,20000000.0,0.3,0.0,0,1,Other PBA,0,0,0,0,1
2009/2010,Directive,ML,0,CAC International,D4207,Uncoded: Pre-APP,WWD West & Central Africa,2,S4215,A032009001,0,WGM Sub-Saharan Africa,Africa,1.0,Operational,20000000.0,B4200,Mali Program Section,0,4216,Mali,20000000.0,0.3,0.0,0,1,Other PBA,0,0,0,0,1
2009/2010,Directive,ML,0,AGENCE NATIONALE D'INVESTISSEMENTS DES COLLECTIVIT�S TERRITORIALES,D4207,Uncoded: Pre-APP,WWD West & Central Africa,2,S4215,A032009001,0,WGM Sub-Saharan Africa,Africa,1.0,Operational,20000000.0,B4200,Mali Program Section,0,4216,Mali,20000000.0,0.3,0.0,0,1,Other PBA,0,0,0,0,1
2009/2010,Directive,ML,0,GESTION DE PROJET LB INC.,D4207,Uncoded: Pre-APP,WWD West & Central Africa,2,S4215,A032009001,0,WGM Sub-Saharan Africa,Africa,1.0,Operational,20000000.0,B4200,Mali Program Section,0,4216,Mali,20000000.0,0.3,0.0,0,1,Other PBA,0,0,0,0,1
2009/2010,Directive,ML,0,Department of Foreign Affairs and International Trade,D4207,Uncoded: Pre-APP,WWD West & Central Africa,2,S4215,A032009001,0,WGM Sub-Saharan Africa,Africa,1.0,Operational,20000000.0,B4200,Mali Program Section,0,4216,Mali,20000000.0,0.3,0.0,0,1,Other PBA,0,0,0,0,1
2009/2010,Directive,ML,0,CRC Sogema Inc.,D4207,Uncoded: Pre-APP,WWD West & Central Africa,2,S4215,A032009001,0,WGM Sub-Saharan Africa,Africa,1.0,Operational,20000000.0,B4200,Mali Program Section,0,4216,Mali,20000000.0,0.3,0.0,0,1,Other PBA,0,0,0,0,1
2009/2010,Directive,ML,0,CAC International,D4207,Uncoded: Pre-APP,WWD West & Central Africa,2,S4215,A032009001,0,WGM Sub-Saharan Africa,Africa,1.0,Operational,20000000.0,B4200,Mali Program Section,0,4216,Mali,20000000.0,0.3,0.0,0,1,Other PBA,0,0,0,0,1
2009/2010,Directive,ML,0,AGENCE NATIONALE D'INVESTISSEMENTS DES COLLECTIVIT�S TERRITORIALES,D4207,Uncoded: Pre-APP,WWD West & Central Africa,2,S4215,A032009001,0,WGM Sub-Saharan Africa,Africa,1.0,Operational,20000000.0,B4200,Mali Program Section,0,4216,Mali,20000000.0,0.3,0.0,0,1,Other PBA,0,0,0,0,1
2009/2010,Directive,ML,0,GESTION DE PROJET LB INC.,D4207,Uncoded: Pre-APP,WWD West & Central Africa,2,S4215,A032009001,0,WGM Sub-Saharan Africa,Africa,1.0,Operational,20000000.0,B4200,Mali Program Section,0,4216,Mali,20000000.0,0.3,0.0,0,1,Other PBA,0,0,0,0,1
2009/2010,Directive,MA,0,Department of Foreign Affairs and International Trade,D3100,Uncoded: Pre-APP,EDD Europe-Middle East Programming,2,S4256,A032014001,0,"EGM Europe, Middle East and Maghreb",Africa,1.0,Closed,13850836.19,B3100,Middle East and North Africa,0,4260,Morocco,13850836.19,1.0,0.0,0,1,Not PBA,0,0,0,0,1
2009/2010,Directive,MA,0,CRC Sogema Inc.,D3100,Uncoded: Pre-APP,EDD Europe-Middle East Programming,2,S4256,A032014001,0,"EGM Europe, Middle East and Maghreb",Africa,1.0,Closed,13850836.19,B3100,Middle East and North Africa,0,4260,Morocco,13850836.19,1.0,0.0,0,1,Not PBA,0,0,0,0,1
2009/2010,Directive,MA,0,Information not available,D3100,Uncoded: Pre-APP,EDD Europe-Middle East Programming,2,S4256,A032014001,0,"EGM Europe, Middle East and Maghreb",Africa,1.0,Closed,13850836.19,B3100,Middle East and North Africa,0,4260,Morocco,13850836.19,1.0,0.0,0,1,Not PBA,0,0,0,0,1
2009/2010,Directive,MA,0,Department of Foreign Affairs and International Trade,D3100,Uncoded: Pre-APP,EDD Europe-Middle East Programming,2,S4256,A032014001,0,"EGM Europe, Middle East and Maghreb",Africa,1.0,Closed,13850836.19,B3100,Middle East and North Africa,0,4260,Morocco,13850836.19,1.0,0.0,0,1,Not PBA,0,0,0,0,1
2009/2010,Directive,MA,0,CRC Sogema Inc.,D3100,Uncoded: Pre-APP,EDD Europe-Middle East Programming,2,S4256,A032014001,0,"EGM Europe, Middle East and Maghreb",Africa,1.0,Closed,13850836.19,B3100,Middle East and North Africa,0,4260,Morocco,13850836.19,1.0,0.0,0,1,Not PBA,0,0,0,0,1
2009/2010,Directive,MA,0,Information not available,D3100,Uncoded: Pre-APP,EDD Europe-Middle East Programming,2,S4256,A032014001,0,"EGM Europe, Middle East and Maghreb",Africa,1.0,Closed,13850836.19,B3100,Middle East and North Africa,0,4260,Morocco,13850836.19,1.0,0.0,0,1,Not PBA,0,0,0,0,1
2009/2010,Directive,MA,0,Department of Foreign Affairs and International Trade,D3100,Uncoded: Pre-APP,EDD Europe-Middle East Programming,2,S4256,A032014001,0,"EGM Europe, Middle East and Maghreb",Africa,1.0,Closed,13850836.19,B3100,Middle East and North Africa,0,4260,Morocco,13850836.19,1.0,0.0,0,1,Not PBA,0,0,0,0,1
2009/2010,Directive,MA,0,CRC Sogema Inc.,D3100,Uncoded: Pre-APP,EDD Europe-Middle East Programming,2,S4256,A032014001,0,"EGM Europe, Middle East and Maghreb",Africa,1.0,Closed,13850836.19,B3100,Middle East and North Africa,0,4260,Morocco,13850836.19,1.0,0.0,0,1,Not PBA,0,0,0,0,1
2009/2010,Directive,MA,0,Information not available,D3100,Uncoded: Pre-APP,EDD Europe-Middle East Programming,2,S4256,A032014001,0,"EGM Europe, Middle East and Maghreb",Africa,1.0,Closed,13850836.19,B3100,Middle East and North Africa,0,4260,Morocco,13850836.19,1.0,0.0,0,1,Not PBA,0,0,0,0,1
2009/2010,Responsive,PE,0,Consorcio de Investigacion Economica y Social,D4400,Uncoded: Pre-APP,NDD Americas Programming,1,S4413,A032016001,0,NGM Americas,America,1.0,Closed,4665641.74,B4400,South America,0,4424,Peru,4665641.74,1.0,0.0,0,1,Not PBA,1,0,0,0,1
2009/2010,Responsive,PE,0,Consorcio de Investigacion Economica y Social,D4400,Uncoded: Pre-APP,NDD Americas Programming,1,S4413,A032016001,0,NGM Americas,America,1.0,Closed,4665641.74,B4400,South America,0,4424,Peru,4665641.74,1.0,0.0,0,1,Not PBA,1,0,0,0,1
2009/2010,Responsive,PE,0,Consorcio de Investigacion Economica y Social,D4400,Uncoded: Pre-APP,NDD Americas Programming,1,S4413,A032016001,0,NGM Americas,America,1.0,Closed,4665641.74,B4400,South America,0,4424,Peru,4665641.74,1.0,0.0,0,1,Not PBA,1,0,0,0,1
2009/2010,Directive,BF,0,Department of Foreign Affairs and International Trade,D4207,Uncoded: Pre-APP,WWD West & Central Africa,2,S4249,A032030001,0,WGM Sub-Saharan Africa,Africa,1.0,Closed,4995000.0,B4200,Gulf of Guinea Program,0,4214,Burkina Faso,4995000.0,1.0,0.0,0,1,Not PBA,0,0,0,0,0
2009/2010,Directive,BF,0,Information not available,D4207,Uncoded: Pre-APP,WWD West & Central Africa,2,S4249,A032030001,0,WGM Sub-Saharan Africa,Africa,1.0,Closed,4995000.0,B4200,Gulf of Guinea Program,0,4214,Burkina Faso,4995000.0,1.0,0.0,0,1,Not PBA,0,0,0,0,0
2009/2010,Directive,BF,0,Department of Foreign Affairs and International Trade,D4207,Uncoded: Pre-APP,WWD West & Central Africa,2,S4249,A032030001,0,WGM Sub-Saharan Africa,Africa,1.0,Closed,4995000.0,B4200,Gulf of Guinea Program,0,4214,Burkina Faso,4995000.0,1.0,0.0,0,1,Not PBA,0,0,0,0,0
2009/2010,Directive,BF,0,Information not available,D4207,Uncoded: Pre-APP,WWD West & Central Africa,2,S4249,A032030001,0,WGM Sub-Saharan Africa,Africa,1.0,Closed,4995000.0,B4200,Gulf of Guinea Program,0,4214,Burkina Faso,4995000.0,1.0,0.0,0,1,Not PBA,0,0,0,0,0
2009/2010,Responsive,LK,0,UNDP - United Nations Development Programme,D4100,Uncoded: Pre-APP,OAD Asia Programming,3,S4141,A032036006,0,OGM Asia Pacific,Asia,1.0,Closed,1200000.0,B4100,"OAA Afghanistan, Pakistan and Sri Lanka",0,4118,Sri Lanka,1200000.0,1.0,0.0,0,1,Not PBA,0,0,0,0,0
2009/2010,Core Funding,VN,0,Government of the Socialist Republic of Vietnam,D4100,Uncoded: Pre-APP,OAD Asia Programming,3,S4107,A032038001,0,OGM Asia Pacific,Asia,1.0,Closed,14624905.89,B4100,OAV Vietnam,0,4112,Vietnam,14624905.89,0.0,0.0,0,1,Sectoral budget support,0,0,0,0,0
2009/2010,Core Funding,VN,0,Government of the Socialist Republic of Vietnam,D4100,Uncoded: Pre-APP,OAD Asia Programming,3,S4107,A032038001,0,OGM Asia Pacific,Asia,1.0,Closed,14624905.89,B4100,OAV Vietnam,0,4112,Vietnam,14624905.89,0.0,0.0,0,1,Sectoral budget support,0,0,0,0,0
2009/2010,Core Funding,VN,0,Government of the Socialist Republic of Vietnam,D4100,Uncoded: Pre-APP,OAD Asia Programming,3,S4107,A032038001,0,OGM Asia Pacific,Asia,1.0,Closed,14624905.89,B4100,OAV Vietnam,0,4112,Vietnam,14624905.89,0.0,0.0,0,1,Sectoral budget support,0,0,0,0,0
2009/2010,Directive,80,1,Project Services International Inc.,D4207,Uncoded: Pre-APP,WWD West & Central Africa,2,S4249,A032039001,0,WGM Sub-Saharan Africa,Africa,0.055,Closed,6660529.92,B4200,Gulf of Guinea Program,1,4310,Central & West Africa Regional Program,6660529.92,1.0,0.0,0,1,Other PBA,1,0,0,1,0
2009/2010,Directive,80,1,Autorit� du Bassin du Niger,D4207,Uncoded: Pre-APP,WWD West & Central Africa,2,S4249,A032039001,0,WGM Sub-Saharan Africa,Africa,0.055,Closed,6660529.92,B4200,Gulf of Guinea Program,1,4310,Central & West Africa Regional Program,6660529.92,1.0,0.0,0,1,Other PBA,1,0,0,1,0
2009/2010,Directive,80,1,Information not available,D4207,Uncoded: Pre-APP,WWD West & Central Africa,2,S4249,A032039001,0,WGM Sub-Saharan Africa,Africa,0.055,Closed,6660529.92,B4200,Gulf of Guinea Program,1,4310,Central & West Africa Regional Program,6660529.92,1.0,0.0,0,1,Other PBA,1,0,0,1,0
2009/2010,Directive,80,1,Project Services International Inc.,D4207,Uncoded: Pre-APP,WWD West & Central Africa,2,S4249,A032039001,0,WGM Sub-Saharan Africa,Africa,0.055,Closed,6660529.92,B4200,Gulf of Guinea Program,1,4310,Central & West Africa Regional Program,6660529.92,1.0,0.0,0,1,Other PBA,1,0,0,1,0
2009/2010,Directive,80,1,Autorit� du Bassin du Niger,D4207,Uncoded: Pre-APP,WWD West & Central Africa,2,S4249,A032039001,0,WGM Sub-Saharan Africa,Africa,0.055,Closed,6660529.92,B4200,Gulf of Guinea Program,1,4310,Central & West Africa Regional Program,6660529.92,1.0,0.0,0,1,Other PBA,1,0,0,1,0
2009/2010,Directive,80,1,Information not available,D4207,Uncoded: Pre-APP,WWD West & Central Africa,2,S4249,A032039001,0,WGM Sub-Saharan Africa,Africa,0.055,Closed,6660529.92,B4200,Gulf of Guinea Program,1,4310,Central & West Africa Regional Program,6660529.92,1.0,0.0,0,1,Other PBA,1,0,0,1,0
2009/2010,Directive,80,1,Project Services International Inc.,D4207,Uncoded: Pre-APP,WWD West & Central Africa,2,S4249,A032039001,0,WGM Sub-Saharan Africa,Africa,0.055,Closed,6660529.92,B4200,Gulf of Guinea Program,1,4310,Central & West Africa Regional Program,6660529.92,1.0,0.0,0,1,Other PBA,1,0,0,1,0
2009/2010,Directive,80,1,Autorit� du Bassin du Niger,D4207,Uncoded: Pre-APP,WWD West & Central Africa,2,S4249,A032039001,0,WGM Sub-Saharan Africa,Africa,0.055,Closed,6660529.92,B4200,Gulf of Guinea Program,1,4310,Central & West Africa Regional Program,6660529.92,1.0,0.0,0,1,Other PBA,1,0,0,1,0
2009/2010,Directive,80,1,Information not available,D4207,Uncoded: Pre-APP,WWD West & Central Africa,2,S4249,A032039001,0,WGM Sub-Saharan Africa,Africa,0.055,Closed,6660529.92,B4200,Gulf of Guinea Program,1,4310,Central & West Africa Regional Program,6660529.92,1.0,0.0,0,1,Other PBA,1,0,0,1,0
2009/2010,Directive,80,1,Project Services International Inc.,D4207,Uncoded: Pre-APP,WWD West & Central Africa,2,S4249,A032039001,0,WGM Sub-Saharan Africa,Africa,0.055,Closed,6660529.92,B4200,Gulf of Guinea Program,1,4310,Central & West Africa Regional Program,6660529.92,1.0,0.0,0,1,Other PBA,1,0,0,1,0
2009/2010,Directive,80,1,Autorit� du Bassin du Niger,D4207,Uncoded: Pre-APP,WWD West & Central Africa,2,S4249,A032039001,0,WGM Sub-Saharan Africa,Africa,0.055,Closed,6660529.92,B4200,Gulf of Guinea Program,1,4310,Central & West Africa Regional Program,6660529.92,1.0,0.0,0,1,Other PBA,1,0,0,1,0
2009/2010,Directive,80,1,Information not available,D4207,Uncoded: Pre-APP,WWD West & Central Africa,2,S4249,A032039001,0,WGM Sub-Saharan Africa,Africa,0.055,Closed,6660529.92,B4200,Gulf of Guinea Program,1,4310,Central & West Africa Regional Program,6660529.92,1.0,0.0,0,1,Other PBA,1,0,0,1,0
2009/2010,Directive,80,1,Project Services International Inc.,D4207,Uncoded: Pre-APP,WWD West & Central Africa,2,S4249,A032039001,0,WGM Sub-Saharan Africa,Africa,0.055,Closed,6660529.92,B4200,Gulf of Guinea Program,1,4310,Central & West Africa Regional Program,6660529.92,1.0,0.0,0,1,Other PBA,1,0,0,1,0
2009/2010,Directive,80,1,Autorit� du Bassin du Niger,D4207,Uncoded: Pre-APP,WWD West & Central Africa,2,S4249,A032039001,0,WGM Sub-Saharan Africa,Africa,0.055,Closed,6660529.92,B4200,Gulf of Guinea Program,1,4310,Central & West Africa Regional Program,6660529.92,1.0,0.0,0,1,Other PBA,1,0,0,1,0
2009/2010,Directive,80,1,Information not available,D4207,Uncoded: Pre-APP,WWD West & Central Africa,2,S4249,A032039001,0,WGM Sub-Saharan Africa,Africa,0.055,Closed,6660529.92,B4200,Gulf of Guinea Program,1,4310,Central & West Africa Regional Program,6660529.92,1.0,0.0,0,1,Other PBA,1,0,0,1,0
2009/2010,Directive,80,1,Project Services International Inc.,D4207,Uncoded: Pre-APP,WWD West & Central Africa,2,S4249,A032039001,0,WGM Sub-Saharan Africa,Africa,0.055,Closed,6660529.92,B4200,Gulf of Guinea Program,1,4310,Central & West Africa Regional Program,6660529.92,1.0,0.0,0,1,Other PBA,1,0,0,1,0
2009/2010,Directive,80,1,Autorit� du Bassin du Niger,D4207,Uncoded: Pre-APP,WWD West & Central Africa,2,S4249,A032039001,0,WGM Sub-Saharan Africa,Africa,0.055,Closed,6660529.92,B4200,Gulf of Guinea Program,1,4310,Central & West Africa Regional Program,6660529.92,1.0,0.0,0,1,Other PBA,1,0,0,1,0
2009/2010,Directive,80,1,Information not available,D4207,Uncoded: Pre-APP,WWD West & Central Africa,2,S4249,A032039001,0,WGM Sub-Saharan Africa,Africa,0.055,Closed,6660529.92,B4200,Gulf of Guinea Program,1,4310,Central & West Africa Regional Program,6660529.92,1.0,0.0,0,1,Other PBA,1,0,0,1,0
2009/2010,Directive,80,1,Project Services International Inc.,D4207,Uncoded: Pre-APP,WWD West & Central Africa,2,S4249,A032039001,0,WGM Sub-Saharan Africa,Africa,0.06,Closed,6660529.92,B4200,Gulf of Guinea Program,1,4310,Central & West Africa Regional Program,6660529.92,1.0,0.0,0,1,Other PBA,1,0,0,1,0
2009/2010,Directive,80,1,Autorit� du Bassin du Niger,D4207,Uncoded: Pre-APP,WWD West & Central Africa,2,S4249,A032039001,0,WGM Sub-Saharan Africa,Africa,0.06,Closed,6660529.92,B4200,Gulf of Guinea Program,1,4310,Central & West Africa Regional Program,6660529.92,1.0,0.0,0,1,Other PBA,1,0,0,1,0
2009/2010,Directive,80,1,Information not available,D4207,Uncoded: Pre-APP,WWD West & Central Africa,2,S4249,A032039001,0,WGM Sub-Saharan Africa,Africa,0.06,Closed,6660529.92,B4200,Gulf of Guinea Program,1,4310,Central & West Africa Regional Program,6660529.92,1.0,0.0,0,1,Other PBA,1,0,0,1,0
2009/2010,Directive,80,1,Project Services International Inc.,D4207,Uncoded: Pre-APP,WWD West & Central Africa,2,S4249,A032039001,0,WGM Sub-Saharan Africa,Africa,0.06,Closed,6660529.92,B4200,Gulf of Guinea Program,1,4310,Central & West Africa Regional Program,6660529.92,1.0,0.0,0,1,Other PBA,1,0,0,1,0
2009/2010,Directive,80,1,Autorit� du Bassin du Niger,D4207,Uncoded: Pre-APP,WWD West & Central Africa,2,S4249,A032039001,0,WGM Sub-Saharan Africa,Africa,0.06,Closed,6660529.92,B4200,Gulf of Guinea Program,1,4310,Central & West Africa Regional Program,6660529.92,1.0,0.0,0,1,Other PBA,1,0,0,1,0
2009/2010,Directive,80,1,Information not available,D4207,Uncoded: Pre-APP,WWD West & Central Africa,2,S4249,A032039001,0,WGM Sub-Saharan Africa,Africa,0.06,Closed,6660529.92,B4200,Gulf of Guinea Program,1,4310,Central & West Africa Regional Program,6660529.92,1.0,0.0,0,1,Other PBA,1,0,0,1,0
2009/2010,Directive,80,1,Project Services International Inc.,D4207,Uncoded: Pre-APP,WWD West & Central Africa,2,S4249,A032039001,0,WGM Sub-Saharan Africa,Africa,0.06,Closed,6660529.92,B4200,Gulf of Guinea Program,1,4310,Central & West Africa Regional Program,6660529.92,1.0,0.0,0,1,Other PBA,1,0,0,1,0
2009/2010,Directive,80,1,Autorit� du Bassin du Niger,D4207,Uncoded: Pre-APP,WWD West & Central Africa,2,S4249,A032039001,0,WGM Sub-Saharan Africa,Africa,0.06,Closed,6660529.92,B4200,Gulf of Guinea Program,1,4310,Central & West Africa Regional Program,6660529.92,1.0,0.0,0,1,Other PBA,1,0,0,1,0
2009/2010,Directive,80,1,Information not available,D4207,Uncoded: Pre-APP,WWD West & Central Africa,2,S4249,A032039001,0,WGM Sub-Saharan Africa,Africa,0.06,Closed,6660529.92,B4200,Gulf of Guinea Program,1,4310,Central & West Africa Regional Program,6660529.92,1.0,0.0,0,1,Other PBA,1,0,0,1,0
2009/2010,Directive,80,1,Project Services International Inc.,D4207,Uncoded: Pre-APP,WWD West & Central Africa,2,S4249,A032039001,0,WGM Sub-Saharan Africa,Africa,0.06,Closed,6660529.92,B4200,Gulf of Guinea Program,1,4310,Central & West Africa Regional Program,6660529.92,1.0,0.0,0,1,Other PBA,1,0,0,1,0
2009/2010,Directive,80,1,Autorit� du Bassin du Niger,D4207,Uncoded: Pre-APP,WWD West & Central Africa,2,S4249,A032039001,0,WGM Sub-Saharan Africa,Africa,0.06,Closed,6660529.92,B4200,Gulf of Guinea Program,1,4310,Central & West Africa Regional Program,6660529.92,1.0,0.0,0,1,Other PBA,1,0,0,1,0
2009/2010,Directive,80,1,Information not available,D4207,Uncoded: Pre-APP,WWD West & Central Africa,2,S4249,A032039001,0,WGM Sub-Saharan Africa,Africa,0.06,Closed,6660529.92,B4200,Gulf of Guinea Program,1,4310,Central & West Africa Regional Program,6660529.92,1.0,0.0,0,1,Other PBA,1,0,0,1,0
2009/2010,Directive,80,1,Project Services International Inc.,D4207,Uncoded: Pre-APP,WWD West & Central Africa,2,S4249,A032039001,0,WGM Sub-Saharan Africa,Africa,0.06,Closed,6660529.92,B4200,Gulf of Guinea Program,1,4310,Central & West Africa Regional Program,6660529.92,1.0,0.0,0,1,Other PBA,1,0,0,1,0
2009/2010,Directive,80,1,Autorit� du Bassin du Niger,D4207,Uncoded: Pre-APP,WWD West & Central Africa,2,S4249,A032039001,0,WGM Sub-Saharan Africa,Africa,0.06,Closed,6660529.92,B4200,Gulf of Guinea Program,1,4310,Central & West Africa Regional Program,6660529.92,1.0,0.0,0,1,Other PBA,1,0,0,1,0
2009/2010,Directive,80,1,Information not available,D4207,Uncoded: Pre-APP,WWD West & Central Africa,2,S4249,A032039001,0,WGM Sub-Saharan Africa,Africa,0.06,Closed,6660529.92,B4200,Gulf of Guinea Program,1,4310,Central & West Africa Regional Program,6660529.92,1.0,0.0,0,1,Other PBA,1,0,0,1,0
2009/2010,Directive,80,1,Project Services International Inc.,D4207,Uncoded: Pre-APP,WWD West & Central Africa,2,S4249,A032039001,0,WGM Sub-Saharan Africa,Africa,0.06,Closed,6660529.92,B4200,Gulf of Guinea Program,1,4310,Central & West Africa Regional Program,6660529.92,1.0,0.0,0,1,Other PBA,1,0,0,1,0
2009/2010,Directive,80,1,Autorit� du Bassin du Niger,D4207,Uncoded: Pre-APP,WWD West & Central Africa,2,S4249,A032039001,0,WGM Sub-Saharan Africa,Africa,0.06,Closed,6660529.92,B4200,Gulf of Guinea Program,1,4310,Central & West Africa Regional Program,6660529.92,1.0,0.0,0,1,Other PBA,1,0,0,1,0
2009/2010,Directive,80,1,Information not available,D4207,Uncoded: Pre-APP,WWD West & Central Africa,2,S4249,A032039001,0,WGM Sub-Saharan Africa,Africa,0.06,Closed,6660529.92,B4200,Gulf of Guinea Program,1,4310,Central & West Africa Regional Program,6660529.92,1.0,0.0,0,1,Other PBA,1,0,0,1,0
2009/2010,Directive,80,1,Project Services International Inc.,D4207,Uncoded: Pre-APP,WWD West & Central Africa,2,S4249,A032039001,0,WGM Sub-Saharan Africa,Africa,0.11,Closed,6660529.92,B4200,Gulf of Guinea Program,1,4310,Central & West Africa Regional Program,6660529.92,1.0,0.0,0,1,Other PBA,1,0,0,1,0
2009/2010,Directive,80,1,Autorit� du Bassin du Niger,D4207,Uncoded: Pre-APP,WWD West & Central Africa,2,S4249,A032039001,0,WGM Sub-Saharan Africa,Africa,0.11,Closed,6660529.92,B4200,Gulf of Guinea Program,1,4310,Central & West Africa Regional Program,6660529.92,1.0,0.0,0,1,Other PBA,1,0,0,1,0
2009/2010,Directive,80,1,Information not available,D4207,Uncoded: Pre-APP,WWD West & Central Africa,2,S4249,A032039001,0,WGM Sub-Saharan Africa,Africa,0.11,Closed,6660529.92,B4200,Gulf of Guinea Program,1,4310,Central & West Africa Regional Program,6660529.92,1.0,0.0,0,1,Other PBA,1,0,0,1,0
2009/2010,Directive,80,1,Project Services International Inc.,D4207,Uncoded: Pre-APP,WWD West & Central Africa,2,S4249,A032039001,0,WGM Sub-Saharan Africa,Africa,0.11,Closed,6660529.92,B4200,Gulf of Guinea Program,1,4310,Central & West Africa Regional Program,6660529.92,1.0,0.0,0,1,Other PBA,1,0,0,1,0
