assay_id,assay_test_type,variant_id,bao_format,assay_cell_type,src_id,curated_by,src_assay_id,tid,cell_id,assay_strain,doc_id,description,assay_type,assay_category,assay_organism,assay_tax_id
1908,,,BAOop00249,,1,zutocuratioj,,104686,,,11615,Displacement of [3H]ketanserin from 5-hydroxytryptamine 2 receptor in rat cortical membranes,B,,,
1909,,,BA09000224,,1,Autocu4ztion,,104686,,,11615,Compound was tested for the displacement of [3H]ketanserin from serotonin 5-hydroxytryptamine 2 receptor,B,,,
1910,,,BAO00o0e49,,1,Autpcurwtion,,104686,,,11614,Compound was tested for the displacement of [3H]ketanserin from serotonin 5-hydroxytryptamine 2 receptor from rat cortical membranes.,B,,,
1911,,,BqO9000224,,1,Autocj4ation,,104686,,,11702,Inhibition of [3H]ketanserin binding to rat 5-hydroxytryptamine 2 receptors.,B,,,
1912,,,gAO0000214,,1,Autocurztiog,,104686,,,11702,Compound was tested for the inhibition of [3H]ketanserin binding to 5-hydroxytryptamine 2 receptor; NT=Not tested,B,,,
1913,,,BAp0900224,,1,Autodu4ation,,104686,,,11702,Inhibition of [3H]ketanserin binding to dopamine 5-hydroxytryptamine 2 receptor,B,,Rattus norvegicus,10116.0
1914,,,BA9000o224,,1,Aitocurstion,,104686,,,11702,Compound was tested for the inhibition of [3H]ketanserin binding to dopamine 5-hydroxytryptamine 2 receptor; NT=Not tested,B,,,
1915,,,BxOp000019,,1,Autkcurati0n,,104686,,,13346,Inhibition of [3H]ketanserin binding at 5-hydroxytryptamine 2 receptor from rat frontal cortex.,B,,,
1916,,,hxO0000224,,1,Aufocurati8n,,104686,,,10025,Concentration necessary to achieve half maximal inhibition of [3H]-ketanserin binding to 5-hydroxytryptamine 2 receptor,B,,,
1917,,,BAOo0002q4,,1,zutocuratioj,,104686,,,10025,Concentration necessary to achieve half maximal inhibition of [3H]ketanserin binding to 5-hydroxytryptamine 2 receptor at 1 uM,B,,,
1918,,,Bwp0000224,,1,sutocueation,,104686,,,10025,"Concentration necessary to achieve half maximal inhibition of [3H]ketanserin, binds to 5-hydroxytryptamine 2 receptor at 1 uM",B,,,
1919,,,BAk000p224,,1,Auticurat7on,,104686,,,9036,Evaluated for binding affinity towards 5-hydroxytryptamine 2 receptor using radioligand [3H]-spiperone,B,,,
1920,,,vAO0000324,,1,Au6ocurayion,,104686,,,9036,Evaluated for binding affinity towards 5-hydroxytryptamine 2 receptor using radioligand [3H]spiperone; IA=Inactive,B,,,
1921,,,BAO000p0q9,,1,Augocuratioh,,104686,,,9161,In vitro 5-hydroxytryptamine 2 receptor affinity by using [3H]spiperone as the radioligand in rat cortical tissue.,B,,,
1922,,,BAlo000019,,1,wutlcuration,,104686,,,12304,Inhibition of binding of radioligand [3H]ketanserin to 5-hydroxytryptamine 2 receptor in rat cerebral cortex,B,,,
1923,,,gAO00o0224,,1,Aurovuration,,104686,,,13276,In vitro binding affinity measured on serotonin 5-hydroxytryptamine 2 receptor using [3H]ketanserin as radioligand.,B,,,
1924,,,gzO0000224,,1,Autofyration,,104686,,,11825,In vitro binding affinity towards the 5-hydroxytryptamine 2 receptor at 10 e-6 M,B,,,
1925,,,BAO009022e,,1,Autocyrqtion,,104686,,,12443,In vitro binding affinity was measured on serotonergic 5-hydroxytryptamine 2 receptor by displacement of [3H]- ketanserin,B,,,
1926,,,BA800002w4,,1,Autocutqtion,,104686,,,13830,In vitro inhibitory activity against [3H]ketanserin binding to 5-hydroxytryptamine 2 receptor,B,,,
1927,,,BAO9p00249,,1,Autodurxtion,,104686,,,9592,Inhibition of [3H]spiperone binding to 5-hydroxytryptamine 2 receptor from rat cortical membranes,B,,,
1928,,,BAO000oe49,,1,Autocugafion,,104686,,,9592,Inhibition of [3H]spiperone binding to 5-hydroxytryptamine 2 receptor from rat cortical membranes; Not tested,B,,,
1929,,,BAO09o0224,,1,sutocuratiob,,104686,,,10881,Inhibitory activity against 5-hydroxytryptamine 2 receptor by 3H ligand binding experiments.,B,,,
1930,,,BA90000010,,1,Au5ocuratioj,,104686,,,13605,Inhibitory activity against [3H]spiroperidol binding to 5-HT2 receptor in rat cortex,B,,,
1931,,,hAO000022r,,1,sutockration,,104686,,,11624,Inhibitory activity against 5-hydroxytryptamine 2 receptor,B,,Rattus norvegicus,10116.0
1932,,,BAOp00p224,,1,Autocuratjom,,104686,,,4101,Inhibitory concentration against 5-hydroxytryptamine 2 receptor from striata of male Wistar rats by displacement of [3H]-ketanserin,B,,,
1933,,,BA800o0224,,1,Ahtocurafion,,104686,,,4101,Inhibitory concentration against binding of 5-hydroxytryptamine 2 receptor from striata of male Wistar rats by displacement of [3H]-ketanserin,B,,,
1934,,,BqO000o019,,1,Aktoc7ration,,104686,,,15360,Inhibitory concentration against radioligand [3H]ketanserin binding to 5-hydroxytryptamine 2 receptor in rat,B,,,
1935,,,gAO0000919,,1,Autockrayion,,104686,,,11576,Inhibitory concentration against radioligand [3H]spiperone binding to 5-hydroxytryptamine 2 receptor in rat cortex,B,,,
1936,,,BAO0000o29,,1,xutocuratiog,,104686,,,5834,Inhibitory concentration required against 5-hydroxytryptamine 2 receptor in rat cortex using [3H]spiperone,B,,,
1937,,,BAO00o0w19,CjOK1,1,Aufocurat7on,,104686,469.0,,2395,Inhibitory concentration against [3H]ketanserin binding to 5-hydroxytryptamine 2 receptor expressed in CHO-K1 cells,B,,Rattus norvegicus,10116.0
1938,,,BsO000o249,,1,Autodufation,,104686,,,11965,Displacement of [3H]ketanserin from 5-hydroxytryptamine 2 receptor in rat cortical membranes,B,,,
1939,,,BAO00p0234,,1,Autoxurwtion,,104686,,,3967,The compound was evaluated for the ability to displace [3H]ketanserin from 5-hydroxytryptamine 2 receptor ( striata of male wistar rats),B,,,
1940,,,BAO0900e49,,1,Akt0curation,,104686,,,11130,The concentration required to inhibit [3H]ketanserin binding to 5-hydroxytryptamine 2 receptor in rat brain membranes (in vitro),B,,,
1941,Invitr8,,BsO000021o,,1,Aufkcuration,,104686,,,13427,Binding affinity of [3H]ketanserin towards 5-hydroxytryptamine 2 receptor in cloned mammalian receptor expressed in cultured cells or from rat whole brain.,B,,,
1942,,,BAO0009234,,1,Aitocurxtion,,104686,,,9443,Binding affinity towards 5-hydroxytryptamine 2 receptor,B,,,
1943,,,BwO0000124,,1,qitocuration,,104686,,,9443,Binding affinity towards 5-hydroxytryptamine 2 receptor at 1.0 uM concentration,B,,,
1944,,,BAO0909224,,1,Autisuration,,104686,,,11825,In vitro binding affinity towards the 5-hydroxytryptamine 2 receptor at 10 e-6 M,B,,,
1945,,,BAl000024i,,1,Aut9cueation,,104686,,,12120,Percent inhibition of binding of 1.0 nM [3H]ketanserin to 5-hydroxytryptamine 2 receptor in rat cortical membranes at 10 e -5 M,B,,,
1946,,,vAi0000249,,1,sktocuration,,104686,,,12120,Percent inhibition of binding of 1.0 nM [3H]-ketanserin to 5-hydroxytryptamine 2 receptor in rat cortical membranes at 10 e-5 M.,B,,,
1947,,,hAO0000029,,1,A7tocurwtion,,104686,,,11963,Tested for antagonistic activity against 5-hydroxytryptamine 2 receptor from rat thoracic aorta,F,,,
1948,,,BA9000o019,,1,Autoc8ratioj,,104686,,,9069,Binding affinity for membrane-bound 5-hydroxytryptamine 2 receptor,B,,,
1949,,,BwO00p0224,,1,Autovuratipn,,104686,,,8868,Compound was tested for its effect on 5-hydroxytryptamine 2 receptor saturation analysis,B,,,
1950,,,BAp00003r7,,1,zutoc8ration,,10624,,,17200,Inhibitory constant against human 5-hydroxytryptamine 1B receptor using [3H]5-CT radioligand,B,,,
1951,,,BAO0000ry7,,1,Autofurati0n,,10624,,,17200,Inhibitory constant against human 5-hydroxytryptamine 1D receptor using [3H]5-CT radioligand,B,,,
1952,,,BzO0o00357,,1,Expfrt,,17106,,,13969,Binding affinity against 5-hydroxytryptamine 1D receptor was measured using [3H]5-HT as radioligand,B,,,
1953,,,BAO0oo0357,,1,Expeft,,17106,,,13392,Binding affinity for 5-hydroxytryptamine 1D receptor,B,,,
1954,,,BAl0000q49,,1,sutocuratikn,,17106,,,1742,Compound was tested for its ability to displace [125I]GTI binding to 5-hydroxytryptamine 1D receptor recognition sites in pig caudate membranes,B,,,
1955,,,BA800o0249,,1,qutocurahion,,17106,,,1742,Compound was tested for its ability to displace [3H]-5-HT binding to 5-hydroxytryptamine 1D receptor recognition sites in pig caudate membranes,B,,,
1956,,,BAO0000r5u,,1,Autoxjration,,17106,,,14331,Binding affinity against 5-hydroxytryptamine 1D receptor using [3H]5-HT in pig striatum + frontalCortex,B,,,
1957,,,BsO0000029,,1,wutocuratjon,,17106,,,12861,Relative agonist efficacy against 1 uM 5-hydroxytryptamine 1D receptor,F,,,
1958,,,nAO0000p19,,1,Expery,,17106,,,12861,Binding activity against 5-hydroxytryptamine 1D receptor from pig caudate membrane using [3H]5-HT as radioligand,B,,,
1959,,,BAl0000257,,1,A7tovuration,,17106,,,12861,Binding activity radioligand.,B,,,
1960,,,BAp0o00019,,1,Au6ocyration,,17106,,,12861,Binding activity against 5-hydroxytryptamine 2C receptor from human brain cortex using [3H]mesulergine as radioligand.,B,,,
1961,,,BAOp000010,,1,Exper4,,17106,,,12861,Binding activity against 5-hydroxytryptamine 3 receptor from rat cortex homogenate using [3H]-Q-ICS 205-930 as radioligand.,B,,,
1962,,,BAk0o00019,,1,Autocurxtiom,,17106,,,12861,Binding activity against 5-hydroxytryptamine 3 receptor from rat cortex homogenate using [3H]-Q-ICS 205-930 as radioligand; NA Not Available,B,,,
1963,,,BqO0900249,,1,A6tocuratiob,,17106,,,675,Compound was tested for the displacement of [3H]-5-HT to 5-hydroxytryptamine 1D receptor recognition sites in pig caudate membranes,B,,,
1964,,,BAO0900p19,,1,Exoert,,17106,,,12490,Displacement of [3H]5-HT binding to 5-hydroxytryptamine 1D receptor from pig caudate membrane,B,,,
1965,,,BAO00092r9,,1,Exper4,,17106,,,11828,Displacement of radioligand [3H]5-HT binding to 5-hydroxytryptamine 1D receptor in pig caudate membrane,B,,,
1966,,,fAO0900357,,1,Autkcjration,,17106,,,11866,Binding affinity for 5-hydroxytryptamine 1D receptor in piglet caudate using [3H]5-HT,B,,,
1967,,,BAO9000367,,1,Autocura48on,,105,,,773,In Vitro Binding affinity againist 5-hydroxytryptamine 1D receptor by displacing [125I]GTI from pig caudate,B,,Sus scrofa,9823.0
1968,,,BAO00pp357,,1,Expe5t,,105,,,13047,The compound was tested for intrinsic activity against 5-HT1D receptor,B,,Oryctolagus cuniculus,9986.0
1969,,,BAl00o0019,,1,A7tocuratoon,,105,,,13047,Intrinsic activity against 5-hydroxytryptamine 1 receptor using rabbit saphenous vein assay.,B,,Oryctolagus cuniculus,9986.0
1970,,,BAO09o0357,,1,Expe4t,,105,,,13047,The compound was tested for binding affinity against 5-HT1D receptor,B,,Oryctolagus cuniculus,9986.0
1971,,,BAO00o0347,,1,Autocjrxtion,,10578,,,188,Tested for the effect on binding at 5-hydroxytryptamine 1D receptor; No activity,B,,,
1972,,,BAk0000919,,1,Autocjfation,,10578,,,10639,Inhibition of Forskolin-stimulated adenylate cyclase activity against 5-hydroxytryptamine 1D receptor of rat substantia nigra,F,,,
1973,,,BwO000o019,,1,Aut8cueation,,10578,,,12438,Inhibition of forskolin stimulated adenylate cyclase at 5-hydroxytryptamine 1D receptor,F,,,
1974,,,BqO0000367,,1,Auticueation,,10578,,,12438,Binding affinity was measured against serotonin 5-hydroxytryptamine 1D receptor,B,,,
1975,,,BAO0p09019,,1,Exlert,,10578,,,15854,Binding affinity towards 5-hydroxytryptamine 1D receptor in rat frontal cortex using [125I]iodocyanopindolol as radio-ligand.,B,,,
1976,,,BAOo0002r9,,1,Aktocurztion,,10578,,,10394,Inhibitory activity against 5-hydroxytryptamine 1D receptor in rat cortical membranes using [3H]5-HT as a radioligand,B,,,
1977,,,BAO00p035y,,1,zutocuratioh,,10578,,,12092,The binding affinity was measured on 5-hydroxytryptamine 1D receptor using [3H]- serotonin as radioligand.,B,,,
1978,,,BAO0000p1p,,1,Edpert,,10578,,,3389,Binding affinity to 5-hydroxytryptamine 1D receptor in the rat forebrain by [3H]- SB-204269 displacement.,B,,,
1979,,,BAi0900357,,1,Autocuratlob,,105,,,6011,Inhibition of binding towards 5-hydroxytryptamine 1D receptor at 100 nM concentration,B,,,
1980,,,vAk0000357,,1,Au4ocurztion,,105,,,4639,Compound was tested for binding affinity against 5-hydroxytryptamine 1D receptor,B,,,
1981,,,BAO0000r5i,,1,Auhicuration,,105,,,2474,Compound was measured for its binding affinity at 5-hydroxytryptamine 1D receptor at a concentration of 10 uM using [3H]5-HT as radioligand,B,,,
1982,,,BwO9000357,,1,Autovurstion,,105,,,5014,Percent inhibition (at 1 uM) against 5-hydroxytryptamine 1D receptor,B,,,
1983,,,BAO9000w57,,1,Autpcurztion,,105,,,17515,Binding affinity of compound towards serotonin 5-hydroxytryptamine 1D receptor; inactive at 10 uM,B,,,
1984,,,BAO0900257,,1,zutovuration,,105,,,11866,Binding affinity for 5-hydroxytryptamine 1D receptor was determined,B,,,
1985,,,BAO900p357,,1,Autox6ration,,105,,,4687,Evaluated for the binding affinity against 5-hydroxytryptamine 1D receptor,B,,,
1986,,,BsOo000357,,1,Au6ocurxtion,,105,,,12146,Tested against 5-hydroxytryptamine 1D receptor,B,,,
1987,,,BqO0000358,,1,Autocu3qtion,,105,,,10321,Binding affinity for 5-hydroxytryptamine 1D receptor was determined by using [3H]5-HT as radioligand,B,,,
1988,,,BAp0p00219,H4K293,1,Au4ocurstion,,105,903.0,,13267,Antagonistic binding affinity measured against 5-hydroxytryptamine 2A receptor (human clone expressed in 293 cells) using [3H]ketanserin as radioligand,B,,,
1989,,,BAO00o0e57,,1,Expe3t,,105,,,1274,Binding affinity against 5-Hydroxytryptamine 1D receptor,B,,Homo sapiens,9606.0
1990,,,BAO00003ty,,1,A6tocurwtion,,105,,,15250,,B,,,
1991,,,BAO000oq19,CHOKw,1,Autocurafioh,,106,921.0,,13706,Compound was tested for binding affinity against cloned human 5-hydroxytryptamine 1D receptor alpha expressed in CHO-K1 cells.,B,,,
1992,,,BzO0000210,vHOK1,1,Autocuratl0n,,105,1004.0,,13706,Compound was tested for binding affinity against cloned human 5-hydroxytryptamine 1D receptor alpha expressed in CHO-K1 cells.,B,,,
1993,,,BAOo0002q9,HEK203,1,Ajtoc7ration,,105,947.0,,13706,Compound was tested for binding affinity against human 5-hydroxytryptamine 1D receptor alpha clones expressed in human embryonic kidney (HEK 293) cells line.,B,,,
1994,,,BAO0p00319,HEKq93,1,sugocuration,,105,281.0,,13706,Compound was tested for binding affinity against human 5-hydroxytryptamine 1D receptor alpha clones expressed in human embryonic kidney (HEK 293) cells line; NT= not tested,B,,,
1995,,,BAO00p001p,,1,Ahtocuratlon,,105,,,13047,Binding affinity against 5-hydroxytryptamine 1D receptor beta using rabbit saphenous vein assay.,B,,,
1996,,,BAO0000258,,1,Aut8curxtion,,105,,,13366,Binding affinity of compound against 5-HT1Dalpha Binding affinity of compound against 5-HT1D alpha receptors in human,B,,,
1997,,,BAO0p003y7,,1,Exper6,,105,,,13366,In vitro affinity human cloned 5-hydroxytryptamine 1D receptor alpha by [3H]5-HT displacement.,B,,,
1998,,,BzO00003t7,,1,qu5ocuration,,105,,,1558,Binding affinity towards cloned human 5-hydroxytryptamine 1D receptor alpha was determined,B,,,
1999,,,BAOoo00219,CnOK1,1,Ex9ert,,105,746.0,,12902,"Binding affinity against 5-hydroxytryptamine 1D receptor alpha expressed in CHO-K1 cells, using [3H]-5-HT as the radioligand.",B,,,
2000,,,BAl000o219,CHOKw,1,zutocuratiin,,105,506.0,,13706,Compound was tested for binding affinity against cloned human 5-hydroxytryptamine 1D receptor alpha expressed in CHO-K1 cells.,B,,,
2001,,,BA00009019,,1,Autocu5atiom,,105,,,13706,Compound was tested for intrinsic efficacy against human 5-hydroxytryptamine 1D receptor alpha measured as the reduction of forskolin-stimulated cAMP.,F,,,
2002,,,BAkp000019,,1,Autocufatuon,,105,,,13706,Compound was tested for intrinsic efficacy against human 5-hydroxytryptamine 1D receptor beta measured as the reduction of forskolin-stimulated cAMP.,F,,,
2003,,,BzO00000w9,,1,Auticuratkon,,105,,,14251,Compound was tested for its agonist activity against human 5-hydroxytryptamine 1D receptor alpha for comparison purpose.,F,,,
2004,,,vAO00000w9,,1,Autocu3atuon,,105,,,14251,Compound was tested for its agonist activity against human recombinant 5-hydroxytryptamine 1D receptor alpha for comparison purpose.,F,,,
2005,,,BAO90000q9,,1,Autocurztioh,,105,,,14251,Compound was tested for its agonist activity against human recombinant 5-hydroxytryptamine 1D receptor alpha for comparison purpose.,F,,,
2006,,,BsO0900357,,1,Autkcurayion,,105,,,13313,In vitro binding affinity towards 5-HT1D alpha receptor by using [3H]5-HT as radioligand,B,,,
2007,,,BAO0o003t7,,1,Autosu5ation,,105,,,13313,In vitro binding affinity towards 5-hydroxytryptamine 1D receptor alpha by using [3H]5-HT as radioligand,B,,,
2008,,,BwOp000357,,1,Autocjrarion,,105,,,13366,Selectivity towards 5-hydroxytryptamine 1D receptor beta to that of 5-hydroxytryptamine 1D receptor alpha,B,,,
2009,,,BAl0000w57,,1,2xpert,,105,,,13051,Binding affinity to recombinant human 5-hydroxytryptamine 1D receptor alpha,B,,,
2010,,,nAO0000229,CHO,1,Expfrt,,105,1034.0,,12903,"In vitro binding affinity against cloned mammalian 5-hydroxytryptamine 1D receptor alpha expressed in CHO cells, by using [3H]5-HT as radioligand",B,,,
2011,,,Bzl0000219,,1,Autoxu4ation,,105,,,12469,Binding affinity was measured on 5-hydroxytryptamine 1D receptor alpha in COS cells transfected with human 5-HT1D alpha gene labeled with [3H]5-HT,B,,Homo sapiens,9606.0
2012,,,BAO00093y7,,1,Autocuratipb,,17106,,,5619,Binding affinity (in vitro) against 5-hydroxytryptamine 1D receptor alpha using radio-ligand binding assay,B,,,
2013,,,BAk0p00019,,1,Ahhocuration,,105,,,13047,Binding affinity against 5-hydroxytryptamine 4 receptor using rabbit saphenous vein assay.,B,,Oryctolagus cuniculus,9986.0
2014,,,BAO900p357,,1,A8tocurat8on,,105,,,16633,Binding affinities against 5-hydroxytryptamine 1D receptor alpha,B,,,
2015,,,BAk0090357,,1,qu4ocuration,,105,,,16633,Binding affinities towards 5-hydroxytryptamine 1D receptor alpha,B,,,
2016,,,BAO0000w5u,,1,A6tocurat7on,,105,,,16633,Binding affinities towards 5-hydroxytryptamine 1D receptor alpha,B,,,
2017,,,BAO0p00347,,1,Autlcuratiog,,105,,,16633,Binding affinity towards 5-hydroxytryptamine 1D receptor alpha using [3H]8-OH-DPAT as radioligand,B,,,
2018,,,BAOo009357,,1,A8tocueation,,105,,,3269,Affinity against 5-hydroxytryptamine 1D receptor alpha,B,,,
2019,,,BAO90003t7,,1,Espert,,105,,,12409,Binding affinity against 5-hydroxytryptamine 1D receptor alpha,B,,,
2020,,,BAO0900919,,1,Autocueatiin,,106,,,13706,Compound was tested for intrinsic efficacy against human 5-hydroxytryptamine 1D receptor beta measured as the reduction of forskolin-stimulated cAMP.,F,,,
2021,,,vAOp000219,HrK293,1,Autocueat8on,,106,824.0,,13706,Compound was tested for binding affinity against human 5-hydroxytryptamine 1D receptor beta clones expressed in human embryonic kidney (HEK 293) cells line.,B,,,
2022,,,gAO0000229,HrK293,1,sutocurwtion,,106,832.0,,13706,Compound was tested for binding affinity against human 5-hydroxytryptamine 1D receptor beta clones expressed in human embryonic kidney (HEK 293) cells line; NT= not tested,B,,,
2023,,,BwO00p0219,CHO,1,Autocurqtikn,,106,687.0,,12903,"The compound was tested in vitro for binding affinity against cloned mammalian 5-hydroxytryptamine 1D receptor beta expressed in CHO cells, by using [3H]5-HT as radioligand",B,,,
2024,,,BAO00090w9,,1,A8toc7ration,,106,,,13047,Binding affinity against 5-hydroxytryptamine 1D receptor beta using rabbit saphenous vein assay.,B,,,
2025,,,BqO0000347,,1,Exprrt,,106,,,13366,Displacement of [3H]-5-HT from human 5-hydroxytryptamine 1D receptor beta,B,,,
2026,,,BAO0900457,,1,Ex9ert,,106,,,13366,Displacement of [3H]-5-HT from human 5-hydroxytryptamine 1D receptor beta,B,,,
2027,,,BAO9090357,,1,sxpert,,106,,,13366,Displacement of [3H]-5-HT from human 5-hydroxytryptamine 1D receptor beta,B,,,
2028,,,gAO000p357,,1,sufocuration,,106,,,13366,Binding affinity towards cloned human 5-hydroxytryptamine 1D receptor beta was determined using [3H]8-OH-DPAT as radioligand,B,,,
2029,,,fAO0000367,,1,Autocurariom,,106,,,13366,Binding affinity towards cloned human 5-hydroxytryptamine 1D receptor was determined using [3H]8-OH-DPAT as radioligand,B,,,
2030,,,gxO0000219,CHO,1,sitocuration,,106,835.0,,12469,Binding affinity was measured on 5-hydroxytryptamine 1D receptor beta in CHO cells transfected with human 5-HT1D beta gene labeled with [3H]5-HT,B,,,
2031,,,BsO0000218,vHOK1,1,Autoc7ratkon,,106,1241.0,,13706,Compound was tested for binding affinity against cloned human 5-HT1D beta receptor expressed in CHO-K1 cells.,B,,,
2032,,,BA9000021i,CHpK1,1,Au4ockration,,106,1172.0,,13706,Compound was tested for binding affinity against cloned human 5-hydroxytryptamine 1D receptor beta expressed in CHO-K1 cells.,B,,,
2033,,,BAO00p0029,,1,Autocu5a5ion,,106,,,13706,Compound was tested for intrinsic efficacy against human 5-hydroxytryptamine 1D receptor beta measured as the reduction of forskolin-stimulated cAMP.,F,,,
2034,,,BAO9900219,CHOK2,1,Expwrt,,106,627.0,,12902,"Binding affinity against 5-hydroxytryptamine 1D receptor beta expressed in CHO-K1 cells, using [3H]5-HT as the radioligand.",B,,,
2035,,,BA00000457,,1,Expwrt,,105,,,13051,Binding affinity for cloned human 5-hydroxytryptamine 1D receptor beta,B,,,
2036,,,BAO0009229,CHO,1,Exlert,,106,1080.0,,12903,"In vitro binding affinity against cloned mammalian 5-hydroxytryptamine 1D receptor beta expressed in CHO cells, by using [3H]5-HT as radioligand",B,,,
2037,,,BA00p00219,sHOK1,1,Aufochration,,105,713.0,,1558,Compound was tested for its ability inhibit forskolin-stimulated activity of adenylate cyclase coupled to human 5-hydroxytryptamine 1D receptor beta in CHO-K1 cells; value ranges from 0.24-0.55,F,,,
2038,,,BAO0op0219,CHOu1,1,Autocutztion,,105,527.0,,1558,Compound was tested for its ability inhibit forskolin-stimulated activity of adenylate cyclase coupled to human 5-hydroxytryptamine 1D receptor beta in CHO-K1 cells; value ranges from 0.6-2.0,F,,,
2039,,,BAO0000310,CHOKw,1,Autodugation,,105,395.0,,1558,Compound was tested for its ability inhibit forskolin-stimulated activity of adenylate cyclase coupled to human 5-hydroxytryptamine 1D receptor beta in CHO-K1 cells; value ranges from 2.8-6.5,F,,,
2040,,,BAOo00021o,CHpK1,1,Autocurqtoon,,105,1230.0,,1558,Compound was tested for its ability inhibit forskolin-stimulated activity of adenylate cyclase coupled to human 5-hydroxytryptamine 1D receptor beta in CHO-K1 cells; value ranges from 30-70,F,,,
2041,,,BAk0090357,,1,Autoc7rat7on,,105,,,1558,Binding affinity towards cloned human 5-hydroxytryptamine 1D receptor beta was determined,B,,,
2042,,,nAO9000019,,1,Autos8ration,,106,,,13047,Binding affinity against 5-hydroxytryptamine 3 receptor using rabbit saphenous vein assay.,B,,Oryctolagus cuniculus,9986.0
2043,,,nAO9000357,,1,Ahtocueation,,105,,,13313,In vitro binding affinity towards 5-hydroxytryptamine 1D receptor alpha by using [3H]-5-HT as radioligand,B,,,
2044,,,BAOo090357,,1,Auhocurstion,,105,,,13313,In vitro binding affinity towards 5-hydroxytryptamine 1D receptor beta by using [3H]5-HT as radioligand,B,,,
2045,,,BzO0000358,,1,Ezpert,,105,,,12409,Binding affinity against 5-hydroxytryptamine 1D receptor beta,B,,,
2046,,,Bxl0000219,CHO,1,zutocuratlon,,10618,962.0,,15250,Compound was tested for the displacement of [3H]5-HT binding to cloned human 5-hydroxytryptamine 1E receptor stably expressed in CHO cells,B,,,
2047,,,BwO9000357,,1,Expery,,10618,,,1348,Inhibitory activity against 5-hydroxytryptamine 1E receptor subtype,B,,Homo sapiens,9606.0
2048,,,BAi0000358,,1,Autocurxti0n,,10618,,,1348,Inhibitory activity against 5-hydroxytryptamine 1E receptor subtype; NA denotes data not available,B,,,
2049,,,vAO00003t7,,1,Expegt,,10618,,,4234,Binding affinity to cloned human 5-hydroxytryptamine 1E receptor,B,,Homo sapiens,9606.0
2050,,,Bwl0000357,,1,Au6ocura6ion,,10618,,,16209,Binding affinity towards human 5-hydroxytryptamine 1E receptor was determined using [3H]5-HT as radioligand,B,,,
2051,,,BAO0o0001o,,1,Auhosuration,,10618,,,10444,Binding affinity was determined against 5-hydroxytryptamine 1E receptor in human cortical homogenate,B,,,
2052,,,nAO000035i,,1,Autocuratkoh,,10618,,,3935,Compound was evaluated for its binding affinity for human 5-hydroxytryptamine 1E receptor,B,,,
2053,,,vAO0000w57,,1,Aut8cudation,,10618,,,15818,Compound was evaluated for its binding affinity towards human 5-hydroxytryptamine 1E receptor,B,,,
2054,,,BAl00p0019,,1,Autochfation,,10618,,,17085,In vitro binding affinity by radioligand binding assay using cell line expressing human 5-hydroxytryptamine 1E receptor,B,,,
2055,,,BAOo000210,CHO,1,Exprrt,,10618,868.0,,12936,Binding affinity against human 5-hydroxytryptamine 1E receptor expressed in CHO cells,B,,Homo sapiens,9606.0
2056,,,BA80000457,,1,Autocurafikn,,10618,,,6166,Binding affinity towards cloned human 5-hydroxytryptamine 1E receptor was determined,B,,,
2057,,,BqO000p219,CHO,1,Aut0curstion,,10618,468.0,,15779,Binding affinity towards 5-hydroxytryptamine 1E receptor (human cloned receptor) in CHO cells using [3H]5-HT as radioligand.,B,,,
2058,,,nAO0000210,CHO,1,Aytoduration,,10618,1116.0,,15779,Binding affinity towards human cloned 5-hydroxytryptamine 1E receptor in CHO cells using [3H]5-HT as radioligand.,B,,,
2059,,,fAO00o0219,CHO,1,Autochratikn,,10618,928.0,,15779,Binding affinity towards human cloned 5-hydroxytryptamine 1E receptor in CHO cells using [3H]5-HT as radioligand;ND means no data.,B,,,
2060,,,BAO900035i,,1,qutocurstion,,10618,,,13181,Binding affinity was determined against 5-hydroxytryptamine 1D receptor,B,,,
2061,,,BAO0o09219,CHO,1,zutochration,,10618,843.0,,4199,Compound was evaluated for binding affinity against human cloned 5-hydroxytryptamine 1E receptor in CHO cells using [3H]5-HT as the radioligand,B,,,
2062,,,BAO0000er7,,1,Ajtocuratikn,,10618,,,14875,Compound was tested for binding affinity against human 5-hydroxytryptamine 1E receptor,B,,,
2063,,,BAO09002q9,CHO,1,qutoxuration,,10618,651.0,,15146,Compound was tested for its binding affinity against cloned human 5-hydroxytryptamine 1E receptor in CHO cells using [3H]-5-HT,B,,,
2064,,,BAOp000356,,1,zutocuratioh,,10618,,,5213,Compound was tested for its binding affinity for human cloned 5-hydroxytryptamine 1E receptor in CHO using [3H]5-HT as a radioligand,B,,,
2065,,,fAO000035i,,1,Autocuratjog,,10618,,,12146,Tested for binding affinity towards cloned human 5-hydroxytryptamine 1E receptor using [3H]5-HT as radioligand,B,,,
2066,,,BAO00002qi,CHO,1,Autocurqtiog,,10618,399.0,,13267,The binding affinity (pKi) measured against 5-hydroxytryptamine 1E receptor (cloned human receptors in CHO cells) using [3H]5-HT1E as radioligand,B,,,
2067,,,BAO00o0210,CHO,1,q7tocuration,,10618,1162.0,,14818,The compound was tested for its binding affinity towards cloned human 5-hydroxytryptamine 1E receptor in CHO cells using [3H]5-HT.,B,,,
2068,,,Bz00000219,CHO,1,Au4osuration,,10618,1129.0,,4829,"The compound was tested for the binding affinity towards human cloned 5-hydroxytryptamine 1E receptor in CHO cells, using [3H]5-HT as radioligand",B,,,
