Fiscal year,Section ID,CountryRegion name,Organisation name,Knowledge for development (marker),Trade development (marker),Organisation class,CountryRegion percent,Youth issues (marker),Continent ID,Bilateral aid (international marker),CFLI (marker),Branch name,Regional program (marker),Urban issues (marker),PBA type,Desertification (marker),Maximum CIDA contribution (project-level),Children issues (marker),Division ID,Continent name,Status,Project number,CIDA business delivery model (old),Division name,Project Browser country ID,Branch ID,Sector percent,Participatory development and good governance,Organisation type,Disability issues (marker),Gender equality (marker),Section name,Biodiversity (marker),Programming process (new),Fund centre ID,Fund centre name,Untied amount(Project-level budget),FSTC percent,IRTC percent,Enviromental sustainability (marker),Climate change adaptation (marker),Climate change mitigation (marker)
2009/2010,S4449,Haiti,Consultation Claude G. Rochon Inc.,0,0,Civil Society,0.75,0,1,1,0,NGM Americas,0,0,Not PBA,0,3757126.03,0,D4400,America,Terminating,A031785002,Directive,NDD Americas Programming,HT,B4400,1.0,1,Canadian Profit Making,0,0,Ha�ti & Dominican Republic Section,0,Uncoded: Pre-APP,4452,Haiti,0.0,1.0,0.0,0,0,0
2009/2010,S4449,Haiti,SOCOFEP INC,0,0,Civil Society,0.75,0,1,1,0,NGM Americas,0,0,Not PBA,0,3757126.03,0,D4400,America,Terminating,A031785002,Directive,NDD Americas Programming,HT,B4400,1.0,1,Canadian Profit Making,0,0,Ha�ti & Dominican Republic Section,0,Uncoded: Pre-APP,4452,Haiti,0.0,1.0,0.0,0,0,0
2009/2010,S4449,Haiti,Les Productions du Quetzal Inc.,0,0,Civil Society,0.75,0,1,1,0,NGM Americas,0,0,Not PBA,0,3757126.03,0,D4400,America,Terminating,A031785002,Directive,NDD Americas Programming,HT,B4400,1.0,1,Canadian Profit Making,0,0,Ha�ti & Dominican Republic Section,0,Uncoded: Pre-APP,4452,Haiti,0.0,1.0,0.0,0,0,0
2009/2010,S4449,Haiti,Information not available,0,0,Individual,0.75,0,1,1,0,NGM Americas,0,0,Not PBA,0,3757126.03,0,D4400,America,Terminating,A031785002,Directive,NDD Americas Programming,HT,B4400,1.0,1,Canadian Profit Making,0,0,Ha�ti & Dominican Republic Section,0,Uncoded: Pre-APP,4452,Haiti,0.0,1.0,0.0,0,0,0
2009/2010,S4449,Haiti,Information not available,0,0,Individual,0.75,0,1,1,0,NGM Americas,0,0,Not PBA,0,3757126.03,0,D4400,America,Terminating,A031785002,Directive,NDD Americas Programming,HT,B4400,1.0,1,Canadian Profit Making,0,0,Ha�ti & Dominican Republic Section,0,Uncoded: Pre-APP,4452,Haiti,0.0,1.0,0.0,0,0,0
2009/2010,S4449,Haiti,Information not available,0,0,Individual,0.75,0,1,1,0,NGM Americas,0,0,Not PBA,0,3757126.03,0,D4400,America,Terminating,A031785002,Directive,NDD Americas Programming,HT,B4400,1.0,1,Canadian Profit Making,0,0,Ha�ti & Dominican Republic Section,0,Uncoded: Pre-APP,4452,Haiti,0.0,1.0,0.0,0,0,0
2009/2010,S4449,Haiti,Information not available,0,0,Individual,0.75,0,1,1,0,NGM Americas,0,0,Not PBA,0,3757126.03,0,D4400,America,Terminating,A031785002,Directive,NDD Americas Programming,HT,B4400,1.0,1,Canadian Profit Making,0,0,Ha�ti & Dominican Republic Section,0,Uncoded: Pre-APP,4452,Haiti,0.0,1.0,0.0,0,0,0
2009/2010,S4449,Haiti,Information not available,0,0,Individual,0.75,0,1,1,0,NGM Americas,0,0,Not PBA,0,3757126.03,0,D4400,America,Terminating,A031785002,Directive,NDD Americas Programming,HT,B4400,1.0,1,Canadian Profit Making,0,0,Ha�ti & Dominican Republic Section,0,Uncoded: Pre-APP,4452,Haiti,0.0,1.0,0.0,0,0,0
2009/2010,S4449,Haiti,Information not available,0,0,Individual,0.75,0,1,1,0,NGM Americas,0,0,Not PBA,0,3757126.03,0,D4400,America,Terminating,A031785002,Directive,NDD Americas Programming,HT,B4400,1.0,1,Canadian Profit Making,0,0,Ha�ti & Dominican Republic Section,0,Uncoded: Pre-APP,4452,Haiti,0.0,1.0,0.0,0,0,0
2009/2010,S4449,Haiti,Information not available,0,0,Individual,0.75,0,1,1,0,NGM Americas,0,0,Not PBA,0,3757126.03,0,D4400,America,Terminating,A031785002,Directive,NDD Americas Programming,HT,B4400,1.0,1,Canadian Profit Making,0,0,Ha�ti & Dominican Republic Section,0,Uncoded: Pre-APP,4452,Haiti,0.0,1.0,0.0,0,0,0
2009/2010,S4449,Haiti,Information not available,0,0,Individual,0.75,0,1,1,0,NGM Americas,0,0,Not PBA,0,3757126.03,0,D4400,America,Terminating,A031785002,Directive,NDD Americas Programming,HT,B4400,1.0,1,Canadian Profit Making,0,0,Ha�ti & Dominican Republic Section,0,Uncoded: Pre-APP,4452,Haiti,0.0,1.0,0.0,0,0,0
2009/2010,S4449,Haiti,Information not available,0,0,Individual,0.75,0,1,1,0,NGM Americas,0,0,Not PBA,0,3757126.03,0,D4400,America,Terminating,A031785002,Directive,NDD Americas Programming,HT,B4400,1.0,1,Canadian Profit Making,0,0,Ha�ti & Dominican Republic Section,0,Uncoded: Pre-APP,4452,Haiti,0.0,1.0,0.0,0,0,0
2009/2010,S4449,Haiti,Information not available,0,0,Individual,0.75,0,1,1,0,NGM Americas,0,0,Not PBA,0,3757126.03,0,D4400,America,Terminating,A031785002,Directive,NDD Americas Programming,HT,B4400,1.0,1,Canadian Profit Making,0,0,Ha�ti & Dominican Republic Section,0,Uncoded: Pre-APP,4452,Haiti,0.0,1.0,0.0,0,0,0
2009/2010,S4449,Haiti,Information not available,0,0,Individual,0.75,0,1,1,0,NGM Americas,0,0,Not PBA,0,3757126.03,0,D4400,America,Terminating,A031785002,Directive,NDD Americas Programming,HT,B4400,1.0,1,Canadian Profit Making,0,0,Ha�ti & Dominican Republic Section,0,Uncoded: Pre-APP,4452,Haiti,0.0,1.0,0.0,0,0,0
2009/2010,S4449,Haiti,Information not available,0,0,Individual,0.75,0,1,1,0,NGM Americas,0,0,Not PBA,0,3757126.03,0,D4400,America,Terminating,A031785002,Directive,NDD Americas Programming,HT,B4400,1.0,1,Canadian Profit Making,0,0,Ha�ti & Dominican Republic Section,0,Uncoded: Pre-APP,4452,Haiti,0.0,1.0,0.0,0,0,0
2009/2010,S4449,Haiti,Information not available,0,0,Individual,0.75,0,1,1,0,NGM Americas,0,0,Not PBA,0,3757126.03,0,D4400,America,Terminating,A031785002,Directive,NDD Americas Programming,HT,B4400,1.0,1,Canadian Profit Making,0,0,Ha�ti & Dominican Republic Section,0,Uncoded: Pre-APP,4452,Haiti,0.0,1.0,0.0,0,0,0
2009/2010,S4450,Cuba,Department of Foreign Affairs and International Trade,0,0,Governmental,1.0,0,1,1,0,NGM Americas,0,0,Not PBA,0,842873.97,0,D4400,America,Operational,A031785003,Directive,NDD Americas Programming,CU,B4400,1.0,1,Canadian Non-Profit Making,0,0,Cuba,0,Uncoded: Pre-APP,4450,Cuba,0.0,1.0,0.0,0,0,0
2009/2010,S4450,Cuba,�TUDE �CONOMIQUE CONSEIL INC.,0,0,Civil Society,1.0,0,1,1,0,NGM Americas,0,0,Not PBA,0,842873.97,0,D4400,America,Operational,A031785003,Directive,NDD Americas Programming,CU,B4400,1.0,1,Canadian Profit Making,0,0,Cuba,0,Uncoded: Pre-APP,4450,Cuba,0.0,1.0,0.0,0,0,0
2009/2010,S4450,Cuba,Information not available,0,0,Individual,1.0,0,1,1,0,NGM Americas,0,0,Not PBA,0,842873.97,0,D4400,America,Operational,A031785003,Directive,NDD Americas Programming,CU,B4400,1.0,1,Canadian Profit Making,0,0,Cuba,0,Uncoded: Pre-APP,4450,Cuba,0.0,1.0,0.0,0,0,0
2009/2010,S4450,Cuba,Information not available,0,0,Individual,1.0,0,1,1,0,NGM Americas,0,0,Not PBA,0,842873.97,0,D4400,America,Operational,A031785003,Directive,NDD Americas Programming,CU,B4400,1.0,1,Canadian Profit Making,0,0,Cuba,0,Uncoded: Pre-APP,4450,Cuba,0.0,1.0,0.0,0,0,0
2009/2010,S4130,Nepal,Department of Foreign Affairs and International Trade,0,0,Governmental,1.0,0,3,1,0,OGM Asia Pacific,0,0,Not PBA,0,4237913.18,0,D4100,Asia,Closed,A031786001,Directive,OAD Asia Programming,NP,B4100,0.55,1,Canadian Non-Profit Making,0,0,Philippines and Mongolia,0,Uncoded: Pre-APP,4117,Nepal,0.0,1.0,0.0,0,0,0
2009/2010,S4130,Nepal,Department of Foreign Affairs and International Trade,0,0,Governmental,1.0,0,3,1,0,OGM Asia Pacific,0,0,Not PBA,0,4237913.18,0,D4100,Asia,Closed,A031786001,Directive,OAD Asia Programming,NP,B4100,0.15,1,Canadian Non-Profit Making,0,0,Philippines and Mongolia,0,Uncoded: Pre-APP,4117,Nepal,0.0,1.0,0.0,0,0,0
2009/2010,S4130,Nepal,Department of Foreign Affairs and International Trade,0,0,Governmental,1.0,0,3,1,0,OGM Asia Pacific,0,0,Not PBA,0,4237913.18,0,D4100,Asia,Closed,A031786001,Directive,OAD Asia Programming,NP,B4100,0.1,1,Canadian Non-Profit Making,0,0,Philippines and Mongolia,0,Uncoded: Pre-APP,4117,Nepal,0.0,1.0,0.0,0,0,0
2009/2010,S4130,Nepal,Department of Foreign Affairs and International Trade,0,0,Governmental,1.0,0,3,1,0,OGM Asia Pacific,0,0,Not PBA,0,4237913.18,0,D4100,Asia,Closed,A031786001,Directive,OAD Asia Programming,NP,B4100,0.2,1,Canadian Non-Profit Making,0,0,Philippines and Mongolia,0,Uncoded: Pre-APP,4117,Nepal,0.0,1.0,0.0,0,0,0
2009/2010,S4400,Americas MC,Altis Human Resources,0,0,Civil Society,1.0,1,1,1,0,NGM Americas,1,0,Not PBA,0,258402.94,0,D4400,America,Closed,A031825001,Directive,NDD Americas Programming,X2,B4400,0.1,1,Canadian Profit Making,0,2,Americas Section,0,Uncoded: Pre-APP,4404,Inter American,0.0,1.0,0.0,1,0,0
2009/2010,S4400,Americas MC,Information not available,0,0,Individual,1.0,1,1,1,0,NGM Americas,1,0,Not PBA,0,258402.94,0,D4400,America,Closed,A031825001,Directive,NDD Americas Programming,X2,B4400,0.1,1,Canadian Profit Making,0,2,Americas Section,0,Uncoded: Pre-APP,4404,Inter American,0.0,1.0,0.0,1,0,0
2009/2010,S4400,Americas MC,Altis Human Resources,0,0,Civil Society,1.0,1,1,1,0,NGM Americas,1,0,Not PBA,0,258402.94,0,D4400,America,Closed,A031825001,Directive,NDD Americas Programming,X2,B4400,0.3,1,Canadian Profit Making,0,2,Americas Section,0,Uncoded: Pre-APP,4404,Inter American,0.0,1.0,0.0,1,0,0
2009/2010,S4400,Americas MC,Information not available,0,0,Individual,1.0,1,1,1,0,NGM Americas,1,0,Not PBA,0,258402.94,0,D4400,America,Closed,A031825001,Directive,NDD Americas Programming,X2,B4400,0.3,1,Canadian Profit Making,0,2,Americas Section,0,Uncoded: Pre-APP,4404,Inter American,0.0,1.0,0.0,1,0,0
2009/2010,S4400,Americas MC,Altis Human Resources,0,0,Civil Society,1.0,1,1,1,0,NGM Americas,1,0,Not PBA,0,258402.94,0,D4400,America,Closed,A031825001,Directive,NDD Americas Programming,X2,B4400,0.35,1,Canadian Profit Making,0,2,Americas Section,0,Uncoded: Pre-APP,4404,Inter American,0.0,1.0,0.0,1,0,0
2009/2010,S4400,Americas MC,Information not available,0,0,Individual,1.0,1,1,1,0,NGM Americas,1,0,Not PBA,0,258402.94,0,D4400,America,Closed,A031825001,Directive,NDD Americas Programming,X2,B4400,0.35,1,Canadian Profit Making,0,2,Americas Section,0,Uncoded: Pre-APP,4404,Inter American,0.0,1.0,0.0,1,0,0
2009/2010,S4400,Americas MC,Altis Human Resources,0,0,Civil Society,1.0,1,1,1,0,NGM Americas,1,0,Not PBA,0,258402.94,0,D4400,America,Closed,A031825001,Directive,NDD Americas Programming,X2,B4400,0.05,1,Canadian Profit Making,0,2,Americas Section,0,Uncoded: Pre-APP,4404,Inter American,0.0,1.0,0.0,1,0,0
2009/2010,S4400,Americas MC,Information not available,0,0,Individual,1.0,1,1,1,0,NGM Americas,1,0,Not PBA,0,258402.94,0,D4400,America,Closed,A031825001,Directive,NDD Americas Programming,X2,B4400,0.05,1,Canadian Profit Making,0,2,Americas Section,0,Uncoded: Pre-APP,4404,Inter American,0.0,1.0,0.0,1,0,0
2009/2010,S4400,Americas MC,Altis Human Resources,0,0,Civil Society,1.0,1,1,1,0,NGM Americas,1,0,Not PBA,0,258402.94,0,D4400,America,Closed,A031825001,Directive,NDD Americas Programming,X2,B4400,0.1,1,Canadian Profit Making,0,2,Americas Section,0,Uncoded: Pre-APP,4404,Inter American,0.0,1.0,0.0,1,0,0
2009/2010,S4400,Americas MC,Information not available,0,0,Individual,1.0,1,1,1,0,NGM Americas,1,0,Not PBA,0,258402.94,0,D4400,America,Closed,A031825001,Directive,NDD Americas Programming,X2,B4400,0.1,1,Canadian Profit Making,0,2,Americas Section,0,Uncoded: Pre-APP,4404,Inter American,0.0,1.0,0.0,1,0,0
2009/2010,S4400,Americas MC,Altis Human Resources,0,0,Civil Society,1.0,1,1,1,0,NGM Americas,1,0,Not PBA,0,258402.94,0,D4400,America,Closed,A031825001,Directive,NDD Americas Programming,X2,B4400,0.1,1,Canadian Profit Making,0,2,Americas Section,0,Uncoded: Pre-APP,4404,Inter American,0.0,1.0,0.0,1,0,0
2009/2010,S4400,Americas MC,Information not available,0,0,Individual,1.0,1,1,1,0,NGM Americas,1,0,Not PBA,0,258402.94,0,D4400,America,Closed,A031825001,Directive,NDD Americas Programming,X2,B4400,0.1,1,Canadian Profit Making,0,2,Americas Section,0,Uncoded: Pre-APP,4404,Inter American,0.0,1.0,0.0,1,0,0
2009/2010,S4400,Chile,First Nations Technical Institute,0,0,Civil Society,1.0,1,1,1,0,NGM Americas,1,0,Not PBA,0,25273.0,0,D4400,America,Closed,A031825034,Responsive,NDD Americas Programming,CL,B4400,1.0,0,Canadian Non-Profit Making,0,0,Americas Section,0,Uncoded: Pre-APP,4404,Inter American,0.0,1.0,0.0,0,0,0
2009/2010,S4400,Guatemala,First Nation Land Management Resource Centre Inc.,0,0,Civil Society,1.0,0,1,1,0,NGM Americas,1,0,Not PBA,0,15000.0,0,D4400,America,Closed,A031825043,Responsive,NDD Americas Programming,GT,B4400,0.2,1,Canadian Non-Profit Making,0,2,Americas Section,1,Uncoded: Pre-APP,4404,Inter American,0.0,0.7,0.0,1,0,0
2009/2010,S4400,Guatemala,First Nation Land Management Resource Centre Inc.,0,0,Civil Society,1.0,0,1,1,0,NGM Americas,1,0,Not PBA,0,15000.0,0,D4400,America,Closed,A031825043,Responsive,NDD Americas Programming,GT,B4400,0.5,1,Canadian Non-Profit Making,0,2,Americas Section,1,Uncoded: Pre-APP,4404,Inter American,0.0,0.7,0.0,1,0,0
2009/2010,S4400,Guatemala,First Nation Land Management Resource Centre Inc.,0,0,Civil Society,1.0,0,1,1,0,NGM Americas,1,0,Not PBA,0,15000.0,0,D4400,America,Closed,A031825043,Responsive,NDD Americas Programming,GT,B4400,0.3,1,Canadian Non-Profit Making,0,2,Americas Section,1,Uncoded: Pre-APP,4404,Inter American,0.0,0.7,0.0,1,0,0
2009/2010,S4400,Guyana,Glooscap International Investments Inc.,0,0,Civil Society,1.0,0,1,1,0,NGM Americas,1,0,Not PBA,0,14200.0,0,D4400,America,Closed,A031825046,Responsive,NDD Americas Programming,GY,B4400,0.3,0,Canadian Non-Profit Making,0,2,Americas Section,0,Uncoded: Pre-APP,4404,Inter American,0.0,1.0,0.0,0,0,0
2009/2010,S4400,Guyana,Glooscap International Investments Inc.,0,0,Civil Society,1.0,0,1,1,0,NGM Americas,1,0,Not PBA,0,14200.0,0,D4400,America,Closed,A031825046,Responsive,NDD Americas Programming,GY,B4400,0.7,0,Canadian Non-Profit Making,0,2,Americas Section,0,Uncoded: Pre-APP,4404,Inter American,0.0,1.0,0.0,0,0,0
2009/2010,S4400,Bolivia,Yukon River Inter-Tribal Watershed Council,0,0,Civil Society,1.0,0,1,1,0,NGM Americas,1,0,Not PBA,0,14080.92,0,D4400,America,Closed,A031825054,Responsive,NDD Americas Programming,BO,B4400,0.5,0,Canadian Non-Profit Making,0,2,Americas Section,0,Uncoded: Pre-APP,4404,Inter American,0.0,1.0,0.0,1,0,1
2009/2010,S4400,Bolivia,Yukon River Inter-Tribal Watershed Council,0,0,Civil Society,1.0,0,1,1,0,NGM Americas,1,0,Not PBA,0,14080.92,0,D4400,America,Closed,A031825054,Responsive,NDD Americas Programming,BO,B4400,0.5,0,Canadian Non-Profit Making,0,2,Americas Section,0,Uncoded: Pre-APP,4404,Inter American,0.0,1.0,0.0,1,0,1
2009/2010,S4400,Guatemala,B.C. Association of Aboriginal Friendship Centres,0,0,Civil Society,1.0,1,1,1,0,NGM Americas,1,0,Not PBA,0,100000.0,0,D4400,America,Closed,A031825059,Responsive,NDD Americas Programming,GT,B4400,0.3,0,Canadian Non-Profit Making,0,2,Americas Section,0,Uncoded: Pre-APP,4404,Inter American,0.0,0.7,0.0,0,0,0
2009/2010,S4400,Guatemala,B.C. Association of Aboriginal Friendship Centres,0,0,Civil Society,1.0,1,1,1,0,NGM Americas,1,0,Not PBA,0,100000.0,0,D4400,America,Closed,A031825059,Responsive,NDD Americas Programming,GT,B4400,0.4,0,Canadian Non-Profit Making,0,2,Americas Section,0,Uncoded: Pre-APP,4404,Inter American,0.0,0.7,0.0,0,0,0
2009/2010,S4400,Guatemala,B.C. Association of Aboriginal Friendship Centres,0,0,Civil Society,1.0,1,1,1,0,NGM Americas,1,0,Not PBA,0,100000.0,0,D4400,America,Closed,A031825059,Responsive,NDD Americas Programming,GT,B4400,0.3,0,Canadian Non-Profit Making,0,2,Americas Section,0,Uncoded: Pre-APP,4404,Inter American,0.0,0.7,0.0,0,0,0
2009/2010,S4400,Americas MC,Native Women Association of Canada,0,0,Civil Society,1.0,0,1,1,0,NGM Americas,1,0,Not PBA,0,75613.98,0,D4400,America,Closed,A031825060,Responsive,NDD Americas Programming,X2,B4400,0.4,0,Canadian Non-Profit Making,0,3,Americas Section,0,Uncoded: Pre-APP,4404,Inter American,75613.98,1.0,0.0,0,0,0
2009/2010,S4400,Americas MC,Native Women Association of Canada,0,0,Civil Society,1.0,0,1,1,0,NGM Americas,1,0,Not PBA,0,75613.98,0,D4400,America,Closed,A031825060,Responsive,NDD Americas Programming,X2,B4400,0.6,0,Canadian Non-Profit Making,0,3,Americas Section,0,Uncoded: Pre-APP,4404,Inter American,75613.98,1.0,0.0,0,0,0
2009/2010,S4400,Honduras,Nicickousemenecaning First Nation,0,0,Civil Society,1.0,0,1,1,0,NGM Americas,1,0,Not PBA,0,96042.79,0,D4400,America,Closed,A031825065,Responsive,NDD Americas Programming,HN,B4400,1.0,0,Canadian Non-Profit Making,0,1,Americas Section,0,Uncoded: Pre-APP,4404,Inter American,96042.79,1.0,0.0,0,0,0
2009/2010,S4400,Guatemala,Justice Education Society of British Columbia,0,0,Civil Society,1.0,0,1,1,0,NGM Americas,1,0,Not PBA,0,100000.0,0,D4400,America,Closed,A031825069,Responsive,NDD Americas Programming,GT,B4400,1.0,0,Canadian Non-Profit Making,0,0,Americas Section,0,Uncoded: Pre-APP,4404,Inter American,0.0,1.0,0.0,0,0,0
2009/2010,S4400,Guyana,Ktunaxa Nation Council,0,0,Civil Society,1.0,0,1,1,0,NGM Americas,1,0,Not PBA,0,100000.0,0,D4400,America,Closed,A031825071,Responsive,NDD Americas Programming,GY,B4400,1.0,0,Canadian Non-Profit Making,0,0,Americas Section,0,Uncoded: Pre-APP,4404,Inter American,0.0,1.0,0.0,0,0,0
2009/2010,S4400,Ecuador,Enaahtig Healing Lodge and Learning Centre,0,0,Civil Society,1.0,0,1,1,0,NGM Americas,1,0,Not PBA,0,15000.0,0,D4400,America,Closed,A031825072,Responsive,NDD Americas Programming,EC,B4400,0.5,0,Canadian Non-Profit Making,0,0,Americas Section,0,Uncoded: Pre-APP,4404,Inter American,15000.0,1.0,0.0,0,0,0
2009/2010,S4400,Ecuador,Enaahtig Healing Lodge and Learning Centre,0,0,Civil Society,1.0,0,1,1,0,NGM Americas,1,0,Not PBA,0,15000.0,0,D4400,America,Closed,A031825072,Responsive,NDD Americas Programming,EC,B4400,0.5,0,Canadian Non-Profit Making,0,0,Americas Section,0,Uncoded: Pre-APP,4404,Inter American,15000.0,1.0,0.0,0,0,0
2009/2010,S4400,Peru,National Native Addictions Partnership Foundation Inc.,0,0,Civil Society,1.0,1,1,1,0,NGM Americas,1,0,Not PBA,0,99869.72,1,D4400,America,Closed,A031825073,Responsive,NDD Americas Programming,PE,B4400,1.0,0,Canadian Non-Profit Making,0,0,Americas Section,0,Uncoded: Pre-APP,4404,Inter American,99869.72,1.0,0.0,0,0,0
2009/2010,S4400,Americas MC,Metis National Council Secretariat Inc.,0,0,Civil Society,1.0,0,1,1,0,NGM Americas,1,0,Not PBA,0,99500.0,0,D4400,America,Closed,A031825074,Responsive,NDD Americas Programming,X2,B4400,1.0,0,Canadian Non-Profit Making,0,0,Americas Section,0,Uncoded: Pre-APP,4404,Inter American,99500.0,1.0,0.0,0,0,0
2009/2010,S4400,Bolivia,Treaty 8 Tribal Association,0,0,Civil Society,1.0,0,1,1,0,NGM Americas,1,0,Not PBA,0,98563.86,0,D4400,America,Closed,A031825075,Responsive,NDD Americas Programming,BO,B4400,1.0,0,Canadian Non-Profit Making,0,0,Americas Section,0,Uncoded: Pre-APP,4404,Inter American,0.0,1.0,0.0,0,0,0
2009/2010,S4287,"Congo, Dem Rep.",Department of Foreign Affairs and International Trade,0,0,Governmental,1.0,0,2,1,0,WGM Sub-Saharan Africa,0,0,Not PBA,0,6114499.24,0,D4207,Africa,Closed,A031842001,Responsive,WWD West & Central Africa,CD,B4200,0.2,1,Canadian Non-Profit Making,0,2,Central Africa & Great Lakes Program,0,Uncoded: Pre-APP,4298,Democratic Republic of Congo,6114499.24,1.0,0.0,0,0,0
2009/2010,S4287,"Congo, Dem Rep.",Department of Foreign Affairs and International Trade,0,0,Governmental,1.0,0,2,1,0,WGM Sub-Saharan Africa,0,0,Not PBA,0,6114499.24,0,D4207,Africa,Closed,A031842001,Responsive,WWD West & Central Africa,CD,B4200,0.6,1,Canadian Non-Profit Making,0,2,Central Africa & Great Lakes Program,0,Uncoded: Pre-APP,4298,Democratic Republic of Congo,6114499.24,1.0,0.0,0,0,0
2009/2010,S4287,"Congo, Dem Rep.",Department of Foreign Affairs and International Trade,0,0,Governmental,1.0,0,2,1,0,WGM Sub-Saharan Africa,0,0,Not PBA,0,6114499.24,0,D4207,Africa,Closed,A031842001,Responsive,WWD West & Central Africa,CD,B4200,0.2,1,Canadian Non-Profit Making,0,2,Central Africa & Great Lakes Program,0,Uncoded: Pre-APP,4298,Democratic Republic of Congo,6114499.24,1.0,0.0,0,0,0
2009/2010,S4122,Bangladesh,Department of Foreign Affairs and International Trade,0,0,Governmental,1.0,1,3,1,0,OGM Asia Pacific,0,0,Pooled funding,0,24258443.75,2,D4100,Asia,Closed,A031865001,Responsive,OAD Asia Programming,BD,B4100,0.8,0,Canadian Non-Profit Making,1,2,Bangladesh Section,0,Uncoded: Pre-APP,4122,Bangladesh,20000000.0,1.0,0.0,0,0,0
2009/2010,S4122,Bangladesh,Department of Foreign Affairs and International Trade,0,0,Governmental,1.0,1,3,1,0,OGM Asia Pacific,0,0,Pooled funding,0,24258443.75,2,D4100,Asia,Closed,A031865001,Responsive,OAD Asia Programming,BD,B4100,0.2,0,Canadian Non-Profit Making,1,2,Bangladesh Section,0,Uncoded: Pre-APP,4122,Bangladesh,20000000.0,1.0,0.0,0,0,0
2009/2010,S4126,Indonesia,SNC-Lavalin Inc.,0,0,Civil Society,1.0,0,3,1,0,OGM Asia Pacific,0,0,Not PBA,0,19667680.0,0,D4100,Asia,Operational,A031866001,Directive,OAD Asia Programming,ID,B4100,0.3,1,Canadian Profit Making,0,0,OAI Indonesia and SEA Regional,0,Uncoded: Pre-APP,4127,Indonesia,19667680.0,1.0,0.0,1,0,0
2009/2010,S4126,Indonesia,SNC-Lavalin Inc.,0,0,Civil Society,1.0,0,3,1,0,OGM Asia Pacific,0,0,Not PBA,0,19667680.0,0,D4100,Asia,Operational,A031866001,Directive,OAD Asia Programming,ID,B4100,0.3,1,Canadian Profit Making,0,0,OAI Indonesia and SEA Regional,0,Uncoded: Pre-APP,4127,Indonesia,19667680.0,1.0,0.0,1,0,0
2009/2010,S4126,Indonesia,SNC-Lavalin Inc.,0,0,Civil Society,1.0,0,3,1,0,OGM Asia Pacific,0,0,Not PBA,0,19667680.0,0,D4100,Asia,Operational,A031866001,Directive,OAD Asia Programming,ID,B4100,0.3,1,Canadian Profit Making,0,0,OAI Indonesia and SEA Regional,0,Uncoded: Pre-APP,4127,Indonesia,19667680.0,1.0,0.0,1,0,0
2009/2010,S4126,Indonesia,SNC-Lavalin Inc.,0,0,Civil Society,1.0,0,3,1,0,OGM Asia Pacific,0,0,Not PBA,0,19667680.0,0,D4100,Asia,Operational,A031866001,Directive,OAD Asia Programming,ID,B4100,0.1,1,Canadian Profit Making,0,0,OAI Indonesia and SEA Regional,0,Uncoded: Pre-APP,4127,Indonesia,19667680.0,1.0,0.0,1,0,0
2009/2010,S4256,Morocco,Consortium International de D�veloppement en �ducation (CIDE),0,0,Civil Society,1.0,0,2,1,0,"EGM Europe, Middle East and Maghreb",0,0,Not PBA,0,10516838.78,0,D3100,Africa,Closed,A031873001,Directive,EDD Europe-Middle East Programming,MA,B3100,1.0,0,Canadian Profit Making,0,0,Middle East and North Africa,0,Uncoded: Pre-APP,4260,Morocco,10516838.78,1.0,0.0,0,0,0
2009/2010,S4256,Morocco,Information not available,0,0,Individual,1.0,0,2,1,0,"EGM Europe, Middle East and Maghreb",0,0,Not PBA,0,10516838.78,0,D3100,Africa,Closed,A031873001,Directive,EDD Europe-Middle East Programming,MA,B3100,1.0,0,Canadian Profit Making,0,0,Middle East and North Africa,0,Uncoded: Pre-APP,4260,Morocco,10516838.78,1.0,0.0,0,0,0
2009/2010,S4126,China,Statistics Canada,0,0,Governmental,1.0,0,3,1,0,OGM Asia Pacific,0,0,Not PBA,0,13087032.38,0,D4100,Asia,Closed,A031879001,Directive,OAD Asia Programming,CN,B4100,0.8,1,Canadian Non-Profit Making,0,2,OAI Indonesia and SEA Regional,0,Uncoded: Pre-APP,4130,China,13087032.38,1.0,0.0,1,0,0
2009/2010,S4126,China,Agriteam Canada,0,0,Civil Society,1.0,0,3,1,0,OGM Asia Pacific,0,0,Not PBA,0,13087032.38,0,D4100,Asia,Closed,A031879001,Directive,OAD Asia Programming,CN,B4100,0.8,1,Canadian Profit Making,0,2,OAI Indonesia and SEA Regional,0,Uncoded: Pre-APP,4130,China,13087032.38,1.0,0.0,1,0,0
2009/2010,S4126,China,Statistics Canada,0,0,Governmental,1.0,0,3,1,0,OGM Asia Pacific,0,0,Not PBA,0,13087032.38,0,D4100,Asia,Closed,A031879001,Directive,OAD Asia Programming,CN,B4100,0.2,1,Canadian Non-Profit Making,0,2,OAI Indonesia and SEA Regional,0,Uncoded: Pre-APP,4130,China,13087032.38,1.0,0.0,1,0,0
2009/2010,S4126,China,Agriteam Canada,0,0,Civil Society,1.0,0,3,1,0,OGM Asia Pacific,0,0,Not PBA,0,13087032.38,0,D4100,Asia,Closed,A031879001,Directive,OAD Asia Programming,CN,B4100,0.2,1,Canadian Profit Making,0,2,OAI Indonesia and SEA Regional,0,Uncoded: Pre-APP,4130,China,13087032.38,1.0,0.0,1,0,0
