description,curated_by,variant_id,cell_id,assay_tax_id,assay_subcellular_fraction,src_assay_id,assay_id,chembl_id,assay_tissue,confidence_score,src_id,assay_category,bao_format,assay_test_type,assay_organism,doc_id,tid,assay_type,relationship_type,assay_cell_type,tissue_id,assay_strain
Affinity against 5-hydroxytryptamine 2A receptor (D) labeled with [125I]DOI.,Expert,,,,,,2497,CHEMBL617384,,8,1,,BAO_0000357,,,12369,107,B,H,,,
Affinity against 5-hydroxytryptamine 2A receptor (K) labeled with [3H]ketanserin.,Expert,,,,,,2498,CHEMBL617385,,8,1,,BAO_0000357,,,12369,107,B,H,,,
The compound was tested for CNS binding affinity towards 5-hydroxytryptamine 2A receptor from cloned Human membranes,Autocuration,,,,,,2499,CHEMBL617386,,8,1,,BAO_0000019,,,14447,107,B,H,,,
The compound was tested for CNS binding affinity towards 5-hydroxytryptamine 2A receptor from cloned Human membranes.,Autocuration,,,,,,2500,CHEMBL617387,,8,1,,BAO_0000019,,,14447,107,B,H,,,
Binding constant towards serotonin receptor subtype 5-hydroxytryptamine 2A receptor expressed in 3T3 cells using [3H]5-HT as radioligand; Not determined,Autocuration,,723.0,,,,2501,CHEMBL617388,,8,1,,BAO_0000219,,,17451,107,B,H,NIH3T3,,
Relative efficacy against human 5-hydroxytryptamine 2A receptor expressed in CHO cells using fluorometric imaging plate reader relative to 10 uM 5-HT,Autocuration,,449.0,,,,2502,CHEMBL617389,,8,1,,BAO_0000219,,,6857,107,F,H,CHO,,
Relative efficacy against human 5-hydroxytryptamine 2A receptor expressed in CHO cells using fluorometric imaging plate reader relative to 10 uM 5-HT,Expert,,449.0,9606.0,,,2503,CHEMBL617390,,9,1,,BAO_0000219,,Homo sapiens,6857,107,F,D,CHO,,
Selectivity ratio of binding affinity of 5-hydroxytryptamine 2A receptor to that of 5-hydroxytryptamine 2C receptor.,Autocuration,,,,,,2504,CHEMBL617391,,4,1,,BAO_0000224,,,5635,104817,B,H,,,
Binding activity radioligand.,Autocuration,,,,,,2505,CHEMBL617392,,8,1,,BAO_0000357,,,12861,107,B,H,,,
Binding activity against 5-hydroxytryptamine 2C receptor from human brain cortex using [3H]mesulergine as radioligand.,Autocuration,,,,,,2506,CHEMBL617393,,8,1,,BAO_0000019,,,12861,107,B,H,,,
Binding affinity for human cloned 5-HT2A receptor expressed in L929 cells using [125I]R91150 as radioligand,Autocuration,,307.0,,,,2507,CHEMBL617394,,8,1,,BAO_0000219,,,5105,107,B,H,L929,,
Binding affinity for human cloned 5-hydroxytryptamine 2A receptor expressed in L929 cells using [125I]R91150 as radioligand,Expert,,307.0,,,,2508,CHEMBL617395,,8,1,,BAO_0000219,,,5104,107,B,H,L929,,
Binding affinity at human cloned 5-hydroxytryptamine 2A receptor expressed in L929 cells by [125I]R91150 displacement.,Expert,,307.0,,,,2509,CHEMBL617396,,8,1,,BAO_0000219,,,5105,107,B,H,L929,,
Binding affinity for human cloned 5-hydroxytryptamine 2A receptor expressed in L929 cells using [125I]R91150 as radioligand; Not tested,Autocuration,,307.0,,,,2510,CHEMBL617397,,8,1,,BAO_0000219,,,5105,107,B,H,L929,,
Binding affinity against 5-HT2A receptor,Autocuration,,,,,,2511,CHEMBL617398,,8,1,,BAO_0000357,,,5254,107,B,H,,,
Binding affinity against 5-hydroxytryptamine 2A receptor,Autocuration,,,,,,2512,CHEMBL617399,,8,1,,BAO_0000357,,,5254,107,B,H,,,
Antagonistic binding affinity measured against 5-hydroxytryptamine 2A receptor (human clone expressed in 293 cells) using [3H]ketanserin as radioligand,Autocuration,,722.0,,,,2513,CHEMBL617400,,8,1,,BAO_0000219,,,13267,107,B,H,HEK293,,
Antagonistic binding affinity measured against 5-hydroxytryptamine 2C receptor (human clone expressed in 293 cells) using [3H]mesulergine as radioligand,Autocuration,,722.0,,,,2514,CHEMBL617401,,8,1,,BAO_0000219,,,13267,107,B,H,HEK293,,
Displacement of [3H]ketanserin from 5-hydroxytryptamine 2A receptor expressed in HEK 293 cells,Expert,,722.0,9606.0,,,2515,CHEMBL617402,,9,1,,BAO_0000219,,Homo sapiens,14157,107,B,D,HEK293,,
Binding affinity against human 5-hydroxytryptamine 2A receptor expressed in 293 cells using [3H]ketanserin,Expert,,722.0,9606.0,,,2516,CHEMBL617403,,9,1,,BAO_0000219,,Homo sapiens,12936,107,B,D,HEK293,,
Binding affinity against human 5-hydroxytryptamine 2A receptor using displacement of [3H]5-HT,Expert,,,,,,2517,CHEMBL617404,,8,1,,BAO_0000357,,,14068,107,B,H,,,
Binding affinity against human 5-hydroxytryptamine 2A receptor expressed in 293 cells using [3H]ketanserin,Expert,,722.0,9606.0,,,2518,CHEMBL857981,,9,1,,BAO_0000219,,Homo sapiens,12936,107,B,D,HEK293,,
Binding affinity against human 5-hydroxytryptamine 2A receptor expressed in 293 cells using [3H]ketanserin,Expert,,722.0,9606.0,,,2519,CHEMBL617405,,9,1,,BAO_0000219,,Homo sapiens,12936,107,B,D,HEK293,,
Binding affinity to human cloned 5-hydroxytryptamine 2A receptor in HEK 293 cells using [3H]- ketanserin as radioligand,Expert,,722.0,9606.0,,,2520,CHEMBL617253,,9,1,,BAO_0000219,,Homo sapiens,4540,107,B,D,HEK293,,
Binding affinity at human cloned 5-hydroxytryptamine 2A receptor.,Expert,,,,,,2521,CHEMBL617254,,8,1,,BAO_0000357,,,6166,107,B,H,,,
Binding affinity against 5-hydroxytryptamine 2A receptor human cloned receptors in HEK 293 cells using [3H]ketanserin as radioligand,Autocuration,,722.0,,,,2522,CHEMBL617255,,8,1,,BAO_0000219,,,17296,107,B,H,HEK293,,
Binding affinity against 5-hydroxytryptamine 2A receptor human cloned receptors in HEK 293 cells using [3H]ketanserin as radioligand,Autocuration,,722.0,,,,2523,CHEMBL617256,,8,1,,BAO_0000219,,,17296,107,B,H,HEK293,,
Binding affinity against 5-hydroxytryptamine 2A receptor human cloned receptorswithouteffect in HEK 293 cells using [3H]ketanserin as radioligand,Autocuration,,722.0,,,,2524,CHEMBL616874,,8,1,,BAO_0000219,,,17296,107,B,H,HEK293,,
Binding affinity towards 5-hydroxytryptamine 2A receptor (human cloned receptor) in HEK 293 cells using [3H]ketanserin as radioligand.,Expert,,722.0,9606.0,,,2525,CHEMBL616875,,9,1,,BAO_0000219,,Homo sapiens,15779,107,B,D,HEK293,,
Binding affinity towards human 5-hydroxytryptamine 2A receptor expressed in HEK 293 cells using [3H]ketanserin as radioligand,Expert,,722.0,,,,2526,CHEMBL616876,,8,1,,BAO_0000219,,,14391,107,B,H,HEK293,,
"Binding affinity towards human cloned 5-hydroxytryptamine receptor 2A in HEK293 cells, using [3H]ketanserin as radioligand.",Expert,,722.0,,,,2527,CHEMBL616877,,8,1,,BAO_0000219,,,15851,107,B,H,HEK293,,
Displacement of [3H]ketanserin from human 5-hydroxytryptamine 2A receptor expressed in HEK293 cells; compound is insoluble,Expert,,722.0,9606.0,,,2528,CHEMBL616878,,9,1,,BAO_0000219,,Homo sapiens,15851,107,B,D,HEK293,,
Binding affinity towards human cloned 5-hydroxytryptamine 2A receptor of HEK293 cells by displacement of [3H]ketanserin,Expert,,722.0,,,,2529,CHEMBL616879,,8,1,,BAO_0000219,,,3832,107,B,H,HEK293,,
In vitro binding affinity at human cloned 5-hydroxytryptamine 2A receptor of HEK293 cells by [3H]ketanserin displacement.,Expert,,722.0,,,,2530,CHEMBL616880,,8,1,,BAO_0000219,,,3833,107,B,H,HEK293,,
Binding affinity against human 5-hydroxytryptamine 2A receptor expressed in 293 cells using [3H]ketanserin,Expert,,722.0,9606.0,,,2531,CHEMBL616881,,9,1,,BAO_0000219,,Homo sapiens,12936,107,B,D,HEK293,,
Binding constant towards serotonin receptor subtype 5-hydroxytryptamine 2A receptor expressed in 3T3 cells using [3H]5-HT as radioligand,Autocuration,,723.0,,,,2532,CHEMBL616882,,8,1,,BAO_0000219,,,17451,107,B,H,NIH3T3,,
Binding constant towards serotonin receptor subtype 5-hydroxytryptamine 2A receptor expressed in 3T3 cells using [3H]5-HT as radioligand; Not determined,Autocuration,,723.0,,,,2533,CHEMBL616883,,8,1,,BAO_0000219,,,17451,107,B,H,NIH3T3,,
Binding constant towards serotonin receptor subtype 5-hydroxytryptamine 2A receptor expressed in 3T3 cells using [3H]5-HT as radioligand; Not determined,Autocuration,,723.0,,,,2534,CHEMBL616884,,8,1,,BAO_0000219,,,17451,107,B,H,NIH3T3,,
Compound was evaluated for binding affinity against human cloned 5-hydroxytryptamine 2A receptor in HEK 293 cells using [3H]ketanserin as the radioligand,Autocuration,,722.0,,,,2535,CHEMBL616885,,8,1,,BAO_0000219,,,4199,107,B,H,HEK293,,
Compound was evaluated for displacement of [3H]ketanserin from human cloned 5-hydroxytryptamine 2A receptor in transfected CHO-K1 cells,Autocuration,,485.0,,,,2536,CHEMBL616886,,8,1,,BAO_0000219,,,1883,107,B,H,CHO-K1,,
Displacement of [3H]-ketanserin from human cloned 5-hydroxytryptamine 2A receptor expressed in CHO-K1 cells.,Expert,,485.0,,,,2537,CHEMBL616887,,8,1,,BAO_0000219,,,1883,107,B,H,CHO-K1,,
Binding affinity for human 5-hydroxytryptamine 2A receptor,Expert,,,9606.0,,,2538,CHEMBL616888,,9,1,,BAO_0000357,,Homo sapiens,14875,107,B,D,,,
Compound was tested for its binding affinity against 5-hydroxytryptamine 2A receptor in human cloned receptors in HEK 293 cells using [3H]ketanserin,Autocuration,,722.0,,,,2539,CHEMBL616889,,8,1,,BAO_0000219,,,15146,107,B,H,HEK293,,
Compound was tested for its binding affinity for human cloned 5-hydroxytryptamine 2A receptor in HEK 293 using [3H]ketanserin as a radioligand,Autocuration,,722.0,,,,2540,CHEMBL616890,,8,1,,BAO_0000219,,,5213,107,B,H,HEK293,,
Inhibitory constant for human 5-hydroxytryptamine 2A receptor transfected in to CHO cells,Expert,,449.0,9606.0,,,2541,CHEMBL616891,,9,1,,BAO_0000219,,Homo sapiens,16404,107,B,D,CHO,,
The compound was tested for its binding affinity towards cloned human 5-hydroxytryptamine 2A receptor in HEK293 cells using [3H]-ketanserin.,Autocuration,,722.0,,,,2542,CHEMBL616892,,8,1,,BAO_0000219,,,14818,107,B,H,HEK293,,
"The compound was tested for the binding affinity towards human cloned 5-hydroxytryptamine 2A receptor in HEK293 cells, using [3H]ketanserin as radioligand",Autocuration,,722.0,,,,2543,CHEMBL616893,,8,1,,BAO_0000219,,,4829,107,B,H,HEK293,,
Percent of maximum stimulation of phosphatidylinositol turnover at cloned 5-hydroxytryptamine 2A receptor in 3T3 cells,Autocuration,,723.0,,,,2544,CHEMBL616894,,8,1,,BAO_0000219,,,12652,10620,F,H,NIH3T3,,
Displacement of [3H]ketanserin from 5-hydroxytryptamine 2A receptor expressed NIH3T3 cells,Expert,,723.0,,,,2545,CHEMBL616895,,8,1,,BAO_0000219,,,4682,107,B,H,NIH3T3,,
The maximum responses of [3H]- inositol monophosphate accumulation in cells expressing the 5-hydroxytryptamine 2A receptor,Autocuration,,,,,,2546,CHEMBL616896,,8,1,,BAO_0000019,,,12652,10620,F,H,,,
Ability to displace [3H]-Ketanserin radioligand from porcine 5-hydroxytryptamine 2A receptor,Autocuration,,,,,,2547,CHEMBL617099,,8,1,,BAO_0000357,,,4921,10621,B,H,,,
Ability to displace [3H]ketanserin radioligand from porcine 5-hydroxytryptamine 2A receptor; ND denotes not determined,Autocuration,,,,,,2548,CHEMBL617100,,8,1,,BAO_0000357,,,4921,10621,B,H,,,
Binding affinity against rabbit aorta 5-HT2A receptor,Autocuration,,,9986.0,,,2549,CHEMBL884532,,8,1,,BAO_0000357,,Oryctolagus cuniculus,16312,107,B,H,,,
Binding affinity for 5-hydroxytryptamine 2A receptor of rabbit aorta ring preparations,Expert,,,9986.0,,,2550,CHEMBL617101,,8,1,,BAO_0000357,,Oryctolagus cuniculus,14998,107,B,H,,,
Dissociation equilibrium constant against the vascular 5-hydroxytryptamine 2A receptor in the rabbit saphenous aorta,Expert,,,9986.0,,,2551,CHEMBL617102,,8,1,,BAO_0000357,,Oryctolagus cuniculus,14025,107,B,H,,,
Binding affinity against 5-hydroxytryptamine 1D receptor alpha using rabbit saphenous vein assay.,Autocuration,,,9986.0,,,2552,CHEMBL617103,,8,1,,BAO_0000019,,Oryctolagus cuniculus,13047,107,B,H,,,
The compound was tested for binding affinity against 5-HT2A receptor,Expert,,,9986.0,,,2553,CHEMBL617104,,8,1,,BAO_0000357,,Oryctolagus cuniculus,13047,107,B,H,,,
Compound was evaluated for displacement of [3H]ketanserin from cloned rat 5-hydroxytryptamine 2A receptor in transfected CHO-K1 cells.,Autocuration,,485.0,,,,2554,CHEMBL857979,,8,1,,BAO_0000219,,,1883,10576,B,H,CHO-K1,,
Binding affinity analysed towards 5-HT 2A in rat jugular vein,Autocuration,,,,,,2555,CHEMBL857502,,8,1,,BAO_0000019,,,13463,12687,B,H,,,
Binding affinity analysed towards 5-HT 2A in rat jugular vein.,Autocuration,,,,,,2556,CHEMBL617105,,8,1,,BAO_0000019,,,13463,12687,B,H,,,
Binding affinity analysed on 5-HT 2A in rat stomach fundus.,Autocuration,,,,,,2557,CHEMBL858021,Stomach,8,1,,BAO_0000019,,,13463,12687,B,H,,945.0,
Binding affinity for 5-HT 2A in rat stomach fundus,Expert,,,10116.0,,,2558,CHEMBL875910,Stomach,9,1,,BAO_0000019,,Rattus norvegicus,13463,12687,B,D,,945.0,
Binding affinity analysed towards 5-HT 2A in rat jugular vein.,Autocuration,,,,,,2559,CHEMBL617106,,8,1,,BAO_0000019,,,13463,12687,B,H,,,
Ability to stimulate phosphoinositide hydrolysis in NIH3T3 cells expressing the 5-hydroxytryptamine 2A receptor,Expert,,723.0,,,,2560,CHEMBL617107,,8,1,,BAO_0000219,,,16326,12687,B,H,NIH3T3,,
Effect on phosphoinositide hydrolysis in NIH 3T3 fibroblast 5-hydroxytryptamine 2A receptor,Autocuration,,,,,,2561,CHEMBL617108,,8,1,,BAO_0000019,,,14093,12687,F,H,,,
Effect on phosphoinositide hydrolysis in NIH 3T3 fibroblast expressing 5-hydroxytryptamine 2A receptor,Autocuration,,,,,,2562,CHEMBL617109,,8,1,,BAO_0000019,,,14093,12687,F,H,,,
Evaluated for the effective concentration at [125I]-DOI-labeled rat 5-hydroxytryptamine 2A receptor,Autocuration,,,,,,2563,CHEMBL617110,,8,1,,BAO_0000357,,,15740,12687,B,H,,,
Functional potency at the rat 5-hydroxytryptamine 2A receptor as effective concentration EC50 for stimulating Phosphoinositide accumulation,Autocuration,,,,,,2564,CHEMBL617111,,8,1,,BAO_0000357,,,16633,12687,B,H,,,
In vitro relative agonist activity against 5-hydroxytryptamine 2A using PI assay in rat vascular smooth muscle cells,Expert,,,10116.0,,,2565,CHEMBL617112,,9,1,,BAO_0000019,,Rattus norvegicus,17200,12687,F,D,,,
Tested for its ability to activate phospholipase C by quantification of IP3 at cloned rat 5-hydroxytryptamine 2A receptor,Autocuration,,,,,,2566,CHEMBL617113,,8,1,,BAO_0000357,,,17133,12687,B,H,,,
Tested for its ability to activate phospholipase C by quantification of IP3 at cloned rat 5-hydroxytryptamine 2A receptor,Autocuration,,,,,,2567,CHEMBL617114,,8,1,,BAO_0000357,,,17133,12687,B,H,,,
Tested for its ability to activate phospholipase c by quantification of IP3 at cloned rat 5-hydroxytryptamine 2A receptor,Autocuration,,,,,,2568,CHEMBL617115,,8,1,,BAO_0000357,,,17133,12687,B,H,,,
The receptor (5-hydroxytryptamine 2A ) mediated mobilization of intracellular calcium [Ca2+] was studied in rat smooth muscle cells,Autocuration,,,,,,2569,CHEMBL617116,,8,1,,BAO_0000219,,,17200,12687,F,H,,,
Efficacy at 5-hydroxytryptamine 2A receptor,Autocuration,,,,,,2570,CHEMBL617117,,8,1,,BAO_0000019,,,15363,12687,F,H,,,
In vitro efficacy against rat 5-hydroxytryptamine 2A receptor was determined by using CA+ assay (Emax),Autocuration,,,,,,2571,CHEMBL617118,,8,1,,BAO_0000357,,,17200,12687,B,H,,,
In vitro efficacy against rat 5-hydroxytryptamine 2A receptor was determined by using CA+ assay (Emax),Expert,,,10116.0,,,2572,CHEMBL617119,,9,1,,BAO_0000357,,Rattus norvegicus,17200,12687,B,D,,,
In vitro efficacy against rat 5-hydroxytryptamine 2A receptor determined by using PI assay (Emax),Expert,,,10116.0,,,2573,CHEMBL617120,,9,1,,BAO_0000357,,Rattus norvegicus,17200,12687,B,D,,,
The receptor (5-hydroxytryptamine 2A ) mediated mobilization of intracellular calcium [Ca2+] was studied in rat smooth muscle cells,Expert,,,10116.0,,,2574,CHEMBL617121,,9,1,,BAO_0000219,,Rattus norvegicus,17200,12687,F,D,,,
The receptor (5-hydroxytryptamine 2A) mediated mobilization of intracellular calcium [Ca2+] was studied in rat smooth muscle cells,Autocuration,,,,,,2575,CHEMBL617122,,8,1,,BAO_0000219,,,17200,12687,F,H,,,
Ability to displace [3H]ketanserin (0.5 nM) from cerebral cortex of rat 5-hydroxytryptamine 2A receptor,Autocuration,,,,,,2576,CHEMBL617123,,8,1,,BAO_0000019,,,17211,12687,B,H,,,
Binding affinity against 5-hydroxytryptamine 2A receptor by displacement of [3H]-ketanserin from rat prefrontal cerebral cortex mambranes,Expert,,,,,,2577,CHEMBL617124,,8,1,,BAO_0000019,,,17331,12687,B,H,,,
Binding affinity to serotonin 5-hydroxytryptamine 2A receptors using a radioligand [3H]ketanserin binding assay in rat cortical membranes,Expert,,,,,,2578,CHEMBL617600,,8,1,,BAO_0000249,,,13565,12687,B,H,,,
Binding affinity towards rat 5-hydroxytryptamine 2A receptor was evaluated using [3H]- ketanserin as radioligand,Expert,,,,,,2579,CHEMBL617601,,8,1,,BAO_0000357,,,13730,12687,B,H,,,
In vitro affinity towards 5-hydroxytryptamine 2A receptor using [3H]spiroperidol as radioligand in cortex,Expert,,,,,,2580,CHEMBL882923,,8,1,,BAO_0000019,,,12416,12687,B,H,,,
Compound was tested for it's binding affinity towards 5-hydroxytryptamine 2A receptor,Autocuration,,,,,,2581,CHEMBL617602,,8,1,,BAO_0000357,,,15295,12687,B,H,,,
Compound was tested for its ability to displace [3H]DOB from 5-hydroxytryptamine 2A receptor in rat cortex homogenates,Autocuration,,,,,,2582,CHEMBL617603,,8,1,,BAO_0000019,,,1742,12687,B,H,,,
Compound was tested for the inhibition of [3H]ketanserin binding to 5-hydroxytryptamine 2A receptor,Autocuration,,,,,,2583,CHEMBL617604,,8,1,,BAO_0000357,,,15295,12687,B,H,,,
Binding affinity towards 5-hydroxytryptamine 2A receptor from rat frontal cortex using [3H]ketanserin as radioligand,Expert,,,,,,2584,CHEMBL617605,,8,1,,BAO_0000019,,,14970,12687,B,H,,,
In vitro binding affinity for serotonin 5-hydroxytryptamine 2A receptor of rat cerebral cortex using [3H]ketanserin as radioligand,Expert,,,,,,2585,CHEMBL617606,,8,1,,BAO_0000019,,,16693,12687,B,H,,,
Inhibition of [3H]ketanserin binding to rat frontal cortex membrane 5-hydroxytryptamine 2A receptor,Expert,,,10116.0,,,2586,CHEMBL617607,,9,1,,BAO_0000019,,Rattus norvegicus,14776,12687,B,D,,,
In vitro inhibitory concentration against radioligand [3H]ketanserin binding to 5-hydroxytryptamine 2A receptor in rat cortical membrane,Autocuration,,,,,,2587,CHEMBL617455,,8,1,,BAO_0000249,,,14286,12687,B,H,,,
In vitro inhibition of [125I]DOI binding to 5-hydroxytryptamine 2A receptor in rat cerebral cortex,Expert,,,10116.0,,,2588,CHEMBL617456,,9,1,,BAO_0000019,,Rattus norvegicus,17200,12687,B,D,,,
Inhibitory concentration against 5-hydroxytryptamine 2A receptor (Inactive at >1000 nM concentration),Expert,,,,,,2589,CHEMBL617457,,8,1,,BAO_0000357,,,15306,12687,B,H,,,
Inhibition of radiolabeled [3H]-Ketanserin ligand binding to 5-hydroxytryptamine 2A receptor,Expert,,,10116.0,,,2590,CHEMBL617458,,9,1,,BAO_0000357,,Rattus norvegicus,14178,12687,B,D,,,
Inhibition of [3H]ketanserin binding to 5-hydroxytryptamine 2A receptor from rat brain,Expert,,,10116.0,,,2591,CHEMBL617459,,9,1,,BAO_0000019,,Rattus norvegicus,14229,12687,B,D,,,
Binding affinity towards 5-hydroxytryptamine 2A receptor binding site using [3H]ketanserin. ,Expert,,,,,,2592,CHEMBL617460,,8,1,,BAO_0000357,,,12884,12687,B,H,,,
"Binding affinity for 5-hydroxytryptamine 2A receptor, activity is expressed as IC50 values.",Expert,,,,,,2593,CHEMBL617461,,8,1,,BAO_0000357,,,13149,12687,B,H,,,
Displacement of [3H]ketanserin from rat cortical membrane 5-hydroxytryptamine 2A receptor at 10e-7 M,Expert,,,10116.0,,,2594,CHEMBL617462,,9,1,,BAO_0000019,,Rattus norvegicus,15295,12687,B,D,,,
Intrinsic activity was determined at 5-hydroxytryptamine 2A receptor which is percentage response given compared with the response produced by 10 uM serotonin.,Autocuration,,,,,,2595,CHEMBL617463,,8,1,,BAO_0000357,,,15740,12687,B,H,,,
"Compound was tested for binding affinity at 5-hydroxytryptamine 2A receptor sites in rat cortical homogenate using [125I]-2,5-Dimethoxy -4-iodoamphetamine (DOI).",Autocuration,,,,,,2596,CHEMBL617464,,8,1,,BAO_0000019,,,15185,12687,B,H,,,
"Compound was tested for binding affinity using [3H]MDL-100,907 at 5-hydroxytryptamine 2A receptor sites in rat cortical homogenate.",Autocuration,,,,,,2597,CHEMBL617465,,8,1,,BAO_0000019,,,15185,12687,B,H,,,
Ability to bind to central serotonin 5-hydroxytryptamine 2A receptor in vitro in cortex of the rat brain using [3H]ketanserin radioligand,Expert,,,,,,2598,CHEMBL617466,,8,1,,BAO_0000019,,,17529,12687,B,H,,,
Ability to displace [3H]- ketanserin bound to 5-hydroxytryptamine 2A receptor in rat pre-frontal cortex,Autocuration,,,,,,2599,CHEMBL617467,,8,1,,BAO_0000019,,,14826,12687,B,H,,,
Displacement of [3H]ketanserin (0.5 nM) from rat cerebral cortex 5-hydroxytryptamine 2A receptors,Expert,,,,,,2600,CHEMBL617468,,8,1,,BAO_0000019,,,17211,12687,B,H,,,
Ability to displace [3H]ketanserin bound to 5-hydroxytryptamine 2A receptor in rat pre-frontal cortex,Autocuration,,,,,,2601,CHEMBL617469,,8,1,,BAO_0000019,,,14826,12687,B,H,,,
Ability to displace [3H]ketanserin from rat cortical homogenate 5-hydroxytryptamine 2A receptor,Autocuration,,,,,,2602,CHEMBL617470,,8,1,,BAO_0000019,,,14093,12687,B,H,,,
Ability to displace [3H]ketanserin from rat cortical homogenate 5-hydroxytryptamine 2A receptor; Not tested,Autocuration,,,,,,2603,CHEMBL617471,,8,1,,BAO_0000019,,,14093,12687,B,H,,,
Ability to inhibit the binding of iodine-125-labelled lysergic acid diethylamide([125I]-LSD) to the S-2A serotonin receptor in NIH3T3 cell line membranes,Expert,,723.0,,,,2604,CHEMBL617472,,8,1,,BAO_0000219,,,13246,12687,B,H,NIH3T3,,
Ability to inhibit the binding of iodine-125-labelled lysergic acid diethylamide([125I]-LSD) to the S-2A serotonin receptor.,Expert,,,,,,2605,CHEMBL617473,,8,1,,BAO_0000357,,,13246,12687,B,H,,,
Affinity 5-hydroxytryptamine 2A receptor of the rat brain cortex was assessed on the basis of their ability to displace [3H]ketanserin,Expert,,,10116.0,,,2606,CHEMBL617474,,9,1,,BAO_0000019,,Rattus norvegicus,15436,12687,B,D,,,
Affinity at 5-hydroxytryptamine 2A receptor of the rat brain cortex was assessed on the basis of their ability to displace [3H]ketanserin,Expert,,,10116.0,,,2607,CHEMBL617475,,9,1,,BAO_0000019,,Rattus norvegicus,15436,12687,B,D,,,
Affinity at [3H]ketanserin-labeled 5-hydroxytryptamine 2A receptor in rat brain homogenate was determined,Autocuration,,,,,,2608,CHEMBL617476,Brain,8,1,,BAO_0000221,,,14442,12687,B,H,,955.0,
Affinity was evaluated as inhibition constant for serotonin 5-hydroxytryptamine 2A receptor,Expert,,,,,,2609,CHEMBL617477,,8,1,,BAO_0000357,,,12457,12687,B,H,,,
Affinity was evaluated by inhibition of [125I]LSD binding to NIH 3T3 cells transfected with cloned rat 5-hydroxytryptamine 2A receptor,Expert,,723.0,,,,2610,CHEMBL617478,,8,1,,BAO_0000219,,,12457,12687,B,H,NIH3T3,,
"Antagonistic activity measured for 5-hydroxytryptamine 2A receptor using [3H]-MDL- 100,907 as radioligand in rat cortical homogenates.",Autocuration,,,,,,2611,CHEMBL617479,,8,1,,BAO_0000221,,,14755,12687,F,H,,,
Binding affinity towards rat 5-hydroxytryptamine 2A receptor was determined using [125I]- DOI as radioligand,Autocuration,,,,,,2612,CHEMBL617480,,8,1,,BAO_0000357,,,4707,12687,B,H,,,
Binding affinity against 5-hydroxytryptamine 2A receptor,Expert,,,,,,2613,CHEMBL617481,,8,1,,BAO_0000357,,,13297,12687,B,H,,,
Binding affinity against 5-hydroxytryptamine 2A receptor by displacement of [3H]ketanserin from rat prefrontal cerebral cortex mambranes,Expert,,,,,,2614,CHEMBL617482,,8,1,,BAO_0000019,,,17331,12687,B,H,,,
Binding affinity against 5-hydroxytryptamine 2A receptor from rat forebrain using [3H]ketanserin as radioligand,Autocuration,,,,,,2615,CHEMBL617483,,8,1,,BAO_0000019,,,4664,12687,B,H,,,
Binding affinity against 5-hydroxytryptamine 2A receptor using [125I]DOI as radioligand,Autocuration,,,,,,2616,CHEMBL621528,,8,1,,BAO_0000357,,,16633,12687,B,H,,,
Binding affinity against 5-hydroxytryptamine 2A receptor expressed NIH3T3 cells using [3H]ketanserin,Expert,,723.0,10116.0,,,2617,CHEMBL621529,,9,1,,BAO_0000219,,Rattus norvegicus,4664,12687,B,D,NIH3T3,,
Binding affinity against rat 5-hydroxytryptamine 2A receptor using [3H]DOB as radioligand,Expert,,,,,,2618,CHEMBL621530,,8,1,,BAO_0000357,,,16133,12687,B,H,,,
Binding affinity against rat 5-hydroxytryptamine 2A receptor using [3H]ketanserin as radioligand,Expert,,,,,,2619,CHEMBL621531,,8,1,,BAO_0000357,,,16133,12687,B,H,,,
Binding affinity against rat brain 5-hydroxytryptamine 2A receptor,Expert,,,10116.0,,,2620,CHEMBL621532,,9,1,,BAO_0000019,,Rattus norvegicus,14060,12687,B,D,,,
Binding affinity at cloned rat 5-hydroxytryptamine 2A receptor using [3H]DOB as radioligand,Expert,,,,,,2621,CHEMBL621533,,8,1,,BAO_0000357,,,16326,12687,B,H,,,
Binding affinity for displacement of [3H]ketanserin to rat 5-hydroxytryptamine 2A receptor stably expressed in CHO cells,Expert,,449.0,,,,2622,CHEMBL621534,,8,1,,BAO_0000219,,,16659,12687,B,H,CHO,,
Binding affinity measured at the 5-hydroxytryptamine 2A receptor by the inhibition of [3H]ketanserin binding to rat cortex using unlabeled mianserin for nonspecific binding.,Autocuration,,,,,,2623,CHEMBL621535,,8,1,,BAO_0000019,,,14776,12687,B,H,,,
Binding affinity of [3H]- ketanserin labelled towards Rat cortical 5-hydroxytryptamine 2A receptor using radioligand binding assay,Autocuration,,,,,,2624,CHEMBL621536,,8,1,,BAO_0000357,,,13481,12687,B,H,,,
Binding affinity of compound was tested for 5-hydroxytryptamine 2A receptor,Autocuration,,,,,,2625,CHEMBL621537,,8,1,,BAO_0000357,,,17386,12687,B,H,,,
Binding affinity for 5-hydroxytryptamine 2A receptor,Expert,,,10116.0,,,2626,CHEMBL621538,,9,1,,BAO_0000357,,Rattus norvegicus,6611,12687,B,D,,,
Binding affinity against 5-hydroxytryptamine 2A receptor from rat cortex using [3H]ketanserin as the radioligand.,Autocuration,,,,,,2627,CHEMBL621539,,8,1,,BAO_0000019,,,14423,12687,B,H,,,
Binding affinity against 5-hydroxytryptamine 2A receptor of rat pre-frontal cortex,Autocuration,,,,,,2628,CHEMBL621540,,8,1,,BAO_0000019,,,15412,12687,B,H,,,
