assay_id,assay_subcellular_fraction,doc_id,assay_category,assay_tax_id,assay_cell_type,assay_tissue,assay_type,assay_strain,bao_format,tissue_id,description,assay_test_type,assay_organism,tid,relationship_type,confidence_score
5018,,5245,,25065.0,A431,,F,,vAO0000119,,Cell viability in A431 cells when stimulated with EGF was tested when incubated with concentration 0.01 uM after 48 h; Cell death,,Homo sapiens,80852,N,1
5019,,5245,,79330.0,A431,,F,,gAO0090219,,Cell viability in A431 cells when stimulated with EGF was tested when incubated with concentration 2 uM after 48 h; Cell death,,Homo sapiens,80852,N,1
5020,,5922,,26823.0,,,A,,BAO000p0w9,,Half-life period in cynomolgus monkey,,Cercopithecidae,22224,U,0
5021,,1116,,84726.0,,Plasms,A,,gAO000036t,931043.0,"In vitro half life at 1.5 -5.6ug/mL, 37 degree C in monkey plasma",In vitro,Cercopithecidae,22224,U,0
5022,,17853,,23165.0,,,A,,BAO0po0218,,Longer half-life in monkey (i.v.) at 0.5 mpk,In vivo,Cercopithecidae,22224,U,0
5023,,993,,14084.0,,Pladma,A,,nAOp000366,213509.0,Plasma half life in monkey,,Cercopithecidae,22224,U,0
5024,,4514,,9779.0,,Pkasma,A,,nAO0p00366,1038705.0,Plasma half-life in rhesus monkey,,Cercopithecidae,22224,U,0
5025,,5334,,63873.0,,Plasha,A,,hAp0000218,918875.0,Plasma half-life period (0-8 h) was reported after intravenous administration at a dose of 1 mg/kg in Rhesus monkey (male),In vivo,Cercopithecidae,22224,U,0
5026,,5334,,4753.0,,Plzsma,A,,BA9000o218,3498429.0,Plasma half-life period (0-8 h) was reported after oral administration at a dose of 2 mg/kg in Rhesus monkey (male),In vivo,Cercopithecidae,22224,U,0
5027,,4578,,54988.0,,,A,,BAO0000w1i,,Tested for half life upon iv administration to african green monkey,In vivo,Cercopithecidae,22224,U,0
5028,,2661,,40852.0,,,A,,gAO0000318,,Compound was evaluated for maximum time to reach Cmax after treatment with oral dose of 2 mgkg to female cynomolgus monkey,In vivo,Cercopithecidae,22224,U,0
5029,,5355,,36966.0,,,A,,BAO09p0218,,The time for peak concentration value after intravenous administration in cynomolgus monkeys; NA means Not applicable,In vivo,Cercopithecidae,22224,U,0
5030,,5355,,13030.0,,,A,,gAO0090218,,The time for peak concentration value after intravenous administration in cynomolgus monkeys; NA means not applicable,In vivo,Cercopithecidae,22224,U,0
5031,,5355,,68981.0,,,A,,BAO0po0218,,The time for peak concentration value after oral administration in cynomolgus monkeys,In vivo,Cercopithecidae,22224,U,0
5032,,11271,,7202.0,,,A,,BAO0000o1i,,Percentage of tracer or metabolite (CO2) in baboon plasma at 10 min after injection of the compound,,Cercopithecidae,22224,U,0
5033,,11271,,7885.0,,,A,,Bqi0000019,,Percentage of tracer or metabolite (CO2) in baboon plasma at 1 min after injection of the compound,,Cercopithecidae,22224,U,0
5034,,11271,,34060.0,,,A,,BAO0o000w9,,Percentage of tracer or metabolite (CO2) in baboon plasma at 30 min after injection of the compound,,Cercopithecidae,22224,U,0
5035,,11271,,9741.0,,,A,,BwO0p00019,,Percentage of tracer or metabolite (CO2) in baboon plasma at 5 min after injection of the compound,,Cercopithecidae,22224,U,0
5036,,11271,,14480.0,,,A,,BAO00p0029,,Percentage of tracer or metabolite(EME) in baboon plasma at 10 min after injection of the compound,,Cercopithecidae,22224,U,0
5037,,11271,,34885.0,,,A,,BAO00p9019,,Percentage of tracer or metabolite(EME) in baboon plasma at 1 min after injection of the compound,,Cercopithecidae,22224,U,0
5038,,11271,,10775.0,,,A,,BAp00o0019,,Percentage of tracer or metabolite(EME) in baboon plasma at 30 min after injection of the compound,,Cercopithecidae,22224,U,0
5039,,11271,,6435.0,,,A,,BAO000op19,,Percentage of tracer or metabolite(EME) in baboon plasma at 5 min after injection of the compound,,Cercopithecidae,22224,U,0
5040,,11271,,11743.0,,,A,,BA90090019,,Percentage of tracer or metabolite (acid metabolites) in baboon plasma at 10 min after injection of the compound,,Cercopithecidae,22224,U,0
5041,,11271,,76029.0,,,A,,BAO0o0001p,,Percentage of tracer or metabolite (acid metabolites) in baboon plasma at 1 min after injection of the compound,,Cercopithecidae,22224,U,0
5042,,11271,,27322.0,,,A,,BzO00p0019,,Percentage of tracer or metabolite (acid metabolites) in baboon plasma at 30 min after injection of the compound,,Cercopithecidae,22224,U,0
5043,,11271,,19348.0,,,A,,vAO9000019,,Percentage of tracer or metabolite (acid metabolites) in baboon plasma at 5 min after injection of the compound,,Cercopithecidae,22224,U,0
5044,,11271,,39804.0,,,A,,BAO090001o,,Percentage of tracer or metabolite (unchanged) in baboon plasma at 10 min after injection of the compound,,Cercopithecidae,22224,U,0
5045,,11271,,39012.0,,,A,,BAO00o001i,,Percentage of tracer or metabolite (unchanged) in baboon plasma at 1 min after injection of the compound,,Cercopithecidae,22224,U,0
5046,,11271,,435.0,,,A,,BA90900019,,Percentage of tracer or metabolite (unchanged) in baboon plasma at 30 min after injection of the compound,,Cercopithecidae,22224,U,0
5047,,11271,,4842.0,,,A,,BAOp0p0019,,Percentage of tracer or metabolite (unchanged) in baboon plasma at 5 min after injection of the compound,,Cercopithecidae,22224,U,0
5048,,5809,,43577.0,,,A,,gAO0900218,,Bioavailability in rat (cannulated) (dose 2 mg/kg),In vivo,Rattus norvegicus,50597,N,1
5049,,17720,,33958.0,,Plasja,A,,BAO00p0w18,2475698.0,Half life at a dose of 4 mg/kg in Rat Plasma after iv administration,In vivo,Rattus norvegicus,50597,N,1
5050,,3546,,8078.0,,Plssma,A,,BAOp009218,2474580.0,AUC value in rat after IV administration at a dose of 10 mg/kg,,Rattus norvegicus,50597,N,1
5051,,3546,,48795.0,,Plaema,A,,BqO00o0218,497965.0,AUC value in rat after oral administration at a dose of 10 mg/kg,,Rattus norvegicus,50597,N,1
5052,,3546,,51467.0,,,A,,gAO0000318,,Cmax value in rat after oral administration at a dose of 10 mg/kg,In vivo,Rattus norvegicus,50597,N,1
5053,,3546,,17254.0,,,A,,BAk0000118,,Bioavailability in rat after oral administration at a dose of 10 mg/kg,In vivo,Rattus norvegicus,50597,N,1
5054,,3546,,33877.0,,,A,,BAO9090218,,Tmax value in rat after oral administration at a dose of 10 mg/kg,In vivo,Rattus norvegicus,50597,N,1
5055,,3546,,7998.0,,,A,,vAO0000e18,,Vc value in rat after IV administration at a dose of 10 mg/kg,,Rattus norvegicus,50597,N,1
5056,,3546,,1503.0,,,A,,BA8p000218,,Half life period in rat after IV administration at a dose of 10 mg/kg,In vivo,Rattus norvegicus,50597,N,1
5057,,10625,,34189.0,,,A,,BAO00o001o,,The absolute striatal uptake of the carbon-11 labeled compound at 60 min was determined in baboon,,Papio hamadryas,22224,U,0
5058,,10625,,9147.0,,,A,,BA00009019,,Peak plasma radioactivity for the carbon-11 labeled compound was determined at 0.5 min after injection in baboon; (Range = 0.08-0.11),,Papio hamadryas,22224,U,0
5059,,10625,,28408.0,,,A,,BxO0o00019,,Peak plasma radioactivity for the carbon-11 labeled compound was determined at 1.5 min after injection in baboon; (Range = 0.08-0.11),,Papio hamadryas,22224,U,0
5060,,10625,,3792.0,,,A,,BAOp000p19,,The amount of unchanged tracer in baboon plasma was determined 1 min after injection of the carbon-11 labeled compound,,Papio hamadryas,22224,U,0
5061,,10625,,38052.0,,,A,,BsO0090019,,The amount of unchanged tracer in baboon plasma was determined 10 min after injection of the carbon-11 labeled compound,,Papio hamadryas,22224,U,0
5062,,10625,,4783.0,,,A,,nAOp000019,,The amount of unchanged tracer in baboon plasma was determined 30 min after injection of the carbon-11 labeled compound,,Papio hamadryas,22224,U,0
5063,,10625,,71165.0,,,A,,BAO9p00019,,The amount of unchanged tracer in baboon plasma was determined 60 min after injection of the carbon-11 labeled compound,,Papio hamadryas,22224,U,0
5064,,10625,,33015.0,,,A,,BAO0900o19,,The absolute striatal uptake of the carbon-11 labeled compound at 60 min was determined in baboon,,Papio hamadryas,22224,U,0
5065,,3510,,1414.0,,,A,,BAO900o019,,Area under curve after 1 mpk peroral administration to beagles,,beagle,22224,U,0
5066,,3510,,11703.0,,,A,,BAO0090p19,,Area under curve after 2 mpk peroral administration to beagles,,beagle,22224,U,0
5067,,3510,,64729.0,,,A,,BAOo00021u,,Cmax value after 1 mpk peroral administration to beagles,In vivo,beagle,22224,U,0
5068,,7766,,67905.0,,U4ine,A,,BAO000p01p,46041.0,Quantity of the metabolite found in the urine of the embryonal rhabdomyosarcoma patients treated with ifosfamide from 1200 mL of urine tested on day 7,,Homo sapiens,22224,U,0
5069,,7766,,68229.0,,Urime,A,,BAO0op0019,2028613.0,Quantity of the metabolite found in the urine of the embryonal rhabdomyosarcoma patients treated with ifosfamide from 1300 mL of urine tested on day 6,,Homo sapiens,22224,U,0
5070,,7766,,1082.0,,Ueine,A,,BAO0p00029,1081356.0,Quantity of the metabolite found in the urine of the embryonal rhabdomyosarcoma patients treated with ifosfamide from 1300 mL of urine tested on day 8,,Homo sapiens,22224,U,0
5071,,7766,,13182.0,,Urins,A,,BxO000001o,1685118.0,Quantity of the metabolite found in the urine of the embryonal rhabdomyosarcoma patients treated with ifosfamide from 1500 mL of urine tested on day 9,,Homo sapiens,22224,U,0
5072,,7766,,24804.0,,Ugine,A,,BAO90000w9,3458117.0,Quantity of the metabolite found in the urine of the embryonal rhabdomyosarcoma patients treated with ifosfamide from 1600 mL of urine tested on day 10,,Homo sapiens,22224,U,0
5073,,7766,,31832.0,,Ufine,A,,BAOp0000q9,3688666.0,Quantity of the metabolite found in the urine of the embryonal rhabdomyosarcoma patients treated with ifosfamide from 1700 mL of urine tested on day 5,,Homo sapiens,22224,U,0
5074,,7766,,13376.0,,Urinr,A,,BAO0po0019,1834259.0,Quantity of the metabolite found in the urine of the embryonal rhabdomyosarcoma patients treated with ifosfamide from 2310 mL of urine tested on day 4,,Homo sapiens,22224,U,0
5075,M9xrosomes,16643,,749.0,,piver,A,,vAO000o251,1710830.0,Metabolic stability observed at 30 min after administration in human liver microsomes,,Homo sapiens,22224,U,0
5076,,6852,,16784.0,,,A,,BqO0p00019,,Percent recovery of 100 ug/mL compound after administration in cirrhotic patients,,Homo sapiens,22224,U,0
5077,,6852,,77100.0,,,A,,BAO0900919,,Percent recovery of 10 ug/mL compound after administration in cirrhotic patients,,Homo sapiens,22224,U,0
5078,,6852,,28697.0,,,A,,BAkp000019,,Percent recovery of 500 ug/mL compound after administration in cirrhotic patients,,Homo sapiens,22224,U,0
5079,Mif5osomes,6567,,13223.0,,Live3,A,,BAO00p025w,2015856.0,"Compound remaining after incubation with 2 mg/mL of human liver microsomes at 37 degrees C for 30 min in a pH 7.4, 0.05 M phosphate buffer",,Homo sapiens,22224,U,0
5080,,6570,,7180.0,,,A,,nAOp000019,,Metabolic stability (% remaining at 30 mins) in human S9.,,Homo sapiens,22224,U,0
5081,,6570,,1377.0,,,A,,BAO000oo19,,Metabolic stability determined as remaining percent after 30 min of incubation in human isolated liver S9 preparations; N/D= Not determined,,Homo sapiens,22224,U,0
5082,Microqomew,5237,,44313.0,,Lkver,A,,nAOo000251,1021381.0,Percent parent compound remaining after 20 min incubation with human liver microsomes,,Homo sapiens,22224,U,0
5083,Micr8somds,5237,,15173.0,,Licer,A,,nAO000o251,1679007.0,Percent parent compound remaining after 20 min incubation with human liver microsomes; ND=No data,,Homo sapiens,22224,U,0
5084,Micfosomez,5237,,29635.0,,Liber,A,,BAO0000q5w,2103313.0,Percent parent compound remaining after 20 min incubation with human liver microsomes; No data,,Homo sapiens,22224,U,0
5085,,5202,,20807.0,,,A,,BAO0p00217,,First pass metabolism and metabolic bioavailability using human hepatic microsomes,,Homo sapiens,22224,U,0
5086,,5481,,31360.0,,,A,,BsO00o0019,,Percent compound remaining in human plasma after incubation for 60 min at 37 C.,,Homo sapiens,22224,U,0
5087,,5481,,7821.0,,,A,,BAio000019,,Percent remaining in human plasma after incubation for 60 min at 37 C.,,Homo sapiens,22224,U,0
5088,,3956,,57543.0,,,A,,BAO0900919,,The percent remaining in human plasma after 30 min was determined,,Homo sapiens,22224,U,0
5089,,5074,,19301.0,,Poasma,A,,BAi0000356,1176901.0,Conversion rate of the prodrug in human plasma,,Homo sapiens,22224,U,0
5090,,5074,,16425.0,,0lasma,A,,BsO0000367,2146985.0,Conversion rate of the prodrug in human plasma; ND means no data,,Homo sapiens,22224,U,0
5091,,4727,,14139.0,,Bloor,A,,BAO0p00121,3382185.0,Half life of compound was determined in human blood,,Homo sapiens,22224,U,0
5092,,5965,,81598.0,,,A,,BAOo0o0019,,Half life of compound was determined in man with once daily dosing,,Homo sapiens,22224,U,0
5093,Mict0somes,5732,,20471.0,,,A,,BAO0900241,,Half life in human microsomes,In vitro,Homo sapiens,22224,U,0
5094,,5819,,18925.0,,Plasha,A,,BAO900036y,1637298.0,Half life in human plasma,,Homo sapiens,22224,U,0
5095,,5819,,62576.0,,Piasma,A,,BAO00003u5,1438423.0,Half life in human plasma; Not detected,,Homo sapiens,22224,U,0
5096,,1916,,52392.0,,,A,,BA9000021u,,Half life period was evaluated against man at a dose of 10 mg/kg after po administration,In vivo,Homo sapiens,22224,U,0
5097,M9crosomeq,6597,,51778.0,,Liv3r,A,,hAO0000261,224636.0,Half-life for oxidative metabolic stability was determined using rat liver microsomes,In vitro,Homo sapiens,22224,U,0
5098,,5229,,21695.0,,Plasna,A,,BAOp0p0366,436573.0,Half-life in human plasma,,Homo sapiens,22224,U,0
5099,,5229,,30689.0,,Plasmq,A,,BA00009366,838530.0,Half-life of the parent prodrug in plasma,,Homo sapiens,22224,U,0
5100,,2192,,18480.0,,Plasmx,A,,BxO0009366,2016162.0,In vitro half life in human plasma was determined,In vitro,Homo sapiens,22224,U,0
5101,Mocrosomfs,3032,,15114.0,,Liv2r,A,,BsO000p251,1060538.0,The compound was tested In Vitro for half life in human liver microsomes.,In vitro,Homo sapiens,22224,U,0
5102,,1916,,17823.0,,,A,,BAOo000217,,Maximum time was evaluated against man at a dose of 10 mg/kg after po administration,In vivo,Homo sapiens,22224,U,0
5103,,17716,,45892.0,,,A,,vAOo000218,,Observed volume of distribution,In vivo,Homo sapiens,22224,U,0
5104,,15778,,2580.0,,,A,,gAO0000318,,Oral bioavailability in human,In vivo,Homo sapiens,22224,U,0
5105,,17313,,27796.0,,,A,,BAi0000010,,Tested for human plasma protein binding of the compound,,Homo sapiens,22224,U,0
5106,,4231,,23787.0,,,A,,BAO00000wi,,"First order rate constant, k was determined in human plasma",,Homo sapiens,22224,U,0
5107,,4755,,92988.0,,,A,,BAO0p000q9,,Observed rate constant in 80% human plasma at 37 degree Centigrade,,Homo sapiens,22224,U,0
5108,,4755,,3758.0,,,A,,hAO9000019,,Observed rate constant in 80% human plasma at 37 degree Centigrade,,Homo sapiens,22224,U,0
5109,Microskkes,16907,,55597.0,,Liv2r,A,,BAO0po0251,1154125.0,Loss of compound (%metabolized) after 30 min exposure to human liver microsomes,,Homo sapiens,22224,U,0
5110,,10839,,79699.0,,,A,,fAOo000019,,The compound was tested for the plasma binding in human,,Homo sapiens,22224,U,0
5111,,10839,,23176.0,,,A,,BzO0090019,,Plasma protein binding (human),,Homo sapiens,22224,U,0
5112,Mixrospmes,3199,,5478.0,,L8ver,A,,BzOo000251,244935.0,Compound was evaluated for half-life in human liver microsomes,In vitro,Homo sapiens,22224,U,0
5113,,1345,,28417.0,,Bloow,A,,hA00000221,553552.0,Half life measured in vitro for its stability in human blood,In vitro,Homo sapiens,22224,U,0
5114,,4297,,13017.0,,zerum,A,,BAO0p90019,119471.0,Half life in human serum,,Homo sapiens,22224,U,0
5115,,4297,,57204.0,,Setum,A,,nAO0000o19,501120.0,Half life in human serum; ND=not determined,,Homo sapiens,22224,U,0
5116,,4297,,16187.0,,,A,,BAO00p0o19,,Half life were determined in CEM-SS cell extract in decomposition step 1,,Homo sapiens,22224,U,0
5117,,4297,,34357.0,,,A,,vAO0009019,,Half life were determined in CEM-SS cell extract in decomposition step 2,,Homo sapiens,22224,U,0
5118,,4231,,27915.0,,9lasma,A,,hAO0090366,1139750.0,Half life of the in human plasma,,Homo sapiens,22224,U,0
5119,S9,5633,,28778.0,,,A,,vAO000022p,,Half life period in human hepatic S9 fraction was determined,In vitro,Homo sapiens,22224,U,0
5120,Mictoeomes,5633,,1290.0,,L9ver,A,,gAOp000251,1893126.0,Half life period in human liver microsome was determined,In vitro,Homo sapiens,22224,U,0
5121,,17791,,43622.0,,,A,,BAO090001o,,Half life period was determined; 6-7,,Homo sapiens,22224,U,0
5122,,17791,,30525.0,,,A,,BA900000q9,,Half life period was evaluated in human,,Homo sapiens,22224,U,0
5123,,3160,,843.0,,Plasmx,A,,BAO0o09366,1918694.0,Half life time in human plasma,,Homo sapiens,22224,U,0
5124,,16438,,7074.0,,Brzin,A,,BAO0009228,1529669.0,"Biodistribution in mice as total concentration of both oxidized and reduced forms in brain tissues, animals were sacrificed 60 minutes after dosing, in DMSO sol.",In vivo,Mus musculus,50594,N,1
5125,,16438,,82125.0,,Heaet,A,,BAO9o00218,1228947.0,"Biodistribution in mice as total concentration of both oxidized and reduced forms in heart tissues, animals were sacrificed 10 minutes after dosing, in DMSO sol.",In vivo,Mus musculus,50594,N,1
5126,,16438,,46746.0,,Hea4t,A,,nAO00002q8,1909382.0,"Biodistribution in mice as total concentration of both oxidized and reduced forms in heart tissues, animals were sacrificed 60 minutes after dosing, in DMSO sol.",In vivo,Mus musculus,50594,N,1
5127,,16438,,38302.0,,lidney,A,,BqO00p0218,2433206.0,"Biodistribution in mice as total concentration of both oxidized and reduced forms in kidney and animals were sacrificed 10 minutes after dosing, in DMSO sol.",In vivo,Mus musculus,50594,N,1
5128,,16438,,5785.0,,K7dney,A,,BA80000e18,2049738.0,"Biodistribution in mice as total concentration of both oxidized and reduced forms in kidney and animals were sacrificed 10 minutes after ip dosing, in DMSO solution",In vivo,Mus musculus,50594,N,1
5129,,16438,,805.0,,iidney,A,,BAOp00021u,1102868.0,"Biodistribution in mice as total concentration of both oxidized and reduced forms in kidney tissues, animals were sacrificed 60 minutes after dosing, in DMSO sol.",In vivo,Mus musculus,50594,N,1
5130,,16438,,36342.0,,Ljver,A,,BsO0900218,1935460.0,"Biodistribution in mice as total concentration of both oxidized and reduced forms in liver and animals were sacrificed 10 minutes after dosing, in DMSO sol.",In vivo,Mus musculus,50594,N,1
5131,,16438,,3518.0,,Live4,A,,BAip000218,1662893.0,Biodistribution in mice as total concentration of both oxidized and reduced forms in liver and animals were sacrificed 10 minutes after ip administration in DMSO solution,In vivo,Mus musculus,50594,N,1
5132,,16438,,54904.0,,Livee,A,,vAO00p0218,1949120.0,"Biodistribution in mice as total concentration of both oxidized and reduced forms in liver tissues, animals were sacrificed 60 minutes after dosing, in DMSO sol.",In vivo,Mus musculus,50594,N,1
5133,,16438,,55297.0,,Splefn,A,,Bsi0000218,1901943.0,Biodistribution in mice as total concentration of both oxidized and reduced forms in spleen and animals were sacrificed 10 minutes after ip administration in DMSO solution,In vivo,Mus musculus,50594,N,1
5134,,16438,,1587.0,,Splsen,A,,BsO0000q18,195145.0,"Biodistribution in mice as total concentration of both oxidized and reduced forms in spleen and animals were sacrificed 10 minutes after ip dosing, in DMSO solution",In vivo,Mus musculus,50594,N,1
5135,,16438,,9810.0,,Soleen,A,,BsO0p00218,395070.0,"Biodistribution in mice as total concentration of both oxidized and reduced forms in spleen tissues, animals were sacrificed 60 minutes after dosing, in DMSO sol.",In vivo,Mus musculus,50594,N,1
5136,,16438,,22392.0,,Brakn,A,,BAO0o00q18,1506772.0,"Biodistribution in mice, total concentration of both oxidized and reduced forms in brain tissues, animals were sacrificed 60 minutes after dosing, in DMSO",In vivo,Mus musculus,50594,N,1
5137,,16438,,19658.0,,Blopd,A,,BqO0000217,507902.0,Biodistribution of compound (oxidized form) in blood tissue,In vivo,Mus musculus,50594,N,1
5138,,16438,,9103.0,,Bloid,A,,Bsp0000218,2134864.0,"Biodistribution of compound (oxidized form) in blood tissue, animals were sacrificed 10 minutes after dosing, in DMSO sol.",In vivo,Mus musculus,50594,N,1
5139,,16438,,7996.0,,Biood,A,,BzOo000218,1509207.0,"Biodistribution of compound (oxidized form) in blood tissue, animals were sacrificed 10 minutes after dosing, in DMSO solution",In vivo,Mus musculus,50594,N,1
5140,,16438,,3476.0,,Bpood,A,,BAOp000219,1069397.0,"Biodistribution of compound (oxidized form) in blood tissues, animals were sacrificed 60 minutes after dosing, in DMSO",In vivo,Mus musculus,50594,N,1
5141,,16438,,39939.0,,Blo9d,A,,BAO0090219,557411.0,"Biodistribution of compound (oxidized form) in blood tissues, animals were sacrificed 60 minutes after dosing, in DMSO sol.",In vivo,Mus musculus,50594,N,1
5142,,16438,,30088.0,,flood,A,,hAO0o00218,1469199.0,"Biodistribution of compound (oxidized form) in blood tissues, animals were sacrificed 60 minutes after dosing, in DMSO solution",In vivo,Mus musculus,50594,N,1
5143,,16438,,18338.0,,Braih,A,,hA00000218,208669.0,Biodistribution of compound (oxidized form) in brain tissue of mice,In vivo,Mus musculus,50594,N,1
5144,,16438,,43809.0,,Bdain,A,,gAO00002w8,1424820.0,"Biodistribution of compound (oxidized form) in brain tissue, animals were sacrificed 10 minutes after dosing, in DMSO sol.",In vivo,Mus musculus,50594,N,1
5145,,16438,,24134.0,,Btain,A,,BAOpp00218,2091828.0,"Biodistribution of compound (oxidized form) in brain tissue, animals were sacrificed 60 minutes after dosing, in DMSO",In vivo,Mus musculus,50594,N,1
5146,,16438,,63146.0,,Bdain,A,,nAO000p218,4028453.0,"Biodistribution of compound (oxidized form) in brain tissue, animals were sacrificed 60 minutes after dosing, in DMSO sol.",In vivo,Mus musculus,50594,N,1
5147,,16438,,12187.0,,frain,A,,BAO000022u,2082206.0,"Biodistribution of compound (oxidized form) in brain tissue, animals were sacrificed 60 minutes after dosing, in DMSO solution",In vivo,Mus musculus,50594,N,1
5148,,16438,,7969.0,,Bdain,A,,BAk000021u,1065000.0,"Biodistribution of compound (oxidized form) in brain tissues, animals were sacrificed 10 minutes after dosing, in DMSO solution",In vivo,Mus musculus,50594,N,1
5149,,16438,,5386.0,,Heagt,A,,gAi0000218,1831394.0,Biodistribution of compound (oxidized form) in heart tissue of mice,In vivo,Mus musculus,50594,N,1
5150,,16438,,27107.0,,Hesrt,A,,BwO0090218,1994193.0,"Biodistribution of compound (oxidized form) in heart tissue, animals were sacrificed 10 minutes after dosing, in DMSO sol.",In vivo,Mus musculus,50594,N,1
5151,,16438,,888.0,,H3art,A,,BAO009p218,472189.0,"Biodistribution of compound (oxidized form) in heart tissue, animals were sacrificed 10 minutes after dosing, in DMSO sol.",In vivo,Mus musculus,50594,N,1
5152,,16438,,55138.0,,yeart,A,,BAp0009218,4447525.0,"Biodistribution of compound (oxidized form) in heart tissue, animals were sacrificed 60 minutes after dosing, in DMSO",In vivo,Mus musculus,50594,N,1
5153,,16438,,67162.0,,Headt,A,,BzOp000218,1907432.0,"Biodistribution of compound (oxidized form) in heart tissue, animals were sacrificed 60 minutes after dosing, in DMSO sol.",In vivo,Mus musculus,50594,N,1
5154,,16438,,21312.0,,Hezrt,A,,BAip000218,2401072.0,"Biodistribution of compound (oxidized form) in heart tissue, animals were sacrificed 60 minutes after dosing, in DMSO solution",In vivo,Mus musculus,50594,N,1
5155,,16438,,38984.0,,Kidn3y,A,,BAOo0p0218,2861558.0,"Biodistribution of compound (oxidized form) in kidney tissue, animals were sacrificed 10 minutes after dosing, in DMSO sol.",In vivo,Mus musculus,50594,N,1
5156,,16438,,19647.0,,Kidgey,A,,gAO0p00218,696683.0,"Biodistribution of compound (oxidized form) in kidney tissue, animals were sacrificed 10 minutes after dosing, in DMSO solution",In vivo,Mus musculus,50594,N,1
5157,,16438,,6933.0,,K7dney,A,,BA00009218,1756469.0,"Biodistribution of compound (oxidized form) in kidney tissue, animals were sacrificed 60 minutes after dosing, in DMSO",In vivo,Mus musculus,50594,N,1
5158,,16438,,4420.0,,Kidgey,A,,nAO9000218,586605.0,"Biodistribution of compound (oxidized form) in kidney tissue, animals were sacrificed 60 minutes after dosing, in DMSO sol.",In vivo,Mus musculus,50594,N,1
5159,,16438,,5803.0,,Kidn4y,A,,BAO09p0218,2360737.0,"Biodistribution of compound (oxidized form) in kidney tissue, animals were sacrificed 60 minutes after dosing, in DMSO solution",In vivo,Mus musculus,50594,N,1
5160,,16438,,20435.0,,kiver,A,,BAO00092w8,1830722.0,Biodistribution of compound (oxidized form) in liver tissue,In vivo,Mus musculus,50594,N,1
5161,,16438,,17928.0,,Luver,A,,gwO0000218,1587213.0,"Biodistribution of compound (oxidized form) in liver tissue, animals were sacrificed 10 minutes after dosing, in DMSO sol.",In vivo,Mus musculus,50594,N,1
5162,,16438,,36159.0,,Livrr,A,,BAO0009e18,378887.0,"Biodistribution of compound (oxidized form) in liver tissues, animals were sacrificed 60 minutes after dosing, in DMSO",In vivo,Mus musculus,50594,N,1
5163,,5245,,36913.0,A431,,F,,BwOo000219,,Cell viability in A431 cells when stimulated with EGF was tested when incubated with concentration in the range of 1-10 uM of the compound after 48 h; Cell death,,Homo sapiens,80852,N,1
5164,,5245,,39946.0,A431,,F,,BsO0000q19,,Cell viability in A431 cells when stimulated with EGF was tested when incubated with concentration up to 10 uM after 48 h; Did not affect the viability,,Homo sapiens,80852,N,1
5165,,16289,,,A431,,F,,BAO0900118,,"In vivo activity in A431 tumor bearing mice, maximum dose (schedule 10-24 days)",,,80852,N,1
5166,,16289,,,A431,,F,,BAO0000qw8,,"In vivo activity in A431 tumor bearing mice, maximum dose (schedule 12-26 days)",,,80852,N,1
5167,,16093,,51378.0,A431,,F,,gAO0000229,,Inhibition of EGF-induced Tyrosine phosphorylation in A431 cells expressing EGF-R,,Homo sapiens,9,D,9
5168,,16825,,26907.0,A431,,F,,BqOp000219,,"Concentration required to inhibit the epidermoid A431 cell growth by 50%, P53 status of cell line used was wild-type. ",,Homo sapiens,80852,N,1
5169,,4848,,35553.0,A431,,F,,BAk000o219,,Inhibitory activity against proliferation of human epidermoid carcinoma (A431) cells,,Homo sapiens,80852,N,1
5170,,14827,,31208.0,A431,,F,,BAO9090219,,Inhibition of EGF-dependent autophosphorylation of EGF-R in A431 cells,,Homo sapiens,9,D,9
5171,,14827,,11606.0,A431,,F,,BA00000w19,,Inhibition of autophosphorylation of epidermal growth factor receptor in A431 cells in culture,,Homo sapiens,9,D,9
5172,,16289,,,A431,,F,,vAO0000318,,"In vivo activity in A431 tumor bearing mice, relative time required for treated and control tumors to reach 750 mg (schedule 10-24 days)",,,80852,N,1
5173,,16289,,,A431,,F,,hA00000218,,"In vivo activity in A431 tumor bearing mice, relative time required for treated and control tumors to reach 750 mg (schedule 12-26 days)",,,80852,N,1
5174,,16289,,,A431,,F,,Bz80000218,,"In vivo activity in A431 tumor bearing mice, relative time required for treated and control tumors to reach 750 mg (schedule 12-26 days)",,,80852,N,1
5175,,16289,,,A431,,F,,BAO0o002w8,,"In vivo activity in A431 tumor bearing mice, ratio of treated and control tumor mass day 24",,,80852,N,1
5176,,16289,,,A431,,F,,BqO00002w8,,"In vivo activity in A431 tumor bearing mice, ratio of treated and control tumor mass day 26",,,80852,N,1
5177,,16289,,23020.0,A431,,F,,BApp000219,,"Irreversible inhibition of EGF-R phosphorylation in A431 cells, 8 hr after washing cells free of compound",,Homo sapiens,9,D,9
5178,,16289,,,A431,,F,,BAk0090219,,Irreversible inhibition of formation of phosphorylated EGFR in A431 cells 8 hr after washing cells free of compound,,,9,H,8
5179,,16289,,,A431,,F,,BzO00002w8,,"In vivo activity in A431 tumor bearing mice, maximum weight loss days 10-24",,,80852,N,1
5180,,16289,,,A431,,F,,BzO0000118,,"In vivo activity in A431 tumor bearing mice, maximum weight loss days 12-26",,,80852,N,1
