assay_id,assay_organism,doc_id,assay_cell_type,src_id,assay_type,src_assay_id,assay_tissue,tissue_id,curated_by,cell_id,description,assay_test_type,assay_category,assay_tax_id,assay_strain,assay_subcellular_fraction
1590,Cavia porcellus,15847,,1,F,,,,Autocuration,,Compound was evaluated for its antagonist affinity towards 5-hydroxytryptamine 1B receptor of guinea pig,,,10141.0,,
1591,Cavia porcellus,15847,,1,F,,,,Autocuration,,Compound was evaluated for its antagonist affinity towards 5-hydroxytryptamine 1B receptor of guinea pig; ND means not done,,,10141.0,,
1592,,14165,,1,F,,,,Autocuration,,Intrinsic activity for Antagonism of 5-hydroxytryptamine 1B receptor-mediated stimulation of [35S]GTP gamma S binding,,,,,
1593,,14214,,1,F,,,,Autocuration,,Antagonism tested at 1 uM against the agonist-induced inhibitory effect of 10 nM 5-carbamoyltryptamine (5-CT),,,,,
1594,,14214,,1,F,,,,Autocuration,,Antagonism tested at 1 uM against the agonist-induced inhibitory effect of 10 nM 5-carbamoyltryptamine(5-CT),,,,,
1595,Homo sapiens,14214,,1,F,,,,Expert,,Agonist activity at 5-hydroxytryptamine 1B receptor by measuring the inhibition of forskolin-stimulated cAMP formation,,,9606.0,,
1596,Homo sapiens,13729,CHO-K1,1,F,,,,Expert,485.0,Inhibition of forskolin-stimulated c-AMP formation by human 5-hydroxytryptamine 1B receptor expressed in CHO-K1 cells,,,9606.0,,
1597,,3025,CHO,1,F,,,,Autocuration,449.0,Effective concentration determined by measuring inhibition of forskolin-stimulated c-AMP formation at 5-hydroxytryptamine 1B receptor stably transfected in CHO cell lines,,,,,
1598,,2391,,1,B,,,,Autocuration,,The compound was evaluated for intrinsic activity against human cloned 5-hydroxytryptamine 1B receptor,,,,,
1599,,2391,,1,F,,,,Autocuration,,The compound was evaluated for intrinsic activity against human cloned 5-hydroxytryptamine 1B receptor; full agonist,,,,,
1600,,14956,CHO,1,F,,,,Expert,449.0,"Agonist-induced [35S]GTP-gamma-S, binding in CHO cells stably transfected with human 5-hydroxytryptamine 1B receptor",,,,,
1601,,2598,CHO,1,F,,,,Autocuration,449.0,The intrinsic activity was evaluated for its ability to inhibit forskolin-stimulated c-AMP formation mediated by cloned 5-hydroxytryptamine 1B receptor in CHO cell line,,,,,
1602,,2598,CHO,1,F,,,,Autocuration,449.0,The intrinsic activity was evaluated for its ability to inhibit forskolin-stimulated c-AMP formation mediated by cloned 5-hydroxytryptamine 1B receptor in CHO cell line; Antagonist,,,,,
1603,,2598,CHO,1,F,,,,Autocuration,449.0,The intrinsic activity was evaluated for its ability to inhibit forskolin-stimulated c-AMP formation mediated by cloned 5-hydroxytryptamine 1B receptor in CHO cell line; Full Agonist,,,,,
1604,,2598,CHO,1,F,,,,Autocuration,449.0,The intrinsic activity was evaluated for its ability to inhibit forskolin-stimulated c-AMP formation mediated by cloned 5-hydroxytryptamine 1B receptor in CHO cell line; Partial Agonist,,,,,
1605,,14956,,1,F,,,,Expert,,"Efficacy was evaluated relative to human 5-HT1B receptor using [35S]GTP-gamma-S, as radioligand",,,,,
1606,,14956,,1,F,,,,Autocuration,,"Efficacy of compound was evaluated relative to human 5-hydroxytryptamine 1B receptor using [35S]GTP-gamma-S, as radioligand",,,,,
1607,Homo sapiens,14214,,1,B,,,,Expert,,Percentage Maximal inhibition obtained with 1 uM 5-HT against 5-hydroxytryptamine 1B receptor,,,9606.0,,
1608,,3463,CHO,1,B,,,,Expert,449.0,Ability to displace [3H]5-HT from recombinant human 5-hydroxytryptamine 1B receptor stably expressed in CHO cells determined in vitro,,,,,
1609,,15331,,1,B,,,,Autocuration,,Affinity of compound towards 5-hydroxytryptamine 1B receptor was evaluated using radioligand binding technique,,,,,
1610,Homo sapiens,16146,,1,B,,,,Expert,,Binding affinity against 5-hydroxytryptamine 1B receptor,,,9606.0,,
1611,Homo sapiens,14159,CHO,1,B,,,,Expert,449.0,Displacement of [3H]5-HT from human 5-hydroxytryptamine 1B receptor expressed in CHO cells,,,9606.0,,
1612,,14158,CHO,1,B,,,,Expert,449.0,Binding affinity to human cloned 5-hydroxytryptamine 1B receptor in CHO cells by [3H]5-HT binding displacement.,,,,,
1613,,14159,,1,B,,,,Autocuration,,Compound was evaluated for the affinity at 5-hydroxytryptamine 1B receptor,,,,,
1614,,15250,CHO,1,B,,,,Expert,449.0,Displacement of [3H]5-HT binding to cloned 5-hydroxytryptamine 1B receptor stably expressed in CHO cells,,,,,
1615,,15250,CHO,1,B,,,,Expert,449.0,Binding affinity at cloned human 5-hydroxytryptamine 1B receptor stably expressed in CHO cells by [3H]5-HT displacement.,,,,,
1616,,15331,CHO,1,B,,,,Expert,449.0,Displacement of [3H]5-HT binding from the cloned human 5-hydroxytryptamine 1B receptor stably expressed in CHO cells,,,,,
1617,,15332,CHO,1,B,,,,Expert,449.0,Displacement of [3H]5-HT binding from cloned human 5-hydroxytryptamine 1B receptor stably expressed in CHO cells.,,,,,
1618,,14956,CHO,1,B,,,,Expert,449.0,Displacement of specific [3H]5-HT binding to cloned human 5-hydroxytryptamine 1B receptor expressed in CHO cells,,,,,
1619,,3805,,1,B,,,,Autocuration,,In vitro binding affinity against human 5-hydroxytryptamine 1B receptor at a concentration of 100 (nM),,,,,
1620,,14875,,1,B,,,,Autocuration,,Intrinsic activity for each compound is calculated as a percentage of the 5-hydroxytryptamine 1B receptor response,,,,,
1621,Oryctolagus cuniculus,14454,,1,F,,,,Autocuration,,Compound was tested for 5-hydroxytryptamine 1D like receptor-mediated vascular effect in rabbit saphenous vein (RSV),,,9986.0,,
1622,Oryctolagus cuniculus,14454,,1,F,,,,Expert,,Tested for 5-hydroxytryptamine 1D like receptor-mediated vascular effect in rabbit saphenous vein (RSV),,,9986.0,,
1623,,16288,,1,B,,,,Autocuration,,Affinity at 5-hydroxytryptamine 1D receptor (For sumatriptan = Ki (nM)-12+/-1.9),,,,,
1624,,16288,,1,B,,,,Autocuration,,Affinity at 5-hydroxytryptamine 1D receptor from calf caudate using [3H]5-HT as radioligand (For sumatriptan = Ki(nM)-12+/-1.9),,,,,
1625,,16312,,1,B,,,,Autocuration,,Binding affinity against calf caudate 5-hydroxytryptamine 1D receptor,,,,,
1626,Bos taurus,1348,,1,B,,,,Expert,,Inhibitory activity against 5-hydroxytryptamine 1D receptor subtype,,,9913.0,,
1627,Bos taurus,5834,,1,B,,,,Autocuration,,Inhibitory concentration required against 5-hydroxytryptamine 1D receptor in bovine caudate using [3H]5-HT,,,9913.0,,
1628,Bos taurus,13366,,1,B,,Striatum,2435.0,Autocuration,,Binding affinity towards 5-hydroxytryptamine 1D receptor was determined in calf striatum homogenate,,,9913.0,,
1629,Bos taurus,1414,,1,B,,,,Expert,,Ability to bind to 5-hydroxytryptamine 1D receptor of calf substantia nigra,,,9913.0,,
1630,Bos taurus,14998,,1,B,,,,Autocuration,,Binding affinity against 5-hydroxytryptamine 1D receptor in calf caudate homogenates.,,,9913.0,,
1631,Bos taurus,11473,,1,B,,,,Autocuration,,Compound was evaluated for binding affinity towards 5-hydroxytryptamine 1D receptor in bovine caudate using [3H]- serotonin as radioligand,,,9913.0,,
1632,Bos taurus,11473,,1,B,,,,Autocuration,,Compound was evaluated for binding affinity towards 5-hydroxytryptamine 1D receptor in bovine caudate using [3H]- serotonin as radioligand,,,9913.0,,
1633,Bos taurus,10639,,1,B,,,,Autocuration,,Compound was evaluated for its inhibitory activity against 5-hydroxytryptamine 1D receptor of bovine caudate using [3H]5-HT as the radioligand,,,9913.0,,
1634,Bos taurus,10639,,1,B,,,,Autocuration,,Inhibitory activity against 5-hydroxytryptamine 1D receptor of bovine caudate using [3H]5-HT as the radioligand,,,9913.0,,
1635,Bos taurus,1375,,1,B,,,,Autocuration,,Tested in vitro for receptor binding affinity to 5-hydroxytryptamine 1D receptor in bovine caudate using [3H]5-HT radioligand,,,9913.0,,
1636,Bos taurus,1375,,1,B,,,,Autocuration,,Tested in vitro for receptor binding affinity to 5-hydroxytryptamine 1D receptor in bovine caudate using [3H]5-HT radioligand; NT means not tested,,,9913.0,,
1637,Bos taurus,16532,,1,B,,,,Autocuration,,The binding affinity at 5-hydroxytryptamine 1D receptor was determined using [3H]5-CT; Not tested,,,9913.0,,
1638,Bos taurus,11147,,1,B,,,,Autocuration,,Binding affinity towards 5-hydroxytryptamine 1D receptor using [3H]5-HT as radioligand,,,9913.0,,
1639,Bos taurus,13366,,1,B,,Striatum,2435.0,Autocuration,,Binding affinity towards 5-hydroxytryptamine 1D receptor was determined in calf striatum homogenate,,,9913.0,,
1640,Bos taurus,10444,,1,B,,,,Autocuration,,Binding affinity was determined against 5-hydroxytryptamine 1D receptor in bovine caudate homogenate,,,9913.0,,
1641,Bos taurus,16532,,1,B,,,,Autocuration,,The binding affinity at 5-hydroxytryptamine 1D receptor was determined using [3H]5-CT,,,9913.0,,
1642,Bos taurus,16532,,1,B,,,,Autocuration,,The binding affinity at 5-hydroxytryptamine 1D receptor was determined using [3H]5-CT; Not tested,,,9913.0,,
1643,Bos taurus,12827,,1,B,,,,Autocuration,,Binding affinity towards 5-hydroxytryptamine 1B receptor in rat frontal cortex membranes using [125]ICYP,,,9913.0,,
1644,Bos taurus,12827,,1,B,,,,Autocuration,,Binding affinity towards 5-hydroxytryptamine 1B receptor in rat frontal cortex membranes using [125]ICYP; Not determined,,,9913.0,,
1645,Bos taurus,12919,,1,F,,,,Expert,,Agonistic activity against 5-hydroxytryptamine 1D receptor in calf caudate using [3H]-GTI,,,9913.0,,
1646,Bos taurus,14025,,1,B,,,,Autocuration,,Affinity pKi for 5-hydroxytryptamine 1D receptor was measured in calf caudate homogenate,,,9913.0,,
1647,Bos taurus,12919,,1,F,,,,Expert,,Agonistic activity against 5-hydroxytryptamine 1D receptor in calf caudate using [3H]-GTI,,,9913.0,,
1648,Bos taurus,12919,,1,F,,,,Expert,,Agonistic activity against 5-hydroxytryptamine 1D receptor in calf caudate using [3H]-GTI,,,9913.0,,
1649,Bos taurus,12919,,1,F,,,,Expert,,Agonistic activity against 5-hydroxytryptamine 1D receptor in calf caudate using [3H]-GTI,,,9913.0,,
1650,Gorilla gorilla,14447,HEK293,1,B,,,,Autocuration,722.0,The compound was tested for CNS binding affinity towards 5-hydroxytryptamine 1D receptor from cloned gorilla membranes expressed in cultured HEK 293 cells,,,9593.0,,
1651,Cavia porcellus,1375,,1,B,,,,Intermediate,,Compound was tested for the inhibition of forskolin-stimulated adenylate cyclase at 5-hydroxytryptamine 1D receptor in guinea pig substantia nigra,,,10141.0,,
1652,Cavia porcellus,1375,,1,B,,,,Intermediate,,Compound was tested for the inhibition of forskolin-stimulated adenylate cyclase at 5-hydroxytryptamine 1D receptor in guinea pig substantia nigra; NT means not tested,,,10141.0,,
1653,Cavia porcellus,12409,,1,F,,,,Intermediate,,Oral effective dose against hypothermia in the guinea pig caused by stimulation of central 5-hydroxytryptamine 1D receptor by the agonist GR-46611,,,10141.0,,
1654,Cavia porcellus,12409,,1,F,,,,Intermediate,,Oral effective dose against hypothermia in the guinea pig caused by stimulation of central 5-hydroxytryptamine 1D receptors by the agonist GR-46611,,,10141.0,,
1655,Cavia porcellus,12409,,1,F,,,,Intermediate,,Oral effective dose against hypothermia in the guinea pig caused by stimulation of central 5-hydroxytryptamine 1D receptors by the agonist GR-46611; range is 2-9,,,10141.0,,
1656,Cavia porcellus,12409,,1,F,,,,Intermediate,,Oral effective dose against hypothermia in the guinea pig caused by stimulation of central 5-hydroxytryptamine 1D receptors by the agonist GR-46611;range is 0.2-0.4,,,10141.0,,
1657,Cavia porcellus,12409,,1,F,,,,Intermediate,,Oral effective dose against hypothermia in the guinea pig caused by stimulation of central 5-hydroxytryptamine 1D receptors by the agonist GR-46611;range is 0.2-1.2,,,10141.0,,
1658,Cavia porcellus,11574,,1,B,,,,Intermediate,,Binding affinity against 5-hydroxytryptamine 1D receptor,,,10141.0,,
1659,Cavia porcellus,1558,,1,B,,,,Intermediate,,Binding affinity towards guinea pig 5-hydroxytryptamine 1D receptor was determined,,,10141.0,,
1660,Cavia porcellus,12409,,1,F,,,,Intermediate,,Compound at 3 mg/kg was tested for the inhibition of hypothermia in the guinea pig caused by stimulation of central 5-hydroxytryptamine 1D receptors by the agonist GR-46611,,,10141.0,,
1661,Cavia porcellus,12409,,1,F,,,,Intermediate,,Compound at 45 mg/kg was tested for the inhibition of hypothermia in the guinea pig caused by stimulation of central 5-hydroxytryptamine 1D receptors by the agonist GR-46611,,,10141.0,,
1662,Cavia porcellus,12409,,1,F,,,,Intermediate,,Compound at 50 mg/kg was tested for the inhibition of hypothermia in the guinea pig caused by stimulation of central 5-hydroxytryptamine 1D receptors by the agonist GR-46611,,,10141.0,,
1663,Cavia porcellus,12409,,1,F,,,,Intermediate,,Compound at oral dose of 45 mg/kg was tested for percent inhibition against 5-hydroxytryptamine 1D receptor causes hypothermia in guinea pig,,,10141.0,,
1664,Cavia porcellus,12253,,1,B,,,,Intermediate,,Binding affinity of 5-hydroxytryptamine 1D receptor using [3H]-8-HT in guinea pig cortex,,,10141.0,,
1665,Cavia porcellus,12936,,1,B,,,,Intermediate,,Binding affinity against guinea pig 5-hydroxytryptamine 1D receptor,,,10141.0,,
1666,Cavia porcellus,13181,,1,B,,,,Autocuration,,Binding affinity was determined against 5-hydroxytryptamine 4 receptor using [125I]SB 207710 as radioligand from piglet hippocampal membranes,,,10141.0,,
1667,Cavia porcellus,12409,,1,B,,Striatum,2435.0,Intermediate,,In vitro binding affinity towards 5-hydroxytryptamine 1D receptor in guinea-pig striatum in presence of BMY-7378 and mesulergine,,,10141.0,,
1668,Cavia porcellus,10639,,1,B,,,,Intermediate,,Inhibition of Forskolin-stimulated adenylate cyclase activity against 5-hydroxytryptamine 1D receptor of guinea pig substantia nigra,,,10141.0,,
1669,,5254,,1,B,,,,Autocuration,,Binding affinity against 5-hydroxytryptamine 1D receptor,,,,,
1670,,13051,,1,B,,,,Autocuration,,The compound was tested for binding affinity against cloned human 5-hydroxytryptamine 1D receptor beta,,,,,
1671,,3463,,1,F,,,,Expert,,Maximum stimulation of [35S]GTP gamma-S binding expressed relative to the maximal effect produced by 5-hydroxytryptamine 1D receptor,,,,,
1672,,15315,,1,F,,,,Autocuration,,Ability to inhibit forskolin-stimulated adenylate cyclase in a cell line expressing human 5-hydroxytryptamine 1D receptor,,,,,
1673,,6011,,1,F,,,,Autocuration,,Ability to inhibit forskolin-stimulated adenylate cyclase activity in Chinese hamster ovary (CHO) stable cell lines expressing human 5-hydroxytryptamine 1D receptor,,,,,
1674,Homo sapiens,14159,CHO,1,F,,,,Expert,449.0,"Stimulation of [35S]GTP-gamma-S, binding in CHO cells expressing 5-hydroxytryptamine 1D receptor",,,9606.0,,
1675,,14159,CHO,1,F,,,,Autocuration,449.0,"Compound was evaluated for the stimulation of [35S]GTP-gamma-S, binding in CHO cells expressing the 5-hydroxytryptamine 1D receptor.",,,,,
1676,,15250,CHO,1,B,,,,Expert,449.0,Agonist-induced [35S]- GTPgammaS binding in CHO cells stably transfected with 5-hydroxytryptamine 1D receptor,,,,,
1677,,15250,CHO,1,B,,,,Autocuration,449.0,Compound was tested for measuring agonist-induced [35S]- GTPgammaS binding in CHO cells stably transfected with human 5-hydroxytryptamine 1D receptor,,,,,
1678,,15331,CHO,1,F,,,,Expert,449.0,"Stimulation of [35S]GTP-gamma-S, binding in CHO cells expressing the 5-hydroxytryptamine 1D receptor",,,,,
1679,Homo sapiens,15332,CHO,1,F,,,,Expert,449.0,"Stimulation of [35S]GTP-gamma-S, binding in CHO cells expressing the 5-hydroxytryptamine 1D receptor",,,9606.0,,
1680,,15332,CHO,1,F,,,,Expert,449.0,"Stimulation of [35S]GTP-gamma-S, binding in CHO cells expressing the human 5-hydroxytryptamine 1D receptor.",,,,,
1681,,3294,CHO,1,F,,,,Autocuration,449.0,"Measurement of agonist induced [35S]GTP-gamma-S, binding in CHO cells stably transfected with 5-hydroxytryptamine 1D receptor",,,,,
1682,,14158,CHO,1,F,,,,Expert,449.0,"Measurement of agonist induced [35S]GTP-gamma-S, binding in CHO cells stably transfected with 5-hydroxytryptamine 1D receptor.",,,,,
1683,,14956,CHO,1,F,,,,Expert,449.0,"Agonist-induced [35S]GTP-gamma-S, binding in CHO cells stably transfected with human 5-hydroxytryptamine 1D receptor",,,,,
1684,,12469,,1,F,,,,Autocuration,,Compound was evaluated for its agonistic activity on 5-hydroxytryptamine 1D receptor,,,,,
1685,,3463,CHO,1,F,,,,Expert,449.0,Measurement of agonist-induced [35S]-GTP gamma-S binding in CHO cells stably transfected with 5-hydroxytryptamine 1D receptor,,,,,
1686,Homo sapiens,15250,CHO,1,F,,,,Expert,449.0,"Maximum stimulation of [35S]GTP-gamma-S, binding in CHO cells expressing human 5-HT-1d relative to 5-HT",,,9606.0,,
1687,Homo sapiens,15250,CHO,1,F,,,,Expert,449.0,"Maximum stimulation of [35S]GTP-gamma-S, binding in CHO cells expressing human 5-HT-1d relative to 5-HT",,,9606.0,,
1688,,14956,,1,F,,,,Expert,,"Efficacy was evaluated relative to human 5-hydroxytryptamine 1D receptor using [35S]GTP-gamma-S, as radioligand",,,,,
1689,,14159,,1,F,,,,Autocuration,,"Maximum stimulation of [35S]GTP-gamma-S, binding expressed relative to the maximal effect produced by 5-hydroxytryptamine 1D receptor.",,,,,
1690,Homo sapiens,14159,,1,F,,,,Expert,,"Maximum stimulation of [35S]GTP-gamma-S, binding to 5-hydroxytryptamine 1D receptor relative to 5-HT",,,9606.0,,
1691,Homo sapiens,14499,CHO,1,F,,,,Expert,449.0,Percent efficacy relative to 5-HT treatment of CHO cells expressing 5-HT 1d receptor,,,9606.0,,
1692,,15315,,1,F,,,,Autocuration,,Intrinsic activity for 5-hydroxytryptamine 1D receptor,,,,,
1693,,3294,,1,B,,,,Autocuration,,Ability to displace [3H]- -5-HT binding to cloned 5-hydroxytryptamine 1D receptor stably expressed in chinese hamster cells (CHO cells),In vitro,,,,
1694,,3463,CHO,1,B,,,,Expert,449.0,Ability to displace [3H]-5-HT from recombinant human 5-hydroxytryptamine 1D receptor stably expressed in CHO cells determined in vitro,,,,,
1695,,15331,,1,B,,,,Autocuration,,Affinity of compound towards 5-hydroxytryptamine 1D receptor was evaluated using radioligand binding technique,,,,,
1696,Homo sapiens,14159,CHO,1,B,,,,Expert,449.0,Displacement of [3H]5-HT from human 5-hydroxytryptamine 1D receptor expressed in CHO cells,,,9606.0,,
1697,,14158,CHO,1,B,,,,Expert,449.0,Binding affinity by displacement to human cloned 5-hydroxytryptamine 1D receptor in CHO cells by [3H]5-HT displacement.,,,,,
1698,,14159,,1,B,,,,Autocuration,,Compound was evaluated for the affinity at 5-hydroxytryptamine 1D receptor,,,,,
1699,,15250,CHO,1,B,,,,Expert,449.0,Binding affinity at human cloned 5-hydroxytryptamine 1D receptor stably expressed in CHO cells by [3H]5-HT displacement.,,,,,
1700,,15250,CHO,1,B,,,,Expert,449.0,Displacement of [3H]5-HT binding to cloned human 5-hydroxytryptamine 1D receptor stably expressed in CHO cells,,,,,
1701,,15331,CHO,1,B,,,,Expert,449.0,Displacement of [3H]5-HT binding from the cloned human 5-hydroxytryptamine 1D receptor stably expressed in CHO cells,,,,,
1702,Homo sapiens,15332,CHO,1,B,,,,Expert,449.0,Displacement of [3H]5-HT binding from human 5-hydroxytryptamine 1D receptor expressed in CHO cells,,,9606.0,,
1703,Homo sapiens,14499,CHO,1,B,,,,Expert,449.0,Displacement of [3H]5-HT from human 5-hydroxytryptamine 1D receptor expressed in CHO cells,,,9606.0,,
1704,,15332,CHO,1,B,,,,Expert,449.0,Displacement of [3H]5-HT binding to the cloned human 5-hydroxytryptamine 1D receptor stably expressed in CHO cells,,,,,
1705,,14956,CHO,1,B,,,,Expert,449.0,Displacement of specific [3H]5-HT binding to cloned human 5-hydroxytryptamine 1D receptor expressed in CHO cells,,,,,
1706,,3805,,1,B,,,,Autocuration,,In vitro binding affinity against human 5-hydroxytryptamine 1D receptor at a concentration of 100 (nM),,,,,
1707,Homo sapiens,6011,CHO,1,B,,,,Expert,449.0,Inhibition of [3H]5-HT binding to human 5-hydroxytryptamine 1D receptor expressed in CHO cells at 1 uM,,,9606.0,,
1708,,16190,CHO,1,B,,,,Autocuration,449.0,Binding affinity against 5-hydroxytryptamine 1D receptor in CHO cells using [3H]5-HT as radioligand,,,,,
1709,,14165,,1,B,,,,Autocuration,,Binding affinity for 5-hydroxytryptamine 1D receptor in Cos-7 transfected cell type using [3H]5-CT as radioligand,,,,,
1710,Homo sapiens,4234,,1,B,,,,Expert,,Binding affinity to cloned human 5-hydroxytryptamine 1D receptor,,,9606.0,,
1711,,15527,,1,B,,,,Autocuration,,"Binding affinity towards 5-HT1D receptor, using [3H]5-HT as radioligand.",,,,,
1712,,6328,,1,B,,,,Expert,,Binding affinity towards human 5-hydroxytryptamine 1D receptor in L-M(tk-) cells using [3H]GR-125743 as radioligand,,,,,
1713,,16209,,1,B,,,,Autocuration,,Binding affinity towards human 5-hydroxytryptamine 1D receptor was determined using [3H]5-HT as radioligand,,,,,
1714,,14770,,1,B,,,,Autocuration,,Binding affinity for recombinant human 5-hydroxytryptamine 1D receptor using [3H]5-HT as radioligand.,,,,,
1715,,2598,,1,B,,,,Autocuration,,Binding affinity was evaluated at human recombinant 5-hydroxytryptamine 1D receptor using [3H]-5-CT as radioligand,,,,,
1716,,6897,,1,B,,,,Expert,,Binding affinity was evaluated at the cloned human 5-hydroxytryptamine 1D receptor,,,,,
1717,,6013,,1,B,,,,Autocuration,,Binding affinity towards 5-hydroxytryptamine 1D receptor,,,,,
1718,,5843,,1,B,,,,Expert,,Binding affinity towards cloned human 5-hydroxytryptamine 1D receptor,,,,,
1719,,14454,,1,B,,,,Expert,,Binding affinity towards human 5-hydroxytryptamine 1D receptor using [3H]5-HT trifluoroacetate as radioligand,,,,,
1720,,14454,,1,B,,,,Autocuration,,Binding affinity towards human 5-hydroxytryptamine 1D receptor using [3H]5-HT trifluoroacetate as radioligand; Not determined,,,,,
1721,,14454,,1,B,,,,Autocuration,,Binding affinity towards human 5-hydroxytryptamine 1D receptor using [3H]5-HT trifluoroacetate as radioligand; not determined,,,,,
1722,,15818,,1,B,,,,Autocuration,,Compound was evaluated for its binding affinity towards human 5-hydroxytryptamine 1D receptor,,,,,
1723,,13729,CHO-K1,1,F,,,,Expert,485.0,Ability to inhibit the forskolin-stimulated c-AMP formation mediated by human 5-hydroxytryptamine 1D receptor in CHO-K1 cells,,,,,
1724,Homo sapiens,6011,,1,B,,,,Expert,,Displacement of [3H]5-HT from human 5-hydroxytryptamine 1D receptor expressed in Chinese hamster ovary cells (CHO cells),In vitro,,9606.0,,
1725,Homo sapiens,4234,,1,B,,,,Expert,,In vitro binding affinity to human 5-hydroxytryptamine 1D receptor,,,9606.0,,
1726,,17085,,1,B,,,,Expert,,In vitro binding affinity by radioligand binding assay using cell line expressing human 5-hydroxytryptamine 1D receptor,,,,,
1727,,3025,,1,B,,,,Autocuration,,In vitro binding affinity was determined towards cloned human 5-hydroxytryptamine 1D receptor using [3H]5-CT radioligand,,,,,
1728,,15315,,1,B,,,,Expert,,In vitro receptor binding affinity for cloned human 5-hydroxytryptamine 1D receptor,,,,,
1729,Homo sapiens,14214,,1,B,,,,Expert,,Receptor binding affinity for cloned human 5-hydroxytryptamine 1D receptor in Cos-7 cells,,,9606.0,,
1730,Homo sapiens,3804,,1,B,,,,Expert,,Binding affinity for human 5-hydroxytryptamine 1D receptor,,,9606.0,,
1731,,16700,,1,B,,,,Autocuration,,The binding affinity towards the 5-hydroxytryptamine 1D receptor; No affinity,,,,,
1732,Homo sapiens,2391,,1,B,,,,Expert,,Affinity for 5-hydroxytryptamine 1D receptor subtype,,,9606.0,,
1733,Homo sapiens,4175,,1,B,,,,Expert,,Binding affinity for human 5-hydroxytryptamine 1D receptor,,,9606.0,,
1734,,17085,,1,B,,,,Autocuration,,In vitro binding affinity by radioligand binding assay using cell line expressing human 5-hydroxytryptamine 1D receptor,,,,,
1735,,17085,,1,B,,,,Expert,,In vitro binding affinity was determined by radioligand binding assay using cell line expressing human 5-hydroxytryptamine 1D receptor; ND means not determined,,,,,
1736,Homo sapiens,15926,,1,B,,,,Expert,,Binding activity against human 5-hydroxytryptamine 1D receptor; NT means not tested,,,9606.0,,
1737,,16312,CHO-K1,1,B,,,,Autocuration,485.0,Binding affinity in CHO-K1 cells transfected with human 5-hydroxytryptamine 1D receptor; Not tested,,,,,
1738,,16312,CHO-K1,1,B,,,,Autocuration,485.0,Binding affinity in CHO-K1 cells transfected with human 5-hydroxytryptamine 1D receptor; not tested,,,,,
1739,,14956,CHO,1,B,,,,Autocuration,449.0,Selectivity towards 5-HT1D and to that of 5-HT1B in CHO cells,,,,,
1740,,3294,,1,F,,,,Autocuration,,"Maximum stimulation of [35S]GTP-gamma-S, binding expressed relative to the maximal effect produced by the 5-HT",,,,,
1741,,12861,,1,B,,,,Autocuration,,Binding activity radioligand.,,,,,
1742,,12861,,1,B,,,,Autocuration,,Binding activity against 5-hydroxytryptamine 3 receptor from rat cortex homogenate using [3H]-Q-ICS 205-930 as radioligand.,,,,,
1743,,16312,CHO-K1,1,B,,,,Expert,485.0,Binding affinity in CHO-K1 cells transfected with human 5-hydroxytryptamine 1D receptor,,,,,
1744,,5104,,1,B,,,,Autocuration,,Binding affinity for human cloned 5-hydroxytryptamine 1D receptor,,,,,
1745,,5105,,1,B,,,,Autocuration,,Binding affinity for human cloned 5-hydroxytryptamine 1D receptor,,,,,
1746,,14499,,1,B,,,,Autocuration,,Measured as -log Ka on 5-hydroxytryptamine 1D receptor,,,,,
1747,Homo sapiens,15926,,1,B,,,,Expert,,Binding activity against human 5-hydroxytryptamine 1D receptor,,,9606.0,,
1748,Homo sapiens,4540,CHO,1,B,,,,Expert,449.0,Binding affinity to human cloned 5-hydroxytryptamine 1D receptor in CHO cells using [3H]5-HT as radioligand,,,9606.0,,
1749,,15779,CHO,1,B,,,,Autocuration,449.0,Binding affinity towards 5-hydroxytryptamine 1D (human cloned receptor) in CHO cells using [3H]-5-HT as radioligand.,,,,,
1750,,15779,CHO,1,B,,,,Autocuration,449.0,Binding affinity towards 5-hydroxytryptamine 1D (human cloned receptor) in CHO cells using [3H]5-HT as radioligand.,,,,,
1751,,6166,,1,B,,,,Autocuration,,Binding affinity towards cloned human 5-hydroxytryptamine 1D receptor,,,,,
1752,,15779,CHO,1,B,,,,Autocuration,449.0,Binding affinity towards human cloned 5-hydroxytryptamine 1D receptor in CHO cells using [3H]5-HT as radioligand.,,,,,
1753,,15779,CHO,1,B,,,,Autocuration,449.0,Binding affinity towards human cloned 5-hydroxytryptamine 1D receptor in CHO cells using [3H]-5-HT as radioligand.;ND means no data.,,,,,
1754,,17451,HEK293,1,B,,,,Autocuration,722.0,Binding constant towards serotonin receptor subtype 5-hydroxytryptamine 1D receptor expressed in HEK 293 cells using [3H]LSD as radioligand,,,,,
1755,,17451,HEK293,1,B,,,,Autocuration,722.0,Binding constant towards serotonin receptor subtype 5-hydroxytryptamine 1D receptor expressed in HEK 293 cells using [3H]LSD as radioligand,,,,,
1756,,17451,HEK293,1,B,,,,Autocuration,722.0,Binding constant towards serotonin receptor subtype 5-hydroxytryptamine 1D receptor expressed in HEK 293 cells using [3H]LSD as radioligand; Not determined,,,,,
1757,,4199,CHO,1,B,,,,Autocuration,449.0,Compound was evaluated for binding affinity against human cloned 5-hydroxytryptamine 1D receptor in CHO cells using [3H]5-HT as the radioligand,,,,,
1758,Homo sapiens,14875,,1,B,,,,Expert,,Binding affinity for human 5-hydroxytryptamine 1D receptor,,,9606.0,,
