ASSI,DOI,ASST,ASSCT,TISI,Ti,Descr,ASTI,CONFISC,CEI,ASORG,SI,ASSTAI,RELAT,CUB,ASSST,SRASI,CHEI,BFOR,VAI
3808,6838,B,,,55,In vitro inhibitory activity against 5-lipoxygenase in a human whole blood assay,,8,,,1,,H,Autocuration,,,CHEMBL619883,BAO_0000357,
3809,17667,B,,178.0,55,Inhibition of 5-Lipoxygenase (5-LO) of human whole blood (HWB),Blood,9,,Homo sapiens,1,9606.0,D,Expert,,,CHEMBL619884,BAO_0000357,
3810,12703,B,,,55,In vitro potency against human 5-Lipoxygenase,,8,,,1,,H,Autocuration,,,CHEMBL619885,BAO_0000357,
3811,14312,F,,,55,Inhibitory activity against 5-lipoxygenase in Human whole blood (HWBL) stimulated with calcium ionophore (A23187) and LTB4 measured by enzyme immunoassay,,9,,Homo sapiens,1,9606.0,D,Expert,,,CHEMBL619886,BAO_0000019,
3812,14312,F,,178.0,55,Inhibition activity against 5-lipoxygenase in Human whole blood (HWBL) stimulated with calcium ionophore (A23187) and LTB4 measured by enzyme immunoassay; No data,Blood,8,,,1,,H,Autocuration,,,CHEMBL619887,BAO_0000019,
3813,5364,F,,,55,Inhibition of 5-lipoxygenase activity of compound evaluated as determined by the inhibition of calcium ionophore-induced leukotriene B4 production in human blood.,,8,,,1,,H,Autocuration,,,CHEMBL875097,BAO_0000019,
3814,951,B,,,55,Inhibition of 5-lipoxygenase was evaluated in human polymorphonuclear leukocytes stimulated by calcium ionophore A-23187 for formation of 5-HETE,,8,,,1,,H,Autocuration,,,CHEMBL618001,BAO_0000219,
3815,951,B,,,55,Inhibition of 5-lipoxygenase was evaluated in human polymorphonuclear leukocytes stimulated by calcium ionophore A-23187 for formation of 5-HETE; NA means Not active,,8,,,1,,H,Autocuration,,,CHEMBL618002,BAO_0000219,
3816,951,B,,,55,Inhibition of 5-lipoxygenase was evaluated in human polymorphonuclear leukocytes stimulated by calcium ionophore A-23187 for formation of LTB4,,8,,,1,,H,Autocuration,,,CHEMBL618003,BAO_0000219,
3817,951,B,,,55,Inhibition of 5-lipoxygenase was evaluated in human polymorphonuclear leukocytes stimulated by calcium ionophore A-23187 for formation of LTB4; NA means Not active,,8,,,1,,H,Autocuration,,,CHEMBL618004,BAO_0000219,
3818,12365,B,,,55,Inhibition of human 5-lipoxygenase in human cells,,8,,,1,,H,Autocuration,,,CHEMBL618005,BAO_0000219,
3819,10603,B,,,55,Inhibition of human neutrophil 5-lipoxygenase,,8,,,1,,H,Expert,,,CHEMBL618006,BAO_0000357,
3820,10501,B,,,55,Inhibitory activity against 5-lipoxygenase expressed from human polymorphonuclear cells,,8,,,1,,H,Autocuration,,,CHEMBL875086,BAO_0000019,
3821,12281,B,,178.0,55,Inhibition of 5-lipoxygenase from human whole blood,Blood,8,,,1,,H,Expert,,,CHEMBL618007,BAO_0000357,
3822,2567,B,,,55,Inhibitory concentration required against 5-lipoxygenase activity in cytosolic fractions of human neutrophils,,8,,,1,,H,Autocuration,,,CHEMBL618008,BAO_0000357,
3823,2567,B,,,55,Inhibitory concentration required against 5-lipoxygenase activity in intact cells of human neutrophils,,8,,,1,,H,Autocuration,,,CHEMBL618009,BAO_0000219,
3824,10193,B,,,55,In vitro inhibition of polymorphonuclear leukocyte derived human 5-lipoxygenase,,8,,,1,,H,Expert,,,CHEMBL618010,BAO_0000357,
3825,10193,B,,,55,In vitro inhibitory activity against polymorphonuclear leukocyte 5-lipoxygenase in human cell at 10 uM,,8,,,1,,H,Autocuration,,,CHEMBL618011,BAO_0000357,
3826,13623,B,,,55,Potency to inhibit oxidation of arachidonic acid by recombinant human 5-lipoxygenase,,8,,,1,,H,Expert,,,CHEMBL618012,BAO_0000357,
3827,12780,B,,,55,Tested against 5-lipoxygenase,,8,,,1,,H,Autocuration,,,CHEMBL882927,BAO_0000357,
3828,12780,B,,,55,Tested for activity against 5-Lipoxygenase (5-LO),,8,,,1,,H,Autocuration,,,CHEMBL618013,BAO_0000357,
3829,12780,B,,,55,Tested for activity against 5-lipoxygenase,,8,,,1,,H,Autocuration,,,CHEMBL618014,BAO_0000357,
3830,11966,B,,,55,Tested for inhibition of 5-HPETE production by human 5-LO,,8,,,1,,H,Autocuration,,,CHEMBL618015,BAO_0000357,
3831,5364,F,,,55,The 5-lipoxygenase activity by the inhibition of calcium ionophore-induced leukotriene B4 production in human blood.,,8,,,1,,H,Autocuration,,,CHEMBL618016,BAO_0000019,
3832,13165,B,,,55,Inhibition of Human 5-lipoxygenase,,8,,,1,,H,Expert,,,CHEMBL618017,BAO_0000357,
3833,5364,B,,,55,The compound was evaluated for its inhibitory activity against 5-lipoxygenase using granulocytes-type cells,,8,,,1,,H,Autocuration,,,CHEMBL618018,BAO_0000019,
3834,11311,B,,,55,The compound was tested for inhibitory activity against 5-lipoxygenase in human polymorphonuclear leukocytes[PMNS],,8,,,1,,H,Autocuration,,,CHEMBL875087,BAO_0000219,
3835,11311,B,,,55,The compound was tested for inhibitory activity against LT synthesis in human polymorphonuclear leukocytes[PMNS],,8,,,1,,H,Autocuration,,,CHEMBL618019,BAO_0000219,
3836,14863,B,,,55,The compound was tested for the concentration (in uM) to inhibit 50% of 5-Lipoxygenase (5-LOX) and is expressed in IC50.,,8,,,1,,H,Autocuration,,,CHEMBL618020,BAO_0000019,
3837,14863,B,,,55,The compound was tested for the concentration (in uM) to inhibit 50% of 5-Lipoxygenase (5-LOX) and is expressed in IC50; Not tested,,8,,,1,,H,Autocuration,,,CHEMBL618021,BAO_0000019,
3838,11087,B,,178.0,55,The compound was tested for the inhibition of 5-lipoxygenase (5-lo) in human whole blood (HWBL),Blood,8,,,1,,H,Autocuration,,,CHEMBL618022,BAO_0000357,
3839,455,B,,,55,The compound was tested in vitro for inhibition against 5-lipoxygenase in intact human neutrophils,,8,,,1,,H,Autocuration,,,CHEMBL618023,BAO_0000357,
3840,13183,B,,,55,5-lipoxygenase Inhibitory activity was measured by enzyme immunoassay using human whole blood stimulated with calcium ionophore (A23187) and LTB4 (leukotriene B4),,8,,,1,,H,Autocuration,,,CHEMBL618024,BAO_0000357,
3841,10319,B,,,55,In vitro inhibitory activity against 5-lipoxygenase in human polymorphonuclear (PMN) cells,,8,,,1,,H,Expert,,,CHEMBL873950,BAO_0000019,
3842,10193,B,,,55,In vitro inhibitory activity against polymorphonuclear leukocyte 5-lipoxygenase in human cell at 10 uM,,8,,,1,,H,Autocuration,,,CHEMBL618025,BAO_0000357,
3843,951,B,,,55,Inhibition of 5-lipoxygenase was evaluated in human polymorphonuclear leukocytes stimulated by calcium ionophore A-23187 for formation of 5-HETE at 10 uM,,8,,,1,,H,Autocuration,,,CHEMBL618026,BAO_0000219,
3844,951,B,,,55,Inhibition of 5-lipoxygenase was evaluated in human polymorphonuclear leukocytes stimulated by calcium ionophore A-23187 for formation of 5-HETE at 10 uM; NA means Inactive,,8,,,1,,H,Autocuration,,,CHEMBL618027,BAO_0000219,
3845,951,B,,,55,Inhibition of 5-lipoxygenase was evaluated in human polymorphonuclear leukocytes stimulated by calcium ionophore A-23187 for formation of LTB4 at 10 uM,,8,,,1,,H,Autocuration,,,CHEMBL618028,BAO_0000219,
3846,951,B,,,55,Inhibition of 5-lipoxygenase was evaluated in human polymorphonuclear leukocytes stimulated by calcium ionophore A-23187 for formation of LTB4 at 10 uM; NA means Inactive,,8,,,1,,H,Autocuration,,,CHEMBL618029,BAO_0000219,
3847,9859,B,,,55,Inhibitory activity against 5-lipoxygenase at 10 uM concentration,,8,,,1,,H,Expert,,,CHEMBL618030,BAO_0000357,
3848,9859,B,,,55,Inhibitory activity against 5-lipoxygenase at 1 uM concentration,,8,,,1,,H,Expert,,,CHEMBL618031,BAO_0000357,
3849,9859,B,,,55,Inhibitory activity against lipoxygenase (LO) at 10 uM concentration,,8,,,1,,H,Autocuration,,,CHEMBL618032,BAO_0000357,
3850,2567,B,,,55,Inhibitory concentration required against 5-lipoxygenase activity in cytosolic fractions of human neutrophils,,8,,,1,,H,Autocuration,,,CHEMBL618033,BAO_0000357,
3851,10193,B,,,55,In vitro inhibitory activity against polymorphonuclear leukocyte 5-lipoxygenase in human cell at 1 uM,,8,,,1,,H,Autocuration,,,CHEMBL618034,BAO_0000357,
3852,10193,B,,,55,In vitro inhibitory activity against polymorphonuclear leukocyte 5-lipoxygenase in human cell at 10 uM,,8,,,1,,H,Autocuration,,,CHEMBL875088,BAO_0000357,
3853,949,B,,,55,Tested for the inhibition of 5-lipoxygenase from human polymorphonuclear leukocytes(PMN) at 10 uM concentration of the compound; IA= Inactive,,8,,,1,,H,Autocuration,,,CHEMBL618035,BAO_0000019,
3854,949,B,,,55,Tested for the inhibition of 5-lipoxygenase from human polymorphonuclear leukocytes(PMN) at 10 uM concentration of the compound; value ranges from 70-90,,8,,,1,,H,Autocuration,,,CHEMBL618036,BAO_0000019,
3855,10603,B,,,55,Inhibition of human neutrophil 5-lipoxygenase at the concentration of 0.1 uM,,8,,,1,,H,Expert,,,CHEMBL618037,BAO_0000357,
3856,10603,B,,,55,Inhibition of human neutrophil 5-lipoxygenase at the concentration of 1 uM,,8,,,1,,H,Expert,,,CHEMBL618038,BAO_0000357,
3857,10603,F,,,55,Inhibition of human neutrophil 5-lipoxygenase at the concentration of 1 uM,,8,,,1,,H,Autocuration,,,CHEMBL618761,BAO_0000019,
3858,10603,B,,,55,Inhibition of lipoxygenase at the concentration of 0.1 uM,,8,,,1,,H,Expert,,,CHEMBL618762,BAO_0000357,
3859,10603,B,,,55,Inhibition of lipoxygenase at the concentration of 1 uM,,8,,,1,,H,Expert,,,CHEMBL618763,BAO_0000357,
3860,10193,B,,,55,In vitro inhibitory activity against polymorphonuclear leukocyte 5-lipoxygenase in human cell,,8,,,1,,H,Autocuration,,,CHEMBL618764,BAO_0000357,
3861,14580,B,,,55,Inhibition of 5-Lipoxygenase (5-LOX),,9,,Homo sapiens,1,9606.0,D,Expert,,,CHEMBL618765,BAO_0000357,
3862,11090,B,,,17087,Inhibition of 5-lipoxygenase in mouse macrophages.,,8,,,1,,H,Expert,,,CHEMBL618766,BAO_0000357,
3863,11090,B,,,17087,Inhibition of 5-lipoxygenase in mouse macrophages.,,8,,,1,,H,Expert,,,CHEMBL618767,BAO_0000357,
3864,6339,B,,,17087,Inhibitory activity against lipoxygenase-2 in mice,,8,,,1,,H,Autocuration,,,CHEMBL619380,BAO_0000357,
3865,6339,B,,,17087,Inhibitory activity against murine lipoxygenase-2.,,8,,,1,,H,Expert,,,CHEMBL619381,BAO_0000357,
3866,12281,B,,,17087,Inhibition of 5-lipoxygenase from mouse macrophage,,9,,Mus musculus,1,10090.0,D,Expert,,,CHEMBL619382,BAO_0000357,
3867,11311,B,,,17087,The compound was tested for inhibitory activity against 5-lipoxygenase in mouse macrophages,,8,,,1,,H,Autocuration,,,CHEMBL619383,BAO_0000357,
3868,11089,B,,,55,The compound was tested for the inhibition of Arachidonate 5-lipoxygenase purified from porcine leukocytes.,,8,,Sus scrofa,1,9823.0,H,Autocuration,,,CHEMBL619384,BAO_0000019,
3869,10091,B,,,55,Inhibition of 5-lipoxygenase reaction catalyzed by purified enzyme from porcine leukocytes,,8,,Sus scrofa,1,9823.0,H,Autocuration,,,CHEMBL619385,BAO_0000019,
3870,14352,B,,,55,Inhibitory concentration against 5-lipoxygenase from isolated rabbit granulocytes,,8,,Oryctolagus cuniculus,1,9986.0,H,Autocuration,,,CHEMBL882928,BAO_0000019,
3871,13329,B,,,12166,5-lipoxygenase Inhibitory activity against rat polymorphonuclear leucocytes using 5-HETE,,9,,Rattus norvegicus,1,10116.0,D,Expert,,,CHEMBL619386,BAO_0000019,
3872,13329,B,,,12166,"5-lipoxygenase inhibitory activity against rat polymorphonuclear leucocytes from female wistar rat, by using 5-HETE. ",,8,,,1,,H,Autocuration,,,CHEMBL619387,BAO_0000019,
3873,13329,B,,,12166,"5-lipoxygenase inhibitory activity against rat polymorphonuclear leucocytes from female wistar rat, by using 5-HETE.",,8,,,1,,H,Autocuration,,,CHEMBL619388,BAO_0000019,
3874,13329,B,,,12166,"5-lipoxygenase inhibitory activity against rat polymorphonuclear leucocytes from female wistar rat, by using LTB4.",,8,,,1,,H,Autocuration,,,CHEMBL619389,BAO_0000019,
3875,13329,B,,,12166,Inhibition of 5-lipoxygenase pathway in rat polymorphonuclear assay (inhibition of 5-HETE formation),,8,,,1,,H,Expert,,,CHEMBL619390,BAO_0000019,
3876,13329,B,,,12166,"Inhibition of 5-lipoxygenase pathway in rat polymorphonuclear assay, by ability to inhibit formation of LTB4 AT 10 uM",,8,,,1,,H,Expert,,,CHEMBL619391,BAO_0000019,
3877,13329,B,,,12166,Inhibition of 5-lipoxygenase pathway was evaluated in rat polymorphonuclear assay by compound (50 uM) ability to inhibit formation of 5-HETE,,8,,,1,,H,Autocuration,,,CHEMBL619392,BAO_0000019,
3878,11311,B,,,12166,The effective dose for inhibition of 5-lipoxygenase in rat blood leukocyte (ex vivo),,8,,,1,,H,Autocuration,,,CHEMBL619393,BAO_0000019,
3879,11311,B,,,12166,The effective dose for inhibition of 5-lipoxygenase in rat passive Arthus model after oral administration,,8,,,1,,H,Autocuration,,,CHEMBL619394,BAO_0000019,
3880,105,B,RBL-1,,12166,"In vitro inhibition of 5-lipoxygenase HETE (5-hydroperoxyeicosatetraenoic acid) in RBL-1 macrophage, a cell-free enzyme assay",,8,702.0,,1,,H,Autocuration,,,CHEMBL619395,BAO_0000219,
3881,105,B,RBL-1,,12166,"In vitro inhibition of 5-lipoxygenase HETE (5-hydroperoxyeicosatetraenoic acid) in RBL-1 macrophage, a cell-free enzyme assay",,8,702.0,,1,,H,Autocuration,,,CHEMBL619396,BAO_0000219,
3882,9138,B,,,12166,Inhibition of rat neutrophil 5- Lipoxygenase (5-LO),,8,,,1,,H,Autocuration,,,CHEMBL619397,BAO_0000357,
3883,9138,B,,,12166,"Inhibition of rat neutrophil 5- Lipoxygenase (5-LO),",,8,,,1,,H,Autocuration,,,CHEMBL619398,BAO_0000357,
3884,9138,B,,,12166,"Inhibition of rat neutrophil 5- Lipoxygenase (5-LO), (at a concentration of 0.2 nM ),",,8,,,1,,H,Autocuration,,,CHEMBL619399,BAO_0000357,
3885,14427,B,,,12166,5-LO inhibitory activity determined by measuring the conversion of [14C]arachidonic acid to leukotrienes in RBL-2H3 cell using thin-layer chromatography; Not determined,,8,,,1,,H,Autocuration,,,CHEMBL619400,BAO_0000357,
3886,13329,B,,,12166,"5-lipoxygenase inhibitory activity against rat polymorphonuclear leucocytes from female wistar rat, by using 5-HETE.",,8,,,1,,H,Autocuration,,,CHEMBL619401,BAO_0000019,
3887,13329,B,,,12166,"5-lipoxygenase inhibitory activity against rat polymorphonuclear leucocytes from female wistar rat, by using LTB4. ",,8,,,1,,H,Autocuration,,,CHEMBL619402,BAO_0000019,
3888,14427,B,RBL-2H3,,12166,Inhibition of 5-lipoxygenase mediated conversion of [14C]arachidonic acid to leukotrienes in RBL-2H3 cells,,9,663.0,Rattus norvegicus,1,10116.0,D,Expert,,,CHEMBL619403,BAO_0000219,
3889,14427,B,,,12166,5-lipoxygenase inhibitory activity determined by measuring the conversion of [14C]arachidonic acid to leukotrienes in RBL-2H3 cell using thin-layer chromatography; Not determined,,8,,,1,,H,Autocuration,,,CHEMBL619404,BAO_0000357,
3890,14427,B,,,12166,5-lipoxygenase inhibitory activity determined by measuring the conversion of [14C]arachidonic acid to leukotrienes in RBL-2H3 cell using thin-layer chromatography.,,8,,,1,,H,Autocuration,,,CHEMBL619405,BAO_0000357,
3891,10293,B,RBL-1,,12166,Ability to inhibit 5-lipoxygenase by using a crude preparation of the cytosolic enzyme from the rat basophilic leukemia (RBL-1) cell line,,8,702.0,,1,,H,Expert,,,CHEMBL619406,BAO_0000219,
3892,338,B,RBL-1,,12166,Inhibition of 5-Lipoxygenase of rat basophilic leukemia cells,,9,702.0,Rattus norvegicus,1,10116.0,D,Expert,,,CHEMBL619407,BAO_0000219,
3893,303,B,,,12166,Compound was evaluated for its inhibitory activity against 5-LO (5-lipoxygenase),,8,,,1,,H,Autocuration,,,CHEMBL619408,BAO_0000357,
3894,303,B,RBL-1,,12166,Compound was evaluated for its inhibitory activity against 5-LO (5-lipoxygenase) in intact RBL-1 cell line assay,,8,702.0,,1,,H,Autocuration,,,CHEMBL619409,BAO_0000219,
3895,9247,B,RBL-1,,12166,Inhibition of rat basophilic leukemia-1 (RBL-1) 5-lipoxygenase,,8,702.0,,1,,H,Expert,,,CHEMBL619410,BAO_0000219,
3896,9247,B,RBL-1,,12166,Compound was evaluated for the inhibition of rat basophilic leukemia-1 (RBL-1) 5-Lipoxygenase at 100 uM; NS = no significant activity,,8,702.0,,1,,H,Autocuration,,,CHEMBL619753,BAO_0000219,
3897,137,B,RBL-1,,12166,Compound was evaluated in an intact RBL-1 cell line for inhibition of 5-lipoxygenase,,8,702.0,,1,,H,Autocuration,,,CHEMBL619754,BAO_0000219,
3898,11481,B,,,12166,Evaluated in vitro for its inhibitory activity against 5-lipoxygenase,,8,,,1,,H,Expert,,,CHEMBL619903,BAO_0000357,
3899,11481,B,,,12166,"Evaluated in vitro for its inhibitory activity against 5-lipoxygenase; N=Inactive, <50% inhibition at 10 uM concentration",,8,,,1,,H,Expert,,,CHEMBL619904,BAO_0000357,
3900,9029,B,,,12166,Inhibition of rat polymorphonuclear leukocyte (PMN) 5-Lipoxygenase in vitro,,8,,,1,,H,Expert,,,CHEMBL619905,BAO_0000357,
3901,1701,B,,,12166,Compound was tested for inhibition of 5-lipoxygenase activity in a broken cell supernatant rat basophilic leukemia cells,,8,,,1,,H,Autocuration,,,CHEMBL619906,BAO_0000019,
3902,1701,B,,,12166,Compound was tested for inhibition of 5-lipoxygenase activity in a broken cell supernatant rat basophilic leukemia cells at concentration of 32 uM; Not active,,8,,,1,,H,Autocuration,,,CHEMBL619907,BAO_0000019,
3903,1701,B,,,12166,Compound was tested for inhibition of 5-lipoxygenase activity in a broken cell supernatant rat basophilic leukemia cells at concentration of 50 uM; Not active,,8,,,1,,H,Autocuration,,,CHEMBL619908,BAO_0000019,
3904,1701,B,,,12166,Compound was tested for inhibition of 5-lipoxygenase activity in a broken cell supernatant rat basophilic leukemia cells; No data,,8,,,1,,H,Autocuration,,,CHEMBL619909,BAO_0000019,
3905,13358,F,RBL-1,,12166,Inhibition of 5-lipoxygenase by measuring 5-HETE levels in RBL-1 cell-free supernatant,,8,702.0,,1,,H,Expert,,,CHEMBL619910,BAO_0000219,
3906,1175,B,RBL-1,,12166,Inhibitory activity against 5-lipoxygenase enzyme from RBL-1 cells,,8,702.0,,1,,H,Expert,,,CHEMBL882929,BAO_0000219,
3907,8797,B,RBL-1,,12166,Ability to inhibit 5-lipoxygenase in rat basophilic leukemia cells.,,8,702.0,,1,,H,Expert,,,CHEMBL619911,BAO_0000219,
3908,8797,B,,,12166,Compound was tested for its ability to inhibit 5-lipoxygenase in rat basophilic leukemia cells; No data,,8,,,1,,H,Autocuration,,,CHEMBL619912,BAO_0000019,
3909,577,B,,,12166,Inhibition of rat basophilic leukemia cell 5-lipoxygenase,,9,,Rattus norvegicus,1,10116.0,D,Expert,,,CHEMBL619913,BAO_0000357,
3910,9295,B,RBL-1,,12166,In vitro inhibitory activity against RBL-1 5-LO,,8,702.0,,1,,H,Expert,,,CHEMBL619914,BAO_0000219,
3911,9295,B,RBL-1,,12166,Compound was tested for its in vitro inhibitory activity against RBL-1 5-LO (insoluble above 45 uM),,8,702.0,,1,,H,Autocuration,,,CHEMBL619915,BAO_0000219,
3912,9295,B,RBL-1,,12166,Compound was tested for its in vitro inhibitory activity against RBL-1 5-LO (time dependent),,8,702.0,,1,,H,Autocuration,,,CHEMBL619916,BAO_0000219,
3913,9295,B,,,12166,Compound was tested for its inhibition activity against 5-LO of the whole cell in vitro in rat.,,8,,,1,,H,Autocuration,,,CHEMBL619917,BAO_0000218,
3914,9295,B,,,12166,Compound was tested for its inhibition activity against the 5-LO in isolated enzyme,,8,,,1,,H,Autocuration,,,CHEMBL619918,BAO_0000357,
3915,216,B,,,12166,Compound was tested for its inhibitory activity against 5-lipoxygenase in rat.,,8,,,1,,H,Autocuration,,,CHEMBL619919,BAO_0000218,
3916,11090,B,RBL-1,,12166,Compound was tested for the inhibition of 5-lipoxygenase (5-LPO) in rat basophilic leukemia (RBL) cells.,,8,702.0,,1,,H,Autocuration,,,CHEMBL883710,BAO_0000219,
3917,11090,B,,178.0,12166,Compound was tested for the inhibition of 5-lipoxygenase (5-Lpo) in rat whole blood.,Blood,8,,,1,,H,Autocuration,,,CHEMBL619920,BAO_0000019,
3918,10091,B,,,12166,Concentration required for 50 % inhibition of arachidonic acid oxidation by rat 5-lipoxygenase,,8,,,1,,H,Expert,,,CHEMBL619921,BAO_0000357,
3919,10274,F,,,12166,Concentration that produces 50% inhibition of A-23187-stimulated radiolabeled 5-HETE and TXB2 synthesis by PMN 5-lipoxygenase.,,8,,,1,,H,Autocuration,,,CHEMBL619922,BAO_0000019,
3920,13622,F,,,12166,In vitro 5-lipoxygenase inhibitory activity against calcium ionophore (A23187) induced LTB4 formation in rat polymorphonuclear leukocytes,,8,,,1,,H,Autocuration,,,CHEMBL619923,BAO_0000219,
3921,12118,B,RBL-1,,12166,In vitro inhibition against 5-lipoxygenase in RBL-1 cells was determined,,8,702.0,,1,,H,Expert,,,CHEMBL619924,BAO_0000219,
3922,12576,B,,,12166,In vitro inhibition of 5-lipoxygenase (5-HETE) derived from the 9000xg supernatant of RBL broken cell assay,,8,,,1,,H,Expert,,,CHEMBL619925,BAO_0000357,
3923,9546,B,RBL-1,,12166,In vitro inhibition of 5-lipoxygenase from RBL-1 cells,,8,702.0,,1,,H,Expert,,,CHEMBL619926,BAO_0000219,
3924,9521,B,RBL-1,,12166,In vitro inhibition of 5-lipoxygenase in RBL-1 cells,,8,702.0,,1,,H,Autocuration,,,CHEMBL619927,BAO_0000219,
3925,10626,B,RBL-1,,12166,In vitro inhibition of 5-lipoxygenase pathway in rat basophilic leukemia (RBL-1) cells,,8,702.0,,1,,H,Expert,,,CHEMBL619928,BAO_0000219,
3926,9225,B,RBL-1,,12166,In vitro inhibition of RBL-1 5-lipoxygenase,,8,702.0,,1,,H,Autocuration,,,CHEMBL619929,BAO_0000219,
3927,9225,B,RBL-1,,12166,In vitro inhibition of RBL-1 5-lipoxygenase; Value ranges from 0.18-0.31,,8,702.0,,1,,H,Autocuration,,,CHEMBL875089,BAO_0000219,
3928,9225,B,RBL-1,,12166,In vitro inhibition of RBL-1 5-lipoxygenase; Value ranges from 0.3-1.6,,8,702.0,,1,,H,Autocuration,,,CHEMBL619930,BAO_0000219,
3929,9225,B,RBL-1,,12166,In vitro inhibition of RBL-1 5-lipoxygenase; Value ranges from 0.4-2.2,,8,702.0,,1,,H,Autocuration,,,CHEMBL619931,BAO_0000219,
3930,9225,B,RBL-1,,12166,In vitro inhibition of RBL-1 5-lipoxygenase; Value ranges from 0.72-1.07,,8,702.0,,1,,H,Autocuration,,,CHEMBL619932,BAO_0000219,
3931,9225,B,RBL-1,,12166,In vitro inhibition of RBL-1 5-lipoxygenase; Value ranges from 0.9-4.0,,8,702.0,,1,,H,Autocuration,,,CHEMBL619933,BAO_0000219,
3932,9225,B,RBL-1,,12166,In vitro inhibition of RBL-1 5-lipoxygenase; Value ranges from 1.0-1.5,,8,702.0,,1,,H,Autocuration,,,CHEMBL619934,BAO_0000219,
3933,9225,B,RBL-1,,12166,In vitro inhibition of RBL-1 5-lipoxygenase; Value ranges from 1.0-1.7,,8,702.0,,1,,H,Autocuration,,,CHEMBL619935,BAO_0000219,
3934,9225,B,RBL-1,,12166,In vitro inhibition of RBL-1 5-lipoxygenase; Value ranges from 1.0-2.4,,8,702.0,,1,,H,Autocuration,,,CHEMBL619936,BAO_0000219,
3935,9225,B,RBL-1,,12166,In vitro inhibition of RBL-1 5-lipoxygenase; Value ranges from 1.07-5.54,,8,702.0,,1,,H,Autocuration,,,CHEMBL619937,BAO_0000219,
3936,9225,B,RBL-1,,12166,In vitro inhibition of RBL-1 5-lipoxygenase; Value ranges from 1.1-1.6,,8,702.0,,1,,H,Autocuration,,,CHEMBL619938,BAO_0000219,
3937,9225,B,RBL-1,,12166,In vitro inhibition of RBL-1 5-lipoxygenase; Value ranges from 1.3-2.8,,8,702.0,,1,,H,Autocuration,,,CHEMBL619939,BAO_0000219,
3938,9225,B,RBL-1,,12166,In vitro inhibition of RBL-1 5-lipoxygenase; Value ranges from 1.4-3.2,,8,702.0,,1,,H,Autocuration,,,CHEMBL619940,BAO_0000219,
3939,9225,B,RBL-1,,12166,In vitro inhibition of RBL-1 5-lipoxygenase; Value ranges from 1.7-2.6,,8,702.0,,1,,H,Autocuration,,,CHEMBL875090,BAO_0000219,
3940,9225,B,RBL-1,,12166,In vitro inhibition of RBL-1 5-lipoxygenase; Value ranges from 1.8-2.8,,8,702.0,,1,,H,Autocuration,,,CHEMBL619941,BAO_0000219,
3941,9225,B,RBL-1,,12166,In vitro inhibition of RBL-1 5-lipoxygenase; Value ranges from 1.8-5.7,,8,702.0,,1,,H,Autocuration,,,CHEMBL619942,BAO_0000219,
3942,9225,B,RBL-1,,12166,In vitro inhibition of RBL-1 5-lipoxygenase; Value ranges from 1.9-2.4,,8,702.0,,1,,H,Autocuration,,,CHEMBL883711,BAO_0000219,
3943,9225,B,RBL-1,,12166,In vitro inhibition of RBL-1 5-lipoxygenase; Value ranges from 2.3-.8,,8,702.0,,1,,H,Autocuration,,,CHEMBL619943,BAO_0000219,
3944,9225,B,RBL-1,,12166,In vitro inhibition of RBL-1 5-lipoxygenase; Value ranges from 2.46-2.63,,8,702.0,,1,,H,Autocuration,,,CHEMBL619944,BAO_0000219,
3945,9225,B,RBL-1,,12166,In vitro inhibition of RBL-1 5-lipoxygenase; Value ranges from 3.3-3.5,,8,702.0,,1,,H,Autocuration,,,CHEMBL619945,BAO_0000219,
3946,9225,B,RBL-1,,12166,In vitro inhibition of RBL-1 5-lipoxygenase; Value ranges from 3.8-7.1,,8,702.0,,1,,H,Autocuration,,,CHEMBL619946,BAO_0000219,
3947,9225,B,RBL-1,,12166,In vitro inhibition of RBL-1 5-lipoxygenase; Value ranges from 4.0-6.4,,8,702.0,,1,,H,Autocuration,,,CHEMBL619947,BAO_0000219,
3948,9225,B,RBL-1,,12166,In vitro inhibition of RBL-1 5-lipoxygenase; Value ranges from 4.9-11.6,,8,702.0,,1,,H,Autocuration,,,CHEMBL619948,BAO_0000219,
3949,9225,B,RBL-1,,12166,In vitro inhibition of RBL-1 5-lipoxygenase; Value ranges from 7.5-11.8,,8,702.0,,1,,H,Autocuration,,,CHEMBL619949,BAO_0000219,
3950,9401,B,,,12166,In vitro inhibitory activity against 5-lipoxygenase from rat basophilic leukemia cells.,,8,,,1,,H,Expert,,,CHEMBL619950,BAO_0000019,
3951,10325,B,,,12166,In vitro inhibitory activity against 5-Lipoxygenase in rat by Peritoneal 5-lipoxygenase assay,,8,,,1,,H,Autocuration,,,CHEMBL618050,BAO_0000019,
3952,1556,F,RBL-2H3,,12166,In vitro inhibition of 5-lipoxygenase in RBL-2H3 (Rat basophilic leukemia) cells.,,8,663.0,,1,,H,Expert,,,CHEMBL875091,BAO_0000219,
3953,1556,F,RBL-2H3,,12166,In vitro inhibition of 5-lipoxygenase in RBL-2H3 (Rat basophilic leukemia) cells; Not tested,,8,663.0,,1,,H,Expert,,,CHEMBL618051,BAO_0000219,
3954,961,B,RBL-1,,12166,Inhibition of 5-lipoxygenase from rat basophilic leukemia(RBL-1) cells,,9,702.0,Rattus norvegicus,1,10116.0,D,Expert,,,CHEMBL618052,BAO_0000219,
