Fiscal year,Participatory development and good governance,Branch ID,Branch name,CountryRegion ID,Continent name,Organisation sub-class,Section ID,Fund centre name,Regional program (marker),Organisation class,PBA type,Bilateral aid (international marker),Sector name,Climate change adaptation (marker),Project number,Status,Maximum CIDA contribution (project-level),Division ID,Division name,Section name,Fund centre ID,Untied amount(Project-level budget),FSTC percent,IRTC percent,CFLI (marker),CIDA business delivery model (old),Programming process (new),Enviromental sustainability (marker),Climate change mitigation (marker),Desertification (marker),Trade development (marker),Biodiversity (marker)
2009/2010,0,B4200,WGM Sub-Saharan Africa,80,Africa,CONSULTANT,S4249,Central & West Africa Regional Program,1,Individual,Not PBA,1,Higher education,0,A031963002,Closed,1288869.46,D4207,WWD West & Central Africa,Gulf of Guinea Program,4310,0.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,0,B4200,WGM Sub-Saharan Africa,80,Africa,ASSOCIATIONS,S4249,Central & West Africa Regional Program,1,Civil Society,Not PBA,1,Higher education,0,A031963002,Closed,1288869.46,D4207,WWD West & Central Africa,Gulf of Guinea Program,4310,0.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,0,B4200,WGM Sub-Saharan Africa,80,Africa,CONSULTANT,S4249,Central & West Africa Regional Program,1,Individual,Not PBA,1,Higher education,0,A031963002,Closed,1288869.46,D4207,WWD West & Central Africa,Gulf of Guinea Program,4310,0.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,0,B4200,WGM Sub-Saharan Africa,80,Africa,ASSOCIATIONS,S4249,Central & West Africa Regional Program,1,Civil Society,Not PBA,1,Higher education,0,A031963002,Closed,1288869.46,D4207,WWD West & Central Africa,Gulf of Guinea Program,4310,0.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,0,B4200,WGM Sub-Saharan Africa,80,Africa,CONSULTANT,S4249,Central & West Africa Regional Program,1,Individual,Not PBA,1,Higher education,0,A031963002,Closed,1288869.46,D4207,WWD West & Central Africa,Gulf of Guinea Program,4310,0.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,0,B4200,WGM Sub-Saharan Africa,80,Africa,ASSOCIATIONS,S4249,Central & West Africa Regional Program,1,Civil Society,Not PBA,1,Higher education,0,A031963002,Closed,1288869.46,D4207,WWD West & Central Africa,Gulf of Guinea Program,4310,0.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,0,B4200,WGM Sub-Saharan Africa,80,Africa,CONSULTANT,S4249,Central & West Africa Regional Program,1,Individual,Not PBA,1,Higher education,0,A031963002,Closed,1288869.46,D4207,WWD West & Central Africa,Gulf of Guinea Program,4310,0.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,0,B4200,WGM Sub-Saharan Africa,80,Africa,ASSOCIATIONS,S4249,Central & West Africa Regional Program,1,Civil Society,Not PBA,1,Higher education,0,A031963002,Closed,1288869.46,D4207,WWD West & Central Africa,Gulf of Guinea Program,4310,0.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,0,B4200,WGM Sub-Saharan Africa,80,Africa,CONSULTANT,S4249,Central & West Africa Regional Program,1,Individual,Not PBA,1,Higher education,0,A031963002,Closed,1288869.46,D4207,WWD West & Central Africa,Gulf of Guinea Program,4310,0.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,0,B4200,WGM Sub-Saharan Africa,80,Africa,ASSOCIATIONS,S4249,Central & West Africa Regional Program,1,Civil Society,Not PBA,1,Higher education,0,A031963002,Closed,1288869.46,D4207,WWD West & Central Africa,Gulf of Guinea Program,4310,0.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,0,B4200,WGM Sub-Saharan Africa,80,Africa,CONSULTANT,S4249,Central & West Africa Regional Program,1,Individual,Not PBA,1,Higher education,0,A031963002,Closed,1288869.46,D4207,WWD West & Central Africa,Gulf of Guinea Program,4310,0.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,0,B4200,WGM Sub-Saharan Africa,90,Africa,ASSOCIATIONS,S4249,Central & West Africa Regional Program,1,Civil Society,Not PBA,1,Higher education,0,A031963002,Closed,1288869.46,D4207,WWD West & Central Africa,Gulf of Guinea Program,4310,0.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,0,B4200,WGM Sub-Saharan Africa,90,Africa,CONSULTANT,S4249,Central & West Africa Regional Program,1,Individual,Not PBA,1,Higher education,0,A031963002,Closed,1288869.46,D4207,WWD West & Central Africa,Gulf of Guinea Program,4310,0.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,0,B4200,WGM Sub-Saharan Africa,110,Africa,ASSOCIATIONS,S4249,Central & West Africa Regional Program,1,Civil Society,Not PBA,1,Higher education,0,A031963002,Closed,1288869.46,D4207,WWD West & Central Africa,Gulf of Guinea Program,4310,0.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,0,B4200,WGM Sub-Saharan Africa,110,Africa,CONSULTANT,S4249,Central & West Africa Regional Program,1,Individual,Not PBA,1,Higher education,0,A031963002,Closed,1288869.46,D4207,WWD West & Central Africa,Gulf of Guinea Program,4310,0.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,0,B4200,WGM Sub-Saharan Africa,80,Africa,FEDERAL,S4249,Central & West Africa Regional Program,1,Governmental,Not PBA,1,Public sector policy and administrative management,0,A031973001,Closed,4126131.99,D4207,WWD West & Central Africa,Gulf of Guinea Program,4310,4126131.99,1.0,0.0,0,Directive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,0,B4200,WGM Sub-Saharan Africa,80,Africa,CROWN CORPORATIONS,S4249,Central & West Africa Regional Program,1,Para-Governmental,Not PBA,1,Public sector policy and administrative management,0,A031973001,Closed,4126131.99,D4207,WWD West & Central Africa,Gulf of Guinea Program,4310,4126131.99,1.0,0.0,0,Directive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,0,B4200,WGM Sub-Saharan Africa,80,Africa,CONSULTANT,S4249,Central & West Africa Regional Program,1,Individual,Not PBA,1,Public sector policy and administrative management,0,A031973001,Closed,4126131.99,D4207,WWD West & Central Africa,Gulf of Guinea Program,4310,4126131.99,1.0,0.0,0,Directive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,0,B4200,WGM Sub-Saharan Africa,80,Africa,FEDERAL,S4249,Central & West Africa Regional Program,1,Governmental,Not PBA,1,Public sector policy and administrative management,0,A031973001,Closed,4126131.99,D4207,WWD West & Central Africa,Gulf of Guinea Program,4310,4126131.99,1.0,0.0,0,Directive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,0,B4200,WGM Sub-Saharan Africa,80,Africa,CROWN CORPORATIONS,S4249,Central & West Africa Regional Program,1,Para-Governmental,Not PBA,1,Public sector policy and administrative management,0,A031973001,Closed,4126131.99,D4207,WWD West & Central Africa,Gulf of Guinea Program,4310,4126131.99,1.0,0.0,0,Directive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,0,B4200,WGM Sub-Saharan Africa,80,Africa,CONSULTANT,S4249,Central & West Africa Regional Program,1,Individual,Not PBA,1,Public sector policy and administrative management,0,A031973001,Closed,4126131.99,D4207,WWD West & Central Africa,Gulf of Guinea Program,4310,4126131.99,1.0,0.0,0,Directive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,0,B4200,WGM Sub-Saharan Africa,80,Africa,FEDERAL,S4249,Central & West Africa Regional Program,1,Governmental,Not PBA,1,Public sector policy and administrative management,0,A031973001,Closed,4126131.99,D4207,WWD West & Central Africa,Gulf of Guinea Program,4310,4126131.99,1.0,0.0,0,Directive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,0,B4200,WGM Sub-Saharan Africa,80,Africa,CROWN CORPORATIONS,S4249,Central & West Africa Regional Program,1,Para-Governmental,Not PBA,1,Public sector policy and administrative management,0,A031973001,Closed,4126131.99,D4207,WWD West & Central Africa,Gulf of Guinea Program,4310,4126131.99,1.0,0.0,0,Directive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,0,B4200,WGM Sub-Saharan Africa,80,Africa,CONSULTANT,S4249,Central & West Africa Regional Program,1,Individual,Not PBA,1,Public sector policy and administrative management,0,A031973001,Closed,4126131.99,D4207,WWD West & Central Africa,Gulf of Guinea Program,4310,4126131.99,1.0,0.0,0,Directive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,0,B4200,WGM Sub-Saharan Africa,80,Africa,FEDERAL,S4249,Central & West Africa Regional Program,1,Governmental,Not PBA,1,Public sector policy and administrative management,0,A031973001,Closed,4126131.99,D4207,WWD West & Central Africa,Gulf of Guinea Program,4310,4126131.99,1.0,0.0,0,Directive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,0,B4200,WGM Sub-Saharan Africa,80,Africa,CROWN CORPORATIONS,S4249,Central & West Africa Regional Program,1,Para-Governmental,Not PBA,1,Public sector policy and administrative management,0,A031973001,Closed,4126131.99,D4207,WWD West & Central Africa,Gulf of Guinea Program,4310,4126131.99,1.0,0.0,0,Directive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,0,B4200,WGM Sub-Saharan Africa,80,Africa,CONSULTANT,S4249,Central & West Africa Regional Program,1,Individual,Not PBA,1,Public sector policy and administrative management,0,A031973001,Closed,4126131.99,D4207,WWD West & Central Africa,Gulf of Guinea Program,4310,4126131.99,1.0,0.0,0,Directive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,0,B4200,WGM Sub-Saharan Africa,80,Africa,FEDERAL,S4249,Central & West Africa Regional Program,1,Governmental,Not PBA,1,Public sector policy and administrative management,0,A031973001,Closed,4126131.99,D4207,WWD West & Central Africa,Gulf of Guinea Program,4310,4126131.99,1.0,0.0,0,Directive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,0,B4200,WGM Sub-Saharan Africa,80,Africa,CROWN CORPORATIONS,S4249,Central & West Africa Regional Program,1,Para-Governmental,Not PBA,1,Public sector policy and administrative management,0,A031973001,Closed,4126131.99,D4207,WWD West & Central Africa,Gulf of Guinea Program,4310,4126131.99,1.0,0.0,0,Directive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,0,B4200,WGM Sub-Saharan Africa,80,Africa,CONSULTANT,S4249,Central & West Africa Regional Program,1,Individual,Not PBA,1,Public sector policy and administrative management,0,A031973001,Closed,4126131.99,D4207,WWD West & Central Africa,Gulf of Guinea Program,4310,4126131.99,1.0,0.0,0,Directive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,0,B4200,WGM Sub-Saharan Africa,80,Africa,CONSULTING SERVICES,S4249,Central & West Africa Regional Program,1,Civil Society,Pooled funding,1,Public sector policy and administrative management,0,A031974001,Closed,5413006.82,D4207,WWD West & Central Africa,Gulf of Guinea Program,4310,5413006.82,0.0,0.0,0,Core Funding,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,0,B4200,WGM Sub-Saharan Africa,80,Africa,REGIONAL ORGANIZATION,S4249,Central & West Africa Regional Program,1,Multilateral,Pooled funding,1,Public sector policy and administrative management,0,A031974001,Closed,5413006.82,D4207,WWD West & Central Africa,Gulf of Guinea Program,4310,5413006.82,0.0,0.0,0,Core Funding,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,0,B4200,WGM Sub-Saharan Africa,80,Africa,CONSULTING SERVICES,S4249,Central & West Africa Regional Program,1,Civil Society,Pooled funding,1,Public sector policy and administrative management,0,A031974001,Closed,5413006.82,D4207,WWD West & Central Africa,Gulf of Guinea Program,4310,5413006.82,0.0,0.0,0,Core Funding,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,0,B4200,WGM Sub-Saharan Africa,80,Africa,CONSULTING SERVICES,S4249,Central & West Africa Regional Program,1,Civil Society,Pooled funding,1,Democratic participation and civil society,0,A031974001,Closed,5413006.82,D4207,WWD West & Central Africa,Gulf of Guinea Program,4310,5413006.82,0.0,0.0,0,Core Funding,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,0,B4200,WGM Sub-Saharan Africa,80,Africa,REGIONAL ORGANIZATION,S4249,Central & West Africa Regional Program,1,Multilateral,Pooled funding,1,Democratic participation and civil society,0,A031974001,Closed,5413006.82,D4207,WWD West & Central Africa,Gulf of Guinea Program,4310,5413006.82,0.0,0.0,0,Core Funding,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,0,B4200,WGM Sub-Saharan Africa,80,Africa,CONSULTING SERVICES,S4249,Central & West Africa Regional Program,1,Civil Society,Pooled funding,1,Democratic participation and civil society,0,A031974001,Closed,5413006.82,D4207,WWD West & Central Africa,Gulf of Guinea Program,4310,5413006.82,0.0,0.0,0,Core Funding,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,0,B4200,WGM Sub-Saharan Africa,80,Africa,CONSULTING SERVICES,S4249,Central & West Africa Regional Program,1,Civil Society,Pooled funding,1,Public sector policy and administrative management,0,A031974001,Closed,5413006.82,D4207,WWD West & Central Africa,Gulf of Guinea Program,4310,5413006.82,0.0,0.0,0,Core Funding,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,0,B4200,WGM Sub-Saharan Africa,80,Africa,REGIONAL ORGANIZATION,S4249,Central & West Africa Regional Program,1,Multilateral,Pooled funding,1,Public sector policy and administrative management,0,A031974001,Closed,5413006.82,D4207,WWD West & Central Africa,Gulf of Guinea Program,4310,5413006.82,0.0,0.0,0,Core Funding,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,0,B4200,WGM Sub-Saharan Africa,80,Africa,CONSULTING SERVICES,S4249,Central & West Africa Regional Program,1,Civil Society,Pooled funding,1,Public sector policy and administrative management,0,A031974001,Closed,5413006.82,D4207,WWD West & Central Africa,Gulf of Guinea Program,4310,5413006.82,0.0,0.0,0,Core Funding,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,0,B4200,WGM Sub-Saharan Africa,80,Africa,CONSULTING SERVICES,S4249,Central & West Africa Regional Program,1,Civil Society,Pooled funding,1,Democratic participation and civil society,0,A031974001,Closed,5413006.82,D4207,WWD West & Central Africa,Gulf of Guinea Program,4310,5413006.82,0.0,0.0,0,Core Funding,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,0,B4200,WGM Sub-Saharan Africa,80,Africa,REGIONAL ORGANIZATION,S4249,Central & West Africa Regional Program,1,Multilateral,Pooled funding,1,Democratic participation and civil society,0,A031974001,Closed,5413006.82,D4207,WWD West & Central Africa,Gulf of Guinea Program,4310,5413006.82,0.0,0.0,0,Core Funding,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,0,B4200,WGM Sub-Saharan Africa,80,Africa,CONSULTING SERVICES,S4249,Central & West Africa Regional Program,1,Civil Society,Pooled funding,1,Democratic participation and civil society,0,A031974001,Closed,5413006.82,D4207,WWD West & Central Africa,Gulf of Guinea Program,4310,5413006.82,0.0,0.0,0,Core Funding,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,0,B4200,WGM Sub-Saharan Africa,80,Africa,CONSULTING SERVICES,S4249,Central & West Africa Regional Program,1,Civil Society,Pooled funding,1,Public sector policy and administrative management,0,A031974001,Closed,5413006.82,D4207,WWD West & Central Africa,Gulf of Guinea Program,4310,5413006.82,0.0,0.0,0,Core Funding,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,0,B4200,WGM Sub-Saharan Africa,80,Africa,REGIONAL ORGANIZATION,S4249,Central & West Africa Regional Program,1,Multilateral,Pooled funding,1,Public sector policy and administrative management,0,A031974001,Closed,5413006.82,D4207,WWD West & Central Africa,Gulf of Guinea Program,4310,5413006.82,0.0,0.0,0,Core Funding,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,0,B4200,WGM Sub-Saharan Africa,80,Africa,CONSULTING SERVICES,S4249,Central & West Africa Regional Program,1,Civil Society,Pooled funding,1,Public sector policy and administrative management,0,A031974001,Closed,5413006.82,D4207,WWD West & Central Africa,Gulf of Guinea Program,4310,5413006.82,0.0,0.0,0,Core Funding,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,0,B4200,WGM Sub-Saharan Africa,80,Africa,CONSULTING SERVICES,S4249,Central & West Africa Regional Program,1,Civil Society,Pooled funding,1,Democratic participation and civil society,0,A031974001,Closed,5413006.82,D4207,WWD West & Central Africa,Gulf of Guinea Program,4310,5413006.82,0.0,0.0,0,Core Funding,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,0,B4200,WGM Sub-Saharan Africa,80,Africa,REGIONAL ORGANIZATION,S4249,Central & West Africa Regional Program,1,Multilateral,Pooled funding,1,Democratic participation and civil society,0,A031974001,Closed,5413006.82,D4207,WWD West & Central Africa,Gulf of Guinea Program,4310,5413006.82,0.0,0.0,0,Core Funding,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,0,B4200,WGM Sub-Saharan Africa,80,Africa,CONSULTING SERVICES,S4249,Central & West Africa Regional Program,1,Civil Society,Pooled funding,1,Democratic participation and civil society,0,A031974001,Closed,5413006.82,D4207,WWD West & Central Africa,Gulf of Guinea Program,4310,5413006.82,0.0,0.0,0,Core Funding,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,0,B4200,WGM Sub-Saharan Africa,80,Africa,CONSULTING SERVICES,S4249,Central & West Africa Regional Program,1,Civil Society,Pooled funding,1,Public sector policy and administrative management,0,A031974001,Closed,5413006.82,D4207,WWD West & Central Africa,Gulf of Guinea Program,4310,5413006.82,0.0,0.0,0,Core Funding,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,0,B4200,WGM Sub-Saharan Africa,80,Africa,REGIONAL ORGANIZATION,S4249,Central & West Africa Regional Program,1,Multilateral,Pooled funding,1,Public sector policy and administrative management,0,A031974001,Closed,5413006.82,D4207,WWD West & Central Africa,Gulf of Guinea Program,4310,5413006.82,0.0,0.0,0,Core Funding,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,0,B4200,WGM Sub-Saharan Africa,80,Africa,CONSULTING SERVICES,S4249,Central & West Africa Regional Program,1,Civil Society,Pooled funding,1,Public sector policy and administrative management,0,A031974001,Closed,5413006.82,D4207,WWD West & Central Africa,Gulf of Guinea Program,4310,5413006.82,0.0,0.0,0,Core Funding,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,0,B4200,WGM Sub-Saharan Africa,80,Africa,CONSULTING SERVICES,S4249,Central & West Africa Regional Program,1,Civil Society,Pooled funding,1,Democratic participation and civil society,0,A031974001,Closed,5413006.82,D4207,WWD West & Central Africa,Gulf of Guinea Program,4310,5413006.82,0.0,0.0,0,Core Funding,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,0,B4200,WGM Sub-Saharan Africa,80,Africa,REGIONAL ORGANIZATION,S4249,Central & West Africa Regional Program,1,Multilateral,Pooled funding,1,Democratic participation and civil society,0,A031974001,Closed,5413006.82,D4207,WWD West & Central Africa,Gulf of Guinea Program,4310,5413006.82,0.0,0.0,0,Core Funding,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,0,B4200,WGM Sub-Saharan Africa,80,Africa,CONSULTING SERVICES,S4249,Central & West Africa Regional Program,1,Civil Society,Pooled funding,1,Democratic participation and civil society,0,A031974001,Closed,5413006.82,D4207,WWD West & Central Africa,Gulf of Guinea Program,4310,5413006.82,0.0,0.0,0,Core Funding,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,0,B4200,WGM Sub-Saharan Africa,80,Africa,CONSULTING SERVICES,S4249,Central & West Africa Regional Program,1,Civil Society,Pooled funding,1,Public sector policy and administrative management,0,A031974001,Closed,5413006.82,D4207,WWD West & Central Africa,Gulf of Guinea Program,4310,5413006.82,0.0,0.0,0,Core Funding,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,0,B4200,WGM Sub-Saharan Africa,80,Africa,REGIONAL ORGANIZATION,S4249,Central & West Africa Regional Program,1,Multilateral,Pooled funding,1,Public sector policy and administrative management,0,A031974001,Closed,5413006.82,D4207,WWD West & Central Africa,Gulf of Guinea Program,4310,5413006.82,0.0,0.0,0,Core Funding,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,0,B4200,WGM Sub-Saharan Africa,80,Africa,CONSULTING SERVICES,S4249,Central & West Africa Regional Program,1,Civil Society,Pooled funding,1,Public sector policy and administrative management,0,A031974001,Closed,5413006.82,D4207,WWD West & Central Africa,Gulf of Guinea Program,4310,5413006.82,0.0,0.0,0,Core Funding,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,0,B4200,WGM Sub-Saharan Africa,80,Africa,CONSULTING SERVICES,S4249,Central & West Africa Regional Program,1,Civil Society,Pooled funding,1,Democratic participation and civil society,0,A031974001,Closed,5413006.82,D4207,WWD West & Central Africa,Gulf of Guinea Program,4310,5413006.82,0.0,0.0,0,Core Funding,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,0,B4200,WGM Sub-Saharan Africa,80,Africa,REGIONAL ORGANIZATION,S4249,Central & West Africa Regional Program,1,Multilateral,Pooled funding,1,Democratic participation and civil society,0,A031974001,Closed,5413006.82,D4207,WWD West & Central Africa,Gulf of Guinea Program,4310,5413006.82,0.0,0.0,0,Core Funding,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,0,B4200,WGM Sub-Saharan Africa,80,Africa,CONSULTING SERVICES,S4249,Central & West Africa Regional Program,1,Civil Society,Pooled funding,1,Democratic participation and civil society,0,A031974001,Closed,5413006.82,D4207,WWD West & Central Africa,Gulf of Guinea Program,4310,5413006.82,0.0,0.0,0,Core Funding,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,0,B4200,WGM Sub-Saharan Africa,80,Africa,CONSULTING SERVICES,S4249,Central & West Africa Regional Program,1,Civil Society,Pooled funding,1,Public sector policy and administrative management,0,A031974001,Closed,5413006.82,D4207,WWD West & Central Africa,Gulf of Guinea Program,4310,5413006.82,0.0,0.0,0,Core Funding,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,0,B4200,WGM Sub-Saharan Africa,80,Africa,REGIONAL ORGANIZATION,S4249,Central & West Africa Regional Program,1,Multilateral,Pooled funding,1,Public sector policy and administrative management,0,A031974001,Closed,5413006.82,D4207,WWD West & Central Africa,Gulf of Guinea Program,4310,5413006.82,0.0,0.0,0,Core Funding,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,0,B4200,WGM Sub-Saharan Africa,80,Africa,CONSULTING SERVICES,S4249,Central & West Africa Regional Program,1,Civil Society,Pooled funding,1,Public sector policy and administrative management,0,A031974001,Closed,5413006.82,D4207,WWD West & Central Africa,Gulf of Guinea Program,4310,5413006.82,0.0,0.0,0,Core Funding,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,0,B4200,WGM Sub-Saharan Africa,80,Africa,CONSULTING SERVICES,S4249,Central & West Africa Regional Program,1,Civil Society,Pooled funding,1,Democratic participation and civil society,0,A031974001,Closed,5413006.82,D4207,WWD West & Central Africa,Gulf of Guinea Program,4310,5413006.82,0.0,0.0,0,Core Funding,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,0,B4200,WGM Sub-Saharan Africa,80,Africa,REGIONAL ORGANIZATION,S4249,Central & West Africa Regional Program,1,Multilateral,Pooled funding,1,Democratic participation and civil society,0,A031974001,Closed,5413006.82,D4207,WWD West & Central Africa,Gulf of Guinea Program,4310,5413006.82,0.0,0.0,0,Core Funding,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,0,B4200,WGM Sub-Saharan Africa,80,Africa,CONSULTING SERVICES,S4249,Central & West Africa Regional Program,1,Civil Society,Pooled funding,1,Democratic participation and civil society,0,A031974001,Closed,5413006.82,D4207,WWD West & Central Africa,Gulf of Guinea Program,4310,5413006.82,0.0,0.0,0,Core Funding,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,0,B4200,WGM Sub-Saharan Africa,80,Africa,CONSULTING SERVICES,S4249,Central & West Africa Regional Program,1,Civil Society,Pooled funding,1,Public sector policy and administrative management,0,A031974001,Closed,5413006.82,D4207,WWD West & Central Africa,Gulf of Guinea Program,4310,5413006.82,0.0,0.0,0,Core Funding,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,0,B4200,WGM Sub-Saharan Africa,80,Africa,REGIONAL ORGANIZATION,S4249,Central & West Africa Regional Program,1,Multilateral,Pooled funding,1,Public sector policy and administrative management,0,A031974001,Closed,5413006.82,D4207,WWD West & Central Africa,Gulf of Guinea Program,4310,5413006.82,0.0,0.0,0,Core Funding,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,0,B4200,WGM Sub-Saharan Africa,80,Africa,CONSULTING SERVICES,S4249,Central & West Africa Regional Program,1,Civil Society,Pooled funding,1,Public sector policy and administrative management,0,A031974001,Closed,5413006.82,D4207,WWD West & Central Africa,Gulf of Guinea Program,4310,5413006.82,0.0,0.0,0,Core Funding,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,0,B4200,WGM Sub-Saharan Africa,80,Africa,CONSULTING SERVICES,S4249,Central & West Africa Regional Program,1,Civil Society,Pooled funding,1,Democratic participation and civil society,0,A031974001,Closed,5413006.82,D4207,WWD West & Central Africa,Gulf of Guinea Program,4310,5413006.82,0.0,0.0,0,Core Funding,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,0,B4200,WGM Sub-Saharan Africa,80,Africa,REGIONAL ORGANIZATION,S4249,Central & West Africa Regional Program,1,Multilateral,Pooled funding,1,Democratic participation and civil society,0,A031974001,Closed,5413006.82,D4207,WWD West & Central Africa,Gulf of Guinea Program,4310,5413006.82,0.0,0.0,0,Core Funding,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,0,B4200,WGM Sub-Saharan Africa,80,Africa,CONSULTING SERVICES,S4249,Central & West Africa Regional Program,1,Civil Society,Pooled funding,1,Democratic participation and civil society,0,A031974001,Closed,5413006.82,D4207,WWD West & Central Africa,Gulf of Guinea Program,4310,5413006.82,0.0,0.0,0,Core Funding,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,0,B4200,WGM Sub-Saharan Africa,80,Africa,CONSULTING SERVICES,S4249,Central & West Africa Regional Program,1,Civil Society,Pooled funding,1,Public sector policy and administrative management,0,A031974001,Closed,5413006.82,D4207,WWD West & Central Africa,Gulf of Guinea Program,4310,5413006.82,0.0,0.0,0,Core Funding,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,0,B4200,WGM Sub-Saharan Africa,80,Africa,REGIONAL ORGANIZATION,S4249,Central & West Africa Regional Program,1,Multilateral,Pooled funding,1,Public sector policy and administrative management,0,A031974001,Closed,5413006.82,D4207,WWD West & Central Africa,Gulf of Guinea Program,4310,5413006.82,0.0,0.0,0,Core Funding,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,0,B4200,WGM Sub-Saharan Africa,80,Africa,CONSULTING SERVICES,S4249,Central & West Africa Regional Program,1,Civil Society,Pooled funding,1,Public sector policy and administrative management,0,A031974001,Closed,5413006.82,D4207,WWD West & Central Africa,Gulf of Guinea Program,4310,5413006.82,0.0,0.0,0,Core Funding,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,0,B4200,WGM Sub-Saharan Africa,80,Africa,CONSULTING SERVICES,S4249,Central & West Africa Regional Program,1,Civil Society,Pooled funding,1,Democratic participation and civil society,0,A031974001,Closed,5413006.82,D4207,WWD West & Central Africa,Gulf of Guinea Program,4310,5413006.82,0.0,0.0,0,Core Funding,Uncoded: Pre-APP,0,0,0,0,0
