Fiscal year,Fund centre name,Biodiversity (marker),CountryRegion ID,Organisation type,Organisation name,Desertification (marker),Sector name,CountryRegion percent,CountryRegion name,Fund centre ID,CFLI (marker),Youth issues (marker),Organisation class,Urban issues (marker),Project number,Status,Maximum CIDA contribution (project-level),Branch ID,Branch name,Division ID,Division name,Section ID,Section name,Regional program (marker),Untied amount(Project-level budget),FSTC percent,IRTC percent,CIDA business delivery model (old),Programming process (new),Bilateral aid (international marker),PBA type,Enviromental sustainability (marker)
2009/2010,Central & West Africa Regional Program,0,80,Canadian Non-Profit Making,Department of Foreign Affairs and International Trade,0,Agricultural land resources,0.1112,Western Africa,4310,0,0,Governmental,0,A032225001,Closed,5711809.0,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4249,Gulf of Guinea Program,1,5711809.0,1.0,0.0,Responsive,Uncoded: Pre-APP,1,Not PBA,0
2009/2010,Central & West Africa Regional Program,0,80,Foreign Non-Profit Making,Comit� Permanent Inter-Etats de lutte contre la S�cheresse dans le,0,Agricultural land resources,0.1112,Western Africa,4310,0,0,Multilateral,0,A032225001,Closed,5711809.0,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4249,Gulf of Guinea Program,1,5711809.0,1.0,0.0,Responsive,Uncoded: Pre-APP,1,Not PBA,0
2009/2010,Central & West Africa Regional Program,0,80,Canadian Non-Profit Making,Department of Foreign Affairs and International Trade,0,Agricultural water resources,0.1112,Western Africa,4310,0,0,Governmental,0,A032225001,Closed,5711809.0,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4249,Gulf of Guinea Program,1,5711809.0,1.0,0.0,Responsive,Uncoded: Pre-APP,1,Not PBA,0
2009/2010,Central & West Africa Regional Program,0,80,Foreign Non-Profit Making,Comit� Permanent Inter-Etats de lutte contre la S�cheresse dans le,0,Agricultural water resources,0.1112,Western Africa,4310,0,0,Multilateral,0,A032225001,Closed,5711809.0,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4249,Gulf of Guinea Program,1,5711809.0,1.0,0.0,Responsive,Uncoded: Pre-APP,1,Not PBA,0
2009/2010,Central & West Africa Regional Program,0,80,Canadian Non-Profit Making,Department of Foreign Affairs and International Trade,0,Environmental policy and administrative management,0.1112,Western Africa,4310,0,0,Governmental,0,A032225001,Closed,5711809.0,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4249,Gulf of Guinea Program,1,5711809.0,1.0,0.0,Responsive,Uncoded: Pre-APP,1,Not PBA,0
2009/2010,Central & West Africa Regional Program,0,80,Foreign Non-Profit Making,Comit� Permanent Inter-Etats de lutte contre la S�cheresse dans le,0,Environmental policy and administrative management,0.1112,Western Africa,4310,0,0,Multilateral,0,A032225001,Closed,5711809.0,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4249,Gulf of Guinea Program,1,5711809.0,1.0,0.0,Responsive,Uncoded: Pre-APP,1,Not PBA,0
2009/2010,Central & West Africa Regional Program,0,940,Canadian Non-Profit Making,Department of Foreign Affairs and International Trade,0,Agricultural development,0.0556,Sahel Region,4310,0,0,Governmental,0,A032225001,Closed,5711809.0,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4249,Gulf of Guinea Program,1,5711809.0,1.0,0.0,Responsive,Uncoded: Pre-APP,1,Not PBA,0
2009/2010,Central & West Africa Regional Program,0,940,Foreign Non-Profit Making,Comit� Permanent Inter-Etats de lutte contre la S�cheresse dans le,0,Agricultural development,0.0556,Sahel Region,4310,0,0,Multilateral,0,A032225001,Closed,5711809.0,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4249,Gulf of Guinea Program,1,5711809.0,1.0,0.0,Responsive,Uncoded: Pre-APP,1,Not PBA,0
2009/2010,Central & West Africa Regional Program,0,940,Canadian Non-Profit Making,Department of Foreign Affairs and International Trade,0,Agricultural land resources,0.0556,Sahel Region,4310,0,0,Governmental,0,A032225001,Closed,5711809.0,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4249,Gulf of Guinea Program,1,5711809.0,1.0,0.0,Responsive,Uncoded: Pre-APP,1,Not PBA,0
2009/2010,Central & West Africa Regional Program,0,940,Foreign Non-Profit Making,Comit� Permanent Inter-Etats de lutte contre la S�cheresse dans le,0,Agricultural land resources,0.0556,Sahel Region,4310,0,0,Multilateral,0,A032225001,Closed,5711809.0,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4249,Gulf of Guinea Program,1,5711809.0,1.0,0.0,Responsive,Uncoded: Pre-APP,1,Not PBA,0
2009/2010,Central & West Africa Regional Program,0,940,Canadian Non-Profit Making,Department of Foreign Affairs and International Trade,0,Agricultural water resources,0.0556,Sahel Region,4310,0,0,Governmental,0,A032225001,Closed,5711809.0,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4249,Gulf of Guinea Program,1,5711809.0,1.0,0.0,Responsive,Uncoded: Pre-APP,1,Not PBA,0
2009/2010,Central & West Africa Regional Program,0,940,Foreign Non-Profit Making,Comit� Permanent Inter-Etats de lutte contre la S�cheresse dans le,0,Agricultural water resources,0.0556,Sahel Region,4310,0,0,Multilateral,0,A032225001,Closed,5711809.0,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4249,Gulf of Guinea Program,1,5711809.0,1.0,0.0,Responsive,Uncoded: Pre-APP,1,Not PBA,0
2009/2010,Central & West Africa Regional Program,0,940,Canadian Non-Profit Making,Department of Foreign Affairs and International Trade,0,Environmental policy and administrative management,0.0556,Sahel Region,4310,0,0,Governmental,0,A032225001,Closed,5711809.0,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4249,Gulf of Guinea Program,1,5711809.0,1.0,0.0,Responsive,Uncoded: Pre-APP,1,Not PBA,0
2009/2010,Central & West Africa Regional Program,0,940,Foreign Non-Profit Making,Comit� Permanent Inter-Etats de lutte contre la S�cheresse dans le,0,Environmental policy and administrative management,0.0556,Sahel Region,4310,0,0,Multilateral,0,A032225001,Closed,5711809.0,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4249,Gulf of Guinea Program,1,5711809.0,1.0,0.0,Responsive,Uncoded: Pre-APP,1,Not PBA,0
2009/2010,Central & West Africa Regional Program,0,940,Canadian Non-Profit Making,Department of Foreign Affairs and International Trade,0,Agricultural development,0.0556,Sahel Region,4310,0,0,Governmental,0,A032225001,Closed,5711809.0,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4249,Gulf of Guinea Program,1,5711809.0,1.0,0.0,Responsive,Uncoded: Pre-APP,1,Not PBA,0
2009/2010,Central & West Africa Regional Program,0,940,Foreign Non-Profit Making,Comit� Permanent Inter-Etats de lutte contre la S�cheresse dans le,0,Agricultural development,0.0556,Sahel Region,4310,0,0,Multilateral,0,A032225001,Closed,5711809.0,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4249,Gulf of Guinea Program,1,5711809.0,1.0,0.0,Responsive,Uncoded: Pre-APP,1,Not PBA,0
2009/2010,Central & West Africa Regional Program,0,940,Canadian Non-Profit Making,Department of Foreign Affairs and International Trade,0,Agricultural land resources,0.0556,Sahel Region,4310,0,0,Governmental,0,A032225001,Closed,5711809.0,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4249,Gulf of Guinea Program,1,5711809.0,1.0,0.0,Responsive,Uncoded: Pre-APP,1,Not PBA,0
2009/2010,Central & West Africa Regional Program,0,940,Foreign Non-Profit Making,Comit� Permanent Inter-Etats de lutte contre la S�cheresse dans le,0,Agricultural land resources,0.0556,Sahel Region,4310,0,0,Multilateral,0,A032225001,Closed,5711809.0,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4249,Gulf of Guinea Program,1,5711809.0,1.0,0.0,Responsive,Uncoded: Pre-APP,1,Not PBA,0
2009/2010,Central & West Africa Regional Program,0,940,Canadian Non-Profit Making,Department of Foreign Affairs and International Trade,0,Agricultural water resources,0.0556,Sahel Region,4310,0,0,Governmental,0,A032225001,Closed,5711809.0,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4249,Gulf of Guinea Program,1,5711809.0,1.0,0.0,Responsive,Uncoded: Pre-APP,1,Not PBA,0
2009/2010,Central & West Africa Regional Program,0,940,Foreign Non-Profit Making,Comit� Permanent Inter-Etats de lutte contre la S�cheresse dans le,0,Agricultural water resources,0.0556,Sahel Region,4310,0,0,Multilateral,0,A032225001,Closed,5711809.0,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4249,Gulf of Guinea Program,1,5711809.0,1.0,0.0,Responsive,Uncoded: Pre-APP,1,Not PBA,0
2009/2010,Central & West Africa Regional Program,0,940,Canadian Non-Profit Making,Department of Foreign Affairs and International Trade,0,Environmental policy and administrative management,0.0556,Sahel Region,4310,0,0,Governmental,0,A032225001,Closed,5711809.0,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4249,Gulf of Guinea Program,1,5711809.0,1.0,0.0,Responsive,Uncoded: Pre-APP,1,Not PBA,0
2009/2010,Central & West Africa Regional Program,0,940,Foreign Non-Profit Making,Comit� Permanent Inter-Etats de lutte contre la S�cheresse dans le,0,Environmental policy and administrative management,0.0556,Sahel Region,4310,0,0,Multilateral,0,A032225001,Closed,5711809.0,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4249,Gulf of Guinea Program,1,5711809.0,1.0,0.0,Responsive,Uncoded: Pre-APP,1,Not PBA,0
2009/2010,Central & West Africa Regional Program,0,940,Canadian Non-Profit Making,Department of Foreign Affairs and International Trade,0,Agricultural development,0.1111,Sahel Region,4310,0,0,Governmental,0,A032225001,Closed,5711809.0,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4249,Gulf of Guinea Program,1,5711809.0,1.0,0.0,Responsive,Uncoded: Pre-APP,1,Not PBA,0
2009/2010,Central & West Africa Regional Program,0,940,Foreign Non-Profit Making,Comit� Permanent Inter-Etats de lutte contre la S�cheresse dans le,0,Agricultural development,0.1111,Sahel Region,4310,0,0,Multilateral,0,A032225001,Closed,5711809.0,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4249,Gulf of Guinea Program,1,5711809.0,1.0,0.0,Responsive,Uncoded: Pre-APP,1,Not PBA,0
2009/2010,Central & West Africa Regional Program,0,940,Canadian Non-Profit Making,Department of Foreign Affairs and International Trade,0,Agricultural land resources,0.1111,Sahel Region,4310,0,0,Governmental,0,A032225001,Closed,5711809.0,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4249,Gulf of Guinea Program,1,5711809.0,1.0,0.0,Responsive,Uncoded: Pre-APP,1,Not PBA,0
2009/2010,Central & West Africa Regional Program,0,940,Foreign Non-Profit Making,Comit� Permanent Inter-Etats de lutte contre la S�cheresse dans le,0,Agricultural land resources,0.1111,Sahel Region,4310,0,0,Multilateral,0,A032225001,Closed,5711809.0,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4249,Gulf of Guinea Program,1,5711809.0,1.0,0.0,Responsive,Uncoded: Pre-APP,1,Not PBA,0
2009/2010,Central & West Africa Regional Program,0,940,Canadian Non-Profit Making,Department of Foreign Affairs and International Trade,0,Agricultural water resources,0.1111,Sahel Region,4310,0,0,Governmental,0,A032225001,Closed,5711809.0,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4249,Gulf of Guinea Program,1,5711809.0,1.0,0.0,Responsive,Uncoded: Pre-APP,1,Not PBA,0
2009/2010,Central & West Africa Regional Program,0,940,Foreign Non-Profit Making,Comit� Permanent Inter-Etats de lutte contre la S�cheresse dans le,0,Agricultural water resources,0.1111,Sahel Region,4310,0,0,Multilateral,0,A032225001,Closed,5711809.0,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4249,Gulf of Guinea Program,1,5711809.0,1.0,0.0,Responsive,Uncoded: Pre-APP,1,Not PBA,0
2009/2010,Central & West Africa Regional Program,0,940,Canadian Non-Profit Making,Department of Foreign Affairs and International Trade,0,Environmental policy and administrative management,0.1111,Sahel Region,4310,0,0,Governmental,0,A032225001,Closed,5711809.0,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4249,Gulf of Guinea Program,1,5711809.0,1.0,0.0,Responsive,Uncoded: Pre-APP,1,Not PBA,0
2009/2010,Central & West Africa Regional Program,0,940,Foreign Non-Profit Making,Comit� Permanent Inter-Etats de lutte contre la S�cheresse dans le,0,Environmental policy and administrative management,0.1111,Sahel Region,4310,0,0,Multilateral,0,A032225001,Closed,5711809.0,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4249,Gulf of Guinea Program,1,5711809.0,1.0,0.0,Responsive,Uncoded: Pre-APP,1,Not PBA,0
2009/2010,Central & West Africa Regional Program,0,80,Canadian Non-Profit Making,Department of Foreign Affairs and International Trade,0,Advanced technical and managerial training,0.05,Western Africa,4310,0,0,Governmental,1,A032226001,Closed,3867664.46,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4249,Gulf of Guinea Program,1,3867664.46,1.0,0.0,Responsive,Uncoded: Pre-APP,1,Other PBA,0
2009/2010,Central & West Africa Regional Program,0,80,Foreign Non-Profit Making,Partenariat pour le D�veloppement Municipal,0,Advanced technical and managerial training,0.05,Western Africa,4310,0,0,Civil Society,1,A032226001,Closed,3867664.46,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4249,Gulf of Guinea Program,1,3867664.46,1.0,0.0,Responsive,Uncoded: Pre-APP,1,Other PBA,0
2009/2010,Central & West Africa Regional Program,0,80,Canadian Profit Making,Information not available,0,Advanced technical and managerial training,0.05,Western Africa,4310,0,0,Individual,1,A032226001,Closed,3867664.46,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4249,Gulf of Guinea Program,1,3867664.46,1.0,0.0,Responsive,Uncoded: Pre-APP,1,Other PBA,0
2009/2010,Central & West Africa Regional Program,0,80,Canadian Non-Profit Making,Department of Foreign Affairs and International Trade,0,Public sector policy and administrative management,0.05,Western Africa,4310,0,0,Governmental,1,A032226001,Closed,3867664.46,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4249,Gulf of Guinea Program,1,3867664.46,1.0,0.0,Responsive,Uncoded: Pre-APP,1,Other PBA,0
2009/2010,Central & West Africa Regional Program,0,80,Foreign Non-Profit Making,Partenariat pour le D�veloppement Municipal,0,Public sector policy and administrative management,0.05,Western Africa,4310,0,0,Civil Society,1,A032226001,Closed,3867664.46,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4249,Gulf of Guinea Program,1,3867664.46,1.0,0.0,Responsive,Uncoded: Pre-APP,1,Other PBA,0
2009/2010,Central & West Africa Regional Program,0,80,Canadian Profit Making,Information not available,0,Public sector policy and administrative management,0.05,Western Africa,4310,0,0,Individual,1,A032226001,Closed,3867664.46,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4249,Gulf of Guinea Program,1,3867664.46,1.0,0.0,Responsive,Uncoded: Pre-APP,1,Other PBA,0
2009/2010,Central & West Africa Regional Program,0,80,Canadian Non-Profit Making,Department of Foreign Affairs and International Trade,0,Public finance management,0.05,Western Africa,4310,0,0,Governmental,1,A032226001,Closed,3867664.46,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4249,Gulf of Guinea Program,1,3867664.46,1.0,0.0,Responsive,Uncoded: Pre-APP,1,Other PBA,0
2009/2010,Central & West Africa Regional Program,0,80,Foreign Non-Profit Making,Partenariat pour le D�veloppement Municipal,0,Public finance management,0.05,Western Africa,4310,0,0,Civil Society,1,A032226001,Closed,3867664.46,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4249,Gulf of Guinea Program,1,3867664.46,1.0,0.0,Responsive,Uncoded: Pre-APP,1,Other PBA,0
2009/2010,Central & West Africa Regional Program,0,80,Canadian Profit Making,Information not available,0,Public finance management,0.05,Western Africa,4310,0,0,Individual,1,A032226001,Closed,3867664.46,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4249,Gulf of Guinea Program,1,3867664.46,1.0,0.0,Responsive,Uncoded: Pre-APP,1,Other PBA,0
2009/2010,Central & West Africa Regional Program,0,80,Canadian Non-Profit Making,Department of Foreign Affairs and International Trade,0,Democratic participation and civil society,0.05,Western Africa,4310,0,0,Governmental,1,A032226001,Closed,3867664.46,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4249,Gulf of Guinea Program,1,3867664.46,1.0,0.0,Responsive,Uncoded: Pre-APP,1,Other PBA,0
2009/2010,Central & West Africa Regional Program,0,80,Foreign Non-Profit Making,Partenariat pour le D�veloppement Municipal,0,Democratic participation and civil society,0.05,Western Africa,4310,0,0,Civil Society,1,A032226001,Closed,3867664.46,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4249,Gulf of Guinea Program,1,3867664.46,1.0,0.0,Responsive,Uncoded: Pre-APP,1,Other PBA,0
2009/2010,Central & West Africa Regional Program,0,80,Canadian Profit Making,Information not available,0,Democratic participation and civil society,0.05,Western Africa,4310,0,0,Individual,1,A032226001,Closed,3867664.46,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4249,Gulf of Guinea Program,1,3867664.46,1.0,0.0,Responsive,Uncoded: Pre-APP,1,Other PBA,0
2009/2010,Central & West Africa Regional Program,0,80,Canadian Non-Profit Making,Department of Foreign Affairs and International Trade,0,Urban development and management,0.05,Western Africa,4310,0,0,Governmental,1,A032226001,Closed,3867664.46,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4249,Gulf of Guinea Program,1,3867664.46,1.0,0.0,Responsive,Uncoded: Pre-APP,1,Other PBA,0
2009/2010,Central & West Africa Regional Program,0,80,Foreign Non-Profit Making,Partenariat pour le D�veloppement Municipal,0,Urban development and management,0.05,Western Africa,4310,0,0,Civil Society,1,A032226001,Closed,3867664.46,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4249,Gulf of Guinea Program,1,3867664.46,1.0,0.0,Responsive,Uncoded: Pre-APP,1,Other PBA,0
2009/2010,Central & West Africa Regional Program,0,80,Canadian Profit Making,Information not available,0,Urban development and management,0.05,Western Africa,4310,0,0,Individual,1,A032226001,Closed,3867664.46,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4249,Gulf of Guinea Program,1,3867664.46,1.0,0.0,Responsive,Uncoded: Pre-APP,1,Other PBA,0
2009/2010,Central & West Africa Regional Program,0,80,Canadian Non-Profit Making,Department of Foreign Affairs and International Trade,0,Advanced technical and managerial training,0.05,Western Africa,4310,0,0,Governmental,1,A032226001,Closed,3867664.46,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4249,Gulf of Guinea Program,1,3867664.46,1.0,0.0,Responsive,Uncoded: Pre-APP,1,Other PBA,0
2009/2010,Central & West Africa Regional Program,0,80,Foreign Non-Profit Making,Partenariat pour le D�veloppement Municipal,0,Advanced technical and managerial training,0.05,Western Africa,4310,0,0,Civil Society,1,A032226001,Closed,3867664.46,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4249,Gulf of Guinea Program,1,3867664.46,1.0,0.0,Responsive,Uncoded: Pre-APP,1,Other PBA,0
2009/2010,Central & West Africa Regional Program,0,80,Canadian Profit Making,Information not available,0,Advanced technical and managerial training,0.05,Western Africa,4310,0,0,Individual,1,A032226001,Closed,3867664.46,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4249,Gulf of Guinea Program,1,3867664.46,1.0,0.0,Responsive,Uncoded: Pre-APP,1,Other PBA,0
2009/2010,Central & West Africa Regional Program,0,80,Canadian Non-Profit Making,Department of Foreign Affairs and International Trade,0,Public sector policy and administrative management,0.05,Western Africa,4310,0,0,Governmental,1,A032226001,Closed,3867664.46,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4249,Gulf of Guinea Program,1,3867664.46,1.0,0.0,Responsive,Uncoded: Pre-APP,1,Other PBA,0
2009/2010,Central & West Africa Regional Program,0,80,Foreign Non-Profit Making,Partenariat pour le D�veloppement Municipal,0,Public sector policy and administrative management,0.05,Western Africa,4310,0,0,Civil Society,1,A032226001,Closed,3867664.46,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4249,Gulf of Guinea Program,1,3867664.46,1.0,0.0,Responsive,Uncoded: Pre-APP,1,Other PBA,0
2009/2010,Central & West Africa Regional Program,0,80,Canadian Profit Making,Information not available,0,Public sector policy and administrative management,0.05,Western Africa,4310,0,0,Individual,1,A032226001,Closed,3867664.46,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4249,Gulf of Guinea Program,1,3867664.46,1.0,0.0,Responsive,Uncoded: Pre-APP,1,Other PBA,0
2009/2010,Central & West Africa Regional Program,0,80,Canadian Non-Profit Making,Department of Foreign Affairs and International Trade,0,Public finance management,0.05,Western Africa,4310,0,0,Governmental,1,A032226001,Closed,3867664.46,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4249,Gulf of Guinea Program,1,3867664.46,1.0,0.0,Responsive,Uncoded: Pre-APP,1,Other PBA,0
2009/2010,Central & West Africa Regional Program,0,80,Foreign Non-Profit Making,Partenariat pour le D�veloppement Municipal,0,Public finance management,0.05,Western Africa,4310,0,0,Civil Society,1,A032226001,Closed,3867664.46,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4249,Gulf of Guinea Program,1,3867664.46,1.0,0.0,Responsive,Uncoded: Pre-APP,1,Other PBA,0
2009/2010,Central & West Africa Regional Program,0,80,Canadian Profit Making,Information not available,0,Public finance management,0.05,Western Africa,4310,0,0,Individual,1,A032226001,Closed,3867664.46,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4249,Gulf of Guinea Program,1,3867664.46,1.0,0.0,Responsive,Uncoded: Pre-APP,1,Other PBA,0
2009/2010,Central & West Africa Regional Program,0,80,Canadian Non-Profit Making,Department of Foreign Affairs and International Trade,0,Democratic participation and civil society,0.05,Western Africa,4310,0,0,Governmental,1,A032226001,Closed,3867664.46,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4249,Gulf of Guinea Program,1,3867664.46,1.0,0.0,Responsive,Uncoded: Pre-APP,1,Other PBA,0
2009/2010,Central & West Africa Regional Program,0,80,Foreign Non-Profit Making,Partenariat pour le D�veloppement Municipal,0,Democratic participation and civil society,0.05,Western Africa,4310,0,0,Civil Society,1,A032226001,Closed,3867664.46,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4249,Gulf of Guinea Program,1,3867664.46,1.0,0.0,Responsive,Uncoded: Pre-APP,1,Other PBA,0
2009/2010,Central & West Africa Regional Program,0,80,Canadian Profit Making,Information not available,0,Democratic participation and civil society,0.05,Western Africa,4310,0,0,Individual,1,A032226001,Closed,3867664.46,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4249,Gulf of Guinea Program,1,3867664.46,1.0,0.0,Responsive,Uncoded: Pre-APP,1,Other PBA,0
2009/2010,Central & West Africa Regional Program,0,80,Canadian Non-Profit Making,Department of Foreign Affairs and International Trade,0,Urban development and management,0.05,Western Africa,4310,0,0,Governmental,1,A032226001,Closed,3867664.46,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4249,Gulf of Guinea Program,1,3867664.46,1.0,0.0,Responsive,Uncoded: Pre-APP,1,Other PBA,0
2009/2010,Central & West Africa Regional Program,0,80,Foreign Non-Profit Making,Partenariat pour le D�veloppement Municipal,0,Urban development and management,0.05,Western Africa,4310,0,0,Civil Society,1,A032226001,Closed,3867664.46,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4249,Gulf of Guinea Program,1,3867664.46,1.0,0.0,Responsive,Uncoded: Pre-APP,1,Other PBA,0
2009/2010,Central & West Africa Regional Program,0,80,Canadian Profit Making,Information not available,0,Urban development and management,0.05,Western Africa,4310,0,0,Individual,1,A032226001,Closed,3867664.46,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4249,Gulf of Guinea Program,1,3867664.46,1.0,0.0,Responsive,Uncoded: Pre-APP,1,Other PBA,0
2009/2010,Central & West Africa Regional Program,0,80,Canadian Non-Profit Making,Department of Foreign Affairs and International Trade,0,Advanced technical and managerial training,0.05,Western Africa,4310,0,0,Governmental,1,A032226001,Closed,3867664.46,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4249,Gulf of Guinea Program,1,3867664.46,1.0,0.0,Responsive,Uncoded: Pre-APP,1,Other PBA,0
2009/2010,Central & West Africa Regional Program,0,80,Foreign Non-Profit Making,Partenariat pour le D�veloppement Municipal,0,Advanced technical and managerial training,0.05,Western Africa,4310,0,0,Civil Society,1,A032226001,Closed,3867664.46,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4249,Gulf of Guinea Program,1,3867664.46,1.0,0.0,Responsive,Uncoded: Pre-APP,1,Other PBA,0
2009/2010,Central & West Africa Regional Program,0,80,Canadian Profit Making,Information not available,0,Advanced technical and managerial training,0.05,Western Africa,4310,0,0,Individual,1,A032226001,Closed,3867664.46,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4249,Gulf of Guinea Program,1,3867664.46,1.0,0.0,Responsive,Uncoded: Pre-APP,1,Other PBA,0
2009/2010,Central & West Africa Regional Program,0,80,Canadian Non-Profit Making,Department of Foreign Affairs and International Trade,0,Public sector policy and administrative management,0.05,Western Africa,4310,0,0,Governmental,1,A032226001,Closed,3867664.46,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4249,Gulf of Guinea Program,1,3867664.46,1.0,0.0,Responsive,Uncoded: Pre-APP,1,Other PBA,0
2009/2010,Central & West Africa Regional Program,0,80,Foreign Non-Profit Making,Partenariat pour le D�veloppement Municipal,0,Public sector policy and administrative management,0.05,Western Africa,4310,0,0,Civil Society,1,A032226001,Closed,3867664.46,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4249,Gulf of Guinea Program,1,3867664.46,1.0,0.0,Responsive,Uncoded: Pre-APP,1,Other PBA,0
2009/2010,Central & West Africa Regional Program,0,80,Canadian Profit Making,Information not available,0,Public sector policy and administrative management,0.05,Western Africa,4310,0,0,Individual,1,A032226001,Closed,3867664.46,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4249,Gulf of Guinea Program,1,3867664.46,1.0,0.0,Responsive,Uncoded: Pre-APP,1,Other PBA,0
2009/2010,Central & West Africa Regional Program,0,80,Canadian Non-Profit Making,Department of Foreign Affairs and International Trade,0,Public finance management,0.05,Western Africa,4310,0,0,Governmental,1,A032226001,Closed,3867664.46,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4249,Gulf of Guinea Program,1,3867664.46,1.0,0.0,Responsive,Uncoded: Pre-APP,1,Other PBA,0
2009/2010,Central & West Africa Regional Program,0,80,Foreign Non-Profit Making,Partenariat pour le D�veloppement Municipal,0,Public finance management,0.05,Western Africa,4310,0,0,Civil Society,1,A032226001,Closed,3867664.46,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4249,Gulf of Guinea Program,1,3867664.46,1.0,0.0,Responsive,Uncoded: Pre-APP,1,Other PBA,0
