ss_d,tss_d,crtd_b,ss_tss,td,dscrptn,chmbl_d,rltnshp_tp,cnfdnc_scr,cll_d,ss_cll_tp,ss_strn,ss_sbclllr_frctn,src_d,src_ss_d,b_frmt,vrnt_d
2470,,Autocuration,,107,Binding affinity at 5-hydroxytryptamine 2A receptor,CHEMBL617358,H,8,,,,,1,,BAO_0000357,
2471,,Expert,,107,Binding affinity towards Serotonin 5-hydroxytryptamine 2A receptor,CHEMBL617359,H,8,,,,,1,,BAO_0000357,
2472,,Autocuration,,107,In vitro binding affinity towards 5-hydroxytryptamine 2A receptor was determined,CHEMBL617360,H,8,,,,,1,,BAO_0000357,
2473,,Autocuration,,107,The binding affinity towards 5-hydroxytryptamine 2A receptor; No affinity,CHEMBL875913,H,8,,,,,1,,BAO_0000357,
2474,,Autocuration,,107,Affinity against 5-hydroxytryptamine 2A receptor,CHEMBL617361,H,8,,,,,1,,BAO_0000357,
2475,,Expert,,107,Binding affinity against 5-Hydroxytryptamine 2A receptor,CHEMBL617362,D,9,,,,,1,,BAO_0000357,
2476,,Autocuration,,107,Compound was evaluated for binding affinity against 5-hydroxytryptamine 2A receptor using radioligand binding assay,CHEMBL617363,H,8,,,,,1,,BAO_0000357,
2477,,Autocuration,,107,Tested against 5-hydroxytryptamine 2A receptor,CHEMBL617364,H,8,,,,,1,,BAO_0000357,
2478,,Autocuration,,105075,Binding affinity against the site labelled by the 5-hydroxytryptamine 2A receptor - 5-hydroxytryptamine 2C receptor antagonist [3H]- ketanserin,CHEMBL617365,H,4,,,,,1,,BAO_0000224,
2479,,Autocuration,,105075,Tested for the binding affinity against the site labelled by the 5-hydroxytryptamine 2A receptor - 5-hydroxytryptamine 2C receptor antagonist [3H] ketanserin,CHEMBL617366,H,4,,,,,1,,BAO_0000224,
2480,,Autocuration,,105075,Tested for the binding affinity against the site labelled by the 5-hydroxytryptamine 2A receptor - 5-hydroxytryptamine 2C receptor agonist [125I]- - (+/-)DOI,CHEMBL617367,H,4,,,,,1,,BAO_0000224,
2481,,Autocuration,,105075,Tested for the binding affinity against the site labelled by the 5-hydroxytryptamine 2A receptor - 5-hydroxytryptamine 2C receptor antagonist [3H]- ketanserin,CHEMBL617368,H,4,,,,,1,,BAO_0000224,
2482,,Autocuration,,107,Selectivity ratio towards 5-hydroxytryptamine 2A receptor to Dopamine receptor D2 (5-HT2A/D2 ),CHEMBL617369,H,8,,,,,1,,BAO_0000357,
2483,,Expert,,227,Displacement of [3H]ketanserin from human 5-hydroxytryptamine 2B receptor expressed in HEK293 cells; ND means no data,CHEMBL617370,D,9,722.0,HEK293,,,1,,BAO_0000219,
2484,,Expert,,227,Functional activity against human 5-hydroxytryptamine 2B receptor expressed in CHO cells using fluorometric imaging plate reader,CHEMBL617371,D,9,449.0,CHO,,,1,,BAO_0000219,
2485,,Autocuration,,227,In vitro binding affinity against human 5-HT2B receptor at a concentration of 100 (nM),CHEMBL617372,H,8,,,,,1,,BAO_0000357,
2486,,Expert,,227,Affinity towards human 5-hydroxytryptamine 2B serotonin receptor,CHEMBL617373,D,9,,,,,1,,BAO_0000357,
2487,,Autocuration,,227,Agonist activity at cloned human 5-hydroxytryptamine 2B receptor using [3H]5-HT radioligand,CHEMBL617374,H,8,,,,,1,,BAO_0000019,
2488,,Autocuration,,227,Agonistic activity at cloned human 5-hydroxytryptamine 2B receptor using [3H]-5-HT as radioligand,CHEMBL617375,H,8,,,,,1,,BAO_0000019,
2489,,Autocuration,,227,Antagonist activity at cloned human 5-hydroxytryptamine 2B receptor using [3H]- rauwolscine radioligand,CHEMBL617376,H,8,,,,,1,,BAO_0000019,
2490,,Autocuration,,227,Antagonist activity at cloned human 5-hydroxytryptamine 2B receptor using [3H]- rauwolscine radioligand; Not tested,CHEMBL617377,H,8,,,,,1,,BAO_0000019,
2491,,Autocuration,,227,Antagonist activity at cloned human 5-hydroxytryptamine 2B receptor using [3H]rauwolscine radioligand,CHEMBL617378,H,8,,,,,1,,BAO_0000019,
2492,,Autocuration,,227,Antagonistic activity at cloned human 5-hydroxytryptamine 2B receptor using [3H]rauwolscine as radioligand,CHEMBL617379,H,8,,,,,1,,BAO_0000019,
2493,,Autocuration,,227,Binding ability of compound at cloned human 5-hydroxytryptamine 2B receptor using [3H]- rauwolscine as radioligand,CHEMBL617380,H,8,,,,,1,,BAO_0000357,
2494,,Autocuration,,227,Binding ability of compound at cloned human 5-hydroxytryptamine 2B receptor using [3H]5-HT 2B as radioligand,CHEMBL617381,H,8,,,,,1,,BAO_0000357,
2495,,Autocuration,,227,Binding ability of compound at cloned human 5-hydroxytryptamine 2B receptor using [3H]rauwolscine as radioligand,CHEMBL617382,H,8,,,,,1,,BAO_0000357,
2496,,Autocuration,,107,The compound evaluated for its affinity against 5-hydroxytryptamine 2A receptor,CHEMBL617383,H,8,,,,,1,,BAO_0000357,
2497,,Expert,,107,Affinity against 5-hydroxytryptamine 2A receptor (D) labeled with [125I]DOI.,CHEMBL617384,H,8,,,,,1,,BAO_0000357,
2498,,Expert,,107,Affinity against 5-hydroxytryptamine 2A receptor (K) labeled with [3H]ketanserin.,CHEMBL617385,H,8,,,,,1,,BAO_0000357,
2499,,Autocuration,,107,The compound was tested for CNS binding affinity towards 5-hydroxytryptamine 2A receptor from cloned Human membranes,CHEMBL617386,H,8,,,,,1,,BAO_0000019,
2500,,Autocuration,,107,The compound was tested for CNS binding affinity towards 5-hydroxytryptamine 2A receptor from cloned Human membranes.,CHEMBL617387,H,8,,,,,1,,BAO_0000019,
2501,,Autocuration,,107,Binding constant towards serotonin receptor subtype 5-hydroxytryptamine 2A receptor expressed in 3T3 cells using [3H]5-HT as radioligand; Not determined,CHEMBL617388,H,8,723.0,NIH3T3,,,1,,BAO_0000219,
2502,,Autocuration,,107,Relative efficacy against human 5-hydroxytryptamine 2A receptor expressed in CHO cells using fluorometric imaging plate reader relative to 10 uM 5-HT,CHEMBL617389,H,8,449.0,CHO,,,1,,BAO_0000219,
2503,,Expert,,107,Relative efficacy against human 5-hydroxytryptamine 2A receptor expressed in CHO cells using fluorometric imaging plate reader relative to 10 uM 5-HT,CHEMBL617390,D,9,449.0,CHO,,,1,,BAO_0000219,
2504,,Autocuration,,104817,Selectivity ratio of binding affinity of 5-hydroxytryptamine 2A receptor to that of 5-hydroxytryptamine 2C receptor.,CHEMBL617391,H,4,,,,,1,,BAO_0000224,
2505,,Autocuration,,107,Binding activity radioligand.,CHEMBL617392,H,8,,,,,1,,BAO_0000357,
2506,,Autocuration,,107,Binding activity against 5-hydroxytryptamine 2C receptor from human brain cortex using [3H]mesulergine as radioligand.,CHEMBL617393,H,8,,,,,1,,BAO_0000019,
2507,,Autocuration,,107,Binding affinity for human cloned 5-HT2A receptor expressed in L929 cells using [125I]R91150 as radioligand,CHEMBL617394,H,8,307.0,L929,,,1,,BAO_0000219,
2508,,Expert,,107,Binding affinity for human cloned 5-hydroxytryptamine 2A receptor expressed in L929 cells using [125I]R91150 as radioligand,CHEMBL617395,H,8,307.0,L929,,,1,,BAO_0000219,
2509,,Expert,,107,Binding affinity at human cloned 5-hydroxytryptamine 2A receptor expressed in L929 cells by [125I]R91150 displacement.,CHEMBL617396,H,8,307.0,L929,,,1,,BAO_0000219,
2510,,Autocuration,,107,Binding affinity for human cloned 5-hydroxytryptamine 2A receptor expressed in L929 cells using [125I]R91150 as radioligand; Not tested,CHEMBL617397,H,8,307.0,L929,,,1,,BAO_0000219,
2511,,Autocuration,,107,Binding affinity against 5-HT2A receptor,CHEMBL617398,H,8,,,,,1,,BAO_0000357,
2512,,Autocuration,,107,Binding affinity against 5-hydroxytryptamine 2A receptor,CHEMBL617399,H,8,,,,,1,,BAO_0000357,
2513,,Autocuration,,107,Antagonistic binding affinity measured against 5-hydroxytryptamine 2A receptor (human clone expressed in 293 cells) using [3H]ketanserin as radioligand,CHEMBL617400,H,8,722.0,HEK293,,,1,,BAO_0000219,
2514,,Autocuration,,107,Antagonistic binding affinity measured against 5-hydroxytryptamine 2C receptor (human clone expressed in 293 cells) using [3H]mesulergine as radioligand,CHEMBL617401,H,8,722.0,HEK293,,,1,,BAO_0000219,
2515,,Expert,,107,Displacement of [3H]ketanserin from 5-hydroxytryptamine 2A receptor expressed in HEK 293 cells,CHEMBL617402,D,9,722.0,HEK293,,,1,,BAO_0000219,
2516,,Expert,,107,Binding affinity against human 5-hydroxytryptamine 2A receptor expressed in 293 cells using [3H]ketanserin,CHEMBL617403,D,9,722.0,HEK293,,,1,,BAO_0000219,
2517,,Expert,,107,Binding affinity against human 5-hydroxytryptamine 2A receptor using displacement of [3H]5-HT,CHEMBL617404,H,8,,,,,1,,BAO_0000357,
2518,,Expert,,107,Binding affinity against human 5-hydroxytryptamine 2A receptor expressed in 293 cells using [3H]ketanserin,CHEMBL857981,D,9,722.0,HEK293,,,1,,BAO_0000219,
2519,,Expert,,107,Binding affinity against human 5-hydroxytryptamine 2A receptor expressed in 293 cells using [3H]ketanserin,CHEMBL617405,D,9,722.0,HEK293,,,1,,BAO_0000219,
2520,,Expert,,107,Binding affinity to human cloned 5-hydroxytryptamine 2A receptor in HEK 293 cells using [3H]- ketanserin as radioligand,CHEMBL617253,D,9,722.0,HEK293,,,1,,BAO_0000219,
2521,,Expert,,107,Binding affinity at human cloned 5-hydroxytryptamine 2A receptor.,CHEMBL617254,H,8,,,,,1,,BAO_0000357,
2522,,Autocuration,,107,Binding affinity against 5-hydroxytryptamine 2A receptor human cloned receptors in HEK 293 cells using [3H]ketanserin as radioligand,CHEMBL617255,H,8,722.0,HEK293,,,1,,BAO_0000219,
2523,,Autocuration,,107,Binding affinity against 5-hydroxytryptamine 2A receptor human cloned receptors in HEK 293 cells using [3H]ketanserin as radioligand,CHEMBL617256,H,8,722.0,HEK293,,,1,,BAO_0000219,
2524,,Autocuration,,107,Binding affinity against 5-hydroxytryptamine 2A receptor human cloned receptorswithouteffect in HEK 293 cells using [3H]ketanserin as radioligand,CHEMBL616874,H,8,722.0,HEK293,,,1,,BAO_0000219,
2525,,Expert,,107,Binding affinity towards 5-hydroxytryptamine 2A receptor (human cloned receptor) in HEK 293 cells using [3H]ketanserin as radioligand.,CHEMBL616875,D,9,722.0,HEK293,,,1,,BAO_0000219,
2526,,Expert,,107,Binding affinity towards human 5-hydroxytryptamine 2A receptor expressed in HEK 293 cells using [3H]ketanserin as radioligand,CHEMBL616876,H,8,722.0,HEK293,,,1,,BAO_0000219,
2527,,Expert,,107,"Binding affinity towards human cloned 5-hydroxytryptamine receptor 2A in HEK293 cells, using [3H]ketanserin as radioligand.",CHEMBL616877,H,8,722.0,HEK293,,,1,,BAO_0000219,
2528,,Expert,,107,Displacement of [3H]ketanserin from human 5-hydroxytryptamine 2A receptor expressed in HEK293 cells; compound is insoluble,CHEMBL616878,D,9,722.0,HEK293,,,1,,BAO_0000219,
2529,,Expert,,107,Binding affinity towards human cloned 5-hydroxytryptamine 2A receptor of HEK293 cells by displacement of [3H]ketanserin,CHEMBL616879,H,8,722.0,HEK293,,,1,,BAO_0000219,
2530,,Expert,,107,In vitro binding affinity at human cloned 5-hydroxytryptamine 2A receptor of HEK293 cells by [3H]ketanserin displacement.,CHEMBL616880,H,8,722.0,HEK293,,,1,,BAO_0000219,
2531,,Expert,,107,Binding affinity against human 5-hydroxytryptamine 2A receptor expressed in 293 cells using [3H]ketanserin,CHEMBL616881,D,9,722.0,HEK293,,,1,,BAO_0000219,
2532,,Autocuration,,107,Binding constant towards serotonin receptor subtype 5-hydroxytryptamine 2A receptor expressed in 3T3 cells using [3H]5-HT as radioligand,CHEMBL616882,H,8,723.0,NIH3T3,,,1,,BAO_0000219,
2533,,Autocuration,,107,Binding constant towards serotonin receptor subtype 5-hydroxytryptamine 2A receptor expressed in 3T3 cells using [3H]5-HT as radioligand; Not determined,CHEMBL616883,H,8,723.0,NIH3T3,,,1,,BAO_0000219,
2534,,Autocuration,,107,Binding constant towards serotonin receptor subtype 5-hydroxytryptamine 2A receptor expressed in 3T3 cells using [3H]5-HT as radioligand; Not determined,CHEMBL616884,H,8,723.0,NIH3T3,,,1,,BAO_0000219,
2535,,Autocuration,,107,Compound was evaluated for binding affinity against human cloned 5-hydroxytryptamine 2A receptor in HEK 293 cells using [3H]ketanserin as the radioligand,CHEMBL616885,H,8,722.0,HEK293,,,1,,BAO_0000219,
2536,,Autocuration,,107,Compound was evaluated for displacement of [3H]ketanserin from human cloned 5-hydroxytryptamine 2A receptor in transfected CHO-K1 cells,CHEMBL616886,H,8,485.0,CHO-K1,,,1,,BAO_0000219,
2537,,Expert,,107,Displacement of [3H]-ketanserin from human cloned 5-hydroxytryptamine 2A receptor expressed in CHO-K1 cells.,CHEMBL616887,H,8,485.0,CHO-K1,,,1,,BAO_0000219,
2538,,Expert,,107,Binding affinity for human 5-hydroxytryptamine 2A receptor,CHEMBL616888,D,9,,,,,1,,BAO_0000357,
2539,,Autocuration,,107,Compound was tested for its binding affinity against 5-hydroxytryptamine 2A receptor in human cloned receptors in HEK 293 cells using [3H]ketanserin,CHEMBL616889,H,8,722.0,HEK293,,,1,,BAO_0000219,
2540,,Autocuration,,107,Compound was tested for its binding affinity for human cloned 5-hydroxytryptamine 2A receptor in HEK 293 using [3H]ketanserin as a radioligand,CHEMBL616890,H,8,722.0,HEK293,,,1,,BAO_0000219,
2541,,Expert,,107,Inhibitory constant for human 5-hydroxytryptamine 2A receptor transfected in to CHO cells,CHEMBL616891,D,9,449.0,CHO,,,1,,BAO_0000219,
2542,,Autocuration,,107,The compound was tested for its binding affinity towards cloned human 5-hydroxytryptamine 2A receptor in HEK293 cells using [3H]-ketanserin.,CHEMBL616892,H,8,722.0,HEK293,,,1,,BAO_0000219,
2543,,Autocuration,,107,"The compound was tested for the binding affinity towards human cloned 5-hydroxytryptamine 2A receptor in HEK293 cells, using [3H]ketanserin as radioligand",CHEMBL616893,H,8,722.0,HEK293,,,1,,BAO_0000219,
2544,,Autocuration,,10620,Percent of maximum stimulation of phosphatidylinositol turnover at cloned 5-hydroxytryptamine 2A receptor in 3T3 cells,CHEMBL616894,H,8,723.0,NIH3T3,,,1,,BAO_0000219,
2545,,Expert,,107,Displacement of [3H]ketanserin from 5-hydroxytryptamine 2A receptor expressed NIH3T3 cells,CHEMBL616895,H,8,723.0,NIH3T3,,,1,,BAO_0000219,
2546,,Autocuration,,10620,The maximum responses of [3H]- inositol monophosphate accumulation in cells expressing the 5-hydroxytryptamine 2A receptor,CHEMBL616896,H,8,,,,,1,,BAO_0000019,
2547,,Autocuration,,10621,Ability to displace [3H]-Ketanserin radioligand from porcine 5-hydroxytryptamine 2A receptor,CHEMBL617099,H,8,,,,,1,,BAO_0000357,
2548,,Autocuration,,10621,Ability to displace [3H]ketanserin radioligand from porcine 5-hydroxytryptamine 2A receptor; ND denotes not determined,CHEMBL617100,H,8,,,,,1,,BAO_0000357,
2549,,Autocuration,,107,Binding affinity against rabbit aorta 5-HT2A receptor,CHEMBL884532,H,8,,,,,1,,BAO_0000357,
2550,,Expert,,107,Binding affinity for 5-hydroxytryptamine 2A receptor of rabbit aorta ring preparations,CHEMBL617101,H,8,,,,,1,,BAO_0000357,
2551,,Expert,,107,Dissociation equilibrium constant against the vascular 5-hydroxytryptamine 2A receptor in the rabbit saphenous aorta,CHEMBL617102,H,8,,,,,1,,BAO_0000357,
2552,,Autocuration,,107,Binding affinity against 5-hydroxytryptamine 1D receptor alpha using rabbit saphenous vein assay.,CHEMBL617103,H,8,,,,,1,,BAO_0000019,
2553,,Expert,,107,The compound was tested for binding affinity against 5-HT2A receptor,CHEMBL617104,H,8,,,,,1,,BAO_0000357,
2554,,Autocuration,,10576,Compound was evaluated for displacement of [3H]ketanserin from cloned rat 5-hydroxytryptamine 2A receptor in transfected CHO-K1 cells.,CHEMBL857979,H,8,485.0,CHO-K1,,,1,,BAO_0000219,
2555,,Autocuration,,12687,Binding affinity analysed towards 5-HT 2A in rat jugular vein,CHEMBL857502,H,8,,,,,1,,BAO_0000019,
2556,,Autocuration,,12687,Binding affinity analysed towards 5-HT 2A in rat jugular vein.,CHEMBL617105,H,8,,,,,1,,BAO_0000019,
2557,945.0,Autocuration,Stomach,12687,Binding affinity analysed on 5-HT 2A in rat stomach fundus.,CHEMBL858021,H,8,,,,,1,,BAO_0000019,
2558,945.0,Expert,Stomach,12687,Binding affinity for 5-HT 2A in rat stomach fundus,CHEMBL875910,D,9,,,,,1,,BAO_0000019,
2559,,Autocuration,,12687,Binding affinity analysed towards 5-HT 2A in rat jugular vein.,CHEMBL617106,H,8,,,,,1,,BAO_0000019,
2560,,Expert,,12687,Ability to stimulate phosphoinositide hydrolysis in NIH3T3 cells expressing the 5-hydroxytryptamine 2A receptor,CHEMBL617107,H,8,723.0,NIH3T3,,,1,,BAO_0000219,
2561,,Autocuration,,12687,Effect on phosphoinositide hydrolysis in NIH 3T3 fibroblast 5-hydroxytryptamine 2A receptor,CHEMBL617108,H,8,,,,,1,,BAO_0000019,
2562,,Autocuration,,12687,Effect on phosphoinositide hydrolysis in NIH 3T3 fibroblast expressing 5-hydroxytryptamine 2A receptor,CHEMBL617109,H,8,,,,,1,,BAO_0000019,
2563,,Autocuration,,12687,Evaluated for the effective concentration at [125I]-DOI-labeled rat 5-hydroxytryptamine 2A receptor,CHEMBL617110,H,8,,,,,1,,BAO_0000357,
2564,,Autocuration,,12687,Functional potency at the rat 5-hydroxytryptamine 2A receptor as effective concentration EC50 for stimulating Phosphoinositide accumulation,CHEMBL617111,H,8,,,,,1,,BAO_0000357,
2565,,Expert,,12687,In vitro relative agonist activity against 5-hydroxytryptamine 2A using PI assay in rat vascular smooth muscle cells,CHEMBL617112,D,9,,,,,1,,BAO_0000019,
2566,,Autocuration,,12687,Tested for its ability to activate phospholipase C by quantification of IP3 at cloned rat 5-hydroxytryptamine 2A receptor,CHEMBL617113,H,8,,,,,1,,BAO_0000357,
2567,,Autocuration,,12687,Tested for its ability to activate phospholipase C by quantification of IP3 at cloned rat 5-hydroxytryptamine 2A receptor,CHEMBL617114,H,8,,,,,1,,BAO_0000357,
2568,,Autocuration,,12687,Tested for its ability to activate phospholipase c by quantification of IP3 at cloned rat 5-hydroxytryptamine 2A receptor,CHEMBL617115,H,8,,,,,1,,BAO_0000357,
2569,,Autocuration,,12687,The receptor (5-hydroxytryptamine 2A ) mediated mobilization of intracellular calcium [Ca2+] was studied in rat smooth muscle cells,CHEMBL617116,H,8,,,,,1,,BAO_0000219,
2570,,Autocuration,,12687,Efficacy at 5-hydroxytryptamine 2A receptor,CHEMBL617117,H,8,,,,,1,,BAO_0000019,
2571,,Autocuration,,12687,In vitro efficacy against rat 5-hydroxytryptamine 2A receptor was determined by using CA+ assay (Emax),CHEMBL617118,H,8,,,,,1,,BAO_0000357,
2572,,Expert,,12687,In vitro efficacy against rat 5-hydroxytryptamine 2A receptor was determined by using CA+ assay (Emax),CHEMBL617119,D,9,,,,,1,,BAO_0000357,
2573,,Expert,,12687,In vitro efficacy against rat 5-hydroxytryptamine 2A receptor determined by using PI assay (Emax),CHEMBL617120,D,9,,,,,1,,BAO_0000357,
2574,,Expert,,12687,The receptor (5-hydroxytryptamine 2A ) mediated mobilization of intracellular calcium [Ca2+] was studied in rat smooth muscle cells,CHEMBL617121,D,9,,,,,1,,BAO_0000219,
2575,,Autocuration,,12687,The receptor (5-hydroxytryptamine 2A) mediated mobilization of intracellular calcium [Ca2+] was studied in rat smooth muscle cells,CHEMBL617122,H,8,,,,,1,,BAO_0000219,
2576,,Autocuration,,12687,Ability to displace [3H]ketanserin (0.5 nM) from cerebral cortex of rat 5-hydroxytryptamine 2A receptor,CHEMBL617123,H,8,,,,,1,,BAO_0000019,
2577,,Expert,,12687,Binding affinity against 5-hydroxytryptamine 2A receptor by displacement of [3H]-ketanserin from rat prefrontal cerebral cortex mambranes,CHEMBL617124,H,8,,,,,1,,BAO_0000019,
2578,,Expert,,12687,Binding affinity to serotonin 5-hydroxytryptamine 2A receptors using a radioligand [3H]ketanserin binding assay in rat cortical membranes,CHEMBL617600,H,8,,,,,1,,BAO_0000249,
2579,,Expert,,12687,Binding affinity towards rat 5-hydroxytryptamine 2A receptor was evaluated using [3H]- ketanserin as radioligand,CHEMBL617601,H,8,,,,,1,,BAO_0000357,
2580,,Expert,,12687,In vitro affinity towards 5-hydroxytryptamine 2A receptor using [3H]spiroperidol as radioligand in cortex,CHEMBL882923,H,8,,,,,1,,BAO_0000019,
2581,,Autocuration,,12687,Compound was tested for it's binding affinity towards 5-hydroxytryptamine 2A receptor,CHEMBL617602,H,8,,,,,1,,BAO_0000357,
2582,,Autocuration,,12687,Compound was tested for its ability to displace [3H]DOB from 5-hydroxytryptamine 2A receptor in rat cortex homogenates,CHEMBL617603,H,8,,,,,1,,BAO_0000019,
2583,,Autocuration,,12687,Compound was tested for the inhibition of [3H]ketanserin binding to 5-hydroxytryptamine 2A receptor,CHEMBL617604,H,8,,,,,1,,BAO_0000357,
2584,,Expert,,12687,Binding affinity towards 5-hydroxytryptamine 2A receptor from rat frontal cortex using [3H]ketanserin as radioligand,CHEMBL617605,H,8,,,,,1,,BAO_0000019,
2585,,Expert,,12687,In vitro binding affinity for serotonin 5-hydroxytryptamine 2A receptor of rat cerebral cortex using [3H]ketanserin as radioligand,CHEMBL617606,H,8,,,,,1,,BAO_0000019,
2586,,Expert,,12687,Inhibition of [3H]ketanserin binding to rat frontal cortex membrane 5-hydroxytryptamine 2A receptor,CHEMBL617607,D,9,,,,,1,,BAO_0000019,
2587,,Autocuration,,12687,In vitro inhibitory concentration against radioligand [3H]ketanserin binding to 5-hydroxytryptamine 2A receptor in rat cortical membrane,CHEMBL617455,H,8,,,,,1,,BAO_0000249,
2588,,Expert,,12687,In vitro inhibition of [125I]DOI binding to 5-hydroxytryptamine 2A receptor in rat cerebral cortex,CHEMBL617456,D,9,,,,,1,,BAO_0000019,
2589,,Expert,,12687,Inhibitory concentration against 5-hydroxytryptamine 2A receptor (Inactive at >1000 nM concentration),CHEMBL617457,H,8,,,,,1,,BAO_0000357,
2590,,Expert,,12687,Inhibition of radiolabeled [3H]-Ketanserin ligand binding to 5-hydroxytryptamine 2A receptor,CHEMBL617458,D,9,,,,,1,,BAO_0000357,
2591,,Expert,,12687,Inhibition of [3H]ketanserin binding to 5-hydroxytryptamine 2A receptor from rat brain,CHEMBL617459,D,9,,,,,1,,BAO_0000019,
2592,,Expert,,12687,Binding affinity towards 5-hydroxytryptamine 2A receptor binding site using [3H]ketanserin. ,CHEMBL617460,H,8,,,,,1,,BAO_0000357,
2593,,Expert,,12687,"Binding affinity for 5-hydroxytryptamine 2A receptor, activity is expressed as IC50 values.",CHEMBL617461,H,8,,,,,1,,BAO_0000357,
2594,,Expert,,12687,Displacement of [3H]ketanserin from rat cortical membrane 5-hydroxytryptamine 2A receptor at 10e-7 M,CHEMBL617462,D,9,,,,,1,,BAO_0000019,
2595,,Autocuration,,12687,Intrinsic activity was determined at 5-hydroxytryptamine 2A receptor which is percentage response given compared with the response produced by 10 uM serotonin.,CHEMBL617463,H,8,,,,,1,,BAO_0000357,
2596,,Autocuration,,12687,"Compound was tested for binding affinity at 5-hydroxytryptamine 2A receptor sites in rat cortical homogenate using [125I]-2,5-Dimethoxy -4-iodoamphetamine (DOI).",CHEMBL617464,H,8,,,,,1,,BAO_0000019,
2597,,Autocuration,,12687,"Compound was tested for binding affinity using [3H]MDL-100,907 at 5-hydroxytryptamine 2A receptor sites in rat cortical homogenate.",CHEMBL617465,H,8,,,,,1,,BAO_0000019,
2598,,Expert,,12687,Ability to bind to central serotonin 5-hydroxytryptamine 2A receptor in vitro in cortex of the rat brain using [3H]ketanserin radioligand,CHEMBL617466,H,8,,,,,1,,BAO_0000019,
2599,,Autocuration,,12687,Ability to displace [3H]- ketanserin bound to 5-hydroxytryptamine 2A receptor in rat pre-frontal cortex,CHEMBL617467,H,8,,,,,1,,BAO_0000019,
2600,,Expert,,12687,Displacement of [3H]ketanserin (0.5 nM) from rat cerebral cortex 5-hydroxytryptamine 2A receptors,CHEMBL617468,H,8,,,,,1,,BAO_0000019,
2601,,Autocuration,,12687,Ability to displace [3H]ketanserin bound to 5-hydroxytryptamine 2A receptor in rat pre-frontal cortex,CHEMBL617469,H,8,,,,,1,,BAO_0000019,
2602,,Autocuration,,12687,Ability to displace [3H]ketanserin from rat cortical homogenate 5-hydroxytryptamine 2A receptor,CHEMBL617470,H,8,,,,,1,,BAO_0000019,
2603,,Autocuration,,12687,Ability to displace [3H]ketanserin from rat cortical homogenate 5-hydroxytryptamine 2A receptor; Not tested,CHEMBL617471,H,8,,,,,1,,BAO_0000019,
2604,,Expert,,12687,Ability to inhibit the binding of iodine-125-labelled lysergic acid diethylamide([125I]-LSD) to the S-2A serotonin receptor in NIH3T3 cell line membranes,CHEMBL617472,H,8,723.0,NIH3T3,,,1,,BAO_0000219,
2605,,Expert,,12687,Ability to inhibit the binding of iodine-125-labelled lysergic acid diethylamide([125I]-LSD) to the S-2A serotonin receptor.,CHEMBL617473,H,8,,,,,1,,BAO_0000357,
2606,,Expert,,12687,Affinity 5-hydroxytryptamine 2A receptor of the rat brain cortex was assessed on the basis of their ability to displace [3H]ketanserin,CHEMBL617474,D,9,,,,,1,,BAO_0000019,
2607,,Expert,,12687,Affinity at 5-hydroxytryptamine 2A receptor of the rat brain cortex was assessed on the basis of their ability to displace [3H]ketanserin,CHEMBL617475,D,9,,,,,1,,BAO_0000019,
2608,955.0,Autocuration,Brain,12687,Affinity at [3H]ketanserin-labeled 5-hydroxytryptamine 2A receptor in rat brain homogenate was determined,CHEMBL617476,H,8,,,,,1,,BAO_0000221,
2609,,Expert,,12687,Affinity was evaluated as inhibition constant for serotonin 5-hydroxytryptamine 2A receptor,CHEMBL617477,H,8,,,,,1,,BAO_0000357,
2610,,Expert,,12687,Affinity was evaluated by inhibition of [125I]LSD binding to NIH 3T3 cells transfected with cloned rat 5-hydroxytryptamine 2A receptor,CHEMBL617478,H,8,723.0,NIH3T3,,,1,,BAO_0000219,
2611,,Autocuration,,12687,"Antagonistic activity measured for 5-hydroxytryptamine 2A receptor using [3H]-MDL- 100,907 as radioligand in rat cortical homogenates.",CHEMBL617479,H,8,,,,,1,,BAO_0000221,
2612,,Autocuration,,12687,Binding affinity towards rat 5-hydroxytryptamine 2A receptor was determined using [125I]- DOI as radioligand,CHEMBL617480,H,8,,,,,1,,BAO_0000357,
2613,,Expert,,12687,Binding affinity against 5-hydroxytryptamine 2A receptor,CHEMBL617481,H,8,,,,,1,,BAO_0000357,
2614,,Expert,,12687,Binding affinity against 5-hydroxytryptamine 2A receptor by displacement of [3H]ketanserin from rat prefrontal cerebral cortex mambranes,CHEMBL617482,H,8,,,,,1,,BAO_0000019,
2615,,Autocuration,,12687,Binding affinity against 5-hydroxytryptamine 2A receptor from rat forebrain using [3H]ketanserin as radioligand,CHEMBL617483,H,8,,,,,1,,BAO_0000019,
2616,,Autocuration,,12687,Binding affinity against 5-hydroxytryptamine 2A receptor using [125I]DOI as radioligand,CHEMBL621528,H,8,,,,,1,,BAO_0000357,
2617,,Expert,,12687,Binding affinity against 5-hydroxytryptamine 2A receptor expressed NIH3T3 cells using [3H]ketanserin,CHEMBL621529,D,9,723.0,NIH3T3,,,1,,BAO_0000219,
2618,,Expert,,12687,Binding affinity against rat 5-hydroxytryptamine 2A receptor using [3H]DOB as radioligand,CHEMBL621530,H,8,,,,,1,,BAO_0000357,
2619,,Expert,,12687,Binding affinity against rat 5-hydroxytryptamine 2A receptor using [3H]ketanserin as radioligand,CHEMBL621531,H,8,,,,,1,,BAO_0000357,
