Fiscal year,ICT as a tool for development (marker),Fund centre ID,Biodiversity (marker),Organisation sub-class,CountryRegion percent,Branch ID,Organisation name,Division name,Maximum CIDA contribution (project-level),Status,Section name,Climate change mitigation (marker),Organisation ID,Continent ID,CIDA business delivery model (old),Enviromental sustainability (marker),CFLI (marker),CountryRegion ID,Trade development (marker),CountryRegion name,Desertification (marker),Regional program (marker),Project number,Untied amount(Project-level budget),Branch name,Division ID,Section ID,Fund centre name,FSTC percent,IRTC percent,Programming process (new),Bilateral aid (international marker),PBA type,Climate change adaptation (marker),Participatory development and good governance,Urban issues (marker),Children issues (marker)
2009/2010,0,4105,0,FEDERAL,0.145,B4100,Department of Foreign Affairs and International Trade,OAD Asia Programming,9548028.55,Closed,OAI Indonesia and SEA Regional,0,10050,3,Responsive,1,0,170,0,South-Eastern Asia,0,1,A031006001,9548028.55,OGM Asia Pacific,D4100,S4126,SEA Regional,1.0,0.0,Uncoded: Pre-APP,1,Not PBA,0,0,1,0
2009/2010,0,4105,0,CONSULTING SERVICES,0.145,B4100,STILES ASSOCIATES INC.,OAD Asia Programming,9548028.55,Closed,OAI Indonesia and SEA Regional,0,1001046,3,Responsive,1,0,170,0,South-Eastern Asia,0,1,A031006001,9548028.55,OGM Asia Pacific,D4100,S4126,SEA Regional,1.0,0.0,Uncoded: Pre-APP,1,Not PBA,0,0,1,0
2009/2010,0,4105,0,FEDERAL,0.145,B4100,Department of Foreign Affairs and International Trade,OAD Asia Programming,9548028.55,Closed,OAI Indonesia and SEA Regional,0,10050,3,Responsive,1,0,170,0,South-Eastern Asia,0,1,A031006001,9548028.55,OGM Asia Pacific,D4100,S4126,SEA Regional,1.0,0.0,Uncoded: Pre-APP,1,Not PBA,0,0,1,0
2009/2010,0,4105,0,CONSULTING SERVICES,0.145,B4100,STILES ASSOCIATES INC.,OAD Asia Programming,9548028.55,Closed,OAI Indonesia and SEA Regional,0,1001046,3,Responsive,1,0,170,0,South-Eastern Asia,0,1,A031006001,9548028.55,OGM Asia Pacific,D4100,S4126,SEA Regional,1.0,0.0,Uncoded: Pre-APP,1,Not PBA,0,0,1,0
2009/2010,0,4105,0,FEDERAL,0.145,B4100,Department of Foreign Affairs and International Trade,OAD Asia Programming,9548028.55,Closed,OAI Indonesia and SEA Regional,0,10050,3,Responsive,1,0,170,0,South-Eastern Asia,0,1,A031006001,9548028.55,OGM Asia Pacific,D4100,S4126,SEA Regional,1.0,0.0,Uncoded: Pre-APP,1,Not PBA,0,0,1,0
2009/2010,0,4105,0,CONSULTING SERVICES,0.145,B4100,STILES ASSOCIATES INC.,OAD Asia Programming,9548028.55,Closed,OAI Indonesia and SEA Regional,0,1001046,3,Responsive,1,0,170,0,South-Eastern Asia,0,1,A031006001,9548028.55,OGM Asia Pacific,D4100,S4126,SEA Regional,1.0,0.0,Uncoded: Pre-APP,1,Not PBA,0,0,1,0
2009/2010,0,4105,0,FEDERAL,0.145,B4100,Department of Foreign Affairs and International Trade,OAD Asia Programming,9548028.55,Closed,OAI Indonesia and SEA Regional,0,10050,3,Responsive,1,0,170,0,South-Eastern Asia,0,1,A031006001,9548028.55,OGM Asia Pacific,D4100,S4126,SEA Regional,1.0,0.0,Uncoded: Pre-APP,1,Not PBA,0,0,1,0
2009/2010,0,4105,0,CONSULTING SERVICES,0.145,B4100,STILES ASSOCIATES INC.,OAD Asia Programming,9548028.55,Closed,OAI Indonesia and SEA Regional,0,1001046,3,Responsive,1,0,170,0,South-Eastern Asia,0,1,A031006001,9548028.55,OGM Asia Pacific,D4100,S4126,SEA Regional,1.0,0.0,Uncoded: Pre-APP,1,Not PBA,0,0,1,0
2009/2010,0,4105,0,FEDERAL,0.145,B4100,Department of Foreign Affairs and International Trade,OAD Asia Programming,9548028.55,Closed,OAI Indonesia and SEA Regional,0,10050,3,Responsive,1,0,170,0,South-Eastern Asia,0,1,A031006001,9548028.55,OGM Asia Pacific,D4100,S4126,SEA Regional,1.0,0.0,Uncoded: Pre-APP,1,Not PBA,0,0,1,0
2009/2010,0,4105,0,CONSULTING SERVICES,0.145,B4100,STILES ASSOCIATES INC.,OAD Asia Programming,9548028.55,Closed,OAI Indonesia and SEA Regional,0,1001046,3,Responsive,1,0,170,0,South-Eastern Asia,0,1,A031006001,9548028.55,OGM Asia Pacific,D4100,S4126,SEA Regional,1.0,0.0,Uncoded: Pre-APP,1,Not PBA,0,0,1,0
2009/2010,0,4105,0,FEDERAL,0.145,B4100,Department of Foreign Affairs and International Trade,OAD Asia Programming,9548028.55,Closed,OAI Indonesia and SEA Regional,0,10050,3,Responsive,1,0,170,0,South-Eastern Asia,0,1,A031006001,9548028.55,OGM Asia Pacific,D4100,S4126,SEA Regional,1.0,0.0,Uncoded: Pre-APP,1,Not PBA,0,0,1,0
2009/2010,0,4105,0,CONSULTING SERVICES,0.145,B4100,STILES ASSOCIATES INC.,OAD Asia Programming,9548028.55,Closed,OAI Indonesia and SEA Regional,0,1001046,3,Responsive,1,0,170,0,South-Eastern Asia,0,1,A031006001,9548028.55,OGM Asia Pacific,D4100,S4126,SEA Regional,1.0,0.0,Uncoded: Pre-APP,1,Not PBA,0,0,1,0
2009/2010,1,4263,0,NGO,1.0,B3100,Foundation for International Training,EDD Europe-Middle East Programming,6306484.28,Terminating,Middle East and North Africa,0,1000136,2,Directive,0,0,EG,0,Egypt,0,0,A031018001,6306484.28,"EGM Europe, Middle East and Maghreb",D3100,S4256,Egypt,1.0,0.0,Uncoded: Pre-APP,1,Not PBA,0,1,0,0
2009/2010,1,4263,0,NGO,1.0,B3100,Foundation for International Training,EDD Europe-Middle East Programming,4799999.89,Terminating,Middle East and North Africa,0,1000136,2,Directive,0,0,EG,0,Egypt,0,0,A031020001,4799999.89,"EGM Europe, Middle East and Maghreb",D3100,S4256,Egypt,1.0,0.0,Uncoded: Pre-APP,1,Not PBA,0,1,0,1
2009/2010,0,4216,0,FEDERAL,1.0,B4200,Department of Foreign Affairs and International Trade,WWD West & Central Africa,7624629.88,Closed,Mali Program Section,0,10050,2,Directive,0,0,ML,0,Mali,0,0,A031027001,7624629.88,WGM Sub-Saharan Africa,D4207,S4215,Mali,1.0,0.0,Uncoded: Pre-APP,1,Other PBA,0,0,0,1
2009/2010,0,4216,0,UNIVERSITY,1.0,B4200,Universit� de Montr�al (CHUM) Unit� de sant� internationale (USI),WWD West & Central Africa,7624629.88,Closed,Mali Program Section,0,1009494,2,Directive,0,0,ML,0,Mali,0,0,A031027001,7624629.88,WGM Sub-Saharan Africa,D4207,S4215,Mali,1.0,0.0,Uncoded: Pre-APP,1,Other PBA,0,0,0,1
2009/2010,0,4216,0,FEDERAL,1.0,B4200,Department of Foreign Affairs and International Trade,WWD West & Central Africa,7624629.88,Closed,Mali Program Section,0,10050,2,Directive,0,0,ML,0,Mali,0,0,A031027001,7624629.88,WGM Sub-Saharan Africa,D4207,S4215,Mali,1.0,0.0,Uncoded: Pre-APP,1,Other PBA,0,0,0,1
2009/2010,0,4216,0,UNIVERSITY,1.0,B4200,Universit� de Montr�al (CHUM) Unit� de sant� internationale (USI),WWD West & Central Africa,7624629.88,Closed,Mali Program Section,0,1009494,2,Directive,0,0,ML,0,Mali,0,0,A031027001,7624629.88,WGM Sub-Saharan Africa,D4207,S4215,Mali,1.0,0.0,Uncoded: Pre-APP,1,Other PBA,0,0,0,1
2009/2010,0,4216,0,FEDERAL,1.0,B4200,Department of Foreign Affairs and International Trade,WWD West & Central Africa,6824651.82,Closed,Mali Program Section,0,10050,2,Directive,0,0,ML,0,Mali,0,0,A031027003,6824651.82,WGM Sub-Saharan Africa,D4207,S4215,Mali,1.0,0.0,Uncoded: Pre-APP,1,Other PBA,0,1,0,0
2009/2010,0,4216,0,CONSULTING SERVICES,1.0,B4200,Groupe Consultation CCISD en association avec le CEGEP de,WWD West & Central Africa,6824651.82,Closed,Mali Program Section,0,1010925,2,Directive,0,0,ML,0,Mali,0,0,A031027003,6824651.82,WGM Sub-Saharan Africa,D4207,S4215,Mali,1.0,0.0,Uncoded: Pre-APP,1,Other PBA,0,1,0,0
2009/2010,0,4267,0,VOLUNTEER SENDING AGENCY,1.0,B3100,Oxfam-Qu�bec,EDD Europe-Middle East Programming,7282168.99,Closed,Middle East and North Africa,0,1000838,3,Responsive,0,0,LB,0,Lebanon,0,0,A031037001,0.0,"EGM Europe, Middle East and Maghreb",D3100,S4256,Lebanon,0.8,0.0,Uncoded: Pre-APP,1,Not PBA,0,1,0,0
2009/2010,0,4267,0,CONSULTANT,1.0,B3100,Information not available,EDD Europe-Middle East Programming,7282168.99,Closed,Middle East and North Africa,0,Information not available,3,Responsive,0,0,LB,0,Lebanon,0,0,A031037001,0.0,"EGM Europe, Middle East and Maghreb",D3100,S4256,Lebanon,0.8,0.0,Uncoded: Pre-APP,1,Not PBA,0,1,0,0
2009/2010,0,4267,0,VOLUNTEER SENDING AGENCY,1.0,B3100,Oxfam-Qu�bec,EDD Europe-Middle East Programming,7282168.99,Closed,Middle East and North Africa,0,1000838,3,Responsive,0,0,LB,0,Lebanon,0,0,A031037001,0.0,"EGM Europe, Middle East and Maghreb",D3100,S4256,Lebanon,0.8,0.0,Uncoded: Pre-APP,1,Not PBA,0,1,0,0
2009/2010,0,4267,0,CONSULTANT,1.0,B3100,Information not available,EDD Europe-Middle East Programming,7282168.99,Closed,Middle East and North Africa,0,Information not available,3,Responsive,0,0,LB,0,Lebanon,0,0,A031037001,0.0,"EGM Europe, Middle East and Maghreb",D3100,S4256,Lebanon,0.8,0.0,Uncoded: Pre-APP,1,Not PBA,0,1,0,0
2009/2010,0,4267,0,VOLUNTEER SENDING AGENCY,1.0,B3100,Oxfam-Qu�bec,EDD Europe-Middle East Programming,7282168.99,Closed,Middle East and North Africa,0,1000838,3,Responsive,0,0,LB,0,Lebanon,0,0,A031037001,0.0,"EGM Europe, Middle East and Maghreb",D3100,S4256,Lebanon,0.8,0.0,Uncoded: Pre-APP,1,Not PBA,0,1,0,0
2009/2010,0,4267,0,CONSULTANT,1.0,B3100,Information not available,EDD Europe-Middle East Programming,7282168.99,Closed,Middle East and North Africa,0,Information not available,3,Responsive,0,0,LB,0,Lebanon,0,0,A031037001,0.0,"EGM Europe, Middle East and Maghreb",D3100,S4256,Lebanon,0.8,0.0,Uncoded: Pre-APP,1,Not PBA,0,1,0,0
2009/2010,0,4267,0,VOLUNTEER SENDING AGENCY,1.0,B3100,Oxfam-Qu�bec,EDD Europe-Middle East Programming,7282168.99,Closed,Middle East and North Africa,0,1000838,3,Responsive,0,0,LB,0,Lebanon,0,0,A031037001,0.0,"EGM Europe, Middle East and Maghreb",D3100,S4256,Lebanon,0.8,0.0,Uncoded: Pre-APP,1,Not PBA,0,1,0,0
2009/2010,0,4267,0,CONSULTANT,1.0,B3100,Information not available,EDD Europe-Middle East Programming,7282168.99,Closed,Middle East and North Africa,0,Information not available,3,Responsive,0,0,LB,0,Lebanon,0,0,A031037001,0.0,"EGM Europe, Middle East and Maghreb",D3100,S4256,Lebanon,0.8,0.0,Uncoded: Pre-APP,1,Not PBA,0,1,0,0
2009/2010,0,4267,0,VOLUNTEER SENDING AGENCY,1.0,B3100,Oxfam-Qu�bec,EDD Europe-Middle East Programming,7282168.99,Closed,Middle East and North Africa,0,1000838,3,Responsive,0,0,LB,0,Lebanon,0,0,A031037001,0.0,"EGM Europe, Middle East and Maghreb",D3100,S4256,Lebanon,0.8,0.0,Uncoded: Pre-APP,1,Not PBA,0,1,0,0
2009/2010,0,4267,0,CONSULTANT,1.0,B3100,Information not available,EDD Europe-Middle East Programming,7282168.99,Closed,Middle East and North Africa,0,Information not available,3,Responsive,0,0,LB,0,Lebanon,0,0,A031037001,0.0,"EGM Europe, Middle East and Maghreb",D3100,S4256,Lebanon,0.8,0.0,Uncoded: Pre-APP,1,Not PBA,0,1,0,0
2009/2010,0,4267,0,VOLUNTEER SENDING AGENCY,1.0,B3100,Oxfam-Qu�bec,EDD Europe-Middle East Programming,7282168.99,Closed,Middle East and North Africa,0,1000838,3,Responsive,0,0,LB,0,Lebanon,0,0,A031037001,0.0,"EGM Europe, Middle East and Maghreb",D3100,S4256,Lebanon,0.8,0.0,Uncoded: Pre-APP,1,Not PBA,0,1,0,0
2009/2010,0,4267,0,CONSULTANT,1.0,B3100,Information not available,EDD Europe-Middle East Programming,7282168.99,Closed,Middle East and North Africa,0,Information not available,3,Responsive,0,0,LB,0,Lebanon,0,0,A031037001,0.0,"EGM Europe, Middle East and Maghreb",D3100,S4256,Lebanon,0.8,0.0,Uncoded: Pre-APP,1,Not PBA,0,1,0,0
2009/2010,0,4117,0,VOLUNTEER SENDING AGENCY,1.0,B4100,CECI Centre d'�tude et de coop�ration,OAD Asia Programming,4851296.59,Closed,Philippines and Mongolia,0,1000973,3,Responsive,1,0,NP,0,Nepal,0,0,A031053001,4851296.59,OGM Asia Pacific,D4100,S4130,Nepal,1.0,0.0,Uncoded: Pre-APP,1,Not PBA,0,1,0,0
2009/2010,0,4117,0,VOLUNTEER SENDING AGENCY,1.0,B4100,CECI Centre d'�tude et de coop�ration,OAD Asia Programming,4851296.59,Closed,Philippines and Mongolia,0,1000973,3,Responsive,1,0,NP,0,Nepal,0,0,A031053001,4851296.59,OGM Asia Pacific,D4100,S4130,Nepal,1.0,0.0,Uncoded: Pre-APP,1,Not PBA,0,1,0,0
2009/2010,0,4117,0,VOLUNTEER SENDING AGENCY,1.0,B4100,CECI Centre d'�tude et de coop�ration,OAD Asia Programming,4851296.59,Closed,Philippines and Mongolia,0,1000973,3,Responsive,1,0,NP,0,Nepal,0,0,A031053001,4851296.59,OGM Asia Pacific,D4100,S4130,Nepal,1.0,0.0,Uncoded: Pre-APP,1,Not PBA,0,1,0,0
2009/2010,0,4254,0,FEDERAL,1.0,B4200,Department of Foreign Affairs and International Trade,WWD West & Central Africa,649748.16,Closed,Ghana Program Section,0,10050,2,Directive,0,0,GH,0,Ghana,0,0,A031054001,649748.16,WGM Sub-Saharan Africa,D4207,S4253,Ghana,1.0,0.0,Uncoded: Pre-APP,1,Not PBA,0,0,0,0
2009/2010,0,4122,0,UNITED NATIONS,1.0,B4100,UNFPA - United Nations Population Fund,OAD Asia Programming,19044717.07,Closed,Bangladesh Section,0,1003803,3,Directive,0,0,BD,0,Bangladesh,0,0,A031068001,19044717.07,OGM Asia Pacific,D4100,S4122,Bangladesh,0.0,0.0,Uncoded: Pre-APP,1,Not PBA,0,0,0,0
2009/2010,0,4122,0,CONSULTING SERVICES,1.0,B4100,Cowater International Inc.,OAD Asia Programming,10419379.17,Closed,Bangladesh Section,0,1000335,3,Directive,0,0,BD,0,Bangladesh,0,0,A031069001,10419379.17,OGM Asia Pacific,D4100,S4122,Bangladesh,1.0,0.0,Uncoded: Pre-APP,1,Not PBA,0,1,0,0
2009/2010,0,4122,0,CONSULTING SERVICES,1.0,B4100,Cowater International Inc.,OAD Asia Programming,10419379.17,Closed,Bangladesh Section,0,1000335,3,Directive,0,0,BD,0,Bangladesh,0,0,A031069001,10419379.17,OGM Asia Pacific,D4100,S4122,Bangladesh,1.0,0.0,Uncoded: Pre-APP,1,Not PBA,0,1,0,0
2009/2010,0,4122,0,CONSULTING SERVICES,1.0,B4100,Cowater International Inc.,OAD Asia Programming,10419379.17,Closed,Bangladesh Section,0,1000335,3,Directive,0,0,BD,0,Bangladesh,0,0,A031069001,10419379.17,OGM Asia Pacific,D4100,S4122,Bangladesh,1.0,0.0,Uncoded: Pre-APP,1,Not PBA,0,1,0,0
2009/2010,0,4122,0,CONSULTING SERVICES,1.0,B4100,Cowater International Inc.,OAD Asia Programming,10419379.17,Closed,Bangladesh Section,0,1000335,3,Directive,0,0,BD,0,Bangladesh,0,0,A031069001,10419379.17,OGM Asia Pacific,D4100,S4122,Bangladesh,1.0,0.0,Uncoded: Pre-APP,1,Not PBA,0,1,0,0
2009/2010,1,4263,0,CONSULTING SERVICES,1.0,B3100,Agriteam Canada,EDD Europe-Middle East Programming,14147304.85,Closed,Middle East and North Africa,0,1000601,2,Directive,0,0,EG,0,Egypt,0,0,A031081001,14147304.85,"EGM Europe, Middle East and Maghreb",D3100,S4256,Egypt,1.0,0.0,Uncoded: Pre-APP,1,Not PBA,0,0,0,0
2009/2010,0,4105,0,CONSULTING SERVICES,0.05,B4100,Salasan Consulting Inc.,OAD Asia Programming,10596841.9,Closed,OAI Indonesia and SEA Regional,0,1000524,3,Directive,0,0,170,0,South-Eastern Asia,0,1,A031101001,10596841.9,OGM Asia Pacific,D4100,S4126,SEA Regional,1.0,0.0,Uncoded: Pre-APP,1,Not PBA,0,1,0,1
2009/2010,0,4105,0,COOPERANT,0.05,B4100,Information not available,OAD Asia Programming,10596841.9,Closed,OAI Indonesia and SEA Regional,0,Information not available,3,Directive,0,0,170,0,South-Eastern Asia,0,1,A031101001,10596841.9,OGM Asia Pacific,D4100,S4126,SEA Regional,1.0,0.0,Uncoded: Pre-APP,1,Not PBA,0,1,0,1
2009/2010,0,4105,0,CONSULTING SERVICES,0.05,B4100,Salasan Consulting Inc.,OAD Asia Programming,10596841.9,Closed,OAI Indonesia and SEA Regional,0,1000524,3,Directive,0,0,170,0,South-Eastern Asia,0,1,A031101001,10596841.9,OGM Asia Pacific,D4100,S4126,SEA Regional,1.0,0.0,Uncoded: Pre-APP,1,Not PBA,0,1,0,1
2009/2010,0,4105,0,COOPERANT,0.05,B4100,Information not available,OAD Asia Programming,10596841.9,Closed,OAI Indonesia and SEA Regional,0,Information not available,3,Directive,0,0,170,0,South-Eastern Asia,0,1,A031101001,10596841.9,OGM Asia Pacific,D4100,S4126,SEA Regional,1.0,0.0,Uncoded: Pre-APP,1,Not PBA,0,1,0,1
2009/2010,0,4105,0,CONSULTING SERVICES,0.05,B4100,Salasan Consulting Inc.,OAD Asia Programming,10596841.9,Closed,OAI Indonesia and SEA Regional,0,1000524,3,Directive,0,0,170,0,South-Eastern Asia,0,1,A031101001,10596841.9,OGM Asia Pacific,D4100,S4126,SEA Regional,1.0,0.0,Uncoded: Pre-APP,1,Not PBA,0,1,0,1
2009/2010,0,4105,0,COOPERANT,0.05,B4100,Information not available,OAD Asia Programming,10596841.9,Closed,OAI Indonesia and SEA Regional,0,Information not available,3,Directive,0,0,170,0,South-Eastern Asia,0,1,A031101001,10596841.9,OGM Asia Pacific,D4100,S4126,SEA Regional,1.0,0.0,Uncoded: Pre-APP,1,Not PBA,0,1,0,1
2009/2010,0,4105,0,CONSULTING SERVICES,0.1,B4100,Salasan Consulting Inc.,OAD Asia Programming,10596841.9,Closed,OAI Indonesia and SEA Regional,0,1000524,3,Directive,0,0,170,0,South-Eastern Asia,0,1,A031101001,10596841.9,OGM Asia Pacific,D4100,S4126,SEA Regional,1.0,0.0,Uncoded: Pre-APP,1,Not PBA,0,1,0,1
2009/2010,0,4105,0,COOPERANT,0.1,B4100,Information not available,OAD Asia Programming,10596841.9,Closed,OAI Indonesia and SEA Regional,0,Information not available,3,Directive,0,0,170,0,South-Eastern Asia,0,1,A031101001,10596841.9,OGM Asia Pacific,D4100,S4126,SEA Regional,1.0,0.0,Uncoded: Pre-APP,1,Not PBA,0,1,0,1
2009/2010,0,4105,0,CONSULTING SERVICES,0.1,B4100,Salasan Consulting Inc.,OAD Asia Programming,10596841.9,Closed,OAI Indonesia and SEA Regional,0,1000524,3,Directive,0,0,170,0,South-Eastern Asia,0,1,A031101001,10596841.9,OGM Asia Pacific,D4100,S4126,SEA Regional,1.0,0.0,Uncoded: Pre-APP,1,Not PBA,0,1,0,1
2009/2010,0,4105,0,COOPERANT,0.1,B4100,Information not available,OAD Asia Programming,10596841.9,Closed,OAI Indonesia and SEA Regional,0,Information not available,3,Directive,0,0,170,0,South-Eastern Asia,0,1,A031101001,10596841.9,OGM Asia Pacific,D4100,S4126,SEA Regional,1.0,0.0,Uncoded: Pre-APP,1,Not PBA,0,1,0,1
2009/2010,0,4105,0,CONSULTING SERVICES,0.1,B4100,Salasan Consulting Inc.,OAD Asia Programming,10596841.9,Closed,OAI Indonesia and SEA Regional,0,1000524,3,Directive,0,0,170,0,South-Eastern Asia,0,1,A031101001,10596841.9,OGM Asia Pacific,D4100,S4126,SEA Regional,1.0,0.0,Uncoded: Pre-APP,1,Not PBA,0,1,0,1
2009/2010,0,4105,0,COOPERANT,0.1,B4100,Information not available,OAD Asia Programming,10596841.9,Closed,OAI Indonesia and SEA Regional,0,Information not available,3,Directive,0,0,170,0,South-Eastern Asia,0,1,A031101001,10596841.9,OGM Asia Pacific,D4100,S4126,SEA Regional,1.0,0.0,Uncoded: Pre-APP,1,Not PBA,0,1,0,1
2009/2010,0,4105,0,CONSULTING SERVICES,0.15,B4100,Salasan Consulting Inc.,OAD Asia Programming,10596841.9,Closed,OAI Indonesia and SEA Regional,0,1000524,3,Directive,0,0,170,0,South-Eastern Asia,0,1,A031101001,10596841.9,OGM Asia Pacific,D4100,S4126,SEA Regional,1.0,0.0,Uncoded: Pre-APP,1,Not PBA,0,1,0,1
2009/2010,0,4105,0,COOPERANT,0.15,B4100,Information not available,OAD Asia Programming,10596841.9,Closed,OAI Indonesia and SEA Regional,0,Information not available,3,Directive,0,0,170,0,South-Eastern Asia,0,1,A031101001,10596841.9,OGM Asia Pacific,D4100,S4126,SEA Regional,1.0,0.0,Uncoded: Pre-APP,1,Not PBA,0,1,0,1
2009/2010,0,4105,0,CONSULTING SERVICES,0.15,B4100,Salasan Consulting Inc.,OAD Asia Programming,10596841.9,Closed,OAI Indonesia and SEA Regional,0,1000524,3,Directive,0,0,170,0,South-Eastern Asia,0,1,A031101001,10596841.9,OGM Asia Pacific,D4100,S4126,SEA Regional,1.0,0.0,Uncoded: Pre-APP,1,Not PBA,0,1,0,1
2009/2010,0,4105,0,COOPERANT,0.15,B4100,Information not available,OAD Asia Programming,10596841.9,Closed,OAI Indonesia and SEA Regional,0,Information not available,3,Directive,0,0,170,0,South-Eastern Asia,0,1,A031101001,10596841.9,OGM Asia Pacific,D4100,S4126,SEA Regional,1.0,0.0,Uncoded: Pre-APP,1,Not PBA,0,1,0,1
2009/2010,0,4105,0,CONSULTING SERVICES,0.15,B4100,Salasan Consulting Inc.,OAD Asia Programming,10596841.9,Closed,OAI Indonesia and SEA Regional,0,1000524,3,Directive,0,0,170,0,South-Eastern Asia,0,1,A031101001,10596841.9,OGM Asia Pacific,D4100,S4126,SEA Regional,1.0,0.0,Uncoded: Pre-APP,1,Not PBA,0,1,0,1
2009/2010,0,4105,0,COOPERANT,0.15,B4100,Information not available,OAD Asia Programming,10596841.9,Closed,OAI Indonesia and SEA Regional,0,Information not available,3,Directive,0,0,170,0,South-Eastern Asia,0,1,A031101001,10596841.9,OGM Asia Pacific,D4100,S4126,SEA Regional,1.0,0.0,Uncoded: Pre-APP,1,Not PBA,0,1,0,1
2009/2010,0,4105,0,CONSULTING SERVICES,0.15,B4100,Salasan Consulting Inc.,OAD Asia Programming,10596841.9,Closed,OAI Indonesia and SEA Regional,0,1000524,3,Directive,0,0,170,0,South-Eastern Asia,0,1,A031101001,10596841.9,OGM Asia Pacific,D4100,S4126,SEA Regional,1.0,0.0,Uncoded: Pre-APP,1,Not PBA,0,1,0,1
2009/2010,0,4105,0,COOPERANT,0.15,B4100,Information not available,OAD Asia Programming,10596841.9,Closed,OAI Indonesia and SEA Regional,0,Information not available,3,Directive,0,0,170,0,South-Eastern Asia,0,1,A031101001,10596841.9,OGM Asia Pacific,D4100,S4126,SEA Regional,1.0,0.0,Uncoded: Pre-APP,1,Not PBA,0,1,0,1
2009/2010,0,4105,0,CONSULTING SERVICES,0.15,B4100,Salasan Consulting Inc.,OAD Asia Programming,10596841.9,Closed,OAI Indonesia and SEA Regional,0,1000524,3,Directive,0,0,170,0,South-Eastern Asia,0,1,A031101001,10596841.9,OGM Asia Pacific,D4100,S4126,SEA Regional,1.0,0.0,Uncoded: Pre-APP,1,Not PBA,0,1,0,1
2009/2010,0,4105,0,COOPERANT,0.15,B4100,Information not available,OAD Asia Programming,10596841.9,Closed,OAI Indonesia and SEA Regional,0,Information not available,3,Directive,0,0,170,0,South-Eastern Asia,0,1,A031101001,10596841.9,OGM Asia Pacific,D4100,S4126,SEA Regional,1.0,0.0,Uncoded: Pre-APP,1,Not PBA,0,1,0,1
2009/2010,0,4105,0,CONSULTING SERVICES,0.15,B4100,Salasan Consulting Inc.,OAD Asia Programming,10596841.9,Closed,OAI Indonesia and SEA Regional,0,1000524,3,Directive,0,0,170,0,South-Eastern Asia,0,1,A031101001,10596841.9,OGM Asia Pacific,D4100,S4126,SEA Regional,1.0,0.0,Uncoded: Pre-APP,1,Not PBA,0,1,0,1
2009/2010,0,4105,0,COOPERANT,0.15,B4100,Information not available,OAD Asia Programming,10596841.9,Closed,OAI Indonesia and SEA Regional,0,Information not available,3,Directive,0,0,170,0,South-Eastern Asia,0,1,A031101001,10596841.9,OGM Asia Pacific,D4100,S4126,SEA Regional,1.0,0.0,Uncoded: Pre-APP,1,Not PBA,0,1,0,1
2009/2010,0,4105,0,CONSULTING SERVICES,0.15,B4100,Salasan Consulting Inc.,OAD Asia Programming,10596841.9,Closed,OAI Indonesia and SEA Regional,0,1000524,3,Directive,0,0,170,0,South-Eastern Asia,0,1,A031101001,10596841.9,OGM Asia Pacific,D4100,S4126,SEA Regional,1.0,0.0,Uncoded: Pre-APP,1,Not PBA,0,1,0,1
2009/2010,0,4105,0,COOPERANT,0.15,B4100,Information not available,OAD Asia Programming,10596841.9,Closed,OAI Indonesia and SEA Regional,0,Information not available,3,Directive,0,0,170,0,South-Eastern Asia,0,1,A031101001,10596841.9,OGM Asia Pacific,D4100,S4126,SEA Regional,1.0,0.0,Uncoded: Pre-APP,1,Not PBA,0,1,0,1
2009/2010,0,4105,0,CONSULTING SERVICES,0.15,B4100,Salasan Consulting Inc.,OAD Asia Programming,10596841.9,Closed,OAI Indonesia and SEA Regional,0,1000524,3,Directive,0,0,170,0,South-Eastern Asia,0,1,A031101001,10596841.9,OGM Asia Pacific,D4100,S4126,SEA Regional,1.0,0.0,Uncoded: Pre-APP,1,Not PBA,0,1,0,1
2009/2010,0,4105,0,COOPERANT,0.15,B4100,Information not available,OAD Asia Programming,10596841.9,Closed,OAI Indonesia and SEA Regional,0,Information not available,3,Directive,0,0,170,0,South-Eastern Asia,0,1,A031101001,10596841.9,OGM Asia Pacific,D4100,S4126,SEA Regional,1.0,0.0,Uncoded: Pre-APP,1,Not PBA,0,1,0,1
2009/2010,0,4105,0,CONSULTING SERVICES,0.15,B4100,Salasan Consulting Inc.,OAD Asia Programming,10596841.9,Closed,OAI Indonesia and SEA Regional,0,1000524,3,Directive,0,0,170,0,South-Eastern Asia,0,1,A031101001,10596841.9,OGM Asia Pacific,D4100,S4126,SEA Regional,1.0,0.0,Uncoded: Pre-APP,1,Not PBA,0,1,0,1
2009/2010,0,4105,0,COOPERANT,0.15,B4100,Information not available,OAD Asia Programming,10596841.9,Closed,OAI Indonesia and SEA Regional,0,Information not available,3,Directive,0,0,170,0,South-Eastern Asia,0,1,A031101001,10596841.9,OGM Asia Pacific,D4100,S4126,SEA Regional,1.0,0.0,Uncoded: Pre-APP,1,Not PBA,0,1,0,1
2009/2010,0,4105,0,CONSULTING SERVICES,0.2,B4100,Salasan Consulting Inc.,OAD Asia Programming,10596841.9,Closed,OAI Indonesia and SEA Regional,0,1000524,3,Directive,0,0,170,0,South-Eastern Asia,0,1,A031101001,10596841.9,OGM Asia Pacific,D4100,S4126,SEA Regional,1.0,0.0,Uncoded: Pre-APP,1,Not PBA,0,1,0,1
