Fiscal year,Organisation ID,Urban issues (marker),Trade development (marker),IRTC percent,Status,Children issues (marker),Project number,Organisation sub-class,Fund centre ID,Desertification (marker),Gender equality (marker),Section name,Amount spent,Biodiversity (marker),Maximum CIDA contribution (project-level),Branch ID,Branch name,Division ID,Division name,Section ID,Regional program (marker),Fund centre name,Untied amount(Project-level budget),FSTC percent,CFLI (marker),CIDA business delivery model (old),Programming process (new),Bilateral aid (international marker),PBA type,Enviromental sustainability (marker),Climate change adaptation (marker),Climate change mitigation (marker)
2009/2010,Information not available,1,0,0.0,Closed,0,A032226001,CONSULTANT,4310,0,0,Gulf of Guinea Program,172.5466,0,3867664.46,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4249,1,Central & West Africa Regional Program,3867664.46,1.0,0,Responsive,Uncoded: Pre-APP,1,Other PBA,0,0,0
2009/2010,10050,1,0,0.0,Closed,0,A032226001,FEDERAL,4310,0,0,Gulf of Guinea Program,32.871,0,3867664.46,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4249,1,Central & West Africa Regional Program,3867664.46,1.0,0,Responsive,Uncoded: Pre-APP,1,Other PBA,0,0,0
2009/2010,1003347,1,0,0.0,Closed,0,A032226001,NGO,4310,0,0,Gulf of Guinea Program,3944.673,0,3867664.46,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4249,1,Central & West Africa Regional Program,3867664.46,1.0,0,Responsive,Uncoded: Pre-APP,1,Other PBA,0,0,0
2009/2010,Information not available,1,0,0.0,Closed,0,A032226001,CONSULTANT,4310,0,0,Gulf of Guinea Program,172.5466,0,3867664.46,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4249,1,Central & West Africa Regional Program,3867664.46,1.0,0,Responsive,Uncoded: Pre-APP,1,Other PBA,0,0,0
2009/2010,10050,1,0,0.0,Closed,0,A032226001,FEDERAL,4310,0,0,Gulf of Guinea Program,32.871,0,3867664.46,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4249,1,Central & West Africa Regional Program,3867664.46,1.0,0,Responsive,Uncoded: Pre-APP,1,Other PBA,0,0,0
2009/2010,1003347,1,0,0.0,Closed,0,A032226001,NGO,4310,0,0,Gulf of Guinea Program,3944.673,0,3867664.46,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4249,1,Central & West Africa Regional Program,3867664.46,1.0,0,Responsive,Uncoded: Pre-APP,1,Other PBA,0,0,0
2009/2010,Information not available,1,0,0.0,Closed,0,A032226001,CONSULTANT,4310,0,0,Gulf of Guinea Program,172.5466,0,3867664.46,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4249,1,Central & West Africa Regional Program,3867664.46,1.0,0,Responsive,Uncoded: Pre-APP,1,Other PBA,0,0,0
2009/2010,10050,1,0,0.0,Closed,0,A032226001,FEDERAL,4310,0,0,Gulf of Guinea Program,32.871,0,3867664.46,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4249,1,Central & West Africa Regional Program,3867664.46,1.0,0,Responsive,Uncoded: Pre-APP,1,Other PBA,0,0,0
2009/2010,1003347,1,0,0.0,Closed,0,A032226001,NGO,4310,0,0,Gulf of Guinea Program,3944.673,0,3867664.46,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4249,1,Central & West Africa Regional Program,3867664.46,1.0,0,Responsive,Uncoded: Pre-APP,1,Other PBA,0,0,0
2009/2010,Information not available,1,0,0.0,Closed,0,A032226001,CONSULTANT,4310,0,0,Gulf of Guinea Program,172.5466,0,3867664.46,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4249,1,Central & West Africa Regional Program,3867664.46,1.0,0,Responsive,Uncoded: Pre-APP,1,Other PBA,0,0,0
2009/2010,10050,1,0,0.0,Closed,0,A032226001,FEDERAL,4310,0,0,Gulf of Guinea Program,32.871,0,3867664.46,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4249,1,Central & West Africa Regional Program,3867664.46,1.0,0,Responsive,Uncoded: Pre-APP,1,Other PBA,0,0,0
2009/2010,1003347,1,0,0.0,Closed,0,A032226001,NGO,4310,0,0,Gulf of Guinea Program,3944.673,0,3867664.46,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4249,1,Central & West Africa Regional Program,3867664.46,1.0,0,Responsive,Uncoded: Pre-APP,1,Other PBA,0,0,0
2009/2010,Information not available,1,0,0.0,Closed,0,A032226001,CONSULTANT,4310,0,0,Gulf of Guinea Program,172.5466,0,3867664.46,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4249,1,Central & West Africa Regional Program,3867664.46,1.0,0,Responsive,Uncoded: Pre-APP,1,Other PBA,0,0,0
2009/2010,10050,1,0,0.0,Closed,0,A032226001,FEDERAL,4310,0,0,Gulf of Guinea Program,32.871,0,3867664.46,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4249,1,Central & West Africa Regional Program,3867664.46,1.0,0,Responsive,Uncoded: Pre-APP,1,Other PBA,0,0,0
2009/2010,1003347,1,0,0.0,Closed,0,A032226001,NGO,4310,0,0,Gulf of Guinea Program,3944.673,0,3867664.46,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4249,1,Central & West Africa Regional Program,3867664.46,1.0,0,Responsive,Uncoded: Pre-APP,1,Other PBA,0,0,0
2009/2010,Information not available,1,0,0.0,Closed,0,A032226001,CONSULTANT,4310,0,0,Gulf of Guinea Program,172.5466,0,3867664.46,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4249,1,Central & West Africa Regional Program,3867664.46,1.0,0,Responsive,Uncoded: Pre-APP,1,Other PBA,0,0,0
2009/2010,10050,1,0,0.0,Closed,0,A032226001,FEDERAL,4310,0,0,Gulf of Guinea Program,32.871,0,3867664.46,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4249,1,Central & West Africa Regional Program,3867664.46,1.0,0,Responsive,Uncoded: Pre-APP,1,Other PBA,0,0,0
2009/2010,1003347,1,0,0.0,Closed,0,A032226001,NGO,4310,0,0,Gulf of Guinea Program,3944.673,0,3867664.46,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4249,1,Central & West Africa Regional Program,3867664.46,1.0,0,Responsive,Uncoded: Pre-APP,1,Other PBA,0,0,0
2009/2010,Information not available,1,0,0.0,Closed,0,A032226001,CONSULTANT,4310,0,0,Gulf of Guinea Program,172.5466,0,3867664.46,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4249,1,Central & West Africa Regional Program,3867664.46,1.0,0,Responsive,Uncoded: Pre-APP,1,Other PBA,0,0,0
2009/2010,10050,1,0,0.0,Closed,0,A032226001,FEDERAL,4310,0,0,Gulf of Guinea Program,32.871,0,3867664.46,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4249,1,Central & West Africa Regional Program,3867664.46,1.0,0,Responsive,Uncoded: Pre-APP,1,Other PBA,0,0,0
2009/2010,1003347,1,0,0.0,Closed,0,A032226001,NGO,4310,0,0,Gulf of Guinea Program,3944.673,0,3867664.46,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4249,1,Central & West Africa Regional Program,3867664.46,1.0,0,Responsive,Uncoded: Pre-APP,1,Other PBA,0,0,0
2009/2010,Information not available,1,0,0.0,Closed,0,A032226001,CONSULTANT,4310,0,0,Gulf of Guinea Program,172.5466,0,3867664.46,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4249,1,Central & West Africa Regional Program,3867664.46,1.0,0,Responsive,Uncoded: Pre-APP,1,Other PBA,0,0,0
2009/2010,10050,1,0,0.0,Closed,0,A032226001,FEDERAL,4310,0,0,Gulf of Guinea Program,32.871,0,3867664.46,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4249,1,Central & West Africa Regional Program,3867664.46,1.0,0,Responsive,Uncoded: Pre-APP,1,Other PBA,0,0,0
2009/2010,1003347,1,0,0.0,Closed,0,A032226001,NGO,4310,0,0,Gulf of Guinea Program,3944.673,0,3867664.46,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4249,1,Central & West Africa Regional Program,3867664.46,1.0,0,Responsive,Uncoded: Pre-APP,1,Other PBA,0,0,0
2009/2010,Information not available,1,0,0.0,Closed,0,A032226001,CONSULTANT,4310,0,0,Gulf of Guinea Program,172.5466,0,3867664.46,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4249,1,Central & West Africa Regional Program,3867664.46,1.0,0,Responsive,Uncoded: Pre-APP,1,Other PBA,0,0,0
2009/2010,10050,1,0,0.0,Closed,0,A032226001,FEDERAL,4310,0,0,Gulf of Guinea Program,32.871,0,3867664.46,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4249,1,Central & West Africa Regional Program,3867664.46,1.0,0,Responsive,Uncoded: Pre-APP,1,Other PBA,0,0,0
2009/2010,1003347,1,0,0.0,Closed,0,A032226001,NGO,4310,0,0,Gulf of Guinea Program,3944.673,0,3867664.46,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4249,1,Central & West Africa Regional Program,3867664.46,1.0,0,Responsive,Uncoded: Pre-APP,1,Other PBA,0,0,0
2009/2010,Information not available,1,0,0.0,Closed,0,A032226001,CONSULTANT,4310,0,0,Gulf of Guinea Program,172.5466,0,3867664.46,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4249,1,Central & West Africa Regional Program,3867664.46,1.0,0,Responsive,Uncoded: Pre-APP,1,Other PBA,0,0,0
2009/2010,10050,1,0,0.0,Closed,0,A032226001,FEDERAL,4310,0,0,Gulf of Guinea Program,65.742,0,3867664.46,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4249,1,Central & West Africa Regional Program,3867664.46,1.0,0,Responsive,Uncoded: Pre-APP,1,Other PBA,0,0,0
2009/2010,1003347,1,0,0.0,Closed,0,A032226001,NGO,4310,0,0,Gulf of Guinea Program,7889.346,0,3867664.46,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4249,1,Central & West Africa Regional Program,3867664.46,1.0,0,Responsive,Uncoded: Pre-APP,1,Other PBA,0,0,0
2009/2010,Information not available,1,0,0.0,Closed,0,A032226001,CONSULTANT,4310,0,0,Gulf of Guinea Program,345.0932,0,3867664.46,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4249,1,Central & West Africa Regional Program,3867664.46,1.0,0,Responsive,Uncoded: Pre-APP,1,Other PBA,0,0,0
2009/2010,10050,1,0,0.0,Closed,0,A032226001,FEDERAL,4310,0,0,Gulf of Guinea Program,65.742,0,3867664.46,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4249,1,Central & West Africa Regional Program,3867664.46,1.0,0,Responsive,Uncoded: Pre-APP,1,Other PBA,0,0,0
2009/2010,1003347,1,0,0.0,Closed,0,A032226001,NGO,4310,0,0,Gulf of Guinea Program,7889.346,0,3867664.46,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4249,1,Central & West Africa Regional Program,3867664.46,1.0,0,Responsive,Uncoded: Pre-APP,1,Other PBA,0,0,0
2009/2010,Information not available,1,0,0.0,Closed,0,A032226001,CONSULTANT,4310,0,0,Gulf of Guinea Program,345.0932,0,3867664.46,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4249,1,Central & West Africa Regional Program,3867664.46,1.0,0,Responsive,Uncoded: Pre-APP,1,Other PBA,0,0,0
2009/2010,10050,1,0,0.0,Closed,0,A032226001,FEDERAL,4310,0,0,Gulf of Guinea Program,65.742,0,3867664.46,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4249,1,Central & West Africa Regional Program,3867664.46,1.0,0,Responsive,Uncoded: Pre-APP,1,Other PBA,0,0,0
2009/2010,1003347,1,0,0.0,Closed,0,A032226001,NGO,4310,0,0,Gulf of Guinea Program,7889.346,0,3867664.46,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4249,1,Central & West Africa Regional Program,3867664.46,1.0,0,Responsive,Uncoded: Pre-APP,1,Other PBA,0,0,0
2009/2010,Information not available,1,0,0.0,Closed,0,A032226001,CONSULTANT,4310,0,0,Gulf of Guinea Program,345.0932,0,3867664.46,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4249,1,Central & West Africa Regional Program,3867664.46,1.0,0,Responsive,Uncoded: Pre-APP,1,Other PBA,0,0,0
2009/2010,10050,1,0,0.0,Closed,0,A032226001,FEDERAL,4310,0,0,Gulf of Guinea Program,65.742,0,3867664.46,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4249,1,Central & West Africa Regional Program,3867664.46,1.0,0,Responsive,Uncoded: Pre-APP,1,Other PBA,0,0,0
2009/2010,1003347,1,0,0.0,Closed,0,A032226001,NGO,4310,0,0,Gulf of Guinea Program,7889.346,0,3867664.46,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4249,1,Central & West Africa Regional Program,3867664.46,1.0,0,Responsive,Uncoded: Pre-APP,1,Other PBA,0,0,0
2009/2010,Information not available,1,0,0.0,Closed,0,A032226001,CONSULTANT,4310,0,0,Gulf of Guinea Program,345.0932,0,3867664.46,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4249,1,Central & West Africa Regional Program,3867664.46,1.0,0,Responsive,Uncoded: Pre-APP,1,Other PBA,0,0,0
2009/2010,10050,1,0,0.0,Closed,0,A032226001,FEDERAL,4310,0,0,Gulf of Guinea Program,65.742,0,3867664.46,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4249,1,Central & West Africa Regional Program,3867664.46,1.0,0,Responsive,Uncoded: Pre-APP,1,Other PBA,0,0,0
2009/2010,1003347,1,0,0.0,Closed,0,A032226001,NGO,4310,0,0,Gulf of Guinea Program,7889.346,0,3867664.46,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4249,1,Central & West Africa Regional Program,3867664.46,1.0,0,Responsive,Uncoded: Pre-APP,1,Other PBA,0,0,0
2009/2010,Information not available,1,0,0.0,Closed,0,A032226001,CONSULTANT,4310,0,0,Gulf of Guinea Program,345.0932,0,3867664.46,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4249,1,Central & West Africa Regional Program,3867664.46,1.0,0,Responsive,Uncoded: Pre-APP,1,Other PBA,0,0,0
2009/2010,10050,1,0,0.0,Closed,0,A032226001,FEDERAL,4310,0,0,Gulf of Guinea Program,65.742,0,3867664.46,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4249,1,Central & West Africa Regional Program,3867664.46,1.0,0,Responsive,Uncoded: Pre-APP,1,Other PBA,0,0,0
2009/2010,1003347,1,0,0.0,Closed,0,A032226001,NGO,4310,0,0,Gulf of Guinea Program,7889.346,0,3867664.46,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4249,1,Central & West Africa Regional Program,3867664.46,1.0,0,Responsive,Uncoded: Pre-APP,1,Other PBA,0,0,0
2009/2010,Information not available,1,0,0.0,Closed,0,A032226001,CONSULTANT,4310,0,0,Gulf of Guinea Program,345.0932,0,3867664.46,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4249,1,Central & West Africa Regional Program,3867664.46,1.0,0,Responsive,Uncoded: Pre-APP,1,Other PBA,0,0,0
2009/2010,10050,1,0,0.0,Closed,0,A032226001,FEDERAL,4310,0,0,Gulf of Guinea Program,65.742,0,3867664.46,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4249,1,Central & West Africa Regional Program,3867664.46,1.0,0,Responsive,Uncoded: Pre-APP,1,Other PBA,0,0,0
2009/2010,1003347,1,0,0.0,Closed,0,A032226001,NGO,4310,0,0,Gulf of Guinea Program,7889.346,0,3867664.46,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4249,1,Central & West Africa Regional Program,3867664.46,1.0,0,Responsive,Uncoded: Pre-APP,1,Other PBA,0,0,0
2009/2010,Information not available,1,0,0.0,Closed,0,A032226001,CONSULTANT,4310,0,0,Gulf of Guinea Program,345.0932,0,3867664.46,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4249,1,Central & West Africa Regional Program,3867664.46,1.0,0,Responsive,Uncoded: Pre-APP,1,Other PBA,0,0,0
2009/2010,10050,1,0,0.0,Closed,0,A032226001,FEDERAL,4310,0,0,Gulf of Guinea Program,65.742,0,3867664.46,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4249,1,Central & West Africa Regional Program,3867664.46,1.0,0,Responsive,Uncoded: Pre-APP,1,Other PBA,0,0,0
2009/2010,1003347,1,0,0.0,Closed,0,A032226001,NGO,4310,0,0,Gulf of Guinea Program,7889.346,0,3867664.46,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4249,1,Central & West Africa Regional Program,3867664.46,1.0,0,Responsive,Uncoded: Pre-APP,1,Other PBA,0,0,0
2009/2010,Information not available,1,0,0.0,Closed,0,A032226001,CONSULTANT,4310,0,0,Gulf of Guinea Program,345.0932,0,3867664.46,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4249,1,Central & West Africa Regional Program,3867664.46,1.0,0,Responsive,Uncoded: Pre-APP,1,Other PBA,0,0,0
2009/2010,10050,1,0,0.0,Closed,0,A032226001,FEDERAL,4310,0,0,Gulf of Guinea Program,65.742,0,3867664.46,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4249,1,Central & West Africa Regional Program,3867664.46,1.0,0,Responsive,Uncoded: Pre-APP,1,Other PBA,0,0,0
2009/2010,1003347,1,0,0.0,Closed,0,A032226001,NGO,4310,0,0,Gulf of Guinea Program,7889.346,0,3867664.46,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4249,1,Central & West Africa Regional Program,3867664.46,1.0,0,Responsive,Uncoded: Pre-APP,1,Other PBA,0,0,0
2009/2010,Information not available,1,0,0.0,Closed,0,A032226001,CONSULTANT,4310,0,0,Gulf of Guinea Program,345.0932,0,3867664.46,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4249,1,Central & West Africa Regional Program,3867664.46,1.0,0,Responsive,Uncoded: Pre-APP,1,Other PBA,0,0,0
2009/2010,10050,1,0,0.0,Closed,0,A032226001,FEDERAL,4310,0,0,Gulf of Guinea Program,65.742,0,3867664.46,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4249,1,Central & West Africa Regional Program,3867664.46,1.0,0,Responsive,Uncoded: Pre-APP,1,Other PBA,0,0,0
2009/2010,1003347,1,0,0.0,Closed,0,A032226001,NGO,4310,0,0,Gulf of Guinea Program,7889.346,0,3867664.46,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4249,1,Central & West Africa Regional Program,3867664.46,1.0,0,Responsive,Uncoded: Pre-APP,1,Other PBA,0,0,0
2009/2010,Information not available,1,0,0.0,Closed,0,A032226001,CONSULTANT,4310,0,0,Gulf of Guinea Program,345.0932,0,3867664.46,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4249,1,Central & West Africa Regional Program,3867664.46,1.0,0,Responsive,Uncoded: Pre-APP,1,Other PBA,0,0,0
2009/2010,10050,1,0,0.0,Closed,0,A032226001,FEDERAL,4310,0,0,Gulf of Guinea Program,65.742,0,3867664.46,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4249,1,Central & West Africa Regional Program,3867664.46,1.0,0,Responsive,Uncoded: Pre-APP,1,Other PBA,0,0,0
2009/2010,1003347,1,0,0.0,Closed,0,A032226001,NGO,4310,0,0,Gulf of Guinea Program,7889.346,0,3867664.46,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4249,1,Central & West Africa Regional Program,3867664.46,1.0,0,Responsive,Uncoded: Pre-APP,1,Other PBA,0,0,0
2009/2010,Information not available,1,0,0.0,Closed,0,A032226001,CONSULTANT,4310,0,0,Gulf of Guinea Program,345.0932,0,3867664.46,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4249,1,Central & West Africa Regional Program,3867664.46,1.0,0,Responsive,Uncoded: Pre-APP,1,Other PBA,0,0,0
2009/2010,10050,1,0,0.0,Closed,0,A032226001,FEDERAL,4310,0,0,Gulf of Guinea Program,65.742,0,3867664.46,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4249,1,Central & West Africa Regional Program,3867664.46,1.0,0,Responsive,Uncoded: Pre-APP,1,Other PBA,0,0,0
2009/2010,1003347,1,0,0.0,Closed,0,A032226001,NGO,4310,0,0,Gulf of Guinea Program,7889.346,0,3867664.46,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4249,1,Central & West Africa Regional Program,3867664.46,1.0,0,Responsive,Uncoded: Pre-APP,1,Other PBA,0,0,0
2009/2010,Information not available,1,0,0.0,Closed,0,A032226001,CONSULTANT,4310,0,0,Gulf of Guinea Program,345.0932,0,3867664.46,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4249,1,Central & West Africa Regional Program,3867664.46,1.0,0,Responsive,Uncoded: Pre-APP,1,Other PBA,0,0,0
2009/2010,10050,1,0,0.0,Closed,0,A032226001,FEDERAL,4310,0,0,Gulf of Guinea Program,65.742,0,3867664.46,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4249,1,Central & West Africa Regional Program,3867664.46,1.0,0,Responsive,Uncoded: Pre-APP,1,Other PBA,0,0,0
2009/2010,1003347,1,0,0.0,Closed,0,A032226001,NGO,4310,0,0,Gulf of Guinea Program,7889.346,0,3867664.46,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4249,1,Central & West Africa Regional Program,3867664.46,1.0,0,Responsive,Uncoded: Pre-APP,1,Other PBA,0,0,0
2009/2010,Information not available,1,0,0.0,Closed,0,A032226001,CONSULTANT,4310,0,0,Gulf of Guinea Program,345.0932,0,3867664.46,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4249,1,Central & West Africa Regional Program,3867664.46,1.0,0,Responsive,Uncoded: Pre-APP,1,Other PBA,0,0,0
2009/2010,10050,1,0,0.0,Closed,0,A032226001,FEDERAL,4310,0,0,Gulf of Guinea Program,65.742,0,3867664.46,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4249,1,Central & West Africa Regional Program,3867664.46,1.0,0,Responsive,Uncoded: Pre-APP,1,Other PBA,0,0,0
2009/2010,1003347,1,0,0.0,Closed,0,A032226001,NGO,4310,0,0,Gulf of Guinea Program,7889.346,0,3867664.46,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4249,1,Central & West Africa Regional Program,3867664.46,1.0,0,Responsive,Uncoded: Pre-APP,1,Other PBA,0,0,0
2009/2010,Information not available,1,0,0.0,Closed,0,A032226001,CONSULTANT,4310,0,0,Gulf of Guinea Program,345.0932,0,3867664.46,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4249,1,Central & West Africa Regional Program,3867664.46,1.0,0,Responsive,Uncoded: Pre-APP,1,Other PBA,0,0,0
2009/2010,10050,1,0,0.0,Closed,0,A032226001,FEDERAL,4310,0,0,Gulf of Guinea Program,65.742,0,3867664.46,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4249,1,Central & West Africa Regional Program,3867664.46,1.0,0,Responsive,Uncoded: Pre-APP,1,Other PBA,0,0,0
2009/2010,1003347,1,0,0.0,Closed,0,A032226001,NGO,4310,0,0,Gulf of Guinea Program,7889.346,0,3867664.46,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4249,1,Central & West Africa Regional Program,3867664.46,1.0,0,Responsive,Uncoded: Pre-APP,1,Other PBA,0,0,0
2009/2010,Information not available,1,0,0.0,Closed,0,A032226001,CONSULTANT,4310,0,0,Gulf of Guinea Program,345.0932,0,3867664.46,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4249,1,Central & West Africa Regional Program,3867664.46,1.0,0,Responsive,Uncoded: Pre-APP,1,Other PBA,0,0,0
2009/2010,10050,1,0,0.0,Closed,0,A032226001,FEDERAL,4310,0,0,Gulf of Guinea Program,32.871,0,3867664.46,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4249,1,Central & West Africa Regional Program,3867664.46,1.0,0,Responsive,Uncoded: Pre-APP,1,Other PBA,0,0,0
2009/2010,1003347,1,0,0.0,Closed,0,A032226001,NGO,4310,0,0,Gulf of Guinea Program,3944.673,0,3867664.46,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4249,1,Central & West Africa Regional Program,3867664.46,1.0,0,Responsive,Uncoded: Pre-APP,1,Other PBA,0,0,0
2009/2010,Information not available,1,0,0.0,Closed,0,A032226001,CONSULTANT,4310,0,0,Gulf of Guinea Program,172.5466,0,3867664.46,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4249,1,Central & West Africa Regional Program,3867664.46,1.0,0,Responsive,Uncoded: Pre-APP,1,Other PBA,0,0,0
2009/2010,10050,1,0,0.0,Closed,0,A032226001,FEDERAL,4310,0,0,Gulf of Guinea Program,32.871,0,3867664.46,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4249,1,Central & West Africa Regional Program,3867664.46,1.0,0,Responsive,Uncoded: Pre-APP,1,Other PBA,0,0,0
2009/2010,1003347,1,0,0.0,Closed,0,A032226001,NGO,4310,0,0,Gulf of Guinea Program,3944.673,0,3867664.46,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4249,1,Central & West Africa Regional Program,3867664.46,1.0,0,Responsive,Uncoded: Pre-APP,1,Other PBA,0,0,0
2009/2010,Information not available,1,0,0.0,Closed,0,A032226001,CONSULTANT,4310,0,0,Gulf of Guinea Program,172.5466,0,3867664.46,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4249,1,Central & West Africa Regional Program,3867664.46,1.0,0,Responsive,Uncoded: Pre-APP,1,Other PBA,0,0,0
2009/2010,10050,1,0,0.0,Closed,0,A032226001,FEDERAL,4310,0,0,Gulf of Guinea Program,32.871,0,3867664.46,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4249,1,Central & West Africa Regional Program,3867664.46,1.0,0,Responsive,Uncoded: Pre-APP,1,Other PBA,0,0,0
2009/2010,1003347,1,0,0.0,Closed,0,A032226001,NGO,4310,0,0,Gulf of Guinea Program,3944.673,0,3867664.46,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4249,1,Central & West Africa Regional Program,3867664.46,1.0,0,Responsive,Uncoded: Pre-APP,1,Other PBA,0,0,0
2009/2010,Information not available,1,0,0.0,Closed,0,A032226001,CONSULTANT,4310,0,0,Gulf of Guinea Program,172.5466,0,3867664.46,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4249,1,Central & West Africa Regional Program,3867664.46,1.0,0,Responsive,Uncoded: Pre-APP,1,Other PBA,0,0,0
2009/2010,10050,1,0,0.0,Closed,0,A032226001,FEDERAL,4310,0,0,Gulf of Guinea Program,32.871,0,3867664.46,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4249,1,Central & West Africa Regional Program,3867664.46,1.0,0,Responsive,Uncoded: Pre-APP,1,Other PBA,0,0,0
