assays_ASI,assays_ASCA,assays_ASTIS,assays_VAI,assays_ASSOR,assays_CHI,assays_DI,assays_ASSTR,assays_Ti,assays_CURAB,assays_ASSTAI,assays_CONFISCO,assays_SRI,assays_SRASI,assays_CEI,assays_BAFOR,assays_TII
4935,,Lung,,Mus musculus,CHEMBL618957,17641,,50594,Intermediate,10090.0,1,1,,,BAO_0000218,2048.0
4936,,,,Mus musculus,CHEMBL618958,17764,,50594,Intermediate,10090.0,1,1,,,BAO_0000218,
4937,,,,Mus musculus,CHEMBL618959,17764,,50594,Intermediate,10090.0,1,1,,,BAO_0000218,
4938,,,,Mus musculus,CHEMBL618960,17764,,50594,Intermediate,10090.0,1,1,,,BAO_0000218,
4939,,,,Mus musculus,CHEMBL876723,17764,,50594,Intermediate,10090.0,1,1,,,BAO_0000218,
4940,,Spleen,,Mus musculus,CHEMBL618961,17641,,50594,Intermediate,10090.0,1,1,,,BAO_0000218,2106.0
4941,,,,Mus musculus,CHEMBL618962,16597,,50594,Intermediate,10090.0,1,1,,,BAO_0000218,
4942,,,,Mus musculus,CHEMBL618963,16597,,50594,Intermediate,10090.0,1,1,,,BAO_0000218,
4943,,,,Mus musculus,CHEMBL618964,5951,,50594,Intermediate,10090.0,1,1,,,BAO_0000218,
4944,,,,Mus musculus,CHEMBL618965,5506,,50594,Intermediate,10090.0,1,1,,,BAO_0000218,
4945,,,,Mus musculus,CHEMBL618966,5506,,50594,Intermediate,10090.0,1,1,,,BAO_0000218,
4946,,Urine,,Mus musculus,CHEMBL618967,429,,50594,Intermediate,10090.0,1,1,,,BAO_0000218,1088.0
4947,,Urine,,Mus musculus,CHEMBL618968,429,,50594,Intermediate,10090.0,1,1,,,BAO_0000218,1088.0
4948,,Urine,,Mus musculus,CHEMBL618969,4066,,50594,Intermediate,10090.0,1,1,,,BAO_0000218,1088.0
4949,,,,Mus musculus,CHEMBL618970,17734,,50594,Intermediate,10090.0,1,1,,,BAO_0000218,
4950,,,,Mus musculus,CHEMBL618971,17734,,50594,Intermediate,10090.0,1,1,,,BAO_0000218,
4951,,,,Mus musculus,CHEMBL618972,6062,,50594,Intermediate,10090.0,1,1,,,BAO_0000218,
4952,,,,Mus musculus,CHEMBL618973,5969,,50594,Intermediate,10090.0,1,1,,,BAO_0000218,
4953,,,,Mus musculus,CHEMBL618974,5969,,50594,Intermediate,10090.0,1,1,,,BAO_0000218,
4954,,,,Mus musculus,CHEMBL618975,5969,,50594,Intermediate,10090.0,1,1,,,BAO_0000218,
4955,,,,Mus musculus,CHEMBL618976,5980,,50594,Intermediate,10090.0,1,1,,,BAO_0000218,
4956,,,,Mus musculus,CHEMBL618977,17592,,50594,Intermediate,10090.0,1,1,,,BAO_0000218,
4957,,,,Mus musculus,CHEMBL876724,6348,,50594,Intermediate,10090.0,1,1,,,BAO_0000218,
4958,,,,Mus musculus,CHEMBL618978,17753,,50594,Intermediate,10090.0,1,1,,,BAO_0000218,
4959,,,,Mus musculus,CHEMBL618979,17753,,50594,Intermediate,10090.0,1,1,,,BAO_0000218,
4960,,,,Mus musculus,CHEMBL618980,17753,,50594,Intermediate,10090.0,1,1,,,BAO_0000218,
4961,,,,Mus musculus,CHEMBL618981,4239,,50594,Intermediate,10090.0,1,1,,,BAO_0000218,
4962,,,,Mus musculus,CHEMBL618982,2862,,50594,Intermediate,10090.0,1,1,,,BAO_0000218,
4963,,,,Mus musculus,CHEMBL620150,17734,,50594,Intermediate,10090.0,1,1,,,BAO_0000218,
4964,,,,Mus musculus,CHEMBL620151,2675,,50594,Intermediate,10090.0,1,1,,,BAO_0000218,
4965,,,,Mus musculus,CHEMBL620152,2675,,50594,Intermediate,10090.0,1,1,,,BAO_0000218,
4966,,,,Mus musculus,CHEMBL620153,17837,,50594,Intermediate,10090.0,1,1,,,BAO_0000218,
4967,,,,Mus musculus,CHEMBL876395,5727,,50594,Intermediate,10090.0,1,1,,,BAO_0000218,
4968,,,,Mus musculus,CHEMBL620154,17852,,50594,Intermediate,10090.0,1,1,,,BAO_0000218,
4969,,,,Mus musculus,CHEMBL620155,17764,,50594,Intermediate,10090.0,1,1,,,BAO_0000218,
4970,,,,Mus musculus,CHEMBL620156,16597,,50594,Intermediate,10090.0,1,1,,,BAO_0000218,
4971,,,,Mus musculus,CHEMBL620157,6062,,50594,Intermediate,10090.0,1,1,,,BAO_0000218,
4972,,Kidney,,Mus musculus,CHEMBL620158,16438,,50594,Intermediate,10090.0,1,1,,,BAO_0000218,2113.0
4973,,Blood,,Mus musculus,CHEMBL620159,16438,,50594,Intermediate,10090.0,1,1,,,BAO_0000218,178.0
4974,,Blood,,Mus musculus,CHEMBL620160,16438,,50594,Intermediate,10090.0,1,1,,,BAO_0000218,178.0
4975,,Blood,,Mus musculus,CHEMBL620161,16438,,50594,Intermediate,10090.0,1,1,,,BAO_0000218,178.0
4976,,,,Homo sapiens,CHEMBL620162,10708,,80019,Intermediate,9606.0,1,1,,797.0,BAO_0000219,
4977,,,,Homo sapiens,CHEMBL620163,16597,,80852,Expert,9606.0,1,1,,500.0,BAO_0000219,
4978,,,,Homo sapiens,CHEMBL620833,16062,,80852,Expert,9606.0,1,1,,500.0,BAO_0000219,
4979,,,,Homo sapiens,CHEMBL876396,16062,,80852,Expert,9606.0,1,1,,500.0,BAO_0000219,
4980,,,,Homo sapiens,CHEMBL620834,16958,,80852,Expert,9606.0,1,1,,500.0,BAO_0000219,
4981,,,,Homo sapiens,CHEMBL620835,6700,,80852,Expert,9606.0,1,1,,500.0,BAO_0000219,
4982,,,,Homo sapiens,CHEMBL620836,17226,,80852,Expert,9606.0,1,1,,500.0,BAO_0000219,
4983,,,,Homo sapiens,CHEMBL620837,6828,,80852,Intermediate,9606.0,1,1,,500.0,BAO_0000219,
4984,,,,Homo sapiens,CHEMBL621017,12314,,80852,Intermediate,9606.0,1,1,,500.0,BAO_0000219,
4985,,,,Homo sapiens,CHEMBL621018,13412,,9,Expert,9606.0,9,1,,500.0,BAO_0000218,
4986,,,,Homo sapiens,CHEMBL621019,13299,,80852,Intermediate,9606.0,1,1,,500.0,BAO_0000219,
4987,,,,Homo sapiens,CHEMBL621020,17420,,80852,Intermediate,9606.0,1,1,,500.0,BAO_0000219,
4988,,,,Homo sapiens,CHEMBL621021,13678,,80852,Intermediate,9606.0,1,1,,500.0,BAO_0000219,
4989,,,,,CHEMBL621022,14171,,9,Expert,,8,1,,500.0,BAO_0000219,
4990,,,,Homo sapiens,CHEMBL621023,6333,,80852,Expert,9606.0,1,1,,500.0,BAO_0000219,
4991,,,,Homo sapiens,CHEMBL621024,2356,,9,Expert,9606.0,9,1,,500.0,BAO_0000219,
4992,,,,Homo sapiens,CHEMBL621025,15578,,80852,Expert,9606.0,1,1,,500.0,BAO_0000219,
4993,,,,Homo sapiens,CHEMBL621026,5126,,80852,Expert,9606.0,1,1,,500.0,BAO_0000219,
4994,,,,Homo sapiens,CHEMBL621027,6844,,80852,Expert,9606.0,1,1,,500.0,BAO_0000219,
4995,,,,Homo sapiens,CHEMBL876397,6844,,80852,Expert,9606.0,1,1,,500.0,BAO_0000219,
4996,,,,Homo sapiens,CHEMBL883797,4925,,80852,Intermediate,9606.0,1,1,,500.0,BAO_0000219,
4997,,,,Homo sapiens,CHEMBL621028,4925,,80852,Intermediate,9606.0,1,1,,500.0,BAO_0000219,
4998,,,,Homo sapiens,CHEMBL621029,13978,,80852,Intermediate,9606.0,1,1,,500.0,BAO_0000219,
4999,,,,Homo sapiens,CHEMBL621030,16786,,80852,Intermediate,9606.0,1,1,,500.0,BAO_0000219,
5000,,,,,CHEMBL621147,13412,,9,Expert,,8,1,,500.0,BAO_0000219,
5001,,,,Homo sapiens,CHEMBL621148,17824,,80852,Intermediate,9606.0,1,1,,500.0,BAO_0000218,
5002,,,,Homo sapiens,CHEMBL621149,12751,,9,Expert,9606.0,9,1,,500.0,BAO_0000219,
5003,,,,Homo sapiens,CHEMBL621150,12380,,80852,Expert,9606.0,1,1,,500.0,BAO_0000219,
5004,,,,Homo sapiens,CHEMBL621151,4959,,9,Expert,9606.0,9,1,,500.0,BAO_0000219,
5005,,,,Homo sapiens,CHEMBL621152,6333,,80852,Intermediate,9606.0,1,1,,500.0,BAO_0000219,
5006,,,,Homo sapiens,CHEMBL621153,6333,,80852,Intermediate,9606.0,1,1,,500.0,BAO_0000219,
5007,,,,Homo sapiens,CHEMBL884000,6333,,80852,Intermediate,9606.0,1,1,,500.0,BAO_0000219,
5008,,,,Homo sapiens,CHEMBL621154,5296,,9,Expert,9606.0,9,1,,,BAO_0000019,
5009,,,,Homo sapiens,CHEMBL621155,12624,,80852,Expert,9606.0,1,1,,500.0,BAO_0000219,
5010,,,,Homo sapiens,CHEMBL621156,14926,,9,Expert,9606.0,9,1,,500.0,BAO_0000219,
5011,,,,Homo sapiens,CHEMBL621157,14926,,9,Expert,9606.0,9,1,,500.0,BAO_0000219,
5012,,,,,CHEMBL621158,14926,,9,Expert,,8,1,,500.0,BAO_0000219,
5013,,,,Homo sapiens,CHEMBL621159,15144,,80852,Intermediate,9606.0,1,1,,500.0,BAO_0000219,
5014,,,,Homo sapiens,CHEMBL621160,15144,,80852,Intermediate,9606.0,1,1,,500.0,BAO_0000219,
5015,,,,Homo sapiens,CHEMBL621161,5245,,80852,Intermediate,9606.0,1,1,,500.0,BAO_0000219,
5016,,,,Homo sapiens,CHEMBL621162,5245,,80852,Intermediate,9606.0,1,1,,500.0,BAO_0000219,
5017,,,,Homo sapiens,CHEMBL621163,5245,,80852,Intermediate,9606.0,1,1,,500.0,BAO_0000219,
5018,,,,Homo sapiens,CHEMBL621164,5245,,80852,Intermediate,9606.0,1,1,,500.0,BAO_0000219,
5019,,,,Homo sapiens,CHEMBL621165,5245,,80852,Intermediate,9606.0,1,1,,500.0,BAO_0000219,
5020,,,,Cercopithecidae,CHEMBL619159,5922,,22224,Autocuration,9527.0,0,1,,,BAO_0000019,
5021,,Plasma,,Cercopithecidae,CHEMBL619160,1116,,22224,Autocuration,9527.0,0,1,,,BAO_0000366,1969.0
5022,,,,Cercopithecidae,CHEMBL619161,17853,,22224,Autocuration,9527.0,0,1,,,BAO_0000218,
5023,,Plasma,,Cercopithecidae,CHEMBL619162,993,,22224,Autocuration,9527.0,0,1,,,BAO_0000366,1969.0
5024,,Plasma,,Cercopithecidae,CHEMBL619163,4514,,22224,Autocuration,9527.0,0,1,,,BAO_0000366,1969.0
5025,,Plasma,,Cercopithecidae,CHEMBL619164,5334,,22224,Autocuration,9527.0,0,1,,,BAO_0000218,1969.0
5026,,Plasma,,Cercopithecidae,CHEMBL619320,5334,,22224,Autocuration,9527.0,0,1,,,BAO_0000218,1969.0
5027,,,,Cercopithecidae,CHEMBL619321,4578,,22224,Autocuration,9527.0,0,1,,,BAO_0000218,
5028,,,,Cercopithecidae,CHEMBL873336,2661,,22224,Autocuration,9527.0,0,1,,,BAO_0000218,
5029,,,,Cercopithecidae,CHEMBL619322,5355,,22224,Autocuration,9527.0,0,1,,,BAO_0000218,
5030,,,,Cercopithecidae,CHEMBL619323,5355,,22224,Autocuration,9527.0,0,1,,,BAO_0000218,
5031,,,,Cercopithecidae,CHEMBL619324,5355,,22224,Autocuration,9527.0,0,1,,,BAO_0000218,
5032,,,,Cercopithecidae,CHEMBL619325,11271,,22224,Autocuration,9527.0,0,1,,,BAO_0000019,
5033,,,,Cercopithecidae,CHEMBL876411,11271,,22224,Autocuration,9527.0,0,1,,,BAO_0000019,
5034,,,,Cercopithecidae,CHEMBL619326,11271,,22224,Autocuration,9527.0,0,1,,,BAO_0000019,
5035,,,,Cercopithecidae,CHEMBL619327,11271,,22224,Autocuration,9527.0,0,1,,,BAO_0000019,
5036,,,,Cercopithecidae,CHEMBL619328,11271,,22224,Autocuration,9527.0,0,1,,,BAO_0000019,
5037,,,,Cercopithecidae,CHEMBL619329,11271,,22224,Autocuration,9527.0,0,1,,,BAO_0000019,
5038,,,,Cercopithecidae,CHEMBL619330,11271,,22224,Autocuration,9527.0,0,1,,,BAO_0000019,
5039,,,,Cercopithecidae,CHEMBL619331,11271,,22224,Autocuration,9527.0,0,1,,,BAO_0000019,
5040,,,,Cercopithecidae,CHEMBL619332,11271,,22224,Autocuration,9527.0,0,1,,,BAO_0000019,
5041,,,,Cercopithecidae,CHEMBL619333,11271,,22224,Autocuration,9527.0,0,1,,,BAO_0000019,
5042,,,,Cercopithecidae,CHEMBL619334,11271,,22224,Autocuration,9527.0,0,1,,,BAO_0000019,
5043,,,,Cercopithecidae,CHEMBL619335,11271,,22224,Autocuration,9527.0,0,1,,,BAO_0000019,
5044,,,,Cercopithecidae,CHEMBL619336,11271,,22224,Autocuration,9527.0,0,1,,,BAO_0000019,
5045,,,,Cercopithecidae,CHEMBL619337,11271,,22224,Autocuration,9527.0,0,1,,,BAO_0000019,
5046,,,,Cercopithecidae,CHEMBL619338,11271,,22224,Autocuration,9527.0,0,1,,,BAO_0000019,
5047,,,,Cercopithecidae,CHEMBL619339,11271,,22224,Autocuration,9527.0,0,1,,,BAO_0000019,
5048,,,,Rattus norvegicus,CHEMBL619340,5809,,50597,Intermediate,10116.0,1,1,,,BAO_0000218,
5049,,Plasma,,Rattus norvegicus,CHEMBL873496,17720,,50597,Intermediate,10116.0,1,1,,,BAO_0000218,1969.0
5050,,Plasma,,Rattus norvegicus,CHEMBL619341,3546,,50597,Intermediate,10116.0,1,1,,,BAO_0000218,1969.0
5051,,Plasma,,Rattus norvegicus,CHEMBL619342,3546,,50597,Intermediate,10116.0,1,1,,,BAO_0000218,1969.0
5052,,,,Rattus norvegicus,CHEMBL619343,3546,,50597,Intermediate,10116.0,1,1,,,BAO_0000218,
5053,,,,Rattus norvegicus,CHEMBL619344,3546,,50597,Intermediate,10116.0,1,1,,,BAO_0000218,
5054,,,,Rattus norvegicus,CHEMBL619345,3546,,50597,Intermediate,10116.0,1,1,,,BAO_0000218,
5055,,,,Rattus norvegicus,CHEMBL619346,3546,,50597,Intermediate,10116.0,1,1,,,BAO_0000218,
5056,,,,Rattus norvegicus,CHEMBL619347,3546,,50597,Intermediate,10116.0,1,1,,,BAO_0000218,
5057,,,,Papio hamadryas,CHEMBL619348,10625,,22224,Autocuration,9557.0,0,1,,,BAO_0000019,
5058,,,,Papio hamadryas,CHEMBL619349,10625,,22224,Autocuration,9557.0,0,1,,,BAO_0000019,
5059,,,,Papio hamadryas,CHEMBL619350,10625,,22224,Autocuration,9557.0,0,1,,,BAO_0000019,
5060,,,,Papio hamadryas,CHEMBL619351,10625,,22224,Autocuration,9557.0,0,1,,,BAO_0000019,
5061,,,,Papio hamadryas,CHEMBL875953,10625,,22224,Autocuration,9557.0,0,1,,,BAO_0000019,
5062,,,,Papio hamadryas,CHEMBL621716,10625,,22224,Autocuration,9557.0,0,1,,,BAO_0000019,
5063,,,,Papio hamadryas,CHEMBL621717,10625,,22224,Autocuration,9557.0,0,1,,,BAO_0000019,
5064,,,,Papio hamadryas,CHEMBL621718,10625,,22224,Autocuration,9557.0,0,1,,,BAO_0000019,
5065,,,,beagle,CHEMBL621719,3510,,22224,Autocuration,9615.0,0,1,,,BAO_0000019,
5066,,,,beagle,CHEMBL621720,3510,,22224,Autocuration,9615.0,0,1,,,BAO_0000019,
5067,,,,beagle,CHEMBL621721,3510,,22224,Autocuration,9615.0,0,1,,,BAO_0000218,
5068,,Urine,,Homo sapiens,CHEMBL621722,7766,,22224,Autocuration,9606.0,0,1,,,BAO_0000019,1088.0
5069,,Urine,,Homo sapiens,CHEMBL621723,7766,,22224,Autocuration,9606.0,0,1,,,BAO_0000019,1088.0
5070,,Urine,,Homo sapiens,CHEMBL621724,7766,,22224,Autocuration,9606.0,0,1,,,BAO_0000019,1088.0
5071,,Urine,,Homo sapiens,CHEMBL623443,7766,,22224,Autocuration,9606.0,0,1,,,BAO_0000019,1088.0
5072,,Urine,,Homo sapiens,CHEMBL623444,7766,,22224,Autocuration,9606.0,0,1,,,BAO_0000019,1088.0
5073,,Urine,,Homo sapiens,CHEMBL623445,7766,,22224,Autocuration,9606.0,0,1,,,BAO_0000019,1088.0
5074,,Urine,,Homo sapiens,CHEMBL623446,7766,,22224,Autocuration,9606.0,0,1,,,BAO_0000019,1088.0
5075,,Liver,,Homo sapiens,CHEMBL623447,16643,,22224,Autocuration,9606.0,0,1,,,BAO_0000251,2107.0
5076,,,,Homo sapiens,CHEMBL623448,6852,,22224,Autocuration,9606.0,0,1,,,BAO_0000019,
5077,,,,Homo sapiens,CHEMBL623449,6852,,22224,Autocuration,9606.0,0,1,,,BAO_0000019,
5078,,,,Homo sapiens,CHEMBL623450,6852,,22224,Autocuration,9606.0,0,1,,,BAO_0000019,
5079,,Liver,,Homo sapiens,CHEMBL623451,6567,,22224,Autocuration,9606.0,0,1,,,BAO_0000251,2107.0
5080,,,,Homo sapiens,CHEMBL623452,6570,,22224,Autocuration,9606.0,0,1,,,BAO_0000019,
5081,,,,Homo sapiens,CHEMBL623453,6570,,22224,Autocuration,9606.0,0,1,,,BAO_0000019,
5082,,Liver,,Homo sapiens,CHEMBL623454,5237,,22224,Autocuration,9606.0,0,1,,,BAO_0000251,2107.0
5083,,Liver,,Homo sapiens,CHEMBL623455,5237,,22224,Autocuration,9606.0,0,1,,,BAO_0000251,2107.0
5084,,Liver,,Homo sapiens,CHEMBL624371,5237,,22224,Autocuration,9606.0,0,1,,,BAO_0000251,2107.0
5085,,,,Homo sapiens,CHEMBL624372,5202,,22224,Autocuration,9606.0,0,1,,,BAO_0000218,
5086,,,,Homo sapiens,CHEMBL624373,5481,,22224,Autocuration,9606.0,0,1,,,BAO_0000019,
5087,,,,Homo sapiens,CHEMBL624374,5481,,22224,Autocuration,9606.0,0,1,,,BAO_0000019,
5088,,,,Homo sapiens,CHEMBL624556,3956,,22224,Autocuration,9606.0,0,1,,,BAO_0000019,
5089,,Plasma,,Homo sapiens,CHEMBL624557,5074,,22224,Autocuration,9606.0,0,1,,,BAO_0000366,1969.0
5090,,Plasma,,Homo sapiens,CHEMBL624558,5074,,22224,Autocuration,9606.0,0,1,,,BAO_0000366,1969.0
5091,,Blood,,Homo sapiens,CHEMBL624559,4727,,22224,Autocuration,9606.0,0,1,,,BAO_0000221,178.0
5092,,,,Homo sapiens,CHEMBL624560,5965,,22224,Autocuration,9606.0,0,1,,,BAO_0000019,
5093,,,,Homo sapiens,CHEMBL624561,5732,,22224,Autocuration,9606.0,0,1,,,BAO_0000251,
5094,,Plasma,,Homo sapiens,CHEMBL624562,5819,,22224,Autocuration,9606.0,0,1,,,BAO_0000366,1969.0
5095,,Plasma,,Homo sapiens,CHEMBL624563,5819,,22224,Autocuration,9606.0,0,1,,,BAO_0000366,1969.0
5096,,,,Homo sapiens,CHEMBL624564,1916,,22224,Autocuration,9606.0,0,1,,,BAO_0000218,
5097,,Liver,,Homo sapiens,CHEMBL624565,6597,,22224,Autocuration,9606.0,0,1,,,BAO_0000251,2107.0
5098,,Plasma,,Homo sapiens,CHEMBL875152,5229,,22224,Autocuration,9606.0,0,1,,,BAO_0000366,1969.0
5099,,Plasma,,Homo sapiens,CHEMBL624566,5229,,22224,Autocuration,9606.0,0,1,,,BAO_0000366,1969.0
5100,,Plasma,,Homo sapiens,CHEMBL873805,2192,,22224,Autocuration,9606.0,0,1,,,BAO_0000366,1969.0
5101,,Liver,,Homo sapiens,CHEMBL624567,3032,,22224,Autocuration,9606.0,0,1,,,BAO_0000251,2107.0
5102,,,,Homo sapiens,CHEMBL624568,1916,,22224,Autocuration,9606.0,0,1,,,BAO_0000218,
5103,,,,Homo sapiens,CHEMBL624569,17716,,22224,Autocuration,9606.0,0,1,,,BAO_0000218,
5104,,,,Homo sapiens,CHEMBL624570,15778,,22224,Autocuration,9606.0,0,1,,,BAO_0000218,
5105,,,,Homo sapiens,CHEMBL624571,17313,,22224,Autocuration,9606.0,0,1,,,BAO_0000019,
5106,,,,Homo sapiens,CHEMBL624572,4231,,22224,Autocuration,9606.0,0,1,,,BAO_0000019,
5107,,,,Homo sapiens,CHEMBL624573,4755,,22224,Autocuration,9606.0,0,1,,,BAO_0000019,
5108,,,,Homo sapiens,CHEMBL875153,4755,,22224,Autocuration,9606.0,0,1,,,BAO_0000019,
5109,,Liver,,Homo sapiens,CHEMBL624574,16907,,22224,Autocuration,9606.0,0,1,,,BAO_0000251,2107.0
5110,,,,Homo sapiens,CHEMBL624575,10839,,22224,Autocuration,9606.0,0,1,,,BAO_0000019,
5111,,,,Homo sapiens,CHEMBL624576,10839,,22224,Autocuration,9606.0,0,1,,,BAO_0000019,
5112,,Liver,,Homo sapiens,CHEMBL624577,3199,,22224,Autocuration,9606.0,0,1,,,BAO_0000251,2107.0
5113,,Blood,,Homo sapiens,CHEMBL624578,1345,,22224,Autocuration,9606.0,0,1,,,BAO_0000221,178.0
5114,,Serum,,Homo sapiens,CHEMBL622796,4297,,22224,Autocuration,9606.0,0,1,,,BAO_0000019,1977.0
5115,,Serum,,Homo sapiens,CHEMBL622797,4297,,22224,Autocuration,9606.0,0,1,,,BAO_0000019,1977.0
5116,,,,Homo sapiens,CHEMBL622798,4297,,22224,Autocuration,9606.0,0,1,,,BAO_0000019,
5117,,,,Homo sapiens,CHEMBL622799,4297,,22224,Autocuration,9606.0,0,1,,,BAO_0000019,
5118,,Plasma,,Homo sapiens,CHEMBL622800,4231,,22224,Autocuration,9606.0,0,1,,,BAO_0000366,1969.0
5119,,,,Homo sapiens,CHEMBL622801,5633,,22224,Autocuration,9606.0,0,1,,,BAO_0000220,
5120,,Liver,,Homo sapiens,CHEMBL622802,5633,,22224,Autocuration,9606.0,0,1,,,BAO_0000251,2107.0
5121,,,,Homo sapiens,CHEMBL622803,17791,,22224,Autocuration,9606.0,0,1,,,BAO_0000019,
5122,,,,Homo sapiens,CHEMBL875154,17791,,22224,Autocuration,9606.0,0,1,,,BAO_0000019,
5123,,Plasma,,Homo sapiens,CHEMBL622804,3160,,22224,Autocuration,9606.0,0,1,,,BAO_0000366,1969.0
5124,,Brain,,Mus musculus,CHEMBL622805,16438,,50594,Intermediate,10090.0,1,1,,,BAO_0000218,955.0
5125,,Heart,,Mus musculus,CHEMBL622611,16438,,50594,Intermediate,10090.0,1,1,,,BAO_0000218,948.0
5126,,Heart,,Mus musculus,CHEMBL622612,16438,,50594,Intermediate,10090.0,1,1,,,BAO_0000218,948.0
5127,,Kidney,,Mus musculus,CHEMBL875160,16438,,50594,Intermediate,10090.0,1,1,,,BAO_0000218,2113.0
5128,,Kidney,,Mus musculus,CHEMBL622613,16438,,50594,Intermediate,10090.0,1,1,,,BAO_0000218,2113.0
5129,,Kidney,,Mus musculus,CHEMBL622614,16438,,50594,Intermediate,10090.0,1,1,,,BAO_0000218,2113.0
5130,,Liver,,Mus musculus,CHEMBL622615,16438,,50594,Intermediate,10090.0,1,1,,,BAO_0000218,2107.0
5131,,Liver,,Mus musculus,CHEMBL622616,16438,,50594,Intermediate,10090.0,1,1,,,BAO_0000218,2107.0
5132,,Liver,,Mus musculus,CHEMBL622617,16438,,50594,Intermediate,10090.0,1,1,,,BAO_0000218,2107.0
5133,,Spleen,,Mus musculus,CHEMBL622618,16438,,50594,Intermediate,10090.0,1,1,,,BAO_0000218,2106.0
5134,,Spleen,,Mus musculus,CHEMBL622619,16438,,50594,Intermediate,10090.0,1,1,,,BAO_0000218,2106.0
5135,,Spleen,,Mus musculus,CHEMBL622620,16438,,50594,Intermediate,10090.0,1,1,,,BAO_0000218,2106.0
5136,,Brain,,Mus musculus,CHEMBL622621,16438,,50594,Intermediate,10090.0,1,1,,,BAO_0000218,955.0
5137,,Blood,,Mus musculus,CHEMBL622622,16438,,50594,Intermediate,10090.0,1,1,,,BAO_0000218,178.0
5138,,Blood,,Mus musculus,CHEMBL622623,16438,,50594,Intermediate,10090.0,1,1,,,BAO_0000218,178.0
5139,,Blood,,Mus musculus,CHEMBL622624,16438,,50594,Intermediate,10090.0,1,1,,,BAO_0000218,178.0
5140,,Blood,,Mus musculus,CHEMBL622625,16438,,50594,Intermediate,10090.0,1,1,,,BAO_0000218,178.0
5141,,Blood,,Mus musculus,CHEMBL622626,16438,,50594,Intermediate,10090.0,1,1,,,BAO_0000218,178.0
5142,,Blood,,Mus musculus,CHEMBL622627,16438,,50594,Intermediate,10090.0,1,1,,,BAO_0000218,178.0
5143,,Brain,,Mus musculus,CHEMBL622628,16438,,50594,Intermediate,10090.0,1,1,,,BAO_0000218,955.0
5144,,Brain,,Mus musculus,CHEMBL622629,16438,,50594,Intermediate,10090.0,1,1,,,BAO_0000218,955.0
5145,,Brain,,Mus musculus,CHEMBL622630,16438,,50594,Intermediate,10090.0,1,1,,,BAO_0000218,955.0
5146,,Brain,,Mus musculus,CHEMBL622631,16438,,50594,Intermediate,10090.0,1,1,,,BAO_0000218,955.0
5147,,Brain,,Mus musculus,CHEMBL622632,16438,,50594,Intermediate,10090.0,1,1,,,BAO_0000218,955.0
5148,,Brain,,Mus musculus,CHEMBL622633,16438,,50594,Intermediate,10090.0,1,1,,,BAO_0000218,955.0
5149,,Heart,,Mus musculus,CHEMBL622634,16438,,50594,Intermediate,10090.0,1,1,,,BAO_0000218,948.0
5150,,Heart,,Mus musculus,CHEMBL622635,16438,,50594,Intermediate,10090.0,1,1,,,BAO_0000218,948.0
5151,,Heart,,Mus musculus,CHEMBL875161,16438,,50594,Intermediate,10090.0,1,1,,,BAO_0000218,948.0
5152,,Heart,,Mus musculus,CHEMBL622636,16438,,50594,Intermediate,10090.0,1,1,,,BAO_0000218,948.0
5153,,Heart,,Mus musculus,CHEMBL623335,16438,,50594,Intermediate,10090.0,1,1,,,BAO_0000218,948.0
5154,,Heart,,Mus musculus,CHEMBL623336,16438,,50594,Intermediate,10090.0,1,1,,,BAO_0000218,948.0
5155,,Kidney,,Mus musculus,CHEMBL623337,16438,,50594,Intermediate,10090.0,1,1,,,BAO_0000218,2113.0
5156,,Kidney,,Mus musculus,CHEMBL623338,16438,,50594,Intermediate,10090.0,1,1,,,BAO_0000218,2113.0
5157,,Kidney,,Mus musculus,CHEMBL623339,16438,,50594,Intermediate,10090.0,1,1,,,BAO_0000218,2113.0
5158,,Kidney,,Mus musculus,CHEMBL623524,16438,,50594,Intermediate,10090.0,1,1,,,BAO_0000218,2113.0
5159,,Kidney,,Mus musculus,CHEMBL623525,16438,,50594,Intermediate,10090.0,1,1,,,BAO_0000218,2113.0
5160,,Liver,,Mus musculus,CHEMBL623526,16438,,50594,Intermediate,10090.0,1,1,,,BAO_0000218,2107.0
5161,,Liver,,Mus musculus,CHEMBL623527,16438,,50594,Intermediate,10090.0,1,1,,,BAO_0000218,2107.0
5162,,Liver,,Mus musculus,CHEMBL623528,16438,,50594,Intermediate,10090.0,1,1,,,BAO_0000218,2107.0
5163,,,,Homo sapiens,CHEMBL624615,5245,,80852,Intermediate,9606.0,1,1,,500.0,BAO_0000219,
5164,,,,Homo sapiens,CHEMBL621672,5245,,80852,Intermediate,9606.0,1,1,,500.0,BAO_0000219,
5165,,,,,CHEMBL621673,16289,,80852,Expert,,1,1,,500.0,BAO_0000218,
5166,,,,,CHEMBL621674,16289,,80852,Expert,,1,1,,500.0,BAO_0000218,
5167,,,,Homo sapiens,CHEMBL884002,16093,,9,Expert,9606.0,9,1,,500.0,BAO_0000219,
5168,,,,Homo sapiens,CHEMBL621850,16825,,80852,Intermediate,9606.0,1,1,,500.0,BAO_0000219,
5169,,,,Homo sapiens,CHEMBL621851,4848,,80852,Intermediate,9606.0,1,1,,500.0,BAO_0000219,
5170,,,,Homo sapiens,CHEMBL621852,14827,,9,Expert,9606.0,9,1,,500.0,BAO_0000219,
