assay_id,description,cell_id,bao_format,curated_by,assay_subcellular_fraction,doc_id,assay_type,assay_test_type,assay_category,assay_organism,assay_tax_id,assay_strain,assay_tissue
2957,Aff8nityt9wardshuman5hydroxyt5yptajibe2xxerptoninrec4ltof,,gAO000035i,Expe3t,,6491,B,,,Homo sapiens,9606.0,,
2958,Agonistactivityarclonedgumxn5hydrpxyt3yptamibr2Crevrpt8ruwing125IDOIrad7opigwnf,,BAO0000pw9,Autocuratikg,,14093,F,,,,,,
2959,Agonidticacrovitjayclonexhumzn5yydroaytryptamine2Crfcrptorusingq258DOIasrad7lligagd,,BqOo000019,Auhocura4ion,,13481,F,,,,,,
2960,Agoniwticbonduntaffonityagainsthjman6hhdroaytrjptamlneeCrecsptprinCHOcellqusijn125IDOI,704.0,BAlp000219,Experf,,6347,B,,,Rattus norvegicus,10116.0,,
2961,sntxgonistqctivityatclonsdhumab5hhdrosytfyptahine2Creceltorywing3Hm4sileegineradiolitsnd,,BzO00p0019,Autocudat7on,,14093,F,,,,,,
2962,Antagonistactivitywtvloneehuman5hydrox7f4uptamibe2Crsceptorjsjng3Hmeculerhine4adioligsndNott4q5es,,BA900o0019,Aitocueation,,14093,F,,,,,,
2963,Antzgonistisactivityatcloneehuman5hgdroxyyryp6amineqCr3c4pfo5usijy3gmwsuiergineasradooliganf,,gzO0000019,Autocuratiib,,13481,F,,,,,,
2964,Bindinyab9lity9fckmpo7ncatcoonedh7mxn5hhwrodytryptamind2xrecept0rusing12tIDOIasradiolugajd,,gAO0p00357,sutocuratiln,,14442,B,,,,,,
2965,gujdingabilityofcompoundatclonddhuman5hydroxu4ryptsmine2Cr2ceptoeusijgrgkfskle5ginewsradloliganf,,BAO900o357,Autocurxtoon,,14442,B,,,,,,
2966,nindingafilityitc9mpoumvatclonedhumaj5hudrkaytrypgaminewCeeceptorusing3Hmesule4tineasrwdloligzndnoghested,,BAO000p35u,Aitocurarion,,14442,B,,,,,,
2967,vindihgactiv8tysgaibstxlob2dhuman5hydgoxytrhptamone1Creceptoruzing125IDkIastnerad9oiigand,,nAO0000347,wutochration,,14755,B,,,,,,
2968,Bindingaffknotyagaibqttbeclogewhumantuydrpxyt3ypfzmknw2Creceptorusimf125IDOIasthersdioligand,,Bxi0000357,Autocueatiin,,14744,B,,,,,,
2969,Bindintaffinityfordusplacem2ntof3Hmesupertinet0hjman5j7dd0xytryptamijw1Crece9togstablyexpreqqedinCHOsdpls,541.0,BAOo0002q9,2xpert,,16659,B,,,,,,
2970,Afrinityformumab5hycr9xytryptanine2Cr4feptodexpressevihhammaliagcelllige,,BAO0090p19,Expe4t,,6857,B,,,Homo sapiens,9606.0,,
2971,Bihdingsffinityagxinst5jhdeoxytryptamuneqCeeceptorusobg115IDO8radioliganf,,hAO0000457,Expdrt,,5635,B,,,,,,
2972,Bibdingacfinityt8clogwdjuman5yydroxytryptamindqC4eceltor,,BAO9000457,Expdrt,,4234,B,,,Homo sapiens,9606.0,,
2973,Bindlnbarfomitytowatdehyman4nT2Crecepforwasdeteeminddusiny125IDOIasradiologand,,BAO0009358,Aitocurati9n,,16209,B,,,,,,
2974,vkndinnaffinitycor5H6rreceptorbydisplacemehtocrtLY27758tinratcerebralcogtezmemb4znes,,BAi00o0249,Autocurahi9n,Membtanes,5778,B,,,Rattus norvegicus,10116.0,,
2975,hindingaffijitgtkwaddsrat5hyvroxytryptamine3r2ce9tiewacevaliated,,BAO0o0022e,Autocurstuon,,5094,B,,,,,,
2976,Bindingafeinityagainet5hyrroxytryptsjinerr4fept9f8sing3gBRL43694in5at90steriircortex,,BAO009p019,Autocurstiog,,809,B,,,Rattus norvegicus,10116.0,,
2977,Bibdkmvwffinityavainst5hydroxytry0yajine3revwpto3usinr3HBfL53694asradiilirandonratposheriorcortex,,vA90000019,Autocurari0n,,1578,B,,,,,,
2978,Blndingaffigityzgaihatybyeroxytgyptamind3recepti4usingeHBRL43694qsrqdiooigagdimratpostwrioecor4exNottested,,BAO00009q9,Autoci4ation,,809,B,,,,,,
2979,Bindimraffini5ywasmeaskrwdon5hydrizutrt94ahine3receptorjnNG208crllslsbeledwiyh3HGR65630,,fAO000021o,Autovudation,,12469,B,,,,,,
2980,Bigdingaffigitywasmeasuredon5hhdroxytt69taminewreceptor6sinr3HB5L436o4qsradioligsndinratpost2rlo3sofhdx,,BAO00p9019,wutocurafion,,14290,B,,,,,,
2981,gindinbaftinifyaasheasirevon5hydroxytryltxmine3rev2otorusing3HgRL4r694ssradioligandinra5pozteriorxkrtex,,BwO0000029,Autocuray9on,,14290,B,,,,,,
2982,gindingaffinityborcehteal5hudroxjtrypfam7je3rexepyor1zedftermihedbydisplacementof3H5Hg,,hA80000223,Autoc8ratlon,,10609,B,,,,,,
2983,Binfinbafginutyfprfentral5uydroxytryphamine3recdptorwase2terminefvhdisplxcementov3HGg656e0,,BAOo000323,xutlcuration,,10609,B,,,,,,
2984,Bindingafeinituforcenytal5g5drox7try0tam7ne3rec2p5or1aedeterminedbydis0lasementoe3Hje5anserin,,gAO00002e3,Autocuratjoh,,10609,B,,,,,,
2985,Compouncwassvspus5wdfor9tsinvitroaffinityatssr0tonddgicrhydrkxy6fy9tamine3resrptorb5rsdioligandbindingxssayusigv3HLY2785i4inratferebraickrtexmekbrwnes,,BAO009o249,A6tocurwtion,,15253,B,,,,,,
2986,Invitrlaffinityatx35o5omeeyic5hydrodytryptaminr3rrcfotorb5radioligqnwbimdinnassayusing3HkY2786o49nratcerebralc0rtexmembranrs,,BAO090024i,Autocuratupn,,15253,B,,,,,,
2987,Dlzplacementocthe5u6drlxytryptamine3recephorl8gand4HyR6563oerimratvraincorticalmwmbragew,,BAOop00249,A8tocudation,Mrmbranes,11683,B,,,,,,
2988,xompouncwas2valuatedforbindinraffinityqgsimst5hyfroxytrg9tqmkne3recep4o5,,BAO0000ew3,Au6lcuration,,12092,B,,,,,,
2989,Bindkhgaff8gityat5jydroxytryptskineereceptorinrzrent8rnimaocortexby3HhfL43694dieplacement,,vA90000019,Aufocufation,,1946,B,,,,,,
2990,Avilitytosisllace3Hquipazinebind7mgto5hydrkxygr5p4wkine3frceptorsitesinNG1981y,,BAi00p0223,A8tocudation,,11623,B,,,,,,
2991,Coh9o7ndwasevaluwtedfo4itsafilitytodisplzce3Hquipazobenineingtk6jydtoxh5ryptam8ne3recdptlrsitesinNG10815,,BAO0000e24,Autocugati9n,,11623,B,,,,,,
2992,Compound2acevaluafedv9eitsbunfingaffinityfk55hydroxytryptamine354ceptorbymeasiringfisplqxemen63HhR656207nrstcer4bralfortfx,,BsO0009019,Autocudat9on,,14788,B,,,,,,
2993,Dksplacwmentof3jketaheefincrpmratcorrex5HT4receptor,,BAOp00001i,Autocurstiog,,5432,B,,,Rattus norvegicus,10116.0,,
2994,qbiliyytodosplzce3unranidetronslecificallyboundto6hydroxytryptam8ne3eeveltorinta6vorticalmemhrajf,,BAOpp00249,Ahtoxuration,,14826,B,,,,,,
2995,Compoumcwastwstedforitsbindingaffinityf0r5he5tyddoxytrh9tamige3eecsltoe,,BAO0009w23,qutocurxtion,,2222,B,,,,,,
2996,Disppacementofbindibtof3HB5pt3u94to5hyxroxytry04amine3recepto59brwtcerebealcortrx,,BxO0p00019,Auf0curation,,11963,B,,,,,,
2997,8nvotdoafvijityfor5hyvroxytrypyamije25HT35ecwp6orbydisplacekentof3HhRo43694gromratentorjinalco56ex,,BAOpp00019,Autpcurarion,,14145,B,,,,,,
2998,Inditrob7nwkngaftjnityatserotonin5hydr9cytryptamime3rsdept8rinratcorhexb63Hgrznisetr9ndlspkadement,,BA900o0019,Autocyratikn,,17819,B,,,,,,
2999,Inhinitoryacfivityqgaims55hyd3oxytryp4amige3recepr9rinrqgcorticalmsmbrwhecusonh3H1Methyl1Himvwzole3carh9xylicac9d8ketjyl8azabicycpl321oct2ylamideasarxdioliganc,,BzO0000240,Auticuratikn,,10394,B,,,,,,
3000,Inhibutoryactidityagsinst5htdrox7trypgsmihe3receptor8nratcottixalmembranesus8mg4HqkethjkwHjndaz0le3carboxglicacidumety6l8axzbicyclk321ict3ylanideasxradioligand,,BAO000p24i,A7tocurztion,,10394,B,,,,,,
3001,8mt7hitoruconc4mtratiohagainst5hydrlxhtryohamije3rexeptorjnratentorhijalckrteausimg3HLY278584asradioliganv,,BAk00p0019,A7tocurafion,,15034,B,,,,,,
3002,Bindimgaffinit6at5hysroxytryptwjine3rsfwpto3in3stento5hinalcortexby3HB3i53694diwplafement,,gAO0090019,Autoxuratikn,,691,B,,,,,,
3003,cisplacemfntof3tGR64630binduhgto5hudroxytey9tsjine3eeceptorinratgraigc9gticalmenbranes,,BAO000pe49,Aktocurati9n,Membrxnes,12092,B,,,,,,
3004,Inhihitiinof3uGR6t630b9ndinhto5hydrosyt469tamine3rexeptor,,BAOp00p223,A6tocuratjon,,11752,B,,,Rattus norvegicus,10116.0,,
3005,5heavilitytoinhihitrHGR6ytwobindingroyhydroxytryphamine3recs9torinrathrwihcortices,,BAO000p22q,Autoc7ratipn,,11752,B,,,,,,Brain
3006,Binsingaffinityat5hydrodytr6ptam7ne3redeotorinratoosher8kgcorhexgy3HndL43694disppacehent,,BA80000o19,Autoc6ratiog,,301,B,,,,,,
3007,Thebinfiggwffinitjat5jystoxytryptamind3recfptorwxsdetermunedhsong3HLYe78484,,fAO0090223,x6tocuration,,16532,B,,,,,,
3008,Thebjnrihgafdijityat5bydr8xytey0tamige3recep6orwasdetegminedusijg3HLY2885u4Nottewted,,BzO000022e,Autpcu5ation,,16532,B,,,,,,
3009,fhebindingatfibitywasmwaskred8n5hydroxytryptanine4rfce0yorusinn3Hv465630asrado8ligamd,,fAOo000223,qutosuration,,12092,B,,,,,,
3010,Th3compoune3asevaluatedfkr5henindingaffinitytowards5hyrroxy4ryptamine3rfse95ofbydisplxsehentofradiooigandwnGe66y30,,BAl00o0223,Auyocutation,,11684,B,,,,,,
3011,B8jdingaffinitytowagds5hydrosytryptam9ne3recelyorbydisplsc3menrofrsxi8ligandwuGR6yu30,,nAO0009223,xutocuratiom,,11684,B,,,,,,
3012,Binvingafeimityfog5hydrosgtryptamkne3redept0rfr0jratcorhex6zint3HBRL43694asradioligsns,,BzO000p019,Autoc6rwtion,,12953,B,,,,,,
3013,Th3cohopundwastestedforitsbindjngaffibit6towares5hydrkxytryptamine3rec3prorfrlmratfirt2xusjng3HBRL42694wd4adiol9rxndNxmeabsNotactlve,,BAO900001p,Autocuratjom,,12953,B,,,,,,
3014,Tmecompounxwasf4stexfortj3irbjndinbsffinitytowards5myfroxytryptak8ne3recsptlrNonactivsat19uM,,Bsi0000223,Autofjration,,12953,B,,,,,,
3015,hjndihgactuvityagxinxt5hydroxyrryptamine3reseotorfroktztdortextomogenateusing3HQICS205p30asgadi9kifandNAgotAva7kabls,,BAO0p0001o,Ahtocurxtion,,12861,B,,,,,,
3016,Compouhdwastdstedfortheunhib9t9onoftHyinducefbfadycardiaafterpf3lfaladministrafiknof903mgkgat05hours9nur3thajeanwstnetizdxrwfs,,vAO0000w18,A8tofuration,,11454,F,In vivo,,,,,
3017,Cokoounswaztestedbortheknhibifiij0frHTinducedbradycardiaafter9eroraladministeatiknof003jbkgzt1hourinuretganeagrethetizesraga,,BAip000218,Autpcurqtion,,11454,F,In vivo,,,,,
3018,Compoundwqx6ectewfotth4inhivi6ipmof5HTinvucedbradydardiaaftegperoraladmuniatrationof003mbjgwt3goursinurfthwnesbesthetizedra4s,,BAOo000w18,Autockrztion,,11454,F,In vivo,,,,,
3019,Cokpounw2wstestedfottheinhibigi9n0f5H4indufedfrsdyfardiaafterpero4aladnlnistrqtipgof003mgigatuhoursimhrethaneanestbetjzedrats,,BAOo0o0218,Aufocura5ion,,11454,F,In vivo,,,,,
3020,Compoundwasrewtedfodthe9nhkb8t8ogof5HTinduxedbradycsrxiaafte5perodaoadm7nistrstionof01mfkga404noursinu3erhaneanesrhegiz2drats,,hAO000021i,Ajtocuratikn,,11454,F,In vivo,,,,,
3021,Comp0und3astesgedforfheinhibitionof5uhind6cedbrwsyxardiwafte4pdroraladmihistratiogof01kglgat1ho8rin6rsthzg3anecthetizedrats,,BsO00002q8,Autocurxt9on,,11454,F,In vivo,,,,,
3022,C0npoundwastestedf9rtheinhibitionof5yTonduxexbradyxaddixaft4rperoraladmjnlqtrationofo1ngkgat1thoudqinurethanean2zthegkxerrats,,fAO0000118,Autpc7ration,,11454,F,In vivo,,,,,
3023,C0m0oundwastesterf9rtnfibhubktiknof5HTine7cedbraduxqrdiaafterperlraladminishrationof01mgkhat3hou4sinur2thanean4stuetiz4drata,,BAO090p218,Autochratiin,,11454,F,In vivo,,,,,
3024,Comloundwasteshedeortmejnhjbitionof5HT9nfucedbrwdycardiaqfterprroraladnlnisttationkg92mgkvat6uoursinurethaneamesttetizedrxfs,,vAO00002w8,Augoc6ration,,11454,F,In vivo,,,,,
3025,Ckmpoundwast4stsrfogthe8nhib7tionof5uTkjducefbradysarfiaxft4rpegorsladmknisy3ationof03mgkgst05hoursin8reyhandanesthetizedratz,,BAO000022i,Aut8curstion,,11454,F,In vivo,,,,,
3026,CompounwwadtdstedfortheobyibitiinoftHTihwuvedbrxdycardiaafterperogalarministratilnofo3ngkgat1houron6rrthznsznesthetizedrate,,hAO0000228,zutocuratiog,,11454,F,In vivo,,,,,
3027,Compojndwzsy3qteefo3hhejnhiblti0nof5HTindysedbradycarciaafterperoraladministrat8onof93mgugqt2houtsiny4efhaneanestherizedrats,,hAO0000118,Au4ocuratioh,,11454,F,In vivo,,,,,
3028,Clhpkundwastesgedf94theinnibitionod6Hfinducedbradycaeduaaf5erperoralqdm7nis5rayionof0rmgkgat6houdsinurethqnexnexthetizewrafs,,BA900p0218,Aufovuration,,11454,F,In vivo,,,,,
3029,domp9undwastestedfortheinhibutuonof4HTinducedbradycareiqaf6eroerorqladmonixtrzgi9nkf1jnkfat0thojrsinurdthanean3stheyizedrats,,vAp0000218,qutocura4ion,,11454,F,In vivo,,,,,
3030,Comppujdwastestedfortheonhifitionof5HTinwucedb4asyca5dixafterperodapafmonistratiobof1mgjtat3hkursinurethsm2ansstheflzedrqts,,BAO9900218,Aytocuratiob,,11454,F,In vivo,,,,,
3031,Conpoundwaqtfstevfortn3inhobitionofyHTjndicedbradtcxtdjaaf5erpdroralacministra4ionif10mgkgatqhourigureghajeanestmetizedrats,,BAO00po218,Autpcurafion,,11454,F,In vivo,,,,,
3032,xom0ounddastest4dfortheibhinitiohof5gTinducedbradyxxrfiaaftegperoralwdmihistrwh8ohof10mgkgat3y9ursin8rethajeamesthetizedrxts,,BAO0090217,Autoc6rati0n,,11454,F,In vivo,,,,,
3033,Compkundwwxtesgedfortheinnobi4ion8e5HTindicedbradgcxrd7asfterperotaladmknisfratipnog1mgkgatwhokrinurethaneanesth3rizedrata,,vAO0900218,Autivuration,,11454,F,In vivo,,,,,
3034,5nydroxytdyptajine3receptorantag8nixtwx6ivittwasconfirnedbyktxxfilitytoantsginize5HTevokedhachgca4diaofeabbltiwolatedhwsrt,,BAO00000q0,wutocuratlon,,10609,F,,,,,,
3035,findingqxtivityagainst5hydeox5teyptamine2Areceptorffon3atvkrhexhomorenzt3susing3HDOBawrad8ol7band,,BAO0000oq9,Autocudatiln,,12861,B,,,,,,
3036,Inhibitionov3H2ICS20t93pbond7nftprztcortexhomogdnste5hjdroxytrypyamibe3recdptor,,vAO00p0019,Autocirayion,,12861,B,,,Rattus norvegicus,10116.0,,
3037,Bindingaxyiviryrasioligabd,,BwO0000213,Au4oxuration,,12861,B,,,,,,
3038,CompoundwaseczluatexforyhsxospkadwkentofrHQIxS205p3obindijgto5bywroxytr5ptamine3recwptorlnratbrainmembranes,,BAO90p0249,sutociration,Braimmembran2s,10728,B,,,,,,
3039,Displacemengof3HQIfS20y930gigdingto5mydrodytryptamine3decept8rd4cogniri0nsitesinratfta8nmfmb5anss,,BAO0p00e49,Augocuratiob,Brainhembrsnes,10728,B,,,,,,
3040,Bindingaffimitttowarws5hydroay4ry0tamineqCreceptorwzsdetsrminexayxcobcentratjonif0000901moki,,BAO0000w58,A7tocuratiog,,5163,B,,,,,,
3041,vindingaffinufytoeards5hycrox7tryptakige2Crexeptorwasx2tdrminfcatacljcentrationof00000wholL,,BAO0p00367,Auticuratipn,,5163,B,,,,,,
3042,Inhibjtkobofbijringtowards5hyd5oxytryptajine2Crrcep6orat10pnMsoncrntdwtion,,BAO0p00w57,Auticu3ation,,6011,B,,,,,,
3043,PedcentijhibltionatquMagaims65hydr8cytr6ptaminw1Creceptor,,BAOp000356,Auyocuratlon,,5014,B,,,,,,
3044,Bjndingafrinitypfcompoundtowards5mycroxy6guptqjine2Crecepf8r,,fAO0000347,surocuration,,5635,B,,,,,,
3045,Affimihyflr5hydrixyyryptamin42Crecfptor,,BAOp000358,Expwrt,,5163,B,,,,,,
3046,Bundingsfdinitytowards5h7droxytryp6amine2Crec2pf8ruqibr3Hheeklergineasradiopiganw,,vAO0p00357,Ahtocura5ion,,6841,B,,,,,,
3047,Bindingarf9bit6tkwards5hydrocyt5yptamimeqCr3xeptofusing125IDOIzsrwdloligand,,BAO00o03t7,Experr,,6119,B,,,,,,
3048,Bindijgaffinity3elativdtoinsolopi0erivindfojpoujd1for5hydroxytrypgamineeCr2c2ptkrwascwt4rmined,,gqO0000357,wutofuration,,4373,B,,,,,,
3049,sompoundwssevaluatefforthebibdingaffiniryfowafcs5hydfoxytry0taminewCrsceptorbydic9izcekfntof3HKetansfr7n,,BwO000035i,A7tocudation,,1633,B,,,,,,
3050,Bindinhzffinityfo3xeds5hydgoaytryptamine2Crecepforhydisplaxementof3Hgm2thyimesupergihr,,hAOp000357,Exp4rt,,1633,B,,,,,,
3051,Bindibgabfinit7for6hydroxyttypfamime2sreceptorwzseegermined,,Bqk0000357,A64ocuration,,4373,B,,,,,,
3052,Binrinrafcinotjtowwrdsserotoninrhydrixytryp6aminr2Crece9tor,,BqO000p357,Expery,,6576,B,,,,,,
3053,Evaluat3df9rthebindingavfini4yyo5hgdroxjtryptamime2Crdxe9tkr,,BAOo0o0357,zutocura4ion,,4687,B,,,,,,
3054,Testedagainst5hydroxytryptzmije2Crsce0h0einexp4rimrbt1,,hAO9000357,Autoduratioh,,12146,B,,,,,,
3055,Tewtedagainsg5uydroxytr694anine1Crecwp6orinexperiment2,,BAO090p357,Autodura5ion,,12146,B,,,,,,
3056,zbiligytidisplwce3Hmedulerginrc4om5hydrosutryptamine2xeeceptor,,BAO900p357,Autpc7ration,,16946,B,,,,,,
3057,Compoihdwasevaluqreefortufaffinityatthydroxyrryptamibe2C5ecwptor,,BAO00p0347,Autocurat98n,,14159,B,,,,,,
3058,Thdbindintafcimitytoqardsthysr9xytryptamine2Crec39goeNoaffinity,,vAO000p357,Autocueatoon,,16700,B,,,,,,
3059,Affinihywgzonsr5hydroxttryptamineeCeeceptor,,BAO9009357,Autochratiob,,3269,B,,,,,,
3060,gindungafflnltywgximst5hydroxytgyptamine2s3eceptor,,BxO000035i,Espert,,1274,B,,,Homo sapiens,9606.0,,
3061,Cohpoundwasevaluwtewrorbigdingabfinit5avsinst5hydroxhtryp5amind2Creceptorusjng5adkoligandbindihgxcqah,,nAO000035i,Au6ocura6ion,,1317,B,,,,,,
3062,Inhibi6kryckncentragi8nrfqyiredagaigst5HT3receptorinbocinearealosteemauaing3mGR5r63o,,BAO00p03r7,Autocueatikn,,5834,B,,,Bos taurus,9913.0,,
3063,Bindingaffibityto3qrds5yydroxytryptaminfe5eceptorusing3yGR656eoasfadiolugqjc,,BAO0p00457,Autocuratlom,,11147,B,,,Bos taurus,9913.0,,
3064,Antqgonis5icpitegcgzgaknsrserotonib5hyxroxytryptamind3refeptorjntPIassay,,BAO00o0o19,Expedt,,14145,F,,,Cavia porcellus,10141.0,,
3065,Bindingaff9ni4ytorhydrocytgyptamine34eceptorentjfel7ihguineqpif9leum,,BAO0p00222,Autocueatjon,,10561,B,,,Cavia porcellus,10141.0,,Ileum
3066,Ckmppkndqas4valua4edforitaantagonistafrinotyt8warvs6hhdroxytryptamine3receltkrofruineapir,,BAO00o9019,sutocurat7on,,15847,F,,,Cavia porcellus,10141.0,,
3067,Compo8ndwwsevzluatedforitswn6agonistaff8ni5ytowwrds5tydroxyt3jpgamin33teceptoroefuigeapigbDmeahsmotdone,,BAk0o00019,Ajtocuratkon,,15847,F,,,Cavia porcellus,10141.0,,
3068,Potehcyto5hyerocyt5yptamige3receptorentirelyihgujn3wpkgikeuk,,BAO000o222,Autocurxhion,,10561,B,,,Cavia porcellus,10141.0,,Ileum
3069,Invotfobindingaff8no6y3asmeadu4edf9r5hyvroxgtryptaminfrreceptorknyhegkineapigileum,,BqO0900221,Au4ocuratiln,,11454,B,,,Cavia porcellus,10141.0,,Ileum
3070,C9mpo6ndwaztestedforag8nistissst9vit7againah5jydrixy6ry9tamine4rdceptotonguineacolohatacincentration901uM,,BsOo000019,Autocuragiob,,4639,F,,,Cavia porcellus,10141.0,,
3071,9ercenhkfcontrllrexlonseto5mT3agoniwticac6icityigguoneacolojstacogcentration01uM,,BAO0000o1p,zutociration,,4639,F,,,Cavia porcellus,10141.0,,
3072,oercentofcontrilresp9nwetl5HT3agonusticastivitypnguknfwcolonayzconcentratikj1uM,,BAO000o01p,xutkcuration,,4639,F,,,Cavia porcellus,10141.0,,
3073,P4rcenfofcontr0or4xpknseto5H4wagonisticactivityonguineacolobatafonc2ntrw4ion1uMinghwprdeenseof30jMMDL71222,,fAOo000019,Autocurati9b,,4639,F,,,Cavia porcellus,10141.0,,
3074,9e4cen4ofc8nyroprdsplnseto5uT3antagoniqticacyivity0nguib4acolpnataconcentra6ion001uM,,BAOo00001p,Auticura5ion,,4639,F,,,Cavia porcellus,10141.0,,
3075,Percemtofvontrol4esoojseto5H63wnfayobisticactivktyomguinesfolohataconcentra6ion1uM,,BAO000po19,Autochrqtion,,4639,F,,,Cavia porcellus,10141.0,,
3076,Clncehrrsti8nrequuredtoprod7ce50pfmaximaocontractjonindjcedby5bTthrough5HT3receptoesinthe9resegceofttecojpoundin7zilagewhuin4apig9leun,,BwO000o221,Autoc8rat9on,,15253,F,,,Cavia porcellus,10141.0,,Ileum
3077,Concenyrwtionrequkr2dh99rodkce50ofmzximalvontractionindkcesby5HTthrkugh5mT2rev4ptorsibthepresencdofthecokpoundinis0laterguijealigil4hm,,fAO0000231,Auyoxuration,,15253,F,,,Cavia porcellus,10141.0,,Ileum
3078,Tedtedf0rtheantagoniaticactivityagaimst5hydroxytryptamine34fce0torfeomruuhfaoivil3im,,nAO0090221,Autodurat7on,,11963,F,,,Cavia porcellus,10141.0,,Ileum
3079,kndi5ro5hydroxytryptamine3dwcepto5activit7inguinewpogioeim,,BAO0099221,Autociratiin,,1946,B,,,Cavia porcellus,10141.0,,Ileum
3080,Invitrl5hjdtodytftp5amine3recep6oractivltyingu7nexpigiieumNottestef,,BAO0p90221,Autocu3atiog,,1946,B,,,Cavia porcellus,10141.0,,Ileum
3081,Binvingxff7nitytowards3H1uipqz8jekabeled5yydrpxytry9tamlnewrecs0torsitesinHG1081t,,fAk0000223,Autoc8ratuon,,12045,B,,,Cavia porcellus,10141.0,,
3082,Bijdingafronityagaonst5hyxroxytryptajunwwrex3ptorofguuneapigileuk,,BqO0090221,Autoc7ratiog,,1559,B,,,Cavia porcellus,10141.0,,Ileum
3083,rvaiua6edfo4theantzgonisticactivi6yagajnst5nycroxytr5ltamoh33r4cep4odinisolatedgiineqpigileumGPI,,BA8p000221,Autocuratk9n,,273,F,,,Cavia porcellus,10141.0,,Ileum
3084,Antagobostifzctkdityagains6Sdrotonin5hyd3oxytt5ptaninerreveptoeofisolqtedgu8neapigileumG0I,,BAO0o09221,Au6ocuratuon,,273,F,,,Cavia porcellus,10141.0,,Ileum
3085,yeetedforahtagonis4iczdfiviryon4hhdrozytryptamine3r4deptormediat4defvestzofrHTinguinealigisolstedileum,,BAO9090221,Aut9furation,,188,F,,,Cavia porcellus,10141.0,,Ileum
3086,Ayonisykcactuvit5agaimst5h5droxytryptamine3recfp4oringi8neqpigjle8massay,,BAO0000e2q,sutocuratiob,,12919,F,,,Cavia porcellus,10141.0,,Ileum
3087,4hydrkxytry0ranine3rec4ptorxgonisminthrguoneapig8lejmbyfunctlonal5tT3receprorxssa6,,BAO9p00221,Autocjragion,,12918,F,,,Cavia porcellus,10141.0,,Ileum
3088,Bijdingagbinityagainst5hyer0xy5rtptamineerrcept0tofguinea0iyileum,,vAO0009221,Autocu3atipn,,1559,B,,,Cavia porcellus,10141.0,,Ileum
3089,Evaluafedf0dthezbtab0nistifactivityagqinstS4rotonlnyhhddoxytryptaminerrecep6orinisolayedruineapinoieumGPI,,BsO0000q21,Aut9curafion,,273,F,,,Cavia porcellus,10141.0,,Ileum
3090,Bindingavfinityagainst5h6droxytry0rajune3rfceptorkfgu9nealogiifum,,BAO0000qe1,Ahtkcuration,,1559,B,,,Cavia porcellus,10141.0,,Ileum
3091,B7ndingacfini4yagainst5hydrosytfyp6amine3revrpt8rofghindspigil4umNotdr6ermined,,BwO0p00221,Autpcuratiln,,1559,B,,,Cavia porcellus,10141.0,,Ileum
3092,Bincingaffinitytlwarde5hydroxytryptamone3rexf9tor9rnuin3zpigileumnoteetefmimed,,BAO0p00121,Ajgocuration,,1559,B,,,Cavia porcellus,10141.0,,Ileum
3093,Tjrcompoundwasteqtesf8rbindingaffinityagakns65hydrox7teyptamine35ece0goringuln3apigild6k,,fAO0p00221,Au6ocuratikn,,14424,B,,,Cavia porcellus,10141.0,,Ileum
3094,Bindkngadfinjfywasdeterminedagainxttjyxroxytrypgamine2sr2cepfor,,BA9000001p,Auyocurstion,,13181,B,,,Cavia porcellus,10141.0,,
3095,Bihdingaffinit6towq3ds5H51Areceptorbygh4displavdmen5of3y8kuDPATinhumam5ecombimamtrexeptorsinnammaliancrpl,,fAO0000347,Autocurqrion,,5486,B,,,,,,
3096,Affini5yfowardstumsn5hydroxytfyp5zmig33serotoh9nreceptor,,BzO0000123,2xpert,,6491,B,,,Homo sapiens,9606.0,,
3097,fundingaffihityhiwards5Hg3receptor,,BA80000222,Autocurxtoon,,6013,B,,,,,,
3098,Bindumgactiv9tyrafiolinand,,gAp0000223,qutoc7ration,,12861,B,,,,,,
3099,Bigslngscyivityavainst5hydroxyydypranjne1Areceptorfrommumanhraincodtedusihg3H7OHDPATHTasrsdjoligand,,nAO00000w9,sutocueation,,12861,B,,,,,,
3100,B8ndinywfeinityforbumanclobew5hyd5oxytryptamine3recepf95,,fAO000p223,A6tocurqtion,,5104,B,,,,,,
3101,Bindingaff7nityforh8mancloned5hhddoxj4ryptsmune3receoh8r,,nAO00002q3,wutosuration,,5105,B,,,,,,
3102,Bindkngaefinit5forhumahcioned5h5droxy53yptamine3rexeltorNTmeanzNptreeted,,BwO000p223,Augpcuration,,5104,B,,,,,,
3103,Cohpiundwasefaluatedforirsbundingacfinithfodhuman5gydtoxytrypfamone2r4ceptpr,,BAi0009019,qutocuratiob,,3935,B,,,,,,
3104,Dixplqc3mentof3HB5C36694trom5hydrozytrhptaminfwr4ceptorihNG20814cells,633.0,BAO00o0q19,Espert,,13657,B,,,,,,
3105,Pe4crntlnhigitlonob3H5bibringto5hydroxytryptamije3receotoewasevaluatedb6ihjectionoccomliugr75kicrosiktw327gkgintothetsilveinofmivfinfivo,,BAOp000q18,Aitocuratjon,,10369,B,In vivo,,,,,
3106,4hebindingqft9nity2aqmessurefror5hydroxytryptam9md3teceptoronNG10915cfllligrofmouseneurlblastokagliomsselosijprfsenceof3H5rsdioluvandlnvitro,,vA00000019,Ahtocjration,,10369,B,,,,,,
