ss_tst_tp,vrnt_d,ss_tp,src_ss_d,crtd_b,cnfdnc_scr,ss_ctgr,td,chmbl_d,tss_d,ss_d,ss_rgnsm,ss_cll_tp,ss_tx_d,rltnshp_tp,ss_tss,src_d,cll_d,dscrptn,ss_sbclllr_frctn,b_frmt,dc_d,ss_strn
,,A,,Intermediate,1,,50597,CHEMBL622378,2048.0,9189,Rattus norvegicus,,10116.0,N,Lung,1,,Radioactivity distribution in lung of normal fischer rat after injection of anti-[18F]FMACBC after 30 min.,,BAO_0000218,16435,
,,A,,Intermediate,1,,50597,CHEMBL622379,2048.0,9190,Rattus norvegicus,,10116.0,N,Lung,1,,Radioactivity distribution in lung of normal fischer rat after injection of anti-[18F]FMACBC after 5 min.,,BAO_0000218,16435,
,,A,,Intermediate,1,,50597,CHEMBL622380,2048.0,9191,Rattus norvegicus,,10116.0,N,Lung,1,,Radioactivity distribution in lung of normal fischer rat after injection of anti-[18F]FMACBC after 60 min.,,BAO_0000218,16435,
,,A,,Intermediate,1,,50597,CHEMBL622381,2048.0,9192,Rattus norvegicus,,10116.0,N,Lung,1,,Radioactivity distribution in lung of normal fischer rat after injection of syn-[18F]-FMACBC after 120 min.,,BAO_0000218,16435,
,,A,,Intermediate,1,,50597,CHEMBL622382,2048.0,9193,Rattus norvegicus,,10116.0,N,Lung,1,,Radioactivity distribution in lung of normal fischer rat after injection of syn-[18F]-FMACBC after 60 min.,,BAO_0000218,16435,
,,A,,Intermediate,1,,50597,CHEMBL622383,2048.0,9194,Rattus norvegicus,,10116.0,N,Lung,1,,Radioactivity distribution in lung of tumor-bearing fischer rat after injection of [18F]-fluoro-2-methylpropanoic acid after 120 min,,BAO_0000218,16434,
,,A,,Intermediate,1,,50597,CHEMBL875332,945.0,9195,Rattus norvegicus,,10116.0,N,Stomach,1,,pH of the gastric juice (Control value = 1.44+/-0.01) of stomach content of pylorus ligated rats was measured ( 5 mg/kg po of the Compound was administered 1 hr before the pylorus ligation),,BAO_0000218,6175,
,,A,,Intermediate,1,,50597,CHEMBL622384,945.0,9196,Rattus norvegicus,,10116.0,N,Stomach,1,,pH of the gastric juice (Control value = 1.44+/-0.01) of stomach content of pylorus ligated rats was measured (10 mg/kg po of the Compound was administered 1 hr before the pylorus ligation),,BAO_0000218,6175,
,,A,,Intermediate,1,,50597,CHEMBL622385,945.0,9197,Rattus norvegicus,,10116.0,N,Stomach,1,,pH of the gastric juice (control value = 1.39+/-0.02) of stomach content of pylorus ligated rats was measured (2.5 mg/kg po of the Compound was administered 1 hr before the pylorus ligation),,BAO_0000218,6175,
,,A,,Intermediate,1,,50597,CHEMBL622386,945.0,9198,Rattus norvegicus,,10116.0,N,Stomach,1,,pH of the gastric juice (control value = 1.39+/-0.02) of stomach content of pylorus ligated rats was measured (5 mg/kg po of the Compound was administered 1 hr before the pylorus ligation),,BAO_0000218,6175,
,,A,,Intermediate,1,,50597,CHEMBL622387,,9199,Rattus norvegicus,,10116.0,N,,1,,The compound was tested for the plasma binding in rat,,BAO_0000218,10839,
,,A,,Intermediate,1,,50597,CHEMBL622388,,9200,Rattus norvegicus,,10116.0,N,,1,,"Plasma concentration after intravenous aministration at 1hr, (1 mg/kg, n=3)",,BAO_0000218,16459,
,,A,,Intermediate,1,,50597,CHEMBL622389,,9201,Rattus norvegicus,,10116.0,N,,1,,"Plasma concentration after intravenous aministration at 30 min. (1 mg/kg, n=3)",,BAO_0000218,16459,
,,A,,Intermediate,1,,50597,CHEMBL622390,,9202,Rattus norvegicus,,10116.0,N,,1,,"Plasma concentration after intravenous aministration at 60 min. (1 mg/kg, n=3)",,BAO_0000218,16459,
,,A,,Intermediate,1,,50597,CHEMBL622391,,9203,Rattus norvegicus,,10116.0,N,,1,,Plasma concentration after oral aministration at 1 hr. (10 mg/kg),,BAO_0000218,16459,
,,A,,Intermediate,1,,50597,CHEMBL622392,,9204,Rattus norvegicus,,10116.0,N,,1,,Plasma concentration after oral aministration at 2 hr. (10 mg/kg),,BAO_0000218,16459,
,,A,,Intermediate,1,,50597,CHEMBL622393,,9205,Rattus norvegicus,,10116.0,N,,1,,Plasma concentration after oral aministration at 4 hr. (10 mg/kg),,BAO_0000218,16459,
,,A,,Intermediate,1,,50597,CHEMBL622394,,9206,Rattus norvegicus,,10116.0,N,,1,,Plasma level at 2 hr after administration of the compound,,BAO_0000218,3278,
,,A,,Intermediate,1,,50597,CHEMBL622395,,9207,Rattus norvegicus,,10116.0,N,,1,,plasma level at 2 hr after administration of the compound,,BAO_0000218,3278,
,,A,,Intermediate,1,,50597,CHEMBL622396,1977.0,9208,Rattus norvegicus,,10116.0,N,Serum,1,,Stability in rat serum measured as % recovery at 1 min,,BAO_0000218,4684,
,,A,,Intermediate,1,,50597,CHEMBL624894,1977.0,9209,Rattus norvegicus,,10116.0,N,Serum,1,,Stability in rat serum measured as % recovery at 10 min,,BAO_0000218,4684,
,,A,,Intermediate,1,,50597,CHEMBL624895,1977.0,9210,Rattus norvegicus,,10116.0,N,Serum,1,,Stability in rat serum measured as % recovery at 10 mins,,BAO_0000218,4684,
,,A,,Intermediate,1,,50597,CHEMBL624058,1977.0,9211,Rattus norvegicus,,10116.0,N,Serum,1,,Stability in rat serum measured as % recovery at 2 hr,,BAO_0000218,4684,
,,A,,Intermediate,1,,50597,CHEMBL624059,1977.0,9212,Rattus norvegicus,,10116.0,N,Serum,1,,Stability in rat serum measured as % recovery at 3 min,,BAO_0000218,4684,
,,A,,Intermediate,1,,50597,CHEMBL624060,1977.0,9213,Rattus norvegicus,,10116.0,N,Serum,1,,Stability in rat serum measured as % recovery at 3 mins,,BAO_0000218,4684,
,,A,,Intermediate,1,,50597,CHEMBL624061,1977.0,9214,Rattus norvegicus,,10116.0,N,Serum,1,,Stability in rat serum measured as % recovery at 5 min,,BAO_0000218,4684,
,,A,,Intermediate,1,,50597,CHEMBL624062,1977.0,9215,Rattus norvegicus,,10116.0,N,Serum,1,,Stability in rat serum measured as % recovery at 5 mins,,BAO_0000218,4684,
In vivo,,A,,Intermediate,1,,50597,CHEMBL624063,,9216,Rattus norvegicus,,10116.0,N,,1,,Alpha-elimination half-life in Male Sprague-Dawley rats after intravenous administration at a dose of 10 mg/kg,,BAO_0000218,16456,
In vivo,,A,,Intermediate,1,,50597,CHEMBL624064,,9217,Rattus norvegicus,,10116.0,N,,1,,Beta-elimination half-life in Male Sprague-Dawley rats after intravenous administration at a dose of 10 mg/kg,,BAO_0000218,16456,
,,A,,Intermediate,1,,50597,CHEMBL624065,1969.0,9218,Rattus norvegicus,,10116.0,N,Plasma,1,,Half life in plasma was determined against ovariectomized rats; t 1/2 (h) is short in plasma,,BAO_0000218,723,
,,A,,Intermediate,1,,50597,CHEMBL624066,1969.0,9219,Rattus norvegicus,,10116.0,N,Plasma,1,,Half life in plasma was determined against ovariectomized rats; t1/2 is longer in plasma.,,BAO_0000218,723,
In vivo,,A,,Intermediate,1,,50597,CHEMBL877490,,9220,Rattus norvegicus,,10116.0,N,,1,,Half life tested in mature male rat at a dose of 30 mg/kg,,BAO_0000218,5160,
In vivo,,A,,Intermediate,1,,50597,CHEMBL874442,,9221,Rattus norvegicus,,10116.0,N,,1,,Half life after intravenous administration of 1 mg/kg in rat,,BAO_0000218,4709,
In vivo,,A,,Intermediate,1,,50597,CHEMBL626890,,9222,Rattus norvegicus,,10116.0,N,,1,,Half life period after administration (30 mg/kg) in rat,,BAO_0000218,5633,
In vivo,,A,,Intermediate,1,,50597,CHEMBL626891,,9223,Rattus norvegicus,,10116.0,N,,1,,Half life period in rat after 5 mg/Kg dose,,BAO_0000218,5302,
In vivo,,A,,Intermediate,1,,50597,CHEMBL626892,,9224,Rattus norvegicus,,10116.0,N,,1,,Half life period in rat after 5 mg/kg dose,,BAO_0000218,5302,
,,A,,Intermediate,1,,50597,CHEMBL626893,,9225,Rattus norvegicus,,10116.0,N,,1,,Half life period was determined,,BAO_0000218,17791,
,,A,,Intermediate,1,,50597,CHEMBL626894,,9226,Rattus norvegicus,,10116.0,N,,1,,Half life period was evaluated in rat,,BAO_0000218,17791,
,,A,,Intermediate,1,,50597,CHEMBL626895,,9227,Rattus norvegicus,,10116.0,N,,1,,Half life period was evaluated in rat; 0.5-1.0,,BAO_0000218,17791,
,,A,,Intermediate,1,,50597,CHEMBL626896,,9228,Rattus norvegicus,,10116.0,N,,1,,Half life period was evaluated in rat; 5.9-7.5,,BAO_0000218,17791,
,,A,,Intermediate,1,,50597,CHEMBL626897,1969.0,9229,Rattus norvegicus,,10116.0,N,Plasma,1,,Half-life in rat plasma,,BAO_0000218,14512,
,,A,,Intermediate,1,,50597,CHEMBL626898,,9230,Rattus norvegicus,,10116.0,N,,1,,Half-life time in rat was determined,,BAO_0000218,6230,
In vivo,,A,,Intermediate,1,,50597,CHEMBL626899,,9231,Rattus norvegicus,,10116.0,N,,1,,Terminal half-life after iv administration to rats,,BAO_0000218,3364,
In vivo,,A,,Intermediate,1,,50597,CHEMBL626900,,9232,Rattus norvegicus,,10116.0,N,,1,,Tested for iv terminal half-life dosed as a solution in male Han Wistar rats,,BAO_0000218,6874,
,,A,,Intermediate,1,,50597,CHEMBL626901,,9233,Rattus norvegicus,,10116.0,N,,1,,Time required to return to 50% inhibition of pressor response after AI-challenge in normotensive rats at 0.5 umol/kg,,BAO_0000218,857,
In vivo,,A,,Intermediate,1,,50597,CHEMBL626902,,9234,Rattus norvegicus,,10116.0,N,,1,,Time required to return to 50% inhibition of pressor response after AI-challenge in normotensive rats at 0.5 umol/kg (iv),,BAO_0000218,858,
In vivo,,A,,Intermediate,1,,50597,CHEMBL626903,,9235,Rattus norvegicus,,10116.0,N,,1,,Time required to return to 50% inhibition of pressor response after AI-challenge in normotensive rats at 5 umol/kg (iv),,BAO_0000218,858,
In vivo,,A,,Intermediate,1,,50597,CHEMBL874443,,9236,Rattus norvegicus,,10116.0,N,,1,,Time for peak concentration (tmax) at a dose of 10 mg/kg in rats,,BAO_0000218,5355,
In vivo,,A,,Intermediate,1,,50597,CHEMBL626904,,9237,Rattus norvegicus,,10116.0,N,,1,,Time for peak concentration (tmax) at a dose of 20 mg/kg in rats,,BAO_0000218,5355,
,,A,,Intermediate,1,,50597,CHEMBL626905,,9238,Rattus norvegicus,,10116.0,N,,1,,Half life in rats,,BAO_0000218,6305,
In vivo,,A,,Intermediate,1,,50597,CHEMBL873830,1969.0,9239,Rattus norvegicus,,10116.0,N,Plasma,1,,Apparent Half life was determined from the linear portion of the log plasma concentration-time profile after oral administration of compound 18 at a dose of 4 mg/kg to rat,,BAO_0000218,13501,
In vivo,,A,,Intermediate,1,,50597,CHEMBL626906,,9240,Rattus norvegicus,,10116.0,N,,1,,Apparent half-life after single intravenous bolus of 1 mg/kg in rats,,BAO_0000218,17594,
In vivo,,A,,Intermediate,1,,50597,CHEMBL631076,1969.0,9241,Rattus norvegicus,,10116.0,N,Plasma,1,,Apparent terminal elimination half-life in rat plasma after administration of 3.5 mg/kg dose through subcutaneous route,,BAO_0000218,4186,
,,A,,Intermediate,1,,50597,CHEMBL631077,1969.0,9242,Rattus norvegicus,,10116.0,N,Plasma,1,,Biological half-life was measured in plasma of rats,,BAO_0000218,2932,
In vivo,,A,,Intermediate,1,,50597,CHEMBL631078,,9243,Rattus norvegicus,,10116.0,N,,1,,Circulatory half life measured after intravenous bolus administration of 50 mg/kg of compound to rats,,BAO_0000218,17065,
In vivo,,A,,Intermediate,1,,50597,CHEMBL631079,,9244,Rattus norvegicus,,10116.0,N,,1,,Compound demonstarted an oral bioavailability of 6% with the half-life time as given in rats.,,BAO_0000218,15765,
In vivo,,A,,Intermediate,1,,50597,CHEMBL631080,,9245,Rattus norvegicus,,10116.0,N,,1,,Compound was evaluated for half life (t1/2) upon intravenous administration of 1 mg/Kg in rats,,BAO_0000218,2713,
In vivo,,A,,Intermediate,1,,50597,CHEMBL631081,,9246,Rattus norvegicus,,10116.0,N,,1,,Compound was evaluated for half life after treatment with iv dose of 1 mgkg to female wistar rats,,BAO_0000218,2661,
In vivo,,A,,Intermediate,1,,50597,CHEMBL631239,,9247,Rattus norvegicus,,10116.0,N,,1,,Compound was evaluated for half life after treatment with iv dose of 1 mgkg to male wistar rats,,BAO_0000218,2661,
,,A,,Intermediate,1,,50597,CHEMBL631240,1969.0,9248,Rattus norvegicus,,10116.0,N,Plasma,1,,Compound was evaluated for plasma half life in rat,,BAO_0000218,740,
,,A,,Intermediate,1,,50597,CHEMBL631241,1969.0,9249,Rattus norvegicus,,10116.0,N,Plasma,1,,AUC value at a dose of 5 mg/kg (p.o.) in rats,,BAO_0000218,6597,
,,A,,Intermediate,1,,50597,CHEMBL631242,1969.0,9250,Rattus norvegicus,,10116.0,N,Plasma,1,,AUC value after administration of 20 mg/Kg oral dose in rat,,BAO_0000218,2959,
,,A,,Intermediate,1,,50597,CHEMBL631243,1969.0,9251,Rattus norvegicus,,10116.0,N,Plasma,1,,AUC0-24 after repeated oral dose of compound at 1 mg/kg in rats,,BAO_0000218,17594,
,,A,,Intermediate,1,,50597,CHEMBL874444,1969.0,9252,Rattus norvegicus,,10116.0,N,Plasma,1,,AUC0-96 after administration at 50 mg/kg,,BAO_0000218,17596,
,,A,,Intermediate,1,,50597,CHEMBL631244,1969.0,9253,Rattus norvegicus,,10116.0,N,Plasma,1,,AUC0-infinity after single intravenous bolus of 1 mg/kg in rats,,BAO_0000218,17594,
,,A,,Intermediate,1,,50597,CHEMBL631245,,9254,Rattus norvegicus,,10116.0,N,,1,,"Absorption behavior was judged by the area under the curve, determined after oral dose of 30 mg/kg in rats.",,BAO_0000218,3293,
,,A,,Intermediate,1,,50597,CHEMBL627162,,9255,Rattus norvegicus,,10116.0,N,,1,,Area under curve (0-24 hr) at a dose of 10 mg/kg in male SD rats,,BAO_0000218,6757,
,,A,,Intermediate,1,,50597,CHEMBL627163,,9256,Rattus norvegicus,,10116.0,N,,1,,Area under curve (0-24 hr) at a dose of 100 mg/kg in male SD rats,,BAO_0000218,6757,
,,A,,Intermediate,1,,50597,CHEMBL627164,,9257,Rattus norvegicus,,10116.0,N,,1,,Area under curve (0-24 hr) at a dose of 50 mg/kg in male SD rats,,BAO_0000218,6757,
,,A,,Intermediate,1,,50597,CHEMBL627165,2113.0,9258,Rattus norvegicus,,10116.0,N,Kidney,1,,Area under curve (AUC) at a dose 1 mg/kg was determined in rat kidney,,BAO_0000218,5979,
,,A,,Intermediate,1,,50597,CHEMBL627166,,9259,Rattus norvegicus,,10116.0,N,,1,,Area under curve (AUC) at a dose 1 mg/kg was determined in rat liver,,BAO_0000218,5979,
,,A,,Intermediate,1,,50597,CHEMBL627167,,9260,Rattus norvegicus,,10116.0,N,,1,,Area under curve (AUC) at a dose 1 mg/kg was determined in rat lung,,BAO_0000218,5979,
,,A,,Intermediate,1,,50597,CHEMBL627822,,9261,Rattus norvegicus,,10116.0,N,,1,,Area under curve (AUC) at a dose of 30 mg/kg in rats,,BAO_0000218,4026,
,,A,,Intermediate,1,,50597,CHEMBL627823,,9262,Rattus norvegicus,,10116.0,N,,1,,Area under curve (AUC) was calculated using trapezoidal rule at a dose of 20 mg/kg in rats,,BAO_0000218,5355,
,,A,,Intermediate,1,,50597,CHEMBL627824,,9263,Rattus norvegicus,,10116.0,N,,1,,Area under curve (AUC) was calculated using trapezoidal rule. at a dose of 10 mg/kg in rats,,BAO_0000218,5355,
,,A,,Intermediate,1,,50597,CHEMBL627825,,9264,Rattus norvegicus,,10116.0,N,,1,,Area under curve (AUC) was calculated using trapezoidal rule at a dose of 20 mg/kg in rats,,BAO_0000218,5355,
,,A,,Intermediate,1,,50597,CHEMBL627826,,9265,Rattus norvegicus,,10116.0,N,,1,,Area under curve (AUC0-24 h) after administration (30 mg/kg) in rat,,BAO_0000218,5633,
,,A,,Intermediate,1,,50597,CHEMBL627827,,9266,Rattus norvegicus,,10116.0,N,,1,,Area under curve (Pharmacokinetic property) was determined,,BAO_0000218,1716,
,,A,,Intermediate,1,,50597,CHEMBL627828,,9267,Rattus norvegicus,,10116.0,N,,1,,Area under curve (Pharmacokinetic property) of the compound; Not determined,,BAO_0000218,1716,
,,A,,Intermediate,1,,50597,CHEMBL627829,,9268,Rattus norvegicus,,10116.0,N,,1,,Area under curve after intravenous administration (1 mg/kg) in rat,,BAO_0000218,4689,
,,A,,Intermediate,1,,50597,CHEMBL627830,,9269,Rattus norvegicus,,10116.0,N,,1,,Area under curve by intravenous administration at a dose of 10 uM/kg in rat was determined,,BAO_0000218,4527,
,,A,,Intermediate,1,,50597,CHEMBL627831,,9270,Rattus norvegicus,,10116.0,N,,1,,Area under curve by oral administration at a dose of 100 uM/kg in rat was determined,,BAO_0000218,4527,
,,A,,Intermediate,1,,50597,CHEMBL627832,,9271,Rattus norvegicus,,10116.0,N,,1,,Area under curve in male SD rats was observed after oral administration in rat,,BAO_0000218,15662,
,,A,,Intermediate,1,,50597,CHEMBL627833,,9272,Rattus norvegicus,,10116.0,N,,1,,Area under curve of compound after iv administration of 20 mg/kg dose in rat,,BAO_0000218,4413,
,,A,,Expert,1,,50597,CHEMBL627834,,9273,Rattus norvegicus,,10116.0,N,,1,,Area under curve of compound determined in rat after iv administration at a dose of 10 mg/kg,,BAO_0000218,3598,
,,A,,Expert,1,,50597,CHEMBL628004,,9274,Rattus norvegicus,,10116.0,N,,1,,Area under curve of compound from zero time to infinity determined in rat after iv administration at a dose of 10 mg/kg,,BAO_0000218,3598,
,,A,,Intermediate,1,,50597,CHEMBL628005,,9275,Rattus norvegicus,,10116.0,N,,1,,Area under curve at 5 mg/kg po was determined in rat,,BAO_0000218,5964,
,,A,,Intermediate,1,,50597,CHEMBL628006,,9276,Rattus norvegicus,,10116.0,N,,1,,Area under curve in Rat at a oral dose of 5 mg/kg,,BAO_0000218,4689,
,,A,,Intermediate,1,,50597,CHEMBL628007,,9277,Rattus norvegicus,,10116.0,N,,1,,Area under curve in rat plasma after administration of 3.5 mg/kg dose through subcutaneous route,,BAO_0000218,4186,
,,A,,Intermediate,1,,50597,CHEMBL625676,,9278,Rattus norvegicus,,10116.0,N,,1,,Area under curve was determined,,BAO_0000218,5510,
,,A,,Intermediate,1,,50597,CHEMBL631309,,9279,Rattus norvegicus,,10116.0,N,,1,,Area under curve after 10 mg/kg oral administration in rat at 0-24 hr,,BAO_0000218,17858,
,,A,,Intermediate,1,,50597,CHEMBL631310,,9280,Rattus norvegicus,,10116.0,N,,1,,Area under curve after intravenous administration at 3 mg/kg,,BAO_0000218,17804,
,,A,,Intermediate,1,,50597,CHEMBL631311,,9281,Rattus norvegicus,,10116.0,N,,1,,Area under curve after peroral administration at 10 mg/kg in rat for 0-6 h,,BAO_0000218,6106,
,,A,,Intermediate,1,,50597,CHEMBL631312,,9282,Rattus norvegicus,,10116.0,N,,1,,Area under curve at 4 hr in rat,,BAO_0000218,5964,
,,A,,Intermediate,1,,50597,CHEMBL631313,,9283,Rattus norvegicus,,10116.0,N,,1,,Area under curve at a dose of 30 mg/kg,,BAO_0000218,4026,
,,A,,Intermediate,1,,50597,CHEMBL631314,,9284,Rattus norvegicus,,10116.0,N,,1,,Area under curve at the dose of 2 mg/Kg administered perorally in rats,,BAO_0000218,4756,
,,A,,Intermediate,1,,50597,CHEMBL631315,,9285,Rattus norvegicus,,10116.0,N,,1,,Area under curve at the dose of 5 mg/Kg administered perorally in rats,,BAO_0000218,4756,
,,A,,Intermediate,1,,50597,CHEMBL631316,,9286,Rattus norvegicus,,10116.0,N,,1,,Area under curve for a 2-mpk po dose in SD rats,,BAO_0000218,5862,
,,A,,Intermediate,1,,50597,CHEMBL631317,,9287,Rattus norvegicus,,10116.0,N,,1,,Area under curve in SD rats,,BAO_0000218,5862,
,,A,,Intermediate,1,,50597,CHEMBL874471,,9288,Rattus norvegicus,,10116.0,N,,1,,Area under curve in rat after oral administration at 13 mg/kg dose,,BAO_0000218,6644,
,,A,,Intermediate,1,,50597,CHEMBL631318,,9289,Rattus norvegicus,,10116.0,N,,1,,Area under curve in rat by po administration at 0-24 hr,,BAO_0000218,5871,
,,A,,Intermediate,1,,50597,CHEMBL631319,1969.0,9290,Rattus norvegicus,,10116.0,N,Plasma,1,,Area under curve in rat plasma,,BAO_0000218,5919,
,,A,,Intermediate,1,,50597,CHEMBL631320,,9291,Rattus norvegicus,,10116.0,N,,1,,Area under curve in rat plasma for 0-4 hr after peroral administration at 10 mg/kg,,BAO_0000218,5939,
,,A,,Intermediate,1,,50597,CHEMBL631321,,9292,Rattus norvegicus,,10116.0,N,,1,,Area under curve in rat plasma for 0-4 hr after peroral administration at 5 mg/kg,,BAO_0000218,5939,
,,A,,Intermediate,1,,50597,CHEMBL631322,,9293,Rattus norvegicus,,10116.0,N,,1,,Area under curve was evaluated in rat at 3 mg/kg dose administered intravenously,,BAO_0000218,10,
,,A,,Intermediate,1,,50597,CHEMBL631323,,9294,Rattus norvegicus,,10116.0,N,,1,,Area under curve was measured from the graph obtained from concentration Vs time after oral administration to male F344 rats,,BAO_0000218,11149,
,,A,,Intermediate,1,,50597,CHEMBL631324,,9295,Rattus norvegicus,,10116.0,N,,1,,Area under curve value in rat at a dose of 5 mg/kg,,BAO_0000218,5302,
,,A,,Intermediate,1,,50597,CHEMBL631325,,9296,Rattus norvegicus,,10116.0,N,,1,,Area under curve was determined after oral administration in rats,,BAO_0000218,17796,
,,A,,Intermediate,1,,50597,CHEMBL631326,,9297,Rattus norvegicus,,10116.0,N,,1,,Area under curve was determined after oral administration at a dose 10 mg/kg to male Sprague-Dawley rats,,BAO_0000218,4890,
,,A,,Intermediate,1,,50597,CHEMBL631327,,9298,Rattus norvegicus,,10116.0,N,,1,,Area under curve was determined after peroral administration in rat,,BAO_0000218,6011,
,,A,,Intermediate,1,,50597,CHEMBL631328,,9299,Rattus norvegicus,,10116.0,N,,1,,Area under curve was determined at a dose 30 mpk administered orally.,,BAO_0000218,5375,
,,A,,Intermediate,1,,50597,CHEMBL631329,,9300,Rattus norvegicus,,10116.0,N,,1,,Area under curve was determined for compound after intravenous administration in rats at 24 uM/kg,,BAO_0000218,17764,
,,A,,Intermediate,1,,50597,CHEMBL627217,,9301,Rattus norvegicus,,10116.0,N,,1,,Area under curve was determined for the compound by intravenous administration of 3.4 mg/kg in rat,,BAO_0000218,4368,
,,A,,Intermediate,1,,50597,CHEMBL626352,,9302,Rattus norvegicus,,10116.0,N,,1,,Area under curve was determined in male rat,,BAO_0000218,5610,
,,A,,Intermediate,1,,50597,CHEMBL626353,,9303,Rattus norvegicus,,10116.0,N,,1,,Area under curve was determined in rat after PO administration,,BAO_0000218,5833,
,,A,,Intermediate,1,,50597,CHEMBL626354,,9304,Rattus norvegicus,,10116.0,N,,1,,Area under curve was determined in rat after a 3 mg/kg of oral dose,,BAO_0000218,4257,
,,A,,Intermediate,1,,50597,CHEMBL626355,,9305,Rattus norvegicus,,10116.0,N,,1,,Area under curve was determined in rat after oral administration at a concentration 1 mg/kg,,BAO_0000218,5937,
,,A,,Intermediate,1,,50597,CHEMBL626356,,9306,Rattus norvegicus,,10116.0,N,,1,,Area under curve was determined in rat after oral administration at a concentration 30 mg/kg,,BAO_0000218,5932,
,,A,,Intermediate,1,,50597,CHEMBL626357,,9307,Rattus norvegicus,,10116.0,N,,1,,Area under curve was determined in rat after oral administration at a concentration 30 mg/kg; NA= Not active,,BAO_0000218,5932,
,,A,,Intermediate,1,,50597,CHEMBL626358,,9308,Rattus norvegicus,,10116.0,N,,1,,Liver concentration was determined after 5 min. of intravenous administration to rats (n=4) at dose of 20 mg/kg,,BAO_0000218,17411,
,,A,,Intermediate,1,,50597,CHEMBL626359,,9309,Rattus norvegicus,,10116.0,N,,1,,Lung concentration was determined after 5 min. of intravenous administration to rats (n=4) at dose of 20 mg/kg,,BAO_0000218,17411,
,,A,,Intermediate,1,,50597,CHEMBL626360,1969.0,9310,Rattus norvegicus,,10116.0,N,Plasma,1,,Peak plasma concentration in rat at a dose of 3 mg/kg,,BAO_0000218,17771,
,,A,,Intermediate,1,,50597,CHEMBL626361,,9311,Rattus norvegicus,,10116.0,N,,1,,Plasma concentration at 2 hr in rats was evaluated.,,BAO_0000218,1628,
,,A,,Intermediate,1,,50597,CHEMBL626362,,9312,Rattus norvegicus,,10116.0,N,,1,,Plasma concentration at 2 hr in rats was evaluated; Not available,,BAO_0000218,1628,
,,A,,Intermediate,1,,50597,CHEMBL626363,,9313,Rattus norvegicus,,10116.0,N,,1,,Serum concentration was determined after 5 min. of intravenous administration to rats (n=4) at dose of 20 mg/kg,,BAO_0000218,17411,
,,A,,Intermediate,1,,50597,CHEMBL626970,,9314,Rattus norvegicus,,10116.0,N,,1,,Tested for concentration in brain after 0.25 hrs of intravenous administration (5 mg/kg) to male rats,,BAO_0000218,4910,
,,A,,Intermediate,1,,50597,CHEMBL626971,,9315,Rattus norvegicus,,10116.0,N,,1,,Tested for concentration in brain after 2 hrs of intravenous administration (5 mg/kg) to male rats,,BAO_0000218,4910,
,,A,,Intermediate,1,,50597,CHEMBL626972,1969.0,9316,Rattus norvegicus,,10116.0,N,Plasma,1,,Tested for plasma concentration after 0.25 hrs of intravenous administration (5 mg/kg) to male rats,,BAO_0000218,4910,
,,A,,Intermediate,1,,50597,CHEMBL626973,1969.0,9317,Rattus norvegicus,,10116.0,N,Plasma,1,,Tested for plasma concentration after 2 hrs of intravenous administration (5 mg/kg) to male rats,,BAO_0000218,4910,
,,A,,Intermediate,1,,50597,CHEMBL626974,1969.0,9318,Rattus norvegicus,,10116.0,N,Plasma,1,,Tested for plasma concentration in the after 0.25 hrs of intravenous administration (5 mg/kg) to male rats,,BAO_0000218,4910,
,,A,,Intermediate,1,,50597,CHEMBL874592,1969.0,9319,Rattus norvegicus,,10116.0,N,Plasma,1,,Tested for plasma concentration in the after 2 hrs of intravenous administration (5 mg/kg) to male rats,,BAO_0000218,4910,
,,A,,Intermediate,1,,50597,CHEMBL626975,,9320,Rattus norvegicus,,10116.0,N,,1,,Percentage converted to BMS-191011 after 30 min incubation in rat plasma at 37 degree C,,BAO_0000218,5510,
,,A,,Intermediate,1,,50597,CHEMBL626976,,9321,Rattus norvegicus,,10116.0,N,,1,,Percentage converted to BMS-191011 after 30 min incubation in rat plasma at 37 degree C; Converted to an unknown compound,,BAO_0000218,5510,
,,A,,Intermediate,1,,50597,CHEMBL626977,,9322,Rattus norvegicus,,10116.0,N,,1,,Percentage converted to BMS-191011 after 30 min incubation in rat plasma at 37 degree C; Not determined,,BAO_0000218,5510,
,,A,,Intermediate,1,,50597,CHEMBL626978,,9323,Rattus norvegicus,,10116.0,N,,1,,Percentage converted to BMS-191011 after 30 min incubation in rat plasma at 37 degree C; Not tested,,BAO_0000218,5510,
,,A,,Intermediate,1,,50597,CHEMBL626979,,9324,Rattus norvegicus,,10116.0,N,,1,,PK study was carried to determine the relative absorption ranking in rat.,,BAO_0000218,16427,
In vivo,,A,,Intermediate,1,,50597,CHEMBL626980,1969.0,9325,Rattus norvegicus,,10116.0,N,Plasma,1,,Maximum plasma concentration in Rat at a oral dose of 5 mg/kg,,BAO_0000218,4689,
,,A,,Intermediate,1,,50597,CHEMBL626981,178.0,9326,Rattus norvegicus,,10116.0,N,Blood,1,,"Distribution of the radioiodinated compound expressed as percent dose per gram, in blood of unfasted rats after 30 mins of intravenous administration (10.7 uCi/animal); value ranges from 0.57-0.75 % dose/g",,BAO_0000218,11450,
,,A,,Intermediate,1,,50597,CHEMBL626982,178.0,9327,Rattus norvegicus,,10116.0,N,Blood,1,,"Distribution of the radioiodinated compound expressed as percent dose per gram, in blood of unfasted rats after 30 mins of intravenous administration (11.5 uCi/animal); value ranges from 0.06-0.63 % dose/g",,BAO_0000218,11450,
