assay_id,variant_id,src_id,assay_subcellular_fraction,assay_organism,cell_id,doc_id,description,assay_type,assay_test_type,assay_category,assay_tax_id,assay_strain,assay_tissue
4297,,1,,,,168,Inhibitory Activity against 5-Lipoxygenase was determined; NA=No significant inhibitory activity up to 300 uM,B,,,,,
4298,,1,,,,12338,Inhibitory concentration against arachidonic acid 5-lipoxygenation,F,,,,,
4299,,1,,,,4501,Tested for the inhibitory activity against 5-lipoxygenase,B,,,,,
4300,,1,,,,1132,Compound was tested for its inhibitory activity against 5-lipoxygenase,B,,,,,
4301,,1,,,,2117,Compound was tested for inhibition of 5-lipoxygenase at 50 uM; NI means no inhibition was observed,B,,,,,
4302,,1,,,,168,Inhibitory Activity against 5-Lipoxygenase at 30 uM was determined; Weakly active,B,,,,,
4303,,1,,,,168,Inhibitory Activity against 5-Lipoxygenase at concentration 32 uM was determined,B,,,,,
4304,,1,,,702.0,13575,Concentration required to inhibit RBL-1 supernatant 5-lipoxygenase,B,,,,,
4305,,1,,,,11089,,B,,,,,
4306,,1,,,,216,Compound was tested for its binding activity towards 5-lipoxygenase activating protein (FLAP),B,,,,,
4307,,1,,,,13165,Inhibition of 5-lipoxygenase activating protein using human leukocyte membrane preparations,B,,,,,
4308,,1,,,,3278,Measuring the affinity of leukotriene synthesis inhibitor for 5-Lipoxygenase activating protein (FLAP) by using [125I]L-691831 as radioligand.,B,,,,,
4309,,1,,,,3278,Measuring the affinity of leukotriene synthesis inhibitor for 5-lipoxygenase activating protein by using [125I]L-691831 as radioligand.,B,,,,,
4310,,1,,,,11966,Tested for inhibition of leukotriene biosynthesis by binding to 5-lipoxygenase activating protein,B,,,,,
4311,,1,,,,175,"The compound was tested for the inhibition of binding of [125I]- L- 691,831 binding to 5-lipoxygenase activating protein",B,,,,,
4312,,1,,,,175,"The compound was tested for the inhibition of binding of [125I]- L- 691,831 binding to 5-lipoxygenase activating protein (FLAP)",B,,,,,
4313,,1,,,,13449,Binding affinity of compound for 5-lipoxygenase activating protein protein by FLAP binding assay,B,,,,,
4314,,1,,,,12014,Tested for inhibition of 5-phosphatase isolated from human erythrocyte membrane,B,,,,,
4315,,1,,,,12014,Tested for inhibition of 5-phosphatase isolated from human erythrocyte membrane (R metabolically resistant),B,,,,,
4316,,1,,,,12014,Tested for inhibition of 5-phosphatase isolated from human erythrocyte membrane (S substrate),B,,,,,
4317,,1,,,,99,Inhibition of protein biosynthesis at the level of the peptidyl transferase center of the 50 s ribosomal subunit,B,,,,,
4318,,1,,Homo sapiens,,4349,The dark toxicity against 543 human galactophore carcinoma cells,F,,,9606.0,,
4319,,1,,Homo sapiens,390.0,4071,Tested in vitro for cytotoxicity against 56 human tumor cell lines,F,,,9606.0,,
4320,,1,,Homo sapiens,345.0,17589,Cytotoxic activity against human 5637 cell line at 20 uM expressed as percent growth value,F,,,9606.0,,
4321,,1,,Homo sapiens,345.0,15002,Antitumor activity was evaluated against human bladder carcinoma cell line 5637.,F,,,9606.0,,
4322,,1,,Homo sapiens,345.0,13958,"Compound was tested for antiproliferative activity against 5637, human bladder carcinoma cell line",F,,,9606.0,,
4323,,1,,Homo sapiens,345.0,17589,Growth inhibition against human 5637 cell lines,F,,,9606.0,,
4324,,1,,Homo sapiens,345.0,16748,Antitumor activity against human bladder carcinoma 5637 cells.,F,,,9606.0,,
4325,,1,,Homo sapiens,345.0,16747,Antitumor activity against human bladder carcinoma 5637 cells,F,,,9606.0,,
4326,,1,,Homo sapiens,345.0,16747,Antitumor activity against human bladder carcinoma 5637 cells,F,,,9606.0,,
4327,,1,,Bos taurus,,15285,In vitro inhibition of bovine trypsin(Trp).,B,,,9913.0,,
4328,,1,,Cercopithecidae,407.0,3726,Transcriptional activation in CV-1 cells expressing retinoic acid gamma receptor,B,,,9527.0,,
4329,,1,,,,5033,Ability to displace the radioligand [125I](-)-iodocyanopindolol from rat striatal 5-HT1B receptor,B,,,,,
4330,,1,,,,11756,In vitro antagonism of the 5-HT-3 receptor determined by inhibition of 5-HT-induced depolarization of the isolated rat vagus nerve.,F,,,,,
4331,,1,,,,11953,Concentration required to inhibit pressor response to serotonin after 15 min i.v. administration of compound mediated via activation of vascular 5-HT2 receptors in rat,F,In vivo,,,,
4332,,1,,Cavia porcellus,,5033,Ability to displace the radioligand [3H]GR-113808 from guinea pig striatum 5-HT4 receptor,B,,,10141.0,,
4333,,1,Microsomes,Rattus norvegicus,,11347,Inhibition of progesterone 6-beta-hydroxylase in rat hepatic microsomes,A,,,10116.0,,
4334,,1,Microsomes,Rattus norvegicus,,11347,Inhibition of progesterone 6-beta-hydroxylase in rat hepatic microsomes,A,,,10116.0,,
4335,,1,,,,1229,In vitro anticancer activity against 6 NCI ovarian cancer cell lines; inactive,F,,,,,
4336,,1,,,,1229,In vitro anticancer activity against 6 NCI ovarian cancer cell lines; inactive,F,,,,,
4337,,1,,Trypanosoma brucei,,17588,Inhibition constant against 6-phosphogluconate dehydrogenase of Trypanosoma brucei expressed in Escherichia coli,B,,,5691.0,,
4338,,1,,Trypanosoma brucei,,17588,Inhibition constant against 6-phosphogluconate dehydrogenase of Trypanosoma brucei expressed in Escherichia coli; NI denotes no inhibition,B,,,5691.0,,
4339,,1,,Ovis aries,,17588,Inhibition constant against 6-phosphogluconate dehydrogenase of sheep liver,B,,,9940.0,,
4340,,1,,Ovis aries,,17588,Inhibition constant against 6-phosphogluconate dehydrogenase of sheep liver; NI denotes no inhibition,B,,,9940.0,,
4341,,1,,,,16485,log Kd which is the binding affinity against 6-phosphogluconate dehydrogenase,B,,,,,
4342,,1,,Homo sapiens,,4337,Average inhibitory concentration against 60 human cell lines was reported,F,,,9606.0,,
4343,,1,,Homo sapiens,,4112,Inhibition of proliferation in NCI panel of 60 human tumor cell lines,F,,,9606.0,,
4344,,1,,Homo sapiens,542.0,16160,Cancer specificity was measured from the +/- value under average log LC50 60-cell line,F,,,9606.0,,
4345,,1,,Homo sapiens,542.0,16160,Cancer specificity was measured from the +/- value under average log LC50 60-cell line. ,F,,,9606.0,,
4346,,1,,,542.0,17376,In vitro mean growth inhibitory activity against 60-cell panel,F,,,,,
4347,,1,,,542.0,17376,In vitro mean growth lethal concentration against 60-cell panel,F,,,,,
4348,,1,,,542.0,17376,In vitro mean growth lethal concentration in colon subpanel against 60-cell panel,F,,,,,
4349,,1,,,542.0,17376,In vitro mean growth lethal concentration in renal subpanel against 60-cell panel,F,,,,,
4350,,1,,,,3241,Inhibition of CK-II-mediated 60S acidic ribosomal P protein activity at 10 uM,F,,,,,
4351,,1,,,,3241,Inhibition of CK-II-mediated 60S acidic ribosomal P protein activity at 10 uM,F,,,,,
4352,,1,,,,3725,Transcriptional activation in CV-1 expressing retinoid X receptor RXR alpha,B,,,,,
4353,,1,,Plasmodium falciparum,,10805,Inhibitory activity against Plasmodium falciparum 68 neutral proteinase,F,,,5833.0,,
4354,,1,,Plasmodium falciparum,,10805,In vitro inhibition of Plasmodium falciparum 68 neutral proteinase activity by reinvasion of red blood cells,F,,,5833.0,,
4355,,1,,Plasmodium falciparum,,10805,Inhibitory activity against Plasmodium falciparum 68 neutral proteinase.,F,,,5833.0,,
4356,,1,,Plasmodium falciparum,,10805,Substrate affinity for Plasmodium falciparum 68 neutral proteinase.,F,,,5833.0,,
4357,,1,,Plasmodium falciparum,,10805,Reaction velocity for Plasmodium falciparum 68 neutral proteinase.,F,,,5833.0,,
4358,,1,,Mus musculus,850.0,10144,Percent inhibition against 6C3HED lymphosarcoma at dose 100 mg/kg in C3H mice,F,,,10090.0,,
4359,,1,,Mus musculus,850.0,10144,Percent inhibition against 6C3HED lymphosarcoma at dose 12.5 mg/kg in C3H mice,F,,,10090.0,,
4360,,1,,Mus musculus,850.0,10144,Percent inhibition against 6C3HED lymphosarcoma at dose 200 mg/kg in C3H mice,F,,,10090.0,,
4361,,1,,Mus musculus,850.0,10144,Percent inhibition against 6C3HED lymphosarcoma at dose 25 mg/kg in C3H mice,F,,,10090.0,,
4362,,1,,Mus musculus,850.0,10144,Percent inhibition against 6C3HED lymphosarcoma at dose 50 mg/kg in C3H mice,F,,,10090.0,,
4363,,1,,Mus musculus,850.0,10144,Percent inhibition against 6C3HED lymphosarcoma at dose 6 mg/kg in C3H mice,F,,,10090.0,,
4364,,1,,Mus musculus,,10685,Antitumor activity in vivo against the 6C3HED lymphosarcoma dosed for 10 days at 100 mg/kg,F,In vivo,,10090.0,,
4365,,1,,Mus musculus,,10685,Antitumor activity in vivo against the 6C3HED lymphosarcoma dosed for 10 days at 150 mg/kg,F,In vivo,,10090.0,,
4366,,1,,Mus musculus,,10685,Antitumor activity in vivo against the 6C3HED lymphosarcoma dosed for 10 days at 1600 mg/kg (intraperitoneal dosing for 8 days),F,In vivo,,10090.0,,
4367,,1,,Mus musculus,,10685,Antitumor activity in vivo against the 6C3HED lymphosarcoma dosed for 10 days at 200 mg/kg,F,In vivo,,10090.0,,
4368,,1,,Mus musculus,,10685,Antitumor activity in vivo against the 6C3HED lymphosarcoma dosed for 10 days at 225 mg/kg,F,In vivo,,10090.0,,
4369,,1,,Mus musculus,,10685,Antitumor activity in vivo against the 6C3HED lymphosarcoma dosed for 10 days at 270 mg/kg,F,In vivo,,10090.0,,
4370,,1,,Mus musculus,,10685,Antitumor activity in vivo against the 6C3HED lymphosarcoma dosed for 10 days at 275 mg/kg,F,In vivo,,10090.0,,
4371,,1,,Mus musculus,,10685,"Antitumor activity in vivo against the 6C3HED lymphosarcoma, dosed for 10 days at 300 mg/kg",F,In vivo,,10090.0,,
4372,,1,,Mus musculus,,10685,Antitumor activity in vivo against the 6C3HED lymphosarcoma dosed for 10 days at 300 mg/kg (intraperitoneal dosing for 8 days),F,In vivo,,10090.0,,
4373,,1,,Mus musculus,,10685,Antitumor activity in vivo against the 6C3HED lymphosarcoma dosed for 10 days at 300 mg/kg (ip dosing daily for 8 days),F,In vivo,,10090.0,,
4374,,1,,Mus musculus,,10685,Antitumor activity in vivo against the 6C3HED lymphosarcoma dosed for 10 days at 600 mg/kg,F,In vivo,,10090.0,,
4375,,1,,Mus musculus,,10144,Percent inhibition against 6C3HED lymphosarcoma at dose 100 mg/kg in C3H mice,F,,,10090.0,,
4376,,1,,Mus musculus,,10144,Percent inhibition against 6C3HED lymphosarcoma at dose 12.5 mg/kg in C3H mice,F,,,10090.0,,
4377,,1,,Mus musculus,,10144,Percent inhibition against 6C3HED lymphosarcoma at dose 25 mg/kg in C3H mice,F,,,10090.0,,
4378,,1,,Mus musculus,,10144,Percent inhibition against 6C3HED lymphosarcoma at dose 50 mg/kg in C3H mice,F,,,10090.0,,
4379,,1,,Mus musculus,,10685,Tested on 6C3HED lymphosarcoma and percent inhibition was determined at 100 mg/kg dosage administered for 8 days intraperitoneally,F,,,10090.0,,
4380,,1,,Mus musculus,,10685,Tested on 6C3HED lymphosarcoma and percent inhibition was determined at 200 mg/kg dosage administered for 10 days intraperitoneally,F,,,10090.0,,
4381,,1,,Mus musculus,,10685,Tested on 6C3HED lymphosarcoma and percent inhibition was determined at 200 mg/kg dosage administered for 8 days intraperitoneally,F,,,10090.0,,
4382,,1,,Mus musculus,,10685,Tested on 6C3HED lymphosarcoma and percent inhibition was determined at 50 mg/kg dosage administered for 8 days intraperitoneally,F,,,10090.0,,
4383,,1,,Mus musculus,,10685,Tested on 6 C3 HED lymphosarcoma and number of drug related deaths/total animals in treatment group was determined at 100 mg/kg dosage administered for 8 days intraperitoneally; 0/10,A,,,10090.0,,
4384,,1,,Mus musculus,,10685,Tested on 6 C3 HED lymphosarcoma and number of drug related deaths/total animals in treatment group was determined at 200 mg/kg dosage administered for 8 days perorally; 1/10,A,,,10090.0,,
4385,,1,,Mus musculus,,10685,Tested on 6 C3 HED lymphosarcoma and number of drug related deaths/total animals in treatment group was determined at 200 mg/kg dosage administered for 10 days intraperitoneally; 1/10,A,,,10090.0,,
4386,,1,,Mus musculus,,10685,Tested on 6 C3 HED lymphosarcoma and number of drug related deaths/total animals in treatment group was determined at 50 mg/kg dosage administered for 8 days perorally; 3/10,A,,,10090.0,,
4387,,1,,Mus musculus,850.0,8831,"Compound was evaluated for the antitumor activity against 6C3HED lymphosarcoma for ip administration and daily x 8 schedule; Number of toxic deaths over total number of mice per group (T/C), 0/10 at dose of 35 mg/kg",F,,,10090.0,,
4388,,1,,,,11704,In vivo antitumor activity against 6C3HED tumor type after intraperitoneal administration of 400 mg/kg,F,In vivo,,,,
4389,,1,,Mus musculus,,11704,In vivo antitumor activity against 6C3HED tumor type was expressed as toxic deaths/total treated mice at 400 mg/kg dose; 2/10,A,,,10090.0,,
4390,,1,,Mus musculus,850.0,10685,Antitumor activity in vivo expressed as percent of inhibition in 6C3HED-lymphosarcoma tumor cell line,F,In vivo,,10090.0,,
4391,,1,,Mus musculus,850.0,10685,Antitumor activity in vivo expressed as percent of inhibition in 6C3HED-lymphosarcoma tumor cell line; 95-100% inhibition,F,In vivo,,10090.0,,
4392,,1,,Mus musculus,850.0,11368,Inhibition of tumor growth of 6C3HED lymphosarcoma tumor cell line in mice at a dose of 150 mg/kg given orally(daily x 8),F,,,10090.0,,
4393,,1,,Mus musculus,850.0,11368,Inhibition of tumor growth of 6C3HED lymphosarcoma tumor cell line in mice at a dose of 200 mg/kg given orally(daily x 8),F,,,10090.0,,
4394,,1,,Mus musculus,850.0,11368,Inhibition of tumor growth of 6C3HED lymphosarcoma tumor cell line in mice at a dose of 300 mg/kg given orally (daily x 8),F,,,10090.0,,
4395,,1,,Staphylococcus aureus,,17763,"Inhibition of Staphylococcus aureus 7,8-dihydroneopterin aldolase",B,,,1280.0,,
4396,,1,Microsomes,Rattus norvegicus,,7411,Michaelis-Menten constant for 7-ethoxycoumarin deethylation in rat liver microsomes 3-methylcholanthrene at a concentration of 5 uM,B,,,10116.0,,Liver
4397,,1,Microsomes,Rattus norvegicus,,7411,Michaelis-Menten constant for 7-ethoxycoumarin deethylation in rat liver microsomes exposed to 3-methylcholanthrene at a concentration of 10 uM,B,,,10116.0,,Liver
4398,,1,Microsomes,Rattus norvegicus,,7411,Michaelis-Menten constant for 7-ethoxycoumarin deethylation in rat liver microsomes exposed to 3-methylcholanthrene at a concentration of 1 uM,B,,,10116.0,,Liver
4399,,1,Microsomes,Rattus norvegicus,,7411,Michaelis-Menten constant for 7-ethoxycoumarin deethylation in rat liver microsomes exposed to 3-methylcholanthrene at a concentration of 20 uM,B,,,10116.0,,Liver
4400,,1,Microsomes,Rattus norvegicus,,7411,Michaelis-Menten constant for 7-ethoxycoumarin deethylation in rat liver microsomes exposed to 3-methylcholanthrene at a concentration of 25 uM,B,,,10116.0,,Liver
4401,,1,Microsomes,Rattus norvegicus,,7411,Michaelis-Menten constant for 7-ethoxycoumarin deethylation in rat liver microsomes exposed to 3-methylcholanthrene at a concentration of 50 uM,B,,,10116.0,,Liver
4402,,1,Microsomes,Rattus norvegicus,,7411,Michaelis-Menten constant for 7-ethoxycoumarin deethylation in rat liver microsomes exposed to 3-methylcholanthrene at a concentration of 5 uM,B,,,10116.0,,Liver
4403,,1,Microsomes,Rattus norvegicus,,7411,Michaelis-Menten constant for 7-ethoxycoumarin deethylation in rat liver microsomes exposed to 3-methylcholanthrene at concentration of 10 uM,B,,,10116.0,,Liver
4404,,1,Microsomes,Rattus norvegicus,,7411,Michaelis-Menten constant for 7-ethoxycoumarin deethylation in rat liver microsomes exposed to 3-methylcholanthrene at concentration of 100 uM,B,,,10116.0,,Liver
4405,,1,Microsomes,Rattus norvegicus,,7411,Michaelis-Menten constant for 7-ethoxycoumarin deethylation in rat liver microsomes exposed to 3-methylcholanthrene at concentration of 200 uM,B,,,10116.0,,Liver
4406,,1,Microsomes,Rattus norvegicus,,7411,Michaelis-Menten constant for 7-ethoxycoumarin deethylation in rat liver microsomes exposed to 3-methylcholanthrene at concentration of 25 uM,B,,,10116.0,,Liver
4407,,1,Microsomes,Rattus norvegicus,,7411,Michaelis-Menten constant for 7-ethoxycoumarin deethylation in rat liver microsomes exposed to 3-methylcholanthrene at concentration of 50 uM,B,,,10116.0,,Liver
4408,,1,,Cercopithecidae,,347,The apparent total plasma clearance in monkey,A,In vivo,,9527.0,,Plasma
4409,,1,,Cercopithecidae,,3341,Compound was evaluated for Hepatic clearance in monkey,A,In vivo,,9527.0,,
4410,,1,,Cercopithecidae,,17853,Lower clearance in monkey (i.v.) at 0.5 mpk,A,In vivo,,9527.0,,
4411,,1,,Cercopithecidae,,4514,Plasma clearance in rhesus monkey,A,In vivo,,9527.0,,
4412,,1,,Cercopithecidae,,6062,Plasma clearance for the compound was measured in monkey after an iv dose of 1 mg/kg,A,In vivo,,9527.0,,
4413,,1,,Cercopithecidae,,6821,Plasma clearance of compound was determined in monkey,A,In vivo,,9527.0,,
4414,,1,,Cercopithecidae,,6057,Plasma clearance was calculated in rhesus monkey,A,In vivo,,9527.0,,
4415,,1,,Cercopithecidae,,5145,Plasma clearance in rhesus monkey,A,In vivo,,9527.0,,
4416,,1,,Cercopithecidae,,6641,Plasma clearance in monkey (dosed at 0.5 mpk iv and 2.0 mpk orally),A,In vivo,,9527.0,,
4417,,1,,Cercopithecidae,,5472,Plasma clearance was evaluated in rhesus,A,In vivo,,9527.0,,
4418,,1,,Cercopithecidae,,4257,Plasma clearance value was determined in monkey after a 3 mg/kg of iv dose,A,In vivo,,9527.0,,
4419,,1,,Cercopithecidae,,5546,Plasma clearance was determined in rhesus monkey at a dose of 1 mg/kg by iv administration,A,In vivo,,9527.0,,
4420,,1,,Cercopithecidae,,5334,Plasma clearance was reported after intravenous administration at a dose of 1 mg/kg in Rhesus monkey (male),A,In vivo,,9527.0,,
4421,,1,,Cercopithecidae,,5334,Plasma clearance was reported after oral administration at a dose of 2 mg/kg in Rhesus monkey (male),A,In vivo,,9527.0,,
4422,,1,,Cercopithecidae,,17509,Cmax 24 hr after 2 mg/kg oral administration in monkeys,A,In vivo,,9527.0,,
4423,,1,,Cercopithecidae,,6535,Cmax in monkey after administration of 1 mg/kg iv,A,In vivo,,9527.0,,
4424,,1,,Cercopithecidae,,5668,Cmax was determine after peroral administration at 10 mpk in Rhesus,A,In vivo,,9527.0,,
4425,,1,,Cercopithecidae,,5922,Cmax in cynomolgus monkey by iv administration,A,In vivo,,9527.0,,
4426,,1,,Cercopithecidae,,5922,Cmax in cynomolgus monkey by po administration,A,In vivo,,9527.0,,
4427,,1,,Cercopithecidae,,6078,Cmax value evaluated in monkey,A,In vivo,,9527.0,,
4428,,1,,Cercopithecidae,,2661,Compound was evaluated for maximum concentration after treatment with oral dose of 2 mgkg to female cynomolgus monkey,A,In vivo,,9527.0,,
4429,,1,,Cercopithecidae,,3249,Maximal concentration (Cmax) in rhesus monkey plasma at a dose of 5 mg/kg,A,In vivo,,9527.0,,Plasma
4430,,1,,Cercopithecidae,,3249,Maximal concentration (Cmax) in squirrel monkey plasma at a dose of 5 mg/kg,A,In vivo,,9527.0,,Plasma
4431,,1,,Cercopithecidae,,5553,Maximal plasma concentration in squirrel monkeys,A,In vivo,,9527.0,,Plasma
4432,,1,,Cercopithecidae,,1916,Maximum concentration was evaluated against Cynomolgus monkey at a dose of 15 mg/kg after po administration,A,In vivo,,9527.0,,
4433,,1,,Cercopithecidae,,6227,Maximum plasma concentration (Cmax) in rhesus monkey(in vivo) at a dose of 5 mg/kg,A,In vivo,,9527.0,,Plasma
4434,,1,,Cercopithecidae,,4809,Pharmacokinetic parameter Cmax was determined in monkey after (po) administration of a dose of 50 (uM/kg),A,In vivo,,9527.0,,
4435,,1,,Cercopithecidae,,5355,The peak concentration (Cmax) value after intravenous administration in cynomolgus monkeys; NA means Not applicable,A,In vivo,,9527.0,,
4436,,1,,Cercopithecidae,,5355,The peak concentration (Cmax) value after intravenous administration in cynomolgus monkeys; NA means not applicable,A,In vivo,,9527.0,,
4437,,1,,Cercopithecidae,,5355,The peak concentration (Cmax) value after intravenous administration in cynomolgus monkeys;NA means not applicable,A,In vivo,,9527.0,,
4438,,1,,Cercopithecidae,,5355,The peak concentration (Cmax) value after oral administration in cynomolgus monkeys,A,In vivo,,9527.0,,
4439,,1,,Cercopithecidae,,6221,The peak plasma concentration after 5 hr administration (2.5 mg/kg) in monkey was determined,A,In vivo,,9527.0,,Plasma
4440,,1,,Cercopithecidae,,167,Compound was evaluated for Plasma levels upon oral administration at 30 mg/kg in Monkey at maximum of 0.4 hours,A,,,9527.0,,
4441,,1,,Cercopithecidae,,167,Compound was evaluated for Plasma levels upon oral administration at 30 mg/kg in Monkey at maximum of 1.0 hours,A,,,9527.0,,
4442,,1,,monkey,,4257,Absolute bioavailability was evaluated in monkey,A,In vivo,,9443.0,,
4443,,1,,monkey,,6221,Bioavailability after oral administration (2.5 mg/kg) in monkey was determined,A,In vivo,,9443.0,,
4444,,1,,monkey,,17667,Bioavailability of compound at 3 mg/kg in monkey after i.v. administration,A,In vivo,,9443.0,,
4445,,1,,Macaca mulatta,,17267,Bioavailability of compound was determined in rhesus monkey,A,In vivo,,9544.0,,
4446,,1,,marmosets,,4256,Bioavailability determined after oral administration in marmoset,A,In vivo,,38020.0,,
4447,,1,,Macaca fascicularis,,4256,Oral bioavailability in cynomolgus monkey,A,In vivo,,9541.0,,
4448,,1,,monkey,,17853,Bioavailability in monkey (p.o.) at 2.0 mpk,A,In vivo,,9443.0,,
4449,,1,,monkey,,16365,Bioavailability was evaluated after oral administration in monkey,A,In vivo,,9443.0,,
4450,,1,,Macaca fascicularis,,1916,Bioavailability was evaluated against Cynomolgus monkey at a dose of 15 mg/kg after po administration,A,In vivo,,9541.0,,
4451,,1,,Macaca mulatta,,5334,Bioavailability was reported after intravenous administration at a dose of 1 mg/kg in Rhesus monkey (male),A,In vivo,,9544.0,,
4452,,1,,Macaca mulatta,,5334,Bioavailability was reported after oral administration at a dose of 2 mg/kg in Rhesus monkey (male),A,In vivo,,9544.0,,
4453,,1,,monkey,,17592,Bioavailability of the compound was determined in monkey,A,In vivo,,9443.0,,
4454,,1,,Saimiri sciureus,,1399,Bioavailability in squirrel monkey (dose 5 mg/kg),A,In vivo,,9521.0,,
4455,,1,,monkey,,4809,Bioavailability was determined in monkey after (po) administration of a dose of 50 (uM/kg),A,In vivo,,9443.0,,
4456,,1,,monkey,,3341,Oral bioavailability in monkey,A,In vivo,,9443.0,,
4457,,1,,Saimiri sciureus,,64,Compound was tested for bioavailability in squirrel monkey,A,In vivo,,9521.0,,
4458,,1,,Macaca mulatta,,5005,Oral bioavailability in Rhesus monkey,A,In vivo,,9544.0,,
4459,,1,,Macaca mulatta,,5005,Oral bioavailability in Rhesus monkey (dose of 0.75 mg/kg i.v. and 1.5 mg/kg p.o.),A,In vivo,,9544.0,,
4460,,1,,Macaca fascicularis,,5237,Oral bioavailability in cynomolgus monkeys for the compound was determined; Acceptable,A,In vivo,,9541.0,,
4461,,1,,Macaca fascicularis,,5237,Oral bioavailability in cynomolgus monkeys was determined; Acceptable,A,In vivo,,9541.0,,
4462,,1,,monkey,,5302,Oral bioavailability in monkey (dose 5 mg/kg),A,In vivo,,9443.0,,
4463,,1,,monkey,,17667,Oral bioavailability of compound at 5 mg/kg in monkey,A,In vivo,,9443.0,,
4464,,1,,Canis lupus familiaris,,6161,Pharmacokinetic profile in terms of half life was determined at a dose of 0.5 mg/kg administered intravenously in dog,A,In vivo,,9615.0,,
4465,,1,,Canis lupus familiaris,,6161,Pharmacokinetic profile in terms of half life was determined at a dose of 5 mg/kg administered intravenously in dog,A,In vivo,,9615.0,,
4466,,1,,Canis lupus familiaris,,3854,Plasma half life determined,A,,,9615.0,,Plasma
4467,,1,,Canis lupus familiaris,,993,Plasma half life in dog,A,,,9615.0,,Plasma
4468,,1,,Canis lupus familiaris,,4514,Plasma half-life in Beagle dogs,A,,,9615.0,,Plasma
4469,,1,,Canis lupus familiaris,,5334,Plasma half-life period (0-8 h) was reported after intravenous administration at a dose of 1 mg/kg in Beagle dog (male),A,In vivo,,9615.0,,Plasma
4470,,1,,Canis lupus familiaris,,5334,Plasma half-life period (0-8 h) was reported after oral administration at a dose of 2 mg/kg respectively in Beagle dog (male),A,In vivo,,9615.0,,Plasma
4471,,1,,Canis lupus familiaris,,1466,Tested for t1/2 upon intravenous administration of 5.0 mg/Kg dose in dog,A,In vivo,,9615.0,,
4472,,1,,Canis lupus familiaris,,1466,Tested for t1/2 upon peroral administration of 10.0 mg/Kg dose in dog,A,In vivo,,9615.0,,
4473,,1,,Canis lupus familiaris,,5313,Tested for the half life period in dog,A,,,9615.0,,
4474,,1,,Canis lupus familiaris,,5313,Tested for the half life period in dog at dosage of 10 mpk,A,In vivo,,9615.0,,
4475,,1,,Canis lupus familiaris,,3880,The compound was tested for half life in dog,A,,,9615.0,,
4476,,1,,Canis lupus familiaris,,3639,"The compound was tested for time taken to decrease, half of its initial concentration in dog plasma.",A,,,9615.0,,Plasma
4477,,1,,Canis lupus familiaris,,3880,The half life was determined,A,,,9615.0,,
4478,,1,,Canis lupus familiaris,,3918,The plasma half-life in dogs,A,,,9615.0,,Plasma
4479,,1,,Canis lupus familiaris,,16452,suboptimal plasma half-life caused a10% prolongation of QTc interval in dogs at a plasma level of 2.5 M,A,,,9615.0,,Plasma
4480,,1,,Canis lupus familiaris,,17796,Half life in dog,A,,,9615.0,,
4481,,1,,Canis lupus familiaris,,5983,Pharmacokinetic property (t1/2beta) was measured in dog at the dose of 0.032 mg/kg i.v.,A,In vivo,,9615.0,,
4482,,1,,Canis lupus familiaris,,1466,tmax upon peroral administration of 10.0 mg/Kg dose in dog,A,In vivo,,9615.0,,
4483,,1,,Canis lupus familiaris,,16456,Volume of distribution in Beagle dogs after intravenous administration at a dose of 10 mg/kg,A,In vivo,,9615.0,,
4484,,1,,Mustela putorius furo,,6113,Cmax in ferrets after 30 mg/kg oral dose,A,In vivo,,9669.0,,
4485,,1,,Mustela putorius furo,,6113,Emesis in ferrets at 30 mg/kg oral dose,F,In vivo,,9669.0,,
4486,,1,,Macaca fascicularis,,17796,Bioavailability in cynomolgus monkey,A,In vivo,,9541.0,,
4487,,1,,Macaca fascicularis,,17796,Volume of distribution in cynomolgus,A,In vivo,,9541.0,,
4488,,1,,Cavia porcellus,,5308,AUC tested in guinea pig when 3 mg/kg dose was given perorally,A,,,10141.0,,Plasma
4489,,1,,Cavia porcellus,,4877,Tested for concentration as Area Under Curve against PDE4 in guinea pig lung eosinophilia orally at 5 mg/kg,A,,,10141.0,,
4490,,1,,Cavia porcellus,,4876,"Tested for the pharmacokinetic parameter in guinea pig, administered orally at 5 mg/kg",A,,,10141.0,,
4491,,1,,Cavia porcellus,,4878,AUC in guinea pig after 3mg/kg oral dose,A,In vivo,,10141.0,,Plasma
4492,,1,,Cavia porcellus,,5308,Bioavailability in guinea pig was tested,A,In vivo,,10141.0,,
4493,,1,,Cavia porcellus,,4877,Tested for oral bioavailability in guinea pig at 5 mg/kg,A,In vivo,,10141.0,,
4494,,1,,Cavia porcellus,,4876,Tested for the oral bioavailability of the compound,A,In vivo,,10141.0,,
4495,,1,,Cavia porcellus,,4876,Compound at a dose 5 mg/kg was administered orally to guinea pig and the pharmacokinetic parameter (Cmax) was reported,A,In vivo,,10141.0,,
4496,,1,,Cavia porcellus,,5308,Maximum plsma drug concentration in guinea pig when 3 mg/kg dose was given perorally,A,In vivo,,10141.0,,
4497,,1,,Cavia porcellus,,4877,Tested for maximum concentration against PDE4 in guinea pig lung eosinophilia orally at 5 mg/kg,A,In vivo,,10141.0,,Lung
4498,,1,,Cavia porcellus,,4878,Cmax in guinea pig after 3mg/kg oral dose,A,In vivo,,10141.0,,
4499,,1,,Cavia porcellus,,5689,Distribution in blood expressed as [18F]- organ uptake in % of injected activity/gram,A,,,10141.0,,Blood
