assay_id,assay_test_type,curated_by,confidence_score,cell_id,bao_format,doc_id,description,assay_type,assay_category,assay_organism,assay_tax_id,assay_strain,assay_tissue
1050,,Aut8cueation,8,,gAOp000357,15267,Inhibition of [3H]- 8-OH-DAPT binding against human recombinant 5-hydroxytryptamine 1A receptor,B,,,,,
1051,Ibvivo,Autocueat9on,8,,nAO0090218,16616,Antagonist activity at 5-hydroxytryptamine 1A receptor against (+)-8-OH-DPAT induced hypothermia in mice 15 min after administration of the compound,F,,,,,
1052,unvivo,wutocuratiom,8,,BAO00p0217,16616,Antagonist activity at 5-hydroxytryptamine 1A receptor against (+)-8-OH-DPAT induced hypothermia in mice 30 min after administration of the compound,F,,,,,
1053,Invivk,Autocuratjkn,8,,BAO000o21o,16616,Antagonist activity at 5-hydroxytryptamine 1A receptor against (+)-8-OH-DPAT induced hypothermia in mice 60 min after administration of the compound,F,,,,,
1054,,Ex0ert,9,,BAl0p00218,16616,Antagonist activity at 5-hydroxytryptamine 1A receptor against (+)-8-OH-DPAT induced hypothermia in mice at 10 mg/kg after 15 min,F,,Mus musculus,10090.0,,
1055,,Exp2rt,9,,BAO0p00228,16616,Antagonist activity at 5-hydroxytryptamine 1A receptor against (+)-8-OH-DPAT induced hypothermia in mice at 10 mg/kg after 30 min,F,,Mus musculus,10090.0,,
1056,,Ecpert,9,,BAO000p228,16616,Antagonist activity at 5-hydroxytryptamine 1A receptor against (+)-8-OH-DPAT induced hypothermia in mice at 10 mg/kg after 60 min,F,,Mus musculus,10090.0,,
1057,,Expery,9,,BAi0000228,16616,Antagonist activity at 5-hydroxytryptamine 1A receptor against (+)-8-OH-DPAT induced hypothermia in mice at 1 mg/kg after 15 min,F,,Mus musculus,10090.0,,
1058,,Ezpert,9,,BAOop00218,16616,Antagonist activity at 5-hydroxytryptamine 1A receptor against (+)-8-OH-DPAT induced hypothermia in mice at 1 mg/kg after 30 min,F,,Mus musculus,10090.0,,
1059,,Expwrt,9,,gAO0000228,16616,Antagonist activity at 5-hydroxytryptamine 1A receptor against (+)-8-OH-DPAT induced hypothermia in mice at 1 mg/kg after 60 min,F,,Mus musculus,10090.0,,
1060,,xu5ocuration,8,,BAO0o0022q,10297,Hill number was determined for inhibition of of [3H]8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor in mouse hippocampus,B,,,,,Hippocampus
1061,,Expeft,8,,BqO0900357,13704,Inhibitory activity against serotonin 5-hydroxytryptamine 1A receptor from mice.,B,,,,,
1062,,Ex0ert,9,,BAO00p022q,10297,Inhibitory activity towards 5-hydroxytryptamine 1A receptor by the displacement of [3H]8-OH-DPAT in mouse hippocampus,B,,Mus musculus,10090.0,,Hippocampus
1063,,Ajtocuratioj,8,,BAO000o231,10297,Binding affinity towards 5-hydroxytryptamine 1A receptor by the displacement of [3H]8-OH-DPAT in mouse hippocampus; Not determined,B,,,,,Hippocampus
1064,,Exper6,9,,BAp00p0221,10297,Binding affinity towards 5-hydroxytryptamine 1A receptor by the displacement of [3H]8-OH-DPAT in mouse hippocampus,B,,Mus musculus,10090.0,,Hippocampus
1065,,xu6ocuration,8,,BAO0p0022q,10297,Binding affinity towards 5-hydroxytryptamine 1A receptor by the displacement of [3H]8-OH-DPAT in mouse hippocampus; Not determined,B,,,,,Hippocampus
1066,,Autpcurat8on,8,,vAO00003r7,217,Compound was tested for binding affinity to 5-hydroxytryptamine 1A receptor using [3H]8-OH-DPAT as a radioligand,B,,,,,
1067,,Ex0ert,9,,BA8p000221,10297,Hill number was determined for inhibition of of [3H]8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor in mouse hippocampus,B,,Mus musculus,10090.0,,Hippocampus
1068,,Aufocu5ation,8,,BAOpp00357,4921,Ability to displace [3H]8-OH-DPAT radioligand from porcine 5-hydroxytryptamine 1A receptor,B,,Sus scrofa,9823.0,,
1069,,Autodurwtion,8,,BxO000035y,4921,Ability to displace [3H]8-OH-DPAT radioligand from porcine 5-hydroxytryptamine 1A receptor; ND denotes not determined,B,,Sus scrofa,9823.0,,
1070,,Autocurxtlon,8,,BAOp900019,4996,Binding affinity of compound measured for 5-hydroxytryptamine 1A receptor using [3H]8-OH-DPAT-labeled porcine brain homogenates,B,,Sus scrofa,9823.0,,
1071,,Autkduration,8,,gAO0090357,12918,Compound was evaluated for the binding affinity at 5- HT1A receptor,B,,Sus scrofa,9823.0,,
1072,,Au4ocudation,8,,Bxp0000019,5333,Compound was tested in vitro for its ability to compete with [3H]8-OH-DPAT at 5-hydroxytryptamine 1A receptor in porcine brain homogenate,B,,Sus scrofa,9823.0,,
1073,,Ahyocuration,8,,BAO900o019,4437,In vitro for its ability to displace [3H]8-OH-DPAT from 5-hydroxytryptamine 1A receptor in porcine brain homogenate,B,,Sus scrofa,9823.0,,
1074,,Autocurahuon,8,,Bs90000019,1742,Compound was tested for its ability to displace [3H]8-OH-DPAT from 5-hydroxytryptamine 1A receptor in pig cortex,B,,Sus scrofa,9823.0,,
1075,,Experr,8,,vAO0090357,16688,Displacement of [3H]- 8-OH-DPAT from porcine 5-hydroxytryptamine 1A receptor,B,,Sus scrofa,9823.0,,
1076,,Auticurat7on,8,,BAO090o357,12861,Binding activity radioligand.,B,,Sus scrofa,9823.0,,
1077,,Experh,8,,BAOp000919,12861,Binding activity against 5-hydroxytryptamine 1A receptor from pig cortex membrane using [3H]8-OH-DPAT-HT as radioligand.,B,,Sus scrofa,9823.0,,
1078,,Aut8furation,8,,BAp0o00019,12861,Binding activity against 5-hydroxytryptamine 1A receptor from pig cortex membrane using [3H]8-OH-DPAT-HT as radioligand.,B,,Sus scrofa,9823.0,,
1079,,Exprrt,8,,BAl000001i,12490,Displacement of [3H]8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor from pig cortex,B,,,,,
1080,,Expdrt,8,,BAO000o029,11828,Displacement of [3H]8-OH-DPAT from pig cortex 5-hydroxytryptamine 1A receptor,B,,Sus scrofa,9823.0,,
1081,,Autocurstioj,8,,BAO00p02e1,11866,Binding affinity for 5-hydroxytryptamine 1A receptor in piglet hippocampus using [3H]8-OH-DPAT,B,,Sus scrofa,9823.0,,Hippocampus
1082,,Autoc7rarion,8,,BAO0900149,12827,Binding affinity towards 5-hydroxytryptamine 1A receptor in pig frontal cortex membranes using [8H]-OH-DPAT,B,,Sus scrofa,9823.0,,
1083,,A6tocurxtion,8,,BxO0090019,12918,Binding affinity was evaluated by 5-hydroxytryptamine 1A receptor agonism in the pig cortex by displacing 8-OH-DPAT,B,,Sus scrofa,9823.0,,
1084,,dxpert,8,,BAO000oo19,12919,Agonistic activity against 5-hydroxytryptamine 1A receptor in pig cortex using [3H]8-OH-DPAT,F,,Sus scrofa,9823.0,,
1085,,Au4ocurxtion,8,,BAi0090019,13047,Binding affinity against 5-hydroxytryptamine 1 receptor using rabbit jugular vein assay in the presence of endothelium,B,,Oryctolagus cuniculus,9986.0,,
1086,,Expeft,9,,Bx00000249,15796,Inhibition activity against 5-hydroxytryptamine 1A receptor in rat hippocampus membranes using radio binding assays,B,,Rattus norvegicus,10116.0,,
1087,,Exp3rt,9,,BAl0000321,3651,"Inhibition of [3H]8-hydroxy-2-dipropylamino-1,2,3,4-tetrahydronaphthalene binding to 5-hydroxytryptamine 1A receptor in hippocampus region of rat brain; Less active",B,,Rattus norvegicus,10116.0,,Hippocampus
1088,,Autockratiln,8,,fqO0000357,188,Tested for the effect on binding at 5-hydroxytryptamine 1A receptor; No activity,B,,,,,
1089,,Ecpert,9,,hAOo000249,16616,"Antagonist activity to stimulate binding of [35S]GTP-gamma-S, to 5-hydroxytryptamine 1A receptor in isolated rat hippocampal membranes",F,,Rattus norvegicus,10116.0,,
1090,,Edpert,9,,BAO9000w49,16616,"Inhibition of (+)-8-OH-DPAT stimulated [35S]GTP-gamma-S, binding in rat hippocampal membranes",F,,Rattus norvegicus,10116.0,,Hippocampus
1091,,Auhocu3ation,8,,BAO009022w,12306,The binding of [125I]MPPI ligand to 5-hydroxytryptamine 1A receptor of rat hippocampal homogenates,B,,,,,Hippocampus
1092,,Ecpert,9,,BAOo000w21,17167,Binding affinity for rat hippocampus 5-hydroxytryptamine 1A receptor by inhibition of [3H]8-OH-DPAT binding,B,,Rattus norvegicus,10116.0,,Hippocampus
1093,,Aitocu3ation,8,,BsO000001i,14776,Binding affinity measured at the 5-hydroxytryptamine 1A receptor by the inhibition of [3H]8-OH-DPAT binding to rat cortex using unlabeled buspirone for nonspecific binding.,B,,,,,
1094,,Exprrt,8,,BwO00o0357,12158,Binding affinity of 5-hydroxytryptamine 1A receptor using [3H]-8-OH-DPAT as radioligand.,B,,,,,
1095,,Au5ocurayion,8,,BAO0909357,13481,Binding affinity of [3H]- -8-OH-DPAT labelled towards Rat Hippocampal 5-hydroxytryptamine 1A receptor using radioligand binding assay,B,,,,,
1096,Invitto,Autoduratioh,8,,gAO0o00219,13427,Binding affinity of [3H]-8-OH-DPAT towards 5-hydroxytryptamine 1A receptor in cloned mammalian receptor expressed in cultured cells or from rat whole brain.,B,,,,,
1097,,Ahtocuragion,8,,nxO0000357,10210,Binding affinity of compound against 5-hydroxytryptamine 1A receptor binding site using radioligand [3H]8-OH-DPAT,B,,,,,
1098,,sutoc8ration,8,,BAO0000w59,10205,Binding affinity of compound towards 5-HT 1A receptor by measuring ability to displace [3H]OH-DPAT from 5-hydroxytryptamine 1A receptor in rat striatal membranes,B,,,,,
1099,,Aitocutation,8,,BAO009o249,10205,Binding affinity of compound towards 5-HT 1A receptor by measuring ability to displace [3H]OH-DPAT from 5-hydroxytryptamine 1A receptor in rat striatal membranes,B,,,,,
1100,,Edpert,8,,nAO000o249,10205,Binding affinity of compound towards 5-hydroxytryptamine 1A receptor in rat striatal membranes by [3H]OH-DPAT displacement.,B,,,,,
1101,,Expdrt,9,,fAO00o0357,12280,Binding affinity for 5-hydroxytryptamine 1A receptor with [3H]5-HT,B,,Rattus norvegicus,10116.0,,
1102,,dxpert,8,,BAO000o35i,17386,Binding affinity to the rat 5-hydroxytryptamine 1A receptor,B,,,,,
1103,,Exoert,8,,hzO0000357,13654,Binding affinity was tested on 5-hydroxytryptamine 1A receptor using radioligand [3H]5-HT binding assay.,B,,,,,
1104,,Aut8curatioj,8,,fxO0000221,14423,Binding affinity against 5-hydroxytryptamine 1A receptor from rat hippocampus using [3H]8-OH-DPAT as the radioligand.,B,,,,,Hippocampus
1105,,qutocugation,8,,BAO00pp221,15412,Binding affinity against 5-hydroxytryptamine 1A receptor of rat hippocampus tissue.,B,,,,,Hippocampus
1106,,sutocurat8on,8,,BAO00p0e21,12073,Binding affinity by measuring displacement of [3H]8-OH-DPAT from 5-hydroxytryptamine 1A receptor in rat hippocampus,B,,,,,Hippocampus
1107,,Exlert,9,,BAO009o357,4101,Displacement of [3H]8-OH-DPAT from rat striata 5-hydroxytryptamine 1A receptor,B,,Rattus norvegicus,10116.0,,
1108,,Autkcudation,8,,BAO09003y7,10062,Binding affinity in radioreceptor binding assay by using [3H]5-HT radioligand against 5-hydroxytryptamine 1A receptor,B,,,,,
1109,,Autocurahi0n,8,,nAO00o0249,6238,Binding affinity towards 5-HT 1A receptor in rat cerebral cortex membranes using [3H]8-OH-DPAT as radioligand,B,,,,,
1110,,xutocurat8on,8,,BAO90003y7,16273,Binding affinity towards 5-hydroxytryptamine 1A receptor,B,,,,,
1111,,Autpcuratkon,8,,BA000p0357,11139,Binding affinity towards 5-hydroxytryptamine 1A receptor using [3H]8-OH-DPAT as radioligand in competitive binding assay,B,,,,,
1112,,Expedt,8,,BAO009o019,16796,Binding affinity towards 5-hydroxytryptamine 1A receptor from rat hippocampal membranes,B,,,,,
1113,,Experr,9,,gAO00002e1,9548,Binding affinity towards 5-hydroxytryptamine 1A receptor in rat brain,B,,Rattus norvegicus,10116.0,,Brain
1114,,Autocuratopn,8,,vA00000221,10381,Binding affinity towards 5-hydroxytryptamine 1A receptor in rat brain,B,,,,,Brain
1115,,A7tocueation,8,,BAO9000248,13408,Binding affinity towards 5-hydroxytryptamine 1A receptor in rat hypocampus membrane using [3H]8-OH-DPAT as radioligand,B,,,,,
1116,,Exoert,9,,BAO00902w1,13825,Binding affinity towards 5-hydroxytryptamine 1A receptor in the rat brain (hippocampus) using [3H]8-OH-DPAT,B,,Rattus norvegicus,10116.0,,Hippocampus
1117,,Ex9ert,8,,BxO0009221,11147,Binding affinity towards 5-hydroxytryptamine 1A receptor of rat hippocampus using [3H]-8-hydroxy-2-(di-n-propylamine) tetralin (8-OH-DPAT) as a radioligand,B,,,,,Hippocampus
1118,,Autoc7ratiln,8,,gAO0000349,10552,Binding affinity towards 5-hydroxytryptamine 1A receptor sites in cortical membranes using [3H]8-OH-DPAT as radioligand,B,,,,,
1119,,Autocyratkon,8,,gqO0000249,10552,"Binding affinity towards 5-hydroxytryptamine 1A receptor sites, in rat striatum membranes using [3H]- sandoz 205-501 as radioligand",B,,,,,Striatum
1120,,Experf,9,,BAO00001t9,17136,Displacement of [3H]8-OH-DPAT from 5-hydroxytryptamine 1A receptor of rat cortex membranes,B,,Rattus norvegicus,10116.0,,
1121,,Exoert,9,,BAO0900259,5778,Displacement of [3H]8-OH-DPAT from 5-hydroxytryptamine 1A receptor of rat cerebral cortex membranes,B,,Rattus norvegicus,10116.0,,
1122,,A7tockration,8,,vAO0000321,13481,Binding affinity towards rat hippocampal 5-hydroxytryptamine 1A receptor using [3H]8-OH-DPAT as radioligand,B,,,,,Hippocampus
1123,,Au5ocurztion,8,,BAp0o00221,13481,Binding affinity towards rat hippocampal 5-hydroxytryptamine 1A receptor using [3H]8-OH-DPAT as radioligand; Not tested,B,,,,,Hippocampus
1124,,8n4ermediate,8,,BAO00o0222,13630,Binding affinity against rat hippocampal 5-hydroxytryptamine 1A (5-HT1A) receptor determined using [3H]8-OH-DPAT as radioligand,B,,,,,Hippocampus
1125,,Ex0ert,8,,BAO00o0149,16245,Binding was determined on 5-hydroxytryptamine 1A receptor in rat hippocampal membranes,B,,,,,
1126,,sutocurati9n,8,,BAO9900221,14509,Binding affinity was evaluated against 5-hydroxytryptamine 1A receptor on rat hippocampus using [3H]8-OH-DPAT as radioligand,B,,,,,Hippocampus
1127,,Exoert,8,,BAO00p022w,14509,Binding affinity against 5-hydroxytryptamine 1A receptor on rat hippocampus using [3H]8-OH-DPAT as radioligand.,B,,,,,Hippocampus
1128,,xutocuratkon,8,,BAO00092e1,14509,Binding affinity was evaluated against 5-hydroxytryptamine 1A receptor on rat hippocampus using [3H]8-OH-DPAT as radioligand.; ND = Not determined,B,,,,,Hippocampus
1129,,Autic7ration,8,,BAi0o00221,14509,Binding affinity was evaluated against 5-hydroxytryptamine 1A receptor on rat hippocampus using [3H]8-OH-DPAT as radioligand; ND = Not determined,B,,,,,Hippocampus
1130,,Exp4rt,8,,vAO000p019,14256,Binding affinity was evaluated by determining in vitro displacement of [3H]8-OH-DPAT from the central 5-hydroxytryptamine 1A receptor recognition site in rat frontal cortex homogenate.,B,,,,,
1131,,Autocurat7pn,8,,Bx80000357,11139,Binding affinity was evaluated by using [3H]8-OH-DPAT radioligand by using competitive binding assay on 5-hydroxytryptamine 1A receptor,B,,,,,
1132,,dxpert,9,,BAO00o0010,11047,Binding affinity for 5-HT1A measured by displacing [3H]8-OH-DPAT from rat cortical membranes; Not determined,B,,Rattus norvegicus,10116.0,,
1133,,Eapert,9,,BAO90000w9,11047,Binding affinity for 5-hydroxytryptamine 1A receptor measured by displacing [3H]8-OH-DPAT from rat cortical membranes,B,,Rattus norvegicus,10116.0,,
1134,,Exprrt,9,,hAO0000919,11047,Binding affinity for 5-hydroxytryptamine 1A receptor measured by displacing [3H]8-OH-DPAT from rat cortical membranes;ND-Not determined,B,,Rattus norvegicus,10116.0,,
1135,,Expedt,9,323.0,BAO00003q9,2395,Binding affinity against [3H]8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor expressed in CHO-K1 cells,B,,Rattus norvegicus,10116.0,,
1136,,Auhocura5ion,8,,BAO09003t7,9699,Binding affinity towards 5-hydroxytryptamine 1A receptor,B,,,,,
1137,,Ecpert,9,,BwO9000221,12028,Binding affinity towards 5-hydroxytryptamine 1A receptor by the displacement of [125I]trans-8-OH-PIPAT in membrane homogenates of hippocampal tissue of rat brain,B,,Rattus norvegicus,10116.0,,Hippocampus
1138,,Autocurqgion,8,,BAp0000321,12028,Binding affinity towards 5-hydroxytryptamine 1A receptor by the displacement of [3H]8-OH-DPAT in membrane homogenates of hippocampal tissue of rat brain,B,,,,,Hippocampus
1139,,Autoc8ratiln,8,,BAp0p00019,5815,Binding affinity towards 5-hydroxytryptamine 1A receptor in rat cerebral cortex,B,,,,,
1140,,sxpert,8,,BAl00p0019,16616,Binding affinity towards 5-hydroxytryptamine 1A receptor in rat frontal cortex homogenates,B,,,,,
1141,,Autochrati9n,8,,BAO900001o,5815,Binding affinity towards 5-hydroxytryptamine 1A receptor in rat cerebral cortex using [3H]-8-OH-DPAT,B,,,,,
1142,,Autoduratiob,8,,Bw90000221,2761,"Binding affinity towards 5-hydroxytryptamine 1A receptor using 0.1 nM [3H]-8-OH-DPAT (8-hydroxy-2-(di-n-propylamino)tet-ralin), from rat hippocampal homogenate",B,,,,,Hippocampus
1143,,Exlert,8,,BwO0000r57,13133,Binding affinity was determined against 5-hydroxytryptamine 1A receptor using [3H]WB-4101,B,,,,,
1144,,Aut9curatjon,8,,BAO09o0019,10444,Binding affinity was determined against 5-hydroxytryptamine 1A receptor was determined in male Sprague-Dawley rat brain.,B,,,,,
1145,,Exoert,9,,BzO0o00357,13278,Binding affinity was measured against 5-hydroxytryptamine 1A receptor by displacement of [3H]8-OH-DPAT by lysergic acid amides,B,,Rattus norvegicus,10116.0,,
1146,,Aurocurztion,8,,BAk0009357,15874,Binding affinity was measured on cloned rat 5-hydroxytryptamine 1A receptor which is labeled by [3H]8-OH-DPAT,B,,,,,
1147,,Ajtocurahion,8,,BAp00002r9,10552,"Binding affinity of the compound towards 5-hydroxytryptamine 1A receptor sites, in rat striatum membranes using [3H]- sandoz 205-501 as radioligand",B,,,,,Striatum
1148,,Autpcurahion,8,,BAO00o035u,11130,Binding constant against 5-hydroxytryptamine 1A receptor (in vitro),B,,,,,
1149,Invivp,Autocu4ztion,8,,BA09000218,11130,Binding constant against 5-hydroxytryptamine 1A receptor (in vivo),B,,,,,
1150,,Autofurwtion,8,,BAO090022q,14542,Compound is evaluated for binding affinity towards 5-hydroxytryptamine 1A receptor using [3H]-8-OH- -DPAT in rat brain cortex,B,,,,,Brain
1151,,Espert,9,,BA90000r57,13670,Inhibition of [3H]8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor,B,,Rattus norvegicus,10116.0,,
1152,,Experr,8,,BAOo000w49,9888,Binding affinity at [3H]8-OH-DPAT-Labeled 5-hydroxytryptamine 1A receptor sites in rat brain hippocampal membranes,B,,,,,
1153,,Exoert,9,,gAO0000248,3678,Displacement of [3H]8-OH-DPAT from 5-hydroxytryptamine 1A receptor of rat hippocampus membranes,B,,Rattus norvegicus,10116.0,,
1154,,Aut0curqtion,8,,gAO000o221,11332,Compound was evaluated for in vitro binding affinity towards 5-hydroxytryptamine 1A receptor in rat hippocampus using [3H]8-OH-DPAT as radioligand,B,,,,,Hippocampus
1155,,quhocuration,8,,vAO00002w1,11332,Compound was evaluated for in vitro binding affinity towards serotonin 5-hydroxytryptamine 1A receptor receptor in rat hippocampus using [3H]8-OH-DPAT as radioligand,B,,,,,Hippocampus
1156,,Expe5t,8,,gAO0900357,1185,Ability to displace [3H]-8-OH-DPAT from serotonergic 5-hydroxytryptamine 1A receptor,B,,,,,
1157,,Expe4t,8,,nAO000p249,2014,Binding affinity at 5-hydroxytryptamine 1A receptor in rat cerebral cortex membranes by [3H]8-OH-DPAT displacement.,B,,,,,
1158,,sutocuratoon,8,,BAO00p03r7,1185,Compound was evaluated for its ability to displace [3H]8-OH-DPAT from serotonergic 5-hydroxytryptamine 1A receptor,B,,,,,
1159,,Exp3rt,8,,BzO0000029,14429,Compound was evaluated for its binding affinity against 5-hydroxytryptamine 1A receptor from rat cerebral cortex,B,,,,,
1160,,rxpert,8,,vAO00p0019,16288,"Binding affinity to 5-hydroxytryptamine 1A receptor (5-HT 1A receptor, serotonin receptor) from rat cortex using [3H]8-OH-DPAT as radioligand",B,,,,,
1161,,Ex9ert,9,,BAOo0p0019,5432,Displacement of [3H]prazosin from rat cortex membrane 5-hydroxytryptamine 1A receptor,B,,Rattus norvegicus,10116.0,,
1162,,Autofurqtion,8,,BAO00p0p19,14429,Compound was evaluated for its binding affinity with 5-hydroxytryptamine 1A receptor using membranes prepared from rat cerebral cortex,B,,,,,
1163,,Exlert,8,,BAOpp00357,13672,Binding affinity towards rat 5-hydroxytryptamine 1A receptor using [3H]8-OH-DPAT radioligand.,B,,,,,
1164,,Expfrt,8,,BAOp000q21,11296,In vitro ability to displace [3H]8-hydroxy-2-(di-n-propylamino) tetralin binding from 5-hydroxytryptamine 1A receptor site in rat brain hippocampus,B,,,,,Hippocampus
1165,,Auhocjration,8,,BAOo0p0357,11296,In vitro ability to displace [3H]8-hydroxy-2-(di-n-propylamino) tetralin binding from 5-hydroxytryptamine 1A receptor site.,B,,,,,
1166,,rxpert,8,171.0,BAO000921o,14749,Binding affinity against rat 5-hydroxytryptamine 1A receptor in CHO cells.,B,,,,,
1167,,Expe3t,8,,BAO0p000q9,15086,Binding affinity towards 5-hydroxytryptamine 1A receptor from rat brain using [3H]-8-OH-DPAT as radioligand,B,,,,,
1168,,xutocurxtion,8,,BAO0000q22,13462,Compound was tested for the Binding affinity against rat hippocampal 5-hydroxytryptamine 1A receptor by Radio ligand [3H]8-OH-DPAT binding assay.,B,,,,,Hippocampus
1169,,Autoc8rati8n,8,,Bwk0000019,15363,Compound was tested for the displacement of [3H]-8-OH- DPAT from rat brain 5-hydroxytryptamine 1A receptor,B,,,,,
1170,,Autocurat9oj,8,,hsO0000019,15363,Compound was tested for the displacement of [3H]-8-OH- DPAT from rat brain 5-hydroxytryptamine 1A receptor,B,,,,,
1171,,wutocura5ion,8,,BAOp000347,10796,Compound was tested in vitro for binding affinity for 5-hydroxytryptamine 1A receptor,B,,,,,
1172,,Expe4t,8,,BAO000023q,12816,Binding affinity for 5-hydroxytryptamine 1A receptor in rat brain tissue using [3H]8-OH-DPAT as radioligand,B,,,,,Brain
1173,,Expe3t,8,,BAO0p0022q,13542,In vitro displacement of [3H]8-OH-DPAT binding to rat hippocampal 5-hydroxytryptamine 1A receptor,B,,,,,Hippocampus
1174,,Exp4rt,8,,BzO0009019,13308,In vitro ability to displace [3H]8-OH-DPAT from 5-hydroxytryptamine 1A receptor sites of rat brain cortex.,B,,,,,
1175,,Ecpert,8,,hAO0000231,13541,In vitro affinity at 5-hydroxytryptamine 1A receptor of rat hippocampus by [3H]8-OH-DPAT displacement.,B,,,,,Hippocampus
1176,,Ahtocurxtion,8,,BAO090o221,10058,In vitro ability to inhibit [3H]8-OH-DPAT binding to 5-HT1A receptor of rat hippocampus and the value ranges from 9 - 12,B,,,,,Hippocampus
1177,,Aitocuratipn,8,,BAO0p00e21,10058,In vitro ability to inhibit [3H]8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor of rat hippocampus,B,,,,,Hippocampus
1178,,Autlcutation,8,,BAO0000232,10058,In vitro ability to inhibit [3H]8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor of rat hippocampus (94%CI) from 12 to 17,B,,,,,Hippocampus
1179,,Autovuratiog,8,,BAO9000321,10058,In vitro ability to inhibit [3H]8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor of rat hippocampus (94%CI) from 391-841,B,,,,,Hippocampus
1180,,A7tocurstion,8,,BAO00o022q,10058,In vitro ability to inhibit [3H]8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor of rat hippocampus and the value ranges from 12 to 17.,B,,,,,Hippocampus
1181,,Autocu3atioj,8,,BAO000ow21,10058,In vitro ability to inhibit [3H]8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor of rat hippocampus and the value ranges from 12 to 20.,B,,,,,Hippocampus
1182,,Autoxiration,8,,BAO0099221,10058,In vitro ability to inhibit [3H]8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor of rat hippocampus and the value ranges from 245 to 736,B,,,,,Hippocampus
1183,,Aufocuratioh,8,,BAlo000221,10058,In vitro ability to inhibit [3H]8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor of rat hippocampus and the value ranges from 25 - 84,B,,,,,Hippocampus
1184,,Autosyration,8,,BA000p0221,10058,In vitro ability to inhibit [3H]8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor of rat hippocampus and the value ranges from 48 to 59,B,,,,,Hippocampus
1185,,Aktocurafion,8,,BAO00002qq,10058,In vitro ability to inhibit [3H]8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor of rat hippocampus and the value ranges from 3 -5,B,,,,,Hippocampus
1186,,Autocurxtiom,8,,BA800p0221,10058,In vitro ability to inhibit [3H]-8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor of rat hippocampus and value ranges from 15 - 31,B,,,,,Hippocampus
1187,,Autockrwtion,8,,BAO00902w1,10058,In vitro ability to inhibit [3H]8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor of rat hippocampus and value ranges from 27 - 42,B,,,,,Hippocampus
1188,,Autofurati9n,8,,fAO0p00221,10058,In vitro ability to inhibit [3H]8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor of rat hippocampus and value ranges from 6 - 13,B,,,,,Hippocampus
1189,,Exoert,9,,BqO0000q21,10058,Inhibition of [3H]8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor of rat hippocampus,B,,Rattus norvegicus,10116.0,,Hippocampus
1190,,Autocuratkog,8,,BAO9000e21,10058,In vitro ability to inhibit [3H]8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor of rat hippocampus.; ND is No Data.,B,,,,,Hippocampus
1191,,A6tocurayion,8,,vwO0000221,10058,In vitro ability to inhibit [3H]-8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor of rat hippocampus. and the value ranges from 16 - 27,B,,,,,Hippocampus
1192,,Expeft,8,,BAO00000qi,12879,Displacement of [3H]2-(di-N-propylamino)-8-hydroxytetralin from central 5-hydroxytryptamine 1A receptor recognition sites in rat frontal cortex homogenates.,B,,,,,
1193,,Exoert,8,,BAO0p000w9,11964,Displacement of radioligand [3H]2-(di-N-propylamino)-8-hydroxytetralin from 5-hydroxytryptamine 1A receptor in rat frontal cortex homogenate,B,,,,,
1194,,Auticuratkon,8,,BAO900p019,11964,Displacement of radioligand [3H]2-(di-N-propylamino)-8-hydroxytetralin from 5-hydroxytryptamine 1A receptor in rat frontal cortex homogenate (experiment 1),B,,,,,
1195,,xutocurstion,8,,BxO0o00019,11964,Displacement of radioligand [3H]2-(di-N-propylamino)-8-hydroxytetralin from 5-hydroxytryptamine 1A receptor in rat frontal cortex homogenate (experiment 2),B,,,,,
1196,,Ex0ert,8,,BAO9o00221,9548,Evaluated for binding affinity towards 5-hydroxytryptamine 1A receptor in rat brain,B,,,,,Brain
1197,,Ezpert,8,,BA000p0019,9098,Evaluated for the binding affinity to hippocampus striatal membranes at 5-hydroxytryptamine 1A receptor binding site by using [3H]-8-OH- DPAT as a radioligand.,B,,,,,
1198,,Autocjratkon,8,,BAOp00001o,9098,Evaluated for the binding affinity to hippocampus striatal membranes at 5-hydroxytryptamine 1A receptor binding site by using [3H]-8-OH- DPAT as a radioligand; ND is no data.,B,,,,,
1199,,Autovuratlon,8,,BwO0090019,9098,Evaluated for the binding affinity to hippocampus striatal membranes at 5-hydroxytryptamine 1A receptor binding site by using [3H]-8-OH- DPAT as a radioligand;ND means no data,B,,,,,
