assays_ASSI,assays_CEI,assays_ASORG,assays_BFO,assays_ASCT,assays_SI,assays_AST,assays_CURAB,assays_ASTET,assays_CONSCO,assays_Des,assays_T,assays_RELTY,assays_SASSI,assays_CHEI,assays_TISI,assays_VARI
4675,,Sus scrofa,BAO_0000019,,1,A,Autocuration,,0,Vmax value was measured at 5 uM concentration of silyl ether.,22224,U,,CHEMBL620970,,
4676,,Homo sapiens,BAO_0000357,,1,B,Expert,,9,Inactivation of human leukocyte (neutrophil) elastase(HLE)(HNE) as rate constant,235,D,,CHEMBL620971,,
4677,,Homo sapiens,BAO_0000218,,1,A,Autocuration,,0,Area under curve was evaluated against man at a dose of 10 mg/kg after po administration,22224,U,,CHEMBL620972,,
4678,,Homo sapiens,BAO_0000019,,1,A,Autocuration,,0,Compound was evaluated for area under the curve expressed as (h*ug/ml),22224,U,,CHEMBL620973,,
4679,,Homo sapiens,BAO_0000019,,1,A,Autocuration,,0,Active metabolite of ifosfamide determined in humans; A-Active,22224,U,,CHEMBL618243,,
4680,,Homo sapiens,BAO_0000019,,1,A,Autocuration,,0,Amount of tecadenoson present after 30 min in the liver S-9 assay as determined by mass specanalysis,22224,U,,CHEMBL618244,,
4681,,Homo sapiens,BAO_0000019,,1,A,Autocuration,,0,Amount of tecadenoson present after 30 min in the liver S-9 assay as determined by mass specanalysis; -0.5 to 1,22224,U,,CHEMBL618245,,
4682,,Homo sapiens,BAO_0000019,,1,A,Autocuration,,0,Amount of tecadenoson present after 30 min in the liver S-9 assay as determined by mass specanalysis; 1-2,22224,U,,CHEMBL618246,,
4683,,Homo sapiens,BAO_0000019,,1,A,Autocuration,,0,Amount of tecadenoson present after 30 min in the liver S-9 assay as determined by mass specanalysis; trace,22224,U,,CHEMBL618247,,
4684,,Homo sapiens,BAO_0000218,,1,A,Autocuration,,0,Compound was evaluated for oral bioavailability in human,22224,U,,CHEMBL618248,,
4685,,Homo sapiens,BAO_0000019,,1,A,Autocuration,,0,Metabolite of ifosfamide determined in urine; NF-Not found,22224,U,,CHEMBL618249,1088.0,
4686,,Homo sapiens,BAO_0000019,,1,A,Autocuration,,0,Percent of compound in cirrhotic patients of spontaneous ascitic fluid infection (Group A and B),22224,U,,CHEMBL618250,,
4687,,Homo sapiens,BAO_0000019,,1,A,Autocuration,,0,Percent of compound in cirrhotic patients of spontaneous ascitic fluid infection after dosing with normal antibiotics,22224,U,,CHEMBL874598,,
4688,,Homo sapiens,BAO_0000019,,1,A,Autocuration,,0,Percent of compound in cirrhotic patients of spontaneous ascitic fluid infection after dosing with normal antibiotics and lactose,22224,U,,CHEMBL618251,,
4689,,Homo sapiens,BAO_0000019,,1,A,Autocuration,,0,Percent of compound in cirrhotic patients of spontaneous ascitic fluid infection before dosing with normal antibiotics,22224,U,,CHEMBL618252,,
4690,,Homo sapiens,BAO_0000019,,1,A,Autocuration,,0,Percent of compound in cirrhotic patients of spontaneous ascitic fluid infection before dosing with normal antibiotics and lactose,22224,U,,CHEMBL618253,,
4691,,Homo sapiens,BAO_0000019,,1,A,Autocuration,,0,Percent of compound in cirrhotic patients of sterile ascitic fluid (Group C),22224,U,,CHEMBL618254,,
4692,,Homo sapiens,BAO_0000019,,1,A,Autocuration,,0,Percent of compound in healthy individuals (Group D),22224,U,,CHEMBL618255,,
4693,,Homo sapiens,BAO_0000251,,1,A,Autocuration,,0,Percent of the parent compound remaining after 20 mins incubation with human liver microsomes,22224,U,,CHEMBL618983,2107.0,
4694,,Homo sapiens,BAO_0000019,,1,A,Autocuration,,0,Binding towards human plasma protein at 10 uM,22224,U,,CHEMBL618984,,
4695,,Homo sapiens,BAO_0000019,,1,A,Autocuration,,0,Binding towards human plasma protein at 100 uM,22224,U,,CHEMBL618985,,
4696,,Homo sapiens,BAO_0000019,,1,A,Autocuration,,0,Human plasma protein binding activity was determined,22224,U,,CHEMBL618986,,
4697,,Homo sapiens,BAO_0000019,,1,A,Autocuration,,0,The ability binding to plasma (Binding classified based on injection of compound at 80 concentration.),22224,U,,CHEMBL618987,,
4698,,Homo sapiens,BAO_0000019,,1,A,Autocuration,,0,Percent binding of compound towards human plasma protein was determined,22224,U,,CHEMBL618988,,
4699,,Homo sapiens,BAO_0000251,,1,A,Autocuration,In vitro,0,Plasma clearance in human liver microsomes,22224,U,,CHEMBL618989,2107.0,
4700,,Homo sapiens,BAO_0000251,,1,A,Autocuration,In vitro,0,In vitro intrinsic clearance in human liver microsome,22224,U,,CHEMBL618990,2107.0,
4701,,Homo sapiens,BAO_0000251,,1,A,Autocuration,In vitro,0,In vitro intrinsic clearance in human liver microsome,22224,U,,CHEMBL618991,2107.0,
4702,,Homo sapiens,BAO_0000251,,1,A,Autocuration,In vitro,0,In vitro microsome metabolism clearance in human was determined,22224,U,,CHEMBL876725,,
4703,,Homo sapiens,BAO_0000251,,1,A,Autocuration,In vitro,0,In vitro microsome metabolism clearance in human was determined; High,22224,U,,CHEMBL618992,,
4704,,Homo sapiens,BAO_0000251,,1,A,Autocuration,In vitro,0,In vitro microsome metabolism clearance in human was determined; ND denotes no data,22224,U,,CHEMBL618993,,
4705,,Homo sapiens,BAO_0000251,,1,A,Autocuration,In vitro,0,Pharmacokinetic property (clearance) in human liver microsome,22224,U,,CHEMBL618994,2107.0,
4706,,Homo sapiens,BAO_0000251,,1,A,Autocuration,In vitro,0,Plasma clearance in human liver microsomes,22224,U,,CHEMBL618995,2107.0,
4707,,Homo sapiens,BAO_0000251,,1,A,Autocuration,In vitro,0,In vitro clearance in human liver microsomes,22224,U,,CHEMBL618996,2107.0,
4708,,Homo sapiens,BAO_0000251,,1,A,Autocuration,In vitro,0,Intrinsic clearance in human liver microsomes was determined,22224,U,,CHEMBL618997,2107.0,
4709,,Homo sapiens,BAO_0000251,,1,A,Autocuration,In vitro,0,Intrinsic clearance in human liver microsomes was determined,22224,U,,CHEMBL618998,2107.0,
4710,,Homo sapiens,BAO_0000218,,1,A,Autocuration,In vivo,0,Cmax (Tissue distribution) of compound was determined at a dose of 5 mg/kg in human,22224,U,,CHEMBL618999,,
4711,,Homo sapiens,BAO_0000218,,1,A,Autocuration,In vivo,0,Maximum concentration was evaluated against man at a dose of 10 mg/kg after po administration,22224,U,,CHEMBL620223,,
4712,,Homo sapiens,BAO_0000218,,1,A,Autocuration,,0,Cmin (Clearance) of compound was determined at a dose of 5 mg/kg in human,22224,U,,CHEMBL620224,,
4713,,Homo sapiens,BAO_0000019,,1,A,Autocuration,,0,Stability in human plasma 2 hr after incubation expressed as percent concentration,22224,U,,CHEMBL620225,,
4714,,Homo sapiens,BAO_0000019,,1,A,Autocuration,,0,Stability in human plasma 4 hr after incubation expressed as percent concentration,22224,U,,CHEMBL620226,,
4715,,Homo sapiens,BAO_0000019,,1,A,Autocuration,,0,Portion of holoxan excreted in the form of the metabolite from 1200 mL of urine on day 3 was determined in embryonal rhabdomyosarcoma patients treated with ifosfamide,22224,U,,CHEMBL620227,1088.0,
4716,,Homo sapiens,BAO_0000019,,1,A,Autocuration,,0,Portion of holoxan excreted in the form of the metabolite from 1200 mL of urine on day 7 was determined in embryonal rhabdomyosarcoma patients treated with ifosfamide,22224,U,,CHEMBL876726,1088.0,
4717,,Homo sapiens,BAO_0000019,,1,A,Autocuration,,0,Portion of holoxan excreted in the form of the metabolite from 1300 mL of urine on day 6 was determined in embryonal rhabdomyosarcoma patients treated with ifosfamide,22224,U,,CHEMBL620228,1088.0,
4718,,Homo sapiens,BAO_0000019,,1,A,Autocuration,,0,Portion of holoxan excreted in the form of the metabolite from 1300 mL of urine on day 8 was determined in embryonal rhabdomyosarcoma patients treated with ifosfamide,22224,U,,CHEMBL620229,1088.0,
4719,,Mus musculus,BAO_0000218,,1,F,Intermediate,In vivo,1,Mean-residence time was determined for compound after intraperitoneal administration in mice at 23 uM/kg,50594,N,,CHEMBL620230,,
4720,,Mus musculus,BAO_0000218,,1,F,Intermediate,In vivo,1,Mean-residence time was determined for compound after intraperitoneal administration in mice at 25 uM/kg,50594,N,,CHEMBL620231,,
4721,,Mus musculus,BAO_0000218,,1,F,Intermediate,In vivo,1,Mean-residence time was determined for compound after intraperitoneal administration in mice at 26 uM/kg,50594,N,,CHEMBL620232,,
4722,,Mus musculus,BAO_0000218,,1,F,Intermediate,In vivo,1,Mean-residence time was determined for compound intravenous administration in mice at 23 uM/kg,50594,N,,CHEMBL620233,,
4723,,Mus musculus,BAO_0000218,,1,A,Intermediate,,1,Metabolism of compound in Mouse S9 microsomes ('++++'indicates largest observed peak),50594,N,,CHEMBL620234,,
4724,,Mus musculus,BAO_0000218,,1,A,Intermediate,,1,Metabolism of compound in mouse S9 microsomes ('+''indicates <20% largest observed peak),50594,N,,CHEMBL620235,,
4725,,Mus musculus,BAO_0000218,,1,A,Intermediate,,1,Metabolism of compound in mouse S9 microsomes ('++++' indicates largest observed peak),50594,N,,CHEMBL620236,,
4726,,Mus musculus,BAO_0000218,,1,A,Intermediate,,1,In vitro metabolic potential in mouse liver microsomes,50594,N,,CHEMBL620237,2107.0,
4727,,Mus musculus,BAO_0000218,,1,A,Intermediate,,1,Ability of compound to bind to plasma protein was evaluated in HSA cells,50594,N,,CHEMBL620238,,
4728,,Mus musculus,BAO_0000218,,1,A,Intermediate,,1,Compound was tested for radioactivity level in mice adrenal glands (Compound is radiolabeled),50594,N,,CHEMBL620239,2369.0,
4729,,Mus musculus,BAO_0000218,,1,A,Intermediate,,1,Compound was tested for radioactivity level in mice brain (Compound is radiolabeled); 2.2-4.9% ID/g,50594,N,,CHEMBL620240,955.0,
4730,,Mus musculus,BAO_0000218,,1,A,Intermediate,,1,Compound was tested for radioactivity level in mice brain (Compound is radiolabeled); 2.6-4.4% ID/g,50594,N,,CHEMBL620241,955.0,
4731,,Mus musculus,BAO_0000218,,1,A,Intermediate,,1,Compound was tested for radioactivity level in mice heart (Compound is radiolabeled),50594,N,,CHEMBL876727,,
4732,,Mus musculus,BAO_0000218,,1,A,Intermediate,,1,Compound was tested for radioactivity level in mice kidney (Compound is radiolabeled),50594,N,,CHEMBL620242,2113.0,
4733,,Mus musculus,BAO_0000218,,1,A,Intermediate,,1,Compound was tested for radioactivity level in mice lungs (Compound is radiolabeled),50594,N,,CHEMBL620243,,
4734,,Mus musculus,BAO_0000218,,1,A,Intermediate,,1,Tested for urinary recovery in mice after subcutaneous administration of 20 mg/Kg,50594,N,,CHEMBL620244,,
4735,,Mus musculus,BAO_0000218,,1,A,Intermediate,,1,Compound was evaluated for its potency in CDF1 mice and the serum cholesterol levels were determined,50594,N,,CHEMBL620245,1977.0,
4736,,Mus musculus,BAO_0000218,,1,A,Intermediate,,1,Compound was evaluated for its potency in CDF1 mice and the serum metabolite levels were determined,50594,N,,CHEMBL620246,1977.0,
4737,,Mus musculus,BAO_0000218,,1,A,Intermediate,,1,Compound was evaluated for its potency in CDF1 mice and the serum triglyceride levels were determined,50594,N,,CHEMBL620247,1977.0,
4738,,Mus musculus,BAO_0000218,,1,A,Intermediate,In vivo,1,Half life of compound was determined in plasma of mice at 24 mg/Kg,50594,N,,CHEMBL620248,1969.0,
4739,,Mus musculus,BAO_0000218,,1,A,Intermediate,In vivo,1,Half life of compound was determined in plasma of mice at 40 mg/Kg,50594,N,,CHEMBL873497,1969.0,
4740,,Mus musculus,BAO_0000218,,1,A,Intermediate,In vivo,1,Half life of compound was determined in plasma of mice at 5 mg/Kg,50594,N,,CHEMBL620249,1969.0,
4741,,Mus musculus,BAO_0000218,,1,F,Intermediate,In vivo,1,Half life after intraperitoneal administration in mice at 18 uM/kg,50594,N,,CHEMBL620250,,
4742,,Mus musculus,BAO_0000218,,1,F,Intermediate,In vivo,1,Half life after intraperitoneal administration in mice at 23 uM/kg,50594,N,,CHEMBL620251,,
4743,,Mus musculus,BAO_0000218,,1,F,Intermediate,In vivo,1,Half life after intraperitoneal administration in mice at 25 uM/kg,50594,N,,CHEMBL620252,,
4744,,Mus musculus,BAO_0000218,,1,F,Intermediate,In vivo,1,Half life after intraperitoneal administration in mice at 26 uM/kg,50594,N,,CHEMBL620253,,
4745,,Mus musculus,BAO_0000218,,1,F,Intermediate,In vivo,1,Half life after intravenous administration in mice at 23 uM/kg,50594,N,,CHEMBL620254,,
4746,,Mus musculus,BAO_0000218,,1,A,Intermediate,In vivo,1,Half life after intravenous administration in mice at 24 uM/kg,50594,N,,CHEMBL620255,,
4747,,Mus musculus,BAO_0000218,,1,A,Intermediate,In vivo,1,At a dose 50 mg/kg (114 umol/kg) was administered intraperitoneally to mice and was evaluated for T max,50594,N,,CHEMBL620256,,
4748,,Mus musculus,BAO_0000218,,1,A,Intermediate,In vivo,1,Maximum time required to reach Cp max was evaluated in mice after intravenous administration; T max Not determined,50594,N,,CHEMBL876728,,
4749,,Mus musculus,BAO_0000218,,1,A,Intermediate,In vivo,1,Maximum time required to reach Cp max was evaluated in mice after oral administration,50594,N,,CHEMBL620257,,
4750,,Mus musculus,BAO_0000218,,1,A,Intermediate,In vivo,1,At a dose 50 mg/kg (114 umol/kg) was administered intraperitoneally to mice and was evaluated for half life (T1/2),50594,N,,CHEMBL620258,,
4751,,Mus musculus,BAO_0000218,,1,A,Intermediate,In vivo,1,"Compound was evaluated for the pharmacokinetic parameter, Terminal half life period",50594,N,,CHEMBL620259,,
4752,,Mus musculus,BAO_0000218,,1,A,Intermediate,In vivo,1,Evaluated for pharmacokinetic parameter half-life in mouse at the dose 20 mg/kg,50594,N,,CHEMBL620260,,
4753,,Mus musculus,BAO_0000218,,1,A,Intermediate,In vivo,1,Half life of compound in mouse blood following i.v. administration of 10 mg/kg,50594,N,,CHEMBL620261,178.0,
4754,,Mus musculus,BAO_0000218,,1,A,Intermediate,In vivo,1,Half life at a dose of 10 mg/kg intravenous administration in mice.,50594,N,,CHEMBL620262,,
4755,,Mus musculus,BAO_0000218,,1,A,Intermediate,In vivo,1,Half life at a dose of 10 mg/kg peroral administration in mice.,50594,N,,CHEMBL620263,,
4756,,Mus musculus,BAO_0000218,,1,A,Intermediate,,1,Half life in ob/ob mice,50594,N,,CHEMBL620264,,
4757,,Mus musculus,BAO_0000218,,1,A,Intermediate,In vivo,1,Half-life at a single subcutaneous administration of 40 mg/kg in mice,50594,N,,CHEMBL620265,,
4758,,Mus musculus,BAO_0000218,,1,A,Intermediate,,1,Half-life was measured in mouse,50594,N,,CHEMBL620266,,
4759,,Mus musculus,BAO_0000218,,1,A,Intermediate,In vivo,1,In vivo half life period was determined in murine septicemia at dose of 50 mg/kg,50594,N,,CHEMBL620267,,
4760,,Mus musculus,BAO_0000218,,1,A,Intermediate,,1,Time for esterases in unfractionated mouse serum to reduce the concentration due to thio ester deacylation,50594,N,,CHEMBL619364,,
4761,,Mus musculus,BAO_0000218,,1,A,Intermediate,,1,Time for esterases in unfractionated mouse serum to reduce the concentration due to thio ester deacylation; 10 % hydrolysis at 60 mins,50594,N,,CHEMBL619365,,
4762,,Mus musculus,BAO_0000218,,1,A,Intermediate,,1,T2 in brain of mice at the oral dose of 50 mg/kg,50594,N,,CHEMBL619366,955.0,
4763,,Mus musculus,BAO_0000218,,1,A,Intermediate,,1,T2 in kidney of mice at the oral dose of 50 mg/kg,50594,N,,CHEMBL619367,2113.0,
4764,,Mus musculus,BAO_0000218,,1,A,Intermediate,,1,T2 in liver of mice at the oral dose of 50 mg/kg,50594,N,,CHEMBL619368,2107.0,
4765,,Mus musculus,BAO_0000218,,1,A,Intermediate,,1,T2 in lungs of mice at the oral dose of 50 mg/kg,50594,N,,CHEMBL619369,2048.0,
4766,,Mus musculus,BAO_0000218,,1,A,Intermediate,,1,T2 in spleen of mice at the oral dose of 50 mg/kg,50594,N,,CHEMBL876729,2106.0,
4767,,Mus musculus,BAO_0000218,,1,A,Intermediate,In vivo,1,At a dose 50 mg/kg (114 umol/kg) was administered intraperitoneally to mice and was evaluated for T max,50594,N,,CHEMBL619370,,
4768,,Mus musculus,BAO_0000218,,1,A,Intermediate,In vivo,1,"Compound was evaluated for the pharmacokinetic parameter, maximum time constant",50594,N,,CHEMBL619371,,
4769,,Mus musculus,BAO_0000218,,1,A,Intermediate,In vivo,1,Evaluated for pharmacokinetic parameter tmax in mouse at the dose 20 mg/kg,50594,N,,CHEMBL619372,,
4770,,Mus musculus,BAO_0000218,,1,A,Intermediate,In vivo,1,Evaluated for pharmacokinetic parameter tmax in mouse at the dose 20 mg/kg was determined,50594,N,,CHEMBL620012,,
4771,,Mus musculus,BAO_0000218,,1,A,Intermediate,In vivo,1,In vivo Tmax was determined in murine septicemia at dose of 100 mg/kg,50594,N,,CHEMBL620013,,
4772,478.0,Homo sapiens,BAO_0000219,A2780,1,F,Intermediate,,1,"Inhibitory effect of Gold(III) complex, [Au(bipy)-(OH)2]-[PF6] on growth of cisplatin-resistant A2780/R human tumor cell lines",81034,N,,CHEMBL620014,,
4773,478.0,Homo sapiens,BAO_0000219,A2780,1,F,Intermediate,,1,"Inhibitory effect of Gold(III) complex, [Au(bipy-H)(OH)]-[PF6] on growth of cisplatin-resistant A2780/R human tumor cell lines",81034,N,,CHEMBL620015,,
4774,478.0,Homo sapiens,BAO_0000219,A2780,1,F,Intermediate,,1,"Inhibitory effect of Gold(III) complex, 2,2' bipy on growth of cisplatin-sensitive A2780/S human tumor cell lines",81034,N,,CHEMBL621010,,
4775,478.0,Homo sapiens,BAO_0000219,A2780,1,F,Intermediate,,1,"Inhibitory effect of Gold(III) complex, CDDP on growth of cisplatin-sensitive A2780/S human tumor cell lines",81034,N,,CHEMBL621011,,
4776,478.0,Homo sapiens,BAO_0000219,A2780,1,F,Intermediate,,1,"Inhibitory effect of Gold(III) complex, [Au(bipy)-(OH)2]-[PF6] on growth of cisplatin-sensitive A2780/S human tumor cell lines",81034,N,,CHEMBL621012,,
4777,478.0,Homo sapiens,BAO_0000219,A2780,1,F,Intermediate,,1,"Inhibitory effect of Gold(III) complex, [Au(bipy-H)(OH)]-[PF6] on growth of cisplatin-sensitive A2780/S human tumor cell lines",81034,N,,CHEMBL621013,,
4778,478.0,Homo sapiens,BAO_0000219,A2780,1,F,Intermediate,,1,In vitro cytotoxicity against A2780TAX cell line,81034,N,,CHEMBL621014,,
4779,481.0,Homo sapiens,BAO_0000219,A2780cisR,1,F,Intermediate,,1,In vitro inhibitory activity against human tumor cell line A2780cis,80017,N,,CHEMBL618154,,
4780,478.0,Homo sapiens,BAO_0000219,A2780,1,F,Expert,,1,Growth inhibition against A2780 cisplatin resistant wild-type ovarian cell lines,81034,N,,CHEMBL618155,,
4781,481.0,Homo sapiens,BAO_0000219,A2780cisR,1,F,Intermediate,,1,Antitumor activity of compound for 96-h exposure in A2780cisR (acquired resistance to cisplatin) human ovarian cell line,80017,N,,CHEMBL618156,,
4782,481.0,Homo sapiens,BAO_0000219,A2780cisR,1,F,Intermediate,,1,The compound was tested for cytotoxic activity against A2780cisR cell line(human ovarian carcinoma ),80017,N,,CHEMBL618157,,
4783,478.0,Homo sapiens,BAO_0000219,A2780,1,F,Intermediate,,1,Concentration required to inhibit A2780cisR cell growth when compared with control after incubation for 96 h at 37 C,81034,N,,CHEMBL618328,,
4784,478.0,Homo sapiens,BAO_0000219,A2780,1,F,Intermediate,,1,Compound was evaluated against human Ovarian carcinoma cell line A2780cisR,81034,N,,CHEMBL618329,,
4785,478.0,Homo sapiens,BAO_0000219,A2780,1,F,Intermediate,,1,Cytotoxicity against human ovarian carcinoma A2780cisR cell line,81034,N,,CHEMBL618330,,
4786,478.0,Homo sapiens,BAO_0000219,A2780,1,F,Expert,,1,In vitro antitumor activity against A2780cisR cell line.,81034,N,,CHEMBL618331,,
4787,478.0,Homo sapiens,BAO_0000219,A2780,1,F,Intermediate,,1,Tested for the cytotoxicity in A2780cisR ovarian cell line (cisR denotes resistance to cisplatin),81034,N,,CHEMBL618332,,
4788,478.0,Homo sapiens,BAO_0000219,A2780,1,F,Expert,,1,Resistant factor determined between IC50 of resistant line to that of A2780cisR cell line,81034,N,,CHEMBL618333,,
4789,481.0,Homo sapiens,BAO_0000219,A2780cisR,1,F,Intermediate,,1,cytotoxicity against A2780cisR cells incubated for 24 hr in MTT assay,80017,N,,CHEMBL618334,,
4790,478.0,Homo sapiens,BAO_0000219,A2780,1,F,Expert,,1,Inhibition of A2780 / DDP-S human ovarian carcinoma cell proliferation,81034,N,,CHEMBL618335,,
4791,,Rattus norvegicus,BAO_0000019,,1,B,Expert,,9,Inhibition against A2A-Adenosine Receptor of rat PC12 cell membranes,11736,D,,CHEMBL618336,,
4792,,,BAO_0000019,,1,F,Expert,,8,Inhibition against A2A-Adenosine Receptor of rat PC12 cell membranes (functional antagonist activity),11736,H,,CHEMBL618337,,
4793,,Rattus norvegicus,BAO_0000019,,1,F,Expert,,9,Inhibition against A2A-Adenosine Receptor of rat PC12 cell membranes (functional antagonist activity),11736,D,,CHEMBL618338,,
4794,722.0,Homo sapiens,BAO_0000219,HEK293,1,F,Expert,,9,Antagonist activity against human A2B adenosine receptor expressed in HEK293 cells uisng [3H]ZM-241385 or [125I]-IABOPX,278,D,,CHEMBL618339,,
4795,722.0,Homo sapiens,BAO_0000219,HEK293,1,F,Expert,,9,Antagonist activity against human A2B adenosine receptor expressed in HEK293 cells using [3H]ZM-241385 (or) [125 I]IABOPX at 10e-5 M,278,D,,CHEMBL618340,,
4796,,Mus musculus,BAO_0000019,,1,B,Expert,,9,Inhibition against A2B-Adenosine Receptor in mouse NIH 3T3 fibroblast cell membranes,11831,D,,CHEMBL618341,,
4797,,,BAO_0000019,,1,F,Expert,,8,Inhibition against A2B-Adenosine Receptor in mouse NIH 3T3 fibroblast cell membranes (functional antagonist activity),11831,H,,CHEMBL618342,,
4798,,Mus musculus,BAO_0000019,,1,F,Expert,,9,Inhibition against A2B-Adenosine Receptor in mouse NIH 3T3 fibroblast cell membranes (functional antagonist activity),11831,D,,CHEMBL618343,,
4799,,,BAO_0000357,,1,B,Expert,,8,Ability to displace the binding of [3H]-MRE 3008-F20 to the ligand binding site of CHO:hA3 (human Adenosine receptor) at concentration of 10 uM,280,H,,CHEMBL621038,,
4800,574.0,Homo sapiens,BAO_0000219,T-cells,1,F,Autocuration,,0,Compound was tested in vitro for inhibition of cytopathogenicity of LAV(IIIB) in CD4+ T-cells (A3.01),22226,U,,CHEMBL621039,,
4801,574.0,Homo sapiens,BAO_0000219,T-cells,1,F,Autocuration,,0,Compound was tested in vitro for inhibition of cytopathogenicity of LAV(IIIB) in CD4+ T-cells (A3.01); Not active,22226,U,,CHEMBL621040,,
4802,455.0,Homo sapiens,BAO_0000219,A-375,1,F,Intermediate,,1,Compound was evaluated for cytotoxic activity against human melanoma cell line A375,80018,N,,CHEMBL621041,,
4803,455.0,Homo sapiens,BAO_0000219,A-375,1,F,Intermediate,,1,In vitro antitumor activity against A375 (melanoma) human tumor cell lines.,80018,N,,CHEMBL621042,,
4804,455.0,Homo sapiens,BAO_0000219,A-375,1,F,Intermediate,,1,In vitro antitumor activity against A375cell line extracted form melanoma,80018,N,,CHEMBL621043,,
4805,455.0,Homo sapiens,BAO_0000219,A-375,1,F,Expert,,1,Inhibition of cell growth in (A375) melan cell line,80018,N,,CHEMBL621044,,
4806,455.0,Homo sapiens,BAO_0000219,A-375,1,F,Intermediate,,1,In vitro tumor cell growth inhibitory activity against Human melanoma cell lines A375,80018,N,,CHEMBL621045,,
4807,455.0,Homo sapiens,BAO_0000219,A-375,1,F,Intermediate,,1,In vitro tumor cell growth inhibitory activity against Human melanoma cell lines. A375,80018,N,,CHEMBL621046,,
4808,455.0,Homo sapiens,BAO_0000219,A-375,1,F,Intermediate,,1,Compound was tested in vitro for cytotoxicity against A375 cell lines from melanoma.,80018,N,,CHEMBL621047,,
4809,797.0,Homo sapiens,BAO_0000219,A-427,1,F,Intermediate,,1,Antiproliferative activity measured against A427 human lung carcinoma,80019,N,,CHEMBL621048,,
4810,797.0,Homo sapiens,BAO_0000219,A-427,1,F,Intermediate,,1,Antiproliferative activity measured against A427 human lung carcinoma,80019,N,,CHEMBL883798,,
4811,797.0,Homo sapiens,BAO_0000219,A-427,1,F,Intermediate,,1,Cytotoxicity against lung carcinoma A427 tumor cell lines,80019,N,,CHEMBL621049,,
4812,797.0,Homo sapiens,BAO_0000219,A-427,1,F,Intermediate,,1,Inhibition of large cell lung carcinoma (A427),80019,N,,CHEMBL621050,,
4813,797.0,Homo sapiens,BAO_0000219,A-427,1,F,Intermediate,,1,Inhibition of large cell lung carcinoma (A427) after 48-h treatment,80019,N,,CHEMBL621051,,
4814,797.0,Homo sapiens,BAO_0000219,A-427,1,F,Intermediate,,1,Inhibitory activity against A427 epithelial Cancer cell line at the concentration 0-30 uM for 48 hr,80019,N,,CHEMBL621052,,
4815,797.0,Homo sapiens,BAO_0000219,A-427,1,F,Intermediate,,1,Inhibitory concentration in human lung carcinoma A427 cell line,80019,N,,CHEMBL621053,,
4816,797.0,Homo sapiens,BAO_0000219,A-427,1,F,Intermediate,,1,Inhibitory concentration in human lung carcinoma A427/VCR cell line,80019,N,,CHEMBL621054,,
4817,,Cercopithecidae,BAO_0000218,,1,A,Autocuration,In vivo,0,Terminal phase volume of distribution was measured in monkey after an iv dose of 1 mg/kg,22224,U,,CHEMBL621055,,
4818,,Cercopithecidae,BAO_0000218,,1,A,Autocuration,In vivo,0,Tested for volume of distribution upon iv administration to african green monkey,22224,U,,CHEMBL876398,,
4819,,Cercopithecidae,BAO_0000218,,1,A,Autocuration,In vivo,0,Volume of distribution in monkey,22224,U,,CHEMBL621056,,
4820,,Macaca mulatta,BAO_0000218,,1,A,Autocuration,In vivo,0,Compound was tested for its plasma volume distribution in rhesus monkey at a dose of 0.75 mg/kg iv/ 1.5 mg/kg po,22224,U,,CHEMBL621057,,
4821,,Macaca mulatta,BAO_0000218,,1,A,Autocuration,In vivo,0,Compound was tested for its plasma volume distribution in rhesus monkey at a dose of 0.75 mg/kg iv/ 1.5 mg/kg po; ND is not determined.,22224,U,,CHEMBL621058,,
4822,,Cercopithecidae,BAO_0000218,,1,A,Autocuration,In vivo,0,Pharmacokinetic property(Vdss) in cynomolgus monkey,22224,U,,CHEMBL621059,,
4823,,Cercopithecidae,BAO_0000218,,1,A,Autocuration,In vivo,0,The distribution volume after intravenous administration in cynomolgus monkeys,22224,U,,CHEMBL621060,,
4824,,Cercopithecidae,BAO_0000218,,1,A,Autocuration,In vivo,0,The distribution volume after oral administration in cynomolgus monkeys; NA means Not applicable,22224,U,,CHEMBL621061,,
4825,,Cercopithecidae,BAO_0000218,,1,A,Autocuration,In vivo,0,The distribution volume after oral administration in cynomolgus monkeys; NA means not applicable,22224,U,,CHEMBL621062,,
4826,,Cercopithecidae,BAO_0000218,,1,A,Autocuration,In vivo,0,Volume displacement was calculated in rhesus monkey,22224,U,,CHEMBL621063,,
4827,,Cercopithecidae,BAO_0000218,,1,A,Autocuration,In vivo,0,Volume of distribution in steady state was determined in rhesus monkey,22224,U,,CHEMBL621064,,
4828,,Cercopithecidae,BAO_0000218,,1,A,Autocuration,In vivo,0,Volume of distribution of compound was determined in monkey,22224,U,,CHEMBL621065,,
4829,,Cercopithecidae,BAO_0000218,,1,A,Autocuration,In vivo,0,Volume of distribution was reported after intravenous administration at a dose of 1 mg/kg in Rhesus monkey (male),22224,U,,CHEMBL621066,,
4830,,Cercopithecidae,BAO_0000218,,1,A,Autocuration,In vivo,0,Volume of distribution was reported after oral administration at a dose of 2 mg/kg in Rhesus monkey (male),22224,U,,CHEMBL621067,,
4831,,Cercopithecidae,BAO_0000218,,1,A,Autocuration,In vivo,0,Volumes of distribution in monkey (dosed at 0.5 mpk iv and 2.0 mpk orally),22224,U,,CHEMBL621068,,
