variant_id,relationship_type,bao_format,assay_category,description,assay_id,curated_by,tissue_id,confidence_score,assay_subcellular_fraction,assay_test_type,cell_id,src_assay_id,assay_tax_id,src_id,assay_cell_type,tid,assay_type,assay_organism,assay_strain,chembl_id,doc_id,assay_tissue
,U,BAO_0000218,,Oral bioavailability in monkey,4619,Autocuration,,0,,In vivo,,,9443.0,1,,22224,A,monkey,,CHEMBL619966,5940,
,U,BAO_0000218,,Oral bioavailability in monkey,4620,Autocuration,,0,,In vivo,,,9443.0,1,,22224,A,monkey,,CHEMBL619967,6265,
,U,BAO_0000218,,Oral bioavailability in monkey (dose 1 mg/kg),4621,Autocuration,,0,,In vivo,,,9443.0,1,,22224,A,monkey,,CHEMBL620073,6265,
,U,BAO_0000218,,Oral bioavailability in monkey (dose 5 mg/kg),4622,Autocuration,,0,,In vivo,,,9443.0,1,,22224,A,monkey,,CHEMBL620074,6265,
,U,BAO_0000218,,Oral bioavailability in monkey,4623,Autocuration,,0,,In vivo,,,9443.0,1,,22224,A,monkey,,CHEMBL620075,5940,
,U,BAO_0000218,,Oral bioavailability in monkey,4624,Autocuration,,0,,In vivo,,,9443.0,1,,22224,A,monkey,,CHEMBL620076,5940,
,U,BAO_0000218,,Oral bioavailability in rhesus monkey,4625,Autocuration,,0,,In vivo,,,9544.0,1,,22224,A,Macaca mulatta,,CHEMBL620077,4514,
,U,BAO_0000218,,Oral bioavailability in rhesus monkey at a dose of 2 mg/kg by po administration,4626,Autocuration,,0,,In vivo,,,9544.0,1,,22224,A,Macaca mulatta,,CHEMBL620078,5546,
,U,BAO_0000218,,Oral bioavailability in squirrel monkey at a dose of 10 mg/kg,4627,Autocuration,,0,,In vivo,,,9521.0,1,,22224,A,Saimiri sciureus,,CHEMBL620079,5553,
,U,BAO_0000218,,Oral bioavailability in monkey (dosed at 0.5 mpk iv and 2.0 mpk orally),4628,Autocuration,,0,,In vivo,,,9443.0,1,,22224,A,monkey,,CHEMBL620080,6641,
,U,BAO_0000218,,Oral bioavailability in Rhesus monkey,4629,Autocuration,,0,,In vivo,,,9544.0,1,,22224,A,Macaca mulatta,,CHEMBL620081,5472,
,U,BAO_0000218,,Oral bioavailability in Rhesus monkey (dose 10 mg/kg p.o.),4630,Autocuration,,0,,In vivo,,,9544.0,1,,22224,A,Macaca mulatta,,CHEMBL620082,5668,
,U,BAO_0000218,,Oral bioavailability in monkey at 10 mg/kg of the compound,4631,Autocuration,,0,,In vivo,,,9443.0,1,,22224,A,monkey,,CHEMBL620083,5711,
,U,BAO_0000218,,Bioavailability in Rhesus monkey,4632,Autocuration,,0,,In vivo,,,9544.0,1,,22224,A,Macaca mulatta,,CHEMBL620084,5145,
,U,BAO_0000218,,Glomerular Filtration Rate(GFR) evaluated in Rhesus monkeys at the dose of 10 mg/kg by iv bolus injection,4633,Autocuration,,0,,,,,9527.0,1,,22224,A,Cercopithecidae,,CHEMBL620085,3443,
,U,BAO_0000218,,Glomerular Filtration Rate(GFR)of the compound compared to Cilastatin evaluated in Rhesus monkeys at the dose of 10 mg/kg by iv bolus injection,4634,Autocuration,,0,,,,,9527.0,1,,22224,A,Cercopithecidae,,CHEMBL874595,3443,
,U,BAO_0000218,,Half life by ''Cr'' assay in rhesus monkey at a dose of 5 mg/kg,4635,Autocuration,,0,,In vivo,,,9527.0,1,,22224,A,Cercopithecidae,,CHEMBL873352,3249,
,U,BAO_0000218,,Half life the of compound was determined by ''Cr'' assay in squirrel monkey at a dose of 5 mg/kg,4636,Autocuration,,0,,In vivo,,,9527.0,1,,22224,A,Cercopithecidae,,CHEMBL620086,3249,
,U,BAO_0000218,,Mean residence time was determined after intravenous administration in cynomolgus monkeys,4637,Autocuration,,0,,In vivo,,,9527.0,1,,22224,A,Cercopithecidae,,CHEMBL620087,5355,
,U,BAO_0000218,,Mean residence time was determined after oral administration in cynomolgus monkeys; NA means Not applicable,4638,Autocuration,,0,,In vivo,,,9527.0,1,,22224,A,Cercopithecidae,,CHEMBL620088,5355,
,U,BAO_0000218,,Mean residence time was determined after oral administration in cynomolgus monkeys; NA means not applicable,4639,Autocuration,,0,,In vivo,,,9527.0,1,,22224,A,Cercopithecidae,,CHEMBL620089,5355,
,U,BAO_0000218,,Pharmacokinetic parameter MRT was determined in monkey after (iv) administration of a dose of 13 (uM/kg),4640,Autocuration,,0,,In vivo,,,9527.0,1,,22224,A,Cercopithecidae,,CHEMBL620090,4809,
,U,BAO_0000218,,Pharmacokinetic parameter MRT was determined in monkey after (po) administration of a dose of 50 (uM/kg),4641,Autocuration,,0,,In vivo,,,9527.0,1,,22224,A,Cercopithecidae,,CHEMBL620091,4809,
,U,BAO_0000251,,Metabolism of compound in monkey S9 microsomes ('+''indicates <20% largest observed peak),4642,Autocuration,,0,Microsomes,,,,9527.0,1,,22224,A,Cercopithecidae,,CHEMBL620092,14294,
,U,BAO_0000251,,Metabolism of compound in monkey S9 microsomes ('++''indicates 20-50% largest observed peak),4643,Autocuration,,0,Microsomes,,,,9527.0,1,,22224,A,Cercopithecidae,,CHEMBL620093,14294,
,U,BAO_0000251,,Metabolism of compound in monkey S9 microsomes ('+++'indicates 50-80% largest observed peak),4644,Autocuration,,0,Microsomes,,,,9527.0,1,,22224,A,Cercopithecidae,,CHEMBL620094,14294,
,U,BAO_0000251,,Metabolism of compound in monkey S9 microsomes ('++++' indicates largest observed peak),4645,Autocuration,,0,Microsomes,,,,9527.0,1,,22224,A,Cercopithecidae,,CHEMBL620095,14294,
,U,BAO_0000218,,Plasma clearance evaluated in Rhesus monkeys at the dose of 10 mg/kg by iv bolus injection,4646,Autocuration,,0,,In vivo,,,9527.0,1,,22224,A,Cercopithecidae,,CHEMBL620096,3443,
,U,BAO_0000218,,Plasma clearance compared to Cilastatin evaluated in Rhesus monkeys at the dose of 10 mg/kg by iv bolus injection,4647,Autocuration,,0,,In vivo,,,9527.0,1,,22224,A,Cercopithecidae,,CHEMBL620097,3443,
,U,BAO_0000019,,Clearance from plasma(with matabolite-corrected plasma radioactivity-time integral) at 30 min after administration.,4648,Autocuration,,0,,,,,9527.0,1,,22224,A,Cercopithecidae,,CHEMBL620098,11271,
,U,BAO_0000218,,Renal clearance evaluated in Rhesus monkeys at the dose of 10 mg/kg by iv bolus injection,4649,Autocuration,,0,,,,,9527.0,1,,22224,A,Cercopithecidae,,CHEMBL620099,3443,
,U,BAO_0000218,,Renal clearance compared to Cilastatin evaluated in Rhesus monkeys at the dose of 10 mg/kg by iv bolus injection,4650,Autocuration,,0,,,,,9527.0,1,,22224,A,Cercopithecidae,,CHEMBL620100,3443,
,U,BAO_0000019,,Elimination Half-life of compound was determined in monkey,4651,Autocuration,,0,,,,,9527.0,1,,22224,A,Cercopithecidae,,CHEMBL620101,6821,
,U,BAO_0000019,,Half life of compound was determined in rhesus monkey,4652,Autocuration,,0,,,,,9527.0,1,,22224,A,Cercopithecidae,,CHEMBL620102,17267,
,U,BAO_0000366,,Half life in monkey plasma,4653,Autocuration,1969.0,0,,,,,9527.0,1,,22224,A,Cercopithecidae,,CHEMBL620103,5819,Plasma
,U,BAO_0000366,,Half life in monkey plasma; Not detected,4654,Autocuration,1969.0,0,,,,,9527.0,1,,22224,A,Cercopithecidae,,CHEMBL620104,5819,Plasma
,U,BAO_0000218,,Half life period was evaluated against Cynomolgus monkey at a dose of 15 mg/kg after po administration,4655,Autocuration,,0,,In vivo,,,9527.0,1,,22224,A,Cercopithecidae,,CHEMBL874596,1916,
,U,BAO_0000218,,Half-life 24 hr after 2 mg/kg iv administration in monkeys,4656,Autocuration,,0,,In vivo,,,9527.0,1,,22224,A,Cercopithecidae,,CHEMBL873490,17509,
,U,BAO_0000019,,Terminal half life of the compound.,4657,Autocuration,,0,,,,,9527.0,1,,22224,A,Cercopithecidae,,CHEMBL620105,1399,
,U,BAO_0000218,,Maximum time was evaluated against Cynomolgus monkey at a dose of 15 mg/kg after po administration,4658,Autocuration,,0,,In vivo,,,9527.0,1,,22224,A,Cercopithecidae,,CHEMBL620780,1916,
,U,BAO_0000218,,Pharmacokinetic parameter Tmax was determined in monkey after (po) administration of a dose of 50 (uM/kg),4659,Autocuration,,0,,In vivo,,,9527.0,1,,22224,A,Cercopithecidae,,CHEMBL620781,4809,
,U,BAO_0000218,,Unbound plasma was determined in rhesus monkey at a dose of 1 mg/kg by iv administration,4660,Autocuration,,0,,,,,9527.0,1,,22224,A,Cercopithecidae,,CHEMBL620956,5546,
,U,BAO_0000218,,Urinary recovery evaluated in Rhesus monkeys at the dose of 10 mg/kg by iv bolus injection,4661,Autocuration,1088.0,0,,,,,9527.0,1,,22224,A,Cercopithecidae,,CHEMBL620957,3443,Urine
,U,BAO_0000218,,Urinary recovery compared to Cilastatin evaluated in Rhesus monkeys at the dose of 10 mg/kg by iv bolus injection,4662,Autocuration,1088.0,0,,,,,9527.0,1,,22224,A,Cercopithecidae,,CHEMBL620958,3443,Urine
,U,BAO_0000218,,Volume of distribution was determined in monkey after a 3 mg/kg of iv dose,4663,Autocuration,,0,,In vivo,,,9527.0,1,,22224,A,Cercopithecidae,,CHEMBL620959,4257,
,U,BAO_0000218,,Volume distribution after oral administration (2.5 mg/kg) in monkey was determined,4664,Autocuration,,0,,In vivo,,,9527.0,1,,22224,A,Cercopithecidae,,CHEMBL620960,6221,
,U,BAO_0000218,,Volume of distribution was evaluated in rhesus,4665,Autocuration,,0,,In vivo,,,9527.0,1,,22224,A,Cercopithecidae,,CHEMBL620961,5472,
,U,BAO_0000218,,Plasma clearance was measured in hamster at the dose of 10 mg/kg by peroral administration,4666,Autocuration,,0,,In vivo,,,10029.0,1,,22224,A,Cricetulus griseus,,CHEMBL620962,4727,
,U,BAO_0000218,,Plasma clearance was measured in hamster at the dose of 3 mg/kg by intravenous administration,4667,Autocuration,,0,,In vivo,,,10029.0,1,,22224,A,Cricetulus griseus,,CHEMBL620963,4727,
,U,BAO_0000218,,Bioavailability in hamster was determined,4668,Autocuration,,0,,In vivo,,,10029.0,1,,22224,A,Cricetulus griseus,,CHEMBL620964,4727,
,U,BAO_0000218,,Bioavailability in hamster at a dose of 3 mg/kg by intravenous administration,4669,Autocuration,,0,,In vivo,,,10029.0,1,,22224,A,Cricetulus griseus,,CHEMBL620965,4727,
,U,BAO_0000218,,Bioavailability in hamster at a dose of 3 mg/kg by oral administration,4670,Autocuration,,0,,In vivo,,,10029.0,1,,22224,A,Cricetulus griseus,,CHEMBL620966,4727,
,U,BAO_0000221,,Half life of compound was determined in hamster blood,4671,Autocuration,178.0,0,,,,,10029.0,1,,22224,A,Cricetulus griseus,,CHEMBL620967,4727,Blood
,U,BAO_0000019,,Michaelis-Menten constant of the compound.,4672,Autocuration,,0,,,,,9823.0,1,,22224,A,Sus scrofa,,CHEMBL620968,1452,
,U,BAO_0000019,,Vmax value was measured at 0 uM concentration of silyl ether.,4673,Autocuration,,0,,,,,9823.0,1,,22224,A,Sus scrofa,,CHEMBL874597,1452,
,U,BAO_0000019,,Vmax value was measured at 10 uM concentration of silyl ether.,4674,Autocuration,,0,,,,,9823.0,1,,22224,A,Sus scrofa,,CHEMBL620969,1452,
,U,BAO_0000019,,Vmax value was measured at 5 uM concentration of silyl ether.,4675,Autocuration,,0,,,,,9823.0,1,,22224,A,Sus scrofa,,CHEMBL620970,1452,
,D,BAO_0000357,,Inactivation of human leukocyte (neutrophil) elastase(HLE)(HNE) as rate constant,4676,Expert,,9,,,,,9606.0,1,,235,B,Homo sapiens,,CHEMBL620971,11706,
,U,BAO_0000218,,Area under curve was evaluated against man at a dose of 10 mg/kg after po administration,4677,Autocuration,,0,,,,,9606.0,1,,22224,A,Homo sapiens,,CHEMBL620972,1916,
,U,BAO_0000019,,Compound was evaluated for area under the curve expressed as (h*ug/ml),4678,Autocuration,,0,,,,,9606.0,1,,22224,A,Homo sapiens,,CHEMBL620973,17791,
,U,BAO_0000019,,Active metabolite of ifosfamide determined in humans; A-Active,4679,Autocuration,,0,,,,,9606.0,1,,22224,A,Homo sapiens,,CHEMBL618243,7766,
,U,BAO_0000019,,Amount of tecadenoson present after 30 min in the liver S-9 assay as determined by mass specanalysis,4680,Autocuration,,0,,,,,9606.0,1,,22224,A,Homo sapiens,,CHEMBL618244,6567,
,U,BAO_0000019,,Amount of tecadenoson present after 30 min in the liver S-9 assay as determined by mass specanalysis; -0.5 to 1,4681,Autocuration,,0,,,,,9606.0,1,,22224,A,Homo sapiens,,CHEMBL618245,6567,
,U,BAO_0000019,,Amount of tecadenoson present after 30 min in the liver S-9 assay as determined by mass specanalysis; 1-2,4682,Autocuration,,0,,,,,9606.0,1,,22224,A,Homo sapiens,,CHEMBL618246,6567,
,U,BAO_0000019,,Amount of tecadenoson present after 30 min in the liver S-9 assay as determined by mass specanalysis; trace,4683,Autocuration,,0,,,,,9606.0,1,,22224,A,Homo sapiens,,CHEMBL618247,6567,
,U,BAO_0000218,,Compound was evaluated for oral bioavailability in human,4684,Autocuration,,0,,,,,9606.0,1,,22224,A,Homo sapiens,,CHEMBL618248,17791,
,U,BAO_0000019,,Metabolite of ifosfamide determined in urine; NF-Not found,4685,Autocuration,1088.0,0,,,,,9606.0,1,,22224,A,Homo sapiens,,CHEMBL618249,7766,Urine
,U,BAO_0000019,,Percent of compound in cirrhotic patients of spontaneous ascitic fluid infection (Group A and B),4686,Autocuration,,0,,,,,9606.0,1,,22224,A,Homo sapiens,,CHEMBL618250,6852,
,U,BAO_0000019,,Percent of compound in cirrhotic patients of spontaneous ascitic fluid infection after dosing with normal antibiotics,4687,Autocuration,,0,,,,,9606.0,1,,22224,A,Homo sapiens,,CHEMBL874598,6852,
,U,BAO_0000019,,Percent of compound in cirrhotic patients of spontaneous ascitic fluid infection after dosing with normal antibiotics and lactose,4688,Autocuration,,0,,,,,9606.0,1,,22224,A,Homo sapiens,,CHEMBL618251,6852,
,U,BAO_0000019,,Percent of compound in cirrhotic patients of spontaneous ascitic fluid infection before dosing with normal antibiotics,4689,Autocuration,,0,,,,,9606.0,1,,22224,A,Homo sapiens,,CHEMBL618252,6852,
,U,BAO_0000019,,Percent of compound in cirrhotic patients of spontaneous ascitic fluid infection before dosing with normal antibiotics and lactose,4690,Autocuration,,0,,,,,9606.0,1,,22224,A,Homo sapiens,,CHEMBL618253,6852,
,U,BAO_0000019,,Percent of compound in cirrhotic patients of sterile ascitic fluid (Group C),4691,Autocuration,,0,,,,,9606.0,1,,22224,A,Homo sapiens,,CHEMBL618254,6852,
,U,BAO_0000019,,Percent of compound in healthy individuals (Group D),4692,Autocuration,,0,,,,,9606.0,1,,22224,A,Homo sapiens,,CHEMBL618255,6852,
,U,BAO_0000251,,Percent of the parent compound remaining after 20 mins incubation with human liver microsomes,4693,Autocuration,2107.0,0,Microsomes,,,,9606.0,1,,22224,A,Homo sapiens,,CHEMBL618983,4397,Liver
,U,BAO_0000019,,Binding towards human plasma protein at 10 uM,4694,Autocuration,,0,,,,,9606.0,1,,22224,A,Homo sapiens,,CHEMBL618984,17409,
,U,BAO_0000019,,Binding towards human plasma protein at 100 uM,4695,Autocuration,,0,,,,,9606.0,1,,22224,A,Homo sapiens,,CHEMBL618985,17409,
,U,BAO_0000019,,Human plasma protein binding activity was determined,4696,Autocuration,,0,,,,,9606.0,1,,22224,A,Homo sapiens,,CHEMBL618986,17176,
,U,BAO_0000019,,The ability binding to plasma (Binding classified based on injection of compound at 80 concentration.),4697,Autocuration,,0,,,,,9606.0,1,,22224,A,Homo sapiens,,CHEMBL618987,15444,
,U,BAO_0000019,,Percent binding of compound towards human plasma protein was determined,4698,Autocuration,,0,,,,,9606.0,1,,22224,A,Homo sapiens,,CHEMBL618988,17267,
,U,BAO_0000251,,Plasma clearance in human liver microsomes,4699,Autocuration,2107.0,0,Microsomes,In vitro,,,9606.0,1,,22224,A,Homo sapiens,,CHEMBL618989,5944,Liver
,U,BAO_0000251,,In vitro intrinsic clearance in human liver microsome,4700,Autocuration,2107.0,0,Microsomes,In vitro,,,9606.0,1,,22224,A,Homo sapiens,,CHEMBL618990,5668,Liver
,U,BAO_0000251,,In vitro intrinsic clearance in human liver microsome,4701,Autocuration,2107.0,0,Microsomes,In vitro,,,9606.0,1,,22224,A,Homo sapiens,,CHEMBL618991,5669,Liver
,U,BAO_0000251,,In vitro microsome metabolism clearance in human was determined,4702,Autocuration,,0,Microsomes,In vitro,,,9606.0,1,,22224,A,Homo sapiens,,CHEMBL876725,5041,
,U,BAO_0000251,,In vitro microsome metabolism clearance in human was determined; High,4703,Autocuration,,0,Microsomes,In vitro,,,9606.0,1,,22224,A,Homo sapiens,,CHEMBL618992,5041,
,U,BAO_0000251,,In vitro microsome metabolism clearance in human was determined; ND denotes no data,4704,Autocuration,,0,Microsomes,In vitro,,,9606.0,1,,22224,A,Homo sapiens,,CHEMBL618993,5041,
,U,BAO_0000251,,Pharmacokinetic property (clearance) in human liver microsome,4705,Autocuration,2107.0,0,Microsomes,In vitro,,,9606.0,1,,22224,A,Homo sapiens,,CHEMBL618994,5676,Liver
,U,BAO_0000251,,Plasma clearance in human liver microsomes,4706,Autocuration,2107.0,0,Microsomes,In vitro,,,9606.0,1,,22224,A,Homo sapiens,,CHEMBL618995,5944,Liver
,U,BAO_0000251,,In vitro clearance in human liver microsomes,4707,Autocuration,2107.0,0,Microsomes,In vitro,,,9606.0,1,,22224,A,Homo sapiens,,CHEMBL618996,17538,Liver
,U,BAO_0000251,,Intrinsic clearance in human liver microsomes was determined,4708,Autocuration,2107.0,0,Microsomes,In vitro,,,9606.0,1,,22224,A,Homo sapiens,,CHEMBL618997,6331,Liver
,U,BAO_0000251,,Intrinsic clearance in human liver microsomes was determined,4709,Autocuration,2107.0,0,Microsomes,In vitro,,,9606.0,1,,22224,A,Homo sapiens,,CHEMBL618998,5948,Liver
,U,BAO_0000218,,Cmax (Tissue distribution) of compound was determined at a dose of 5 mg/kg in human,4710,Autocuration,,0,,In vivo,,,9606.0,1,,22224,A,Homo sapiens,,CHEMBL618999,5965,
,U,BAO_0000218,,Maximum concentration was evaluated against man at a dose of 10 mg/kg after po administration,4711,Autocuration,,0,,In vivo,,,9606.0,1,,22224,A,Homo sapiens,,CHEMBL620223,1916,
,U,BAO_0000218,,Cmin (Clearance) of compound was determined at a dose of 5 mg/kg in human,4712,Autocuration,,0,,,,,9606.0,1,,22224,A,Homo sapiens,,CHEMBL620224,5965,
,U,BAO_0000019,,Stability in human plasma 2 hr after incubation expressed as percent concentration,4713,Autocuration,,0,,,,,9606.0,1,,22224,A,Homo sapiens,,CHEMBL620225,1299,
,U,BAO_0000019,,Stability in human plasma 4 hr after incubation expressed as percent concentration,4714,Autocuration,,0,,,,,9606.0,1,,22224,A,Homo sapiens,,CHEMBL620226,1299,
,U,BAO_0000019,,Portion of holoxan excreted in the form of the metabolite from 1200 mL of urine on day 3 was determined in embryonal rhabdomyosarcoma patients treated with ifosfamide,4715,Autocuration,1088.0,0,,,,,9606.0,1,,22224,A,Homo sapiens,,CHEMBL620227,7766,Urine
,U,BAO_0000019,,Portion of holoxan excreted in the form of the metabolite from 1200 mL of urine on day 7 was determined in embryonal rhabdomyosarcoma patients treated with ifosfamide,4716,Autocuration,1088.0,0,,,,,9606.0,1,,22224,A,Homo sapiens,,CHEMBL876726,7766,Urine
,U,BAO_0000019,,Portion of holoxan excreted in the form of the metabolite from 1300 mL of urine on day 6 was determined in embryonal rhabdomyosarcoma patients treated with ifosfamide,4717,Autocuration,1088.0,0,,,,,9606.0,1,,22224,A,Homo sapiens,,CHEMBL620228,7766,Urine
,U,BAO_0000019,,Portion of holoxan excreted in the form of the metabolite from 1300 mL of urine on day 8 was determined in embryonal rhabdomyosarcoma patients treated with ifosfamide,4718,Autocuration,1088.0,0,,,,,9606.0,1,,22224,A,Homo sapiens,,CHEMBL620229,7766,Urine
,N,BAO_0000218,,Mean-residence time was determined for compound after intraperitoneal administration in mice at 23 uM/kg,4719,Intermediate,,1,,In vivo,,,10090.0,1,,50594,F,Mus musculus,,CHEMBL620230,17764,
,N,BAO_0000218,,Mean-residence time was determined for compound after intraperitoneal administration in mice at 25 uM/kg,4720,Intermediate,,1,,In vivo,,,10090.0,1,,50594,F,Mus musculus,,CHEMBL620231,17764,
,N,BAO_0000218,,Mean-residence time was determined for compound after intraperitoneal administration in mice at 26 uM/kg,4721,Intermediate,,1,,In vivo,,,10090.0,1,,50594,F,Mus musculus,,CHEMBL620232,17764,
,N,BAO_0000218,,Mean-residence time was determined for compound intravenous administration in mice at 23 uM/kg,4722,Intermediate,,1,,In vivo,,,10090.0,1,,50594,F,Mus musculus,,CHEMBL620233,17764,
,N,BAO_0000218,,Metabolism of compound in Mouse S9 microsomes ('++++'indicates largest observed peak),4723,Intermediate,,1,,,,,10090.0,1,,50594,A,Mus musculus,,CHEMBL620234,14294,
,N,BAO_0000218,,Metabolism of compound in mouse S9 microsomes ('+''indicates <20% largest observed peak),4724,Intermediate,,1,,,,,10090.0,1,,50594,A,Mus musculus,,CHEMBL620235,14294,
,N,BAO_0000218,,Metabolism of compound in mouse S9 microsomes ('++++' indicates largest observed peak),4725,Intermediate,,1,,,,,10090.0,1,,50594,A,Mus musculus,,CHEMBL620236,14294,
,N,BAO_0000218,,In vitro metabolic potential in mouse liver microsomes,4726,Intermediate,2107.0,1,,,,,10090.0,1,,50594,A,Mus musculus,,CHEMBL620237,6251,Liver
,N,BAO_0000218,,Ability of compound to bind to plasma protein was evaluated in HSA cells,4727,Intermediate,,1,,,,,10090.0,1,,50594,A,Mus musculus,,CHEMBL620238,17582,
,N,BAO_0000218,,Compound was tested for radioactivity level in mice adrenal glands (Compound is radiolabeled),4728,Intermediate,2369.0,1,,,,,10090.0,1,,50594,A,Mus musculus,,CHEMBL620239,17811,Adrenal gland
,N,BAO_0000218,,Compound was tested for radioactivity level in mice brain (Compound is radiolabeled); 2.2-4.9% ID/g,4729,Intermediate,955.0,1,,,,,10090.0,1,,50594,A,Mus musculus,,CHEMBL620240,17811,Brain
,N,BAO_0000218,,Compound was tested for radioactivity level in mice brain (Compound is radiolabeled); 2.6-4.4% ID/g,4730,Intermediate,955.0,1,,,,,10090.0,1,,50594,A,Mus musculus,,CHEMBL620241,17811,Brain
,N,BAO_0000218,,Compound was tested for radioactivity level in mice heart (Compound is radiolabeled),4731,Intermediate,,1,,,,,10090.0,1,,50594,A,Mus musculus,,CHEMBL876727,17811,
,N,BAO_0000218,,Compound was tested for radioactivity level in mice kidney (Compound is radiolabeled),4732,Intermediate,2113.0,1,,,,,10090.0,1,,50594,A,Mus musculus,,CHEMBL620242,17811,Kidney
,N,BAO_0000218,,Compound was tested for radioactivity level in mice lungs (Compound is radiolabeled),4733,Intermediate,,1,,,,,10090.0,1,,50594,A,Mus musculus,,CHEMBL620243,17811,
,N,BAO_0000218,,Tested for urinary recovery in mice after subcutaneous administration of 20 mg/Kg,4734,Intermediate,,1,,,,,10090.0,1,,50594,A,Mus musculus,,CHEMBL620244,5288,
,N,BAO_0000218,,Compound was evaluated for its potency in CDF1 mice and the serum cholesterol levels were determined,4735,Intermediate,1977.0,1,,,,,10090.0,1,,50594,A,Mus musculus,,CHEMBL620245,2717,Serum
,N,BAO_0000218,,Compound was evaluated for its potency in CDF1 mice and the serum metabolite levels were determined,4736,Intermediate,1977.0,1,,,,,10090.0,1,,50594,A,Mus musculus,,CHEMBL620246,2717,Serum
,N,BAO_0000218,,Compound was evaluated for its potency in CDF1 mice and the serum triglyceride levels were determined,4737,Intermediate,1977.0,1,,,,,10090.0,1,,50594,A,Mus musculus,,CHEMBL620247,2717,Serum
,N,BAO_0000218,,Half life of compound was determined in plasma of mice at 24 mg/Kg,4738,Intermediate,1969.0,1,,In vivo,,,10090.0,1,,50594,A,Mus musculus,,CHEMBL620248,17753,Plasma
,N,BAO_0000218,,Half life of compound was determined in plasma of mice at 40 mg/Kg,4739,Intermediate,1969.0,1,,In vivo,,,10090.0,1,,50594,A,Mus musculus,,CHEMBL873497,17753,Plasma
,N,BAO_0000218,,Half life of compound was determined in plasma of mice at 5 mg/Kg,4740,Intermediate,1969.0,1,,In vivo,,,10090.0,1,,50594,A,Mus musculus,,CHEMBL620249,17753,Plasma
,N,BAO_0000218,,Half life after intraperitoneal administration in mice at 18 uM/kg,4741,Intermediate,,1,,In vivo,,,10090.0,1,,50594,F,Mus musculus,,CHEMBL620250,17764,
,N,BAO_0000218,,Half life after intraperitoneal administration in mice at 23 uM/kg,4742,Intermediate,,1,,In vivo,,,10090.0,1,,50594,F,Mus musculus,,CHEMBL620251,17764,
,N,BAO_0000218,,Half life after intraperitoneal administration in mice at 25 uM/kg,4743,Intermediate,,1,,In vivo,,,10090.0,1,,50594,F,Mus musculus,,CHEMBL620252,17764,
,N,BAO_0000218,,Half life after intraperitoneal administration in mice at 26 uM/kg,4744,Intermediate,,1,,In vivo,,,10090.0,1,,50594,F,Mus musculus,,CHEMBL620253,17764,
,N,BAO_0000218,,Half life after intravenous administration in mice at 23 uM/kg,4745,Intermediate,,1,,In vivo,,,10090.0,1,,50594,F,Mus musculus,,CHEMBL620254,17764,
,N,BAO_0000218,,Half life after intravenous administration in mice at 24 uM/kg,4746,Intermediate,,1,,In vivo,,,10090.0,1,,50594,A,Mus musculus,,CHEMBL620255,17764,
,N,BAO_0000218,,At a dose 50 mg/kg (114 umol/kg) was administered intraperitoneally to mice and was evaluated for T max,4747,Intermediate,,1,,In vivo,,,10090.0,1,,50594,A,Mus musculus,,CHEMBL620256,16597,
,N,BAO_0000218,,Maximum time required to reach Cp max was evaluated in mice after intravenous administration; T max Not determined,4748,Intermediate,,1,,In vivo,,,10090.0,1,,50594,A,Mus musculus,,CHEMBL876728,2675,
,N,BAO_0000218,,Maximum time required to reach Cp max was evaluated in mice after oral administration,4749,Intermediate,,1,,In vivo,,,10090.0,1,,50594,A,Mus musculus,,CHEMBL620257,2675,
,N,BAO_0000218,,At a dose 50 mg/kg (114 umol/kg) was administered intraperitoneally to mice and was evaluated for half life (T1/2),4750,Intermediate,,1,,In vivo,,,10090.0,1,,50594,A,Mus musculus,,CHEMBL620258,16597,
,N,BAO_0000218,,"Compound was evaluated for the pharmacokinetic parameter, Terminal half life period",4751,Intermediate,,1,,In vivo,,,10090.0,1,,50594,A,Mus musculus,,CHEMBL620259,4890,
,N,BAO_0000218,,Evaluated for pharmacokinetic parameter half-life in mouse at the dose 20 mg/kg,4752,Intermediate,,1,,In vivo,,,10090.0,1,,50594,A,Mus musculus,,CHEMBL620260,429,
,N,BAO_0000218,,Half life of compound in mouse blood following i.v. administration of 10 mg/kg,4753,Intermediate,178.0,1,,In vivo,,,10090.0,1,,50594,A,Mus musculus,,CHEMBL620261,17837,Blood
,N,BAO_0000218,,Half life at a dose of 10 mg/kg intravenous administration in mice.,4754,Intermediate,,1,,In vivo,,,10090.0,1,,50594,A,Mus musculus,,CHEMBL620262,16597,
,N,BAO_0000218,,Half life at a dose of 10 mg/kg peroral administration in mice.,4755,Intermediate,,1,,In vivo,,,10090.0,1,,50594,A,Mus musculus,,CHEMBL620263,16597,
,N,BAO_0000218,,Half life in ob/ob mice,4756,Intermediate,,1,,,,,10090.0,1,,50594,A,Mus musculus,,CHEMBL620264,6619,
,N,BAO_0000218,,Half-life at a single subcutaneous administration of 40 mg/kg in mice,4757,Intermediate,,1,,In vivo,,,10090.0,1,,50594,A,Mus musculus,,CHEMBL620265,4066,
,N,BAO_0000218,,Half-life was measured in mouse,4758,Intermediate,,1,,,,,10090.0,1,,50594,A,Mus musculus,,CHEMBL620266,4239,
,N,BAO_0000218,,In vivo half life period was determined in murine septicemia at dose of 50 mg/kg,4759,Intermediate,,1,,In vivo,,,10090.0,1,,50594,A,Mus musculus,,CHEMBL620267,5969,
