assays_assay_id,assays_src_id,assays_description,assays_assay_tissue,assays_bao_format,assays_src_assay_id,assays_assay_organism,assays_assay_category,assays_curated_by,assays_doc_id,assays_assay_test_type,assays_relationship_type,assays_confidence_score,assays_chembl_id,assays_cell_id,assays_tissue_id,assays_variant_id
3541,1,Compound was tested for its effect on NSD 1015 induced accumulation of 5-HTP in rats corpus striatum at a dosage of 0.10 umol/kg,Striatum,BAO_0000019,,,,Autocuration,10034,,H,8,CHEMBL619208,,2435.0,
3542,1,Compound was tested for its effect on NSD 1015 induced accumulation of 5-HTP in rats corpus striatum at a dosage of 10 umol/kg,Striatum,BAO_0000019,,,,Autocuration,10034,,H,8,CHEMBL619209,,2435.0,
3543,1,Compound was tested for its effect on NSD 1015 induced accumulation of 5-HTP in rats in corpus striatum at a dosage of 0.32 umol/kg,Striatum,BAO_0000019,,,,Autocuration,10034,,H,8,CHEMBL619210,,2435.0,
3544,1,Compound was tested for its effect on NSD 1015 induced accumulation of 5-HTP in rats in corpus striatum at a dosage of 3.2 umol/kg,Striatum,BAO_0000019,,,,Autocuration,10034,,H,8,CHEMBL619211,,2435.0,
3545,1,Compound was tested for its effect on NSD 1015 induced accumulation of 5-HTP in rats in corpus striatum at a dosage of 32 umol/kg,Striatum,BAO_0000019,,,,Autocuration,10034,,H,8,CHEMBL619212,,2435.0,
3546,1,Compound was tested for its effect on NSD 1015 induced accumulation of 5-HTP(ng/g) in rats in corpus striatum at a dosage of 0.032 umol/kg,Striatum,BAO_0000019,,,,Autocuration,10034,,H,8,CHEMBL620681,,2435.0,
3547,1,Compound was tested for its effect on NSD 1015 induced accumulation of 5-HTP(ng/g) in rats in corpus striatum at a dosage of 1.0 umol/kg,Striatum,BAO_0000019,,,,Autocuration,10034,,H,8,CHEMBL620682,,2435.0,
3548,1,Compound was tested for its effect on NSD 1015 induced accumulation of 5-HTP(ng/g) in rats in corpus striatum at a dosage of 10 umol/kg,Striatum,BAO_0000019,,,,Autocuration,10034,,H,8,CHEMBL620683,,2435.0,
3549,1,Compound was tested for its effect on NSD 1015 induced accumulation of 5-HTP(ng/g) in rats in corpus striatum at a dosage of 100 umol/kg,Striatum,BAO_0000019,,,,Autocuration,10034,,H,8,CHEMBL620684,,2435.0,
3550,1,Compound was tested for its effect on NSD 1015 induced accumulation of 5-HTP(ng/g) in rats in corpus striatum at a dosage of 3.2 umol/kg,Striatum,BAO_0000019,,,,Autocuration,10034,,H,8,CHEMBL620685,,2435.0,
3551,1,Compound was tested for its effect on NSD 1015 induced accumulation of 5-HTP(ng/g) in rats in corpus striatum at a dosage of 32 umol/kg,Striatum,BAO_0000019,,,,Autocuration,10034,,H,8,CHEMBL620686,,2435.0,
3552,1,Compound was tested for its effect on NSD 1015 induced accumulation of 5-HTP(ng/g) in rats in limbic system at a dosage of 0.032 umol/kg,Limbic system,BAO_0000019,,,,Autocuration,10034,,H,8,CHEMBL620687,,349.0,
3553,1,Compound was tested for its effect on NSD 1015 induced accumulation of 5-HTP(ng/g) in rats in limbic system at a dosage of 0.10 umol/kg,Limbic system,BAO_0000019,,,,Autocuration,10034,,H,8,CHEMBL620688,,349.0,
3554,1,Compound was tested for its effect on NSD 1015 induced accumulation of 5-HTP(ng/g) in rats in limbic system at a dosage of 0.32 umol/kg,Limbic system,BAO_0000019,,,,Autocuration,10034,,H,8,CHEMBL620689,,349.0,
3555,1,Compound was tested for its effect on NSD 1015 induced accumulation of 5-HTP(ng/g) in rats in limbic system at a dosage of 1.0 umol/kg,Limbic system,BAO_0000019,,,,Autocuration,10034,,H,8,CHEMBL620690,,349.0,
3556,1,Compound was tested for its effect on NSD 1015 induced accumulation of 5-HTP(ng/g) in rats in limbic system at a dosage of 10 umol/kg,Limbic system,BAO_0000019,,,,Autocuration,10034,,H,8,CHEMBL620691,,349.0,
3557,1,Compound was tested for its effect on NSD 1015 induced accumulation of 5-HTP(ng/g) in rats in limbic system at a dosage of 100 umol/kg,Limbic system,BAO_0000019,,,,Autocuration,10034,,H,8,CHEMBL620692,,349.0,
3558,1,Compound was tested for its effect on NSD 1015 induced accumulation of 5-HTP(ng/g) in rats in limbic system at a dosage of 3.2 umol/kg,Limbic system,BAO_0000019,,,,Autocuration,10034,,H,8,CHEMBL620693,,349.0,
3559,1,Binding affinity against 5-hydroxytryptamine 4 receptor,,BAO_0000357,,,,Expert,1274,,H,8,CHEMBL620694,,,
3560,1,Tested for 5-hydroxytryptamine 4 receptor antagonist activity,,BAO_0000019,,,,Autocuration,17358,,H,8,CHEMBL857986,,,
3561,1,Inhibitory activity against 5-hydroxytryptamine 4 receptor using [3H]GR-113808 as radioligand at 10e-5 M concentration,,BAO_0000357,,,,Autocuration,14532,,H,8,CHEMBL620695,,,
3562,1,Binding affinity towards Serotonin 5-hydroxytryptamine 4 receptor,,BAO_0000357,,,,Expert,16989,,H,8,CHEMBL620696,,,
3563,1,Inhibitory constant against 5-hydroxytryptamine 4 receptor using [3H]GR-113808 radioligand,,BAO_0000357,,,,Autocuration,17200,,H,8,CHEMBL620697,,,
3564,1,Binding affinity towards 5-hydroxytryptamine 4 receptor,,BAO_0000357,,,,Autocuration,15779,,H,8,CHEMBL620698,,,
3565,1,Binding affinity towards 5-hydroxytryptamine 4 receptor; ND means no data.,,BAO_0000357,,,,Autocuration,15779,,H,8,CHEMBL620699,,,
3566,1,Binding affinity towards 5-hydroxytryptamine 4 receptor; ND means no data.,,BAO_0000357,,,,Autocuration,15779,,H,8,CHEMBL620700,,,
3567,1,Binding affinity was determined against cloned 5-hydroxytryptamine 4A receptor isoform expressed in COS-7 cells,,BAO_0000219,,,,Autocuration,15650,,H,8,CHEMBL620701,643.0,,
3568,1,Binding affinity was determined against cloned 5-hydroxytryptamine 4B receptor isoform expressed in COS-7 cells,,BAO_0000219,,,,Autocuration,15650,,H,8,CHEMBL875082,643.0,,
3569,1,Binding affinity was determined against cloned 5-hydroxytryptamine 4C receptor isoform expressed in COS-7 cells,,BAO_0000219,,,,Autocuration,15650,,H,8,CHEMBL620702,643.0,,
3570,1,Binding affinity was determined against cloned 5-hydroxytryptamine 4D receptor isoform expressed in COS-7 cells,,BAO_0000219,,,,Autocuration,15650,,H,8,CHEMBL620703,643.0,,
3571,1,Binding affinity of compound towards cloned human 5-hydroxytryptamine 4E receptor expressed in C6 glial cells using [3H]GR-113808 as radioligand,,BAO_0000219,,,,Autocuration,17046,,H,8,CHEMBL620704,673.0,,
3572,1,Binding affinity towards cloned human 5-hydroxytryptamine 4E receptor expressed in C6 glial cells using [3H]GR-113808 as radioligand,,BAO_0000219,,,,Expert,17046,,H,8,CHEMBL620705,673.0,,
3573,1,Binding affinity was determined against cloned 5-hydroxytryptamine 4E receptor isoform expressed in C6 glial cells incubated with 0.2 nM [3H]GR-113808,,BAO_0000219,,,,Expert,15650,,H,8,CHEMBL620706,673.0,,
3574,1,Binding affinity towards cloned human 5-hydroxytryptamine 4E receptor expressed in C6 glial cells using [3H]GR-113808 as radioligand; Not determined,,BAO_0000219,,,,Expert,17046,,H,8,CHEMBL620707,673.0,,
3575,1,Binding affinity towards 5-hydroxytryptamine 5 receptor,,BAO_0000357,,,,Expert,17066,,H,8,CHEMBL620708,,,
3576,1,Inhibitory constant against human 5-hydroxytryptamine 5A receptor using [3H]LSD radioligand,,BAO_0000357,,,,Autocuration,17200,,H,8,CHEMBL620709,,,
3577,1,Binding affinity against 5-hydroxytryptamine 5A receptor,,BAO_0000357,,Homo sapiens,,Expert,16146,,D,9,CHEMBL620710,,,
3578,1,Compound was tested for the displacement of [3H]5-HT binding to cloned human 5-hydroxytryptamine 5A receptor stably expressed in CHO cells,,BAO_0000219,,,,Autocuration,15250,,H,8,CHEMBL620711,449.0,,
3579,1,Affinity towards human 5-hydroxytryptamine 5A serotonin receptor,,BAO_0000357,,Homo sapiens,,Expert,6491,,D,9,CHEMBL620712,,,
3580,1,Binding affinity towards human 5-hydroxytryptamine 5A receptor,,BAO_0000357,,Homo sapiens,,Expert,17066,,D,9,CHEMBL620713,,,
3581,1,Binding affinity towards human 5-hydroxytryptamine 5A receptor was evaluated using [3H]-5-CT as radioligand,,BAO_0000357,,Homo sapiens,,Expert,17066,,D,9,CHEMBL620714,,,
3582,1,Binding affinity to cloned human 5-hydroxytryptamine 5A receptor,,BAO_0000357,,Homo sapiens,,Expert,4234,,D,9,CHEMBL620715,,,
3583,1,Binding affinity towards 5-HT5A receptor,,BAO_0000357,,,,Autocuration,6013,,H,8,CHEMBL620716,,,
3584,1,Binding affinity towards human 5-hydroxytryptamine 5A receptor using LSD as radioligand,,BAO_0000357,,,,Expert,17175,,H,8,CHEMBL620717,,,
3585,1,Compound was evaluated for its binding affinity towards human 5-hydroxytryptamine 5A receptor,,BAO_0000357,,,,Autocuration,15818,,H,8,CHEMBL618072,,,
3586,1,Binding affinity towards cloned human 5-HT5A receptor was determined,,BAO_0000357,,,,Autocuration,6166,,H,8,CHEMBL857987,,,
3587,1,Binding affinity towards 5-hydroxytryptamine 5A receptor (human cloned receptor) in HEK 293 cells using [3H]mesulergine as radioligand.,,BAO_0000219,,,,Autocuration,15779,,H,8,CHEMBL618073,722.0,,
3588,1,Binding affinity towards 5-hydroxytryptamine 5A receptor (human cloned receptor) in HEK 293 cells using [3H]mesulergine as radioligand;ND means no data.,,BAO_0000219,,,,Autocuration,15779,,H,8,CHEMBL618074,722.0,,
3589,1,Compound was tested for its binding affinity in 5-hydroxytryptamine 5A receptor (using human cloned receptors in HEK 293 and [3H]5-CTas a radioligand ),,BAO_0000219,,,,Autocuration,5213,,H,8,CHEMBL618075,722.0,,
3590,1,Binding affinity towards mouse 5-hydroxytryptamine 5A receptor,,BAO_0000357,,Mus musculus,,Expert,17066,,D,9,CHEMBL618076,,,
3591,1,Binding affinity towards mouse 5-hydroxytryptamine 5A receptor was evaluated using [125I]-2-iodo LSD as radioligand,,BAO_0000357,,Mus musculus,,Expert,17066,,D,9,CHEMBL618077,,,
3592,1,Binding affinity towards mouse 5-hydroxytryptamine 5A receptor was evaluated using [3H]- LSD as radioligand,,BAO_0000357,,Mus musculus,,Expert,17066,,D,9,CHEMBL618078,,,
3593,1,Binding affinity towards mouse 5-hydroxytryptamine 5A receptor was evaluated using [3H]LSD as radioligand,,BAO_0000357,,Mus musculus,,Expert,17066,,D,9,CHEMBL881821,,,
3594,1,Binding affinity towards murine 5-hydroxytryptamine 5A receptor,,BAO_0000357,,Mus musculus,,Expert,17066,,D,9,CHEMBL618079,,,
3595,1,Binding affinity towards mouse 5-hydroxytryptamine 5A receptor using LSD as radioligand,,BAO_0000357,,,,Expert,17175,,H,8,CHEMBL618080,,,
3596,1,Binding affinity against 5-hydroxytryptamine 5A receptor in HEK 293 cells was determined using [3H]LSD as radioligand,,BAO_0000219,,,,Autocuration,16190,,H,8,CHEMBL618081,722.0,,
3597,1,Binding affinity against 5-hydroxytryptamine 5A receptor in HEK 293 cells was determined using [3H]LSD as radioligand,,BAO_0000219,,,,Autocuration,16190,,H,8,CHEMBL618082,722.0,,
3598,1,Binding affinity towards 5-HT5a receptor,,BAO_0000357,,,,Expert,4820,,H,8,CHEMBL618083,,,
3599,1,Binding affinity towards 5-hydroxytryptamine 5A receptor,,BAO_0000357,,Homo sapiens,,Expert,17066,,D,9,CHEMBL618084,,,
3600,1,Binding affinity for rodent 5-hydroxytryptamine 5A receptor,,BAO_0000357,,,,Expert,17066,,H,8,CHEMBL618085,,,
3601,1,Binding affinity towards 5-hydroxytryptamine 5A receptor using lysergic acid diethylamide (LSD) as radioligand,,BAO_0000357,,,,Expert,17175,,H,8,CHEMBL618086,,,
3602,1,Binding affinities against 5-hydroxytryptamine 5A receptor,,BAO_0000357,,,,Autocuration,16633,,H,8,CHEMBL875092,,,
3603,1,Binding affinities towards 5-hydroxytryptamine 5A receptor,,BAO_0000357,,,,Autocuration,16633,,H,8,CHEMBL618087,,,
3604,1,The binding affinity towards 5-hydroxytryptamine 5A receptor; No affinity,,BAO_0000357,,,,Autocuration,16700,,H,8,CHEMBL872926,,,
3605,1,Percent of control response to 5-HT3 agonistic activity on guinea colon at a concentration 0.01 uM,,BAO_0000019,,Cavia porcellus,,Autocuration,4639,,H,4,CHEMBL618088,,,
3606,1,Binding affinity towards 5-HT3 receptor by the displacement of [3H]GR-65630] in human recombinant receptors in mammalian cell,,BAO_0000223,,,,Autocuration,5486,,H,4,CHEMBL618089,,,
3607,1,Inhibition of human 5-hydroxytryptamine 6 receptor,,BAO_0000357,,Homo sapiens,,Expert,16146,,D,9,CHEMBL618090,,,
3608,1,Binding affinity towards 5-hydroxytryptamine 6 receptor using [3H]- LSD as radioligand,,BAO_0000357,,Homo sapiens,,Expert,17273,,D,9,CHEMBL618091,,,
3609,1,Inhibition against human 5-hydroxytryptamine 6 receptor,,BAO_0000357,,,,Autocuration,17687,,H,8,CHEMBL618092,,,
3610,1,Affinity towards human 5-hydroxytryptamine 6 serotonin receptor,,BAO_0000357,,Homo sapiens,,Expert,6491,,D,9,CHEMBL618093,,,
3611,1,Binding affinity as displacement of [3H]5-HT binding to 5-hydroxytryptamine 6 receptor in HeLa cells.,,BAO_0000219,,,,Expert,16190,,H,8,CHEMBL618094,308.0,,
3612,1,Binding affinity towards [3H]LSD-labeled human 5-hydroxytryptamine 6 receptor,,BAO_0000357,,Homo sapiens,,Expert,17066,,D,9,CHEMBL618095,,,
3613,1,Binding affinity towards human 5-hydroxytryptamine 6 receptor,,BAO_0000357,,Homo sapiens,,Expert,17066,,D,9,CHEMBL875093,,,
3614,1,Binding affinity towards human 5-hydroxytryptamine 6 receptor was evaluated using [125I]-2-iodo LSD as radioligand,,BAO_0000357,,Homo sapiens,,Expert,17066,,D,9,CHEMBL618096,,,
3615,1,Binding affinity towards human 5-hydroxytryptamine 6 receptor was evaluated using [3H]-LSD as radioligand,,BAO_0000357,,Homo sapiens,,Expert,17066,,D,9,CHEMBL618118,,,
3616,1,Binding affinity against 5-hydroxytryptamine 6 receptor,,BAO_0000357,,Homo sapiens,,Expert,3555,,D,9,CHEMBL618119,,,
3617,1,Binding affinity towards human 5-hydroxytryptamine 6 receptor,,BAO_0000357,,,,Expert,5808,,H,8,CHEMBL618120,,,
3618,1,Binding affinity towards human 5-hydroxytryptamine 6 receptor,,BAO_0000357,,,,Autocuration,6013,,H,8,CHEMBL618121,,,
3619,1,"Binding affinity for human 5-hydroxytryptamine 6 receptor expressed in HEK 293 human embryonic kidney cells, [3H]-lysergic acid diethylamide as radioligand",,BAO_0000219,,,,Expert,15818,,H,8,CHEMBL618122,722.0,,
3620,1,Binding affinity towards human 5-hydroxytryptamine 6 receptor using [3H]LSD as radioligand,,BAO_0000357,,,,Autocuration,16209,,H,8,CHEMBL618123,,,
3621,1,Binding affinity against human 5-hydroxytryptamine 6 receptor stably transfected to HEK 293 human embryonic kidney cells using [3H]-lysergic acid diethylamide as radioligand,,BAO_0000219,,,,Expert,3935,,H,8,CHEMBL618124,722.0,,
3622,1,Compound was evaluated for its binding affinity towards human 5-hydroxytryptamine 6 receptor,,BAO_0000357,,,,Autocuration,15818,,H,8,CHEMBL618125,,,
3623,1,Displacement of [3H]LSD from human 5-hydroxytryptamine 6 receptor expressed in HEK 293 cells,,BAO_0000219,,Homo sapiens,,Expert,3805,,D,9,CHEMBL618126,722.0,,
3624,1,Tested on cell membranes from transfected cells selectively expressing human 5-hydroxytryptamine 6 receptor incubated with 1 nM [3H]LSD,,BAO_0000019,,,,Expert,16441,,H,8,CHEMBL618236,,,
3625,1,Tested on cell membranes from transfected cells selectively expressing human 5-hydroxytryptamine 6 receptor incubated with 1 nM [3H]LSD; ND is No Data.,,BAO_0000019,,,,Expert,16441,,H,8,CHEMBL618237,,,
3626,1,Ability to displace [3H]LSD from human 5-hydroxytryptamine 6 receptor transiently expressed in COS-7 cells,,BAO_0000219,,,,Expert,6786,,H,8,CHEMBL618238,643.0,,
3627,1,In vitro binding affinity to human 5-hydroxytryptamine 6 receptor,,BAO_0000357,,Homo sapiens,,Expert,4234,,D,9,CHEMBL618239,,,
3628,1,In vitro binding affinity by radioligand binding assay using cell line expressing human 5-hydroxytryptamine 6 receptor,,BAO_0000019,,,,Autocuration,17085,,H,8,CHEMBL618240,,,
3629,1,Inhibitory constant against human 5-hydroxytryptamine 6 receptor using [3H]LSD radioligand,,BAO_0000357,,,,Autocuration,17200,,H,8,CHEMBL618241,,,
3630,1,Antagonism assessed in a functional cAMP binding assay using 5-CT to stimulate human 5-hydroxytryptamine 6 receptor expressed in HEK 293 cells,,BAO_0000219,,,,Autocuration,17451,,H,8,CHEMBL859399,722.0,,
3631,1,The compound was tested for antagonist activity by inhibition of human 5-HT6 stimulated adenylate cyclase,,BAO_0000019,,,,Autocuration,3935,,H,8,CHEMBL618242,,,
3632,1,Ability to displace the radioligand [3H]LSD from human 5-hydroxytryptamine 6 receptor,,BAO_0000357,,,,Autocuration,5033,,H,8,CHEMBL857991,,,
3633,1,Binding affinity against human 5-hydroxytryptamine 6 receptor,,BAO_0000357,,,,Expert,4540,,H,8,CHEMBL619951,,,
3634,1,Binding affinity to human cloned 5-HT6 receptor in HeLa cells using [3H]- LSD as radioligand,,BAO_0000219,,Homo sapiens,,Expert,4540,,D,9,CHEMBL619952,308.0,,
3635,1,Binding affinity to human cloned 5-hydroxytryptamine 6 receptor in HeLa cells using [3H]- LSD as radioligand,,BAO_0000219,,Homo sapiens,,Expert,4540,,D,9,CHEMBL619953,308.0,,
3636,1,Binding affinity against 5-hydroxytryptamine 6 human cloned receptors in HeLa cells,,BAO_0000219,,,,Autocuration,17296,,H,8,CHEMBL619954,308.0,,
3637,1,Binding affinity against 5-hydroxytryptamine 6 human cloned receptors in HeLa cells using [3H]LSD as radioligand,,BAO_0000219,,,,Autocuration,17296,,H,8,CHEMBL619955,308.0,,
3638,1,Binding affinity against 5-hydroxytryptamine 6 human cloned receptors in HeLa cells using [3H]LSD as radioligand,,BAO_0000219,,,,Autocuration,17296,,H,8,CHEMBL619956,308.0,,
3639,1,Binding affinity towards 5-hydroxytryptamine 6 receptor (human cloned receptor) in CHO cells using [3H]5-HT as radioligand,,BAO_0000219,,,,Autocuration,15779,,H,8,CHEMBL619957,449.0,,
3640,1,Binding affinity towards 5-hydroxytryptamine 6 receptor (human cloned receptor) in HEK 293 cells using [3H]mesulergine as radioligand.,,BAO_0000219,,,,Autocuration,15779,,H,8,CHEMBL619958,722.0,,
3641,1,Binding affinity towards 5-hydroxytryptamine 6 receptor (human cloned receptor) in HEK 293 cells using [3H]mesulergine as radioligand; ND means no data.,,BAO_0000219,,,,Autocuration,15779,,H,8,CHEMBL620627,722.0,,
3642,1,Binding affinity towards 5-hydroxytryptamine 6 receptor (human cloned receptor) in HEK 293 cells using [3H]mesulergine as radioligand;ND means no data.,,BAO_0000219,,,,Autocuration,15779,,H,8,CHEMBL620628,722.0,,
3643,1,Binding affinity towards 5-hydroxytryptamine 6 receptor (human cloned receptor) in HeLa cells using [3H]LSD as radioligand;ND means no data.,,BAO_0000219,,,,Autocuration,15779,,H,8,CHEMBL620629,308.0,,
3644,1,Binding affinity towards human 5-hydroxytryptamine 6 receptor,,BAO_0000357,,,,Autocuration,6166,,H,8,CHEMBL620630,,,
3645,1,Binding constant towards serotonin receptor subtype 5-hydroxytryptamine 6 receptor expressed in HeLa cells using [3H]LSD as radioligand,,BAO_0000219,,,,Autocuration,17451,,H,8,CHEMBL620782,308.0,,
3646,1,Compound was evaluated for its ability to displace [3H]LSD binding from human recombinant 5-hydroxytryptamine 6 receptor,,BAO_0000357,,,,Autocuration,15316,,H,8,CHEMBL620783,,,
3647,1,Binding affinity against human 5-hydroxytryptamine 6 receptor,,BAO_0000357,,,,Expert,4199,,H,8,CHEMBL620784,,,
3648,1,Binding affinity against human cloned 5-hydroxytryptamine 6 receptor in HeLa cells using [3H]LSD,,BAO_0000219,,,,Expert,15146,,H,8,CHEMBL620785,308.0,,
3649,1,Compound was tested for its binding affinity in 5-hydroxytryptamine 6 receptor (using human cloned receptors in HeLa and [3H]LSD as a radioligand ),,BAO_0000357,,,,Autocuration,5213,,H,8,CHEMBL857992,,,
3650,1,In vitro binding affinity at human recombinant 5-hydroxytryptamine 6 receptor in mammalian cells using 3[H]LSD as the radioligand,,BAO_0000219,,,,Autocuration,16429,,H,8,CHEMBL620786,,,
3651,1,The compound was tested for its binding affinity towards cloned human 5-hydroxytryptamine 6 receptor in HeLa cells using [3H]5-LSD.,,BAO_0000219,,,,Autocuration,14818,,H,8,CHEMBL620787,308.0,,
3652,1,"The compound was tested for the binding affinity towards human cloned 5-hydroxytryptamine 6 receptor in HeLa cells, using [3H]5-LSD as radioligand; n=3",,BAO_0000219,,,,Autocuration,4829,,H,8,CHEMBL620788,308.0,,
3653,1,"The compound was tested for the binding affinity towards human cloned 5-hydroxytryptamine 6 receptor in HeLa cells, using [3H]5-LSD as radioligand; n=9",,BAO_0000219,,,,Autocuration,4829,,H,8,CHEMBL620789,308.0,,
3654,1,"The compound was tested for the binding affinity towards human cloned 5-hydroxytryptamine 6 receptor in HeLa cells, using [3H]LSD as radioligand; n=3",,BAO_0000219,,,,Autocuration,4829,,H,8,CHEMBL620790,308.0,,
3655,1,Compound was tested for the displacement of [3H]5-HT binding to cloned rat 5-hydroxytryptamine 6 receptor stably expressed in CHO cells,,BAO_0000219,,,,Autocuration,15250,,H,8,CHEMBL620791,449.0,,
3656,1,Binding affinity against 5-hydroxytryptamine 6 receptor from CHO cell membranes using [3H]5-HT as the radioligand.,,BAO_0000019,,,,Autocuration,14423,,H,8,CHEMBL620792,,,
3657,1,The compound was tested for binding affinity against 5-hydroxytryptamine 6 receptor,,BAO_0000357,,,,Autocuration,15086,,H,8,CHEMBL620793,,,
3658,1,Binding affinity of compound towards serotonin 5-hydroxytryptamine 6 receptor was determined,,BAO_0000357,,,,Autocuration,4342,,H,8,CHEMBL620794,,,
3659,1,Binding affinity as displacement of [3H]5-HT binding to 5-hydroxytryptamine 6 receptor in HeLa cells,,BAO_0000219,,Homo sapiens,,Autocuration,16190,,D,9,CHEMBL620795,308.0,,
3660,1,Binding affinity towards human 5-hydroxytryptamine 6 receptor,,BAO_0000357,,,,Expert,4820,,H,8,CHEMBL620796,,,
3661,1,Percentage of displacement at 5-hydroxytryptamine 6 receptor at 10e-8 M,,BAO_0000357,,,,Autocuration,4639,,H,8,CHEMBL620797,,,
3662,1,Antagonistic activity towards 5-hydroxytryptamine 6 receptor was evaluated in cAMP assay,,BAO_0000019,,Homo sapiens,,Expert,17066,,D,9,CHEMBL620798,,,
3663,1,Inhibition of binding towards 5-hydroxytryptamine 6 receptor at 100 nM concentration,,BAO_0000357,,,,Autocuration,6011,,H,8,CHEMBL620799,,,
3664,1,Binding affinity towards human 5-hydroxytryptamine 6 receptor,,BAO_0000357,,,,Expert,17066,,H,8,CHEMBL620800,,,
3665,1,Binding affinity of compound towards serotonin 5-hydroxytryptamine 6 receptor; inactive at 10 uM,,BAO_0000357,,,,Autocuration,17515,,H,8,CHEMBL620801,,,
3666,1,Compound was tested for its binding affinity towards 5-hydroxytryptamine 6 receptor,,BAO_0000357,,,,Autocuration,5014,,H,8,CHEMBL875100,,,
3667,1,Binding affinity relative to indolopiperidine (compound 1) for 5-hydroxytryptamine 6 receptor was determined,,BAO_0000357,,,,Autocuration,4373,,H,8,CHEMBL620802,,,
3668,1,Antagonistic activity towards 5-hydroxytryptamine 6 receptor,,BAO_0000019,,,,Expert,17066,,H,8,CHEMBL620803,,,
3669,1,Antagonistic activity towards 5-hydroxytryptamine 6 receptor was evaluated in cAMP assay,,BAO_0000019,,,,Expert,17066,,H,8,CHEMBL620804,,,
3670,1,Binding affinity for 5-hydroxytryptamine 6 receptor was determined,,BAO_0000357,,,,Autocuration,4373,,H,8,CHEMBL620805,,,
3671,1,Evaluated for the binding affinity towards 5-hydroxytryptamine 6 receptor,,BAO_0000357,,,,Autocuration,4687,,H,8,CHEMBL620806,,,
3672,1,Ability to displace [125I]LSD 113808 from 5-hydroxytryptamine 6 receptor at concentration of 10e-6 M,,BAO_0000357,,,,Autocuration,16946,,H,8,CHEMBL620807,,,
3673,1,Ability to displace [125I]LSD 113808 from 5-hydroxytryptamine 6 receptor at concentration of 10e-8 M,,BAO_0000357,,,,Autocuration,16946,,H,8,CHEMBL620808,,,
3674,1,Binding affinities against 5-hydroxytryptamine 6 receptor,,BAO_0000357,,,,Autocuration,16633,,H,8,CHEMBL620809,,,
3675,1,Binding affinities towards 5-hydroxytryptamine 6 receptor,,BAO_0000357,,,,Autocuration,16633,,H,8,CHEMBL620810,,,
3676,1,Binding affinity towards 5-hydroxytryptamine 6 receptor,,BAO_0000357,,Homo sapiens,,Expert,17066,,D,9,CHEMBL620811,,,
3677,1,The binding affinity towards 5-hydroxytryptamine 6 receptor; No affinity,,BAO_0000357,,,,Autocuration,16700,,H,8,CHEMBL620812,,,
3678,1,Affinity against 5-hydroxytryptamine 6 receptor,,BAO_0000357,,,,Autocuration,3269,,H,8,CHEMBL620813,,,
3679,1,Binding affinity towards human recombinant 5-hydroxytryptamine 7 receptor by the displacement of [3H]-5-CT],,BAO_0000357,,,,Autocuration,5486,,H,8,CHEMBL620814,,,
3680,1,Inhibition of human 5-hydroxytryptamine 7 receptor,,BAO_0000357,,Homo sapiens,,Expert,16146,,D,9,CHEMBL620815,,,
3681,1,Compound was tested for its binding affinity towards human 5-hydroxytryptamine 7 receptor from HEK293 cells using radioligand [3H]LSD,,BAO_0000219,,,,Autocuration,5014,,H,8,CHEMBL620816,722.0,,
3682,1,Compound at 1 uM was tested for the inhibition of radioligand [3H]LSD binding to recombinant human 5-hydroxytryptamine 7 receptor,,BAO_0000357,,,,Autocuration,15463,,H,8,CHEMBL620817,,,
3683,1,In vitro binding affinity against human 5-hydroxytryptamine 7 receptor at a concentration of 100 (nM),,BAO_0000357,,,,Autocuration,3805,,H,8,CHEMBL620818,,,
3684,1,Inhibition (at 1 uM) of radioligand [3H]LSD binding to human 5-hydroxytryptamine 7 receptor on HEK293 cells,,BAO_0000219,,,,Expert,5014,,H,8,CHEMBL620819,722.0,,
3685,1,Affinity towards human 5-hydroxytryptamine 7 serotonin receptor,,BAO_0000357,,Homo sapiens,,Expert,6491,,D,9,CHEMBL620820,,,
3686,1,Binding affinity for 5-hydroxytryptamine 7 receptor human cloned receptors in CHO cells using [3H]5-HT,,BAO_0000219,,,,Autocuration,16190,,H,8,CHEMBL620821,449.0,,
3687,1,Binding affinity towards human 5-hydroxytryptamine 7 receptor,,BAO_0000357,,Homo sapiens,,Expert,17066,,D,9,CHEMBL620822,,,
3688,1,Displacement of [3H]5-HT from human 5-hydroxytryptamine 7 receptor,,BAO_0000357,,Homo sapiens,,Expert,17066,,D,9,CHEMBL620823,,,
3689,1,Binding affinity against 5-hydroxytryptamine 7 receptor,,BAO_0000357,,Homo sapiens,,Expert,3555,,D,9,CHEMBL620824,,,
3690,1,Binding affinity towards human 5-hydroxytryptamine 7 receptor by the displacement of [3H]-5-HT radioligand from the cloned receptor expressed in CHO cells,,BAO_0000219,,,,Expert,6588,,H,8,CHEMBL620825,449.0,,
3691,1,Binding affinity towards recombinant human 5-hydroxytryptamine 7 receptor was determined using [3H]LSD as radioligand,,BAO_0000357,,,,Autocuration,15463,,H,8,CHEMBL872930,,,
3692,1,Binding affinity towards 5-hydroxytryptamine 7 receptor,,BAO_0000357,,,,Autocuration,6013,,H,8,CHEMBL620826,,,
3693,1,Binding affinity towards human 5-hydroxytryptamine 7 receptor using [3H]5-HT as radioligand,,BAO_0000357,,,,Autocuration,16209,,H,8,CHEMBL620827,,,
