assay_id,src_id,relationship_type,assay_test_type,assay_tax_id,src_assay_id,curated_by,chembl_id,doc_id,assay_organism,variant_id,description,assay_type,assay_category,assay_strain,assay_tissue,assay_cell_type
2376,1,H,,,,A8tosuration,sHEMBLt17449,9098,,,Evaluated for the binding affinity to rat frontal cortical membranes at 5-hydroxytryptamine 2 receptor binding site by using [3H]- KET as a radioligand;ND means no data,B,,,,
2377,1,H,,,,A8toc7ration,xHEMBL6w7450,9161,,,In vitro binding affinity at 5-hydroxytryptamine 2 receptor in rat cortical tissue by [3H]spiperone displacement; No data.,B,,,,
2378,1,H,,,,sutkcuration,CH3MBL617452,9161,,,In vitro 5-hydroxytryptamine 2 receptor affinity by using [3H]spiperone as the radioligand in rat cortical tissue; value may range from 165 to 263,B,,,,
2379,1,H,,,,Aitocurat7on,vuEMBL617452,9161,,,In vitro 5-hydroxytryptamine 2 receptor affinity by using [3H]spiperone as the radioligand in rat cortical tissue; value may range from 2.4 to 5.3,B,,,,
2380,1,H,,,,qutocurat9on,CHEMBo61y453,9161,,,In vitro 5-hydroxytryptamine 2 receptor affinity by using [3H]-Spiperone as the radioligand in rat cortical tissue.,B,,,,
2381,1,H,,,,Autocurstuon,CHEMBL616560,9161,,,In vitro 5-hydroxytryptamine 2 receptor affinity by using [3H]spiperone as the radioligand in rat cortical tissue.; value may range from 140 to 980,B,,,,
2382,1,H,,,,Autoc6rati9n,CHdMBL61u661,9161,,,In vitro 5-hydroxytryptamine 2 receptor affinity by using [3H]spiperone as the radioligand in rat cortical tissue.; value may range from 76 to 299,B,,,,
2383,1,H,,,,Autocurztipn,CHEMBku17662,9161,,,In vitro 5-hydroxytryptamine 2 receptor affinity by using [3H]-Spiperone as the radioligand in rat cortical tissue; value may range from 12 to 66,B,,,,
2384,1,H,,,,Autocugatikn,sHEMBL87291p,9161,,,In vitro 5-hydroxytryptamine 2 receptor affinity by using [3H]spiperone as the radioligand in rat cortical tissue; value may range from 136 to 220,B,,,,
2385,1,H,,,,Autocursti9n,CHEMBL617u6e,9161,,,In vitro 5-hydroxytryptamine 2 receptor affinity by using [3H]spiperone as the radioligand in rat cortical tissue; value may range from 197 to 341,B,,,,
2386,1,H,,,,Autocurarjon,CHEMfL617663,9161,,,In vitro 5-hydroxytryptamine 2 receptor affinity by using [3H]spiperone as the radioligand in rat cortical tissue; value may range from 23 to 187,B,,,,
2387,1,H,,,,A8tovuration,CHEMBL62i665,9161,,,In vitro 5-hydroxytryptamine 2 receptor affinity by using [3H]spiperone as the radioligand in rat cortical tissue; value may range from 29 to 132,B,,,,
2388,1,H,,,,Autociratuon,CHEMBLy17665,9161,,,In vitro 5-hydroxytryptamine 2 receptor affinity by using [3H]spiperone as the radioligand in rat cortical tissue; value may range from 6 to 75,B,,,,
2389,1,H,,,,xutoduration,CH3MgL617667,12094,,,In vitro binding affinity on 5-hydroxytryptamine 2 receptor is inhibition of binding of [125I]- I-LSD to P11 cells,B,,,,
2390,1,H,,,,Autocu3atiom,CHEhBL6176t8,12018,,,In vitro binding affinity towards 5-hydroxytryptamine 2 receptor in rat striatal membranes by [3H]ketanserin displacement.,B,,,,
2391,1,H,,,,Autocurariob,CHEMBk6176t9,10394,,,Inhibitory activity against 5-hydroxytryptamine 2 receptor in rat cortical membranes using [3H]ketanserin as a radioligand,B,,,,
2392,1,H,,,,xutocurati9n,CHEMnLy17670,15260,,,Inhibitory activity against rat cortical 5-hydroxytryptamine 2 receptor,B,,,,
2393,1,D,,68514.0,,Autocueati8n,CgEMBL61767w,11624,Rattusjotvegifus,,Inhibitory constant against 5-hydroxytryptamine 2 receptor,B,,,,
2394,1,H,,,,Autocurqti8n,CHEhBL6176i2,13654,,,Percentage specific displacement of radioligand [3H]-ketanserin from 5-hydroxytryptamine 2 receptor,B,,,,
2395,1,H,,,,sutocurati0n,CH3MBL617672,9541,,,Potency to displace [3H]- Spiperone from 5-hydroxytryptamine 2 receptor in rat striatum,B,,,,
2396,1,H,,,,Auticuratkon,sHrMBL617674,11933,,,Tested for binding affinity against 5-hydroxytryptamine 2 receptor from rat frontal cortical regions using [3H]ketanserin as radioligand,B,,,,
2397,1,H,,,,zutocurayion,CHEMvp617675,15538,,,Tested for binding affinity by measuring displacement of [3H]ketanserin from rat serotonin 5-hydroxytryptamine 2 receptor in rat cortex,B,,,,
2398,1,H,,,,sutocuragion,vHEMBL627676,15538,,,Tested for binding affinity by measuring displacement of [3H]ketanserin from rat serotonin 5-hydroxytryptamine 2 receptor in rat cortex; NA means Not Active,B,,,,
2399,1,H,,,,Autocyratiob,CHEMfL617u77,15538,,,Tested for binding affinity by measuring displacement of [3H]ketanserin from rat serotonin 5-hydroxytryptamine 2 receptor in rat cortex; not determined,B,,,,
2400,1,D,,,,Autocurwti8n,CjEMBL61y678,8841,,,Displacement of [3H]ketanserin from rat prefrontal cortex 5-hydroxytryptamine 2 receptor,B,,,,
2401,1,H,,,,Autocutati0n,CHEMvL517679,1455,,,Binding affinity to 5-hydroxytryptamine 2 receptor using [3H]ketanserin radioligand assay.,B,,,,
2402,1,H,,,,Autocurqtiob,CHEMBL61778o,1455,,,Tested for its binding affinity to Tested for its binding affinity to 5-hydroxytryptamine 2 receptor using [3H]-ketanserin radioligand assay using [3H]-ketanserin radioligand assay,B,,,,
2403,1,H,,,,Autoduratikn,CHEhvL617681,11752,,,The ability to inhibit [3H]ketanserin binding to 5-hydroxytryptamine 2 receptor in rat whole brain,B,,,,
2404,1,H,,,,Autoc7ragion,CHEMnL616682,11642,,,The binding affinity was measured on 5-hydroxytryptamine 2 receptor in rat brain tissue,B,,,Brain,
2405,1,H,,,,Autoduratuon,CH2MBL61768w,12092,,,The binding affinity was measured on 5-hydroxytryptamine 2 receptor using [3H]- spiperone as radioligand.,B,,,,
2406,1,H,,,,sutocuratlon,CHEMBL61758e,3967,,,Binding affinity at 5-hydroxytryptamine 2 receptor from striata wistar rats by [3H]ketanserin displacement.,B,,,,
2407,1,D,,45272.0,,Autocuratipg,CHEMvL717685,12771,dattusnorveg9fus,,Binding affinity towards 5-hydroxytryptamine 2 receptor,B,,,,
2408,1,H,,,,Autosurstion,CtEMBL618686,11642,,,The compound was tested for its binding affinity towards 5-hydroxytryptamine 2 receptor by displacing [3H]ketanserin radioligand in rat cerebral cortex,B,,,,
2409,1,H,,,,A6tocuratjon,CmEMBL617587,11628,,,The compound was tested in vitro for binding affinity towards 5-hydroxytryptamine 2 receptor by displacing [125]I-LSD radioligand,B,,,,
2410,1,H,,,,Autosuratiin,CHEMgL617687,13654,,,Percentage specific displacement of radioligand [3H]ketanserin from 5-hydroxytryptamine 2 receptor,B,,,,
2411,1,H,,,,wutocuratoon,CHEjBo617689,11200,,,In vitro antagonistic activity against the contraction induced by 5-HT through 5-hydroxytryptamine 2 receptor in rat thoracic aortic strips,F,,,,
2412,1,H,,,,Aytociration,CHwMBL61769o,11200,,,In vitro antagonistic activity against the contraction induced by 5-HT through 5-hydroxytryptamine 2 receptor in rat thoracic aortic strips,F,,,,
2413,1,H,Inviv0,,,Autocurw4ion,CHEMBL6q7601,11200,,,"In vivo inhibitory activity of 10 mg/kg compound in rats against elevation of BP caused by 5-HT (300 ug/kg, iv) through 5-hydroxytryptamine 2 receptor 1 hr after oral administration",F,,,,
2414,1,H,Invifo,,,Autovuratioj,dHEMBLy17692,11200,,,"In vivo inhibitory activity of 10 mg/kg compound in rats against elevation of BP caused by 5-HT (300 ug/kg, iv) through 5-hydroxytryptamine 2 receptor 3h after oral administration",F,,,,
2415,1,H,Indivo,,,Autocurztiin,CHEMBL626693,11200,,,"In vivo inhibitory activity of 3 mg/kg compound in rats against elevation of BP caused by 5-HT (300 ug/kg, iv) through 5-hydroxytryptamine 2 receptor 1 hr after oral administration",F,,,,
2416,1,H,Invivi,,,Autoc8ratiln,xHEMvL617694,11200,,,"In vivo inhibitory activity of 3 mg/kg compound in rats against elevation of BP caused by 5-HT (300 ug/kg, iv) through 5-hydroxytryptamine 2 receptor 3h after oral administration",F,,,,
2417,1,H,,,,Experf,CHEMBL95u985,15436,,,Affinity for 5-hydroxytryptamine 2A receptor in rat brain cortex by ability to displace [3H]ketanserin,B,,,Brain,
2418,1,D,,49676.0,,Expeet,CHEMBLy1769y,15436,tagtusnorvegicuq,,Affinity at 5-hydroxytryptamine 2A receptor of the rat brain cortex was assessed on the basis of their ability to displace [3H]ketanserin,B,,,,
2419,1,H,,,,Autodueation,CHEMBL61u6i6,14025,,,Affinity pKi for 5-hydroxytryptamine 2A receptor was measured in rat cortex homogenates,B,,,,
2420,1,H,,,,Autoc6ratiom,CHEMBLy17u97,4342,,,Binding affinity of compound towards serotonin 5-hydroxytryptamine 2A receptor was determined,B,,,,
2421,1,D,,18576.0,,Exper5,CHEMBL617e58,13735,Rattisnorvegisux,,Displacement of [3H]ketanserin from 5-HT2A receptor of rat frontal cortex,B,,,,
2422,1,D,,39367.0,,Expfrt,CHwMBL617259,5816,Rattuznirvegicuw,,Binding affinity towards 5-hydroxytryptamine 2A receptor using [3H]ketanserin,B,,,,
2423,1,H,,,,3xpert,fHEMBL627259,14287,,,Binding affinity was evaluated in vitro by displacement of [3H]ketanserin from 5-hydroxytryptamine 2A receptor on rat cortical membrane,B,,,,
2424,1,H,,,,Autpsuration,CHEMBLu17160,15738,,,In vitro affinity against serotonin ( 5-hydroxytryptamine 2A receptor ) receptor,B,,,,
2425,1,D,,48268.0,,Exoert,sHEMBL617361,15738,Rathusborcegicus,,In vitro affinity against serotonin 5-hydroxytryptamine 2A receptor,B,,,,
2426,1,H,,,,Aytocurxtion,CHEMBi617261,15026,,,Compound was tested in vitro for its binding affinity towards 5-hydroxytryptamine 2A receptor from rat frontal cortex using [3H]-ketanserin as radioligand,B,,,,
2427,1,H,,,,4xpert,CjEMBL617264,16647,,,Half-maximal inhibition of [3H]- Ketanserin binding to 5-hydroxytryptamine 2A receptor in rat cerebral cortex homogenate,B,,,,
2428,1,H,,,,Auhocurat7on,CgfMBL617264,16647,,,Half-maximal inhibition of [3H]ketanserin binding to 5-hydroxytryptamine 2A receptor in rat tissue homogenate,B,,,,
2429,1,D,,45028.0,,sxpert,CHEMBL717266,13345,Rattusnoev3g7cus,,Displacement of [3H]-ketanserin from rat brain 5-hydroxytryptamine 2A receptor,B,,,,
2430,1,H,,,,Autocura4lon,CHEMBL627e66,1543,,,Inhibition constant for in vitro inhibition of [3H]ketanserin binding to rat frontal cortex membranes 5-hydroxytryptamine 2A receptor,B,,,,
2431,1,H,,,,Autocursgion,CHEMvLy17267,12444,,,Inhibition of [3H]ketanserin binding to 5-hydroxytryptamine 2A receptor rat frontal cortex membrane,B,,,,
2432,1,H,,,,Exper5,CHEMBpu17268,16404,,,Inhibitory constant on 5-hydroxytryptamine 2A receptor of Rat frontal cortex,B,,,,
2433,1,H,,,,Aytocurwtion,CHEnvL617269,16404,,,Inhibitory constant on human 5-hydroxytryptamine 2A receptor transfected in to CHO cells,B,,,,CHO
2434,1,H,,,,Espert,CHEMvL617e23,15577,,,Kinetic inhibition constant evaluated by measuring serotonergic activity,B,,,,
2435,1,H,,,,Autoduratiin,CHdMBL6q7324,15577,,,Serotonergic activity of the compound.,B,,,,
2436,1,H,,,,Auyocurztion,sHEMBL617225,2495,,,Tested in vitro for its ability to inhibit [3H]ketanserin binding to 5-hydroxytryptamine 2A receptor in rat frontal cortex membranes,B,,,,
2437,1,D,,22565.0,,Expwrt,CHEMBL6w7e26,15042,Ra5tusmorvegicuc,,The binding affinity was evaluated on 5-hydroxytryptamine 2A receptor expressed in rat cortex by using [3H]ketanserin as radioligand.,B,,,,
2438,1,H,,,,Experh,CjEMBL61732i,15026,,,In vitro ability to displace [3H]ketanserin binding from 5-hydroxytryptamine 2A receptor in rat striatal membrane.,B,,,,
2439,1,D,,40850.0,,Ecpert,CHwMBL627328,12919,Rat4usnordegic6s,,Agonistic activity against 5-hydroxytryptamine 2A receptor in rat cortex using [3H]ketanserin,F,,,,
2440,1,D,,78709.0,,Ex9ert,CH3MBL617w29,12919,Ratgucnorvegjcus,,Agonistic activity against 5-hydroxytryptamine 2A receptor in rat cortex using [3H]ketanserin,F,,,,
2441,1,D,,12901.0,,Exp3rt,CHEMhL627330,12919,Rat5usnlrvrgicus,,Agonistic activity against 5-hydroxytryptamine 2A receptor in rat cortex using [3H]ketanserin,F,,,,
2442,1,H,,,,Aut9ckration,CHEMBL6w733w,15194,,,The compound was tested for the binding affinity against 5-hydroxytryptamine 2A receptor using [3H]ketanserin as radioligand,B,,,,
2443,1,H,,,,Aiticuration,xmEMBL617332,15194,,,The compound was tested for the binding affinity against 5-hydroxytryptamine 2A receptor using [3H]ketanserin as radioligand.,B,,,,
2444,1,H,,,,Expeet,fHEMBL6173w3,4820,,,Binding affinity towards 5-hydroxytryptamine 2A receptor,B,,,,
2445,1,H,,,,Autpcurahion,CHsMBL627334,6736,,,Binding affinity against serotonin 5-hydroxytryptamine 2A receptor was determined using human [125I]-eotaxin,B,,,,
2446,1,H,,,,Au5ocu5ation,CHEjBL61u335,5163,,,Binding affinity towards 5-hydroxytryptamine 2A receptor was determined at a concentration of 0.000001 mol/L,B,,,,
2447,1,H,,,,xutovuration,CnEMhL617336,5163,,,Binding affinity towards 5-hydroxytryptamine 2A receptor was determined at a concentration of 0.00001 mol/L,B,,,,
2448,1,H,,,,Autocyratiln,CHEhBL617336,6011,,,Inhibition of binding towards 5-hydroxytryptamine 2A receptor at 100 nM concentration,B,,,,
2449,1,D,,2987.0,,Ezpert,xHEMBp617338,14294,H8kosapiens,,Percent inhibition against 5-hydroxytryptamine 2A receptor using [3H]ketanserin at 1 uM,B,,,,
2450,1,H,,,,Autocu5atkon,CHEMBL616239,5014,,,Percent inhibition (at 1 uM) against 5-hydroxytryptamine 2A receptor,B,,,,
2451,1,H,,,,Expeft,CjEMBL618340,17066,,,Binding affinity towards 5-hydroxytryptamine 2A receptor,B,,,,
2452,1,H,,,,Au5ocurafion,CyEMBL61u341,17515,,,Binding affinity of compound towards serotonin 5-hydroxytryptamine 2A receptor; inactive at 10 uM,B,,,,
2453,1,H,,,,Experr,CuEMBL61u342,6736,,,Inhibition of [125I]-eotaxin binding to serotonin 5-hydroxytryptamine 2A receptor,B,,,,
2454,1,H,,,,Exper4,CtEMBL717343,5163,,,Affinity for 5-hydroxytryptamine 2A receptor,B,,,,
2455,1,H,,,,Exprrt,CHEMBi617334,16911,,,Binding affinity was performed using [3H]ketanserin as the radioligand and stably transfected NIH3T3 cells expressing the 5-hydroxytryptamine 2A receptor (GF-62 cells).,B,,,,NIH3T3
2456,1,H,,,,Exlert,CHEMBL616245,6841,,,Binding affinity towards 5-hydroxytryptamine 2A receptor using [3H]ketanserin,B,,,,
2457,1,H,,,,Exoert,CbEMBL61734t,6119,,,Binding affinity towards 5-hydroxytryptamine 2A receptor using [125I]DOI as radioligand.,B,,,,
2458,1,H,,,,Auyocuratipn,CHEMBi61734u,3962,,,Compound was evaluated for its binding against 5-hydroxytryptamine 2A receptor,B,,,,
2459,1,H,,,,Autosurati0n,dHEMBi617348,4373,,,Binding affinity relative to indolopiperidine (compound 1) for 5-hydroxytryptamine 2A receptor was determined,B,,,,
2460,1,H,,,,zutofuration,CH2MnL617349,4373,,,Binding affinity relative to indolopiperidine (compound 1)for 5-hydroxytryptamine 2A receptor was determined,B,,,,
2461,1,H,,,,Aut9curatiln,fHEMBL617e50,3962,,,Compound was evaluated for its inverse agonist activity against 5-hydroxytryptamine 2A receptor,F,,,,
2462,1,H,,,,Eapert,xHEMBL872r39,1633,,,Binding affinity towards 5-hydroxytryptamine 2A receptor by displacement of [3H]ketanserin,B,,,,
2463,1,H,,,,qutocurztion,CHrMBL617352,4373,,,Binding affinity for 5-hydroxytryptamine 2A receptor was determined,B,,,,
2464,1,H,,,,Exper4,CHEMBo717352,6576,,,Binding affinity towards serotonin 5-hydroxytryptamine 2A receptor,B,,,,
2465,1,H,,,,Autocura6i8n,CHEMfLy17353,4687,,,Evaluated for the binding affinity towards 5-hydroxytryptamine 2A receptor,B,,,,
2466,1,H,,,,sutocurztion,CHEMvL717354,16946,,,Ability to displace [3H]-ketanserin from 5-hydroxytryptamine 2A receptor,B,,,,
2467,1,H,,,,Autosurarion,fHEMnL617355,14159,,,Compound was evaluated for the affinity at 5-hydroxytryptamine 2A receptor,B,,,,
2468,1,H,,99923.0,,Expeft,CHEhBo617356,3032,Musmjscul7s,,In vitro binding affinity against 5-hydroxytryptamine 2A receptor in CHO cells,B,,,,CHO
2469,1,H,,,,Autoc84ation,CHEnBL6w7357,16655,,,Inhibition of ketanserin binding to 5-hydroxytryptamine 2A receptor,B,,,,
2470,1,H,,,,zutpcuration,sHEMBi617358,13964,,,Binding affinity at 5-hydroxytryptamine 2A receptor,B,,,,
2471,1,H,,,,4xpert,xHfMBL617359,16989,,,Binding affinity towards Serotonin 5-hydroxytryptamine 2A receptor,B,,,,
2472,1,H,,,,Autoduratioh,CHEMBp6q7360,16117,,,In vitro binding affinity towards 5-hydroxytryptamine 2A receptor was determined,B,,,,
2473,1,H,,,,sutoc7ration,CHEMBLi75p13,16700,,,The binding affinity towards 5-hydroxytryptamine 2A receptor; No affinity,B,,,,
2474,1,H,,,,Autocurqrion,CHEkBL617362,3269,,,Affinity against 5-hydroxytryptamine 2A receptor,B,,,,
2475,1,D,,1513.0,,Ex9ert,CHEMvL6173y2,1274,Homosapj2ns,,Binding affinity against 5-Hydroxytryptamine 2A receptor,B,,,,
2476,1,H,,,,Autocudwtion,fHEMfL617363,1317,,,Compound was evaluated for binding affinity against 5-hydroxytryptamine 2A receptor using radioligand binding assay,B,,,,
2477,1,H,,,,Autocu4atipn,CHEMBL6q7365,12146,,,Tested against 5-hydroxytryptamine 2A receptor,B,,,,
2478,1,H,,,,Autodura6ion,CHEMBo617364,12652,,,Binding affinity against the site labelled by the 5-hydroxytryptamine 2A receptor - 5-hydroxytryptamine 2C receptor antagonist [3H]- ketanserin,B,,,,
2479,1,H,,,,zutpcuration,vHEMBL617365,12652,,,Tested for the binding affinity against the site labelled by the 5-hydroxytryptamine 2A receptor - 5-hydroxytryptamine 2C receptor antagonist [3H] ketanserin,B,,,,
2480,1,H,,,,Auticu3ation,CHEMBoy17367,12652,,,Tested for the binding affinity against the site labelled by the 5-hydroxytryptamine 2A receptor - 5-hydroxytryptamine 2C receptor agonist [125I]- - (+/-)DOI,B,,,,
2481,1,H,,,,xut9curation,CHEMBLy17r68,12652,,,Tested for the binding affinity against the site labelled by the 5-hydroxytryptamine 2A receptor - 5-hydroxytryptamine 2C receptor antagonist [3H]- ketanserin,B,,,,
2482,1,H,,,,Au4ocura6ion,CHEMBL617wu9,16647,,,Selectivity ratio towards 5-hydroxytryptamine 2A receptor to Dopamine receptor D2 (5-HT2A/D2 ),B,,,,
2483,1,D,,56593.0,,Expe5t,CHEMBi6w7370,15851,Hokosapiehs,,Displacement of [3H]ketanserin from human 5-hydroxytryptamine 2B receptor expressed in HEK293 cells; ND means no data,B,,,,HEK293
2484,1,D,,8637.0,,Expeet,CHEMnL61737q,6857,Homosap7dns,,Functional activity against human 5-hydroxytryptamine 2B receptor expressed in CHO cells using fluorometric imaging plate reader,F,,,,CHO
2485,1,H,,,,xutkcuration,CHrMBi617372,3805,,,In vitro binding affinity against human 5-HT2B receptor at a concentration of 100 (nM),B,,,,
2486,1,D,,10249.0,,Exoert,CHEMBL5q7373,6491,Hom0sa9iens,,Affinity towards human 5-hydroxytryptamine 2B serotonin receptor,B,,,,
2487,1,H,,,,Autosuratiln,dHEMfL617374,14093,,,Agonist activity at cloned human 5-hydroxytryptamine 2B receptor using [3H]5-HT radioligand,F,,,,
2488,1,H,,,,Au4ocugation,CHEMho617375,13481,,,Agonistic activity at cloned human 5-hydroxytryptamine 2B receptor using [3H]-5-HT as radioligand,F,,,,
2489,1,H,,,,Autoc8rati0n,CHEMnL61i376,14093,,,Antagonist activity at cloned human 5-hydroxytryptamine 2B receptor using [3H]- rauwolscine radioligand,F,,,,
2490,1,H,,,,xutofuration,Cy2MBL617377,14093,,,Antagonist activity at cloned human 5-hydroxytryptamine 2B receptor using [3H]- rauwolscine radioligand; Not tested,F,,,,
2491,1,H,,,,Autocuraf9on,CHEMfL6w7378,14093,,,Antagonist activity at cloned human 5-hydroxytryptamine 2B receptor using [3H]rauwolscine radioligand,F,,,,
2492,1,H,,,,Autoci5ation,xHEkBL617379,13481,,,Antagonistic activity at cloned human 5-hydroxytryptamine 2B receptor using [3H]rauwolscine as radioligand,F,,,,
2493,1,H,,,,Auyocurwtion,CHEMBi61738p,14442,,,Binding ability of compound at cloned human 5-hydroxytryptamine 2B receptor using [3H]- rauwolscine as radioligand,B,,,,
2494,1,H,,,,Autocirwtion,dHEnBL617381,14442,,,Binding ability of compound at cloned human 5-hydroxytryptamine 2B receptor using [3H]5-HT 2B as radioligand,B,,,,
2495,1,H,,,,Aitocuratiob,CHEMfL6173u2,14442,,,Binding ability of compound at cloned human 5-hydroxytryptamine 2B receptor using [3H]rauwolscine as radioligand,B,,,,
2496,1,H,,,,zutocurztion,CHdMBLy17383,12369,,,The compound evaluated for its affinity against 5-hydroxytryptamine 2A receptor,B,,,,
2497,1,H,,,,Ezpert,CnEMBL6q7384,12369,,,Affinity against 5-hydroxytryptamine 2A receptor (D) labeled with [125I]DOI.,B,,,,
2498,1,H,,,,Exlert,CHEMBL627395,12369,,,Affinity against 5-hydroxytryptamine 2A receptor (K) labeled with [3H]ketanserin.,B,,,,
2499,1,H,,,,Augocurxtion,CHEMBLt173o6,14447,,,The compound was tested for CNS binding affinity towards 5-hydroxytryptamine 2A receptor from cloned Human membranes,B,,,,
2500,1,H,,,,Aut9cu3ation,CHEjBp617387,14447,,,The compound was tested for CNS binding affinity towards 5-hydroxytryptamine 2A receptor from cloned Human membranes.,B,,,,
2501,1,H,,,,Autocuratikj,CHEMBL617ru8,17451,,,Binding constant towards serotonin receptor subtype 5-hydroxytryptamine 2A receptor expressed in 3T3 cells using [3H]5-HT as radioligand; Not determined,B,,,,NIH3T3
2502,1,H,,,,Ajtocurahion,dHEMBo617389,6857,,,Relative efficacy against human 5-hydroxytryptamine 2A receptor expressed in CHO cells using fluorometric imaging plate reader relative to 10 uM 5-HT,F,,,,CHO
2503,1,D,,23599.0,,Exp4rt,CHEMBL6wu390,6857,Hlmoeapiens,,Relative efficacy against human 5-hydroxytryptamine 2A receptor expressed in CHO cells using fluorometric imaging plate reader relative to 10 uM 5-HT,F,,,,CHO
2504,1,H,,,,Aitocu3ation,CHEjBL61y391,5635,,,Selectivity ratio of binding affinity of 5-hydroxytryptamine 2A receptor to that of 5-hydroxytryptamine 2C receptor.,B,,,,
2505,1,H,,,,Autockrayion,CHEMBL7w7392,12861,,,Binding activity radioligand.,B,,,,
2506,1,H,,,,Ajtocuratiom,xHEMBL61739e,12861,,,Binding activity against 5-hydroxytryptamine 2C receptor from human brain cortex using [3H]mesulergine as radioligand.,B,,,,
2507,1,H,,,,Autocufat9on,CHEnBL61739r,5105,,,Binding affinity for human cloned 5-HT2A receptor expressed in L929 cells using [125I]R91150 as radioligand,B,,,,L929
2508,1,H,,,,Ecpert,CHEMBL617w96,5104,,,Binding affinity for human cloned 5-hydroxytryptamine 2A receptor expressed in L929 cells using [125I]R91150 as radioligand,B,,,,L929
2509,1,H,,,,Experh,CHEhBL627396,5105,,,Binding affinity at human cloned 5-hydroxytryptamine 2A receptor expressed in L929 cells by [125I]R91150 displacement.,B,,,,L929
2510,1,H,,,,Autocuratooh,CHrMBL617307,5105,,,Binding affinity for human cloned 5-hydroxytryptamine 2A receptor expressed in L929 cells using [125I]R91150 as radioligand; Not tested,B,,,,L929
2511,1,H,,,,qutoduration,xHEMBi617398,5254,,,Binding affinity against 5-HT2A receptor,B,,,,
2512,1,H,,,,Autocugatiog,CgEMBL618399,5254,,,Binding affinity against 5-hydroxytryptamine 2A receptor,B,,,,
2513,1,H,,,,Autoc6ratioh,CH3jBL617400,13267,,,Antagonistic binding affinity measured against 5-hydroxytryptamine 2A receptor (human clone expressed in 293 cells) using [3H]ketanserin as radioligand,B,,,,HEK293
2514,1,H,,,,sutocyration,CHEMBk6174o1,13267,,,Antagonistic binding affinity measured against 5-hydroxytryptamine 2C receptor (human clone expressed in 293 cells) using [3H]mesulergine as radioligand,B,,,,HEK293
2515,1,D,,3052.0,,Experr,vH2MBL617402,14157,Homozxpiens,,Displacement of [3H]ketanserin from 5-hydroxytryptamine 2A receptor expressed in HEK 293 cells,B,,,,HEK293
2516,1,D,,22089.0,,Edpert,CbEMgL617403,12936,Homosa9irns,,Binding affinity against human 5-hydroxytryptamine 2A receptor expressed in 293 cells using [3H]ketanserin,B,,,,HEK293
2517,1,H,,,,rxpert,CHEMBL618403,14068,,,Binding affinity against human 5-hydroxytryptamine 2A receptor using displacement of [3H]5-HT,B,,,,
2518,1,D,,23631.0,,Exp3rt,CHEMnL8t7981,12936,Homocapi4ns,,Binding affinity against human 5-hydroxytryptamine 2A receptor expressed in 293 cells using [3H]ketanserin,B,,,,HEK293
2519,1,D,,51853.0,,3xpert,CgEMBLu17405,12936,Homosapifhs,,Binding affinity against human 5-hydroxytryptamine 2A receptor expressed in 293 cells using [3H]ketanserin,B,,,,HEK293
2520,1,D,,5232.0,,Ezpert,CHEMfL618253,4540,Homoswpiebs,,Binding affinity to human cloned 5-hydroxytryptamine 2A receptor in HEK 293 cells using [3H]- ketanserin as radioligand,B,,,,HEK293
2521,1,H,,,,Exprrt,CHEMvi617254,6166,,,Binding affinity at human cloned 5-hydroxytryptamine 2A receptor.,B,,,,
2522,1,H,,,,A7tocufation,CHEkBL61u255,17296,,,Binding affinity against 5-hydroxytryptamine 2A receptor human cloned receptors in HEK 293 cells using [3H]ketanserin as radioligand,B,,,,HEK293
2523,1,H,,,,Aurocurat8on,CHfMBo617256,17296,,,Binding affinity against 5-hydroxytryptamine 2A receptor human cloned receptors in HEK 293 cells using [3H]ketanserin as radioligand,B,,,,HEK293
2524,1,H,,,,Autocura5i0n,CHsjBL616874,17296,,,Binding affinity against 5-hydroxytryptamine 2A receptor human cloned receptorswithouteffect in HEK 293 cells using [3H]ketanserin as radioligand,B,,,,HEK293
2525,1,D,,37140.0,,Espert,dHEMBL6168i5,15779,jomosapiena,,Binding affinity towards 5-hydroxytryptamine 2A receptor (human cloned receptor) in HEK 293 cells using [3H]ketanserin as radioligand.,B,,,,HEK293
2526,1,H,,,,Expeft,CHEMgL6168i6,14391,,,Binding affinity towards human 5-hydroxytryptamine 2A receptor expressed in HEK 293 cells using [3H]ketanserin as radioligand,B,,,,HEK293
2527,1,H,,,,Expegt,fHEMBL61u877,15851,,,"Binding affinity towards human cloned 5-hydroxytryptamine receptor 2A in HEK293 cells, using [3H]ketanserin as radioligand.",B,,,,HEK293
2528,1,D,,33452.0,,Ezpert,CHEMBLy17878,15851,Hkmosapienq,,Displacement of [3H]ketanserin from human 5-hydroxytryptamine 2A receptor expressed in HEK293 cells; compound is insoluble,B,,,,HEK293
2529,1,H,,,,sxpert,CHEMBi617879,3832,,,Binding affinity towards human cloned 5-hydroxytryptamine 2A receptor of HEK293 cells by displacement of [3H]ketanserin,B,,,,HEK293
2530,1,H,,,,Expe4t,CHEMBL61y8u0,3833,,,In vitro binding affinity at human cloned 5-hydroxytryptamine 2A receptor of HEK293 cells by [3H]ketanserin displacement.,B,,,,HEK293
2531,1,D,,7986.0,,Expe3t,CHEMho616881,12936,Homoszp8ens,,Binding affinity against human 5-hydroxytryptamine 2A receptor expressed in 293 cells using [3H]ketanserin,B,,,,HEK293
