Fiscal year,Children issues (marker),Organisation ID,IRTC percent,Sector percent,Organisation name,Enviromental sustainability (marker),Continent ID,FSTC percent,Project number,Urban issues (marker),PBA type,CountryRegion ID,Continent name,Branch ID,Maximum CIDA contribution (project-level),Climate change adaptation (marker),Project Browser country ID,Sector name,Trade development (marker),Fund centre ID,Programming process (new),Disability issues (marker),Gender equality (marker),Climate change mitigation (marker),Status,Branch name,Division ID,Division name,Section ID,Section name,Regional program (marker),Fund centre name,Untied amount(Project-level budget),CFLI (marker),CIDA business delivery model (old),Bilateral aid (international marker),Desertification (marker)
2009/2010,0,10050,0.0,0.35,Department of Foreign Affairs and International Trade,1,3,1.0,A031006001,1,Not PBA,170,Asia,B4100,9548028.55,0,ID,Environmental education/training,0,4105,Uncoded: Pre-APP,0,2,0,Closed,OGM Asia Pacific,D4100,OAD Asia Programming,S4126,OAI Indonesia and SEA Regional,1,SEA Regional,9548028.55,0,Responsive,1,0
2009/2010,0,1001046,0.0,0.35,STILES ASSOCIATES INC.,1,3,1.0,A031006001,1,Not PBA,170,Asia,B4100,9548028.55,0,ID,Environmental education/training,0,4105,Uncoded: Pre-APP,0,2,0,Closed,OGM Asia Pacific,D4100,OAD Asia Programming,S4126,OAI Indonesia and SEA Regional,1,SEA Regional,9548028.55,0,Responsive,1,0
2009/2010,0,10050,0.0,0.2,Department of Foreign Affairs and International Trade,1,3,1.0,A031006001,1,Not PBA,170,Asia,B4100,9548028.55,0,ID,Environmental research,0,4105,Uncoded: Pre-APP,0,2,0,Closed,OGM Asia Pacific,D4100,OAD Asia Programming,S4126,OAI Indonesia and SEA Regional,1,SEA Regional,9548028.55,0,Responsive,1,0
2009/2010,0,1001046,0.0,0.2,STILES ASSOCIATES INC.,1,3,1.0,A031006001,1,Not PBA,170,Asia,B4100,9548028.55,0,ID,Environmental research,0,4105,Uncoded: Pre-APP,0,2,0,Closed,OGM Asia Pacific,D4100,OAD Asia Programming,S4126,OAI Indonesia and SEA Regional,1,SEA Regional,9548028.55,0,Responsive,1,0
2009/2010,0,10050,0.0,0.35,Department of Foreign Affairs and International Trade,1,3,1.0,A031006001,1,Not PBA,170,Asia,B4100,9548028.55,0,ID,Urban development and management,0,4105,Uncoded: Pre-APP,0,2,0,Closed,OGM Asia Pacific,D4100,OAD Asia Programming,S4126,OAI Indonesia and SEA Regional,1,SEA Regional,9548028.55,0,Responsive,1,0
2009/2010,0,1001046,0.0,0.35,STILES ASSOCIATES INC.,1,3,1.0,A031006001,1,Not PBA,170,Asia,B4100,9548028.55,0,ID,Urban development and management,0,4105,Uncoded: Pre-APP,0,2,0,Closed,OGM Asia Pacific,D4100,OAD Asia Programming,S4126,OAI Indonesia and SEA Regional,1,SEA Regional,9548028.55,0,Responsive,1,0
2009/2010,0,10050,0.0,0.1,Department of Foreign Affairs and International Trade,1,3,1.0,A031006001,1,Not PBA,170,Asia,B4100,9548028.55,0,KH,Environmental policy and administrative management,0,4105,Uncoded: Pre-APP,0,2,0,Closed,OGM Asia Pacific,D4100,OAD Asia Programming,S4126,OAI Indonesia and SEA Regional,1,SEA Regional,9548028.55,0,Responsive,1,0
2009/2010,0,1001046,0.0,0.1,STILES ASSOCIATES INC.,1,3,1.0,A031006001,1,Not PBA,170,Asia,B4100,9548028.55,0,KH,Environmental policy and administrative management,0,4105,Uncoded: Pre-APP,0,2,0,Closed,OGM Asia Pacific,D4100,OAD Asia Programming,S4126,OAI Indonesia and SEA Regional,1,SEA Regional,9548028.55,0,Responsive,1,0
2009/2010,0,10050,0.0,0.35,Department of Foreign Affairs and International Trade,1,3,1.0,A031006001,1,Not PBA,170,Asia,B4100,9548028.55,0,KH,Environmental education/training,0,4105,Uncoded: Pre-APP,0,2,0,Closed,OGM Asia Pacific,D4100,OAD Asia Programming,S4126,OAI Indonesia and SEA Regional,1,SEA Regional,9548028.55,0,Responsive,1,0
2009/2010,0,1001046,0.0,0.35,STILES ASSOCIATES INC.,1,3,1.0,A031006001,1,Not PBA,170,Asia,B4100,9548028.55,0,KH,Environmental education/training,0,4105,Uncoded: Pre-APP,0,2,0,Closed,OGM Asia Pacific,D4100,OAD Asia Programming,S4126,OAI Indonesia and SEA Regional,1,SEA Regional,9548028.55,0,Responsive,1,0
2009/2010,0,10050,0.0,0.2,Department of Foreign Affairs and International Trade,1,3,1.0,A031006001,1,Not PBA,170,Asia,B4100,9548028.55,0,KH,Environmental research,0,4105,Uncoded: Pre-APP,0,2,0,Closed,OGM Asia Pacific,D4100,OAD Asia Programming,S4126,OAI Indonesia and SEA Regional,1,SEA Regional,9548028.55,0,Responsive,1,0
2009/2010,0,1001046,0.0,0.2,STILES ASSOCIATES INC.,1,3,1.0,A031006001,1,Not PBA,170,Asia,B4100,9548028.55,0,KH,Environmental research,0,4105,Uncoded: Pre-APP,0,2,0,Closed,OGM Asia Pacific,D4100,OAD Asia Programming,S4126,OAI Indonesia and SEA Regional,1,SEA Regional,9548028.55,0,Responsive,1,0
2009/2010,0,10050,0.0,0.35,Department of Foreign Affairs and International Trade,1,3,1.0,A031006001,1,Not PBA,170,Asia,B4100,9548028.55,0,KH,Urban development and management,0,4105,Uncoded: Pre-APP,0,2,0,Closed,OGM Asia Pacific,D4100,OAD Asia Programming,S4126,OAI Indonesia and SEA Regional,1,SEA Regional,9548028.55,0,Responsive,1,0
2009/2010,0,1001046,0.0,0.35,STILES ASSOCIATES INC.,1,3,1.0,A031006001,1,Not PBA,170,Asia,B4100,9548028.55,0,KH,Urban development and management,0,4105,Uncoded: Pre-APP,0,2,0,Closed,OGM Asia Pacific,D4100,OAD Asia Programming,S4126,OAI Indonesia and SEA Regional,1,SEA Regional,9548028.55,0,Responsive,1,0
2009/2010,0,10050,0.0,0.1,Department of Foreign Affairs and International Trade,1,3,1.0,A031006001,1,Not PBA,170,Asia,B4100,9548028.55,0,LA,Environmental policy and administrative management,0,4105,Uncoded: Pre-APP,0,2,0,Closed,OGM Asia Pacific,D4100,OAD Asia Programming,S4126,OAI Indonesia and SEA Regional,1,SEA Regional,9548028.55,0,Responsive,1,0
2009/2010,0,1001046,0.0,0.1,STILES ASSOCIATES INC.,1,3,1.0,A031006001,1,Not PBA,170,Asia,B4100,9548028.55,0,LA,Environmental policy and administrative management,0,4105,Uncoded: Pre-APP,0,2,0,Closed,OGM Asia Pacific,D4100,OAD Asia Programming,S4126,OAI Indonesia and SEA Regional,1,SEA Regional,9548028.55,0,Responsive,1,0
2009/2010,0,10050,0.0,0.35,Department of Foreign Affairs and International Trade,1,3,1.0,A031006001,1,Not PBA,170,Asia,B4100,9548028.55,0,LA,Environmental education/training,0,4105,Uncoded: Pre-APP,0,2,0,Closed,OGM Asia Pacific,D4100,OAD Asia Programming,S4126,OAI Indonesia and SEA Regional,1,SEA Regional,9548028.55,0,Responsive,1,0
2009/2010,0,1001046,0.0,0.35,STILES ASSOCIATES INC.,1,3,1.0,A031006001,1,Not PBA,170,Asia,B4100,9548028.55,0,LA,Environmental education/training,0,4105,Uncoded: Pre-APP,0,2,0,Closed,OGM Asia Pacific,D4100,OAD Asia Programming,S4126,OAI Indonesia and SEA Regional,1,SEA Regional,9548028.55,0,Responsive,1,0
2009/2010,0,10050,0.0,0.2,Department of Foreign Affairs and International Trade,1,3,1.0,A031006001,1,Not PBA,170,Asia,B4100,9548028.55,0,LA,Environmental research,0,4105,Uncoded: Pre-APP,0,2,0,Closed,OGM Asia Pacific,D4100,OAD Asia Programming,S4126,OAI Indonesia and SEA Regional,1,SEA Regional,9548028.55,0,Responsive,1,0
2009/2010,0,1001046,0.0,0.2,STILES ASSOCIATES INC.,1,3,1.0,A031006001,1,Not PBA,170,Asia,B4100,9548028.55,0,LA,Environmental research,0,4105,Uncoded: Pre-APP,0,2,0,Closed,OGM Asia Pacific,D4100,OAD Asia Programming,S4126,OAI Indonesia and SEA Regional,1,SEA Regional,9548028.55,0,Responsive,1,0
2009/2010,0,10050,0.0,0.35,Department of Foreign Affairs and International Trade,1,3,1.0,A031006001,1,Not PBA,170,Asia,B4100,9548028.55,0,LA,Urban development and management,0,4105,Uncoded: Pre-APP,0,2,0,Closed,OGM Asia Pacific,D4100,OAD Asia Programming,S4126,OAI Indonesia and SEA Regional,1,SEA Regional,9548028.55,0,Responsive,1,0
2009/2010,0,1001046,0.0,0.35,STILES ASSOCIATES INC.,1,3,1.0,A031006001,1,Not PBA,170,Asia,B4100,9548028.55,0,LA,Urban development and management,0,4105,Uncoded: Pre-APP,0,2,0,Closed,OGM Asia Pacific,D4100,OAD Asia Programming,S4126,OAI Indonesia and SEA Regional,1,SEA Regional,9548028.55,0,Responsive,1,0
2009/2010,0,10050,0.0,0.1,Department of Foreign Affairs and International Trade,1,3,1.0,A031006001,1,Not PBA,170,Asia,B4100,9548028.55,0,PH,Environmental policy and administrative management,0,4105,Uncoded: Pre-APP,0,2,0,Closed,OGM Asia Pacific,D4100,OAD Asia Programming,S4126,OAI Indonesia and SEA Regional,1,SEA Regional,9548028.55,0,Responsive,1,0
2009/2010,0,1001046,0.0,0.1,STILES ASSOCIATES INC.,1,3,1.0,A031006001,1,Not PBA,170,Asia,B4100,9548028.55,0,PH,Environmental policy and administrative management,0,4105,Uncoded: Pre-APP,0,2,0,Closed,OGM Asia Pacific,D4100,OAD Asia Programming,S4126,OAI Indonesia and SEA Regional,1,SEA Regional,9548028.55,0,Responsive,1,0
2009/2010,0,10050,0.0,0.35,Department of Foreign Affairs and International Trade,1,3,1.0,A031006001,1,Not PBA,170,Asia,B4100,9548028.55,0,PH,Environmental education/training,0,4105,Uncoded: Pre-APP,0,2,0,Closed,OGM Asia Pacific,D4100,OAD Asia Programming,S4126,OAI Indonesia and SEA Regional,1,SEA Regional,9548028.55,0,Responsive,1,0
2009/2010,0,1001046,0.0,0.35,STILES ASSOCIATES INC.,1,3,1.0,A031006001,1,Not PBA,170,Asia,B4100,9548028.55,0,PH,Environmental education/training,0,4105,Uncoded: Pre-APP,0,2,0,Closed,OGM Asia Pacific,D4100,OAD Asia Programming,S4126,OAI Indonesia and SEA Regional,1,SEA Regional,9548028.55,0,Responsive,1,0
2009/2010,0,10050,0.0,0.2,Department of Foreign Affairs and International Trade,1,3,1.0,A031006001,1,Not PBA,170,Asia,B4100,9548028.55,0,PH,Environmental research,0,4105,Uncoded: Pre-APP,0,2,0,Closed,OGM Asia Pacific,D4100,OAD Asia Programming,S4126,OAI Indonesia and SEA Regional,1,SEA Regional,9548028.55,0,Responsive,1,0
2009/2010,0,1001046,0.0,0.2,STILES ASSOCIATES INC.,1,3,1.0,A031006001,1,Not PBA,170,Asia,B4100,9548028.55,0,PH,Environmental research,0,4105,Uncoded: Pre-APP,0,2,0,Closed,OGM Asia Pacific,D4100,OAD Asia Programming,S4126,OAI Indonesia and SEA Regional,1,SEA Regional,9548028.55,0,Responsive,1,0
2009/2010,0,10050,0.0,0.35,Department of Foreign Affairs and International Trade,1,3,1.0,A031006001,1,Not PBA,170,Asia,B4100,9548028.55,0,PH,Urban development and management,0,4105,Uncoded: Pre-APP,0,2,0,Closed,OGM Asia Pacific,D4100,OAD Asia Programming,S4126,OAI Indonesia and SEA Regional,1,SEA Regional,9548028.55,0,Responsive,1,0
2009/2010,0,1001046,0.0,0.35,STILES ASSOCIATES INC.,1,3,1.0,A031006001,1,Not PBA,170,Asia,B4100,9548028.55,0,PH,Urban development and management,0,4105,Uncoded: Pre-APP,0,2,0,Closed,OGM Asia Pacific,D4100,OAD Asia Programming,S4126,OAI Indonesia and SEA Regional,1,SEA Regional,9548028.55,0,Responsive,1,0
2009/2010,0,10050,0.0,0.1,Department of Foreign Affairs and International Trade,1,3,1.0,A031006001,1,Not PBA,170,Asia,B4100,9548028.55,0,TH,Environmental policy and administrative management,0,4105,Uncoded: Pre-APP,0,2,0,Closed,OGM Asia Pacific,D4100,OAD Asia Programming,S4126,OAI Indonesia and SEA Regional,1,SEA Regional,9548028.55,0,Responsive,1,0
2009/2010,0,1001046,0.0,0.1,STILES ASSOCIATES INC.,1,3,1.0,A031006001,1,Not PBA,170,Asia,B4100,9548028.55,0,TH,Environmental policy and administrative management,0,4105,Uncoded: Pre-APP,0,2,0,Closed,OGM Asia Pacific,D4100,OAD Asia Programming,S4126,OAI Indonesia and SEA Regional,1,SEA Regional,9548028.55,0,Responsive,1,0
2009/2010,0,10050,0.0,0.35,Department of Foreign Affairs and International Trade,1,3,1.0,A031006001,1,Not PBA,170,Asia,B4100,9548028.55,0,TH,Environmental education/training,0,4105,Uncoded: Pre-APP,0,2,0,Closed,OGM Asia Pacific,D4100,OAD Asia Programming,S4126,OAI Indonesia and SEA Regional,1,SEA Regional,9548028.55,0,Responsive,1,0
2009/2010,0,1001046,0.0,0.35,STILES ASSOCIATES INC.,1,3,1.0,A031006001,1,Not PBA,170,Asia,B4100,9548028.55,0,TH,Environmental education/training,0,4105,Uncoded: Pre-APP,0,2,0,Closed,OGM Asia Pacific,D4100,OAD Asia Programming,S4126,OAI Indonesia and SEA Regional,1,SEA Regional,9548028.55,0,Responsive,1,0
2009/2010,0,10050,0.0,0.2,Department of Foreign Affairs and International Trade,1,3,1.0,A031006001,1,Not PBA,170,Asia,B4100,9548028.55,0,TH,Environmental research,0,4105,Uncoded: Pre-APP,0,2,0,Closed,OGM Asia Pacific,D4100,OAD Asia Programming,S4126,OAI Indonesia and SEA Regional,1,SEA Regional,9548028.55,0,Responsive,1,0
2009/2010,0,1001046,0.0,0.2,STILES ASSOCIATES INC.,1,3,1.0,A031006001,1,Not PBA,170,Asia,B4100,9548028.55,0,TH,Environmental research,0,4105,Uncoded: Pre-APP,0,2,0,Closed,OGM Asia Pacific,D4100,OAD Asia Programming,S4126,OAI Indonesia and SEA Regional,1,SEA Regional,9548028.55,0,Responsive,1,0
2009/2010,0,10050,0.0,0.35,Department of Foreign Affairs and International Trade,1,3,1.0,A031006001,1,Not PBA,170,Asia,B4100,9548028.55,0,TH,Urban development and management,0,4105,Uncoded: Pre-APP,0,2,0,Closed,OGM Asia Pacific,D4100,OAD Asia Programming,S4126,OAI Indonesia and SEA Regional,1,SEA Regional,9548028.55,0,Responsive,1,0
2009/2010,0,1001046,0.0,0.35,STILES ASSOCIATES INC.,1,3,1.0,A031006001,1,Not PBA,170,Asia,B4100,9548028.55,0,TH,Urban development and management,0,4105,Uncoded: Pre-APP,0,2,0,Closed,OGM Asia Pacific,D4100,OAD Asia Programming,S4126,OAI Indonesia and SEA Regional,1,SEA Regional,9548028.55,0,Responsive,1,0
2009/2010,0,10050,0.0,0.1,Department of Foreign Affairs and International Trade,1,3,1.0,A031006001,1,Not PBA,170,Asia,B4100,9548028.55,0,TL,Environmental policy and administrative management,0,4105,Uncoded: Pre-APP,0,2,0,Closed,OGM Asia Pacific,D4100,OAD Asia Programming,S4126,OAI Indonesia and SEA Regional,1,SEA Regional,9548028.55,0,Responsive,1,0
2009/2010,0,1001046,0.0,0.1,STILES ASSOCIATES INC.,1,3,1.0,A031006001,1,Not PBA,170,Asia,B4100,9548028.55,0,TL,Environmental policy and administrative management,0,4105,Uncoded: Pre-APP,0,2,0,Closed,OGM Asia Pacific,D4100,OAD Asia Programming,S4126,OAI Indonesia and SEA Regional,1,SEA Regional,9548028.55,0,Responsive,1,0
2009/2010,0,10050,0.0,0.35,Department of Foreign Affairs and International Trade,1,3,1.0,A031006001,1,Not PBA,170,Asia,B4100,9548028.55,0,TL,Environmental education/training,0,4105,Uncoded: Pre-APP,0,2,0,Closed,OGM Asia Pacific,D4100,OAD Asia Programming,S4126,OAI Indonesia and SEA Regional,1,SEA Regional,9548028.55,0,Responsive,1,0
2009/2010,0,1001046,0.0,0.35,STILES ASSOCIATES INC.,1,3,1.0,A031006001,1,Not PBA,170,Asia,B4100,9548028.55,0,TL,Environmental education/training,0,4105,Uncoded: Pre-APP,0,2,0,Closed,OGM Asia Pacific,D4100,OAD Asia Programming,S4126,OAI Indonesia and SEA Regional,1,SEA Regional,9548028.55,0,Responsive,1,0
2009/2010,0,10050,0.0,0.2,Department of Foreign Affairs and International Trade,1,3,1.0,A031006001,1,Not PBA,170,Asia,B4100,9548028.55,0,TL,Environmental research,0,4105,Uncoded: Pre-APP,0,2,0,Closed,OGM Asia Pacific,D4100,OAD Asia Programming,S4126,OAI Indonesia and SEA Regional,1,SEA Regional,9548028.55,0,Responsive,1,0
2009/2010,0,1001046,0.0,0.2,STILES ASSOCIATES INC.,1,3,1.0,A031006001,1,Not PBA,170,Asia,B4100,9548028.55,0,TL,Environmental research,0,4105,Uncoded: Pre-APP,0,2,0,Closed,OGM Asia Pacific,D4100,OAD Asia Programming,S4126,OAI Indonesia and SEA Regional,1,SEA Regional,9548028.55,0,Responsive,1,0
2009/2010,0,10050,0.0,0.35,Department of Foreign Affairs and International Trade,1,3,1.0,A031006001,1,Not PBA,170,Asia,B4100,9548028.55,0,TL,Urban development and management,0,4105,Uncoded: Pre-APP,0,2,0,Closed,OGM Asia Pacific,D4100,OAD Asia Programming,S4126,OAI Indonesia and SEA Regional,1,SEA Regional,9548028.55,0,Responsive,1,0
2009/2010,0,1001046,0.0,0.35,STILES ASSOCIATES INC.,1,3,1.0,A031006001,1,Not PBA,170,Asia,B4100,9548028.55,0,TL,Urban development and management,0,4105,Uncoded: Pre-APP,0,2,0,Closed,OGM Asia Pacific,D4100,OAD Asia Programming,S4126,OAI Indonesia and SEA Regional,1,SEA Regional,9548028.55,0,Responsive,1,0
2009/2010,0,10050,0.0,0.1,Department of Foreign Affairs and International Trade,1,3,1.0,A031006001,1,Not PBA,170,Asia,B4100,9548028.55,0,VN,Environmental policy and administrative management,0,4105,Uncoded: Pre-APP,0,2,0,Closed,OGM Asia Pacific,D4100,OAD Asia Programming,S4126,OAI Indonesia and SEA Regional,1,SEA Regional,9548028.55,0,Responsive,1,0
2009/2010,0,1001046,0.0,0.1,STILES ASSOCIATES INC.,1,3,1.0,A031006001,1,Not PBA,170,Asia,B4100,9548028.55,0,VN,Environmental policy and administrative management,0,4105,Uncoded: Pre-APP,0,2,0,Closed,OGM Asia Pacific,D4100,OAD Asia Programming,S4126,OAI Indonesia and SEA Regional,1,SEA Regional,9548028.55,0,Responsive,1,0
2009/2010,0,10050,0.0,0.35,Department of Foreign Affairs and International Trade,1,3,1.0,A031006001,1,Not PBA,170,Asia,B4100,9548028.55,0,VN,Environmental education/training,0,4105,Uncoded: Pre-APP,0,2,0,Closed,OGM Asia Pacific,D4100,OAD Asia Programming,S4126,OAI Indonesia and SEA Regional,1,SEA Regional,9548028.55,0,Responsive,1,0
2009/2010,0,1001046,0.0,0.35,STILES ASSOCIATES INC.,1,3,1.0,A031006001,1,Not PBA,170,Asia,B4100,9548028.55,0,VN,Environmental education/training,0,4105,Uncoded: Pre-APP,0,2,0,Closed,OGM Asia Pacific,D4100,OAD Asia Programming,S4126,OAI Indonesia and SEA Regional,1,SEA Regional,9548028.55,0,Responsive,1,0
2009/2010,0,10050,0.0,0.2,Department of Foreign Affairs and International Trade,1,3,1.0,A031006001,1,Not PBA,170,Asia,B4100,9548028.55,0,VN,Environmental research,0,4105,Uncoded: Pre-APP,0,2,0,Closed,OGM Asia Pacific,D4100,OAD Asia Programming,S4126,OAI Indonesia and SEA Regional,1,SEA Regional,9548028.55,0,Responsive,1,0
2009/2010,0,1001046,0.0,0.2,STILES ASSOCIATES INC.,1,3,1.0,A031006001,1,Not PBA,170,Asia,B4100,9548028.55,0,VN,Environmental research,0,4105,Uncoded: Pre-APP,0,2,0,Closed,OGM Asia Pacific,D4100,OAD Asia Programming,S4126,OAI Indonesia and SEA Regional,1,SEA Regional,9548028.55,0,Responsive,1,0
2009/2010,0,10050,0.0,0.35,Department of Foreign Affairs and International Trade,1,3,1.0,A031006001,1,Not PBA,170,Asia,B4100,9548028.55,0,VN,Urban development and management,0,4105,Uncoded: Pre-APP,0,2,0,Closed,OGM Asia Pacific,D4100,OAD Asia Programming,S4126,OAI Indonesia and SEA Regional,1,SEA Regional,9548028.55,0,Responsive,1,0
2009/2010,0,1001046,0.0,0.35,STILES ASSOCIATES INC.,1,3,1.0,A031006001,1,Not PBA,170,Asia,B4100,9548028.55,0,VN,Urban development and management,0,4105,Uncoded: Pre-APP,0,2,0,Closed,OGM Asia Pacific,D4100,OAD Asia Programming,S4126,OAI Indonesia and SEA Regional,1,SEA Regional,9548028.55,0,Responsive,1,0
2009/2010,0,1000136,0.0,1.0,Foundation for International Training,0,2,1.0,A031018001,0,Not PBA,EG,Africa,B3100,6306484.28,0,EG,Democratic participation and civil society,0,4263,Uncoded: Pre-APP,0,2,0,Terminating,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,S4256,Middle East and North Africa,0,Egypt,6306484.28,0,Directive,1,0
2009/2010,1,1000136,0.0,1.0,Foundation for International Training,0,2,1.0,A031020001,0,Not PBA,EG,Africa,B3100,4799999.89,0,EG,Democratic participation and civil society,0,4263,Uncoded: Pre-APP,0,0,0,Terminating,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,S4256,Middle East and North Africa,0,Egypt,4799999.89,0,Directive,1,0
2009/2010,1,10050,0.0,0.5,Department of Foreign Affairs and International Trade,0,2,1.0,A031027001,0,Other PBA,ML,Africa,B4200,7624629.88,0,ML,Basic health care,0,4216,Uncoded: Pre-APP,0,1,0,Closed,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4215,Mali Program Section,0,Mali,7624629.88,0,Directive,1,0
2009/2010,1,1009494,0.0,0.5,Universit� de Montr�al (CHUM) Unit� de sant� internationale (USI),0,2,1.0,A031027001,0,Other PBA,ML,Africa,B4200,7624629.88,0,ML,Basic health care,0,4216,Uncoded: Pre-APP,0,1,0,Closed,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4215,Mali Program Section,0,Mali,7624629.88,0,Directive,1,0
2009/2010,1,10050,0.0,0.5,Department of Foreign Affairs and International Trade,0,2,1.0,A031027001,0,Other PBA,ML,Africa,B4200,7624629.88,0,ML,Reproductive health care,0,4216,Uncoded: Pre-APP,0,1,0,Closed,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4215,Mali Program Section,0,Mali,7624629.88,0,Directive,1,0
2009/2010,1,1009494,0.0,0.5,Universit� de Montr�al (CHUM) Unit� de sant� internationale (USI),0,2,1.0,A031027001,0,Other PBA,ML,Africa,B4200,7624629.88,0,ML,Reproductive health care,0,4216,Uncoded: Pre-APP,0,1,0,Closed,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4215,Mali Program Section,0,Mali,7624629.88,0,Directive,1,0
2009/2010,0,10050,0.0,1.0,Department of Foreign Affairs and International Trade,0,2,1.0,A031027003,0,Other PBA,ML,Africa,B4200,6824651.82,0,ML,Basic health care,0,4216,Uncoded: Pre-APP,0,1,0,Closed,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4215,Mali Program Section,0,Mali,6824651.82,0,Directive,1,0
2009/2010,0,1010925,0.0,1.0,Groupe Consultation CCISD en association avec le CEGEP de,0,2,1.0,A031027003,0,Other PBA,ML,Africa,B4200,6824651.82,0,ML,Basic health care,0,4216,Uncoded: Pre-APP,0,1,0,Closed,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4215,Mali Program Section,0,Mali,6824651.82,0,Directive,1,0
2009/2010,0,1000838,0.0,0.07,Oxfam-Qu�bec,0,3,0.8,A031037001,0,Not PBA,LB,Asia,B3100,7282168.99,0,LB,Teacher training,0,4267,Uncoded: Pre-APP,0,2,0,Closed,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,S4256,Middle East and North Africa,0,Lebanon,0.0,0,Responsive,1,0
2009/2010,0,Information not available,0.0,0.07,Information not available,0,3,0.8,A031037001,0,Not PBA,LB,Asia,B3100,7282168.99,0,LB,Teacher training,0,4267,Uncoded: Pre-APP,0,2,0,Closed,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,S4256,Middle East and North Africa,0,Lebanon,0.0,0,Responsive,1,0
2009/2010,0,1000838,0.0,0.05,Oxfam-Qu�bec,0,3,0.8,A031037001,0,Not PBA,LB,Asia,B3100,7282168.99,0,LB,Vocational training,0,4267,Uncoded: Pre-APP,0,2,0,Closed,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,S4256,Middle East and North Africa,0,Lebanon,0.0,0,Responsive,1,0
2009/2010,0,Information not available,0.0,0.05,Information not available,0,3,0.8,A031037001,0,Not PBA,LB,Asia,B3100,7282168.99,0,LB,Vocational training,0,4267,Uncoded: Pre-APP,0,2,0,Closed,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,S4256,Middle East and North Africa,0,Lebanon,0.0,0,Responsive,1,0
2009/2010,0,1000838,0.0,0.08,Oxfam-Qu�bec,0,3,0.8,A031037001,0,Not PBA,LB,Asia,B3100,7282168.99,0,LB,Health education,0,4267,Uncoded: Pre-APP,0,2,0,Closed,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,S4256,Middle East and North Africa,0,Lebanon,0.0,0,Responsive,1,0
2009/2010,0,Information not available,0.0,0.08,Information not available,0,3,0.8,A031037001,0,Not PBA,LB,Asia,B3100,7282168.99,0,LB,Health education,0,4267,Uncoded: Pre-APP,0,2,0,Closed,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,S4256,Middle East and North Africa,0,Lebanon,0.0,0,Responsive,1,0
2009/2010,0,1000838,0.0,0.55,Oxfam-Qu�bec,0,3,0.8,A031037001,0,Not PBA,LB,Asia,B3100,7282168.99,0,LB,Democratic participation and civil society,0,4267,Uncoded: Pre-APP,0,2,0,Closed,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,S4256,Middle East and North Africa,0,Lebanon,0.0,0,Responsive,1,0
2009/2010,0,Information not available,0.0,0.55,Information not available,0,3,0.8,A031037001,0,Not PBA,LB,Asia,B3100,7282168.99,0,LB,Democratic participation and civil society,0,4267,Uncoded: Pre-APP,0,2,0,Closed,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,S4256,Middle East and North Africa,0,Lebanon,0.0,0,Responsive,1,0
2009/2010,0,1000838,0.0,0.05,Oxfam-Qu�bec,0,3,0.8,A031037001,0,Not PBA,LB,Asia,B3100,7282168.99,0,LB,Agricultural co-operatives,0,4267,Uncoded: Pre-APP,0,2,0,Closed,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,S4256,Middle East and North Africa,0,Lebanon,0.0,0,Responsive,1,0
2009/2010,0,Information not available,0.0,0.05,Information not available,0,3,0.8,A031037001,0,Not PBA,LB,Asia,B3100,7282168.99,0,LB,Agricultural co-operatives,0,4267,Uncoded: Pre-APP,0,2,0,Closed,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,S4256,Middle East and North Africa,0,Lebanon,0.0,0,Responsive,1,0
2009/2010,0,1000838,0.0,0.2,Oxfam-Qu�bec,0,3,0.8,A031037001,0,Not PBA,LB,Asia,B3100,7282168.99,0,LB,Reconstruction relief and rehabilitation,0,4267,Uncoded: Pre-APP,0,2,0,Closed,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,S4256,Middle East and North Africa,0,Lebanon,0.0,0,Responsive,1,0
2009/2010,0,Information not available,0.0,0.2,Information not available,0,3,0.8,A031037001,0,Not PBA,LB,Asia,B3100,7282168.99,0,LB,Reconstruction relief and rehabilitation,0,4267,Uncoded: Pre-APP,0,2,0,Closed,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,S4256,Middle East and North Africa,0,Lebanon,0.0,0,Responsive,1,0
