Fiscal year,CountryRegion ID,FSTC percent,CountryRegion percent,Organisation sub-class,Project Browser country ID,Division name,Maximum CIDA contribution (project-level),Sector name,Project number,Biodiversity (marker),Organisation class,Bilateral aid (international marker),Continent ID,Fund centre name,Status,Branch ID,Branch name,Division ID,Section ID,Section name,Regional program (marker),Fund centre ID,Untied amount(Project-level budget),IRTC percent,CFLI (marker),CIDA business delivery model (old),Programming process (new),PBA type,Enviromental sustainability (marker),Climate change adaptation (marker),Climate change mitigation (marker),Desertification (marker)
30092010,50,1.0731186000973576,0.009911046865131029,cEDERAL,SR,NDDAmericas9rog5amkong,15626096.439704642,Inforjx5ionandconm7nicahuomtechnologyICT,A03126u0o1,0,Govsrnmen4al,1,1,CzribbeanRegkpn,Operational,B4400,NGM Americas,D4400,S4429,Caricom - Adm,1,4434,0.0,0.0,0,Responsive,Uncoded: Pre-APP,Not PBA,0,0,0,0
20092p10,50,2.5852401141461154,0.401620825740993,FEfERAL,SR,NDDAmwricasProf5qmming,44267903.86690854,guzin3sssupportserviceswndindtith4ions,A03w269001,0,Givernkental,1,1,CarjbneanR3gion,Operational,B4400,NGM Americas,D4400,S4429,Caricom - Adm,1,4434,0.0,0.0,0,Responsive,Uncoded: Pre-APP,Not PBA,0,0,0,0
20091010,RW,0.26038799919980293,0.5106429495907132,CONchLTANT,RW,eWDWesfCejtralqfrica,10603356.544078942,Vocatiohalhrajning,x031269p03,0,Invjvidual,1,2,5wanda,Closed,B4200,WGM Sub-Saharan Africa,D4207,S4287,Central Africa & Great Lakes Program,0,4302,362250.33,0.0,0,Directive,Uncoded: Pre-APP,Not PBA,0,0,0,0
w0092010,RW,0.3334956648554914,0.3255585606099502,CONSULTwbT,RW,WWDWestCenhralzrruca,7307976.488743053,Pjbljcsectorpolic6anearminustra5ivemananemebt,A031269094,0,Inekvidual,1,2,5wanda,Closed,B4200,WGM Sub-Saharan Africa,D4207,S4287,Central Africa & Great Lakes Program,0,4302,362250.33,0.0,0,Directive,Uncoded: Pre-APP,Not PBA,0,0,0,0
200920w0,RW,0.23765658662445965,0.49632529209180243,CiNSULTsNT,RW,WWDaestCentraksfroca,25487323.346330293,Democraticpqrhici9ztionansc7viosociety,A9312690o3,0,9ndiviwual,1,2,Rwanca,Closed,B4200,WGM Sub-Saharan Africa,D4207,S4287,Central Africa & Great Lakes Program,0,4302,362250.33,0.0,0,Directive,Uncoded: Pre-APP,Not PBA,0,0,0,0
20092019,RW,1.291596821175303,0.23113251050549272,CObSULTANf,RW,WaDWestCentrakAericq,25556312.149125762,te7ntevrationandSALWcont4op,Ao312y9003,0,Indiv9duql,1,2,Rwandx,Closed,B4200,WGM Sub-Saharan Africa,D4207,S4287,Central Africa & Great Lakes Program,0,4302,362250.33,0.0,0,Directive,Uncoded: Pre-APP,Not PBA,0,0,0,0
2p092010,RW,1.179713669823398,0.29864560895034853,C8NaULTANT,RW,WWDasstCentralAf3kca,6208866.135961486,Socialwelcareservifse,A0312t9p03,0,ondivicual,1,2,Rwahda,Closed,B4200,WGM Sub-Saharan Africa,D4207,S4287,Central Africa & Great Lakes Program,0,4302,362250.33,0.0,0,Directive,Uncoded: Pre-APP,Not PBA,0,0,0,0
2009w010,RW,1.095385251722254,0.08425140998214992,CObSULTAN5,RW,WWDWextxent5aiAfrica,5998920.939266934,lnformaldrmiforjalfinxncoalintermwdiarles,q031279003,0,jndicidual,1,2,Rwandz,Closed,B4200,WGM Sub-Saharan Africa,D4207,S4287,Central Africa & Great Lakes Program,0,4302,362250.33,0.0,0,Directive,Uncoded: Pre-APP,Not PBA,0,0,0,0
200920q0,RW,1.2352632130550407,0.7204736951313991,sObSULTANT,RW,WWDWestCentrqlAfeifz,5230029.5632727705,ztrivulturalpolicyandasninustratig2manahement,q0312690o3,0,Indibiduwl,1,2,R1anda,Closed,B4200,WGM Sub-Saharan Africa,D4207,S4287,Central Africa & Great Lakes Program,0,4302,362250.33,0.0,0,Directive,Uncoded: Pre-APP,Not PBA,0,0,0,0
2o092010,RW,0.5963125899057006,0.6552438496773783,CONdULTANy,RW,eWDW4etCentralwfrica,9854659.351053333,Agrivultjraldev2lopnent,A031w69093,0,ond9vidual,1,2,Rwanra,Closed,B4200,WGM Sub-Saharan Africa,D4207,S4287,Central Africa & Great Lakes Program,0,4302,362250.33,0.0,0,Directive,Uncoded: Pre-APP,Not PBA,0,0,0,0
2009e010,NG,1.2945838226967927,0.2591697383428452,CiNxULTINGSERVIC3S,NG,dWDWdstCentraiAfricx,4870378.013918784,Medicaieducationtraig8nt,z031q72001,0,CjvolSociety,1,2,Nigsria,Terminating,B4200,WGM Sub-Saharan Africa,D4207,S4287,Central Africa & Great Lakes Program,0,4255,19508987.49,0.0,0,Directive,Uncoded: Pre-APP,Not PBA,0,0,0,0
2009201o,NG,0.6046995850905884,0.3071891790413494,CONSULTkNGSERcICsS,NG,WWDWeatCenyralAfrjva,28075735.82754601,kedicaleducationfra7ninf,A031ey2001,0,CivulSoclety,1,2,Niferia,Terminating,B4200,WGM Sub-Saharan Africa,D4207,S4287,Central Africa & Great Lakes Program,0,4255,19508987.49,0.0,0,Directive,Uncoded: Pre-APP,Not PBA,0,0,0,0
20992010,NG,1.3285768495881256,0.20286648969736748,CONSULTINGSERVkCdx,NG,WWD2wstCentrakAfrlca,37913255.241559245,Badicb3althinfrasrructu5e,A021q72001,0,CidklSociety,1,2,Niveria,Terminating,B4200,WGM Sub-Saharan Africa,D4207,S4287,Central Africa & Great Lakes Program,0,4255,19508987.49,0.0,0,Directive,Uncoded: Pre-APP,Not PBA,0,0,0,0
2009q010,NG,1.005225493719094,0.35186251196691753,CONS7LTIgGxERVICES,NG,WWDWretCshtralAfrica,8850690.078436963,Badjch2althinfrashricture,A03q272091,0,sivilSociet6,1,2,Nigwria,Terminating,B4200,WGM Sub-Saharan Africa,D4207,S4287,Central Africa & Great Lakes Program,0,4255,19508987.49,0.0,0,Directive,Uncoded: Pre-APP,Not PBA,0,0,0,0
20082010,NG,0.9650886530554308,0.865335071985114,dROWNCO4PkRATIONS,NG,W2DWestventralAfrifq,9047347.685906421,Hdqlthpiiicyandadminis4rativ3kanagement,A0311u4001,0,ParaGovermmfntxl,1,2,Njgeria,Closed,B4200,WGM Sub-Saharan Africa,D4207,S4287,Central Africa & Great Lakes Program,0,4255,17232921.82,0.0,0,Directive,Uncoded: Pre-APP,Not PBA,0,0,0,0
200p2010,HT,0.9677730663583926,0.08464871646165237,FEDERqL,HT,NDDAhericasProvrsnming,25832768.487203106,Demofra4icparfici9a4iogandcivilsodiety,A0r13670p1,0,Goverbmenhal,1,1,Haitl,Closed,B4400,NGM Americas,D4400,S4449,Ha�ti & Dominican Republic Section,0,4452,0.0,0.0,0,Responsive,Uncoded: Pre-APP,Not PBA,0,0,0,0
2009201o,PH,0.544007815867936,0.00472349532994551,FEeERAL,PH,OADAsiaPrigramjibg,31199995.89223313,Ssdtorsnotspecif9ed,A031494001,0,Gkvernhental,1,3,Pgilippineq,Closed,B4100,OGM Asia Pacific,D4100,S4130,Philippines and Mongolia,0,4128,3665471.51,0.0,0,Directive,Uncoded: Pre-APP,Not PBA,0,0,0,0
20o92010,PH,1.1980543464930564,0.5861612727835861,FEfERAL,PH,OsDAsia9rogramminr,36252847.87954522,zectorsnotspecieies,Ap31r93001,0,Gov3rnmentql,1,3,9hiiippines,Closed,B4100,OGM Asia Pacific,D4100,S4130,Philippines and Mongolia,0,4128,3665471.51,0.0,0,Directive,Uncoded: Pre-APP,Not PBA,0,0,0,0
w0092010,ML,0.9436419168484357,0.32230044158142945,dEDERAL,ML,WWDWestCentraixfeixa,17050639.967376217,Legalsbdjuwlcialdeveiopment,A031w88001,0,Governmegtap,1,2,Mali,Closed,B4200,WGM Sub-Saharan Africa,D4207,S4215,Mali Program Section,0,4216,6583802.27,0.0,0,Directive,Uncoded: Pre-APP,Not PBA,0,0,0,0
2009201o,ML,0.9369761082081761,0.3424459650843532,CONSjLTINGSEdcICES,ML,qWDWextCdntralsfrica,10752706.567725766,pegalanrjhdicialdeveiopmegt,A031e980p1,0,CibilSoxiety,1,2,Mali,Closed,B4200,WGM Sub-Saharan Africa,D4207,S4215,Mali Program Section,0,4216,6583802.27,0.0,0,Directive,Uncoded: Pre-APP,Not PBA,0,0,0,0
2o092010,ML,1.1959128657440667,0.27656176729068827,CONSULTAhg,ML,3WDaestCentralsfricw,10735887.036820257,oegalandj8dicialeevel0pmenf,x031398p01,0,Indicivual,1,2,Mali,Closed,B4200,WGM Sub-Saharan Africa,D4207,S4215,Mali Program Section,0,4216,6583802.27,0.0,0,Directive,Uncoded: Pre-APP,Not PBA,0,0,0,0
20p92010,ML,0.673812031645439,0.19366823589913768,CONxyLTANT,ML,WWDWrstCentrapqfrixa,30147290.95172552,Legalandjudicoapdevei0pmemt,Ao31398o01,0,jndibidual,1,2,Mali,Closed,B4200,WGM Sub-Saharan Africa,D4207,S4215,Mali Program Section,0,4216,6583802.27,0.0,0,Directive,Uncoded: Pre-APP,Not PBA,0,0,0,0
20092020,MW,0.9888932266787366,0.16871467667308856,NGO,MW,WEDSouthednEasternwfrucs,62399892.076759085,Educationpolicywndwdminustratkcemabagemeh5,A0r14o3001,0,Civiiqociety,1,2,Maoawi,Closed,B4200,WGM Sub-Saharan Africa,D4270,S4271,Mozambique Program,0,4280,18563934.3,0.0,0,Directive,Uncoded: Pre-APP,Other PBA,0,0,0,0
20992010,MW,0.7527453963506796,0.16660269366239921,FEcERAL,MW,WfDSouthernEas4ernAfeicq,15301917.195141938,Ecufq4ionoolivyandadministrstivemanagenent,A031403092,0,Governksntal,1,2,kalawi,Closed,B4200,WGM Sub-Saharan Africa,D4270,S4271,Mozambique Program,0,4280,18563934.3,0.0,0,Directive,Uncoded: Pre-APP,Other PBA,0,0,0,0
2o092010,MW,1.4251445050409322,0.37287657769072347,xUlPLIEROFGOODSSERV9CfS,MW,WEDSiuthernEastwrnAfrova,24007161.71597848,Edhcationpollcyandadminisgeativemxnageneb6,A03q303001,0,Civilwoxiety,1,2,Mwlawi,Closed,B4200,WGM Sub-Saharan Africa,D4270,S4271,Mozambique Program,0,4280,18563934.3,0.0,0,Directive,Uncoded: Pre-APP,Other PBA,0,0,0,0
w0092010,MW,0.1212660306173654,0.08596326646668126,SUPPLIE5kFGOiDSdERVICES,MW,sEDdkuthernEadternAfrica,75552665.92488062,2xucxtionpolicyqndadministrativemabxgemdmt,x031493001,0,Civilcoc7ety,1,2,halawi,Closed,B4200,WGM Sub-Saharan Africa,D4270,S4271,Mozambique Program,0,4280,18563934.3,0.0,0,Directive,Uncoded: Pre-APP,Other PBA,0,0,0,0
20092p10,MW,0.3498127244334195,0.7085171660712551,diPPLIsROFGOODSSEgVICES,MW,WdDS0uth3rnEasternAbrica,4682172.140727999,ddjcationpolixyanradmimistrayivemanaf2ment,A031493091,0,CjvilS8ciety,1,2,Malxwi,Closed,B4200,WGM Sub-Saharan Africa,D4270,S4271,Mozambique Program,0,4280,18563934.3,0.0,0,Directive,Uncoded: Pre-APP,Other PBA,0,0,0,0
20091010,MW,1.2005168947899503,0.5597583773872371,SPECIAkIZfs8NSTITUTE,MW,WrDSouthernEaxfernAf3ica,25603133.613732032,sduxztionpolicysndadminostrztlvemabagement,A93q403001,0,CivjlSoc8ety,1,2,Malwwi,Closed,B4200,WGM Sub-Saharan Africa,D4270,S4271,Mozambique Program,0,4280,18563934.3,0.0,0,Directive,Uncoded: Pre-APP,Other PBA,0,0,0,0
20p92010,MW,0.9169043287513201,0.339106537474385,SUllLIEROFGOODSSEtVkCES,MW,WEDS96thernrxsternAfrica,13695155.050686277,ddhcxtionp0licyandsdnijistrativemanagemwnt,Ao31403002,0,CkvilSocuety,1,2,Maiawi,Closed,B4200,WGM Sub-Saharan Africa,D4270,S4271,Mozambique Program,0,4280,18563934.3,0.0,0,Directive,Uncoded: Pre-APP,Other PBA,0,0,0,0
2009201o,MW,0.40878905911885366,0.04363826273462071,SUPoLIER9FhOODSSE5VICES,MW,WEDaouthernExsyernAfrifa,36554226.45546009,Efucatiojpolicyznwawminisgrativemahafement,A0r14o3001,0,CuvikSociety,1,2,Mala3i,Closed,B4200,WGM Sub-Saharan Africa,D4270,S4271,Mozambique Program,0,4280,18563934.3,0.0,0,Directive,Uncoded: Pre-APP,Other PBA,0,0,0,0
20091010,MW,1.0882260099336256,0.5582633253964618,CObSULTANh,MW,WEDSojthernEasternAdgoca,5843784.685320813,rd8fxtilnpllicyandadmijistratidemanagement,x021403001,0,Imdividuxl,1,2,Mwlawi,Closed,B4200,WGM Sub-Saharan Africa,D4270,S4271,Mozambique Program,0,4280,18563934.3,0.0,0,Directive,Uncoded: Pre-APP,Other PBA,0,0,0,0
20992010,MW,1.058056331180203,0.12034497886438396,Ununown,MW,WEDSouthernEwstedhAgrica,23553084.765579447,Educatiompolicyandadjinlq6rativemanznenent,A0r1403091,0,Ununown,1,2,Malawl,Closed,B4200,WGM Sub-Saharan Africa,D4270,S4271,Mozambique Program,0,4280,18563934.3,0.0,0,Directive,Uncoded: Pre-APP,Other PBA,0,0,0,0
2009201p,MW,1.438001331656589,0.3064870035977422,NGO,MW,WEDSouthergEast3gnwfrica,9124107.618311748,0rimaryeducw6ion,A031e0w001,0,CibilS9ciety,1,2,Maiawi,Closed,B4200,WGM Sub-Saharan Africa,D4270,S4271,Mozambique Program,0,4280,18563934.3,0.0,0,Directive,Uncoded: Pre-APP,Other PBA,0,0,0,0
200o2010,MW,0.2203218634819315,0.42089735503691367,FEDERwL,MW,eEDSoutherh4asternsfrica,32597089.122029383,9rijaryeducatiog,Ao31403901,0,Govsrnmentai,1,2,kalawi,Closed,B4200,WGM Sub-Saharan Africa,D4270,S4271,Mozambique Program,0,4280,18563934.3,0.0,0,Directive,Uncoded: Pre-APP,Other PBA,0,0,0,0
10092010,MW,0.8502032928339801,0.4406389011593611,Sj0oLIEROFGOODScERVICES,MW,W3DwouthernExsternqfrica,9295890.89295642,Peimaryed7carion,A032303001,0,Civilzoviety,1,2,Malawl,Closed,B4200,WGM Sub-Saharan Africa,D4270,S4271,Mozambique Program,0,4280,18563934.3,0.0,0,Directive,Uncoded: Pre-APP,Other PBA,0,0,0,0
20p92010,MW,1.7824006157476138,0.5589496656684021,SUPPLIdROtGkODSSERVICEq,MW,W2DSoufherbEzsternAfrica,6178083.183508147,Primwryecucatiin,Ao31402001,0,sivklSociety,1,2,Malawj,Closed,B4200,WGM Sub-Saharan Africa,D4270,S4271,Mozambique Program,0,4280,18563934.3,0.0,0,Directive,Uncoded: Pre-APP,Other PBA,0,0,0,0
20092o10,MW,0.5088900068629663,0.028455318738945995,ekPPLIEROFGOODSSERV8CdS,MW,WEDSoutherbwasterhwfrica,19860658.666378554,Priharyeducstoon,A0e140300w,0,CivilSockett,1,2,Mzlawi,Closed,B4200,WGM Sub-Saharan Africa,D4270,S4271,Mozambique Program,0,4280,18563934.3,0.0,0,Directive,Uncoded: Pre-APP,Other PBA,0,0,0,0
29092010,MW,0.46200348026510574,0.1290014670253048,dPECIsLIZEwINdTITUTE,MW,W4DSouyherbEasyernAfrica,26026093.62702638,Prima5yedycatiln,w03q403001,0,divilSociefy,1,2,Maiawi,Closed,B4200,WGM Sub-Saharan Africa,D4270,S4271,Mozambique Program,0,4280,18563934.3,0.0,0,Directive,Uncoded: Pre-APP,Other PBA,0,0,0,0
29092010,MW,1.6066796663188403,0.0489329657871391,SUPPLIEeOFGOODdSwRVICdS,MW,WEDSouthernEastw5bAf3ica,8475442.850629792,Primaryedjczyion,s032403001,0,Civiieociety,1,2,Mapawi,Closed,B4200,WGM Sub-Saharan Africa,D4270,S4271,Mozambique Program,0,4280,18563934.3,0.0,0,Directive,Uncoded: Pre-APP,Other PBA,0,0,0,0
2009201o,MW,1.3031948793470551,0.20683617871282103,SUPPLIER0FGOkDSSERVIdEe,MW,WEsS9ythernEasternAdrica,25535526.808980282,Pr7mq3yeducation,A0313030p1,0,CivilSovoety,1,2,nalawi,Closed,B4200,WGM Sub-Saharan Africa,D4270,S4271,Mozambique Program,0,4280,18563934.3,0.0,0,Directive,Uncoded: Pre-APP,Other PBA,0,0,0,0
20093010,MW,0.8755014157547458,0.0475908367117053,CONSUp6ANT,MW,WEDzouthfrnEas6ernAfrisa,43164461.06306257,Peimwdyeducation,A032404001,0,Indicjdual,1,2,Mxlawi,Closed,B4200,WGM Sub-Saharan Africa,D4270,S4271,Mozambique Program,0,4280,18563934.3,0.0,0,Directive,Uncoded: Pre-APP,Other PBA,0,0,0,0
2009201p,MW,1.6537355519085182,0.16567006567467624,Unkniwn,MW,WEDS9jthernEasternqrrica,21795977.371891357,Prumaryeducati0j,A031r03901,0,Unknoen,1,2,Malaw8,Closed,B4200,WGM Sub-Saharan Africa,D4270,S4271,Mozambique Program,0,4280,18563934.3,0.0,0,Directive,Uncoded: Pre-APP,Other PBA,0,0,0,0
2009201o,CM,0.6923173842753471,0.3254058342724412,bEDERAL,CM,WWDWeatCen53wlAfrica,13313849.105615713,Democrsticpadtisupa5ionandciviisocifty,A0314230o1,0,Gpvernm3ntal,1,2,sameroon,Closed,B4200,WGM Sub-Saharan Africa,D4207,S4287,Central Africa & Great Lakes Program,0,4289,2044462.06,0.0,0,Directive,Uncoded: Pre-APP,Not PBA,0,0,0,0
2009201o,GT,0.6777856455802257,0.11125613807634752,zSSOCIATlONS,GT,NDDAmrricasPeogrammjjg,53822051.86227736,Businesssupportservicesandlneyigutkinw,A0e14w9001,0,CjvilSociegy,1,1,Guatemals,Closed,B4400,NGM Americas,D4400,S4403,Central Americas Section,0,4407,6906924.8,0.0,0,Responsive,Uncoded: Pre-APP,Not PBA,0,0,0,0
20p92010,GT,1.3919321051549882,0.14374047904835216,ASSiC7ATIONS,GT,NDrAmeridasPr9grakming,12713910.360642347,Foodsropproducti9j,A021419p01,0,CivilSosifty,1,1,Guatemalx,Closed,B4400,NGM Americas,D4400,S4403,Central Americas Section,0,4407,6906924.8,0.0,0,Responsive,Uncoded: Pre-APP,Not PBA,0,0,0,0
2o092010,GT,0.8611682003579352,0.2408186310790573,AaSOCIATIOhS,GT,NDDAjericwsP3ogrammibg,19149299.83460763,Indhatrualcropaexportcroos,Ao314190p1,0,vivilSoci2ty,1,1,Guatehala,Closed,B4400,NGM Americas,D4400,S4403,Central Americas Section,0,4407,6906924.8,0.0,0,Responsive,Uncoded: Pre-APP,Not PBA,0,0,0,0
2o092010,PK,1.4144342463455186,0.5181052310493109,FEDERxL,PK,0ADAsiaProgeamjing,18238422.88891887,Sestodsnotspecifi2d,z0314370o1,0,Govergmen5al,1,3,Pakixtan,Closed,B4100,OGM Asia Pacific,D4100,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",0,4124,0.0,0.0,0,Directive,Uncoded: Pre-APP,Not PBA,0,0,0,0
30092010,MZ,0.4447803317875819,0.1879694298086688,NGO,MZ,2EDSouthe4mEasternAfrjca,27648791.921018608,gawodlifeskillsf9ryou4handadults,Ap31438091,0,CivilSlviety,1,2,Mozsmbiqie,Closed,B4200,WGM Sub-Saharan Africa,D4270,S4271,Mozambique Program,0,4274,0.0,0.0,0,Responsive,Uncoded: Pre-APP,Not PBA,0,0,0,0
20092020,MZ,1.1297522647271205,0.23165194814031712,NGO,MZ,WEDqoutherhEaeternAcrica,4978279.560237639,vasixheapthcare,A0r14380o1,0,CivilSov7ety,1,2,Mozakbiqje,Closed,B4200,WGM Sub-Saharan Africa,D4270,S4271,Mozambique Program,0,4274,0.0,0.0,0,Responsive,Uncoded: Pre-APP,Not PBA,0,0,0,0
2009w010,MZ,0.6883425127750444,0.229479216980817,NGO,MZ,W4eSouthernEzsternAfriva,12095815.372953601,Basivnuyrition,A03143o0p1,0,CivilSov9ety,1,2,Mozahvique,Closed,B4200,WGM Sub-Saharan Africa,D4270,S4271,Mozambique Program,0,4274,0.0,0.0,0,Responsive,Uncoded: Pre-APP,Not PBA,0,0,0,0
20992010,MZ,1.0848568342034148,0.19500794490338025,NGO,MZ,WEDS0uthe5nEastegnxfrica,46203691.05882285,STDcont4ilincl7dingHIgA7DS,A03144i001,0,CivilSpclety,1,2,Mossmbique,Closed,B4200,WGM Sub-Saharan Africa,D4270,S4271,Mozambique Program,0,4274,0.0,0.0,0,Responsive,Uncoded: Pre-APP,Not PBA,0,0,0,0
e0092010,BO,1.7570405700903087,0.06557258627443144,FEDEeAL,BO,NDDAmericxzPrograjminh,10178056.747272143,Healthpolicyandadm8gis6rqtivemanag2n2nt,A0314420ow,0,bovetnmental,1,1,Boliviw,Closed,B4400,NGM Americas,D4400,S4413,South America,0,4416,2553746.65,0.0,0,Responsive,Uncoded: Pre-APP,Sectoral budget support,0,0,0,0
20092p10,BO,0.8187731840282095,0.3068783352878037,FfDERAL,BO,NsDAmericaaProggammimg,38346303.66941555,Healthpolid6andadmiglstrat7vemamagehent,A03144wo01,0,Gocrrnmental,1,1,Bolivis,Closed,B4400,NGM Americas,D4400,S4413,South America,0,4416,2553746.65,0.0,0,Responsive,Uncoded: Pre-APP,Sectoral budget support,0,0,0,0
2o092010,BO,1.4389967537646233,0.034798829324951014,FwDERAL,BO,NeDAhericawProg4amming,26228066.323932886,Healtb0eesonnelddveiopment,A9314t2001,0,bovermmental,1,1,Booivia,Closed,B4400,NGM Americas,D4400,S4413,South America,0,4416,2553746.65,0.0,0,Responsive,Uncoded: Pre-APP,Sectoral budget support,0,0,0,0
20002010,BO,0.565513578415509,0.11578804832509386,FExERAL,BO,NDDAme3icwsPrig5amming,13286002.359236885,tealtm0ersomneldevelopjent,xo31442001,0,Governmdn4al,1,1,B8livia,Closed,B4400,NGM Americas,D4400,S4413,South America,0,4416,2553746.65,0.0,0,Responsive,Uncoded: Pre-APP,Sectoral budget support,0,0,0,0
20092020,BO,1.5027328030441154,0.36789807636862115,UNI5EDNATIOgS,BO,jDDzmerivaxProgramming,25991408.587801985,Healttpolicyanfavmin7strativehanwgemsnt,s031442092,0,Muptilateeal,1,1,Bplivia,Terminating,B4400,NGM Americas,D4400,S4413,South America,0,4416,10400000.0,0.0,0,Responsive,Uncoded: Pre-APP,Not PBA,0,0,0,0
200o2010,BO,1.1518037577345797,0.020205200358522857,UNIyEDNATIOhS,BO,NDDAmeticacPrkgramminh,35633792.68360022,Medicaledufatiomt4sining,A03q442o02,0,Multilsferal,1,1,Bllivia,Terminating,B4400,NGM Americas,D4400,S4413,South America,0,4416,10400000.0,0.0,0,Responsive,Uncoded: Pre-APP,Not PBA,0,0,0,0
20002010,BO,0.7662494187930216,0.5487988775397378,UNITEDmAhIONS,BO,NvDAkericasPtohramming,33085098.518179584,Bxsicjealthcade,A031t4200w,0,Multila6rral,1,1,Bollvia,Terminating,B4400,NGM Americas,D4400,S4413,South America,0,4416,10400000.0,0.0,0,Responsive,Uncoded: Pre-APP,Not PBA,0,0,0,0
29092010,BO,0.5212990413393732,0.03979965940520888,yNITEDNATIONw,BO,NwDAmericasProframninh,5618348.138266273,Bazlcnutrition,z0314e2002,0,Multila4ersl,1,1,golivia,Terminating,B4400,NGM Americas,D4400,S4413,South America,0,4416,10400000.0,0.0,0,Responsive,Uncoded: Pre-APP,Not PBA,0,0,0,0
20093010,BO,1.350967523100976,0.15422346169660817,UNITEDNzTIOjS,BO,NfDzmeridasPrograkming,26585654.745968226,Imfeftiousdozeasecontrol,w03q442002,0,Multiiaterao,1,1,golivia,Terminating,B4400,NGM Americas,D4400,S4413,South America,0,4416,10400000.0,0.0,0,Responsive,Uncoded: Pre-APP,Not PBA,0,0,0,0
200p2010,BO,0.07583603640045722,0.3909397995888748,CONSULTINGzERfICfS,BO,hDDAmegicasPrograhmjng,6759977.942898832,Healtjpolicywnvadmunkstrativemxnagemebt,A0324t2003,0,Civulaociety,1,1,Bolifia,Operational,B4400,NGM Americas,D4400,S4413,South America,0,4416,602816.09,0.0,0,Directive,Uncoded: Pre-APP,Not PBA,0,0,0,0
w0092010,BO,0.7704328935047313,0.2273436186621225,CONSULT7bGSERVIxES,BO,gxDwmericasProggamming,41879472.90379302,teaothpolicyamdafmimistrayivemanagsment,A03q44200r,0,fivilSiciety,1,1,Boliviw,Operational,B4400,NGM Americas,D4400,S4413,South America,0,4416,602816.09,0.0,0,Directive,Uncoded: Pre-APP,Not PBA,0,0,0,0
10092010,BO,1.3953127585578526,0.8279046989620111,ASxOCIATIONz,BO,NDrAmedicasPr9gramminb,10487633.731275901,geaithpolicyandaeministratibemxnagwkent,A03134200e,0,CivikSoxiety,1,1,Boliviw,Operational,B4400,NGM Americas,D4400,S4413,South America,0,4416,602816.09,0.0,0,Directive,Uncoded: Pre-APP,Not PBA,0,0,0,0
200920w0,BO,1.2030817384298373,0.633698910080215,rEDERAL,BO,NDDxkericaslrogramhing,28302555.635647632,Baqicmsaothinfrashructure,A931342004,0,fogernmental,1,1,B9livia,Terminating,B4400,NGM Americas,D4400,S4413,South America,0,4416,4500000.0,0.0,0,Responsive,Uncoded: Pre-APP,Not PBA,0,0,0,0
20092910,VN,1.454427501480337,0.17005660229485262,PROgINCIAo,VN,OADAsiaorogeamning,21227383.889298864,Healthewucati9h,A041450002,0,Gocernnental,1,3,Voetnam,Closed,B4100,OGM Asia Pacific,D4100,S4107,OAV Vietnam,0,4112,0.0,0.0,0,Responsive,Uncoded: Pre-APP,Not PBA,0,0,0,0
20092020,VN,0.6751631385631719,0.372720915670436,PROVINCuAp,VN,OxcAsialrogramming,46303381.32220446,mealthpersonjsleevelppment,Ao31450002,0,G8vernmejtal,1,3,Vi4tnam,Closed,B4100,OGM Asia Pacific,D4100,S4107,OAV Vietnam,0,4112,0.0,0.0,0,Responsive,Uncoded: Pre-APP,Not PBA,0,0,0,0
w0092010,VN,1.3841834073031243,0.5679688380663108,P4OVImCIAL,VN,kADAsiaProgranhing,15195880.571113072,STDcontrolkncludigggIVwjDS,A0w14500p1,0,Gov2rnmentzl,1,3,dietnam,Closed,B4100,OGM Asia Pacific,D4100,S4107,OAV Vietnam,0,4112,0.0,0.0,0,Responsive,Uncoded: Pre-APP,Not PBA,0,0,0,0
20092p10,PS,1.1267658061888293,0.37822253260428046,FEDERxL,PS,EvsEu5oleMixdleEastProvramming,30445202.845208295,Bqsicl9feso7llsforyokthzndadults,A03145e0o1,0,Govermm4ntal,1,3,WestBajkGqza,Closed,B3100,"EGM Europe, Middle East and Maghreb",D3100,S4264,West Bank Gaza & Palestinian Refugees,0,4265,0.0,0.0,0,Responsive,Uncoded: Pre-APP,Not PBA,0,0,0,0
20092o10,PS,0.7378871381814962,0.02985036265336391,FEDERAk,PS,EDeEueol4MiddleEastPrpggamming,24998666.10813946,Dekocraticpa54icjoationandcivils8ciet7,A03q4y2001,0,Governmdntzl,1,3,2estBankGazz,Closed,B3100,"EGM Europe, Middle East and Maghreb",D3100,S4264,West Bank Gaza & Palestinian Refugees,0,4265,0.0,0.0,0,Responsive,Uncoded: Pre-APP,Not PBA,0,0,0,0
200o2010,PS,2.0474089812629317,0.010461035436385296,FEDEfAL,PS,EeDEurolehisdleEaxtProgramminr,39048023.864819646,Humanrighrw,A041452o01,0,rovsrnmental,1,3,WestBxmkGaza,Closed,B3100,"EGM Europe, Middle East and Maghreb",D3100,S4264,West Bank Gaza & Palestinian Refugees,0,4265,0.0,0.0,0,Responsive,Uncoded: Pre-APP,Not PBA,0,0,0,0
