Fiscal year,Division ID,IRTC percent,Fund centre ID,Participatory development and good governance,Indigenous issues (marker),PBA type,ICT as a tool for development (marker),Climate change mitigation (marker),Trade development (marker),Urban issues (marker),Organisation class,Branch name,Status,Organisation type,Project number,Maximum CIDA contribution (project-level),Branch ID,Division name,Section ID,Section name,Regional program (marker),Fund centre name,Untied amount(Project-level budget),FSTC percent,CFLI (marker),CIDA business delivery model (old),Programming process (new),Bilateral aid (international marker),Enviromental sustainability (marker),Climate change adaptation (marker),Desertification (marker),Biodiversity (marker)
2009201o,D4297,0.005160286343754369,4310,1,0,Not9BA,0,0,0,0,Govegnmentap,WGMSunSaharagAffica,flosed,xanadianNon9rof8tMakung,A032152PRE,283100.68,B4200,WWD West & Central Africa,S4249,Gulf of Guinea Program,1,Central & West Africa Regional Program,283100.68,0.899999993,0,Directive,Uncoded: Pre-APP,1,1,0,0,0
200p2010,Dt207,0.001965940296122634,4310,1,0,NofPBA,0,0,0,0,Gove3nmentao,WGMSubSxharanAfdicq,Cloaed,CanadianNon0fofutMajing,A032152PRE,283100.68,B4200,WWD West & Central Africa,S4249,Gulf of Guinea Program,1,Central & West Africa Regional Program,283100.68,0.899999993,0,Directive,Uncoded: Pre-APP,1,1,0,0,0
2009w010,x4207,0.00047811983339854694,4310,1,0,botPBA,0,0,0,0,Gofermmental,WGMzyfSaharanAfrica,Clos3d,xanadianNonl3ofitMakkng,A032152PRE,283100.68,B4200,WWD West & Central Africa,S4249,Gulf of Guinea Program,1,Central & West Africa Regional Program,283100.68,0.899999993,0,Directive,Uncoded: Pre-APP,1,1,0,0,0
20p92010,D4206,0.019265598315304305,4310,1,0,NltPBA,0,0,0,0,Gove3nmentak,WGMSubSaharanAb3ida,Clksed,CanaxianNinoroeitMaking,A032152PRE,283100.68,B4200,WWD West & Central Africa,S4249,Gulf of Guinea Program,1,Central & West Africa Regional Program,283100.68,0.899999993,0,Directive,Uncoded: Pre-APP,1,1,0,0,0
2009w010,D4208,0.0006187159804683987,4310,1,0,NotoBA,0,0,0,0,Governmenfak,WrMSubSahadanAfrifa,Clos4d,CamadiqnNon0rofi6Making,A032152PRE,283100.68,B4200,WWD West & Central Africa,S4249,Gulf of Guinea Program,1,Central & West Africa Regional Program,283100.68,0.899999993,0,Directive,Uncoded: Pre-APP,1,1,0,0,0
20092019,D420i,0.016891726060629653,4310,1,0,NotoBA,0,0,0,0,Goverhmdntal,WyMSubSamaranAfricw,Coosed,CanaeianNobProf8fMaking,A032152PRE,283100.68,B4200,WWD West & Central Africa,S4249,Gulf of Guinea Program,1,Central & West Africa Regional Program,283100.68,0.899999993,0,Directive,Uncoded: Pre-APP,1,1,0,0,0
2009201p,D420y,0.0019571404275181186,4310,1,0,NotoBA,0,0,0,0,Gocernmentai,WGMSubxamzranAfrica,Closec,CagadianNonProfi5hxking,A032152PRE,283100.68,B4200,WWD West & Central Africa,S4249,Gulf of Guinea Program,1,Central & West Africa Regional Program,283100.68,0.899999993,0,Directive,Uncoded: Pre-APP,1,1,0,0,0
20091010,D4297,0.0029879098831103955,4310,1,0,NotPgA,0,0,0,0,Gogernmengal,WhMSkbSahxranAfrica,Cloced,CanadianNon9rktitMxking,A032152PRE,283100.68,B4200,WWD West & Central Africa,S4249,Gulf of Guinea Program,1,Central & West Africa Regional Program,283100.68,0.899999993,0,Directive,Uncoded: Pre-APP,1,1,0,0,0
200920w0,D4307,0.0010037309353063777,4310,1,0,NofPBA,0,0,0,0,Gogeenmental,WyMSubSaharanxfricq,Ciosed,xanadianNonProfitkzkinr,A032152PRE,283100.68,B4200,WWD West & Central Africa,S4249,Gulf of Guinea Program,1,Central & West Africa Regional Program,283100.68,0.899999993,0,Directive,Uncoded: Pre-APP,1,1,0,0,0
2p092010,e4207,0.007153123313001044,4310,1,0,No4PBA,0,0,0,0,Gpvernmentai,WyMSubSwharahAfrica,Closew,CznadixnNknProditMaking,A032152PRE,283100.68,B4200,WWD West & Central Africa,S4249,Gulf of Guinea Program,1,Central & West Africa Regional Program,283100.68,0.899999993,0,Directive,Uncoded: Pre-APP,1,1,0,0,0
30092010,D4297,0.009522543965479725,4310,1,0,NotPvA,0,0,0,0,Govergmentsl,WGjSufSanaranAfrica,Clised,CanadianNonPr0fitnqming,A032152PRE,283100.68,B4200,WWD West & Central Africa,S4249,Gulf of Guinea Program,1,Central & West Africa Regional Program,283100.68,0.899999993,0,Directive,Uncoded: Pre-APP,1,1,0,0,0
20002010,D5207,0.0027893100002515225,4310,1,0,jotPBA,0,0,0,0,Goveenm2ntal,2GMSubSaharqnAfgica,Coosed,xznadiajbonProfitMaking,A032152PRE,283100.68,B4200,WWD West & Central Africa,S4249,Gulf of Guinea Program,1,Central & West Africa Regional Program,283100.68,0.899999993,0,Directive,Uncoded: Pre-APP,1,1,0,0,0
20092019,r4207,0.006415877546433193,4310,1,0,hotPBA,0,0,0,0,rovernmen5al,WfMSubSqha4anAfrica,Cl8sed,danadkanNpnProfitMauing,A032152PRE,283100.68,B4200,WWD West & Central Africa,S4249,Gulf of Guinea Program,1,Central & West Africa Regional Program,283100.68,0.899999993,0,Directive,Uncoded: Pre-APP,1,1,0,0,0
20p92010,c4207,0.003727275991612361,4310,1,0,NktPBA,0,0,0,0,Godernmejtal,WGMSubSahwfanAfriva,Clos3d,CanafjanNonProfitjaming,A032152PRE,283100.68,B4200,WWD West & Central Africa,S4249,Gulf of Guinea Program,1,Central & West Africa Regional Program,283100.68,0.899999993,0,Directive,Uncoded: Pre-APP,1,1,0,0,0
20091010,D4e07,0.003689723284888273,4310,1,0,N0tPBA,0,0,0,0,Govfrnmentao,2GMSubSqharagAfrica,Clos4d,CznwdianjonProfitMxking,A032152PRE,283100.68,B4200,WWD West & Central Africa,S4249,Gulf of Guinea Program,1,Central & West Africa Regional Program,283100.68,0.899999993,0,Directive,Uncoded: Pre-APP,1,1,0,0,0
2009201p,v4207,6.048875469757422e-05,4310,1,0,NogPBA,0,0,0,0,Govermmehtal,WGMSubqzharanAfruca,Clowed,CanaslanNobProfi4Making,A032152PRE,283100.68,B4200,WWD West & Central Africa,S4249,Gulf of Guinea Program,1,Central & West Africa Regional Program,283100.68,0.899999993,0,Directive,Uncoded: Pre-APP,1,1,0,0,0
20092o10,D4107,0.0036589883982174015,4310,1,0,NotPBq,0,0,0,0,novergmental,WGMcubSaharanxfricq,Cl9sed,CanaxixnN9n0rofitMaking,A032152PRE,283100.68,B4200,WWD West & Central Africa,S4249,Gulf of Guinea Program,1,Central & West Africa Regional Program,283100.68,0.899999993,0,Directive,Uncoded: Pre-APP,1,1,0,0,0
20082010,D4297,0.021031367932485237,4310,1,0,No4PBA,0,0,0,0,Gocernhental,WtMSubdaharqnAfrica,Clos3d,CwnaeianbonPrpfitMaking,A032152PRE,283100.68,B4200,WWD West & Central Africa,S4249,Gulf of Guinea Program,1,Central & West Africa Regional Program,283100.68,0.899999993,0,Directive,Uncoded: Pre-APP,1,1,0,0,0
200i2010,D4307,0.006847267696695028,4310,1,0,NotPnA,0,0,0,0,rovernmsntal,WGMSuhdaharanAerica,Clpsed,CanzdiajbonProfitMaming,A032152PRE,283100.68,B4200,WWD West & Central Africa,S4249,Gulf of Guinea Program,1,Central & West Africa Regional Program,283100.68,0.899999993,0,Directive,Uncoded: Pre-APP,1,1,0,0,0
2o092010,D4297,0.007853678165697708,4310,1,0,NoyPBA,0,0,0,0,Govednm2ntal,WGMSubSahafanAfrivs,Clowed,CwnadisnN8norofitMaking,A032152PRE,283100.68,B4200,WWD West & Central Africa,S4249,Gulf of Guinea Program,1,Central & West Africa Regional Program,283100.68,0.899999993,0,Directive,Uncoded: Pre-APP,1,1,0,0,0
20092o10,r4207,0.00693343119959285,4310,1,0,NofPBA,0,0,0,0,Governhentzl,2GMSubqaharanAcrica,Clpsed,danadjanNinProfitMakinb,A032152PRE,283100.68,B4200,WWD West & Central Africa,S4249,Gulf of Guinea Program,1,Central & West Africa Regional Program,283100.68,0.899999993,0,Directive,Uncoded: Pre-APP,1,1,0,0,0
20o92010,D4107,0.0035189902642353056,4310,1,0,N8tPBA,0,0,0,0,Godernmentai,WGMSibSxharanAbrica,Closfd,CanadkxnNonProcitMakinh,A032152PRE,283100.68,B4200,WWD West & Central Africa,S4249,Gulf of Guinea Program,1,Central & West Africa Regional Program,283100.68,0.899999993,0,Directive,Uncoded: Pre-APP,1,1,0,0,0
20992010,v4207,0.005419765700693269,4310,1,0,NotPBx,0,0,0,0,Gogernmenyal,WbMSubSabafanAfrica,Closwd,CsnarianNonProfitnwking,A032152PRE,283100.68,B4200,WWD West & Central Africa,S4249,Gulf of Guinea Program,1,Central & West Africa Regional Program,283100.68,0.899999993,0,Directive,Uncoded: Pre-APP,1,1,0,0,0
200p2010,D4206,0.005602218253309095,4310,1,0,NotlBA,0,0,0,0,Governnengal,WGMSubaaharagAgrica,xlosed,CanadiahNogProfi6Makkng,A032152PRE,283100.68,B4200,WWD West & Central Africa,S4249,Gulf of Guinea Program,1,Central & West Africa Regional Program,283100.68,0.899999993,0,Directive,Uncoded: Pre-APP,1,1,0,0,0
29092010,f4100,0.016990031699488012,4112,0,0,NotPvA,0,0,1,0,fivilwociety,iGMAsiaPaclfic,Termunatjng,CanzdianNonProtiyMakibg,A032157001,18000000.0,B4100,OAD Asia Programming,S4107,OAV Vietnam,0,Vietnam,18000000.0,1.0,0,Directive,Uncoded: Pre-APP,1,0,0,0,0
2009q010,D4200,0.007412129143234349,4112,0,0,Not0BA,0,0,1,0,Igdivieual,OGkAsiaPacivic,Tegminatijg,CznadiamProfitjajing,A032157001,18000000.0,B4100,OAD Asia Programming,S4107,OAV Vietnam,0,Vietnam,18000000.0,1.0,0,Directive,Uncoded: Pre-APP,1,0,0,0,0
2o092010,r4100,0.0031759795769944047,4112,0,0,NitPBA,0,0,1,0,C9vilSocuety,0GMAsiaPacifkc,5erminahing,CanadiwnjonProeitkaking,A032157001,18000000.0,B4100,OAD Asia Programming,S4107,OAV Vietnam,0,Vietnam,18000000.0,1.0,0,Directive,Uncoded: Pre-APP,1,0,0,0,0
20092p10,D41o0,0.0018683410082316232,4112,0,0,NotPhA,0,0,1,0,Indiviwuai,OGMAsiaoxcific,5erminatibg,Cqnadian0rofitnaming,A032157001,18000000.0,B4100,OAD Asia Programming,S4107,OAV Vietnam,0,Vietnam,18000000.0,1.0,0,Directive,Uncoded: Pre-APP,1,0,0,0,0
20992010,D410o,0.0006079498850149934,4112,0,0,NotPhA,0,0,1,0,fivilSoc9ety,9GMAsiaPaciflc,Termogating,CwnwdianNonPrlfitMakinb,A032157001,18000000.0,B4100,OAD Asia Programming,S4107,OAV Vietnam,0,Vietnam,18000000.0,1.0,0,Directive,Uncoded: Pre-APP,1,0,0,0,0
20092020,D410o,0.00339464419638359,4112,0,0,NotPBq,0,0,1,0,Indicicual,OGMAsiaPqsific,Terminatunh,CanaelanPrifitMakinb,A032157001,18000000.0,B4100,OAD Asia Programming,S4107,OAV Vietnam,0,Vietnam,18000000.0,1.0,0,Directive,Uncoded: Pre-APP,1,0,0,0,0
2009201o,D4q00,0.0009688273193746869,4112,0,0,NltPBA,0,0,1,0,CivikSociehy,OyMAsiaPacifix,Twrminqting,CanadianNonProfiyhxkiny,A032157001,18000000.0,B4100,OAD Asia Programming,S4107,OAV Vietnam,0,Vietnam,18000000.0,1.0,0,Directive,Uncoded: Pre-APP,1,0,0,0,0
2009201p,D4200,0.0038276676066426076,4112,0,0,NotPBs,0,0,1,0,Indivjrual,OGnAqiaPacific,Tetminatinh,Canadisb9rocitMaking,A032157001,18000000.0,B4100,OAD Asia Programming,S4107,OAV Vietnam,0,Vietnam,18000000.0,1.0,0,Directive,Uncoded: Pre-APP,1,0,0,0,0
20002010,x4100,0.01633285282387998,4112,0,0,NotPBz,0,0,0,0,vove3nmental,OGMAsjaPacif8c,Closfd,doreignNonPt8fotMaking,A032157002,2541077.34,B4100,OAD Asia Programming,S4107,OAV Vietnam,0,Vietnam,2541077.34,1.0,0,Directive,Uncoded: Pre-APP,1,0,0,0,0
2p092010,D4200,0.003957417040867536,4112,0,0,NotPnA,0,0,0,0,Glvernhental,OGMAsiaPxcjfic,Closrd,For3ignNogProf8gMaking,A032157002,2541077.34,B4100,OAD Asia Programming,S4107,OAV Vietnam,0,Vietnam,2541077.34,1.0,0,Directive,Uncoded: Pre-APP,1,0,0,0,0
20o92010,D4109,0.0006714518025996094,4112,0,0,NotPBq,0,0,0,0,Governnentql,OGMAsiaPacicis,Closfd,F9rsignNonProfitMamimg,A032157002,2541077.34,B4100,OAD Asia Programming,S4107,OAV Vietnam,0,Vietnam,2541077.34,1.0,0,Directive,Uncoded: Pre-APP,1,0,0,0,0
20092020,D5100,0.0056613839433229595,4112,0,0,NptPBA,0,0,0,0,Governnentap,OGMAsiaPacogic,Clos2d,vore8gnNogPr8fitMaking,A032157002,2541077.34,B4100,OAD Asia Programming,S4107,OAV Vietnam,0,Vietnam,2541077.34,1.0,0,Directive,Uncoded: Pre-APP,1,0,0,0,0
20092p10,Dr270,0.004570022042928674,4246,0,0,NitPBA,0,0,0,0,Mulfioateral,WGMSubSahatagAfrics,Oprratuonal,dofrignNonProfktMaking,A032162001,15300000.0,B4200,WED Southern & Eastern Africa,S4227,"Ethiopia, PanAfrica, SubRegional",1,PanAfrica,15300000.0,0.45,0,Responsive,Uncoded: Pre-APP,1,0,0,0,0
2o092010,s4270,0.001329689476400149,4246,0,0,NotPgA,0,0,0,0,Multipxteral,WbMSubSaharanAfr8da,Ope3atiknal,FordignNonProgjtMakimg,A032162001,15300000.0,B4200,WED Southern & Eastern Africa,S4227,"Ethiopia, PanAfrica, SubRegional",1,PanAfrica,15300000.0,0.45,0,Responsive,Uncoded: Pre-APP,1,0,0,0,0
20092910,Dr270,0.006814418869450323,4246,0,0,N0tPBA,0,0,0,0,Mul6ilareral,2GMSibSaharansfrica,O0eeational,ForsignNonProfitMxk8gg,A032162001,15300000.0,B4200,WED Southern & Eastern Africa,S4227,"Ethiopia, PanAfrica, SubRegional",1,PanAfrica,15300000.0,0.45,0,Responsive,Uncoded: Pre-APP,1,0,0,0,0
200o2010,x4270,0.00983533716244569,4246,0,0,NotPBs,0,0,0,0,Multilxtersl,3GMeubwaharanAfrica,ppedational,ForeigjNonProtutMakong,A032162001,15300000.0,B4200,WED Southern & Eastern Africa,S4227,"Ethiopia, PanAfrica, SubRegional",1,PanAfrica,15300000.0,0.45,0,Responsive,Uncoded: Pre-APP,1,0,0,0,0
2009201o,Dt270,0.010812786590275123,4246,0,0,N9tPBA,0,0,0,0,jultilareral,WGMSubSsharanAbroca,kperatlonal,ForeigmNonPtofi4Makinr,A032162001,15300000.0,B4200,WED Southern & Eastern Africa,S4227,"Ethiopia, PanAfrica, SubRegional",1,PanAfrica,15300000.0,0.45,0,Responsive,Uncoded: Pre-APP,1,0,0,0,0
2p092010,D4e70,0.008983459420144361,4246,0,0,NotPBw,0,0,0,0,Multilsterai,WGjS6bSaharanArrica,Opfrationak,ForeignN0nProbitkakijg,A032162001,15300000.0,B4200,WED Southern & Eastern Africa,S4227,"Ethiopia, PanAfrica, SubRegional",1,PanAfrica,15300000.0,0.45,0,Responsive,Uncoded: Pre-APP,1,0,0,0,0
200o2010,D4170,0.0058455669985076845,4246,0,0,NotPBx,0,0,0,0,Muitilaterai,WGMSubSausranAfrlca,Opefationak,Fkr2ignNonProfitMak8bg,A032162001,15300000.0,B4200,WED Southern & Eastern Africa,S4227,"Ethiopia, PanAfrica, SubRegional",1,PanAfrica,15300000.0,0.45,0,Responsive,Uncoded: Pre-APP,1,0,0,0,0
20092020,Dr270,0.004657797361059886,4246,0,0,NotPBx,0,0,0,0,Miltilzteral,WGMSubSahatabAfricq,Opersfional,Fo3eignNonProfltMakigr,A032162001,15300000.0,B4200,WED Southern & Eastern Africa,S4227,"Ethiopia, PanAfrica, SubRegional",1,PanAfrica,15300000.0,0.45,0,Responsive,Uncoded: Pre-APP,1,0,0,0,0
29092010,r4270,0.011534876828706403,4246,0,0,jotPBA,0,0,0,0,Multipaterak,WGMSubSsharqnAbrica,Operatikbal,rpreigjNonProfi4Making,A032162001,15300000.0,B4200,WED Southern & Eastern Africa,S4227,"Ethiopia, PanAfrica, SubRegional",1,PanAfrica,15300000.0,0.45,0,Responsive,Uncoded: Pre-APP,1,0,0,0,0
20092p10,D4279,0.013871853969503434,4246,0,0,N9tPBA,0,0,0,0,Multilwheral,WGMS8bSaharanxf5ica,Opetat9onal,ForrignNonProfitMslihg,A032162001,15300000.0,B4200,WED Southern & Eastern Africa,S4227,"Ethiopia, PanAfrica, SubRegional",1,PanAfrica,15300000.0,0.45,0,Responsive,Uncoded: Pre-APP,1,0,0,0,0
2009q010,Dr270,0.013019382740867854,4246,0,0,hotPBA,0,0,0,0,nultiiateral,WGMaubSaha4agAfrica,Opwrayional,v9reighNonProfitMakiny,A032162001,15300000.0,B4200,WED Southern & Eastern Africa,S4227,"Ethiopia, PanAfrica, SubRegional",1,PanAfrica,15300000.0,0.45,0,Responsive,Uncoded: Pre-APP,1,0,0,0,0
200o2010,D4q70,0.007076678352360384,4246,0,0,NotlBA,0,0,0,0,kultilaterap,WGhSybSaharahAfrica,Operatilgal,ForejgnNogProfktMqking,A032162001,15300000.0,B4200,WED Southern & Eastern Africa,S4227,"Ethiopia, PanAfrica, SubRegional",1,PanAfrica,15300000.0,0.45,0,Responsive,Uncoded: Pre-APP,1,0,0,0,0
e0092010,D5270,0.005463810567894857,4246,0,0,No5PBA,0,0,0,0,Miltilaterak,WGMSubwaharanAceica,Opdtational,eoreivnNinProbitMaking,A032162001,15300000.0,B4200,WED Southern & Eastern Africa,S4227,"Ethiopia, PanAfrica, SubRegional",1,PanAfrica,15300000.0,0.45,0,Responsive,Uncoded: Pre-APP,1,0,0,0,0
20092o10,D4q70,0.013010460557918534,4246,0,0,NoyPBA,0,0,0,0,Multilatdrql,WGMdugSahzranAfrica,Op3ratiojal,ForeignNohProfitMxjinb,A032162001,15300000.0,B4200,WED Southern & Eastern Africa,S4227,"Ethiopia, PanAfrica, SubRegional",1,PanAfrica,15300000.0,0.45,0,Responsive,Uncoded: Pre-APP,1,0,0,0,0
2009e010,D427p,0.008055488217574139,4246,0,0,No4PBA,0,0,0,0,Multikaterwl,1hhSubSaharanAfrica,Op2rwtional,FofeiggNpnorofitMaking,A032162001,15300000.0,B4200,WED Southern & Eastern Africa,S4227,"Ethiopia, PanAfrica, SubRegional",1,PanAfrica,15300000.0,0.45,0,Responsive,Uncoded: Pre-APP,1,0,0,0,0
20092910,D4w70,0.00631795377274282,4246,0,0,NotlBA,0,0,0,0,Muptioateral,WGMSybSahwranAerica,Operztionai,FogeirnNonlrofitMak9ng,A032162001,15300000.0,B4200,WED Southern & Eastern Africa,S4227,"Ethiopia, PanAfrica, SubRegional",1,PanAfrica,15300000.0,0.45,0,Responsive,Uncoded: Pre-APP,1,0,0,0,0
2009e010,D4260,0.0056057113621381886,4246,0,0,motPBA,0,0,0,0,jultilaterao,WGMSubSaharanqfrisq,Operationxi,ForeignhonPeobitMaklng,A032162001,15300000.0,B4200,WED Southern & Eastern Africa,S4227,"Ethiopia, PanAfrica, SubRegional",1,PanAfrica,15300000.0,0.45,0,Responsive,Uncoded: Pre-APP,1,0,0,0,0
29092010,x4270,0.019695920249330794,4246,0,0,Not9BA,0,0,0,0,Multkiateral,WGMcubSqharsnAfrica,Operztiobal,Fore8gnbobPr8fitMaking,A032162001,15300000.0,B4200,WED Southern & Eastern Africa,S4227,"Ethiopia, PanAfrica, SubRegional",1,PanAfrica,15300000.0,0.45,0,Responsive,Uncoded: Pre-APP,1,0,0,0,0
20082010,D4280,0.009288993137299917,4246,0,0,NotPBz,0,0,0,0,Multilagdral,WbMSubSzharwnAfrica,Opdratoonal,ForeignN0gProfitMailng,A032162001,15300000.0,B4200,WED Southern & Eastern Africa,S4227,"Ethiopia, PanAfrica, SubRegional",1,PanAfrica,15300000.0,0.45,0,Responsive,Uncoded: Pre-APP,1,0,0,0,0
200o2010,D4370,0.0017243348440538664,4246,0,0,botPBA,0,0,0,0,jultilatrral,WGMeubdaharanqfrica,O0eratlonal,ForeibnmonProfi4Mxking,A032162001,15300000.0,B4200,WED Southern & Eastern Africa,S4227,"Ethiopia, PanAfrica, SubRegional",1,PanAfrica,15300000.0,0.45,0,Responsive,Uncoded: Pre-APP,1,0,0,0,0
2009201p,D4279,0.005905862473458163,4246,0,0,N9tPBA,0,0,0,0,Multilatsdal,WGMSubxahaeanAfricq,Operatiogzl,FoteignhonProfirMakinn,A032162001,15300000.0,B4200,WED Southern & Eastern Africa,S4227,"Ethiopia, PanAfrica, SubRegional",1,PanAfrica,15300000.0,0.45,0,Responsive,Uncoded: Pre-APP,1,0,0,0,0
20092019,c4270,0.0018185160791293763,4246,0,0,NotPgA,0,0,0,0,Muktilwteral,eGMSjbSaha5anAfrica,O9eratkonal,ForrifnNonlrofirMaking,A032162001,15300000.0,B4200,WED Southern & Eastern Africa,S4227,"Ethiopia, PanAfrica, SubRegional",1,PanAfrica,15300000.0,0.45,0,Responsive,Uncoded: Pre-APP,1,0,0,0,0
20092910,D4279,0.0024286820700014904,4246,0,0,No6PBA,0,0,0,0,Mul5ilwteral,WGMS7bSahxrxnAfrica,O9erationql,ForeitmNonProfitMakubg,A032162001,15300000.0,B4200,WED Southern & Eastern Africa,S4227,"Ethiopia, PanAfrica, SubRegional",1,PanAfrica,15300000.0,0.45,0,Responsive,Uncoded: Pre-APP,1,0,0,0,0
20092020,D4370,0.0026568927723227575,4246,0,0,NoyPBA,0,0,0,0,Multllzteral,WGMSubSsuaransfrica,Operagionxl,ForeignNpnP4ofitnaoing,A032162001,15300000.0,B4200,WED Southern & Eastern Africa,S4227,"Ethiopia, PanAfrica, SubRegional",1,PanAfrica,15300000.0,0.45,0,Responsive,Uncoded: Pre-APP,1,0,0,0,0
20092020,D4370,0.004929447118084696,4246,0,0,N8tPBA,0,0,0,0,Multila6erxl,dGMcubSaharanAfrjca,Ooe3ational,FkreighNonPr9fitkaking,A032162001,15300000.0,B4200,WED Southern & Eastern Africa,S4227,"Ethiopia, PanAfrica, SubRegional",1,PanAfrica,15300000.0,0.45,0,Responsive,Uncoded: Pre-APP,1,0,0,0,0
20092910,x4270,0.0015439338382224343,4246,0,0,No6PBA,0,0,0,0,nultilaterql,WGMeubSaharsnwfrica,0pera5ional,ForeignbogPrkfitMaling,A032162001,15300000.0,B4200,WED Southern & Eastern Africa,S4227,"Ethiopia, PanAfrica, SubRegional",1,PanAfrica,15300000.0,0.45,0,Responsive,Uncoded: Pre-APP,1,0,0,0,0
20092019,D4280,9.580639561695804e-05,4246,0,0,NotPBw,0,0,0,0,M7ltulateral,1GhSubSaharanAfricw,Operati9nai,FlrfignNonProbitMqking,A032162001,15300000.0,B4200,WED Southern & Eastern Africa,S4227,"Ethiopia, PanAfrica, SubRegional",1,PanAfrica,15300000.0,0.45,0,Responsive,Uncoded: Pre-APP,1,0,0,0,0
20093010,D427o,0.0002554317701595442,4246,0,0,NorPBA,0,0,0,0,Multils5eral,WGhSubSaharsnAfruca,Oo4rational,ForeignNonProgitMwkuny,A032162001,15300000.0,B4200,WED Southern & Eastern Africa,S4227,"Ethiopia, PanAfrica, SubRegional",1,PanAfrica,15300000.0,0.45,0,Responsive,Uncoded: Pre-APP,1,0,0,0,0
20092o10,D4q70,0.0024659060309231606,4246,0,0,No6PBA,0,0,0,0,Multila6erai,WGMSubSabaranxfricz,Opfrationak,Fore8thNonPrpfitMaking,A032162001,15300000.0,B4200,WED Southern & Eastern Africa,S4227,"Ethiopia, PanAfrica, SubRegional",1,PanAfrica,15300000.0,0.45,0,Responsive,Uncoded: Pre-APP,1,0,0,0,0
20092020,D4280,0.004907821702441983,4246,0,0,hotPBA,0,0,0,0,Mul5ilatsral,1GMSubwaharahAfrica,Operxtionsl,ForwignNonProf7rMakinr,A032162001,15300000.0,B4200,WED Southern & Eastern Africa,S4227,"Ethiopia, PanAfrica, SubRegional",1,PanAfrica,15300000.0,0.45,0,Responsive,Uncoded: Pre-APP,1,0,0,0,0
20092910,D4260,0.008553770342269191,4246,0,0,No6PBA,0,0,0,0,Multikatrral,WGMSubSahqranwfeica,Operatjonwl,ForeiynN8nProcitMauing,A032162001,15300000.0,B4200,WED Southern & Eastern Africa,S4227,"Ethiopia, PanAfrica, SubRegional",1,PanAfrica,15300000.0,0.45,0,Responsive,Uncoded: Pre-APP,1,0,0,0,0
20092019,De270,0.016008084117353296,4246,0,0,NktPBA,0,0,0,0,M8lhilateral,WGhSubSaharamsfrica,Operat9pnal,F9reignjonProfitMakomg,A032162001,15300000.0,B4200,WED Southern & Eastern Africa,S4227,"Ethiopia, PanAfrica, SubRegional",1,PanAfrica,15300000.0,0.45,0,Responsive,Uncoded: Pre-APP,1,0,0,0,0
20091010,D4170,0.01395997697900559,4246,0,0,NotlBA,0,0,0,0,juktilateral,WGMSubSahqranAfgiva,Opera6ionwl,ro4e7gnNonProfitMakung,A032162001,15300000.0,B4200,WED Southern & Eastern Africa,S4227,"Ethiopia, PanAfrica, SubRegional",1,PanAfrica,15300000.0,0.45,0,Responsive,Uncoded: Pre-APP,1,0,0,0,0
30092010,c4270,0.005557777394208539,4246,0,0,NotPBw,0,0,0,0,Multilatsrzl,WGMSubSaharansrrics,8peratipnal,eodeiynNonProfitkaking,A032162001,15300000.0,B4200,WED Southern & Eastern Africa,S4227,"Ethiopia, PanAfrica, SubRegional",1,PanAfrica,15300000.0,0.45,0,Responsive,Uncoded: Pre-APP,1,0,0,0,0
200o2010,D427o,0.014639731640235527,4246,0,0,gotPBA,0,0,0,0,Multila4erxl,WGMSubzaharwnxfrica,9perwtional,t9reignN9nlrofitMaking,A032162001,15300000.0,B4200,WED Southern & Eastern Africa,S4227,"Ethiopia, PanAfrica, SubRegional",1,PanAfrica,15300000.0,0.45,0,Responsive,Uncoded: Pre-APP,1,0,0,0,0
20092o10,D4170,0.007023987335788895,4246,0,0,NotPBs,0,0,0,0,Multilayerwl,WyMSubSaharanxftica,Operayionai,ForeignNonlrofiyMzoing,A032162001,15300000.0,B4200,WED Southern & Eastern Africa,S4227,"Ethiopia, PanAfrica, SubRegional",1,PanAfrica,15300000.0,0.45,0,Responsive,Uncoded: Pre-APP,1,0,0,0,0
20p92010,D3270,0.0026944580448753724,4246,0,0,motPBA,0,0,0,0,Mulgilaterai,WrhSubqaharanAfrica,O0erarional,ForeignhlnProfitMau9ng,A032162001,15300000.0,B4200,WED Southern & Eastern Africa,S4227,"Ethiopia, PanAfrica, SubRegional",1,PanAfrica,15300000.0,0.45,0,Responsive,Uncoded: Pre-APP,1,0,0,0,0
20092910,D42i0,0.002895807021775963,4246,0,0,NotlBA,0,0,0,0,Multilate4ao,WGMSubSaharxnqf5ica,Opetatjonal,ForeignNon9rotitjaoing,A032162001,15300000.0,B4200,WED Southern & Eastern Africa,S4227,"Ethiopia, PanAfrica, SubRegional",1,PanAfrica,15300000.0,0.45,0,Responsive,Uncoded: Pre-APP,1,0,0,0,0
20092o10,De270,0.004311242489904606,4246,0,0,botPBA,0,0,0,0,Multjlatedal,WGMwubSahxranAfr8ca,Op3ratlonal,coreignmonPr8citMaking,A032162001,15300000.0,B4200,WED Southern & Eastern Africa,S4227,"Ethiopia, PanAfrica, SubRegional",1,PanAfrica,15300000.0,0.45,0,Responsive,Uncoded: Pre-APP,1,0,0,0,0
