ss_d,ss_sbclllr_frctn,cnfdnc_scr,tss_d,vrnt_d,rltnshp_tp,ss_tss,ss_cll_tp,td,crtd_b,src_d,src_ss_d,chmbl_d,cll_d,b_frmt
3271,,9,,,D,,,20033,Intermediate,1,,CHEMBL619072,,BAO_0000019
3272,,9,,,D,,,20033,Intermediate,1,,CHEMBL619073,,BAO_0000019
3273,,9,,,D,,,20033,Intermediate,1,,CHEMBL619074,,BAO_0000019
3274,,9,,,D,,,20033,Intermediate,1,,CHEMBL619075,,BAO_0000357
3275,,9,2435.0,,D,Striatum,,20033,Intermediate,1,,CHEMBL619076,,BAO_0000357
3276,,9,2435.0,,D,Striatum,,20033,Intermediate,1,,CHEMBL619077,,BAO_0000357
3277,,9,2435.0,,D,Striatum,,20033,Intermediate,1,,CHEMBL619078,,BAO_0000249
3278,,9,2435.0,,D,Striatum,,20033,Intermediate,1,,CHEMBL619079,,BAO_0000249
3279,,9,2116.0,,D,Ileum,,20033,Intermediate,1,,CHEMBL619080,,BAO_0000221
3280,,9,,,D,,,20033,Expert,1,,CHEMBL619081,,BAO_0000357
3281,,9,,,D,,,20033,Intermediate,1,,CHEMBL619082,,BAO_0000357
3282,,9,,,D,,,20033,Intermediate,1,,CHEMBL619083,,BAO_0000357
3283,,9,,,D,,,20033,Intermediate,1,,CHEMBL619084,,BAO_0000357
3284,,9,2116.0,,D,Ileum,,20033,Intermediate,1,,CHEMBL859397,,BAO_0000221
3285,,9,2116.0,,D,Ileum,,20033,Intermediate,1,,CHEMBL619085,,BAO_0000221
3286,,9,2116.0,,D,Ileum,,20033,Intermediate,1,,CHEMBL619086,,BAO_0000221
3287,,9,2116.0,,D,Ileum,,20033,Intermediate,1,,CHEMBL619087,,BAO_0000221
3288,,9,2116.0,,D,Ileum,,20033,Intermediate,1,,CHEMBL619088,,BAO_0000221
3289,,9,,,D,,,20033,Intermediate,1,,CHEMBL619089,,BAO_0000357
3290,,8,,,H,,,168,Autocuration,1,,CHEMBL619090,,BAO_0000357
3291,,9,,,D,,,20033,Intermediate,1,,CHEMBL619091,,BAO_0000019
3292,,9,,,D,,,20033,Intermediate,1,,CHEMBL619092,,BAO_0000357
3293,,9,,,D,,,20033,Intermediate,1,,CHEMBL619093,,BAO_0000019
3294,,8,,,H,,HEK293,168,Autocuration,1,,CHEMBL619094,722.0,BAO_0000219
3295,,9,,,D,,,20033,Intermediate,1,,CHEMBL619095,,BAO_0000019
3296,,9,,,D,,,20033,Intermediate,1,,CHEMBL857988,,BAO_0000357
3297,,9,,,D,,,20033,Intermediate,1,,CHEMBL619096,,BAO_0000357
3298,,9,2435.0,,D,Striatum,,20033,Intermediate,1,,CHEMBL619097,,BAO_0000357
3299,,9,10000000.0,,D,Hippocampus,,20033,Intermediate,1,,CHEMBL619098,,BAO_0000221
3300,,9,,,D,,,20033,Intermediate,1,,CHEMBL619751,,BAO_0000357
3301,,9,,,D,,,20033,Intermediate,1,,CHEMBL619752,,BAO_0000357
3302,,9,2116.0,,D,Ileum,,20033,Intermediate,1,,CHEMBL875096,,BAO_0000221
3303,,8,,,H,,,108,Autocuration,1,,CHEMBL619004,,BAO_0000357
3304,,8,,,H,,,168,Autocuration,1,,CHEMBL619005,,BAO_0000357
3305,,8,,,H,,,168,Autocuration,1,,CHEMBL619006,,BAO_0000019
3306,,8,,,H,,HeLa,168,Autocuration,1,,CHEMBL619007,308.0,BAO_0000219
3307,,8,,,H,,,168,Autocuration,1,,CHEMBL619008,,BAO_0000357
3308,,8,,,H,,,168,Autocuration,1,,CHEMBL619009,,BAO_0000357
3309,,8,,,H,,HeLa,168,Autocuration,1,,CHEMBL619010,308.0,BAO_0000219
3310,,8,,,H,,,10622,Autocuration,1,,CHEMBL619011,,BAO_0000357
3311,,8,,,H,,,10622,Autocuration,1,,CHEMBL619012,,BAO_0000357
3312,,8,,,H,,,10622,Autocuration,1,,CHEMBL619013,,BAO_0000219
3313,,8,,,H,,,10622,Autocuration,1,,CHEMBL619014,,BAO_0000357
3314,,8,2081.0,,H,Cardiac atrium,,11249,Autocuration,1,,CHEMBL857503,,BAO_0000019
3315,,8,2081.0,,H,Cardiac atrium,,11249,Autocuration,1,,CHEMBL619015,,BAO_0000019
3316,,8,,,H,,,11249,Autocuration,1,,CHEMBL619016,,BAO_0000357
3317,,8,10000000.0,,H,Hippocampus,,11249,Autocuration,1,,CHEMBL619017,,BAO_0000221
3318,,8,10000000.0,,H,Hippocampus,,168,Autocuration,1,,CHEMBL619018,,BAO_0000221
3319,,8,,,H,,,168,Autocuration,1,,CHEMBL619019,,BAO_0000019
3320,,9,,,D,,,10623,Expert,1,,CHEMBL619020,,BAO_0000357
3321,,8,,,H,,,10623,Autocuration,1,,CHEMBL619021,,BAO_0000019
3322,,8,,,H,,,10623,Autocuration,1,,CHEMBL619022,,BAO_0000357
3323,,8,,,H,,,10623,Autocuration,1,,CHEMBL619023,,BAO_0000357
3324,,8,,,H,,,10623,Autocuration,1,,CHEMBL619024,,BAO_0000019
3325,,8,,,H,,,10623,Autocuration,1,,CHEMBL619025,,BAO_0000019
3326,,8,,,H,,,10623,Expert,1,,CHEMBL619026,,BAO_0000019
3327,,8,,,H,,,10623,Autocuration,1,,CHEMBL619027,,BAO_0000019
3328,,8,,,H,,,10623,Autocuration,1,,CHEMBL619028,,BAO_0000019
3329,,8,,,H,,,10623,Autocuration,1,,CHEMBL619029,,BAO_0000019
3330,,8,,,H,,,10623,Autocuration,1,,CHEMBL619030,,BAO_0000019
3331,,8,,,H,,,10623,Expert,1,,CHEMBL619031,,BAO_0000357
3332,,8,,,H,,,10623,Autocuration,1,,CHEMBL619032,,BAO_0000019
3333,,9,,,D,,,10623,Expert,1,,CHEMBL619033,,BAO_0000357
3334,,8,,,H,,,10623,Autocuration,1,,CHEMBL619034,,BAO_0000357
3335,,8,,,H,,,10623,Autocuration,1,,CHEMBL619035,,BAO_0000357
3336,,8,,,H,,,10623,Autocuration,1,,CHEMBL619036,,BAO_0000357
3337,,9,,,D,,,10623,Expert,1,,CHEMBL619037,,BAO_0000019
3338,,8,2435.0,,H,Striatum,,10623,Autocuration,1,,CHEMBL619038,,BAO_0000249
3339,,8,,,H,,,10623,Autocuration,1,,CHEMBL619039,,BAO_0000249
3340,,8,,,H,,,10623,Expert,1,,CHEMBL619040,,BAO_0000249
3341,,9,2435.0,,D,Striatum,,10623,Expert,1,,CHEMBL619041,,BAO_0000019
3342,,8,2435.0,,H,Striatum,,10623,Autocuration,1,,CHEMBL619042,,BAO_0000019
3343,,8,2435.0,,H,Striatum,,10623,Expert,1,,CHEMBL619043,,BAO_0000249
3344,,8,2435.0,,H,Striatum,,10623,Expert,1,,CHEMBL619044,,BAO_0000019
3345,,8,2435.0,,H,Striatum,,10623,Expert,1,,CHEMBL619045,,BAO_0000249
3346,,8,2435.0,,H,Striatum,,10623,Expert,1,,CHEMBL619046,,BAO_0000249
3347,,8,,,H,,,10623,Expert,1,,CHEMBL619047,,BAO_0000249
3348,,8,955.0,,H,Brain,,10623,Autocuration,1,,CHEMBL619048,,BAO_0000221
3349,,8,,,H,,,10623,Autocuration,1,,CHEMBL859398,,BAO_0000019
3350,,8,,,H,,,10623,Autocuration,1,,CHEMBL619049,,BAO_0000019
3351,,8,,,H,,,10623,Autocuration,1,,CHEMBL857886,,BAO_0000019
3352,,8,,,H,,,10623,Autocuration,1,,CHEMBL619050,,BAO_0000019
3353,,8,,,H,,,10623,Autocuration,1,,CHEMBL620591,,BAO_0000019
3354,,9,,,D,,,10623,Expert,1,,CHEMBL620592,,BAO_0000357
3355,,8,2435.0,,H,Striatum,,10623,Expert,1,,CHEMBL620593,,BAO_0000249
3356,,9,,,D,,,10623,Expert,1,,CHEMBL620594,,BAO_0000019
3357,,8,,,H,,,10623,Expert,1,,CHEMBL875079,,BAO_0000019
3358,,8,,,H,,,10623,Expert,1,,CHEMBL620595,,BAO_0000019
3359,,9,,,D,,,10623,Expert,1,,CHEMBL620596,,BAO_0000019
3360,,8,,,H,,,10623,Autocuration,1,,CHEMBL620597,,BAO_0000019
3361,,8,,,H,,,10623,Expert,1,,CHEMBL620598,,BAO_0000019
3362,,8,,,H,,,10623,Expert,1,,CHEMBL620599,,BAO_0000218
3363,,8,,,H,,,10623,Autocuration,1,,CHEMBL620600,,BAO_0000019
3364,,8,,,H,,,168,Autocuration,1,,CHEMBL620601,,BAO_0000019
3365,,8,,,H,,,168,Autocuration,1,,CHEMBL620602,,BAO_0000019
3366,,8,,,H,,,168,Autocuration,1,,CHEMBL620603,,BAO_0000357
3367,,8,,,H,,,168,Autocuration,1,,CHEMBL620604,,BAO_0000357
3368,,8,,,H,,,168,Autocuration,1,,CHEMBL620605,,BAO_0000357
3369,,8,,,H,,,168,Autocuration,1,,CHEMBL620606,,BAO_0000357
3370,,8,,,H,,,168,Autocuration,1,,CHEMBL620607,,BAO_0000019
3371,,8,,,H,,,168,Autocuration,1,,CHEMBL620608,,BAO_0000357
3372,,8,,,H,,,168,Autocuration,1,,CHEMBL620609,,BAO_0000019
3373,,8,,,H,,,168,Autocuration,1,,CHEMBL620610,,BAO_0000019
3374,,8,,,H,,,168,Autocuration,1,,CHEMBL620611,,BAO_0000357
3375,,8,,,H,,,168,Autocuration,1,,CHEMBL620612,,BAO_0000357
3376,,8,,,H,,,168,Autocuration,1,,CHEMBL620613,,BAO_0000357
3377,,8,,,H,,,168,Autocuration,1,,CHEMBL620614,,BAO_0000357
3378,,8,,,H,,,168,Expert,1,,CHEMBL620615,,BAO_0000357
3379,Brain membranes,6,,,H,,,104698,Autocuration,1,,CHEMBL857075,,BAO_0000249
3380,Brain membranes,6,,,H,,,104698,Autocuration,1,,CHEMBL620616,,BAO_0000249
3381,Brain membranes,6,,,H,,,104698,Autocuration,1,,CHEMBL619411,,BAO_0000249
3382,,6,,,H,,,104698,Autocuration,1,,CHEMBL619412,,BAO_0000019
3383,,7,,,D,,,104698,Autocuration,1,,CHEMBL619413,,BAO_0000019
3384,,6,10000000.0,,H,Hippocampus,,104698,Autocuration,1,,CHEMBL619414,,BAO_0000221
3385,,6,,,H,,,104698,Autocuration,1,,CHEMBL619415,,BAO_0000019
3386,,6,,,H,,,104698,Autocuration,1,,CHEMBL619416,,BAO_0000019
3387,,6,,,H,,,104698,Autocuration,1,,CHEMBL619417,,BAO_0000019
3388,,7,,,D,,,104698,Autocuration,1,,CHEMBL619418,,BAO_0000223
3389,,7,,,D,,,104698,Autocuration,1,,CHEMBL619419,,BAO_0000223
3390,,6,,,H,,,104698,Autocuration,1,,CHEMBL619420,,BAO_0000019
3391,,6,,,H,,,104698,Autocuration,1,,CHEMBL619421,,BAO_0000249
3392,,7,,,D,,,104698,Autocuration,1,,CHEMBL619422,,BAO_0000019
3393,,6,,,H,,,104698,Autocuration,1,,CHEMBL619423,,BAO_0000019
3394,,6,,,H,,,104698,Autocuration,1,,CHEMBL875080,,BAO_0000019
3395,,6,,,H,,,104698,Autocuration,1,,CHEMBL619424,,BAO_0000019
3396,,6,,,H,,,104698,Autocuration,1,,CHEMBL619425,,BAO_0000249
3397,,6,,,H,,,104698,Autocuration,1,,CHEMBL619426,,BAO_0000223
3398,,6,,,H,,,104698,Autocuration,1,,CHEMBL619427,,BAO_0000223
3399,,7,,,D,,,104698,Autocuration,1,,CHEMBL619645,,BAO_0000223
3400,,9,,,D,,,10576,Expert,1,,CHEMBL619646,,BAO_0000249
3401,,8,955.0,,H,Brain,,12020,Autocuration,1,,CHEMBL619647,,BAO_0000221
3402,,8,,,H,,,12020,Autocuration,1,,CHEMBL619648,,BAO_0000019
3403,,8,,,H,,,12020,Autocuration,1,,CHEMBL619165,,BAO_0000019
3404,,8,,,H,,,12020,Autocuration,1,,CHEMBL620719,,BAO_0000218
3405,,8,,,H,,,12020,Autocuration,1,,CHEMBL872924,,BAO_0000019
3406,,8,,,H,,,12020,Autocuration,1,,CHEMBL620720,,BAO_0000357
3407,,8,,,H,,,12020,Autocuration,1,,CHEMBL620721,,BAO_0000019
3408,,8,,,H,,,12020,Autocuration,1,,CHEMBL620722,,BAO_0000019
3409,,6,,,H,,,104698,Autocuration,1,,CHEMBL620723,,BAO_0000019
3410,,8,,,H,,,12020,Autocuration,1,,CHEMBL620724,,BAO_0000019
3411,,6,,,H,,,104698,Autocuration,1,,CHEMBL620725,,BAO_0000249
3412,,9,,,D,,,12020,Autocuration,1,,CHEMBL620726,,BAO_0000019
3413,,8,,,H,,,144,Expert,1,,CHEMBL620727,,BAO_0000357
3414,,4,,,H,,,104714,Autocuration,1,,CHEMBL620728,,BAO_0000223
3415,,0,,,U,,,22226,Autocuration,1,,CHEMBL620729,,BAO_0000019
3416,,4,,,H,,,104714,Autocuration,1,,CHEMBL858288,,BAO_0000019
3417,,4,,,H,,,104714,Autocuration,1,,CHEMBL620730,,BAO_0000223
3418,,4,,,H,,,104714,Autocuration,1,,CHEMBL620731,,BAO_0000223
3419,,4,,,H,,,104714,Autocuration,1,,CHEMBL620732,,BAO_0000019
3420,,4,,,H,,,104714,Autocuration,1,,CHEMBL618042,,BAO_0000019
3421,,4,,,H,,,104714,Autocuration,1,,CHEMBL618043,,BAO_0000019
3422,,4,,,H,,,104714,Autocuration,1,,CHEMBL618044,,BAO_0000223
3423,,4,,,H,,,104714,Autocuration,1,,CHEMBL618045,,BAO_0000019
3424,,4,,,H,,,104714,Autocuration,1,,CHEMBL618046,,BAO_0000223
3425,,4,,,H,,,104714,Autocuration,1,,CHEMBL618047,,BAO_0000019
3426,,4,,,H,,,104714,Autocuration,1,,CHEMBL875084,,BAO_0000019
3427,,4,,,H,,,104714,Autocuration,1,,CHEMBL618048,,BAO_0000019
3428,,4,,,H,,,104714,Autocuration,1,,CHEMBL618049,,BAO_0000223
3429,,4,,,H,,,104714,Autocuration,1,,CHEMBL619764,,BAO_0000019
3430,,4,,,H,,,104714,Autocuration,1,,CHEMBL619765,,BAO_0000019
3431,,4,,,H,,,104714,Autocuration,1,,CHEMBL619766,,BAO_0000019
3432,,4,,,H,,,104714,Autocuration,1,,CHEMBL619767,,BAO_0000223
3433,,4,,,H,,,104714,Autocuration,1,,CHEMBL619768,,BAO_0000223
3434,,4,,,H,,,104714,Autocuration,1,,CHEMBL619769,,BAO_0000019
3435,,4,,,H,,,104714,Autocuration,1,,CHEMBL619770,,BAO_0000223
3436,,4,,,H,,,104714,Autocuration,1,,CHEMBL619771,,BAO_0000223
3437,,4,,,H,,,104714,Autocuration,1,,CHEMBL619772,,BAO_0000219
3438,,4,,,H,,,104714,Autocuration,1,,CHEMBL619773,,BAO_0000223
3439,,4,,,H,,NG108-15,104714,Autocuration,1,,CHEMBL619774,433.0,BAO_0000219
3440,,4,,,H,,,104714,Autocuration,1,,CHEMBL875083,,BAO_0000019
3441,,4,,,H,,NG108-15,104714,Autocuration,1,,CHEMBL620718,433.0,BAO_0000219
3442,,4,,,H,,,104714,Autocuration,1,,CHEMBL618127,,BAO_0000223
3443,,4,,,H,,,104714,Autocuration,1,,CHEMBL618128,,BAO_0000223
3444,,4,,,H,,,104714,Autocuration,1,,CHEMBL618129,,BAO_0000219
3445,,4,,,H,,,104714,Autocuration,1,,CHEMBL618130,,BAO_0000223
3446,,4,,,H,,,104714,Autocuration,1,,CHEMBL618131,,BAO_0000019
3447,,4,,,H,,,104714,Autocuration,1,,CHEMBL618132,,BAO_0000019
3448,,4,,,H,,,104714,Autocuration,1,,CHEMBL618133,,BAO_0000019
3449,,4,,,H,,,104714,Autocuration,1,,CHEMBL618134,,BAO_0000019
3450,,4,,,H,,,104714,Autocuration,1,,CHEMBL618135,,BAO_0000019
3451,,4,,,H,,,104714,Autocuration,1,,CHEMBL618136,,BAO_0000223
3452,,4,,,H,,,104714,Autocuration,1,,CHEMBL618137,,BAO_0000223
3453,,4,,,H,,,104714,Autocuration,1,,CHEMBL618138,,BAO_0000223
3454,,4,,,H,,,104714,Autocuration,1,,CHEMBL618139,,BAO_0000223
3455,,4,,,H,,,104714,Autocuration,1,,CHEMBL618140,,BAO_0000223
3456,,4,,,H,,,104714,Autocuration,1,,CHEMBL618141,,BAO_0000223
3457,,8,,,H,,,108,Expert,1,,CHEMBL873478,,BAO_0000357
3458,,6,,,H,,,104698,Autocuration,1,,CHEMBL618142,,BAO_0000223
3459,,8,,,H,,,144,Autocuration,1,,CHEMBL618143,,BAO_0000357
3460,,8,,,H,,,144,Autocuration,1,,CHEMBL618144,,BAO_0000357
3461,,8,,,H,,,144,Autocuration,1,,CHEMBL618145,,BAO_0000357
3462,,4,,,H,,,104714,Autocuration,1,,CHEMBL618146,,BAO_0000223
3463,,4,,,H,,,104714,Autocuration,1,,CHEMBL618147,,BAO_0000223
3464,,4,,,H,,,104714,Autocuration,1,,CHEMBL618148,,BAO_0000223
3465,,8,,,H,,,144,Autocuration,1,,CHEMBL618149,,BAO_0000019
3466,,8,,,H,,,144,Autocuration,1,,CHEMBL872927,,BAO_0000357
3467,,8,,,H,,,144,Autocuration,1,,CHEMBL618150,,BAO_0000357
3468,,8,,,H,,,144,Autocuration,1,,CHEMBL618151,,BAO_0000357
3469,,8,,,H,,,144,Autocuration,1,,CHEMBL875094,,BAO_0000357
3470,,8,,,H,,,144,Autocuration,1,,CHEMBL618152,,BAO_0000019
3471,,8,,,H,,,144,Autocuration,1,,CHEMBL618153,,BAO_0000357
3472,,8,,,H,,,144,Autocuration,1,,CHEMBL618888,,BAO_0000357
3473,,8,,,H,,,144,Autocuration,1,,CHEMBL618889,,BAO_0000019
3474,,8,,,H,,,144,Autocuration,1,,CHEMBL618890,,BAO_0000357
3475,,8,,,H,,,144,Autocuration,1,,CHEMBL618891,,BAO_0000019
3476,,8,,,H,,,144,Autocuration,1,,CHEMBL619054,,BAO_0000019
3477,,4,,,H,,,104714,Autocuration,1,,CHEMBL619055,,BAO_0000223
3478,,8,,,H,,,144,Autocuration,1,,CHEMBL619056,,BAO_0000357
3479,,8,,,H,,,144,Autocuration,1,,CHEMBL619057,,BAO_0000019
3480,,8,,,H,,,144,Autocuration,1,,CHEMBL619058,,BAO_0000357
3481,,9,,,D,,Oocytes,12020,Expert,1,,CHEMBL619059,,BAO_0000219
3482,,9,,,D,,Oocytes,12020,Expert,1,,CHEMBL619060,,BAO_0000219
3483,,9,,,D,,Oocytes,12020,Expert,1,,CHEMBL875095,,BAO_0000219
3484,,9,2116.0,,D,Ileum,,20033,Intermediate,1,,CHEMBL619061,,BAO_0000221
3485,,9,2116.0,,D,Ileum,,20033,Intermediate,1,,CHEMBL619062,,BAO_0000221
3486,,9,,,D,,,20033,Intermediate,1,,CHEMBL619063,,BAO_0000019
3487,,9,2116.0,,D,Ileum,,20033,Intermediate,1,,CHEMBL619064,,BAO_0000221
3488,,9,,,D,,,20033,Intermediate,1,,CHEMBL619065,,BAO_0000357
3489,,9,2116.0,,D,Ileum,,20033,Intermediate,1,,CHEMBL619066,,BAO_0000221
3490,,8,2116.0,,H,Ileum,,10209,Autocuration,1,,CHEMBL619775,,BAO_0000221
3491,,8,,,H,,,10209,Autocuration,1,,CHEMBL619776,,BAO_0000357
3492,,4,,,H,,,104841,Autocuration,1,,CHEMBL619777,,BAO_0000224
3493,,4,,,H,,,104841,Autocuration,1,,CHEMBL619778,,BAO_0000224
3494,,4,2116.0,,H,Ileum,,104841,Autocuration,1,,CHEMBL619779,,BAO_0000221
3495,,4,,,H,,,104841,Autocuration,1,,CHEMBL619780,,BAO_0000224
3496,,4,,,H,,,104841,Autocuration,1,,CHEMBL619166,,BAO_0000224
3497,,4,,,H,,,104841,Autocuration,1,,CHEMBL619167,,BAO_0000019
3498,,4,,,H,,,104841,Autocuration,1,,CHEMBL619168,,BAO_0000019
3499,,9,2081.0,,D,Cardiac atrium,,168,Expert,1,,CHEMBL619169,,BAO_0000219
3500,,9,2081.0,,D,Cardiac atrium,,168,Expert,1,,CHEMBL619170,,BAO_0000219
3501,,5,,,D,,,104841,Autocuration,1,,CHEMBL619171,,BAO_0000019
3502,,9,2081.0,,D,Cardiac atrium,,168,Expert,1,,CHEMBL619172,,BAO_0000219
3503,,0,,,U,,,22226,Autocuration,1,,CHEMBL619173,,BAO_0000019
3504,,0,,,U,,,22226,Autocuration,1,,CHEMBL619174,,BAO_0000019
3505,,4,,,H,,,104705,Autocuration,1,,CHEMBL619175,,BAO_0000019
3506,,4,,,H,,,104705,Autocuration,1,,CHEMBL619176,,BAO_0000224
3507,,4,,,H,,,104705,Autocuration,1,,CHEMBL619177,,BAO_0000019
3508,,4,,,H,,,104705,Autocuration,1,,CHEMBL619178,,BAO_0000224
3509,,4,,,H,,,104705,Autocuration,1,,CHEMBL619179,,BAO_0000224
3510,,4,945.0,,H,Stomach,,104705,Autocuration,1,,CHEMBL619180,,BAO_0000019
3511,,4,945.0,,H,Stomach,,104705,Autocuration,1,,CHEMBL619181,,BAO_0000019
3512,,4,,,H,,,104705,Autocuration,1,,CHEMBL619182,,BAO_0000019
3513,,4,,,H,,,104705,Autocuration,1,,CHEMBL619183,,BAO_0000224
3514,,4,,,H,,,104705,Autocuration,1,,CHEMBL619184,,BAO_0000224
3515,,8,10000000.0,,H,Hippocampus,,10576,Autocuration,1,,CHEMBL619185,,BAO_0000221
3516,,8,,,H,,,12198,Expert,1,,CHEMBL619186,,BAO_0000357
3517,,4,,,H,,,104705,Autocuration,1,,CHEMBL619187,,BAO_0000019
3518,,5,,,D,,,104705,Autocuration,1,,CHEMBL619188,,BAO_0000019
3519,,5,,,D,,,104705,Autocuration,1,,CHEMBL619189,,BAO_0000224
3520,,9,955.0,,D,Brain,,12198,Expert,1,,CHEMBL619190,,BAO_0000019
3521,,9,2037.0,,D,Cerebellum,,12198,Expert,1,,CHEMBL619191,,BAO_0000221
3522,,5,,,D,,,104705,Autocuration,1,,CHEMBL619192,,BAO_0000019
3523,,5,,,D,,,104705,Autocuration,1,,CHEMBL619193,,BAO_0000224
3524,,0,,,U,,,22226,Autocuration,1,,CHEMBL619194,,BAO_0000019
3525,,5,,,D,,,104705,Autocuration,1,,CHEMBL619195,,BAO_0000224
3526,,5,,,D,,,104705,Autocuration,1,,CHEMBL619196,,BAO_0000224
3527,,5,945.0,,D,Stomach,,104705,Autocuration,1,,CHEMBL619197,,BAO_0000019
3528,,9,,,D,,,121,Expert,1,,CHEMBL619198,,BAO_0000219
3529,,9,,,D,,,121,Expert,1,,CHEMBL875081,,BAO_0000219
3530,,8,,,H,,,18065,Autocuration,1,,CHEMBL884712,,BAO_0000357
3531,,8,,,H,,,121,Expert,1,,CHEMBL884710,,BAO_0000357
3532,,8,,,H,,,18065,Autocuration,1,,CHEMBL619199,,BAO_0000019
3533,,8,,,H,,,18065,Autocuration,1,,CHEMBL619200,,BAO_0000019
3534,,8,,,H,,,18065,Autocuration,1,,CHEMBL619201,,BAO_0000019
3535,,8,,,H,,,18065,Autocuration,1,,CHEMBL619202,,BAO_0000019
3536,,9,,,D,,CHO,51,Expert,1,,CHEMBL619203,449.0,BAO_0000219
3537,,9,,,D,,,51,Expert,1,,CHEMBL619204,,BAO_0000019
3538,,8,,,H,,,10576,Autocuration,1,,CHEMBL619205,,BAO_0000249
3539,,8,,,H,,,10576,Autocuration,1,,CHEMBL619206,,BAO_0000357
3540,,8,,,H,,,10576,Expert,1,,CHEMBL619207,,BAO_0000249
3541,,8,2435.0,,H,Striatum,,10825,Autocuration,1,,CHEMBL619208,,BAO_0000019
3542,,8,2435.0,,H,Striatum,,10825,Autocuration,1,,CHEMBL619209,,BAO_0000019
3543,,8,2435.0,,H,Striatum,,10825,Autocuration,1,,CHEMBL619210,,BAO_0000019
3544,,8,2435.0,,H,Striatum,,10825,Autocuration,1,,CHEMBL619211,,BAO_0000019
3545,,8,2435.0,,H,Striatum,,10825,Autocuration,1,,CHEMBL619212,,BAO_0000019
3546,,8,2435.0,,H,Striatum,,10825,Autocuration,1,,CHEMBL620681,,BAO_0000019
3547,,8,2435.0,,H,Striatum,,10825,Autocuration,1,,CHEMBL620682,,BAO_0000019
3548,,8,2435.0,,H,Striatum,,10825,Autocuration,1,,CHEMBL620683,,BAO_0000019
3549,,8,2435.0,,H,Striatum,,10825,Autocuration,1,,CHEMBL620684,,BAO_0000019
3550,,8,2435.0,,H,Striatum,,10825,Autocuration,1,,CHEMBL620685,,BAO_0000019
3551,,8,2435.0,,H,Striatum,,10825,Autocuration,1,,CHEMBL620686,,BAO_0000019
3552,,8,349.0,,H,Limbic system,,10825,Autocuration,1,,CHEMBL620687,,BAO_0000019
3553,,8,349.0,,H,Limbic system,,10825,Autocuration,1,,CHEMBL620688,,BAO_0000019
3554,,8,349.0,,H,Limbic system,,10825,Autocuration,1,,CHEMBL620689,,BAO_0000019
3555,,8,349.0,,H,Limbic system,,10825,Autocuration,1,,CHEMBL620690,,BAO_0000019
3556,,8,349.0,,H,Limbic system,,10825,Autocuration,1,,CHEMBL620691,,BAO_0000019
3557,,8,349.0,,H,Limbic system,,10825,Autocuration,1,,CHEMBL620692,,BAO_0000019
3558,,8,349.0,,H,Limbic system,,10825,Autocuration,1,,CHEMBL620693,,BAO_0000019
3559,,8,,,H,,,168,Expert,1,,CHEMBL620694,,BAO_0000357
3560,,8,,,H,,,168,Autocuration,1,,CHEMBL857986,,BAO_0000019
3561,,8,,,H,,,168,Autocuration,1,,CHEMBL620695,,BAO_0000357
3562,,8,,,H,,,168,Expert,1,,CHEMBL620696,,BAO_0000357
3563,,8,,,H,,,168,Autocuration,1,,CHEMBL620697,,BAO_0000357
3564,,8,,,H,,,168,Autocuration,1,,CHEMBL620698,,BAO_0000357
3565,,8,,,H,,,168,Autocuration,1,,CHEMBL620699,,BAO_0000357
3566,,8,,,H,,,168,Autocuration,1,,CHEMBL620700,,BAO_0000357
3567,,8,,,H,,COS-7,168,Autocuration,1,,CHEMBL620701,643.0,BAO_0000219
3568,,8,,,H,,COS-7,168,Autocuration,1,,CHEMBL875082,643.0,BAO_0000219
3569,,8,,,H,,COS-7,168,Autocuration,1,,CHEMBL620702,643.0,BAO_0000219
3570,,8,,,H,,COS-7,168,Autocuration,1,,CHEMBL620703,643.0,BAO_0000219
3571,,8,,,H,,C6,168,Autocuration,1,,CHEMBL620704,673.0,BAO_0000219
3572,,8,,,H,,C6,168,Expert,1,,CHEMBL620705,673.0,BAO_0000219
3573,,8,,,H,,C6,168,Expert,1,,CHEMBL620706,673.0,BAO_0000219
3574,,8,,,H,,C6,168,Expert,1,,CHEMBL620707,673.0,BAO_0000219
3575,,8,,,H,,,10624,Expert,1,,CHEMBL620708,,BAO_0000357
3576,,8,,,H,,,105,Autocuration,1,,CHEMBL620709,,BAO_0000357
3577,,9,,,D,,,10624,Expert,1,,CHEMBL620710,,BAO_0000357
3578,,8,,,H,,CHO,10624,Autocuration,1,,CHEMBL620711,449.0,BAO_0000219
3579,,9,,,D,,,10624,Expert,1,,CHEMBL620712,,BAO_0000357
3580,,9,,,D,,,10624,Expert,1,,CHEMBL620713,,BAO_0000357
3581,,9,,,D,,,10624,Expert,1,,CHEMBL620714,,BAO_0000357
3582,,9,,,D,,,10624,Expert,1,,CHEMBL620715,,BAO_0000357
3583,,8,,,H,,,10624,Autocuration,1,,CHEMBL620716,,BAO_0000357
3584,,8,,,H,,,10624,Expert,1,,CHEMBL620717,,BAO_0000357
3585,,8,,,H,,,10624,Autocuration,1,,CHEMBL618072,,BAO_0000357
3586,,8,,,H,,,10624,Autocuration,1,,CHEMBL857987,,BAO_0000357
3587,,8,,,H,,HEK293,10624,Autocuration,1,,CHEMBL618073,722.0,BAO_0000219
3588,,8,,,H,,HEK293,10624,Autocuration,1,,CHEMBL618074,722.0,BAO_0000219
3589,,8,,,H,,HEK293,10624,Autocuration,1,,CHEMBL618075,722.0,BAO_0000219
