assay_id,assay_strain,variant_id,assay_tissue,tid,src_assay_id,doc_id,description,assay_type,assay_test_type,assay_category,assay_organism,assay_tax_id,assay_cell_type
2343,,,,104686,,9443,Binding affinity towards 5-hydroxytryptamine 2 receptor at 1.0 uM concentration,B,,,,,
2344,,,,104686,,9699,"Binding affinity towards 5-hydroxytryptamine 2 receptor using [3H]- 1-(4-bromo-2,5-dimethoxy-phenyl)-2-aminopropane (D) as radioligand in rat frontal cortex",B,,,,,
2345,,,,104686,,9699,Binding affinity towards 5-hydroxytryptamine 2 receptor using [3H]- ketanserin as radioligand in rat frontal cortex,B,,,,,
2346,,,,104686,,9098,Binding affinity towards 5-hydroxytryptamine 2 receptor was determined,B,,,,,
2347,,,,104686,,3070,Affinity for 5-hydroxytryptamine 2 receptor,B,,,Rattus norvegicus,10116.0,
2348,,,,104686,,9547,Binding affinity towards serotonin 5-hydroxytryptamine 2 receptor of rat determined using 0.5 nM of [3H]ketanserin in binding assay,B,,,,,
2349,,,,104686,,10444,Binding affinity was determined against 5-hydroxytryptamine 2 receptor from male Sprague-Dawley rat brain.,B,,,,,
2350,,,,104686,,14617,Binding affinity which represents concentration giving half-maximal inhibition of [3H]ketanserin binding to 5-hydroxytryptamine 2 receptor from rat tissue homogenate,B,,,,,
2351,,,,104686,,14617,Binding affinity which represents concentration giving half-maximal inhibition of [3H]ketanserin binding to 5-hydroxytryptamine 2 receptor rat tissue homogenate,B,,,,,
2352,,,,104686,,11130,Binding constant against 5-hydroxytryptamine 2 receptor (in vitro),B,,,,,
2353,,,,104686,,11130,Binding constant against 5-hydroxytryptamine 2 receptor (in vivo),B,In vivo,,,,
2354,,,frain,104686,,14542,Compound is evaluated for binding affinity towards 5-hydroxytryptamine 2 receptor using [3H]ketanserin in rat brain,B,,,,,
2355,,,,104686,,2797,Compound was evaluated for binding affinity against 5-hydroxytryptamine 2 receptor from rat,B,,,,,
2356,,,,104686,,11332,Compound was evaluated for in vitro binding affinity towards 5-hydroxytryptamine 2 receptor in rat cortex using [3H]- spiperone as radioligand,B,,,,,
2357,,,,104686,,11332,Compound was evaluated for in vitro binding affinity towards serotonin 5-hydroxytryptamine 2 receptor in rat cortex using [3H]- spiperone as radioligand,B,,,,,
2358,,,Fr9ntaldortex,104686,,10752,Compound was evaluated for its ability to displace 0.25 nM [125I](R)-DOI from binding sites in rat frontal cortex.,B,,,,,
2359,,,,104686,,1185,Ability to displace [3H]ketanserin from serotonergic 5-hydroxytryptamine 2 receptor,B,,,,,
2360,,,,104686,,1185,Compound was evaluated for its ability to displace [3H]ketanserin from serotonergic 5-hydroxytryptamine 2 receptor,B,,,,,
2361,,,,104686,,11624,Binding affinity against 5-Hydroxy tryptamine 2 (5-hydroxytryptamine 2)receptor,B,,,Rattus norvegicus,10116.0,
2362,,,,104686,,1344,Compound was evaluated for its binding affinity to 5-hydroxytryptamine 2 receptor in rat cortex using [3H]ketanserin radioligand assay,B,,,,,
2363,,,St4iatum,104686,,15453,Binding affinity against 5-hydroxytryptamine 2 receptor in rat striatum using [3H]-RP62203,B,,,Rattus norvegicus,10116.0,
2364,,,,104686,,11662,"Binding affinity towards 5-hydroxytryptamine 2 receptor from frontal cortical regions of male Sprague-Dawley rat homogenates, using [3H]ketanserin as radioligand",B,,,,,
2365,,,,104686,,11662,"Compound was tested for binding affinity towards 5-hydroxytryptamine 2 receptor from frontal cortical regions of male Sprague-Dawley rat homogenates, using [3H]ketanserin as radioligand; Not Determined",B,,,,,
2366,,,,104686,,10796,Compound was tested in vitro for binding affinity for 5-hydroxytryptamine 2 receptor,B,,,,,
2367,,,,104686,,9069,Evaluated for binding activity against [3H]ketanserin as radioligand for 5-hydroxytryptamine 2 receptor,B,,,,,
2368,,,,104686,,8814,Displacement of [3H]ketanserin from 5-hydroxytryptamine 2 receptor of rat cortical membrane homogenates,B,,,Rattus norvegicus,10116.0,
2369,,,,104686,,8908,Displacement of [3H]ketanserin from 5-hydroxytryptamine 2 receptor of rat cortex,B,,,Rattus norvegicus,10116.0,
2370,,,,104686,,9098,Evaluated for the binding affinity to rat cortical membranes at 5-hydroxytryptamine 2 receptor binding site by using [3H]- KET as a radioligand; ND means no data.,B,,,,,
2371,,,,104686,,9098,Binding affinity to rat cortical membranes at 5-hydroxytryptamine 2 (5-HT2) receptor using [3H]KET as a radioligand,B,,,,,
2372,,,,104686,,9098,Evaluated for the binding affinity to rat cortical membranes at 5-hydroxytryptamine 2 receptor binding site by using [3H]- KET as a radioligand; ND means no data.,B,,,,,
2373,,,,104686,,9098,Evaluated for the binding affinity to rat cortical membranes at 5-hydroxytryptamine 2 receptor binding site by using [3H]- KET as a radioligand.,B,,,,,
2374,,,,104686,,9098,Binding affinity to 5-hydroxytryptamine 2 receptor in rat frontal cortical membranes by [3H]- KET displacement.,B,,,,,
2375,,,,104686,,9098,Evaluated for the binding affinity to rat frontal cortical membranes at 5-hydroxytryptamine 2 receptor binding site by using [3H]- KET as a radioligand.;ND is not determined,B,,,,,
2376,,,,104686,,9098,Evaluated for the binding affinity to rat frontal cortical membranes at 5-hydroxytryptamine 2 receptor binding site by using [3H]- KET as a radioligand;ND means no data,B,,,,,
2377,,,,104686,,9161,In vitro binding affinity at 5-hydroxytryptamine 2 receptor in rat cortical tissue by [3H]spiperone displacement; No data.,B,,,,,
2378,,,,104686,,9161,In vitro 5-hydroxytryptamine 2 receptor affinity by using [3H]spiperone as the radioligand in rat cortical tissue; value may range from 165 to 263,B,,,,,
2379,,,,104686,,9161,In vitro 5-hydroxytryptamine 2 receptor affinity by using [3H]spiperone as the radioligand in rat cortical tissue; value may range from 2.4 to 5.3,B,,,,,
2380,,,,104686,,9161,In vitro 5-hydroxytryptamine 2 receptor affinity by using [3H]-Spiperone as the radioligand in rat cortical tissue.,B,,,,,
2381,,,,104686,,9161,In vitro 5-hydroxytryptamine 2 receptor affinity by using [3H]spiperone as the radioligand in rat cortical tissue.; value may range from 140 to 980,B,,,,,
2382,,,,104686,,9161,In vitro 5-hydroxytryptamine 2 receptor affinity by using [3H]spiperone as the radioligand in rat cortical tissue.; value may range from 76 to 299,B,,,,,
2383,,,,104686,,9161,In vitro 5-hydroxytryptamine 2 receptor affinity by using [3H]-Spiperone as the radioligand in rat cortical tissue; value may range from 12 to 66,B,,,,,
2384,,,,104686,,9161,In vitro 5-hydroxytryptamine 2 receptor affinity by using [3H]spiperone as the radioligand in rat cortical tissue; value may range from 136 to 220,B,,,,,
2385,,,,104686,,9161,In vitro 5-hydroxytryptamine 2 receptor affinity by using [3H]spiperone as the radioligand in rat cortical tissue; value may range from 197 to 341,B,,,,,
2386,,,,104686,,9161,In vitro 5-hydroxytryptamine 2 receptor affinity by using [3H]spiperone as the radioligand in rat cortical tissue; value may range from 23 to 187,B,,,,,
2387,,,,104686,,9161,In vitro 5-hydroxytryptamine 2 receptor affinity by using [3H]spiperone as the radioligand in rat cortical tissue; value may range from 29 to 132,B,,,,,
2388,,,,104686,,9161,In vitro 5-hydroxytryptamine 2 receptor affinity by using [3H]spiperone as the radioligand in rat cortical tissue; value may range from 6 to 75,B,,,,,
2389,,,,104686,,12094,In vitro binding affinity on 5-hydroxytryptamine 2 receptor is inhibition of binding of [125I]- I-LSD to P11 cells,B,,,,,
2390,,,,104686,,12018,In vitro binding affinity towards 5-hydroxytryptamine 2 receptor in rat striatal membranes by [3H]ketanserin displacement.,B,,,,,
2391,,,,104686,,10394,Inhibitory activity against 5-hydroxytryptamine 2 receptor in rat cortical membranes using [3H]ketanserin as a radioligand,B,,,,,
2392,,,,104686,,15260,Inhibitory activity against rat cortical 5-hydroxytryptamine 2 receptor,B,,,,,
2393,,,,104686,,11624,Inhibitory constant against 5-hydroxytryptamine 2 receptor,B,,,Rattus norvegicus,10116.0,
2394,,,,104686,,13654,Percentage specific displacement of radioligand [3H]-ketanserin from 5-hydroxytryptamine 2 receptor,B,,,,,
2395,,,,104686,,9541,Potency to displace [3H]- Spiperone from 5-hydroxytryptamine 2 receptor in rat striatum,B,,,,,
2396,,,,104686,,11933,Tested for binding affinity against 5-hydroxytryptamine 2 receptor from rat frontal cortical regions using [3H]ketanserin as radioligand,B,,,,,
2397,,,,104686,,15538,Tested for binding affinity by measuring displacement of [3H]ketanserin from rat serotonin 5-hydroxytryptamine 2 receptor in rat cortex,B,,,,,
2398,,,,104686,,15538,Tested for binding affinity by measuring displacement of [3H]ketanserin from rat serotonin 5-hydroxytryptamine 2 receptor in rat cortex; NA means Not Active,B,,,,,
2399,,,,104686,,15538,Tested for binding affinity by measuring displacement of [3H]ketanserin from rat serotonin 5-hydroxytryptamine 2 receptor in rat cortex; not determined,B,,,,,
2400,,,,104686,,8841,Displacement of [3H]ketanserin from rat prefrontal cortex 5-hydroxytryptamine 2 receptor,B,,,,,
2401,,,,104686,,1455,Binding affinity to 5-hydroxytryptamine 2 receptor using [3H]ketanserin radioligand assay.,B,,,,,
2402,,,,104686,,1455,Tested for its binding affinity to Tested for its binding affinity to 5-hydroxytryptamine 2 receptor using [3H]-ketanserin radioligand assay using [3H]-ketanserin radioligand assay,B,,,,,
2403,,,,104686,,11752,The ability to inhibit [3H]ketanserin binding to 5-hydroxytryptamine 2 receptor in rat whole brain,B,,,,,
2404,,,Bfain,104686,,11642,The binding affinity was measured on 5-hydroxytryptamine 2 receptor in rat brain tissue,B,,,,,
2405,,,,104686,,12092,The binding affinity was measured on 5-hydroxytryptamine 2 receptor using [3H]- spiperone as radioligand.,B,,,,,
2406,,,,104686,,3967,Binding affinity at 5-hydroxytryptamine 2 receptor from striata wistar rats by [3H]ketanserin displacement.,B,,,,,
2407,,,,104686,,12771,Binding affinity towards 5-hydroxytryptamine 2 receptor,B,,,Rattus norvegicus,10116.0,
2408,,,,104686,,11642,The compound was tested for its binding affinity towards 5-hydroxytryptamine 2 receptor by displacing [3H]ketanserin radioligand in rat cerebral cortex,B,,,,,
2409,,,,104686,,11628,The compound was tested in vitro for binding affinity towards 5-hydroxytryptamine 2 receptor by displacing [125]I-LSD radioligand,B,,,,,
2410,,,,104686,,13654,Percentage specific displacement of radioligand [3H]ketanserin from 5-hydroxytryptamine 2 receptor,B,,,,,
2411,,,,104686,,11200,In vitro antagonistic activity against the contraction induced by 5-HT through 5-hydroxytryptamine 2 receptor in rat thoracic aortic strips,F,,,,,
2412,,,,104686,,11200,In vitro antagonistic activity against the contraction induced by 5-HT through 5-hydroxytryptamine 2 receptor in rat thoracic aortic strips,F,,,,,
2413,,,,104686,,11200,"In vivo inhibitory activity of 10 mg/kg compound in rats against elevation of BP caused by 5-HT (300 ug/kg, iv) through 5-hydroxytryptamine 2 receptor 1 hr after oral administration",F,In vivo,,,,
2414,,,,104686,,11200,"In vivo inhibitory activity of 10 mg/kg compound in rats against elevation of BP caused by 5-HT (300 ug/kg, iv) through 5-hydroxytryptamine 2 receptor 3h after oral administration",F,In vivo,,,,
2415,,,,104686,,11200,"In vivo inhibitory activity of 3 mg/kg compound in rats against elevation of BP caused by 5-HT (300 ug/kg, iv) through 5-hydroxytryptamine 2 receptor 1 hr after oral administration",F,In vivo,,,,
2416,,,,104686,,11200,"In vivo inhibitory activity of 3 mg/kg compound in rats against elevation of BP caused by 5-HT (300 ug/kg, iv) through 5-hydroxytryptamine 2 receptor 3h after oral administration",F,In vivo,,,,
2417,,,Braij,12687,,15436,Affinity for 5-hydroxytryptamine 2A receptor in rat brain cortex by ability to displace [3H]ketanserin,B,,,,,
2418,,,,12687,,15436,Affinity at 5-hydroxytryptamine 2A receptor of the rat brain cortex was assessed on the basis of their ability to displace [3H]ketanserin,B,,,Rattus norvegicus,10116.0,
2419,,,,12687,,14025,Affinity pKi for 5-hydroxytryptamine 2A receptor was measured in rat cortex homogenates,B,,,,,
2420,,,,12687,,4342,Binding affinity of compound towards serotonin 5-hydroxytryptamine 2A receptor was determined,B,,,,,
2421,,,,12687,,13735,Displacement of [3H]ketanserin from 5-HT2A receptor of rat frontal cortex,B,,,Rattus norvegicus,10116.0,
2422,,,,12687,,5816,Binding affinity towards 5-hydroxytryptamine 2A receptor using [3H]ketanserin,B,,,Rattus norvegicus,10116.0,
2423,,,,12687,,14287,Binding affinity was evaluated in vitro by displacement of [3H]ketanserin from 5-hydroxytryptamine 2A receptor on rat cortical membrane,B,,,,,
2424,,,,12687,,15738,In vitro affinity against serotonin ( 5-hydroxytryptamine 2A receptor ) receptor,B,,,,,
2425,,,,12687,,15738,In vitro affinity against serotonin 5-hydroxytryptamine 2A receptor,B,,,Rattus norvegicus,10116.0,
2426,,,,12687,,15026,Compound was tested in vitro for its binding affinity towards 5-hydroxytryptamine 2A receptor from rat frontal cortex using [3H]-ketanserin as radioligand,B,,,,,
2427,,,,12687,,16647,Half-maximal inhibition of [3H]- Ketanserin binding to 5-hydroxytryptamine 2A receptor in rat cerebral cortex homogenate,B,,,,,
2428,,,,12687,,16647,Half-maximal inhibition of [3H]ketanserin binding to 5-hydroxytryptamine 2A receptor in rat tissue homogenate,B,,,,,
2429,,,,12687,,13345,Displacement of [3H]-ketanserin from rat brain 5-hydroxytryptamine 2A receptor,B,,,Rattus norvegicus,10116.0,
2430,,,,12687,,1543,Inhibition constant for in vitro inhibition of [3H]ketanserin binding to rat frontal cortex membranes 5-hydroxytryptamine 2A receptor,B,,,,,
2431,,,,12687,,12444,Inhibition of [3H]ketanserin binding to 5-hydroxytryptamine 2A receptor rat frontal cortex membrane,B,,,,,
2432,,,,12687,,16404,Inhibitory constant on 5-hydroxytryptamine 2A receptor of Rat frontal cortex,B,,,,,
2433,,,,12687,,16404,Inhibitory constant on human 5-hydroxytryptamine 2A receptor transfected in to CHO cells,B,,,,,CHO
2434,,,,12687,,15577,Kinetic inhibition constant evaluated by measuring serotonergic activity,B,,,,,
2435,,,,12687,,15577,Serotonergic activity of the compound.,B,,,,,
2436,,,,12687,,2495,Tested in vitro for its ability to inhibit [3H]ketanserin binding to 5-hydroxytryptamine 2A receptor in rat frontal cortex membranes,B,,,,,
2437,,,,12687,,15042,The binding affinity was evaluated on 5-hydroxytryptamine 2A receptor expressed in rat cortex by using [3H]ketanserin as radioligand.,B,,,Rattus norvegicus,10116.0,
2438,,,,12687,,15026,In vitro ability to displace [3H]ketanserin binding from 5-hydroxytryptamine 2A receptor in rat striatal membrane.,B,,,,,
2439,,,,12687,,12919,Agonistic activity against 5-hydroxytryptamine 2A receptor in rat cortex using [3H]ketanserin,F,,,Rattus norvegicus,10116.0,
2440,,,,12687,,12919,Agonistic activity against 5-hydroxytryptamine 2A receptor in rat cortex using [3H]ketanserin,F,,,Rattus norvegicus,10116.0,
2441,,,,12687,,12919,Agonistic activity against 5-hydroxytryptamine 2A receptor in rat cortex using [3H]ketanserin,F,,,Rattus norvegicus,10116.0,
2442,,,,12687,,15194,The compound was tested for the binding affinity against 5-hydroxytryptamine 2A receptor using [3H]ketanserin as radioligand,B,,,,,
2443,,,,12687,,15194,The compound was tested for the binding affinity against 5-hydroxytryptamine 2A receptor using [3H]ketanserin as radioligand.,B,,,,,
2444,,,,107,,4820,Binding affinity towards 5-hydroxytryptamine 2A receptor,B,,,,,
2445,,,,107,,6736,Binding affinity against serotonin 5-hydroxytryptamine 2A receptor was determined using human [125I]-eotaxin,B,,,,,
2446,,,,107,,5163,Binding affinity towards 5-hydroxytryptamine 2A receptor was determined at a concentration of 0.000001 mol/L,B,,,,,
2447,,,,107,,5163,Binding affinity towards 5-hydroxytryptamine 2A receptor was determined at a concentration of 0.00001 mol/L,B,,,,,
2448,,,,107,,6011,Inhibition of binding towards 5-hydroxytryptamine 2A receptor at 100 nM concentration,B,,,,,
2449,,,,107,,14294,Percent inhibition against 5-hydroxytryptamine 2A receptor using [3H]ketanserin at 1 uM,B,,,Homo sapiens,9606.0,
2450,,,,107,,5014,Percent inhibition (at 1 uM) against 5-hydroxytryptamine 2A receptor,B,,,,,
2451,,,,107,,17066,Binding affinity towards 5-hydroxytryptamine 2A receptor,B,,,,,
2452,,,,107,,17515,Binding affinity of compound towards serotonin 5-hydroxytryptamine 2A receptor; inactive at 10 uM,B,,,,,
2453,,,,107,,6736,Inhibition of [125I]-eotaxin binding to serotonin 5-hydroxytryptamine 2A receptor,B,,,,,
2454,,,,107,,5163,Affinity for 5-hydroxytryptamine 2A receptor,B,,,,,
2455,,,,107,,16911,Binding affinity was performed using [3H]ketanserin as the radioligand and stably transfected NIH3T3 cells expressing the 5-hydroxytryptamine 2A receptor (GF-62 cells).,B,,,,,NIH3T3
2456,,,,107,,6841,Binding affinity towards 5-hydroxytryptamine 2A receptor using [3H]ketanserin,B,,,,,
2457,,,,107,,6119,Binding affinity towards 5-hydroxytryptamine 2A receptor using [125I]DOI as radioligand.,B,,,,,
2458,,,,107,,3962,Compound was evaluated for its binding against 5-hydroxytryptamine 2A receptor,B,,,,,
2459,,,,107,,4373,Binding affinity relative to indolopiperidine (compound 1) for 5-hydroxytryptamine 2A receptor was determined,B,,,,,
2460,,,,107,,4373,Binding affinity relative to indolopiperidine (compound 1)for 5-hydroxytryptamine 2A receptor was determined,B,,,,,
2461,,,,107,,3962,Compound was evaluated for its inverse agonist activity against 5-hydroxytryptamine 2A receptor,F,,,,,
2462,,,,107,,1633,Binding affinity towards 5-hydroxytryptamine 2A receptor by displacement of [3H]ketanserin,B,,,,,
2463,,,,107,,4373,Binding affinity for 5-hydroxytryptamine 2A receptor was determined,B,,,,,
2464,,,,107,,6576,Binding affinity towards serotonin 5-hydroxytryptamine 2A receptor,B,,,,,
2465,,,,107,,4687,Evaluated for the binding affinity towards 5-hydroxytryptamine 2A receptor,B,,,,,
2466,,,,107,,16946,Ability to displace [3H]-ketanserin from 5-hydroxytryptamine 2A receptor,B,,,,,
2467,,,,107,,14159,Compound was evaluated for the affinity at 5-hydroxytryptamine 2A receptor,B,,,,,
2468,,,,107,,3032,In vitro binding affinity against 5-hydroxytryptamine 2A receptor in CHO cells,B,,,Mus musculus,10090.0,CHO
2469,,,,107,,16655,Inhibition of ketanserin binding to 5-hydroxytryptamine 2A receptor,B,,,,,
2470,,,,107,,13964,Binding affinity at 5-hydroxytryptamine 2A receptor,B,,,,,
2471,,,,107,,16989,Binding affinity towards Serotonin 5-hydroxytryptamine 2A receptor,B,,,,,
2472,,,,107,,16117,In vitro binding affinity towards 5-hydroxytryptamine 2A receptor was determined,B,,,,,
2473,,,,107,,16700,The binding affinity towards 5-hydroxytryptamine 2A receptor; No affinity,B,,,,,
2474,,,,107,,3269,Affinity against 5-hydroxytryptamine 2A receptor,B,,,,,
2475,,,,107,,1274,Binding affinity against 5-Hydroxytryptamine 2A receptor,B,,,Homo sapiens,9606.0,
2476,,,,107,,1317,Compound was evaluated for binding affinity against 5-hydroxytryptamine 2A receptor using radioligand binding assay,B,,,,,
2477,,,,107,,12146,Tested against 5-hydroxytryptamine 2A receptor,B,,,,,
2478,,,,105075,,12652,Binding affinity against the site labelled by the 5-hydroxytryptamine 2A receptor - 5-hydroxytryptamine 2C receptor antagonist [3H]- ketanserin,B,,,,,
2479,,,,105075,,12652,Tested for the binding affinity against the site labelled by the 5-hydroxytryptamine 2A receptor - 5-hydroxytryptamine 2C receptor antagonist [3H] ketanserin,B,,,,,
2480,,,,105075,,12652,Tested for the binding affinity against the site labelled by the 5-hydroxytryptamine 2A receptor - 5-hydroxytryptamine 2C receptor agonist [125I]- - (+/-)DOI,B,,,,,
2481,,,,105075,,12652,Tested for the binding affinity against the site labelled by the 5-hydroxytryptamine 2A receptor - 5-hydroxytryptamine 2C receptor antagonist [3H]- ketanserin,B,,,,,
2482,,,,107,,16647,Selectivity ratio towards 5-hydroxytryptamine 2A receptor to Dopamine receptor D2 (5-HT2A/D2 ),B,,,,,
2483,,,,227,,15851,Displacement of [3H]ketanserin from human 5-hydroxytryptamine 2B receptor expressed in HEK293 cells; ND means no data,B,,,Homo sapiens,9606.0,HEK293
2484,,,,227,,6857,Functional activity against human 5-hydroxytryptamine 2B receptor expressed in CHO cells using fluorometric imaging plate reader,F,,,Homo sapiens,9606.0,CHO
2485,,,,227,,3805,In vitro binding affinity against human 5-HT2B receptor at a concentration of 100 (nM),B,,,,,
2486,,,,227,,6491,Affinity towards human 5-hydroxytryptamine 2B serotonin receptor,B,,,Homo sapiens,9606.0,
2487,,,,227,,14093,Agonist activity at cloned human 5-hydroxytryptamine 2B receptor using [3H]5-HT radioligand,F,,,,,
2488,,,,227,,13481,Agonistic activity at cloned human 5-hydroxytryptamine 2B receptor using [3H]-5-HT as radioligand,F,,,,,
2489,,,,227,,14093,Antagonist activity at cloned human 5-hydroxytryptamine 2B receptor using [3H]- rauwolscine radioligand,F,,,,,
2490,,,,227,,14093,Antagonist activity at cloned human 5-hydroxytryptamine 2B receptor using [3H]- rauwolscine radioligand; Not tested,F,,,,,
2491,,,,227,,14093,Antagonist activity at cloned human 5-hydroxytryptamine 2B receptor using [3H]rauwolscine radioligand,F,,,,,
2492,,,,227,,13481,Antagonistic activity at cloned human 5-hydroxytryptamine 2B receptor using [3H]rauwolscine as radioligand,F,,,,,
2493,,,,227,,14442,Binding ability of compound at cloned human 5-hydroxytryptamine 2B receptor using [3H]- rauwolscine as radioligand,B,,,,,
2494,,,,227,,14442,Binding ability of compound at cloned human 5-hydroxytryptamine 2B receptor using [3H]5-HT 2B as radioligand,B,,,,,
2495,,,,227,,14442,Binding ability of compound at cloned human 5-hydroxytryptamine 2B receptor using [3H]rauwolscine as radioligand,B,,,,,
2496,,,,107,,12369,The compound evaluated for its affinity against 5-hydroxytryptamine 2A receptor,B,,,,,
2497,,,,107,,12369,Affinity against 5-hydroxytryptamine 2A receptor (D) labeled with [125I]DOI.,B,,,,,
2498,,,,107,,12369,Affinity against 5-hydroxytryptamine 2A receptor (K) labeled with [3H]ketanserin.,B,,,,,
2499,,,,107,,14447,The compound was tested for CNS binding affinity towards 5-hydroxytryptamine 2A receptor from cloned Human membranes,B,,,,,
2500,,,,107,,14447,The compound was tested for CNS binding affinity towards 5-hydroxytryptamine 2A receptor from cloned Human membranes.,B,,,,,
2501,,,,107,,17451,Binding constant towards serotonin receptor subtype 5-hydroxytryptamine 2A receptor expressed in 3T3 cells using [3H]5-HT as radioligand; Not determined,B,,,,,NIH3T3
2502,,,,107,,6857,Relative efficacy against human 5-hydroxytryptamine 2A receptor expressed in CHO cells using fluorometric imaging plate reader relative to 10 uM 5-HT,F,,,,,CHO
2503,,,,107,,6857,Relative efficacy against human 5-hydroxytryptamine 2A receptor expressed in CHO cells using fluorometric imaging plate reader relative to 10 uM 5-HT,F,,,Homo sapiens,9606.0,CHO
2504,,,,104817,,5635,Selectivity ratio of binding affinity of 5-hydroxytryptamine 2A receptor to that of 5-hydroxytryptamine 2C receptor.,B,,,,,
2505,,,,107,,12861,Binding activity radioligand.,B,,,,,
2506,,,,107,,12861,Binding activity against 5-hydroxytryptamine 2C receptor from human brain cortex using [3H]mesulergine as radioligand.,B,,,,,
2507,,,,107,,5105,Binding affinity for human cloned 5-HT2A receptor expressed in L929 cells using [125I]R91150 as radioligand,B,,,,,L929
2508,,,,107,,5104,Binding affinity for human cloned 5-hydroxytryptamine 2A receptor expressed in L929 cells using [125I]R91150 as radioligand,B,,,,,L929
2509,,,,107,,5105,Binding affinity at human cloned 5-hydroxytryptamine 2A receptor expressed in L929 cells by [125I]R91150 displacement.,B,,,,,L929
2510,,,,107,,5105,Binding affinity for human cloned 5-hydroxytryptamine 2A receptor expressed in L929 cells using [125I]R91150 as radioligand; Not tested,B,,,,,L929
2511,,,,107,,5254,Binding affinity against 5-HT2A receptor,B,,,,,
2512,,,,107,,5254,Binding affinity against 5-hydroxytryptamine 2A receptor,B,,,,,
2513,,,,107,,13267,Antagonistic binding affinity measured against 5-hydroxytryptamine 2A receptor (human clone expressed in 293 cells) using [3H]ketanserin as radioligand,B,,,,,HEK293
2514,,,,107,,13267,Antagonistic binding affinity measured against 5-hydroxytryptamine 2C receptor (human clone expressed in 293 cells) using [3H]mesulergine as radioligand,B,,,,,HEK293
2515,,,,107,,14157,Displacement of [3H]ketanserin from 5-hydroxytryptamine 2A receptor expressed in HEK 293 cells,B,,,Homo sapiens,9606.0,HEK293
2516,,,,107,,12936,Binding affinity against human 5-hydroxytryptamine 2A receptor expressed in 293 cells using [3H]ketanserin,B,,,Homo sapiens,9606.0,HEK293
2517,,,,107,,14068,Binding affinity against human 5-hydroxytryptamine 2A receptor using displacement of [3H]5-HT,B,,,,,
2518,,,,107,,12936,Binding affinity against human 5-hydroxytryptamine 2A receptor expressed in 293 cells using [3H]ketanserin,B,,,Homo sapiens,9606.0,HEK293
2519,,,,107,,12936,Binding affinity against human 5-hydroxytryptamine 2A receptor expressed in 293 cells using [3H]ketanserin,B,,,Homo sapiens,9606.0,HEK293
2520,,,,107,,4540,Binding affinity to human cloned 5-hydroxytryptamine 2A receptor in HEK 293 cells using [3H]- ketanserin as radioligand,B,,,Homo sapiens,9606.0,HEK293
2521,,,,107,,6166,Binding affinity at human cloned 5-hydroxytryptamine 2A receptor.,B,,,,,
2522,,,,107,,17296,Binding affinity against 5-hydroxytryptamine 2A receptor human cloned receptors in HEK 293 cells using [3H]ketanserin as radioligand,B,,,,,HEK293
2523,,,,107,,17296,Binding affinity against 5-hydroxytryptamine 2A receptor human cloned receptors in HEK 293 cells using [3H]ketanserin as radioligand,B,,,,,HEK293
2524,,,,107,,17296,Binding affinity against 5-hydroxytryptamine 2A receptor human cloned receptorswithouteffect in HEK 293 cells using [3H]ketanserin as radioligand,B,,,,,HEK293
2525,,,,107,,15779,Binding affinity towards 5-hydroxytryptamine 2A receptor (human cloned receptor) in HEK 293 cells using [3H]ketanserin as radioligand.,B,,,Homo sapiens,9606.0,HEK293
2526,,,,107,,14391,Binding affinity towards human 5-hydroxytryptamine 2A receptor expressed in HEK 293 cells using [3H]ketanserin as radioligand,B,,,,,HEK293
2527,,,,107,,15851,"Binding affinity towards human cloned 5-hydroxytryptamine receptor 2A in HEK293 cells, using [3H]ketanserin as radioligand.",B,,,,,HEK293
2528,,,,107,,15851,Displacement of [3H]ketanserin from human 5-hydroxytryptamine 2A receptor expressed in HEK293 cells; compound is insoluble,B,,,Homo sapiens,9606.0,HEK293
2529,,,,107,,3832,Binding affinity towards human cloned 5-hydroxytryptamine 2A receptor of HEK293 cells by displacement of [3H]ketanserin,B,,,,,HEK293
2530,,,,107,,3833,In vitro binding affinity at human cloned 5-hydroxytryptamine 2A receptor of HEK293 cells by [3H]ketanserin displacement.,B,,,,,HEK293
2531,,,,107,,12936,Binding affinity against human 5-hydroxytryptamine 2A receptor expressed in 293 cells using [3H]ketanserin,B,,,Homo sapiens,9606.0,HEK293
2532,,,,107,,17451,Binding constant towards serotonin receptor subtype 5-hydroxytryptamine 2A receptor expressed in 3T3 cells using [3H]5-HT as radioligand,B,,,,,NIH3T3
2533,,,,107,,17451,Binding constant towards serotonin receptor subtype 5-hydroxytryptamine 2A receptor expressed in 3T3 cells using [3H]5-HT as radioligand; Not determined,B,,,,,NIH3T3
2534,,,,107,,17451,Binding constant towards serotonin receptor subtype 5-hydroxytryptamine 2A receptor expressed in 3T3 cells using [3H]5-HT as radioligand; Not determined,B,,,,,NIH3T3
2535,,,,107,,4199,Compound was evaluated for binding affinity against human cloned 5-hydroxytryptamine 2A receptor in HEK 293 cells using [3H]ketanserin as the radioligand,B,,,,,HEK293
2536,,,,107,,1883,Compound was evaluated for displacement of [3H]ketanserin from human cloned 5-hydroxytryptamine 2A receptor in transfected CHO-K1 cells,B,,,,,CHO-K1
2537,,,,107,,1883,Displacement of [3H]-ketanserin from human cloned 5-hydroxytryptamine 2A receptor expressed in CHO-K1 cells.,B,,,,,CHO-K1
