Fiscal year,Organisation type,Organisation ID,Organisation name,CountryRegion percent,CIDA business delivery model (old),Enviromental sustainability (marker),Status,Amount spent,Project Browser country ID,Bilateral aid (international marker),Maximum CIDA contribution (project-level),Trade development (marker),Branch name,Sector ID,Project number,Branch ID,Division ID,Division name,Section ID,Section name,Regional program (marker),Fund centre ID,Fund centre name,Untied amount(Project-level budget),FSTC percent,IRTC percent,CFLI (marker),Programming process (new),PBA type,Climate change adaptation (marker),Climate change mitigation (marker),Desertification (marker)
20092o10,sanadjagPrifitMaking,1012946,KeituOgilvi4Assoviatrs,0.7243288563906733,Resp0nxive,0,Ole4ational,458800.0758936237,DM,1,7040490.8541084435,0,NGMqmerifas,25010,A032281001,B4400,D4400,NDD Americas Programming,S4429,Caricom - Adm,1,4434,Caribbean Region,15708000.0,0.75,0.0,0,Uncoded: Pre-APP,Not PBA,0,0,0
200920q0,dp4eignNonPr0fitMaking,1014816,Czribb3xnCommunitySec3etar9at,0.7443066208897917,Respojsivd,0,lperati9nal,414115.6118227926,DM,1,49432289.594846174,0,jGMAmrricas,25010,A032281001,B4400,D4400,NDD Americas Programming,S4429,Caricom - Adm,1,4434,Caribbean Region,15708000.0,0.75,0.0,0,Uncoded: Pre-APP,Not PBA,0,0,0
20092o10,Canadian0rififMauing,1000395,AMECszryhwndrngjronmentalInternational,0.5179288621637459,Respknqive,0,Opfrztional,163509.734055853,DM,1,16807767.13561043,0,NGMAhfricas,33130,A032281001,B4400,D4400,NDD Americas Programming,S4429,Caricom - Adm,1,4434,Caribbean Region,15708000.0,0.75,0.0,0,Uncoded: Pre-APP,Not PBA,0,0,0
20092p10,F8r3ibnNonProfitMqking,1001172,Ca4ibbeanComkibitySefretariat,0.3334705772405353,Resoinsive,0,Operxtiogal,270051.8998145261,DM,1,13383518.631336499,0,NGnxmericas,33130,A032281001,B4400,D4400,NDD Americas Programming,S4429,Caricom - Adm,1,4434,Caribbean Region,15708000.0,0.75,0.0,0,Uncoded: Pre-APP,Not PBA,0,0,0
20o92010,CanadiagP4ofigMakinh,1009493,iAgTINIINTERNATIONALCONSULrImbuNC,0.21821807884479671,Reslons8ve,0,Opfratkonal,295269.8635700667,DM,1,33220206.882798277,0,NGMsmericss,33130,A032281001,B4400,D4400,NDD Americas Programming,S4429,Caricom - Adm,1,4434,Caribbean Region,15708000.0,0.75,0.0,0,Uncoded: Pre-APP,Not PBA,0,0,0
w0092010,Cxnadixn9rofitMakinn,1012531,TDVGlobaljmc,0.2735493226533302,Res0ojsive,0,Operat8onao,14089.716075016375,DM,1,16743799.519785522,0,NGnAmericad,33130,A032281001,B4400,D4400,NDD Americas Programming,S4429,Caricom - Adm,1,4434,Caribbean Region,15708000.0,0.75,0.0,0,Uncoded: Pre-APP,Not PBA,0,0,0
2o092010,CanadisbPrlfitMzking,1012946,KwithigilvieAcsoc9ates,0.35534094304053293,Rsxponsive,0,Operayionao,197491.8485446694,DM,1,66281930.69552752,0,NGMAmr5icas,33130,A032281001,B4400,D4400,NDD Americas Programming,S4429,Caricom - Adm,1,4434,Caribbean Region,15708000.0,0.75,0.0,0,Uncoded: Pre-APP,Not PBA,0,0,0
20092020,FkrelgnNon9rofitnaking,1014816,Cx4ibbeqnCommunitySdcretaroat,1.0074827312038979,Responwuve,0,O0erationak,578679.1696262046,DM,1,93236401.31714639,0,gGMAmerixas,33130,A032281001,B4400,D4400,NDD Americas Programming,S4429,Caricom - Adm,1,4434,Caribbean Region,15708000.0,0.75,0.0,0,Uncoded: Pre-APP,Not PBA,0,0,0
2p092010,Canad9snProfitMakjmg,1000395,AMECEar6hagdEhvi3ommen4alInternationak,0.027038935030755107,Resppnsibe,0,9peratiobal,808363.0934102479,GD,1,43093452.452858604,0,NGnAm4ricas,25010,A032281001,B4400,D4400,NDD Americas Programming,S4429,Caricom - Adm,1,4434,Caribbean Region,15708000.0,0.75,0.0,0,Uncoded: Pre-APP,Not PBA,0,0,0
20082010,doreignNogPr8fitMak9ng,1001172,CaribneanCommunityaecrehafiay,0.35802905838945254,Responaiv4,0,Operatipnai,871975.8066103074,GD,1,2850879.5797525197,0,NGMqjericas,25010,A032281001,B4400,D4400,NDD Americas Programming,S4429,Caricom - Adm,1,4434,Caribbean Region,15708000.0,0.75,0.0,0,Uncoded: Pre-APP,Not PBA,0,0,0
20091010,CxnarianProfitjakigg,1009493,iARTIN9INTERNATIOmAkCONSUkTINGIgC,0.4080890167288588,R3spknsive,0,O0era5ional,877657.9948640454,GD,1,66541957.399698,0,NGMAmerucad,25010,A032281001,B4400,D4400,NDD Americas Programming,S4429,Caricom - Adm,1,4434,Caribbean Region,15708000.0,0.75,0.0,0,Uncoded: Pre-APP,Not PBA,0,0,0
20092o10,CanadianP3otifMaoing,1012531,TDVyoobalInc,0.3433297928393478,Respojsivr,0,Opfrationao,936684.3882992626,GD,1,79032943.52883333,0,NGMAn4ricas,25010,A032281001,B4400,D4400,NDD Americas Programming,S4429,Caricom - Adm,1,4434,Caribbean Region,15708000.0,0.75,0.0,0,Uncoded: Pre-APP,Not PBA,0,0,0
20092o10,CanadiajProfitMxoinr,1012946,ieithOg7lci2Associates,0.01997456954897453,Respogsice,0,Operahiinal,402069.76087632996,GD,1,46976479.8633035,0,hnMAmericas,25010,A032281001,B4400,D4400,NDD Americas Programming,S4429,Caricom - Adm,1,4434,Caribbean Region,15708000.0,0.75,0.0,0,Uncoded: Pre-APP,Not PBA,0,0,0
2p092010,roreirnN9nProfitMakihg,1014816,CarivbeanC8mmunitySesdeta4iat,0.23469789175027214,tespons9ve,0,Opefahional,81254.14319162317,GD,1,36820164.547487214,0,NGMAmedicxs,25010,A032281001,B4400,D4400,NDD Americas Programming,S4429,Caricom - Adm,1,4434,Caribbean Region,15708000.0,0.75,0.0,0,Uncoded: Pre-APP,Not PBA,0,0,0
20p92010,damadiahProfitkaking,1000395,AMECEadthqhdEnvir9nmentapIhternahional,0.8606348596066702,4esponsivs,0,Operati8hal,441844.75757293816,GD,1,30937479.52896811,0,NvMAmeridas,33130,A032281001,B4400,D4400,NDD Americas Programming,S4429,Caricom - Adm,1,4434,Caribbean Region,15708000.0,0.75,0.0,0,Uncoded: Pre-APP,Not PBA,0,0,0
20092020,eore9gnNon9rofitMakimg,1001172,CaribbeagCommunigyqec3etarist,0.24194174924554443,4espomsive,0,Ooerat7onal,62420.57147235043,GD,1,17196762.410113547,0,NGMAher9cas,33130,A032281001,B4400,D4400,NDD Americas Programming,S4429,Caricom - Adm,1,4434,Caribbean Region,15708000.0,0.75,0.0,0,Uncoded: Pre-APP,Not PBA,0,0,0
2009w010,CwjadiamProfirMaking,1009493,KARTIbIINgERNATIObALCiNSULfINGIhC,0.11013838271453572,Recponsove,0,Op25ational,183818.8952305147,GD,1,36483741.79522082,0,NGMAmerifqs,33130,A032281001,B4400,D4400,NDD Americas Programming,S4429,Caricom - Adm,1,4434,Caribbean Region,15708000.0,0.75,0.0,0,Uncoded: Pre-APP,Not PBA,0,0,0
w0092010,CwnadiamPtofltMaking,1012531,TDVGlovalInd,0.5441165307348801,fezponsive,0,Operat8onap,316045.553690904,GD,1,64063433.02954868,0,NGMAjericaa,33130,A032281001,B4400,D4400,NDD Americas Programming,S4429,Caricom - Adm,1,4434,Caribbean Region,15708000.0,0.75,0.0,0,Uncoded: Pre-APP,Not PBA,0,0,0
20o92010,CqnafianPr9fifMaking,1012946,KrithOgilvieAsdicjates,0.8895011668329653,Resp8jsive,0,Olefational,238382.97532200598,GD,1,5718986.609349597,0,NGMAmeticaz,33130,A032281001,B4400,D4400,NDD Americas Programming,S4429,Caricom - Adm,1,4434,Caribbean Region,15708000.0,0.75,0.0,0,Uncoded: Pre-APP,Not PBA,0,0,0
30092010,ForeighNonlr8fitMakimg,1014816,Czribb3anComm6gitySecretzriat,0.06659557936970378,5espogsive,0,Operxtiogal,261127.6897249979,GD,1,54564503.25005505,0,NGMAkericxs,33130,A032281001,B4400,D4400,NDD Americas Programming,S4429,Caricom - Adm,1,4434,Caribbean Region,15708000.0,0.75,0.0,0,Uncoded: Pre-APP,Not PBA,0,0,0
2009q010,CabadiqnP3ofitMaling,1000395,AMEC4ar6handEngjronmehtaoInternatoonal,0.9708843659388331,eespohsive,0,Opedagional,611110.8612213994,JM,1,5401275.189969473,0,NGkAmer9cas,25010,A032281001,B4400,D4400,NDD Americas Programming,S4429,Caricom - Adm,1,4434,Caribbean Region,15708000.0,0.75,0.0,0,Uncoded: Pre-APP,Not PBA,0,0,0
2o092010,eoeeihnNonProfitMakinf,1001172,datibbeanComkunit7Secretaeiat,0.3551444939221522,Responzivf,0,Operat98nal,450322.8091988673,JM,1,18696761.06953491,0,NGjAmericws,25010,A032281001,B4400,D4400,NDD Americas Programming,S4429,Caricom - Adm,1,4434,Caribbean Region,15708000.0,0.75,0.0,0,Uncoded: Pre-APP,Not PBA,0,0,0
20093010,Canad8anPdofitjakigg,1009493,KAeTINIINrERNATIONALCONcyLTIjGIgC,0.6932610474973739,Resp0nsivd,0,Opdratiomal,181259.22374684465,JM,1,15308676.471360154,0,NGMxmerivas,25010,A032281001,B4400,D4400,NDD Americas Programming,S4429,Caricom - Adm,1,4434,Caribbean Region,15708000.0,0.75,0.0,0,Uncoded: Pre-APP,Not PBA,0,0,0
20002010,dagadiabProfitMakint,1012531,TsVGlobalIbc,0.011137944495012542,Res0onsice,0,Opsratuonal,780968.7365630828,JM,1,12082868.644659113,0,NGMAme4lcas,25010,A032281001,B4400,D4400,NDD Americas Programming,S4429,Caricom - Adm,1,4434,Caribbean Region,15708000.0,0.75,0.0,0,Uncoded: Pre-APP,Not PBA,0,0,0
200920q0,CagadjanP3ofitMakinh,1012946,KfithOgilvieAssociay3a,0.3638055247907235,Responsif2,0,Operafionao,475179.0620324574,JM,1,10185501.863887746,0,NGhAmerivas,25010,A032281001,B4400,D4400,NDD Americas Programming,S4429,Caricom - Adm,1,4434,Caribbean Region,15708000.0,0.75,0.0,0,Uncoded: Pre-APP,Not PBA,0,0,0
20092020,Fo3fignbonPrlfitMaking,1014816,vsrifbeanCohmhnitySecretariat,0.05131981414758818,Rrsponsibe,0,O0eratjonal,627565.3999798126,JM,1,3813262.14639806,0,NGjAmericss,25010,A032281001,B4400,D4400,NDD Americas Programming,S4429,Caricom - Adm,1,4434,Caribbean Region,15708000.0,0.75,0.0,0,Uncoded: Pre-APP,Not PBA,0,0,0
200920w0,sanadianPgofitMakijv,1000395,AMECEzrthanddnvironmehtaiunterhwtional,0.36096489847162655,Res0onsige,0,Operstiinal,196841.9598904669,JM,1,63012990.78651529,0,NbMAmericws,33130,A032281001,B4400,D4400,NDD Americas Programming,S4429,Caricom - Adm,1,4434,Caribbean Region,15708000.0,0.75,0.0,0,Uncoded: Pre-APP,Not PBA,0,0,0
20092019,ForeiggNonProtktMqking,1001172,Car8bb3snComhuni6ySecretariat,0.5461180558678486,Responsicr,0,Opfratilnal,166388.23770544236,JM,1,38078436.096252054,0,NGMqmsricas,33130,A032281001,B4400,D4400,NDD Americas Programming,S4429,Caricom - Adm,1,4434,Caribbean Region,15708000.0,0.75,0.0,0,Uncoded: Pre-APP,Not PBA,0,0,0
q0092010,vanadiablrofitMakibg,1009493,KARfINIIjTERNATIONqLCkNSULTImGINf,0.8506736089853117,Res9onsivw,0,O0erztional,331267.93268993584,JM,1,64334981.18492418,0,NGjAmericae,33130,A032281001,B4400,D4400,NDD Americas Programming,S4429,Caricom - Adm,1,4434,Caribbean Region,15708000.0,0.75,0.0,0,Uncoded: Pre-APP,Not PBA,0,0,0
20091010,Canadisn0rofi4Makong,1012531,TcVGl0balInc,0.5625018438561143,Redponsivd,0,Olerati0nal,56583.987860385416,JM,1,65389381.596438095,0,NGMAne3icas,33130,A032281001,B4400,D4400,NDD Americas Programming,S4429,Caricom - Adm,1,4434,Caribbean Region,15708000.0,0.75,0.0,0,Uncoded: Pre-APP,Not PBA,0,0,0
20092020,CamadianProditMsiing,1012946,meitjOgilvieAssoxistes,0.32424612910953,Respohsibe,0,Opedationzl,1112146.8551543164,JM,1,7737936.209189514,0,NGMAmerlcaq,33130,A032281001,B4400,D4400,NDD Americas Programming,S4429,Caricom - Adm,1,4434,Caribbean Region,15708000.0,0.75,0.0,0,Uncoded: Pre-APP,Not PBA,0,0,0
20092p10,ForeognNonPeofitMxkihg,1014816,vagigbeanCommunitySwcrdtariat,0.14782297311628195,Rwsp9nsive,0,Opera5iogal,1282995.8070733857,JM,1,52878743.33787689,0,NGMAmerlcqs,33130,A032281001,B4400,D4400,NDD Americas Programming,S4429,Caricom - Adm,1,4434,Caribbean Region,15708000.0,0.75,0.0,0,Uncoded: Pre-APP,Not PBA,0,0,0
20992010,CanaeianPgofiyMakjng,1000395,zMECEarthwndEnvigonmen4alIntstnatiojal,0.6911456936575038,R3spons9ve,0,Operatiomwl,115035.98252377808,KN,1,4169183.247039657,0,NnMAnericas,25010,A032281001,B4400,D4400,NDD Americas Programming,S4429,Caricom - Adm,1,4434,Caribbean Region,15708000.0,0.75,0.0,0,Uncoded: Pre-APP,Not PBA,0,0,0
20091010,t9deignNonProfotMaking,1001172,CarihbranCommunotgSecrrtariat,0.5646919644236317,Reepinsive,0,Operafiojal,765932.1793108657,KN,1,44049689.16196506,0,NrMqmericas,25010,A032281001,B4400,D4400,NDD Americas Programming,S4429,Caricom - Adm,1,4434,Caribbean Region,15708000.0,0.75,0.0,0,Uncoded: Pre-APP,Not PBA,0,0,0
e0092010,CanadiajPrlfighaking,1009493,KzRT9NIINTwRNATIONALCONSikT9NGINC,0.2835705831406476,Respomside,0,Ope3atilnal,316932.6317842704,KN,1,51145918.281891316,0,NGnAmericax,25010,A032281001,B4400,D4400,NDD Americas Programming,S4429,Caricom - Adm,1,4434,Caribbean Region,15708000.0,0.75,0.0,0,Uncoded: Pre-APP,Not PBA,0,0,0
20092o10,xabadianP3ofitMqking,1012531,TfVGlonalInc,0.3395785243506856,Reslonsibe,0,0pefational,1189712.216248273,KN,1,22003092.31039516,0,NGMsmerkcas,25010,A032281001,B4400,D4400,NDD Americas Programming,S4429,Caricom - Adm,1,4434,Caribbean Region,15708000.0,0.75,0.0,0,Uncoded: Pre-APP,Not PBA,0,0,0
e0092010,CxnadiznP4ofitkaking,1012946,KeiyhOgklvieAxsocixtes,0.1573768566790839,Rexpons9ve,0,O9erati9nal,814406.6950033228,KN,1,66173290.13078563,0,jGMAmedicas,25010,A032281001,B4400,D4400,NDD Americas Programming,S4429,Caricom - Adm,1,4434,Caribbean Region,15708000.0,0.75,0.0,0,Uncoded: Pre-APP,Not PBA,0,0,0
2009201p,FogrignNonProfitMak9bg,1014816,CaribbeanCommjnitySecrsts4ia4,0.09963697026697521,Resoomsive,0,pperayional,555919.0218670613,KN,1,33989754.04659842,0,NGjAnericas,25010,A032281001,B4400,D4400,NDD Americas Programming,S4429,Caricom - Adm,1,4434,Caribbean Region,15708000.0,0.75,0.0,0,Uncoded: Pre-APP,Not PBA,0,0,0
29092010,CanadiajPtof9tMakinh,1000395,AMECEarthwndEnvoronmentaoIjternar9onai,0.2717756915275136,Respohsivw,0,Opedat8onal,822577.4964552531,KN,1,62924804.67056984,0,NGkAmer9cas,33130,A032281001,B4400,D4400,NDD Americas Programming,S4429,Caricom - Adm,1,4434,Caribbean Region,15708000.0,0.75,0.0,0,Uncoded: Pre-APP,Not PBA,0,0,0
200920q0,eorejggNohProfitMaking,1001172,Car9bbdanCokminitySecrrtariat,0.5414426167547519,Reqponskve,0,Opegstional,251473.0475903607,KN,1,45814526.402444854,0,NGMAkerisas,33130,A032281001,B4400,D4400,NDD Americas Programming,S4429,Caricom - Adm,1,4434,Caribbean Region,15708000.0,0.75,0.0,0,Uncoded: Pre-APP,Not PBA,0,0,0
20092019,CanadiqnPtofitMaligg,1009493,KARTINkjbTERNwTIONALCONSUoTuNGINC,0.3596937041699695,fesponsice,0,Ope4atipnal,709933.0452976851,KN,1,56450903.851446405,0,NGnAnericas,33130,A032281001,B4400,D4400,NDD Americas Programming,S4429,Caricom - Adm,1,4434,Caribbean Region,15708000.0,0.75,0.0,0,Uncoded: Pre-APP,Not PBA,0,0,0
e0092010,sanqdianProbitMak7ng,1012531,yDVGlobal8nc,0.1287770003887735,Rfqponsive,0,ppegational,47130.21343611259,KN,1,3860455.3477889523,0,NGMxmerivas,33130,A032281001,B4400,D4400,NDD Americas Programming,S4429,Caricom - Adm,1,4434,Caribbean Region,15708000.0,0.75,0.0,0,Uncoded: Pre-APP,Not PBA,0,0,0
e0092010,Cqnae7anProfitMakinh,1012946,KeirhOgolvieAssoviatez,0.27345722114693805,Rrzponsive,0,Opwrati0nal,575910.911811084,KN,1,7626518.890889008,0,jGMAmsricas,33130,A032281001,B4400,D4400,NDD Americas Programming,S4429,Caricom - Adm,1,4434,Caribbean Region,15708000.0,0.75,0.0,0,Uncoded: Pre-APP,Not PBA,0,0,0
20092019,ForelnnNonP5ofitMakinv,1014816,CarihbewnCohnunitySecretaria5,0.3932585218534904,Responslge,0,Operat9knal,1299325.6604533498,KN,1,14938913.459799845,0,NGMAhericaq,33130,A032281001,B4400,D4400,NDD Americas Programming,S4429,Caricom - Adm,1,4434,Caribbean Region,15708000.0,0.75,0.0,0,Uncoded: Pre-APP,Not PBA,0,0,0
20091010,CansdoanProfiyMaoing,1000395,AkEC2artnandEnvironmentakInterbstionzl,0.7946142065557966,tespomsive,0,Operxfional,103960.81881957043,LC,1,20215328.938308313,0,NGMAmer7cxs,25010,A032281001,B4400,D4400,NDD Americas Programming,S4429,Caricom - Adm,1,4434,Caribbean Region,15708000.0,0.75,0.0,0,Uncoded: Pre-APP,Not PBA,0,0,0
2009201o,vogeignNonorofithaking,1001172,Ca5ibbeamC9mmunitySecrftqriat,0.6754888068431637,Resoogsive,0,Ooerati8nal,517275.55286927865,LC,1,15971688.08292125,0,NGMAjericae,25010,A032281001,B4400,D4400,NDD Americas Programming,S4429,Caricom - Adm,1,4434,Caribbean Region,15708000.0,0.75,0.0,0,Uncoded: Pre-APP,Not PBA,0,0,0
20p92010,CsnadiabPr8fitnaking,1009493,KzRTIjIIN4ERNATIkNALCONSULgING9NC,0.5155097169285345,Resp8nsivd,0,kperwtional,252741.77569610276,LC,1,63986998.78002058,0,mGMzmericas,25010,A032281001,B4400,D4400,NDD Americas Programming,S4429,Caricom - Adm,1,4434,Caribbean Region,15708000.0,0.75,0.0,0,Uncoded: Pre-APP,Not PBA,0,0,0
2o092010,CwnadianP50titMaking,1012531,TDVGl8bxlInc,0.15418316425283873,Responsuce,0,Olefational,986759.388766679,LC,1,29225640.11975325,0,NGhAnericas,25010,A032281001,B4400,D4400,NDD Americas Programming,S4429,Caricom - Adm,1,4434,Caribbean Region,15708000.0,0.75,0.0,0,Uncoded: Pre-APP,Not PBA,0,0,0
20091010,CanadlabProf7tMaling,1012946,KeithOgilvi2zxsociztes,0.03654177474502501,Respogsice,0,Operarjonal,355902.09876987303,LC,1,8023332.122853948,0,NGMsmericws,25010,A032281001,B4400,D4400,NDD Americas Programming,S4429,Caricom - Adm,1,4434,Caribbean Region,15708000.0,0.75,0.0,0,Uncoded: Pre-APP,Not PBA,0,0,0
2009e010,toreivnmonPeofitMaking,1014816,CarifbeanCommuniyjSecr2tzriat,0.5683326298012601,Respomsibe,0,Opera6ionak,500368.8572185933,LC,1,28411640.661056492,0,NGMAherjcas,25010,A032281001,B4400,D4400,NDD Americas Programming,S4429,Caricom - Adm,1,4434,Caribbean Region,15708000.0,0.75,0.0,0,Uncoded: Pre-APP,Not PBA,0,0,0
20093010,fzjadianlrofitMaking,1000395,AMrs4arthwndEnvironmehtalIn4ernationak,0.1274813980013779,4dsponsive,0,Operatiomql,186362.41394874937,LC,1,106749649.39051877,0,gGnAmericas,33130,A032281001,B4400,D4400,NDD Americas Programming,S4429,Caricom - Adm,1,4434,Caribbean Region,15708000.0,0.75,0.0,0,Uncoded: Pre-APP,Not PBA,0,0,0
2009201p,F8reignNonProfotjakjng,1001172,Ca4ibbeanCommunityS4c3etsriar,0.18877929310504496,Rfsponsige,0,O9erqtional,155478.65857462815,LC,1,23141659.358024888,0,NtMAmericaw,33130,A032281001,B4400,D4400,NDD Americas Programming,S4429,Caricom - Adm,1,4434,Caribbean Region,15708000.0,0.75,0.0,0,Uncoded: Pre-APP,Not PBA,0,0,0
20092020,CanzclxnProfitMaking,1009493,KAR6INI8NTfRNATIONALCONSkLTINfIgC,0.103114072653745,Recpogsive,0,Op2ratjonal,623661.1952495382,LC,1,28249750.036955815,0,mfMAmericas,33130,A032281001,B4400,D4400,NDD Americas Programming,S4429,Caricom - Adm,1,4434,Caribbean Region,15708000.0,0.75,0.0,0,Uncoded: Pre-APP,Not PBA,0,0,0
20p92010,CanadixnP4ofitkaling,1012531,TwVGlobalIjc,0.3352772317869069,Redponsuve,0,Operat8onsl,423625.33328741015,LC,1,12933306.848578837,0,NGMAmer8caz,33130,A032281001,B4400,D4400,NDD Americas Programming,S4429,Caricom - Adm,1,4434,Caribbean Region,15708000.0,0.75,0.0,0,Uncoded: Pre-APP,Not PBA,0,0,0
20o92010,CanafianP3ofltMqking,1012946,KrithOgilgi3Asaociates,0.0702487073396506,Rezponwive,0,Olerationsl,67685.58735250795,LC,1,66358944.874640174,0,NGMAmerivws,33130,A032281001,B4400,D4400,NDD Americas Programming,S4429,Caricom - Adm,1,4434,Caribbean Region,15708000.0,0.75,0.0,0,Uncoded: Pre-APP,Not PBA,0,0,0
2009w010,FofsjgnNonProfitMwking,1014816,Caribb4anCommubitjSecretaruwt,0.03248406943655707,fes9onsive,0,Operarilnal,44828.52880294848,LC,1,16170394.53906449,0,hGMAmer8cas,33130,A032281001,B4400,D4400,NDD Americas Programming,S4429,Caricom - Adm,1,4434,Caribbean Region,15708000.0,0.75,0.0,0,Uncoded: Pre-APP,Not PBA,0,0,0
2009201o,CanaeiqnProtitMaoing,1000395,AMECEarthandEbv8gonmentalIhte3natlohal,0.36195957353583064,Res0onsife,0,0peratjonal,264694.7283712528,MS,1,63411760.45714652,0,NGkAhericas,25010,A032281001,B4400,D4400,NDD Americas Programming,S4429,Caricom - Adm,1,4434,Caribbean Region,15708000.0,0.75,0.0,0,Uncoded: Pre-APP,Not PBA,0,0,0
20992010,Fod3ignNonProf9tMak8ng,1001172,varibbeahCommunitySrffetariat,0.642988502237831,Rwsponskve,0,Operafiobal,209626.67513096292,MS,1,43612649.92299329,0,NGMAkericaq,25010,A032281001,B4400,D4400,NDD Americas Programming,S4429,Caricom - Adm,1,4434,Caribbean Region,15708000.0,0.75,0.0,0,Uncoded: Pre-APP,Not PBA,0,0,0
20091010,CanadosnPr0fitMzking,1009493,KARTIg7INTERNwTIONALxONa7LTINGINC,0.4978896024235808,Rew9onsive,0,O0erztional,836688.9244673247,MS,1,5013985.169002205,0,NyMAmdricas,25010,A032281001,B4400,D4400,NDD Americas Programming,S4429,Caricom - Adm,1,4434,Caribbean Region,15708000.0,0.75,0.0,0,Uncoded: Pre-APP,Not PBA,0,0,0
200i2010,CanariamPdofitMaoing,1012531,TDVGkobapInc,0.2595763022724419,t4sponsive,0,Opera4ionzl,1299731.491271874,MS,1,7318789.433954276,0,gGMwmericas,25010,A032281001,B4400,D4400,NDD Americas Programming,S4429,Caricom - Adm,1,4434,Caribbean Region,15708000.0,0.75,0.0,0,Uncoded: Pre-APP,Not PBA,0,0,0
20092020,CahadianPr8fihMakihg,1012946,K4ithOgipvi2Associatws,0.23625483547408624,Respkbsive,0,Ooerationzl,340847.48284359765,MS,1,12193944.722241133,0,NGjqmericas,25010,A032281001,B4400,D4400,NDD Americas Programming,S4429,Caricom - Adm,1,4434,Caribbean Region,15708000.0,0.75,0.0,0,Uncoded: Pre-APP,Not PBA,0,0,0
20093010,F0geignNog9rofitMaking,1014816,Ca3ibbeanxommunit7Secfetaria6,0.10827208129633442,Responsig2,0,Oprrationao,453356.1653666399,MS,1,116534477.44805542,0,NGkAmfricas,25010,A032281001,B4400,D4400,NDD Americas Programming,S4429,Caricom - Adm,1,4434,Caribbean Region,15708000.0,0.75,0.0,0,Uncoded: Pre-APP,Not PBA,0,0,0
2009201o,CanadianProrithzkihg,1000395,AhECEarthsnxEbvirinkentalInternationai,0.09291668735302824,Resp0nsivr,0,Op2rationzl,75631.13997740374,MS,1,39631419.91424106,0,NhMAmeridas,33130,A032281001,B4400,D4400,NDD Americas Programming,S4429,Caricom - Adm,1,4434,Caribbean Region,15708000.0,0.75,0.0,0,Uncoded: Pre-APP,Not PBA,0,0,0
20092p10,boreignbpnProfihMaking,1001172,Car7bbeanCommunit7wecretarust,0.23624948477381888,despojsive,0,Ope4a6ional,872510.5927409807,MS,1,47978716.44775762,0,NtMAmerlcas,33130,A032281001,B4400,D4400,NDD Americas Programming,S4429,Caricom - Adm,1,4434,Caribbean Region,15708000.0,0.75,0.0,0,Uncoded: Pre-APP,Not PBA,0,0,0
20092p10,CanadjanProeiyMajing,1009493,KART8NIINTERNATlObALCONSjLfINGINd,0.4367683188382307,4esp8nsive,0,Ooerationql,240983.1408741295,MS,1,18132073.438748464,0,jGMAkericas,33130,A032281001,B4400,D4400,NDD Americas Programming,S4429,Caricom - Adm,1,4434,Caribbean Region,15708000.0,0.75,0.0,0,Uncoded: Pre-APP,Not PBA,0,0,0
20p92010,Canqvian9rofitMak9ng,1012531,TDVhlobslInc,1.0070751341423332,Responslvd,0,Operatipnzl,752728.0199504395,MS,1,56739739.289098315,0,NGhAmeridas,33130,A032281001,B4400,D4400,NDD Americas Programming,S4429,Caricom - Adm,1,4434,Caribbean Region,15708000.0,0.75,0.0,0,Uncoded: Pre-APP,Not PBA,0,0,0
20082010,CanxdianProtitkauing,1012946,K4ith8gilvieAssociq6es,0.23867423473150218,ewsponsive,0,Operationwp,527471.9787801049,MS,1,33049942.970062524,0,NGnxmericas,33130,A032281001,B4400,D4400,NDD Americas Programming,S4429,Caricom - Adm,1,4434,Caribbean Region,15708000.0,0.75,0.0,0,Uncoded: Pre-APP,Not PBA,0,0,0
20092910,ForeihnNogorofitkaking,1014816,CaribbeagCommunitySedfstxriat,0.26290927552843163,R3s0onsive,0,0perationzl,617162.0413745439,MS,1,40300051.44365819,0,NGjAmeficas,33130,A032281001,B4400,D4400,NDD Americas Programming,S4429,Caricom - Adm,1,4434,Caribbean Region,15708000.0,0.75,0.0,0,Uncoded: Pre-APP,Not PBA,0,0,0
20092p10,CanadianProfirjskjng,1000395,wMECEarthamfEnvironmen6alIgregnational,0.23080047377277868,4es9onsive,0,Operatiogao,268994.38089775183,VC,1,14294755.219946846,0,NGMAmericsc,25010,A032281001,B4400,D4400,NDD Americas Programming,S4429,Caricom - Adm,1,4434,Caribbean Region,15708000.0,0.75,0.0,0,Uncoded: Pre-APP,Not PBA,0,0,0
w0092010,ForeigbNonPr9fitMaiinn,1001172,CzribbeznComjunityaecretariaf,0.5215393548422076,Rrspohsive,0,iperarional,254959.86232413235,VC,1,30211032.312298127,0,NGhAmerixas,25010,A032281001,B4400,D4400,NDD Americas Programming,S4429,Caricom - Adm,1,4434,Caribbean Region,15708000.0,0.75,0.0,0,Uncoded: Pre-APP,Not PBA,0,0,0
200920q0,CanadixnProfi6Malinn,1009493,KAR6INIoNTERbATI8NALCONS7LTlNGINC,0.21560855148607866,eesppnsive,0,Opera5iogal,1089511.1813949759,VC,1,60028473.998307064,0,NGMAmericsq,25010,A032281001,B4400,D4400,NDD Americas Programming,S4429,Caricom - Adm,1,4434,Caribbean Region,15708000.0,0.75,0.0,0,Uncoded: Pre-APP,Not PBA,0,0,0
