assay_strain,src_assay_id,description,cell_id,tid,assay_organism,curated_by,tissue_id,assay_tax_id,assay_id,assay_test_type,assay_cell_type,variant_id,assay_category,assay_tissue,assay_type,src_id,bao_format,doc_id,confidence_score,chembl_id,assay_subcellular_fraction,relationship_type
,,Binding affinity of [3H]ketanserin towards 5-hydroxytryptamine 2 receptor in cloned mammalian receptor expressed in cultured cells or from rat whole brain.,,104686,,Autocuration,,,1941,In vitro,,,,,B,1,BAO_0000219,13427,4,CHEMBL617548,,H
,,Binding affinity towards 5-hydroxytryptamine 2 receptor,,104686,,Autocuration,,,1942,,,,,,B,1,BAO_0000224,9443,4,CHEMBL617549,,H
,,Binding affinity towards 5-hydroxytryptamine 2 receptor at 1.0 uM concentration,,104686,,Autocuration,,,1943,,,,,,B,1,BAO_0000224,9443,4,CHEMBL617550,,H
,,In vitro binding affinity towards the 5-hydroxytryptamine 2 receptor at 10 e-6 M,,104686,,Autocuration,,,1944,,,,,,B,1,BAO_0000224,11825,4,CHEMBL617551,,H
,,Percent inhibition of binding of 1.0 nM [3H]ketanserin to 5-hydroxytryptamine 2 receptor in rat cortical membranes at 10 e -5 M,,104686,,Autocuration,,,1945,,,,,,B,1,BAO_0000249,12120,4,CHEMBL617552,Membranes,H
,,Percent inhibition of binding of 1.0 nM [3H]-ketanserin to 5-hydroxytryptamine 2 receptor in rat cortical membranes at 10 e-5 M.,,104686,,Autocuration,,,1946,,,,,,B,1,BAO_0000249,12120,4,CHEMBL617553,Membranes,H
,,Tested for antagonistic activity against 5-hydroxytryptamine 2 receptor from rat thoracic aorta,,104686,,Autocuration,1515.0,,1947,,,,,Thoracic aorta,F,1,BAO_0000019,11963,4,CHEMBL617554,,H
,,Binding affinity for membrane-bound 5-hydroxytryptamine 2 receptor,,104686,,Autocuration,,,1948,,,,,,B,1,BAO_0000019,9069,4,CHEMBL617555,,H
,,Compound was tested for its effect on 5-hydroxytryptamine 2 receptor saturation analysis,,104686,,Autocuration,,,1949,,,,,,B,1,BAO_0000224,8868,4,CHEMBL617556,,H
,,Inhibitory constant against human 5-hydroxytryptamine 1B receptor using [3H]5-CT radioligand,,10624,,Autocuration,,,1950,,,,,,B,1,BAO_0000357,17200,8,CHEMBL617557,,H
,,Inhibitory constant against human 5-hydroxytryptamine 1D receptor using [3H]5-CT radioligand,,10624,,Autocuration,,,1951,,,,,,B,1,BAO_0000357,17200,8,CHEMBL617558,,H
,,Binding affinity against 5-hydroxytryptamine 1D receptor was measured using [3H]5-HT as radioligand,,17106,,Expert,,,1952,,,,,,B,1,BAO_0000357,13969,8,CHEMBL617559,,H
,,Binding affinity for 5-hydroxytryptamine 1D receptor,,17106,,Expert,,,1953,,,,,,B,1,BAO_0000357,13392,9,CHEMBL617560,,D
,,Compound was tested for its ability to displace [125I]GTI binding to 5-hydroxytryptamine 1D receptor recognition sites in pig caudate membranes,,17106,,Autocuration,,,1954,,,,,,B,1,BAO_0000249,1742,8,CHEMBL617561,,H
,,Compound was tested for its ability to displace [3H]-5-HT binding to 5-hydroxytryptamine 1D receptor recognition sites in pig caudate membranes,,17106,,Autocuration,,,1955,,,,,,B,1,BAO_0000249,1742,8,CHEMBL617562,,H
,,Binding affinity against 5-hydroxytryptamine 1D receptor using [3H]5-HT in pig striatum + frontalCortex,,17106,,Autocuration,2435.0,,1956,,,,,Striatum,B,1,BAO_0000357,14331,8,CHEMBL617563,,H
,,Relative agonist efficacy against 1 uM 5-hydroxytryptamine 1D receptor,,17106,,Autocuration,,,1957,,,,,,F,1,BAO_0000019,12861,8,CHEMBL617564,,H
,,Binding activity against 5-hydroxytryptamine 1D receptor from pig caudate membrane using [3H]5-HT as radioligand,,17106,,Expert,,,1958,,,,,,B,1,BAO_0000019,12861,8,CHEMBL617565,,H
,,Binding activity radioligand.,,17106,,Autocuration,,,1959,,,,,,B,1,BAO_0000357,12861,8,CHEMBL856076,,H
,,Binding activity against 5-hydroxytryptamine 2C receptor from human brain cortex using [3H]mesulergine as radioligand.,,17106,,Autocuration,,,1960,,,,,,B,1,BAO_0000019,12861,8,CHEMBL617566,,H
,,Binding activity against 5-hydroxytryptamine 3 receptor from rat cortex homogenate using [3H]-Q-ICS 205-930 as radioligand.,,17106,,Expert,,,1961,,,,,,B,1,BAO_0000019,12861,8,CHEMBL875911,,H
,,Binding activity against 5-hydroxytryptamine 3 receptor from rat cortex homogenate using [3H]-Q-ICS 205-930 as radioligand; NA Not Available,,17106,,Autocuration,,,1962,,,,,,B,1,BAO_0000019,12861,8,CHEMBL617567,,H
,,Compound was tested for the displacement of [3H]-5-HT to 5-hydroxytryptamine 1D receptor recognition sites in pig caudate membranes,,17106,,Autocuration,,,1963,,,,,,B,1,BAO_0000249,675,8,CHEMBL617568,,H
,,Displacement of [3H]5-HT binding to 5-hydroxytryptamine 1D receptor from pig caudate membrane,,17106,,Expert,,,1964,,,,,,B,1,BAO_0000019,12490,8,CHEMBL617569,,H
,,Displacement of radioligand [3H]5-HT binding to 5-hydroxytryptamine 1D receptor in pig caudate membrane,,17106,,Expert,,,1965,,,,,,B,1,BAO_0000249,11828,8,CHEMBL617570,,H
,,Binding affinity for 5-hydroxytryptamine 1D receptor in piglet caudate using [3H]5-HT,,17106,,Autocuration,,,1966,,,,,,B,1,BAO_0000357,11866,8,CHEMBL617571,,H
,,In Vitro Binding affinity againist 5-hydroxytryptamine 1D receptor by displacing [125I]GTI from pig caudate,,105,Sus scrofa,Autocuration,,9823.0,1967,,,,,,B,1,BAO_0000357,773,8,CHEMBL617572,,H
,,The compound was tested for intrinsic activity against 5-HT1D receptor,,105,Oryctolagus cuniculus,Expert,,9986.0,1968,,,,,,B,1,BAO_0000357,13047,8,CHEMBL617573,,H
,,Intrinsic activity against 5-hydroxytryptamine 1 receptor using rabbit saphenous vein assay.,,105,Oryctolagus cuniculus,Autocuration,,9986.0,1969,,,,,,B,1,BAO_0000019,13047,8,CHEMBL617574,,H
,,The compound was tested for binding affinity against 5-HT1D receptor,,105,Oryctolagus cuniculus,Expert,,9986.0,1970,,,,,,B,1,BAO_0000357,13047,8,CHEMBL617575,,H
,,Tested for the effect on binding at 5-hydroxytryptamine 1D receptor; No activity,,10578,,Autocuration,,,1971,,,,,,B,1,BAO_0000357,188,8,CHEMBL617576,,H
,,Inhibition of Forskolin-stimulated adenylate cyclase activity against 5-hydroxytryptamine 1D receptor of rat substantia nigra,,10578,,Autocuration,,,1972,,,,,,F,1,BAO_0000019,10639,8,CHEMBL617577,,H
,,Inhibition of forskolin stimulated adenylate cyclase at 5-hydroxytryptamine 1D receptor,,10578,,Autocuration,,,1973,,,,,,F,1,BAO_0000019,12438,8,CHEMBL617578,,H
,,Binding affinity was measured against serotonin 5-hydroxytryptamine 1D receptor,,10578,,Autocuration,,,1974,,,,,,B,1,BAO_0000357,12438,8,CHEMBL617579,,H
,,Binding affinity towards 5-hydroxytryptamine 1D receptor in rat frontal cortex using [125I]iodocyanopindolol as radio-ligand.,,10578,,Expert,,,1975,,,,,,B,1,BAO_0000019,15854,8,CHEMBL617580,,H
,,Inhibitory activity against 5-hydroxytryptamine 1D receptor in rat cortical membranes using [3H]5-HT as a radioligand,,10578,,Autocuration,,,1976,,,,,,B,1,BAO_0000249,10394,8,CHEMBL617581,,H
,,The binding affinity was measured on 5-hydroxytryptamine 1D receptor using [3H]- serotonin as radioligand.,,10578,,Autocuration,,,1977,,,,,,B,1,BAO_0000357,12092,8,CHEMBL617582,,H
,,Binding affinity to 5-hydroxytryptamine 1D receptor in the rat forebrain by [3H]- SB-204269 displacement.,,10578,,Expert,,,1978,,,,,,B,1,BAO_0000019,3389,8,CHEMBL617583,,H
,,Inhibition of binding towards 5-hydroxytryptamine 1D receptor at 100 nM concentration,,105,,Autocuration,,,1979,,,,,,B,1,BAO_0000357,6011,8,CHEMBL617584,,H
,,Compound was tested for binding affinity against 5-hydroxytryptamine 1D receptor,,105,,Autocuration,,,1980,,,,,,B,1,BAO_0000357,4639,8,CHEMBL617585,,H
,,Compound was measured for its binding affinity at 5-hydroxytryptamine 1D receptor at a concentration of 10 uM using [3H]5-HT as radioligand,,105,,Autocuration,,,1981,,,,,,B,1,BAO_0000357,2474,8,CHEMBL875912,,H
,,Percent inhibition (at 1 uM) against 5-hydroxytryptamine 1D receptor,,105,,Autocuration,,,1982,,,,,,B,1,BAO_0000357,5014,8,CHEMBL617586,,H
,,Binding affinity of compound towards serotonin 5-hydroxytryptamine 1D receptor; inactive at 10 uM,,105,,Autocuration,,,1983,,,,,,B,1,BAO_0000357,17515,8,CHEMBL617587,,H
,,Binding affinity for 5-hydroxytryptamine 1D receptor was determined,,105,,Autocuration,,,1984,,,,,,B,1,BAO_0000357,11866,8,CHEMBL617588,,H
,,Evaluated for the binding affinity against 5-hydroxytryptamine 1D receptor,,105,,Autocuration,,,1985,,,,,,B,1,BAO_0000357,4687,8,CHEMBL857980,,H
,,Tested against 5-hydroxytryptamine 1D receptor,,105,,Autocuration,,,1986,,,,,,B,1,BAO_0000357,12146,8,CHEMBL617589,,H
,,Binding affinity for 5-hydroxytryptamine 1D receptor was determined by using [3H]5-HT as radioligand,,105,,Autocuration,,,1987,,,,,,B,1,BAO_0000357,10321,8,CHEMBL617590,,H
,,Antagonistic binding affinity measured against 5-hydroxytryptamine 2A receptor (human clone expressed in 293 cells) using [3H]ketanserin as radioligand,722.0,105,,Autocuration,,,1988,,HEK293,,,,B,1,BAO_0000219,13267,8,CHEMBL617591,,H
,,Binding affinity against 5-Hydroxytryptamine 1D receptor,,105,Homo sapiens,Expert,,9606.0,1989,,,,,,B,1,BAO_0000357,1274,9,CHEMBL617592,,D
,,,,105,,Autocuration,,,1990,,,,,,B,1,BAO_0000357,15250,8,CHEMBL617593,,H
,,Compound was tested for binding affinity against cloned human 5-hydroxytryptamine 1D receptor alpha expressed in CHO-K1 cells.,485.0,106,,Autocuration,,,1991,,CHO-K1,,,,B,1,BAO_0000219,13706,8,CHEMBL617594,,H
,,Compound was tested for binding affinity against cloned human 5-hydroxytryptamine 1D receptor alpha expressed in CHO-K1 cells.,485.0,105,,Autocuration,,,1992,,CHO-K1,,,,B,1,BAO_0000219,13706,8,CHEMBL617595,,H
,,Compound was tested for binding affinity against human 5-hydroxytryptamine 1D receptor alpha clones expressed in human embryonic kidney (HEK 293) cells line.,722.0,105,,Autocuration,,,1993,,HEK293,,,,B,1,BAO_0000219,13706,8,CHEMBL617596,,H
,,Compound was tested for binding affinity against human 5-hydroxytryptamine 1D receptor alpha clones expressed in human embryonic kidney (HEK 293) cells line; NT= not tested,722.0,105,,Autocuration,,,1994,,HEK293,,,,B,1,BAO_0000219,13706,8,CHEMBL617597,,H
,,Binding affinity against 5-hydroxytryptamine 1D receptor beta using rabbit saphenous vein assay.,,105,,Autocuration,,,1995,,,,,,B,1,BAO_0000019,13047,8,CHEMBL617598,,H
,,Binding affinity of compound against 5-HT1Dalpha Binding affinity of compound against 5-HT1D alpha receptors in human,,105,,Autocuration,,,1996,,,,,,B,1,BAO_0000357,13366,8,CHEMBL872916,,H
,,In vitro affinity human cloned 5-hydroxytryptamine 1D receptor alpha by [3H]5-HT displacement.,,105,,Expert,,,1997,,,,,,B,1,BAO_0000357,13366,8,CHEMBL617599,,H
,,Binding affinity towards cloned human 5-hydroxytryptamine 1D receptor alpha was determined,,105,,Autocuration,,,1998,,,,,,B,1,BAO_0000357,1558,8,CHEMBL617091,,H
,,"Binding affinity against 5-hydroxytryptamine 1D receptor alpha expressed in CHO-K1 cells, using [3H]-5-HT as the radioligand.",485.0,105,,Expert,,,1999,,CHO-K1,,,,B,1,BAO_0000219,12902,8,CHEMBL617092,,H
,,Compound was tested for binding affinity against cloned human 5-hydroxytryptamine 1D receptor alpha expressed in CHO-K1 cells.,485.0,105,,Autocuration,,,2000,,CHO-K1,,,,B,1,BAO_0000219,13706,8,CHEMBL617093,,H
,,Compound was tested for intrinsic efficacy against human 5-hydroxytryptamine 1D receptor alpha measured as the reduction of forskolin-stimulated cAMP.,,105,,Autocuration,,,2001,,,,,,F,1,BAO_0000019,13706,8,CHEMBL617094,,H
,,Compound was tested for intrinsic efficacy against human 5-hydroxytryptamine 1D receptor beta measured as the reduction of forskolin-stimulated cAMP.,,105,,Autocuration,,,2002,,,,,,F,1,BAO_0000019,13706,8,CHEMBL617095,,H
,,Compound was tested for its agonist activity against human 5-hydroxytryptamine 1D receptor alpha for comparison purpose.,,105,,Autocuration,,,2003,,,,,,F,1,BAO_0000019,14251,8,CHEMBL617096,,H
,,Compound was tested for its agonist activity against human recombinant 5-hydroxytryptamine 1D receptor alpha for comparison purpose.,,105,,Autocuration,,,2004,,,,,,F,1,BAO_0000019,14251,8,CHEMBL617097,,H
,,Compound was tested for its agonist activity against human recombinant 5-hydroxytryptamine 1D receptor alpha for comparison purpose.,,105,,Autocuration,,,2005,,,,,,F,1,BAO_0000019,14251,8,CHEMBL617098,,H
,,In vitro binding affinity towards 5-HT1D alpha receptor by using [3H]5-HT as radioligand,,105,,Autocuration,,,2006,,,,,,B,1,BAO_0000357,13313,8,CHEMBL617301,,H
,,In vitro binding affinity towards 5-hydroxytryptamine 1D receptor alpha by using [3H]5-HT as radioligand,,105,,Autocuration,,,2007,,,,,,B,1,BAO_0000357,13313,8,CHEMBL617302,,H
,,Selectivity towards 5-hydroxytryptamine 1D receptor beta to that of 5-hydroxytryptamine 1D receptor alpha,,105,,Autocuration,,,2008,,,,,,B,1,BAO_0000357,13366,8,CHEMBL617303,,H
,,Binding affinity to recombinant human 5-hydroxytryptamine 1D receptor alpha,,105,,Expert,,,2009,,,,,,B,1,BAO_0000357,13051,8,CHEMBL617304,,H
,,"In vitro binding affinity against cloned mammalian 5-hydroxytryptamine 1D receptor alpha expressed in CHO cells, by using [3H]5-HT as radioligand",449.0,105,,Expert,,,2010,,CHO,,,,B,1,BAO_0000219,12903,8,CHEMBL617305,,H
,,Binding affinity was measured on 5-hydroxytryptamine 1D receptor alpha in COS cells transfected with human 5-HT1D alpha gene labeled with [3H]5-HT,,105,Homo sapiens,Autocuration,,9606.0,2011,,,,,,B,1,BAO_0000219,12469,9,CHEMBL617306,,D
,,Binding affinity (in vitro) against 5-hydroxytryptamine 1D receptor alpha using radio-ligand binding assay,,17106,,Autocuration,,,2012,,,,,,B,1,BAO_0000357,5619,8,CHEMBL617307,,H
,,Binding affinity against 5-hydroxytryptamine 4 receptor using rabbit saphenous vein assay.,,105,Oryctolagus cuniculus,Autocuration,,9986.0,2013,,,,,,B,1,BAO_0000019,13047,8,CHEMBL617308,,H
,,Binding affinities against 5-hydroxytryptamine 1D receptor alpha,,105,,Autocuration,,,2014,,,,,,B,1,BAO_0000357,16633,8,CHEMBL617309,,H
,,Binding affinities towards 5-hydroxytryptamine 1D receptor alpha,,105,,Autocuration,,,2015,,,,,,B,1,BAO_0000357,16633,8,CHEMBL617310,,H
,,Binding affinities towards 5-hydroxytryptamine 1D receptor alpha,,105,,Autocuration,,,2016,,,,,,B,1,BAO_0000357,16633,8,CHEMBL617311,,H
,,Binding affinity towards 5-hydroxytryptamine 1D receptor alpha using [3H]8-OH-DPAT as radioligand,,105,,Autocuration,,,2017,,,,,,B,1,BAO_0000357,16633,8,CHEMBL617312,,H
,,Affinity against 5-hydroxytryptamine 1D receptor alpha,,105,,Autocuration,,,2018,,,,,,B,1,BAO_0000357,3269,8,CHEMBL617313,,H
,,Binding affinity against 5-hydroxytryptamine 1D receptor alpha,,105,,Expert,,,2019,,,,,,B,1,BAO_0000357,12409,8,CHEMBL617314,,H
,,Compound was tested for intrinsic efficacy against human 5-hydroxytryptamine 1D receptor beta measured as the reduction of forskolin-stimulated cAMP.,,106,,Autocuration,,,2020,,,,,,F,1,BAO_0000019,13706,8,CHEMBL617315,,H
,,Compound was tested for binding affinity against human 5-hydroxytryptamine 1D receptor beta clones expressed in human embryonic kidney (HEK 293) cells line.,722.0,106,,Autocuration,,,2021,,HEK293,,,,B,1,BAO_0000219,13706,8,CHEMBL617316,,H
,,Compound was tested for binding affinity against human 5-hydroxytryptamine 1D receptor beta clones expressed in human embryonic kidney (HEK 293) cells line; NT= not tested,722.0,106,,Autocuration,,,2022,,HEK293,,,,B,1,BAO_0000219,13706,8,CHEMBL617317,,H
,,"The compound was tested in vitro for binding affinity against cloned mammalian 5-hydroxytryptamine 1D receptor beta expressed in CHO cells, by using [3H]5-HT as radioligand",449.0,106,,Autocuration,,,2023,,CHO,,,,B,1,BAO_0000219,12903,8,CHEMBL617318,,H
,,Binding affinity against 5-hydroxytryptamine 1D receptor beta using rabbit saphenous vein assay.,,106,,Autocuration,,,2024,,,,,,B,1,BAO_0000019,13047,8,CHEMBL617319,,H
,,Displacement of [3H]-5-HT from human 5-hydroxytryptamine 1D receptor beta,,106,,Expert,,,2025,,,,,,B,1,BAO_0000357,13366,9,CHEMBL617320,,D
,,Displacement of [3H]-5-HT from human 5-hydroxytryptamine 1D receptor beta,,106,,Expert,,,2026,,,,,,B,1,BAO_0000357,13366,9,CHEMBL617321,,D
,,Displacement of [3H]-5-HT from human 5-hydroxytryptamine 1D receptor beta,,106,,Expert,,,2027,,,,,,B,1,BAO_0000357,13366,9,CHEMBL617322,,D
,,Binding affinity towards cloned human 5-hydroxytryptamine 1D receptor beta was determined using [3H]8-OH-DPAT as radioligand,,106,,Autocuration,,,2028,,,,,,B,1,BAO_0000357,13366,8,CHEMBL616862,,H
,,Binding affinity towards cloned human 5-hydroxytryptamine 1D receptor was determined using [3H]8-OH-DPAT as radioligand,,106,,Autocuration,,,2029,,,,,,B,1,BAO_0000357,13366,8,CHEMBL616863,,H
,,Binding affinity was measured on 5-hydroxytryptamine 1D receptor beta in CHO cells transfected with human 5-HT1D beta gene labeled with [3H]5-HT,449.0,106,,Autocuration,,,2030,,CHO,,,,B,1,BAO_0000219,12469,8,CHEMBL616864,,H
,,Compound was tested for binding affinity against cloned human 5-HT1D beta receptor expressed in CHO-K1 cells.,485.0,106,,Autocuration,,,2031,,CHO-K1,,,,B,1,BAO_0000219,13706,8,CHEMBL616865,,H
,,Compound was tested for binding affinity against cloned human 5-hydroxytryptamine 1D receptor beta expressed in CHO-K1 cells.,485.0,106,,Autocuration,,,2032,,CHO-K1,,,,B,1,BAO_0000219,13706,8,CHEMBL616866,,H
,,Compound was tested for intrinsic efficacy against human 5-hydroxytryptamine 1D receptor beta measured as the reduction of forskolin-stimulated cAMP.,,106,,Autocuration,,,2033,,,,,,F,1,BAO_0000019,13706,8,CHEMBL616867,,H
,,"Binding affinity against 5-hydroxytryptamine 1D receptor beta expressed in CHO-K1 cells, using [3H]5-HT as the radioligand.",485.0,106,,Expert,,,2034,,CHO-K1,,,,B,1,BAO_0000219,12902,8,CHEMBL616868,,H
,,Binding affinity for cloned human 5-hydroxytryptamine 1D receptor beta,,105,,Expert,,,2035,,,,,,B,1,BAO_0000357,13051,8,CHEMBL616869,,H
,,"In vitro binding affinity against cloned mammalian 5-hydroxytryptamine 1D receptor beta expressed in CHO cells, by using [3H]5-HT as radioligand",449.0,106,,Expert,,,2036,,CHO,,,,B,1,BAO_0000219,12903,8,CHEMBL616870,,H
,,Compound was tested for its ability inhibit forskolin-stimulated activity of adenylate cyclase coupled to human 5-hydroxytryptamine 1D receptor beta in CHO-K1 cells; value ranges from 0.24-0.55,485.0,105,,Autocuration,,,2037,,CHO-K1,,,,F,1,BAO_0000219,1558,8,CHEMBL616871,,H
,,Compound was tested for its ability inhibit forskolin-stimulated activity of adenylate cyclase coupled to human 5-hydroxytryptamine 1D receptor beta in CHO-K1 cells; value ranges from 0.6-2.0,485.0,105,,Autocuration,,,2038,,CHO-K1,,,,F,1,BAO_0000219,1558,8,CHEMBL616872,,H
,,Compound was tested for its ability inhibit forskolin-stimulated activity of adenylate cyclase coupled to human 5-hydroxytryptamine 1D receptor beta in CHO-K1 cells; value ranges from 2.8-6.5,485.0,105,,Autocuration,,,2039,,CHO-K1,,,,F,1,BAO_0000219,1558,8,CHEMBL616873,,H
,,Compound was tested for its ability inhibit forskolin-stimulated activity of adenylate cyclase coupled to human 5-hydroxytryptamine 1D receptor beta in CHO-K1 cells; value ranges from 30-70,485.0,105,,Autocuration,,,2040,,CHO-K1,,,,F,1,BAO_0000219,1558,8,CHEMBL616838,,H
,,Binding affinity towards cloned human 5-hydroxytryptamine 1D receptor beta was determined,,105,,Autocuration,,,2041,,,,,,B,1,BAO_0000357,1558,8,CHEMBL616839,,H
,,Binding affinity against 5-hydroxytryptamine 3 receptor using rabbit saphenous vein assay.,,106,Oryctolagus cuniculus,Autocuration,,9986.0,2042,,,,,,B,1,BAO_0000019,13047,8,CHEMBL616840,,H
,,In vitro binding affinity towards 5-hydroxytryptamine 1D receptor alpha by using [3H]-5-HT as radioligand,,105,,Autocuration,,,2043,,,,,,B,1,BAO_0000357,13313,8,CHEMBL616841,,H
,,In vitro binding affinity towards 5-hydroxytryptamine 1D receptor beta by using [3H]5-HT as radioligand,,105,,Autocuration,,,2044,,,,,,B,1,BAO_0000357,13313,8,CHEMBL616842,,H
,,Binding affinity against 5-hydroxytryptamine 1D receptor beta,,105,,Expert,,,2045,,,,,,B,1,BAO_0000357,12409,8,CHEMBL857976,,H
,,Compound was tested for the displacement of [3H]5-HT binding to cloned human 5-hydroxytryptamine 1E receptor stably expressed in CHO cells,449.0,10618,,Autocuration,,,2046,,CHO,,,,B,1,BAO_0000219,15250,8,CHEMBL616843,,H
,,Inhibitory activity against 5-hydroxytryptamine 1E receptor subtype,,10618,Homo sapiens,Expert,,9606.0,2047,,,,,,B,1,BAO_0000357,1348,9,CHEMBL616844,,D
,,Inhibitory activity against 5-hydroxytryptamine 1E receptor subtype; NA denotes data not available,,10618,,Autocuration,,,2048,,,,,,B,1,BAO_0000357,1348,8,CHEMBL616845,,H
,,Binding affinity to cloned human 5-hydroxytryptamine 1E receptor,,10618,Homo sapiens,Expert,,9606.0,2049,,,,,,B,1,BAO_0000357,4234,9,CHEMBL616846,,D
,,Binding affinity towards human 5-hydroxytryptamine 1E receptor was determined using [3H]5-HT as radioligand,,10618,,Autocuration,,,2050,,,,,,B,1,BAO_0000357,16209,8,CHEMBL616847,,H
,,Binding affinity was determined against 5-hydroxytryptamine 1E receptor in human cortical homogenate,,10618,,Autocuration,,,2051,,,,,,B,1,BAO_0000019,10444,8,CHEMBL616848,,H
,,Compound was evaluated for its binding affinity for human 5-hydroxytryptamine 1E receptor,,10618,,Autocuration,,,2052,,,,,,B,1,BAO_0000357,3935,8,CHEMBL616849,,H
,,Compound was evaluated for its binding affinity towards human 5-hydroxytryptamine 1E receptor,,10618,,Autocuration,,,2053,,,,,,B,1,BAO_0000357,15818,8,CHEMBL872911,,H
,,In vitro binding affinity by radioligand binding assay using cell line expressing human 5-hydroxytryptamine 1E receptor,,10618,,Autocuration,,,2054,,,,,,B,1,BAO_0000019,17085,8,CHEMBL616850,,H
,,Binding affinity against human 5-hydroxytryptamine 1E receptor expressed in CHO cells,449.0,10618,Homo sapiens,Expert,,9606.0,2055,,CHO,,,,B,1,BAO_0000219,12936,9,CHEMBL616699,,D
,,Binding affinity towards cloned human 5-hydroxytryptamine 1E receptor was determined,,10618,,Autocuration,,,2056,,,,,,B,1,BAO_0000357,6166,8,CHEMBL616700,,H
,,Binding affinity towards 5-hydroxytryptamine 1E receptor (human cloned receptor) in CHO cells using [3H]5-HT as radioligand.,449.0,10618,,Autocuration,,,2057,,CHO,,,,B,1,BAO_0000219,15779,8,CHEMBL616701,,H
,,Binding affinity towards human cloned 5-hydroxytryptamine 1E receptor in CHO cells using [3H]5-HT as radioligand.,449.0,10618,,Autocuration,,,2058,,CHO,,,,B,1,BAO_0000219,15779,8,CHEMBL616702,,H
,,Binding affinity towards human cloned 5-hydroxytryptamine 1E receptor in CHO cells using [3H]5-HT as radioligand;ND means no data.,449.0,10618,,Autocuration,,,2059,,CHO,,,,B,1,BAO_0000219,15779,8,CHEMBL616703,,H
,,Binding affinity was determined against 5-hydroxytryptamine 1D receptor,,10618,,Autocuration,,,2060,,,,,,B,1,BAO_0000357,13181,8,CHEMBL616704,,H
,,Compound was evaluated for binding affinity against human cloned 5-hydroxytryptamine 1E receptor in CHO cells using [3H]5-HT as the radioligand,449.0,10618,,Autocuration,,,2061,,CHO,,,,B,1,BAO_0000219,4199,8,CHEMBL616705,,H
,,Compound was tested for binding affinity against human 5-hydroxytryptamine 1E receptor,,10618,,Autocuration,,,2062,,,,,,B,1,BAO_0000357,14875,8,CHEMBL616706,,H
,,Compound was tested for its binding affinity against cloned human 5-hydroxytryptamine 1E receptor in CHO cells using [3H]-5-HT,449.0,10618,,Autocuration,,,2063,,CHO,,,,B,1,BAO_0000219,15146,8,CHEMBL616707,,H
,,Compound was tested for its binding affinity for human cloned 5-hydroxytryptamine 1E receptor in CHO using [3H]5-HT as a radioligand,,10618,,Autocuration,,,2064,,,,,,B,1,BAO_0000357,5213,8,CHEMBL616708,,H
,,Tested for binding affinity towards cloned human 5-hydroxytryptamine 1E receptor using [3H]5-HT as radioligand,,10618,,Autocuration,,,2065,,,,,,B,1,BAO_0000357,12146,8,CHEMBL616709,,H
,,The binding affinity (pKi) measured against 5-hydroxytryptamine 1E receptor (cloned human receptors in CHO cells) using [3H]5-HT1E as radioligand,449.0,10618,,Autocuration,,,2066,,CHO,,,,B,1,BAO_0000219,13267,8,CHEMBL616710,,H
,,The compound was tested for its binding affinity towards cloned human 5-hydroxytryptamine 1E receptor in CHO cells using [3H]5-HT.,449.0,10618,,Autocuration,,,2067,,CHO,,,,B,1,BAO_0000219,14818,8,CHEMBL616711,,H
,,"The compound was tested for the binding affinity towards human cloned 5-hydroxytryptamine 1E receptor in CHO cells, using [3H]5-HT as radioligand",449.0,10618,,Autocuration,,,2068,,CHO,,,,B,1,BAO_0000219,4829,8,CHEMBL616712,,H
,,Binding affinity relative to indolopiperidine (compound 1) for 5-hydroxytryptamine 1E receptor was determined,,10618,,Autocuration,,,2069,,,,,,B,1,BAO_0000357,4373,8,CHEMBL616713,,H
,,Binding affinity for 5-hydroxytryptamine 1E receptor was determined,,10618,,Autocuration,,,2070,,,,,,B,1,BAO_0000357,4373,8,CHEMBL616714,,H
,,Compound was evaluated for the affinity at 5-hydroxytryptamine 1E receptor,,10618,,Autocuration,,,2071,,,,,,B,1,BAO_0000357,14159,8,CHEMBL616715,,H
,,Binding affinity towards 5-hydroxytryptamine 1E receptor,,10618,,Autocuration,,,2072,,,,,,B,1,BAO_0000357,16633,8,CHEMBL616716,,H
,,"In vitro effective concentration for stimulation of [35S]GTP-gamma-S, binding in mouse LM(tk-)cells expressing the human 5-HT1F receptor",,279,,Autocuration,,,2073,,,,,,F,1,BAO_0000019,17085,8,CHEMBL616717,,H
,,"In vitro effective concentration for stimulation of [35S]GTP-gamma-S, binding in mouse LM(tk-)cells expressing the human 5-hydroxytryptamine 1F receptor",,279,,Expert,,,2074,,,,,,F,1,BAO_0000019,17085,8,CHEMBL616718,,H
,,In vitro effective concentration for inhibition of skolin-stimulated adenylate cyclase in cell line expressing human 5-hydroxytryptamine 1F receptor,,279,,Autocuration,,,2075,,,,,,F,1,BAO_0000019,16209,8,CHEMBL875905,,H
,,In vitro agonist potency against human 5-hydroxytryptamine 1F receptor,,279,,Autocuration,,,2076,,,,,,F,1,BAO_0000019,16209,8,CHEMBL616719,,H
,,"Maximum stimulation of of [35S]GTP-gamma-S, binding expressed relative to the maximal effect of 5-hydroxytryptamine 1F receptor",,279,,Expert,,,2077,,,,,,F,1,BAO_0000019,17085,8,CHEMBL616720,,H
,,Compound was evaluated for the affinity at 5-hydroxytryptamine 1F receptor,,279,,Autocuration,,,2078,,,,,,B,1,BAO_0000357,14159,8,CHEMBL616721,,H
