assay_id,assay_organism,tid,tissue_id,assay_category,src_id,assay_test_type,src_assay_id,curated_by,doc_id,description,assay_subcellular_fraction,relationship_type,assay_cell_type,assay_type,assay_strain,assay_tax_id,assay_tissue,confidence_score
514,,80006,,,1,,,Intermediate,13715,compound was evaluated for their acute effects in vitro by measuring 2-Deoxyglucose (2DG) uptake in vehicle treated 3T3-L1 adipocytes at 30 uM dose.,,N,3T3-L1,F,,,,1
515,,80006,,,1,,,Intermediate,13715,compound was evaluated for their acute effects in vitro by measuring 2-Deoxyglucose (2DG) uptake in vehicle treated 3T3-L1 adipocytes at 3 uM dose.,,N,3T3-L1,F,,,,1
516,,80006,,,1,,,Intermediate,13715,compound was evaluated for their acute effects in vitro by measuring 2-Deoxyglucose (2DG) uptake in vehicle treated 3T3-L1 adipocytes at 60 uM dose.,,N,3T3-L1,F,,,,1
517,,11214,,,1,,,Expert,6411,Inhibition of forskolin-stimulated lipolysis in differentiated 3T3-L1 cells,,H,3T3-L1,F,,,,8
518,Mus musculus,80006,,,1,,,Intermediate,6411,Evaluated for the inhibition of forskolin-stimulated lipolysis in differentiated 3T3-L1 cells; ND = No data,,N,3T3-L1,F,,10090.0,,1
519,,11214,,,1,,,Expert,6411,Evaluated for the inhibition of forskolin-stimulated lipolysis in differentiated 3T3-L1 cells; Na = Not active,,H,3T3-L1,F,,,,8
520,Mus musculus,80006,,,1,,,Expert,3966,Insulin-sensitizing activity; triglyceride accumulation from insulin regulated differentiation of 3T3-L1 cells at 1 uM expressed as percent activity of pioglitazone,,N,3T3-L1,F,,10090.0,,1
521,Mus musculus,80006,,,1,,,Intermediate,3966,Compound was tested for insulin-sensitizing activity by measuring triglyceride accumulation from insulin regulated differentiation of 3T3-L1 cells at 10 uM expressed as percent activity of pioglitazone,,N,3T3-L1,F,,10090.0,,1
522,Mus musculus,80006,,,1,,,Expert,15556,Stimulation of adipogenesis in 3T3-L1 cells is expressed as concentration equivalent to the [ 1-14C] uptake counts after treatment with 0.2 ug/mL troglitazone,,N,3T3-L1,F,,10090.0,,1
523,Mus musculus,80006,,,1,,,Expert,5845,Effective concentration for enhancement of insulin-induced triglyceride accumulation in 3T3-L1 cells,,N,3T3-L1,F,,10090.0,,1
524,Mus musculus,80006,,,1,,,Expert,14422,Effective concentration for 50% enhancement of insulin-induced triglyceride accumulation in 3T3-L1 cells,,N,3T3-L1,F,,10090.0,,1
525,Mus musculus,80006,,,1,,,Expert,5845,Percentage of rosiglitazone response for insulin-sensitizing activity at 1 uM concentration in 3T3-L1 cells,,N,3T3-L1,F,,10090.0,,1
526,Mus musculus,80006,,,1,,,Expert,14508,In vitro glucose transport activity in 3T3-LI adipocytes at 10 uM concentration.,,N,3T3-L1,F,,10090.0,,1
527,Mus musculus,80006,,,1,,,Expert,14508,In vitro glucose transport activity in 3T3-LI adipocytes at 3 uM concentration.,,N,3T3-L1,F,,10090.0,,1
528,Mus musculus,80006,,,1,,,Expert,14508,In vitro glucose transport activity in 3T3-LI adipocytes at 30 uM concentration.,,N,3T3-L1,F,,10090.0,,1
529,Rattus norvegicus,80622,,,1,,,Intermediate,6349,Inhibitory activity against rat fibroblast (3Y1) cell line,,N,3Y1 cell line,F,,10116.0,,1
530,Rattus norvegicus,80622,,,1,,,Expert,15899,Mean concentration causing inhibition of cell growth in 3Y1 cells.,,N,3Y1 cell line,F,,10116.0,,1
531,Rattus norvegicus,80622,,,1,,,Expert,15899,Cytotoxicity in 3Y1 cells.,,N,3Y1 cell line,F,,10116.0,,1
532,Rattus norvegicus,80622,,,1,,,Expert,15899,Cytostatic effect in 3Y1 cells.,,N,3Y1 cell line,F,,10116.0,,1
533,Rattus norvegicus,80622,,,1,,,Intermediate,15899,"Mean averaged concentration for total growth inhibition, which signifies cytostatic effect",,N,3Y1 cell line,F,,10116.0,,1
534,Rattus norvegicus,80622,,,1,,,Expert,17038,Concentration to inhibit growth of normal rat fibroblast cells (3Y1-B cells) after 72 h exposure,,N,3Y1 cell line,F,,10116.0,,1
535,,22226,,,1,,,Autocuration,12421,In vitro inhibitory activity against human adrenal 3-beta hydroxy-delta 5-teroid isomerase,,U,,B,,,,0
536,,22226,,,1,,,Autocuration,12947,Inhibition of recombinant human adrenal 3-beta-hydroxy-delta-5-steroid dehydrogenase,,U,,B,,,,0
537,,22226,,,1,,,Autocuration,12947,Inhibition of recombinant rat adrenal 3-beta-hydroxy-delta-5-steroid dehydrogenase,,U,,B,,,,0
538,Sus scrofa,11607,,,1,,,Expert,4896,In vitro inhibition against of 4-Hydroxyphenylpyruvate dioxygenase (4-HPPD) from pig liver by the enol borate method,,D,,B,,9823.0,,9
539,,11607,,,1,,,Autocuration,6148,In vitro inhibitory concentration required against 4-hydroxyphenylpyruvate dioxygenase (4-HPPD) taken from pig liver,,H,,B,,,,8
540,,11607,,,1,,,Autocuration,16432,Inhibition of pig liver 4-Hydroxyphenylpyruvate dioxygenase (4-HPPD) enzyme,,H,,B,,,,8
541,,11607,,,1,,,Expert,4978,Concentration required to achieve 50% inhibition against 4-Hydroxyphenylpyruvate dioxygenase (HPPD) from pig liver,,H,,B,,,,8
542,,11607,,,1,,,Expert,4978,Concentration required to achieve 50% inhibition against 4-Hydroxyphenylpyruvate dioxygenase (HPPD) from pig liver; (observed value),,H,,B,,,,8
543,,11607,,,1,,,Autocuration,3723,In vitro inhibitory activity against HPPD(4-hydroxyphenylpyruvate Dioxygenase) from pig liver using enol borate assay method,,H,,B,,,,8
544,,11607,,,1,,,Autocuration,3518,Compound was evaluated for complete competitive inhibition of 4-hydroxyphenylpyruvate dioxygenase (HPPD),,H,,B,,,,8
545,,11607,,,1,,,Autocuration,4164,In vitro inhibition of 4-hydroxyphenylpyruvate dioxygenase obtained from purified pig liver by enol-borate method,,H,,B,,,,8
546,,11607,,,1,,,Autocuration,3518,Inhibitory activity on pig liver 4-hydroxyphenylpyruvate dioxygenase (HPPD) was evaluated,,H,,B,,,,8
547,Sus scrofa,11607,,,1,,,Expert,4164,Inhibition of 4-hydroxyphenylpyruvate dioxygenase of purified pig liver by enol-borate method,,D,,B,,9823.0,,9
548,,11607,,,1,,,Autocuration,3518,The inhibitory activity on pig liver 4-hydroxyphenylpyruvate dioxygenase (HPPD) was evaluated.,,H,,B,,,,8
549,,11607,,,1,,,Autocuration,3518,Compound was evaluated for competitive inhibition of 4-hydroxyphenylpyruvate dioxygenase (HPPD) (complete inhibition was observed at a concentration of 0.5-1.0 mM),,H,,B,,,,8
550,,11607,,,1,,,Autocuration,4978,Concentration required to achieve 50% inhibition against 4-hydroxyphenylpyruvate dioxygenase from pig liver,,H,,B,,,,8
551,,11607,,,1,,,Autocuration,4978,Concentration required to achieve 50% inhibition against 4-hydroxyphenylpyruvate dioxygenase from pig liver; (observed value),,H,,B,,,,8
552,,104733,,,1,,,Autocuration,6455,Binding affinity against melatonin (MT1) receptor (pC1),,H,,B,,,,4
553,,22226,,,1,,,Autocuration,2222,Compound was tested for inhibitory activity against 5-hydroxytryptamine 1 receptor,,U,,B,,,,0
554,,22226,,,1,,,Autocuration,13020,Inhibition of [3H]- 5-HT binding to 5-hydroxytryptamine 1 receptor at 10e-5 M,,U,,B,,,,0
555,,22226,,,1,,,Autocuration,13021,Inhibition of [3H]5-HT binding to 5-hydroxytryptamine 1 receptor of central nervous system,,U,,B,,,,0
556,,10619,,,1,,,Autocuration,14532,Inhibitory activity against 5-hydroxytryptamine 1 receptor using [3H]5-HT as radioligand at 10e-5 M concentration,,H,,B,,,,8
557,,10619,,,1,,,Autocuration,14118,Binding affinity against 5-hydroxytryptamine 1 receptor using [3H]5-HT as radioligand,,H,,B,,,,8
558,,51,10000000.0,,1,,,Autocuration,11884,Binding affinity at 5-hydroxytryptamine 1A receptor in bovine hippocampal preparation using [3H]8-OH-DPAT,,H,,B,,,Hippocampus,8
559,,51,,,1,,,Expert,13969,Binding affinity against 5-hydroxytryptamine 1A receptor was measured using [3H]8-OH-DPAT as radioligand,,H,,B,,,,8
560,,51,,,1,,,Expert,13392,Binding affinity for 5-hydroxytryptamine 1A receptor,,H,,B,,,,8
561,,51,,,1,,,Expert,14430,Affinity towards 5-hydroxytryptamine 1A receptor in membranes from bovine hippocampus using [3H]OH-DPAT,,H,,B,,,,8
562,,51,10000000.0,,1,,,Autocuration,12248,Compound was evaluated for the binding affinity against [3H]8-OH-DPAT-labeled 5-hydroxytryptamine 1A receptor sites in bovine hippocampus,,H,,B,,,Hippocampus,8
563,,51,10000000.0,,1,,,Autocuration,12249,Compound was evaluated for the binding affinity against [3H]8-OH-DPAT-labeled 5-hydroxytryptamine 1A receptor sites in bovine hippocampus,,H,,B,,,Hippocampus,8
564,,51,10000000.0,,1,,,Autocuration,9995,In vitro inhibition of [3H]5-HT (2 nM) binding to 5-HT1A receptor from bovine hippocampus,,H,,B,,,Hippocampus,8
565,,51,10000000.0,,1,,,Autocuration,9995,In vitro inhibition of [3H]5-HT (2 nM) binding to 5-hydroxytryptamine 1A receptor from bovine hippocampus,,H,,B,,,Hippocampus,8
566,,51,10000000.0,,1,,,Autocuration,9995,In vitro inhibition of azido-[125I]-IPAPP (0.25 nM) binding to 5-HT1A receptor from bovine hippocampus,,H,,B,,,Hippocampus,8
567,,51,10000000.0,,1,,,Autocuration,9995,In vitro inhibition of [125I]IPAPP (0.25 nM) binding to 5-HT1A receptor from bovine hippocampus,,H,,B,,,Hippocampus,8
568,,51,10000000.0,,1,,,Autocuration,9995,In vitro inhibition of [125I]IPAPP (2.5 nM) binding to 5-hydroxytryptamine 1A receptor from bovine hippocampus,,H,,B,,,Hippocampus,8
569,,51,10000000.0,,1,,,Autocuration,12249,Inhibitory concentration against [3H]8-OH-DPAT-labeled 5-hydroxytryptamine 1A receptor sites in bovine hippocampus,,H,,B,,,Hippocampus,8
570,,51,10000000.0,,1,,,Autocuration,11799,"Compound was tested for binding affinity against 5-hydroxytryptamine 1A receptor from bovine hippocampus, used [3H]8-OH-DPAT as radioligand",,H,,B,,,Hippocampus,8
571,Rattus norvegicus,10576,,,1,,,Expert,14331,Displacement of [3H]8-OH-DPAT from 5-hydroxytryptamine 1A receptor of rat hippocampal membranes,Membranes,D,,B,,10116.0,,9
572,Bos taurus,51,10000000.0,,1,,,Expert,11884,Displacement of [3H]8-OH-DPAT from 5-hydroxytryptamine 1A receptor of bovine hippocampus.,,H,,B,,9913.0,Hippocampus,8
573,,51,10000000.0,,1,,,Autocuration,14331,Binding affinity of compound towards 5-hydroxytryptamine 1A receptor using [3H]8-OH-DPAT (0.5 nM) ligand in hippocampus + frontal bovine was determined,,H,,B,,,Hippocampus,8
574,,51,10000000.0,,1,,,Autocuration,11701,Compound was evaluated for its ability to displace [3H]DPAT from 5-HT1A receptor in homogenates of bovine hippocampus,,H,,B,,,Hippocampus,8
575,,51,10000000.0,,1,,,Expert,11701,Ability to displace [3H]-DPAT from 5-hydroxytryptamine 1A receptor in homogenates of bovine hippocampus.,,H,,B,,,Hippocampus,8
576,,51,10000000.0,,1,,,Autocuration,12248,Compound was evaluated for the binding affinity against [3H]8-OH-DPAT-labeled 5-hydroxytryptamine 1A receptor in bovine hippocampus,,H,,B,,,Hippocampus,8
577,,51,,,1,,,Autocuration,12248,Compound was evaluated for the binding affinity against [3H]8-OH-DPAT-labeled 5-hydroxytryptamine 1A receptor sites in CHO cells,,H,CHO,B,,,,8
578,,51,10000000.0,,1,,,Expert,12248,Binding affinity against [3H]8-OH-DPAT-labeled 5-hydroxytryptamine 1A receptor sites in bovine hippocampus,,H,,B,,,Hippocampus,8
579,,51,10000000.0,,1,,,Expert,12249,Binding affinity against [3H]8-OH-DPAT-labeled 5-hydroxytryptamine 1A receptor sites in bovine hippocampus,,H,,B,,,Hippocampus,8
580,,51,,,1,,,Autocuration,12248,Compound was evaluated for the binding affinity against [3H]8-OH-DPAT-labeled 5-hydroxytryptamine 1A receptor sites in cloned CHO cells,,H,CHO,B,,,,8
581,,51,10000000.0,,1,,,Expert,11799,"Binding affinity against 5-hydroxytryptamine 1A receptor from bovine hippocampus, used [3H]8-OH-DPAT as radioligand",,H,,B,,,Hippocampus,8
582,,51,,,1,,,Autocuration,634,Compound was tested for its binding affinity against 5-hydroxytryptamine 1A receptor using [3H]8-OH-DPAT radioligand,,H,,B,,,,8
583,,51,10000000.0,,1,,,Autocuration,9995,In vitro inhibition of [3H]5-HT (2 nM) binding to 5-HT1A receptor from bovine hippocampus,,H,,B,,,Hippocampus,8
584,,51,10000000.0,,1,,,Autocuration,9995,In vitro inhibition of [3H]5-HT (2 nM) binding to 5-hydroxytryptamine 1A receptor from bovine hippocampus,,H,,B,,,Hippocampus,8
585,,51,10000000.0,,1,,,Autocuration,9995,In vitro inhibition of [3H]DPAT (1 nM) binding to 5-HT1A receptor from bovine hippocampus,,H,,B,,,Hippocampus,8
586,,51,10000000.0,,1,,,Autocuration,9995,In vitro inhibition of [3H]DPAT (1 nM) binding to 5-hydroxytryptamine 1A receptor from bovine hippocampus,,H,,B,,,Hippocampus,8
587,,51,10000000.0,,1,,,Autocuration,9995,In vitro inhibition of [3H]DPAT (1 nM) binding to 5-HT1A receptor from bovine hippocampus,,H,,B,,,Hippocampus,8
588,,51,10000000.0,,1,,,Expert,12210,In vivo binding affinity towards [3H]8-OH-DPAT-labeled 5-hydroxytryptamine 1A receptor sites in bovine hippocampus.,,H,,B,,,Hippocampus,8
589,,51,10000000.0,,1,,,Expert,13311,Tested for activity against 5-hydroxytryptamine 1A receptor from bovine hippocampus,,H,,B,,,Hippocampus,8
590,Homo sapiens,51,,,1,,,Expert,2331,"Tested in vitro for the inhibition of [3H]8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor, expressed in cloned CHO cells.",,D,CHO,B,,9606.0,,9
591,Cavia porcellus,51,,,1,,,Autocuration,1375,Compound was tested for the inhibition of forskolin-stimulated adenylate cyclase at 5-hydroxytryptamine 1A receptor in guinea pig,,H,,F,,10141.0,,8
592,Cavia porcellus,51,,,1,,,Autocuration,1375,Compound was tested for the inhibition of forskolin-stimulated adenylate cyclase at 5-hydroxytryptamine 1A receptor in guinea pig; NT means not tested,,H,,F,,10141.0,,8
593,Cavia porcellus,51,10000000.0,,1,,,Autocuration,11574,Effect on forskolin stimulated adenylate cyclase activity at 5-hydroxytryptamine 1A receptor of guinea pig hippocampus.,,H,,F,,10141.0,Hippocampus,8
594,Cavia porcellus,51,2116.0,,1,,,Autocuration,12867,Ability to antagonize Acetylcholine induced contractile responses in Guinea pig ileum for 5-HT1A receptor.,,H,,B,,10141.0,Ileum,8
595,Cavia porcellus,51,2116.0,,1,,,Autocuration,12867,Ability to antagonize Acetylcholine induced contractile responses in Guinea pig ileum for 5-HT1A receptor. Inactive at dose level of 1.0 uM,,H,,B,,10141.0,Ileum,8
596,Cavia porcellus,51,2116.0,,1,,,Autocuration,12867,Ability to antagonize electrical induced contractile responses in Guinea pig ileum for 5-HT1A receptor.,,H,,B,,10141.0,Ileum,8
597,Cavia porcellus,51,2116.0,,1,,,Autocuration,12867,Ability to antagonize electrical induced contractile responses in Guinea pig ileum for 5-HT1A receptor. Inactive at dose level of 1.0 uM,,H,,B,,10141.0,Ileum,8
598,Cavia porcellus,51,2116.0,,1,,,Autocuration,12867,Ability to antagonize electrical induced contractile responses in Guinea pig ileum for 5-HT1A receptor. Inactive at dose level of 1.0 uM,,H,,B,,10141.0,Ileum,8
599,Cavia porcellus,51,2116.0,,1,,,Autocuration,12867,Ability to antagonize electrical induced contractile responses in Guinea pig ileum for 5-HT1A receptor; Inactive at dose level of 1.0 uM,,H,,B,,10141.0,Ileum,8
600,Cavia porcellus,51,,,1,,,Autocuration,11574,Binding affinity against 5-hydroxytryptamine 1A receptor,,H,,B,,10141.0,,8
601,Cavia porcellus,51,,,1,,,Autocuration,13114,Compound is evaluated for in vitro receptor binding affinity against 5-hydroxytryptamine 1A receptor,,H,,B,,10141.0,,8
602,Cavia porcellus,51,,,1,,,Autocuration,13181,Binding affinity was determined against 5-hydroxytryptamine 1A receptor,,H,,B,,10141.0,,8
603,Cavia porcellus,106,10000000.0,,1,,,Autocuration,10639,Inhibition of Forskolin-stimulated adenylate cyclase activity against 5-hydroxytryptamine 1A receptor of guinea pig hippocampus,,H,,B,,10141.0,Hippocampus,8
604,Cavia porcellus,106,10000000.0,,1,,,Autocuration,10639,Inhibition of Forskolin-stimulated adenylate cyclase activity against 5-hydroxytryptamine 1A receptor of guinea pig hippocampus,,H,,F,,10141.0,Hippocampus,8
605,Cricetulus griseus,11863,,,1,,,Autocuration,11883,In vitro binding affinity against 5-hydroxytryptamine 1A receptor using [3H]-8-OH-DPAT as radioligand in CHO cells (sc),,H,CHO,B,,10029.0,,8
606,,51,,,1,,,Autocuration,17785,Fraction involved in salt bridge interactions with Asp3:11 part of the 5-hydroxytryptamine 1A receptor,,H,,B,,,,8
607,,51,,,1,,,Autocuration,1558,Compound was tested for its ability to inhibit forskolin-stimulated activity of adenylate cyclase coupled to human 5-HT 1A receptor in HeLa cells; value ranges from 85-370,,H,HeLa,F,,,,8
608,,51,,,1,,,Autocuration,1558,Compound was tested for its ability to inhibit forskolin-stimulated activity of adenylate cyclase coupled to human 5-hydroxytryptamine 1A receptor in HeLa cells; value ranges from 95-320,,H,HeLa,F,,,,8
609,,51,,,1,,,Autocuration,15740,EC50 for inhibition of 50 uM forskolin-stimulated cAMP accumulation against 5-hydroxytryptamine 1A receptor,,H,,F,,,,8
610,,51,,,1,,,Autocuration,17624,Effective concentration against binding of radioligand [35S]GTP-gamma-S in CHO cells expressing human 5-hydroxytryptamine 1A receptor,,H,CHO,F,,,,8
611,,51,,,1,,,Expert,17624,Effective concentration against binding of radioligand [35S]GTP-gamma-S in CHO cells expressing human 5-hydroxytryptamine 1A receptor,,H,CHO,F,,,,8
612,,51,,,1,,,Autocuration,17624,Effective concentration against binding of radioligand [35S]GTP-gamma-S in CHO cells expressing human 5-hydroxytryptamine 1A receptor; nd=Not determined,,H,CHO,F,,,,8
613,,51,,,1,,,Autocuration,17624,Effective concentration against binding of radioligand [35S]GTP-gamma-S in CHO cells expressing human 5-hydroxytryptamine 1A receptor; nd=not determined,,H,CHO,F,,,,8
614,,51,,,1,,,Expert,17624,Effective concentration against human 5-hydroxytryptamine 1A receptor using cAMP as radioligand in CHO cells,,H,CHO,B,,,,8
615,,51,,,1,,,Expert,17624,Effective concentration against human 5-hydroxytryptamine 1A receptor using cAMP as radioligand in CHO cells,,H,CHO,B,,,,8
616,,51,,,1,,,Autocuration,17624,Effective concentration against human 5-hydroxytryptamine 1A receptor using cAMP as radioligand in CHO cells; nd=not determined,,H,CHO,B,,,,8
617,,51,,,1,,,Autocuration,14256,In vitro potency at human 5-hydroxytryptamine 1A receptor in inhibiting forskolin-stimulated accumulation of intracellular cAMP,,H,,F,,,,8
618,Homo sapiens,51,,,1,,,Expert,3445,Stimulation of [35S]- GIPyS binding to cloned human 5-hydroxytryptamine 1A receptor stably expressed in HeLa cells,,D,HeLa,B,,9606.0,,9
619,Homo sapiens,51,,,1,,,Expert,3445,Stimulation of [35S]- GIPyS binding to cloned human 5-hydroxytryptamine 1A receptor stably expressed in HeLa cells; Inverse,,D,HeLa,B,,9606.0,,9
620,Homo sapiens,51,,,1,,,Expert,17200,Tested for functional response on CHO cells expressing cloned human 5-hydroxytryptamine 1A receptor,,D,CHO,B,,9606.0,,9
621,Homo sapiens,51,,,1,,,Expert,17200,Tested for functional response on CHO cells expressing cloned human 5-hydroxytryptamine 1A receptor; Not determined,,D,CHO,B,,9606.0,,9
622,,51,,,1,,,Autocuration,15180,Eudisimic ratio(ER) is the antilog of the defference between the pKb and pD2 values against 5-hydroxytryptamine 1A receptor,,H,,F,,,,8
623,,51,,,1,,,Autocuration,15180,Eudisimic ratio(ER) is the antilog of the difference between the pKb and pD2 values against 5-hydroxytryptamine 1A receptor,,H,,F,,,,8
624,,51,,,1,,,Autocuration,16026,"Percent of maximum effect on binding of [35S]GTP-gamma-S, to HeLa cell membranes expressing the human 5-hydroxytryptamine 1A receptor",,H,,F,,,,8
625,,51,,,1,,,Autocuration,2759,Agonistic efficacy was evaluated by adenylyl cyclase assay in CHO cells stably expressing the human 5-HT1A receptor,,H,CHO,F,,,,8
626,Homo sapiens,51,,,1,,,Expert,2759,Agonistic efficacy as adenylyl cyclase assay in CHO cells expressing human 5-HT1A receptor (experiment 1),,D,CHO,F,,9606.0,,9
627,,51,,,1,,,Autocuration,2759,Agonistic efficacy was evaluated by adenylyl cyclase assay in CHO cells stably expressing the human 5-HT1A receptor (experiment 2),,H,CHO,F,,,,8
628,Homo sapiens,51,,,1,,,Expert,2759,Agonistic efficacy in adenylyl cyclase assay in CHO cells expressing human 5-HT1A receptor (experiment 2),,D,CHO,F,,9606.0,,9
629,,51,,,1,,,Autocuration,2759,Antagonistic efficacy was evaluated by adenylyl cyclase assay in CHO cells stably expressing the human 5-HT1A receptor,,H,CHO,F,,,,8
630,,51,,,1,,,Autocuration,2759,Antagonistic efficacy was evaluated by adenylyl cyclase assay in CHO cells stably expressing the human 5-HT1A receptor (experiment 1),,H,CHO,F,,,,8
631,Homo sapiens,51,,,1,,,Expert,2759,Antagonistic efficacy as adenylyl cyclase assay in CHO cells expressing human 5-HT1A receptor (experiment 1),,D,CHO,F,,9606.0,,9
632,,51,,,1,,,Autocuration,2759,Antagonistic efficacy was evaluated by adenylyl cyclase assay in CHO cells stably expressing the human 5-HT1A receptor (experiment 2),,H,CHO,F,,,,8
633,Homo sapiens,51,,,1,,,Expert,2759,Antagonistic efficacy as adenylyl cyclase assay in CHO cells expressing human 5-HT1A receptor (experiment 2),,D,CHO,F,,9606.0,,9
634,Homo sapiens,51,,,1,,,Expert,3445,Percent efficacy against cloned human 5-hydroxytryptamine 1A receptor normalized to the maximal 5-HT response,,D,,F,,9606.0,,9
635,Homo sapiens,51,,,1,,,Expert,5272,"Agonist activity at the 5-hydroxytryptamine 1A receptor was determined in vitro using a [35S]GTP-gamma-S,",,D,,F,,9606.0,,9
636,Homo sapiens,51,,,1,,,Expert,5272,"Agonist activity at the 5-hydroxytryptamine 1A receptor in vitro using a [35S]GTP-gamma-S, No data",,D,,F,,9606.0,,9
637,Homo sapiens,51,,,1,,,Expert,5272,"Agonist activity at the 5-hydroxytryptamine 1A receptor determined in vitro using a [35S]GTP-gamma-S,",,D,,F,,9606.0,,9
638,,51,,,1,,,Autocuration,17624,Agonistic effect against 5-HT1A receptor using cAMP as radioligand relative to 5-HT in inhibiting forskolin-stimulated adenylate cyclase activity in CHO cells,,H,CHO,F,,,,8
639,,51,,,1,,,Autocuration,17624,Agonistic effect against 5-hydroxytryptamine 1A receptor using cAMP as radioligand relative to 5-HT in inhibiting forskolin-stimulated adenylate cyclase activity in CHO cells,,H,CHO,F,,,,8
640,,51,,,1,,,Autocuration,17624,Agonistic effect against 5-hydroxytryptamine 1A receptor using cAMP as radioligand relative to 5-HT in inhibiting forskolin-stimulated adenylate cyclase activity in CHO cells; nd=Not determined,,H,CHO,F,,,,8
641,,51,,,1,,,Expert,17624,Agonistic effect against 5-hydroxytryptamine 1A receptor using cAMP as radioligand relative to 5-HT in inhibiting forskolin-stimulated adenylate cyclase activity in CHO cells,,H,CHO,F,,,,8
642,,51,,,1,,,Autocuration,17624,Agonistic effect against 5-hydroxytryptamine 1A receptor using cAMP as radioligand relative to 5-HT in inhibiting forskolin-stimulated adenylate cyclase activity in CHO cells; nd=Not determined,,H,CHO,F,,,,8
643,,51,,,1,,,Autocuration,17624,Agonistic effect against 5-hydroxytryptamine 1A receptor using cAMP as radioligand relative to 5-HT in inhibiting forskolin-stimulated adenylate cyclase activity in CHO cells; nd=not determined,,H,CHO,F,,,,8
644,,51,,,1,,,Autocuration,17624,Agonistic effect against 5-HT 1A receptor using [35S]GTP-gamma-S as radioligand in CHO cells relative to 5-HT,,H,CHO,F,,,,8
645,,51,,,1,,,Autocuration,17624,Agonistic effect against 5-HT 1A receptor using [35S]GTP-gamma-S as radioligand in CHO cells relative to 5-HT; nd=Not determined,,H,CHO,F,,,,8
646,,51,,,1,,,Expert,17624,Agonistic effect against 5-hydroxytryptamine 1A receptor using [35S]GTP-gamma-S as radioligand in CHO cells relative to 5-HT,,H,CHO,F,,,,8
647,,51,,,1,,,Autocuration,17624,Agonistic effect against 5-hydroxytryptamine 1A receptor using [35S]GTP-gamma-S as radioligand in CHO cells relative to 5-HT; nd=not determined,,H,CHO,F,,,,8
648,,51,,,1,,,Autocuration,17624,Agonistic effect against 5-hydroxytryptamine 1A receptor using [35S]GTP-gamma-S as radioligand in CHO cells relative to 5-HT,,H,CHO,F,,,,8
649,,51,,,1,,,Autocuration,17624,Agonistic effect against 5-hydroxytryptamine 1A receptor using [35]GTPgammaS as radioligand in CHO cells relative to 5-HT; nd=Not determined,,H,CHO,F,,,,8
650,,51,,,1,,,Autocuration,6563,"Agonistic activity of compound towards 5-hydroxytryptamine 1A receptor was evaluated by [35S]GTP-gamma-S, stimulated cAMP assay",,H,,F,,,,8
651,,51,,,1,,,Autocuration,6563,"Agonistic activity of compound towards 5-hydroxytryptamine 1A receptor was evaluated by [35S]GTP-gamma-S, stimulated cAMP assay",,H,,F,,,,8
652,,51,,,1,,,Autocuration,6563,Agonistic activity of compound towards 5-hydroxytryptamine 1A receptor was evaluated by forskolin stimulated cAMP assay,,H,,F,,,,8
653,,51,,,1,,,Autocuration,17296,Binding affinity against human 5-hydroxytryptamine 1A receptors HEK 293 cell membranes using [35S]GTP gamma-S,,H,HEK293,F,,,,8
654,Homo sapiens,51,,,1,,,Expert,6876,"Evaluated for stimulation at 1 uM concentration expressed as percent of the maximal [35S]GTP-gamma-S, binding induced by 5-hydroxytryptamine",,D,,F,,9606.0,,9
655,,51,,,1,,,Expert,6876,"Stimulation of percent maximal [35S]GTP-gamma-S, binding induced by 5-hydroxytryptamine at 1 uM; nd = not determined",,H,,F,,,,8
656,Homo sapiens,51,,,1,,,Expert,5272,In vitro agonist activity at the 5-hydroxytryptamine 1A receptor,,D,,F,,9606.0,,9
657,Homo sapiens,51,,,1,,,Expert,5272,In vitro agonist activity at the 5-hydroxytryptamine 1A receptor; No data,,D,,F,,9606.0,,9
658,,51,,,1,,,Autocuration,5548,"Maximal response as a result of 5-HT1A receptor-mediated stimulation of [35S]GTP-gamma-S, binding; Not determined",,H,,F,,,,8
659,,51,,,1,,,Expert,5548,"Maximal response as a result of 5-hydroxytryptamine 1A receptor-mediated stimulation of [35S]GTP-gamma-S, binding",,H,,F,,,,8
660,,51,,,1,,,Autocuration,5548,"Maximal response as a result of 5-hydroxytryptamine 1A receptor-mediated stimulation of [35S]GTP-gamma-S, binding; Not determined",,H,,F,,,,8
661,,51,,,1,,,Autocuration,5548,"Maximal response as a result of 5-hydroxytryptamine 1A receptor-mediated stimulation of [35S]GTP-gamma-S, binding; Not determined",,H,,F,,,,8
662,,51,,,1,,,Expert,5929,"Maximal stimulation of expressed human 5-hydroxytryptamine 1A receptor assayed by [35S]GTP-gamma-S, binding",,H,,F,,,,8
663,Homo sapiens,51,,,1,,,Expert,5929,"Maximal response towards 5-hydroxytryptamine 1A receptor in human using [35S]GTP-gamma-S, as radioligand; ND means not determined",,D,,F,,9606.0,,9
664,Homo sapiens,51,,,1,,,Expert,5929,"Maximal response towards 5-hydroxytryptamine 1A receptor in human using [35S]GTP-gamma-S, as radioligand; ND=Not determined",,D,,F,,9606.0,,9
665,,51,,,1,,,Autocuration,16245,"Maximal stimulation was expressed as percentage of the maximal 5-HT response in the [35S]GTP-gamma-S, binding assay on 5-hydroxytryptamine 1A receptor",,H,,F,,,,8
