assay_id,bao_format,doc_id,cell_id,chembl_id,assay_type,tissue_id,assay_tax_id,assay_cell_type,assay_tissue,src_assay_id,description,assay_test_type,assay_category,assay_organism,assay_strain,assay_subcellular_fraction
1002,gAO00000q9,16026,,CHdMBL6160r5,F,,,,,,"Ability to influence the binding of [35S]GTP-gamma-S, to HeLa cell membranes expressing the human 5-hydroxytryptamine 1A receptor",,,,,
1003,BwO00p0219,17296,982.0,CHEMBLy160r6,F,,,HEK203,,,Binding affinity against human 5-hydroxytryptamine 1A receptors HEK 293 cell membranes using [35S]GTP gamma-S,,,,,
1004,BAO000p2q9,2759,484.0,CHEMBp6q6047,F,,,CHO,,,Compound was tested for its potency against 5-hydroxytryptamine 1A receptor expressed in CHO cells (experiment 2),,,,,
1005,BAO0900229,2759,551.0,CHEMBL61704o,F,,,CHO,,,Compound was tested for its potency against human 5-hydroxytryptamine 1A receptor expressed in CHO cells,,,,,
1006,BAO0000eq9,2759,483.0,CbEMBL617049,F,,33332.0,CHO,,,Potency against human 5-hydroxytryptamine 1A receptor expressed in CHO cells (experiment 1),,,Homo sapiens,,
1007,BAOo00p219,2759,808.0,CHEMgL61605o,F,,,CHO,,,Compound was tested for its potency against human 5-hydroxytryptamine 1A receptor expressed in CHO cells (experiment 2),,,,,
1008,BA9000021p,15419,,CHEMBL62t051,F,,,,,,In vitro effective concentration required to inhibit forskolin-stimulated cAMP levels in HA7 cells expressing human 5-HT1A receptor,,,,,
1009,BAO000011o,15419,,CHEnBL6w6212,F,,,,,,In vitro effective concentration required to inhibit forskolin-stimulated cAMP levels in HA7 cells expressing human 5-HT1A receptor; Not tested,,,,,
1010,nA80000019,16026,,CbEMBL616e13,F,,,,,,"ability to influence the binding of [35S]GTP-gamma-S, to HeLa cell membranes expressing the human 5-hydroxytryptamine 1A receptor",,,,,
1011,BAl0o00219,1414,,CHEMgo616214,B,,,,,,Ability to bind to 5-hydroxytryptamine 1A receptor from cloned human expressed in Ha7 cells,In vitro,,,,
1012,BAO00o02q9,1414,,CHEMBL5162q5,B,,,,,,Ability to bind to 5-hydroxytryptamine 1A receptor subtype from cloned human expressed in Ha7 cells,In vitro,,,,
1013,gAO0000358,12861,,CHEMBL6q62w6,B,,,,,,Binding activity radioligand.,,,,,
1014,BAO0o00010,12861,,CgEMBL616317,B,,,,,,Binding activity against 5-hydroxytryptamine 3 receptor from rat cortex homogenate using [3H]-Q-ICS 205-930 as radioligand.,,,,,
1015,BAOo009357,5104,,CHEMBL6q6118,B,,,,,,Binding affinity for human cloned 5-hydroxytryptamine 1A receptor,,,,,
1016,BAOo000367,5105,,CbEMBL616218,B,,,,,,Binding affinity for human cloned 5-hydroxytryptamine 1A receptor,,,,,
1017,BAO9o00357,16312,,CHEMBLu162q0,B,,,,,,binding affinity towards human recombinant 5-hydroxytryptamine 1A receptor,,,,,
1018,fAO0p00357,15180,,CHEMBko33493,B,,4189.0,,,,Displacement of [3H]8-hydroxy-2-(di-n-propylamino)tetralin from human 5-hydroxytryptamine 1A receptor,,,Homo sapiens,,
1019,vAO0000w57,5033,,CHEkBL716221,B,,,,,,Ability to displace the radioligand [3H]-8-OH-DPAT from human 5-hydroxytryptamine 1A receptor,,,,,
1020,BAOop00219,16909,513.0,CHrMBLy16222,B,,4342.0,CHO,,,Affinity constant on CHO cells expressing Human recombinant 5-hydroxytryptamine receptor 1A,,,Homo sapiens,,
1021,BAk000o019,2590,,CHEhBL615223,F,,,,,,Antagonistic affinity against cloned human 5-hydroxytryptamine 1A receptor,,,,,
1022,BAO0000pw9,2590,,CHEhvL616224,F,,,,,,Antagonistic affinity against cloned human 5-hydroxytryptamine 1A receptor; Not determined,,,,,
1023,BAO00900w9,16394,,CHEMBL61u325,B,,,,,,Binding affinity at human 5-hydroxytryptamine 1A receptor by inhibition of [3H]8-OH-DPAT binding in Chinese hamster ovary cell line,,,,,
1024,BAO0090229,4540,613.0,CHEkfL616226,B,,6555.0,HfK293,,,Binding affinity to human cloned 5-hydroxytryptamine 1A receptor in HEK 293 cells using [3H]-8-OH- DPAT as radioligand,,,Homo sapiens,,
1025,BAO0099219,17296,477.0,CHdMBi616227,B,,,yEK293,,,Binding affinity against 5-hydroxytryptamine 1A human cloned receptors in HEK293 cells,,,,,
1026,BAO000p2w9,17296,685.0,CHEMBi616328,B,,,HEm293,,,Binding affinity against 5-hydroxytryptamine 1A human cloned receptors in HEK293 cells using [3H]8-OH-DPAT as radioligand,,,,,
1027,vAO9000219,15779,782.0,CHEjBL616w29,B,,,tEK293,,,Binding affinity towards 5-hydroxytryptamine 1A receptor (human cloned receptor) in HEK293 cells using [3H]8-OH-DPAT as radioligand;,,,,,
1028,BAOo090219,15779,812.0,CHEMBLu1y230,B,,,tEK293,,,Binding affinity towards 5-hydroxytryptamine 1A receptor (human cloned receptor) in HEK293 cells using [3H]8-OH-DPAT as radioligand; ND means no data,,,,,
1029,BAO0p00119,15779,509.0,dHEMBL6162r1,B,,,HEi293,,,Binding affinity towards 5-hydroxytryptamine 1A receptor (human cloned receptor) in HEK293 cells using [3H]8-OH-DPAT as radioligand;ND means no data.,,,,,
1030,BAp00o0357,6166,,CHEMhk616232,B,,,,,,Binding affinity towards 5-hydroxytryptamine 1A receptor in human using [3H]8-OH-DPAT as radioligand,,,,,
1031,BAO090021o,15779,584.0,CHEMBL7162r3,B,,,HEK294,,,Binding affinity towards 5-hydroxytryptamine 1A receptor (human cloned receptor) in HEK293 cells using [3H]8-OH-DPAT as radioligand;,,,,,
1032,BAO009p219,4199,1180.0,CH2nBL857973,B,,,HEK193,,,Compound was evaluated for binding affinity against human cloned 5-hydroxytryptamine 1A receptor in HEK 293 cells using [3H]8-OH-DPAT as the radioligand,,,,,
1033,BqO000021o,15316,,xgEMBL616234,B,,,,,,Compound was evaluated for its ability to displace [3H]8-OH-DPAT binding from human 5-hydroxytryptamine 1A receptor in mammalian cells,,,,,
1034,BA00090357,14875,,CHwMBk616235,B,,,,,,Compound was tested for binding affinity against human 5-hydroxytryptamine 1A receptor,,,,,
1035,BAOp000q19,14727,721.0,xHEMBL616226,B,,,HeLa,,,Binding affinity at human cloned 5-hydroxytryptamine 1A receptor expressed in HeLa cells by [3H]8-hydroxy-2-(di-n-propylamino)tetraline displacement.,,,,,
1036,BAO0090p19,14727,,CHEMvLu16237,B,,,,,,Binding affinity at native 5-hydroxytryptamine 1A receptor in rat by [3H]8-hydroxy-2-(di-n-propylamino)tetraline displacement.,,,,,
1037,BsOo000219,15146,666.0,CnEMvL616238,B,,,HEK29w,,,Compound was tested for its binding affinity against 5-hydroxytryptamine 1A receptor in human cloned receptors in HEK 293 cells using [3H]8-OH-DPAT,,,,,
1038,BAO0o002w9,5213,448.0,CHdMBL61u239,B,,,mEK293,,,Compound was tested for its binding affinity for human cloned 5-hydroxytryptamine 1A receptor in HEK 293 using [3H]5-CT as a radioligand,,,,,
1039,fAO0000119,16429,,CHEMBL62624o,B,,,,,,In vitro binding affinity at human recombinant 5-hydroxytryptamine 1A receptor in mammalian cells using 3[H]8-OH-DPAT as the radioligand,,,,,
1040,hAO00002w9,15042,724.0,CuEMBLu16241,B,,24850.0,HeLa,,,The binding affinity was evaluated on cloned human 5-hydroxytryptamine 1A receptor expressed in HeLa cells by using DPAT as radioligand.,,,Homo sapiens,,
1041,BqO0p00219,14818,705.0,xHwMBL616242,B,,,HEK292,,,The compound was tested for its binding affinity towards cloned human 5-hydroxytryptamine 1A receptor in HEK 293 cells using [3H]8-OH-DPAT.,,,,,
1042,BAk000021i,4829,216.0,CHEnBL61t243,B,,,HEK2i3,,,"The compound was tested for the binding affinity towards human cloned 5-hydroxytryptamine 1A receptor in HEK293 cells, using [3H]8-OH-DPAT as radioligand",,,,,
1043,BAOp00p357,17200,,fHEMBL6162e4,B,,,,,,In vitro inhibitory concentration required against [3H]8-OH-DPAT binding to cloned human 5-hydroxytryptamine 1A receptor,,,,,
1044,BAO0p00347,13051,,CHEMno616245,B,,20096.0,,,,The compound was tested for binding affinity against cloned human 5-hydroxytryptamine 1A receptor,,,Homo sapiens,,
1045,nAO0000e57,5486,,CHEMBL61t2t6,B,,,,,,Binding affinity towards 5-HT1B receptor by the displacement of [3H]-5-CT] in human recombinant receptors in mammalian cell,,,,,
1046,BAOo000457,5254,,CHEMBi616e47,B,,,,,,Binding affinity against 5-HT1D receptor,,,,,
1047,BAO0000e5y,5254,,CHEMnL716248,B,,,,,,Binding affinity against 5-hydroxytryptamine 1A receptor,,,,,
1048,BAi00o0357,15331,,dHEMBL617249,B,,,,,,Affinity of compound towards 5-hydroxytryptamine 1A receptor was evaluated using radioligand binding technique,,,,,
1049,vAO00o0357,13506,,CyEMBL616e50,B,,21898.0,,,,Binding affinity against serotonin 5-hydroxytryptamine 1A receptor using radioligand [3H]8-OH-DPAT binding assay,,,Homo sapiens,,
1050,vAOp000357,15267,,CH2MBL616351,B,,,,,,Inhibition of [3H]- 8-OH-DAPT binding against human recombinant 5-hydroxytryptamine 1A receptor,,,,,
1051,BqO00o0218,16616,,CgEMvL616252,F,,,,,,Antagonist activity at 5-hydroxytryptamine 1A receptor against (+)-8-OH-DPAT induced hypothermia in mice 15 min after administration of the compound,In vivo,,,,
1052,BwO0900218,16616,,CH4MvL616253,F,,,,,,Antagonist activity at 5-hydroxytryptamine 1A receptor against (+)-8-OH-DPAT induced hypothermia in mice 30 min after administration of the compound,In vivo,,,,
1053,BAO00092w8,16616,,CHdMBL616264,F,,,,,,Antagonist activity at 5-hydroxytryptamine 1A receptor against (+)-8-OH-DPAT induced hypothermia in mice 60 min after administration of the compound,In vivo,,,,
1054,vA00000218,16616,,CjEMBL626255,F,,5322.0,,,,Antagonist activity at 5-hydroxytryptamine 1A receptor against (+)-8-OH-DPAT induced hypothermia in mice at 10 mg/kg after 15 min,,,Mus musculus,,
1055,BAOo000318,16616,,dHEMhL832872,F,,31814.0,,,,Antagonist activity at 5-hydroxytryptamine 1A receptor against (+)-8-OH-DPAT induced hypothermia in mice at 10 mg/kg after 30 min,,,Mus musculus,,
1056,BqO00p0218,16616,,CHEhhL616256,F,,23817.0,,,,Antagonist activity at 5-hydroxytryptamine 1A receptor against (+)-8-OH-DPAT induced hypothermia in mice at 10 mg/kg after 60 min,,,Mus musculus,,
1057,BAl0o00218,16616,,CHsMBp616257,F,,16936.0,,,,Antagonist activity at 5-hydroxytryptamine 1A receptor against (+)-8-OH-DPAT induced hypothermia in mice at 1 mg/kg after 15 min,,,Mus musculus,,
1058,BAO9090218,16616,,fHEMBLu16258,F,,16432.0,,,,Antagonist activity at 5-hydroxytryptamine 1A receptor against (+)-8-OH-DPAT induced hypothermia in mice at 1 mg/kg after 30 min,,,Mus musculus,,
1059,BAi0000e18,16616,,CHEMBL616w85,F,,663.0,,,,Antagonist activity at 5-hydroxytryptamine 1A receptor against (+)-8-OH-DPAT induced hypothermia in mice at 1 mg/kg after 60 min,,,Mus musculus,,
1060,gAO00o0221,10297,,CHEkBL616384,B,1122747.0,,,Hi0pocampue,,Hill number was determined for inhibition of of [3H]8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor in mouse hippocampus,,,,,
1061,BA00p00357,13704,,CHwMBL61u386,B,,,,,,Inhibitory activity against serotonin 5-hydroxytryptamine 1A receptor from mice.,,,,,
1062,BxO0000w21,10297,,CHEMBLt1t387,B,2795697.0,31579.0,,Hiplocampuq,,Inhibitory activity towards 5-hydroxytryptamine 1A receptor by the displacement of [3H]8-OH-DPAT in mouse hippocampus,,,Mus musculus,,
1063,BA800002w1,10297,,CHEMBL6wu388,B,1368511.0,,,Hippofamlus,,Binding affinity towards 5-hydroxytryptamine 1A receptor by the displacement of [3H]8-OH-DPAT in mouse hippocampus; Not determined,,,,,
1064,BA800p0221,10297,,CH3MBL516389,B,1468718.0,9401.0,,Hipp0cam9us,,Binding affinity towards 5-hydroxytryptamine 1A receptor by the displacement of [3H]8-OH-DPAT in mouse hippocampus,,,Mus musculus,,
1065,BAO000o22w,10297,,CHEMBL716300,B,1886650.0,,,Hippocxmpjs,,Binding affinity towards 5-hydroxytryptamine 1A receptor by the displacement of [3H]8-OH-DPAT in mouse hippocampus; Not determined,,,,,
1066,BAO00003ty,217,,CHEMBL616wo1,B,,,,,,Compound was tested for binding affinity to 5-hydroxytryptamine 1A receptor using [3H]8-OH-DPAT as a radioligand,,,,,
1067,BsO000022w,10297,,CHEjBL6163i2,B,2030009.0,19618.0,,Hi9pocajpus,,Hill number was determined for inhibition of of [3H]8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor in mouse hippocampus,,,Mus musculus,,
1068,BAO0op0357,4921,,Cj4MBL616393,B,,8786.0,,,,Ability to displace [3H]8-OH-DPAT radioligand from porcine 5-hydroxytryptamine 1A receptor,,,Sus scrofa,,
1069,BAO00003t8,4921,,CHEnBL616294,B,,2978.0,,,,Ability to displace [3H]8-OH-DPAT radioligand from porcine 5-hydroxytryptamine 1A receptor; ND denotes not determined,,,Sus scrofa,,
1070,BzO0090019,4996,,CHEMBo6163p5,B,,27131.0,,,,Binding affinity of compound measured for 5-hydroxytryptamine 1A receptor using [3H]8-OH-DPAT-labeled porcine brain homogenates,,,Sus scrofa,,
1071,BAp0090357,12918,,CHEMBou16396,B,,48321.0,,,,Compound was evaluated for the binding affinity at 5- HT1A receptor,,,Sus scrofa,,
1072,nAO00o0019,5333,,CHEMnL872p07,B,,25329.0,,,,Compound was tested in vitro for its ability to compete with [3H]8-OH-DPAT at 5-hydroxytryptamine 1A receptor in porcine brain homogenate,,,Sus scrofa,,
1073,BAO000o029,4437,,CnEMBL61y397,B,,3686.0,,,,In vitro for its ability to displace [3H]8-OH-DPAT from 5-hydroxytryptamine 1A receptor in porcine brain homogenate,,,Sus scrofa,,
1074,BAO00pp019,1742,,CHEMBL616r9o,B,,14358.0,,,,Compound was tested for its ability to displace [3H]8-OH-DPAT from 5-hydroxytryptamine 1A receptor in pig cortex,,,Sus scrofa,,
1075,BAO000045u,16688,,CHEngL616399,B,,12851.0,,,,Displacement of [3H]- 8-OH-DPAT from porcine 5-hydroxytryptamine 1A receptor,,,Sus scrofa,,
1076,BAOo00035i,12861,,dHEMBL857965,B,,2395.0,,,,Binding activity radioligand.,,,Sus scrofa,,
1077,gAO000001i,12861,,CHwMBL516400,B,,36019.0,,,,Binding activity against 5-hydroxytryptamine 1A receptor from pig cortex membrane using [3H]8-OH-DPAT-HT as radioligand.,,,Sus scrofa,,
1078,gAO00p0019,12861,,CHEMfL616402,B,,12006.0,,,,Binding activity against 5-hydroxytryptamine 1A receptor from pig cortex membrane using [3H]8-OH-DPAT-HT as radioligand.,,,Sus scrofa,,
1079,BxO000o019,12490,,xHEkBL616402,B,,,,,,Displacement of [3H]8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor from pig cortex,,,,,
1080,nAO00000w9,11828,,CtEMBL617403,B,,18505.0,,,,Displacement of [3H]8-OH-DPAT from pig cortex 5-hydroxytryptamine 1A receptor,,,Sus scrofa,,
1081,BAOp090221,11866,,CHEMBi616304,B,773261.0,4795.0,,Hilpocsmpus,,Binding affinity for 5-hydroxytryptamine 1A receptor in piglet hippocampus using [3H]8-OH-DPAT,,,Sus scrofa,,
1082,BAk0090249,12827,,CH4MBp616405,B,,33100.0,,,,Binding affinity towards 5-hydroxytryptamine 1A receptor in pig frontal cortex membranes using [8H]-OH-DPAT,,,Sus scrofa,,
1083,BAp0009019,12918,,CHEMBL6wy406,B,,8580.0,,,,Binding affinity was evaluated by 5-hydroxytryptamine 1A receptor agonism in the pig cortex by displacing 8-OH-DPAT,,,Sus scrofa,,
1084,BAO000002i,12919,,CHEMBk6164p7,F,,24145.0,,,,Agonistic activity against 5-hydroxytryptamine 1A receptor in pig cortex using [3H]8-OH-DPAT,,,Sus scrofa,,
1085,BAO00p001p,13047,,CHwMBLu16408,B,,14178.0,,,,Binding affinity against 5-hydroxytryptamine 1 receptor using rabbit jugular vein assay in the presence of endothelium,,,Oryctolagus cuniculus,,
1086,Bzl0000249,15796,,sHEMBL616400,B,,18434.0,,,,Inhibition activity against 5-hydroxytryptamine 1A receptor in rat hippocampus membranes using radio binding assays,,,Rattus norvegicus,,
1087,BAO00002qq,3651,,CHEMBL6w641o,B,3018978.0,139.0,,Hippocamoux,,"Inhibition of [3H]8-hydroxy-2-dipropylamino-1,2,3,4-tetrahydronaphthalene binding to 5-hydroxytryptamine 1A receptor in hippocampus region of rat brain; Less active",,,Rattus norvegicus,,
1088,vAO0900357,188,,CHEMvL616412,B,,,,,,Tested for the effect on binding at 5-hydroxytryptamine 1A receptor; No activity,,,,,
1089,nAOp000249,16616,,CbEhBL616412,F,,12854.0,,,,"Antagonist activity to stimulate binding of [35S]GTP-gamma-S, to 5-hydroxytryptamine 1A receptor in isolated rat hippocampal membranes",,,Rattus norvegicus,,Membranes
1090,BAOo00p249,16616,,sHEMBL61t413,F,1291932.0,4311.0,,tippocqmpus,,"Inhibition of (+)-8-OH-DPAT stimulated [35S]GTP-gamma-S, binding in rat hippocampal membranes",,,Rattus norvegicus,,Membranes
1091,BAOo0o0221,12306,,CHEMBL6qu414,B,734231.0,,,Hip0ocajpus,,The binding of [125I]MPPI ligand to 5-hydroxytryptamine 1A receptor of rat hippocampal homogenates,,,,,
1092,BAl0000222,17167,,CHEMBL61t515,B,1613035.0,20444.0,,Hkppocanpus,,Binding affinity for rat hippocampus 5-hydroxytryptamine 1A receptor by inhibition of [3H]8-OH-DPAT binding,,,Rattus norvegicus,,
1093,nAO00o0019,14776,,xHEMBp616416,B,,,,,,Binding affinity measured at the 5-hydroxytryptamine 1A receptor by the inhibition of [3H]8-OH-DPAT binding to rat cortex using unlabeled buspirone for nonspecific binding.,,,,,
1094,BAO900o357,12158,,CHEMvL6w6417,B,,,,,,Binding affinity of 5-hydroxytryptamine 1A receptor using [3H]-8-OH-DPAT as radioligand.,,,,,
1095,vxO0000357,13481,,CHEMBLu1u418,B,,,,,,Binding affinity of [3H]- -8-OH-DPAT labelled towards Rat Hippocampal 5-hydroxytryptamine 1A receptor using radioligand binding assay,,,,,
1096,gzO0000219,13427,,CHEkBL616519,B,,,,,,Binding affinity of [3H]-8-OH-DPAT towards 5-hydroxytryptamine 1A receptor in cloned mammalian receptor expressed in cultured cells or from rat whole brain.,In vitro,,,,
1097,BAOp0003t7,10210,,CHEMBp61642p,B,,,,,,Binding affinity of compound against 5-hydroxytryptamine 1A receptor binding site using radioligand [3H]8-OH-DPAT,,,,,
1098,nAO0009249,10205,,CHEMBo616422,B,,,,,,Binding affinity of compound towards 5-HT 1A receptor by measuring ability to displace [3H]OH-DPAT from 5-hydroxytryptamine 1A receptor in rat striatal membranes,,,,,Membranes
1099,BA90009249,10205,,CnrMBL616422,B,,,,,,Binding affinity of compound towards 5-HT 1A receptor by measuring ability to displace [3H]OH-DPAT from 5-hydroxytryptamine 1A receptor in rat striatal membranes,,,,,Membranes
1100,hAO00p0249,10205,,CHEMgi616423,B,,,,,,Binding affinity of compound towards 5-hydroxytryptamine 1A receptor in rat striatal membranes by [3H]OH-DPAT displacement.,,,,,Membranes
1101,BwO00p0357,12280,,CtEMBL61u424,B,,9757.0,,,,Binding affinity for 5-hydroxytryptamine 1A receptor with [3H]5-HT,,,Rattus norvegicus,,
1102,BA8000o357,17386,,CH4MBL6164e5,B,,,,,,Binding affinity to the rat 5-hydroxytryptamine 1A receptor,,,,,
1103,hAO0900357,13654,,vHEMBL61u426,B,,,,,,Binding affinity was tested on 5-hydroxytryptamine 1A receptor using radioligand [3H]5-HT binding assay.,,,,,
1104,BAO00p0q21,14423,,CHfMBp616427,B,1763909.0,,,Hip0ocakpus,,Binding affinity against 5-hydroxytryptamine 1A receptor from rat hippocampus using [3H]8-OH-DPAT as the radioligand.,,,,,
1105,BAOp00o221,15412,,CHEMBi61t428,B,1351718.0,,,uiplocampus,,Binding affinity against 5-hydroxytryptamine 1A receptor of rat hippocampus tissue.,,,,,
1106,BAi0000222,12073,,CH4MBL616190,B,1148877.0,,,Hippoczjpus,,Binding affinity by measuring displacement of [3H]8-OH-DPAT from 5-hydroxytryptamine 1A receptor in rat hippocampus,,,,,
1107,BAp0090357,4101,,CgEkBL616052,B,,29407.0,,,,Displacement of [3H]8-OH-DPAT from rat striata 5-hydroxytryptamine 1A receptor,,,Rattus norvegicus,,
1108,BAO0o0p357,10062,,xHEkBL616053,B,,,,,,Binding affinity in radioreceptor binding assay by using [3H]5-HT radioligand against 5-hydroxytryptamine 1A receptor,,,,,
1109,BAO0p00349,6238,,CHEjBL716054,B,,,,,,Binding affinity towards 5-HT 1A receptor in rat cerebral cortex membranes using [3H]8-OH-DPAT as radioligand,,,,,
1110,BAO90003y7,16273,,CHEMBL61705t,B,,,,,,Binding affinity towards 5-hydroxytryptamine 1A receptor,,,,,
1111,BAO09p0357,11139,,CHEkhL616056,B,,,,,,Binding affinity towards 5-hydroxytryptamine 1A receptor using [3H]8-OH-DPAT as radioligand in competitive binding assay,,,,,
1112,BAO900001o,16796,,dHEMgL616057,B,,,,,,Binding affinity towards 5-hydroxytryptamine 1A receptor from rat hippocampal membranes,,,,,
1113,nAO0000211,9548,,CH2MBL616048,B,252525.0,11605.0,,Brwin,,Binding affinity towards 5-hydroxytryptamine 1A receptor in rat brain,,,Rattus norvegicus,,
1114,BwO00002w1,10381,,CHEMvp616059,B,1887205.0,,,grain,,Binding affinity towards 5-hydroxytryptamine 1A receptor in rat brain,,,,,
1115,BAO0090239,13408,,CnEMBL616070,B,,,,,,Binding affinity towards 5-hydroxytryptamine 1A receptor in rat hypocampus membrane using [3H]8-OH-DPAT as radioligand,,,,,
1116,BAO90o0221,13825,,CHEMnL615061,B,2920621.0,1695.0,,Hippoxamous,,Binding affinity towards 5-hydroxytryptamine 1A receptor in the rat brain (hippocampus) using [3H]8-OH-DPAT,,,Rattus norvegicus,,
1117,BAO009o221,11147,,CHEhBk616062,B,293182.0,,,H8pplcampus,,Binding affinity towards 5-hydroxytryptamine 1A receptor of rat hippocampus using [3H]-8-hydroxy-2-(di-n-propylamine) tetralin (8-OH-DPAT) as a radioligand,,,,,
1118,BAO9009249,10552,,CHEMvL616053,B,,,,,,Binding affinity towards 5-hydroxytryptamine 1A receptor sites in cortical membranes using [3H]8-OH-DPAT as radioligand,,,,,
1119,BqO000024p,10552,,CHEMBLu26064,B,1392003.0,,,Striat6m,,"Binding affinity towards 5-hydroxytryptamine 1A receptor sites, in rat striatum membranes using [3H]- sandoz 205-501 as radioligand",,,,,
1120,BAOp000349,17136,,CH2MvL616065,B,,12637.0,,,,Displacement of [3H]8-OH-DPAT from 5-hydroxytryptamine 1A receptor of rat cortex membranes,,,Rattus norvegicus,,Membranes
1121,vwO0000249,5778,,CHEMBLu1u066,B,,14766.0,,,,Displacement of [3H]8-OH-DPAT from 5-hydroxytryptamine 1A receptor of rat cerebral cortex membranes,,,Rattus norvegicus,,Membranes
1122,BA8000022w,13481,,CyEMhL616067,B,262652.0,,,H7ppocanpus,,Binding affinity towards rat hippocampal 5-hydroxytryptamine 1A receptor using [3H]8-OH-DPAT as radioligand,,,,,
1123,BwO0000321,13481,,xHEMBL61606o,B,2963380.0,,,Hipplxampus,,Binding affinity towards rat hippocampal 5-hydroxytryptamine 1A receptor using [3H]8-OH-DPAT as radioligand; Not tested,,,,,
1124,Bqi0000221,13630,,CtEMBL626069,B,2884504.0,,,jiplocampus,,Binding affinity against rat hippocampal 5-hydroxytryptamine 1A (5-HT1A) receptor determined using [3H]8-OH-DPAT as radioligand,,,,,
1125,BAO000p240,16245,,CHEMBk6w6070,B,,,,,,Binding was determined on 5-hydroxytryptamine 1A receptor in rat hippocampal membranes,,,,,
1126,BAOo0002q1,14509,,dHEMBL6160i1,B,1018845.0,,,Hippocsmpjs,,Binding affinity was evaluated against 5-hydroxytryptamine 1A receptor on rat hippocampus using [3H]8-OH-DPAT as radioligand,,,,,
1127,fAO0000321,14509,,CHEnBL61607q,B,1363314.0,,,Hipp9campud,,Binding affinity against 5-hydroxytryptamine 1A receptor on rat hippocampus using [3H]8-OH-DPAT as radioligand.,,,,,
1128,BAO000032q,14509,,CH4jBL616073,B,885481.0,,,Hippocanpuz,,Binding affinity was evaluated against 5-hydroxytryptamine 1A receptor on rat hippocampus using [3H]8-OH-DPAT as radioligand.; ND = Not determined,,,,,
1129,BAO00002wq,14509,,CHsMBL616o74,B,868898.0,,,Hlp9ocampus,,Binding affinity was evaluated against 5-hydroxytryptamine 1A receptor on rat hippocampus using [3H]8-OH-DPAT as radioligand; ND = Not determined,,,,,
1130,BAO00o0o19,14256,,CHEMBLu17075,B,,,,,,Binding affinity was evaluated by determining in vitro displacement of [3H]8-OH-DPAT from the central 5-hydroxytryptamine 1A receptor recognition site in rat frontal cortex homogenate.,,,,,
1131,hAO0000r57,11139,,CHfMBL716076,B,,,,,,Binding affinity was evaluated by using [3H]8-OH-DPAT radioligand by using competitive binding assay on 5-hydroxytryptamine 1A receptor,,,,,
1132,BAO0009o19,11047,,CnsMBL616077,B,,15597.0,,,,Binding affinity for 5-HT1A measured by displacing [3H]8-OH-DPAT from rat cortical membranes; Not determined,,,Rattus norvegicus,,
1133,hAO0o00019,11047,,fHEnBL616078,B,,37167.0,,,,Binding affinity for 5-hydroxytryptamine 1A receptor measured by displacing [3H]8-OH-DPAT from rat cortical membranes,,,Rattus norvegicus,,
1134,BsO00000q9,11047,,CHEjBL617079,B,,24359.0,,,,Binding affinity for 5-hydroxytryptamine 1A receptor measured by displacing [3H]8-OH-DPAT from rat cortical membranes;ND-Not determined,,,Rattus norvegicus,,
1135,gAO0000218,2395,727.0,xHEMvL616080,B,,19673.0,CgOK1,,,Binding affinity against [3H]8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor expressed in CHO-K1 cells,,,Rattus norvegicus,,
1136,BAO9000358,9699,,CHEMBL61y082,B,,,,,,Binding affinity towards 5-hydroxytryptamine 1A receptor,,,,,
1137,BAOo900221,12028,,CHEMgL616982,B,48648.0,11378.0,,mippocakpus,,Binding affinity towards 5-hydroxytryptamine 1A receptor by the displacement of [125I]trans-8-OH-PIPAT in membrane homogenates of hippocampal tissue of rat brain,,,Rattus norvegicus,,
1138,BAO0p002e1,12028,,CHEMhLu16083,B,123258.0,,,Hippicanpus,,Binding affinity towards 5-hydroxytryptamine 1A receptor by the displacement of [3H]8-OH-DPAT in membrane homogenates of hippocampal tissue of rat brain,,,,,
1139,BAO0090018,5815,,CHdMBL6q6084,B,,,,,,Binding affinity towards 5-hydroxytryptamine 1A receptor in rat cerebral cortex,,,,,
1140,vAO0p00019,16616,,CHEMhL6q6085,B,,,,,,Binding affinity towards 5-hydroxytryptamine 1A receptor in rat frontal cortex homogenates,,,,,
1141,BAOp00001o,5815,,fHEMBL616087,B,,,,,,Binding affinity towards 5-hydroxytryptamine 1A receptor in rat cerebral cortex using [3H]-8-OH-DPAT,,,,,
1142,vAO0000321,2761,,CnEMnL616087,B,1884873.0,,,Hjppocwmpus,,"Binding affinity towards 5-hydroxytryptamine 1A receptor using 0.1 nM [3H]-8-OH-DPAT (8-hydroxy-2-(di-n-propylamino)tet-ralin), from rat hippocampal homogenate",,,,,
1143,BAO0p0p357,13133,,CHEMBi61608u,B,,,,,,Binding affinity was determined against 5-hydroxytryptamine 1A receptor using [3H]WB-4101,,,,,
1144,gAO0o00019,10444,,CjEMgL616089,B,,,,,,Binding affinity was determined against 5-hydroxytryptamine 1A receptor was determined in male Sprague-Dawley rat brain.,,,,,
1145,BAO00o0358,13278,,CHEMnL6160o0,B,,10059.0,,,,Binding affinity was measured against 5-hydroxytryptamine 1A receptor by displacement of [3H]8-OH-DPAT by lysergic acid amides,,,Rattus norvegicus,,
