curated_by,assay_tissue,assay_id,assay_strain,src_assay_id,tid,doc_id,relationship_type,assay_category,description,assay_subcellular_fraction,bao_format,assay_type,assay_test_type,chembl_id,src_id,tissue_id,variant_id,assay_tax_id,assay_cell_type,confidence_score,cell_id,assay_organism
Autocuration,Hippocampus,869.0,,,10576.0,14331.0,H,,Inhibition of forskolin-activated adenylate cyclase (cAMP) activity at 5-hydroxytryptamine 1A receptor in rat hippocampus,,BAO_0000221,F,,CHEMBL615924,1.0,10000000.0,,,,8.0,,
Autocuration,Hippocampus,870.0,,,10576.0,14331.0,H,,Inhibition of forskolin-activated adenylate cyclase (cAMP) activity at 5-hydroxytryptamine 1A receptor in rat hippocampus,,BAO_0000221,F,,CHEMBL615925,1.0,10000000.0,,,,8.0,,
Expert,,871.0,,,10576.0,14178.0,D,,Inhibition of radiolabeled [3H]-8-OH-DPAT ligand binding to 5-hydroxytryptamine 1A receptor,,BAO_0000357,B,,CHEMBL615926,1.0,,,10116.0,,9.0,,Rattus norvegicus
Expert,,872.0,,,10576.0,10639.0,D,,Displacement of [3H]8-OH-DPAT from rat cortex 5-hydroxytryptamine 1A receptor,,BAO_0000019,B,,CHEMBL615927,1.0,,,10116.0,,9.0,,Rattus norvegicus
Autocuration,Hippocampus,873.0,,,10576.0,12306.0,H,,Inhibitory activity against 5-hydroxytryptamine 1A receptor of rat hippocampal homogenates,,BAO_0000221,B,,CHEMBL615928,1.0,10000000.0,,,,8.0,,
Expert,,874.0,,,10576.0,1348.0,D,,Inhibitory activity against 5-hydroxytryptamine 1A receptor subtype,,BAO_0000357,B,,CHEMBL615929,1.0,,,10116.0,,9.0,,Rattus norvegicus
Autocuration,Hippocampus,875.0,,,10576.0,13605.0,H,,Inhibitory activity against [3H]DPAT binding to 5-HT1A receptor in rat hippocampus,,BAO_0000221,B,,CHEMBL615930,1.0,10000000.0,,,,8.0,,
Autocuration,,876.0,,,51.0,17624.0,H,,Inhibition concentration against 5-hydroxytryptamine 1A receptor using cAMP as radioligand in CHO cells,,BAO_0000219,B,,CHEMBL615931,1.0,,,,CHO,8.0,449.0,
Autocuration,,877.0,,,51.0,17624.0,H,,Inhibition concentration against binding of radioligand [35S]GTP-gamma-S in CHO cells expressing 5-hydroxytryptamine 1A receptor,,BAO_0000219,F,,CHEMBL615932,1.0,,,,CHO,8.0,449.0,
Autocuration,,878.0,,,51.0,17624.0,H,,Inhibition concentration against binding of radioligand [35S]GTP-gamma-S in CHO cells expressing 5-hydroxytryptamine 1A receptor,,BAO_0000219,F,,CHEMBL615933,1.0,,,,CHO,8.0,449.0,
Autocuration,,879.0,,,51.0,15267.0,H,,Inhibition of [3H]- 8-OH-DAPT binding against human recombinant 5-hydroxytryptamine 1A receptor,,BAO_0000357,B,,CHEMBL615934,1.0,,,,,8.0,,
Autocuration,,880.0,,,51.0,16532.0,H,,The binding affinity at the 5-hydroxytryptamine 1A receptor determined using [3H]5-CT; Not tested,,BAO_0000357,B,,CHEMBL615935,1.0,,,,,8.0,,
Autocuration,,881.0,,,51.0,6563.0,H,,"Agonistic activity of compound towards 5-hydroxytryptamine 1A receptor was evaluated by [35S]GTP-gamma-S, stimulated cAMP assay",,BAO_0000019,F,,CHEMBL615936,1.0,,,,,8.0,,
Autocuration,,882.0,,,51.0,4751.0,H,,Ability to displace [3H]-8-OH-DPAT from CHO cells stably transfected with human 5-hydroxytryptamine 1A receptor at a concentration of 1 uM,,BAO_0000219,B,,CHEMBL615937,1.0,,,,CHO,8.0,449.0,
Autocuration,,883.0,,,51.0,15463.0,H,,Compound at 1 uM was tested for the inhibition of radioligand [3H]8-OH-DPAT binding to recombinant human 5-hydroxytryptamine 1A receptor,,BAO_0000357,B,,CHEMBL615938,1.0,,,,,8.0,,
Autocuration,,884.0,,,51.0,3805.0,H,,In vitro binding affinity against human 5-hydroxytryptamine 1A receptor at a concentration of 100 (nM),,BAO_0000357,B,,CHEMBL615797,1.0,,,,,8.0,,
Autocuration,,885.0,,,51.0,5640.0,H,,In vitro binding affinity towards 5-hydroxytryptamine 1A receptor using [3H]8-OH-DPAT as radioligand,,BAO_0000357,B,,CHEMBL615798,1.0,,,,,8.0,,
Autocuration,,886.0,,,51.0,6563.0,H,,Inhibition of [3H]8-OH-DPAT binding to human 5-hydroxytryptamine 1A receptor at 1000 nM compound concentration,,BAO_0000357,B,,CHEMBL872870,1.0,,,,,8.0,,
Autocuration,,887.0,,,51.0,5548.0,H,,Inhibitory activity against 5-hydroxytryptamine 1A receptor using [3H]-8-OH-DPAT as radioligand at 100 nM concentration,,BAO_0000357,B,,CHEMBL615799,1.0,,,,,8.0,,
Autocuration,,888.0,,,51.0,6347.0,H,,Percent binding affinity against 5-hydroxytryptamine 1A receptor,,BAO_0000357,B,,CHEMBL615800,1.0,,,,,8.0,,
Autocuration,,889.0,,,51.0,17296.0,H,,Intrinsic activity for human 5-hydroxytryptamine 1A receptors HEK 293 cell membranes using [35S]GTP gamma-S,,BAO_0000219,F,,CHEMBL615801,1.0,,,,HEK293,8.0,722.0,
Autocuration,,890.0,,,51.0,13047.0,H,,Binding affinity against 5-hydroxytryptamine 1 receptor using rabbit jugular vein assay in the absence of endothelium,,BAO_0000019,B,,CHEMBL615802,1.0,,,,,8.0,,
Autocuration,,891.0,,,51.0,15740.0,H,,Dissociation constant against human 5-hydroxytryptamine 1A receptor receptor,,BAO_0000357,B,,CHEMBL615803,1.0,,,,,8.0,,
Expert,,892.0,,,51.0,5640.0,H,,"Inhibition of 5-HT induced [35S]GTP-gamma-S, binding at human cloned 5-HT 1A receptors.",,BAO_0000019,F,,CHEMBL835002,1.0,,,,,8.0,,
Autocuration,,893.0,,,51.0,5640.0,H,,"5-hydroxytryptamine 1A receptor antagonism was evaluated by the ability to inhibit [35S]GTP-gamma-S, binding that was induced by 5-HT; Ki (nM): not determined",,BAO_0000019,F,,CHEMBL615804,1.0,,,,,8.0,,
Expert,,894.0,,,51.0,17211.0,H,,Ability to displace [3H]5-CT (2.0 nM) from HeLa cells of human 5-hydroxytryptamine 1A receptor,,BAO_0000219,B,,CHEMBL615805,1.0,,,,HeLa,8.0,308.0,
Autocuration,,895.0,,,51.0,4751.0,H,,Ability to displace [3H]8-OH-DPAT from CHO cells stably transfected with human 5-hydroxytryptamine 1A receptor,,BAO_0000219,B,,CHEMBL615806,1.0,,,,CHO,8.0,449.0,
Expert,,896.0,,,51.0,6491.0,D,,Affinity towards human 5-hydroxytryptamine 1A serotonin receptor,,BAO_0000357,B,,CHEMBL615807,1.0,,,9606.0,,9.0,,Homo sapiens
Autocuration,,897.0,,,51.0,4707.0,H,,Binding affinity towards human 5-hydroxytryptamine 1A receptor was determined using [3H]8-OH-DPAT-as radioligand,,BAO_0000357,B,,CHEMBL615808,1.0,,,,,8.0,,
Expert,,898.0,,,51.0,13910.0,D,,Binding affinity against 5-hydroxytryptamine 1A receptor,,BAO_0000357,B,,CHEMBL615809,1.0,,,9606.0,,9.0,,Homo sapiens
Autocuration,,899.0,,,51.0,16190.0,H,,Binding affinity against 5-hydroxytryptamine 1A receptor in HeLa cells was determined using [3H]5-HT,,BAO_0000219,B,,CHEMBL615810,1.0,,,,HeLa,8.0,308.0,
Autocuration,,900.0,,,51.0,16633.0,H,,Binding affinity against 5-hydroxytryptamine 1A receptor using [3H]8-OH-DPAT as radioligand,,BAO_0000357,B,,CHEMBL615811,1.0,,,,,8.0,,
Autocuration,,901.0,,,51.0,11898.0,H,,Binding affinity against [3H]- -8-OH-DPAT -labeled 5-hydroxytryptamine 1A sites in cloned CHO cells,,BAO_0000219,B,,CHEMBL615812,1.0,,,,CHO,8.0,449.0,
Autocuration,,902.0,,,51.0,11898.0,H,,Binding affinity against [3H]8-OH-DPAT-labeled 5-hydroxytryptamine 1A receptor sites in cloned CHO cells,,BAO_0000219,B,,CHEMBL615751,1.0,,,,CHO,8.0,449.0,
Autocuration,,903.0,,,51.0,14331.0,H,,Binding affinity against human 5-hydroxytryptamine 1A receptor,,BAO_0000357,B,,CHEMBL615752,1.0,,,,,8.0,,
Expert,,904.0,,,51.0,17624.0,H,,Binding affinity against human 5-hydroxytryptamine 1A receptor in CHO cells labeled with [3H]8-OH-DPAT radioligand,,BAO_0000219,B,,CHEMBL615753,1.0,,,,CHO,8.0,449.0,
Autocuration,,905.0,,,51.0,17624.0,H,,Binding affinity against human 5-hydroxytryptamine 1A receptor in CHO cells labeled with [3H]8-OH-DPAT radioligand; nd=not determined,,BAO_0000219,B,,CHEMBL615754,1.0,,,,CHO,8.0,449.0,
Autocuration,,906.0,,,51.0,3307.0,H,,Binding affinity of compound to human 5-hydroxytryptamine 1A receptor,,BAO_0000357,B,,CHEMBL615755,1.0,,,,,8.0,,
Expert,,907.0,,,51.0,6563.0,D,,Displacement of [3H]8-OH-DPAT from human 5-hydroxytryptamine 1A receptor expressed in CHO cells,,BAO_0000219,B,,CHEMBL615756,1.0,,,9606.0,CHO,9.0,449.0,Homo sapiens
Autocuration,,908.0,,,51.0,14165.0,H,,Binding affinity for 5-hydroxytryptamine 1A receptor in HeLa transfected cell type using [3H]8-OH-DPAT as radioligand,,BAO_0000019,B,,CHEMBL615757,1.0,,,,,8.0,,
Autocuration,,909.0,,,51.0,5732.0,H,,Binding affinity towards cloned human 5-hydroxytryptamine 1A receptor was determined,,BAO_0000357,B,,CHEMBL615758,1.0,,,,,8.0,,
Expert,,910.0,,,51.0,13366.0,H,,In vitro affinity at human cloned 5-hydroxytryptamine 1A receptor by [3H]8-OH-DPAT displacement.,,BAO_0000357,B,,CHEMBL615759,1.0,,,,,8.0,,
Autocuration,,911.0,,,51.0,17626.0,H,,Binding affinity towards human 5-hydroxytryptamine 1A receptor,,BAO_0000357,B,,CHEMBL615760,1.0,,,,,8.0,,
Expert,,912.0,,,51.0,6588.0,H,,Binding affinity towards human 5-hydroxytryptamine 1A receptor by the displacement of [3H]5-HT radioligand from the cloned receptor expressed in HeLa cells,,BAO_0000219,B,,CHEMBL615761,1.0,,,,HeLa,8.0,308.0,
Autocuration,,913.0,,,51.0,16209.0,H,,Binding affinity towards human 5-hydroxytryptamine 1A receptor was determined using [3H]-5-HT as radioligand,,BAO_0000357,B,,CHEMBL872104,1.0,,,,,8.0,,
Autocuration,,914.0,,,51.0,15463.0,H,,Binding affinity towards recombinant human 5-hydroxytryptamine 1A receptor was determined using [3H]8-OH-DPAT as radioligand,,BAO_0000357,B,,CHEMBL615762,1.0,,,,,8.0,,
Autocuration,,915.0,,,51.0,15463.0,H,,Binding affinity towards recombinant human Compound at 1 uM was tested for the inhibition of radioligand [3H]8-OH-DPAT binding to recombinant human 5-hydroxytryptamine 1A receptor was determined using [3H]8-OH-DPAT as radioligand,,BAO_0000357,B,,CHEMBL615763,1.0,,,,,8.0,,
Autocuration,,916.0,,,51.0,14770.0,H,,Binding affinity for recombinant human 5-hydroxytryptamine 1A receptor using [3H]5-HT as radioligand.,,BAO_0000357,B,,CHEMBL615764,1.0,,,,,8.0,,
Autocuration,,917.0,,,51.0,16245.0,H,,Binding affinity on human cloned 5-hydroxytryptamine 1A receptor transfected in human cell lines (He La),,BAO_0000219,B,,CHEMBL615765,1.0,,,,Cell line,8.0,1167.0,
Autocuration,,918.0,,,51.0,16245.0,H,,Binding affinity on human cloned 5-hydroxytryptamine 1A receptor transfected in human cell lines(He La),,BAO_0000019,B,,CHEMBL615766,1.0,,,,,8.0,,
Autocuration,,919.0,,,51.0,5548.0,H,,Binding affinity towards 5-HT1A receptor using [3H]8-OH-DPAT as radioligand,,BAO_0000357,B,,CHEMBL615767,1.0,,,,,8.0,,
Expert,,920.0,,,51.0,5548.0,H,,Binding affinity was determined towards 5-hydroxytryptamine 1A receptor using [3H]8-OH-DPAT as radioligand,,BAO_0000357,B,,CHEMBL615768,1.0,,,,,8.0,,
Autocuration,,921.0,,,51.0,5548.0,H,,Binding affinity towards 5-hydroxytryptamine 1A receptor using [3H]8-OH-DPAT as radioligand,,BAO_0000357,B,,CHEMBL615769,1.0,,,,,8.0,,
Expert,,922.0,,,51.0,6876.0,H,,Binding affinity was evaluated at 5-hydroxytryptamine 1A receptor labeled with [3H]-8-OH-DPAT,,BAO_0000357,B,,CHEMBL615770,1.0,,,,,8.0,,
Autocuration,,923.0,,,51.0,2598.0,H,,Binding affinity was evaluated at human recombinant 5-hydroxytryptamine 1A receptor using [3H]8-OH-DPAT as radioligand,,BAO_0000357,B,,CHEMBL615771,1.0,,,,,8.0,,
Expert,,924.0,,,51.0,17785.0,H,,Binding affinity to human 5-hydroxytryptamine 1A receptor was measured using [3H]-8-hydroxy-2-(di-n-propylamine) tetraline [3H]8-OH-DPAT) as radioligand,,BAO_0000357,B,,CHEMBL615772,1.0,,,,,8.0,,
Autocuration,,925.0,,,51.0,6013.0,H,,Binding affinity towards 5-hydroxytryptamine 1A receptor,,BAO_0000357,B,,CHEMBL615773,1.0,,,,,8.0,,
Expert,,926.0,,,51.0,5929.0,H,,Binding affinity towards 5-hydroxytryptamine 1A receptor in human using [3H]8-OH-DPAT as radioligand,,BAO_0000357,B,,CHEMBL615774,1.0,,,,,8.0,,
Autocuration,,927.0,,,51.0,16633.0,H,,Binding affinity towards 5-hydroxytryptamine 1A receptor using [3H]8-OH-DPAT as radioligand,,BAO_0000357,B,,CHEMBL615775,1.0,,,,,8.0,,
Autocuration,,928.0,,,51.0,1558.0,H,,Binding affinity towards cloned human 5-hydroxytryptamine 1A receptor was determined,,BAO_0000357,B,,CHEMBL615776,1.0,,,,,8.0,,
Expert,,929.0,,,51.0,16026.0,H,,Binding affinity towards human cloned 5-hydroxytryptamine 1A receptor using [3H]8-OH-DPAT as radioligand,,BAO_0000357,B,,CHEMBL615777,1.0,,,,,8.0,,
Autocuration,,930.0,,,51.0,12469.0,H,,Binding affinity was measured on 5-hydroxytryptamine 1A receptor in AK cells transfected with human 5-HT1A gene labeled with [3H]-8-OH-DPAT,,BAO_0000219,B,,CHEMBL615778,1.0,,,,,8.0,,
Expert,,931.0,,,51.0,15874.0,D,,Binding affinity was measured on cloned Human 5-hydroxytryptamine 1A receptor which is labeled by [3H]8-OH-DPAT,,BAO_0000357,B,,CHEMBL615779,1.0,,,9606.0,,9.0,,Homo sapiens
Autocuration,,932.0,,,51.0,15874.0,H,,Binding affinity was measured on cloned human 5-hydroxytryptamine 1A receptor which is labeled by [3H]8-OH-DPAT,,BAO_0000357,B,,CHEMBL615780,1.0,,,,,8.0,,
Autocuration,,933.0,,,51.0,3935.0,H,,Compound was evaluated for its binding affinity for human 5-hydroxytryptamine 1A receptor,,BAO_0000357,B,,CHEMBL616298,1.0,,,,,8.0,,
Autocuration,,934.0,,,51.0,15818.0,H,,Compound was evaluated for its binding affinity towards human 5-hydroxytryptamine 1A receptor,,BAO_0000357,B,,CHEMBL616299,1.0,,,,,8.0,,
Autocuration,,935.0,,,51.0,13706.0,H,,Compound was tested for binding affinity against cloned human 5-hydroxytryptamine 1A receptor expressed in CHO-K1 cells.,,BAO_0000219,B,,CHEMBL616300,1.0,,,,CHO-K1,8.0,485.0,
Expert,,936.0,,,51.0,13729.0,H,,Ability to inhibit the forskolin-stimulated c-AMP formation mediated by human 5-hydroxytryptamine 1A receptor in CHO-K1 cells,,BAO_0000219,F,,CHEMBL616301,1.0,,,,CHO-K1,8.0,485.0,
Autocuration,,937.0,,,51.0,15413.0,H,,In vitro inhibition of [3H]- 8-OH-DPAT binding to cloned cell line containing human 5-hydroxytryptamine 1A receptor,,BAO_0000019,B,,CHEMBL616302,1.0,,,,,8.0,,
Autocuration,,938.0,,,51.0,15413.0,H,,In vitro inhibition of [3H]- 8-OH-DPAT binding to cloned cell line containing human 5-hydroxytryptamine 1A receptor (Experiment 1),,BAO_0000019,B,,CHEMBL616117,1.0,,,,,8.0,,
Autocuration,,939.0,,,51.0,15413.0,H,,In vitro inhibition of [3H]- 8-OH-DPAT binding to cloned cell line containing human 5-hydroxytryptamine 1A receptor (Experiment 2),,BAO_0000019,B,,CHEMBL616118,1.0,,,,,8.0,,
Autocuration,,940.0,,,51.0,15413.0,H,,In vitro inhibition of [3H]- 8-OH-DPAT binding to cloned cell line containing human 5-hydroxytryptamine 1A receptor by Panlabs assay,,BAO_0000019,B,,CHEMBL616119,1.0,,,,,8.0,,
Expert,,941.0,,,51.0,3445.0,D,,Displacement of specific [3H]- 5-HT binding to cloned human 5-hydroxytryptamine 1A receptor stably expressed in HeLa cells,,BAO_0000219,B,,CHEMBL616120,1.0,,,9606.0,HeLa,9.0,308.0,Homo sapiens
Autocuration,,942.0,,,51.0,15740.0,H,,Evaluated for the binding constant at [3H]8-OH-DPAT-labeled human 5-hydroxytryptamine 1A receptor,,BAO_0000357,B,,CHEMBL616121,1.0,,,,,8.0,,
Autocuration,,943.0,,,51.0,15740.0,H,,Evaluated for the binding constant at [3H]8-OH-DPAT-labeled human 5-hydroxytryptamine 1A receptor receptor,,BAO_0000357,B,,CHEMBL616122,1.0,,,,,8.0,,
Autocuration,,944.0,,,51.0,17626.0,H,,In vitro binding affinity tested on human 5-hydroxytryptamine 1A receptor,,BAO_0000357,B,,CHEMBL616123,1.0,,,,,8.0,,
Expert,,945.0,,,51.0,4234.0,D,,In vitro binding affinity to human 5-hydroxytryptamine 1A receptor,,BAO_0000357,B,,CHEMBL616124,1.0,,,9606.0,,9.0,,Homo sapiens
Expert,,946.0,,,51.0,5640.0,H,,In vitro binding affinity at 5-hydroxytryptamine 1A receptor by [3H]8-OH-DPAT displacement.,,BAO_0000357,B,,CHEMBL616125,1.0,,,,,8.0,,
Expert,,947.0,,,51.0,5272.0,H,,In vitro binding affinity towards Human 5-hydroxytryptamine 1A receptor by the displacement of [3H]8-OH-DPAT,,BAO_0000357,B,,CHEMBL616126,1.0,,,10116.0,,8.0,,Rattus norvegicus
Autocuration,,948.0,,,51.0,4622.0,H,,In vitro binding affinity towards cloned human 5-hydroxytryptamine 1A receptor expressed in Chinese hamster ovary (CHO) cells using [3H]8-OH-DPAT as radioligand,,BAO_0000219,B,,CHEMBL616127,1.0,,,,CHO,8.0,449.0,
Expert,,949.0,,,51.0,17085.0,H,,In vitro binding affinity by radioligand binding assay using cell line expressing human 5-hydroxytryptamine 1A receptor,,BAO_0000019,B,,CHEMBL616128,1.0,,,,,8.0,,
Autocuration,,950.0,,,51.0,3025.0,H,,In vitro binding affinity was determined towards cloned human 5-hydroxytryptamine 1A receptor using [3H]8-OH-DPAT radioligand,,BAO_0000357,B,,CHEMBL616129,1.0,,,,,8.0,,
Expert,,951.0,,,51.0,15315.0,H,,In vitro receptor binding affinity for cloned human 5-hydroxytryptamine 1A receptor,,BAO_0000357,B,,CHEMBL616130,1.0,,,,,8.0,,
Autocuration,,952.0,,,51.0,15267.0,H,,Inhibition of [3H]- OH-DPAT binding against 5-hydroxytryptamine 1A receptor from human recombinant,,BAO_0000357,B,,CHEMBL616131,1.0,,,,,8.0,,
Autocuration,,953.0,,,51.0,17158.0,H,,Inhibition of [3H]8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor serotonergic receptor in human HeLa cells,,BAO_0000219,B,,CHEMBL616132,1.0,,,,HeLa,8.0,308.0,
Expert,,954.0,,,51.0,14214.0,D,,Receptor binding affinity for cloned human 5-hydroxytryptamine 1A receptor in HeLa cells,,BAO_0000219,B,,CHEMBL616133,1.0,,,9606.0,HeLa,9.0,308.0,Homo sapiens
Autocuration,,955.0,,,51.0,17133.0,H,,Tested in vitro for its ability to bind to 5-hydroxytryptamine 1A receptor using [3H]8-OH-DPAT as radioligand,,BAO_0000357,B,,CHEMBL616134,1.0,,,,,8.0,,
Autocuration,,956.0,,,51.0,16532.0,H,,The binding affinity at the 5-hydroxytryptamine 1A receptor determined using [3H]5-CT,,BAO_0000357,B,,CHEMBL616135,1.0,,,,,8.0,,
Expert,,957.0,,,51.0,2391.0,D,,Affinity for 5-hydroxytryptamine 1A receptor subtype,,BAO_0000357,B,,CHEMBL616136,1.0,,,9606.0,,9.0,,Homo sapiens
Autocuration,,958.0,,,51.0,14447.0,H,,The compound was tested for CNS binding affinity towards 5-hydroxytryptamine 1A receptor from cloned Human membranes,,BAO_0000019,B,,CHEMBL616137,1.0,,,,,8.0,,
Autocuration,,959.0,,,51.0,14447.0,H,,The compound was tested for CNS binding affinity towards 5-hydroxytryptamine 1A receptor from cloned Human membranes.,,BAO_0000019,B,,CHEMBL872105,1.0,,,,,8.0,,
Autocuration,,960.0,,,51.0,15086.0,H,,The compound was tested for binding affinity against 5-hydroxytryptamine 1A receptor receptor,,BAO_0000357,B,,CHEMBL616138,1.0,,,,,8.0,,
Expert,,961.0,,,51.0,13051.0,D,,Binding affinity for cloned human 5-hydroxytryptamine 1A receptor,,BAO_0000357,B,,CHEMBL616139,1.0,,,9606.0,,9.0,,Homo sapiens
Autocuration,,962.0,,,51.0,16026.0,H,,"Ability to influence the binding of [35S]GTP-gamma-S, to HeLa cell membranes expressing the human 5-hydroxytryptamine 1A receptor; Not active",,BAO_0000019,F,,CHEMBL616140,1.0,,,,,8.0,,
Expert,,963.0,,,51.0,17085.0,H,,In vitro binding affinity was determined by radioligand binding assay using cell line expressing human 5-hydroxytryptamine 1A receptor; ND means not determined,,BAO_0000019,B,,CHEMBL616141,1.0,,,,,8.0,,
Autocuration,,964.0,,,51.0,17133.0,H,,Tested in vitro for its ability to bind to 5-hydroxytryptamine 1A receptor using [3H]8-OH-DPAT as radioligand,,BAO_0000357,B,,CHEMBL616142,1.0,,,,,8.0,,
Autocuration,,965.0,,,51.0,17133.0,H,,Tested in vitro for its ability to bind to 5-hydroxytryptamine 1A receptor using [3H]8-OH-DPAT as radioligand; ND means Not determined,,BAO_0000357,B,,CHEMBL616143,1.0,,,,,8.0,,
Autocuration,,966.0,,,51.0,17211.0,H,,Ability to displace [3H]5-CT (2.0 nM) from HeLa cells of human 5-hydroxytryptamine 1A receptor; NT denotes not tested,,BAO_0000219,B,,CHEMBL616144,1.0,,,,HeLa,8.0,308.0,
Autocuration,,967.0,,,51.0,17211.0,H,,Ability to displace [3H]5-CT (2.0 nM) from HeLa cells of human 5-hydroxytryptamine 1A receptor; NT=not tested,,BAO_0000219,B,,CHEMBL616145,1.0,,,,HeLa,8.0,308.0,
Autocuration,,968.0,,,51.0,17211.0,H,,Ability to displace [3H]5-CT (2.0 nM) from HeLa cells of human 5-hydroxytryptamine 1A receptor; NT denotes not tested,,BAO_0000219,B,,CHEMBL616012,1.0,,,,HeLa,8.0,308.0,
Autocuration,,969.0,,,51.0,17211.0,H,,Ability to displace [3H]5-CT (2.0 nM) from HeLa cells of human 5-hydroxytryptamine 1A receptor; NT denotes not tested,,BAO_0000219,B,,CHEMBL616013,1.0,,,,HeLa,8.0,308.0,
Autocuration,,970.0,,,51.0,16394.0,H,,"Agonist efficacy of [35S]GTP-gamma-S, binding to 5-hydroxytryptamine 1A receptor compared with 5-HT.; NT is not tested",,BAO_0000019,F,,CHEMBL616014,1.0,,,,,8.0,,
Autocuration,,971.0,,,51.0,16394.0,H,,"Agonist efficacy of [35S]GTP-gamma-S, binding to 5-hydroxytryptamine 1A receptor compared with 5-HT.; NT is not tested",,BAO_0000019,F,,CHEMBL616015,1.0,,,,,8.0,,
Autocuration,,972.0,,,51.0,16394.0,H,,"Agonist efficacy of [35S]GTP-gamma-S, binding to 5-hydroxytryptamine 1A receptor compared with 5-HT.; NT is not tested",,BAO_0000019,F,,CHEMBL616016,1.0,,,,,8.0,,
Autocuration,,973.0,,,51.0,16394.0,H,,Antagonist induction of hypothermia by 8-OH-DPAT in 5-hydroxytryptamine 1A receptor after subcutaneous administration; NT is not tested,,BAO_0000218,F,In vivo,CHEMBL616017,1.0,,,,,8.0,,
Autocuration,,974.0,,,51.0,16394.0,H,,Binding affinity at human 5-hydroxytryptamine 1A receptor by inhibition of [3H]-8-OH-DPAT binding in Chinese hamster ovary cell line; NT is not tested,,BAO_0000019,B,,CHEMBL616018,1.0,,,,,8.0,,
Autocuration,,975.0,,,51.0,15740.0,H,,EC50 for inhibition of 50 uM forskolin-stimulated cAMP accumulation against 5-hydroxytryptamine 1A receptor receptor; Not tested,,BAO_0000019,F,,CHEMBL616019,1.0,,,,,8.0,,
Autocuration,,976.0,,,51.0,15740.0,H,,EC50 for inhibition of 50 uM forskolin-stimulated cAMP accumulation against 5-hydroxytryptamine 1A receptor; Not tested,,BAO_0000019,F,,CHEMBL616020,1.0,,,,,8.0,,
Autocuration,,977.0,,,51.0,15740.0,H,,Evaluated for the binding constant at [3H]8-OH-DPAT-labeled human 5-hydroxytryptamine 1A receptor,,BAO_0000357,B,,CHEMBL858018,1.0,,,,,8.0,,
Autocuration,,978.0,,,51.0,17296.0,H,,Binding affinity against human 5-hydroxytryptamine 1A receptors HEK 293 cell membranes using [35S]GTP gamma-S,,BAO_0000219,F,,CHEMBL616021,1.0,,,,HEK293,8.0,722.0,
Expert,,979.0,,,51.0,5640.0,H,,"Stimulation of binding of [35S]GTP-gamma-S, to G protein mediated by human cloned 5-hydroxytryptamine 1A receptor tested in vitro at 1 uM.",,BAO_0000019,F,,CHEMBL616022,1.0,,,,,8.0,,
Autocuration,,980.0,,,51.0,5640.0,H,,"Stimulation of binding of [35S]GTP-gamma-S, to G protein mediated by human cloned 5-hydroxytryptamine 1A receptor tested in vitro at a concentration of 1 uM; ND means Not determined",,BAO_0000019,F,,CHEMBL616023,1.0,,,,,8.0,,
Autocuration,,981.0,,,51.0,5640.0,H,,"Stimulation of binding of [35S]GTP-gamma-S, to G protein mediated by human cloned 5-hydroxytryptamine 1A receptor tested in vitro at a concentration of 1 uM; ND means not determined",,BAO_0000019,F,,CHEMBL616024,1.0,,,,,8.0,,
Autocuration,,982.0,,,51.0,5640.0,H,,"Stimulation of binding of [35S]GTP-gamma-S, to G protein mediated by human cloned 5-hydroxytryptamine 1A receptor tested in vitro at a concentration of 1 uM; Not determined",,BAO_0000019,F,,CHEMBL616025,1.0,,,,,8.0,,
Autocuration,,983.0,,,51.0,2759.0,H,,Antagonistic efficacy was evaluated by adenylyl cyclase assay in CHO cells stably expressing the human 5-HT1A receptor,,BAO_0000219,F,,CHEMBL616026,1.0,,,,CHO,8.0,449.0,
Autocuration,,984.0,,,51.0,16394.0,H,,"Agonist efficacy of [35S]GTP-gamma-S, binding to 5-hydroxytryptamine 1A receptor compared with 5-HT",,BAO_0000019,F,,CHEMBL616027,1.0,,,,,8.0,,
Expert,,985.0,,,51.0,16394.0,D,,"Agonist efficacy of [35S]GTP-gamma-S, binding to 5-hydroxytryptamine 1A receptor compared to 5-HT",,BAO_0000019,F,,CHEMBL616028,1.0,,,9606.0,,9.0,,Homo sapiens
Expert,,986.0,,,51.0,3445.0,D,,Percent efficacy against human 5-hydroxytryptamine 1A receptor relative to maximal 5-HT response,,BAO_0000019,F,,CHEMBL616029,1.0,,,9606.0,,9.0,,Homo sapiens
Expert,,987.0,,,51.0,4316.0,H,,Binding affinity for 5-hydroxytryptamine 1A receptor was determined by incubating human 5-hydroxytryptamine 1A receptor transfected CHO cells with [3H]8-OH-DPAT,,BAO_0000219,B,,CHEMBL616030,1.0,,,,CHO,8.0,449.0,
Expert,,988.0,,,51.0,4316.0,H,,In vitro inhibition of [3H]8-OH-DPAT binding to human cloned 5-hydroxytryptamine 1A receptor on CHO cell membranes.,,BAO_0000019,B,,CHEMBL616031,1.0,,,,,8.0,,
Expert,,989.0,,,51.0,15180.0,D,,Agonist efficacy on 5-hydroxytryptamine 1A receptor subtype,,BAO_0000019,F,,CHEMBL616032,1.0,,,9606.0,,9.0,,Homo sapiens
Expert,,990.0,,,51.0,15180.0,D,,Agonist efficacy on 5-hydroxytryptamine 1A receptor subtype,,BAO_0000019,F,,CHEMBL616033,1.0,,,9606.0,,9.0,,Homo sapiens
