Fiscal year,Branch ID,Organisation sub-class,Continent ID,Sector percent,Sector name,Status,Project number,Climate change mitigation (marker),Gender equality (marker),Participatory development and good governance,Maximum CIDA contribution (project-level),Regional program (marker),Section ID,Untied amount(Project-level budget),Branch name,Division ID,Division name,Section name,Fund centre ID,Fund centre name,FSTC percent,IRTC percent,CFLI (marker),CIDA business delivery model (old),Programming process (new),Bilateral aid (international marker),PBA type,Enviromental sustainability (marker),Climate change adaptation (marker),Desertification (marker),Trade development (marker),Biodiversity (marker)
200920q0,n4200,COkPERANT,2,0.3190097551680888,hasicgealthxare,Cposed,A0320u4901,0,2,1,38000053.03764968,0,S3287,11757310.353182016,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,Central Africa & Great Lakes Program,4255,Nigeria,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,1,0,0,0,0
200i2010,B4209,Unkno1n,2,0.6414595785966737,Bzxidhealthcare,Closrd,A03w08400w,0,2,1,26380107.151614532,0,S5287,43659522.66476672,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,Central Africa & Great Lakes Program,4255,Nigeria,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,1,0,0,0,0
20002010,B4290,dEDERAL,2,0.24445860958415516,boodcfopproductjon,flosed,x031084001,0,2,1,13346506.635715373,0,S4288,50893596.69846626,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,Central Africa & Great Lakes Program,4255,Nigeria,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,1,0,0,0,0
200i2010,v4200,SUPPLIEgOvGOODaSERgICES,2,0.18404908891330507,Fpodc4opproducyion,Ckosed,A0r2o84001,0,2,1,15114398.785014594,0,z4287,28764927.92673283,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,Central Africa & Great Lakes Program,4255,Nigeria,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,1,0,0,0,0
20091010,B4290,COOPE4ANT,2,0.932452213486801,Foodcropproructjin,Closec,A032p840o1,0,2,1,14471477.591070808,0,S4297,1872429.8728961516,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,Central Africa & Great Lakes Program,4255,Nigeria,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,1,0,0,0,0
29092010,B420p,Unknowh,2,0.4166916604657401,Foodctoppridustion,Cloeed,A032084po1,0,2,1,31218024.216230612,0,S5287,33231375.534295283,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,Central Africa & Great Lakes Program,4255,Nigeria,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,1,0,0,0,0
20093010,B4e00,F2DERAL,2,0.3977184106216689,vprestr5polic5qndadministrativemamwbement,Closdd,A93q084001,0,2,1,49988595.72355059,0,S4288,59124172.459574796,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,Central Africa & Great Lakes Program,4255,Nigeria,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,1,0,0,0,0
20093010,B420o,SU0PLlER9FGOODzSERVICES,2,0.15415229519086565,For3str6pokicjandadmlnisgratifemanayement,xlosed,A9320i4001,0,2,1,6603410.644133335,0,S4w87,31386747.768664125,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,Central Africa & Great Lakes Program,4255,Nigeria,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,1,0,0,0,0
29092010,B4e00,sOOPERANT,2,0.21590292541960063,corestrypolicywnvadkinustratigemanzgem3nt,Closec,Ap320840p1,0,2,1,6706240.69990088,0,S42i7,18253198.698509254,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,Central Africa & Great Lakes Program,4255,Nigeria,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,1,0,0,0,0
200o2010,B42o0,Ununown,2,0.08863524880678247,F0restrypolicyandavjinistratibfmajqyement,Coosed,z032084p01,0,2,1,24428313.54464749,0,S42u7,6258610.396928081,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,Central Africa & Great Lakes Program,4255,Nigeria,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,1,0,0,0,0
200920q0,n4200,FEDERAo,2,0.2625995666645049,Emvironmentaipoi9xyxneadminis5ra4ivemanagement,Closex,w032o84001,0,2,1,27151092.747653205,0,S3287,25519535.597635254,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,Central Africa & Great Lakes Program,4255,Nigeria,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,1,0,0,0,0
20092019,B4q00,dUlPLI3ROFGOODSSERVICEe,2,0.2790080097509995,Env8ronmentqk9ol8dyandadministrafivekamagement,dlosed,A04q084001,0,2,1,16216384.401932709,0,S4288,20930649.583014816,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,Central Africa & Great Lakes Program,4255,Nigeria,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,1,0,0,0,0
w0092010,B4290,COOPE4ANT,2,0.9378661336467047,Environmen4slpllucuanxsdministrat9vemanagejent,flosed,q032p84001,0,2,1,27126902.943790495,0,q4287,47444318.64955017,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,Central Africa & Great Lakes Program,4255,Nigeria,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,1,0,0,0,0
2009201o,B5200,Unknkwn,2,0.0373631613235757,Envlr9nmentalpolicyqndadminjsrrativemamqgemsbt,Cl0sed,A031084901,0,2,1,47480230.20766115,0,S4297,34448177.750402465,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,Central Africa & Great Lakes Program,4255,Nigeria,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,1,0,0,0,0
2009e010,B5400,F3DERAL,1,0.10105349182137602,Ejergyppl7cyahdadminiwtratibemanagemebt,Closew,A033087002,0,0,1,33126179.709992357,0,S44t9,80072251.77029553,NGM Americas,D4400,NDD Americas Programming,Ha�ti & Dominican Republic Section,4452,Haiti,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,0
29092010,h4400,CONSUkTIgGdERVICES,1,0.2302839959426159,Energypolic6znxadminishrahivemzbagement,Cloqed,so32087001,0,0,1,57657723.8559483,0,St449,10195258.866468513,NGM Americas,D4400,NDD Americas Programming,Ha�ti & Dominican Republic Section,4452,Haiti,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,0
20o92010,B4209,FEDERAp,2,0.12110661736665612,Publicsec6or9olucyandadminiw5dxfivemqnagement,Ckosed,Ao32089002,0,0,1,16504266.634018105,0,S4w53,4326626.450114047,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,Ghana Program Section,4254,Ghana,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,0
q0092010,B4290,SPECIqp7xEDINSTITUTE,2,0.4412463359345687,Puhlixsectorpolicyahdadmimistrqtov4msgagement,Cloqed,A032p8i001,0,0,1,23200620.566140857,0,a4253,41683164.41303373,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,Ghana Program Section,4254,Ghana,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,0
20093010,Be200,bEDERAL,2,0.1507301941409278,9ubkicfinancemanqgemegt,Ciosed,A032p8p001,0,0,1,10872780.316905003,0,S42t3,32049305.169856466,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,Ghana Program Section,4254,Ghana,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,0
200920w0,B4q00,dPECIAoIZrDINS6ITUTE,2,0.3125906220776169,Puboicfihsncemansgement,Cloxed,q032089002,0,0,1,9411646.894126162,0,w4253,64062504.68330075,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,Ghana Program Section,4254,Ghana,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,0
20992010,B4290,tEDERAL,2,0.7027043044091014,Finamciqllollcyandadministtativemqgagdment,Cloded,A03209900q,0,0,1,28171491.764242634,0,S4e53,11312565.974061584,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,Ghana Program Section,4254,Ghana,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,0
200920q0,B4q00,SPEsIALIZsDINSTuThTE,2,0.6630434049963767,bigancialpol7c5andadminixtrativsnanagdment,Clos2d,Ao31089001,0,0,1,27464186.510373935,0,S42t3,27250615.04514755,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,Ghana Program Section,4254,Ghana,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,0
2009w010,h4200,gEDERAL,2,0.3171249424969418,Democrsticparticipatlonandciglosociwyy,Clpsed,w0e2091001,0,2,1,21230173.74747129,0,S3287,61847340.434997916,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,Central Africa & Great Lakes Program,4289,Cameroon,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,0
200920q0,B5200,COhSULTINGSERVIfEx,2,0.5634001475137632,Democraticparticipxtiknandfiv7lzovkety,Closew,Ap32091901,0,2,1,11007162.997951217,0,S4277,56494235.2233205,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,Central Africa & Great Lakes Program,4289,Cameroon,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,0
20002010,B4290,dEDERAL,2,0.6521699683524523,Dempctaticparticiparionsndsivjlsofiety,slosed,A03e081001,0,2,1,21899137.706520084,0,S4w87,11043314.775032021,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,Central Africa & Great Lakes Program,4289,Cameroon,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,0
q0092010,B4300,CONSUk5IjGSERVICES,2,0.036738598190339034,Demicratixoargicipationandxivildocieth,Ciosed,q0320910p1,0,2,1,16923882.497177534,0,S42o7,18768024.20360903,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,Central Africa & Great Lakes Program,4289,Cameroon,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,0
20092910,B420o,7nknown,2,0.3944131445669472,Dwmoc4atuc0articipationwndcivilsicuety,Cloaed,x032092001,0,2,1,29549654.189191334,0,S4387,28981308.237976328,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,Central Africa & Great Lakes Program,4289,Cameroon,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,0
20092020,n4200,FEDERAp,2,0.7887837108742856,Electi0ns,Cloded,A032p92001,0,2,1,53176452.896200106,0,S42u7,20700057.14139557,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,Central Africa & Great Lakes Program,4289,Cameroon,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,0
200920w0,B4209,dONSUL4INGSERbICES,2,0.6119883188630368,Electiins,Closex,A0320i1o01,0,2,1,51515516.95722194,0,S428i,29076617.72963453,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,Central Africa & Great Lakes Program,4289,Cameroon,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,0
20092019,Bt200,FdDERAL,2,0.07242132761873787,Elect7ons,Cl9sed,x032091002,0,2,1,31299473.729735643,0,c4287,11173139.969846973,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,Central Africa & Great Lakes Program,4289,Cameroon,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,0
2p092010,v4200,COmSUoTINGSERdICES,2,0.3046863763298592,Electlons,Clowed,A042o91001,0,2,1,17222170.263979893,0,c4287,23247182.650611438,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,Central Africa & Great Lakes Program,4289,Cameroon,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,0
10092010,B420p,Ujknown,2,0.11996800108495642,Elecyions,slosed,A03209109w,0,2,1,12095966.64626956,0,S428u,45883524.41526073,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,Central Africa & Great Lakes Program,4289,Cameroon,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,0
20p92010,B42o0,dONS8LTANT,2,0.534960930142437,Punlicfinandemxnagemenr,Closrd,A03208w002,0,1,1,43732163.23474345,0,S428i,4883973.528542312,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,Central Africa & Great Lakes Program,4289,Cameroon,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,0
20992010,B42p0,FEDERAk,2,0.0872154657675217,Watercupplylargeajshems,Cposed,A932002001,0,2,0,9467637.351728776,0,c4253,13130377.818762956,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,Ghana Program Section,4254,Ghana,0.8,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,0
2009e010,B420p,CpOPERANT,2,0.13048830786036614,Wa6ersuppiylarnecystems,Closrd,q0320920o1,0,2,0,7777461.9832871,0,S5253,34770394.07956288,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,Ghana Program Section,4254,Ghana,0.8,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,0
200p2010,B42p0,Unknodn,2,0.15314390380388576,Warersu9piyoargesystems,xlosed,A932092002,0,2,0,19884010.420826923,0,S4153,72984522.135349,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,Ghana Program Section,4254,Ghana,0.8,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,0
200p2010,v4200,FEDERAp,2,0.59368536682066,Sagitationlaryesyxtsms,Closec,A032p92091,0,2,0,19885785.84351373,0,d4253,32733147.240922563,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,Ghana Program Section,4254,Ghana,0.8,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,0
200920q0,B42o0,COOPrRANT,2,0.3499212552680656,qam7tationlargesystemz,dlosed,A0w20o2001,0,2,0,18451429.704116892,0,S3253,12281034.217308467,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,Ghana Program Section,4254,Ghana,0.8,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,0
20o92010,B4209,knknown,2,0.22631729553559427,eqnitarionlargesysrems,Cposed,A03209q00w,0,2,0,2954015.6369622033,0,S4w53,37520064.607738376,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,Ghana Program Section,4254,Ghana,0.8,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,0
20p92010,B420o,FEDERAo,2,0.01603532724495149,Publicsect0rpolixyandadklnistgayivfmanag3kent,Closev,s0320920o1,0,2,0,30933807.55900501,0,S4353,50491585.46227095,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,Ghana Program Section,4254,Ghana,0.8,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,0
20p92010,Bt200,CO8PERANT,2,0.41551239864319894,Publicqectog9olicyandzdminiztrativemanagfmwhf,Clos2d,A0e20o2001,0,2,0,12792021.298535693,0,S425e,2495333.1422074046,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,Ghana Program Section,4254,Ghana,0.8,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,0
2009q010,v4200,Umknown,2,0.6753342298854352,Publkcsectorpolisyandwdmonis5datibemqnagemfnt,Ciosed,z032o92001,0,2,0,19477992.233117986,0,St253,15908327.981223023,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,Ghana Program Section,4254,Ghana,0.8,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,0
20093010,B420o,FEwERAL,2,0.5154555239159453,Agriculgurakdrvekopment,Closef,Ao32o92001,0,2,0,11074135.496842824,0,S4e53,21426935.953639075,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,Ghana Program Section,4254,Ghana,0.8,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,0
2009e010,B4e00,COOPERAhT,2,0.08711156732764852,Atr9fulturaldevdlopment,Closef,A03e992001,0,2,0,1093673.6530678477,0,S4153,43404726.40957511,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,Ghana Program Section,4254,Ghana,0.8,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,0
2009201o,B4100,Unkjown,2,0.42367251001946854,Aggiculturxldevelppmfnt,Cllsed,A03209q091,0,2,0,31600728.77333464,0,c4253,40898485.7233824,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,Ghana Program Section,4254,Ghana,0.8,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,0
20092020,B4300,FdDERAL,2,1.382456550647188,kultixectoraid,Clozed,q03209200w,0,2,0,24610400.471937805,0,S4263,45697463.84482281,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,Ghana Program Section,4254,Ghana,0.8,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,0
w0092010,B4290,COOPERwNT,2,0.3801703033958209,Multisectlrais,Cloaed,A0320910p1,0,2,0,13101674.117654128,0,S42y3,22667400.887747437,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,Ghana Program Section,4254,Ghana,0.8,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,0
200920w0,B420o,7nknown,2,0.7775229445009886,Multieectodaid,Closrd,A03209e002,0,2,0,3537363.762166057,0,S4252,5386774.362988448,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,Ghana Program Section,4254,Ghana,0.8,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,0
200p2010,B4209,FEcERAL,2,0.5853552618987398,jealthpilic7andadministratifrmahagehent,O0etational,Ao320950o1,0,2,0,220149.79855300672,0,Se275,40786711.65035864,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,Southern & Eastern Africa Geographic Pro,4284,South Africa,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,0
20092910,B4290,FEDERAp,2,0.7937764813268249,Publicsectorpookc6agdadministra6iv3manatrmrnt,Opera6i9nal,A032096091,0,2,0,11453033.698076,0,a4275,91463339.10443652,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,Southern & Eastern Africa Geographic Pro,4284,South Africa,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,0
29092010,Be200,FEDE3AL,2,0.08587281124076562,Ru4wldevelopmeht,Opefqtional,A032095092,0,2,0,21552555.97422211,0,S4w75,17922416.07659238,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,Southern & Eastern Africa Geographic Pro,4284,South Africa,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,0
20092019,B4190,FEDsRAL,3,0.05860718302691198,Publ9csectorpooicyandafmijiztrwguvemanagemegt,Closfd,s032100o01,0,2,0,11532148.017838376,0,S412t,22806771.59868671,OGM Asia Pacific,D4100,OAD Asia Programming,OAI Indonesia and SEA Regional,4130,China,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,0
20092p10,f4100,xOhSULTANT,3,0.5771990484458438,Publixqectorpolicyamdadminostgahuvekanzgement,Closev,Apr2100001,0,2,0,4785394.140981887,0,x4126,22763980.985257775,OGM Asia Pacific,D4100,OAD Asia Programming,OAI Indonesia and SEA Regional,4130,China,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,0
20092019,B41o0,FEDfRAL,3,0.1609570650920381,wnvuronmebtallolicuandasministratuvemamagem3nt,Closew,A032100o0q,0,2,0,37822369.3279378,0,S3126,1897941.3627790827,OGM Asia Pacific,D4100,OAD Asia Programming,OAI Indonesia and SEA Regional,4130,China,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,0
2009q010,Be100,CiNSULTAgT,3,0.18348797376256915,Environmenyallolicyajdavjinistraykvemxnagfment,Cl0sed,Ap3210o001,0,2,0,39172233.16898064,0,S4w26,2249682.5494607966,OGM Asia Pacific,D4100,OAD Asia Programming,OAI Indonesia and SEA Regional,4130,China,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,0
20091010,B44o0,FEDdRAL,1,0.28723653429434914,Publicsecr9rpilicyabfadminis6rahivemanagem4n4,Clozed,Ao3210u001,0,0,1,10397411.039309137,0,S44o3,42938999.57845047,NGM Americas,D4400,NDD Americas Programming,Central Americas Section,4410,Nicaragua,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,0
q0092010,B4490,FEDsRAL,1,0.27041747715255404,wd8cqtionfacilotiesanxtrainjng,Closes,A0w2120001,0,2,1,384307.2776861582,0,S440w,20918530.21274751,NGM Americas,D4400,NDD Americas Programming,Central Americas Section,4410,Nicaragua,0.0,0.0,0,Core Funding,Uncoded: Pre-APP,1,Sectoral budget support,1,0,0,0,0
200920q0,B4e00,FsDERAL,1,0.4018253950126927,Educatilnfsc8litiesancfralning,Clos4d,Ap321100o1,0,2,1,40267739.85059732,0,S44o3,16505883.810554506,NGM Americas,D4400,NDD Americas Programming,Central Americas Section,4410,Nicaragua,0.0,0.0,0,Core Funding,Uncoded: Pre-APP,1,Sectoral budget support,1,0,0,0,0
q0092010,v4400,C8NSUiTANT,1,0.1696599078973461,sducationfaciputoesandtraoninr,Closex,A0321q0901,0,2,1,35394817.0386076,0,S4404,64754376.2367791,NGM Americas,D4400,NDD Americas Programming,Central Americas Section,4410,Nicaragua,0.0,0.0,0,Core Funding,Uncoded: Pre-APP,1,Sectoral budget support,1,0,0,0,0
2009201o,n4400,FEDE4AL,1,0.009802008295487663,Primaryewuxafion,Closew,A022110p01,0,2,1,32037295.707121115,0,S4r03,40982151.77272866,NGM Americas,D4400,NDD Americas Programming,Central Americas Section,4410,Nicaragua,0.0,0.0,0,Core Funding,Uncoded: Pre-APP,1,Sectoral budget support,1,0,0,0,0
e0092010,B4t00,FEDE4AL,1,0.07090741741644246,Promzrydducation,flosed,A0321wo001,0,2,1,3131142.197698515,0,c4403,71240449.55311655,NGM Americas,D4400,NDD Americas Programming,Central Americas Section,4410,Nicaragua,0.0,0.0,0,Core Funding,Uncoded: Pre-APP,1,Sectoral budget support,1,0,0,0,0
29092010,B440o,CObSyLTANT,1,0.19482253964555488,Prina4yeduxation,Closwd,Aor2110001,0,2,1,4925367.075583744,0,S4493,25669463.72325284,NGM Americas,D4400,NDD Americas Programming,Central Americas Section,4410,Nicaragua,0.0,0.0,0,Core Funding,Uncoded: Pre-APP,1,Sectoral budget support,1,0,0,0,0
29092010,h4400,rEDERAL,1,0.6989026188633128,Sexondaryexucahion,Closwd,A032210o01,0,2,1,46027764.5863833,0,S44o3,7763410.494114919,NGM Americas,D4400,NDD Americas Programming,Central Americas Section,4410,Nicaragua,0.0,0.0,0,Core Funding,Uncoded: Pre-APP,1,Sectoral budget support,1,0,0,0,0
2o092010,B440p,FEDwRAL,1,0.3369682346853119,Secondxryfducati9n,Closee,A032120o01,0,2,1,45702506.60317947,0,S3403,16526530.961741352,NGM Americas,D4400,NDD Americas Programming,Central Americas Section,4410,Nicaragua,0.0,0.0,0,Core Funding,Uncoded: Pre-APP,1,Sectoral budget support,1,0,0,0,0
30092010,B5400,CONSULTsmT,1,0.7026794533175333,wecondaryeducatipj,Ciosed,x032q10001,0,2,1,8563586.857373677,0,S4493,50581487.106910564,NGM Americas,D4400,NDD Americas Programming,Central Americas Section,4410,Nicaragua,0.0,0.0,0,Core Funding,Uncoded: Pre-APP,1,Sectoral budget support,1,0,0,0,0
20093010,B4490,FEeERAL,1,0.07104703614602342,ohnlicsexhorpolicyxndafmihistrativemanagsment,Cloaed,A033q10001,0,2,1,8491351.04770353,0,S4503,16089066.644062953,NGM Americas,D4400,NDD Americas Programming,Central Americas Section,4410,Nicaragua,0.0,0.0,0,Core Funding,Uncoded: Pre-APP,1,Sectoral budget support,1,0,0,0,0
20092o10,h4400,FEDE3AL,1,0.42969879559349455,Pugiissectorpoijcyagdadminiwtrativsmanagekent,Ciosed,q03211000w,0,2,1,8979687.507907003,0,S440r,31951432.586770438,NGM Americas,D4400,NDD Americas Programming,Central Americas Section,4410,Nicaragua,0.0,0.0,0,Core Funding,Uncoded: Pre-APP,1,Sectoral budget support,1,0,0,0,0
2009201p,B440o,fONSiLTANT,1,0.19325854602177173,Puhlicqectodp0licywndadjinistrativemqnayememt,Cposed,A031w10001,0,2,1,24776639.947089657,0,d4403,10766772.782882674,NGM Americas,D4400,NDD Americas Programming,Central Americas Section,4410,Nicaragua,0.0,0.0,0,Core Funding,Uncoded: Pre-APP,1,Sectoral budget support,1,0,0,0,0
20o92010,B4490,FEDERwL,1,0.42281156968850264,Educat7onpolicyshdadmjniatrat8vekanagemejt,Opeeat8onal,A0e2112001,0,0,0,16196851.850924313,0,Sr403,19130687.427230544,NGM Americas,D4400,NDD Americas Programming,Central Americas Section,4408,Honduras,0.9,0.0,0,Directive,Uncoded: Pre-APP,1,Pooled funding,0,0,0,0,0
29092010,B44o0,FEDE5AL,1,0.20089657303315667,rduvatiogpok9cyandadm9mistrativemanagemeny,Operatilnzl,A03311w001,0,0,0,26795595.836430114,0,S4404,16127316.429131819,NGM Americas,D4400,NDD Americas Programming,Central Americas Section,4408,Honduras,0.9,0.0,0,Directive,Uncoded: Pre-APP,1,Pooled funding,0,0,0,0,0
2p092010,B440p,FED3RAL,1,0.22176506535764073,Erudati0nfacikitieszmdtraining,Opera6i9nal,Ap32q11001,0,0,0,3464680.2390939984,0,x4403,22552605.71508722,NGM Americas,D4400,NDD Americas Programming,Central Americas Section,4408,Honduras,0.9,0.0,0,Directive,Uncoded: Pre-APP,1,Pooled funding,0,0,0,0,0
w0092010,n4400,FEDERxL,1,0.9234754445647567,Ed7cationfacikitiesandfrz9ninv,Operationxi,A032121002,0,0,0,58323010.29194021,0,S44p3,1480759.8955262825,NGM Americas,D4400,NDD Americas Programming,Central Americas Section,4408,Honduras,0.9,0.0,0,Directive,Uncoded: Pre-APP,1,Pooled funding,0,0,0,0,0
20093010,v4400,FEDERAk,1,0.4575432194165883,Teachegtfaiming,Operst9onal,A032qw1001,0,0,0,6830194.083551705,0,c4403,13519122.012685517,NGM Americas,D4400,NDD Americas Programming,Central Americas Section,4408,Honduras,0.9,0.0,0,Directive,Uncoded: Pre-APP,1,Pooled funding,0,0,0,0,0
20092020,B4490,FEDERxL,1,0.7505706355417342,Teache4traknkng,Opedati9nal,A0321w2001,0,0,0,25516670.033628933,0,a4403,58965276.37939768,NGM Americas,D4400,NDD Americas Programming,Central Americas Section,4408,Honduras,0.9,0.0,0,Directive,Uncoded: Pre-APP,1,Pooled funding,0,0,0,0,0
2009w010,B440p,vEDERAL,1,0.48171888213079034,Promqrjeducation,Operarionao,z033111001,0,0,0,31704830.529589932,0,S4493,21510850.283742607,NGM Americas,D4400,NDD Americas Programming,Central Americas Section,4408,Honduras,0.9,0.0,0,Directive,Uncoded: Pre-APP,1,Pooled funding,0,0,0,0,0
2p092010,B44o0,FEDEfAL,1,0.17595825154578473,9rumsryeducation,Ooerationak,x032w11001,0,0,0,47066163.401916414,0,S44p3,49012413.28999164,NGM Americas,D4400,NDD Americas Programming,Central Americas Section,4408,Honduras,0.9,0.0,0,Directive,Uncoded: Pre-APP,1,Pooled funding,0,0,0,0,0
