assay_id,curated_by,assay_subcellular_fraction,assay_tissue,tissue_id,description,tid,assay_organism,doc_id,bao_format,assay_strain,assay_type,assay_test_type,assay_category,assay_tax_id,assay_cell_type,relationship_type
728,Expert,,,,Inhibitory concentration against 5-lipoxygenase from human whole blood,55,Homo sapiens,12281,BAO_0000357,,B,,,9606.0,,D
729,Autocuration,,,,The compound was tested for inhibitory activity against 5-Lipoxygenase in human polymorphonuclear leukocytes[PMNS],55,,11311,BAO_0000219,,B,,,,,H
730,Autocuration,,,,In vivo inhibition of 5-lipoxygenase (LTC4) in the mouse zymosan peritonitis assay at an oral dose of 30 mg/Kg,17087,,12576,BAO_0000218,,F,,,,,H
731,Autocuration,,,,Inhibitory concentration against 5-lipoxygenase from mouse macrophage,17087,,12281,BAO_0000357,,B,,,,,H
732,Autocuration,,,,In vivo inhibition of 5-lipoxygenase (LTC4) in the mouse zymosan peritonitis assay at an oral dose of 30 mg/Kg,17087,,12576,BAO_0000218,,F,,,,,H
733,Expert,,,,Inhibition of arachidonate 5-lipoxygenase purified from porcine leukocytes.,55,Sus scrofa,11089,BAO_0000019,,B,,,9823.0,,H
734,Expert,,,,In vitro inhibition of rat 5-Lipoxygenase,12166,,11006,BAO_0000357,,B,,,,,H
735,Expert,,,,Inhibitory activity against 5-Lipoxygenase,12166,Rattus norvegicus,11481,BAO_0000357,,B,,,10116.0,,D
736,Expert,,,,Inhibitory activity against 5-lipoxygenase in rat basophilic leukemia cells,12166,,10864,BAO_0000219,,B,,,,RBL-1,H
737,Autocuration,,,,Inhibitory activity against 5-lipoxygenase (5-LO) in intact rat barophilic leukemia cells (RBL-1),12166,,3595,BAO_0000219,,B,,,,RBL-1,H
738,Autocuration,,,,The compound was tested for inhibitory activity against 5-Lipoxygenase in rat RBL-1,12166,,11311,BAO_0000219,,B,,,,RBL-1,H
739,Autocuration,,,,The compound was tested for inhibitory activity against 5-Lipoxygenase in rat blood,12166,,11311,BAO_0000019,,B,,,,,H
740,Autocuration,,,,The compound was tested for inhibitory activity against 5-Lipoxygenase receptor in rat polymorphonuclear leukocytes[PMNS],12166,,11311,BAO_0000219,,B,,,,,H
741,Autocuration,,,,Compound was evaluated for the inhibition of 5-Lipoxygenase (5-LO) in vitro at 1 uM,12166,,11006,BAO_0000357,,B,,,,,H
742,Autocuration,,,,Inhibitory activity against 5-lipoxygenase (5-LO) using broken rat barophilic leukemia cells (RBL-1)at 10 uM,12166,,3595,BAO_0000219,,B,,,,RBL-1,H
743,Autocuration,,,,The compound was tested for inhibition of isolated 5-Lipoxygenase,12166,,11311,BAO_0000357,,B,,,,,H
744,Autocuration,,,,Ratio of IC50 against 5-LO and COX,22226,Rattus norvegicus,11481,BAO_0000019,,B,,,10116.0,,U
745,Autocuration,,,,Compound was evaluated for the inhibition of 5-Lipoxygenase (5-LO) in vitro at 1 uM,12166,,11006,BAO_0000357,,B,,,,,H
746,Autocuration,,,,Compound was evaluated for the inhibition of 5-Lipoxygenase (5-LO) in vitro at 1 uM; range is 20-35%,12166,,11006,BAO_0000357,,B,,,,,H
747,Autocuration,,,,The compound was tested for inhibition against 5-Lipoxygenase in rat polymorphonuclear leukocytes at 10 uM concentration,12166,,11311,BAO_0000219,,B,,,,,H
748,Autocuration,,,,Compound was evaluated for the inhibition of 5-Lipoxygenase (5-LO) ex vivo,12166,,11006,BAO_0000019,,F,,,,,H
749,Autocuration,,Prostate gland,2367.0,Compound was tested for the inhibition of type 2 5-alpha-reductase of human prostates,120,,4288,BAO_0000357,,B,,,,,H
750,Autocuration,,,,Percent inhibition was measured against 5-amino-4-imidazolecarboxamide ribotide transformylase(pigeon liver) enzyme at 10E-4 M inhibitory concentration,22226,Columba livia,7587,BAO_0000019,,B,,,8932.0,,U
751,Autocuration,,,,Percent inhibition was measured against 5-amino-4-imidazolecarboxamide ribotide transformylase(pigeon liver) enzyme at 10E-5 M inhibitory concentration,22226,Columba livia,7587,BAO_0000019,,B,,,8932.0,,U
752,Autocuration,,,,Percent inhibition was measured against 5-amino-4-imidazolecarboxamide ribotide transformylase(pigeon liver) enzyme.,22226,Columba livia,7587,BAO_0000019,,B,,,8932.0,,U
753,Autocuration,,,,Compound was evaluated for the inhibition of 5-aminoimidazole-4-carboxamide ribonucleotide transformylase obtained from human at 100 uM,10732,,11249,BAO_0000357,,B,,,,,H
754,Expert,,,,Effect on synaptosomal uptake inhibition of 5-hydroxytryptamine (5-HT); NT = Not Tested,12198,Rattus norvegicus,8003,BAO_0000019,,F,,,10116.0,,D
755,Expert,,,,Effect on synaptosomal uptake inhibition of 5-hydroxytryptamine (5-HT),12198,Rattus norvegicus,8003,BAO_0000019,,F,,,10116.0,,D
756,Expert,,,,Effect on synaptosomal uptake inhibition of 5-hydroxytryptamine (5-HT),12198,Rattus norvegicus,8003,BAO_0000019,,F,,,10116.0,,D
757,Expert,,Hippocampus,10000000.0,In vitro affinity towards 5-hydroxytryptamine 1A receptor using [3H]8-OH-DPAT as radioligand in hippocampus,10576,,12416,BAO_0000221,,B,,,,,H
758,Autocuration,,,,Binding affinity towards human 5-hydroxytryptamine 1 receptor,51,,16293,BAO_0000357,,B,,,,,H
759,Autocuration,,,,Intrinsic activity against 5-hydroxytryptamine 1 receptor using rabbit saphenous vein assay.,22226,Oryctolagus cuniculus,13047,BAO_0000019,,B,,,9986.0,,U
760,Autocuration,,,,Binding affinity against 5-hydroxytryptamine 1 receptor using rabbit saphenous vein assay.,22226,Oryctolagus cuniculus,13047,BAO_0000019,,B,,,9986.0,,U
761,Autocuration,,,,Binding affinity against 5-hydroxytryptamine 1D receptor using rabbit saphenous vein assay.,22226,Oryctolagus cuniculus,13047,BAO_0000019,,B,,,9986.0,,U
762,Autocuration,,,,Binding affinity against 5-hydroxytryptamine 4 receptor using rabbit saphenous vein assay.,22226,Oryctolagus cuniculus,13047,BAO_0000019,,B,,,9986.0,,U
763,Autocuration,,Hippocampus,10000000.0,Ability to bind at 5-hydroxytryptamine 1 receptor of rat hippocampus by displacing [3H]5-HT,104744,,10085,BAO_0000221,,B,,,,,H
764,Autocuration,,Hippocampus,10000000.0,Ability to bind at 5-hydroxytryptamine 1 receptor of rat hippocampus by displacing [3H]5-HT,104744,,10085,BAO_0000221,,B,,,,,H
765,Autocuration,,Hippocampus,10000000.0,Ability to bind at serotonin 5-hydroxytryptamine 1 receptor of rat hippocampus by displacing [3H]5-HT,104744,,10085,BAO_0000221,,B,,,,,H
766,Autocuration,Membranes,,,Ability to inhibit binding of titreated serotonin to the 5-hydroxytryptamine 1 receptor in rat brain frontal cortex membranes,104744,,9841,BAO_0000249,,B,,,,,H
767,Autocuration,,,,Binding affinity towards 5-hydroxytryptamine 1 receptor in brain cortical membranes of rat,104744,Rattus norvegicus,8822,BAO_0000249,,B,,,10116.0,,D
768,Autocuration,,,,Binding affinity towards 5-hydroxytryptamine 1 receptor in rat frontal cortex homogenates using [3H]5-HT as a radioligand,104744,Rattus norvegicus,9806,BAO_0000019,,B,,,10116.0,,D
769,Autocuration,,,,Binding affinity towards 5-hydroxytryptamine 1 receptor using [3H]5-HT as a radioligand from rat frontal cortex homogenates,104744,Rattus norvegicus,9806,BAO_0000019,,B,,,10116.0,,D
770,Autocuration,,,,Binding affinity towards 5-hydroxytryptamine 1 receptor was measured using radioligand ([3H]5-HT) binding assay,104744,,8868,BAO_0000224,,B,,,,,H
771,Autocuration,,Hippocampus,10000000.0,Binding affinity towards hippocampus 5-hydroxytryptamine 1 receptor was measured using radioligand [3H]5-HT,104744,,9036,BAO_0000221,,B,,,,,H
772,Autocuration,,Hippocampus,10000000.0,Compound was evaluated for the inhibition of [3H]5-HT (concentration of 12 nM) specific binding to rat hippocampus,104744,,11374,BAO_0000221,,B,,,,,H
773,Autocuration,,,,Inhibitory activity against 5-hydroxytryptamine 1 receptor by 3H ligand binding experiments.,104744,,10881,BAO_0000224,,B,,,,,H
774,Autocuration,,,,Tested for its binding affinity towards 5-hydroxytryptamine 1 receptor in rat,104744,,8822,BAO_0000019,,B,,,,,H
775,Autocuration,,,,Tested for its binding affinity towards 5-hydroxytryptamine 1 receptor in rat cortical membrane homogenates using radioligand ([3H]5-HT) binding assay.,104744,Rattus norvegicus,9806,BAO_0000249,,B,,,10116.0,,D
776,Autocuration,,,,Compound at 1 uM was tested for the inhibition of radioligand [3H]5-HT binding to 5-hydroxytryptamine 1 receptor in rat cerebral cortex,104744,,15463,BAO_0000019,,B,,,,,H
777,Autocuration,,,,Compound at 1 uM was tested for the inhibition of radioligand [3H]5-HT binding to 5-hydroxytryptamine 1 receptor in rat cerebral cortex,104744,,15463,BAO_0000019,,B,,,,,H
778,Autocuration,,Brain,955.0,Compound is evaluated for binding affinity towards 5-hydroxytryptamine 1 receptor using [3H]5-HT in rat brain cortex at 10 uM,104744,,14542,BAO_0000221,,B,,,,,H
779,Autocuration,,Brain,955.0,Compound is evaluated for binding affinity towards 5-hydroxytryptamine 1 receptor using [3H]5-HT in rat brain cortex at 10 uM,104744,,14542,BAO_0000221,,B,,,,,H
780,Autocuration,,,,Percent inhibition of 5-hydroxytryptamine 1 receptor from rat cortex membrane using [3H]- serotonin as radioligand at 33 uM,104744,,8569,BAO_0000019,,B,,,,,H
781,Autocuration,,,,Inhibition of [3H]5-HT radioligand binding against 5-hydroxytryptamine 1 receptor,104744,Rattus norvegicus,10062,BAO_0000224,,B,,,10116.0,,D
782,Autocuration,,,,Ancillary Binding affinity towards rat 5-hydroxytryptamine 1 receptor,104744,,4771,BAO_0000224,,B,,,,,H
783,Autocuration,,,,Binding affinity determined in radioreceptor binding assay by using [3H]5-HT radioligand against 5-hydroxytryptamine 1 receptor,104744,,10062,BAO_0000224,,B,,,,,H
784,Autocuration,,,,Binding affinity in radioreceptor binding assay by using [3H]5-HT radioligand against 5-hydroxytryptamine 1 receptor,104744,,10062,BAO_0000224,,B,,,,,H
785,Autocuration,,,,Binding affinity in radioreceptor binding assay by using [3H]5-HT radioligand against 5-hydroxytryptamine 1 receptor,104744,,10062,BAO_0000224,,B,,,,,H
786,Autocuration,,,,Binding affinity towards 5-hydroxytryptamine 1 receptor was determined in rat cerebral cortex using [3H]5-HT as radioligand,104744,,15463,BAO_0000019,,B,,,,,H
787,Autocuration,,,,Binding affinity towards central 5-hydroxytryptamine 1 receptor was determined in rat cerebral cortex using [3H]5-HT as radioligand,104744,,15463,BAO_0000019,,B,,,,,H
788,Autocuration,,,,Binding affinity towards 5-hydroxytryptamine 1 receptor was determined,104744,,9098,BAO_0000224,,B,,,,,H
789,Autocuration,,,,Affinity for 5-hydroxytryptamine 1 receptor,22226,Rattus norvegicus,3070,BAO_0000019,,B,,,10116.0,,U
790,Autocuration,,Brain,955.0,Compound is evaluated for binding affinity towards 5-hydroxytryptamine 1 receptor using [3H]5-HT in rat brain cortex,104744,,14542,BAO_0000221,,B,,,,,H
791,Autocuration,,Brain,955.0,Compound is evaluated for binding affinity towards 5-hydroxytryptamine 1 receptor using [3H]5-HT in rat brain cortex at 10 uM,104744,,14542,BAO_0000221,,B,,,,,H
792,Autocuration,,,,Compound was evaluated for 5-hydroxytryptamine 1 receptor binding,104744,,6398,BAO_0000224,,B,,,,,H
793,Autocuration,,Brain,955.0,Compound was evaluated for its binding affinity to 5-hydroxytryptamine 1 receptor in rat brain using [3H]HT radioligand assay,104744,,1344,BAO_0000221,,B,,,,,H
794,Autocuration,,,,Displacement of binding of [3H]5-HT to 5-hydroxytryptamine 1 receptor in rat cerebral cortex,104744,,11963,BAO_0000019,,B,,,,,H
795,Autocuration,,,,Displacement of [3H]spiperone from 5-hydroxytryptamine 1 receptor of rat cortex,22226,Rattus norvegicus,8908,BAO_0000019,,B,,,10116.0,,U
796,Autocuration,,,,Evaluated for binding affinity towards rat cortical membranes at 5-hydroxytryptamine 1 receptor binding site by using [3H]-5-HT as a radioligand.,104744,,9098,BAO_0000019,,B,,,,,H
797,Autocuration,,,,Binding affinity for 5-hydroxytryptamine 1 receptor of rat prefrontal cortex,104744,Rattus norvegicus,8841,BAO_0000019,,B,,,10116.0,,D
798,Autocuration,,,,Displacement of [3H]5-HT from 5-hydroxytryptamine 1 receptor of rat cortical membrane homogenates,22226,Rattus norvegicus,8814,BAO_0000019,,B,,,10116.0,,U
799,Autocuration,,,,The ability to inhibit [3H]5-HT binding to 5-hydroxytryptamine 1 receptor in rat cortex,104744,,11752,BAO_0000019,,B,,,,,H
800,Autocuration,,Brain,955.0,The binding affinity was measured on serotonin 5-hydroxytryptamine 1 receptor in rat brain tissue,104744,,11642,BAO_0000221,,B,,,,,H
801,Autocuration,,,,The compound was tested for its binding affinity towards 5-hydroxytryptamine 1 receptor by displacing [3H]5-HT radioligand in rat cerebral cortex,104744,,11642,BAO_0000019,,B,,,,,H
802,Autocuration,,Brain,955.0,Tested for 5-hydroxytryptamine 1 receptor binding ability by displacement of [3H]5-HT from rat brain synaptosomes,104744,,9231,BAO_0000220,,B,,,,,H
803,Autocuration,,Brain,955.0,Inhibition constant (1 uM) was measured on 5-hydroxytryptamine 1 receptor/uptake using [3H]- serotonin as radioligand in rat brain cortex.,104744,,11351,BAO_0000221,,B,,,,,H
804,Autocuration,,,,Compound was tested for binding affinity against 5-HT1 receptor,22226,,4639,BAO_0000019,,B,,,,,U
805,Autocuration,,,,Inhibitory concentration against 5-hydroxytryptamine 1 receptor,22226,,1205,BAO_0000019,,B,,,,,U
806,Expert,,,,Concentration necessary to achieve half maximal inhibition of [3H]8-Hydroxy-2-(di-n-propylamino)tetralin binding to 5-hydroxytryptamine 1A receptor at 1 uM,10576,,10025,BAO_0000357,,B,,,,,H
807,Autocuration,,,,"Ability to inhibit 5-HT sensitive,forskolin-stimulated adenylyl cyclase(FSC) activity in rat hippocampal membranes mediated through 5-hydroxytryptamine 1A receptor",10576,,13241,BAO_0000249,,F,,,,,H
808,Autocuration,,,,Agonistic activity (induction of forepaw treading in rats)on postsynaptic 5-hydroxytryptamine 1A receptor while iv administration,10576,,16245,BAO_0000218,,F,In vivo,,,,H
809,Autocuration,,,,Agonistic activity (induction of forepaw treading in rats)on postsynaptic 5-hydroxytryptamine 1A receptor while subcutaneous administration,10576,,16245,BAO_0000218,,F,In vivo,,,,H
810,Autocuration,,,,Inhibition of forskolin stimulated adenylate cyclase at 5-hydroxytryptamine 1A receptor,10576,,12438,BAO_0000019,,F,,,,,H
811,Autocuration,,,,Agonistic activity (induction of forepaw treading in rats)on postsynaptic 5-hydroxytryptamine 1A receptor while iv administration,10576,,16245,BAO_0000218,,F,In vivo,,,,H
812,Autocuration,,,,Agonistic activity (induction of forepaw treading in rats)on postsynaptic 5-hydroxytryptamine 1A receptor while subcutaneous administration,10576,,16245,BAO_0000218,,F,In vivo,,,,H
813,Autocuration,,,,Evaluated for the 5-hydroxytryptamine 1A receptor agonist activity in LY-293284 trained rats,10576,,15740,BAO_0000019,,F,,,,,H
814,Autocuration,,,,Percent of maximum response by 5-HT when tested for inhibition of vasoactive intestinal polypeptide-induced (VIP-induced) cAMP formation assessed in GH4ZD10 cells at 10 uM concentration,10576,,15535,BAO_0000219,,F,,,,,H
815,Expert,,,,Percent inhibition of vasoactive intestinal polypeptide-induced (VIP-induced) cAMP formation in GH4ZD10 cells expressing 5-HT1A receptor at 50 uM relative to 5-HT,51,,15535,BAO_0000219,,F,,,,,H
816,Autocuration,,,,Percent of maximum response by 5-HT when tested for inhibition of vasoactive intestinal polypeptide-induced (VIP-induced) cAMP formation assessed in GH4ZD10 cells at 50 uM concentration; No effect,10576,,15535,BAO_0000219,,F,,,,,H
817,Expert,,,,Binding affinity at [3H]8-OH-DPAT-Labeled 5-hydroxytryptamine 1A receptor sites in rat brain hippocampal membranes expressed as Hill values,10576,,9888,BAO_0000249,,B,,,,,H
818,Autocuration,,Hippocampus,10000000.0,Ability to bind at 5-hydroxytryptamine 1A receptor of rat hippocampus by displacing [3H]8-OH-DPAT,10576,,10085,BAO_0000221,,B,,,,,H
819,Autocuration,,Hippocampus,10000000.0,Ability to bind at serotonin 5-hydroxytryptamine 1A receptors of rat hippocampus by displacing [3H]8-OH-DPAT,10576,,10085,BAO_0000221,,B,,,,,H
820,Expert,Membranes,,,Binding affinity against 5-hydroxytryptamine 1A receptor (5-HT1A) by displacement of [3H]8-OH-DPAT from rat hippocampus membranes,10576,,17331,BAO_0000249,,B,,,,,H
821,Expert,,Hippocampus,10000000.0,Binding affinity against 5-hydroxytryptamine 1A receptor of rat hippocampal tissue with [3H]8-OH-DPAT,10576,Rattus norvegicus,10845,BAO_0000221,,B,,,10116.0,,D
822,Expert,,Hippocampus,10000000.0,Binding affinity against 5-hydroxytryptamine 1A receptor of rat hippocampal tissue with [3H]5-HT,10576,Rattus norvegicus,10845,BAO_0000221,,B,,,10116.0,,D
823,Expert,,Hippocampus,10000000.0,Binding affinity against 5-hydroxytryptamine 1A receptor using in rat hippocampal tissue using [3H]8-OH-DPAT as radioligand,10576,,10845,BAO_0000221,,B,,,,,H
824,Expert,,Hippocampus,10000000.0,Displacement of [3H]8-OH-DPAT from rat hippocampal 5-hydroxytryptamine 1A receptor; IA-Inactive,10576,Rattus norvegicus,10845,BAO_0000221,,B,,,10116.0,,D
825,Expert,,Hippocampus,10000000.0,Binding affinity against 5-hydroxytryptamine 1A receptor of rat hippocampal tissue with [3H]5-HT,10576,Rattus norvegicus,10845,BAO_0000221,,B,,,10116.0,,D
826,Expert,,,,Binding affinity towards rat 5-hydroxytryptamine 1A receptor was evaluated using [3H]8-OH-DPAT as radioligand,10576,,13730,BAO_0000357,,B,,,,,H
827,Expert,,,,Binding affinity against 5-hydroxytryptamine 1A receptor in rat hippocampus membranes using [3H]8-OH-DPAT as radioligand,10576,,13508,BAO_0000249,,B,,,,,H
828,Expert,,Hippocampus,10000000.0,Binding affinity against serotonin 5-hydroxytryptamine 1A receptor in rat hippocampus membrane using [3H]8-OH-DPAT as radioligand,10576,,13508,BAO_0000249,,B,,,,,H
829,Expert,,Hippocampus,10000000.0,Binding affinity by measuring displacement of [3H]-8-OH-DPAT from 5-hydroxytryptamine 1A receptor in rat hippocampus,10576,,12073,BAO_0000221,,B,,,,,H
830,Autocuration,,Hippocampus,10000000.0,Binding affinity to 5-hydroxytryptamine 1A receptor of rat hippocampus with [3H]8-OH-DPAT as radioligand,10576,,4671,BAO_0000221,,B,,,,,H
831,Expert,,Hippocampus,10000000.0,Binding affinity towards serotonin 5-HT1A receptor was determined in rat hippocampus using [3H]8-OH-DPAT as ligand,10576,,13631,BAO_0000221,,B,,,,,H
832,Autocuration,,,,Binding affinity was measured against serotonin 5-hydroxytryptamine 1A receptor,10576,,12438,BAO_0000357,,B,,,,,H
833,Autocuration,,,,Binding affinity to 5-hydroxytryptamine 1A receptor in rat cortex using [3H]-8-OH- DPAT as radioligand,10576,,10483,BAO_0000019,,B,,,,,H
834,Autocuration,,Hippocampus,10000000.0,Binding affinity to 5-hydroxytryptamine 1A receptor in rat hippocampus using [3H]-8-OH- DPAT as radioligand,10576,,10483,BAO_0000221,,B,,,,,H
835,Intermediate,,,,Binding affinity against 5-hydroxytryptamine 1A (5-HT1A) receptor in rat hippocampus membranes,10576,,12352,BAO_0000249,,B,,,,,H
836,Autocuration,,Hippocampus,10000000.0,Binding affinity was measured at the serotonin 5-hydroxytryptamine 1A receptor using [3H]8-OH-DPAT as radioligand in rat hippocampal membrane.,10576,,14732,BAO_0000249,,B,,,,,H
837,Expert,,,,Binding affinity to 5-hydroxytryptamine 1A receptor in the rat brain using [3H]8-hydroxy-2-(di-n-propylamine)tetralin as radioligand.,10576,Rattus norvegicus,11049,BAO_0000019,,B,,,10116.0,,D
838,Expert,,,,Binding affinity to 5-hydroxytryptamine 1A receptor in the rat brain using [3H]8-hydroxy-2-(di-n-propylamine)tetralin as radioligand; ND-Not determined,10576,Rattus norvegicus,11049,BAO_0000019,,B,,,10116.0,,D
839,Expert,,,,"Binding affinity to 5-hydroxytryptamine 1A receptor in rat hippocampus membranes,3H-8-OH-DPAT and buspirone for nonspecific binding (NSB)",10576,,13657,BAO_0000249,,B,,,,,H
840,Autocuration,,,,Compound was evaluated for binding affinity towards 5-hydroxytryptamine 1A receptor in rat cortex using [3H]-8-OH-DPAT as radioligand,10576,,11473,BAO_0000019,,B,,,,,H
841,Autocuration,,,,Compound was evaluated for its ability to displace [3H]8-OH-DPAT from serotonin 5-hydroxytryptamine 1A receptor in rat cerebral cortex membranes,10576,,2014,BAO_0000249,,B,,,,,H
842,Expert,,Hippocampus,10000000.0,Displacement of [3H]8-OH-DPAT from 5-hydroxytryptamine 1A receptor in rat hippocampus,10576,,3086,BAO_0000221,,B,,,,,H
843,Expert,,,,Binding affinity towards 5-hydroxytryptamine 1A receptor in rat frontal cortex using [125I]iodocyanopindolol as radio-ligand.,10576,,15854,BAO_0000019,,B,,,,,H
844,Expert,,Hippocampus,10000000.0,Affinity for 5-hydroxytryptamine 1A receptor labeled with [3H]8-OH-DPAT radioligand in hippocampus tissue,10576,,10922,BAO_0000221,,B,,,,,H
845,Expert,,Hippocampus,10000000.0,Inhibition of [3H]8-OH-DPAT binding at serotonin 5-hydroxytryptamine 1A receptor from rat hippocampus tissue.,10576,,13346,BAO_0000221,,B,,,,,H
846,Expert,,,,In vitro inhibition of [3H]8-OH-DPAT binding to rat 5-HT 1a receptors.,10576,,15311,BAO_0000357,,B,,,,,H
847,Autocuration,,Hippocampus,10000000.0,Compound was measured for affinity at 5-hydroxytryptamine 1A receptor labeled with [3H]8-OH-DPAT radioligand in hippocampus tissue,10576,,10922,BAO_0000221,,B,,,,,H
848,Autocuration,,,,Concentration necessary to achieve half maximal inhibition of [3H]8-Hydroxy-2-(di-n-propylamino)tetralin binding to 5-hydroxytryptamine 1A receptor<br>at 1 uM,10576,,10025,BAO_0000357,,B,,,,,H
849,Expert,,,,Concentration necessary to achieve half maximal inhibition of [3H]8-Hydroxy-2-(di-n-propylamino)tetralin binding to 5-hydroxytryptamine 1A receptor at 1 uM,10576,,10025,BAO_0000357,,B,,,,,H
850,Autocuration,,,,In vitro Inhibitory activity tested at 5-hydroxytryptamine 1A receptor binding site in rat,10576,,9742,BAO_0000019,,B,,,,,H
851,Autocuration,,,,In vitro Inhibitory activity tested at 5-hydroxytryptamine 1A receptor binding site in rat,10576,,9742,BAO_0000019,,F,,,,,H
852,Expert,,,,In vitro ability to inhibit binding of radioligand [3H]8-OH-DPAT to 5-hydroxytryptamine 1A receptor in rat cerebral cortex,10576,,12304,BAO_0000019,,B,,,,,H
853,Autocuration,,Hippocampus,10000000.0,In vitro affinity against 5-hydroxytryptamine 1A receptor using [3H]-8-OH-DPAT in rat hippocampus,10576,,15789,BAO_0000221,,B,,,,,H
854,Autocuration,,,,"In vitro binding activity against 5-hydroxytryptamine 1A receptor from homogenized rat brain, using [3H]-8-OH-DPAT as the radioligand",10576,,9912,BAO_0000019,,B,,,,,H
855,Autocuration,,,,"In vitro binding activity against 5-hydroxytryptamine 1A receptor from homogenized rat brain, using [3H]8-OH-DPAT as the radioligand.",10576,,9912,BAO_0000019,,B,,,,,H
856,Autocuration,,,,"In vitro binding activity against 5-hydroxytryptamine 1A receptor from homogenized rat brain, using [3H]8-OH-DPAT as the radioligand",10576,,9912,BAO_0000019,,B,,,,,H
857,Expert,,,,In vitro binding affinity for serotonin 5-hydroxytryptamine 1A receptor fof rat cerebral cortex using [3H]8-OH-DPAT as radioligand,10576,,16693,BAO_0000019,,B,,,,,H
858,Expert,,,,In vitro binding affinity measured on serotonin 5-hydroxytryptamine 1A receptor using [3H]8-OH-DPAT as radioligand.,10576,,13276,BAO_0000357,,B,,,,,H
859,Autocuration,,Hippocampus,10000000.0,In vitro binding affinity to 5-hydroxytryptamine 1A receptor using [125I](R)-(+)-trans-8-OH-PIPAT as radioligand in rat hippocampal homogenate,10576,,12678,BAO_0000221,,B,,,,,H
860,Autocuration,,,,In vitro binding affinity towards the 5-hydroxytryptamine 1A receptor was evaluated,10576,,11825,BAO_0000357,,B,,,,,H
861,Expert,,,,In vitro binding affinity was measured on serotonergic 5-hydroxytryptamine 1A receptor by displacement of [3H]- tetralin,10576,,12443,BAO_0000357,,B,,,,,H
862,Expert,,,,In vitro inhibitory activity against [3H]8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor,10576,,13830,BAO_0000357,,B,,,,,H
863,Expert,,Hippocampus,10000000.0,In vitro inhibitory concentration against radioligand [3H]8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor in rat hippocampal membrane.,10576,,14286,BAO_0000249,,B,,,,,H
864,Expert,,Hippocampus,10000000.0,In vitro radioligand binding assay on 5-hydroxytryptamine 1A receptor using [3H]8-OH-DPAT in rat hippocampus,10576,Rattus norvegicus,14356,BAO_0000221,,B,,,10116.0,,D
865,Autocuration,,,,Inhibition concentration against 5-hydroxytryptamine 1A receptor,10576,,15306,BAO_0000357,,B,,,,,H
866,Expert,,,,Inhibitory concentration against 5-hydroxytryptamine 1A receptor (Inactive at >1000 nM concentration),10576,,15306,BAO_0000357,,B,,,,,H
867,Expert,,,,"Inhibition of (+)-8-OH-DPAT stimulated [35S]GTP-gamma-S, binding to 5-hydroxytryptamine 1A receptor in hippocampal membranes",10576,Rattus norvegicus,16616,BAO_0000249,,F,,,10116.0,,D
868,Autocuration,,Hippocampus,10000000.0,"Inhibition of [3H]8-hydroxy-2-dipropylamino-1,2,3,4-tetrahydronaphthalene binding to 5-hydroxytryptamine 1A receptor in hippocampus region of rat brain; Residual radioligand binding higher than 50%",10576,,3651,BAO_0000221,,B,,,,,H
869,Autocuration,,Hippocampus,10000000.0,Inhibition of forskolin-activated adenylate cyclase (cAMP) activity at 5-hydroxytryptamine 1A receptor in rat hippocampus,10576,,14331,BAO_0000221,,F,,,,,H
870,Autocuration,,Hippocampus,10000000.0,Inhibition of forskolin-activated adenylate cyclase (cAMP) activity at 5-hydroxytryptamine 1A receptor in rat hippocampus,10576,,14331,BAO_0000221,,F,,,,,H
871,Expert,,,,Inhibition of radiolabeled [3H]-8-OH-DPAT ligand binding to 5-hydroxytryptamine 1A receptor,10576,Rattus norvegicus,14178,BAO_0000357,,B,,,10116.0,,D
872,Expert,,,,Displacement of [3H]8-OH-DPAT from rat cortex 5-hydroxytryptamine 1A receptor,10576,Rattus norvegicus,10639,BAO_0000019,,B,,,10116.0,,D
873,Autocuration,,Hippocampus,10000000.0,Inhibitory activity against 5-hydroxytryptamine 1A receptor of rat hippocampal homogenates,10576,,12306,BAO_0000221,,B,,,,,H
874,Expert,,,,Inhibitory activity against 5-hydroxytryptamine 1A receptor subtype,10576,Rattus norvegicus,1348,BAO_0000357,,B,,,10116.0,,D
875,Autocuration,,Hippocampus,10000000.0,Inhibitory activity against [3H]DPAT binding to 5-HT1A receptor in rat hippocampus,10576,,13605,BAO_0000221,,B,,,,,H
876,Autocuration,,,,Inhibition concentration against 5-hydroxytryptamine 1A receptor using cAMP as radioligand in CHO cells,51,,17624,BAO_0000219,,B,,,,CHO,H
877,Autocuration,,,,Inhibition concentration against binding of radioligand [35S]GTP-gamma-S in CHO cells expressing 5-hydroxytryptamine 1A receptor,51,,17624,BAO_0000219,,F,,,,CHO,H
878,Autocuration,,,,Inhibition concentration against binding of radioligand [35S]GTP-gamma-S in CHO cells expressing 5-hydroxytryptamine 1A receptor,51,,17624,BAO_0000219,,F,,,,CHO,H
879,Autocuration,,,,Inhibition of [3H]- 8-OH-DAPT binding against human recombinant 5-hydroxytryptamine 1A receptor,51,,15267,BAO_0000357,,B,,,,,H
880,Autocuration,,,,The binding affinity at the 5-hydroxytryptamine 1A receptor determined using [3H]5-CT; Not tested,51,,16532,BAO_0000357,,B,,,,,H
