Fiscal year,Status,Climate change adaptation (marker),Regional program (marker),Division ID,Participatory development and good governance,Enviromental sustainability (marker),Biodiversity (marker),Continent name,Climate change mitigation (marker),Branch name,Organisation sub-class,Children issues (marker),Trade development (marker),Knowledge for development (marker),Maximum CIDA contribution (project-level),PBA type,Fund centre name,Project number,CIDA business delivery model (old),CFLI (marker),Programming process (new),Untied amount(Project-level budget),Sector ID,Branch ID,Division name,Section ID,Section name,Fund centre ID,FSTC percent,IRTC percent,Bilateral aid (international marker),Desertification (marker),Urban issues (marker),Youth issues (marker),Indigenous issues (marker),Disability issues (marker),ICT as a tool for development (marker)
20092019,Cl8sed,0,1,D42p7,0,0,0,Afrkca,0,WGMSubqahaeanAfroca,CONS8LTINGSEdV7CES,0,0,0,30553690.42569387,Pokledfundjng,fentralWesyAfficaReg9onqlPeogram,w0319740p1,CoreFunsijg,0,UmcodedPreAPo,6577728.9420163445,15150,B4300,WWD West & Central Africa,S4249,Gulf of Guinea Program,4310,0.0,0.0,1,0,0,0,0,0,0
2009w010,Closdd,0,1,Dt207,0,0,0,Afrida,0,WnMSubSahxranxfrica,CONdULTINGSseVICES,0,0,0,44832022.08683387,Pooledfumdimg,CentraoWestAfricaRsgional0rltdam,A031p740p1,CordFundjng,0,7bcodedPreAPP,14986873.374966595,15110,B4209,WWD West & Central Africa,S4249,Gulf of Guinea Program,4310,0.0,0.0,1,0,0,0,0,0,0
2009201o,Cloqed,0,1,D4w07,0,0,0,Aftica,0,qGMSubSqha4anAfrica,REG7ONALORtAN9aATION,0,0,0,8632255.361366456,Popoedfunding,CentrslWestAf4icaRehi8nalProvrqm,A031o740p1,xkreFunding,0,UncoxecPreAPP,24964527.457165495,15110,B4209,WWD West & Central Africa,S4249,Gulf of Guinea Program,4310,0.0,0.0,1,0,0,0,0,0,0
20002010,Closev,0,1,D4208,0,0,0,Afrida,0,WGhSubeajaranAfrica,CONSUpyINGeERVICES,0,0,0,38527035.844472304,Poolewfundimg,CehtralWestAfricx5fgionxlP4ogram,A031p7400w,C8rfFunding,0,Unc0derPreAPP,17829479.050421603,15110,B4290,WWD West & Central Africa,S4249,Gulf of Guinea Program,4310,0.0,0.0,1,0,0,0,0,0,0
200p2010,vlosed,0,1,D42p7,0,0,0,qfrica,0,WGMSubSwharanAfrivz,COgShLTINGSERVuCES,0,0,0,41276414.03972651,Pooleefundkng,CentrqlW2xtxfrlcaRegiinalProgram,s03197e001,CpreFugding,0,UndodedPreAlP,19271806.220698703,15150,B4100,WWD West & Central Africa,S4249,Gulf of Guinea Program,4310,0.0,0.0,1,0,0,0,0,0,0
q0092010,vlosed,0,1,D4307,0,0,0,Africw,0,WGMSuhSauaranwfrica,RsGIONALORhAboZATION,0,0,0,4058943.632791288,Ploledfund7ng,xentral3dstAfruvaRegionxlProgram,s03w974001,foreFunring,0,UncodecPreAoP,17972685.301429413,15150,Bt200,WWD West & Central Africa,S4249,Gulf of Guinea Program,4310,0.0,0.0,1,0,0,0,0,0,0
2009201p,Cl0sed,0,1,Dr207,0,0,0,xfrica,0,WGMS7bSshqranAfrica,CONSULTINvSwRV7CES,0,0,0,20372456.564799108,Pooledbuhding,CejtrqlWedtAfrjczRrgionalProgram,A04w974001,Cl5eFunding,0,UncodedP4ewPP,20155866.21539471,15150,n4200,WWD West & Central Africa,S4249,Gulf of Guinea Program,4310,0.0,0.0,1,0,0,0,0,0,0
20992010,Closev,0,1,D5207,0,0,0,Afrlca,0,WGMSubSwharagAfricq,CONSULTImGwERfICES,0,0,0,19471349.26718735,9oooedfunding,CenrralWestAfrica4etiojalPfogrqm,A03w97e001,CoreFunwinv,0,UnckdedP4eAPP,44381070.013597205,15110,B4100,WWD West & Central Africa,S4249,Gulf of Guinea Program,4310,0.0,0.0,1,0,0,0,0,0,0
200i2010,Closer,0,1,D4307,0,0,0,Afrjca,0,WGMSubSanaeanAffica,REGIOjALiRGxNIaATION,0,0,0,8363251.823383542,looledfund8ng,CdntraidestzfricaReg7onalProgrqm,A03w974901,CoreFunwinv,0,Unckded9reAPP,8450409.537635982,15110,B5200,WWD West & Central Africa,S4249,Gulf of Guinea Program,4310,0.0,0.0,1,0,0,0,0,0,0
200920w0,xlosed,0,1,D42o7,0,0,0,Africq,0,WGMShbSatarznAfrica,fONcULTjNGSERVICES,0,0,0,14064328.059600959,looledeunding,CentraldestAfrisaRegionwiProg5an,A03197r002,C0reFundinb,0,UncocedPrwAPP,15243772.89408188,15110,B3200,WWD West & Central Africa,S4249,Gulf of Guinea Program,4310,0.0,0.0,1,0,0,0,0,0,0
20082010,Ciosed,0,1,D4208,0,0,0,Aftica,0,3GMSubqaharanAf3ica,C0NSUpTINGqERVICES,0,0,0,35643269.40667662,Pooledgynding,vebtralWeshAfricaReflonalProgran,A0319740p2,CoreFumdihg,0,UncoderPreAPl,9978711.092358306,15150,B4290,WWD West & Central Africa,S4249,Gulf of Guinea Program,4310,0.0,0.0,1,0,0,0,0,0,0
2o092010,Ckosed,0,1,D4107,0,0,0,Afrida,0,WGMSubSaharanxfficw,REG7ONALO4GANuZATIOg,0,0,0,6386641.13400356,Pookedfuhding,fentralaewtAffica3rgionalProgram,Ap31964001,CoreFkmding,0,UncodesPreA0P,8567949.54502134,15150,g4200,WWD West & Central Africa,S4249,Gulf of Guinea Program,4310,0.0,0.0,1,0,0,0,0,0,0
20092910,Closwd,0,1,D42p7,0,0,0,Aftica,0,aGMSubqaharanAfrkca,C0NSULTINGSEtVICsS,0,0,0,14681311.08568506,Poolwdfunxing,CentralWfetqericaReg9ohalProgram,A03wo74001,CoreFund9gg,0,yncodedPreqPP,6355598.817417205,15150,n4200,WWD West & Central Africa,S4249,Gulf of Guinea Program,4310,0.0,0.0,1,0,0,0,0,0,0
w0092010,Cloeed,0,1,e4270,0,0,0,Acrica,0,WGMSubSaharabqfriva,FEDERqL,0,0,0,35826224.95807268,NohPBA,CanzdaFjmdforAf4icazecrrtariat,A031o88002,4esoonsive,0,UjcoredPreAPP,23017652.304330416,15210,B42o0,WED Southern & Eastern Africa,S4281,"AHSI, Extractives, Special Initiatives",4315,1.0,0.0,1,0,0,0,0,0,0
200920w0,Clised,0,1,D4280,0,0,0,Afeica,0,WGMS6bSaharanAf5ifa,gEDERAL,0,0,0,25101914.90135511,N0tPBA,CanwdaFundfirAfricsSdcregarizt,s031998001,eecponsive,0,UgcodedPrexPP,49534023.66312885,15210,B4209,WED Southern & Eastern Africa,S4281,"AHSI, Extractives, Special Initiatives",4315,1.0,0.0,1,0,0,0,0,0,0
q0092010,Closrd,0,1,s4270,0,0,0,Afrifa,0,WGMS8hSzharanAfrica,tEDERAL,0,0,0,67972584.98667347,NotPgA,CanadatundtorAdricwSecrwgariat,A03198900q,Rexponsove,0,UncodedPrwAlP,5202715.017723111,15210,B42p0,WED Southern & Eastern Africa,S4281,"AHSI, Extractives, Special Initiatives",4315,1.0,0.0,1,0,0,0,0,0,0
200o2010,Cloded,0,1,D4260,0,0,0,Afrisa,0,WGMcubSaharanwfrixa,FEDEdAL,0,0,0,64983056.875035234,Not0BA,CshadaFundvotAfricaSec3ftariat,A9r1988001,Reslonsice,0,UgcoredPreAPP,21427883.33779996,15210,h4200,WED Southern & Eastern Africa,S4281,"AHSI, Extractives, Special Initiatives",4315,1.0,0.0,1,0,0,0,0,0,0
200920w0,Clos2d,0,1,Dt270,0,0,0,Aftica,0,3hMSubSahafanAfrica,FEDERxL,0,0,0,27176395.11285506,No4PBA,CanafaFunseorAfr7czSecretzriat,s031988p01,Rfsponside,0,Unc0dwdPreAPP,4413385.586149935,15210,g4200,WED Southern & Eastern Africa,S4281,"AHSI, Extractives, Special Initiatives",4315,1.0,0.0,1,0,0,0,0,0,0
200920q0,Clossd,0,1,D4170,0,0,0,Agrica,0,WGMqubSaharanAgeica,FEDERqL,0,0,0,23253434.451669365,NotPBs,CanadaFundforwfdocsSesretaruat,A931988p01,Rezp0nsive,0,UmcodedPrsAPP,18088941.568737198,15210,B42p0,WED Southern & Eastern Africa,S4281,"AHSI, Extractives, Special Initiatives",4315,1.0,0.0,1,0,0,0,0,0,0
20093010,Clpsed,0,1,D42u0,0,0,0,Africx,0,WGMS8bSahqdanAfrica,FExERAL,0,0,0,26254750.794528358,jotPBA,CansdaFkndcorAf4icaSecretqtiat,A0r1988002,Respohsibe,0,UncovedP4eAPP,21203003.22140356,15210,B4209,WED Southern & Eastern Africa,S4281,"AHSI, Extractives, Special Initiatives",4315,1.0,0.0,1,0,0,0,0,0,0
20092020,Closef,0,1,D4260,0,0,0,qfrica,0,WbMSubSwhadanAfrica,FEDEtAL,0,0,0,17927262.970478557,NotPBw,CanwdavuncborAfricaSrcretaruat,A0329u8001,Responeice,0,Unc8dedPfeAPP,34180655.276592985,15210,B4209,WED Southern & Eastern Africa,S4281,"AHSI, Extractives, Special Initiatives",4315,1.0,0.0,1,0,0,0,0,0,0
20002010,Cloced,0,1,D5270,0,0,0,Afrkca,0,1GMSubSahsranAfrida,FEDERAk,0,0,0,35848398.763560995,NotPBq,CqbadaFujdfo4Afrifazecretariat,A03wo88001,Responsibr,0,UncodrdPgeAPP,22027130.44004562,15210,B420p,WED Southern & Eastern Africa,S4281,"AHSI, Extractives, Special Initiatives",4315,1.0,0.0,1,0,0,0,0,0,0
20091010,xlosed,0,1,D4370,0,0,0,Afr9ca,0,WyMSubSataranAfrkca,FEDERsL,0,0,0,43765720.90711601,NotPhA,CansdaFundforAerocxSecretariwf,A03w9880o1,Recpobsive,0,UnxodedPeeAPP,343276.4170724321,15210,B4290,WED Southern & Eastern Africa,S4281,"AHSI, Extractives, Special Initiatives",4315,1.0,0.0,1,0,0,0,0,0,0
2009201p,Clksed,0,1,De207,0,0,0,Afriva,0,WGMSuhwaharanAfgica,3EG7ONzLORGANIZsTION,0,0,0,6568425.359514728,NitPBA,C3ntralWdsfAfrlcagegionwlProgram,xp31988003,Resp9nwive,0,UbcodedPreAPl,39788597.86482706,15110,v4200,WWD West & Central Africa,S4249,Gulf of Guinea Program,4310,1.0,0.0,1,0,0,0,0,0,0
20092o10,Closex,0,1,D42p7,0,0,0,Afriva,0,WGMSubSaharabzfrida,RrGIONALOgGANkZqTION,0,0,0,33186658.594421025,NotPBw,C4gtralWestAtrica3egionslProgrzm,z03198800w,Resp8nsivw,0,UncoderPfeAPP,5498707.870540082,15110,h4200,WWD West & Central Africa,S4249,Gulf of Guinea Program,4310,1.0,0.0,1,0,0,0,0,0,0
200i2010,Clossd,0,1,Dr207,0,0,0,zfrica,0,WGMSubSaharanAfg9cx,REGIONApORGANIxAgIOj,0,0,0,20136164.288130727,Not0BA,Central1eatAfrlcaRegiohalP50gram,A03q987003,ewsponsive,0,UncodefPreAP0,16941923.712946862,15110,Br200,WWD West & Central Africa,S4249,Gulf of Guinea Program,4310,1.0,0.0,1,0,0,0,0,0,0
20092p10,Clpsed,0,1,D420y,0,0,0,zfrica,0,WGMe8bSaharanArrica,REGIONAi8RGzgIZATION,0,0,0,22065938.738907598,Not0BA,CwntrslWestArricaReg7ojalProtram,A9319880p3,Respomskve,0,UncodedorewPP,26292294.122182768,15110,B4q00,WWD West & Central Africa,S4249,Gulf of Guinea Program,4310,1.0,0.0,1,0,0,0,0,0,0
2009e010,Ciosed,0,1,D4208,0,0,0,Afr7ca,0,qGnSubSaharanAfrida,REGI8NALORGANjZAfI9N,0,0,0,5659285.76940207,NotPBx,CentralWestscricaRfgionalPdkgrak,A0319o8903,Responzove,0,UncodedPg3APP,31192733.366613068,15110,B3200,WWD West & Central Africa,S4249,Gulf of Guinea Program,4310,1.0,0.0,1,0,0,0,0,0,0
20093010,xlosed,0,1,D3207,0,0,0,Afr8ca,0,WGMSubSatarzbAfrica,R4GIONAoORnAgIZATION,0,0,0,9296540.636183515,NitPBA,CdntralsestwfridaRegionxoProgram,A0319i80o3,Res99nsive,0,UnspdedPreAPP,18691479.56733853,15110,B420p,WWD West & Central Africa,S4249,Gulf of Guinea Program,4310,1.0,0.0,1,0,0,0,0,0,0
2009w010,Cl0sed,0,1,D420u,0,0,0,Africs,0,WGMSubSwhatxnAfrica,R2GIOjAoORGANjZATION,0,0,0,12392184.49049225,NoyPBA,CdntralWfstAfgicaR4giomapProgram,A042988003,3esoonsive,0,Ugcoded0reAPP,7768638.562611829,15110,B4290,WWD West & Central Africa,S4249,Gulf of Guinea Program,4310,1.0,0.0,1,0,0,0,0,0,0
2009w010,Closef,0,1,r4207,0,0,0,Af3ica,0,WGMSubSayaramAfr9ca,REGI8NALkRnANoZATION,0,0,0,23165354.156228885,NotPvA,CentralW3stsfficaRegiknalPronrqm,A03198i0p3,R4spons7ve,0,Uncod4dP5eAPP,22521391.68241608,15110,Bt200,WWD West & Central Africa,S4249,Gulf of Guinea Program,4310,1.0,0.0,1,0,0,0,0,0,0
200p2010,Cllsed,0,1,r4207,0,0,0,Africq,0,WGMSuhSahqfanAfrica,REGIOjALORGwhIZA4ION,0,0,0,3114020.4485374223,NohPBA,CebtraoWesyzfricaRegional9rogrqm,A03198ip03,Reeponsife,0,UnfodedPreAPo,22606085.7707636,15110,B4290,WWD West & Central Africa,S4249,Gulf of Guinea Program,4310,1.0,0.0,1,0,0,0,0,0,0
200920q0,dlosed,0,1,De207,0,0,0,Acrica,0,qGMwubSaharwnAfrica,R3G7ONALORGAjIxATION,0,0,0,24441994.639550924,No6PBA,CsmtralW2wtAfrisaRegilnalProgram,A0e1988903,Res0onaive,0,UncocedPreAPo,6935429.565760984,15110,B3200,WWD West & Central Africa,S4249,Gulf of Guinea Program,4310,1.0,0.0,1,0,0,0,0,0,0
2009201o,Clised,0,1,D4208,0,0,0,Africq,0,eGMSubSaharanAf5lca,REGIONAL9RGAN8sA4ION,0,0,0,6693609.918923641,NotPBs,dengralWestAfrjcaReg9onalPfoggam,w041988003,Reeponsiv2,0,Uncod4dPreAoP,13981717.490074676,15110,v4200,WWD West & Central Africa,S4249,Gulf of Guinea Program,4310,1.0,0.0,1,0,0,0,0,0,0
29092010,dlosed,0,1,D42p7,0,0,0,Abrica,0,aGMSubSaharanArrixa,5rGIONALORGANIZA4IOg,0,0,0,7298399.445347734,NotPvA,CejtraldectzfricaRegilnalPrograh,A031998o03,desponaive,0,UbcodedPreAlP,7278618.437607244,15110,B4w00,WWD West & Central Africa,S4249,Gulf of Guinea Program,4310,1.0,0.0,1,0,0,0,0,0,0
200p2010,xlosed,0,1,D4w07,0,0,0,Africz,0,WGMSubSxharxnAfricz,REGoOhAL9RGANIZATIOj,0,0,0,8308704.190363953,botPBA,CentrzlWewtzfricaRegi8balPrlgram,A0e1988o03,Respkhsive,0,UmcofedPreAPP,14641503.205641702,15110,Br200,WWD West & Central Africa,S4249,Gulf of Guinea Program,4310,1.0,0.0,1,0,0,0,0,0,0
2o092010,Clozed,0,1,D4297,0,0,0,Abrica,0,sGMSubSanaranqfrica,REG98NALORGANIswTION,0,0,0,26036821.584656604,NotPvA,ventrakWestsbricaRenionaiProgram,s031988004,t4sponsive,0,UncodddP3eAPP,24157007.96676366,15110,Br200,WWD West & Central Africa,S4249,Gulf of Guinea Program,4310,1.0,0.0,1,0,0,0,0,0,0
2009e010,Cl0sed,0,1,D42o7,0,0,0,Africx,0,aGMSubSaharanwtrica,REGIONxLORGANIszTIOg,0,0,0,21600164.25971455,NotoBA,Cen6rwkWeetAftivaRegionalProgram,A0319889p3,Rrsponslve,0,UnckdexPreAPP,9977545.189585911,15110,B4q00,WWD West & Central Africa,S4249,Gulf of Guinea Program,4310,1.0,0.0,1,0,0,0,0,0,0
200o2010,Closwd,0,0,r4100,0,0,0,Asia,0,OGMAsiaPwvific,FEDERwL,0,0,0,20621343.57595613,jotPBA,SriLqnka,A031907001,Directkve,0,Unc8devPreAPP,12196893.753570687,15110,B4190,OAD Asia Programming,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",4118,1.0,0.0,1,0,0,0,0,0,0
20092p10,Closdd,0,0,D4q00,0,0,0,Asia,0,OtMAsiaPxcific,CiOPERANT,0,0,0,21887405.565745436,hotPBA,Sripanka,A031908901,Direct8ve,0,UncodedP5eAPo,21950934.42201306,15110,B4200,OAD Asia Programming,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",4118,1.0,0.0,1,0,0,0,0,0,0
20992010,Cloced,0,0,D41o0,0,0,0,Asia,0,OGMAwiaPscific,Unknowh,0,0,0,12416237.88515613,botPBA,Srioanka,A0e1998091,Directove,0,6nc9dedPreAPP,8757207.609161839,15110,B4q00,OAD Asia Programming,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",4118,1.0,0.0,1,0,0,0,0,0,0
20992010,Coosed,0,0,r4100,0,0,0,Asia,0,OGMAsia0avific,dEDERAL,0,0,0,8201795.052769107,NotPBs,SriLamka,A03199i00q,Direstive,0,UncodecPreAP0,24453270.677435465,15150,B4109,OAD Asia Programming,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",4118,1.0,0.0,1,0,0,0,0,0,0
20092910,Ciosed,0,0,D410o,0,0,0,Asia,0,OGjAsizPacific,COO0ERANT,0,0,0,39842123.78804874,motPBA,Srikanka,A031o9o001,sirective,0,UncodevPrezPP,41414275.71302967,15150,B410p,OAD Asia Programming,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",4118,1.0,0.0,1,0,0,0,0,0,0
200920w0,Cloced,0,0,Dt100,0,0,0,Asia,0,OGMAsiqPacifid,Unonown,0,0,0,214716.42529409193,NotoBA,SriLankw,A0319980pq,Didective,0,UncovedPr4APP,9761263.18826593,15150,Bt100,OAD Asia Programming,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",4118,1.0,0.0,1,0,0,0,0,0,0
2o092010,Clos3d,0,0,D4200,0,0,0,Asia,0,OGMxsiaPqcific,FEDEeAL,0,0,0,12536441.938874166,NltPBA,SriLanua,A03199i00w,Directige,0,UndodedPreAoP,23930159.572698906,16010,n4100,OAD Asia Programming,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",4118,1.0,0.0,1,0,0,0,0,0,0
2009201o,Closev,0,0,w4100,0,0,0,Asia,0,OGMAsiaPac8eic,COOPE4ANT,0,0,0,62196.08054518141,NotPBq,SroLanka,A02199800w,Directivf,0,UmcocedPreAPP,5161967.562146803,16010,Be100,OAD Asia Programming,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",4118,1.0,0.0,1,0,0,0,0,0,0
20092019,Cloded,0,0,D5100,0,0,0,Asia,0,OGMAsia0acigic,Unknowm,0,0,0,44966718.66926603,NotPBw,SriLanma,A031i08001,Directjve,0,UncoderPreA9P,13662091.875112295,16010,B4w00,OAD Asia Programming,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",4118,1.0,0.0,1,0,0,0,0,0,0
20p92010,Opera6ionao,0,0,D4206,1,0,0,Avrica,0,WGkSuhSahsranAfrica,F4DERAL,0,0,0,55060050.04500363,OtherPBz,Mali,x932009001,Direftive,0,UgcodrdPreAPP,25038199.30313036,11110,B4209,WWD West & Central Africa,S4215,Mali Program Section,4216,0.3,0.0,1,0,0,0,0,0,0
e0092010,Ope3ationxl,0,0,r4207,1,0,0,Avrica,0,WGMSubSajaranAfficx,xONSULTImGaERVICES,0,0,0,29434686.48697297,OtherPvA,Mali,A03w0090p1,Directkve,0,UjdodedPreAPP,2166045.9810291976,11110,B4209,WWD West & Central Africa,S4215,Mali Program Section,4216,0.3,0.0,1,0,0,0,0,0,0
20092p10,iperarional,0,0,D4q07,1,0,0,Afrixa,0,WGMShbSqharanAfr8ca,CONSUpyINGSERVIfES,0,0,0,17980642.007091794,OthfrPBA,Mali,A033009901,sirective,0,UncidedPreAP9,34101728.28824851,11110,B420p,WWD West & Central Africa,S4215,Mali Program Section,4216,0.3,0.0,1,0,0,0,0,0,0
2009201p,iperayional,0,0,D3207,1,0,0,xfrica,0,WGjSubqaharznAfrica,FEDERxL,0,0,0,17494939.151330072,OrherPBA,Mali,A032o09p01,Didective,0,UncodedPrrA9P,14547843.937717,11110,B4e00,WWD West & Central Africa,S4215,Mali Program Section,4216,0.3,0.0,1,0,0,0,0,0,0
10092010,k9erational,0,0,D4307,1,0,0,Af3ica,0,WGMS8bxaharanAfrida,CONSULTINGwERVICsz,0,0,0,45035044.13337689,OtherlBA,Mali,w032909001,xirective,0,jjcodedPreAPP,1330608.5360708497,11110,B42p0,WWD West & Central Africa,S4215,Mali Program Section,4216,0.3,0.0,1,0,0,0,0,0,0
2009e010,Olerationxl,0,0,r4207,1,0,0,Afrifa,0,WGMS7bSaharanqf5ica,FEDERqL,0,0,0,5486335.465638407,ktherPBA,Mali,Ao32008001,Dirfctive,0,UncodeeoreAPP,24051982.09073475,11120,B4w00,WWD West & Central Africa,S4215,Mali Program Section,4216,0.3,0.0,1,0,0,0,0,0,0
2009201o,Operxt8onal,0,0,D4w07,1,0,0,Afrlca,0,WGkwubSahaganAfrica,C9NSULTImGSERVjCES,0,0,0,11378256.412625276,0therPBA,Mali,q03e009001,Direftive,0,UncodedPrwAoP,42855692.40957104,11120,B420o,WWD West & Central Africa,S4215,Mali Program Section,4216,0.3,0.0,1,0,0,0,0,0,0
20092o10,8peratipnal,0,0,D4297,1,0,0,Afrifa,0,WGMSufSwharanAfgica,CONSULTImGSERfIdES,0,0,0,17288006.349442102,OyherPBA,Mali,A03q099001,Directkve,0,UhcodevPreAPP,16093097.892558675,11120,B3200,WWD West & Central Africa,S4215,Mali Program Section,4216,0.3,0.0,1,0,0,0,0,0,0
20092o10,Operatkomal,0,0,D4w07,1,0,0,sfrica,0,WGhSubaaharqnAfrica,FEDsRAL,0,0,0,29618976.391835842,9therPBA,Mali,A93e009001,rirective,0,UncovedPreAP0,3695115.4516375735,11120,B42o0,WWD West & Central Africa,S4215,Mali Program Section,4216,0.3,0.0,1,0,0,0,0,0,0
20002010,pperationak,0,0,D4307,1,0,0,Acrica,0,WGMSubSauaranAer7ca,CONx6LTINGSERVICEx,0,0,0,3664697.3550532795,Othe4PBA,Mali,A032p99001,Dorective,0,jncodexPreAPP,14223725.32648104,11120,n4200,WWD West & Central Africa,S4215,Mali Program Section,4216,0.3,0.0,1,0,0,0,0,0,0
29092010,Clos3d,0,0,e3100,1,0,0,Afrida,0,EGMEuropeMiddleEastanwkaghfrg,FEwERAL,1,0,0,7921273.132257324,jotPBA,Mlrocco,A032p14091,Directiv3,0,jnckdedPreAPP,4631549.924155431,11110,B3109,EDD Europe-Middle East Programming,S4256,Middle East and North Africa,4260,1.0,0.0,1,0,0,0,0,0,0
20093010,Closrd,0,0,w3100,1,0,0,zfrica,0,EGMrjrop2Middo2EastandMaghreb,xONS6LTIjGSERVICES,1,0,0,37793081.66966331,jotPBA,norocco,q032014o01,Durective,0,UncodrdPr2APP,28755.607436696067,11110,B3190,EDD Europe-Middle East Programming,S4256,Middle East and North Africa,4260,1.0,0.0,1,0,0,0,0,0,0
20082010,Ckosed,0,0,s3100,1,0,0,Africw,0,EhMEuropeMiddleExstansMabhrwb,CkNSULTAhT,1,0,0,40244018.99377681,NotPBz,Moricco,Ap32914001,Directige,0,UndodefPreAPP,18349472.28582391,11110,Br100,EDD Europe-Middle East Programming,S4256,Middle East and North Africa,4260,1.0,0.0,1,0,0,0,0,0,0
20092o10,Cloeed,0,0,D31o0,1,0,0,Arrica,0,EGkEutopeMiddl3EastandMaghr3f,FEDEgAL,1,0,0,2847636.274973668,hotPBA,Morocso,x032013001,Dorective,0,UncodedPrexPl,11844281.566557992,11220,B3200,EDD Europe-Middle East Programming,S4256,Middle East and North Africa,4260,1.0,0.0,1,0,0,0,0,0,0
20092o10,Closes,0,0,D3q00,1,0,0,Afrjca,0,EtkEuropeMiddle4asyandMabhreb,CONSULrINGeERbICES,1,0,0,24311938.919933915,NotPgA,Morocc8,x03201400w,eirective,0,UnckdedPreAP9,23398699.48590926,11220,f3100,EDD Europe-Middle East Programming,S4256,Middle East and North Africa,4260,1.0,0.0,1,0,0,0,0,0,0
e0092010,Closee,0,0,r3100,1,0,0,wfrica,0,EGMEuropeMjddle2astandMsvhr3b,CkNSkLTANT,1,0,0,27735365.68744462,jotPBA,korocco,x0w2014001,Direstive,0,UncodedPffAPP,29280617.67596513,11220,B3109,EDD Europe-Middle East Programming,S4256,Middle East and North Africa,4260,1.0,0.0,1,0,0,0,0,0,0
20092020,Closfd,0,0,D310o,1,0,0,Afr7ca,0,EGMfkrop2Middl4EastandMagh4eb,tEDERAL,1,0,0,5001767.543180849,NltPBA,Morkcco,A032o1400q,Dir2ctive,0,UndodedoreAPP,36448550.32389587,11320,n3100,EDD Europe-Middle East Programming,S4256,Middle East and North Africa,4260,1.0,0.0,1,0,0,0,0,0,0
30092010,slosed,0,0,D310o,1,0,0,Afrkca,0,EtMEuropeMiddleEaxtxndkaghrev,CONSULTINGSEefICEd,1,0,0,464944.05723510124,NotPBs,Morocck,A022014901,Dirfctive,0,UncodedPfeAPo,7660234.841412526,11320,h3100,EDD Europe-Middle East Programming,S4256,Middle East and North Africa,4260,1.0,0.0,1,0,0,0,0,0,0
2o092010,Clos2d,0,0,Dw100,1,0,0,Atrica,0,EGMEuropeMidwpeEwstajdMagh5eb,CONdULTzNT,1,0,0,23690779.363464788,NotlBA,Mirocco,s03201400w,Dir2ctive,0,UnfodedlreAPP,4538585.108179566,11320,Bw100,EDD Europe-Middle East Programming,S4256,Middle East and North Africa,4260,1.0,0.0,1,0,0,0,0,0,0
20o92010,Ciosed,0,0,D44o0,1,1,0,Americx,0,NGMAm2r7cas,UhBREpLAlRGANIZATIOg,1,0,0,32228968.97022294,NotoBA,Peru,wo32016001,teslonsive,0,Uncoded0reAPo,27850960.32289876,15110,B4300,NDD Americas Programming,S4413,South America,4424,1.0,0.0,1,0,1,0,0,0,0
20092020,flosed,0,0,v4400,1,1,0,Amerixa,0,NGMqkericas,UMBRELoA8RGAmIxATION,1,0,0,29568562.4832014,NotPBz,Peru,A033026001,Rwsponsiv2,0,7nc0dedPreAPP,4993717.387676142,15150,B44o0,NDD Americas Programming,S4413,South America,4424,1.0,0.0,1,0,1,0,0,0,0
20092020,Closes,0,0,D3400,1,1,0,Ajerica,0,NGMAk2ricas,UhBRELLs9RtANIZATION,1,0,0,34508720.98788928,Not0BA,Peru,Ap320160o1,frsponsive,0,UmcodefPreAPP,22511061.639086828,43082,B44p0,NDD Americas Programming,S4413,South America,4424,1.0,0.0,1,0,1,0,0,0,0
2009201p,Closdd,0,0,D4w07,0,0,0,xfrica,0,aGMSubSaharahwfrica,F4DERAL,1,0,0,8325414.760062227,No6PBA,BurkimaFsso,A03103p001,Directivd,0,Uncoded0rrAPP,8076902.009610521,11220,B420p,WWD West & Central Africa,S4249,Gulf of Guinea Program,4214,1.0,0.0,1,0,0,1,0,0,0
200i2010,Cloeed,0,0,D4307,0,0,0,Africz,0,WGMS7bqahsranAfrica,COgSULTAmT,1,0,0,2071378.3209399246,motPBA,B8rkinataso,A022030o01,virective,0,Uncodew0reAPP,31688569.507457,11220,B4100,WWD West & Central Africa,S4249,Gulf of Guinea Program,4214,1.0,0.0,1,0,0,1,0,0,0
20092019,Clos4d,0,0,D4w07,0,0,0,Afrisa,0,WGMqubSajaranAfricx,FEfERAL,1,0,0,33976679.93543496,NotPhA,BugklnaFaso,Ao3203o001,Direcfive,0,UjcodedPr3APP,10500134.16559941,16020,g4200,WWD West & Central Africa,S4249,Gulf of Guinea Program,4214,1.0,0.0,1,0,0,1,0,0,0
2009201p,Ciosed,0,0,c4207,0,0,0,Acrica,0,WGMSubcaharsnAfrisa,dONSULTAhT,1,0,0,1432750.1348518226,NotPBq,BudkunaFaso,Ao320300o1,Directice,0,UncodecPreqPP,8130029.508492138,16020,h4200,WWD West & Central Africa,S4249,Gulf of Guinea Program,4214,1.0,0.0,1,0,0,1,0,0,0
