assay_id,tissue_id,curated_by,assay_tissue,tid,description,chembl_id,relationship_type,confidence_score,cell_id,assay_cell_type,doc_id,assay_type,assay_test_type,assay_category,assay_organism,assay_tax_id
4374,,Autocuration,,22224,Antitumor activity in vivo against the 6C3HED lymphosarcoma dosed for 10 days at 600 mg/kg,CHEMBL621007,U,0,,,10685,F,In vivo,,Mus musculus,10090.0
4375,,Autocuration,,22224,Percent inhibition against 6C3HED lymphosarcoma at dose 100 mg/kg in C3H mice,CHEMBL621008,U,0,,,10144,F,,,Mus musculus,10090.0
4376,,Autocuration,,22224,Percent inhibition against 6C3HED lymphosarcoma at dose 12.5 mg/kg in C3H mice,CHEMBL621009,U,0,,,10144,F,,,Mus musculus,10090.0
4377,,Autocuration,,22224,Percent inhibition against 6C3HED lymphosarcoma at dose 25 mg/kg in C3H mice,CHEMBL857705,U,0,,,10144,F,,,Mus musculus,10090.0
4378,,Autocuration,,22224,Percent inhibition against 6C3HED lymphosarcoma at dose 50 mg/kg in C3H mice,CHEMBL619828,U,0,,,10144,F,,,Mus musculus,10090.0
4379,,Autocuration,,22224,Tested on 6C3HED lymphosarcoma and percent inhibition was determined at 100 mg/kg dosage administered for 8 days intraperitoneally,CHEMBL619829,U,0,,,10685,F,,,Mus musculus,10090.0
4380,,Autocuration,,22224,Tested on 6C3HED lymphosarcoma and percent inhibition was determined at 200 mg/kg dosage administered for 10 days intraperitoneally,CHEMBL619830,U,0,,,10685,F,,,Mus musculus,10090.0
4381,,Autocuration,,22224,Tested on 6C3HED lymphosarcoma and percent inhibition was determined at 200 mg/kg dosage administered for 8 days intraperitoneally,CHEMBL619831,U,0,,,10685,F,,,Mus musculus,10090.0
4382,,Autocuration,,22224,Tested on 6C3HED lymphosarcoma and percent inhibition was determined at 50 mg/kg dosage administered for 8 days intraperitoneally,CHEMBL619832,U,0,,,10685,F,,,Mus musculus,10090.0
4383,,Autocuration,,22224,Tested on 6 C3 HED lymphosarcoma and number of drug related deaths/total animals in treatment group was determined at 100 mg/kg dosage administered for 8 days intraperitoneally; 0/10,CHEMBL619833,U,0,,,10685,A,,,Mus musculus,10090.0
4384,,Autocuration,,22224,Tested on 6 C3 HED lymphosarcoma and number of drug related deaths/total animals in treatment group was determined at 200 mg/kg dosage administered for 8 days perorally; 1/10,CHEMBL619834,U,0,,,10685,A,,,Mus musculus,10090.0
4385,,Autocuration,,22224,Tested on 6 C3 HED lymphosarcoma and number of drug related deaths/total animals in treatment group was determined at 200 mg/kg dosage administered for 10 days intraperitoneally; 1/10,CHEMBL619835,U,0,,,10685,A,,,Mus musculus,10090.0
4386,,Autocuration,,22224,Tested on 6 C3 HED lymphosarcoma and number of drug related deaths/total animals in treatment group was determined at 50 mg/kg dosage administered for 8 days perorally; 3/10,CHEMBL619836,U,0,,,10685,A,,,Mus musculus,10090.0
4387,,Intermediate,,80628,"Compound was evaluated for the antitumor activity against 6C3HED lymphosarcoma for ip administration and daily x 8 schedule; Number of toxic deaths over total number of mice per group (T/C), 0/10 at dose of 35 mg/kg",CHEMBL619837,N,1,850.0,6C3HED,8831,F,,,Mus musculus,10090.0
4388,,Autocuration,,22224,In vivo antitumor activity against 6C3HED tumor type after intraperitoneal administration of 400 mg/kg,CHEMBL619838,U,0,,,11704,F,In vivo,,,
4389,,Intermediate,,50594,In vivo antitumor activity against 6C3HED tumor type was expressed as toxic deaths/total treated mice at 400 mg/kg dose; 2/10,CHEMBL619839,N,1,,,11704,A,,,Mus musculus,10090.0
4390,,Intermediate,,80628,Antitumor activity in vivo expressed as percent of inhibition in 6C3HED-lymphosarcoma tumor cell line,CHEMBL619840,N,1,850.0,6C3HED,10685,F,In vivo,,Mus musculus,10090.0
4391,,Intermediate,,80628,Antitumor activity in vivo expressed as percent of inhibition in 6C3HED-lymphosarcoma tumor cell line; 95-100% inhibition,CHEMBL619841,N,1,850.0,6C3HED,10685,F,In vivo,,Mus musculus,10090.0
4392,,Expert,,80628,Inhibition of tumor growth of 6C3HED lymphosarcoma tumor cell line in mice at a dose of 150 mg/kg given orally(daily x 8),CHEMBL857704,N,1,850.0,6C3HED,11368,F,,,Mus musculus,10090.0
4393,,Intermediate,,80628,Inhibition of tumor growth of 6C3HED lymphosarcoma tumor cell line in mice at a dose of 200 mg/kg given orally(daily x 8),CHEMBL619842,N,1,850.0,6C3HED,11368,F,,,Mus musculus,10090.0
4394,,Expert,,80628,Inhibition of tumor growth of 6C3HED lymphosarcoma tumor cell line in mice at a dose of 300 mg/kg given orally (daily x 8),CHEMBL619843,N,1,850.0,6C3HED,11368,F,,,Mus musculus,10090.0
4395,,Autocuration,,22226,"Inhibition of Staphylococcus aureus 7,8-dihydroneopterin aldolase",CHEMBL619844,U,0,,,17763,B,,,Staphylococcus aureus,1280.0
4396,2107.0,Autocuration,Liver,22226,Michaelis-Menten constant for 7-ethoxycoumarin deethylation in rat liver microsomes 3-methylcholanthrene at a concentration of 5 uM,CHEMBL857855,U,0,,,7411,B,,,Rattus norvegicus,10116.0
4397,2107.0,Autocuration,Liver,22226,Michaelis-Menten constant for 7-ethoxycoumarin deethylation in rat liver microsomes exposed to 3-methylcholanthrene at a concentration of 10 uM,CHEMBL619845,U,0,,,7411,B,,,Rattus norvegicus,10116.0
4398,2107.0,Autocuration,Liver,22226,Michaelis-Menten constant for 7-ethoxycoumarin deethylation in rat liver microsomes exposed to 3-methylcholanthrene at a concentration of 1 uM,CHEMBL619846,U,0,,,7411,B,,,Rattus norvegicus,10116.0
4399,2107.0,Autocuration,Liver,22226,Michaelis-Menten constant for 7-ethoxycoumarin deethylation in rat liver microsomes exposed to 3-methylcholanthrene at a concentration of 20 uM,CHEMBL619847,U,0,,,7411,B,,,Rattus norvegicus,10116.0
4400,2107.0,Autocuration,Liver,22226,Michaelis-Menten constant for 7-ethoxycoumarin deethylation in rat liver microsomes exposed to 3-methylcholanthrene at a concentration of 25 uM,CHEMBL619848,U,0,,,7411,B,,,Rattus norvegicus,10116.0
4401,2107.0,Autocuration,Liver,22226,Michaelis-Menten constant for 7-ethoxycoumarin deethylation in rat liver microsomes exposed to 3-methylcholanthrene at a concentration of 50 uM,CHEMBL620893,U,0,,,7411,B,,,Rattus norvegicus,10116.0
4402,2107.0,Autocuration,Liver,22226,Michaelis-Menten constant for 7-ethoxycoumarin deethylation in rat liver microsomes exposed to 3-methylcholanthrene at a concentration of 5 uM,CHEMBL620894,U,0,,,7411,B,,,Rattus norvegicus,10116.0
4403,2107.0,Autocuration,Liver,22226,Michaelis-Menten constant for 7-ethoxycoumarin deethylation in rat liver microsomes exposed to 3-methylcholanthrene at concentration of 10 uM,CHEMBL620895,U,0,,,7411,B,,,Rattus norvegicus,10116.0
4404,2107.0,Autocuration,Liver,22226,Michaelis-Menten constant for 7-ethoxycoumarin deethylation in rat liver microsomes exposed to 3-methylcholanthrene at concentration of 100 uM,CHEMBL620896,U,0,,,7411,B,,,Rattus norvegicus,10116.0
4405,2107.0,Autocuration,Liver,22226,Michaelis-Menten constant for 7-ethoxycoumarin deethylation in rat liver microsomes exposed to 3-methylcholanthrene at concentration of 200 uM,CHEMBL620897,U,0,,,7411,B,,,Rattus norvegicus,10116.0
4406,2107.0,Autocuration,Liver,22226,Michaelis-Menten constant for 7-ethoxycoumarin deethylation in rat liver microsomes exposed to 3-methylcholanthrene at concentration of 25 uM,CHEMBL620898,U,0,,,7411,B,,,Rattus norvegicus,10116.0
4407,2107.0,Autocuration,Liver,22226,Michaelis-Menten constant for 7-ethoxycoumarin deethylation in rat liver microsomes exposed to 3-methylcholanthrene at concentration of 50 uM,CHEMBL620899,U,0,,,7411,B,,,Rattus norvegicus,10116.0
4408,1969.0,Autocuration,Plasma,22224,The apparent total plasma clearance in monkey,CHEMBL620900,U,0,,,347,A,In vivo,,Cercopithecidae,9527.0
4409,,Autocuration,,22224,Compound was evaluated for Hepatic clearance in monkey,CHEMBL620901,U,0,,,3341,A,In vivo,,Cercopithecidae,9527.0
4410,,Autocuration,,22224,Lower clearance in monkey (i.v.) at 0.5 mpk,CHEMBL620902,U,0,,,17853,A,In vivo,,Cercopithecidae,9527.0
4411,,Autocuration,,22224,Plasma clearance in rhesus monkey,CHEMBL620903,U,0,,,4514,A,In vivo,,Cercopithecidae,9527.0
4412,,Autocuration,,22224,Plasma clearance for the compound was measured in monkey after an iv dose of 1 mg/kg,CHEMBL620904,U,0,,,6062,A,In vivo,,Cercopithecidae,9527.0
4413,,Autocuration,,22224,Plasma clearance of compound was determined in monkey,CHEMBL620905,U,0,,,6821,A,In vivo,,Cercopithecidae,9527.0
4414,,Autocuration,,22224,Plasma clearance was calculated in rhesus monkey,CHEMBL620906,U,0,,,6057,A,In vivo,,Cercopithecidae,9527.0
4415,,Autocuration,,22224,Plasma clearance in rhesus monkey,CHEMBL875420,U,0,,,5145,A,In vivo,,Cercopithecidae,9527.0
4416,,Autocuration,,22224,Plasma clearance in monkey (dosed at 0.5 mpk iv and 2.0 mpk orally),CHEMBL620907,U,0,,,6641,A,In vivo,,Cercopithecidae,9527.0
4417,,Autocuration,,22224,Plasma clearance was evaluated in rhesus,CHEMBL620908,U,0,,,5472,A,In vivo,,Cercopithecidae,9527.0
4418,,Autocuration,,22224,Plasma clearance value was determined in monkey after a 3 mg/kg of iv dose,CHEMBL620909,U,0,,,4257,A,In vivo,,Cercopithecidae,9527.0
4419,,Autocuration,,22224,Plasma clearance was determined in rhesus monkey at a dose of 1 mg/kg by iv administration,CHEMBL620910,U,0,,,5546,A,In vivo,,Cercopithecidae,9527.0
4420,,Autocuration,,22224,Plasma clearance was reported after intravenous administration at a dose of 1 mg/kg in Rhesus monkey (male),CHEMBL620911,U,0,,,5334,A,In vivo,,Cercopithecidae,9527.0
4421,,Autocuration,,22224,Plasma clearance was reported after oral administration at a dose of 2 mg/kg in Rhesus monkey (male),CHEMBL620912,U,0,,,5334,A,In vivo,,Cercopithecidae,9527.0
4422,,Autocuration,,22224,Cmax 24 hr after 2 mg/kg oral administration in monkeys,CHEMBL620913,U,0,,,17509,A,In vivo,,Cercopithecidae,9527.0
4423,,Autocuration,,22224,Cmax in monkey after administration of 1 mg/kg iv,CHEMBL620914,U,0,,,6535,A,In vivo,,Cercopithecidae,9527.0
4424,,Autocuration,,22224,Cmax was determine after peroral administration at 10 mpk in Rhesus,CHEMBL620915,U,0,,,5668,A,In vivo,,Cercopithecidae,9527.0
4425,,Autocuration,,22224,Cmax in cynomolgus monkey by iv administration,CHEMBL620916,U,0,,,5922,A,In vivo,,Cercopithecidae,9527.0
4426,,Autocuration,,22224,Cmax in cynomolgus monkey by po administration,CHEMBL620917,U,0,,,5922,A,In vivo,,Cercopithecidae,9527.0
4427,,Autocuration,,22224,Cmax value evaluated in monkey,CHEMBL620918,U,0,,,6078,A,In vivo,,Cercopithecidae,9527.0
4428,,Autocuration,,22224,Compound was evaluated for maximum concentration after treatment with oral dose of 2 mgkg to female cynomolgus monkey,CHEMBL620919,U,0,,,2661,A,In vivo,,Cercopithecidae,9527.0
4429,1969.0,Autocuration,Plasma,22224,Maximal concentration (Cmax) in rhesus monkey plasma at a dose of 5 mg/kg,CHEMBL620920,U,0,,,3249,A,In vivo,,Cercopithecidae,9527.0
4430,1969.0,Autocuration,Plasma,22224,Maximal concentration (Cmax) in squirrel monkey plasma at a dose of 5 mg/kg,CHEMBL620921,U,0,,,3249,A,In vivo,,Cercopithecidae,9527.0
4431,1969.0,Autocuration,Plasma,22224,Maximal plasma concentration in squirrel monkeys,CHEMBL620922,U,0,,,5553,A,In vivo,,Cercopithecidae,9527.0
4432,,Autocuration,,22224,Maximum concentration was evaluated against Cynomolgus monkey at a dose of 15 mg/kg after po administration,CHEMBL620923,U,0,,,1916,A,In vivo,,Cercopithecidae,9527.0
4433,1969.0,Autocuration,Plasma,22224,Maximum plasma concentration (Cmax) in rhesus monkey(in vivo) at a dose of 5 mg/kg,CHEMBL620924,U,0,,,6227,A,In vivo,,Cercopithecidae,9527.0
4434,,Autocuration,,22224,Pharmacokinetic parameter Cmax was determined in monkey after (po) administration of a dose of 50 (uM/kg),CHEMBL620925,U,0,,,4809,A,In vivo,,Cercopithecidae,9527.0
4435,,Autocuration,,22224,The peak concentration (Cmax) value after intravenous administration in cynomolgus monkeys; NA means Not applicable,CHEMBL620926,U,0,,,5355,A,In vivo,,Cercopithecidae,9527.0
4436,,Autocuration,,22224,The peak concentration (Cmax) value after intravenous administration in cynomolgus monkeys; NA means not applicable,CHEMBL620927,U,0,,,5355,A,In vivo,,Cercopithecidae,9527.0
4437,,Autocuration,,22224,The peak concentration (Cmax) value after intravenous administration in cynomolgus monkeys;NA means not applicable,CHEMBL620928,U,0,,,5355,A,In vivo,,Cercopithecidae,9527.0
4438,,Autocuration,,22224,The peak concentration (Cmax) value after oral administration in cynomolgus monkeys,CHEMBL620929,U,0,,,5355,A,In vivo,,Cercopithecidae,9527.0
4439,1969.0,Autocuration,Plasma,22224,The peak plasma concentration after 5 hr administration (2.5 mg/kg) in monkey was determined,CHEMBL620930,U,0,,,6221,A,In vivo,,Cercopithecidae,9527.0
4440,,Autocuration,,22224,Compound was evaluated for Plasma levels upon oral administration at 30 mg/kg in Monkey at maximum of 0.4 hours,CHEMBL620931,U,0,,,167,A,,,Cercopithecidae,9527.0
4441,,Autocuration,,22224,Compound was evaluated for Plasma levels upon oral administration at 30 mg/kg in Monkey at maximum of 1.0 hours,CHEMBL620932,U,0,,,167,A,,,Cercopithecidae,9527.0
4442,,Autocuration,,22224,Absolute bioavailability was evaluated in monkey,CHEMBL620933,U,0,,,4257,A,In vivo,,monkey,9443.0
4443,,Autocuration,,22224,Bioavailability after oral administration (2.5 mg/kg) in monkey was determined,CHEMBL620934,U,0,,,6221,A,In vivo,,monkey,9443.0
4444,,Autocuration,,22224,Bioavailability of compound at 3 mg/kg in monkey after i.v. administration,CHEMBL620935,U,0,,,17667,A,In vivo,,monkey,9443.0
4445,,Autocuration,,22224,Bioavailability of compound was determined in rhesus monkey,CHEMBL620936,U,0,,,17267,A,In vivo,,Macaca mulatta,9544.0
4446,,Autocuration,,22224,Bioavailability determined after oral administration in marmoset,CHEMBL620937,U,0,,,4256,A,In vivo,,marmosets,38020.0
4447,,Autocuration,,22224,Oral bioavailability in cynomolgus monkey,CHEMBL620938,U,0,,,4256,A,In vivo,,Macaca fascicularis,9541.0
4448,,Autocuration,,22224,Bioavailability in monkey (p.o.) at 2.0 mpk,CHEMBL620939,U,0,,,17853,A,In vivo,,monkey,9443.0
4449,,Autocuration,,22224,Bioavailability was evaluated after oral administration in monkey,CHEMBL620940,U,0,,,16365,A,In vivo,,monkey,9443.0
4450,,Autocuration,,22224,Bioavailability was evaluated against Cynomolgus monkey at a dose of 15 mg/kg after po administration,CHEMBL620941,U,0,,,1916,A,In vivo,,Macaca fascicularis,9541.0
4451,,Autocuration,,22224,Bioavailability was reported after intravenous administration at a dose of 1 mg/kg in Rhesus monkey (male),CHEMBL620942,U,0,,,5334,A,In vivo,,Macaca mulatta,9544.0
4452,,Autocuration,,22224,Bioavailability was reported after oral administration at a dose of 2 mg/kg in Rhesus monkey (male),CHEMBL620943,U,0,,,5334,A,In vivo,,Macaca mulatta,9544.0
4453,,Autocuration,,22224,Bioavailability of the compound was determined in monkey,CHEMBL620944,U,0,,,17592,A,In vivo,,monkey,9443.0
4454,,Autocuration,,22224,Bioavailability in squirrel monkey (dose 5 mg/kg),CHEMBL620945,U,0,,,1399,A,In vivo,,Saimiri sciureus,9521.0
4455,,Autocuration,,22224,Bioavailability was determined in monkey after (po) administration of a dose of 50 (uM/kg),CHEMBL620946,U,0,,,4809,A,In vivo,,monkey,9443.0
4456,,Autocuration,,22224,Oral bioavailability in monkey,CHEMBL620947,U,0,,,3341,A,In vivo,,monkey,9443.0
4457,,Autocuration,,22224,Compound was tested for bioavailability in squirrel monkey,CHEMBL620948,U,0,,,64,A,In vivo,,Saimiri sciureus,9521.0
4458,,Autocuration,,22224,Oral bioavailability in Rhesus monkey,CHEMBL620949,U,0,,,5005,A,In vivo,,Macaca mulatta,9544.0
4459,,Autocuration,,22224,Oral bioavailability in Rhesus monkey (dose of 0.75 mg/kg i.v. and 1.5 mg/kg p.o.),CHEMBL620950,U,0,,,5005,A,In vivo,,Macaca mulatta,9544.0
4460,,Autocuration,,22224,Oral bioavailability in cynomolgus monkeys for the compound was determined; Acceptable,CHEMBL620951,U,0,,,5237,A,In vivo,,Macaca fascicularis,9541.0
4461,,Autocuration,,22224,Oral bioavailability in cynomolgus monkeys was determined; Acceptable,CHEMBL620952,U,0,,,5237,A,In vivo,,Macaca fascicularis,9541.0
4462,,Autocuration,,22224,Oral bioavailability in monkey (dose 5 mg/kg),CHEMBL875421,U,0,,,5302,A,In vivo,,monkey,9443.0
4463,,Autocuration,,22224,Oral bioavailability of compound at 5 mg/kg in monkey,CHEMBL620953,U,0,,,17667,A,In vivo,,monkey,9443.0
4464,,Intermediate,,50588,Pharmacokinetic profile in terms of half life was determined at a dose of 0.5 mg/kg administered intravenously in dog,CHEMBL873491,N,1,,,6161,A,In vivo,,Canis lupus familiaris,9615.0
4465,,Intermediate,,50588,Pharmacokinetic profile in terms of half life was determined at a dose of 5 mg/kg administered intravenously in dog,CHEMBL620954,N,1,,,6161,A,In vivo,,Canis lupus familiaris,9615.0
4466,1969.0,Intermediate,Plasma,50588,Plasma half life determined,CHEMBL620955,N,1,,,3854,A,,,Canis lupus familiaris,9615.0
4467,1969.0,Intermediate,Plasma,50588,Plasma half life in dog,CHEMBL618097,N,1,,,993,A,,,Canis lupus familiaris,9615.0
4468,1969.0,Intermediate,Plasma,50588,Plasma half-life in Beagle dogs,CHEMBL618268,N,1,,,4514,A,,,Canis lupus familiaris,9615.0
4469,1969.0,Intermediate,Plasma,50588,Plasma half-life period (0-8 h) was reported after intravenous administration at a dose of 1 mg/kg in Beagle dog (male),CHEMBL618269,N,1,,,5334,A,In vivo,,Canis lupus familiaris,9615.0
4470,1969.0,Intermediate,Plasma,50588,Plasma half-life period (0-8 h) was reported after oral administration at a dose of 2 mg/kg respectively in Beagle dog (male),CHEMBL618270,N,1,,,5334,A,In vivo,,Canis lupus familiaris,9615.0
4471,,Intermediate,,50588,Tested for t1/2 upon intravenous administration of 5.0 mg/Kg dose in dog,CHEMBL618271,N,1,,,1466,A,In vivo,,Canis lupus familiaris,9615.0
4472,,Intermediate,,50588,Tested for t1/2 upon peroral administration of 10.0 mg/Kg dose in dog,CHEMBL873493,N,1,,,1466,A,In vivo,,Canis lupus familiaris,9615.0
4473,,Intermediate,,50588,Tested for the half life period in dog,CHEMBL621031,N,1,,,5313,A,,,Canis lupus familiaris,9615.0
4474,,Intermediate,,50588,Tested for the half life period in dog at dosage of 10 mpk,CHEMBL621032,N,1,,,5313,A,In vivo,,Canis lupus familiaris,9615.0
4475,,Intermediate,,50588,The compound was tested for half life in dog,CHEMBL621033,N,1,,,3880,A,,,Canis lupus familiaris,9615.0
4476,1969.0,Intermediate,Plasma,50588,"The compound was tested for time taken to decrease, half of its initial concentration in dog plasma.",CHEMBL621034,N,1,,,3639,A,,,Canis lupus familiaris,9615.0
4477,,Intermediate,,50588,The half life was determined,CHEMBL621035,N,1,,,3880,A,,,Canis lupus familiaris,9615.0
4478,1969.0,Intermediate,Plasma,50588,The plasma half-life in dogs,CHEMBL621036,N,1,,,3918,A,,,Canis lupus familiaris,9615.0
4479,1969.0,Intermediate,Plasma,50588,suboptimal plasma half-life caused a10% prolongation of QTc interval in dogs at a plasma level of 2.5 M,CHEMBL621037,N,1,,,16452,A,,,Canis lupus familiaris,9615.0
4480,,Intermediate,,50588,Half life in dog,CHEMBL619812,N,1,,,17796,A,,,Canis lupus familiaris,9615.0
4481,,Intermediate,,50588,Pharmacokinetic property (t1/2beta) was measured in dog at the dose of 0.032 mg/kg i.v.,CHEMBL619813,N,1,,,5983,A,In vivo,,Canis lupus familiaris,9615.0
4482,,Intermediate,,50588,tmax upon peroral administration of 10.0 mg/Kg dose in dog,CHEMBL873335,N,1,,,1466,A,In vivo,,Canis lupus familiaris,9615.0
4483,,Intermediate,,50588,Volume of distribution in Beagle dogs after intravenous administration at a dose of 10 mg/kg,CHEMBL619814,N,1,,,16456,A,In vivo,,Canis lupus familiaris,9615.0
4484,,Expert,,50506,Cmax in ferrets after 30 mg/kg oral dose,CHEMBL619815,N,1,,,6113,A,In vivo,,Mustela putorius furo,9669.0
4485,,Expert,,50506,Emesis in ferrets at 30 mg/kg oral dose,CHEMBL619816,N,1,,,6113,F,In vivo,,Mustela putorius furo,9669.0
4486,,Autocuration,,22224,Bioavailability in cynomolgus monkey,CHEMBL619817,U,0,,,17796,A,In vivo,,Macaca fascicularis,9541.0
4487,,Intermediate,,100710,Volume of distribution in cynomolgus,CHEMBL619818,N,1,,,17796,A,In vivo,,Macaca fascicularis,9541.0
4488,1969.0,Autocuration,Plasma,22224,AUC tested in guinea pig when 3 mg/kg dose was given perorally,CHEMBL619819,U,0,,,5308,A,,,Cavia porcellus,10141.0
4489,,Autocuration,,22224,Tested for concentration as Area Under Curve against PDE4 in guinea pig lung eosinophilia orally at 5 mg/kg,CHEMBL619820,U,0,,,4877,A,,,Cavia porcellus,10141.0
4490,,Autocuration,,22224,"Tested for the pharmacokinetic parameter in guinea pig, administered orally at 5 mg/kg",CHEMBL875419,U,0,,,4876,A,,,Cavia porcellus,10141.0
4491,1969.0,Autocuration,Plasma,22224,AUC in guinea pig after 3mg/kg oral dose,CHEMBL619821,U,0,,,4878,A,In vivo,,Cavia porcellus,10141.0
4492,,Autocuration,,22224,Bioavailability in guinea pig was tested,CHEMBL619822,U,0,,,5308,A,In vivo,,Cavia porcellus,10141.0
4493,,Autocuration,,22224,Tested for oral bioavailability in guinea pig at 5 mg/kg,CHEMBL619823,U,0,,,4877,A,In vivo,,Cavia porcellus,10141.0
4494,,Autocuration,,22224,Tested for the oral bioavailability of the compound,CHEMBL619824,U,0,,,4876,A,In vivo,,Cavia porcellus,10141.0
4495,,Autocuration,,22224,Compound at a dose 5 mg/kg was administered orally to guinea pig and the pharmacokinetic parameter (Cmax) was reported,CHEMBL619825,U,0,,,4876,A,In vivo,,Cavia porcellus,10141.0
4496,,Autocuration,,22224,Maximum plsma drug concentration in guinea pig when 3 mg/kg dose was given perorally,CHEMBL619826,U,0,,,5308,A,In vivo,,Cavia porcellus,10141.0
4497,2048.0,Autocuration,Lung,22224,Tested for maximum concentration against PDE4 in guinea pig lung eosinophilia orally at 5 mg/kg,CHEMBL619827,U,0,,,4877,A,In vivo,,Cavia porcellus,10141.0
4498,,Autocuration,,22224,Cmax in guinea pig after 3mg/kg oral dose,CHEMBL618167,U,0,,,4878,A,In vivo,,Cavia porcellus,10141.0
4499,178.0,Autocuration,Blood,22224,Distribution in blood expressed as [18F]- organ uptake in % of injected activity/gram,CHEMBL618168,U,0,,,5689,A,,,Cavia porcellus,10141.0
4500,955.0,Autocuration,Brain,22224,Distribution in brain expressed as [18F]- organ uptake in % of injected activity/gram,CHEMBL618169,U,0,,,5689,A,,,Cavia porcellus,10141.0
4501,,Autocuration,,22224,Distribution in heart expressed as [18F]- organ uptake in % of injected activity/gram,CHEMBL618170,U,0,,,5689,A,,,Cavia porcellus,10141.0
4502,160.0,Autocuration,Intestine,22224,Distribution in intestine expressed as [18F]- organ uptake in % of injected activity/gram,CHEMBL618171,U,0,,,5689,A,,,Cavia porcellus,10141.0
4503,2113.0,Autocuration,Kidney,22224,Distribution in kidney expressed as [18F]- organ uptake in % of injected activity/gram,CHEMBL618172,U,0,,,5689,A,,,Cavia porcellus,10141.0
4504,2107.0,Autocuration,Liver,22224,Distribution in liver expressed as [18F]- organ uptake in % of injected activity/gram,CHEMBL618173,U,0,,,5689,A,,,Cavia porcellus,10141.0
4505,,Autocuration,,22224,Distribution in lung expressed as [18F]- organ uptake in % of injected activity/gram,CHEMBL618174,U,0,,,5689,A,,,Cavia porcellus,10141.0
4506,2106.0,Autocuration,Spleen,22224,Distribution in spleen expressed as [18F]- organ uptake in % of injected activity/gram,CHEMBL875408,U,0,,,5689,A,,,Cavia porcellus,10141.0
4507,,Autocuration,,22224,Elimination T1/2 in Guinea pig (PO dose),CHEMBL839827,U,0,,,14465,A,In vivo,,Cavia porcellus,10141.0
4508,,Autocuration,,22224,Partition coefficient was measured as -log (counts per min ),CHEMBL618175,U,0,,,5689,A,,,Cavia porcellus,10141.0
4509,,Autocuration,,22224,Biological half life when administered at 0.1 umol/kg intravenously to guinea pig in GR-64349 antagonism,CHEMBL618176,U,0,,,611,A,In vivo,,Cavia porcellus,10141.0
4510,,Autocuration,,22224,Biological half life when administered at 5 umol/kg intravenously to guinea pig in GR-64349 antagonism,CHEMBL618177,U,0,,,611,A,In vivo,,Cavia porcellus,10141.0
4511,,Autocuration,,22224,Elimination T1/2 in Guinea pig (PO dose),CHEMBL618178,U,0,,,14465,A,In vivo,,Cavia porcellus,10141.0
4512,,Autocuration,,22224,"Tested for the half life period of the compound, intravenously",CHEMBL618179,U,0,,,4876,A,In vivo,,Cavia porcellus,10141.0
4513,,Autocuration,,22224,Half-life was measured,CHEMBL873489,U,0,,,5689,A,,,Cavia porcellus,10141.0
4514,,Autocuration,,22224,The time required for onset of inotropy after addition of a single dose of delta F75,CHEMBL618180,U,0,,,7515,A,,,Cavia porcellus,10141.0
4515,,Autocuration,,22224,Bioavailability of compound at 10 mg/kg in guinea pig after i.v. administration,CHEMBL618181,U,0,,,17667,A,In vivo,,Cavia porcellus,10141.0
4516,,Autocuration,,22224,Bioavailability of compound at 3 mg/kg in guinea pig after i.v. administration,CHEMBL618182,U,0,,,17667,A,In vivo,,Cavia porcellus,10141.0
4517,,Autocuration,,22224,Plasma clearance was measured in hamster at the dose of 10 mg/kg by peroral administration,CHEMBL618183,U,0,,,4727,A,In vivo,,Cricetulus griseus,10029.0
4518,,Intermediate,,50594,Biodistribution of intravenously injected [82Br]-labeled compound in tumor of BDF1 female mice bearing subcutaneous Lewis lung carcinoma after 0.25 hours,CHEMBL618184,N,1,,,10107,A,In vivo,,Mus musculus,10090.0
4519,,Intermediate,,50594,Biodistribution of intravenously injected [82Br]-labeled compound in tumor of BDF1 female mice bearing subcutaneous Lewis lung carcinoma after 0.50 hours,CHEMBL618185,N,1,,,10107,A,In vivo,,Mus musculus,10090.0
4520,,Intermediate,,50594,Biodistribution of intravenously injected [82Br]-labeled compound in tumor of BDF1 female mice bearing subcutaneous Lewis lung carcinoma after 1 hours,CHEMBL618186,N,1,,,10107,A,In vivo,,Mus musculus,10090.0
4521,,Intermediate,,50594,Biodistribution of intravenously injected [82Br]-labeled compound in tumor of BDF1 female mice bearing subcutaneous Lewis lung carcinoma after 2 hours,CHEMBL618187,N,1,,,10107,A,In vivo,,Mus musculus,10090.0
4522,,Intermediate,,50594,Biodistribution of intravenously injected [82Br]-labeled compound in tumor of BDF1 female mice bearing subcutaneous Lewis lung carcinoma after 4 hr,CHEMBL618188,N,1,,,10107,A,In vivo,,Mus musculus,10090.0
4523,,Intermediate,,50594,Biodistribution of intravenously injected [82Br]-labeled compound in tumor of BDF1 female mice bearing subcutaneous Lewis lung carcinoma after 8 hours,CHEMBL875409,N,1,,,10107,A,In vivo,,Mus musculus,10090.0
4524,,Intermediate,,50594,Biodistribution of intravenously injected [82Br]-labeled compound in tumor of BDF1 female mice bearing subcutaneous Lewis lung carcinoma after 24 hours,CHEMBL618189,N,1,,,10107,A,In vivo,,Mus musculus,10090.0
4525,178.0,Intermediate,Blood,50594,Biodistribution of the injected compound in blood of female BALB/C mice for 0.5 hours,CHEMBL618190,N,1,,,3655,A,In vivo,,Mus musculus,10090.0
