assay_type,doc_id,assay_test_type,assay_category,src_id,src_assay_id,assay_tissue,relationship_type,bao_format,description,assay_cell_type,cell_id,curated_by,assay_subcellular_fraction,chembl_id,assay_tax_id,tissue_id,assay_organism,assay_id,variant_id,confidence_score,assay_strain,tid
F,15899.0,,,1.0,,,N,BAO_0000219,Cytostatic effect in 3Y1 cells.,3Y1 cell line,1118.0,Expert,,CHEMBL615554,10116.0,,Rattus norvegicus,532.0,,1.0,,80622.0
F,15899.0,,,1.0,,,N,BAO_0000219,"Mean averaged concentration for total growth inhibition, which signifies cytostatic effect",3Y1 cell line,1118.0,Intermediate,,CHEMBL615555,10116.0,,Rattus norvegicus,533.0,,1.0,,80622.0
F,17038.0,,,1.0,,,N,BAO_0000219,Concentration to inhibit growth of normal rat fibroblast cells (3Y1-B cells) after 72 h exposure,3Y1 cell line,1118.0,Expert,,CHEMBL615556,10116.0,,Rattus norvegicus,534.0,,1.0,,80622.0
B,12421.0,,,1.0,,,U,BAO_0000019,In vitro inhibitory activity against human adrenal 3-beta hydroxy-delta 5-teroid isomerase,,,Autocuration,,CHEMBL615557,,,,535.0,,0.0,,22226.0
B,12947.0,,,1.0,,,U,BAO_0000019,Inhibition of recombinant human adrenal 3-beta-hydroxy-delta-5-steroid dehydrogenase,,,Autocuration,,CHEMBL615558,,,,536.0,,0.0,,22226.0
B,12947.0,,,1.0,,,U,BAO_0000019,Inhibition of recombinant rat adrenal 3-beta-hydroxy-delta-5-steroid dehydrogenase,,,Autocuration,,CHEMBL872066,,,,537.0,,0.0,,22226.0
B,4896.0,,,1.0,,,D,BAO_0000019,In vitro inhibition against of 4-Hydroxyphenylpyruvate dioxygenase (4-HPPD) from pig liver by the enol borate method,,,Expert,,CHEMBL615559,9823.0,,Sus scrofa,538.0,,9.0,,11607.0
B,6148.0,,,1.0,,,H,BAO_0000019,In vitro inhibitory concentration required against 4-hydroxyphenylpyruvate dioxygenase (4-HPPD) taken from pig liver,,,Autocuration,,CHEMBL615560,,,,539.0,,8.0,,11607.0
B,16432.0,,,1.0,,,H,BAO_0000019,Inhibition of pig liver 4-Hydroxyphenylpyruvate dioxygenase (4-HPPD) enzyme,,,Autocuration,,CHEMBL615561,,,,540.0,,8.0,,11607.0
B,4978.0,,,1.0,,,H,BAO_0000019,Concentration required to achieve 50% inhibition against 4-Hydroxyphenylpyruvate dioxygenase (HPPD) from pig liver,,,Expert,,CHEMBL857062,,,,541.0,,8.0,,11607.0
B,4978.0,,,1.0,,,H,BAO_0000019,Concentration required to achieve 50% inhibition against 4-Hydroxyphenylpyruvate dioxygenase (HPPD) from pig liver; (observed value),,,Expert,,CHEMBL615562,,,,542.0,,8.0,,11607.0
B,3723.0,,,1.0,,,H,BAO_0000019,In vitro inhibitory activity against HPPD(4-hydroxyphenylpyruvate Dioxygenase) from pig liver using enol borate assay method,,,Autocuration,,CHEMBL615563,,,,543.0,,8.0,,11607.0
B,3518.0,,,1.0,,,H,BAO_0000357,Compound was evaluated for complete competitive inhibition of 4-hydroxyphenylpyruvate dioxygenase (HPPD),,,Autocuration,,CHEMBL615564,,,,544.0,,8.0,,11607.0
B,4164.0,,,1.0,,,H,BAO_0000019,In vitro inhibition of 4-hydroxyphenylpyruvate dioxygenase obtained from purified pig liver by enol-borate method,,,Autocuration,,CHEMBL615565,,,,545.0,,8.0,,11607.0
B,3518.0,,,1.0,,,H,BAO_0000019,Inhibitory activity on pig liver 4-hydroxyphenylpyruvate dioxygenase (HPPD) was evaluated,,,Autocuration,,CHEMBL615566,,,,546.0,,8.0,,11607.0
B,4164.0,,,1.0,,,D,BAO_0000019,Inhibition of 4-hydroxyphenylpyruvate dioxygenase of purified pig liver by enol-borate method,,,Expert,,CHEMBL615567,9823.0,,Sus scrofa,547.0,,9.0,,11607.0
B,3518.0,,,1.0,,,H,BAO_0000019,The inhibitory activity on pig liver 4-hydroxyphenylpyruvate dioxygenase (HPPD) was evaluated.,,,Autocuration,,CHEMBL615568,,,,548.0,,8.0,,11607.0
B,3518.0,,,1.0,,,H,BAO_0000357,Compound was evaluated for competitive inhibition of 4-hydroxyphenylpyruvate dioxygenase (HPPD) (complete inhibition was observed at a concentration of 0.5-1.0 mM),,,Autocuration,,CHEMBL615569,,,,549.0,,8.0,,11607.0
B,4978.0,,,1.0,,,H,BAO_0000019,Concentration required to achieve 50% inhibition against 4-hydroxyphenylpyruvate dioxygenase from pig liver,,,Autocuration,,CHEMBL615570,,,,550.0,,8.0,,11607.0
B,4978.0,,,1.0,,,H,BAO_0000019,Concentration required to achieve 50% inhibition against 4-hydroxyphenylpyruvate dioxygenase from pig liver; (observed value),,,Autocuration,,CHEMBL615571,,,,551.0,,8.0,,11607.0
B,6455.0,,,1.0,,,H,BAO_0000224,Binding affinity against melatonin (MT1) receptor (pC1),,,Autocuration,,CHEMBL615572,,,,552.0,,4.0,,104733.0
B,2222.0,,,1.0,,,U,BAO_0000019,Compound was tested for inhibitory activity against 5-hydroxytryptamine 1 receptor,,,Autocuration,,CHEMBL615573,,,,553.0,,0.0,,22226.0
B,13020.0,,,1.0,,,U,BAO_0000019,Inhibition of [3H]- 5-HT binding to 5-hydroxytryptamine 1 receptor at 10e-5 M,,,Autocuration,,CHEMBL615574,,,,554.0,,0.0,,22226.0
B,13021.0,,,1.0,,,U,BAO_0000019,Inhibition of [3H]5-HT binding to 5-hydroxytryptamine 1 receptor of central nervous system,,,Autocuration,,CHEMBL615575,,,,555.0,,0.0,,22226.0
B,14532.0,,,1.0,,,H,BAO_0000357,Inhibitory activity against 5-hydroxytryptamine 1 receptor using [3H]5-HT as radioligand at 10e-5 M concentration,,,Autocuration,,CHEMBL615576,,,,556.0,,8.0,,10619.0
B,14118.0,,,1.0,,,H,BAO_0000357,Binding affinity against 5-hydroxytryptamine 1 receptor using [3H]5-HT as radioligand,,,Autocuration,,CHEMBL615577,,,,557.0,,8.0,,10619.0
B,11884.0,,,1.0,,Hippocampus,H,BAO_0000221,Binding affinity at 5-hydroxytryptamine 1A receptor in bovine hippocampal preparation using [3H]8-OH-DPAT,,,Autocuration,,CHEMBL615578,,10000000.0,,558.0,,8.0,,51.0
B,13969.0,,,1.0,,,H,BAO_0000357,Binding affinity against 5-hydroxytryptamine 1A receptor was measured using [3H]8-OH-DPAT as radioligand,,,Expert,,CHEMBL615579,,,,559.0,,8.0,,51.0
B,13392.0,,,1.0,,,H,BAO_0000357,Binding affinity for 5-hydroxytryptamine 1A receptor,,,Expert,,CHEMBL615580,,,,560.0,,8.0,,51.0
B,14430.0,,,1.0,,,H,BAO_0000019,Affinity towards 5-hydroxytryptamine 1A receptor in membranes from bovine hippocampus using [3H]OH-DPAT,,,Expert,,CHEMBL615581,,,,561.0,,8.0,,51.0
B,12248.0,,,1.0,,Hippocampus,H,BAO_0000221,Compound was evaluated for the binding affinity against [3H]8-OH-DPAT-labeled 5-hydroxytryptamine 1A receptor sites in bovine hippocampus,,,Autocuration,,CHEMBL615582,,10000000.0,,562.0,,8.0,,51.0
B,12249.0,,,1.0,,Hippocampus,H,BAO_0000221,Compound was evaluated for the binding affinity against [3H]8-OH-DPAT-labeled 5-hydroxytryptamine 1A receptor sites in bovine hippocampus,,,Autocuration,,CHEMBL615583,,10000000.0,,563.0,,8.0,,51.0
B,9995.0,,,1.0,,Hippocampus,H,BAO_0000221,In vitro inhibition of [3H]5-HT (2 nM) binding to 5-HT1A receptor from bovine hippocampus,,,Autocuration,,CHEMBL615584,,10000000.0,,564.0,,8.0,,51.0
B,9995.0,,,1.0,,Hippocampus,H,BAO_0000221,In vitro inhibition of [3H]5-HT (2 nM) binding to 5-hydroxytryptamine 1A receptor from bovine hippocampus,,,Autocuration,,CHEMBL833691,,10000000.0,,565.0,,8.0,,51.0
B,9995.0,,,1.0,,Hippocampus,H,BAO_0000221,In vitro inhibition of azido-[125I]-IPAPP (0.25 nM) binding to 5-HT1A receptor from bovine hippocampus,,,Autocuration,,CHEMBL615585,,10000000.0,,566.0,,8.0,,51.0
B,9995.0,,,1.0,,Hippocampus,H,BAO_0000221,In vitro inhibition of [125I]IPAPP (0.25 nM) binding to 5-HT1A receptor from bovine hippocampus,,,Autocuration,,CHEMBL615586,,10000000.0,,567.0,,8.0,,51.0
B,9995.0,,,1.0,,Hippocampus,H,BAO_0000221,In vitro inhibition of [125I]IPAPP (2.5 nM) binding to 5-hydroxytryptamine 1A receptor from bovine hippocampus,,,Autocuration,,CHEMBL884524,,10000000.0,,568.0,,8.0,,51.0
B,12249.0,,,1.0,,Hippocampus,H,BAO_0000221,Inhibitory concentration against [3H]8-OH-DPAT-labeled 5-hydroxytryptamine 1A receptor sites in bovine hippocampus,,,Autocuration,,CHEMBL615587,,10000000.0,,569.0,,8.0,,51.0
B,11799.0,,,1.0,,Hippocampus,H,BAO_0000221,"Compound was tested for binding affinity against 5-hydroxytryptamine 1A receptor from bovine hippocampus, used [3H]8-OH-DPAT as radioligand",,,Autocuration,,CHEMBL615588,,10000000.0,,570.0,,8.0,,51.0
B,14331.0,,,1.0,,,D,BAO_0000249,Displacement of [3H]8-OH-DPAT from 5-hydroxytryptamine 1A receptor of rat hippocampal membranes,,,Expert,Membranes,CHEMBL615589,10116.0,,Rattus norvegicus,571.0,,9.0,,10576.0
B,11884.0,,,1.0,,Hippocampus,H,BAO_0000221,Displacement of [3H]8-OH-DPAT from 5-hydroxytryptamine 1A receptor of bovine hippocampus.,,,Expert,,CHEMBL615442,9913.0,10000000.0,Bos taurus,572.0,,8.0,,51.0
B,14331.0,,,1.0,,Hippocampus,H,BAO_0000221,Binding affinity of compound towards 5-hydroxytryptamine 1A receptor using [3H]8-OH-DPAT (0.5 nM) ligand in hippocampus + frontal bovine was determined,,,Autocuration,,CHEMBL615443,,10000000.0,,573.0,,8.0,,51.0
B,11701.0,,,1.0,,Hippocampus,H,BAO_0000221,Compound was evaluated for its ability to displace [3H]DPAT from 5-HT1A receptor in homogenates of bovine hippocampus,,,Autocuration,,CHEMBL615444,,10000000.0,,574.0,,8.0,,51.0
B,11701.0,,,1.0,,Hippocampus,H,BAO_0000221,Ability to displace [3H]-DPAT from 5-hydroxytryptamine 1A receptor in homogenates of bovine hippocampus.,,,Expert,,CHEMBL615445,,10000000.0,,575.0,,8.0,,51.0
B,12248.0,,,1.0,,Hippocampus,H,BAO_0000221,Compound was evaluated for the binding affinity against [3H]8-OH-DPAT-labeled 5-hydroxytryptamine 1A receptor in bovine hippocampus,,,Autocuration,,CHEMBL615446,,10000000.0,,576.0,,8.0,,51.0
B,12248.0,,,1.0,,,H,BAO_0000219,Compound was evaluated for the binding affinity against [3H]8-OH-DPAT-labeled 5-hydroxytryptamine 1A receptor sites in CHO cells,CHO,449.0,Autocuration,,CHEMBL615447,,,,577.0,,8.0,,51.0
B,12248.0,,,1.0,,Hippocampus,H,BAO_0000221,Binding affinity against [3H]8-OH-DPAT-labeled 5-hydroxytryptamine 1A receptor sites in bovine hippocampus,,,Expert,,CHEMBL615448,,10000000.0,,578.0,,8.0,,51.0
B,12249.0,,,1.0,,Hippocampus,H,BAO_0000221,Binding affinity against [3H]8-OH-DPAT-labeled 5-hydroxytryptamine 1A receptor sites in bovine hippocampus,,,Expert,,CHEMBL615449,,10000000.0,,579.0,,8.0,,51.0
B,12248.0,,,1.0,,,H,BAO_0000219,Compound was evaluated for the binding affinity against [3H]8-OH-DPAT-labeled 5-hydroxytryptamine 1A receptor sites in cloned CHO cells,CHO,449.0,Autocuration,,CHEMBL615450,,,,580.0,,8.0,,51.0
B,11799.0,,,1.0,,Hippocampus,H,BAO_0000221,"Binding affinity against 5-hydroxytryptamine 1A receptor from bovine hippocampus, used [3H]8-OH-DPAT as radioligand",,,Expert,,CHEMBL615451,,10000000.0,,581.0,,8.0,,51.0
B,634.0,,,1.0,,,H,BAO_0000357,Compound was tested for its binding affinity against 5-hydroxytryptamine 1A receptor using [3H]8-OH-DPAT radioligand,,,Autocuration,,CHEMBL615452,,,,582.0,,8.0,,51.0
B,9995.0,,,1.0,,Hippocampus,H,BAO_0000221,In vitro inhibition of [3H]5-HT (2 nM) binding to 5-HT1A receptor from bovine hippocampus,,,Autocuration,,CHEMBL615453,,10000000.0,,583.0,,8.0,,51.0
B,9995.0,,,1.0,,Hippocampus,H,BAO_0000221,In vitro inhibition of [3H]5-HT (2 nM) binding to 5-hydroxytryptamine 1A receptor from bovine hippocampus,,,Autocuration,,CHEMBL615454,,10000000.0,,584.0,,8.0,,51.0
B,9995.0,,,1.0,,Hippocampus,H,BAO_0000221,In vitro inhibition of [3H]DPAT (1 nM) binding to 5-HT1A receptor from bovine hippocampus,,,Autocuration,,CHEMBL615455,,10000000.0,,585.0,,8.0,,51.0
B,9995.0,,,1.0,,Hippocampus,H,BAO_0000221,In vitro inhibition of [3H]DPAT (1 nM) binding to 5-hydroxytryptamine 1A receptor from bovine hippocampus,,,Autocuration,,CHEMBL615456,,10000000.0,,586.0,,8.0,,51.0
B,9995.0,,,1.0,,Hippocampus,H,BAO_0000221,In vitro inhibition of [3H]DPAT (1 nM) binding to 5-HT1A receptor from bovine hippocampus,,,Autocuration,,CHEMBL615457,,10000000.0,,587.0,,8.0,,51.0
B,12210.0,,,1.0,,Hippocampus,H,BAO_0000218,In vivo binding affinity towards [3H]8-OH-DPAT-labeled 5-hydroxytryptamine 1A receptor sites in bovine hippocampus.,,,Expert,,CHEMBL615458,,10000000.0,,588.0,,8.0,,51.0
B,13311.0,,,1.0,,Hippocampus,H,BAO_0000221,Tested for activity against 5-hydroxytryptamine 1A receptor from bovine hippocampus,,,Expert,,CHEMBL615459,,10000000.0,,589.0,,8.0,,51.0
B,2331.0,,,1.0,,,D,BAO_0000219,"Tested in vitro for the inhibition of [3H]8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor, expressed in cloned CHO cells.",CHO,449.0,Expert,,CHEMBL615460,9606.0,,Homo sapiens,590.0,,9.0,,51.0
F,1375.0,,,1.0,,,H,BAO_0000019,Compound was tested for the inhibition of forskolin-stimulated adenylate cyclase at 5-hydroxytryptamine 1A receptor in guinea pig,,,Autocuration,,CHEMBL615461,10141.0,,Cavia porcellus,591.0,,8.0,,51.0
F,1375.0,,,1.0,,,H,BAO_0000019,Compound was tested for the inhibition of forskolin-stimulated adenylate cyclase at 5-hydroxytryptamine 1A receptor in guinea pig; NT means not tested,,,Autocuration,,CHEMBL615462,10141.0,,Cavia porcellus,592.0,,8.0,,51.0
F,11574.0,,,1.0,,Hippocampus,H,BAO_0000221,Effect on forskolin stimulated adenylate cyclase activity at 5-hydroxytryptamine 1A receptor of guinea pig hippocampus.,,,Autocuration,,CHEMBL615463,10141.0,10000000.0,Cavia porcellus,593.0,,8.0,,51.0
B,12867.0,,,1.0,,Ileum,H,BAO_0000221,Ability to antagonize Acetylcholine induced contractile responses in Guinea pig ileum for 5-HT1A receptor.,,,Autocuration,,CHEMBL615464,10141.0,2116.0,Cavia porcellus,594.0,,8.0,,51.0
B,12867.0,,,1.0,,Ileum,H,BAO_0000221,Ability to antagonize Acetylcholine induced contractile responses in Guinea pig ileum for 5-HT1A receptor. Inactive at dose level of 1.0 uM,,,Autocuration,,CHEMBL615465,10141.0,2116.0,Cavia porcellus,595.0,,8.0,,51.0
B,12867.0,,,1.0,,Ileum,H,BAO_0000221,Ability to antagonize electrical induced contractile responses in Guinea pig ileum for 5-HT1A receptor.,,,Autocuration,,CHEMBL615466,10141.0,2116.0,Cavia porcellus,596.0,,8.0,,51.0
B,12867.0,,,1.0,,Ileum,H,BAO_0000221,Ability to antagonize electrical induced contractile responses in Guinea pig ileum for 5-HT1A receptor. Inactive at dose level of 1.0 uM,,,Autocuration,,CHEMBL615467,10141.0,2116.0,Cavia porcellus,597.0,,8.0,,51.0
B,12867.0,,,1.0,,Ileum,H,BAO_0000221,Ability to antagonize electrical induced contractile responses in Guinea pig ileum for 5-HT1A receptor. Inactive at dose level of 1.0 uM,,,Autocuration,,CHEMBL615468,10141.0,2116.0,Cavia porcellus,598.0,,8.0,,51.0
B,12867.0,,,1.0,,Ileum,H,BAO_0000221,Ability to antagonize electrical induced contractile responses in Guinea pig ileum for 5-HT1A receptor; Inactive at dose level of 1.0 uM,,,Autocuration,,CHEMBL615469,10141.0,2116.0,Cavia porcellus,599.0,,8.0,,51.0
B,11574.0,,,1.0,,,H,BAO_0000357,Binding affinity against 5-hydroxytryptamine 1A receptor,,,Autocuration,,CHEMBL615470,10141.0,,Cavia porcellus,600.0,,8.0,,51.0
B,13114.0,,,1.0,,,H,BAO_0000357,Compound is evaluated for in vitro receptor binding affinity against 5-hydroxytryptamine 1A receptor,,,Autocuration,,CHEMBL615471,10141.0,,Cavia porcellus,601.0,,8.0,,51.0
B,13181.0,,,1.0,,,H,BAO_0000357,Binding affinity was determined against 5-hydroxytryptamine 1A receptor,,,Autocuration,,CHEMBL615472,10141.0,,Cavia porcellus,602.0,,8.0,,51.0
B,10639.0,,,1.0,,Hippocampus,H,BAO_0000221,Inhibition of Forskolin-stimulated adenylate cyclase activity against 5-hydroxytryptamine 1A receptor of guinea pig hippocampus,,,Autocuration,,CHEMBL883242,10141.0,10000000.0,Cavia porcellus,603.0,,8.0,,106.0
F,10639.0,,,1.0,,Hippocampus,H,BAO_0000221,Inhibition of Forskolin-stimulated adenylate cyclase activity against 5-hydroxytryptamine 1A receptor of guinea pig hippocampus,,,Autocuration,,CHEMBL615473,10141.0,10000000.0,Cavia porcellus,604.0,,8.0,,106.0
B,11883.0,,,1.0,,,H,BAO_0000218,In vitro binding affinity against 5-hydroxytryptamine 1A receptor using [3H]-8-OH-DPAT as radioligand in CHO cells (sc),CHO,449.0,Autocuration,,CHEMBL615474,10029.0,,Cricetulus griseus,605.0,,8.0,,11863.0
B,17785.0,,,1.0,,,H,BAO_0000357,Fraction involved in salt bridge interactions with Asp3:11 part of the 5-hydroxytryptamine 1A receptor,,,Autocuration,,CHEMBL615475,,,,606.0,,8.0,,51.0
F,1558.0,,,1.0,,,H,BAO_0000219,Compound was tested for its ability to inhibit forskolin-stimulated activity of adenylate cyclase coupled to human 5-HT 1A receptor in HeLa cells; value ranges from 85-370,HeLa,308.0,Autocuration,,CHEMBL615476,,,,607.0,,8.0,,51.0
F,1558.0,,,1.0,,,H,BAO_0000219,Compound was tested for its ability to inhibit forskolin-stimulated activity of adenylate cyclase coupled to human 5-hydroxytryptamine 1A receptor in HeLa cells; value ranges from 95-320,HeLa,308.0,Autocuration,,CHEMBL615477,,,,608.0,,8.0,,51.0
F,15740.0,,,1.0,,,H,BAO_0000019,EC50 for inhibition of 50 uM forskolin-stimulated cAMP accumulation against 5-hydroxytryptamine 1A receptor,,,Autocuration,,CHEMBL615478,,,,609.0,,8.0,,51.0
F,17624.0,,,1.0,,,H,BAO_0000219,Effective concentration against binding of radioligand [35S]GTP-gamma-S in CHO cells expressing human 5-hydroxytryptamine 1A receptor,CHO,449.0,Autocuration,,CHEMBL615160,,,,610.0,,8.0,,51.0
F,17624.0,,,1.0,,,H,BAO_0000219,Effective concentration against binding of radioligand [35S]GTP-gamma-S in CHO cells expressing human 5-hydroxytryptamine 1A receptor,CHO,449.0,Expert,,CHEMBL615161,,,,611.0,,8.0,,51.0
F,17624.0,,,1.0,,,H,BAO_0000219,Effective concentration against binding of radioligand [35S]GTP-gamma-S in CHO cells expressing human 5-hydroxytryptamine 1A receptor; nd=Not determined,CHO,449.0,Autocuration,,CHEMBL615162,,,,612.0,,8.0,,51.0
F,17624.0,,,1.0,,,H,BAO_0000219,Effective concentration against binding of radioligand [35S]GTP-gamma-S in CHO cells expressing human 5-hydroxytryptamine 1A receptor; nd=not determined,CHO,449.0,Autocuration,,CHEMBL615163,,,,613.0,,8.0,,51.0
B,17624.0,,,1.0,,,H,BAO_0000219,Effective concentration against human 5-hydroxytryptamine 1A receptor using cAMP as radioligand in CHO cells,CHO,449.0,Expert,,CHEMBL615164,,,,614.0,,8.0,,51.0
B,17624.0,,,1.0,,,H,BAO_0000219,Effective concentration against human 5-hydroxytryptamine 1A receptor using cAMP as radioligand in CHO cells,CHO,449.0,Expert,,CHEMBL615165,,,,615.0,,8.0,,51.0
B,17624.0,,,1.0,,,H,BAO_0000219,Effective concentration against human 5-hydroxytryptamine 1A receptor using cAMP as radioligand in CHO cells; nd=not determined,CHO,449.0,Autocuration,,CHEMBL615166,,,,616.0,,8.0,,51.0
F,14256.0,,,1.0,,,H,BAO_0000219,In vitro potency at human 5-hydroxytryptamine 1A receptor in inhibiting forskolin-stimulated accumulation of intracellular cAMP,,,Autocuration,,CHEMBL615167,,,,617.0,,8.0,,51.0
B,3445.0,,,1.0,,,D,BAO_0000219,Stimulation of [35S]- GIPyS binding to cloned human 5-hydroxytryptamine 1A receptor stably expressed in HeLa cells,HeLa,308.0,Expert,,CHEMBL615168,9606.0,,Homo sapiens,618.0,,9.0,,51.0
B,3445.0,,,1.0,,,D,BAO_0000219,Stimulation of [35S]- GIPyS binding to cloned human 5-hydroxytryptamine 1A receptor stably expressed in HeLa cells; Inverse,HeLa,308.0,Expert,,CHEMBL615169,9606.0,,Homo sapiens,619.0,,9.0,,51.0
B,17200.0,,,1.0,,,D,BAO_0000219,Tested for functional response on CHO cells expressing cloned human 5-hydroxytryptamine 1A receptor,CHO,449.0,Expert,,CHEMBL615170,9606.0,,Homo sapiens,620.0,,9.0,,51.0
B,17200.0,,,1.0,,,D,BAO_0000219,Tested for functional response on CHO cells expressing cloned human 5-hydroxytryptamine 1A receptor; Not determined,CHO,449.0,Expert,,CHEMBL615171,9606.0,,Homo sapiens,621.0,,9.0,,51.0
F,15180.0,,,1.0,,,H,BAO_0000019,Eudisimic ratio(ER) is the antilog of the defference between the pKb and pD2 values against 5-hydroxytryptamine 1A receptor,,,Autocuration,,CHEMBL615694,,,,622.0,,8.0,,51.0
F,15180.0,,,1.0,,,H,BAO_0000019,Eudisimic ratio(ER) is the antilog of the difference between the pKb and pD2 values against 5-hydroxytryptamine 1A receptor,,,Autocuration,,CHEMBL615695,,,,623.0,,8.0,,51.0
F,16026.0,,,1.0,,,H,BAO_0000019,"Percent of maximum effect on binding of [35S]GTP-gamma-S, to HeLa cell membranes expressing the human 5-hydroxytryptamine 1A receptor",,,Autocuration,,CHEMBL615696,,,,624.0,,8.0,,51.0
F,2759.0,,,1.0,,,H,BAO_0000219,Agonistic efficacy was evaluated by adenylyl cyclase assay in CHO cells stably expressing the human 5-HT1A receptor,CHO,449.0,Autocuration,,CHEMBL615697,,,,625.0,,8.0,,51.0
F,2759.0,,,1.0,,,D,BAO_0000219,Agonistic efficacy as adenylyl cyclase assay in CHO cells expressing human 5-HT1A receptor (experiment 1),CHO,449.0,Expert,,CHEMBL859410,9606.0,,Homo sapiens,626.0,,9.0,,51.0
F,2759.0,,,1.0,,,H,BAO_0000219,Agonistic efficacy was evaluated by adenylyl cyclase assay in CHO cells stably expressing the human 5-HT1A receptor (experiment 2),CHO,449.0,Autocuration,,CHEMBL615841,,,,627.0,,8.0,,51.0
F,2759.0,,,1.0,,,D,BAO_0000219,Agonistic efficacy in adenylyl cyclase assay in CHO cells expressing human 5-HT1A receptor (experiment 2),CHO,449.0,Expert,,CHEMBL615842,9606.0,,Homo sapiens,628.0,,9.0,,51.0
F,2759.0,,,1.0,,,H,BAO_0000219,Antagonistic efficacy was evaluated by adenylyl cyclase assay in CHO cells stably expressing the human 5-HT1A receptor,CHO,449.0,Autocuration,,CHEMBL835003,,,,629.0,,8.0,,51.0
F,2759.0,,,1.0,,,H,BAO_0000219,Antagonistic efficacy was evaluated by adenylyl cyclase assay in CHO cells stably expressing the human 5-HT1A receptor (experiment 1),CHO,449.0,Autocuration,,CHEMBL615843,,,,630.0,,8.0,,51.0
F,2759.0,,,1.0,,,D,BAO_0000219,Antagonistic efficacy as adenylyl cyclase assay in CHO cells expressing human 5-HT1A receptor (experiment 1),CHO,449.0,Expert,,CHEMBL615979,9606.0,,Homo sapiens,631.0,,9.0,,51.0
F,2759.0,,,1.0,,,H,BAO_0000219,Antagonistic efficacy was evaluated by adenylyl cyclase assay in CHO cells stably expressing the human 5-HT1A receptor (experiment 2),CHO,449.0,Autocuration,,CHEMBL615980,,,,632.0,,8.0,,51.0
F,2759.0,,,1.0,,,D,BAO_0000219,Antagonistic efficacy as adenylyl cyclase assay in CHO cells expressing human 5-HT1A receptor (experiment 2),CHO,449.0,Expert,,CHEMBL615981,9606.0,,Homo sapiens,633.0,,9.0,,51.0
F,3445.0,,,1.0,,,D,BAO_0000019,Percent efficacy against cloned human 5-hydroxytryptamine 1A receptor normalized to the maximal 5-HT response,,,Expert,,CHEMBL615982,9606.0,,Homo sapiens,634.0,,9.0,,51.0
F,5272.0,,,1.0,,,D,BAO_0000019,"Agonist activity at the 5-hydroxytryptamine 1A receptor was determined in vitro using a [35S]GTP-gamma-S,",,,Expert,,CHEMBL615983,9606.0,,Homo sapiens,635.0,,9.0,,51.0
F,5272.0,,,1.0,,,D,BAO_0000019,"Agonist activity at the 5-hydroxytryptamine 1A receptor in vitro using a [35S]GTP-gamma-S, No data",,,Expert,,CHEMBL615984,9606.0,,Homo sapiens,636.0,,9.0,,51.0
F,5272.0,,,1.0,,,D,BAO_0000019,"Agonist activity at the 5-hydroxytryptamine 1A receptor determined in vitro using a [35S]GTP-gamma-S,",,,Expert,,CHEMBL615985,9606.0,,Homo sapiens,637.0,,9.0,,51.0
F,17624.0,,,1.0,,,H,BAO_0000219,Agonistic effect against 5-HT1A receptor using cAMP as radioligand relative to 5-HT in inhibiting forskolin-stimulated adenylate cyclase activity in CHO cells,CHO,449.0,Autocuration,,CHEMBL615986,,,,638.0,,8.0,,51.0
F,17624.0,,,1.0,,,H,BAO_0000219,Agonistic effect against 5-hydroxytryptamine 1A receptor using cAMP as radioligand relative to 5-HT in inhibiting forskolin-stimulated adenylate cyclase activity in CHO cells,CHO,449.0,Autocuration,,CHEMBL615987,,,,639.0,,8.0,,51.0
F,17624.0,,,1.0,,,H,BAO_0000219,Agonistic effect against 5-hydroxytryptamine 1A receptor using cAMP as radioligand relative to 5-HT in inhibiting forskolin-stimulated adenylate cyclase activity in CHO cells; nd=Not determined,CHO,449.0,Autocuration,,CHEMBL615988,,,,640.0,,8.0,,51.0
F,17624.0,,,1.0,,,H,BAO_0000219,Agonistic effect against 5-hydroxytryptamine 1A receptor using cAMP as radioligand relative to 5-HT in inhibiting forskolin-stimulated adenylate cyclase activity in CHO cells,CHO,449.0,Expert,,CHEMBL615989,,,,641.0,,8.0,,51.0
F,17624.0,,,1.0,,,H,BAO_0000219,Agonistic effect against 5-hydroxytryptamine 1A receptor using cAMP as radioligand relative to 5-HT in inhibiting forskolin-stimulated adenylate cyclase activity in CHO cells; nd=Not determined,CHO,449.0,Autocuration,,CHEMBL615990,,,,642.0,,8.0,,51.0
F,17624.0,,,1.0,,,H,BAO_0000219,Agonistic effect against 5-hydroxytryptamine 1A receptor using cAMP as radioligand relative to 5-HT in inhibiting forskolin-stimulated adenylate cyclase activity in CHO cells; nd=not determined,CHO,449.0,Autocuration,,CHEMBL615991,,,,643.0,,8.0,,51.0
F,17624.0,,,1.0,,,H,BAO_0000219,Agonistic effect against 5-HT 1A receptor using [35S]GTP-gamma-S as radioligand in CHO cells relative to 5-HT,CHO,449.0,Autocuration,,CHEMBL615992,,,,644.0,,8.0,,51.0
F,17624.0,,,1.0,,,H,BAO_0000219,Agonistic effect against 5-HT 1A receptor using [35S]GTP-gamma-S as radioligand in CHO cells relative to 5-HT; nd=Not determined,CHO,449.0,Autocuration,,CHEMBL615993,,,,645.0,,8.0,,51.0
