assays_ss_d,assays_dscrptn,assays_src_d,assays_rltnshp_tp,assays_src_ss_d,assays_ss_rgnsm,assays_vrnt_d,assays_ss_sbclllr_frctn,assays_ss_ctgr,assays_ss_tss,assays_ss_cll_tp,assays_tss_d,assays_b_frmt,assays_chmbl_d,assays_cnfdnc_scr,assays_crtd_b,assays_ss_tx_d,assays_ss_strn,assays_td,assays_cll_d
1318,Binding affinity against 5-hydroxytryptamine 1A receptor in rat hippocampal tissue,1,H,,,,,,Hippocampus,,10000000.0,BAO_0000221,CHEMBL616695,8,Autocuration,,,10576,
1319,Binding affinity against 5-hydroxytryptamine 1A receptor of rat was determined using [3H]8-OH-DPAT in binding assay,1,H,,,,,,,,,BAO_0000357,CHEMBL616696,8,Autocuration,,,10576,
1320,Binding affinity against 5-hydroxytryptamine 1A receptor using [3H]DOB as radioligand,1,H,,,,,,,,,BAO_0000357,CHEMBL616697,8,Autocuration,,,10576,
1321,Binding affinity against rat 5-hydroxytryptamine 1A receptor,1,H,,,,,,,,,BAO_0000357,CHEMBL616698,8,Autocuration,,,10576,
1322,Binding affinity against rat brain 5-hydroxytryptamine 1A receptor,1,D,,Rattus norvegicus,,,,,,,BAO_0000019,CHEMBL616949,9,Expert,10116.0,,10576,
1323,Binding affinity against the 5-hydroxytryptamine 1A receptor labelled with [3H]8-OH-DPAT in rat hippocampal homogenates,1,H,,,,,,Hippocampus,,10000000.0,BAO_0000221,CHEMBL616950,8,Autocuration,,,10576,
1324,Binding affinity against serotonin 5-hydroxytryptamine 1A receptor using radioligand [3H]8-OH-DPAT binding assay,1,H,,,,,,,,,BAO_0000357,CHEMBL832875,8,Autocuration,,,10576,
1325,Binding affinity at 5-hydroxytryptamine 1A receptor by the displacement of [3H]8-OH-DPAT in rat brain.,1,H,,,,,,Brain,,955.0,BAO_0000221,CHEMBL616951,8,Expert,,,10576,
1326,Binding affinity at 5-hydroxytryptamine 1A receptor by the displacement of [3H]8-OH-DPAT in rat brain.,1,H,,,,,,Brain,,955.0,BAO_0000221,CHEMBL616952,8,Expert,,,10576,
1327,Binding affinity at rat 5-hydroxytryptamine 1A receptor by [3H]WB-4101 displacement.,1,H,,,,,,,,,BAO_0000357,CHEMBL616953,8,Expert,,,10576,
1328,Binding affinity for 5-hydroxytryptamine 1A receptor by use of [3H]8-OH-DPAT in male rat,1,H,,,,,,,,,BAO_0000357,CHEMBL616954,8,Autocuration,,,10576,
1329,GTPgammaS radioligand binding assay,1,H,,,,,,,,,BAO_0000357,CHEMBL616955,8,Autocuration,,,106,
1330,The compound was evaluated for intrinsic activity against human cloned 5-hydroxytryptamine 1B receptor; Not determined,1,H,,,,,,,,,BAO_0000357,CHEMBL616956,8,Autocuration,,,106,
1331,The compound was evaluated for intrinsic activity against human cloned 5-hydroxytryptamine 1B receptor; Partial agonist,1,H,,,,,,,,,BAO_0000019,CHEMBL616957,8,Autocuration,,,106,
1332,The compound was evaluated for intrinsic activity against human cloned 5-hydroxytryptamine 1B receptor; Slient antagonist,1,H,,,,,,,,,BAO_0000019,CHEMBL616958,8,Autocuration,,,106,
1333,The compound was evaluated for intrinsic activity against human cloned 5-hydroxytryptamine 1B receptor,1,H,,,,,,,,,BAO_0000357,CHEMBL616959,8,Autocuration,,,106,
1334,The compound was evaluated for intrinsic activity against human cloned 5-hydroxytryptamine 1B receptor; Not determined,1,H,,,,,,,,,BAO_0000357,CHEMBL616960,8,Autocuration,,,106,
1335,The compound was evaluated for intrinsic activity against human cloned 5-hydroxytryptamine 1B receptor; silent antagonist,1,H,,,,,,,,,BAO_0000019,CHEMBL616961,8,Autocuration,,,106,
1336,Ability to displace [3H]5-CT (1.5 nM) from HeLa cells of human 5-hydroxytryptamine 1B receptor,1,H,,,,,,,HeLa,,BAO_0000219,CHEMBL616962,8,Expert,,,106,308.0
1337,Ability to displace [3H]5-CT (1.5 nM) from HeLa cells of human 5-hydroxytryptamine 1B receptor receptor,1,H,,,,,,,HeLa,,BAO_0000219,CHEMBL616963,8,Autocuration,,,106,308.0
1338,Affinity towards human 5-hydroxytryptamine 1B serotonin receptor,1,D,,Homo sapiens,,,,,,,BAO_0000357,CHEMBL616524,9,Expert,9606.0,,106,
1339,Binding affinity against 5-hydroxytryptamine 1B receptor in CHO cells using [3H]5-HT as radioligand,1,H,,,,,,,CHO,,BAO_0000219,CHEMBL616525,8,Autocuration,,,106,449.0
1340,Binding affinity for 5-hydroxytryptamine 1B receptor in C6-glial transfected cell type using [3H]5-CT as radioligand,1,H,,,,,,,,,BAO_0000019,CHEMBL872908,8,Autocuration,,,106,
1341,Binding affinity for 5-hydroxytryptamine 1B receptor in C6-glial transfected cell type using [3H]GR-125743 as radioligand,1,H,,,,,,,,,BAO_0000019,CHEMBL616526,8,Autocuration,,,106,
1342,Binding affinity to cloned human 5-hydroxytryptamine 1B receptor,1,D,,Homo sapiens,,,,,,,BAO_0000357,CHEMBL616527,9,Expert,9606.0,,106,
1343,Binding affinity towards human 5-hydroxytryptamine 1B receptor in L-M(tk-) cells using [3H]GR-125743 as radioligand,1,H,,,,,,,,,BAO_0000219,CHEMBL616528,8,Expert,,,106,
1344,Binding affinity for recombinant human 5-hydroxytryptamine 1B receptor using [3H]5-HT as radioligand.,1,H,,,,,,,,,BAO_0000357,CHEMBL616529,8,Autocuration,,,106,
1345,Binding affinity was evaluated at human recombinant 5-hydroxytryptamine 1B receptor using [3H]5-CT as radioligand,1,H,,,,,,,,,BAO_0000357,CHEMBL616530,8,Autocuration,,,106,
1346,Binding affinity was evaluated at the cloned human 5-hydroxytryptamine 1B receptor,1,H,,,,,,,,,BAO_0000357,CHEMBL616531,8,Expert,,,106,
1347,Binding affinity was evaluated at the cloned human 5-hydroxytryptamine 1B receptor,1,H,,,,,,,,,BAO_0000357,CHEMBL616532,8,Autocuration,,,106,
1348,Binding affinity towards 5-hydroxytryptamine 1B receptor,1,H,,,,,,,,,BAO_0000357,CHEMBL616533,8,Autocuration,,,106,
1349,Binding affinity towards cloned human 5-hydroxytryptamine 1B receptor,1,H,,,,,,,,,BAO_0000357,CHEMBL616534,8,Expert,,,106,
1350,Binding affinity towards human 5-hydroxytryptamine 1B receptor using [3H]5-HT trifluoroacetate as radioligand,1,H,,,,,,,,,BAO_0000357,CHEMBL616535,8,Expert,,,106,
1351,Binding affinity towards human 5-hydroxytryptamine 1B receptor using [3H]5-HT radioligand,1,H,,,,,,,,,BAO_0000357,CHEMBL616536,8,Autocuration,,,106,
1352,Compound was evaluated for its binding affinity for human 5-hydroxytryptamine 1B receptor,1,H,,,,,,,,,BAO_0000357,CHEMBL616537,8,Autocuration,,,106,
1353,Ability to inhibit the forskolin-stimulated c-AMP formation mediated by human 5-hydroxytryptamine 1B receptor in CHO-K1 cells,1,H,,,,,,,CHO-K1,,BAO_0000219,CHEMBL616538,8,Expert,,,106,485.0
1354,Agonist activity to the human recombinant 5-hydroxytryptamine 1B receptor,1,H,,,,,,,,,BAO_0000019,CHEMBL616539,8,Expert,,,106,
1355,In vitro binding affinity by radioligand binding assay using cell line expressing human 5-hydroxytryptamine 1B receptor,1,H,,,,,,,,,BAO_0000019,CHEMBL616540,8,Expert,,,106,
1356,In vitro binding affinity was determined towards cloned human 5-hydroxytryptamine 1B receptor using [3H]5-CT radioligand,1,H,,,,,,,,,BAO_0000357,CHEMBL616429,8,Autocuration,,,106,
1357,In vitro receptor binding affinity for cloned human 5-hydroxytryptamine 1B receptor,1,H,,,,,,,,,BAO_0000357,CHEMBL616430,8,Expert,,,106,
1358,Receptor binding affinity for cloned human 5-hydroxytryptamine 1B receptor in Cos-7 cells,1,D,,Homo sapiens,,,,,,,BAO_0000219,CHEMBL616431,9,Expert,9606.0,,106,
1359,Binding affinity towards cloned human 5-hydroxytryptamine 1B receptor,1,D,,Homo sapiens,,,,,,,BAO_0000357,CHEMBL616432,9,Expert,9606.0,,106,
1360,Affinity for 5-hydroxytryptamine 1B receptor subtype,1,D,,Homo sapiens,,,,,,,BAO_0000357,CHEMBL616433,9,Expert,9606.0,,106,
1361,Binding affinity for human 5-hydroxytryptamine 1B receptor,1,D,,Homo sapiens,,,,,,,BAO_0000357,CHEMBL616434,9,Expert,9606.0,,106,
1362,Binding affinity against cloned human 5-hydroxytryptamine 1B receptor in CHO cells using [3H]5-CT as radioligand; Not determined,1,H,,,,,,,CHO,,BAO_0000219,CHEMBL616435,8,Autocuration,,,106,449.0
1363,In vitro binding affinity was determined by radioligand binding assay using cell line expressing human 5-hydroxytryptamine 1B receptor; ND means not determined,1,H,,,,,,,,,BAO_0000019,CHEMBL616436,8,Expert,,,106,
1364,Ability to displace [3H]5-CT (1.5 nM) from HeLa cells of human 5-hydroxytryptamine 1B receptor; NT denotes not tested,1,H,,,,,,,HeLa,,BAO_0000219,CHEMBL616437,8,Autocuration,,,106,308.0
1365,Ability to displace [3H]5-CT (1.5 nM) from HeLa cells of human 5-hydroxytryptamine 1B receptor; NT=not tested,1,H,,,,,,,HeLa,,BAO_0000219,CHEMBL616438,8,Autocuration,,,106,308.0
1366,Ability to displace [3H]-5-CT (1.5 nM) from HeLa cells of human 5-hydroxytryptamine 1B receptor; NT denotes not tested,1,H,,,,,,,HeLa,,BAO_0000219,CHEMBL616439,8,Autocuration,,,106,308.0
1367,Binding activity against human 5-hydroxytryptamine 1B receptor; NT means not tested,1,D,,Homo sapiens,,,,,,,BAO_0000357,CHEMBL616440,9,Expert,9606.0,,106,
1368,Binding affinity in CHO-K1 cells transfected with human recombinant 5-hydroxytryptamine 1B receptor; not tested,1,H,,,,,,,CHO-K1,,BAO_0000219,CHEMBL616441,8,Autocuration,,,106,485.0
1369,Selectivity ratio against cloned human 5-HT1B receptor to that of h5-HT1D receptor,1,H,,,,,,,,,BAO_0000357,CHEMBL616442,8,Expert,,,106,
1370,Selectivity ratio against cloned human 5-hydroxytryptamine 1B receptor to that of human 5-hydroxytryptamine 1D receptor,1,H,,,,,,,,,BAO_0000357,CHEMBL616443,8,Autocuration,,,106,
1371,Binding affinity in CHO-K1 cells transfected with human recombinant 5-hydroxytryptamine 1B receptor,1,H,,,,,,,CHO-K1,,BAO_0000219,CHEMBL616444,8,Expert,,,106,485.0
1372,Binding activity against human 5-hydroxytryptamine 1B receptor,1,D,,Homo sapiens,,,,,,,BAO_0000357,CHEMBL616445,9,Expert,9606.0,,106,
1373,Binding activity against human 5-hydroxytryptamine 1B receptor,1,D,,Homo sapiens,,,,,,,BAO_0000357,CHEMBL616446,9,Expert,9606.0,,106,
1374,Binding affinity to human cloned 5-hydroxytryptamine 1B receptor in CHO cells using [3H]5-HT as radioligand,1,D,,Homo sapiens,,,,,CHO,,BAO_0000219,CHEMBL616447,9,Expert,9606.0,,106,449.0
1375,Binding affinity towards cloned human 5-hydroxytryptamine 1B receptor was determined,1,H,,,,,,,,,BAO_0000357,CHEMBL616448,8,Autocuration,,,106,
1376,Binding affinity against cloned human 5-hydroxytryptamine 1B receptor in CHO cells using [3H]5-CT as radioligand,1,H,,,,,,,CHO,,BAO_0000219,CHEMBL616449,8,Autocuration,,,106,449.0
1377,Binding affinity against human 5-hydroxytryptamine 1B receptor cloned receptors in CHO cells,1,H,,,,,,,CHO,,BAO_0000219,CHEMBL616450,8,Autocuration,,,106,449.0
1378,Binding affinity against human 5-hydroxytryptamine 1B receptor cloned receptors in CHO cells using [3H]5-CT as radioligand,1,H,,,,,,,CHO,,BAO_0000219,CHEMBL857974,8,Autocuration,,,106,449.0
1379,Binding affinity towards 5-hydroxytryptamine 1B (human cloned receptor) in CHO cells using [3H]5-HT as radioligand,1,H,,,,,,,CHO,,BAO_0000219,CHEMBL616451,8,Autocuration,,,106,449.0
1380,Binding affinity towards 5-hydroxytryptamine 1B receptor (human cloned receptor) in CHO cells using [3H]5-HT as radioligand,1,H,,,,,,,CHO,,BAO_0000219,CHEMBL616452,8,Autocuration,,,106,449.0
1381,Binding affinity towards 5-hydroxytryptamine 1B receptor (human cloned receptor) in CHO cells using [3H]5-HT as radioligand;ND means no data.,1,H,,,,,,,CHO,,BAO_0000219,CHEMBL616453,8,Autocuration,,,106,449.0
1382,Compound was evaluated for binding affinity against human cloned 5-hydroxytryptamine 1B receptor in CHO cells using [3H]5-HT as the radioligand,1,H,,,,,,,CHO,,BAO_0000219,CHEMBL616454,8,Autocuration,,,106,449.0
1383,Binding affinity for human 5-hydroxytryptamine 1B receptor,1,D,,Homo sapiens,,,,,,,BAO_0000357,CHEMBL616455,9,Expert,9606.0,,106,
1384,Compound was tested for its binding affinity against human cloned 5-hydroxytryptamine 1B receptor in CHO cells using [3H]5-HT,1,H,,,,,,,CHO,,BAO_0000219,CHEMBL616456,8,Autocuration,,,106,449.0
1385,Compound was tested for its binding affinity for human cloned 5-hydroxytryptamine 1B receptor in CHO using [3H]5-HT as a radioligand,1,H,,,,,,,,,BAO_0000357,CHEMBL616457,8,Autocuration,,,106,
1386,The compound was tested for its binding affinity towards cloned human 5-hydroxytryptamine 1B receptor in CHO cells using [3H]5-HT,1,H,,,,,,,CHO,,BAO_0000219,CHEMBL616458,8,Autocuration,,,106,449.0
1387,"The compound was tested for the binding affinity towards human cloned 5-hydroxytryptamine 1B receptor in CHO cells, using [3H]5-HT as radioligand",1,H,,,,,,,CHO,,BAO_0000219,CHEMBL616459,8,Autocuration,,,106,449.0
1388,Adenyl cyclase activity was expressed as percent forskolin response against 5-hydroxytryptamine 1B receptor at concentration 1 uM,1,H,,,,,,,,,BAO_0000019,CHEMBL616460,8,Expert,,,106,
1389,Adenyl cyclase activity was expressed as percent forskolin response against 5-hydroxytryptamine 1B receptor at concentration 10 uM,1,H,,,,,,,,,BAO_0000019,CHEMBL616461,8,Expert,,,106,
1390,"Effect of compound on [35S]GTP-gamma-S, radioligand binding CHO cells expressing human 5-hydroxytryptamine 1B receptor",1,H,,,,,,,CHO,,BAO_0000219,CHEMBL616462,8,Autocuration,,,106,449.0
1391,"Effect of compound on [35S]GTP-gamma-S, radioligand binding in CHO cells expressing human 5-hydroxytryptamine 1B receptor",1,H,,,,,,,CHO,,BAO_0000219,CHEMBL616463,8,Autocuration,,,106,449.0
1392,"Compound was tested for maximum stimulation of [35S]GTP-gamma-S, binding expressed relative to the maximal effect produced by 5-HT.",1,H,,,,,,,,,BAO_0000019,CHEMBL616464,8,Autocuration,,,105,
1393,Compound was tested for the displacement of [3H]5-HT binding to cloned 5-hydroxytryptamine 1D receptor stably expressed in CHO cells.,1,H,,,,,,,CHO,,BAO_0000219,CHEMBL616465,8,Autocuration,,,105,449.0
1394,The compound was tested for binding affinity against 5-hydroxytryptamine 1B receptor,1,H,,,,,,,,,BAO_0000357,CHEMBL832874,8,Autocuration,,,17105,
1395,5-hydroxytryptamine 1B receptor agonist potency determined in rabbit saphenous vein contraction model,1,H,,Oryctolagus cuniculus,,,,,,,BAO_0000019,CHEMBL616184,8,Autocuration,9986.0,,106,
1396,The vascular 5-hydroxytryptamine 1B receptor affinity was assessed using ring preparations of rabbit saphenous vein (RbSV).,1,H,,Oryctolagus cuniculus,,,,,,,BAO_0000019,CHEMBL616185,8,Autocuration,9986.0,,106,
1397,"Binding affinity against vascular 5-hydroxytryptamine 1B receptor, measured using ring preparations of rabbit saphenous vein (RbSV)",1,H,,Oryctolagus cuniculus,,,,,,,BAO_0000019,CHEMBL616186,8,Intermediate,9986.0,,106,
1398,The vascular 5-hydroxytryptamine 1B receptor affinity was assessed using ring preparations of rabbit saphenous vein(RbSV).,1,H,,Oryctolagus cuniculus,,,,,,,BAO_0000019,CHEMBL616187,8,Autocuration,9986.0,,106,
1399,Binding affinity towards 5-hydroxytryptamine 1B receptor was measured using [3H]5-HT as radioligand,1,H,,,,,,,,,BAO_0000357,CHEMBL616188,8,Expert,,,10577,
1400,Binding affinity for 5-hydroxytryptamine 1B receptor,1,D,,,,,,,,,BAO_0000357,CHEMBL873475,9,Intermediate,,,10577,
1401,Inhibition of [3H]5-HT binding to 5-hydroxytryptamine 1B receptor in rat striatum; Less active,1,D,,Rattus norvegicus,,,,Striatum,,2435.0,BAO_0000019,CHEMBL616189,9,Expert,10116.0,,10577,
1402,Concentration necessary to achieve half maximal inhibition of [125I]- Iodocyanopindolol binding to 5-hydroxytryptamine 1B receptor at 1 uM,1,H,,,,,,,,,BAO_0000357,CHEMBL616190,8,Expert,,,10577,
1403,In vitro binding affinity of compound towards 5-hydroxytryptamine 1A receptor was determined using [3H]-8-OH-DPAT as radioligand; range=48-77,1,H,,,,,,,,,BAO_0000357,CHEMBL616191,8,Autocuration,,,10576,
1404,In vitro binding affinity of compound towards 5-hydroxytryptamine 1A receptor was determined using [3H]8-OH-DPAT as radioligand; range=63-95,1,H,,,,,,,,,BAO_0000357,CHEMBL616192,8,Autocuration,,,10576,
1405,In vitro binding affinity of compound towards 5-hydroxytryptamine 1A receptor was determined using [3H]8-OH-DPAT as radioligand; range=710-980,1,H,,,,,,,,,BAO_0000357,CHEMBL616193,8,Autocuration,,,10576,
1406,In vitro binding affinity of compound towards 5-hydroxytryptamine 1A receptor was determined using [3H]8-OH-DPAT as radioligand; range=78-140,1,H,,,,,,,,,BAO_0000357,CHEMBL616194,8,Autocuration,,,10576,
1407,In vitro binding affinity of compound towards 5-hydroxytryptamine 1A receptor was determined using [3H]8-OH-DPAT as radioligand; range=85-130,1,H,,,,,,,,,BAO_0000357,CHEMBL616195,8,Autocuration,,,10576,
1408,In vitro binding affinity of compound towards 5-hydroxytryptamine 1A receptor was determined using [3H]8-OH-DPAT as radioligand; range=89-280,1,H,,,,,,,,,BAO_0000357,CHEMBL616196,8,Autocuration,,,10576,
1409,In vitro binding affinity towards 5-hydroxytryptamine 1A receptor using [3H]8-OH-DPAT as radioligand in rat hippocampus membrane.,1,H,,,,,,Hippocampus,,10000000.0,BAO_0000249,CHEMBL616197,8,Autocuration,,,10576,
1410,Binding affinity at 5-hydroxytryptamine 1A (5-HT1A) receptor in rat cerebral cortex using [3H]8-OH-DPAT as radioligand,1,H,,,,,,,,,BAO_0000019,CHEMBL616198,8,Intermediate,,,10576,
1411,In vitro binding affinity to 5-hydroxytryptamine 1A receptor using [125I](R)-(+)-trans-8-OH-PIPAT as radioligand in rat hippocampal homogenate,1,H,,,,,,Hippocampus,,10000000.0,BAO_0000221,CHEMBL616199,8,Autocuration,,,10576,
1412,In vitro binding affinity to 5-hydroxytryptamine 1A receptor in rat hippocampal homogenate by [125I](R)-(+)-trans-8-OH-PIPAT displacement.,1,H,,,,,,Hippocampus,,10000000.0,BAO_0000221,CHEMBL616200,8,Expert,,,10576,
1413,In vitro binding affinity to rat hippocampal 5-hydroxytryptamine 1A receptor was determined using [3H]8-OH-DPAT as radioligand,1,H,,,,,,Hippocampus,,10000000.0,BAO_0000221,CHEMBL616201,8,Expert,,,10576,
1414,In vitro binding affinity towards 5-hydroxytryptamine 1A r receptor by the displacement of [3H]8-OH-DPAT radioligand in rat hippocampal homogenates,1,H,,,,,,Hippocampus,,10000000.0,BAO_0000221,CHEMBL616202,8,Expert,,,10576,
1415,In vitro binding affinity towards 5-hydroxytryptamine 1A receptor by the displacement of [3H]8-OH-DPAT radioligand in rat hippocampal homogenates,1,H,,,,,,Hippocampus,,10000000.0,BAO_0000221,CHEMBL616203,8,Expert,,,10576,
1416,In vitro binding affinity towards 5-hydroxytryptamine 1A receptor by the displacement of [3H]8-OH-DPAT radioligand in rat hippocampal homogenates; ND=not determined,1,H,,,,,,Hippocampus,,10000000.0,BAO_0000221,CHEMBL616204,8,Expert,,,10576,
1417,In vitro binding affinity towards 5-hydroxytryptamine 1A receptor by the displacement of [3H]8-OH-DPAT radioligand in rat hippocampal homogenates; Not determined,1,H,,,,,,Hippocampus,,10000000.0,BAO_0000221,CHEMBL616205,8,Expert,,,10576,
1418,In vitro binding affinity towards 5-hydroxytryptamine 1A receptor by the displacement of [3H]8-OH-DPAT radioligand in rat hippocampal homogenates; not determined,1,H,,,,,,Hippocampus,,10000000.0,BAO_0000221,CHEMBL616206,8,Expert,,,10576,
1419,In vitro binding affinity towards 5-hydroxytryptamine 1A receptor in rat cerebral cortex membranes,1,H,,,,,,,,,BAO_0000249,CHEMBL616207,8,Expert,,,10576,
1420,In vitro binding affinity towards 5-hydroxytryptamine 1A receptor was determined using [3H]8-OH-DPAT as radioligand in rat cerebral cortex membranes,1,H,,,,,,,,,BAO_0000249,CHEMBL616208,8,Autocuration,,,10576,
1421,In vitro binding affinity towards 5-hydroxytryptamine 1A receptor was determined using [3H]8-OH-DPAT as radioligand in rat cerebral cortex membranes; Inactive,1,H,,,,,,,,,BAO_0000249,CHEMBL616209,8,Autocuration,,,10576,
1422,In vitro binding affinity towards 5-hydroxytryptamine 1A receptor was determined using radioligand [3H]-8-OH-DPAT,1,H,,,,,,,,,BAO_0000357,CHEMBL616210,8,Expert,,,10576,
1423,In vitro inhibition of [3H]spiperone binding to 5-hydroxytryptamine 1A receptor from rat hippocampal tissue.,1,H,,,,,,Hippocampus,,10000000.0,BAO_0000221,CHEMBL616211,8,Expert,,,10576,
1424,In vitro inhibition of [3H]spiperone binding to 5-hydroxytryptamine 1A receptor from rat hippocampal tissue; NT=Not tested,1,H,,,,,,Hippocampus,,10000000.0,BAO_0000221,CHEMBL616504,8,Autocuration,,,10576,
1425,Displacement of [3H]8-OH-DPAT from rat hippocampal 5-hydroxytryptamine 1A receptor,1,D,,Rattus norvegicus,,,,Hippocampus,,10000000.0,BAO_0000221,CHEMBL616505,9,Expert,10116.0,,10576,
1426,Inhibition constant of 50 uM forskolin-stimulated cAMP accumulation against 5-hydroxytryptamine 1A receptor,1,H,,,,,,,,,BAO_0000019,CHEMBL616506,8,Autocuration,,,10576,
1427,Inhibition of binding of [125I]8-OH-PIPAT ligand to 5-hydroxytryptamine 1A receptor of rat hippocampal homogenates,1,H,,,,,,Hippocampus,,10000000.0,BAO_0000221,CHEMBL872107,8,Autocuration,,,10576,
1428,Displacement of [3H]5-HT from rat hippocampal 5-hydroxytryptamine 1A receptor with 10e-6 M ketanserin,1,D,,Rattus norvegicus,,,,Hippocampus,,10000000.0,BAO_0000221,CHEMBL616507,9,Expert,10116.0,,10576,
1429,Inhibitory activity against 5-hydroxytryptamine 1A receptor in rat cortical membranes using [3H]8-OH-DPAT as a radioligand,1,H,,,,,,,,,BAO_0000249,CHEMBL616303,8,Autocuration,,,10576,
1430,Inhibitory activity against 5-hydroxytryptamine 1A receptor of rat hippocampal tissue,1,H,,,,,,Hippocampus,,10000000.0,BAO_0000221,CHEMBL616304,8,Autocuration,,,10576,
1431,Inhibitory activity against 5-hydroxytryptamine 1A receptor of rat hippocampal tissue using [3H]OH-DPAT as radioligand.,1,H,,,,,,Hippocampus,,10000000.0,BAO_0000221,CHEMBL616305,8,Expert,,,10576,
1432,Antagonist activity against rat hippocampal tissue 5-hydroxytryptamine 1A receptor,1,H,,,,,,Hippocampus,,10000000.0,BAO_0000221,CHEMBL616306,8,Intermediate,,,10576,
1433,Inhibitory affinity constant against 5-hydroxytryptamine 1A receptor,1,H,,,,,,,,,BAO_0000357,CHEMBL616307,8,Autocuration,,,10576,
1434,Displacement of [3H]8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor of rat brain hippocampus,1,D,,Rattus norvegicus,,,,Hippocampus,,10000000.0,BAO_0000221,CHEMBL881829,9,Expert,10116.0,,10576,
1435,Affinity against the 5-hydroxytryptamine receptor 1A using [3H]WB-4101.,1,H,,,,,,,,,BAO_0000357,CHEMBL616308,8,Expert,,,10576,
1436,Tested for affinity against 5-hydroxytryptamine 1A receptor using [3H]8-OH-DPAT in homogenized rat brain,1,H,,,,,,,,,BAO_0000019,CHEMBL616309,8,Autocuration,,,10576,
1437,Tested for affinity against 5-hydroxytryptamine 1A receptor using [3H]8-OH-DPAT in homogenized rat brain tissue,1,H,,,,,,,,,BAO_0000019,CHEMBL616310,8,Expert,,,10576,
1438,Tested for affinity against 5-hydroxytryptamine 1A receptors using [3H]8-OH-DPAT in homogenized rat cloned CHO cells,1,H,,,,,,,CHO,,BAO_0000219,CHEMBL616311,8,Autocuration,,,10576,449.0
1439,Tested for binding affinity against 5-hydroxytryptamine 1A receptor from rat frontal cortical regions using [3H]8-OH-DPAT as radioligand,1,H,,,,,,,,,BAO_0000357,CHEMBL616312,8,Expert,,,10576,
1440,Tested for binding affinity against 5-hydroxytryptamine 1A receptor from rat frontal cortical regions using [3H]8-OH-DPAT as radioligand; ND is Not Determined,1,H,,,,,,,,,BAO_0000357,CHEMBL616313,8,Autocuration,,,10576,
1441,Displacement of [3H]8-OH-DPAT from rat hippocampal 5-hydroxytryptamine 1A receptor,1,D,,Rattus norvegicus,,,,Hippocampus,,10000000.0,BAO_0000221,CHEMBL616314,9,Expert,10116.0,,10576,
1442,Tested for binding affinity by measuring displacement of [3H]8-OH-DPAT from rat serotonin 5-hydroxytryptamine 1A receptor in rat hippocampus,1,H,,,,,,Hippocampus,,10000000.0,BAO_0000221,CHEMBL616315,8,Autocuration,,,10576,
1443,Tested for binding affinity by measuring displacement of [3H]8-OH-DPAT from rat serotonin 5-hydroxytryptamine 1A receptor in rat hippocampus; NA means Not Active,1,H,,,,,,Hippocampus,,10000000.0,BAO_0000221,CHEMBL616567,8,Autocuration,,,10576,
1444,Tested for binding affinity by measuring displacement of [3H]-8-OH-DPAT from rat serotonin 5-hydroxytryptamine 1A receptor in rat hippocampus; ND means Not Determined,1,H,,,,,,Hippocampus,,10000000.0,BAO_0000221,CHEMBL616568,8,Autocuration,,,10576,
1445,Binding affinity to displace [3H]2-(di-N-propylamino)-8-hydroxy-tetralin from 5-hydroxytryptamine 1A (5-HT1A) receptor in rat frontal cortex homogenates,1,H,,,,,,,,,BAO_0000019,CHEMBL616569,8,Intermediate,,,10576,
1446,Binding affinity to 5-hydroxytryptamine 1A receptor using [3H]8-OH-DPAT radioligand assay.,1,H,,,,,,,,,BAO_0000357,CHEMBL616570,8,Expert,,,10576,
1447,Tested for the binding affinity against the site labelled by the 5-hydroxytryptamine 1A receptor agonist [3H]- 8-OH-DPAT,1,H,,,,,,,,,BAO_0000357,CHEMBL616571,8,Autocuration,,,10576,
1448,Tested for the inhibitory activity against 5-hydroxytryptamine 1A receptor in rat hippocampal,1,H,,,,,,Hippocampus,,10000000.0,BAO_0000221,CHEMBL616572,8,Autocuration,,,10576,
1449,Tested in vitro for binding affinity by measuring its ability to inhibit [3H]8-OH-DPAT binding at 5-hydroxytryptamine 1A receptor in rat cerebral cortex membranes.,1,H,,,,,,,,,BAO_0000249,CHEMBL616573,8,Expert,,,10576,
1450,Tested in vitro for receptor binding affinity against 5-hydroxytryptamine 1A receptor using radioligand [3H]8-OH-DPAT,1,D,,Rattus norvegicus,,,,,,,BAO_0000357,CHEMBL616574,9,Expert,10116.0,,10576,
1451,The binding affinity by measuring its ability to displace [3H]8-OH-DPAT radioligand in 5-hydroxytryptamine 1A receptor on rat hippocampal preparation,1,H,,,,,,Hippocampus,,10000000.0,BAO_0000221,CHEMBL616575,8,Expert,,,10576,
1452,The binding affinity by measuring its ability to displace [3H]8-OH-DPAT radioligand in 5-hydroxytryptamine 1A receptor on rat hippocampal preparation; ND=not determined,1,H,,,,,,Hippocampus,,10000000.0,BAO_0000221,CHEMBL872108,8,Autocuration,,,10576,
1453,The binding affinity was measured on 5-hydroxytryptamine 1A receptor using [3H]- 8-OH-DPAT as radioligand.,1,H,,,,,,,,,BAO_0000357,CHEMBL616576,8,Autocuration,,,10576,
1454,The compound was evaluated for binding affinity against 5-hydroxytryptamine 1A receptor in rat hippocampal membranes using [3H]8-OH-DPAT as radioligand in the presence of 1 mM of MnCl2,1,H,,,,,,,,,BAO_0000249,CHEMBL616577,8,Autocuration,,,10576,
