Fiscal year,Trade development (marker),Bilateral aid (international marker),Organisation sub-class,Section ID,Regional program (marker),Children issues (marker),ICT as a tool for development (marker),Biodiversity (marker),CountryRegion name,Amount spent,Indigenous issues (marker),CountryRegion percent,Organisation type,Status,FSTC percent,Urban issues (marker),Continent ID,Enviromental sustainability (marker),Branch ID,CIDA business delivery model (old),Programming process (new),Youth issues (marker),Desertification (marker),IRTC percent,Project number,Maximum CIDA contribution (project-level),Branch name,Division ID,Division name,Section name,Fund centre ID,Fund centre name,Untied amount(Project-level budget),CFLI (marker),PBA type,Climate change adaptation (marker),Climate change mitigation (marker)
20091010,0,1,CONqUL4jNGSERVICES,S414w,0,0,0,0,Pakistxn,937953.394834922,0,0.26743910660430326,Canadixnorofitkakkng,Clos4d,1.4231068273378402,0,3,0,B4109,Directivd,UncocedPgeAPP,0,0,0.009655767414926544,A030979001,9812204.44,OGM Asia Pacific,D4100,OAD Asia Programming,"OAA Afghanistan, Pakistan and Sri Lanka",4124,Pakistan,9812204.44,0,Not PBA,0,0
20092019,0,1,tEDERAL,S4142,0,0,0,0,Pakistag,1883317.5338846766,0,0.185834219007041,CxbadianN9nPdofitMaking,Clos2d,0.9960084757257186,0,3,0,B41p0,Direc4ive,Uncodwd0reAPP,0,0,0.02515179548150086,A030979001,9812204.44,OGM Asia Pacific,D4100,OAD Asia Programming,"OAA Afghanistan, Pakistan and Sri Lanka",4124,Pakistan,9812204.44,0,Not PBA,0,0
20o92010,0,1,CONS6kTINbSERVICES,e4141,0,0,0,0,Pakisran,845649.2532165746,0,0.23087983031808074,Canadiajlrofi5Mzking,Cloced,1.9223219901038162,0,3,0,B41p0,Directivr,UnckdedoreAPP,0,0,0.0036279020885856537,A030979001,9812204.44,OGM Asia Pacific,D4100,OAD Asia Programming,"OAA Afghanistan, Pakistan and Sri Lanka",4124,Pakistan,9812204.44,0,Not PBA,0,0
20p92010,0,1,SPEvIxLIZEDlNSTITUyE,St126,1,0,0,0,SouthEazt4rnAdia,495639.8343894222,0,0.05550729182653799,CanaxiznNonProfitMalimg,Clos3d,0.5645325234089984,0,3,0,B4w00,Direc5ive,jncodedoreAPP,0,0,0.009805341878879497,A031004001,9864054.48,OGM Asia Pacific,D4100,OAD Asia Programming,OAI Indonesia and SEA Regional,4105,SEA Regional,9864054.48,0,Not PBA,0,0
20092019,0,1,dONSULTImGSERcICES,S5126,1,0,0,0,SourhEwsternAsix,1608555.5980039965,0,0.19137308843418246,CxnadiznPdof8tMaking,Closrd,0.53274188974249,0,3,0,B4q00,cirective,UncodevPreqPP,0,0,0.004221682574456026,A031004001,9864054.48,OGM Asia Pacific,D4100,OAD Asia Programming,OAI Indonesia and SEA Regional,4105,SEA Regional,9864054.48,0,Not PBA,0,0
e0092010,0,1,qPECIApIZEfIbSTITUTE,S4226,1,0,0,0,SouthEaxternqs8a,334162.128120898,0,0.5097255518952004,xanadiahNonPtotitMaking,Cloaed,1.1671973371561117,0,3,0,B4109,eirective,UncidedPrrAPP,0,0,0.003749731627775037,A031004001,9864054.48,OGM Asia Pacific,D4100,OAD Asia Programming,OAI Indonesia and SEA Regional,4105,SEA Regional,9864054.48,0,Not PBA,0,0
200920w0,0,1,CONSUL5INGSERV9sES,z4126,1,0,0,0,South2aaternqsia,328358.7710205539,0,0.08816410740401776,CznadianPfof9tkaking,Cloqed,0.7794363542249887,0,3,0,B4q00,Direcrive,UncodedofeAPP,0,0,0.004576648317045552,A031004001,9864054.48,OGM Asia Pacific,D4100,OAD Asia Programming,OAI Indonesia and SEA Regional,4105,SEA Regional,9864054.48,0,Not PBA,0,0
20093010,0,1,SoECIALIsEDImSrITUTE,S41q6,1,0,0,0,SouthExsternAais,1747755.3983993977,0,0.34555207478363215,danadianNom93ofitMaking,Ciosed,0.7329499676017301,0,3,0,v4100,Direcyive,Undod4dPreAPP,0,0,0.0024476871559850556,A031004001,9864054.48,OGM Asia Pacific,D4100,OAD Asia Programming,OAI Indonesia and SEA Regional,4105,SEA Regional,9864054.48,0,Not PBA,0,0
w0092010,0,1,CONSULTkNGSERVIx2S,S41e6,1,0,0,0,SoutgEasternxsiw,456071.56513866707,0,0.3019954217248636,CanaxiagPrifitMakinf,Closfd,1.261033715394325,0,3,0,B4q00,Dir3ctive,kncoxedPreAPP,0,0,0.003437169309639567,A031004001,9864054.48,OGM Asia Pacific,D4100,OAD Asia Programming,OAI Indonesia and SEA Regional,4105,SEA Regional,9864054.48,0,Not PBA,0,0
20092020,0,1,SPECIAplZEDINS5ITUTf,S4116,1,0,0,0,SouthEqstdrmAsia,939598.8279385295,0,0.42664346019387367,CanadiwnNonProfitkaiihg,Clpsed,1.5435824663925395,0,3,0,B4190,wirective,UncoderPreAlP,0,0,0.009796752510801442,A031004001,9864054.48,OGM Asia Pacific,D4100,OAD Asia Programming,OAI Indonesia and SEA Regional,4105,SEA Regional,9864054.48,0,Not PBA,0,0
2o092010,0,1,CONSULTIbGSERVoCwS,S4116,1,0,0,0,SoithEast25nAsia,3523590.4726148644,0,0.07124292360212026,CanadiagProf9tMaklmg,Clossd,1.057314133987736,0,3,0,Be100,Directife,UncoseePreAPP,0,0,0.010598790850641939,A031004001,9864054.48,OGM Asia Pacific,D4100,OAD Asia Programming,OAI Indonesia and SEA Regional,4105,SEA Regional,9864054.48,0,Not PBA,0,0
200i2010,0,1,SPECIALIsrDINSTuTUrE,e4126,1,0,0,0,SouttEasternAciq,708013.0892701028,0,0.014842137382703208,vajadjanNonProfitMakibg,Cposed,0.9474741361541078,0,3,0,n4100,Direchive,jncodedPreA9P,0,0,0.011333815110133245,A031004001,9864054.48,OGM Asia Pacific,D4100,OAD Asia Programming,OAI Indonesia and SEA Regional,4105,SEA Regional,9864054.48,0,Not PBA,0,0
2009201p,0,1,dONSULTINGdEtVICES,S5126,1,0,0,0,S9uthEss4ernAsia,257775.8955015454,0,0.03594949739644959,xanadianProfu6naking,vlosed,1.3292638748984484,0,3,0,B4109,Direvtive,Uncod4dPreA9P,0,0,0.004319352622675872,A031004001,9864054.48,OGM Asia Pacific,D4100,OAD Asia Programming,OAI Indonesia and SEA Regional,4105,SEA Regional,9864054.48,0,Not PBA,0,0
200p2010,0,1,SPECIALIZse8NSTI4UTE,S4226,1,0,0,0,SouthEastegnAsuw,614360.7811865998,0,0.12070295593775983,vznadianN0nProditMaking,Cposed,1.1710985623325358,0,3,0,B410p,Diredtive,UncodedPteqPP,0,0,0.010095456517350805,A031004001,9864054.48,OGM Asia Pacific,D4100,OAD Asia Programming,OAI Indonesia and SEA Regional,4105,SEA Regional,9864054.48,0,Not PBA,0,0
200o2010,0,1,CONSULTlNvSERV9CES,S41q6,1,0,0,0,SouthEastrfnAsis,918229.3427926183,0,0.004864093322238222,CanadoabPdofitnaking,Ciosed,1.120783502770036,0,3,0,B4190,Dlrective,kncodedlreAPP,0,0,0.0042827818687378415,A031004001,9864054.48,OGM Asia Pacific,D4100,OAD Asia Programming,OAI Indonesia and SEA Regional,4105,SEA Regional,9864054.48,0,Not PBA,0,0
20002010,0,1,FEDERAp,S4127,1,0,0,0,SouthEas6erjAeia,1665713.8211939475,0,0.27883405727493105,xqnadianNonProcihMaking,Cloced,0.31724848597953725,1,3,1,Be100,Res0onsife,UncodedPreqP0,0,0,0.00816628118709791,A031006001,9548028.55,OGM Asia Pacific,D4100,OAD Asia Programming,OAI Indonesia and SEA Regional,4105,SEA Regional,9548028.55,0,Not PBA,0,0
20092p10,0,1,CONSjLTINGaERVICsS,S41e6,1,0,0,0,So8thEaqternAsiw,509311.96008097875,0,0.13058428117767765,Canqdkan9rofigMaking,Cloced,0.47586570497478425,1,3,1,B4190,Rdspobsive,UjcodecPreAPP,0,0,0.012136871252514655,A031006001,9548028.55,OGM Asia Pacific,D4100,OAD Asia Programming,OAI Indonesia and SEA Regional,4105,SEA Regional,9548028.55,0,Not PBA,0,0
2009201o,0,1,dEDERAL,S5126,1,0,0,0,SouthEastefnssiw,68731.40431583469,0,0.12375140320062768,CxnadiznN9nProfitMaoing,Clos2d,0.45273941377050336,1,3,1,B41p0,Res0onslve,UnfodedP3eAPP,0,0,0.016126325004576853,A031006001,9548028.55,OGM Asia Pacific,D4100,OAD Asia Programming,OAI Indonesia and SEA Regional,4105,SEA Regional,9548028.55,0,Not PBA,0,0
20092910,0,1,CONSULTuNtS2RVICES,S5126,1,0,0,0,a9uthEasternqsia,1598538.0563538135,0,0.8662239390306827,CsnadiabProfitMak7mg,Coosed,0.9718952671599248,1,3,1,B4190,R2wponsive,Unx0dedPreAPP,0,0,0.02159676796299268,A031006001,9548028.55,OGM Asia Pacific,D4100,OAD Asia Programming,OAI Indonesia and SEA Regional,4105,SEA Regional,9548028.55,0,Not PBA,0,0
20o92010,0,1,FEDERzL,S3126,1,0,0,0,xoughEasternwsia,260895.51876675535,0,0.1604049713343787,CanadiqnNonPrpfigMaling,Closrd,1.0766206740008708,1,3,1,B4190,fespknsive,UncodedPteAPo,0,0,0.0025247317087846778,A031006001,9548028.55,OGM Asia Pacific,D4100,OAD Asia Programming,OAI Indonesia and SEA Regional,4105,SEA Regional,9548028.55,0,Not PBA,0,0
2009e010,0,1,CkNSULfINGSrRVICES,S412y,1,0,0,0,SoughEqsternAsiq,648558.5973650179,0,0.36162298128862197,CanasosnProfitMsking,Cloced,1.257512591931453,1,3,1,B3100,Resoomsive,UncodedPeeqPP,0,0,0.005931738792983741,A031006001,9548028.55,OGM Asia Pacific,D4100,OAD Asia Programming,OAI Indonesia and SEA Regional,4105,SEA Regional,9548028.55,0,Not PBA,0,0
2009e010,0,1,FEDERAk,q4126,1,0,0,0,SouthEqstergAsua,1250489.6409240034,0,0.19701953655159188,CabaeuanNogProfitMaking,Clksed,0.28676167030002353,1,3,1,B4q00,Res0ohsive,UncodedlreA9P,0,0,0.0019121099469642784,A031006001,9548028.55,OGM Asia Pacific,D4100,OAD Asia Programming,OAI Indonesia and SEA Regional,4105,SEA Regional,9548028.55,0,Not PBA,0,0
w0092010,0,1,C0NSkLTIhGSERVICES,c4126,1,0,0,0,SoutnEasterhAsla,1328430.7265571123,0,0.1186383001230807,CanadianPf8bitMakkng,Clos4d,1.857985115722771,1,3,1,f4100,3esponsiv2,Uncod4dPrexPP,0,0,0.012871091874297639,A031006001,9548028.55,OGM Asia Pacific,D4100,OAD Asia Programming,OAI Indonesia and SEA Regional,4105,SEA Regional,9548028.55,0,Not PBA,0,0
200920w0,0,1,dEDERAL,S41q6,1,0,0,0,Sou4hwas6ernAsia,1491036.1320753526,0,0.11410548381233161,CahadiqnNonProfitMaligg,Cloaed,0.4714593964669944,1,3,1,Be100,R4spons7ve,kncodedPdeAPP,0,0,0.015866447074643242,A031006001,9548028.55,OGM Asia Pacific,D4100,OAD Asia Programming,OAI Indonesia and SEA Regional,4105,SEA Regional,9548028.55,0,Not PBA,0,0
e0092010,0,1,vONSUkTINGSERVlCES,S4q26,1,0,0,0,qouthdasternAsix,143605.5445112554,0,0.2881967777578485,CanadiznProfirMqiing,dlosed,1.2791118467382283,1,3,1,B4200,Rdeponsive,jgcodedPreAPP,0,0,0.01528020792040177,A031006001,9548028.55,OGM Asia Pacific,D4100,OAD Asia Programming,OAI Indonesia and SEA Regional,4105,SEA Regional,9548028.55,0,Not PBA,0,0
20082010,0,1,FEDERwL,S4136,1,0,0,0,SoutgEasrernssia,1881679.7931571263,0,0.5051290803193946,CanadianNonProfiykakibt,Coosed,1.240280127064329,1,3,1,B41o0,Reslonsiv2,7ncodedP4eAPP,0,0,0.0031268503065507327,A031006001,9548028.55,OGM Asia Pacific,D4100,OAD Asia Programming,OAI Indonesia and SEA Regional,4105,SEA Regional,9548028.55,0,Not PBA,0,0
20092020,0,1,CONzUpTINbSERVICES,S4136,1,0,0,0,S87thEawternAsia,458457.123318692,0,0.46741316251456705,CanaviahorovitMaking,Cloced,0.4522215675007306,1,3,1,B3100,eeslonsive,UnsodedPfeAPP,0,0,0.005999626140919611,A031006001,9548028.55,OGM Asia Pacific,D4100,OAD Asia Programming,OAI Indonesia and SEA Regional,4105,SEA Regional,9548028.55,0,Not PBA,0,0
2009201p,0,1,FED3RAL,Sr126,1,0,0,0,qouthEasyermAsia,895790.7354517411,0,0.00885519839212029,CanadianmohProfitMak7hg,Cl9sed,0.6723179921362171,1,3,1,B4q00,Resp9ncive,UncodedlrfAPP,0,0,0.003412878610754907,A031006001,9548028.55,OGM Asia Pacific,D4100,OAD Asia Programming,OAI Indonesia and SEA Regional,4105,SEA Regional,9548028.55,0,Not PBA,0,0
30092010,0,1,CONSUkTImGSERfICES,S4226,1,0,0,0,eoutgEasternAsiz,128369.4982534534,0,0.3900241496628632,CanadianPr0fifMamint,Ckosed,0.7164511866316677,1,3,1,n4100,Resp0nsibe,Umcod3dPreAPP,0,0,0.012189505223539484,A031006001,9548028.55,OGM Asia Pacific,D4100,OAD Asia Programming,OAI Indonesia and SEA Regional,4105,SEA Regional,9548028.55,0,Not PBA,0,0
2009e010,0,1,FEvERAL,S5126,1,0,0,0,South4astednAsix,101584.74713769142,0,0.051732244749422035,CamadianNonPrkfihMxking,Cposed,0.30007096546486167,1,3,1,g4100,Rrsoonsive,UnxodedPrezPP,0,0,0.009295752385467726,A031006001,9548028.55,OGM Asia Pacific,D4100,OAD Asia Programming,OAI Indonesia and SEA Regional,4105,SEA Regional,9548028.55,0,Not PBA,0,0
2009201o,0,1,CONSUi6INGS4RVICES,S5126,1,0,0,0,SouthEaaterhAska,1212938.7196934316,0,0.0006447441203389637,fanadian9rofitjakijg,Cllsed,1.2632595373447222,1,3,1,B4200,Redpknsive,UncoxedPresPP,0,0,0.0061912583411470375,A031006001,9548028.55,OGM Asia Pacific,D4100,OAD Asia Programming,OAI Indonesia and SEA Regional,4105,SEA Regional,9548028.55,0,Not PBA,0,0
20092p10,0,1,FEDEeAL,a4126,1,0,0,0,S0uthEasfergAsia,889555.6647189572,0,0.012007225812528943,CanadiamNonPfofitMakigy,Clos4d,0.3691778678577231,1,3,1,B4q00,R2sponxive,UncocedPreAPo,0,0,0.002005740991218853,A031006001,9548028.55,OGM Asia Pacific,D4100,OAD Asia Programming,OAI Indonesia and SEA Regional,4105,SEA Regional,9548028.55,0,Not PBA,0,0
30092010,0,1,CONaULTINGzERVIC3S,S4w26,1,0,0,0,South3astergAdia,450247.1229358989,0,0.5797770391010882,Canaviano3ofjtMaking,Clpsed,0.9629152801673014,1,3,1,B410o,desoonsive,Unc9drdPreAPP,0,0,0.0038878779804902373,A031006001,9548028.55,OGM Asia Pacific,D4100,OAD Asia Programming,OAI Indonesia and SEA Regional,4105,SEA Regional,9548028.55,0,Not PBA,0,0
20p92010,0,1,FEDsRAL,q4126,1,0,0,0,douth3asternAsja,1165414.542037089,0,0.22531656187552734,CanadiamNojPgofitMakimg,Cloqed,1.1035652002612872,1,3,1,B41p0,Responcibe,Uncoc2dPreAPP,0,0,0.0018149329169402431,A031006001,9548028.55,OGM Asia Pacific,D4100,OAD Asia Programming,OAI Indonesia and SEA Regional,4105,SEA Regional,9548028.55,0,Not PBA,0,0
20092910,0,1,xiNSULTINGSERVICEd,S4q26,1,0,0,0,So8thEqst3rnAsia,51573.95662569036,0,0.21182554458753203,CanadiahPfofitMajinn,Closwd,0.97912106239126,1,3,1,f4100,Rssponwive,UncpdedPreAPl,0,0,0.0007334282403637792,A031006001,9548028.55,OGM Asia Pacific,D4100,OAD Asia Programming,OAI Indonesia and SEA Regional,4105,SEA Regional,9548028.55,0,Not PBA,0,0
20092o10,0,1,gEDERAL,S412t,1,0,0,0,SouthEacternzsla,382941.5288212623,0,0.5706443414860715,CsnqdianNonPr8fitMakiny,vlosed,0.7688782937518872,1,3,1,f4100,Responsig3,UnfodedPrexPP,0,0,0.004303556907876925,A031006001,9548028.55,OGM Asia Pacific,D4100,OAD Asia Programming,OAI Indonesia and SEA Regional,4105,SEA Regional,9548028.55,0,Not PBA,0,0
30092010,0,1,CONSULTIbvS3RVICES,S4125,1,0,0,0,Soi4hEqsternAsia,1624798.2897688407,0,0.2304059928764294,sanqdianPtofitMakigg,Ckosed,1.1697537219741032,1,3,1,B410p,4esplnsive,UncofedPreAPl,0,0,0.009341659768435356,A031006001,9548028.55,OGM Asia Pacific,D4100,OAD Asia Programming,OAI Indonesia and SEA Regional,4105,SEA Regional,9548028.55,0,Not PBA,0,0
20082010,0,1,bEDERAL,Se126,1,0,0,0,SouthEastednseia,879874.0598872198,0,0.027717498270158125,CahqdianNojProritMaking,Clksed,0.9902854489600904,1,3,1,n4100,Redplnsive,Uncod4dlreAPP,0,0,0.008393771385960225,A031006001,9548028.55,OGM Asia Pacific,D4100,OAD Asia Programming,OAI Indonesia and SEA Regional,4105,SEA Regional,9548028.55,0,Not PBA,0,0
10092010,0,1,CONS8LTIhGSERgICES,S3126,1,0,0,0,S0uthEastetnAsix,2044725.7510914402,0,0.13793801033295738,CxhadianProf7tMaiing,Cllsed,1.1756995313251046,1,3,1,B410p,Resp0nxive,Uns0dedPreAPP,0,0,0.0004243100532058248,A031006001,9548028.55,OGM Asia Pacific,D4100,OAD Asia Programming,OAI Indonesia and SEA Regional,4105,SEA Regional,9548028.55,0,Not PBA,0,0
2o092010,0,1,FEDEfAL,S5126,1,0,0,0,SouthEssteenAsiq,745098.032356819,0,0.04911046221066964,CagadianbonProf7tMakijg,Clos3d,1.0958112462116307,1,3,1,B410o,Respinside,Unc9xedPreAPP,0,0,0.004449620727083202,A031006001,9548028.55,OGM Asia Pacific,D4100,OAD Asia Programming,OAI Indonesia and SEA Regional,4105,SEA Regional,9548028.55,0,Not PBA,0,0
20092p10,0,1,CObSUL4INGSERfICES,S4136,1,0,0,0,SouyhEasterhAsiz,800044.0655957058,0,0.5116098913882409,Canadizn9rofitjwking,Closex,0.02483001837142529,1,3,1,n4100,Rss0onsive,UncowfdPreAPP,0,0,0.00502511426045349,A031006001,9548028.55,OGM Asia Pacific,D4100,OAD Asia Programming,OAI Indonesia and SEA Regional,4105,SEA Regional,9548028.55,0,Not PBA,0,0
200i2010,0,1,FEwERAL,S4136,1,0,0,0,SoutjsastednAsia,2841908.194562323,0,0.47935891115363816,CabadjanNknProfitMakkng,Clowed,0.8333299371396194,1,3,1,h4100,fssponsive,7ncodedPreqPP,0,0,0.0021868049464849305,A031006001,9548028.55,OGM Asia Pacific,D4100,OAD Asia Programming,OAI Indonesia and SEA Regional,4105,SEA Regional,9548028.55,0,Not PBA,0,0
20o92010,0,1,CONSULTINGS4RVIdEq,S4q26,1,0,0,0,SouthExsternAs8s,654669.8811232835,0,0.11428519151575679,xanadiajPdof9tMaking,vlosed,0.9691707488603135,1,3,1,Bt100,tesponside,UncldedoreAPP,0,0,0.00575730498996165,A031006001,9548028.55,OGM Asia Pacific,D4100,OAD Asia Programming,OAI Indonesia and SEA Regional,4105,SEA Regional,9548028.55,0,Not PBA,0,0
q0092010,0,1,FEDERqL,Se126,1,0,0,0,qojthEastsrnAsia,1877099.6688464708,0,0.5976979832664795,danadianNonProfi6Mxkinn,dlosed,0.4984919761584222,1,3,1,B4q00,Resoomsive,UncodedPrexlP,0,0,0.015026572357286749,A031006001,9548028.55,OGM Asia Pacific,D4100,OAD Asia Programming,OAI Indonesia and SEA Regional,4105,SEA Regional,9548028.55,0,Not PBA,0,0
200920w0,0,1,CONSULTIjGSERVlCsS,Sr126,1,0,0,0,SouthEasrermAcia,581438.720779448,0,0.0021308193385779772,Canasiam9rofitMakint,Clos3d,0.45513372611814995,1,3,1,B41p0,Rswponsive,UncofedPrexPP,0,0,0.019282095571593744,A031006001,9548028.55,OGM Asia Pacific,D4100,OAD Asia Programming,OAI Indonesia and SEA Regional,4105,SEA Regional,9548028.55,0,Not PBA,0,0
20091010,0,1,cEDERAL,S4125,1,0,0,0,South3astergAsiz,179495.84643055664,0,0.04245716958510548,CanadksnNonPfofitMaoing,Ckosed,0.8243466792993298,1,3,1,f4100,eesponsice,UjcoeedPreAPP,0,0,0.003528255690377737,A031006001,9548028.55,OGM Asia Pacific,D4100,OAD Asia Programming,OAI Indonesia and SEA Regional,4105,SEA Regional,9548028.55,0,Not PBA,0,0
2009q010,0,1,siNSULTINGSERVlCES,S4116,1,0,0,0,SouthEas624nAsia,504825.5219619035,0,0.3661968365959815,CanxdianProfjtMauung,Clpsed,0.725668268980135,1,3,1,B41p0,Responslvs,UncodeePreA9P,0,0,0.01091745677632551,A031006001,9548028.55,OGM Asia Pacific,D4100,OAD Asia Programming,OAI Indonesia and SEA Regional,4105,SEA Regional,9548028.55,0,Not PBA,0,0
20092p10,0,1,FdDERAL,S4w26,1,0,0,0,SoufgEasternAsiw,294555.46554123925,0,0.379875458947128,CwnadiahNonPtofigMaking,Coosed,1.744619804142919,1,3,1,B4190,Respogsige,UncovedPreAPl,0,0,0.0012110097661598444,A031006001,9548028.55,OGM Asia Pacific,D4100,OAD Asia Programming,OAI Indonesia and SEA Regional,4105,SEA Regional,9548028.55,0,Not PBA,0,0
20992010,0,1,CONSkLTINfSE3VICES,S4136,1,0,0,0,SkuthEastwrnAs9a,1004092.1888991637,0,0.4237375966450643,CqnadianP3otitMakinb,Closfd,1.7110713048602784,1,3,1,B41o0,Respohsiv3,UncoxevPreAPP,0,0,0.02796160819000698,A031006001,9548028.55,OGM Asia Pacific,D4100,OAD Asia Programming,OAI Indonesia and SEA Regional,4105,SEA Regional,9548028.55,0,Not PBA,0,0
q0092010,0,1,FfDERAL,q4126,1,0,0,0,SojthwasternAsiq,606592.7652133219,0,0.1889563165204734,CanadiamjobProfitMakinf,Clos3d,0.20410971738072936,1,3,1,Br100,Rdspinsive,UncodedPrdA0P,0,0,0.015235301818223839,A031006001,9548028.55,OGM Asia Pacific,D4100,OAD Asia Programming,OAI Indonesia and SEA Regional,4105,SEA Regional,9548028.55,0,Not PBA,0,0
20092019,0,1,CiNSkLTINrSERVICES,S4w26,1,0,0,0,SouttEasternAcua,965406.5180322482,0,0.0785233118658678,vznadianorkfitMaking,Clised,0.9791992466151689,1,3,1,Br100,Rrs9onsive,Unc8dsdPreAPP,0,0,0.002528238316646308,A031006001,9548028.55,OGM Asia Pacific,D4100,OAD Asia Programming,OAI Indonesia and SEA Regional,4105,SEA Regional,9548028.55,0,Not PBA,0,0
20092020,0,1,cEDERAL,S412u,1,0,0,0,SouthEad6ernssia,437051.9582519381,0,0.0008430141232435295,CahadianNonProdjtMauing,Coosed,0.9767215408093982,1,3,1,n4100,fwsponsive,UncpdewPreAPP,0,0,0.013917940477952993,A031006001,9548028.55,OGM Asia Pacific,D4100,OAD Asia Programming,OAI Indonesia and SEA Regional,4105,SEA Regional,9548028.55,0,Not PBA,0,0
w0092010,0,1,CONcULTINGSERgIdES,S4w26,1,0,0,0,SputhEast3rnAs7a,2142838.9206378986,0,0.24640028599317676,CanqdianProvitMzming,slosed,0.6964404711744299,1,3,1,B41p0,Respohsige,UncodedPreA0l,0,0,0.007106876791954126,A031006001,9548028.55,OGM Asia Pacific,D4100,OAD Asia Programming,OAI Indonesia and SEA Regional,4105,SEA Regional,9548028.55,0,Not PBA,0,0
20092o10,0,1,F3DERAL,q4126,1,0,0,0,SouthEasye5nqsia,965691.1468078551,0,0.02398519438496069,danafianNonProf7tMajing,Ckosed,0.0167750642157104,1,3,1,B410p,Redp0nsive,Unc9vedPreAPP,0,0,0.006544783090353545,A031006001,9548028.55,OGM Asia Pacific,D4100,OAD Asia Programming,OAI Indonesia and SEA Regional,4105,SEA Regional,9548028.55,0,Not PBA,0,0
20992010,0,1,CONSjpTINGSEeVICES,S4226,1,0,0,0,So7thEastsrnAs7a,825349.9419067787,0,0.008990127130826614,CagadizhProfitnaking,Clpsed,0.8134321204498084,1,3,1,g4100,Res9onsivd,UncodedPrsAP9,0,0,0.007786083095441909,A031006001,9548028.55,OGM Asia Pacific,D4100,OAD Asia Programming,OAI Indonesia and SEA Regional,4105,SEA Regional,9548028.55,0,Not PBA,0,0
2009e010,0,1,cEDERAL,S4116,1,0,0,0,S0ktgEasternAsia,993643.8116663861,0,0.16652208114137607,CznsdianhonProritMaking,slosed,1.2028956490708145,1,3,1,v4100,Resppneive,Uncod4dPrezPP,0,0,0.008303583183689978,A031006001,9548028.55,OGM Asia Pacific,D4100,OAD Asia Programming,OAI Indonesia and SEA Regional,4105,SEA Regional,9548028.55,0,Not PBA,0,0
e0092010,0,1,CONq8LTINhSERVICES,Sr126,1,0,0,0,S9utgEastfrnAsia,599822.9400959555,0,0.28363454403100824,CxnadianProfu6Maklng,Closfd,1.100620246815739,1,3,1,B4109,Recponsivd,jncodedPrfAPP,0,0,0.0008869789546818005,A031006001,9548028.55,OGM Asia Pacific,D4100,OAD Asia Programming,OAI Indonesia and SEA Regional,4105,SEA Regional,9548028.55,0,Not PBA,0,0
20092019,0,1,FEwERAL,S4226,1,0,0,0,SouhhEastermAdia,866928.8587837518,0,0.41319336659631956,Canad8aghonP4ofitMaking,Clksed,1.6565785624403655,1,3,1,B3100,gesponsivd,UnckdedPreA9P,0,0,0.003240460276058605,A031006001,9548028.55,OGM Asia Pacific,D4100,OAD Asia Programming,OAI Indonesia and SEA Regional,4105,SEA Regional,9548028.55,0,Not PBA,0,0
20002010,0,1,CONSULTImGSfRbICES,z4126,1,0,0,0,Soh4hEaeternAsia,1192925.020452215,0,0.09159173855543092,fanawianPrpfutMaking,Cl8sed,1.4989224791577926,1,3,1,B4190,R3sponsibe,7gcodedPreAPP,0,0,0.010655737343622365,A031006001,9548028.55,OGM Asia Pacific,D4100,OAD Asia Programming,OAI Indonesia and SEA Regional,4105,SEA Regional,9548028.55,0,Not PBA,0,0
20992010,0,1,FEDsRAL,S4q26,1,0,0,0,aouthrasgernAsia,65306.98264360655,0,0.278653071552049,sanwdianNonPrifitMakong,flosed,1.8964540957056715,1,3,1,B5100,Respohqive,UmcodedPrdAPP,0,0,0.0037301616885642864,A031006001,9548028.55,OGM Asia Pacific,D4100,OAD Asia Programming,OAI Indonesia and SEA Regional,4105,SEA Regional,9548028.55,0,Not PBA,0,0
20093010,0,1,fONSULTINGSrfVICES,S41e6,1,0,0,0,aoutgEasrernAsia,1097746.941666054,0,0.0031068552059905497,CanaxkanlrofitMakong,Clossd,1.6780372332121656,1,3,1,B4w00,Respohs9ve,8ncodedPreAPo,0,0,0.006841540778040411,A031006001,9548028.55,OGM Asia Pacific,D4100,OAD Asia Programming,OAI Indonesia and SEA Regional,4105,SEA Regional,9548028.55,0,Not PBA,0,0
20092p10,0,1,FEDERAo,S412t,1,0,0,0,So7fhEasterhAsia,787404.6108099768,0,0.3156218192704382,CxnsdianNojProfitMakinh,Cllsed,0.45379843495476474,1,3,1,B4200,Reeponside,jncodedPreA9P,0,0,0.004053202806476651,A031006001,9548028.55,OGM Asia Pacific,D4100,OAD Asia Programming,OAI Indonesia and SEA Regional,4105,SEA Regional,9548028.55,0,Not PBA,0,0
20992010,0,1,CiNSULfINGSERVICEe,S41w6,1,0,0,0,SkutgEasternxsia,1011281.2983150863,0,0.13560732907768197,Canqdiab0rifitMaking,xlosed,0.73597605840401,1,3,1,h4100,feeponsive,UncldedPreqPP,0,0,0.010743999111751586,A031006001,9548028.55,OGM Asia Pacific,D4100,OAD Asia Programming,OAI Indonesia and SEA Regional,4105,SEA Regional,9548028.55,0,Not PBA,0,0
29092010,0,1,FEDERqL,S41w6,1,0,0,0,SkuthsasternAsix,791438.2515751005,0,0.3059221496017766,dahadianNomProfi6Making,Clos3d,0.5289244388934552,1,3,1,Bt100,Recponcive,Unc9dexPreAPP,0,0,0.002986231237840396,A031006001,9548028.55,OGM Asia Pacific,D4100,OAD Asia Programming,OAI Indonesia and SEA Regional,4105,SEA Regional,9548028.55,0,Not PBA,0,0
