class,addr,type,phone,city,id,name
94,' 126 clement st. ',` french ( new ) ',415-387-0408,` san francisco ',312,` alain rondelli '
95,' 252 california st. ',` american ( new ) ',415-956-9662,` san francisco ',313,aqua
96,' 1 mission st. ',` american ( new ) ',415-543-6084,` san francisco ',314,boulevard
97,' 7 claude ln . ',` french bistro ',415-392-3505,` san francisco ',315,` cafe claude '
98,' 340 stockton st. ',` american ( new ) ',415-955-5555,` san francisco ',316,` campton place '
99,' 804 north point st. ',californian,415-775-7036,` san francisco ',317,` chez michel '
100,' 777 sutter st. ',` french ( new ) ',415-673-7779,` san francisco ',318,` fleur de lys '
101,' 570 fourth st. ',` french bistro ',415-543-0573,` san francisco ',319,fringale
102,'22 hawthorne st. ',californian,415-777-9779,` san francisco ',320,` hawthorne lane '
103,' 5937 geary blvd. ',thai,415-668-6654,` san francisco ',321,` khan toke thai house '
104,' 2316 polk st. ',` french ( new ) ',415-776-5577,` san francisco ',322,` la folie '
105,' 816 folsom st. ',mediterranean,415-495-5775,` san francisco ',323,` lulu restaurant-bis-cafe '
106,' 648 bush st. ',` french ( new ) ',415-989-7154,` san francisco ',324,` masa \ 's '
107,' 1737 post st. ',japanese,415-922-0337,` san francisco ',325,mifune
108,' 3127 fillmore st. ',` american ( new ) ',415-563-4755,` san francisco ',326,` plumpjack cafe '
109,' 545 post st. ',californian,415-776-7825,` san francisco ',327,postrio
110,' 600 stockton st. ',` french ( new ) ',415-296-7465,` san francisco ',328,` ritz-carlton dining room ( san francisco ) '
111,' 532 columbus ave. ',italian,415-399-0499,` san francisco ',329,` rose pistola '
711,' 181 peachtree st. ',` american ( new ) ',404-659-0400,atlanta,330,` ritz-carlton cafe ( atlanta ) '
