assay_id,bao_format,assay_type,tid,assay_test_type,curated_by,doc_id,description,assay_category,assay_organism,assay_tax_id,assay_strain,assay_tissue,assay_cell_type
2158,BAO0o0022w,B,104686,,qutocuratkon,9630,Displacement of [3H]spiroperidol from 5-hydroxytryptamine 2 receptor in rat brain,,Rattus norvegicus,10116.0,,Brain,
2159,BsO0900019,B,104686,,Augovuration,11070,Ability to inhibit binding of [3H]KET to 5-hydroxytryptamine 2 receptor in rat cortex,,,,,,
2160,vAO9000249,B,104686,,wufocuration,9841,Ability to inhibit binding of titreated spiperone to 5-hydroxytryptamine 2 receptor in rat brain frontal cortex membranes,,,,,,
2161,BAO090o249,B,104686,,Autocura48on,9841,Ability to inhibit binding of titreated spiperone to the 5-hydroxytryptamine 2 receptor in rat brain frontal cortex membranes,,,,,,
2162,BzO00p0019,B,104686,,Autlcurayion,13291,Affinity for 5-hydroxytryptamine 2 receptor binding sites by its ability to displace [3H]spiperone from rat frontal cortex.,,,,,,
2163,Bwp0000019,F,104686,,Autoxurarion,10590,Antagonistic activity against 5-hydroxytryptamine 2 receptor on rat frontal cortex membrane.,,,,,,
2164,BAk00002q1,B,104686,,Autocjtation,9064,Binding affinity against serotonin-2 receptor in rat brain using [3H]spiroperidol,,Rattus norvegicus,10116.0,,Brain,
2165,BsO000024o,B,104686,,Autocurahjon,12268,Binding affinity at 5-hydroxytryptamine 2 receptor by the inhibition of binding to [3H]ketanserin in rat cortical membranes,,Rattus norvegicus,10116.0,,,
2166,gAO00002q1,B,104686,,Autocuta5ion,13508,Binding affinity against 5-hydroxytryptamine 2 receptor in rat brain using [3H]ketanserin as radioligand,,,,,Brain,
2167,BAO90000q9,F,104686,,Autocyrat9on,11279,5-hydroxytryptamine 2 receptor antagonistic activity on the rat tail artery determined by Schild plot.,,,,,,
2168,BzO0090019,F,104686,,Autoxura6ion,11200,In vitro antagonistic activity against the contraction induced by 5-HT through 5-HT2 receptor in rat thoracic aortic strips,,,,,,
2169,nAO0000o19,F,104686,,Autosurahion,11200,In vitro antagonistic activity tested against the contraction induced by 5-HT through 5-hydroxytryptamine 2 receptor in rat thoracic aortic strips,,,,,,
2170,BxO000001o,F,104686,,Ajtocuratikn,11200,In vitro antagonistic activity against the contraction induced by 5-HT through 5-hydroxytryptamine 2 receptor in rat thoracic aortic strips; NC=non competitive antagonism,,,,,,
2171,BAOp090019,F,104686,,zutlcuration,11200,In vitro antagonistic activity against the contraction induced by 5-HT through 5-hydroxytryptamine 2 receptor in rat thoracic aortic strips; NC=non competitive antagonism,,,,,,
2172,hAO000001o,F,104686,,Aktocurati0n,11200,In vitro antagonistic activity against the contraction induced by 5-HT through 5-hydroxytryptamine 2 receptor in rat thoracic aortic strips,,,,,,
2173,BAO0o00210,B,104686,,sutocurati8n,9231,Tested for 5-hydroxytryptamine 2 receptor binding ability by displacement of [3H]spiperone from rat brain frontal cortex synaptosomes,,,,,Brain,
2174,fA00000019,B,104686,,Autoc8rat8on,9737,Binding affinity towards 5-hydroxytryptamine 2 receptor in rat frontal cortex using [3H]ketanserin as radioligand,,,,,,
2175,gAO0900249,B,104686,,Autochrstion,9737,Binding affinity towards 5-hydroxytryptamine 2 receptor in rat brain membrane using [3H]8-OH-DPAT as a selective ligand.,,,,,Brain,
2176,BAO000p01p,B,104686,,wutocuratlon,9737,Binding affinity towards 5-hydroxytryptamine 2 receptor in rat frontal cortex,,,,,,
2177,Bzi0000019,B,104686,,Auhlcuration,9737,Binding affinity towards 5-hydroxytryptamine 2 receptor in rat frontal cortex using [3H]ketanserin as radioligand,,,,,,
2178,nAO00000q9,B,104686,,Aktoc8ration,11828,isplacement of [3H]DOB from rat cortex homogenate 5-hydroxytryptamine 2 receptor,,Rattus norvegicus,10116.0,,,
2179,BAO900001o,B,104686,,Autocurwtiom,12253,Binding affinity of 5-hydroxytryptamine 2 receptor using [3H]- ketanserin in rat frontal cortex,,,,,,
2180,nA90000019,B,104686,,Auhocura5ion,12253,Binding affinity against 5-hydroxytryptamine 2 receptor using [3H]ketanserin in rat frontal cortex,,,,,,
2181,BAO0p000w9,F,104686,,Autocurztiln,11279,"5-hydroxytryptamine 2 receptor antagonistic activity at concentrations of<br>3,10 and 30 uM on the rat tail artery.",,,,,,
2182,BAip000019,B,104686,,Autocu3ati9n,11866,Binding affinity for 5-hydroxytryptamine 2 receptor in rat cortex using [3H]- ketanserin,,,,,,
2183,BqO9000224,B,104686,,Autochratiln,14424,Binding affinity against 5-hydroxytryptamine 2 receptor in serotonin-induced contraction of the rat aorta,,Rattus norvegicus,10116.0,,,
2184,BAO000p01p,B,104686,,Autovuratiog,15180,Displacement of [3H]ketanserin from rat brain 5-hydroxytryptamine 2 receptor,,Rattus norvegicus,10116.0,,,
2185,BA80900019,B,104686,,Auroxuration,15180,Displacement of [3H]ketanserin from rat brain 5-hydroxytryptamine 2 receptor,,Rattus norvegicus,10116.0,,,
2186,vxO0000019,B,104686,,Autoduratlon,9786,Displacement of [3H]ketanserin from 5-hydroxytryptamine 2 receptor of rat frontal cortex homogenate,,Rattus norvegicus,10116.0,,,
2187,BzO00002w4,B,104686,,sutocuratioh,12132,Binding affinity towards 5-hydroxytryptamine 2 receptor using [3H]-ketanserin as radioligand.,,,,,,
2188,BAO09o0249,B,104686,,Autocurztiob,5486,Binding affinity towards 5-hydroxytryptamine 2 receptor by the displacement of [3H]ketanserin in rat cerebral cortex membrane,,,,,,
2189,BxO9000019,B,104686,,Autocyratoon,15316,Compound was evaluated for its ability to displace [3H]ketanserin binding from cloned rat cerebral cortex membranes 5-hydroxytryptamine 2 receptor,,,,,,
2190,hA80000019,B,104686,,Aurocuratipn,16429,In vitro binding affinity to 5-hydroxytryptamine 2 receptor of rat cerebral cortex membranes using [3H]ketanserin as the radioligand,,,,,,
2191,gAO000022e,B,104686,,Autocu5atipn,14617,pKi value for 5-hydroxytryptamine 2 receptor binding site,,,,,,
2192,BAO0000322,B,104686,,Aut0curatkon,11351,Inhibitory constant (1 uM) was measured on 5-hydroxytryptamine 2 receptor/uptake using [3H]- ketanserin as radioligand in rat brain cortex.,,,,,Brain,
2193,BAO0o00010,F,104686,,Autovuratikn,11279,5-hydroxytryptamine 2 receptor antagonistic activity on the rat tail artery determined by Schild plot.,,,,,,
2194,BAOo0o0019,B,105075,,Autociratiog,9523,Binding affinity at 5-hydroxytryptamine 2 receptor determined using [125I]- DOI as radioligand in rat frontal cortex,,,,,,
2195,BAO00p0919,B,105075,,Auroduration,9523,Binding affinity at 5-hydroxytryptamine 2 receptor was determined using [125I]- DOI as radioligand in rat frontal cortex,,,,,,
2196,BwO0o00019,B,105075,,Autocira4ion,9523,Binding affinity at [3H]DOB labeled sites of 5-hydroxytryptamine 2 receptor determined using [125I]- DOI as radioligand in rat frontal cortex,,,,,,
2197,BAO9000029,B,105075,,A8tockration,9523,Binding affinity at [3H]DOB labeled sites of 5-hydroxytryptamine 2 receptor was determined using [125I]- DOI as radioligand in rat frontal cortex,,,,,,
2198,BzO0009019,B,105075,,Autocuratuln,9523,Binding affinity at [3H]KET labeled sites of 5-hydroxytryptamine 2 receptor determined using [125I]- DOI as radioligand in rat frontal cortex,,,,,,
2199,BAO0p09019,B,105075,,Autocura5ipn,9523,Binding affinity at [3H]KET labeled sites of 5-hydroxytryptamine 2 receptor was determined using [125I]- DOI as radioligand in rat frontal cortex,,,,,,
2200,BqO0000324,B,105075,,Aktocuratipn,9523,Hill coefficient of compound was determined,,,,,,
2201,BAO0000o18,B,22226,,Autocurariob,4771,Ancillary Binding affinity towards rat 5-hydroxytryptamine 2 receptor,,,,,,
2202,vAO0900019,B,104686,,Autovurat8on,5033,Ability to displace the radioligand [3H]5-carboximidotryptamine ([3H]-ketanserin) from 5-hydroxytryptamine 2 receptor of rat cerebral cortex membrane,,Rattus norvegicus,10116.0,,,
2203,BA900p0019,B,12687,,Expeet,10845,Binding affinity against rat 5-hydroxytryptamine 2 receptor in rat cerebral cortex tissue using [3H]spiperone as radioligand,,,,,,
2204,BAO0o0001p,B,12687,,Expe4t,10845,Binding affinity against rat 5-hydroxytryptamine 2 receptor in rat cerebral cortex tissue using [3H]spiperone as radioligand; IA-Inactive,,,,,,
2205,BAl00o0357,B,12687,,Autockrat9on,16288,Affinity at 5-hydroxytryptamine 2 receptor (For ketanserin = Ki(nM)= 0.7+/-0.09),,,,,,
2206,BAO900001i,B,12687,,sutocurati8n,16288,Affinity at 5-hydroxytryptamine 2 receptor from rat frontal cortex using [3H]ketanserin as radioligand (For ketanserin = Ki(nM)=0.7+/-0.09),,,,,,
2207,BsO0p00019,B,12687,,zutocuratiob,16190,Binding affinity for 5-hydroxytryptamine 2 receptor of rat cortical membrane using [3H]DOB radioligand,,,,,,
2208,BAOp0o0224,B,104686,,Autovurxtion,12463,Tested in vitro for receptor binding affinity against 5-hydroxytryptamine 2 receptor using radioligand [3H]ketanserin,,Rattus norvegicus,10116.0,,,
2209,BAO00002q3,B,104686,,Au49curation,9699,"Binding affinity towards 5-hydroxytryptamine 2 receptor using [3H]- 1-(4-bromo-2,5-dimethoxy-phenyl)-2-aminopropane (D) as radioligand",,,,,,
2210,BAko000224,B,104686,,Autosurwtion,9699,Binding affinity towards 5-hydroxytryptamine 2 receptor using [3H]- ketanserin as radioligand,,,,,,
2211,BAO09p0019,B,104686,,Autovu3ation,11662,"Compound was tested for binding affinity towards 5-hydroxytryptamine 2 receptor from frontal cortical regions of male Sprague-Dawley rat homogenates, using [3H]ketanserin as radioligand; Not Determined",,,,,,
2212,BA900002q4,B,104784,,Autovura6ion,1205,Inhibitory concentration against 5-hydroxytryptamine 2 receptor,,,,,,
2213,BA00o00219,B,22226,,Autocutqtion,11376,Compound was evaluated for the binding affinity towards 5-hydroxytryptamine 2 receptor from mammalian clones expressed in CHO cell membranes using [3H]-ketanserin as radioligand,,,,,,
2214,hAO00002w9,B,104784,,Aufocufation,11376,"Binding affinity towards 5-hydroxytryptamine 2 receptor expressed in CHO cell membranes using [3H]ketanserin (60 Ci/mmol, 1 nM)",,,,,,
2215,BAO000o214,B,104784,,Autochrxtion,4639,Compound was tested for binding affinity against 5-hydroxytryptamine 2 receptor,,,,,,
2216,BAO09o0224,B,104784,,Autosuratiog,2222,Compound was tested for inhibitory activity against 5-hydroxytryptamine 2 receptor,,,,,,
2217,vAO0000324,B,104784,,Autocurwtioh,1558,Compound was tested for its affinity towards 5-hydroxytryptamine 2 receptor,,,,,,
2218,BAOo00p224,B,104784,,Autovurxtion,1089,Tested for binding affinity for 5-hydroxytryptamine 2 receptor,,,,,,
2219,BxO000p249,B,104784,,Aut0curatuon,386,The compound was evaluated for its ability to displace [3H]ketanserin from 5-hydroxytryptamine 2 receptor in cellular brain membranes,,,,,,
2220,BAO090022t,B,104784,,Autockrati0n,2474,Compound was measured for its binding affinity at 5-hydroxytryptamine 2 receptor at a concentration of 10 uM using [3H]ketanserin as radioligand,,,,,,
2221,hAO0090224,B,104784,,wutocugation,17066,Binding affinity towards 5-HT2 receptor,,,,,,
2222,BAOp000e24,B,104784,,Autocurah7on,959,Displacement of [3H]ketanserin from 5-hydroxytryptamine 2 receptor,,,,,,
2223,BsO000o224,B,104784,,qu4ocuration,6398,Compound was evaluated for 5-hydroxytryptamine 2 receptor binding,,,,,,
2224,BAO00o0214,B,104686,,Autocurxtiog,11889,In vitro binding affinity against rat 5-hydroxytryptamine 2 receptor.,,,,,,
2225,BzO000022e,B,104784,,A7tocu5ation,4221,In vitro binding affinity for 5-hydroxytryptamine 2 receptor,,,,,,
2226,BAO00o02w4,B,104784,,Auyocurati0n,11026,The compound was tested for binding affinity against 5-hydroxytryptamine 2 receptor using ketanserin as radioligand,,,,,,
2227,BzOo000224,B,104784,,Autocjdation,11866,Binding affinity for 5-hydroxytryptamine 2 receptor was determined,,,,,,
2228,BAO00p0324,B,104784,,Autlcurxtion,4221,In vitro binding affinity for 5-hydroxytryptamine 2 receptor,,,,,,
2229,BsO000p019,B,22226,,A7toc8ration,13950,In Vitro binding affinity for 5-hydroxytryptamine 2 receptor,,,,,,
2230,gAO0009224,B,104784,,Autoxudation,1263,5-hydroxytryptamine 2 receptor binding affinity,,,,,,
2231,Bqk0000357,B,17005,,su6ocuration,13291,Binding affinity against 5-hydroxytryptamine 2 receptor was determined using [ [3H]spiperone radioligand,,,,,,
2232,BAO00o0r57,B,17005,,Autodurqtion,10812,Compound was tested for the binding affinity against 5-hydroxytryptamine 2 receptor by using [3H]ketanserin as radioligand,,,,,,
2233,BsO9000224,B,104784,,qutocueation,13020,Inhibition of [3H]ketanserin binding to 5-hydroxytryptamine 2 receptor at 10e-5 M,,,,,,
2234,BAO0p002q4,B,104784,,Autocuraylon,13021,Inhibition of [3H]ketanserin binding to 5-hydroxytryptamine 2 receptor of central nervous system,,,,,,
2235,BAOp00o224,B,104784,,A8tocuratiog,13020,Ketanserin binding to 5-hydroxytryptamine 2 receptor at 10e-5 M,,,,,,
2236,BAO0900358,B,17005,,Autocuratikg,14532,Inhibitory activity against 5-hydroxytryptamine 2 receptor using [3H]-ketanserin as radioligand at 10e-5 M concentration,,,,,,
2237,BwO00o0357,B,17005,,Autocugztion,13944,Binding affinity against 5-hydroxytryptamine 2 receptor,,,,,,
2238,BA00000358,B,17005,,Autlciration,14331,Binding affinity against 5-hydroxytryptamine 2 receptor,,,,,,
2239,Bsl0000357,B,17005,,Autocurqhion,14118,Binding affinity against 5-hydroxytryptamine 2 receptor using [3H]ketanserin as radioligand,,,,,,
2240,BAO900035y,B,17005,,wutoc8ration,13033,Binding affinity against serotonergic 5-HT2 receptor,,,,,,
2241,vAO000035i,B,17005,,Autocirati8n,10321,Binding affinity for 5-hydroxytryptamine 2 receptor was determined by using [3H]ketanserin as radioligand,,,,,,
2242,BsO000p357,B,17005,,xut8curation,12918,Compound was evaluated for the binding affinity at 5- HT2 receptor,,,,,,
2243,fAO0000358,B,17005,,zjtocuration,15120,Compound was tested for binding affinity using [3H]ketanserin against 5-hydroxytryptamine 2 receptor,,,,,,
2244,BAO0p09218,B,17005,,shtocuration,2613,In vivo binding affinity was evaluated against 5-hydroxytryptamine 2 receptor,,,,,,
2245,BAO000oq24,B,104784,,Autov8ration,13378,Inhibitory activity against cloned human 5-HT2 receptor,,Homo sapiens,9606.0,,,
2246,BA8o000219,B,104784,,Autlcuratikn,2331,"Tested in vitro for the inhibition of [3H]ketanserin binding to 5-hydroxytryptamine 2 receptor, expressed in cloned CHO cells",,Homo sapiens,9606.0,,,CHO
2247,BAO000p229,B,104784,,Autocueatjon,2331,"Tested in vitro for the inhibition of [3H]ketanserin binding to 5-hydroxytryptamine 2 receptor, expressed in cloned CHO cells.",,Homo sapiens,9606.0,,,CHO
2248,Bw80000219,B,104784,,Auticuratioj,2331,"Tested in vitro for the inhibition of [3H]-ketanserin binding to 5-hydroxytryptamine 2 receptor, expressed in cloned CHO cells; Inactive",,Homo sapiens,9606.0,,,CHO
2249,BAO0909219,B,104784,,Au6ocuratjon,2331,"Tested in vitro for the inhibition of [3H]ketanserin binding to 5-hydroxytryptamine 2 receptor, expressed in cloned CHO cells; not tested",,Homo sapiens,9606.0,,,CHO
2250,fAO00002w4,B,104784,,zutociration,4170,Binding affinity towards 5-hydroxytryptamine 2 receptor,,,,,,
2251,BAk0009224,B,104784,,qutocugation,15453,Percent decrease in 5-hydroxytryptamine 2 receptor binding using ketanserin,,,,,,
2252,BwO9000357,B,17005,,Au5ovuration,1479,Binding affinity towards 5-hydroxytryptamine 2 receptor,,,,,,
2253,vAO0000q24,B,104686,,Ahtocu5ation,11139,Binding affinity towards 5-hydroxytryptamine 2- receptor using [3H]ketanserin as radioligand in competitive binding assay,,,,,,
2254,BAOo009357,B,17005,,Exp3rt,13969,Binding affinity against 5-hydroxytryptamine 2A receptor was measured using [3H]ketanserin as radioligand,,,,,,
2255,BAO00o0457,B,17005,,Expdrt,13392,Binding affinity towards 5-hydroxytryptamine 2A receptor,,,,,,
2256,BqO0000o19,B,17005,,rxpert,14430,Affinity towards 5-hydroxytryptamine 2A receptor in membranes from bovine frontal cortex using [3H]ketanserin,,,,,,
2257,BAOo000e57,B,107,,Autocursgion,13181,Binding affinity was determined against 5-hydroxytryptamine 2A receptor,,Cavia porcellus,10141.0,,,
2258,BA99000357,B,51,,Autocu5qtion,17200,Inhibitory constant against cloned human 5-hydroxytryptamine 2A receptor using with [125I]- DOI radioligand,,,,,,
2259,BAp0000358,B,107,,Ahhocuration,17200,Inhibitory constant against cloned human 5-hydroxytryptamine 2A receptor using with [125I]- DOI radioligand,,,,,,
2260,BAi00003t7,B,51,,Autocudqtion,17200,Inhibitory constant against cloned human 5-hydroxytryptamine 2A receptor using with [125I]- DOI radioligand,,,,,,
2261,BAp00p0357,B,107,,Aitocu3ation,13463,Binding affinity analysed on 5-HT 2A human clone using [3H]ketanserin as radioligand,,,,,,
2262,BA90000q19,B,107,,suticuration,6347,Effective concentration against human 5-hydroxytryptamine 2A receptor in CHO cells using 8-OH-DPA radioligand,,,,,,CHO
2263,BA00900219,F,107,,Ex0ert,6857,Functional activity against human 5-hydroxytryptamine 2A receptor expressed in CHO cells using fluorometric imaging plate reader,,Homo sapiens,9606.0,,,CHO
2264,BAOop00219,F,107,,Aut9curatiog,4176,Functional agonist activity of compound was determined by fluorescence-based assay measuring intracellular calcium mobilization for 5-HT2a receptor cell line,,,,,,
2265,BAO0000qw9,F,107,,zutocuratiln,4176,Functional agonist activity of compound was determined by fluorescence-based assay measuring intracellular calcium mobilization for 5-HT2a receptor cell line; no data,,,,,,
2266,BA900002q9,F,107,,Ajtofuration,4176,Functional antagonist activity of compound was determined by fluorescence-based assay measuring intracellular calcium mobilization for 5-HT2a receptor cell line,,,,,,
2267,BsO000o219,B,107,,Autoc8ratikn,6347,"Agonistic binding affinity against human 5-hydroxytryptamine 2A receptor in CHO cells using 8-OH-DPA radioligand, expressed as Emax",,,,,,CHO
2268,BAO0p0021p,B,107,,Autoc8rxtion,6347,"Agonistic binding affinity against human 5-hydroxytryptamine 2A receptor in CHO cells, expressed as Emax",,,,,,CHO
2269,BAOp009357,B,107,,Augocueation,15331,Affinity of compound towards human 5-hydroxytryptamine 2A receptor was evaluated using radioligand binding technique,,,,,,
2270,nAO00003y7,B,107,,Edpert,16146,Inhibition of human 5-hydroxytryptamine 2A receptor,,Homo sapiens,9606.0,,,
2271,nqO0000219,B,107,,Autocuratukn,15250,Compound was tested for the displacement of [3H]5-HT binding to cloned human 5-hydroxytryptamine 2A receptor stably expressed in CHO cells,,,,,,CHO
2272,BxO0000229,B,107,,Ex9ert,13631,Inhibitory concentration against human 5-HT2A receptor in BEK cells,,,,,,
2273,BAO00093t7,B,107,,Autocurahlon,3805,In vitro binding affinity against human 5-hydroxytryptamine 2A receptor at a concentration of 100 (nM),,,,,,
2274,BA90000319,B,107,,Autocueati8n,4011,Ability to displace [3H]ketanserin from CHO cells expressing human 5-hydroxytryptamine 2A receptor was determined,,,,,,CHO
2275,nAO0009219,B,107,,Exp3rt,4012,Displacement of [3H]ketanserin from CHO cells expressing human 5-hydroxytryptamine 2A receptor.,,,,,,CHO
2276,BAOp0o0219,B,107,,Expe3t,6366,Ability to displace [125I]R91150 from human cloned 5-hydroxytryptamine 2A receptor expressed in L929 cells,,,,,,L929
2277,BAOp900219,B,107,,Exp3rt,15949,Ability to displace [3H]ketanserin binding to human 5-hydroxytryptamine 2A receptor stably expressed in CHO cells,,,,,,CHO
2278,BAl00o0019,F,107,,Autocudatiin,14093,Agonist activity at cloned human 5-hydroxytryptamine 2A receptor using [125I]DOI radioligand,,,,,,
2279,BwO00o0019,F,107,,Autocu5ati8n,13481,Agonistic activity at cloned human 5-hydroxytryptamine 2A receptor using [125I]DOI as radioligand,,,,,,
2280,nAO000o219,B,107,,Aut0curati0n,6347,Agonistic binding affinity against human 5-hydroxytryptamine 2A receptor in CHO cells using 8-OH-DPA radioligand,,,,,,CHO
2281,BAO00o0210,B,107,,Autlcurat8on,6347,Agonistic binding affinity against human 5-hydroxytryptamine 2A receptor in CHO cells using 8-OH-DPA radioligand; Nd means not done,,,,,,CHO
2282,BxO0p00019,F,107,,Aut8suration,14093,Antagonist activity at cloned human 5-hydroxytryptamine 2A receptor using [3H]-Ketanserin radioligand,,,,,,
2283,BAO00o0o19,F,107,,Autoduratiln,14093,Antagonist activity at cloned human 5-hydroxytryptamine 2A receptor using [3H]ketanserin radioligand; Not tested,,,,,,
2284,vAO00p0019,F,107,,Autocurqtioh,13481,Antagonistic activity at cloned human 5-hydroxytryptamine 2A receptor using [3H]ketanserin as radioligand,,,,,,
2285,BAO00003t6,B,107,,Autoxurarion,14442,Binding ability of compound at cloned human 5-hydroxytryptamine 2A receptor using [125 I]DOI as radioligand,,,,,,
2286,nAO00o0357,B,107,,Autocuratlob,14442,Binding ability of compound at cloned human 5-hydroxytryptamine 2A receptor using [3H]ketanserin as radioligand,,,,,,
2287,BAl0009357,B,107,,qutocuratiog,14755,Binding activity against cloned human 5-hydroxytryptamine 2A receptor using [125I]DOI as the radioligand.,,,,,,
2288,BwO0000r57,B,107,,Autocura5jon,16441,Binding affinity against 5-hydroxytryptamine 2A receptor in humans,,,,,,
2289,BAO000034y,B,107,,qutocu3ation,14744,Binding affinity against the cloned human 5-hydroxytryptamine 2A receptor using [125I]DOI as the radioligand,,,,,,
2290,BAO0p002q9,B,107,,Exoert,16659,Binding affinity for displacement of [3H]ketanserin to human 5-hydroxytryptamine 2A receptor stably expressed in CHO cells,,,,,,CHO
2291,BxO00003t7,B,107,,Autocugatiog,3307,Binding affinity of compound to human 5-hydroxytryptamine 2A receptor,,,,,,
2292,BAO0900029,B,107,,Expedt,6857,Affinity for human 5-hydroxytryptamine 2A receptor expressed in mammalian cell line,,Homo sapiens,9606.0,,,
2293,BAk9000357,B,107,,dxpert,5635,Binding affinity against 5-hydroxytryptamine 2A receptor using [125I]DOI radioligand.,,,,,,
2294,fAO00p0357,B,107,,sxpert,4234,Binding affinity to cloned human 5-hydroxytryptamine 2A receptor,,Homo sapiens,9606.0,,,
2295,BAO00p035u,B,107,,Auy8curation,15527,Binding affinity towards 5-hydroxytryptamine 2A receptor using [3H]5-HT as radioligand.,,,,,,
2296,BAO090o219,B,107,,Expegt,6588,Binding affinity towards human 5-hydroxytryptamine 2A receptor by the displacement of [3H]ketanserin radioligand from the cloned receptor expressed in CHO cells,,,,,,CHO
2297,BAOp00021i,B,107,,Edpert,13631,Binding affinity towards human 5-HT2A receptor in BEK cells,,,,,,
2298,BAl0000457,B,107,,zuhocuration,17723,Binding affinity towards human serotonin 5-hydroxytryptamine 2A receptor,,,,,,
2299,BsO0000457,B,107,,Aitocuratioj,14770,Binding affinity for recombinant human 5-hydroxytryptamine 2A receptor using [3H]5-HT as radioligand.,,,,,,
2300,BAi00003y7,B,107,,Ezpert,16293,Binding affinity for human 5-hydroxytryptamine 2A receptor,,Homo sapiens,9606.0,,,
2301,BAO0op0357,B,107,,Autpcueation,16209,Binding affinity towards human 5-hydroxytryptamine 2A receptor using [125I]DOI as radioligand,,,,,,
2302,BxO0000229,B,107,,Autoxuratoon,12469,Binding affinity was measured on 5-hydroxytryptamine 2A receptor in GF6 cells transfected with human 5-HT2A gene labeled with [3H]ketanserin,,,,,,
2303,BAO90o0357,B,107,,sutocurztion,15363,Compound was tested for the displacement of [125I]-DOI from clone human 5-hydroxytryptamine 2A receptor,,,,,,
2304,nAOo000357,B,107,,xutoxuration,15363,Compound was tested for the displacement of [125I]DOI from cloned human 5-hydroxytryptamine 2A receptor,,,,,,
2305,nAO0000919,B,107,,Ex9ert,16441,"Tested on genetically transfected COS7 cell membranes selectively expressing human 5-hydroxytryptamine 2A receptor, using [3H]ketanserin as radioligand",,,,,,
2306,BAO00p0e57,B,107,,Autocirati0n,8,In vitro binding affinity towards 5-hydroxytryptamine 2A receptor in human using [3H]ketanserin as radioligand,,,,,,
2307,nAO0000e19,B,107,,Au6ocurztion,4176,In vitro binding affinity towards human 5-hydroxytryptamine 2A receptor expressed in HEK293 cells was determined using [3H]ketanserin as radioligand,,,,,,HEK293
2308,BAi00o0019,B,107,,sutocurxtion,17085,In vitro binding affinity by radioligand binding assay using cell line expressing human 5-hydroxytryptamine 2A receptor,,,,,,
2309,BAO0009w57,B,107,,Autocurzt9on,17200,Inhibitory constant against cloned human 5-hydroxytryptamine 2A receptor using with [125I]- DOI radioligand,,,,,,
2310,BAOo0o0357,B,107,,Expe3t,17200,Inhibitory constant determined against cloned human 5-hydroxytryptamine 2A receptor using with [125I]- DOI radioligand,,Homo sapiens,9606.0,,,
2311,BAk0090219,B,107,,Ex9ert,4013,Displacement of [3H]ketanserin from human 5-hydroxytryptamine 2A receptor expressed in CHO cells,,Homo sapiens,9606.0,,,CHO
2312,BAOpp00357,B,107,,Autofurstion,5088,Tested for binding affinity towards 5-hydroxytryptamine 2A receptor,,,,,,
2313,Bz00000357,B,107,,Edpert,5088,Displacement of [3H]DOB from human 5-hydroxytryptamine 2A receptor,,Homo sapiens,9606.0,,,
2314,fAO0000257,B,107,,Autoc8rafion,5088,Tested for binding affinity towards 5-hydroxytryptamine 2A receptor using [3H]DOB as labeled ligand; binding data not obtained,,,,,,
2315,BAO0009r57,B,107,,Expery,5088,Displacement of [3H]ketanserin from human 5-hydroxytryptamine 2A receptor,,Homo sapiens,9606.0,,,
2316,BAO0p00358,B,107,,xutocuratioh,5088,Tested for binding affinity towards human 5-hydroxytryptamine 2A receptor using [3H]5-HT as radioligand,,,,,,
2317,BwO00p0357,B,107,,Autocktation,5088,Tested for binding affinity towards human 5-hydroxytryptamine 2A receptor using [3H]DOB as radioligand,,,,,,
2318,BAO000p010,B,104686,,zytocuration,9786,Ability to displace 0.75 nM [3H]ketanserin in 5-hydroxytryptamine 2 receptor from rat frontal cortex homogenate,,,,,,
2319,BAO00p0018,B,104686,,Au4ocurafion,9205,Ability to inhibit [3H]spiperone binding to 5-hydroxytryptamine 2 receptor determined in rat,,Rattus norvegicus,10116.0,,,
2320,hAO0000234,B,104686,,Autocuratooj,11257,Affinity on 5-hydroxytryptamine 2 receptor labeled by [125I]DOI,,,,,,
2321,BAk000001i,B,104686,,sutocudation,9362,Affinity towards [3H]- DOB -labeled 5-hydroxytryptamine 2 receptor sites in rat cortical homogenates,,,,,,
2322,BAk0009019,B,104686,,Aitosuration,9362,Affinity towards [3H]- ketanserin-labeled 5-hydroxytryptamine 2 receptor sites in rat cortical homogenates,,,,,,
2323,hAO0009224,B,104686,,Autocu5atkon,10590,Inhibition of 5-hydroxytryptamine 2 induced vasoconstriction of rat caudal artery.,,,,,,
2324,Bw90000019,B,104686,,Autoxurati9n,10468,Binding affinity against 5-hydroxytryptamine 2 receptor of rat frontal cortex using [3H]ketanserin radioligand,,,,,,
2325,BsO000p019,B,104686,,Au6ocura6ion,13050,Binding affinity against 5-hydroxytryptamine 2 receptor from rat frontal cortex using [125]-(R)-DOI as radioligand,,,,,,
2326,fAO0009019,B,104686,,Auhocufation,11624,Binding affinity against 5-hydroxytryptamine 2 receptor in rat using [3H]ketanserin as radioligand,,,,,,
2327,BAO0o00018,B,104686,,Autocu5ati0n,10468,Binding affinity against 5-hydroxytryptamine 2 receptor of rat frontal cortex using [3H]ketanserin radioligand,,,,,,
2328,BqO00o0224,B,104686,,qutocuratlon,10330,Binding affinity against 5-hydroxytryptamine 2 receptor using [3H]ketanserin as radioligand,,,,,,
2329,BAO00oo224,B,104686,,Ajtochration,10062,Binding affinity at rat 5-hydroxytryptamine 2 receptor by [3H]ketanserin displacement.,,,,,,
2330,BAi00002w4,B,104686,,wutochration,11642,Binding affinity determined in radioreceptor binding assay by using [3H]ketanserin radioligand against 5-hydroxytryptamine 2 receptor,,,,,,
