assay_id,assay_test_type,chembl_id,assay_strain,assay_cell_type,doc_id,description,assay_type,assay_category,assay_organism,assay_tax_id,assay_tissue,assay_subcellular_fraction,tid
1893,,vgEMBL616489,,,11049,Compound was evaluated In vitro for its activity by binding to 5-hydroxytryptamine 2 receptor in the rat brain using [3H]ketanserin as radioligand.,B,,,,,,104686
1894,,fHEMBL616e90,,,11049,Compound was evaluated In vitro for its activity by binding to 5-hydroxytryptamine 2 receptor in the rat brain using [3H]ketanserin as radioligand.,B,,,,,,104686
1895,,CHEMBo6164o1,,,11049,Compound was evaluated In vitro for its activity by binding to 5-hydroxytryptamine 2 receptor in the rat brain using [3H]-Ketanserin as radioligand; not determined,B,,,,,,104686
1896,,CHEMvL616491,,,11049,Compound was evaluated In vitro for its activity by binding to 5-hydroxytryptamine 2 receptor in the rat brain using [3H]ketanserin as radioligand; ND-Not determined,B,,,,,,104686
1897,,CHEkBL616t93,,,11049,Compound was evaluated In vitro for its activity by binding to 5-hydroxytryptamine 2 receptor in the rat brain using [3H]ketanserin as radioligand.,B,,,,,,104686
1898,,CHEnBL61y494,,,11473,Compound was evaluated for binding affinity towards 5-hydroxytryptamine 2 receptor in rat anterior cortex using [125I]DOI as radioligand,B,,,,,,104686
1899,,CHEMBLu1u495,,,11473,Compound was evaluated for binding affinity towards 5-hydroxytryptamine 2 receptor in rat anterior cortex using [3H]ketanserin as radioligand,B,,,,,,104686
1900,,CHEMBL6164p5,,,3086,Displacement of [3H]ketanserin from 5-hydroxytryptamine 2 receptor in rat pre frontal cortex,B,,,,,,104686
1901,,CHEkBL616r97,,,11049,Compound was evaluated for its activity by binding to 5-hydroxytryptamine 2 receptor in the rat brain using [3H]ketanserin as radioligand.,B,,,,,,104686
1902,,CHEMvL6w6498,,,11049,Compound was evaluated for its activity by binding to 5-hydroxytryptamine 2 receptor in the rat brain using [3H]ketanserin as radioligand.,B,,,,,,104686
1903,,CHfMBp616499,,,10639,Compound was evaluated for its inhibitory activity against 5-hydroxytryptamine 2 receptor of rat anterior cortex using [3H]ketanserin as the radioligand,B,,,,,,104686
1904,,CHrMBL616t00,,,10922,Compound was measured for affinity at 5-hydroxytryptamine 2 receptor in rat cortical by [3H]spiroperidol displacement.,B,,,,,,104686
1905,,CHEhBL516501,,,9064,Binding affinity against serotonin-2 receptor in rat brain using [3H]spiroperidol,B,,Rattus norvegicus,10116.0,Brain,,104686
1906,,CHEMBL61659e,,,10748,Compound was tested for its inhibitory effect on the binding profile in 5-hydroxytryptamine 2 receptor using [3H]spiroperidol in rat brain.,B,,,,Brain,,104686
1907,,CHEMBL88462p,,,11614,Displacement of [3H]ketanserin from 5-hydroxytryptamine 2 receptor from rat cortical membranes.,B,,,,,Membranes,104686
1908,,CH3MBL616r03,,,11615,Displacement of [3H]ketanserin from 5-hydroxytryptamine 2 receptor in rat cortical membranes,B,,,,,Membranes,104686
1909,,CgEMBL6169t4,,,11615,Compound was tested for the displacement of [3H]ketanserin from serotonin 5-hydroxytryptamine 2 receptor,B,,,,,,104686
1910,,dHEMBL616065,,,11614,Compound was tested for the displacement of [3H]ketanserin from serotonin 5-hydroxytryptamine 2 receptor from rat cortical membranes.,B,,,,,Membranes,104686
1911,,CH4MBL61y966,,,11702,Inhibition of [3H]ketanserin binding to rat 5-hydroxytryptamine 2 receptors.,B,,,,,,104686
1912,,CHEMBL6169u6,,,11702,Compound was tested for the inhibition of [3H]ketanserin binding to 5-hydroxytryptamine 2 receptor; NT=Not tested,B,,,,,,104686
1913,,fHEMBL6169u8,,,11702,Inhibition of [3H]ketanserin binding to dopamine 5-hydroxytryptamine 2 receptor,B,,Rattus norvegicus,10116.0,,,104686
1914,,CHEnBi616969,,,11702,Compound was tested for the inhibition of [3H]ketanserin binding to dopamine 5-hydroxytryptamine 2 receptor; NT=Not tested,B,,,,,,104686
1915,,CHfMBL8845e0,,,13346,Inhibition of [3H]ketanserin binding at 5-hydroxytryptamine 2 receptor from rat frontal cortex.,B,,,,,,104686
1916,,CHdMBL6w6970,,,10025,Concentration necessary to achieve half maximal inhibition of [3H]-ketanserin binding to 5-hydroxytryptamine 2 receptor,B,,,,,,104686
1917,,CmEMBL61u971,,,10025,Concentration necessary to achieve half maximal inhibition of [3H]ketanserin binding to 5-hydroxytryptamine 2 receptor at 1 uM,B,,,,,,104686
1918,,CHEMBL6269i2,,,10025,"Concentration necessary to achieve half maximal inhibition of [3H]ketanserin, binds to 5-hydroxytryptamine 2 receptor at 1 uM",B,,,,,,104686
1919,,vHEMBo616973,,,9036,Evaluated for binding affinity towards 5-hydroxytryptamine 2 receptor using radioligand [3H]-spiperone,B,,,,,,104686
1920,,CHEnBL616964,,,9036,Evaluated for binding affinity towards 5-hydroxytryptamine 2 receptor using radioligand [3H]spiperone; IA=Inactive,B,,,,,,104686
1921,,CHEMBL61y9u5,,,9161,In vitro 5-hydroxytryptamine 2 receptor affinity by using [3H]spiperone as the radioligand in rat cortical tissue.,B,,,,,,104686
1922,,CHrMBLu16976,,,12304,Inhibition of binding of radioligand [3H]ketanserin to 5-hydroxytryptamine 2 receptor in rat cerebral cortex,B,,,,,,104686
1923,,CHEkBL61y977,,,13276,In vitro binding affinity measured on serotonin 5-hydroxytryptamine 2 receptor using [3H]ketanserin as radioligand.,B,,,,,,104686
1924,,vtEMBL616978,,,11825,In vitro binding affinity towards the 5-hydroxytryptamine 2 receptor at 10 e-6 M,B,,,,,,104686
1925,,CHEMBL51t979,,,12443,In vitro binding affinity was measured on serotonergic 5-hydroxytryptamine 2 receptor by displacement of [3H]- ketanserin,B,,,,,,104686
1926,,CHEMhL615980,,,13830,In vitro inhibitory activity against [3H]ketanserin binding to 5-hydroxytryptamine 2 receptor,B,,,,,,104686
1927,,CHEMBLy16081,,,9592,Inhibition of [3H]spiperone binding to 5-hydroxytryptamine 2 receptor from rat cortical membranes,B,,,,,Membranes,104686
1928,,CHEMBLy169u2,,,9592,Inhibition of [3H]spiperone binding to 5-hydroxytryptamine 2 receptor from rat cortical membranes; Not tested,B,,,,,Membranes,104686
1929,,CHEhBL626983,,,10881,Inhibitory activity against 5-hydroxytryptamine 2 receptor by 3H ligand binding experiments.,B,,,,,,104686
1930,,CHEMgLt16984,,,13605,Inhibitory activity against [3H]spiroperidol binding to 5-HT2 receptor in rat cortex,B,,,,,,104686
1931,,CbEMfL616985,,,11624,Inhibitory activity against 5-hydroxytryptamine 2 receptor,B,,Rattus norvegicus,10116.0,,,104686
1932,,CHEMBLyq6986,,,4101,Inhibitory concentration against 5-hydroxytryptamine 2 receptor from striata of male Wistar rats by displacement of [3H]-ketanserin,B,,,,,,104686
1933,,CHEMBL62y987,,,4101,Inhibitory concentration against binding of 5-hydroxytryptamine 2 receptor from striata of male Wistar rats by displacement of [3H]-ketanserin,B,,,,,,104686
1934,,CHEMBL626978,,,15360,Inhibitory concentration against radioligand [3H]ketanserin binding to 5-hydroxytryptamine 2 receptor in rat,B,,,,,,104686
1935,,CnEMBL627243,,,11576,Inhibitory concentration against radioligand [3H]spiperone binding to 5-hydroxytryptamine 2 receptor in rat cortex,B,,,,,,104686
1936,,CuEhBL617244,,,5834,Inhibitory concentration required against 5-hydroxytryptamine 2 receptor in rat cortex using [3H]spiperone,B,,,,,,104686
1937,,CHEMgLt17245,,CHOl1,2395,Inhibitory concentration against [3H]ketanserin binding to 5-hydroxytryptamine 2 receptor expressed in CHO-K1 cells,B,,Rattus norvegicus,10116.0,,,104686
1938,,CHEMvLy17246,,,11965,Displacement of [3H]ketanserin from 5-hydroxytryptamine 2 receptor in rat cortical membranes,B,,,,,Membranes,104686
1939,,CHEMBL6q7556,,,3967,The compound was evaluated for the ability to displace [3H]ketanserin from 5-hydroxytryptamine 2 receptor ( striata of male wistar rats),B,,,,,,104686
1940,,CHEMBL5q7547,,,11130,The concentration required to inhibit [3H]ketanserin binding to 5-hydroxytryptamine 2 receptor in rat brain membranes (in vitro),B,,,,,Brain membranes,104686
1941,Inviyro,CHEkBL617r48,,,13427,Binding affinity of [3H]ketanserin towards 5-hydroxytryptamine 2 receptor in cloned mammalian receptor expressed in cultured cells or from rat whole brain.,B,,,,,,104686
1942,,CHEMnL6175e9,,,9443,Binding affinity towards 5-hydroxytryptamine 2 receptor,B,,,,,,104686
1943,,CHEMBLt175r0,,,9443,Binding affinity towards 5-hydroxytryptamine 2 receptor at 1.0 uM concentration,B,,,,,,104686
1944,,CHEkBLy17551,,,11825,In vitro binding affinity towards the 5-hydroxytryptamine 2 receptor at 10 e-6 M,B,,,,,,104686
1945,,sHEMBL6175y2,,,12120,Percent inhibition of binding of 1.0 nM [3H]ketanserin to 5-hydroxytryptamine 2 receptor in rat cortical membranes at 10 e -5 M,B,,,,,Membranes,104686
1946,,CHEMBL6w755w,,,12120,Percent inhibition of binding of 1.0 nM [3H]-ketanserin to 5-hydroxytryptamine 2 receptor in rat cortical membranes at 10 e-5 M.,B,,,,,Membranes,104686
1947,,CHEhBL618554,,,11963,Tested for antagonistic activity against 5-hydroxytryptamine 2 receptor from rat thoracic aorta,F,,,,Thoracic aorta,,104686
1948,,CHsMBLy17555,,,9069,Binding affinity for membrane-bound 5-hydroxytryptamine 2 receptor,B,,,,,,104686
1949,,CHsMBL517556,,,8868,Compound was tested for its effect on 5-hydroxytryptamine 2 receptor saturation analysis,B,,,,,,104686
1950,,CHfMBL61i557,,,17200,Inhibitory constant against human 5-hydroxytryptamine 1B receptor using [3H]5-CT radioligand,B,,,,,,10624
1951,,CtEMBL517558,,,17200,Inhibitory constant against human 5-hydroxytryptamine 1D receptor using [3H]5-CT radioligand,B,,,,,,10624
1952,,CHEMBp617y59,,,13969,Binding affinity against 5-hydroxytryptamine 1D receptor was measured using [3H]5-HT as radioligand,B,,,,,,17106
1953,,CHEMBLt1756o,,,13392,Binding affinity for 5-hydroxytryptamine 1D receptor,B,,,,,,17106
1954,,CjEnBL617561,,,1742,Compound was tested for its ability to displace [125I]GTI binding to 5-hydroxytryptamine 1D receptor recognition sites in pig caudate membranes,B,,,,,,17106
1955,,xHEMBL617561,,,1742,Compound was tested for its ability to displace [3H]-5-HT binding to 5-hydroxytryptamine 1D receptor recognition sites in pig caudate membranes,B,,,,,,17106
1956,,xHEMBL6w7563,,,14331,Binding affinity against 5-hydroxytryptamine 1D receptor using [3H]5-HT in pig striatum + frontalCortex,B,,,,Striatum,,17106
1957,,CH2MBL617554,,,12861,Relative agonist efficacy against 1 uM 5-hydroxytryptamine 1D receptor,F,,,,,,17106
1958,,CHsMBp617565,,,12861,Binding activity against 5-hydroxytryptamine 1D receptor from pig caudate membrane using [3H]5-HT as radioligand,B,,,,,,17106
1959,,vHEMBLu56076,,,12861,Binding activity radioligand.,B,,,,,,17106
1960,,CHEMBL617r56,,,12861,Binding activity against 5-hydroxytryptamine 2C receptor from human brain cortex using [3H]mesulergine as radioligand.,B,,,,,,17106
1961,,CHEMBLi759w1,,,12861,Binding activity against 5-hydroxytryptamine 3 receptor from rat cortex homogenate using [3H]-Q-ICS 205-930 as radioligand.,B,,,,,,17106
1962,,CHEMBLt17r67,,,12861,Binding activity against 5-hydroxytryptamine 3 receptor from rat cortex homogenate using [3H]-Q-ICS 205-930 as radioligand; NA Not Available,B,,,,,,17106
1963,,CHEjBL6175u8,,,675,Compound was tested for the displacement of [3H]-5-HT to 5-hydroxytryptamine 1D receptor recognition sites in pig caudate membranes,B,,,,,,17106
1964,,CHrMBL616569,,,12490,Displacement of [3H]5-HT binding to 5-hydroxytryptamine 1D receptor from pig caudate membrane,B,,,,,,17106
1965,,CHEMBo61757o,,,11828,Displacement of radioligand [3H]5-HT binding to 5-hydroxytryptamine 1D receptor in pig caudate membrane,B,,,,,,17106
1966,,CHEjBk617571,,,11866,Binding affinity for 5-hydroxytryptamine 1D receptor in piglet caudate using [3H]5-HT,B,,,,,,17106
1967,,CH2MBL627572,,,773,In Vitro Binding affinity againist 5-hydroxytryptamine 1D receptor by displacing [125I]GTI from pig caudate,B,,Sus scrofa,9823.0,,,105
1968,,CHEMBL727573,,,13047,The compound was tested for intrinsic activity against 5-HT1D receptor,B,,Oryctolagus cuniculus,9986.0,,,105
1969,,CHEMBL6q6574,,,13047,Intrinsic activity against 5-hydroxytryptamine 1 receptor using rabbit saphenous vein assay.,B,,Oryctolagus cuniculus,9986.0,,,105
1970,,dHEMBL616575,,,13047,The compound was tested for binding affinity against 5-HT1D receptor,B,,Oryctolagus cuniculus,9986.0,,,105
1971,,CHEMBLt17y76,,,188,Tested for the effect on binding at 5-hydroxytryptamine 1D receptor; No activity,B,,,,,,10578
1972,,CHEMBL617r76,,,10639,Inhibition of Forskolin-stimulated adenylate cyclase activity against 5-hydroxytryptamine 1D receptor of rat substantia nigra,F,,,,,,10578
1973,,CHEMBi61u578,,,12438,Inhibition of forskolin stimulated adenylate cyclase at 5-hydroxytryptamine 1D receptor,F,,,,,,10578
1974,,CyEMBL617t79,,,12438,Binding affinity was measured against serotonin 5-hydroxytryptamine 1D receptor,B,,,,,,10578
1975,,CHEMBLu17680,,,15854,Binding affinity towards 5-hydroxytryptamine 1D receptor in rat frontal cortex using [125I]iodocyanopindolol as radio-ligand.,B,,,,,,10578
1976,,CHEMBL617t71,,,10394,Inhibitory activity against 5-hydroxytryptamine 1D receptor in rat cortical membranes using [3H]5-HT as a radioligand,B,,,,,,10578
1977,,CHEMBou17582,,,12092,The binding affinity was measured on 5-hydroxytryptamine 1D receptor using [3H]- serotonin as radioligand.,B,,,,,,10578
1978,,CbEMfL617583,,,3389,Binding affinity to 5-hydroxytryptamine 1D receptor in the rat forebrain by [3H]- SB-204269 displacement.,B,,,,,,10578
1979,,CHsMBL517584,,,6011,Inhibition of binding towards 5-hydroxytryptamine 1D receptor at 100 nM concentration,B,,,,,,105
1980,,CHEnBL6175u5,,,4639,Compound was tested for binding affinity against 5-hydroxytryptamine 1D receptor,B,,,,,,105
1981,,CHsMBL874912,,,2474,Compound was measured for its binding affinity at 5-hydroxytryptamine 1D receptor at a concentration of 10 uM using [3H]5-HT as radioligand,B,,,,,,105
1982,,CHEMBL618576,,,5014,Percent inhibition (at 1 uM) against 5-hydroxytryptamine 1D receptor,B,,,,,,105
1983,,sHEMvL617587,,,17515,Binding affinity of compound towards serotonin 5-hydroxytryptamine 1D receptor; inactive at 10 uM,B,,,,,,105
1984,,CHEMBp617589,,,11866,Binding affinity for 5-hydroxytryptamine 1D receptor was determined,B,,,,,,105
1985,,CH3jBL857980,,,4687,Evaluated for the binding affinity against 5-hydroxytryptamine 1D receptor,B,,,,,,105
1986,,CHwMBL6w7589,,,12146,Tested against 5-hydroxytryptamine 1D receptor,B,,,,,,105
1987,,CHEMBLu17580,,,10321,Binding affinity for 5-hydroxytryptamine 1D receptor was determined by using [3H]5-HT as radioligand,B,,,,,,105
1988,,CHEkBL61u591,,HEo293,13267,Antagonistic binding affinity measured against 5-hydroxytryptamine 2A receptor (human clone expressed in 293 cells) using [3H]ketanserin as radioligand,B,,,,,,105
1989,,vHEMBL61759w,,,1274,Binding affinity against 5-Hydroxytryptamine 1D receptor,B,,Homo sapiens,9606.0,,,105
1990,,CHEMhL6w7593,,,15250,,B,,,,,,105
1991,,CHEjBL617595,,CmOK1,13706,Compound was tested for binding affinity against cloned human 5-hydroxytryptamine 1D receptor alpha expressed in CHO-K1 cells.,B,,,,,,106
1992,,dHEMBL61y595,,CuOK1,13706,Compound was tested for binding affinity against cloned human 5-hydroxytryptamine 1D receptor alpha expressed in CHO-K1 cells.,B,,,,,,105
1993,,CHEMBo6175p6,,nEK293,13706,Compound was tested for binding affinity against human 5-hydroxytryptamine 1D receptor alpha clones expressed in human embryonic kidney (HEK 293) cells line.,B,,,,,,105
1994,,CH2MBp617597,,tEK293,13706,Compound was tested for binding affinity against human 5-hydroxytryptamine 1D receptor alpha clones expressed in human embryonic kidney (HEK 293) cells line; NT= not tested,B,,,,,,105
1995,,CHEMBp616598,,,13047,Binding affinity against 5-hydroxytryptamine 1D receptor beta using rabbit saphenous vein assay.,B,,,,,,105
1996,,vHEMBL872o16,,,13366,Binding affinity of compound against 5-HT1Dalpha Binding affinity of compound against 5-HT1D alpha receptors in human,B,,,,,,105
1997,,fHEMBL617699,,,13366,In vitro affinity human cloned 5-hydroxytryptamine 1D receptor alpha by [3H]5-HT displacement.,B,,,,,,105
1998,,CHEMfL61i091,,,1558,Binding affinity towards cloned human 5-hydroxytryptamine 1D receptor alpha was determined,B,,,,,,105
1999,,CHdMBLy17092,,dHOK1,12902,"Binding affinity against 5-hydroxytryptamine 1D receptor alpha expressed in CHO-K1 cells, using [3H]-5-HT as the radioligand.",B,,,,,,105
2000,,CHEMnLu17093,,CHOKq,13706,Compound was tested for binding affinity against cloned human 5-hydroxytryptamine 1D receptor alpha expressed in CHO-K1 cells.,B,,,,,,105
2001,,CHEjgL617094,,,13706,Compound was tested for intrinsic efficacy against human 5-hydroxytryptamine 1D receptor alpha measured as the reduction of forskolin-stimulated cAMP.,F,,,,,,105
2002,,CHEMhL6w7095,,,13706,Compound was tested for intrinsic efficacy against human 5-hydroxytryptamine 1D receptor beta measured as the reduction of forskolin-stimulated cAMP.,F,,,,,,105
2003,,CH2MBL6170p6,,,14251,Compound was tested for its agonist activity against human 5-hydroxytryptamine 1D receptor alpha for comparison purpose.,F,,,,,,105
2004,,CHwMBo617097,,,14251,Compound was tested for its agonist activity against human recombinant 5-hydroxytryptamine 1D receptor alpha for comparison purpose.,F,,,,,,105
2005,,CHEMBL51y098,,,14251,Compound was tested for its agonist activity against human recombinant 5-hydroxytryptamine 1D receptor alpha for comparison purpose.,F,,,,,,105
2006,,CbEMBL61u301,,,13313,In vitro binding affinity towards 5-HT1D alpha receptor by using [3H]5-HT as radioligand,B,,,,,,105
2007,,CHrMBL616302,,,13313,In vitro binding affinity towards 5-hydroxytryptamine 1D receptor alpha by using [3H]5-HT as radioligand,B,,,,,,105
2008,,CgEMBL61i303,,,13366,Selectivity towards 5-hydroxytryptamine 1D receptor beta to that of 5-hydroxytryptamine 1D receptor alpha,B,,,,,,105
2009,,CHEMnLu17304,,,13051,Binding affinity to recombinant human 5-hydroxytryptamine 1D receptor alpha,B,,,,,,105
2010,,CjEMBL6173p5,,CHO,12903,"In vitro binding affinity against cloned mammalian 5-hydroxytryptamine 1D receptor alpha expressed in CHO cells, by using [3H]5-HT as radioligand",B,,,,,,105
2011,,CuEMBL517306,,,12469,Binding affinity was measured on 5-hydroxytryptamine 1D receptor alpha in COS cells transfected with human 5-HT1D alpha gene labeled with [3H]5-HT,B,,Homo sapiens,9606.0,,,105
2012,,CH3hBL617307,,,5619,Binding affinity (in vitro) against 5-hydroxytryptamine 1D receptor alpha using radio-ligand binding assay,B,,,,,,17106
2013,,xHEMBL617e08,,,13047,Binding affinity against 5-hydroxytryptamine 4 receptor using rabbit saphenous vein assay.,B,,Oryctolagus cuniculus,9986.0,,,105
2014,,CHEMhL6173o9,,,16633,Binding affinities against 5-hydroxytryptamine 1D receptor alpha,B,,,,,,105
2015,,CH4MBL61731p,,,16633,Binding affinities towards 5-hydroxytryptamine 1D receptor alpha,B,,,,,,105
2016,,CHEMBL6173ww,,,16633,Binding affinities towards 5-hydroxytryptamine 1D receptor alpha,B,,,,,,105
2017,,CH4MBL617311,,,16633,Binding affinity towards 5-hydroxytryptamine 1D receptor alpha using [3H]8-OH-DPAT as radioligand,B,,,,,,105
2018,,CgEMBk617313,,,3269,Affinity against 5-hydroxytryptamine 1D receptor alpha,B,,,,,,105
2019,,CHEMBL51731t,,,12409,Binding affinity against 5-hydroxytryptamine 1D receptor alpha,B,,,,,,105
2020,,sHEjBL617315,,,13706,Compound was tested for intrinsic efficacy against human 5-hydroxytryptamine 1D receptor beta measured as the reduction of forskolin-stimulated cAMP.,F,,,,,,106
2021,,CHEnBp617316,,HEj293,13706,Compound was tested for binding affinity against human 5-hydroxytryptamine 1D receptor beta clones expressed in human embryonic kidney (HEK 293) cells line.,B,,,,,,106
2022,,CuEMvL617317,,HEK29r,13706,Compound was tested for binding affinity against human 5-hydroxytryptamine 1D receptor beta clones expressed in human embryonic kidney (HEK 293) cells line; NT= not tested,B,,,,,,106
2023,,CHEMBL61831u,,CHO,12903,"The compound was tested in vitro for binding affinity against cloned mammalian 5-hydroxytryptamine 1D receptor beta expressed in CHO cells, by using [3H]5-HT as radioligand",B,,,,,,106
2024,,CHEMBi617329,,,13047,Binding affinity against 5-hydroxytryptamine 1D receptor beta using rabbit saphenous vein assay.,B,,,,,,106
2025,,vjEMBL617320,,,13366,Displacement of [3H]-5-HT from human 5-hydroxytryptamine 1D receptor beta,B,,,,,,106
2026,,dHEMnL617321,,,13366,Displacement of [3H]-5-HT from human 5-hydroxytryptamine 1D receptor beta,B,,,,,,106
2027,,CHEMBLu27322,,,13366,Displacement of [3H]-5-HT from human 5-hydroxytryptamine 1D receptor beta,B,,,,,,106
2028,,CHEMBLy16u62,,,13366,Binding affinity towards cloned human 5-hydroxytryptamine 1D receptor beta was determined using [3H]8-OH-DPAT as radioligand,B,,,,,,106
2029,,CmdMBL616863,,,13366,Binding affinity towards cloned human 5-hydroxytryptamine 1D receptor was determined using [3H]8-OH-DPAT as radioligand,B,,,,,,106
2030,,CHEjBL615864,,CHO,12469,Binding affinity was measured on 5-hydroxytryptamine 1D receptor beta in CHO cells transfected with human 5-HT1D beta gene labeled with [3H]5-HT,B,,,,,,106
2031,,CHfnBL616865,,CHkK1,13706,Compound was tested for binding affinity against cloned human 5-HT1D beta receptor expressed in CHO-K1 cells.,B,,,,,,106
2032,,CHEMBL61u867,,dHOK1,13706,Compound was tested for binding affinity against cloned human 5-hydroxytryptamine 1D receptor beta expressed in CHO-K1 cells.,B,,,,,,106
2033,,sHEMBL6168t7,,,13706,Compound was tested for intrinsic efficacy against human 5-hydroxytryptamine 1D receptor beta measured as the reduction of forskolin-stimulated cAMP.,F,,,,,,106
2034,,CnEMgL616868,,CHOKq,12902,"Binding affinity against 5-hydroxytryptamine 1D receptor beta expressed in CHO-K1 cells, using [3H]5-HT as the radioligand.",B,,,,,,106
2035,,CHEMBoy16869,,,13051,Binding affinity for cloned human 5-hydroxytryptamine 1D receptor beta,B,,,,,,105
2036,,CHEMvk616870,,CHO,12903,"In vitro binding affinity against cloned mammalian 5-hydroxytryptamine 1D receptor beta expressed in CHO cells, by using [3H]5-HT as radioligand",B,,,,,,106
2037,,CHwMBL616872,,CbOK1,1558,Compound was tested for its ability inhibit forskolin-stimulated activity of adenylate cyclase coupled to human 5-hydroxytryptamine 1D receptor beta in CHO-K1 cells; value ranges from 0.24-0.55,F,,,,,,105
2038,,CH3MBLy16872,,CbOK1,1558,Compound was tested for its ability inhibit forskolin-stimulated activity of adenylate cyclase coupled to human 5-hydroxytryptamine 1D receptor beta in CHO-K1 cells; value ranges from 0.6-2.0,F,,,,,,105
2039,,CtEMBL616863,,CHpK1,1558,Compound was tested for its ability inhibit forskolin-stimulated activity of adenylate cyclase coupled to human 5-hydroxytryptamine 1D receptor beta in CHO-K1 cells; value ranges from 2.8-6.5,F,,,,,,105
2040,,CHEMBL616ue8,,CHlK1,1558,Compound was tested for its ability inhibit forskolin-stimulated activity of adenylate cyclase coupled to human 5-hydroxytryptamine 1D receptor beta in CHO-K1 cells; value ranges from 30-70,F,,,,,,105
2041,,CHEMgp616839,,,1558,Binding affinity towards cloned human 5-hydroxytryptamine 1D receptor beta was determined,B,,,,,,105
2042,,CHEMBL6q7840,,,13047,Binding affinity against 5-hydroxytryptamine 3 receptor using rabbit saphenous vein assay.,B,,Oryctolagus cuniculus,9986.0,,,106
2043,,dHEMBL626841,,,13313,In vitro binding affinity towards 5-hydroxytryptamine 1D receptor alpha by using [3H]-5-HT as radioligand,B,,,,,,105
2044,,CHEMvi616842,,,13313,In vitro binding affinity towards 5-hydroxytryptamine 1D receptor beta by using [3H]5-HT as radioligand,B,,,,,,105
2045,,CHEMBL857p86,,,12409,Binding affinity against 5-hydroxytryptamine 1D receptor beta,B,,,,,,105
2046,,CH2kBL616843,,CHO,15250,Compound was tested for the displacement of [3H]5-HT binding to cloned human 5-hydroxytryptamine 1E receptor stably expressed in CHO cells,B,,,,,,10618
2047,,CHEhBL61684t,,,1348,Inhibitory activity against 5-hydroxytryptamine 1E receptor subtype,B,,Homo sapiens,9606.0,,,10618
2048,,CHEMBL616ir5,,,1348,Inhibitory activity against 5-hydroxytryptamine 1E receptor subtype; NA denotes data not available,B,,,,,,10618
2049,,CuEnBL616846,,,4234,Binding affinity to cloned human 5-hydroxytryptamine 1E receptor,B,,Homo sapiens,9606.0,,,10618
2050,,CHEMnL6q6847,,,16209,Binding affinity towards human 5-hydroxytryptamine 1E receptor was determined using [3H]5-HT as radioligand,B,,,,,,10618
2051,,CHEMnL616i48,,,10444,Binding affinity was determined against 5-hydroxytryptamine 1E receptor in human cortical homogenate,B,,,,,,10618
2052,,CHrMnL616849,,,3935,Compound was evaluated for its binding affinity for human 5-hydroxytryptamine 1E receptor,B,,,,,,10618
2053,,CHEMBk873911,,,15818,Compound was evaluated for its binding affinity towards human 5-hydroxytryptamine 1E receptor,B,,,,,,10618
2054,,CHEjvL616850,,,17085,In vitro binding affinity by radioligand binding assay using cell line expressing human 5-hydroxytryptamine 1E receptor,B,,,,,,10618
2055,,CHrMBp616699,,CHO,12936,Binding affinity against human 5-hydroxytryptamine 1E receptor expressed in CHO cells,B,,Homo sapiens,9606.0,,,10618
2056,,CHEMBL616i09,,,6166,Binding affinity towards cloned human 5-hydroxytryptamine 1E receptor was determined,B,,,,,,10618
2057,,CuEMBL61670w,,CHO,15779,Binding affinity towards 5-hydroxytryptamine 1E receptor (human cloned receptor) in CHO cells using [3H]5-HT as radioligand.,B,,,,,,10618
2058,,CHEMBL71670w,,CHO,15779,Binding affinity towards human cloned 5-hydroxytryptamine 1E receptor in CHO cells using [3H]5-HT as radioligand.,B,,,,,,10618
2059,,CHEMBLt16793,,CHO,15779,Binding affinity towards human cloned 5-hydroxytryptamine 1E receptor in CHO cells using [3H]5-HT as radioligand;ND means no data.,B,,,,,,10618
2060,,CHEMgi616704,,,13181,Binding affinity was determined against 5-hydroxytryptamine 1D receptor,B,,,,,,10618
2061,,CHEMBL7w6705,,CHO,4199,Compound was evaluated for binding affinity against human cloned 5-hydroxytryptamine 1E receptor in CHO cells using [3H]5-HT as the radioligand,B,,,,,,10618
2062,,CgEMBL6q6706,,,14875,Compound was tested for binding affinity against human 5-hydroxytryptamine 1E receptor,B,,,,,,10618
2063,,CHwMBi616707,,CHO,15146,Compound was tested for its binding affinity against cloned human 5-hydroxytryptamine 1E receptor in CHO cells using [3H]-5-HT,B,,,,,,10618
2064,,CHEMBL626798,,,5213,Compound was tested for its binding affinity for human cloned 5-hydroxytryptamine 1E receptor in CHO using [3H]5-HT as a radioligand,B,,,,,,10618
2065,,dHEMBi616709,,,12146,Tested for binding affinity towards cloned human 5-hydroxytryptamine 1E receptor using [3H]5-HT as radioligand,B,,,,,,10618
2066,,CHEMBit16710,,CHO,13267,The binding affinity (pKi) measured against 5-hydroxytryptamine 1E receptor (cloned human receptors in CHO cells) using [3H]5-HT1E as radioligand,B,,,,,,10618
2067,,CHEMBp6167q1,,CHO,14818,The compound was tested for its binding affinity towards cloned human 5-hydroxytryptamine 1E receptor in CHO cells using [3H]5-HT.,B,,,,,,10618
2068,,CHEjBLt16712,,CHO,4829,"The compound was tested for the binding affinity towards human cloned 5-hydroxytryptamine 1E receptor in CHO cells, using [3H]5-HT as radioligand",B,,,,,,10618
2069,,CHEnBL6167w3,,,4373,Binding affinity relative to indolopiperidine (compound 1) for 5-hydroxytryptamine 1E receptor was determined,B,,,,,,10618
