class,name,addr,id,phone,city,type
309,montien,' 1134 1st ave. between 62nd and 63rd sts . ',310,212/421 -4433,` new york ',asian
310,` morton \ 's ',' 551 5th ave. at 45th st. ',311,212/972 -3315,` new york ',american
311,` motown cafe ',' 104 w. 57th st. near 6th ave. ',312,212/581 -8030,` new york ',american
312,` new york kom tang soot bul house ','32 w. 32nd st. ',313,' 212 / 947-8482 ',` new york ',asian
313,` new york noodletown ','28 1/2 bowery at bayard st. ',314,212/349 -0923,` new york ',asian
314,newsbar,' 2 w. 19th st. ',315,212/255 -3996,` new york ',` coffee bar '
315,odeon,' 145 w. broadway at thomas st. ',316,212/233 -0507,` new york ',american
316,orso,' 322 w. 46th st. ',317,212/489 -7212,` new york ',italian
317,` osteria al droge ',' 142 w. 44th st. ',318,212/944 -3643,` new york ',italian
318,otabe,'68 e. 56th st. ',319,212/223 -7575,` new york ',asian
319,pacifica,' 138 lafayette st. between canal and howard sts . ',320,212/941 -4168,` new york ',asian
320,palio,' 151 w. 51st . st. ',321,212/245 -4850,` new york ',italian
321,pamir,' 1065 1st ave. at 58th st. ',322,212/644 -9258,` new york ',` middle eastern '
322,` parioli romanissimo ','24 e. 81st st. ',323,212/288 -2391,` new york ',italian
323,patria,' 250 park ave. s at 20th st. ',324,212/777 -6211,` new york ',` latin american '
324,` peacock alley ',' 301 park ave. between 49th and 50th sts . ',325,212/872 -4895,` new york ',french
325,` pen & pencil ',' 205 e. 45th st. ',326,212/682 -8660,` new york ',american
326,` penang soho ',' 109 spring st. between greene and mercer sts . ',327,212/274 -8883,` new york ',asian
327,persepolis,' 1423 2nd ave. between 74th and 75th sts . ',328,212/535 -1100,` new york ',` middle eastern '
328,` planet hollywood ',' 140 w. 57th st. ',329,212/333 -7827,` new york ',american
329,pomaire,' 371 w. 46th st. off 9th ave. ',330,' 212 / 956-3055 ',` new york ',` latin american '
330,` popover cafe ',' 551 amsterdam ave. between 86th and 87th sts . ',331,212/595 -8555,` new york ',american
331,` post house ','28 e. 63rd st. ',332,212/935 -2888,` new york ',american
332,rain,' 100 w. 82nd st. ',333,212/501 -0776,` new york ',asian
333,` red tulip ',' 439 e. 75th st. ',334,212/734 -4893,` new york ',` eastern european '
335,republic,' 37a union sq. w between 16th and 17th sts . ',335,212/627 -7172,` new york ',asian
336,` roettelle a. g ',' 126 e. 7th st. between 1st ave. and ave. a ',336,212/674 -4140,` new york ',continental
337,` rosa mexicano ',' 1063 1st ave. at 58th st. ',337,212/753 -7407,` new york ',mexican
338,` ruth \ 's chris ',' 148 w. 51st st. ',338,212/245 -9600,` new york ',american
339,s.p.q.r,' 133 mulberry st. between hester and grand sts . ',339,212/925 -3120,` new york ',italian
340,` sal anthony \ 's ','55 irving pl . ',340,212/982 -9030,` new york ',italian
341,` sammy \ 's roumanian steak house ',' 157 chrystie st. at delancey st. ',341,212/673 -0330,` new york ',` east european '
342,` san pietro ','18 e. 54th st. ',342,212/753 -9015,` new york ',italian
343,` sant ambroeus ',' 1000 madison ave. between 77th and 78th sts . ',343,212/570 -2211,` new york ',` coffee bar '
344,` sarabeth \ 's kitchen ',' 423 amsterdam ave. between 80th and 81st sts . ',344,212/496 -6280,` new york ',american
345,` sea grill ','19 w. 49th st. ',345,212/332 -7610,` new york ',seafood
346,serendipity,' 3 225 e. 60th st. ',346,212/838 -3531,` new york ',american
347,` seventh regiment mess and bar ',' 643 park ave. at 66th st. ',347,212/744 -4107,` new york ',american
348,sfuzzi,'58 w. 65th st. ',348,212/873 -3700,` new york ',american
349,shaan,'57 w. 48th st. ',349,' 212 / 977-8400 ',` new york ',asian
350,` sofia fabulous pizza ',' 1022 madison ave. near 79th st. ',350,212/734 -2676,` new york ',italian
351,` spring street natural restaurant & bar ','62 spring st. at lafayette st. ',351,212/966 -0290,` new york ',american
352,` stage deli ',' 834 7th ave. between 53rd and 54th sts . ',352,212/245 -7850,` new york ',delicatessen
353,stingray,' 428 amsterdam ave. between 80th and 81st sts . ',353,212/501 -7515,` new york ',seafood
354,` sweet \ ` n \ ` tart cafe ','76 mott st. at canal st. ',354,212/334 -8088,` new york ',asian
355,' t salon ',' 143 mercer st. at prince st. ',355,212/925 -3700,` new york ',` coffee bar '
356,` tang pavillion ','65 w. 55th st. ',356,212/956 -6888,` new york ',asian
357,tapika,' 950 8th ave. at 56th st. ',357,' 212 / 397-3737 ',` new york ',american
358,` teresa \ 's ',' 103 1st ave. between 6th and 7th sts . ',358,212/228 -0604,` new york ',` east european '
359,terrace,' 400 w. 119th st. between amsterdam and morningside aves . ',359,212/666 -9490,` new york ',continental
360,` the coffee pot ',' 350 9th ave. at 49th st. ',360,212/265 -3566,` new york ',` coffee bar '
361,` the savannah club ',' 2420 broadway at 89th st. ',361,212/496 -1066,` new york ',american
362,` trattoria dell \ ` arte ',' 900 7th ave. between 56th and 57th sts . ',362,212/245 -9800,` new york ',italian
363,triangolo,' 345 e. 83rd st. ',363,212/472 -4488,` new york ',italian
364,` tribeca grill ',' 375 greenwich st. near franklin st. ',364,212/941 -3900,` new york ',american
365,` trois jean ',' 154 e. 79th st. between lexington and 3rd aves . ',365,212/988 -4858,` new york ',` coffee bar '
366,` tse yang ','34 e. 51st st. ',366,212/688 -5447,` new york ',asian
367,` turkish kitchen ',' 386 3rd ave. between 27th and 28th sts . ',367,212/679 -1810,` new york ',` middle eastern '
368,` two two two ',' 222 w. 79th st. ',368,212/799 -0400,` new york ',american
369,` veniero \ 's pasticceria ',' 342 e. 11th st. near 1st ave. ',369,212/674 -7264,` new york ',` coffee bar '
370,verbena,'54 irving pl . at 17th st. ',370,212/260 -5454,` new york ',american
371,` victor \ 's cafe ','52 236 w. 52nd st. ',371,212/586 -7714,` new york ',` latin american '
372,` vince & eddie \ 's ','70 w. 68th st. ',372,212/721 -0068,` new york ',american
373,vong,' 200 e. 54th st. ',373,212/486 -9592,` new york ',american
374,` water club ',' 500 e. 30th st. ',374,212/683 -3333,` new york ',american
375,west,' 63rd street steakhouse 44 w. 63rd st. ',375,212/246 -6363,` new york ',american
376,xunta,' 174 1st ave. between 10th and 11th sts . ',376,212/614 -0620,` new york ',mediterranean
377,` zen palate ','34 union sq. e at 16th st. ',377,212/614 -9291,` new york ',` and 212/614 -9345 asian '
378,zoe,'90 prince st. between broadway and mercer st. ',378,212/966 -6722,` new york ',american
379,abbey,' 163 ponce de leon ave. ',379,404/876 -8532,atlanta,international
380,` aleck \ 's barbecue heaven ',' 783 martin luther king jr. dr. ',380,404/525 -2062,atlanta,barbecue
381,` annie \ 's thai castle ',' 3195 roswell rd. ',381,404/264 -9546,atlanta,asian
382,anthonys,' 3109 piedmont rd. . just south of peachtree rd. ',382,404/262 -7379,atlanta,american
383,` atlanta fish market ',' 265 pharr rd. ',383,404/262 -3165,atlanta,american
384,` beesley \ 's of buckhead ',' 260 e. paces ferry road ',384,404/264 -1334,atlanta,continental
385,` bertolini \ 's ',' 3500 peachtree rd. . phipps plaza ',385,404/233 -2333,atlanta,italian
386,bistango,' 1100 peachtree st. ',386,404/724 -0901,atlanta,mediterranean
387,` cafe renaissance ',' 7050 jimmy carter blvd. . norcross ',387,770/441 -- 0291,atlanta,american
388,` camille \ 's ',' 1186 n. highland ave. ',388,404/872 -7203,atlanta,italian
389,cassis,' 3300 peachtree rd. . grand hyatt ',389,404/365 -8100,atlanta,mediterranean
390,` city grill ','50 hurt plaza ',390,404/524 -2489,atlanta,international
391,` coco loco ','40 buckhead crossing mall on the sidney marcus blvd. ',391,404/364 -0212,atlanta,caribbean
392,` colonnade restaurant ',' 1879 cheshire bridge rd. ',392,404/874 -5642,atlanta,southern
393,` dante \ 's down the hatch buckhead ',' 3380 peachtree rd. ',393,404/266 -1600,atlanta,continental
394,` dante \ 's down the hatch ',` underground underground mall underground atlanta ',394,404/577 -1800,atlanta,continental
395,` fat matt \ 's rib shack ',' 1811 piedmont ave. near cheshire bridge rd. ',395,404/607 -1622,atlanta,barbecue
396,` french quarter food shop ',' 923 peachtree st. at 8th st. ',396,404/875 -2489,atlanta,southern
397,` holt bros. bar-b-q ',' 6359 jimmy carter blvd. . at buford hwy . norcross ',397,770/242 -3984,atlanta,barbecue
398,` horseradish grill ',' 4320 powers ferry rd. ',398,404/255 -7277,atlanta,southern
399,` hsu \ 's gourmet ',' 192 peachtree center ave. at international blvd. ',399,404/659 -2788,atlanta,asian
400,` imperial fez ',' 2285 peachtree rd. . peachtree battle condominium ',400,404/351 -0870,atlanta,mediterranean
401,kamogawa,' 3300 peachtree rd. . grand hyatt ',401,404/841 -0314,atlanta,asian
402,` la grotta at ravinia dunwoody rd. ',` holiday inn/crowne plaza at ravinia dunwoody ',402,770/395 -9925,atlanta,italian
403,` little szechuan ',' c buford hwy . northwoods plaza doraville ',403,770/451 -0192,atlanta,asian
404,` lowcountry barbecue ',' 6301 roswell rd. . sandy springs plaza sandy springs ',404,404/255 -5160,atlanta,barbecue
405,` luna si ',' 1931 peachtree rd. ',405,404/355 -5993,atlanta,continental
406,` mambo restaurante cubano ',' 1402 n. highland ave. ',406,404/874 -2626,atlanta,caribbean
407,` mckinnon \ 's louisiane ',' 3209 maple dr. ',407,404/237 -1313,atlanta,southern
408,` mi spia dunwoody rd. ',` park place across from perimeter mall dunwoody ',408,770/393 -1333,atlanta,italian
409,` nickiemoto \ 's : a sushi bar ',' 247 buckhead ave. east village sq. ',409,404/842 -0334,atlanta,fusion
410,palisades,' 1829 peachtree rd. ',410,404/350 -6755,atlanta,continental
411,` pleasant peasant ',' 555 peachtree st. at linden ave. ',411,404/874 -3223,atlanta,american
412,pricci,' 500 pharr rd. ',412,404/237 -2941,atlanta,italian
413,` r.j. \ 's uptown kitchen & wine bar ',' 870 n. highland ave. ',413,404/875 -7775,atlanta,american
414,` rib ranch ','25 irby ave. ',414,404/233 -7644,atlanta,barbecue
415,` sa tsu ki ',' 3043 buford hwy . ',415,404/325 -5285,atlanta,asian
416,` sato sushi and thai ',' 6050 peachtree pkwy . norcross ',416,770/449 -0033,atlanta,asian
417,` south city kitchen ',' 1144 crescent ave. ',417,404/873 -7358,atlanta,southern
418,` south of france ',' 2345 cheshire bridge rd. ',418,404/325 -6963,atlanta,french
419,` stringer \ 's fish camp and oyster bar ',' 3384 shallowford rd. . chamblee ',419,770/458 -7145,atlanta,southern
420,` sundown cafe ',' 2165 cheshire bridge rd. ',420,404/321 -1118,atlanta,american
421,` taste of new orleans ',' 889 w. peachtree st. ',421,404/874 -5535,atlanta,southern
422,tomtom,' 3393 peachtree rd. ',422,404/264 -1163,atlanta,continental
423,` antonio \ 's ',' 3700 w. flamingo ',423,702/252 -7737,` las vegas ',italian
424,` bally \ 's big kitchen ',' 3645 las vegas blvd. s ',424,702/739 -4111,` las vegas ',buffets
425,` bamboo garden ',' 4850 flamingo rd. ',425,702/871 -3262,` las vegas ',asian
426,` battista \ 's hole in the wall ',' 4041 audrie st. at flamingo rd. ',426,702/732 -1424,` las vegas ',italian
427,` bertolini \ 's ',' 3570 las vegas blvd. s ',427,702/735 -4663,` las vegas ',italian
428,` binion \ 's coffee shop ',' 128 fremont st. ',428,702/382 -1600,` las vegas ',` coffee shops/diners '
429,bistro,' 3400 las vegas blvd. s ',429,702/791 -7111,` las vegas ',continental
430,broiler,' 4111 boulder hwy . ',430,702/432 -7777,` las vegas ',american
431,` bugsy \ 's diner ',' 3555 las vegas blvd. s ',431,702/733 -3111,` las vegas ',` coffee shops/diners '
432,` cafe michelle ',' 1350 e. flamingo rd. ',432,702/735 -8686,` las vegas ',american
433,` cafe roma ',' 3570 las vegas blvd. s ',433,702/731 -7547,` las vegas ',` coffee shops/diners '
434,` capozzoli \ 's ',' 3333 s. maryland pkwy . ',434,702/731 -5311,` las vegas ',italian
435,` carnival world ',' 3700 w. flamingo rd. ',435,702/252 -7777,` las vegas ',buffets
436,` center stage plaza hotel ',' 1 main st. ',436,702/386 -2512,` las vegas ',american
437,` circus circus ',' 2880 las vegas blvd. s ',437,702/734 -0410,` las vegas ',buffets
438,'em press court ',' 3570 las vegas blvd. s ',438,702/731 -7888,` las vegas ',asian
439,feast,' 2411 w. sahara ave. ',439,702/367 -2411,` las vegas ',buffets
440,` golden nugget hotel ',' 129 e. fremont st. ',440,702/385 -7111,` las vegas ',buffets
441,` golden steer ',' 308 w. sahara ave. ',441,702/384 -4470,` las vegas ',` steak houses '
442,` lillie langtry \ 's ',' 129 e. fremont st. ',442,702/385 -7111,` las vegas ',asian
443,` mandarin court ',' 1510 e. flamingo rd. ',443,702/737 -1234,` las vegas ',asian
444,` margarita \ 's mexican cantina ',' 3120 las vegas blvd. s ',444,702/794 -8200,` las vegas ',mexican
445,` mary \ 's diner ',' 5111 w. boulder hwy . ',445,702/454 -8073,` las vegas ',` coffee shops/diners '
446,mikado,' 3400 las vegas blvd. s ',446,702/791 -7111,` las vegas ',asian
447,pamplemousse,' 400 e. sahara ave. ',447,702/733 -2066,` las vegas ',continental
448,` ralph \ 's diner ',' 3000 las vegas blvd. s ',448,702/732 -6330,` las vegas ',` coffee shops/diners '
449,` the bacchanal ',' 3570 las vegas blvd. s ',449,702/731 -7525,` las vegas ',` only in las vegas '
450,venetian,' 3713 w. sahara ave. ',450,702/876 -4190,` las vegas ',italian
451,` viva mercado \ 's ',' 6182 w. flamingo rd. ',451,702/871 -8826,` las vegas ',mexican
452,` yolie \ 's ',' 3900 paradise rd. ',452,702/794 -0700,` las vegas ',` steak houses '
453,2223,' 2223 market st. ',453,415/431 -0692,` san francisco ',american
454,acquarello,' 1722 sacramento st. ',454,415/567 -5432,` san francisco ',italian
455,` bardelli \ 's ',' 243 o \ ` farrell st. ',455,415/982 -0243,` san francisco ',` old san francisco '
456,betelnut,' 2030 union st. ',456,415/929 -8855,` san francisco ',asian
457,` bistro roti ',' 155 steuart st. ',457,415/495 -6500,` san francisco ',french
458,bix,'56 gold st. ',458,415/433 -6300,` san francisco ',american
459,bizou,' 598 fourth st. ',459,415/543 -2222,` san francisco ',french
460,` buca giovanni ',' 800 greenwich st. ',460,415/776 -7766,` san francisco ',italian
461,` cafe adriano ',' 3347 fillmore st. ',461,415/474 -4180,` san francisco ',italian
462,` cafe marimba ',' 2317 chestnut st. ',462,415/776 -1506,` san francisco ',` mexican/latin american/spanish '
463,` california culinary academy ',' 625 polk st. ',463,415/771 -3500,` san francisco ',french
464,` capp \ 's corner ',' 1600 powell st. ',464,415/989 -2589,` san francisco ',italian
465,carta,' 1772 market st. ',465,415/863 -3516,` san francisco ',american
466,chevys,' 4th and howard sts . ',466,415/543 -8060,` san francisco ',` mexican/latin american/spanish '
467,` cypress club ',' 500 jackson st. ',467,415/296 -8555,` san francisco ',american
468,` des alpes ',' 732 broadway ',468,415/788 -9900,` san francisco ',french
469,faz,' 161 sutter st. ',469,415/362 -0404,` san francisco ',` greek and middle eastern '
470,` fog city diner ',' 1300 battery st. ',470,415/982 -2000,` san francisco ',american
471,` garden court ',` market and new montgomery sts . ',471,415/546 -5011,` san francisco ',` old san francisco '
472,` gaylord \ 's ',` ghirardelli sq. ',472,415/771 -8822,` san francisco ',asian
473,` grand cafe hotel monaco ',' 501 geary st. ',473,415/292 -0101,` san francisco ',american
474,greens,` bldg. a fort mason ',474,415/771 -6222,` san francisco ',vegetarian
475,` harbor village ',' 4 embarcadero center ',475,415/781 -8833,` san francisco ',asian
476,` harris \ '',' 2100 van ness ave. ',476,415/673 -1888,` san francisco ',` steak houses '
477,` harry denton \ 's ',' 161 steuart st. ',477,415/882 -1333,` san francisco ',american
478,` hayes street grill ',' 320 hayes st. ',478,415/863 -5545,` san francisco ',seafood
479,helmand,' 430 broadway ',479,415/362 -0641,` san francisco ',` greek and middle eastern '
480,` hong kong flower lounge ',' 5322 geary blvd. ',480,415/668 -8998,` san francisco ',asian
481,` hong kong villa ',' 2332 clement st. ',481,415/752 -8833,` san francisco ',asian
482,` hyde street bistro ',' 1521 hyde st. ',482,415/441 -7778,` san francisco ',italian
483,` il fornaio levi \ 's plaza ',' 1265 battery st. ',483,415/986 -0100,` san francisco ',italian
484,` izzy \ 's steak & chop house ',' 3345 steiner st. ',484,415/563 -0487,` san francisco ',` steak houses '
485,` jack \ 's ',' 615 sacramento st. ',485,415/986 -9854,` san francisco ',` old san francisco '
486,` kabuto sushi ',' 5116 geary blvd. ',486,415/752 -5652,` san francisco ',asian
487,` katia \ 's ',' 600 5th ave. ',487,415/668 -9292,` san francisco ',''
488,` kuleto \ 's ',' 221 powell st. ',488,415/397 -7720,` san francisco ',italian
489,` kyo-ya . sheraton palace hotel ',' 2 new montgomery st. at market st. ',489,415/546 -5000,` san francisco ',asian
490,` l \ ` osteria del forno ',' 519 columbus ave. ',490,415/982 -1124,` san francisco ',italian
491,` le central ',' 453 bush st. ',491,415/391 -2233,` san francisco ',french
492,` le soleil ',' 133 clement st. ',492,415/668 -4848,` san francisco ',asian
493,` macarthur park ',' 607 front st. ',493,415/398 -5700,` san francisco ',american
494,manora,' 3226 mission st. ',494,415/861 -6224,` san francisco ',asian
495,maykadeh,' 470 green st. ',495,415/362 -8286,` san francisco ',` greek and middle eastern '
496,` mccormick & kuleto \ 's ',` ghirardelli sq. ',496,415/929 -1730,` san francisco ',seafood
497,millennium,' 246 mcallister st. ',497,415/487 -9800,` san francisco ',vegetarian
498,` moose \ 's ',' 1652 stockton st. ',498,415/989 -7800,` san francisco ',mediterranean
499,` north india ',' 3131 webster st. ',499,415/931 -1556,` san francisco ',asian
500,` one market ',' 1 market st. ',500,415/777 -5577,` san francisco ',american
501,oritalia,' 1915 fillmore st. ',501,415/346 -1333,` san francisco ',italian
502,` pacific pan pacific hotel ',' 500 post st. ',502,415/929 -2087,` san francisco ',french
503,` palio d \ ` asti ',' 640 sacramento st. ',503,415/395 -9800,` san francisco ',italian
504,` pane e vino ',' 3011 steiner st. ',504,415/346 -2111,` san francisco ',italian
505,pastis,' 1015 battery st. ',505,415/391 -2555,` san francisco ',french
506,` perry \ 's ',' 1944 union st. ',506,415/922 -9022,` san francisco ',american
507,` r & g lounge ',' 631 b kearny st. ',507,415/982 -7877,` san francisco ',` or 415/982 -3811 asian '
508,rubicon,' 558 sacramento st. ',508,415/434 -4100,` san francisco ',american
509,rumpus,' 1 tillman pl . ',509,415/421 -2300,` san francisco ',american
510,sanppo,' 1702 post st. ',510,415/346 -3486,` san francisco ',asian
511,` scala \ 's bistro ',' 432 powell st. ',511,415/395 -8555,` san francisco ',italian
512,` south park cafe ',' 108 south park ',512,415/495 -7275,` san francisco ',french
513,` splendido embarcadero ',4,513,415/986 -3222,` san francisco ',mediterranean
514,stars,' 150 redwood alley ',514,415/861 -7827,` san francisco ',american
515,` stars cafe ',' 500 van ness ave. ',515,415/861 -4344,` san francisco ',american
516,` stoyanof \ 's cafe ',' 1240 9th ave. ',516,415/664 -3664,` san francisco ',` greek and middle eastern '
517,` straits cafe ',' 3300 geary blvd. ',517,415/668 -1783,` san francisco ',asian
518,suppenkuche,' 601 hayes st. ',518,415/252 -9289,` san francisco ',russian/german
519,` tadich grill ',' 240 california st. ',519,415/391 -2373,` san francisco ',seafood
520,` the heights ',' 3235 sacramento st. ',520,415/474 -8890,` san francisco ',french
521,thepin,' 298 gough st. ',521,415/863 -9335,` san francisco ',asian
522,` ton kiang ',' 3148 geary blvd. ',522,415/752 -4440,` san francisco ',asian
523,vertigo,' 600 montgomery st. ',523,415/433 -7250,` san francisco ',mediterranean
524,` vivande porta via ',' 2125 fillmore st. ',524,415/346 -4430,` san francisco ',italian
525,` vivande ristorante ',' 670 golden gate ave. ',525,415/673 -9245,` san francisco ',italian
526,` world wrapps ',' 2257 chestnut st. ',526,415/563 -9727,` san francisco ',american
527,` wu kong ',' 101 spear st. ',527,415/957 -9300,` san francisco ',asian
528,` yank sing ',' 427 battery st. ',528,415/541 -4949,` san francisco ',asian
529,` yaya cuisine ',' 1220 9th ave. ',529,415/566 -6966,` san francisco ',` greek and middle eastern '
530,` yoyo tsumami bistro ',' 1611 post st. ',530,415/922 -7788,` san francisco ',french
531,zarzuela,' 2000 hyde st. ',531,415/346 -0800,` san francisco ',` mexican/latin american/spanish '
532,` zuni cafe & grill ',' 1658 market st. ',532,415/552 -2522,` san francisco ',mediterranean
