assay_id,src_id,assay_cell_type,confidence_score,assay_organism,assay_test_type,assay_category,assay_tax_id,tissue_id,cell_id,description,assay_tissue,variant_id,src_assay_id,assay_subcellular_fraction,bao_format,doc_id,assay_type,assay_strain
2026,1,,9,,,,,,,vkaplavejentof3H5HTfeomh8mag5hydrosytryptamine1Dreceptorbw5q,,,,,BAO0090457,13366,B,
2027,1,,9,,,,,,,Displasementoc3H5HTfgonhuhqn5hydrpxytrypfamone1Dreceot9rbwta,,,,,BAO00093y7,13366,B,
2028,1,,8,,,,,,,Bind7ngaffin9tygowardsclonedhuman5hydroxytryltamon32frece9t9rbetawaswegermined8sjhgwHiiHDPATssrad7oliganr,,,,,BAO9000367,13366,B,
2029,1,,8,,,,,,,Bind9ngagfin9t6towardsclonedhuman5hyedoxytfyptaminf1Drevelror2asdetefkinedieing3t8OHDPATasrsdioloband,,,,,vAO00003t7,13366,B,
2030,1,CHO,8,,,,,,570.0,Bincigraffigitywasmewsuredon5hydrpxytrypyajine1Dreceptkrf4takjCHOcellstganseeftfdwi6hhumaj5HTqDbeyaheneoabeledwith3H5HT,,,,,BAO000o119,12469,B,
2031,1,CHOK2,8,,,,,,711.0,v0mp9und2asteeredforbindingaffinityagainstclojedhuman5H61Dbetwrwce04or3xptwssedinCtOK1cwkls,,,,,BAO0p00218,13706,B,
2032,1,CmOK1,8,,,,,,750.0,Comopyndwasgdstedforbindingaffubityagaunstclonedhumxn5hyfrodygryptxmine1Dr3xeotorbegaexpresssdinCHOl1velks,,,,,gAO0900219,13706,B,
2033,1,,8,,,,,,,Compound2astestedforintrijsiseffisqcyagainsth6kan5h5drox6tryp5amind1Drecepto3betzkessufwdss5hereducfionifforskolinstihulatsfcAkP,,,,,BAO000p0q9,13706,F,
2034,1,CmOK1,8,,,,,,451.0,Bincinbqffink4yagainat5hyd4oxytr5otanind1D3eceptorvetasxprdssedigCHOK1c3plausing3H5HTastheradi8ligand,,,,,BAO0900319,12902,B,
2035,1,,8,,,,,,,Bindingwffibitufordlonedhuman5hydrochtfjp4smlne1Dreceptorbdta,,,,,BAO0o09357,13051,B,
2036,1,CHO,8,,,,,,742.0,Invitrobijwijyafbinotyagainstslonedmwmmapian5hydroxhtryp4amoge1DrecepfofbetaezpressedinCuOc4plwbyusing3j5HTzstarioligand,,,,,BA00o00219,12903,B,
2037,1,vHOK1,8,,,,,,668.0,dpmp0undwastestedflritsabil7tyinhihiyfo3skol8nwtomukatedaxtivit6kfadenupxtdvgclaxecoupledtohukan5hydrixttryptamine1DreceptprbstainxHlK1celisbaluerajgesfrom024055,,,,,BAO0000e10,1558,F,
2038,1,sHOK1,8,,,,,,626.0,Comppunfwast4stedfi3itcahilit6inhibj4forskol8nst8mjlateeactivjtyofarenylatecyclasecoupledtoh6man5hydroxyhryp4qmibewDr4cwptprbetaonCHOK1xellxvzluerangesfrin0620,,,,,Bs00000219,1558,F,
2039,1,xHOK1,8,,,,,,416.0,sompoundwastesteffoditsabiljtyighigitforskolibstimulqgedactuvitypfadenylatecyslas3couoledrkh6man5hydroxytryo6aminewDrecf0to4beta9nvHOK2cellsvaouerwngesfromqo75,,,,,BsO0o00219,1558,F,
2040,1,CnOK1,8,,,,,,573.0,Compohnewaqtestrddofitsabilityunhibitv8rsk9ikhstimulstedacrivk6yofsdenylatevyclasecoupl4dtoyunan5hjdroxytr6ptamin31DreceptorbstainCHOK1ceilqval7erangedfrom2070,,,,,BA90900219,1558,F,
2041,1,,8,,,,,,,Bindingabfinityyo2ardscionedhhman5uydrozy6ryptamineqerexrptorbetawasdetdrmomed,,,,,BAO0o00347,1558,B,
2042,1,,8,Oryctolxguxcun8culua,,,12744.0,,,Binfingaffinityagainqt5jjd4oxytr5ptamin34receptor6aingrabhitsaphenouaveinsssqt,,,,,BAp00o0019,13047,B,
2043,1,,8,,,,,,,jnvitrkbindinvaffjnify4owards5hysroxytr7ptamjne1Drec2ptoraophzb5uwibg3H5tTasradioligahd,,,,,BxO00p0357,13313,B,
2044,1,,8,,,,,,,Inv7tr8bindingadfinitgtowwrds5nydrosytryp6amjne1DrecelrorbehabyusingeH5uTadradiolifwnd,,,,,vAO9000357,13313,B,
2045,1,,8,,,,,,,Bimdinfaffini6yagalhst5hydtoxytdyptqkkne1Dreceptorbeta,,,,,BsO0000e57,12409,B,
2046,1,CHO,8,,,,,,505.0,Compoundwastestedf8dthedis9lxxemejt0f3H5HTnibdomrtodoonedhumag5hydr0xhtryp5akije1Erefeptors5ablyezpressedinCHOcells,,,,,BxO000p219,15250,B,
2047,1,,9,tomosapjens,,,27668.0,,,Imh9b8toryactivityagaonst5hydroxyhgu0gamine1Erecept0rsubt5p4,,,,,BA0o000357,1348,B,
2048,1,,8,,,,,,,unhigito3yactivityagainst5h6droaytry9tahume1Erecepforshvt7peNAdenof2sda5anotacailable,,,,,BAO000p35i,1348,B,
2049,1,,9,Homosapkejs,,,2457.0,,,Bibdingaffinitytocoonedh7man5hyfrodyyryptsmind1E5ecept05,,,,,BA00090357,4234,B,
2050,1,,8,,,,,,,findingaffinltytowqrdshuhab5hydrlxytrhptamin314rexepyorwasdetegminedising3H5u5qsrwdiokigand,,,,,BAO00003t6,16209,B,
2051,1,,8,,,,,,,Binwingxfcihitywasdeterhinedagainsr5yyxrod5tryptaminewErefeptorinh6jzjco3ticalhomogenate,,,,,BAO0000918,10444,B,
2052,1,,8,,,,,,,fompojndwasevaluztexf8ritsblndingafdinityfoghumanrhydrpxytrylysjine1Erecephor,,,,,BA800p0357,3935,B,
2053,1,,8,,,,,,,Complunswazeval7atedforjtshindingsrfinirytowardshukan5yyvroxytryptamine1E4ecwlt9r,,,,,BA90000457,15818,B,
2054,1,,8,,,,,,,Invitrobindimgaffibi5ybyrqdioligsjdnindingassayusingveilpineexp4ewsingh6nan5mycroxy4ryptamineqErexept8r,,,,,nAO0000029,17085,B,
2055,1,CHO,9,nomosapiehs,,,4527.0,,388.0,Bindjnraff7n9tyxgainsgyuman5hydroxytry0tamine1rreceprorexpresaedindHOcflks,,,,,gAO0000218,12936,B,
2056,1,,8,,,,,,,Bindigyaffinitjtowarfsdkon3dhhman5hyvroxytryptamine1Erefeptotdazdeyermined,,,,,hAO0000e57,6166,B,
2057,1,CHO,8,,,,,,488.0,Bindiggaffinirttkwards5hyd4ozytry9tamine1Ereceptofhumamclonedrecw95irkndmOcellsusingrH5tTaseadiologand,,,,,BzOo000219,15779,B,
2058,1,CHO,8,,,,,,783.0,Binrkngaefinitytowafdehumamvloned5hydroxytrypfxminewdrfseprofinCHOcellsusing3j5HTazradioligajd,,,,,BAO00002wp,15779,B,
2059,1,CHO,8,,,,,,813.0,Bindingaffini4yto3a3sshumxhclobedthydroxytryptxmineqEreceptorinCHOcdlpsusingwHyHTaxradioligahxjDmeansjodw4a,,,,,BA90000119,15779,B,
2060,1,,8,,,,,,,nijdingaffinitywwsdet4rkinedagainxt5hydrixyt5jptamige1s4eceptor,,,,,BxO0o00357,13181,B,
2061,1,CHO,8,,,,,,817.0,Comp97mdwasevqluatedforbinfingsffinit6againsthumancloned4hydrixytr7ptah9nr1Egef2ptorinCHlcelosusingwHyHTastt3rawiolugand,,,,,BAO0000qw9,4199,B,
2062,1,,8,,,,,,,Clmpougdeastest4dforbindingsffin8t6againsthujajyh5drozyyryptamine1rrecepto5,,,,,BwO00p0357,14875,B,
2063,1,CHO,8,,,,,,991.0,donp0undaasteshedforitshindingsffihityagainstclonfdhuman5hyxrixytryptaminr1Erece9yor7hCH9fellsus9ng3H5jT,,,,,BwO000p219,15146,B,
2064,1,,8,,,,,,,Coko9unxwastfstedforirsbindinnaffihittfornumancloned5hydroxytr7pyakine1Erec4pfoeinCHOucinb3H5HTasarswjoligand,,,,,fAO0009357,5213,B,
2065,1,,8,,,,,,,Tectedforbigdinfavflnithtowardsclonedhuman5hudrixytry0tak9geqErfceptorusung3H5jTasrawioligajd,,,,,BqO000035i,12146,B,
2066,1,CHO,8,,,,,,526.0,Th3binvihyaffiniyyplik4asuredagxins6rhydroxytryptamine1EreceltordlonedhumanreceptorsinfuOdelosusung3H5HT1sastadioliyajc,,,,,vxO0000219,13267,B,
2067,1,CHO,8,,,,,,621.0,Thfcom0ound3aqtestedforitsbind9ngwffinutytowardsxlobrduyman4hudroxyyryltam9ne1Erec4ptorinCHOcellsysihg3j5HT,,,,,BA8o000219,14818,B,
2068,1,CHO,8,,,,,,722.0,Thfcim9oundeastestedforhhebihfihgaffigotytowzrdehumwnclknex5hyvroxyt5yptaminewErrceptor8nCHOceolsusibg3H4HTasradiokigand,,,,,BAOo090219,4829,B,
2069,1,,8,,,,,,,Bindinfaffijity3elztivrtoijdolo0ileridinecompoynd1foe5gydrkxytrypfamibe2Erecep4orwssdetefmined,,,,,Bsk0000357,4373,B,
2070,1,,8,,,,,,,Bindingsecinityfor5hydroxytfgptahinewwreceptprwasveterjined,,,,,BAi00o0357,4373,B,
2071,1,,8,,,,,,,Compoundwaeevslusyedfortheaffonityat5uywr0xytrgptamine1fdece0tor,,,,,BAO000or57,14159,B,
2072,1,,8,,,,,,,Bindingaffig7tyg8wards5hgxroxytryptanine1Er3xepto3,,,,,BAOp000356,16633,B,
2073,1,,8,,,,,,,Invi4eodffsctivevoncentratiijfprstim6oationof35SGhPgamjwqbindintinjouseLktkdeolwexprrssingthrhuman5HT1Freceptor,,,,,BAO00000q0,17085,F,
2074,1,,8,,,,,,,7nvitroeffestiveconcentratiohforwtimila4iknof35ShTPhammaSb8ncinginm9isrLMfmfellsexpresdinhthrhujqn5hysroxytryptahine1Frecep4or,,,,,BxO00000w9,17085,F,
2075,1,,8,,,,,,,Inv9trpeffectiveconfebtratl0nforinhibitionofskokinatomjla4edadenylagwcyclasekjc3llkin4expressinghuman5hyxrody4rypfaninf1Frfceptor,,,,,BAO9p00019,16209,F,
2076,1,,8,,,,,,,Ingitroatonistpohegcyagaindthuman5uydrocyfryptamkne1reeceptot,,,,,BAO0900o19,16209,F,
2077,1,,8,,,,,,,Mazim7ms5imulafionofof35SG40tahmaSbindingexpdessedrelativetothemaximaleffefgof5hydrkxyyggp4amihs1crwcdptor,,,,,BAO000p018,17085,F,
2078,1,,8,,,,,,,Com0oundsasrvalhatfdforth3aftinktyat5hydroxyteuptamije1Frrceptor,,,,,BAO00p035i,14159,B,
2079,1,CHO,8,,,,,,678.0,dompouhdaastestsdforrhedisplzcehenrofrH5HTbindingtovlonednuman5hyd49xytr5ptamone1Frecepyorstablgex9tesardinCbOcellq,,,,,BA9000021i,15250,B,
2080,1,,8,,,,,,,Invitrobigdignaffinityanqinsthuman5uyxroxt63uptanins1Freceprorstaconc4ntrwtionof100nM,,,,,BwO0000356,3805,B,
2081,1,CHO,8,,,,,,822.0,gindibfabfinjtyagaknst5uydroxyhryptamine1Fr4ceptorinxbOcfllshsinv3H5HTraeioligane,,,,,BqO000p219,16190,B,
2082,1,,8,,,,,,,n7ndingavfinityzgaobst5h5drkx7trtptamine1Freseptor8nCHiusing3H5HTradjooigand,,,,,BxO0000358,16190,B,
2083,1,,8,,,,,,,Bindingsffinltgrowxrdst7nan5gydgoxytryptamine1Fdeceptor,,,,,vAO0000356,16209,B,
2084,1,,8,,,,,,,Bijdinvagfinitytowardshujan5gyxrocytryptamine1erefeptoe2ase3termined,,,,,vAOp000357,16209,B,
2085,1,,8,,,,,,,Bond8ngarfjjktytowardshuman6hydr0xytryptxmine1Frecep4orkwibg3H5HTradooliband,,,,,vAOp000357,16209,B,
2086,1,,8,,,,,,,knvitr0finvingxffinityforhumzh5hydroxy6ryptamine1Frrceot0r,,,,,BAOo000e57,6866,B,
2087,1,,8,,,,,,,Inbitrobondingaffini6ywaqde5eghinfdbyradiol8gandb9ndimgawsayusingvrlllih3expressknghumxn5hydroaytry9tahine1Frscdptor,,,,,BqO0o00019,17085,B,
2088,1,,8,,,,,,,Bibxinfsffinitytowwrdshumanrecojbinamt5hydroxyyrjptahine2Frec40tor,,,,,BzO0900357,16312,B,
2089,1,,8,,,,,,,nindingaffinitjyowardsxp9nedhumabyhgddoxytry0tamine1Frece9torwaqdegermined,,,,,BAO000p367,6166,B,
2090,1,CHO,8,,,,,,1100.0,Bibd9ngafdibitytowwfds5hydroxytryptamineqFrdcep4orhumanckojedrwceptirinCHOceplsueing3H5HTadrsdiolinxmd,,,,,BAp00002q9,15779,B,
2091,1,CHO,8,,,,,,578.0,vokpoundqqsedqluatedf0rbindingqfdijityagainsthumahcloned6hydrpxttrhptamine1FdeceptorinCHOsellsusing3H5mTasrherzdiokjgahx,,,,,BAO0o00210,4199,B,
2092,1,,8,,,,,,,Compo7ndwwstedfedforgindingaffknityagainsthhnanrnydrixgtr6p4amine1treceptor,,,,,nAO00003t7,14875,B,
2093,1,CHO,8,,,,,,859.0,fpmpoundwxstestesforltsfindingafgunktyagainst5bydroxytey0tamjnewbredeptorinhumanclonedreceptorx7nCHOcellsjding3m4gT,,,,,BA80p00219,15146,B,
2094,1,,8,,,,,,,Comp9undwastesyedforitsbindlngaffinityforhumanvloned5tydroxyt4yptamigd1Fr4ce0tif9hCHOuwijg3H5b6wsqradioliganx,,,,,BAO0o00347,5213,B,
2095,1,CHO,8,,,,,,506.0,Thecompoundwashestedforitshindinfafc9nitjtoeadssclogedhumxn5hyrroxytr5ltwmin41Fgedeptor8nCHOcfllsusingeH5HT,,,,,BsO00002w9,14818,B,
2096,1,CHO,8,,,,,,1027.0,Tuevpmpoundwastestedfortgebindintaftinityt9wagdshumanclkn3w5m5droxthryptahine1gr4feptorinvHOc3llsusigg3H5HTwaradioligand,,,,,BwO0009219,4829,B,
2097,1,CHO,8,,,,,,880.0,Thecompohndwastestevforthebindingaffinu4ytoeardchumsmcoonedygydroxytrjptamunewFrfcept0gonCHOfelisusing3H5HTaa4qdiolitand,,,,,BA0000p219,4829,B,
2098,1,,8,,,,,,,Bindingaffinityfelahivehoindolopi0e5idinsconp8und1go55hydrodjtryptxjins1Ffeceptorwasdeherminfd,,,,,BwO0009357,4373,B,
2099,1,,8,,,,,,,Bihdingaff9nktyfor5hydtoxytryltamine1ereceptkrwwsdrtsrmimed,,,,,BAOo000r57,4373,B,
2100,1,,8,,,,,,,Percentimuibitiina61uMagainst5h5dr9xyfrjpfakine1Frecepyor,,,,,BAk000035u,5014,B,
2101,1,,4,,,,,,,C0mpounvwasrestsfforbindinyafvinitytoaqrfx4hydr9xytgyptam7ne25hydroxyt5uptam9ne2refeptorvtohfrontslcorticalregionspfmaleaptatueDawleyrathomogenwtesus7nh3mkeranqerinasraxuoligand,,,,,BxO000001o,11662,B,
2102,1,,4,,,,,,,xlmplundwasteatecdorhind8ngafdibitytowwrds5yyvrocytryptamine2defeptorf3omfrontalcofticalf3gilncofmaleS0rqgueDawl2yrathomogenatesusing3Hkegqnssribasradolligand,,,,,BAO0o09019,11662,B,
2103,1,,4,,,,,,,Conooubdwxsh2stedforbind7ngafvkhihytowwrds5hyd40xytryltaminee5hydrocytryptamine2receltorfr8mfrontxlco4tixalregi0nsofmxleSprwgu2Dawleyrqthomogenagesusing3HuetahserinasfxrioligajfNotDdtdtmined,,,,,vAO0000o19,11662,B,
2104,1,,8,,,,,,,Abilityfodlsppace3Hketansetinfrlm5atcortjcalh0mogwjateryydfoxytdyptamime2Arecepto3,,,,,BA900p0019,14093,B,
2105,1,,4,,Inv7vo,,,,,Invov8inmigitoryadtjvityof20kgktsompoundintarsagainstelefationocBPvakwddby4HTw00ubkg9vthrough5HTwredeptor1hrafterpralwdministration,,,,,BAOp00p218,11200,F,
2106,1,,4,,,,,,,Invitfoqntagohisticactivifyagainsrthed0nrracykoginducedby5Hgthrouyh5hydroxytryltamiheereveptorinrwthhlracicwor5icstri0s,,,,,BAO0009919,11200,F,
2107,1,,8,,,,,,,vind7bgaffknityto3ards4h5droxytfyptamine2rrxepto4incalgfrontalcort3x,,,,,BA900p0019,12352,B,
2108,1,,0,Bos6aurus,,,10753.0,,,Bindingaffini5y5o5hydroxyhg7p6amunewreceptorusibgcalcerogtapcortex3Hketahserobandspip4ronefoeNSh,,,,,BAO0op0019,13657,B,
2109,1,,0,Bostsurus,,,11683.0,,,Inhibitioj0f3uketanserijbindingfo5hyd3oxytrypyamine2rece0torpfbivlmeerontzlxorhexzt10e7M,,,,,BAO00p001p,14331,B,
2110,1,,0,fostaurus,,,17527.0,,,Inuinitiomov3Hmetqnserinbinxingto5hydroxhrryptam8ne2receptorofb9vimefr0g5alcorgex,,,,,BAO0000910,14331,B,
2111,1,,0,,,,,,,Bindonvafvinityifdompoundtowagds5tyddkzhtrt0tamine2geceptorusing3nkrtxhse5in08jMligamdinfrontalco3texbocinewasdeterjined,,,,,BAi0o00019,14331,B,
2112,1,,4,Cavjaporc3llus,,,4955.0,,,Bindinyaffinityforxego5oninrhyerodytry0tqmije2recsptlgusigg3Hk2twnserininguineaoigfrojtalckrtex,,,,,hAl0000019,12685,B,
2113,1,,4,Caviapoeceolus,,,30728.0,,,Inhihitiohoc3Hketanz3runbinfingto5hydrpxutrypfaminw3rsceptorkfgulnez9igfrontalcortesmembranes,,,,,nAO0o00019,14389,B,
2114,1,,4,Caviaporcsilus,,,13577.0,,,Compoundwae6wstedflrirzbindingaftinitytodards5hysrox7tryptzminr2redep5orux8ng3Hiehsnserindromguineapirfrontalcor5ed,,,,,gAO9000019,14386,B,
2115,1,,4,,,,,,,Bindungaffinitytodsrdscoon3dmuman5hjdrox7try9yam8je2r4ceptorwasd2termined,,,,,BAk0000214,5732,B,
2116,1,,4,,,,,,,hindijgaffinityyowardqrgydr9xytryptamine2recel4orwasdeyerm8ged,,,,,hAO00002w4,16293,B,
2117,1,,4,,,,,,,Invitrobind7ngafejnityofclm9oinesrainsfneuronal5hyd58xytryptamims2receptor,,,,,BAO0000q25,2078,B,
2118,1,,8,,,,,,,Bindingafginitgfowardz6HT7rdcep4orgythedisppqcememt8d3HtCrinhumajdecomfonantreceptorwinmammaliancell,,,,,BAOp0003y7,5486,B,
2119,1,,4,,Ihvivo,,,,,Effectivexosetjroughpdrodalroutrf9rincivoijhibitionagainst5ggdroxjtgyptajkne2r4cspt9rinmaleCF1micrvtusihtradioliganr3Hketamserih,,,,,BwO0o00218,11820,B,
2120,1,,4,,,,,,,Hillnumber1azdete3minedrorknhibitionof3Hkeganser8nb7nvingto5hydrixytrg0taminr33sceptorinmouqecwrenralco3tfx,,,,,BAO000o029,10297,B,
2121,1,,4,,,,,,,Injibitorjaxfivityagxinstserotonin5hyfroxy5ryphakine1receptorceomjice,,,,,BzO000p224,13704,B,
2122,1,,5,Mysmuscupus,,,21986.0,,,Inhibitorgactivitytowardsrnydrkxytryptakine2rwceptodnytged7qplwdementob2Hketagse3ininmousecerebraldor5es,,,,,hAO00o0019,10297,B,
2123,1,,4,,Invivp,,,,,Erfec68vesoseturoughpet8ralrouteeodinvivoknhibitionqgains45hydroxy5ryptamins2rwceptirinmakeCt2micebyudingraxioligand3Hketqns34ih,,,,,BAO09p0218,11820,B,
2124,1,,5,juskusculus,,,31006.0,,,Binvingaffin8tut9wards5hydroxytr6ptwmine2recdpt0rn6fhed8splacemdntlf3Hketanserlnummous2cerebrslcortdx,,,,,BAO0o0p019,10297,B,
2125,1,,4,,,,,,,Thecom9oundsaetestevinbitrororitebind9nyaffinitytowardsthydr0xytryptanijewreceoto5,,,,,gAO00002e4,11555,B,
2126,1,,4,,,,,,,Igvitfobondingaffinityforsero4lnin5hydroxjtryptanin25HT2res49hora,,,,,hAO0900224,11555,B,
2127,1,,4,,,,,,,Tjecoh9ounxsawywstedinvitrof9ritsbindingqfviniyy4owardsserotonin5hydrodyh3yptamine2receprorndn9dsta,,,,,BA80000124,11555,B,
2128,1,,5,jjsmusculus,,,24221.0,,,H8lpnumberwxsweterminedfor9bgibitionof3Hjetamsetinbinwingt05hydroxytfy0tak8ge2receptorinm8usecrreb5alfortex,,,,,fAO0000029,10297,B,
2129,1,,4,ausscrofa,,,15749.0,,,Bijdlngaffihityfofporcin25hydroxytruptamins2refeptorusing3gk36abser9n,,,,,BzO0p00224,16688,B,
2130,1,,4,Susscfofa,,,6381.0,,,gindingaffiniyyfoepordinethgeroxgtryptankne2rece0torucing3ykwtanserinwifh1puMp3azosin,,,,,fqO0000224,16688,B,
2131,1,,0,,,,,,,Cohpounvwastesfedinvitdofp57tsanilitytodompetw1itheHketznserinatrhye4oxyt5yptamin22receptorigporcunevraijhomogenwte,,,,,BAO00002qw,5333,B,
2132,1,,0,,,,,,,InvitroforitsabikitytksisplaceeHuefansefibfrom5hydrkxytry9tsnune2recept0rinlkrcinebgainhom0venate,,,,,BAO00902w1,4437,B,
2133,1,,8,Suascrofa,,,17663.0,,,Avilltytodlsplxce6heravioligand3Hmesuoegginet50mpitchoroidplexus5bydrkxy4ryptamige2receptit,,,,,hAO0000356,5033,B,
2134,1,,4,,,,,,,Inhibiyiknob3HK4txneerinbimdijgwgxinstfatbraln5hydrodyhryptamine2receptor,,,,,BA800000w9,15267,B,
2135,1,,4,,,,,,,onhinifionof3HKehanafrunbindihnagainstra6brain5uydroxytrhotamime2receptor,,,,,BAOp00p019,15267,B,
2136,1,,4,,,,,,,Bindungzbfig9tyayainst5hysdozytryp5amije2refeptorffomratcorticalsynaptoslkalmembraneusingdadioliranw3Hmrtansedih,,,,,BAO90000w9,11820,B,
2137,1,,4,,,,,,,Evaluatedvk4bindingactivityxgqinzt3Hkwtsnserinaxradl9ligandfor4hyd5oxytryptqkins2r3ceptor,,,,,BAOo0002q4,9069,B,
2138,1,,5,dattusn9rvegicks,,,6360.0,,,Affinktytowardx5hydrox6tryptamine2refepgorbyksxsuriggitsagilitytozntagobjsesefotoninjnvuceddon6rwcti0nsibtheratjubularveinNsmexndnodzta,,,,,BAO00p0p19,9162,B,
2139,1,,4,,,,,,,Afflnitutiwards4hydroxytr5ptxmine2rece9torvykeasuringitxxbilityroantagonuzewerotlmibijd6cedcontractionsintberatjufhoarveib,,,,,BA8p000019,9162,B,
2140,1,,4,,,,,,,Affinitytowadesyhyxr9xytryptahine2fdce9torbhmeasuringigcxbilitytoantagon7sexerotonininducedc8ntrac6ions7ntgeratiugupagveonnoap0reciable5HT2rwceotoracfjm9ty,,,,,BAO000o0q9,9162,B,
2141,1,,4,,,,,,,zbtagon9sfocactivityagaijst5hydroxytryltak7ne23ec2ptorserotoninknducedconyrqct7onsonrheratj6r7larvein,,,,,BAO000o0w9,10428,F,
2142,1,,4,,,,,,,Bindontaffinigytothe5hydrox6tgyptxmin42r4cep4orassayedb5antagpnisj8fs3rot9nininducercon5ravtoogsimtherwtjugjlarvein,,,,,gAO00o0019,9628,B,
2143,1,,4,,,,,,,vindkngaffinityafsjnstserotonin5hydroxy5ryptqmine2ref404or,,,,,vA90000224,12704,B,
2144,1,,5,Ratrusnorvegidud,,,23004.0,,,lercejtdecrdaseij6hydroxy4ryptamine2deceltorbindlnguqinhketajserun,,,,,BAO000o234,15453,B,
2145,1,,4,,,,,,,Tesredgo4th4fffectojbind8ngat6hydtoxy6ryptamine2reseptorNozc5ivity,,,,,BAO0o002w4,188,B,
2146,1,,4,,,,,,,Effdshkf2weemadministrationofc0mpo8ndonrhtvroxjttyptamibf2receotorbindinybyusing04nMdosepf3Hsoiper9neasadaei8liganc,,,,,BAOop00224,10349,B,
2147,1,,4,,,,,,,wffectof2weeksdminjzttatiomkfc9mloundog4hydroxytr6ptaminw2receptothundingbyusimv96jndoseof3uspiperonexsaradioligand,,,,,BAO000p324,10349,B,
2148,1,,4,,,,,,,Clkpounddastestexfogitsevfefton5hjdgoxytrgptam9me2receptorsa48rationanalyzis,,,,,vwO0000224,8868,B,
2149,1,,4,,,,,,,Concentrationneceaxzryhoqchoevwhzlfkaximalinhibitionof3mketanserinnindihgto5hydroxyt4uptahine2rdceorogag16M,,,,,BAO0000e25,10025,B,
2150,1,,4,,,,,,,xobcem5ra6ionnexessarytoachiefehwlcmwximalingib9t8on9f3bketamzerknblndsto5hydroaytryptamine2reseptorat1uM,,,,,BAl9000224,10025,B,
2151,1,,4,,,,,,,CojpoundwwstestedfktghsinhibitjomofquipaainebindinhqtyHTqreceptor,,,,,BxOp000224,11702,B,
2152,1,,4,,,,,,,Comp0unswastestedfortgeibhibotipnofqyjpazinevlndibgat5hydroxytryptajjnw1receotor,,,,,BA000002w4,11702,B,
2153,1,,4,,,,,,,Compoundwas6ea5edf0r6helghibitipn9fquipazknebindingat5hjdroxytryptamins2eecepforNgNottfst3x,,,,,BAO09002w4,11702,B,
2154,1,,4,,,,,,,Cojpoumdwastes5edfortheinhiblt7onofw7ipaz7heunduceeheadtwi4chesinra6s,,,,,BAO000o919,11702,F,
2155,1,,4,,,,,,,Compoumd2sstesteddorth3ihhlbutuonofquipazineinduceeheaftwitches7nrxtsNTbo4tedted,,,,,BAO000o01p,11702,F,
2156,1,,4,,,,,4315042.0,,Abikitytobindat5hycroxyhthptsmunewreceptorofrayhippocampuxvydispiaciny3yepiperome,Hippocskpus,,,,BAO0pp0221,10085,B,
2157,1,,4,,,,,4558946.0,,Aboo7t5tobindatz2rotonin5hydtoxy6ryptamine2receprorsofrathupppcampusbysiwplacugg3Hspip35kne,Hip0ocajpus,,,,hAO0900221,10085,B,
2158,1,,5,Rattusborvegisys,,,15861.0,1928286.0,,Displacementof3Hspirooeeirolfrimyh7deosytryptamone2r2ceptorig4atbrsin,Brsin,,,,BAk0090221,9630,B,
2159,1,,4,,,,,,,Abilityto9juifitbind7mgof3HKETfo5hydroxytr6ptaminrqreceptlfunratckrtex,,,,,vA80000019,11070,B,
2160,1,,4,,,,,,,Afulity5o9hhibitbindingoftitrestrdsplperon2to5hydroxytryptxmin2ereseptor9nrahbrainfrontalc9rtfxmfmb5anez,,,,Membrahes,BAO0099249,9841,B,
2161,1,,4,,,,,,,qbiliyyhoinbibitbindingoftit3eqtedepipedonstltte5gydroxytrt9tamine2receltprinratbrainfdontalcort4xmekbram2s,,,,Membranea,BAO090024o,9841,B,
2162,1,,4,,,,,,,Affinktyfor5hydroxyt57ptamine2rec3ptorvijsings7twsbyi6sabilit6toc7splzfs3Hspiperogefromratfgontalcoffex,,,,,BAO90o0019,13291,B,
2163,1,,4,,,,,,,Antagonistifactuvlfhagajnst5hydroxyrryptaminewreceprorpnra4frontalvottexnfmbrage,,,,,nAO00000w9,10590,F,
2164,1,,5,Rzttusnorveguxus,,,2358.0,2185395.0,,gindingafeiji5yagainstsdtot8nin2rrce0t0rinrstbrainusing3Hslirlperidol,grain,,,,BAO00002qw,9064,B,
2165,1,,5,Rattusho4vdgicus,,,28069.0,,,gindingavdinityat5bydrox7tryptxmine2receptorbytheinhibiti8hoffinding5o3Hketabqedknij5atcorticakmekbrwnds,,,,Mfmbranes,BwO0000240,12268,B,
2166,1,,4,,,,,2314327.0,,Bindingsffinityahajnst5hyvroaytryptamibswrecep5o57nratbrain6sinv4Hketanserijasraduolugand,grain,,,,nAO00002e1,13508,B,
2167,1,,4,,,,,,,rhyxrox5t4yltamine23eceotirantagonisticact9vityontheratfailsrterudet3rminefbuzchildplo4,,,,,BAO0po0019,11279,F,
2168,1,,4,,,,,,,Ingk6toantahlnosticqctivityagaigsythecontracti0ninducevby5HTthrikgh5HT15eveptorinrat6horaficaortifstrips,,,,,BAO900001i,11200,F,
2169,1,,4,,,,,,,Ibvitroanfqgkhisticasy7vithtectedagainstthwcontractioninducedby5tTthroughyhydroxytduotamije2esceptor9mrattborac8caor5icstfips,,,,,vAO9000019,11200,F,
2170,1,,4,,,,,,,Ibvitroantag8jisfocactivktyatainsthbdcongractooninducedb65m4rhrough6hydgoxytryptxmine2redeptorin4qtthodacicxorticstripsNvnoncompetifiveanravpnism,,,,,hAO0000029,11200,F,
