ABV,Brew_Factory_Name,Style,Beer_Name,id
4.70 %,County Durham Brewing Company,American Amber / Red Ale,Durham Red Dragon,1019
5.00 %,Microbrasserie Le Naufrageur,American Amber / Red Ale,La Colborne,1020
6.50 %,Blue Mountain Brewery,American Amber / Red Ale,Cheer Beer,1021
-,Olde Richmond Beer Company,American Amber / Red Ale,Olde Richmond Batch No. 9 Red Ale,1022
-,River City Brewing Company,American Amber / Red Ale,Red Rooster Ale,1023
5.00 %,Straight To Ale,American Amber / Red Ale,Rocket City Red,1024
5.50 %,Big Bear Mountain Brewery,American Amber / Red Ale,Ant Hill Red Ale,1025
5.40 %,Veterans United Craft Brewery,American Amber / Red Ale,Scout Dog 44,1026
5.50 %,Black Lotus Brewery,American Amber / Red Ale,Red Tao,1027
5.80 %,Out of Bounds Brewing Company,American Amber / Red Ale,Rusted Butte Red Ale,1028
5.60 %,Persimmon Hollow Brewing,American Amber / Red Ale,Paddle Wheeler,1029
4.50 %,Silver Peak Restaurant & Brewery,American Amber / Red Ale,Sierra Amber Ale,1030
6.00 %,Rock Art Brewery,American Amber / Red Ale,Stowe Mountain Lodge Hourglass Ale,1031
6.50 %,Motorworks Brewing,American Amber / Red Ale,Roll Cage Red,1032
5.80 %,Church Brew Works,American Amber / Red Ale,Absolution Ale,1033
5.00 %,Argilla Brewing Co. .,American Amber / Red Ale,Argilla Amber,1034
5.50 %,Belmont Brewing Company,American Amber / Red Ale,Top Sail,1035
10.40 %,Allentown Brew Works,American Amber / Red Ale,10 On The Richter Scale,1036
-,Cannonball Creek Brewing Company,American Amber / Red Ale,Victorville Red,1037
6.30 %,World Brews,American Amber / Red Ale,R.J. King Wingwalker Winter Brew,1038
5.60 %,Sierra Nevada Brewing Co. .,American Amber / Red Ale,Side Car,1039
5.00 %,Plattsburgh Brewing Company,American Amber / Red Ale,Plucky Rooster Ale,1040
5.50 %,Lawson 's Finest Liquids,American Amber / Red Ale,292 Ale,1041
5.00 %,Hockley Valley Brewing Co. .,American Amber / Red Ale,Legends Of The Bay Giant 's Tomb,1042
4.80 %,Golden Lion Brewing Company / Pub & Brasserie le Lion D'Or,American Amber / Red Ale,AmbrÃ © e D'Amour,1043
5.20 %,The Port Gastropub / Sea Level Brewing Company,American Amber / Red Ale,Rojo Mojo Red Ale,1044
8.60 %,Oakshire Brewing,American Amber / Red Ale,Ride Your Bike Double Red Ale,1045
7.20 %,Begyle Brewing Company,American Amber / Red Ale,Pancake Junkie,1046
7.00 %,Naked City Taphouse,American Amber / Red Ale,Screening Room Red,1047
6.30 %,Block 15 Brewery & Restaurant,American Amber / Red Ale,Ridgeback Red,1048
8.20 %,Three Notch 'd Brewing Company,American Amber / Red Ale,Mosaic IRA,1049
5.10 %,Microbrasserie Du Lac-Saint-Jean,American Amber / Red Ale,Boutefeu,1050
5.10 %,Generations Brewing,American Amber / Red Ale,Pretzel City Amber,1051
5.00 %,The Tin Whistle Brewing Company,American Amber / Red Ale,Kettle Valley Amber Ale,1052
7.70 %,Wynwood Brewing Company,American Amber / Red Ale,Wynwood Fox,1053
5.20 %,8th Wonder Brewery,American Amber / Red Ale,Feight,1054
5.40 %,Old Rail Brewing Company,American Amber / Red Ale,Rusted Rail Ale,1055
5.50 %,Breaker Brewing Company,American Amber / Red Ale,Anthracite Ale,1056
-,Minneapolis Town Hall Brewery,American Amber / Red Ale,Amber Falcon,1057
5.00 %,Paradox Brewery,American Amber / Red Ale,Paradox Red Ale,1058
4.80 %,The Wild Beer Co. .,American Amber / Red Ale,Scarlet Fever,1059
-,Bricktown Brewery,American Amber / Red Ale,46 Star Oklahoma Amber Ale,1060
5.50 %,Silver Moon Brewing,American Amber / Red Ale,Voodoo Dog,1061
6.50 %,Angry Hank 's Microbrewery,American Amber / Red Ale,Street Fight,1062
3.00 %,Marshall Wharf Brewing Company / Three Tides Restaurant,American Amber / Red Ale,Pinchy,1063
6.60 %,Freetail Brewing Company,American Amber / Red Ale,Sixth Anniversary Imperial Red,1064
9.80 %,Ladyface Ale Companie,American Amber / Red Ale,Reyes Adobe Imperial Red,1065
6.10 %,Minneapolis Town Hall Brewery,American Amber / Red Ale,Festivus 2014,1066
6.30 %,Foundation Brewing Company,American Amber / Red Ale,Prototype 9.29.15,1067
5.00 %,Compania Cervecera Del Sur Del Peru S.A. ( Cervesur ),American Amber / Red Ale,CusqueÃ ± a Red Lager,1068
5.20 %,Colorado Mountain Brewery,American Amber / Red Ale,Ole 59er Amber Ale,1069
6.50 %,Valley Brewing Company,American Amber / Red Ale,Indian Red Ale,1070
6.00 %,Mother Earth Brew Co. .,American Amber / Red Ale,Righteously Hopped Red IPA,1071
5.80 %,Bosque Brewing Co. .,American Amber / Red Ale,Brewer 's Boot Amber Ale,1072
-,Thirsty Bear Brewing Company,American Amber / Red Ale,Grizzly Bear Red Ale,1073
6.30 %,Middleton Brewing,American Amber / Red Ale,Bobcat Imperial Red,1074
6.50 %,City Star Brewing Company,American Amber / Red Ale,Red Necktar,1075
-,Brass Cannon Brewing,American Amber / Red Ale,Muzzle Flash,1076
6.00 %,The Five Points Brewing Company,American Amber / Red Ale,Hook Island Red,1077
5.50 %,Pizza Port Solana Beach,American Amber / Red Ale,HATER,1078
5.10 %,Beard & Brau,American Amber / Red Ale,Red Tail,1079
5.00 %,Sierra Madre Brewing Co. .,American Amber / Red Ale,Ocho Reales,1080
5.40 %,American Sky Brewing Co. .,American Amber / Red Ale,American Sky Amber Salute,1081
5.20 %,Core Brewing & Distilling Co. .,American Amber / Red Ale,Arkansas Red Ale,1082
6.20 %,Burnside Brewing Co. .,American Amber / Red Ale,Too Sticky To Roll,1083
4.50 %,CB Craft Brewers,American Amber / Red Ale,Duff 's Microbrew,1084
6.80 %,Garage Project,American Amber / Red Ale,Angry Peaches,1085
-,Elliott Bay Brewing Co. .,American Amber / Red Ale,Red Von Boorien,1086
6.70 %,River City Brewing Company,American Amber / Red Ale,Woodenhead Ale,1087
5.00 %,Gella 's Diner & Lb . Brewing Co. .,American Amber / Red Ale,No. 03 Amber Ale,1088
5.10 %,Uncle Billy 's Brew & Que,American Amber / Red Ale,Uncle Billy 's Organic Amber,1089
-,Birra Moretti ( Heineken ),American Amber / Red Ale,Birra Moretti Red Ale,1090
7.00 %,Sarasota Brewing Company,American Amber / Red Ale,Sunset Red,1091
-,LynLake Brewery,American Amber / Red Ale,Rubbish Oat Amber Ale,1092
4.70 %,Old Dominion Brewing Company,American Amber / Red Ale,J. Paul 's 1889 Amber Ale,1093
4.20 %,Anacortes Brewery & Rockfish Grill,American Amber / Red Ale,Anacortes Red Ale,1094
6.00 %,Liberty Steakhouse Brewery,American Amber / Red Ale,Rocket 's Red Ale,1095
8.00 %,Indiana City Brewing Company,American Amber / Red Ale,Red Collar,1096
6.00 %,Crooked Can Brewing Company,American Amber / Red Ale,McSwagger 's,1097
5.00 %,Dragonmead Microbrewery,American Amber / Red Ale,Dragonmead Crooked Door Amber Ale,1098
5.80 %,Lily 's Seafood & B.C.,American Amber / Red Ale,Reggie 's French River Red,1099
5.60 %,Monkish Brewing Co. .,American Amber / Red Ale,Red Table,1100
4.50 %,Cerveses Almog_ver,American Amber / Red Ale,Almog_ver Cervesa Artesanal,1101
5.70 %,Barley Forge Brewing Co. .,American Amber / Red Ale,El Paisano,1102
5.20 %,Outer Light Brewing Company,American Amber / Red Ale,Lonesome Boatman Ale,1103
-,The Brewery At Lake Tahoe,American Amber / Red Ale,Alpine Amber Ale,1104
5.50 %,Porcupine Quill Micro Brewery and Deli,American Amber / Red Ale,Quills Karoo Red,1105
7.40 %,Marble Brewery,American Amber / Red Ale,Cuvee Rouge ( 2015 Bottled Vintage ),1106
5.80 %,Thump Keg Brewing Co. .,American Amber / Red Ale,Agave Amber Ale,1107
4.80 %,Draught House Pub & Brewery,American Amber / Red Ale,Red Planet,1108
5.50 %,Columbus Brewing Company,American Amber / Red Ale,Columbus Kashmir,1109
5.20 %,Port Townsend Brewing Company,American Amber / Red Ale,Reel Amber,1110
-,Solvang Brewing Company,American Amber / Red Ale,Dansk Amber Ale,1111
5.50 %,Abandon Brewing Co. .,American Amber / Red Ale,BCA,1112
4.70 %,San Luis Valley Brewing Company,American Amber / Red Ale,Alamosa Amber,1113
5.30 %,War Horse Brewing Company,American Amber / Red Ale,East Coast Amber Ale,1114
5.10 %,Roundabout Brewery,American Amber / Red Ale,Rusted Route Amber Ale,1115
7.50 %,Iron Hill Brewery & Restaurant,American Amber / Red Ale,Big Rye Wibby,1116
5.00 %,4 Hands Brewing Co. .,American Amber / Red Ale,Vigilante,1117
-,Jacob Leinenkugel Brewing Company,American Amber / Red Ale,Iron Mike 's Amber Ale,1118
7.40 %,Hollister Brewing Co. .,American Amber / Red Ale,Fire Dragon,1119
-,Hamburg Brewing Company,American Amber / Red Ale,House Dressing,1120
7.00 %,Green Man Brewery,American Amber / Red Ale,Green Man The Blood Of My Enemies,1121
5.00 %,Lefty 's Brewing Company,American Amber / Red Ale,Maple Ale,1122
8.20 %,Redondo Beach Brewing,American Amber / Red Ale,Rat Beach Red Ale,1123
5.00 %,Hotel-Gasthof HÃ $ ffner BrÃ $ u,American Amber / Red Ale,HÃ $ ffner Hopfenstopfer Dark Red Temptation,1124
9.00 %,Kettle House Brewing Co. .,American Amber / Red Ale,Lake Missoula Amber,1125
5.50 %,Tampa Bay Brewing Co. .,American Amber / Red Ale,Two Redeyes Ales,1126
8.50 %,Jacob Leinenkugel Brewing Company,American Amber / Red Ale,Island Ale,1127
5.00 %,Yeastie Boys,American Amber / Red Ale,Hud-a-wa ' Strong,1128
6.80 %,Blue Tractor BBQ & Brewery,American Amber / Red Ale,Red Barn Amber Ale,1129
-,Haymarket Pub & Brewery,American Amber / Red Ale,Jananna Dance Red Headed Ale,1130
5.50 %,Independence Brewing Co. .,American Amber / Red Ale,Independence Rood,1131
-,Lawson 's Finest Liquids,American Amber / Red Ale,Equinox Extra XPA,1132
7.50 %,Woodcock Brothers Brewing Company,American Amber / Red Ale,Woodcock Brothers Amber,1133
-,Blind Tiger Brewery & Restaurant,American Amber / Red Ale,Little Red Corvette,1134
-,Modus Operandi Brewing Co. .,American Amber / Red Ale,The Former Tenant,1135
-,Crystal Springs Brewing Company,American Amber / Red Ale,South Ridge Amber Ale,1136
7.30 %,Glasstown Brewing Co. .,American Amber / Red Ale,Glasstown Founders Ale,1137
7.00 %,Mountain Toad Brewing,American Amber / Red Ale,Apex Amber,1138
6.60 %,Cervejaria DaDo Bier,American Amber / Red Ale,DaDo Bier Red Ale,1139
-,Epic Ales,American Amber / Red Ale,Simple Ale,1140
6.00 %,Downtown Joe 's American Bar And Grill,American Amber / Red Ale,Tail Waggin ' Amber Ale,1141
-,Denizens Brewing Co. .,American Amber / Red Ale,Big Red Norm,1142
7.60 %,Coastal Empire Beer Co. .,American Amber / Red Ale,Southern Delight,1143
5.20 %,Caldera Brewing Company,American Amber / Red Ale,Caldera Big Island Red Sea,1144
8.80 %,Blue Pants Brewery,American Amber / Red Ale,Big & Tall # 2,1145
9.00 %,Roosters Brewing Company and Restaurant,American Amber / Red Ale,Two-Bit Amber,1146
4.00 %,Institution Ale Company,American Amber / Red Ale,Sedation,1147
4.00 %,Roscoe Beer Co. .,American Amber / Red Ale,Trout Town Rainbow Red Ale,1148
7.50 %,The Beer 'd Brewing Co. .,American Amber / Red Ale,Get To The Choppa,1149
9.10 %,Great Baraboo Brewing Company,American Amber / Red Ale,Snake Eye Canyon Red Ale,1150
5.20 %,Bold City Brewery,American Amber / Red Ale,European Street Cafe Lamp Post Ale,1151
-,Aeronaut Brewing Company,American Amber / Red Ale,Red Galaxy,1152
6.70 %,Boxing Cat Brewery,American Amber / Red Ale,Ring Side Red,1153
5.20 %,Omaha Jack 's Grillhouse & Brewery,American Amber / Red Ale,Jacked Up Red,1154
8.00 %,Rock Bottom Restaurant & Brewery,American Amber / Red Ale,North Star Amber Ale,1155
5.00 %,Beaver Brewing Company,American Amber / Red Ale,Basil,1156
5.10 %,White Lion Brewing Company,American Amber / Red Ale,Insane Mane Red Ale,1157
-,District ChopHouse & Brewery,American Amber / Red Ale,Velvet Amber,1158
5.40 %,Wicked Weed Brewing,American Amber / Red Ale,Mint Julep,1159
9.70 %,Big Rock Brewery,American Amber / Red Ale,Henry Hudson 's Bale House Ale,1160
5.00 %,Sockeye Grill & Brewery,American Amber / Red Ale,Angel 's Perch Amber,1161
4.50 %,Double Barley Brewing,American Amber / Red Ale,Give Em Hell,1162
10.40 %,Old Schoolhouse Brewery,American Amber / Red Ale,Blazing Amber,1163
6.80 %,Al 's of Hampden / Pizza Boy Brewing,American Amber / Red Ale,Journeymen,1164
4.50 %,Kinnegar Brewing Company,American Amber / Red Ale,Devil 's Backbone,1165
4.90 %,Starkey 's Lookout,American Amber / Red Ale,Belgian Amber,1166
-,Kingdom Brewing,American Amber / Red Ale,Round Barn Red,1167
6.80 %,Kassik 's Kenai Brew Stop,American Amber / Red Ale,Orion 's Quest Red Ale,1168
5.00 %,Lynnwood Grill & Brewing Concern,American Amber / Red Ale,Bill & Ted 's Excellent Amber,1169
6.50 %,Lakewood Brewing Company,American Amber / Red Ale,Lakewood Manimal,1170
6.00 %,Fair Winds Brewing Company,American Amber / Red Ale,Running Light Red,1171
5.10 %,Prescott Brewing Company,American Amber / Red Ale,Manzanita Red,1172
7.00 %,Tahoe Mountain Brewing Co. .,American Amber / Red Ale,Ranch Dog Red,1173
5.00 %,Vancouver Island Brewery,American Amber / Red Ale,High Trail Honey Ale,1174
6.00 %,Bottle Logic Brewing,American Amber / Red Ale,Red-Ioactive,1175
5.10 %,Books & Brews,American Amber / Red Ale,Shogun Soba,1176
8.50 %,Island Hoppin ' Brewery,American Amber / Red Ale,Old Madrona,1177
9.20 %,BJ 's Chicago Pizza & Brewery Inc. .,American Amber / Red Ale,Brewmaster 's Reserve Imperial Red Ale,1178
8.50 %,Modern Times Beer,American Amber / Red Ale,Mega Blazing World,1179
7.20 %,Sequoia Brewing Company,American Amber / Red Ale,Big Horn,1180
4.00 %,Utah Brewers Cooperative,American Amber / Red Ale,Squatters Respect Your Mother Organic Amber Ale,1181
5.30 %,Spoonwood Brewing Company,American Amber / Red Ale,Smoke & Oats,1182
5.80 %,Bog Iron Brewing,American Amber / Red Ale,Slap Happy,1183
4.50 %,612 Brew,American Amber / Red Ale,Main Stage - Amber Ale,1184
7.80 %,Bullfrog Brewery,American Amber / Red Ale,Dread Double Red Ale,1185
5.70 %,Rustic Road Brewing Company,American Amber / Red Ale,Hazelnut Harvest,1186
5.50 %,Swamp Head Brewery,American Amber / Red Ale,Batch 800 - PB&J Amber Ale,1187
5.00 %,Rogue Ales,American Amber / Red Ale,Chatoe Rogue OREgasmic Ale,1188
5.20 %,Amnesia Brewing,American Amber / Red Ale,Crystal Red,1189
5.70 %,Twelve Bar Brews,American Amber / Red Ale,Turnaround Red,1190
4.80 %,Wicked Weed Brewing,American Amber / Red Ale,Wicked Tea Party,1191
-,Ocean Avenue Brewery,American Amber / Red Ale,Red Sunshine,1192
6.20 %,Sigtuna Brygghus,American Amber / Red Ale,Sigtuna RÃ ¶ d PÃ ¥ sk,1193
6.00 %,Hellbender Brewing Company,American Amber / Red Ale,Red Line Ale,1194
7.30 %,Fargo Brewing Company,American Amber / Red Ale,Mighty Red,1195
9.80 %,Ocelot Brewing Company,American Amber / Red Ale,Hangman,1196
4.50 %,Seven Brides Brewing,American Amber / Red Ale,Emily 's Ember,1197
6.00 %,Hi-Wire Brewing,American Amber / Red Ale,Reds Rye,1198
9.50 %,Bagby Beer Company,American Amber / Red Ale,Hop Whompus,1199
10.00 %,Iron Hill Brewery & Restaurant,American Amber / Red Ale,Hopkowski,1200
5.30 %,Crank Arm Brewing,American Amber / Red Ale,Reflector,1201
5.00 %,Banks ( Barbados ) Breweries Limited,American Amber / Red Ale,Banks Amber Ale,1202
5.00 %,Brasseurs Sans Gluten,American Amber / Red Ale,Glutenberg 8,1203
5.50 %,JoBoy 's Brew Pub,American Amber / Red Ale,Manheim Red,1204
6.00 %,Black Star Co-op Pub & Brewery,American Amber / Red Ale,Double Dee,1205
5.80 %,Three Creeks Brewing Co. .,American Amber / Red Ale,Firestorm Red,1206
5.00 %,Centennial Beer Co. .,American Amber / Red Ale,All American Red Ale,1207
-,Il Vicino Brewery Canteen,American Amber / Red Ale,Dougie Style Amber,1208
5.60 %,Purrumbete Brewing Company ( Red Duck ),American Amber / Red Ale,Red Duck Hoppy Amber,1209
6.20 %,Imperial Oak Brewing,American Amber / Red Ale,Roil Red,1210
5.00 %,Black Forest Brew Haus & Grill,American Amber / Red Ale,Black Forest Grateful Red,1211
5.80 %,Australian Hotel & Brewery,American Amber / Red Ale,Extra Hoppy Ale,1212
7.00 %,Wolf Creek Brewing,American Amber / Red Ale,Timberwolf Bourbon-Oaked Red,1213
-,Northwoods Brewpub and Grill,American Amber / Red Ale,Red Cedar Ale,1214
4.50 %,Galatea Spirits,American Amber / Red Ale,S : t Eriks Amber Ale,1215
8.70 %,Wolf Creek Brewing,American Amber / Red Ale,Mountain Hawk Red Ale,1216
8.00 %,Dead Frog Brewing,American Amber / Red Ale,Hyper Combo Red Rye IPA,1217
12.00 %,Elevator Brewery & Draught Haus,American Amber / Red Ale,Bourbon Barrel Aged Horus Imperial Red,1218
8.70 %,Oskar Blues Grill & Brew,American Amber / Red Ale,Bulleit Bourbon Barrel Aged G'Knight,1219
5.40 %,American Honor Beer Company,American Amber / Red Ale,Declaration Ale,1220
4.80 %,Bilbo 's Pizza,American Amber / Red Ale,Dragon Red Ale,1221
6.50 %,Phat Matt 's Brewing Co. .,American Amber / Red Ale,Phat Matt 's Red,1222
6.80 %,Seabright Brewery,American Amber / Red Ale,Sacrilicious Ale,1223
5.60 %,Third Street Aleworks,American Amber / Red Ale,Stepchild Red Ale,1224
4.40 %,Black Sky Brewery,American Amber / Red Ale,Petal To The Metal,1225
8.00 %,Dead Frog Brewing,American Amber / Red Ale,Red Dragon Imperial Red Ale,1226
7.00 %,LowDown Brewery + Kitchen,American Amber / Red Ale,The Boxer India Red Ale,1227
5.60 %,Blue Corn Brewery,American Amber / Red Ale,Atalaya Amber,1228
-,Fitger 's Brewhouse,American Amber / Red Ale,Daisy Ale,1229
5.50 %,Council Rock Brewery,American Amber / Red Ale,Sleeping Lion Red,1230
5.00 %,Columbia Brewery,American Amber / Red Ale,Kootenay True Ale,1231
5.00 %,Gonzo 's Biggdogg Brewing,American Amber / Red Ale,Burning Sun Red,1232
5.20 %,Main St. Grille & Brewing Company,American Amber / Red Ale,River Rat Amber Ale,1233
5.50 %,Fortnight Brewing Company,American Amber / Red Ale,Coffee Amber,1234
-,Pizza Port Solana Beach,American Amber / Red Ale,Cardiff Chronic,1235
6.10 %,Absolution Brewing Company,American Amber / Red Ale,Cardinal Sin,1236
6.00 %,Klamath Basin Brewing Co. - The Creamery Brew Pub And Grill,American Amber / Red Ale,Crater Lake Amber Ale,1237
5.00 %,TwoDEEP Brewing Co. .,American Amber / Red Ale,Brickhouse,1238
7.80 %,Smokehouse Brewing Co. .,American Amber / Red Ale,Barley 's Red Molly Imp,1239
-,Feather River Brewing Co,American Amber / Red Ale,Honey Ale,1240
5.50 %,Birrificio Indipendente Elav,American Amber / Red Ale,Indie Ale,1241
6.25 %,Anacapa Brewing Company,American Amber / Red Ale,Santa Rosa Red,1242
6.30 %,Warped Wing Brewing Company,American Amber / Red Ale,Irreverent,1243
5.80 %,Spoonwood Brewing Company,American Amber / Red Ale,Cold Drip City,1244
5.00 %,Brothers Craft Brewing,American Amber / Red Ale,Maintop Mountain Ale,1245
6.50 %,Birrificio L'Olmaia,American Amber / Red Ale,L'Olmaia La 9,1246
-,Pisgah Brewing Co. .,American Amber / Red Ale,Pisgah Red Ale,1247
5.20 %,Lumber Barons Brewery,American Amber / Red Ale,Cardinal Red,1248
5.90 %,San Marcos Brewery & Grill,American Amber / Red Ale,San Marcos Red Amber Ale,1249
8.40 %,The Brew Gentlemen Beer Co. .,American Amber / Red Ale,Business Casual,1250
5.70 %,Red Car Brewery and Restaurant,American Amber / Red Ale,Big Red Ale,1251
-,Park Tavern,American Amber / Red Ale,Olmsted Amber,1252
-,Alpine Beer Company,American Amber / Red Ale,Toronado Red,1253
5.50 %,Les Brasseurs du Hameau,American Amber / Red Ale,D'Ham Rousse,1254
7.00 %,Church Brew Works,American Amber / Red Ale,King Crimson,1255
7.70 %,Revelry Brewing Co,American Amber / Red Ale,Small Victories,1256
6.50 %,Claremont Craft Ales,American Amber / Red Ale,Roble 'd,1257
5.60 %,Taft 's Ale House,American Amber / Red Ale,Cherrywood,1258
4.50 %,Lookout Brewing Co. .,American Amber / Red Ale,Topless Amber,1259
4.70 %,Broken Tooth Brewing,American Amber / Red Ale,Northern Lights Amber,1260
5.80 %,BrewCult,American Amber / Red Ale,Keep On Truckin ' Red IPA,1261
6.20 %,Cigar City Brewing,American Amber / Red Ale,IWCB Unite,1262
5.00 %,Microbrasserie La Chouape,American Amber / Red Ale,Rousse,1263
7.00 %,Barley Mow Brewing Company,American Amber / Red Ale,The Huntsman,1264
6.00 %,Stallhagens Bryggeri Ab,American Amber / Red Ale,Stallhagen US Red Ale,1265
7.00 %,Brouwerij De Dochter van de Korenaar,American Amber / Red Ale,AmitiÃ ©,1266
6.20 %,Brasserie Les 2 FrÃ ¨ res,American Amber / Red Ale,Charles Henri Ale AmbrÃ ©,1267
6.04 %,Assawoman Bay Brewing Company,American Amber / Red Ale,Coastal Edge Copper,1268
4.70 %,Cascade Brewing / Raccoon Lodge & Brewpub,American Amber / Red Ale,Red Eye Rye,1269
6.00 %,Angry Erik Brewing,American Amber / Red Ale,RavÃ ¸ l,1270
8.20 %,Siren Craft Brew,American Amber / Red Ale,Liquid Monstrous,1271
5.30 %,Cool Springs Brewery,American Amber / Red Ale,FatBack Amber,1272
4.50 %,Gilgamesh Brewing,American Amber / Red Ale,Pumphouse Copper,1273
5.60 %,Karl Strauss Brewing Company,American Amber / Red Ale,Red Trolley Ale,1274
5.00 %,Broken Bow Brewery,American Amber / Red Ale,Broken Red Ale,1275
5.70 %,Breakwater Brewing,American Amber / Red Ale,Railslide Red,1276
6.10 %,Lagerheads Smokehouse & Brewing Co. .,American Amber / Red Ale,Oktoberfest,1277
7.10 %,Pacific Coast Brewing Company,American Amber / Red Ale,Blue Whale Ale,1278
5.90 %,The Beer 'd Brewing Co. .,American Amber / Red Ale,Crack-of-Noon,1279
5.00 %,Squam Brewing,American Amber / Red Ale,Asquam Amber Ale,1280
7.00 %,Backpocket Brewing,American Amber / Red Ale,Blood On The Blade Red IPA,1281
5.90 %,Six Corners Brew Works,American Amber / Red Ale,Stump Splitter,1282
5.50 %,Baja Brewing Company,American Amber / Red Ale,Peliroja,1283
-,Monterey Coast Brewing,American Amber / Red Ale,Scottish Red,1284
6.00 %,Cannery Brewing Company,American Amber / Red Ale,Vulcan Ale,1285
6.00 %,Bagby Beer Company,American Amber / Red Ale,Absolutely Amber,1286
4.50 %,Microbrasserie Nouvelle-France,American Amber / Red Ale,Nouvelle France Rouge,1287
5.40 %,Cascade Lakes Brewing Co. .,American Amber / Red Ale,Angus MacDougal 's Amber,1288
-,Mad Anthony Brewing Company,American Amber / Red Ale,Mad Anthony Muddy River Amber Ale,1289
-,Big Al Brewing,American Amber / Red Ale,Tutta Bella Amber,1290
5.00 %,Microbrasserie Nouvelle-France,American Amber / Red Ale,MessagÃ ¨ re Red Ale,1291
6.50 %,Casa Bruja,American Amber / Red Ale,Sir Francis,1292
5.00 %,Olds College Teaching Brewery,American Amber / Red Ale,Aggie Ale,1293
5.00 %,Wayward Brewing,American Amber / Red Ale,Charmer,1294
-,Budge Brothers Brewery,American Amber / Red Ale,Spokamber,1295
-,River Company Restaurant & Brewery,American Amber / Red Ale,River Red,1296
5.50 %,Roak Brewing Co. .,American Amber / Red Ale,Mean Street,1297
6.50 %,Brasserie De Brunehaut,American Amber / Red Ale,Brunehaut Organic Belgian Amber Ale,1298
6.20 %,Wormtown Brewery,American Amber / Red Ale,Elm Park Amber,1299
5.50 %,Carneros Brewing Company,American Amber / Red Ale,Morena Ale,1300
6.00 %,Fogbelt Brewing Company,American Amber / Red Ale,Hyperion Red Ale,1301
5.50 %,Hideout Brewing Company,American Amber / Red Ale,Tommy Gun Red,1302
6.50 %,JW Dover Beer & Wine Makers Supplies / Black Box Brewing Co. .,American Amber / Red Ale,Javelin Ale,1303
6.20 %,Grist House Brewing,American Amber / Red Ale,Camp Slap,1304
7.00 %,Snowbank Brewing,American Amber / Red Ale,Colorado Red,1305
6.00 %,Greenbush Brewing Company,American Amber / Red Ale,Postcards From Dongola,1306
5.10 %,Cerveses DeDues S.L.,American Amber / Red Ale,DeDues Original Ale,1307
-,Kannah Creek Brewing Company,American Amber / Red Ale,Winter Soulstiz Robust Red Ale,1308
8.00 %,Ballast Point Brewing Company,American Amber / Red Ale,Calico - Rum Barrel Aged,1309
5.20 %,Cervejaria Rasen Bier Ltda,American Amber / Red Ale,Rasen Bier Ambar,1310
5.00 %,Blue Tractor BBQ & Brewery,American Amber / Red Ale,Smokehouse Amber,1311
6.70 %,Bahamian Brewery Beverage & Co. Ltd. .,American Amber / Red Ale,Virgil Ale,1312
5.70 %,Uncle Billy 's Brew & Que,American Amber / Red Ale,Uncle Billy 's Bitchin ' Camaro,1313
6.20 %,Kannah Creek Brewing Company,American Amber / Red Ale,Vertical Drop Robust Red Ale,1314
6.50 %,Ormond Brewing Company,American Amber / Red Ale,Tomashank,1315
5.40 %,Pacific Beach Ale House,American Amber / Red Ale,Amber Wave,1316
-,Tequesta Brewing Company,American Amber / Red Ale,Oscar `` Red '' Dragon,1317
4.80 %,Wicklow Wolf Brewing Co. .,American Amber / Red Ale,American Amber,1318
6.40 %,Deschutes Brewery,American Amber / Red Ale,Fire King IRA,1319
6.00 %,Lenny Boy Brewing Co. .,American Amber / Red Ale,No-Show Amber,1320
5.00 %,Ferme Brasserie Schoune,American Amber / Red Ale,_ rable Rouge,1321
6.00 %,Mudhook Brewing Company,American Amber / Red Ale,The Live Bait Amber Ale,1322
4.90 %,Turtle Anarchy Brewing Company,American Amber / Red Ale,Scarlet Harlot,1323
6.20 %,Sigtuna Brygghus,American Amber / Red Ale,Sigtuna Red Ale,1324
5.25 %,Hopvine Brewing Company,American Amber / Red Ale,Aurora Amber,1325
-,Tahquamenon Falls Brewery & Pub,American Amber / Red Ale,Falls Tannin,1326
6.70 %,Ladyface Ale Companie,American Amber / Red Ale,Agoura Ale,1327
7.50 %,Mornington Peninsula Brewery,American Amber / Red Ale,Mornington Peninsula Imperial Amber,1328
5.70 %,BrickHouse Brewery,American Amber / Red Ale,BrickHouse Red,1329
9.00 %,Allentown Brew Works,American Amber / Red Ale,Very Special Ale,1330
-,John Harvard 's Brewery & Ale House,American Amber / Red Ale,Colonial Red,1331
4.60 %,Tool Shed Brewing,American Amber / Red Ale,Unite Red,1332
0.00 %,American Amber / Red Ale,5,Amber Guerre __ Ground Zero Beer,1333
4.50 %,Cigar City Brewing,American Amber / Red Ale,Sun Spear,1334
6.50 %,HammerHeart Brewing Company,American Amber / Red Ale,Brekkefossenvann,1335
8.50 %,Triple C Brewing Co. .,American Amber / Red Ale,Imperial Smoked Amber,1336
5.60 %,Ruhstaller,American Amber / Red Ale,Nugget Ale,1337
5.00 %,Big Texan Brewery,American Amber / Red Ale,Jack Rabbit Red,1338
5.20 %,SkellefteÃ ¥ Bryggeri AB,American Amber / Red Ale,Kallholmen Levande Ale,1339
6.20 %,Breakside Brewery,American Amber / Red Ale,Guava IRA,1340
-,Brasserie Uberach,American Amber / Red Ale,Doigt De Dieu,1341
