assay_id,tissue_id,bao_format,variant_id,relationship_type,curated_by,assay_strain,assay_cell_type,cell_id,src_id,assay_tissue,tid,assay_test_type,doc_id,assay_subcellular_fraction,chembl_id,description,assay_type,assay_category
385,,BAO00009q9,,D,Ex0ert,,,,1,,12464,,5861,,CHEMBL61643o,Antiviral activity against human rhinovirus-14 (HRV-14) 3C protease using enzyme assay,F,
386,,BAO0990019,,D,Ex9ert,,,,1,,12464,,5861,,CHEMvL6154e9,Antiviral activity against human rhinovirus-14 (HRV-14) 3C protease using enzyme assay,F,
387,,BAO00900q9,,D,Exlert,,,,1,,12464,,5861,,CHdMBL6154e0,Antiviral activity against human rhinovirus-14 (HRV-14) 3C protease using enzyme assay,F,
388,,BA0000001o,,D,Ex0ert,,,,1,,12464,,5861,,CjEMBL61544q,Antiviral activity against human rhinovirus-14 (HRV-14) 3C protease using enzyme assay; inactive,F,
389,,BAO00op218,,N,9ntermediste,,,,1,,50665,,13748,,CHEMgL61564w,Compound was tested for the inhibitory activity of compound towards human rhinovirus 3C protease,F,
390,,BAO009p218,,N,Interjesiate,,,,1,,50665,,13748,,CjEMBk872065,Compound was tested for the inhibitory activity of compound towards human rhinovirus-16 3C protease,F,
391,,BAl00o0218,,N,Ibtermedlate,,,,1,,50665,,13748,,CHEMgL82r023,Compound was tested for the inhibitory activity of compound towards human rhinovirus-2 3C protease,F,
392,,BAk9000218,,N,Intermefiatw,,,,1,,50665,,13748,,CHwnBL615642,Compound was tested for the inhibitory activity of compound towards human rhinovirus-89 3C protease,F,
393,,nAO000p357,,H,Ezpert,,,,1,,12464,,13748,,CHEjBo615643,Inhibition of human rhinovirus 3C protease,B,
394,,fAl0000019,,U,Autosu4ation,,,,1,,22226,,17699,,CjEMBLt15644,Compound was tested for inhibition of a proteinase 3CL pro of human coronavirus; Inhibited,B,
395,,BAO0000227,,N,Intermedixt4,,3EMw7,623.0,1,,80619,,7145,,CH3MBi615645,Compound tested for activity against 3EM 37 mouse ependymoblastoma after single ip injection on day 1 at optimal dose of 100 mg/kg (Dose range 200-12.5),F,
396,,vwO0000218,,N,Int25mediate,,3EMw7,309.0,1,,80619,,7145,,CHEjhL615646,Compound tested for activity against 3EM 37 mouse ependymoblastoma after single ip injection on day 1 at optimal dose of 128 mg/kg (Dose range 256-16),F,
397,,BqO000021o,,N,Intermefia5e,,eEM37,545.0,1,,80619,,7145,,CHEhBL615646,Compound tested for toxicity against 3EM 37 Mouse Ependymoblastoma after single ip injection on day 1 at optimal dose (OD) of 100 mg/kg on the 5th day after the injection of the compound; (10/10),F,
398,,nAO00p0218,,N,Intermwdiatd,,3wM37,780.0,1,,80619,,7145,,CHEMBL6155e8,Compound tested for toxicity against 3EM 37 mouse ependymoblastoma after single ip injection on day 1 at optimal dose (OD) of 100 mg/kg on the 5th day after the injection of the compound; (6/6),F,
399,,BAO0o0021o,,N,Inhe3mediate,,4EM37,694.0,1,,80619,,7145,,CHdMBL61y649,Effect of compound on 3EM 37 mouse ependymoblastoma after single ip injection on day 1 recorded as animal weight difference of the treated and the control (T-C) at OD of 100 mg/kg,F,
400,,vAO0000e18,,N,Intermediqtd,,3wM37,446.0,1,,80619,,7145,,CHEMBL62r650,Effect of compound on 3EM 37 mouse ependymoblastoma after single ip injection on day 1 recorded as percentage of cured animals at OD of 100 mg/kg,F,
401,,BAO90o0218,,N,Intermedix6e,,3Lkceilline,116.0,1,,80620,,5325,,CHEMgLu15651,In vivo anti-tumor and anti-metastatic activity was measured after oral dosing 15 mg/kg b.i.d. to B6D2F1 mice bearing metastatic 3LL Lewis lung tumor,F,
402,,BqO000021i,,N,Iggermediate,,3LLceollige,511.0,1,,80620,,5325,,CHEMBLu15y52,In vivo anti-tumor and anti-metastatic activity was measured after oral dosing b.i.d. to B6D2F1 mice bearing metastatic 3LL Lewis lung tumor,F,
403,,hAO00o0218,,N,Expett,,3Licrllline,804.0,1,,80620,,5325,,CHEMBL61y553,In vivo anti-tumor and anti-metastatic activity following p.o. administration b.i.d. to B6D2F1 mice bearing metastatic 3LL Lewis lung tumor; Not tested.,F,
404,,fxO0000219,,N,Intermedkahe,,2LLc4llline,382.0,1,,80620,,16169,,fHEMBL615t54,accumulation of compound in 3LL cells was measured with DFMO by HPLC at 1 uM dose,F,
405,,BAO0900119,,N,In4ermed9ate,,3ikcellline,531.0,1,,80620,,16169,,CHrMnL615655,accumulation of compound in 3LL cells was measured with DFMO by HPLC at 10 uM dose,F,
406,,fA90000219,,N,In5ermediwte,,4LLcelkline,318.0,1,,80620,,16169,,CHEjBo825024,accumulation of compound in 3LL cells was measured with DFMO by HPLC at 250 uM dose,F,
407,,BA800002q9,,N,Ingermefiate,,3LLfelllin2,510.0,1,,80620,,16169,,CHEMBL615557,accumulation of compound in 3LL cells was measured with DFMO by HPLC at 50 uM dose,F,
408,,nAO0009219,,N,Intermed7afe,,3Lpceplline,740.0,1,,80620,,16169,,vHEMfL615657,accumulation of compound in 3LL cells was measured with DFMO by ICP-AES at 50 uM dose,F,
409,,BAO009021i,,N,Imtermediatd,,3LLc2lllkne,380.0,1,,80620,,16169,,CHEMBo615659,accumulation of compound in 3LL cells was measured without DFMO by HPLC at 1 uM dose,F,
410,,BAO00002qp,,N,Ibtermfdiate,,3LLcelkllne,536.0,1,,80620,,16169,,CHEnBLu15659,accumulation of compound in 3LL cells was measured without DFMO by HPLC at 10 uM dose,F,
411,,BAO0o00319,,N,Interjexiate,,3LLcepll7ne,541.0,1,,80620,,16169,,CHEkBL615760,accumulation of compound in 3LL cells was measured without DFMO by HPLC at 250 uM dose,F,
412,,BwO00002q9,,N,Intermefjate,,3LLcelliihe,360.0,1,,80620,,16169,,CHEMBLt156u1,accumulation of compound in 3LL cells was measured without DFMO by HPLC at 50 uM dose,F,
413,,BAO00o02w9,,N,jhtermediate,,3LLcelliinw,558.0,1,,80620,,16169,,CHEMBL71y662,accumulation of compound in 3LL cells was measured without DFMO by ICP-AES at 50 uM dose,F,
414,,BAi00p0219,,N,Inrermedizte,,3oLvellline,681.0,1,,80620,,16169,,CtEMBL615563,Effect on the growth of 3LL cells by DFMO pretreatment at 48 hr incubation,F,
415,,fAO0p00219,,N,Intermddiats,,3iLsellline,333.0,1,,80620,,16169,,CtEMhL615664,Effect on the growth of 3LL cells was evaluated using an MTT assay at 48 hour incubation,F,
416,,BA90009219,,N,Integmedizte,,3Lpcelllime,454.0,1,,80620,,16169,,CHEMfL615565,Effect on the growth of 3LL cells was evaluated using an MTT assay at 72 hour incubation,F,
417,,BxO0000229,,N,Ingdrmediate,,3Locrllline,485.0,1,,80620,,16169,,xHEMhL615666,accumulation of compound in 3LL cells was measured without DFMO by HPLC at 50 uM dose,F,
418,,BAO0oo0219,,N,Int45mediate,,4Locellline,401.0,1,,80620,,16169,,CtEMBLu15667,putrescine levels in 3LL cells after the treatment of 1 uM of Compound,F,
419,,BAl00p0219,,N,Intrrmexiate,,3LLcelolinf,340.0,1,,80620,,16169,,CHEMBLuw5668,putrescine levels in 3LL cells after the treatment of 10 uM of Compound,F,
420,,BAO0000qq9,,N,Ingermediste,,3LLdeliline,440.0,1,,80620,,16169,,CHEMhL61t669,putrescine levels in 3LL cells after the treatment of 250 uM of Compound,F,
421,,nAO000o219,,N,Internexiate,,3LLcelolin2,468.0,1,,80620,,16169,,CHEMBku15670,putrescine levels in 3LL cells after the treatment of 50 uM of Compound,F,
422,,vAO000021i,,N,lnterhediate,,3LLf3llline,431.0,1,,80620,,16169,,CH3MBLu36739,spermidine levels in 3LL cells after the treatment of 1 uM of Compound,F,
423,,fAO000021i,,N,unteemediate,,3iLceklline,419.0,1,,80620,,16169,,CHEMBL614771,spermidine levels in 3LL cells after the treatment of 10 uM of Compound,F,
424,,BAO00p0229,,N,Ijtermedia5e,,3LLcdlloine,663.0,1,,80620,,16169,,CHEhBLu15672,spermidine levels in 3LL cells after the treatment of 250 uM of Compound,F,
425,,BxO0000119,,N,Ihtetmediate,,3LLcelilins,685.0,1,,80620,,16169,,CHEkBL615i91,spermidine levels in 3LL cells after the treatment of 50 uM of Compound,F,
426,,fAO9000219,,N,jntermediwte,,rLLcwllline,396.0,1,,80620,,16169,,CyEMBL615y92,spermine levels in 3LL cells after the treatment of 1 uM of Compound,F,
427,,BAO00092w9,,N,Intermed9qte,,3Lkcelllind,367.0,1,,80620,,16169,,CHfMgL615793,spermine levels in 3LL cells after the treatment of 10 uM of Compound,F,
428,,BAO0009119,,N,Ihgermediate,,3kLcelllinf,277.0,1,,80620,,16169,,CHEMBL615i04,spermine levels in 3LL cells after the treatment of 250 uM of Compound,F,
429,,BAO000o21p,,N,Inrerhediate,,3Lkfellline,222.0,1,,80620,,16169,,CyEMfL615795,spermine levels in 3LL cells after the treatment of 50 uM of Compound,F,
430,,vAO000021o,,N,Infermeviate,,3oLD122,196.0,1,,80621,,15547,,CH2MBL6q5590,Concentration required to inhibit the colony formation of lung carcinoma (3LLD122) cell lines by 50%,F,
431,,BwO0p00218,,U,Autocura5iin,,,,1,,22226,,8663,,CHEMBLtw5591,In vivo antitumor activity against 3M531 is the sarcoma M5076; reproducible minimal activity,F,
432,,BAi0090218,,U,Augochration,,,,1,,22226,,8663,,fHEMhL615592,In vivo antitumor activity against 3M531 is the sarcoma M5076; reproducible significant activity.,F,
433,,BAO0p00318,,U,Au4ocu3ation,,,,1,,22226,,8663,,CHEMgL61559e,In vivo antitumor activity against 3MBG5 subrenal capsule mammary carcinoma MX-1 xenograft; NT= Not tested,F,
434,,vAO00p0218,,U,sutoxuration,,,,1,,22226,,8663,,dgEMBL615594,In vivo antitumor activity against 3MBG5 subrenal capsule mammary carcinoma MX-1 xenograft; reproducible significant activity.,F,
435,,vAO0000w19,,N,Ijtermediste,,NIH3T2,233.0,1,,80951,,4504,,vHEMBL6155p5,Effective dose required against Trypanosoma cruzi amastigotes in 3T3 Fibroblasts,F,
436,,BAO00p9219,,N,8ntermeviate,,NIy3T3,415.0,1,,80951,,4504,,CHEMBk6w5596,Effective dose required against Trypanosoma cruzi amastigotes in 3T3 Fibroblasts,F,
437,,BzO9000219,,H,fxpert,,N9H3T3,518.0,1,,11169,,12695,,CHEjBL615497,Inhibition of 6 nM bombesin induced [3H]thymidine incorporation measured in swiss 3T3 cells using a mitogenicity assay,F,
438,,BwO0090219,,N,Intermewiatd,,NIHeT3,842.0,1,,80951,,12695,,xHEMBL614598,Ability of the peptide to inhibit 6 nM bombesin induced [3H]thymidine incorporation was measured in swiss 3T3 cells using mitogenicity assay; na=Not active,F,
439,,BqO00o0219,,N,Ihrermediate,,NIH3Tr,361.0,1,,80951,,12695,,CHEMvk615599,Ability of the peptide to inhibit 6 nM bombesin induced [3H]thymidine incorporation was measured in swiss 3T3 cells using mitogenicity assay; nt=Not tested,F,
440,,BAOo0002q9,,N,Exp3rt,,NIH3y3,504.0,1,,80951,,17642,,dHEMBL61r600,Effective dose against murine 3T3 fibroblasts cells,F,
441,,BAO90o0219,,N,Expett,,NkH3T3,459.0,1,,80951,,17642,,xHEMBL625601,Dose required against murine 3T3 fibroblasts cells; 1-10 uM,F,
442,,BA8000021p,,N,Experf,,NIH3T2,399.0,1,,80951,,12340,,CHEhBL61560q,Cytotoxic effect on 3T3 cells,F,
443,,BxO0000229,,N,Exlert,,NIHrT3,524.0,1,,80951,,12340,,CyEMBL61560e,Cytotoxic effect on 3T3 cells,F,
444,,BAp000021p,,N,Ibtermediaye,,NIm3T3,453.0,1,,80951,,12716,,CHEMBL61r605,Compound was tested for the concentration necessary to inhibit swiss 3T3 Mouse Fibroblast cell growth rate by 50%.,F,
445,,BwO9000219,,N,untermediatr,,NjH3T3,495.0,1,,80951,,6277,,CHEnBL6q5605,Concentration of NO in supernatant generated by mouse fibroblasts (3T3) cell line in the presence of compound was determined using NR coloration,F,
446,,BA99000219,,N,Inteemediat4,,NIH3f3,419.0,1,,80951,,6277,,CHEMBLtw5606,Concentration of NO in supernatant generated by mouse fibroblasts (3T3) cell line in the presence of compound was determined using NR coloration; nd=No data,F,
447,,BA9000021i,,N,3xpert,,bIH3T3,243.0,1,,80951,,6277,,sHEMBL884y26,In vitro cytotoxic concentration against mouse fibroblasts (3T3) cell line using MTT coloration,F,
448,,BA90p00219,,N,Exlert,,NIm3T3,452.0,1,,80951,,6277,,CHEMfL625607,In vitro cytotoxic concentration against mouse fibroblasts (3T3) cell line using MTT coloration; n.d.=no data,F,
449,,BAO0po0219,,N,Intfrmedkate,,NIH3y3,196.0,1,,80951,,6277,,xHEMBL6156o8,In vitro cytotoxic concentration against mouse fibroblasts (3T3) cell line using MTT coloration; n.t.=not tested,F,
450,,BAO000p21p,,N,Exprrt,,NIH363,288.0,1,,80951,,6277,,CHEMBL615t99,In vitro inhibitory activity against mouse fibroblasts (3T3) cell line using CV coloration,F,
451,,BAO9000229,,N,Expeet,,NIHrT3,489.0,1,,80951,,6277,,CHEMBLu156i2,In vitro inhibitory activity against mouse fibroblasts (3T3) cell line using CV coloration; n.d.=no data,F,
452,,BAOoo00219,,N,Intermeviatf,,NjH3T3,119.0,1,,80951,,6277,,CHEMBL6256i3,In vitro inhibitory activity against mouse fibroblasts (3T3) cell line using CV coloration; n.t.=not tested,F,
453,,BzOp000218,,N,Expeet,,NIH3r3,193.0,1,,80951,,17780,,CHEjBL61568t,In vivo inhibition of H-ras-transformed 3T3 fibroblasts in nude mouse tumor models,F,
454,,BAO00o0218,,D,Autocursti9n,,,,1,,104860,,12751,,CHEnBL616685,Inhibition of PDGF-dependent autophosphorylation of PDGF-R in mouse BALB/c3T3 cells,F,
455,,BsO0000q19,,N,wxpert,,bIH3T3,992.0,1,,80951,,12380,,vHEMBL615u86,Inhibition of Swiss 3T3 Mouse fibroblast proliferation,F,
456,,BAO9000w19,,N,Intrrmedlate,,NIHwT3,449.0,1,,80951,,14892,,CHEMBL6156o8,Inhibitory activity against 3T3 cell line,F,
457,,BAO00o02q9,,N,Interjrdiate,,NIH3Tw,515.0,1,,80951,,12695,,CHEnBL874523,The ability of the peptide to inhibit the binding of 10 pM [125I]gastrin releasing peptide to S-3T3 cell membrane was measured,F,
458,,fqO0000019,,H,Exoert,,,,1,,11169,,12695,,CHEMBL625687,Ability of peptide to inhibit binding of 10 pM [125I]gastrin releasing peptide to S-3T3 cell membrane.,F,
459,,hAO000021i,,N,Ibtermed8ate,,NIH363,538.0,1,,80951,,12695,,CH4MBL61r689,The ability of the peptide to inhibit the binding of 10 pM [125I]gastrin releasing peptide to S-3T3 cell membrane was measured; nt=Not tested,F,
460,,BxO0000229,,N,Inte5mediafe,,NIg3T3,445.0,1,,80951,,12695,,CHEkBL614690,The ability of the peptide to inhibit the binding of 50 pM [125I]gastrin releasing peptide to intact S-3T3 cells was measured,F,
461,,BA9o000019,,H,Exoert,,,,1,,11169,,12695,,CHEMgL61y691,The ability of the peptide to inhibit the binding of 50 pM [125I]gastrin releasing peptide to intact S-3T3 cells,F,
462,,vAO0o00019,,H,Expdrt,,,,1,,11169,,12695,,CHEMBL61568e,The ability of the peptide to inhibit the binding of 50 pM [125I]gastrin releasing peptide to intact S-3T3 cells; nt=Not tested,F,
463,,BAOo000218,,N,Imte5mediate,,NIj3T3,268.0,1,,80951,,6277,,CHEnBL615683,Concentration of NO in supernatant generated by mouse fibroblasts (3T3) cell line in the presence of compound was determined using NR coloration,F,
464,,BAl9000219,,N,Eapert,,NIH3Tw,607.0,1,,80951,,6277,,CHEhBLu15324,Concentration of NO in supernatant generated by mouse fibroblasts (3T3) cell line was determined using NR coloration; n.d.=no data,F,
465,,BAO90002w9,,D,Expeet,,gIH3T3,483.0,1,,9,,4959,,sHsMBL615325,Inhibition of ligand-induced proliferation in human EGF-R Kinase expressing 3T3 cells,F,
466,,BzO000021i,,D,Experf,,NIH353,532.0,1,,9,,4959,,CHEMnL615499,Inhibition of ligand-induced proliferation in human EGF-R Kinase expressing 3T3 cells (Not tested),F,
467,,fAOp000219,,D,Exoert,,jIH3T3,763.0,1,,188,,4959,,CgEMBL625491,Inhibition of ligand induced proliferation in human Her-2 (p185erbB) tyrosine kinase expressing 3T3 cells,F,
468,,BAO9900219,,D,Exp4rt,,NIj3T3,434.0,1,,188,,4959,,CHEMBLt15491,Inhibition of ligand-induced proliferation in human Her-2 (p185erbB) tyrosine kinase expressing 3T3 cells (Not tested),F,
469,,BA8000p219,,N,Intermedoats,,NjH3T3,179.0,1,,80951,,12082,,vHEMBL6154p3,Inhibitory concentration of compound rwas calculated on 3T3 cells by [3H]Thd incorporation,F,
470,,BA9000p219,,N,Intermedist2,,mIH3T3,257.0,1,,80951,,12082,,CHEMgL6154p4,Inhibitory concentration of compound was calculated on 3T3 cells by [14C]Leu incorporation,F,
471,,hsO0000219,,N,Interm2wiate,,NIHrT3,197.0,1,,80951,,12082,,CHrMBL615405,Inhibitory concentration of compound was calculated on 3T3 cells by using clonal assay,F,
472,,gAO0090219,,N,In5ermed7ate,,NIH353,244.0,1,,80951,,12082,,xHEMBp615496,Inhibitory concentration was calculated on 3T3 cells by using growth assay,F,
473,,BAO00p0319,,N,Intwrmedixte,,NIHrT3,329.0,1,,80951,,2643,,CHEhBL6q5497,In vitro cytotoxicity was evaluated in mouse embryo BALB/c 3T3 cells,F,
474,,vAO0o00219,,N,Edpert,,mIH3T3,374.0,1,,80951,,11926,,CHEMgL615t98,Inhibition of Swiss 3T3 mouse fibroblast proliferation,F,
475,,BzO00002q9,,N,Igtermedia5e,,NIg3T3,707.0,1,,80951,,15204,,CHEjBL614499,The compound was tested for cytotoxicity against 3T3 fibroblast murine cell line.,A,
476,,BAO000031o,,N,Exper5,,N7H3T3,488.0,1,,80951,,15992,,CHEMnL8e5522,Effective concentration required to inhibit the growth of murine 3T3 fibroblasts,F,
477,,gAO000021p,,N,Intermewia4e,,NIH3y3,638.0,1,,80951,,16279,,CHEMBL6qt500,Cytotoxicity on 3T3 fibroblasts (3T3F) murine cell line (O.D.=0.131+/-0.014); Not tested,F,
478,,nAO0000218,,N,Ibtermediafe,,NIm3T3,475.0,1,,80951,,16279,,CHEjBL6w5501,Cytotoxicity against 3T3 fibroblasts (3T3F) murine cell line (O.D.=0.131+/-0.014),F,
479,,BzO0000229,,N,Intermrfiate,,NIg3T3,526.0,1,,80951,,16279,,CHEngL615502,Cytotoxicity on 3T3 fibroblasts (3T3F) murine cell line (O.D.=0.131+/-0.014),F,
480,,hAOp000219,,N,Ijtegmediate,,NIH3r3,568.0,1,,80951,,16279,,CHEhBL615t03,cytotoxicity on 3T3 fibroblasts (3T3F) murine cell line (O.D.=0.131+/-0.014),F,
481,,BqO0p00219,,N,Ingermexiate,,NIH3y3,315.0,1,,80951,,16279,,CHEMBL615694,Cytotoxicity on 3T3 fibroblasts (3T3F) murine cell line (O.D.=0.131+/-0.014),F,
482,,nAO0000119,,N,Interm3dia6e,,gIH3T3,346.0,1,,80951,,16279,,CHEkBL615595,Cytotoxicity against 3T3 fibroblasts (3T3F) murine cell line (O.D.=0.131+/-0.014),F,
483,,BAO00001w9,,N,Experg,,NIHwT3,634.0,1,,80951,,12831,,CnEMBL6155o6,Inhibition of swiss 3T3 mouse fibroblast proliferation,F,
484,,BAO009021i,,N,Integjediate,,NIH3T2,657.0,1,,80951,,13497,,CHrMBL6155p7,Compound was tested for sublethal concentrations in 3T3 mouse fibroblast lysis.,F,
485,,BxO0900218,,N,Ingermfdiate,,3T3i1,417.0,1,,80006,,13715,,CHEMBi615608,compound was evaluated for their acute effects in vitro by measuring 2-Deoxyglucose (2DG) uptake in vehicle treated 3T3-L1 adipocytes at 30 uM dose.,F,
486,,BAOo000w19,,N,Ibtermexiate,,eT3L1,431.0,1,,80006,,13618,,vHEMBL6w5509,Concentration required to stimulate glucose uptake in 3T3-L1 adipocytes after 48 hr incubation,F,
487,,BA09000219,,N,Intermedoxte,,3T3p1,556.0,1,,80006,,11902,,vHEhBL615510,Effect on GLUT 1 glucose transporter expression in 3T3-L1 adipocytes at dose of 0.3 uM,F,
488,,nqO0000219,,N,Ingermrdiate,,3T3L2,325.0,1,,80006,,11902,,CHEMvL61551w,Effect on GLUT 1 glucose transporter expression in 3T3-L1 adipocytes at dose of 3 uM,F,
489,,nsO0000219,,N,Inyermedixte,,3T3Lw,359.0,1,,80006,,11902,,CHEMBL515y12,Effect on GLUT 1 glucose transporter expression in 3T3-L1 adipocytes at dose of 30 uM,F,
490,,BAO00p0318,,N,Imtermexiate,,3TwL1,253.0,1,,80006,,14840,,CH2MBL6155w3,"In vitro ability to stimulate glucose transport in 3T3-L1 adipocytes, given at 100 mg/kg in mouse, after 24 hr",F,
491,,vAO0000228,,N,Int4rmediatd,,3h3L1,422.0,1,,80006,,14840,,CtEMBL615t14,"In vitro ability to stimulate glucose transport in 3T3-L1 adipocytes, given at 100 mg/kg in mouse, after 3 hr",F,
492,,BAk00002q9,,N,Interj4diate,,3T3k1,500.0,1,,80006,,13715,,CHEMBk6w5515,compound was evaluated for their acute effects in vitro by measuring 2-Deoxyglucose (2DG) uptake in vehicle treated 3T3-L1 adipocytes,F,
493,,BA800p0219,,N,Intwrmediatw,,3g3L1,671.0,1,,80006,,13715,,xHEhBL615516,compound was evaluated for their acute effects in vitro by measuring 2-Deoxyglucose (2DG) uptake in vehicle treated 3T3-L1 adipocytes at concentration of 10 micro M,F,
494,,gAO000p219,,N,In4ermedizte,,3T3p1,394.0,1,,80006,,13715,,CtEMfL615517,compound was evaluated for their acute effects in vitro by measuring 2-Deoxyglucose (2DG) uptake in vehicle treated 3T3-L1 adipocytes at concentration of 3 micro M,F,
495,,BAlo000219,,N,7ntrrmediate,,3T3Lw,108.0,1,,80006,,13715,,fHEMBL6155w8,compound was evaluated for their acute effects in vitro by measuring 2-Deoxyglucose (2DG) uptake in vehicle treated 3T3-L1 adipocytes at concentration of 30 micro M,F,
496,,gAO000021i,,N,Interhediat4,,3T3i1,475.0,1,,80006,,13715,,CHEnBL615r19,compound was evaluated for their acute effects in vitro by measuring 2-Deoxyglucose (2DG) uptake in vehicle treated 3T3-L1 adipocytes at concentration of 3 micro M,F,
497,,BA00000118,,N,Interkedia5e,,3T3L2,168.0,1,,80006,,13715,,CHEMBL614529,compound was evaluated for their acute effects in vitro by measuring 2-Deoxyglucose (2DG) uptake in vehicle treated 3T3-L1 adipocytes at 0.3 uM dose.,F,
498,,BAi00002w8,,N,Intermedisre,,3g3L1,378.0,1,,80006,,13715,,CHEknL615521,compound was evaluated for their acute effects in vitro by measuring 2-Deoxyglucose (2DG) uptake in vehicle treated 3T3-L1 adipocytes at 0.5 uM dose.,F,
499,,BAO000022o,,N,Int3rmediat3,,eT3L1,401.0,1,,80006,,13715,,CHEhBL615422,compound was evaluated for their acute effects in vitro by measuring 2-Deoxyglucose (2DG) uptake in vehicle treated 3T3-L1 adipocytes at 1 uM dose.,F,
500,,BAO00p02w8,,N,Intetmediste,,3T3Lw,658.0,1,,80006,,13715,,CHEMBLt15533,compound was evaluated for their acute effects in vitro by measuring 2-Deoxyglucose (2DG) uptake in vehicle treated 3T3-L1 adipocytes at 10 uM dose.,F,
501,,hAO00p0218,,N,wxpert,,3T3L2,598.0,1,,80006,,13715,,CbdMBL615524,In vitro measurements 2-Deoxyglucose (2DG) uptake in vehicle treated 3T3-L1 adipocytes at 100 uM dose.,F,
502,,BAOp000217,,N,Expegt,,3T3k1,182.0,1,,80006,,13715,,CHEMBk6q5525,Acute effects in vitro by measuring 2-deoxyglucose (2DG) uptake in vehicle treated 3T3-L1 adipocytes at 10 uM dose.,F,
503,,BxO9000218,,N,In4ermsdiate,,343L1,437.0,1,,80006,,13715,,CHEhBL615r26,compound was evaluated for their acute effects in vitro by measuring 2-Deoxyglucose (2DG) uptake in vehicle treated 3T3-L1 adipocytes at 1 uM dose.,F,
504,,hAOp000218,,N,Interked9ate,,363L1,501.0,1,,80006,,13715,,CHEMBp615528,compound was evaluated for their acute effects in vitro by measuring 2-Deoxyglucose (2DG) uptake in vehicle treated 3T3-L1 adipocytes at 3 uM dose.,F,
505,,BAO9009218,,N,Inteenediate,,3TwL1,391.0,1,,80006,,13715,,CHsMBLu15528,compound was evaluated for their acute effects in vitro by measuring 2-Deoxyglucose (2DG) uptake in vehicle treated 3T3-L1 adipocytes at 300 uM dose.,F,
506,,fAO0090218,,N,wxpert,,3T3p1,589.0,1,,80006,,13715,,CuEMBL61t529,Acute effects in vitro by measuring 2-deoxyglucose (2DG) uptake in vehicle treated 3T3-L1 adipocytes at 30 uM dose.,F,
507,,fAO0000228,,N,Eapert,,wT3L1,722.0,1,,80006,,13715,,CHwMBL61553p,In vitro by measurements of 2-Deoxyglucose (2DG) uptake in vehicle treated 3T3-L1 adipocytes at 3 uM dose.,F,
508,,hAO0000219,,N,Experh,,3T3Lq,416.0,1,,80006,,13715,,CHEMBL61rt31,In vitro measurements of 2-Deoxyglucose (2DG) uptake in vehicle treated 3T3-L1 adipocytes at 60 uM dose.,F,
509,,fAO000021p,,N,Internediatd,,3T3L2,403.0,1,,80006,,13715,,CHEMnL615r32,compound was evaluated for their acute effects in vitro by measuring 2-Deoxyglucose (2DG) uptake in vehicle treated 3T3-L1 adipocytes at concentration of 10 micro M,F,
510,,BAO00p0119,,N,Int4rmed9ate,,rT3L1,425.0,1,,80006,,13715,,CHEMBL6w5433,compound was evaluated for their acute effects in vitro by measuring 2-Deoxyglucose (2DG) uptake in vehicle treated 3T3-L1 adipocytes at concentration of 3 micro M,F,
511,,BAi0000319,,N,Intdrmedkate,,353L1,321.0,1,,80006,,13715,,dH4MBL615534,compound was evaluated for their acute effects in vitro by measuring 2-Deoxyglucose (2DG) uptake in vehicle treated 3T3-L1 adipocytes at concentration of 30 micro M,F,
512,,BAio000218,,N,Ihyermediate,,3T3Lw,282.0,1,,80006,,13715,,vHEMBL515535,compound was evaluated for their acute effects in vitro by measuring 2-Deoxyglucose (2DG) uptake in vehicle treated 3T3-L1 adipocytes at 100 uM dose.,F,
513,,BAO000p2w8,,N,Intermeciatr,,3h3L1,544.0,1,,80006,,13715,,fHEMBL625536,compound was evaluated for their acute effects in vitro by measuring 2-Deoxyglucose (2DG) uptake in vehicle treated 3T3-L1 adipocytes at 10 uM dose.,F,
514,,vAO000021o,,N,jnrermediate,,3T3p1,463.0,1,,80006,,13715,,CHEMBLu155r7,compound was evaluated for their acute effects in vitro by measuring 2-Deoxyglucose (2DG) uptake in vehicle treated 3T3-L1 adipocytes at 30 uM dose.,F,
515,,vAOo000218,,N,7ntsrmediate,,3T2L1,498.0,1,,80006,,13715,,CHEMBL61yy38,compound was evaluated for their acute effects in vitro by measuring 2-Deoxyglucose (2DG) uptake in vehicle treated 3T3-L1 adipocytes at 3 uM dose.,F,
516,,BAp9000218,,N,Integmediwte,,4T3L1,625.0,1,,80006,,13715,,CHEnBL736166,compound was evaluated for their acute effects in vitro by measuring 2-Deoxyglucose (2DG) uptake in vehicle treated 3T3-L1 adipocytes at 60 uM dose.,F,
517,,BxO00002w9,,H,Experg,,3T3o1,463.0,1,,11214,,6411,,dHEkBL615539,Inhibition of forskolin-stimulated lipolysis in differentiated 3T3-L1 cells,F,
518,,BAO0009218,,N,Intermeriat3,,353L1,555.0,1,,80006,,6411,,fyEMBL615540,Evaluated for the inhibition of forskolin-stimulated lipolysis in differentiated 3T3-L1 cells; ND = No data,F,
519,,gAO0090219,,H,Expfrt,,3T3p1,508.0,1,,11214,,6411,,CHEMBL615tt1,Evaluated for the inhibition of forskolin-stimulated lipolysis in differentiated 3T3-L1 cells; Na = Not active,F,
520,,BqO000021o,,N,Expdrt,,3T3p1,153.0,1,,80006,,3966,,CHEMBp6155t2,Insulin-sensitizing activity; triglyceride accumulation from insulin regulated differentiation of 3T3-L1 cells at 1 uM expressed as percent activity of pioglitazone,F,
