assay_id,assay_type,assay_test_type,assay_tax_id,assay_strain,tid,curated_by,description,src_assay_id,chembl_id,assay_category,doc_id,assay_organism,assay_tissue,assay_cell_type,assay_subcellular_fraction,relationship_type
1602,F,,,,106,Autocuration,The intrinsic activity was evaluated for its ability to inhibit forskolin-stimulated c-AMP formation mediated by cloned 5-hydroxytryptamine 1B receptor in CHO cell line; Antagonist,,CHEMBL616628,,2598,,,CHO,,H
1603,F,,,,106,Autocuration,The intrinsic activity was evaluated for its ability to inhibit forskolin-stimulated c-AMP formation mediated by cloned 5-hydroxytryptamine 1B receptor in CHO cell line; Full Agonist,,CHEMBL616629,,2598,,,CHO,,H
1604,F,,,,106,Autocuration,The intrinsic activity was evaluated for its ability to inhibit forskolin-stimulated c-AMP formation mediated by cloned 5-hydroxytryptamine 1B receptor in CHO cell line; Partial Agonist,,CHEMBL616630,,2598,,,CHO,,H
1605,F,,,,106,Expert,"Efficacy was evaluated relative to human 5-HT1B receptor using [35S]GTP-gamma-S, as radioligand",,CHEMBL616631,,14956,,,,,H
1606,F,,,,106,Autocuration,"Efficacy of compound was evaluated relative to human 5-hydroxytryptamine 1B receptor using [35S]GTP-gamma-S, as radioligand",,CHEMBL616632,,14956,,,,,H
1607,B,,9606.0,,106,Expert,Percentage Maximal inhibition obtained with 1 uM 5-HT against 5-hydroxytryptamine 1B receptor,,CHEMBL616633,,14214,Homo sapiens,,,,D
1608,B,,,,106,Expert,Ability to displace [3H]5-HT from recombinant human 5-hydroxytryptamine 1B receptor stably expressed in CHO cells determined in vitro,,CHEMBL616634,,3463,,,CHO,,H
1609,B,,,,106,Autocuration,Affinity of compound towards 5-hydroxytryptamine 1B receptor was evaluated using radioligand binding technique,,CHEMBL616635,,15331,,,,,H
1610,B,,9606.0,,106,Expert,Binding affinity against 5-hydroxytryptamine 1B receptor,,CHEMBL885358,,16146,Homo sapiens,,,,D
1611,B,,9606.0,,106,Expert,Displacement of [3H]5-HT from human 5-hydroxytryptamine 1B receptor expressed in CHO cells,,CHEMBL616636,,14159,Homo sapiens,,CHO,,D
1612,B,,,,106,Expert,Binding affinity to human cloned 5-hydroxytryptamine 1B receptor in CHO cells by [3H]5-HT binding displacement.,,CHEMBL616637,,14158,,,CHO,,H
1613,B,,,,106,Autocuration,Compound was evaluated for the affinity at 5-hydroxytryptamine 1B receptor,,CHEMBL616638,,14159,,,,,H
1614,B,,,,106,Expert,Displacement of [3H]5-HT binding to cloned 5-hydroxytryptamine 1B receptor stably expressed in CHO cells,,CHEMBL616639,,15250,,,CHO,,H
1615,B,,,,106,Expert,Binding affinity at cloned human 5-hydroxytryptamine 1B receptor stably expressed in CHO cells by [3H]5-HT displacement.,,CHEMBL616640,,15250,,,CHO,,H
1616,B,,,,106,Expert,Displacement of [3H]5-HT binding from the cloned human 5-hydroxytryptamine 1B receptor stably expressed in CHO cells,,CHEMBL616641,,15331,,,CHO,,H
1617,B,,,,106,Expert,Displacement of [3H]5-HT binding from cloned human 5-hydroxytryptamine 1B receptor stably expressed in CHO cells.,,CHEMBL616642,,15332,,,CHO,,H
1618,B,,,,106,Expert,Displacement of specific [3H]5-HT binding to cloned human 5-hydroxytryptamine 1B receptor expressed in CHO cells,,CHEMBL616643,,14956,,,CHO,,H
1619,B,,,,106,Autocuration,In vitro binding affinity against human 5-hydroxytryptamine 1B receptor at a concentration of 100 (nM),,CHEMBL616644,,3805,,,,,H
1620,B,,,,106,Autocuration,Intrinsic activity for each compound is calculated as a percentage of the 5-hydroxytryptamine 1B receptor response,,CHEMBL616645,,14875,,,,,H
1621,F,,9986.0,,105,Autocuration,Compound was tested for 5-hydroxytryptamine 1D like receptor-mediated vascular effect in rabbit saphenous vein (RSV),,CHEMBL616646,,14454,Oryctolagus cuniculus,,,,H
1622,F,,9986.0,,105,Expert,Tested for 5-hydroxytryptamine 1D like receptor-mediated vascular effect in rabbit saphenous vein (RSV),,CHEMBL616647,,14454,Oryctolagus cuniculus,,,,H
1623,B,,,,105,Autocuration,Affinity at 5-hydroxytryptamine 1D receptor (For sumatriptan = Ki (nM)-12+/-1.9),,CHEMBL616509,,16288,,,,,H
1624,B,,,,105,Autocuration,Affinity at 5-hydroxytryptamine 1D receptor from calf caudate using [3H]5-HT as radioligand (For sumatriptan = Ki(nM)-12+/-1.9),,CHEMBL616510,,16288,,,,,H
1625,B,,,,105,Autocuration,Binding affinity against calf caudate 5-hydroxytryptamine 1D receptor,,CHEMBL616511,,16312,,,,,H
1626,B,,9913.0,,105,Expert,Inhibitory activity against 5-hydroxytryptamine 1D receptor subtype,,CHEMBL616512,,1348,Bos taurus,,,,H
1627,B,,9913.0,,105,Autocuration,Inhibitory concentration required against 5-hydroxytryptamine 1D receptor in bovine caudate using [3H]5-HT,,CHEMBL616513,,5834,Bos taurus,,,,H
1628,B,,9913.0,,105,Autocuration,Binding affinity towards 5-hydroxytryptamine 1D receptor was determined in calf striatum homogenate,,CHEMBL616514,,13366,Bos taurus,Striatum,,,H
1629,B,,9913.0,,105,Expert,Ability to bind to 5-hydroxytryptamine 1D receptor of calf substantia nigra,,CHEMBL616515,,1414,Bos taurus,,,,H
1630,B,,9913.0,,105,Autocuration,Binding affinity against 5-hydroxytryptamine 1D receptor in calf caudate homogenates.,,CHEMBL616516,,14998,Bos taurus,,,,H
1631,B,,9913.0,,105,Autocuration,Compound was evaluated for binding affinity towards 5-hydroxytryptamine 1D receptor in bovine caudate using [3H]- serotonin as radioligand,,CHEMBL616517,,11473,Bos taurus,,,,H
1632,B,,9913.0,,105,Autocuration,Compound was evaluated for binding affinity towards 5-hydroxytryptamine 1D receptor in bovine caudate using [3H]- serotonin as radioligand,,CHEMBL616518,,11473,Bos taurus,,,,H
1633,B,,9913.0,,105,Autocuration,Compound was evaluated for its inhibitory activity against 5-hydroxytryptamine 1D receptor of bovine caudate using [3H]5-HT as the radioligand,,CHEMBL616519,,10639,Bos taurus,,,,H
1634,B,,9913.0,,105,Autocuration,Inhibitory activity against 5-hydroxytryptamine 1D receptor of bovine caudate using [3H]5-HT as the radioligand,,CHEMBL616520,,10639,Bos taurus,,,,H
1635,B,,9913.0,,105,Autocuration,Tested in vitro for receptor binding affinity to 5-hydroxytryptamine 1D receptor in bovine caudate using [3H]5-HT radioligand,,CHEMBL616521,,1375,Bos taurus,,,,H
1636,B,,9913.0,,105,Autocuration,Tested in vitro for receptor binding affinity to 5-hydroxytryptamine 1D receptor in bovine caudate using [3H]5-HT radioligand; NT means not tested,,CHEMBL616522,,1375,Bos taurus,,,,H
1637,B,,9913.0,,105,Autocuration,The binding affinity at 5-hydroxytryptamine 1D receptor was determined using [3H]5-CT; Not tested,,CHEMBL884531,,16532,Bos taurus,,,,H
1638,B,,9913.0,,105,Autocuration,Binding affinity towards 5-hydroxytryptamine 1D receptor using [3H]5-HT as radioligand,,CHEMBL616523,,11147,Bos taurus,,,,H
1639,B,,9913.0,,105,Autocuration,Binding affinity towards 5-hydroxytryptamine 1D receptor was determined in calf striatum homogenate,,CHEMBL616731,,13366,Bos taurus,Striatum,,,H
1640,B,,9913.0,,105,Autocuration,Binding affinity was determined against 5-hydroxytryptamine 1D receptor in bovine caudate homogenate,,CHEMBL616732,,10444,Bos taurus,,,,H
1641,B,,9913.0,,105,Autocuration,The binding affinity at 5-hydroxytryptamine 1D receptor was determined using [3H]5-CT,,CHEMBL616733,,16532,Bos taurus,,,,H
1642,B,,9913.0,,105,Autocuration,The binding affinity at 5-hydroxytryptamine 1D receptor was determined using [3H]5-CT; Not tested,,CHEMBL616734,,16532,Bos taurus,,,,H
1643,B,,9913.0,,105,Autocuration,Binding affinity towards 5-hydroxytryptamine 1B receptor in rat frontal cortex membranes using [125]ICYP,,CHEMBL616735,,12827,Bos taurus,,,,H
1644,B,,9913.0,,105,Autocuration,Binding affinity towards 5-hydroxytryptamine 1B receptor in rat frontal cortex membranes using [125]ICYP; Not determined,,CHEMBL616736,,12827,Bos taurus,,,,H
1645,F,,9913.0,,105,Expert,Agonistic activity against 5-hydroxytryptamine 1D receptor in calf caudate using [3H]-GTI,,CHEMBL616737,,12919,Bos taurus,,,,H
1646,B,,9913.0,,105,Autocuration,Affinity pKi for 5-hydroxytryptamine 1D receptor was measured in calf caudate homogenate,,CHEMBL616738,,14025,Bos taurus,,,,H
1647,F,,9913.0,,105,Expert,Agonistic activity against 5-hydroxytryptamine 1D receptor in calf caudate using [3H]-GTI,,CHEMBL616739,,12919,Bos taurus,,,,H
1648,F,,9913.0,,105,Expert,Agonistic activity against 5-hydroxytryptamine 1D receptor in calf caudate using [3H]-GTI,,CHEMBL616740,,12919,Bos taurus,,,,H
1649,F,,9913.0,,105,Expert,Agonistic activity against 5-hydroxytryptamine 1D receptor in calf caudate using [3H]-GTI,,CHEMBL616741,,12919,Bos taurus,,,,H
1650,B,,9593.0,,105,Autocuration,The compound was tested for CNS binding affinity towards 5-hydroxytryptamine 1D receptor from cloned gorilla membranes expressed in cultured HEK 293 cells,,CHEMBL616742,,14447,Gorilla gorilla,,HEK293,,H
1651,B,,10141.0,,105570,Intermediate,Compound was tested for the inhibition of forskolin-stimulated adenylate cyclase at 5-hydroxytryptamine 1D receptor in guinea pig substantia nigra,,CHEMBL616743,,1375,Cavia porcellus,,,,D
1652,B,,10141.0,,105570,Intermediate,Compound was tested for the inhibition of forskolin-stimulated adenylate cyclase at 5-hydroxytryptamine 1D receptor in guinea pig substantia nigra; NT means not tested,,CHEMBL616744,,1375,Cavia porcellus,,,,D
1653,F,,10141.0,,105570,Intermediate,Oral effective dose against hypothermia in the guinea pig caused by stimulation of central 5-hydroxytryptamine 1D receptor by the agonist GR-46611,,CHEMBL616745,,12409,Cavia porcellus,,,,D
1654,F,,10141.0,,105570,Intermediate,Oral effective dose against hypothermia in the guinea pig caused by stimulation of central 5-hydroxytryptamine 1D receptors by the agonist GR-46611,,CHEMBL616746,,12409,Cavia porcellus,,,,D
1655,F,,10141.0,,105570,Intermediate,Oral effective dose against hypothermia in the guinea pig caused by stimulation of central 5-hydroxytryptamine 1D receptors by the agonist GR-46611; range is 2-9,,CHEMBL616747,,12409,Cavia porcellus,,,,D
1656,F,,10141.0,,105570,Intermediate,Oral effective dose against hypothermia in the guinea pig caused by stimulation of central 5-hydroxytryptamine 1D receptors by the agonist GR-46611;range is 0.2-0.4,,CHEMBL616748,,12409,Cavia porcellus,,,,D
1657,F,,10141.0,,105570,Intermediate,Oral effective dose against hypothermia in the guinea pig caused by stimulation of central 5-hydroxytryptamine 1D receptors by the agonist GR-46611;range is 0.2-1.2,,CHEMBL616648,,12409,Cavia porcellus,,,,D
1658,B,,10141.0,,105570,Intermediate,Binding affinity against 5-hydroxytryptamine 1D receptor,,CHEMBL616649,,11574,Cavia porcellus,,,,D
1659,B,,10141.0,,105570,Intermediate,Binding affinity towards guinea pig 5-hydroxytryptamine 1D receptor was determined,,CHEMBL616650,,1558,Cavia porcellus,,,,D
1660,F,,10141.0,,105570,Intermediate,Compound at 3 mg/kg was tested for the inhibition of hypothermia in the guinea pig caused by stimulation of central 5-hydroxytryptamine 1D receptors by the agonist GR-46611,,CHEMBL616651,,12409,Cavia porcellus,,,,D
1661,F,,10141.0,,105570,Intermediate,Compound at 45 mg/kg was tested for the inhibition of hypothermia in the guinea pig caused by stimulation of central 5-hydroxytryptamine 1D receptors by the agonist GR-46611,,CHEMBL616652,,12409,Cavia porcellus,,,,D
1662,F,,10141.0,,105570,Intermediate,Compound at 50 mg/kg was tested for the inhibition of hypothermia in the guinea pig caused by stimulation of central 5-hydroxytryptamine 1D receptors by the agonist GR-46611,,CHEMBL616653,,12409,Cavia porcellus,,,,D
1663,F,,10141.0,,105570,Intermediate,Compound at oral dose of 45 mg/kg was tested for percent inhibition against 5-hydroxytryptamine 1D receptor causes hypothermia in guinea pig,,CHEMBL616654,,12409,Cavia porcellus,,,,D
1664,B,,10141.0,,105570,Intermediate,Binding affinity of 5-hydroxytryptamine 1D receptor using [3H]-8-HT in guinea pig cortex,,CHEMBL616655,,12253,Cavia porcellus,,,,D
1665,B,,10141.0,,105570,Intermediate,Binding affinity against guinea pig 5-hydroxytryptamine 1D receptor,,CHEMBL616656,,12936,Cavia porcellus,,,,D
1666,B,,10141.0,,105,Autocuration,Binding affinity was determined against 5-hydroxytryptamine 4 receptor using [125I]SB 207710 as radioligand from piglet hippocampal membranes,,CHEMBL616657,,13181,Cavia porcellus,,,,H
1667,B,,10141.0,,105570,Intermediate,In vitro binding affinity towards 5-hydroxytryptamine 1D receptor in guinea-pig striatum in presence of BMY-7378 and mesulergine,,CHEMBL616658,,12409,Cavia porcellus,Striatum,,,D
1668,B,,10141.0,,105570,Intermediate,Inhibition of Forskolin-stimulated adenylate cyclase activity against 5-hydroxytryptamine 1D receptor of guinea pig substantia nigra,,CHEMBL616659,,10639,Cavia porcellus,,,,D
1669,B,,,,51,Autocuration,Binding affinity against 5-hydroxytryptamine 1D receptor,,CHEMBL616660,,5254,,,,,H
1670,B,,,,106,Autocuration,The compound was tested for binding affinity against cloned human 5-hydroxytryptamine 1D receptor beta,,CHEMBL616661,,13051,,,,,H
1671,F,,,,105,Expert,Maximum stimulation of [35S]GTP gamma-S binding expressed relative to the maximal effect produced by 5-hydroxytryptamine 1D receptor,,CHEMBL616662,,3463,,,,,H
1672,F,,,,105,Autocuration,Ability to inhibit forskolin-stimulated adenylate cyclase in a cell line expressing human 5-hydroxytryptamine 1D receptor,,CHEMBL616663,,15315,,,,,H
1673,F,,,,105,Autocuration,Ability to inhibit forskolin-stimulated adenylate cyclase activity in Chinese hamster ovary (CHO) stable cell lines expressing human 5-hydroxytryptamine 1D receptor,,CHEMBL616664,,6011,,,,,H
1674,F,,9606.0,,105,Expert,"Stimulation of [35S]GTP-gamma-S, binding in CHO cells expressing 5-hydroxytryptamine 1D receptor",,CHEMBL881820,,14159,Homo sapiens,,CHO,,D
1675,F,,,,105,Autocuration,"Compound was evaluated for the stimulation of [35S]GTP-gamma-S, binding in CHO cells expressing the 5-hydroxytryptamine 1D receptor.",,CHEMBL616665,,14159,,,CHO,,H
1676,B,,,,105,Expert,Agonist-induced [35S]- GTPgammaS binding in CHO cells stably transfected with 5-hydroxytryptamine 1D receptor,,CHEMBL616666,,15250,,,CHO,,H
1677,B,,,,105,Autocuration,Compound was tested for measuring agonist-induced [35S]- GTPgammaS binding in CHO cells stably transfected with human 5-hydroxytryptamine 1D receptor,,CHEMBL616667,,15250,,,CHO,,H
1678,F,,,,105,Expert,"Stimulation of [35S]GTP-gamma-S, binding in CHO cells expressing the 5-hydroxytryptamine 1D receptor",,CHEMBL616668,,15331,,,CHO,,H
1679,F,,9606.0,,105,Expert,"Stimulation of [35S]GTP-gamma-S, binding in CHO cells expressing the 5-hydroxytryptamine 1D receptor",,CHEMBL616669,,15332,Homo sapiens,,CHO,,D
1680,F,,,,105,Expert,"Stimulation of [35S]GTP-gamma-S, binding in CHO cells expressing the human 5-hydroxytryptamine 1D receptor.",,CHEMBL617040,,15332,,,CHO,,H
1681,F,,,,105,Autocuration,"Measurement of agonist induced [35S]GTP-gamma-S, binding in CHO cells stably transfected with 5-hydroxytryptamine 1D receptor",,CHEMBL617041,,3294,,,CHO,,H
1682,F,,,,105,Expert,"Measurement of agonist induced [35S]GTP-gamma-S, binding in CHO cells stably transfected with 5-hydroxytryptamine 1D receptor.",,CHEMBL617042,,14158,,,CHO,,H
1683,F,,,,105,Expert,"Agonist-induced [35S]GTP-gamma-S, binding in CHO cells stably transfected with human 5-hydroxytryptamine 1D receptor",,CHEMBL617043,,14956,,,CHO,,H
1684,F,,,,105,Autocuration,Compound was evaluated for its agonistic activity on 5-hydroxytryptamine 1D receptor,,CHEMBL617044,,12469,,,,,H
1685,F,,,,105,Expert,Measurement of agonist-induced [35S]-GTP gamma-S binding in CHO cells stably transfected with 5-hydroxytryptamine 1D receptor,,CHEMBL617045,,3463,,,CHO,,H
1686,F,,9606.0,,105,Expert,"Maximum stimulation of [35S]GTP-gamma-S, binding in CHO cells expressing human 5-HT-1d relative to 5-HT",,CHEMBL617046,,15250,Homo sapiens,,CHO,,D
1687,F,,9606.0,,105,Expert,"Maximum stimulation of [35S]GTP-gamma-S, binding in CHO cells expressing human 5-HT-1d relative to 5-HT",,CHEMBL617047,,15250,Homo sapiens,,CHO,,D
1688,F,,,,105,Expert,"Efficacy was evaluated relative to human 5-hydroxytryptamine 1D receptor using [35S]GTP-gamma-S, as radioligand",,CHEMBL617048,,14956,,,,,H
1689,F,,,,105,Autocuration,"Maximum stimulation of [35S]GTP-gamma-S, binding expressed relative to the maximal effect produced by 5-hydroxytryptamine 1D receptor.",,CHEMBL616897,,14159,,,,,H
1690,F,,9606.0,,105,Expert,"Maximum stimulation of [35S]GTP-gamma-S, binding to 5-hydroxytryptamine 1D receptor relative to 5-HT",,CHEMBL616898,,14159,Homo sapiens,,,,D
1691,F,,9606.0,,105,Expert,Percent efficacy relative to 5-HT treatment of CHO cells expressing 5-HT 1d receptor,,CHEMBL858201,,14499,Homo sapiens,,CHO,,D
1692,F,,,,105,Autocuration,Intrinsic activity for 5-hydroxytryptamine 1D receptor,,CHEMBL616899,,15315,,,,,H
1693,B,In vitro,,,105,Autocuration,Ability to displace [3H]- -5-HT binding to cloned 5-hydroxytryptamine 1D receptor stably expressed in chinese hamster cells (CHO cells),,CHEMBL616900,,3294,,,,,H
1694,B,,,,105,Expert,Ability to displace [3H]-5-HT from recombinant human 5-hydroxytryptamine 1D receptor stably expressed in CHO cells determined in vitro,,CHEMBL616901,,3463,,,CHO,,H
1695,B,,,,105,Autocuration,Affinity of compound towards 5-hydroxytryptamine 1D receptor was evaluated using radioligand binding technique,,CHEMBL616902,,15331,,,,,H
1696,B,,9606.0,,105,Expert,Displacement of [3H]5-HT from human 5-hydroxytryptamine 1D receptor expressed in CHO cells,,CHEMBL616903,,14159,Homo sapiens,,CHO,,D
1697,B,,,,105,Expert,Binding affinity by displacement to human cloned 5-hydroxytryptamine 1D receptor in CHO cells by [3H]5-HT displacement.,,CHEMBL616904,,14158,,,CHO,,H
1698,B,,,,105,Autocuration,Compound was evaluated for the affinity at 5-hydroxytryptamine 1D receptor,,CHEMBL616905,,14159,,,,,H
1699,B,,,,105,Expert,Binding affinity at human cloned 5-hydroxytryptamine 1D receptor stably expressed in CHO cells by [3H]5-HT displacement.,,CHEMBL616906,,15250,,,CHO,,H
1700,B,,,,105,Expert,Displacement of [3H]5-HT binding to cloned human 5-hydroxytryptamine 1D receptor stably expressed in CHO cells,,CHEMBL616907,,15250,,,CHO,,H
1701,B,,,,105,Expert,Displacement of [3H]5-HT binding from the cloned human 5-hydroxytryptamine 1D receptor stably expressed in CHO cells,,CHEMBL616908,,15331,,,CHO,,H
1702,B,,9606.0,,105,Expert,Displacement of [3H]5-HT binding from human 5-hydroxytryptamine 1D receptor expressed in CHO cells,,CHEMBL616909,,15332,Homo sapiens,,CHO,,D
1703,B,,9606.0,,105,Expert,Displacement of [3H]5-HT from human 5-hydroxytryptamine 1D receptor expressed in CHO cells,,CHEMBL616910,,14499,Homo sapiens,,CHO,,D
1704,B,,,,105,Expert,Displacement of [3H]5-HT binding to the cloned human 5-hydroxytryptamine 1D receptor stably expressed in CHO cells,,CHEMBL616911,,15332,,,CHO,,H
1705,B,,,,105,Expert,Displacement of specific [3H]5-HT binding to cloned human 5-hydroxytryptamine 1D receptor expressed in CHO cells,,CHEMBL616912,,14956,,,CHO,,H
1706,B,,,,105,Autocuration,In vitro binding affinity against human 5-hydroxytryptamine 1D receptor at a concentration of 100 (nM),,CHEMBL616913,,3805,,,,,H
1707,B,,9606.0,,105,Expert,Inhibition of [3H]5-HT binding to human 5-hydroxytryptamine 1D receptor expressed in CHO cells at 1 uM,,CHEMBL616914,,6011,Homo sapiens,,CHO,,D
1708,B,,,,105,Autocuration,Binding affinity against 5-hydroxytryptamine 1D receptor in CHO cells using [3H]5-HT as radioligand,,CHEMBL616915,,16190,,,CHO,,H
1709,B,,,,105,Autocuration,Binding affinity for 5-hydroxytryptamine 1D receptor in Cos-7 transfected cell type using [3H]5-CT as radioligand,,CHEMBL616916,,14165,,,,,H
1710,B,,9606.0,,105,Expert,Binding affinity to cloned human 5-hydroxytryptamine 1D receptor,,CHEMBL616917,,4234,Homo sapiens,,,,D
1711,B,,,,105,Autocuration,"Binding affinity towards 5-HT1D receptor, using [3H]5-HT as radioligand.",,CHEMBL616918,,15527,,,,,H
1712,B,,,,105,Expert,Binding affinity towards human 5-hydroxytryptamine 1D receptor in L-M(tk-) cells using [3H]GR-125743 as radioligand,,CHEMBL616919,,6328,,,,,H
1713,B,,,,105,Autocuration,Binding affinity towards human 5-hydroxytryptamine 1D receptor was determined using [3H]5-HT as radioligand,,CHEMBL616920,,16209,,,,,H
1714,B,,,,105,Autocuration,Binding affinity for recombinant human 5-hydroxytryptamine 1D receptor using [3H]5-HT as radioligand.,,CHEMBL872914,,14770,,,,,H
1715,B,,,,105,Autocuration,Binding affinity was evaluated at human recombinant 5-hydroxytryptamine 1D receptor using [3H]-5-CT as radioligand,,CHEMBL616921,,2598,,,,,H
1716,B,,,,105,Expert,Binding affinity was evaluated at the cloned human 5-hydroxytryptamine 1D receptor,,CHEMBL616922,,6897,,,,,H
1717,B,,,,105,Autocuration,Binding affinity towards 5-hydroxytryptamine 1D receptor,,CHEMBL616923,,6013,,,,,H
1718,B,,,,105,Expert,Binding affinity towards cloned human 5-hydroxytryptamine 1D receptor,,CHEMBL616924,,5843,,,,,H
1719,B,,,,105,Expert,Binding affinity towards human 5-hydroxytryptamine 1D receptor using [3H]5-HT trifluoroacetate as radioligand,,CHEMBL875909,,14454,,,,,H
1720,B,,,,105,Autocuration,Binding affinity towards human 5-hydroxytryptamine 1D receptor using [3H]5-HT trifluoroacetate as radioligand; Not determined,,CHEMBL616925,,14454,,,,,H
1721,B,,,,105,Autocuration,Binding affinity towards human 5-hydroxytryptamine 1D receptor using [3H]5-HT trifluoroacetate as radioligand; not determined,,CHEMBL616926,,14454,,,,,H
1722,B,,,,105,Autocuration,Compound was evaluated for its binding affinity towards human 5-hydroxytryptamine 1D receptor,,CHEMBL616927,,15818,,,,,H
1723,F,,,,105,Expert,Ability to inhibit the forskolin-stimulated c-AMP formation mediated by human 5-hydroxytryptamine 1D receptor in CHO-K1 cells,,CHEMBL616928,,13729,,,CHO-K1,,H
1724,B,In vitro,9606.0,,105,Expert,Displacement of [3H]5-HT from human 5-hydroxytryptamine 1D receptor expressed in Chinese hamster ovary cells (CHO cells),,CHEMBL616929,,6011,Homo sapiens,,,,D
1725,B,,9606.0,,105,Expert,In vitro binding affinity to human 5-hydroxytryptamine 1D receptor,,CHEMBL616930,,4234,Homo sapiens,,,,D
1726,B,,,,105,Expert,In vitro binding affinity by radioligand binding assay using cell line expressing human 5-hydroxytryptamine 1D receptor,,CHEMBL616931,,17085,,,,,H
1727,B,,,,105,Autocuration,In vitro binding affinity was determined towards cloned human 5-hydroxytryptamine 1D receptor using [3H]5-CT radioligand,,CHEMBL616932,,3025,,,,,H
1728,B,,,,105,Expert,In vitro receptor binding affinity for cloned human 5-hydroxytryptamine 1D receptor,,CHEMBL616933,,15315,,,,,H
1729,B,,9606.0,,105,Expert,Receptor binding affinity for cloned human 5-hydroxytryptamine 1D receptor in Cos-7 cells,,CHEMBL616934,,14214,Homo sapiens,,,,D
1730,B,,9606.0,,105,Expert,Binding affinity for human 5-hydroxytryptamine 1D receptor,,CHEMBL616935,,3804,Homo sapiens,,,,D
1731,B,,,,105,Autocuration,The binding affinity towards the 5-hydroxytryptamine 1D receptor; No affinity,,CHEMBL616936,,16700,,,,,H
1732,B,,9606.0,,105,Expert,Affinity for 5-hydroxytryptamine 1D receptor subtype,,CHEMBL616937,,2391,Homo sapiens,,,,D
1733,B,,9606.0,,105,Expert,Binding affinity for human 5-hydroxytryptamine 1D receptor,,CHEMBL616938,,4175,Homo sapiens,,,,D
1734,B,,,,105,Autocuration,In vitro binding affinity by radioligand binding assay using cell line expressing human 5-hydroxytryptamine 1D receptor,,CHEMBL616939,,17085,,,,,H
1735,B,,,,105,Expert,In vitro binding affinity was determined by radioligand binding assay using cell line expressing human 5-hydroxytryptamine 1D receptor; ND means not determined,,CHEMBL616940,,17085,,,,,H
1736,B,,9606.0,,105,Expert,Binding activity against human 5-hydroxytryptamine 1D receptor; NT means not tested,,CHEMBL616941,,15926,Homo sapiens,,,,D
1737,B,,,,105,Autocuration,Binding affinity in CHO-K1 cells transfected with human 5-hydroxytryptamine 1D receptor; Not tested,,CHEMBL616942,,16312,,,CHO-K1,,H
1738,B,,,,105,Autocuration,Binding affinity in CHO-K1 cells transfected with human 5-hydroxytryptamine 1D receptor; not tested,,CHEMBL616943,,16312,,,CHO-K1,,H
1739,B,,,,104802,Autocuration,Selectivity towards 5-HT1D and to that of 5-HT1B in CHO cells,,CHEMBL616944,,14956,,,CHO,,H
1740,F,,,,105,Autocuration,"Maximum stimulation of [35S]GTP-gamma-S, binding expressed relative to the maximal effect produced by the 5-HT",,CHEMBL616945,,3294,,,,,H
1741,B,,,,105,Autocuration,Binding activity radioligand.,,CHEMBL616946,,12861,,,,,H
1742,B,,,,105,Autocuration,Binding activity against 5-hydroxytryptamine 3 receptor from rat cortex homogenate using [3H]-Q-ICS 205-930 as radioligand.,,CHEMBL616947,,12861,,,,,H
1743,B,,,,105,Expert,Binding affinity in CHO-K1 cells transfected with human 5-hydroxytryptamine 1D receptor,,CHEMBL616948,,16312,,,CHO-K1,,H
1744,B,,,,105,Autocuration,Binding affinity for human cloned 5-hydroxytryptamine 1D receptor,,CHEMBL616851,,5104,,,,,H
1745,B,,,,105,Autocuration,Binding affinity for human cloned 5-hydroxytryptamine 1D receptor,,CHEMBL616852,,5105,,,,,H
1746,B,,,,105,Autocuration,Measured as -log Ka on 5-hydroxytryptamine 1D receptor,,CHEMBL616853,,14499,,,,,H
1747,B,,9606.0,,105,Expert,Binding activity against human 5-hydroxytryptamine 1D receptor,,CHEMBL616854,,15926,Homo sapiens,,,,D
1748,B,,9606.0,,105,Expert,Binding affinity to human cloned 5-hydroxytryptamine 1D receptor in CHO cells using [3H]5-HT as radioligand,,CHEMBL616855,,4540,Homo sapiens,,CHO,,D
1749,B,,,,105,Autocuration,Binding affinity towards 5-hydroxytryptamine 1D (human cloned receptor) in CHO cells using [3H]-5-HT as radioligand.,,CHEMBL616856,,15779,,,CHO,,H
1750,B,,,,105,Autocuration,Binding affinity towards 5-hydroxytryptamine 1D (human cloned receptor) in CHO cells using [3H]5-HT as radioligand.,,CHEMBL616857,,15779,,,CHO,,H
1751,B,,,,105,Autocuration,Binding affinity towards cloned human 5-hydroxytryptamine 1D receptor,,CHEMBL616858,,6166,,,,,H
1752,B,,,,105,Autocuration,Binding affinity towards human cloned 5-hydroxytryptamine 1D receptor in CHO cells using [3H]5-HT as radioligand.,,CHEMBL616859,,15779,,,CHO,,H
1753,B,,,,105,Autocuration,Binding affinity towards human cloned 5-hydroxytryptamine 1D receptor in CHO cells using [3H]-5-HT as radioligand.;ND means no data.,,CHEMBL616860,,15779,,,CHO,,H
1754,B,,,,105,Autocuration,Binding constant towards serotonin receptor subtype 5-hydroxytryptamine 1D receptor expressed in HEK 293 cells using [3H]LSD as radioligand,,CHEMBL616861,,17451,,,HEK293,,H
1755,B,,,,105,Autocuration,Binding constant towards serotonin receptor subtype 5-hydroxytryptamine 1D receptor expressed in HEK 293 cells using [3H]LSD as radioligand,,CHEMBL616541,,17451,,,HEK293,,H
1756,B,,,,105,Autocuration,Binding constant towards serotonin receptor subtype 5-hydroxytryptamine 1D receptor expressed in HEK 293 cells using [3H]LSD as radioligand; Not determined,,CHEMBL616542,,17451,,,HEK293,,H
