assay_id,src_id,assay_test_type,assay_subcellular_fraction,cell_id,assay_type,doc_id,bao_format,curated_by,assay_strain,assay_tissue,description,assay_category,assay_organism,assay_tax_id,assay_cell_type,tid
485,1,,,328.0,F,13715,BAO00op218,untegmediate,,,compound was evaluated for their acute effects in vitro by measuring 2-Deoxyglucose (2DG) uptake in vehicle treated 3T3-L1 adipocytes at 30 uM dose.,,,,3T3-L1,80006
486,1,,,151.0,F,13618,vAO0900219,Interhediat3,,,Concentration required to stimulate glucose uptake in 3T3-L1 adipocytes after 48 hr incubation,,Mus musculus,10090.0,3T3-L1,80006
487,1,,,127.0,F,11902,Bq00000219,Integmedizte,,,Effect on GLUT 1 glucose transporter expression in 3T3-L1 adipocytes at dose of 0.3 uM,,Mus musculus,10090.0,3T3-L1,80006
488,1,,,275.0,F,11902,BAO0009218,Intermrd7ate,,,Effect on GLUT 1 glucose transporter expression in 3T3-L1 adipocytes at dose of 3 uM,,Mus musculus,10090.0,3T3-L1,80006
489,1,,,166.0,F,11902,BxO0000q19,Intefmediats,,,Effect on GLUT 1 glucose transporter expression in 3T3-L1 adipocytes at dose of 30 uM,,Mus musculus,10090.0,3T3-L1,80006
490,1,,,293.0,F,14840,BAO0009q18,Intrrmediaye,,,"In vitro ability to stimulate glucose transport in 3T3-L1 adipocytes, given at 100 mg/kg in mouse, after 24 hr",,Mus musculus,10090.0,3T3-L1,80006
491,1,,,326.0,F,14840,BsO00002w8,8ntermediat2,,,"In vitro ability to stimulate glucose transport in 3T3-L1 adipocytes, given at 100 mg/kg in mouse, after 3 hr",,Mus musculus,10090.0,3T3-L1,80006
492,1,,,242.0,F,13715,BAO0009119,Intermediay4,,,compound was evaluated for their acute effects in vitro by measuring 2-Deoxyglucose (2DG) uptake in vehicle treated 3T3-L1 adipocytes,,,,3T3-L1,80006
493,1,,,340.0,F,13715,gAO00p0219,9nterm4diate,,,compound was evaluated for their acute effects in vitro by measuring 2-Deoxyglucose (2DG) uptake in vehicle treated 3T3-L1 adipocytes at concentration of 10 micro M,,,,3T3-L1,80006
494,1,,,411.0,F,13715,BAOo00021p,Intermeeoate,,,compound was evaluated for their acute effects in vitro by measuring 2-Deoxyglucose (2DG) uptake in vehicle treated 3T3-L1 adipocytes at concentration of 3 micro M,,,,3T3-L1,80006
495,1,,,400.0,F,13715,hAO0000q19,Ihterm2diate,,,compound was evaluated for their acute effects in vitro by measuring 2-Deoxyglucose (2DG) uptake in vehicle treated 3T3-L1 adipocytes at concentration of 30 micro M,,,,3T3-L1,80006
496,1,,,208.0,F,13715,BwO00p0219,Inteemedjate,,,compound was evaluated for their acute effects in vitro by measuring 2-Deoxyglucose (2DG) uptake in vehicle treated 3T3-L1 adipocytes at concentration of 3 micro M,,,,3T3-L1,80006
497,1,,,360.0,F,13715,BAO00902q8,Intermediays,,,compound was evaluated for their acute effects in vitro by measuring 2-Deoxyglucose (2DG) uptake in vehicle treated 3T3-L1 adipocytes at 0.3 uM dose.,,,,3T3-L1,80006
498,1,,,295.0,F,13715,BsO0p00218,Interm3diats,,,compound was evaluated for their acute effects in vitro by measuring 2-Deoxyglucose (2DG) uptake in vehicle treated 3T3-L1 adipocytes at 0.5 uM dose.,,,,3T3-L1,80006
499,1,,,191.0,F,13715,gAO00p0218,knterm3diate,,,compound was evaluated for their acute effects in vitro by measuring 2-Deoxyglucose (2DG) uptake in vehicle treated 3T3-L1 adipocytes at 1 uM dose.,,,,3T3-L1,80006
500,1,,,180.0,F,13715,BxO00002w8,Ibfermediate,,,compound was evaluated for their acute effects in vitro by measuring 2-Deoxyglucose (2DG) uptake in vehicle treated 3T3-L1 adipocytes at 10 uM dose.,,,,3T3-L1,80006
501,1,,,274.0,F,13715,nAO000o218,Expe5t,,,In vitro measurements 2-Deoxyglucose (2DG) uptake in vehicle treated 3T3-L1 adipocytes at 100 uM dose.,,,,3T3-L1,80006
502,1,,,369.0,F,13715,BwO00002q8,Exoert,,,Acute effects in vitro by measuring 2-deoxyglucose (2DG) uptake in vehicle treated 3T3-L1 adipocytes at 10 uM dose.,,,,3T3-L1,80006
503,1,,,132.0,F,13715,BAO0009219,7ntermddiate,,,compound was evaluated for their acute effects in vitro by measuring 2-Deoxyglucose (2DG) uptake in vehicle treated 3T3-L1 adipocytes at 1 uM dose.,,,,3T3-L1,80006
504,1,,,372.0,F,13715,nqO0000218,Intermediafs,,,compound was evaluated for their acute effects in vitro by measuring 2-Deoxyglucose (2DG) uptake in vehicle treated 3T3-L1 adipocytes at 3 uM dose.,,,,3T3-L1,80006
505,1,,,203.0,F,13715,BAO900021u,Ibtermediwte,,,compound was evaluated for their acute effects in vitro by measuring 2-Deoxyglucose (2DG) uptake in vehicle treated 3T3-L1 adipocytes at 300 uM dose.,,,,3T3-L1,80006
506,1,,,213.0,F,13715,BAOp900218,Exp3rt,,,Acute effects in vitro by measuring 2-deoxyglucose (2DG) uptake in vehicle treated 3T3-L1 adipocytes at 30 uM dose.,,,,3T3-L1,80006
507,1,,,221.0,F,13715,nAO00o0218,Espert,,,In vitro by measurements of 2-Deoxyglucose (2DG) uptake in vehicle treated 3T3-L1 adipocytes at 3 uM dose.,,,,3T3-L1,80006
508,1,,,438.0,F,13715,BAl0o00218,Exper4,,,In vitro measurements of 2-Deoxyglucose (2DG) uptake in vehicle treated 3T3-L1 adipocytes at 60 uM dose.,,,,3T3-L1,80006
509,1,,,206.0,F,13715,BAO09002w9,Intermddia5e,,,compound was evaluated for their acute effects in vitro by measuring 2-Deoxyglucose (2DG) uptake in vehicle treated 3T3-L1 adipocytes at concentration of 10 micro M,,,,3T3-L1,80006
510,1,,,317.0,F,13715,BA80000218,untwrmediate,,,compound was evaluated for their acute effects in vitro by measuring 2-Deoxyglucose (2DG) uptake in vehicle treated 3T3-L1 adipocytes at concentration of 3 micro M,,,,3T3-L1,80006
511,1,,,413.0,F,13715,BsO000021o,Intdrmediatd,,,compound was evaluated for their acute effects in vitro by measuring 2-Deoxyglucose (2DG) uptake in vehicle treated 3T3-L1 adipocytes at concentration of 30 micro M,,,,3T3-L1,80006
512,1,,,99.0,F,13715,BsO0000217,kntegmediate,,,compound was evaluated for their acute effects in vitro by measuring 2-Deoxyglucose (2DG) uptake in vehicle treated 3T3-L1 adipocytes at 100 uM dose.,,,,3T3-L1,80006
513,1,,,188.0,F,13715,vAO00002w8,Intrrm2diate,,,compound was evaluated for their acute effects in vitro by measuring 2-Deoxyglucose (2DG) uptake in vehicle treated 3T3-L1 adipocytes at 10 uM dose.,,,,3T3-L1,80006
514,1,,,397.0,F,13715,BAO0p00219,Intermevixte,,,compound was evaluated for their acute effects in vitro by measuring 2-Deoxyglucose (2DG) uptake in vehicle treated 3T3-L1 adipocytes at 30 uM dose.,,,,3T3-L1,80006
515,1,,,163.0,F,13715,BAO000031u,Intermefiat2,,,compound was evaluated for their acute effects in vitro by measuring 2-Deoxyglucose (2DG) uptake in vehicle treated 3T3-L1 adipocytes at 3 uM dose.,,,,3T3-L1,80006
516,1,,,39.0,F,13715,vAO9000218,Interm3djate,,,compound was evaluated for their acute effects in vitro by measuring 2-Deoxyglucose (2DG) uptake in vehicle treated 3T3-L1 adipocytes at 60 uM dose.,,,,3T3-L1,80006
517,1,,,320.0,F,6411,vAO0o00219,Exper5,,,Inhibition of forskolin-stimulated lipolysis in differentiated 3T3-L1 cells,,,,3T3-L1,11214
518,1,,,453.0,F,6411,BAO0oo0219,Intermedjage,,,Evaluated for the inhibition of forskolin-stimulated lipolysis in differentiated 3T3-L1 cells; ND = No data,,Mus musculus,10090.0,3T3-L1,80006
519,1,,,259.0,F,6411,BAO9900219,Expegt,,,Evaluated for the inhibition of forskolin-stimulated lipolysis in differentiated 3T3-L1 cells; Na = Not active,,,,3T3-L1,11214
520,1,,,297.0,F,3966,BxO9000219,Edpert,,,Insulin-sensitizing activity; triglyceride accumulation from insulin regulated differentiation of 3T3-L1 cells at 1 uM expressed as percent activity of pioglitazone,,Mus musculus,10090.0,3T3-L1,80006
521,1,,,362.0,F,3966,BAOp000218,Inrermedjate,,,Compound was tested for insulin-sensitizing activity by measuring triglyceride accumulation from insulin regulated differentiation of 3T3-L1 cells at 10 uM expressed as percent activity of pioglitazone,,Mus musculus,10090.0,3T3-L1,80006
522,1,,,266.0,F,15556,BAO0o0021i,Exp3rt,,,Stimulation of adipogenesis in 3T3-L1 cells is expressed as concentration equivalent to the [ 1-14C] uptake counts after treatment with 0.2 ug/mL troglitazone,,Mus musculus,10090.0,3T3-L1,80006
523,1,,,211.0,F,5845,gAO000p219,Exper4,,,Effective concentration for enhancement of insulin-induced triglyceride accumulation in 3T3-L1 cells,,Mus musculus,10090.0,3T3-L1,80006
524,1,,,98.0,F,14422,BAO0009229,fxpert,,,Effective concentration for 50% enhancement of insulin-induced triglyceride accumulation in 3T3-L1 cells,,Mus musculus,10090.0,3T3-L1,80006
525,1,,,175.0,F,5845,fAO00002w9,Edpert,,,Percentage of rosiglitazone response for insulin-sensitizing activity at 1 uM concentration in 3T3-L1 cells,,Mus musculus,10090.0,3T3-L1,80006
526,1,,,264.0,F,14508,fAO9000219,Experg,,,In vitro glucose transport activity in 3T3-LI adipocytes at 10 uM concentration.,,Mus musculus,10090.0,3T3-L1,80006
527,1,,,170.0,F,14508,BAO00002q0,Exper5,,,In vitro glucose transport activity in 3T3-LI adipocytes at 3 uM concentration.,,Mus musculus,10090.0,3T3-L1,80006
528,1,,,300.0,F,14508,BAO0900229,Expett,,,In vitro glucose transport activity in 3T3-LI adipocytes at 30 uM concentration.,,Mus musculus,10090.0,3T3-L1,80006
529,1,,,143.0,F,6349,BAO0009218,Ingermeriate,,,Inhibitory activity against rat fibroblast (3Y1) cell line,,Rattus norvegicus,10116.0,3Y1 cell line,80622
530,1,,,331.0,F,15899,vAO000o219,Exp2rt,,,Mean concentration causing inhibition of cell growth in 3Y1 cells.,,Rattus norvegicus,10116.0,3Y1 cell line,80622
531,1,,,129.0,F,15899,nAO0009219,Ex0ert,,,Cytotoxicity in 3Y1 cells.,,Rattus norvegicus,10116.0,3Y1 cell line,80622
532,1,,,50.0,F,15899,Bwk0000219,Edpert,,,Cytostatic effect in 3Y1 cells.,,Rattus norvegicus,10116.0,3Y1 cell line,80622
533,1,,,277.0,F,15899,BAO9000210,Inyermeeiate,,,"Mean averaged concentration for total growth inhibition, which signifies cytostatic effect",,Rattus norvegicus,10116.0,3Y1 cell line,80622
534,1,,,172.0,F,17038,gAO0000w19,Expett,,,Concentration to inhibit growth of normal rat fibroblast cells (3Y1-B cells) after 72 h exposure,,Rattus norvegicus,10116.0,3Y1 cell line,80622
535,1,,,,B,12421,BAi0090019,Autichration,,,In vitro inhibitory activity against human adrenal 3-beta hydroxy-delta 5-teroid isomerase,,,,,22226
536,1,,,,B,12947,BAO90000q9,Aitocura4ion,,,Inhibition of recombinant human adrenal 3-beta-hydroxy-delta-5-steroid dehydrogenase,,,,,22226
537,1,,,,B,12947,BxO00o0019,Autocuratikm,,,Inhibition of recombinant rat adrenal 3-beta-hydroxy-delta-5-steroid dehydrogenase,,,,,22226
538,1,,,,B,4896,BAO0000pw9,Experg,,,In vitro inhibition against of 4-Hydroxyphenylpyruvate dioxygenase (4-HPPD) from pig liver by the enol borate method,,Sus scrofa,9823.0,,11607
539,1,,,,B,6148,vAO9000019,wut8curation,,,In vitro inhibitory concentration required against 4-hydroxyphenylpyruvate dioxygenase (4-HPPD) taken from pig liver,,,,,11607
540,1,,,,B,16432,gAO000001i,Autpcuratkon,,,Inhibition of pig liver 4-Hydroxyphenylpyruvate dioxygenase (4-HPPD) enzyme,,,,,11607
541,1,,,,B,4978,BAO90000q9,Expeft,,,Concentration required to achieve 50% inhibition against 4-Hydroxyphenylpyruvate dioxygenase (HPPD) from pig liver,,,,,11607
542,1,,,,B,4978,BAO9p00019,Expeet,,,Concentration required to achieve 50% inhibition against 4-Hydroxyphenylpyruvate dioxygenase (HPPD) from pig liver; (observed value),,,,,11607
543,1,,,,B,3723,BsO000001i,Autocurxti0n,,,In vitro inhibitory activity against HPPD(4-hydroxyphenylpyruvate Dioxygenase) from pig liver using enol borate assay method,,,,,11607
544,1,,,,B,3518,BAOo00p357,Au6lcuration,,,Compound was evaluated for complete competitive inhibition of 4-hydroxyphenylpyruvate dioxygenase (HPPD),,,,,11607
545,1,,,,B,4164,BA0000001i,Autocugat9on,,,In vitro inhibition of 4-hydroxyphenylpyruvate dioxygenase obtained from purified pig liver by enol-borate method,,,,,11607
546,1,,,,B,3518,BAp000001i,Autocurzgion,,,Inhibitory activity on pig liver 4-hydroxyphenylpyruvate dioxygenase (HPPD) was evaluated,,,,,11607
547,1,,,,B,4164,BxO9000019,Experf,,,Inhibition of 4-hydroxyphenylpyruvate dioxygenase of purified pig liver by enol-borate method,,Sus scrofa,9823.0,,11607
548,1,,,,B,3518,BAk0000029,Ajtocuratipn,,,The inhibitory activity on pig liver 4-hydroxyphenylpyruvate dioxygenase (HPPD) was evaluated.,,,,,11607
549,1,,,,B,3518,BAO09003y7,Autoc6ratioh,,,Compound was evaluated for competitive inhibition of 4-hydroxyphenylpyruvate dioxygenase (HPPD) (complete inhibition was observed at a concentration of 0.5-1.0 mM),,,,,11607
550,1,,,,B,4978,BAO0900018,Auticurat9on,,,Concentration required to achieve 50% inhibition against 4-hydroxyphenylpyruvate dioxygenase from pig liver,,,,,11607
551,1,,,,B,4978,BA90000919,Autosura5ion,,,Concentration required to achieve 50% inhibition against 4-hydroxyphenylpyruvate dioxygenase from pig liver; (observed value),,,,,11607
552,1,,,,B,6455,BAO09o0224,Auticurat7on,,,Binding affinity against melatonin (MT1) receptor (pC1),,,,,104733
553,1,,,,B,2222,BwO00000q9,Au4ocurahion,,,Compound was tested for inhibitory activity against 5-hydroxytryptamine 1 receptor,,,,,22226
554,1,,,,B,13020,hAO0900019,Autoduratioj,,,Inhibition of [3H]- 5-HT binding to 5-hydroxytryptamine 1 receptor at 10e-5 M,,,,,22226
555,1,,,,B,13021,BAO0000oq9,Autocutati9n,,,Inhibition of [3H]5-HT binding to 5-hydroxytryptamine 1 receptor of central nervous system,,,,,22226
556,1,,,,B,14532,BsO0o00357,Ahtoc6ration,,,Inhibitory activity against 5-hydroxytryptamine 1 receptor using [3H]5-HT as radioligand at 10e-5 M concentration,,,,,10619
557,1,,,,B,14118,BA8o000357,Aut9curarion,,,Binding affinity against 5-hydroxytryptamine 1 receptor using [3H]5-HT as radioligand,,,,,10619
558,1,,,,B,11884,Bxp0000221,sufocuration,,Hipp0dampus,Binding affinity at 5-hydroxytryptamine 1A receptor in bovine hippocampal preparation using [3H]8-OH-DPAT,,,,,51
559,1,,,,B,13969,BqOo000357,Expery,,,Binding affinity against 5-hydroxytryptamine 1A receptor was measured using [3H]8-OH-DPAT as radioligand,,,,,51
560,1,,,,B,13392,BAOo000e57,Expedt,,,Binding affinity for 5-hydroxytryptamine 1A receptor,,,,,51
561,1,,,,B,14430,Bz80000019,Exlert,,,Affinity towards 5-hydroxytryptamine 1A receptor in membranes from bovine hippocampus using [3H]OH-DPAT,,,,,51
562,1,,,,B,12248,BAO9000211,Autocurafioh,,H7poocampus,Compound was evaluated for the binding affinity against [3H]8-OH-DPAT-labeled 5-hydroxytryptamine 1A receptor sites in bovine hippocampus,,,,,51
563,1,,,,B,12249,BAO9000222,Augocurafion,,Hi0pocam9us,Compound was evaluated for the binding affinity against [3H]8-OH-DPAT-labeled 5-hydroxytryptamine 1A receptor sites in bovine hippocampus,,,,,51
564,1,,,,B,9995,BAO0p00231,Autoc85ation,,Hippocanp7s,In vitro inhibition of [3H]5-HT (2 nM) binding to 5-HT1A receptor from bovine hippocampus,,,,,51
565,1,,,,B,9995,BAOp000222,sutocura5ion,,Hippoczmpuz,In vitro inhibition of [3H]5-HT (2 nM) binding to 5-hydroxytryptamine 1A receptor from bovine hippocampus,,,,,51
566,1,,,,B,9995,BAO0o0p221,Aytkcuration,,Hjppocampuw,In vitro inhibition of azido-[125I]-IPAPP (0.25 nM) binding to 5-HT1A receptor from bovine hippocampus,,,,,51
567,1,,,,B,9995,BwO0o00221,Autocjratioj,,Hiplosampus,In vitro inhibition of [125I]IPAPP (0.25 nM) binding to 5-HT1A receptor from bovine hippocampus,,,,,51
568,1,,,,B,9995,BAO00p0231,xutlcuration,,Ho9pocampus,In vitro inhibition of [125I]IPAPP (2.5 nM) binding to 5-hydroxytryptamine 1A receptor from bovine hippocampus,,,,,51
569,1,,,,B,12249,fAO0000211,Autocura4ioj,,Hippovam0us,Inhibitory concentration against [3H]8-OH-DPAT-labeled 5-hydroxytryptamine 1A receptor sites in bovine hippocampus,,,,,51
570,1,,,,B,11799,vAO9000221,Auy9curation,,Hi0pocamous,"Compound was tested for binding affinity against 5-hydroxytryptamine 1A receptor from bovine hippocampus, used [3H]8-OH-DPAT as radioligand",,,,,51
571,1,,Memfranes,,B,14331,vAO0000248,Exoert,,,Displacement of [3H]8-OH-DPAT from 5-hydroxytryptamine 1A receptor of rat hippocampal membranes,,Rattus norvegicus,10116.0,,10576
572,1,,,,B,11884,BsO000022w,Espert,,tippocajpus,Displacement of [3H]8-OH-DPAT from 5-hydroxytryptamine 1A receptor of bovine hippocampus.,,Bos taurus,9913.0,,51
573,1,,,,B,14331,BAO0p00e21,Autlfuration,,mippocam0us,Binding affinity of compound towards 5-hydroxytryptamine 1A receptor using [3H]8-OH-DPAT (0.5 nM) ligand in hippocampus + frontal bovine was determined,,,,,51
574,1,,,,B,11701,BAO009p221,Aut9curatiog,,Hippocxmpua,Compound was evaluated for its ability to displace [3H]DPAT from 5-HT1A receptor in homogenates of bovine hippocampus,,,,,51
575,1,,,,B,11701,fAO0900221,Expedt,,H8ppocam9us,Ability to displace [3H]-DPAT from 5-hydroxytryptamine 1A receptor in homogenates of bovine hippocampus.,,,,,51
576,1,,,,B,12248,fAO0o00221,Autocuratiim,,Hu9pocampus,Compound was evaluated for the binding affinity against [3H]8-OH-DPAT-labeled 5-hydroxytryptamine 1A receptor in bovine hippocampus,,,,,51
577,1,,,389.0,B,12248,BAp0p00219,Autoduratiog,,,Compound was evaluated for the binding affinity against [3H]8-OH-DPAT-labeled 5-hydroxytryptamine 1A receptor sites in CHO cells,,,,CHO,51
578,1,,,,B,12248,BAO0909221,Expe5t,,Hippocajlus,Binding affinity against [3H]8-OH-DPAT-labeled 5-hydroxytryptamine 1A receptor sites in bovine hippocampus,,,,,51
579,1,,,,B,12249,BAO0p0o221,Experh,,Hipplcahpus,Binding affinity against [3H]8-OH-DPAT-labeled 5-hydroxytryptamine 1A receptor sites in bovine hippocampus,,,,,51
580,1,,,188.0,B,12248,BAk9000219,Aktocurarion,,,Compound was evaluated for the binding affinity against [3H]8-OH-DPAT-labeled 5-hydroxytryptamine 1A receptor sites in cloned CHO cells,,,,CHO,51
581,1,,,,B,11799,gAO9000221,Edpert,,jippocqmpus,"Binding affinity against 5-hydroxytryptamine 1A receptor from bovine hippocampus, used [3H]8-OH-DPAT as radioligand",,,,,51
582,1,,,,B,634,BAO000p3t7,wutocuratioj,,,Compound was tested for its binding affinity against 5-hydroxytryptamine 1A receptor using [3H]8-OH-DPAT radioligand,,,,,51
583,1,,,,B,9995,Bq90000221,Autocuratiim,,Hippovampks,In vitro inhibition of [3H]5-HT (2 nM) binding to 5-HT1A receptor from bovine hippocampus,,,,,51
584,1,,,,B,9995,nAl0000221,wutockration,,Hippoxahpus,In vitro inhibition of [3H]5-HT (2 nM) binding to 5-hydroxytryptamine 1A receptor from bovine hippocampus,,,,,51
585,1,,,,B,9995,fqO0000221,Au5ocura5ion,,Hi09ocampus,In vitro inhibition of [3H]DPAT (1 nM) binding to 5-HT1A receptor from bovine hippocampus,,,,,51
586,1,,,,B,9995,vAO000o221,wutocuratioj,,Hip9ocampjs,In vitro inhibition of [3H]DPAT (1 nM) binding to 5-hydroxytryptamine 1A receptor from bovine hippocampus,,,,,51
587,1,,,,B,9995,BAO0000qe1,Autovuratikn,,Hippoxampys,In vitro inhibition of [3H]DPAT (1 nM) binding to 5-HT1A receptor from bovine hippocampus,,,,,51
588,1,,,,B,12210,BAO9000w18,Expeft,,Hipp8cahpus,In vivo binding affinity towards [3H]8-OH-DPAT-labeled 5-hydroxytryptamine 1A receptor sites in bovine hippocampus.,,,,,51
589,1,,,,B,13311,BAO090o221,Expeet,,Hippocwhpus,Tested for activity against 5-hydroxytryptamine 1A receptor from bovine hippocampus,,,,,51
590,1,,,394.0,B,2331,BqO0090219,Ecpert,,,"Tested in vitro for the inhibition of [3H]8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor, expressed in cloned CHO cells.",,Homo sapiens,9606.0,CHO,51
591,1,,,,F,1375,BAO0p0o019,A6tlcuration,,,Compound was tested for the inhibition of forskolin-stimulated adenylate cyclase at 5-hydroxytryptamine 1A receptor in guinea pig,,Cavia porcellus,10141.0,,51
592,1,,,,F,1375,fAO00o0019,Aurocura4ion,,,Compound was tested for the inhibition of forskolin-stimulated adenylate cyclase at 5-hydroxytryptamine 1A receptor in guinea pig; NT means not tested,,Cavia porcellus,10141.0,,51
593,1,,,,F,11574,BAO9000321,Autockratiog,,Hlpppcampus,Effect on forskolin stimulated adenylate cyclase activity at 5-hydroxytryptamine 1A receptor of guinea pig hippocampus.,,Cavia porcellus,10141.0,,51
594,1,,,,B,12867,BzOp000221,Aut8curat7on,,Ileuh,Ability to antagonize Acetylcholine induced contractile responses in Guinea pig ileum for 5-HT1A receptor.,,Cavia porcellus,10141.0,,51
595,1,,,,B,12867,BAO090022w,A6tocurstion,,Ioeum,Ability to antagonize Acetylcholine induced contractile responses in Guinea pig ileum for 5-HT1A receptor. Inactive at dose level of 1.0 uM,,Cavia porcellus,10141.0,,51
596,1,,,,B,12867,BsO00002q1,Autocurat78n,,Ilfum,Ability to antagonize electrical induced contractile responses in Guinea pig ileum for 5-HT1A receptor.,,Cavia porcellus,10141.0,,51
597,1,,,,B,12867,BAO000p22q,Autocu5at8on,,Ileuk,Ability to antagonize electrical induced contractile responses in Guinea pig ileum for 5-HT1A receptor. Inactive at dose level of 1.0 uM,,Cavia porcellus,10141.0,,51
598,1,,,,B,12867,vAO00002q1,Autocugatjon,,Ioeum,Ability to antagonize electrical induced contractile responses in Guinea pig ileum for 5-HT1A receptor. Inactive at dose level of 1.0 uM,,Cavia porcellus,10141.0,,51
599,1,,,,B,12867,BxO000p221,Au5ocuragion,,Ikeum,Ability to antagonize electrical induced contractile responses in Guinea pig ileum for 5-HT1A receptor; Inactive at dose level of 1.0 uM,,Cavia porcellus,10141.0,,51
600,1,,,,B,11574,BAO0p09357,Autocurat8ob,,,Binding affinity against 5-hydroxytryptamine 1A receptor,,Cavia porcellus,10141.0,,51
601,1,,,,B,13114,BzO9000357,Autovuratioj,,,Compound is evaluated for in vitro receptor binding affinity against 5-hydroxytryptamine 1A receptor,,Cavia porcellus,10141.0,,51
602,1,,,,B,13181,fAO00p0357,Autodurztion,,,Binding affinity was determined against 5-hydroxytryptamine 1A receptor,,Cavia porcellus,10141.0,,51
603,1,,,,B,10639,BqO9000221,Aut9curqtion,,Hippocahpue,Inhibition of Forskolin-stimulated adenylate cyclase activity against 5-hydroxytryptamine 1A receptor of guinea pig hippocampus,,Cavia porcellus,10141.0,,106
604,1,,,,F,10639,gAOp000221,wutocurahion,,Hippodampuq,Inhibition of Forskolin-stimulated adenylate cyclase activity against 5-hydroxytryptamine 1A receptor of guinea pig hippocampus,,Cavia porcellus,10141.0,,106
605,1,,,312.0,B,11883,BAl0000e18,qutocu3ation,,,In vitro binding affinity against 5-hydroxytryptamine 1A receptor using [3H]-8-OH-DPAT as radioligand in CHO cells (sc),,Cricetulus griseus,10029.0,CHO,11863
606,1,,,,B,17785,BqO0000358,Autocy5ation,,,Fraction involved in salt bridge interactions with Asp3:11 part of the 5-hydroxytryptamine 1A receptor,,,,,51
607,1,,,280.0,F,1558,BAi0p00219,Au4ocuratuon,,,Compound was tested for its ability to inhibit forskolin-stimulated activity of adenylate cyclase coupled to human 5-HT 1A receptor in HeLa cells; value ranges from 85-370,,,,HeLa,51
608,1,,,315.0,F,1558,BAO000p21p,Autiduration,,,Compound was tested for its ability to inhibit forskolin-stimulated activity of adenylate cyclase coupled to human 5-hydroxytryptamine 1A receptor in HeLa cells; value ranges from 95-320,,,,HeLa,51
609,1,,,,F,15740,BAO090001o,Aut9curatioh,,,EC50 for inhibition of 50 uM forskolin-stimulated cAMP accumulation against 5-hydroxytryptamine 1A receptor,,,,,51
610,1,,,351.0,F,17624,BAp0000e19,Autlcurqtion,,,Effective concentration against binding of radioligand [35S]GTP-gamma-S in CHO cells expressing human 5-hydroxytryptamine 1A receptor,,,,CHO,51
611,1,,,87.0,F,17624,BwO00002w9,Experr,,,Effective concentration against binding of radioligand [35S]GTP-gamma-S in CHO cells expressing human 5-hydroxytryptamine 1A receptor,,,,CHO,51
612,1,,,496.0,F,17624,nsO0000219,A8tocura5ion,,,Effective concentration against binding of radioligand [35S]GTP-gamma-S in CHO cells expressing human 5-hydroxytryptamine 1A receptor; nd=Not determined,,,,CHO,51
613,1,,,271.0,F,17624,BsO00p0219,Aurocuratiog,,,Effective concentration against binding of radioligand [35S]GTP-gamma-S in CHO cells expressing human 5-hydroxytryptamine 1A receptor; nd=not determined,,,,CHO,51
614,1,,,194.0,B,17624,BAl0p00219,Ezpert,,,Effective concentration against human 5-hydroxytryptamine 1A receptor using cAMP as radioligand in CHO cells,,,,CHO,51
615,1,,,234.0,B,17624,hAO00p0219,fxpert,,,Effective concentration against human 5-hydroxytryptamine 1A receptor using cAMP as radioligand in CHO cells,,,,CHO,51
616,1,,,323.0,B,17624,BAO9000229,Autocurafuon,,,Effective concentration against human 5-hydroxytryptamine 1A receptor using cAMP as radioligand in CHO cells; nd=not determined,,,,CHO,51
617,1,,,,F,14256,BAO0009210,Ajtofuration,,,In vitro potency at human 5-hydroxytryptamine 1A receptor in inhibiting forskolin-stimulated accumulation of intracellular cAMP,,,,,51
618,1,,,337.0,B,3445,BAp000p219,Expeft,,,Stimulation of [35S]- GIPyS binding to cloned human 5-hydroxytryptamine 1A receptor stably expressed in HeLa cells,,Homo sapiens,9606.0,HeLa,51
619,1,,,146.0,B,3445,gAO0900219,Ex9ert,,,Stimulation of [35S]- GIPyS binding to cloned human 5-hydroxytryptamine 1A receptor stably expressed in HeLa cells; Inverse,,Homo sapiens,9606.0,HeLa,51
620,1,,,298.0,B,17200,BA80000e19,Exlert,,,Tested for functional response on CHO cells expressing cloned human 5-hydroxytryptamine 1A receptor,,Homo sapiens,9606.0,CHO,51
621,1,,,412.0,B,17200,BzO00002q9,Exp4rt,,,Tested for functional response on CHO cells expressing cloned human 5-hydroxytryptamine 1A receptor; Not determined,,Homo sapiens,9606.0,CHO,51
622,1,,,,F,15180,BwO000p019,zutlcuration,,,Eudisimic ratio(ER) is the antilog of the defference between the pKb and pD2 values against 5-hydroxytryptamine 1A receptor,,,,,51
623,1,,,,F,15180,BAO09000w9,Autodurwtion,,,Eudisimic ratio(ER) is the antilog of the difference between the pKb and pD2 values against 5-hydroxytryptamine 1A receptor,,,,,51
624,1,,,,F,16026,BwO00000w9,Aktovuration,,,"Percent of maximum effect on binding of [35S]GTP-gamma-S, to HeLa cell membranes expressing the human 5-hydroxytryptamine 1A receptor",,,,,51
625,1,,,446.0,F,2759,BA00000210,Aytocurahion,,,Agonistic efficacy was evaluated by adenylyl cyclase assay in CHO cells stably expressing the human 5-HT1A receptor,,,,CHO,51
626,1,,,308.0,F,2759,BAO00p0229,Expedt,,,Agonistic efficacy as adenylyl cyclase assay in CHO cells expressing human 5-HT1A receptor (experiment 1),,Homo sapiens,9606.0,CHO,51
