Fiscal year,Desertification (marker),Project number,Untied amount(Project-level budget),Indigenous issues (marker),Sector ID,ICT as a tool for development (marker),Fund centre ID,Children issues (marker),Programming process (new),Knowledge for development (marker),Division name,Maximum CIDA contribution (project-level),CountryRegion percent,Status,Branch ID,Trade development (marker),Continent name,Organisation class,CountryRegion ID,PBA type,Regional program (marker),Biodiversity (marker),Continent ID,CountryRegion name,Branch name,Division ID,Section ID,Section name,Fund centre name,FSTC percent,IRTC percent,CFLI (marker),CIDA business delivery model (old),Bilateral aid (international marker),Enviromental sustainability (marker),Climate change adaptation (marker),Climate change mitigation (marker)
2009/2010,0,A031004001,9864054.48,0,33110,0,4105,0,Uncoded: Pre-APP,0,OAD Asia Programming,9864054.48,0.2,Closed,B4100,0,Asia,Civil Society,170,Not PBA,1,0,3,South-Eastern Asia,OGM Asia Pacific,D4100,S4126,OAI Indonesia and SEA Regional,SEA Regional,1.0,0.0,0,Directive,1,0,0,0
2009/2010,0,A031004001,9864054.48,0,33110,0,4105,0,Uncoded: Pre-APP,0,OAD Asia Programming,9864054.48,0.2,Closed,B4100,0,Asia,Civil Society,170,Not PBA,1,0,3,South-Eastern Asia,OGM Asia Pacific,D4100,S4126,OAI Indonesia and SEA Regional,SEA Regional,1.0,0.0,0,Directive,1,0,0,0
2009/2010,0,A031006001,9548028.55,0,41010,0,4105,0,Uncoded: Pre-APP,0,OAD Asia Programming,9548028.55,0.142,Closed,B4100,0,Asia,Governmental,170,Not PBA,1,0,3,South-Eastern Asia,OGM Asia Pacific,D4100,S4126,OAI Indonesia and SEA Regional,SEA Regional,1.0,0.0,0,Responsive,1,1,0,0
2009/2010,0,A031006001,9548028.55,0,41010,0,4105,0,Uncoded: Pre-APP,0,OAD Asia Programming,9548028.55,0.142,Closed,B4100,0,Asia,Civil Society,170,Not PBA,1,0,3,South-Eastern Asia,OGM Asia Pacific,D4100,S4126,OAI Indonesia and SEA Regional,SEA Regional,1.0,0.0,0,Responsive,1,1,0,0
2009/2010,0,A031006001,9548028.55,0,41081,0,4105,0,Uncoded: Pre-APP,0,OAD Asia Programming,9548028.55,0.142,Closed,B4100,0,Asia,Governmental,170,Not PBA,1,0,3,South-Eastern Asia,OGM Asia Pacific,D4100,S4126,OAI Indonesia and SEA Regional,SEA Regional,1.0,0.0,0,Responsive,1,1,0,0
2009/2010,0,A031006001,9548028.55,0,41081,0,4105,0,Uncoded: Pre-APP,0,OAD Asia Programming,9548028.55,0.142,Closed,B4100,0,Asia,Civil Society,170,Not PBA,1,0,3,South-Eastern Asia,OGM Asia Pacific,D4100,S4126,OAI Indonesia and SEA Regional,SEA Regional,1.0,0.0,0,Responsive,1,1,0,0
2009/2010,0,A031006001,9548028.55,0,41082,0,4105,0,Uncoded: Pre-APP,0,OAD Asia Programming,9548028.55,0.142,Closed,B4100,0,Asia,Governmental,170,Not PBA,1,0,3,South-Eastern Asia,OGM Asia Pacific,D4100,S4126,OAI Indonesia and SEA Regional,SEA Regional,1.0,0.0,0,Responsive,1,1,0,0
2009/2010,0,A031006001,9548028.55,0,41082,0,4105,0,Uncoded: Pre-APP,0,OAD Asia Programming,9548028.55,0.142,Closed,B4100,0,Asia,Civil Society,170,Not PBA,1,0,3,South-Eastern Asia,OGM Asia Pacific,D4100,S4126,OAI Indonesia and SEA Regional,SEA Regional,1.0,0.0,0,Responsive,1,1,0,0
2009/2010,0,A031006001,9548028.55,0,43030,0,4105,0,Uncoded: Pre-APP,0,OAD Asia Programming,9548028.55,0.142,Closed,B4100,0,Asia,Governmental,170,Not PBA,1,0,3,South-Eastern Asia,OGM Asia Pacific,D4100,S4126,OAI Indonesia and SEA Regional,SEA Regional,1.0,0.0,0,Responsive,1,1,0,0
2009/2010,0,A031006001,9548028.55,0,43030,0,4105,0,Uncoded: Pre-APP,0,OAD Asia Programming,9548028.55,0.142,Closed,B4100,0,Asia,Civil Society,170,Not PBA,1,0,3,South-Eastern Asia,OGM Asia Pacific,D4100,S4126,OAI Indonesia and SEA Regional,SEA Regional,1.0,0.0,0,Responsive,1,1,0,0
2009/2010,0,A031006001,9548028.55,0,41010,0,4105,0,Uncoded: Pre-APP,0,OAD Asia Programming,9548028.55,0.142,Closed,B4100,0,Asia,Governmental,170,Not PBA,1,0,3,South-Eastern Asia,OGM Asia Pacific,D4100,S4126,OAI Indonesia and SEA Regional,SEA Regional,1.0,0.0,0,Responsive,1,1,0,0
2009/2010,0,A031006001,9548028.55,0,41010,0,4105,0,Uncoded: Pre-APP,0,OAD Asia Programming,9548028.55,0.142,Closed,B4100,0,Asia,Civil Society,170,Not PBA,1,0,3,South-Eastern Asia,OGM Asia Pacific,D4100,S4126,OAI Indonesia and SEA Regional,SEA Regional,1.0,0.0,0,Responsive,1,1,0,0
2009/2010,0,A031006001,9548028.55,0,41081,0,4105,0,Uncoded: Pre-APP,0,OAD Asia Programming,9548028.55,0.142,Closed,B4100,0,Asia,Governmental,170,Not PBA,1,0,3,South-Eastern Asia,OGM Asia Pacific,D4100,S4126,OAI Indonesia and SEA Regional,SEA Regional,1.0,0.0,0,Responsive,1,1,0,0
2009/2010,0,A031006001,9548028.55,0,41081,0,4105,0,Uncoded: Pre-APP,0,OAD Asia Programming,9548028.55,0.142,Closed,B4100,0,Asia,Civil Society,170,Not PBA,1,0,3,South-Eastern Asia,OGM Asia Pacific,D4100,S4126,OAI Indonesia and SEA Regional,SEA Regional,1.0,0.0,0,Responsive,1,1,0,0
2009/2010,0,A031006001,9548028.55,0,41082,0,4105,0,Uncoded: Pre-APP,0,OAD Asia Programming,9548028.55,0.142,Closed,B4100,0,Asia,Governmental,170,Not PBA,1,0,3,South-Eastern Asia,OGM Asia Pacific,D4100,S4126,OAI Indonesia and SEA Regional,SEA Regional,1.0,0.0,0,Responsive,1,1,0,0
2009/2010,0,A031006001,9548028.55,0,41082,0,4105,0,Uncoded: Pre-APP,0,OAD Asia Programming,9548028.55,0.142,Closed,B4100,0,Asia,Civil Society,170,Not PBA,1,0,3,South-Eastern Asia,OGM Asia Pacific,D4100,S4126,OAI Indonesia and SEA Regional,SEA Regional,1.0,0.0,0,Responsive,1,1,0,0
2009/2010,0,A031006001,9548028.55,0,43030,0,4105,0,Uncoded: Pre-APP,0,OAD Asia Programming,9548028.55,0.142,Closed,B4100,0,Asia,Governmental,170,Not PBA,1,0,3,South-Eastern Asia,OGM Asia Pacific,D4100,S4126,OAI Indonesia and SEA Regional,SEA Regional,1.0,0.0,0,Responsive,1,1,0,0
2009/2010,0,A031006001,9548028.55,0,43030,0,4105,0,Uncoded: Pre-APP,0,OAD Asia Programming,9548028.55,0.142,Closed,B4100,0,Asia,Civil Society,170,Not PBA,1,0,3,South-Eastern Asia,OGM Asia Pacific,D4100,S4126,OAI Indonesia and SEA Regional,SEA Regional,1.0,0.0,0,Responsive,1,1,0,0
2009/2010,0,A031006001,9548028.55,0,41010,0,4105,0,Uncoded: Pre-APP,0,OAD Asia Programming,9548028.55,0.142,Closed,B4100,0,Asia,Governmental,170,Not PBA,1,0,3,South-Eastern Asia,OGM Asia Pacific,D4100,S4126,OAI Indonesia and SEA Regional,SEA Regional,1.0,0.0,0,Responsive,1,1,0,0
2009/2010,0,A031006001,9548028.55,0,41010,0,4105,0,Uncoded: Pre-APP,0,OAD Asia Programming,9548028.55,0.142,Closed,B4100,0,Asia,Civil Society,170,Not PBA,1,0,3,South-Eastern Asia,OGM Asia Pacific,D4100,S4126,OAI Indonesia and SEA Regional,SEA Regional,1.0,0.0,0,Responsive,1,1,0,0
2009/2010,0,A031006001,9548028.55,0,41081,0,4105,0,Uncoded: Pre-APP,0,OAD Asia Programming,9548028.55,0.142,Closed,B4100,0,Asia,Governmental,170,Not PBA,1,0,3,South-Eastern Asia,OGM Asia Pacific,D4100,S4126,OAI Indonesia and SEA Regional,SEA Regional,1.0,0.0,0,Responsive,1,1,0,0
2009/2010,0,A031006001,9548028.55,0,41081,0,4105,0,Uncoded: Pre-APP,0,OAD Asia Programming,9548028.55,0.142,Closed,B4100,0,Asia,Civil Society,170,Not PBA,1,0,3,South-Eastern Asia,OGM Asia Pacific,D4100,S4126,OAI Indonesia and SEA Regional,SEA Regional,1.0,0.0,0,Responsive,1,1,0,0
2009/2010,0,A031006001,9548028.55,0,41082,0,4105,0,Uncoded: Pre-APP,0,OAD Asia Programming,9548028.55,0.142,Closed,B4100,0,Asia,Governmental,170,Not PBA,1,0,3,South-Eastern Asia,OGM Asia Pacific,D4100,S4126,OAI Indonesia and SEA Regional,SEA Regional,1.0,0.0,0,Responsive,1,1,0,0
2009/2010,0,A031006001,9548028.55,0,41082,0,4105,0,Uncoded: Pre-APP,0,OAD Asia Programming,9548028.55,0.142,Closed,B4100,0,Asia,Civil Society,170,Not PBA,1,0,3,South-Eastern Asia,OGM Asia Pacific,D4100,S4126,OAI Indonesia and SEA Regional,SEA Regional,1.0,0.0,0,Responsive,1,1,0,0
2009/2010,0,A031006001,9548028.55,0,43030,0,4105,0,Uncoded: Pre-APP,0,OAD Asia Programming,9548028.55,0.142,Closed,B4100,0,Asia,Governmental,170,Not PBA,1,0,3,South-Eastern Asia,OGM Asia Pacific,D4100,S4126,OAI Indonesia and SEA Regional,SEA Regional,1.0,0.0,0,Responsive,1,1,0,0
2009/2010,0,A031006001,9548028.55,0,43030,0,4105,0,Uncoded: Pre-APP,0,OAD Asia Programming,9548028.55,0.142,Closed,B4100,0,Asia,Civil Society,170,Not PBA,1,0,3,South-Eastern Asia,OGM Asia Pacific,D4100,S4126,OAI Indonesia and SEA Regional,SEA Regional,1.0,0.0,0,Responsive,1,1,0,0
2009/2010,0,A031006001,9548028.55,0,41010,0,4105,0,Uncoded: Pre-APP,0,OAD Asia Programming,9548028.55,0.142,Closed,B4100,0,Asia,Governmental,170,Not PBA,1,0,3,South-Eastern Asia,OGM Asia Pacific,D4100,S4126,OAI Indonesia and SEA Regional,SEA Regional,1.0,0.0,0,Responsive,1,1,0,0
2009/2010,0,A031006001,9548028.55,0,41010,0,4105,0,Uncoded: Pre-APP,0,OAD Asia Programming,9548028.55,0.142,Closed,B4100,0,Asia,Civil Society,170,Not PBA,1,0,3,South-Eastern Asia,OGM Asia Pacific,D4100,S4126,OAI Indonesia and SEA Regional,SEA Regional,1.0,0.0,0,Responsive,1,1,0,0
2009/2010,0,A031006001,9548028.55,0,41081,0,4105,0,Uncoded: Pre-APP,0,OAD Asia Programming,9548028.55,0.142,Closed,B4100,0,Asia,Governmental,170,Not PBA,1,0,3,South-Eastern Asia,OGM Asia Pacific,D4100,S4126,OAI Indonesia and SEA Regional,SEA Regional,1.0,0.0,0,Responsive,1,1,0,0
2009/2010,0,A031006001,9548028.55,0,41081,0,4105,0,Uncoded: Pre-APP,0,OAD Asia Programming,9548028.55,0.142,Closed,B4100,0,Asia,Civil Society,170,Not PBA,1,0,3,South-Eastern Asia,OGM Asia Pacific,D4100,S4126,OAI Indonesia and SEA Regional,SEA Regional,1.0,0.0,0,Responsive,1,1,0,0
2009/2010,0,A031006001,9548028.55,0,41082,0,4105,0,Uncoded: Pre-APP,0,OAD Asia Programming,9548028.55,0.142,Closed,B4100,0,Asia,Governmental,170,Not PBA,1,0,3,South-Eastern Asia,OGM Asia Pacific,D4100,S4126,OAI Indonesia and SEA Regional,SEA Regional,1.0,0.0,0,Responsive,1,1,0,0
2009/2010,0,A031006001,9548028.55,0,41082,0,4105,0,Uncoded: Pre-APP,0,OAD Asia Programming,9548028.55,0.142,Closed,B4100,0,Asia,Civil Society,170,Not PBA,1,0,3,South-Eastern Asia,OGM Asia Pacific,D4100,S4126,OAI Indonesia and SEA Regional,SEA Regional,1.0,0.0,0,Responsive,1,1,0,0
2009/2010,0,A031006001,9548028.55,0,43030,0,4105,0,Uncoded: Pre-APP,0,OAD Asia Programming,9548028.55,0.142,Closed,B4100,0,Asia,Governmental,170,Not PBA,1,0,3,South-Eastern Asia,OGM Asia Pacific,D4100,S4126,OAI Indonesia and SEA Regional,SEA Regional,1.0,0.0,0,Responsive,1,1,0,0
2009/2010,0,A031006001,9548028.55,0,43030,0,4105,0,Uncoded: Pre-APP,0,OAD Asia Programming,9548028.55,0.142,Closed,B4100,0,Asia,Civil Society,170,Not PBA,1,0,3,South-Eastern Asia,OGM Asia Pacific,D4100,S4126,OAI Indonesia and SEA Regional,SEA Regional,1.0,0.0,0,Responsive,1,1,0,0
2009/2010,0,A031006001,9548028.55,0,41010,0,4105,0,Uncoded: Pre-APP,0,OAD Asia Programming,9548028.55,0.142,Closed,B4100,0,Asia,Governmental,170,Not PBA,1,0,3,South-Eastern Asia,OGM Asia Pacific,D4100,S4126,OAI Indonesia and SEA Regional,SEA Regional,1.0,0.0,0,Responsive,1,1,0,0
2009/2010,0,A031006001,9548028.55,0,41010,0,4105,0,Uncoded: Pre-APP,0,OAD Asia Programming,9548028.55,0.142,Closed,B4100,0,Asia,Civil Society,170,Not PBA,1,0,3,South-Eastern Asia,OGM Asia Pacific,D4100,S4126,OAI Indonesia and SEA Regional,SEA Regional,1.0,0.0,0,Responsive,1,1,0,0
2009/2010,0,A031006001,9548028.55,0,41081,0,4105,0,Uncoded: Pre-APP,0,OAD Asia Programming,9548028.55,0.142,Closed,B4100,0,Asia,Governmental,170,Not PBA,1,0,3,South-Eastern Asia,OGM Asia Pacific,D4100,S4126,OAI Indonesia and SEA Regional,SEA Regional,1.0,0.0,0,Responsive,1,1,0,0
2009/2010,0,A031006001,9548028.55,0,41081,0,4105,0,Uncoded: Pre-APP,0,OAD Asia Programming,9548028.55,0.142,Closed,B4100,0,Asia,Civil Society,170,Not PBA,1,0,3,South-Eastern Asia,OGM Asia Pacific,D4100,S4126,OAI Indonesia and SEA Regional,SEA Regional,1.0,0.0,0,Responsive,1,1,0,0
2009/2010,0,A031006001,9548028.55,0,41082,0,4105,0,Uncoded: Pre-APP,0,OAD Asia Programming,9548028.55,0.142,Closed,B4100,0,Asia,Governmental,170,Not PBA,1,0,3,South-Eastern Asia,OGM Asia Pacific,D4100,S4126,OAI Indonesia and SEA Regional,SEA Regional,1.0,0.0,0,Responsive,1,1,0,0
2009/2010,0,A031006001,9548028.55,0,41082,0,4105,0,Uncoded: Pre-APP,0,OAD Asia Programming,9548028.55,0.142,Closed,B4100,0,Asia,Civil Society,170,Not PBA,1,0,3,South-Eastern Asia,OGM Asia Pacific,D4100,S4126,OAI Indonesia and SEA Regional,SEA Regional,1.0,0.0,0,Responsive,1,1,0,0
2009/2010,0,A031006001,9548028.55,0,43030,0,4105,0,Uncoded: Pre-APP,0,OAD Asia Programming,9548028.55,0.142,Closed,B4100,0,Asia,Governmental,170,Not PBA,1,0,3,South-Eastern Asia,OGM Asia Pacific,D4100,S4126,OAI Indonesia and SEA Regional,SEA Regional,1.0,0.0,0,Responsive,1,1,0,0
2009/2010,0,A031006001,9548028.55,0,43030,0,4105,0,Uncoded: Pre-APP,0,OAD Asia Programming,9548028.55,0.142,Closed,B4100,0,Asia,Civil Society,170,Not PBA,1,0,3,South-Eastern Asia,OGM Asia Pacific,D4100,S4126,OAI Indonesia and SEA Regional,SEA Regional,1.0,0.0,0,Responsive,1,1,0,0
2009/2010,0,A031006001,9548028.55,0,41010,0,4105,0,Uncoded: Pre-APP,0,OAD Asia Programming,9548028.55,0.145,Closed,B4100,0,Asia,Governmental,170,Not PBA,1,0,3,South-Eastern Asia,OGM Asia Pacific,D4100,S4126,OAI Indonesia and SEA Regional,SEA Regional,1.0,0.0,0,Responsive,1,1,0,0
2009/2010,0,A031006001,9548028.55,0,41010,0,4105,0,Uncoded: Pre-APP,0,OAD Asia Programming,9548028.55,0.145,Closed,B4100,0,Asia,Civil Society,170,Not PBA,1,0,3,South-Eastern Asia,OGM Asia Pacific,D4100,S4126,OAI Indonesia and SEA Regional,SEA Regional,1.0,0.0,0,Responsive,1,1,0,0
2009/2010,0,A031006001,9548028.55,0,41081,0,4105,0,Uncoded: Pre-APP,0,OAD Asia Programming,9548028.55,0.145,Closed,B4100,0,Asia,Governmental,170,Not PBA,1,0,3,South-Eastern Asia,OGM Asia Pacific,D4100,S4126,OAI Indonesia and SEA Regional,SEA Regional,1.0,0.0,0,Responsive,1,1,0,0
2009/2010,0,A031006001,9548028.55,0,41081,0,4105,0,Uncoded: Pre-APP,0,OAD Asia Programming,9548028.55,0.145,Closed,B4100,0,Asia,Civil Society,170,Not PBA,1,0,3,South-Eastern Asia,OGM Asia Pacific,D4100,S4126,OAI Indonesia and SEA Regional,SEA Regional,1.0,0.0,0,Responsive,1,1,0,0
2009/2010,0,A031006001,9548028.55,0,41082,0,4105,0,Uncoded: Pre-APP,0,OAD Asia Programming,9548028.55,0.145,Closed,B4100,0,Asia,Governmental,170,Not PBA,1,0,3,South-Eastern Asia,OGM Asia Pacific,D4100,S4126,OAI Indonesia and SEA Regional,SEA Regional,1.0,0.0,0,Responsive,1,1,0,0
2009/2010,0,A031006001,9548028.55,0,41082,0,4105,0,Uncoded: Pre-APP,0,OAD Asia Programming,9548028.55,0.145,Closed,B4100,0,Asia,Civil Society,170,Not PBA,1,0,3,South-Eastern Asia,OGM Asia Pacific,D4100,S4126,OAI Indonesia and SEA Regional,SEA Regional,1.0,0.0,0,Responsive,1,1,0,0
2009/2010,0,A031006001,9548028.55,0,43030,0,4105,0,Uncoded: Pre-APP,0,OAD Asia Programming,9548028.55,0.145,Closed,B4100,0,Asia,Governmental,170,Not PBA,1,0,3,South-Eastern Asia,OGM Asia Pacific,D4100,S4126,OAI Indonesia and SEA Regional,SEA Regional,1.0,0.0,0,Responsive,1,1,0,0
2009/2010,0,A031006001,9548028.55,0,43030,0,4105,0,Uncoded: Pre-APP,0,OAD Asia Programming,9548028.55,0.145,Closed,B4100,0,Asia,Civil Society,170,Not PBA,1,0,3,South-Eastern Asia,OGM Asia Pacific,D4100,S4126,OAI Indonesia and SEA Regional,SEA Regional,1.0,0.0,0,Responsive,1,1,0,0
2009/2010,0,A031006001,9548028.55,0,41010,0,4105,0,Uncoded: Pre-APP,0,OAD Asia Programming,9548028.55,0.145,Closed,B4100,0,Asia,Governmental,170,Not PBA,1,0,3,South-Eastern Asia,OGM Asia Pacific,D4100,S4126,OAI Indonesia and SEA Regional,SEA Regional,1.0,0.0,0,Responsive,1,1,0,0
2009/2010,0,A031006001,9548028.55,0,41010,0,4105,0,Uncoded: Pre-APP,0,OAD Asia Programming,9548028.55,0.145,Closed,B4100,0,Asia,Civil Society,170,Not PBA,1,0,3,South-Eastern Asia,OGM Asia Pacific,D4100,S4126,OAI Indonesia and SEA Regional,SEA Regional,1.0,0.0,0,Responsive,1,1,0,0
2009/2010,0,A031006001,9548028.55,0,41081,0,4105,0,Uncoded: Pre-APP,0,OAD Asia Programming,9548028.55,0.145,Closed,B4100,0,Asia,Governmental,170,Not PBA,1,0,3,South-Eastern Asia,OGM Asia Pacific,D4100,S4126,OAI Indonesia and SEA Regional,SEA Regional,1.0,0.0,0,Responsive,1,1,0,0
2009/2010,0,A031006001,9548028.55,0,41081,0,4105,0,Uncoded: Pre-APP,0,OAD Asia Programming,9548028.55,0.145,Closed,B4100,0,Asia,Civil Society,170,Not PBA,1,0,3,South-Eastern Asia,OGM Asia Pacific,D4100,S4126,OAI Indonesia and SEA Regional,SEA Regional,1.0,0.0,0,Responsive,1,1,0,0
2009/2010,0,A031006001,9548028.55,0,41082,0,4105,0,Uncoded: Pre-APP,0,OAD Asia Programming,9548028.55,0.145,Closed,B4100,0,Asia,Governmental,170,Not PBA,1,0,3,South-Eastern Asia,OGM Asia Pacific,D4100,S4126,OAI Indonesia and SEA Regional,SEA Regional,1.0,0.0,0,Responsive,1,1,0,0
2009/2010,0,A031006001,9548028.55,0,41082,0,4105,0,Uncoded: Pre-APP,0,OAD Asia Programming,9548028.55,0.145,Closed,B4100,0,Asia,Civil Society,170,Not PBA,1,0,3,South-Eastern Asia,OGM Asia Pacific,D4100,S4126,OAI Indonesia and SEA Regional,SEA Regional,1.0,0.0,0,Responsive,1,1,0,0
2009/2010,0,A031006001,9548028.55,0,43030,0,4105,0,Uncoded: Pre-APP,0,OAD Asia Programming,9548028.55,0.145,Closed,B4100,0,Asia,Governmental,170,Not PBA,1,0,3,South-Eastern Asia,OGM Asia Pacific,D4100,S4126,OAI Indonesia and SEA Regional,SEA Regional,1.0,0.0,0,Responsive,1,1,0,0
2009/2010,0,A031006001,9548028.55,0,43030,0,4105,0,Uncoded: Pre-APP,0,OAD Asia Programming,9548028.55,0.145,Closed,B4100,0,Asia,Civil Society,170,Not PBA,1,0,3,South-Eastern Asia,OGM Asia Pacific,D4100,S4126,OAI Indonesia and SEA Regional,SEA Regional,1.0,0.0,0,Responsive,1,1,0,0
2009/2010,0,A031018001,6306484.28,0,15150,1,4263,0,Uncoded: Pre-APP,0,EDD Europe-Middle East Programming,6306484.28,1.0,Terminating,B3100,0,Africa,Civil Society,EG,Not PBA,0,0,2,Egypt,"EGM Europe, Middle East and Maghreb",D3100,S4256,Middle East and North Africa,Egypt,1.0,0.0,0,Directive,1,0,0,0
2009/2010,0,A031020001,4799999.89,0,15150,1,4263,1,Uncoded: Pre-APP,0,EDD Europe-Middle East Programming,4799999.89,1.0,Terminating,B3100,0,Africa,Civil Society,EG,Not PBA,0,0,2,Egypt,"EGM Europe, Middle East and Maghreb",D3100,S4256,Middle East and North Africa,Egypt,1.0,0.0,0,Directive,1,0,0,0
2009/2010,0,A031027001,7624629.88,0,12220,0,4216,1,Uncoded: Pre-APP,0,WWD West & Central Africa,7624629.88,1.0,Closed,B4200,0,Africa,Governmental,ML,Other PBA,0,0,2,Mali,WGM Sub-Saharan Africa,D4207,S4215,Mali Program Section,Mali,1.0,0.0,0,Directive,1,0,0,0
2009/2010,0,A031027001,7624629.88,0,12220,0,4216,1,Uncoded: Pre-APP,0,WWD West & Central Africa,7624629.88,1.0,Closed,B4200,0,Africa,Civil Society,ML,Other PBA,0,0,2,Mali,WGM Sub-Saharan Africa,D4207,S4215,Mali Program Section,Mali,1.0,0.0,0,Directive,1,0,0,0
2009/2010,0,A031027001,7624629.88,0,13020,0,4216,1,Uncoded: Pre-APP,0,WWD West & Central Africa,7624629.88,1.0,Closed,B4200,0,Africa,Governmental,ML,Other PBA,0,0,2,Mali,WGM Sub-Saharan Africa,D4207,S4215,Mali Program Section,Mali,1.0,0.0,0,Directive,1,0,0,0
2009/2010,0,A031027001,7624629.88,0,13020,0,4216,1,Uncoded: Pre-APP,0,WWD West & Central Africa,7624629.88,1.0,Closed,B4200,0,Africa,Civil Society,ML,Other PBA,0,0,2,Mali,WGM Sub-Saharan Africa,D4207,S4215,Mali Program Section,Mali,1.0,0.0,0,Directive,1,0,0,0
2009/2010,0,A031027003,6824651.82,0,12220,0,4216,0,Uncoded: Pre-APP,0,WWD West & Central Africa,6824651.82,1.0,Closed,B4200,0,Africa,Governmental,ML,Other PBA,0,0,2,Mali,WGM Sub-Saharan Africa,D4207,S4215,Mali Program Section,Mali,1.0,0.0,0,Directive,1,0,0,0
2009/2010,0,A031027003,6824651.82,0,12220,0,4216,0,Uncoded: Pre-APP,0,WWD West & Central Africa,6824651.82,1.0,Closed,B4200,0,Africa,Civil Society,ML,Other PBA,0,0,2,Mali,WGM Sub-Saharan Africa,D4207,S4215,Mali Program Section,Mali,1.0,0.0,0,Directive,1,0,0,0
2009/2010,0,A031037001,0.0,0,11130,0,4267,0,Uncoded: Pre-APP,0,EDD Europe-Middle East Programming,7282168.99,1.0,Closed,B3100,0,Asia,Civil Society,LB,Not PBA,0,0,3,Lebanon,"EGM Europe, Middle East and Maghreb",D3100,S4256,Middle East and North Africa,Lebanon,0.8,0.0,0,Responsive,1,0,0,0
2009/2010,0,A031037001,0.0,0,11130,0,4267,0,Uncoded: Pre-APP,0,EDD Europe-Middle East Programming,7282168.99,1.0,Closed,B3100,0,Asia,Individual,LB,Not PBA,0,0,3,Lebanon,"EGM Europe, Middle East and Maghreb",D3100,S4256,Middle East and North Africa,Lebanon,0.8,0.0,0,Responsive,1,0,0,0
2009/2010,0,A031037001,0.0,0,11330,0,4267,0,Uncoded: Pre-APP,0,EDD Europe-Middle East Programming,7282168.99,1.0,Closed,B3100,0,Asia,Civil Society,LB,Not PBA,0,0,3,Lebanon,"EGM Europe, Middle East and Maghreb",D3100,S4256,Middle East and North Africa,Lebanon,0.8,0.0,0,Responsive,1,0,0,0
2009/2010,0,A031037001,0.0,0,11330,0,4267,0,Uncoded: Pre-APP,0,EDD Europe-Middle East Programming,7282168.99,1.0,Closed,B3100,0,Asia,Individual,LB,Not PBA,0,0,3,Lebanon,"EGM Europe, Middle East and Maghreb",D3100,S4256,Middle East and North Africa,Lebanon,0.8,0.0,0,Responsive,1,0,0,0
2009/2010,0,A031037001,0.0,0,12261,0,4267,0,Uncoded: Pre-APP,0,EDD Europe-Middle East Programming,7282168.99,1.0,Closed,B3100,0,Asia,Civil Society,LB,Not PBA,0,0,3,Lebanon,"EGM Europe, Middle East and Maghreb",D3100,S4256,Middle East and North Africa,Lebanon,0.8,0.0,0,Responsive,1,0,0,0
2009/2010,0,A031037001,0.0,0,12261,0,4267,0,Uncoded: Pre-APP,0,EDD Europe-Middle East Programming,7282168.99,1.0,Closed,B3100,0,Asia,Individual,LB,Not PBA,0,0,3,Lebanon,"EGM Europe, Middle East and Maghreb",D3100,S4256,Middle East and North Africa,Lebanon,0.8,0.0,0,Responsive,1,0,0,0
2009/2010,0,A031037001,0.0,0,15150,0,4267,0,Uncoded: Pre-APP,0,EDD Europe-Middle East Programming,7282168.99,1.0,Closed,B3100,0,Asia,Civil Society,LB,Not PBA,0,0,3,Lebanon,"EGM Europe, Middle East and Maghreb",D3100,S4256,Middle East and North Africa,Lebanon,0.8,0.0,0,Responsive,1,0,0,0
2009/2010,0,A031037001,0.0,0,15150,0,4267,0,Uncoded: Pre-APP,0,EDD Europe-Middle East Programming,7282168.99,1.0,Closed,B3100,0,Asia,Individual,LB,Not PBA,0,0,3,Lebanon,"EGM Europe, Middle East and Maghreb",D3100,S4256,Middle East and North Africa,Lebanon,0.8,0.0,0,Responsive,1,0,0,0
2009/2010,0,A031037001,0.0,0,31194,0,4267,0,Uncoded: Pre-APP,0,EDD Europe-Middle East Programming,7282168.99,1.0,Closed,B3100,0,Asia,Civil Society,LB,Not PBA,0,0,3,Lebanon,"EGM Europe, Middle East and Maghreb",D3100,S4256,Middle East and North Africa,Lebanon,0.8,0.0,0,Responsive,1,0,0,0
2009/2010,0,A031037001,0.0,0,31194,0,4267,0,Uncoded: Pre-APP,0,EDD Europe-Middle East Programming,7282168.99,1.0,Closed,B3100,0,Asia,Individual,LB,Not PBA,0,0,3,Lebanon,"EGM Europe, Middle East and Maghreb",D3100,S4256,Middle East and North Africa,Lebanon,0.8,0.0,0,Responsive,1,0,0,0
2009/2010,0,A031037001,0.0,0,73010,0,4267,0,Uncoded: Pre-APP,0,EDD Europe-Middle East Programming,7282168.99,1.0,Closed,B3100,0,Asia,Civil Society,LB,Not PBA,0,0,3,Lebanon,"EGM Europe, Middle East and Maghreb",D3100,S4256,Middle East and North Africa,Lebanon,0.8,0.0,0,Responsive,1,0,0,0
2009/2010,0,A031037001,0.0,0,73010,0,4267,0,Uncoded: Pre-APP,0,EDD Europe-Middle East Programming,7282168.99,1.0,Closed,B3100,0,Asia,Individual,LB,Not PBA,0,0,3,Lebanon,"EGM Europe, Middle East and Maghreb",D3100,S4256,Middle East and North Africa,Lebanon,0.8,0.0,0,Responsive,1,0,0,0
