assay_id,assay_subcellular_fraction,assay_organism,description,relationship_type,assay_type,doc_id,assay_test_type,assay_category,assay_tax_id,assay_strain,assay_tissue,assay_cell_type,tid
1220,,,In vitro binding affinity of compound towards 5-hydroxytryptamine 1A receptor was determined using [3H]-8-OH-DPAT as radioligand; range=2.2-3.2,H,B,13863,,,,,,,10576
1221,,,In vitro binding affinity of compound towards 5-hydroxytryptamine 1A receptor was determined using [3H]8-OH-DPAT as radioligand; range=2.7-3.6,H,B,13863,,,,,,,10576
1222,,,In vitro binding affinity of compound towards 5-hydroxytryptamine 1A receptor was determined using [3H]8-OH-DPAT as radioligand; range=20-23,H,B,13863,,,,,,,10576
1223,,,In vitro binding affinity of compound towards 5-hydroxytryptamine 1A receptor was determined using [3H]-8-OH-DPAT as radioligand; range=21-28,H,B,13863,,,,,,,10576
1224,,,In vitro binding affinity of compound towards 5-hydroxytryptamine 1A receptor was determined using [3H]8-OH-DPAT as radioligand; range=240-760,H,B,13863,,,,,,,10576
1225,,,In vitro binding affinity of compound towards 5-hydroxytryptamine 1A receptor was determined using [3H]-8-OH-DPAT as radioligand; range=39-87,H,B,13863,,,,,,,10576
1226,,,In vitro binding affinity of compound towards 5-hydroxytryptamine 1A receptor was determined using [3H]8-OH-DPAT as radioligand; range=4.6-5.2,H,B,13863,,,,,,,10576
1227,,,Inhibitory activity tested in vitro at 5-hydroxytryptamine 1A receptor binding site in rat,H,B,9742,,,,,,,10576
1228,,,Inhibitory concentration against 5-hydroxytryptamine 1A receptor,H,B,12073,,,,,,,10576
1229,,,Inhibitory concentration against binding of 5-hydroxytryptamine 1A receptor from striata of male Wistar rats by displacement of [3H]8-OH-DPAT,H,B,4101,,,,,,,10576
1230,,,Inhibitory concentration against radioligand [3H]hydroxy-2-(di-n-propylamino)-tetralin binding to 5-hydroxytryptamine 1A receptor in rat,H,B,15360,,,,,,,10576
1231,,,Inhibitory concentration against radioligand [3H]8-OH-DPAT binding to rat hippocampal 5-hydroxytryptamine 1A receptor,H,B,11576,,,,,Hippocampus,,10576
1232,,,Inhibition of the 5-hydroxytryptamine 1A receptor in rat dorsal raphe,H,B,5834,,,,,,,10576
1233,,Rattus norvegicus,Inhibitory concentration against [3H]8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor expressed in CHO-K1 cells,D,B,2395,,,10116.0,,,CHO-K1,10576
1234,,,Tested in vitro for receptor binding affinity to 5-hydroxytryptamine 1A receptor in rat cortex using [3H]OH-DPAT radioligand,H,B,1375,,,,,,,10576
1235,,,Tested in vitro for receptor binding affinity to 5-hydroxytryptamine 1A receptor in rat cortex using [3H]OH-DPAT radioligand; NT means not tested,H,B,1375,,,,,,,10576
1236,,,The compound was evaluated for the ability to displace [3H]- 8-OH -DPAT from 5-hydroxytryptamine 1A receptor ( striata of male wistar rats),H,B,3967,,,,,,,10576
1237,,,Binding affinity towards 5-hydroxytryptamine 1A receptor binding site using [3H]8-OH-DPAT. ,H,B,12884,,,,,,,10576
1238,,,Binding affinity towards 5-hydroxytryptamine 1A receptor using receptor binding assay,H,B,2343,,,,,,,10576
1239,,,"The compound was tested in vitro for inhibitory activity against 5-HT1A receptor in rats, using [3H]8-OH-DPAT as radioligand",H,B,11511,,,,,,,10576
1240,,Rattus norvegicus,"Inhibitory activity against 5-hydroxytryptamine 1A receptor in rats, using [3H]8-OH-DPAT as radioligand",D,B,11511,,,10116.0,,,,10576
1241,,,Antagonistic activity at postsynaptic 5-hydroxytryptamine 1A receptor was measured by its ability to inhibit hypothermia elicited by s.c. administration of 8-OH-DPAT in rat,H,F,16394,In vivo,,,,,,10576
1242,,,Antagonistic activity at postsynaptic 5-hydroxytryptamine 1A receptor was measured by its ability to inhibit hypothermia elicited by s.c. administration of 8-OH-DPAT in rat;ranges from (0.10-6.20),H,F,16394,In vivo,,,,,,10576
1243,,,Antagonistic activity at postsynaptic 5-hydroxytryptamine 1A receptor was measured by its ability to inhibit hypothermia elicited by s.c. administration of 8-OH-DPAT in rat;ranges from (0.20-1.60),H,F,16394,In vivo,,,,,,10576
1244,,,Antagonistic activity at postsynaptic 5-hydroxytryptamine 1A receptor was measured by its ability to inhibit hypothermia elicited by s.c. administration of 8-OH-DPAT in rat;ranges from (0.20-1.80),H,F,16394,In vivo,,,,,,10576
1245,,,Antagonistic activity at postsynaptic 5-hydroxytryptamine 1A receptor was measured by its ability to inhibit hypothermia elicited by s.c. administration of 8-OH-DPAT in rat;ranges from (0.37-4.27),H,F,16394,In vivo,,,,,,10576
1246,,,Antagonistic activity at postsynaptic 5-hydroxytryptamine 1A receptor was measured by its ability to inhibit hypothermia elicited by s.c. administration of 8-OH-DPAT in rat;ranges from (0.40-2.70),H,F,16394,In vivo,,,,,,10576
1247,,,Antagonistic activity at postsynaptic 5-hydroxytryptamine 1A receptor was measured by its ability to inhibit hypothermia elicited by s.c. administration of 8-OH-DPAT in rat;ranges from (0.40-4),H,F,16394,In vivo,,,,,,10576
1248,,,Antagonistic activity at postsynaptic 5-hydroxytryptamine 1A receptor was measured by its ability to inhibit hypothermia elicited by s.c. administration of 8-OH-DPAT in rat;ranges from (0.45-4.51),H,F,16394,In vivo,,,,,,10576
1249,,,Antagonistic activity at postsynaptic 5-hydroxytryptamine 1A receptor was measured by its ability to inhibit hypothermia elicited by s.c. administration of 8-OH-DPAT in rat;ranges from (0.50-5.30),H,F,16394,In vivo,,,,,,10576
1250,,,Antagonistic activity at postsynaptic 5-hydroxytryptamine 1A receptor was measured by its ability to inhibit hypothermia elicited by s.c. administration of 8-OH-DPAT in rat;ranges from (0.60-1.60),H,F,16394,In vivo,,,,,,10576
1251,,,Antagonistic activity at postsynaptic 5-hydroxytryptamine 1A receptor was measured by its ability to inhibit hypothermia elicited by s.c. administration of 8-OH-DPAT in rat;ranges from (0.72-2.87),H,F,16394,In vivo,,,,,,10576
1252,,,Antagonistic activity at postsynaptic 5-hydroxytryptamine 1A receptor was measured by its ability to inhibit hypothermia elicited by s.c. administration of 8-OH-DPAT in rat;ranges from (0.80-5.80),H,F,16394,In vivo,,,,,,10576
1253,,,Antagonistic activity at postsynaptic 5-hydroxytryptamine 1A receptor was measured by its ability to inhibit hypothermia elicited by s.c. administration of 8-OH-DPAT in rat;ranges from (1.50-16.5),H,F,16394,In vivo,,,,,,10576
1254,,,Antagonistic activity at postsynaptic 5-hydroxytryptamine 1A receptor was measured by its ability to inhibit hypothermia elicited by s.c. administration of 8-OH-DPAT in rat;ranges from (2.20-30.5),H,F,16394,In vivo,,,,,,10576
1255,,,Antagonistic activity at postsynaptic 5-hydroxytryptamine 1A receptor was measured by its ability to inhibit hypothermia elicited by s.c. administration of 8-OH-DPAT in rat;ranges is not computable,H,F,16394,In vivo,,,,,,10576
1256,Membranes,Rattus norvegicus,"Percent increase of R(+)-8-OH-DPAT stimulated [35S]GTP-gamma-S, binding to 5-hydroxytryptamine 1A receptor in isolated rat hippocampal membranes",D,F,16616,,,10116.0,,,,10576
1257,,,% inhibition towards 5-HT1A receptor from rat hippocampal membranes,H,B,16796,,,,,,,10576
1258,,,% inhibition towards 5-hydroxytryptamine 1A receptor from rat hippocampal membranes,H,B,16796,,,,,,,10576
1259,,,Tested in vitro for % inhibition against (serotonin)5-HT 1A receptor.,H,B,15629,,,,,,,10576
1260,,,"Ability to inhibit 5-HT sensitive,forskolin-stimulated adenylyl cyclase(FSC) activity in rat hippocampal membranes mediated through 5-hydroxytryptamine 1A receptor",H,F,13241,,,,,,,10576
1261,,,Measurement of binding affinity by displacement of [3H]8-OH-DPAT from 5-hydroxytryptamine 1A receptor in rat hippocampus,H,B,12073,,,,,Hippocampus,,10576
1262,,,Compound at 10E-5 M was tested in vitro for the inhibition of radioligand [3H]8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor in rat hippocampal membrane,H,B,14286,,,,,Hippocampus,,10576
1263,,,Compound is evaluated for binding affinity towards 5-hydroxytryptamine 1A receptor using [3H]-8-OH- -DPAT in rat brain cortex at 10 uM,H,B,14542,,,,,Brain,,10576
1264,,,Effect on 5-hydroxytryptamine 1A receptor mediated inhibition of VIP-stimulated cAMP production at dose of 0.1 uM + 10 uM 5-HT.,H,F,13630,,,,,,,10576
1265,,,Effect on 5-hydroxytryptamine 1A receptor mediated inhibition of VIP-stimulated cAMP production at dose of 0+ 1 uM 5-HT.,H,F,13630,,,,,,,10576
1266,,,Effect on 5-hydroxytryptamine 1A receptor mediated inhibition of VIP-stimulated cAMP production at dose of 0.01 uM+ 1 uM 5-HT.,H,F,13630,,,,,,,10576
1267,,,Effect on 5-hydroxytryptamine 1A receptor mediated inhibition of VIP-stimulated cAMP production at dose of 0.05 uM,H,F,13630,,,,,,,10576
1268,,,Effect on 5-hydroxytryptamine 1A receptor mediated inhibition of VIP-stimulated cAMP production at dose of 0.05 uM,H,F,13630,,,,,,,10576
1269,,,Effect on 5-hydroxytryptamine 1A receptor mediated inhibition of VIP-stimulated cAMP production at dose of 0.05 uM+ 1 uM 5-HT.,H,F,13630,,,,,,,10576
1270,,Rattus norvegicus,Effect against 5-hydroxytryptamine 1A receptor mediated inhibition of VIP-stimulated cAMP production at 0.1 uM dose,D,F,13630,,,10116.0,,,,10576
1271,,,Effect on 5-hydroxytryptamine 1A receptor mediated inhibition of VIP-stimulated cAMP production at dose of 0.1 uM + 10 uM 5-HT.,H,F,13630,,,,,,,10576
1272,,,Effect on 5-hydroxytryptamine 1A receptor mediated inhibition of VIP-stimulated cAMP production at dose of 0.1 uM + 1 uM 5-HT.,H,F,13630,,,,,,,10576
1273,,,Effect on 5-hydroxytryptamine 1A receptor mediated inhibition of VIP-stimulated cAMP production at dose of 0.1 uM + 0.1 uM 5-HT.,H,F,13630,,,,,,,10576
1274,,,Effect on 5-hydroxytryptamine 1A receptor mediated inhibition of VIP-stimulated cAMP production at dose of 10 uM,H,F,13630,,,,,,,10576
1275,,,Effect on 5-hydroxytryptamine 1A receptor mediated inhibition of VIP-stimulated cAMP production at dose of 10 uM+ 10 uM 5-HT.,H,F,13630,,,,,,,10576
1276,,,Effect on 5-hydroxytryptamine 1A receptor mediated inhibition of VIP-stimulated cAMP production at dose of 1 uM,H,F,13630,,,,,,,10576
1277,,,Effect on 5-hydroxytryptamine 1A receptor mediated inhibition of VIP-stimulated cAMP production at dose of 1 uM+ 0.1 uM 5-HT.,H,F,13630,,,,,,,10576
1278,,,Effect on 5-hydroxytryptamine 1A receptor mediated inhibition of VIP-stimulated cAMP production at dose of 1 uM+ 10 uM 5-HT.,H,F,13630,,,,,,,10576
1279,,,Effect on 5-hydroxytryptamine 1A receptor mediated inhibition of VIP-stimulated cAMP production at dose of 1 uM+ 1 uM 5-HT.,H,F,13630,,,,,,,10576
1280,,,Effect on 5-hydroxytryptamine 1A receptor mediated inhibition of VIP-stimulated cAMP production at dose of 1 uM+ 3 uM 5-HT.,H,F,13630,,,,,,,10576
1281,,,Effect on 5-hydroxytryptamine 1A receptor mediated inhibition of VIP-stimulated cAMP production at dose of 1 uM+ 50 uM 5-HT.,H,F,13630,,,,,,,10576
1282,,,Effect on 5-hydroxytryptamine 1A receptor mediated inhibition of VIP-stimulated cAMP production at dose of 30 uM,H,F,13630,,,,,,,10576
1283,,,Effect on 5-hydroxytryptamine 1A receptor mediated inhibition of VIP-stimulated cAMP production at dose of 50 uM,H,F,13630,,,,,,,10576
1284,,,Effect on 5-hydroxytryptamine 1A receptor mediated inhibition of VIP-stimulated cAMP production at dose of 50 uM+ 50 uM 5-HT.,H,F,13630,,,,,,,10576
1285,,,Effect on 5-hydroxytryptamine 1A receptor-mediated inhibition of VIP-stimulated cAMP production at dose of 0.1 uM,H,F,13630,,,,,,,10576
1286,,,Effect on 5-hydroxytryptamine 1A receptor-mediated inhibition of VIP-stimulated cAMP production at dose of 1 uM+ 10 uM 5-HT.,H,F,13630,,,,,,,10576
1287,,,Effect on 5-hydroxytryptamine 1A receptor mediated inhibition of VIP-stimulated cAMP production at dose of 1 uM,H,F,13630,,,,,,,10576
1288,,,In vitro inhibition of [3H]spiperone binding to 5-hydroxytryptamine 1A receptor from rat hippocampal tissue,H,B,9783,,,,,Hippocampus,,10576
1289,,,In vitro inhibition of [3H]spiperone binding to 5-hydroxytryptamine 1A receptor from rat hippocampal tissue at 1 uM,H,B,9783,,,,,Hippocampus,,10576
1290,Membranes,Rattus norvegicus,Inhibition of [3H]8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor in rat hippocampal membranes at 10e-7 M,D,B,14331,,,10116.0,,,,10576
1291,,,Inhibitory activity against 5-hydroxytryptamine 1A receptor of rat hippocampal tissue at 1 uM,H,B,15260,,,,,Hippocampus,,10576
1292,,,Inhibitory activity against rat hippocampal tissue 5-hydroxytryptamine 1A receptor at 0.1 uM concentration,H,B,15260,,,,,Hippocampus,,10576
1293,,,Inhibitory activity against rat hippocampal tissue 5-hydroxytryptamine 1A receptor at 1 uM concentration,H,B,15260,,,,,Hippocampus,,10576
1294,,Rattus norvegicus,"Percent inhibition of (+)-8-OH-DPAT stimulated [35S]GTP-gamma-S, binding to 5-hydroxytryptamine 1A receptor in hippocampal membranes",D,F,16616,,,10116.0,,,,10576
1295,,,Tested in vitro for % inhibition against (serotonin)5-HT 1A receptor,H,B,15629,,,,,,,10576
1296,,,The compound was tested binding affinity against 5-hydroxytryptamine 1A receptor from rat brain using [3H]8-OH-DPAT as radioligand at 10e-6 M.,H,B,15086,,,,,,,10576
1297,,,Antagonistic activity against 5-hydroxytryptamine 1A receptor in rat cerebral cortex using [3H]8-OH-DPAT as radioligand.,H,F,5717,,,,,,,10576
1298,,,Binding affinity against the site labelled by the 5-hydroxytryptamine 1A receptor agonist [3H]- 8-OH-DPAT,H,B,12652,,,,,,,10576
1299,,,In vitro binding affinity for 5-hydroxytryptamine 1A receptor was determined by measuring specific inhibition of [125I]-binding to rat hippocampal membrane preparations,H,B,14608,,,,,Hippocampus,,10576
1300,,,Inhibition of binding of [125I]-8-OH-PIPAT ligand to 5-hydroxytryptamine 1A receptor of rat hippocampal homogenates,H,B,12306,,,,,Hippocampus,,10576
1301,,,The binding of [125I]MPPI ligand to 5-hydroxytryptamine 1A receptor of rat hippocampal homogenates,H,B,12306,,,,,Hippocampus,,10576
1302,,Rattus norvegicus,Ability to displace [3H]8-OH-DPAT from 5-hydroxytryptamine 1A receptor,D,B,15247,,,10116.0,,,,10576
1303,,,Ability to bind to central serotonin 5-hydroxytryptamine 1A receptor in vitro in hippocampus of the rat brain using [3H]8-OH-DPAT radioligand,H,B,17529,,,,,Hippocampus,,10576
1304,,,Ability to displace [3H]- -OH-DPAT bound to 5-hydroxytryptamine 1A receptor in rat hippocampus,H,B,14826,,,,,Hippocampus,,10576
1305,,,Ability to displace [3H]- -(OH)-DPAT bound to 5-hydroxytryptamine 1A receptor in rat hippocampus,H,B,14826,,,,,Hippocampus,,10576
1306,,,Ability to displace [3H]8-OH-DPAT binding to rat hippocampal 5-hydroxytryptamine 1A receptor,H,B,13241,,,,,Hippocampus,,10576
1307,,,Ability to displace [3H]-8-OH-DPAT from rat hippocampal homogenate 5-hydroxytryptamine 1A receptor,H,B,14093,,,,,Hippocampus,,10576
1308,,,Ability to displace [3H]-8-OH-DPAT from rat hippocampal homogenate 5-hydroxytryptamine 1A receptor; Not tested,H,B,14093,,,,,Hippocampus,,10576
1309,,,Affinity at [3H]8-OH-DPAT-labeled 5-hydroxytryptamine 1A receptor in rat brain homogenate was determined,H,B,14442,,,,,Brain,,10576
1310,,,Affinity for 5-hydroxytryptamine 1A receptor site,H,B,9919,,,,,,,10576
1311,,,Affinity for 5-hydroxytryptamine 1A receptor site,H,B,9919,,,,,,,10576
1312,,,Affinity in displacing [3H]8-OH-DPAT from rat hippocampal 5-HT1A receptor.,H,B,11440,,,,,Hippocampus,,10576
1313,,,Affinity on 5-hydroxytryptamine 1A receptor labeled by [3H]8-OH-DPAT,H,B,11257,,,,,,,10576
1314,,,Binding affinity against 5-hydroxytryptamine 1A receptor using [3H]-8-OH-DPAT as radioligand,H,B,10330,,,,,,,10576
1315,,Rattus norvegicus,Displacement of [3H]8-OH-DPAT from 5-hydroxytryptamine 1A receptor of rat hippocampus mambranes,D,B,17331,,,10116.0,,Hippocampus,,10576
1316,,,Binding affinity against 5-hydroxytryptamine 1A receptor by displacing [3H]8-OH-DPAT radioligand in rat cortex membrane,H,B,16567,,,,,,,10576
1317,,Rattus norvegicus,"Binding affinity against 5-hydroxytryptamine 1A receptor in homogenated rat brain tissue, using by [3H]8-OH-DPAT as radioligand",D,B,12058,,,10116.0,,,,10576
1318,,,Binding affinity against 5-hydroxytryptamine 1A receptor in rat hippocampal tissue,H,B,9699,,,,,Hippocampus,,10576
1319,,,Binding affinity against 5-hydroxytryptamine 1A receptor of rat was determined using [3H]8-OH-DPAT in binding assay,H,B,9547,,,,,,,10576
1320,,,Binding affinity against 5-hydroxytryptamine 1A receptor using [3H]DOB as radioligand,H,B,10330,,,,,,,10576
1321,,,Binding affinity against rat 5-hydroxytryptamine 1A receptor,H,B,14331,,,,,,,10576
1322,,Rattus norvegicus,Binding affinity against rat brain 5-hydroxytryptamine 1A receptor,D,B,14060,,,10116.0,,,,10576
1323,,,Binding affinity against the 5-hydroxytryptamine 1A receptor labelled with [3H]8-OH-DPAT in rat hippocampal homogenates,H,B,14744,,,,,Hippocampus,,10576
1324,,,Binding affinity against serotonin 5-hydroxytryptamine 1A receptor using radioligand [3H]8-OH-DPAT binding assay,H,B,13506,,,,,,,10576
1325,,,Binding affinity at 5-hydroxytryptamine 1A receptor by the displacement of [3H]8-OH-DPAT in rat brain.,H,B,10862,,,,,Brain,,10576
1326,,,Binding affinity at 5-hydroxytryptamine 1A receptor by the displacement of [3H]8-OH-DPAT in rat brain.,H,B,10862,,,,,Brain,,10576
1327,,,Binding affinity at rat 5-hydroxytryptamine 1A receptor by [3H]WB-4101 displacement.,H,B,10062,,,,,,,10576
1328,,,Binding affinity for 5-hydroxytryptamine 1A receptor by use of [3H]8-OH-DPAT in male rat,H,B,12073,,,,,,,10576
1329,,,GTPgammaS radioligand binding assay,H,B,14875,,,,,,,106
1330,,,The compound was evaluated for intrinsic activity against human cloned 5-hydroxytryptamine 1B receptor; Not determined,H,B,2391,,,,,,,106
1331,,,The compound was evaluated for intrinsic activity against human cloned 5-hydroxytryptamine 1B receptor; Partial agonist,H,F,2391,,,,,,,106
1332,,,The compound was evaluated for intrinsic activity against human cloned 5-hydroxytryptamine 1B receptor; Slient antagonist,H,F,2391,,,,,,,106
1333,,,The compound was evaluated for intrinsic activity against human cloned 5-hydroxytryptamine 1B receptor,H,B,2391,,,,,,,106
1334,,,The compound was evaluated for intrinsic activity against human cloned 5-hydroxytryptamine 1B receptor; Not determined,H,B,2391,,,,,,,106
1335,,,The compound was evaluated for intrinsic activity against human cloned 5-hydroxytryptamine 1B receptor; silent antagonist,H,F,2391,,,,,,,106
1336,,,Ability to displace [3H]5-CT (1.5 nM) from HeLa cells of human 5-hydroxytryptamine 1B receptor,H,B,17211,,,,,,HeLa,106
1337,,,Ability to displace [3H]5-CT (1.5 nM) from HeLa cells of human 5-hydroxytryptamine 1B receptor receptor,H,B,17211,,,,,,HeLa,106
1338,,Homo sapiens,Affinity towards human 5-hydroxytryptamine 1B serotonin receptor,D,B,6491,,,9606.0,,,,106
1339,,,Binding affinity against 5-hydroxytryptamine 1B receptor in CHO cells using [3H]5-HT as radioligand,H,B,16190,,,,,,CHO,106
1340,,,Binding affinity for 5-hydroxytryptamine 1B receptor in C6-glial transfected cell type using [3H]5-CT as radioligand,H,B,14165,,,,,,,106
1341,,,Binding affinity for 5-hydroxytryptamine 1B receptor in C6-glial transfected cell type using [3H]GR-125743 as radioligand,H,B,14165,,,,,,,106
1342,,Homo sapiens,Binding affinity to cloned human 5-hydroxytryptamine 1B receptor,D,B,4234,,,9606.0,,,,106
1343,,,Binding affinity towards human 5-hydroxytryptamine 1B receptor in L-M(tk-) cells using [3H]GR-125743 as radioligand,H,B,6328,,,,,,,106
1344,,,Binding affinity for recombinant human 5-hydroxytryptamine 1B receptor using [3H]5-HT as radioligand.,H,B,14770,,,,,,,106
1345,,,Binding affinity was evaluated at human recombinant 5-hydroxytryptamine 1B receptor using [3H]5-CT as radioligand,H,B,2598,,,,,,,106
1346,,,Binding affinity was evaluated at the cloned human 5-hydroxytryptamine 1B receptor,H,B,6897,,,,,,,106
1347,,,Binding affinity was evaluated at the cloned human 5-hydroxytryptamine 1B receptor,H,B,6897,,,,,,,106
1348,,,Binding affinity towards 5-hydroxytryptamine 1B receptor,H,B,6013,,,,,,,106
1349,,,Binding affinity towards cloned human 5-hydroxytryptamine 1B receptor,H,B,5843,,,,,,,106
1350,,,Binding affinity towards human 5-hydroxytryptamine 1B receptor using [3H]5-HT trifluoroacetate as radioligand,H,B,14454,,,,,,,106
1351,,,Binding affinity towards human 5-hydroxytryptamine 1B receptor using [3H]5-HT radioligand,H,B,16209,,,,,,,106
1352,,,Compound was evaluated for its binding affinity for human 5-hydroxytryptamine 1B receptor,H,B,3935,,,,,,,106
1353,,,Ability to inhibit the forskolin-stimulated c-AMP formation mediated by human 5-hydroxytryptamine 1B receptor in CHO-K1 cells,H,F,13729,,,,,,CHO-K1,106
1354,,,Agonist activity to the human recombinant 5-hydroxytryptamine 1B receptor,H,F,14251,,,,,,,106
1355,,,In vitro binding affinity by radioligand binding assay using cell line expressing human 5-hydroxytryptamine 1B receptor,H,B,17085,,,,,,,106
1356,,,In vitro binding affinity was determined towards cloned human 5-hydroxytryptamine 1B receptor using [3H]5-CT radioligand,H,B,3025,,,,,,,106
1357,,,In vitro receptor binding affinity for cloned human 5-hydroxytryptamine 1B receptor,H,B,15315,,,,,,,106
1358,,Homo sapiens,Receptor binding affinity for cloned human 5-hydroxytryptamine 1B receptor in Cos-7 cells,D,B,14214,,,9606.0,,,,106
1359,,Homo sapiens,Binding affinity towards cloned human 5-hydroxytryptamine 1B receptor,D,B,3804,,,9606.0,,,,106
1360,,Homo sapiens,Affinity for 5-hydroxytryptamine 1B receptor subtype,D,B,2391,,,9606.0,,,,106
1361,,Homo sapiens,Binding affinity for human 5-hydroxytryptamine 1B receptor,D,B,4175,,,9606.0,,,,106
1362,,,Binding affinity against cloned human 5-hydroxytryptamine 1B receptor in CHO cells using [3H]5-CT as radioligand; Not determined,H,B,17296,,,,,,CHO,106
1363,,,In vitro binding affinity was determined by radioligand binding assay using cell line expressing human 5-hydroxytryptamine 1B receptor; ND means not determined,H,B,17085,,,,,,,106
1364,,,Ability to displace [3H]5-CT (1.5 nM) from HeLa cells of human 5-hydroxytryptamine 1B receptor; NT denotes not tested,H,B,17211,,,,,,HeLa,106
1365,,,Ability to displace [3H]5-CT (1.5 nM) from HeLa cells of human 5-hydroxytryptamine 1B receptor; NT=not tested,H,B,17211,,,,,,HeLa,106
1366,,,Ability to displace [3H]-5-CT (1.5 nM) from HeLa cells of human 5-hydroxytryptamine 1B receptor; NT denotes not tested,H,B,17211,,,,,,HeLa,106
1367,,Homo sapiens,Binding activity against human 5-hydroxytryptamine 1B receptor; NT means not tested,D,B,15926,,,9606.0,,,,106
1368,,,Binding affinity in CHO-K1 cells transfected with human recombinant 5-hydroxytryptamine 1B receptor; not tested,H,B,16312,,,,,,CHO-K1,106
1369,,,Selectivity ratio against cloned human 5-HT1B receptor to that of h5-HT1D receptor,H,B,5843,,,,,,,106
1370,,,Selectivity ratio against cloned human 5-hydroxytryptamine 1B receptor to that of human 5-hydroxytryptamine 1D receptor,H,B,5843,,,,,,,106
1371,,,Binding affinity in CHO-K1 cells transfected with human recombinant 5-hydroxytryptamine 1B receptor,H,B,16312,,,,,,CHO-K1,106
1372,,Homo sapiens,Binding activity against human 5-hydroxytryptamine 1B receptor,D,B,15926,,,9606.0,,,,106
1373,,Homo sapiens,Binding activity against human 5-hydroxytryptamine 1B receptor,D,B,15926,,,9606.0,,,,106
1374,,Homo sapiens,Binding affinity to human cloned 5-hydroxytryptamine 1B receptor in CHO cells using [3H]5-HT as radioligand,D,B,4540,,,9606.0,,,CHO,106
1375,,,Binding affinity towards cloned human 5-hydroxytryptamine 1B receptor was determined,H,B,6166,,,,,,,106
1376,,,Binding affinity against cloned human 5-hydroxytryptamine 1B receptor in CHO cells using [3H]5-CT as radioligand,H,B,17296,,,,,,CHO,106
1377,,,Binding affinity against human 5-hydroxytryptamine 1B receptor cloned receptors in CHO cells,H,B,17296,,,,,,CHO,106
1378,,,Binding affinity against human 5-hydroxytryptamine 1B receptor cloned receptors in CHO cells using [3H]5-CT as radioligand,H,B,17296,,,,,,CHO,106
1379,,,Binding affinity towards 5-hydroxytryptamine 1B (human cloned receptor) in CHO cells using [3H]5-HT as radioligand,H,B,15779,,,,,,CHO,106
1380,,,Binding affinity towards 5-hydroxytryptamine 1B receptor (human cloned receptor) in CHO cells using [3H]5-HT as radioligand,H,B,15779,,,,,,CHO,106
1381,,,Binding affinity towards 5-hydroxytryptamine 1B receptor (human cloned receptor) in CHO cells using [3H]5-HT as radioligand;ND means no data.,H,B,15779,,,,,,CHO,106
1382,,,Compound was evaluated for binding affinity against human cloned 5-hydroxytryptamine 1B receptor in CHO cells using [3H]5-HT as the radioligand,H,B,4199,,,,,,CHO,106
1383,,Homo sapiens,Binding affinity for human 5-hydroxytryptamine 1B receptor,D,B,14875,,,9606.0,,,,106
1384,,,Compound was tested for its binding affinity against human cloned 5-hydroxytryptamine 1B receptor in CHO cells using [3H]5-HT,H,B,15146,,,,,,CHO,106
1385,,,Compound was tested for its binding affinity for human cloned 5-hydroxytryptamine 1B receptor in CHO using [3H]5-HT as a radioligand,H,B,5213,,,,,,,106
1386,,,The compound was tested for its binding affinity towards cloned human 5-hydroxytryptamine 1B receptor in CHO cells using [3H]5-HT,H,B,14818,,,,,,CHO,106
1387,,,"The compound was tested for the binding affinity towards human cloned 5-hydroxytryptamine 1B receptor in CHO cells, using [3H]5-HT as radioligand",H,B,4829,,,,,,CHO,106
1388,,,Adenyl cyclase activity was expressed as percent forskolin response against 5-hydroxytryptamine 1B receptor at concentration 1 uM,H,F,14454,,,,,,,106
1389,,,Adenyl cyclase activity was expressed as percent forskolin response against 5-hydroxytryptamine 1B receptor at concentration 10 uM,H,F,14454,,,,,,,106
1390,,,"Effect of compound on [35S]GTP-gamma-S, radioligand binding CHO cells expressing human 5-hydroxytryptamine 1B receptor",H,F,14875,,,,,,CHO,106
1391,,,"Effect of compound on [35S]GTP-gamma-S, radioligand binding in CHO cells expressing human 5-hydroxytryptamine 1B receptor",H,F,14875,,,,,,CHO,106
1392,,,"Compound was tested for maximum stimulation of [35S]GTP-gamma-S, binding expressed relative to the maximal effect produced by 5-HT.",H,F,15250,,,,,,,105
1393,,,Compound was tested for the displacement of [3H]5-HT binding to cloned 5-hydroxytryptamine 1D receptor stably expressed in CHO cells.,H,B,15250,,,,,,CHO,105
1394,,,The compound was tested for binding affinity against 5-hydroxytryptamine 1B receptor,H,B,15086,,,,,,,17105
1395,,Oryctolagus cuniculus,5-hydroxytryptamine 1B receptor agonist potency determined in rabbit saphenous vein contraction model,H,F,3025,,,9986.0,,,,106
1396,,Oryctolagus cuniculus,The vascular 5-hydroxytryptamine 1B receptor affinity was assessed using ring preparations of rabbit saphenous vein (RbSV).,H,B,14998,,,9986.0,,,,106
1397,,Oryctolagus cuniculus,"Binding affinity against vascular 5-hydroxytryptamine 1B receptor, measured using ring preparations of rabbit saphenous vein (RbSV)",H,B,14998,,,9986.0,,,,106
1398,,Oryctolagus cuniculus,The vascular 5-hydroxytryptamine 1B receptor affinity was assessed using ring preparations of rabbit saphenous vein(RbSV).,H,B,14998,,,9986.0,,,,106
