Fiscal year,Branch name,CIDA business delivery model (old),Project number,Sector ID,Section name,FSTC percent,Youth issues (marker),CountryRegion name,Bilateral aid (international marker),Trade development (marker),Untied amount(Project-level budget),Status,Urban issues (marker),Climate change adaptation (marker),Branch ID,Desertification (marker),PBA type,Organisation class,Organisation type,Indigenous issues (marker),ICT as a tool for development (marker),CFLI (marker),CountryRegion percent,Regional program (marker),Participatory development and good governance,Children issues (marker),Fund centre name,Organisation sub-class,Division name,Enviromental sustainability (marker),IRTC percent,Disability issues (marker),Project Browser country ID,Organisation name,Maximum CIDA contribution (project-level),Division ID,Section ID,Fund centre ID,Programming process (new),Climate change mitigation (marker),Biodiversity (marker),Knowledge for development (marker)
2009/2010,NGM Americas,Directive,A031717001,15150,Cuba,0.7999999990000001,0,Cuba,1,0,2862894.73,Terminating,0,0,B4400,0,Not PBA,Governmental,Canadian Non-Profit Making,0,1,0,1.0,0,1,0,Cuba,FEDERAL,NDD Americas Programming,1,0.0,0,CU,Department of Foreign Affairs and International Trade,2862894.73,D4400,S4450,4450,Uncoded: Pre-APP,0,0,0
2009/2010,NGM Americas,Directive,A031717001,15150,Cuba,0.7999999990000001,0,Cuba,1,0,2862894.73,Terminating,0,0,B4400,0,Not PBA,Governmental,Canadian Non-Profit Making,0,1,0,1.0,0,1,0,Cuba,FEDERAL,NDD Americas Programming,1,0.0,0,CU,Treasury Board Secretariat,2862894.73,D4400,S4450,4450,Uncoded: Pre-APP,0,0,0
2009/2010,NGM Americas,Directive,A031717001,15150,Cuba,0.7999999990000001,0,Cuba,1,0,2862894.73,Terminating,0,0,B4400,0,Not PBA,Civil Society,Canadian Profit Making,0,1,0,1.0,0,1,0,Cuba,SUPPLIER OF GOODS/SERVICES,NDD Americas Programming,1,0.0,0,CU,D�M�NAGEMENT OUTAOUAIS INC.,2862894.73,D4400,S4450,4450,Uncoded: Pre-APP,0,0,0
2009/2010,NGM Americas,Directive,A031717001,15150,Cuba,0.7999999990000001,0,Cuba,1,0,2862894.73,Terminating,0,0,B4400,0,Not PBA,Civil Society,Canadian Profit Making,0,1,0,1.0,0,1,0,Cuba,SUPPLIER OF GOODS/SERVICES,NDD Americas Programming,1,0.0,0,CU,Barrett Xplore Inc.,2862894.73,D4400,S4450,4450,Uncoded: Pre-APP,0,0,0
2009/2010,NGM Americas,Directive,A031717001,15150,Cuba,0.7999999990000001,0,Cuba,1,0,2862894.73,Terminating,0,0,B4400,0,Not PBA,Individual,Canadian Profit Making,0,1,0,1.0,0,1,0,Cuba,CONSULTANT,NDD Americas Programming,1,0.0,0,CU,Information not available,2862894.73,D4400,S4450,4450,Uncoded: Pre-APP,0,0,0
2009/2010,NGM Americas,Directive,A031717001,15150,Cuba,0.7999999990000001,0,Cuba,1,0,2862894.73,Terminating,0,0,B4400,0,Not PBA,Individual,Canadian Profit Making,0,1,0,1.0,0,1,0,Cuba,COOPERANT,NDD Americas Programming,1,0.0,0,CU,Information not available,2862894.73,D4400,S4450,4450,Uncoded: Pre-APP,0,0,0
2009/2010,NGM Americas,Directive,A031717001,15150,Cuba,0.7999999990000001,0,Cuba,1,0,2862894.73,Terminating,0,0,B4400,0,Not PBA,Individual,Canadian Profit Making,0,1,0,1.0,0,1,0,Cuba,COOPERANT,NDD Americas Programming,1,0.0,0,CU,Information not available,2862894.73,D4400,S4450,4450,Uncoded: Pre-APP,0,0,0
2009/2010,NGM Americas,Directive,A031717001,15150,Cuba,0.7999999990000001,0,Cuba,1,0,2862894.73,Terminating,0,0,B4400,0,Not PBA,Unknown,Uncoded,0,1,0,1.0,0,1,0,Cuba,Unknown,NDD Americas Programming,1,0.0,0,CU,Information not available,2862894.73,D4400,S4450,4450,Uncoded: Pre-APP,0,0,0
2009/2010,NGM Americas,Directive,A031717001,41010,Cuba,0.7999999990000001,0,Cuba,1,0,2862894.73,Terminating,0,0,B4400,0,Not PBA,Governmental,Canadian Non-Profit Making,0,1,0,1.0,0,1,0,Cuba,FEDERAL,NDD Americas Programming,1,0.0,0,CU,Department of Foreign Affairs and International Trade,2862894.73,D4400,S4450,4450,Uncoded: Pre-APP,0,0,0
2009/2010,NGM Americas,Directive,A031717001,41010,Cuba,0.7999999990000001,0,Cuba,1,0,2862894.73,Terminating,0,0,B4400,0,Not PBA,Governmental,Canadian Non-Profit Making,0,1,0,1.0,0,1,0,Cuba,FEDERAL,NDD Americas Programming,1,0.0,0,CU,Treasury Board Secretariat,2862894.73,D4400,S4450,4450,Uncoded: Pre-APP,0,0,0
2009/2010,NGM Americas,Directive,A031717001,41010,Cuba,0.7999999990000001,0,Cuba,1,0,2862894.73,Terminating,0,0,B4400,0,Not PBA,Civil Society,Canadian Profit Making,0,1,0,1.0,0,1,0,Cuba,SUPPLIER OF GOODS/SERVICES,NDD Americas Programming,1,0.0,0,CU,D�M�NAGEMENT OUTAOUAIS INC.,2862894.73,D4400,S4450,4450,Uncoded: Pre-APP,0,0,0
2009/2010,NGM Americas,Directive,A031717001,41010,Cuba,0.7999999990000001,0,Cuba,1,0,2862894.73,Terminating,0,0,B4400,0,Not PBA,Civil Society,Canadian Profit Making,0,1,0,1.0,0,1,0,Cuba,SUPPLIER OF GOODS/SERVICES,NDD Americas Programming,1,0.0,0,CU,Barrett Xplore Inc.,2862894.73,D4400,S4450,4450,Uncoded: Pre-APP,0,0,0
2009/2010,NGM Americas,Directive,A031717001,41010,Cuba,0.7999999990000001,0,Cuba,1,0,2862894.73,Terminating,0,0,B4400,0,Not PBA,Individual,Canadian Profit Making,0,1,0,1.0,0,1,0,Cuba,CONSULTANT,NDD Americas Programming,1,0.0,0,CU,Information not available,2862894.73,D4400,S4450,4450,Uncoded: Pre-APP,0,0,0
2009/2010,NGM Americas,Directive,A031717001,41010,Cuba,0.7999999990000001,0,Cuba,1,0,2862894.73,Terminating,0,0,B4400,0,Not PBA,Individual,Canadian Profit Making,0,1,0,1.0,0,1,0,Cuba,COOPERANT,NDD Americas Programming,1,0.0,0,CU,Information not available,2862894.73,D4400,S4450,4450,Uncoded: Pre-APP,0,0,0
2009/2010,NGM Americas,Directive,A031717001,41010,Cuba,0.7999999990000001,0,Cuba,1,0,2862894.73,Terminating,0,0,B4400,0,Not PBA,Individual,Canadian Profit Making,0,1,0,1.0,0,1,0,Cuba,COOPERANT,NDD Americas Programming,1,0.0,0,CU,Information not available,2862894.73,D4400,S4450,4450,Uncoded: Pre-APP,0,0,0
2009/2010,NGM Americas,Directive,A031717001,41010,Cuba,0.7999999990000001,0,Cuba,1,0,2862894.73,Terminating,0,0,B4400,0,Not PBA,Unknown,Uncoded,0,1,0,1.0,0,1,0,Cuba,Unknown,NDD Americas Programming,1,0.0,0,CU,Information not available,2862894.73,D4400,S4450,4450,Uncoded: Pre-APP,0,0,0
2009/2010,NGM Americas,Directive,A031717001,53030,Cuba,0.7999999990000001,0,Cuba,1,0,2862894.73,Terminating,0,0,B4400,0,Not PBA,Governmental,Canadian Non-Profit Making,0,1,0,1.0,0,1,0,Cuba,FEDERAL,NDD Americas Programming,1,0.0,0,CU,Department of Foreign Affairs and International Trade,2862894.73,D4400,S4450,4450,Uncoded: Pre-APP,0,0,0
2009/2010,NGM Americas,Directive,A031717001,53030,Cuba,0.7999999990000001,0,Cuba,1,0,2862894.73,Terminating,0,0,B4400,0,Not PBA,Governmental,Canadian Non-Profit Making,0,1,0,1.0,0,1,0,Cuba,FEDERAL,NDD Americas Programming,1,0.0,0,CU,Treasury Board Secretariat,2862894.73,D4400,S4450,4450,Uncoded: Pre-APP,0,0,0
2009/2010,NGM Americas,Directive,A031717001,53030,Cuba,0.7999999990000001,0,Cuba,1,0,2862894.73,Terminating,0,0,B4400,0,Not PBA,Civil Society,Canadian Profit Making,0,1,0,1.0,0,1,0,Cuba,SUPPLIER OF GOODS/SERVICES,NDD Americas Programming,1,0.0,0,CU,D�M�NAGEMENT OUTAOUAIS INC.,2862894.73,D4400,S4450,4450,Uncoded: Pre-APP,0,0,0
2009/2010,NGM Americas,Directive,A031717001,53030,Cuba,0.7999999990000001,0,Cuba,1,0,2862894.73,Terminating,0,0,B4400,0,Not PBA,Civil Society,Canadian Profit Making,0,1,0,1.0,0,1,0,Cuba,SUPPLIER OF GOODS/SERVICES,NDD Americas Programming,1,0.0,0,CU,Barrett Xplore Inc.,2862894.73,D4400,S4450,4450,Uncoded: Pre-APP,0,0,0
2009/2010,NGM Americas,Directive,A031717001,53030,Cuba,0.7999999990000001,0,Cuba,1,0,2862894.73,Terminating,0,0,B4400,0,Not PBA,Individual,Canadian Profit Making,0,1,0,1.0,0,1,0,Cuba,CONSULTANT,NDD Americas Programming,1,0.0,0,CU,Information not available,2862894.73,D4400,S4450,4450,Uncoded: Pre-APP,0,0,0
2009/2010,NGM Americas,Directive,A031717001,53030,Cuba,0.7999999990000001,0,Cuba,1,0,2862894.73,Terminating,0,0,B4400,0,Not PBA,Individual,Canadian Profit Making,0,1,0,1.0,0,1,0,Cuba,COOPERANT,NDD Americas Programming,1,0.0,0,CU,Information not available,2862894.73,D4400,S4450,4450,Uncoded: Pre-APP,0,0,0
2009/2010,NGM Americas,Directive,A031717001,53030,Cuba,0.7999999990000001,0,Cuba,1,0,2862894.73,Terminating,0,0,B4400,0,Not PBA,Individual,Canadian Profit Making,0,1,0,1.0,0,1,0,Cuba,COOPERANT,NDD Americas Programming,1,0.0,0,CU,Information not available,2862894.73,D4400,S4450,4450,Uncoded: Pre-APP,0,0,0
2009/2010,NGM Americas,Directive,A031717001,53030,Cuba,0.7999999990000001,0,Cuba,1,0,2862894.73,Terminating,0,0,B4400,0,Not PBA,Unknown,Uncoded,0,1,0,1.0,0,1,0,Cuba,Unknown,NDD Americas Programming,1,0.0,0,CU,Information not available,2862894.73,D4400,S4450,4450,Uncoded: Pre-APP,0,0,0
2009/2010,WGM Sub-Saharan Africa,Directive,A031734001,12220,Tanzania Program,1.0,0,Zambia,1,0,7781946.52,Closed,0,0,B4200,0,Other PBA,Individual,Canadian Profit Making,0,1,0,1.0,0,0,0,Zambia,CONSULTANT,WED Southern & Eastern Africa,0,0.0,0,ZM,Information not available,7781946.52,D4270,S4219,4278,Uncoded: Pre-APP,0,0,0
2009/2010,WGM Sub-Saharan Africa,Directive,A031734001,12281,Tanzania Program,1.0,0,Zambia,1,0,7781946.52,Closed,0,0,B4200,0,Other PBA,Individual,Canadian Profit Making,0,1,0,1.0,0,0,0,Zambia,CONSULTANT,WED Southern & Eastern Africa,0,0.0,0,ZM,Information not available,7781946.52,D4270,S4219,4278,Uncoded: Pre-APP,0,0,0
2009/2010,MFM Global Issues and Development,Directive,A031743005,43010,MNG Global Health,1.0,0,Canada,1,0,6989767.52,Closed,0,0,B5100,0,Not PBA,Para-Governmental,Canadian Non-Profit Making,0,0,0,1.0,0,0,0,Global Health - POLICY,CROWN CORPORATIONS,MND Health&Nutrition,0,0.0,0,CA,International Development Research Centre,6989767.52,D5240,S5245,1026,Uncoded: Pre-APP,0,0,0
2009/2010,MFM Global Issues and Development,Directive,A031743005,43010,MNG Global Health,1.0,0,Canada,1,0,6989767.52,Closed,0,0,B5100,0,Not PBA,Civil Society,Canadian Non-Profit Making,0,0,0,1.0,0,0,0,Global Health - POLICY,ASSOCIATIONS,MND Health&Nutrition,0,0.0,0,CA,Canadian Coalition for Global Health Research,6989767.52,D5240,S5245,1026,Uncoded: Pre-APP,0,0,0
2009/2010,MFM Global Issues and Development,Directive,A031745007,43010,MES NATURAL RESOURCES & GOVERNANCE,1.0,0,Canada,1,0,0.0,Closed,0,0,B5100,0,Not PBA,Civil Society,Canadian Non-Profit Making,0,0,0,1.0,0,0,0,Human Rights,NGO,MED Economic Development,0,0.0,0,CA,Canadian Unicef Committee,599743.59,D5430,S1079,1037,Uncoded: Pre-APP,0,0,0
2009/2010,MFM Global Issues and Development,Directive,A031745012,43010,MES NATURAL RESOURCES & GOVERNANCE,1.0,0,Canada,1,0,0.0,Operational,0,0,B5100,0,Not PBA,Civil Society,Canadian Non-Profit Making,0,0,0,1.0,0,0,0,Human Rights,SPECIALIZED INSTITUTE,MED Economic Development,0,0.0,0,CA,IICRD - International Institute for Child Rights and Development,111087.63,D5430,S1079,1037,Uncoded: Pre-APP,0,0,0
2009/2010,MFM Global Issues and Development,Directive,A031745018,43010,MES NATURAL RESOURCES & GOVERNANCE,1.0,0,Canada,1,0,0.0,Terminating,0,0,B5100,0,Not PBA,Civil Society,Canadian Non-Profit Making,0,0,0,1.0,0,0,0,Human Rights,NGO,MED Economic Development,0,0.0,0,CA,Plan International Canada Inc. (Plan Canada),151046.05,D5430,S1079,1037,Uncoded: Pre-APP,0,0,0
2009/2010,MFM Global Issues and Development,Responsive,A031745022,43010,MES NATURAL RESOURCES & GOVERNANCE,1.0,0,Europe MC,1,0,1200000.0,Terminating,0,0,B5100,0,Not PBA,Multilateral,Foreign Non-Profit Making,0,0,0,1.0,0,0,0,NATURAL RESOURCES & GOVERNANCE - POLICY,OTHER MULTILATERAL,MED Economic Development,0,0.0,0,X4,Organisation de Coop�ration et de D�veloppement �conomique,1200000.0,D5430,S1079,1012,Uncoded: Pre-APP,0,0,0
2009/2010,PFM Strategic Policy,Directive,A031746006,43010,International Strategy & Donor Relations,1.0,0,Canada,1,0,0.0,Closed,0,0,B1000,0,Not PBA,Multilateral,Foreign Non-Profit Making,0,0,0,1.0,0,0,0,International Strategy & Donor Relations,OTHER MULTILATERAL,PVD Development Policy,0,0.0,0,CA,Organisation de Coop�ration et de D�veloppement �conomique,4390237.0,D1035,S1014,1014,Uncoded: Pre-APP,0,0,0
2009/2010,PFM Strategic Policy,Directive,A031746008,43010,International Strategy & Donor Relations,1.0,0,Canada,1,0,0.0,Closed,0,0,B1000,0,Not PBA,Multilateral,Foreign Non-Profit Making,0,0,0,1.0,0,0,0,International Strategy & Donor Relations,UNITED NATIONS,PVD Development Policy,0,0.0,0,CA,UNDP - United Nations Development Programme,255000.0,D1035,S1014,1014,Uncoded: Pre-APP,0,0,0
2009/2010,PFM Strategic Policy,Directive,A031750011,43010,Policy Research,1.0,0,Canada,1,0,0.0,Closed,0,0,B1000,0,Not PBA,Civil Society,Canadian Non-Profit Making,0,0,0,1.0,0,0,0,Policy Research,UNIVERSITY,PVD Development Policy,0,0.0,0,CA,McGill University The Royal Institution for,2155013.78,D1035,S1048,1048,Uncoded: Pre-APP,0,0,0
2009/2010,MFM Global Issues and Development,Directive,A031751005,43010,MGS Education Child Protection&Gender,1.0,0,Canada,1,0,0.0,Operational,0,0,B5100,0,Not PBA,Civil Society,Foreign Non-Profit Making,0,0,0,1.0,0,0,0,"Educ, Child Protect & Gender Equal - POL",SPECIALIZED INSTITUTE,MGD Social Development,0,0.0,0,CA,INSTITUTE OF DEVELOPMENT STUDIES,574339.0,D5440,S1077,1015,Uncoded: Pre-APP,0,0,0
2009/2010,MFM Global Issues and Development,Directive,A031751005,43010,MGS Education Child Protection&Gender,1.0,0,Canada,1,0,0.0,Operational,0,0,B5100,0,Not PBA,Civil Society,Canadian Non-Profit Making,0,0,0,1.0,0,0,0,"Educ, Child Protect & Gender Equal - POL",NGO,MGD Social Development,0,0.0,0,CA,Children/Youth as Peacebuilders,574339.0,D5440,S1077,1015,Uncoded: Pre-APP,0,0,0
2009/2010,MFM Global Issues and Development,Directive,A031751014,43010,MGS Education Child Protection&Gender,1.0,0,Canada,1,0,0.0,Closed,0,0,B5100,0,Not PBA,Civil Society,Foreign Non-Profit Making,0,0,0,1.0,0,0,0,"Educ, Child Protect & Gender Equal - POL",NGO,MGD Social Development,0,0.0,0,CA,Gender at Work,391469.85,D5440,S1077,1015,Uncoded: Pre-APP,0,0,0
2009/2010,PFM Strategic Policy,Directive,A031757019,43010,Economic Analysis,1.0,0,Canada,1,0,0.0,Closed,0,0,B1000,0,Not PBA,Multilateral,Foreign Non-Profit Making,0,0,0,1.0,0,0,0,Economic Analysis,IFI,PVD Development Policy,0,0.0,0,CA,World Bank,1082300.0,D1035,S1008,1008,Uncoded: Pre-APP,0,0,0
2009/2010,PFM Strategic Policy,Directive,A031759007,43010,*Environment Section,1.0,0,Canada,1,0,0.0,Terminating,0,0,B1000,0,Not PBA,Civil Society,Canadian Non-Profit Making,0,0,0,1.0,0,0,0,*Environment Program,UNIVERSITY,PVD Development Policy,0,0.0,0,CA,McGill University The Royal Institution for,448930.97,D1035,S1010,1029,Uncoded: Pre-APP,0,0,0
2009/2010,PFM Strategic Policy,Directive,A031759010,43010,*Environment Section,1.0,0,Canada,1,0,0.0,Terminating,0,0,B1000,0,Not PBA,Civil Society,Canadian Non-Profit Making,0,0,0,1.0,0,0,0,*Environment Program,ASSOCIATIONS,PVD Development Policy,0,0.0,0,CA,SECRETARIAT INTERNATIONAL FRANCOPHONE POUR L'�VALUATION,878552.93,D1035,S1010,1029,Uncoded: Pre-APP,0,0,0
2009/2010,PFM Strategic Policy,Responsive,A031759013,31130,*Environment Section,1.0,0,Africa MC,1,0,80000.0,Closed,0,0,B1000,0,Not PBA,Civil Society,Foreign Non-Profit Making,0,0,0,0.3334,0,0,0,*Environment Program,SPECIALIZED INSTITUTE,PVD Development Policy,0,0.0,0,X1,The International Land Coalition,80000.0,D1035,S1010,1029,Uncoded: Pre-APP,0,0,0
2009/2010,PFM Strategic Policy,Responsive,A031759013,31130,*Environment Section,1.0,0,Americas MC,1,0,80000.0,Closed,0,0,B1000,0,Not PBA,Civil Society,Foreign Non-Profit Making,0,0,0,0.3333,0,0,0,*Environment Program,SPECIALIZED INSTITUTE,PVD Development Policy,0,0.0,0,X2,The International Land Coalition,80000.0,D1035,S1010,1029,Uncoded: Pre-APP,0,0,0
2009/2010,PFM Strategic Policy,Responsive,A031759013,31130,*Environment Section,1.0,0,Asia MC,1,0,80000.0,Closed,0,0,B1000,0,Not PBA,Civil Society,Foreign Non-Profit Making,0,0,0,0.3333,0,0,0,*Environment Program,SPECIALIZED INSTITUTE,PVD Development Policy,0,0.0,0,X3,The International Land Coalition,80000.0,D1035,S1010,1029,Uncoded: Pre-APP,0,0,0
2009/2010,MFM Global Issues and Development,Responsive,A031759014,33140,MEF ECONOMIC GROWTH AND IFIs,1.0,0,Africa MC,1,0,500000.0,Terminating,0,0,B5100,0,Not PBA,Civil Society,Canadian Non-Profit Making,0,0,0,0.5,0,0,0,Economic Growth - POLICY,NGO,MED Economic Development,0,0.0,0,X1,International Lawyers and Economists Against Poverty,500000.0,D5430,S5434,1049,Uncoded: Pre-APP,0,0,0
2009/2010,MFM Global Issues and Development,Responsive,A031759014,33140,MEF ECONOMIC GROWTH AND IFIs,1.0,0,Americas MC,1,0,500000.0,Terminating,0,0,B5100,0,Not PBA,Civil Society,Canadian Non-Profit Making,0,0,0,0.5,0,0,0,Economic Growth - POLICY,NGO,MED Economic Development,0,0.0,0,X2,International Lawyers and Economists Against Poverty,500000.0,D5430,S5434,1049,Uncoded: Pre-APP,0,0,0
2009/2010,MFM Global Issues and Development,Directive,A031772005,43010,MGS Education Child Protection&Gender,1.0,0,Canada,1,0,0.0,Closed,0,0,B5100,0,Not PBA,Civil Society,Canadian Non-Profit Making,0,0,0,1.0,0,0,0,Education - General,NGO,MGD Social Development,0,0.0,0,CA,CODE,224625.54,D5440,S1077,1056,Uncoded: Pre-APP,0,0,0
2009/2010,"EGM Europe, Middle East and Maghreb",Directive,A031773001,11220,Middle East and North Africa,1.0,0,Egypt,1,0,4478731.9,Terminating,0,0,B3100,0,Not PBA,Governmental,Canadian Non-Profit Making,0,0,0,1.0,0,0,0,Egypt,FEDERAL,EDD Europe-Middle East Programming,0,0.0,0,EG,Department of Foreign Affairs and International Trade,4478731.9,D3100,S4256,4263,Uncoded: Pre-APP,0,0,0
2009/2010,"EGM Europe, Middle East and Maghreb",Directive,A031773001,11220,Middle East and North Africa,1.0,0,Egypt,1,0,4478731.9,Terminating,0,0,B3100,0,Not PBA,Civil Society,Canadian Profit Making,0,0,0,1.0,0,0,0,Egypt,CONSULTING SERVICES,EDD Europe-Middle East Programming,0,0.0,0,EG,GARRY A. COMBER (COMBER & ASSOCIATES CONSULTING),4478731.9,D3100,S4256,4263,Uncoded: Pre-APP,0,0,0
2009/2010,"EGM Europe, Middle East and Maghreb",Directive,A031773001,11220,Middle East and North Africa,1.0,0,Egypt,1,0,4478731.9,Terminating,0,0,B3100,0,Not PBA,Civil Society,Canadian Profit Making,0,0,0,1.0,0,0,0,Egypt,CONSULTING SERVICES,EDD Europe-Middle East Programming,0,0.0,0,EG,The Universalia Management Group Inc.,4478731.9,D3100,S4256,4263,Uncoded: Pre-APP,0,0,0
2009/2010,"EGM Europe, Middle East and Maghreb",Directive,A031773001,11220,Middle East and North Africa,1.0,0,Egypt,1,0,4478731.9,Terminating,0,0,B3100,0,Not PBA,Individual,Canadian Profit Making,0,0,0,1.0,0,0,0,Egypt,CONSULTANT,EDD Europe-Middle East Programming,0,0.0,0,EG,Information not available,4478731.9,D3100,S4256,4263,Uncoded: Pre-APP,0,0,0
2009/2010,"EGM Europe, Middle East and Maghreb",Directive,A031773001,11220,Middle East and North Africa,1.0,0,Egypt,1,0,4478731.9,Terminating,0,0,B3100,0,Not PBA,Unknown,Uncoded,0,0,0,1.0,0,0,0,Egypt,Unknown,EDD Europe-Middle East Programming,0,0.0,0,EG,Information not available,4478731.9,D3100,S4256,4263,Uncoded: Pre-APP,0,0,0
2009/2010,"EGM Europe, Middle East and Maghreb",Directive,A031773001,32130,Middle East and North Africa,1.0,0,Egypt,1,0,4478731.9,Terminating,0,0,B3100,0,Not PBA,Governmental,Canadian Non-Profit Making,0,0,0,1.0,0,0,0,Egypt,FEDERAL,EDD Europe-Middle East Programming,0,0.0,0,EG,Department of Foreign Affairs and International Trade,4478731.9,D3100,S4256,4263,Uncoded: Pre-APP,0,0,0
2009/2010,"EGM Europe, Middle East and Maghreb",Directive,A031773001,32130,Middle East and North Africa,1.0,0,Egypt,1,0,4478731.9,Terminating,0,0,B3100,0,Not PBA,Civil Society,Canadian Profit Making,0,0,0,1.0,0,0,0,Egypt,CONSULTING SERVICES,EDD Europe-Middle East Programming,0,0.0,0,EG,GARRY A. COMBER (COMBER & ASSOCIATES CONSULTING),4478731.9,D3100,S4256,4263,Uncoded: Pre-APP,0,0,0
2009/2010,"EGM Europe, Middle East and Maghreb",Directive,A031773001,32130,Middle East and North Africa,1.0,0,Egypt,1,0,4478731.9,Terminating,0,0,B3100,0,Not PBA,Civil Society,Canadian Profit Making,0,0,0,1.0,0,0,0,Egypt,CONSULTING SERVICES,EDD Europe-Middle East Programming,0,0.0,0,EG,The Universalia Management Group Inc.,4478731.9,D3100,S4256,4263,Uncoded: Pre-APP,0,0,0
2009/2010,"EGM Europe, Middle East and Maghreb",Directive,A031773001,32130,Middle East and North Africa,1.0,0,Egypt,1,0,4478731.9,Terminating,0,0,B3100,0,Not PBA,Individual,Canadian Profit Making,0,0,0,1.0,0,0,0,Egypt,CONSULTANT,EDD Europe-Middle East Programming,0,0.0,0,EG,Information not available,4478731.9,D3100,S4256,4263,Uncoded: Pre-APP,0,0,0
2009/2010,"EGM Europe, Middle East and Maghreb",Directive,A031773001,32130,Middle East and North Africa,1.0,0,Egypt,1,0,4478731.9,Terminating,0,0,B3100,0,Not PBA,Unknown,Uncoded,0,0,0,1.0,0,0,0,Egypt,Unknown,EDD Europe-Middle East Programming,0,0.0,0,EG,Information not available,4478731.9,D3100,S4256,4263,Uncoded: Pre-APP,0,0,0
2009/2010,"EGM Europe, Middle East and Maghreb",Directive,A031773001,43010,Middle East and North Africa,1.0,0,Egypt,1,0,4478731.9,Terminating,0,0,B3100,0,Not PBA,Governmental,Canadian Non-Profit Making,0,0,0,1.0,0,0,0,Egypt,FEDERAL,EDD Europe-Middle East Programming,0,0.0,0,EG,Department of Foreign Affairs and International Trade,4478731.9,D3100,S4256,4263,Uncoded: Pre-APP,0,0,0
2009/2010,"EGM Europe, Middle East and Maghreb",Directive,A031773001,43010,Middle East and North Africa,1.0,0,Egypt,1,0,4478731.9,Terminating,0,0,B3100,0,Not PBA,Civil Society,Canadian Profit Making,0,0,0,1.0,0,0,0,Egypt,CONSULTING SERVICES,EDD Europe-Middle East Programming,0,0.0,0,EG,GARRY A. COMBER (COMBER & ASSOCIATES CONSULTING),4478731.9,D3100,S4256,4263,Uncoded: Pre-APP,0,0,0
2009/2010,"EGM Europe, Middle East and Maghreb",Directive,A031773001,43010,Middle East and North Africa,1.0,0,Egypt,1,0,4478731.9,Terminating,0,0,B3100,0,Not PBA,Civil Society,Canadian Profit Making,0,0,0,1.0,0,0,0,Egypt,CONSULTING SERVICES,EDD Europe-Middle East Programming,0,0.0,0,EG,The Universalia Management Group Inc.,4478731.9,D3100,S4256,4263,Uncoded: Pre-APP,0,0,0
2009/2010,"EGM Europe, Middle East and Maghreb",Directive,A031773001,43010,Middle East and North Africa,1.0,0,Egypt,1,0,4478731.9,Terminating,0,0,B3100,0,Not PBA,Individual,Canadian Profit Making,0,0,0,1.0,0,0,0,Egypt,CONSULTANT,EDD Europe-Middle East Programming,0,0.0,0,EG,Information not available,4478731.9,D3100,S4256,4263,Uncoded: Pre-APP,0,0,0
2009/2010,"EGM Europe, Middle East and Maghreb",Directive,A031773001,43010,Middle East and North Africa,1.0,0,Egypt,1,0,4478731.9,Terminating,0,0,B3100,0,Not PBA,Unknown,Uncoded,0,0,0,1.0,0,0,0,Egypt,Unknown,EDD Europe-Middle East Programming,0,0.0,0,EG,Information not available,4478731.9,D3100,S4256,4263,Uncoded: Pre-APP,0,0,0
2009/2010,NGM Americas,Directive,A031785002,43010,Ha�ti & Dominican Republic Section,1.0,0,Cuba,1,0,0.0,Terminating,0,0,B4400,0,Not PBA,Governmental,Canadian Non-Profit Making,0,0,0,0.135,0,1,0,Haiti,FEDERAL,NDD Americas Programming,0,0.0,0,CU,Department of Foreign Affairs and International Trade,3757126.03,D4400,S4449,4452,Uncoded: Pre-APP,0,0,0
2009/2010,NGM Americas,Directive,A031785002,43010,Ha�ti & Dominican Republic Section,1.0,0,Cuba,1,0,0.0,Terminating,0,0,B4400,0,Not PBA,Civil Society,Canadian Profit Making,0,0,0,0.135,0,1,0,Haiti,CONSULTING SERVICES,NDD Americas Programming,0,0.0,0,CU,CRC Sogema Inc.,3757126.03,D4400,S4449,4452,Uncoded: Pre-APP,0,0,0
2009/2010,NGM Americas,Directive,A031785002,43010,Ha�ti & Dominican Republic Section,1.0,0,Cuba,1,0,0.0,Terminating,0,0,B4400,0,Not PBA,Civil Society,Canadian Profit Making,0,0,0,0.135,0,1,0,Haiti,CONSULTING SERVICES,NDD Americas Programming,0,0.0,0,CU,Geotactic Inc.,3757126.03,D4400,S4449,4452,Uncoded: Pre-APP,0,0,0
2009/2010,NGM Americas,Directive,A031785002,43010,Ha�ti & Dominican Republic Section,1.0,0,Cuba,1,0,0.0,Terminating,0,0,B4400,0,Not PBA,Civil Society,Canadian Profit Making,0,0,0,0.135,0,1,0,Haiti,CONSULTING SERVICES,NDD Americas Programming,0,0.0,0,CU,EDS INTER,3757126.03,D4400,S4449,4452,Uncoded: Pre-APP,0,0,0
2009/2010,NGM Americas,Directive,A031785002,43010,Ha�ti & Dominican Republic Section,1.0,0,Cuba,1,0,0.0,Terminating,0,0,B4400,0,Not PBA,Civil Society,Canadian Profit Making,0,0,0,0.135,0,1,0,Haiti,CONSULTING SERVICES,NDD Americas Programming,0,0.0,0,CU,Consultation Claude G. Rochon Inc.,3757126.03,D4400,S4449,4452,Uncoded: Pre-APP,0,0,0
