assay_id,assay_tissue,doc_id,tissue_id,assay_organism,assay_category,cell_id,assay_tax_id,assay_subcellular_fraction,curated_by,assay_strain,description,assay_type,assay_test_type,assay_cell_type,tid,relationship_type
1205,,11883,,Rattus norvegicus,,,10116.0,,Expert,,In vitro binding affinity against 5-hydroxytryptamine 1A receptor using [3H]8-OH-DPAT,B,,,10576,D
1206,,15535,,,,,,Membranes,Expert,,In vitro binding affinity at 5-HT1A receptors assayed by displacement of [3H]8-OH-DPAT from 5-hydroxytryptamine 1A receptor in rat hippocampal membranes,B,,,10576,H
1207,,15535,,,,,,,Autocuration,,In vitro binding affinity at 5-HT1A receptor by measuring its ability to displace [3H]8-OH-DPAT from 5-hydroxytryptamine 1A receptor in rat hippocampal membranes + cortex,B,,,10576,H
1208,,15535,,,,,,,Autocuration,,In vitro binding affinity at 5-HT1A receptor by measuring its ability to displace [3H]-8-OH-DPAT from 5-hydroxytryptamine 1A receptor in rat hippocampal membranes+cortex,B,,,10576,H
1209,,16372,,Homo sapiens,,449.0,9606.0,,Expert,,Displacement of [3H]8-OH-DPAT from human 5-hydroxytryptamine 1A receptor expressed in CHO cells,B,,CHO,51,D
1210,,14608,,,,,,,Expert,,In vitro binding affinity for 5-hydroxytryptamine 1A receptor in rat hippocampal membranes by [125I]-labeled agonist displacement.,B,,,10576,H
1211,Hippocampus,4795,10000000.0,Rattus norvegicus,,,10116.0,,Expert,,Displacement of [3H]8-OH-DPAT from 5-hydroxytryptamine 1A receptor of rat hippocampus,B,,,10576,D
1212,,13863,,,,,,,Autocuration,,In vitro binding affinity of compound towards 5-hydroxytryptamine 1A receptor was determined using [3H]8-OH-DPAT as radioligand,B,,,10576,H
1213,,13863,,,,,,,Autocuration,,In vitro binding affinity of compound towards 5-hydroxytryptamine 1A receptor was determined using [3H]8-OH-DPAT as radioligand; range=100-230,B,,,10576,H
1214,,13863,,,,,,,Autocuration,,In vitro binding affinity of compound towards 5-hydroxytryptamine 1A receptor was determined using [3H]8-OH-DPAT as radioligand; range=12-14,B,,,10576,H
1215,,13863,,,,,,,Autocuration,,In vitro binding affinity of compound towards 5-hydroxytryptamine 1A receptor was determined using [3H]8-OH-DPAT as radioligand; range=16-20,B,,,10576,H
1216,,13863,,,,,,,Autocuration,,In vitro binding affinity of compound towards 5-hydroxytryptamine 1A receptor was determined using [3H]8-OH-DPAT as radioligand; range=160-430,B,,,10576,H
1217,,13863,,,,,,,Autocuration,,In vitro binding affinity of compound towards 5-hydroxytryptamine 1A receptor was determined using [3H]8-OH-DPAT as radioligand; range=174-224,B,,,10576,H
1218,,13863,,,,,,,Autocuration,,In vitro binding affinity of compound towards 5-hydroxytryptamine 1A receptor was determined using [3H]8-OH-DPAT as radioligand; range=184-503,B,,,10576,H
1219,,13863,,,,,,,Autocuration,,In vitro binding affinity of compound towards 5-hydroxytryptamine 1A receptor was determined using [3H]8-OH-DPAT as radioligand; range=19-23,B,,,10576,H
1220,,13863,,,,,,,Autocuration,,In vitro binding affinity of compound towards 5-hydroxytryptamine 1A receptor was determined using [3H]-8-OH-DPAT as radioligand; range=2.2-3.2,B,,,10576,H
1221,,13863,,,,,,,Autocuration,,In vitro binding affinity of compound towards 5-hydroxytryptamine 1A receptor was determined using [3H]8-OH-DPAT as radioligand; range=2.7-3.6,B,,,10576,H
1222,,13863,,,,,,,Autocuration,,In vitro binding affinity of compound towards 5-hydroxytryptamine 1A receptor was determined using [3H]8-OH-DPAT as radioligand; range=20-23,B,,,10576,H
1223,,13863,,,,,,,Autocuration,,In vitro binding affinity of compound towards 5-hydroxytryptamine 1A receptor was determined using [3H]-8-OH-DPAT as radioligand; range=21-28,B,,,10576,H
1224,,13863,,,,,,,Autocuration,,In vitro binding affinity of compound towards 5-hydroxytryptamine 1A receptor was determined using [3H]8-OH-DPAT as radioligand; range=240-760,B,,,10576,H
1225,,13863,,,,,,,Autocuration,,In vitro binding affinity of compound towards 5-hydroxytryptamine 1A receptor was determined using [3H]-8-OH-DPAT as radioligand; range=39-87,B,,,10576,H
1226,,13863,,,,,,,Autocuration,,In vitro binding affinity of compound towards 5-hydroxytryptamine 1A receptor was determined using [3H]8-OH-DPAT as radioligand; range=4.6-5.2,B,,,10576,H
1227,,9742,,,,,,,Autocuration,,Inhibitory activity tested in vitro at 5-hydroxytryptamine 1A receptor binding site in rat,B,,,10576,H
1228,,12073,,,,,,,Autocuration,,Inhibitory concentration against 5-hydroxytryptamine 1A receptor,B,,,10576,H
1229,,4101,,,,,,,Autocuration,,Inhibitory concentration against binding of 5-hydroxytryptamine 1A receptor from striata of male Wistar rats by displacement of [3H]8-OH-DPAT,B,,,10576,H
1230,,15360,,,,,,,Autocuration,,Inhibitory concentration against radioligand [3H]hydroxy-2-(di-n-propylamino)-tetralin binding to 5-hydroxytryptamine 1A receptor in rat,B,,,10576,H
1231,Hippocampus,11576,10000000.0,,,,,,Autocuration,,Inhibitory concentration against radioligand [3H]8-OH-DPAT binding to rat hippocampal 5-hydroxytryptamine 1A receptor,B,,,10576,H
1232,,5834,,,,,,,Expert,,Inhibition of the 5-hydroxytryptamine 1A receptor in rat dorsal raphe,B,,,10576,H
1233,,2395,,Rattus norvegicus,,485.0,10116.0,,Expert,,Inhibitory concentration against [3H]8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor expressed in CHO-K1 cells,B,,CHO-K1,10576,D
1234,,1375,,,,,,,Autocuration,,Tested in vitro for receptor binding affinity to 5-hydroxytryptamine 1A receptor in rat cortex using [3H]OH-DPAT radioligand,B,,,10576,H
1235,,1375,,,,,,,Autocuration,,Tested in vitro for receptor binding affinity to 5-hydroxytryptamine 1A receptor in rat cortex using [3H]OH-DPAT radioligand; NT means not tested,B,,,10576,H
1236,,3967,,,,,,,Autocuration,,The compound was evaluated for the ability to displace [3H]- 8-OH -DPAT from 5-hydroxytryptamine 1A receptor ( striata of male wistar rats),B,,,10576,H
1237,,12884,,,,,,,Expert,,Binding affinity towards 5-hydroxytryptamine 1A receptor binding site using [3H]8-OH-DPAT. ,B,,,10576,H
1238,,2343,,,,,,,Expert,,Binding affinity towards 5-hydroxytryptamine 1A receptor using receptor binding assay,B,,,10576,H
1239,,11511,,,,,,,Autocuration,,"The compound was tested in vitro for inhibitory activity against 5-HT1A receptor in rats, using [3H]8-OH-DPAT as radioligand",B,,,10576,H
1240,,11511,,Rattus norvegicus,,,10116.0,,Expert,,"Inhibitory activity against 5-hydroxytryptamine 1A receptor in rats, using [3H]8-OH-DPAT as radioligand",B,,,10576,D
1241,,16394,,,,,,,Autocuration,,Antagonistic activity at postsynaptic 5-hydroxytryptamine 1A receptor was measured by its ability to inhibit hypothermia elicited by s.c. administration of 8-OH-DPAT in rat,F,In vivo,,10576,H
1242,,16394,,,,,,,Autocuration,,Antagonistic activity at postsynaptic 5-hydroxytryptamine 1A receptor was measured by its ability to inhibit hypothermia elicited by s.c. administration of 8-OH-DPAT in rat;ranges from (0.10-6.20),F,In vivo,,10576,H
1243,,16394,,,,,,,Autocuration,,Antagonistic activity at postsynaptic 5-hydroxytryptamine 1A receptor was measured by its ability to inhibit hypothermia elicited by s.c. administration of 8-OH-DPAT in rat;ranges from (0.20-1.60),F,In vivo,,10576,H
1244,,16394,,,,,,,Autocuration,,Antagonistic activity at postsynaptic 5-hydroxytryptamine 1A receptor was measured by its ability to inhibit hypothermia elicited by s.c. administration of 8-OH-DPAT in rat;ranges from (0.20-1.80),F,In vivo,,10576,H
1245,,16394,,,,,,,Autocuration,,Antagonistic activity at postsynaptic 5-hydroxytryptamine 1A receptor was measured by its ability to inhibit hypothermia elicited by s.c. administration of 8-OH-DPAT in rat;ranges from (0.37-4.27),F,In vivo,,10576,H
1246,,16394,,,,,,,Autocuration,,Antagonistic activity at postsynaptic 5-hydroxytryptamine 1A receptor was measured by its ability to inhibit hypothermia elicited by s.c. administration of 8-OH-DPAT in rat;ranges from (0.40-2.70),F,In vivo,,10576,H
1247,,16394,,,,,,,Autocuration,,Antagonistic activity at postsynaptic 5-hydroxytryptamine 1A receptor was measured by its ability to inhibit hypothermia elicited by s.c. administration of 8-OH-DPAT in rat;ranges from (0.40-4),F,In vivo,,10576,H
1248,,16394,,,,,,,Autocuration,,Antagonistic activity at postsynaptic 5-hydroxytryptamine 1A receptor was measured by its ability to inhibit hypothermia elicited by s.c. administration of 8-OH-DPAT in rat;ranges from (0.45-4.51),F,In vivo,,10576,H
1249,,16394,,,,,,,Autocuration,,Antagonistic activity at postsynaptic 5-hydroxytryptamine 1A receptor was measured by its ability to inhibit hypothermia elicited by s.c. administration of 8-OH-DPAT in rat;ranges from (0.50-5.30),F,In vivo,,10576,H
1250,,16394,,,,,,,Autocuration,,Antagonistic activity at postsynaptic 5-hydroxytryptamine 1A receptor was measured by its ability to inhibit hypothermia elicited by s.c. administration of 8-OH-DPAT in rat;ranges from (0.60-1.60),F,In vivo,,10576,H
1251,,16394,,,,,,,Autocuration,,Antagonistic activity at postsynaptic 5-hydroxytryptamine 1A receptor was measured by its ability to inhibit hypothermia elicited by s.c. administration of 8-OH-DPAT in rat;ranges from (0.72-2.87),F,In vivo,,10576,H
1252,,16394,,,,,,,Autocuration,,Antagonistic activity at postsynaptic 5-hydroxytryptamine 1A receptor was measured by its ability to inhibit hypothermia elicited by s.c. administration of 8-OH-DPAT in rat;ranges from (0.80-5.80),F,In vivo,,10576,H
1253,,16394,,,,,,,Autocuration,,Antagonistic activity at postsynaptic 5-hydroxytryptamine 1A receptor was measured by its ability to inhibit hypothermia elicited by s.c. administration of 8-OH-DPAT in rat;ranges from (1.50-16.5),F,In vivo,,10576,H
1254,,16394,,,,,,,Autocuration,,Antagonistic activity at postsynaptic 5-hydroxytryptamine 1A receptor was measured by its ability to inhibit hypothermia elicited by s.c. administration of 8-OH-DPAT in rat;ranges from (2.20-30.5),F,In vivo,,10576,H
1255,,16394,,,,,,,Autocuration,,Antagonistic activity at postsynaptic 5-hydroxytryptamine 1A receptor was measured by its ability to inhibit hypothermia elicited by s.c. administration of 8-OH-DPAT in rat;ranges is not computable,F,In vivo,,10576,H
1256,,16616,,Rattus norvegicus,,,10116.0,Membranes,Expert,,"Percent increase of R(+)-8-OH-DPAT stimulated [35S]GTP-gamma-S, binding to 5-hydroxytryptamine 1A receptor in isolated rat hippocampal membranes",F,,,10576,D
1257,,16796,,,,,,,Autocuration,,% inhibition towards 5-HT1A receptor from rat hippocampal membranes,B,,,10576,H
1258,,16796,,,,,,,Autocuration,,% inhibition towards 5-hydroxytryptamine 1A receptor from rat hippocampal membranes,B,,,10576,H
1259,,15629,,,,,,,Autocuration,,Tested in vitro for % inhibition against (serotonin)5-HT 1A receptor.,B,,,10576,H
1260,,13241,,,,,,,Autocuration,,"Ability to inhibit 5-HT sensitive,forskolin-stimulated adenylyl cyclase(FSC) activity in rat hippocampal membranes mediated through 5-hydroxytryptamine 1A receptor",F,,,10576,H
1261,Hippocampus,12073,10000000.0,,,,,,Expert,,Measurement of binding affinity by displacement of [3H]8-OH-DPAT from 5-hydroxytryptamine 1A receptor in rat hippocampus,B,,,10576,H
1262,Hippocampus,14286,10000000.0,,,,,,Autocuration,,Compound at 10E-5 M was tested in vitro for the inhibition of radioligand [3H]8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor in rat hippocampal membrane,B,,,10576,H
1263,Brain,14542,955.0,,,,,,Autocuration,,Compound is evaluated for binding affinity towards 5-hydroxytryptamine 1A receptor using [3H]-8-OH- -DPAT in rat brain cortex at 10 uM,B,,,10576,H
1264,,13630,,,,,,,Autocuration,,Effect on 5-hydroxytryptamine 1A receptor mediated inhibition of VIP-stimulated cAMP production at dose of 0.1 uM + 10 uM 5-HT.,F,,,10576,H
1265,,13630,,,,,,,Autocuration,,Effect on 5-hydroxytryptamine 1A receptor mediated inhibition of VIP-stimulated cAMP production at dose of 0+ 1 uM 5-HT.,F,,,10576,H
1266,,13630,,,,,,,Autocuration,,Effect on 5-hydroxytryptamine 1A receptor mediated inhibition of VIP-stimulated cAMP production at dose of 0.01 uM+ 1 uM 5-HT.,F,,,10576,H
1267,,13630,,,,,,,Autocuration,,Effect on 5-hydroxytryptamine 1A receptor mediated inhibition of VIP-stimulated cAMP production at dose of 0.05 uM,F,,,10576,H
1268,,13630,,,,,,,Expert,,Effect on 5-hydroxytryptamine 1A receptor mediated inhibition of VIP-stimulated cAMP production at dose of 0.05 uM,F,,,10576,H
1269,,13630,,,,,,,Autocuration,,Effect on 5-hydroxytryptamine 1A receptor mediated inhibition of VIP-stimulated cAMP production at dose of 0.05 uM+ 1 uM 5-HT.,F,,,10576,H
1270,,13630,,Rattus norvegicus,,,10116.0,,Expert,,Effect against 5-hydroxytryptamine 1A receptor mediated inhibition of VIP-stimulated cAMP production at 0.1 uM dose,F,,,10576,D
1271,,13630,,,,,,,Autocuration,,Effect on 5-hydroxytryptamine 1A receptor mediated inhibition of VIP-stimulated cAMP production at dose of 0.1 uM + 10 uM 5-HT.,F,,,10576,H
1272,,13630,,,,,,,Expert,,Effect on 5-hydroxytryptamine 1A receptor mediated inhibition of VIP-stimulated cAMP production at dose of 0.1 uM + 1 uM 5-HT.,F,,,10576,H
1273,,13630,,,,,,,Autocuration,,Effect on 5-hydroxytryptamine 1A receptor mediated inhibition of VIP-stimulated cAMP production at dose of 0.1 uM + 0.1 uM 5-HT.,F,,,10576,H
1274,,13630,,,,,,,Expert,,Effect on 5-hydroxytryptamine 1A receptor mediated inhibition of VIP-stimulated cAMP production at dose of 10 uM,F,,,10576,H
1275,,13630,,,,,,,Autocuration,,Effect on 5-hydroxytryptamine 1A receptor mediated inhibition of VIP-stimulated cAMP production at dose of 10 uM+ 10 uM 5-HT.,F,,,10576,H
1276,,13630,,,,,,,Expert,,Effect on 5-hydroxytryptamine 1A receptor mediated inhibition of VIP-stimulated cAMP production at dose of 1 uM,F,,,10576,H
1277,,13630,,,,,,,Autocuration,,Effect on 5-hydroxytryptamine 1A receptor mediated inhibition of VIP-stimulated cAMP production at dose of 1 uM+ 0.1 uM 5-HT.,F,,,10576,H
1278,,13630,,,,,,,Autocuration,,Effect on 5-hydroxytryptamine 1A receptor mediated inhibition of VIP-stimulated cAMP production at dose of 1 uM+ 10 uM 5-HT.,F,,,10576,H
1279,,13630,,,,,,,Autocuration,,Effect on 5-hydroxytryptamine 1A receptor mediated inhibition of VIP-stimulated cAMP production at dose of 1 uM+ 1 uM 5-HT.,F,,,10576,H
1280,,13630,,,,,,,Expert,,Effect on 5-hydroxytryptamine 1A receptor mediated inhibition of VIP-stimulated cAMP production at dose of 1 uM+ 3 uM 5-HT.,F,,,10576,H
1281,,13630,,,,,,,Expert,,Effect on 5-hydroxytryptamine 1A receptor mediated inhibition of VIP-stimulated cAMP production at dose of 1 uM+ 50 uM 5-HT.,F,,,10576,H
1282,,13630,,,,,,,Autocuration,,Effect on 5-hydroxytryptamine 1A receptor mediated inhibition of VIP-stimulated cAMP production at dose of 30 uM,F,,,10576,H
1283,,13630,,,,,,,Expert,,Effect on 5-hydroxytryptamine 1A receptor mediated inhibition of VIP-stimulated cAMP production at dose of 50 uM,F,,,10576,H
1284,,13630,,,,,,,Autocuration,,Effect on 5-hydroxytryptamine 1A receptor mediated inhibition of VIP-stimulated cAMP production at dose of 50 uM+ 50 uM 5-HT.,F,,,10576,H
1285,,13630,,,,,,,Autocuration,,Effect on 5-hydroxytryptamine 1A receptor-mediated inhibition of VIP-stimulated cAMP production at dose of 0.1 uM,F,,,10576,H
1286,,13630,,,,,,,Autocuration,,Effect on 5-hydroxytryptamine 1A receptor-mediated inhibition of VIP-stimulated cAMP production at dose of 1 uM+ 10 uM 5-HT.,F,,,10576,H
1287,,13630,,,,,,,Autocuration,,Effect on 5-hydroxytryptamine 1A receptor mediated inhibition of VIP-stimulated cAMP production at dose of 1 uM,F,,,10576,H
1288,Hippocampus,9783,10000000.0,,,,,,Autocuration,,In vitro inhibition of [3H]spiperone binding to 5-hydroxytryptamine 1A receptor from rat hippocampal tissue,B,,,10576,H
1289,Hippocampus,9783,10000000.0,,,,,,Expert,,In vitro inhibition of [3H]spiperone binding to 5-hydroxytryptamine 1A receptor from rat hippocampal tissue at 1 uM,B,,,10576,H
1290,,14331,,Rattus norvegicus,,,10116.0,Membranes,Expert,,Inhibition of [3H]8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor in rat hippocampal membranes at 10e-7 M,B,,,10576,D
1291,Hippocampus,15260,10000000.0,,,,,,Expert,,Inhibitory activity against 5-hydroxytryptamine 1A receptor of rat hippocampal tissue at 1 uM,B,,,10576,H
1292,Hippocampus,15260,10000000.0,,,,,,Autocuration,,Inhibitory activity against rat hippocampal tissue 5-hydroxytryptamine 1A receptor at 0.1 uM concentration,B,,,10576,H
1293,Hippocampus,15260,10000000.0,,,,,,Autocuration,,Inhibitory activity against rat hippocampal tissue 5-hydroxytryptamine 1A receptor at 1 uM concentration,B,,,10576,H
1294,,16616,,Rattus norvegicus,,,10116.0,,Expert,,"Percent inhibition of (+)-8-OH-DPAT stimulated [35S]GTP-gamma-S, binding to 5-hydroxytryptamine 1A receptor in hippocampal membranes",F,,,10576,D
1295,,15629,,,,,,,Autocuration,,Tested in vitro for % inhibition against (serotonin)5-HT 1A receptor,B,,,10576,H
1296,,15086,,,,,,,Autocuration,,The compound was tested binding affinity against 5-hydroxytryptamine 1A receptor from rat brain using [3H]8-OH-DPAT as radioligand at 10e-6 M.,B,,,10576,H
1297,,5717,,,,,,,Expert,,Antagonistic activity against 5-hydroxytryptamine 1A receptor in rat cerebral cortex using [3H]8-OH-DPAT as radioligand.,F,,,10576,H
1298,,12652,,,,,,,Autocuration,,Binding affinity against the site labelled by the 5-hydroxytryptamine 1A receptor agonist [3H]- 8-OH-DPAT,B,,,10576,H
1299,Hippocampus,14608,10000000.0,,,,,,Autocuration,,In vitro binding affinity for 5-hydroxytryptamine 1A receptor was determined by measuring specific inhibition of [125I]-binding to rat hippocampal membrane preparations,B,,,10576,H
1300,Hippocampus,12306,10000000.0,,,,,,Autocuration,,Inhibition of binding of [125I]-8-OH-PIPAT ligand to 5-hydroxytryptamine 1A receptor of rat hippocampal homogenates,B,,,10576,H
1301,Hippocampus,12306,10000000.0,,,,,,Autocuration,,The binding of [125I]MPPI ligand to 5-hydroxytryptamine 1A receptor of rat hippocampal homogenates,B,,,10576,H
1302,,15247,,Rattus norvegicus,,,10116.0,,Expert,,Ability to displace [3H]8-OH-DPAT from 5-hydroxytryptamine 1A receptor,B,,,10576,D
1303,Hippocampus,17529,10000000.0,,,,,,Expert,,Ability to bind to central serotonin 5-hydroxytryptamine 1A receptor in vitro in hippocampus of the rat brain using [3H]8-OH-DPAT radioligand,B,,,10576,H
1304,Hippocampus,14826,10000000.0,,,,,,Autocuration,,Ability to displace [3H]- -OH-DPAT bound to 5-hydroxytryptamine 1A receptor in rat hippocampus,B,,,10576,H
1305,Hippocampus,14826,10000000.0,,,,,,Autocuration,,Ability to displace [3H]- -(OH)-DPAT bound to 5-hydroxytryptamine 1A receptor in rat hippocampus,B,,,10576,H
1306,Hippocampus,13241,10000000.0,,,,,,Autocuration,,Ability to displace [3H]8-OH-DPAT binding to rat hippocampal 5-hydroxytryptamine 1A receptor,B,,,10576,H
1307,Hippocampus,14093,10000000.0,,,,,,Autocuration,,Ability to displace [3H]-8-OH-DPAT from rat hippocampal homogenate 5-hydroxytryptamine 1A receptor,B,,,10576,H
1308,Hippocampus,14093,10000000.0,,,,,,Autocuration,,Ability to displace [3H]-8-OH-DPAT from rat hippocampal homogenate 5-hydroxytryptamine 1A receptor; Not tested,B,,,10576,H
1309,Brain,14442,955.0,,,,,,Autocuration,,Affinity at [3H]8-OH-DPAT-labeled 5-hydroxytryptamine 1A receptor in rat brain homogenate was determined,B,,,10576,H
1310,,9919,,,,,,,Autocuration,,Affinity for 5-hydroxytryptamine 1A receptor site,B,,,10576,H
1311,,9919,,,,,,,Autocuration,,Affinity for 5-hydroxytryptamine 1A receptor site,B,,,10576,H
1312,Hippocampus,11440,10000000.0,,,,,,Autocuration,,Affinity in displacing [3H]8-OH-DPAT from rat hippocampal 5-HT1A receptor.,B,,,10576,H
1313,,11257,,,,,,,Autocuration,,Affinity on 5-hydroxytryptamine 1A receptor labeled by [3H]8-OH-DPAT,B,,,10576,H
1314,,10330,,,,,,,Expert,,Binding affinity against 5-hydroxytryptamine 1A receptor using [3H]-8-OH-DPAT as radioligand,B,,,10576,H
1315,Hippocampus,17331,10000000.0,Rattus norvegicus,,,10116.0,,Expert,,Displacement of [3H]8-OH-DPAT from 5-hydroxytryptamine 1A receptor of rat hippocampus mambranes,B,,,10576,D
1316,,16567,,,,,,,Expert,,Binding affinity against 5-hydroxytryptamine 1A receptor by displacing [3H]8-OH-DPAT radioligand in rat cortex membrane,B,,,10576,H
1317,,12058,,Rattus norvegicus,,,10116.0,,Expert,,"Binding affinity against 5-hydroxytryptamine 1A receptor in homogenated rat brain tissue, using by [3H]8-OH-DPAT as radioligand",B,,,10576,D
1318,Hippocampus,9699,10000000.0,,,,,,Autocuration,,Binding affinity against 5-hydroxytryptamine 1A receptor in rat hippocampal tissue,B,,,10576,H
1319,,9547,,,,,,,Autocuration,,Binding affinity against 5-hydroxytryptamine 1A receptor of rat was determined using [3H]8-OH-DPAT in binding assay,B,,,10576,H
1320,,10330,,,,,,,Autocuration,,Binding affinity against 5-hydroxytryptamine 1A receptor using [3H]DOB as radioligand,B,,,10576,H
1321,,14331,,,,,,,Autocuration,,Binding affinity against rat 5-hydroxytryptamine 1A receptor,B,,,10576,H
1322,,14060,,Rattus norvegicus,,,10116.0,,Expert,,Binding affinity against rat brain 5-hydroxytryptamine 1A receptor,B,,,10576,D
1323,Hippocampus,14744,10000000.0,,,,,,Autocuration,,Binding affinity against the 5-hydroxytryptamine 1A receptor labelled with [3H]8-OH-DPAT in rat hippocampal homogenates,B,,,10576,H
1324,,13506,,,,,,,Autocuration,,Binding affinity against serotonin 5-hydroxytryptamine 1A receptor using radioligand [3H]8-OH-DPAT binding assay,B,,,10576,H
1325,Brain,10862,955.0,,,,,,Expert,,Binding affinity at 5-hydroxytryptamine 1A receptor by the displacement of [3H]8-OH-DPAT in rat brain.,B,,,10576,H
1326,Brain,10862,955.0,,,,,,Expert,,Binding affinity at 5-hydroxytryptamine 1A receptor by the displacement of [3H]8-OH-DPAT in rat brain.,B,,,10576,H
1327,,10062,,,,,,,Expert,,Binding affinity at rat 5-hydroxytryptamine 1A receptor by [3H]WB-4101 displacement.,B,,,10576,H
1328,,12073,,,,,,,Autocuration,,Binding affinity for 5-hydroxytryptamine 1A receptor by use of [3H]8-OH-DPAT in male rat,B,,,10576,H
1329,,14875,,,,,,,Autocuration,,GTPgammaS radioligand binding assay,B,,,106,H
1330,,2391,,,,,,,Autocuration,,The compound was evaluated for intrinsic activity against human cloned 5-hydroxytryptamine 1B receptor; Not determined,B,,,106,H
1331,,2391,,,,,,,Autocuration,,The compound was evaluated for intrinsic activity against human cloned 5-hydroxytryptamine 1B receptor; Partial agonist,F,,,106,H
1332,,2391,,,,,,,Autocuration,,The compound was evaluated for intrinsic activity against human cloned 5-hydroxytryptamine 1B receptor; Slient antagonist,F,,,106,H
1333,,2391,,,,,,,Autocuration,,The compound was evaluated for intrinsic activity against human cloned 5-hydroxytryptamine 1B receptor,B,,,106,H
1334,,2391,,,,,,,Autocuration,,The compound was evaluated for intrinsic activity against human cloned 5-hydroxytryptamine 1B receptor; Not determined,B,,,106,H
1335,,2391,,,,,,,Autocuration,,The compound was evaluated for intrinsic activity against human cloned 5-hydroxytryptamine 1B receptor; silent antagonist,F,,,106,H
1336,,17211,,,,308.0,,,Expert,,Ability to displace [3H]5-CT (1.5 nM) from HeLa cells of human 5-hydroxytryptamine 1B receptor,B,,HeLa,106,H
1337,,17211,,,,308.0,,,Autocuration,,Ability to displace [3H]5-CT (1.5 nM) from HeLa cells of human 5-hydroxytryptamine 1B receptor receptor,B,,HeLa,106,H
1338,,6491,,Homo sapiens,,,9606.0,,Expert,,Affinity towards human 5-hydroxytryptamine 1B serotonin receptor,B,,,106,D
1339,,16190,,,,449.0,,,Autocuration,,Binding affinity against 5-hydroxytryptamine 1B receptor in CHO cells using [3H]5-HT as radioligand,B,,CHO,106,H
1340,,14165,,,,,,,Autocuration,,Binding affinity for 5-hydroxytryptamine 1B receptor in C6-glial transfected cell type using [3H]5-CT as radioligand,B,,,106,H
1341,,14165,,,,,,,Autocuration,,Binding affinity for 5-hydroxytryptamine 1B receptor in C6-glial transfected cell type using [3H]GR-125743 as radioligand,B,,,106,H
1342,,4234,,Homo sapiens,,,9606.0,,Expert,,Binding affinity to cloned human 5-hydroxytryptamine 1B receptor,B,,,106,D
1343,,6328,,,,,,,Expert,,Binding affinity towards human 5-hydroxytryptamine 1B receptor in L-M(tk-) cells using [3H]GR-125743 as radioligand,B,,,106,H
1344,,14770,,,,,,,Autocuration,,Binding affinity for recombinant human 5-hydroxytryptamine 1B receptor using [3H]5-HT as radioligand.,B,,,106,H
1345,,2598,,,,,,,Autocuration,,Binding affinity was evaluated at human recombinant 5-hydroxytryptamine 1B receptor using [3H]5-CT as radioligand,B,,,106,H
1346,,6897,,,,,,,Expert,,Binding affinity was evaluated at the cloned human 5-hydroxytryptamine 1B receptor,B,,,106,H
1347,,6897,,,,,,,Autocuration,,Binding affinity was evaluated at the cloned human 5-hydroxytryptamine 1B receptor,B,,,106,H
1348,,6013,,,,,,,Autocuration,,Binding affinity towards 5-hydroxytryptamine 1B receptor,B,,,106,H
1349,,5843,,,,,,,Expert,,Binding affinity towards cloned human 5-hydroxytryptamine 1B receptor,B,,,106,H
1350,,14454,,,,,,,Expert,,Binding affinity towards human 5-hydroxytryptamine 1B receptor using [3H]5-HT trifluoroacetate as radioligand,B,,,106,H
1351,,16209,,,,,,,Autocuration,,Binding affinity towards human 5-hydroxytryptamine 1B receptor using [3H]5-HT radioligand,B,,,106,H
1352,,3935,,,,,,,Autocuration,,Compound was evaluated for its binding affinity for human 5-hydroxytryptamine 1B receptor,B,,,106,H
1353,,13729,,,,485.0,,,Expert,,Ability to inhibit the forskolin-stimulated c-AMP formation mediated by human 5-hydroxytryptamine 1B receptor in CHO-K1 cells,F,,CHO-K1,106,H
1354,,14251,,,,,,,Expert,,Agonist activity to the human recombinant 5-hydroxytryptamine 1B receptor,F,,,106,H
1355,,17085,,,,,,,Expert,,In vitro binding affinity by radioligand binding assay using cell line expressing human 5-hydroxytryptamine 1B receptor,B,,,106,H
1356,,3025,,,,,,,Autocuration,,In vitro binding affinity was determined towards cloned human 5-hydroxytryptamine 1B receptor using [3H]5-CT radioligand,B,,,106,H
1357,,15315,,,,,,,Expert,,In vitro receptor binding affinity for cloned human 5-hydroxytryptamine 1B receptor,B,,,106,H
1358,,14214,,Homo sapiens,,,9606.0,,Expert,,Receptor binding affinity for cloned human 5-hydroxytryptamine 1B receptor in Cos-7 cells,B,,,106,D
1359,,3804,,Homo sapiens,,,9606.0,,Expert,,Binding affinity towards cloned human 5-hydroxytryptamine 1B receptor,B,,,106,D
1360,,2391,,Homo sapiens,,,9606.0,,Expert,,Affinity for 5-hydroxytryptamine 1B receptor subtype,B,,,106,D
1361,,4175,,Homo sapiens,,,9606.0,,Expert,,Binding affinity for human 5-hydroxytryptamine 1B receptor,B,,,106,D
1362,,17296,,,,449.0,,,Autocuration,,Binding affinity against cloned human 5-hydroxytryptamine 1B receptor in CHO cells using [3H]5-CT as radioligand; Not determined,B,,CHO,106,H
1363,,17085,,,,,,,Expert,,In vitro binding affinity was determined by radioligand binding assay using cell line expressing human 5-hydroxytryptamine 1B receptor; ND means not determined,B,,,106,H
