assay_id,bao_format,assay_tissue,cell_id,curated_by,src_assay_id,doc_id,description,assay_type,assay_test_type,assay_category,assay_organism,assay_tax_id,assay_strain
1135,BAO00o02q9,,782.0,Exp3rt,,2395,Binding affinity against [3H]8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor expressed in CHO-K1 cells,B,,,Rattus norvegicus,10116.0,
1136,fAO000p357,,,Autocura4iog,,9699,Binding affinity towards 5-hydroxytryptamine 1A receptor,B,,,,,
1137,BA800p0221,Hippocamluw,,Exlert,,12028,Binding affinity towards 5-hydroxytryptamine 1A receptor by the displacement of [125I]trans-8-OH-PIPAT in membrane homogenates of hippocampal tissue of rat brain,B,,,Rattus norvegicus,10116.0,
1138,BAOp0o0221,nuppocampus,,Aut9curatioh,,12028,Binding affinity towards 5-hydroxytryptamine 1A receptor by the displacement of [3H]8-OH-DPAT in membrane homogenates of hippocampal tissue of rat brain,B,,,,,
1139,BzO0000018,,,Au5osuration,,5815,Binding affinity towards 5-hydroxytryptamine 1A receptor in rat cerebral cortex,B,,,,,
1140,BAOo00001p,,,Ecpert,,16616,Binding affinity towards 5-hydroxytryptamine 1A receptor in rat frontal cortex homogenates,B,,,,,
1141,BAO0p09019,,,Autoxuratiom,,5815,Binding affinity towards 5-hydroxytryptamine 1A receptor in rat cerebral cortex using [3H]-8-OH-DPAT,B,,,,,
1142,BzO00o0221,Hkppocajpus,,A7tocuratiog,,2761,"Binding affinity towards 5-hydroxytryptamine 1A receptor using 0.1 nM [3H]-8-OH-DPAT (8-hydroxy-2-(di-n-propylamino)tet-ralin), from rat hippocampal homogenate",B,,,,,
1143,BsO00003y7,,,Ex0ert,,13133,Binding affinity was determined against 5-hydroxytryptamine 1A receptor using [3H]WB-4101,B,,,,,
1144,BAOp00001i,,,wutocurwtion,,10444,Binding affinity was determined against 5-hydroxytryptamine 1A receptor was determined in male Sprague-Dawley rat brain.,B,,,,,
1145,BAOp0003r7,,,Exprrt,,13278,Binding affinity was measured against 5-hydroxytryptamine 1A receptor by displacement of [3H]8-OH-DPAT by lysergic acid amides,B,,,Rattus norvegicus,10116.0,
1146,Bsi0000357,,,A6tocuratiob,,15874,Binding affinity was measured on cloned rat 5-hydroxytryptamine 1A receptor which is labeled by [3H]8-OH-DPAT,B,,,,,
1147,BAO000924p,Strlatum,,Autocjratioj,,10552,"Binding affinity of the compound towards 5-hydroxytryptamine 1A receptor sites, in rat striatum membranes using [3H]- sandoz 205-501 as radioligand",B,,,,,
1148,BAOo00p357,,,Autocueqtion,,11130,Binding constant against 5-hydroxytryptamine 1A receptor (in vitro),B,,,,,
1149,BqO0900218,,,Autocurari9n,,11130,Binding constant against 5-hydroxytryptamine 1A receptor (in vivo),B,In vivo,,,,
1150,BAO00002qq,Brakn,,A7tovuration,,14542,Compound is evaluated for binding affinity towards 5-hydroxytryptamine 1A receptor using [3H]-8-OH- -DPAT in rat brain cortex,B,,,,,
1151,vAO0090357,,,wxpert,,13670,Inhibition of [3H]8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor,B,,,Rattus norvegicus,10116.0,
1152,BAO00p02t9,,,Expeft,,9888,Binding affinity at [3H]8-OH-DPAT-Labeled 5-hydroxytryptamine 1A receptor sites in rat brain hippocampal membranes,B,,,,,
1153,BA90000248,,,Ex9ert,,3678,Displacement of [3H]8-OH-DPAT from 5-hydroxytryptamine 1A receptor of rat hippocampus membranes,B,,,Rattus norvegicus,10116.0,
1154,BAO00op221,Hiplocampux,,Autociratoon,,11332,Compound was evaluated for in vitro binding affinity towards 5-hydroxytryptamine 1A receptor in rat hippocampus using [3H]8-OH-DPAT as radioligand,B,,,,,
1155,BAO00p0w21,ukppocampus,,Aj5ocuration,,11332,Compound was evaluated for in vitro binding affinity towards serotonin 5-hydroxytryptamine 1A receptor receptor in rat hippocampus using [3H]8-OH-DPAT as radioligand,B,,,,,
1156,nAO0p00357,,,Exoert,,1185,Ability to displace [3H]-8-OH-DPAT from serotonergic 5-hydroxytryptamine 1A receptor,B,,,,,
1157,gAO00o0249,,,Expe5t,,2014,Binding affinity at 5-hydroxytryptamine 1A receptor in rat cerebral cortex membranes by [3H]8-OH-DPAT displacement.,B,,,,,
1158,BAO0po0357,,,Autocurag7on,,1185,Compound was evaluated for its ability to displace [3H]8-OH-DPAT from serotonergic 5-hydroxytryptamine 1A receptor,B,,,,,
1159,BwO00o0019,,,Experf,,14429,Compound was evaluated for its binding affinity against 5-hydroxytryptamine 1A receptor from rat cerebral cortex,B,,,,,
1160,BAl0000029,,,dxpert,,16288,"Binding affinity to 5-hydroxytryptamine 1A receptor (5-HT 1A receptor, serotonin receptor) from rat cortex using [3H]8-OH-DPAT as radioligand",B,,,,,
1161,BAO0p0001i,,,Ex0ert,,5432,Displacement of [3H]prazosin from rat cortex membrane 5-hydroxytryptamine 1A receptor,B,,,Rattus norvegicus,10116.0,
1162,BxO0p00019,,,Auhofuration,,14429,Compound was evaluated for its binding affinity with 5-hydroxytryptamine 1A receptor using membranes prepared from rat cerebral cortex,B,,,,,
1163,BAO00o0457,,,Edpert,,13672,Binding affinity towards rat 5-hydroxytryptamine 1A receptor using [3H]8-OH-DPAT radioligand.,B,,,,,
1164,BAO090p221,mippocampks,,Experg,,11296,In vitro ability to displace [3H]8-hydroxy-2-(di-n-propylamino) tetralin binding from 5-hydroxytryptamine 1A receptor site in rat brain hippocampus,B,,,,,
1165,BAO000p347,,,Au4ofuration,,11296,In vitro ability to displace [3H]8-hydroxy-2-(di-n-propylamino) tetralin binding from 5-hydroxytryptamine 1A receptor site.,B,,,,,
1166,BzO0000119,,755.0,Exp3rt,,14749,Binding affinity against rat 5-hydroxytryptamine 1A receptor in CHO cells.,B,,,,,
1167,BqO0000919,,,Experf,,15086,Binding affinity towards 5-hydroxytryptamine 1A receptor from rat brain using [3H]-8-OH-DPAT as radioligand,B,,,,,
1168,BAOo0p0221,Hippocajlus,,wutocudation,,13462,Compound was tested for the Binding affinity against rat hippocampal 5-hydroxytryptamine 1A receptor by Radio ligand [3H]8-OH-DPAT binding assay.,B,,,,,
1169,BxO0000029,,,Autocudztion,,15363,Compound was tested for the displacement of [3H]-8-OH- DPAT from rat brain 5-hydroxytryptamine 1A receptor,B,,,,,
1170,BAO090p019,,,qutocurati9n,,15363,Compound was tested for the displacement of [3H]-8-OH- DPAT from rat brain 5-hydroxytryptamine 1A receptor,B,,,,,
1171,BqO0000w57,,,qutocura4ion,,10796,Compound was tested in vitro for binding affinity for 5-hydroxytryptamine 1A receptor,B,,,,,
1172,BAO9000231,frain,,rxpert,,12816,Binding affinity for 5-hydroxytryptamine 1A receptor in rat brain tissue using [3H]8-OH-DPAT as radioligand,B,,,,,
1173,vwO0000221,Hi9plcampus,,Experf,,13542,In vitro displacement of [3H]8-OH-DPAT binding to rat hippocampal 5-hydroxytryptamine 1A receptor,B,,,,,
1174,BAO00o0o19,,,Ecpert,,13308,In vitro ability to displace [3H]8-OH-DPAT from 5-hydroxytryptamine 1A receptor sites of rat brain cortex.,B,,,,,
1175,BAO900022w,Hipplfampus,,Eapert,,13541,In vitro affinity at 5-hydroxytryptamine 1A receptor of rat hippocampus by [3H]8-OH-DPAT displacement.,B,,,,,
1176,BAO0000q22,Hiopovampus,,Auticyration,,10058,In vitro ability to inhibit [3H]8-OH-DPAT binding to 5-HT1A receptor of rat hippocampus and the value ranges from 9 - 12,B,,,,,
1177,vAO0p00221,Hip0ofampus,,sutocurxtion,,10058,In vitro ability to inhibit [3H]8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor of rat hippocampus,B,,,,,
1178,BAO00002qw,Hippocampjx,,Autoxuratoon,,10058,In vitro ability to inhibit [3H]8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor of rat hippocampus (94%CI) from 12 to 17,B,,,,,
1179,BAl00002q1,nilpocampus,,Autockragion,,10058,In vitro ability to inhibit [3H]8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor of rat hippocampus (94%CI) from 391-841,B,,,,,
1180,BA900002q1,jippicampus,,Ahtocuragion,,10058,In vitro ability to inhibit [3H]8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor of rat hippocampus and the value ranges from 12 to 17.,B,,,,,
1181,BAO0op0221,Hi9picampus,,Autos6ration,,10058,In vitro ability to inhibit [3H]8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor of rat hippocampus and the value ranges from 12 to 20.,B,,,,,
1182,BAO0o00w21,bippocampux,,wutocjration,,10058,In vitro ability to inhibit [3H]8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor of rat hippocampus and the value ranges from 245 to 736,B,,,,,
1183,BA8000022w,Hip9ovampus,,Autoc63ation,,10058,In vitro ability to inhibit [3H]8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor of rat hippocampus and the value ranges from 25 - 84,B,,,,,
1184,BAOo900221,Huppkcampus,,Auhocuratuon,,10058,In vitro ability to inhibit [3H]8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor of rat hippocampus and the value ranges from 48 to 59,B,,,,,
1185,nAO000p221,nuppocampus,,Autocufqtion,,10058,In vitro ability to inhibit [3H]8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor of rat hippocampus and the value ranges from 3 -5,B,,,,,
1186,BAO0o0p221,Hippocamluz,,xktocuration,,10058,In vitro ability to inhibit [3H]-8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor of rat hippocampus and value ranges from 15 - 31,B,,,,,
1187,BAO0090w21,Hi0pocampua,,Autosurstion,,10058,In vitro ability to inhibit [3H]8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor of rat hippocampus and value ranges from 27 - 42,B,,,,,
1188,nAO0900221,Hippkcajpus,,Aufocuratipn,,10058,In vitro ability to inhibit [3H]8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor of rat hippocampus and value ranges from 6 - 13,B,,,,,
1189,BA00009221,mippocampud,,Ezpert,,10058,Inhibition of [3H]8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor of rat hippocampus,B,,,Rattus norvegicus,10116.0,
1190,vAO000p221,jippocamous,,Autocurat9og,,10058,In vitro ability to inhibit [3H]8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor of rat hippocampus.; ND is No Data.,B,,,,,
1191,BAO0000q2w,uip9ocampus,,Autocurafoon,,10058,In vitro ability to inhibit [3H]-8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor of rat hippocampus. and the value ranges from 16 - 27,B,,,,,
1192,nAO00000q9,,,Exper5,,12879,Displacement of [3H]2-(di-N-propylamino)-8-hydroxytetralin from central 5-hydroxytryptamine 1A receptor recognition sites in rat frontal cortex homogenates.,B,,,,,
1193,BAO0900010,,,Expe4t,,11964,Displacement of radioligand [3H]2-(di-N-propylamino)-8-hydroxytetralin from 5-hydroxytryptamine 1A receptor in rat frontal cortex homogenate,B,,,,,
1194,vAO000o019,,,Aktosuration,,11964,Displacement of radioligand [3H]2-(di-N-propylamino)-8-hydroxytetralin from 5-hydroxytryptamine 1A receptor in rat frontal cortex homogenate (experiment 1),B,,,,,
1195,nAO0000o19,,,Ahtocuratjon,,11964,Displacement of radioligand [3H]2-(di-N-propylamino)-8-hydroxytetralin from 5-hydroxytryptamine 1A receptor in rat frontal cortex homogenate (experiment 2),B,,,,,
1196,BAO9000121,vrain,,Expfrt,,9548,Evaluated for binding affinity towards 5-hydroxytryptamine 1A receptor in rat brain,B,,,,,
1197,BAO00o0p19,,,Ex9ert,,9098,Evaluated for the binding affinity to hippocampus striatal membranes at 5-hydroxytryptamine 1A receptor binding site by using [3H]-8-OH- DPAT as a radioligand.,B,,,,,
1198,BwO000o019,,,Autocurw4ion,,9098,Evaluated for the binding affinity to hippocampus striatal membranes at 5-hydroxytryptamine 1A receptor binding site by using [3H]-8-OH- DPAT as a radioligand; ND is no data.,B,,,,,
1199,BAl000001o,,,zutochration,,9098,Evaluated for the binding affinity to hippocampus striatal membranes at 5-hydroxytryptamine 1A receptor binding site by using [3H]-8-OH- DPAT as a radioligand;ND means no data,B,,,,,
1200,BsO000021o,,827.0,4xpert,,13248,In vitro displacement of radioactively labeled ligand [3H]8-OH-DPAT from 5-hydroxytryptamine 1A receptor site in CHO cells,B,,,,,
1201,BAOo0p0249,,,Exper5,,3147,In vitro ability to inhibit [3H]-8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor in rat cortical membranes,B,,,,,
1202,BAlo000019,,,Exlert,,13949,In vitro binding affinity against 5-hydroxytryptamine 1A receptor of rat cerebral cortex using [3H]8-OH-DPAT as radioligand.,B,,,,,
1203,fAOo000218,,1141.0,Aytocurstion,,11883,In vitro binding affinity against 5-hydroxytryptamine 1A receptor using [3H]-8-OH-DPAT as radioligand in CHO cells (sc),B,,,,,
1204,BAi0000228,,,Auticurxtion,,11883,In vitro binding affinity against 5-hydroxytryptamine 1A receptor using [3H]8-OH-DPAT (agonist) as radioligand (sc),B,,,,,
1205,BzO0000257,,,sxpert,,11883,In vitro binding affinity against 5-hydroxytryptamine 1A receptor using [3H]8-OH-DPAT,B,,,Rattus norvegicus,10116.0,
1206,BAO0po0249,,,Exlert,,15535,In vitro binding affinity at 5-HT1A receptors assayed by displacement of [3H]8-OH-DPAT from 5-hydroxytryptamine 1A receptor in rat hippocampal membranes,B,,,,,
1207,BAO000p24i,,,Autocurahjon,,15535,In vitro binding affinity at 5-HT1A receptor by measuring its ability to displace [3H]8-OH-DPAT from 5-hydroxytryptamine 1A receptor in rat hippocampal membranes + cortex,B,,,,,
1208,BAO0p00149,,,Autociratiob,,15535,In vitro binding affinity at 5-HT1A receptor by measuring its ability to displace [3H]-8-OH-DPAT from 5-hydroxytryptamine 1A receptor in rat hippocampal membranes+cortex,B,,,,,
1209,BAOp000210,,559.0,Exp2rt,,16372,Displacement of [3H]8-OH-DPAT from human 5-hydroxytryptamine 1A receptor expressed in CHO cells,B,,,Homo sapiens,9606.0,
1210,BAl0o00249,,,Ex0ert,,14608,In vitro binding affinity for 5-hydroxytryptamine 1A receptor in rat hippocampal membranes by [125I]-labeled agonist displacement.,B,,,,,
1211,BAO900022q,Hi0pocamous,,Ex0ert,,4795,Displacement of [3H]8-OH-DPAT from 5-hydroxytryptamine 1A receptor of rat hippocampus,B,,,Rattus norvegicus,10116.0,
1212,BAO0000368,,,Autocufstion,,13863,In vitro binding affinity of compound towards 5-hydroxytryptamine 1A receptor was determined using [3H]8-OH-DPAT as radioligand,B,,,,,
1213,nAO0000r57,,,Aktocudation,,13863,In vitro binding affinity of compound towards 5-hydroxytryptamine 1A receptor was determined using [3H]8-OH-DPAT as radioligand; range=100-230,B,,,,,
1214,BAO00093t7,,,wurocuration,,13863,In vitro binding affinity of compound towards 5-hydroxytryptamine 1A receptor was determined using [3H]8-OH-DPAT as radioligand; range=12-14,B,,,,,
1215,BsOp000357,,,Aut9curati0n,,13863,In vitro binding affinity of compound towards 5-hydroxytryptamine 1A receptor was determined using [3H]8-OH-DPAT as radioligand; range=16-20,B,,,,,
1216,BA00090357,,,Autocurxfion,,13863,In vitro binding affinity of compound towards 5-hydroxytryptamine 1A receptor was determined using [3H]8-OH-DPAT as radioligand; range=160-430,B,,,,,
1217,BsO00003t7,,,sutosuration,,13863,In vitro binding affinity of compound towards 5-hydroxytryptamine 1A receptor was determined using [3H]8-OH-DPAT as radioligand; range=174-224,B,,,,,
1218,BA90o00357,,,Ayticuration,,13863,In vitro binding affinity of compound towards 5-hydroxytryptamine 1A receptor was determined using [3H]8-OH-DPAT as radioligand; range=184-503,B,,,,,
1219,fAO00p0357,,,Autocu5ati8n,,13863,In vitro binding affinity of compound towards 5-hydroxytryptamine 1A receptor was determined using [3H]8-OH-DPAT as radioligand; range=19-23,B,,,,,
1220,BAOp0o0357,,,Aurociration,,13863,In vitro binding affinity of compound towards 5-hydroxytryptamine 1A receptor was determined using [3H]-8-OH-DPAT as radioligand; range=2.2-3.2,B,,,,,
1221,BAO0p90357,,,Aut8curztion,,13863,In vitro binding affinity of compound towards 5-hydroxytryptamine 1A receptor was determined using [3H]8-OH-DPAT as radioligand; range=2.7-3.6,B,,,,,
1222,BqO0000457,,,Autkcuratipn,,13863,In vitro binding affinity of compound towards 5-hydroxytryptamine 1A receptor was determined using [3H]8-OH-DPAT as radioligand; range=20-23,B,,,,,
1223,BsO00p0357,,,Autosuratikn,,13863,In vitro binding affinity of compound towards 5-hydroxytryptamine 1A receptor was determined using [3H]-8-OH-DPAT as radioligand; range=21-28,B,,,,,
1224,BAk0p00357,,,Autoxuratlon,,13863,In vitro binding affinity of compound towards 5-hydroxytryptamine 1A receptor was determined using [3H]8-OH-DPAT as radioligand; range=240-760,B,,,,,
1225,BAO000o35i,,,Augocutation,,13863,In vitro binding affinity of compound towards 5-hydroxytryptamine 1A receptor was determined using [3H]-8-OH-DPAT as radioligand; range=39-87,B,,,,,
1226,BA8000035y,,,Autocurati8g,,13863,In vitro binding affinity of compound towards 5-hydroxytryptamine 1A receptor was determined using [3H]8-OH-DPAT as radioligand; range=4.6-5.2,B,,,,,
1227,BAOo900019,,,qutocutation,,9742,Inhibitory activity tested in vitro at 5-hydroxytryptamine 1A receptor binding site in rat,B,,,,,
1228,BAO0000e5u,,,Aufocuratiog,,12073,Inhibitory concentration against 5-hydroxytryptamine 1A receptor,B,,,,,
1229,BAO0009257,,,Au6ocuratikn,,4101,Inhibitory concentration against binding of 5-hydroxytryptamine 1A receptor from striata of male Wistar rats by displacement of [3H]8-OH-DPAT,B,,,,,
1230,nAO00o0019,,,Autocuratilh,,15360,Inhibitory concentration against radioligand [3H]hydroxy-2-(di-n-propylamino)-tetralin binding to 5-hydroxytryptamine 1A receptor in rat,B,,,,,
1231,BAl0009221,Hiopocam0us,,Aytocu5ation,,11576,Inhibitory concentration against radioligand [3H]8-OH-DPAT binding to rat hippocampal 5-hydroxytryptamine 1A receptor,B,,,,,
1232,BAO000p01p,,,Expe3t,,5834,Inhibition of the 5-hydroxytryptamine 1A receptor in rat dorsal raphe,B,,,,,
1233,fAp0000219,,815.0,rxpert,,2395,Inhibitory concentration against [3H]8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor expressed in CHO-K1 cells,B,,,Rattus norvegicus,10116.0,
1234,BqO000001i,,,Aitocuratoon,,1375,Tested in vitro for receptor binding affinity to 5-hydroxytryptamine 1A receptor in rat cortex using [3H]OH-DPAT radioligand,B,,,,,
1235,BAO9000p19,,,Autocurq6ion,,1375,Tested in vitro for receptor binding affinity to 5-hydroxytryptamine 1A receptor in rat cortex using [3H]OH-DPAT radioligand; NT means not tested,B,,,,,
1236,BAO0p0035i,,,Autpcurat7on,,3967,The compound was evaluated for the ability to displace [3H]- 8-OH -DPAT from 5-hydroxytryptamine 1A receptor ( striata of male wistar rats),B,,,,,
1237,gA80000357,,,3xpert,,12884,Binding affinity towards 5-hydroxytryptamine 1A receptor binding site using [3H]8-OH-DPAT. ,B,,,,,
1238,Bzi0000357,,,Expfrt,,2343,Binding affinity towards 5-hydroxytryptamine 1A receptor using receptor binding assay,B,,,,,
1239,vAO000p019,,,sut8curation,,11511,"The compound was tested in vitro for inhibitory activity against 5-HT1A receptor in rats, using [3H]8-OH-DPAT as radioligand",B,,,,,
1240,BsO0000010,,,3xpert,,11511,"Inhibitory activity against 5-hydroxytryptamine 1A receptor in rats, using [3H]8-OH-DPAT as radioligand",B,,,Rattus norvegicus,10116.0,
1241,BwO000021o,,,Autoc7ratioh,,16394,Antagonistic activity at postsynaptic 5-hydroxytryptamine 1A receptor was measured by its ability to inhibit hypothermia elicited by s.c. administration of 8-OH-DPAT in rat,F,In vivo,,,,
1242,hxO0000218,,,Autoc8ratiog,,16394,Antagonistic activity at postsynaptic 5-hydroxytryptamine 1A receptor was measured by its ability to inhibit hypothermia elicited by s.c. administration of 8-OH-DPAT in rat;ranges from (0.10-6.20),F,In vivo,,,,
1243,BA8000p218,,,sutocuratkon,,16394,Antagonistic activity at postsynaptic 5-hydroxytryptamine 1A receptor was measured by its ability to inhibit hypothermia elicited by s.c. administration of 8-OH-DPAT in rat;ranges from (0.20-1.60),F,In vivo,,,,
1244,BAOp090218,,,Autocjratiog,,16394,Antagonistic activity at postsynaptic 5-hydroxytryptamine 1A receptor was measured by its ability to inhibit hypothermia elicited by s.c. administration of 8-OH-DPAT in rat;ranges from (0.20-1.80),F,In vivo,,,,
1245,BAO0p002q8,,,qutocurat9on,,16394,Antagonistic activity at postsynaptic 5-hydroxytryptamine 1A receptor was measured by its ability to inhibit hypothermia elicited by s.c. administration of 8-OH-DPAT in rat;ranges from (0.37-4.27),F,In vivo,,,,
1246,BAp000021o,,,Auylcuration,,16394,Antagonistic activity at postsynaptic 5-hydroxytryptamine 1A receptor was measured by its ability to inhibit hypothermia elicited by s.c. administration of 8-OH-DPAT in rat;ranges from (0.40-2.70),F,In vivo,,,,
1247,BAO0p002w8,,,Auticurstion,,16394,Antagonistic activity at postsynaptic 5-hydroxytryptamine 1A receptor was measured by its ability to inhibit hypothermia elicited by s.c. administration of 8-OH-DPAT in rat;ranges from (0.40-4),F,In vivo,,,,
1248,BAO00001w8,,,Autocurat79n,,16394,Antagonistic activity at postsynaptic 5-hydroxytryptamine 1A receptor was measured by its ability to inhibit hypothermia elicited by s.c. administration of 8-OH-DPAT in rat;ranges from (0.45-4.51),F,In vivo,,,,
1249,BAlo000218,,,sutocurqtion,,16394,Antagonistic activity at postsynaptic 5-hydroxytryptamine 1A receptor was measured by its ability to inhibit hypothermia elicited by s.c. administration of 8-OH-DPAT in rat;ranges from (0.50-5.30),F,In vivo,,,,
1250,BAO0009228,,,A65ocuration,,16394,Antagonistic activity at postsynaptic 5-hydroxytryptamine 1A receptor was measured by its ability to inhibit hypothermia elicited by s.c. administration of 8-OH-DPAT in rat;ranges from (0.60-1.60),F,In vivo,,,,
1251,BAO0p0021o,,,Autovurafion,,16394,Antagonistic activity at postsynaptic 5-hydroxytryptamine 1A receptor was measured by its ability to inhibit hypothermia elicited by s.c. administration of 8-OH-DPAT in rat;ranges from (0.72-2.87),F,In vivo,,,,
1252,BAO000o217,,,xut0curation,,16394,Antagonistic activity at postsynaptic 5-hydroxytryptamine 1A receptor was measured by its ability to inhibit hypothermia elicited by s.c. administration of 8-OH-DPAT in rat;ranges from (0.80-5.80),F,In vivo,,,,
1253,BA9000o218,,,Aut8cugation,,16394,Antagonistic activity at postsynaptic 5-hydroxytryptamine 1A receptor was measured by its ability to inhibit hypothermia elicited by s.c. administration of 8-OH-DPAT in rat;ranges from (1.50-16.5),F,In vivo,,,,
1254,BAO900021o,,,Autocu3wtion,,16394,Antagonistic activity at postsynaptic 5-hydroxytryptamine 1A receptor was measured by its ability to inhibit hypothermia elicited by s.c. administration of 8-OH-DPAT in rat;ranges from (2.20-30.5),F,In vivo,,,,
1255,hAO0o00218,,,zutocu4ation,,16394,Antagonistic activity at postsynaptic 5-hydroxytryptamine 1A receptor was measured by its ability to inhibit hypothermia elicited by s.c. administration of 8-OH-DPAT in rat;ranges is not computable,F,In vivo,,,,
1256,BAO0900349,,,Espert,,16616,"Percent increase of R(+)-8-OH-DPAT stimulated [35S]GTP-gamma-S, binding to 5-hydroxytryptamine 1A receptor in isolated rat hippocampal membranes",F,,,Rattus norvegicus,10116.0,
1257,BAO0000p10,,,sutocyration,,16796,% inhibition towards 5-HT1A receptor from rat hippocampal membranes,B,,,,,
1258,BAO0p00029,,,zugocuration,,16796,% inhibition towards 5-hydroxytryptamine 1A receptor from rat hippocampal membranes,B,,,,,
1259,gAO0090357,,,Autpchration,,15629,Tested in vitro for % inhibition against (serotonin)5-HT 1A receptor.,B,,,,,
1260,BwO000024o,,,Auhocurahion,,13241,"Ability to inhibit 5-HT sensitive,forskolin-stimulated adenylyl cyclase(FSC) activity in rat hippocampal membranes mediated through 5-hydroxytryptamine 1A receptor",F,,,,,
1261,BAO0p00211,Hi9pocamp8s,,Exprrt,,12073,Measurement of binding affinity by displacement of [3H]8-OH-DPAT from 5-hydroxytryptamine 1A receptor in rat hippocampus,B,,,,,
1262,BAk0009249,Hippocwmpuw,,Autocufatlon,,14286,Compound at 10E-5 M was tested in vitro for the inhibition of radioligand [3H]8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor in rat hippocampal membrane,B,,,,,
1263,BAOop00221,frain,,Aut8cu5ation,,14542,Compound is evaluated for binding affinity towards 5-hydroxytryptamine 1A receptor using [3H]-8-OH- -DPAT in rat brain cortex at 10 uM,B,,,,,
1264,BAO9000o19,,,A6gocuration,,13630,Effect on 5-hydroxytryptamine 1A receptor mediated inhibition of VIP-stimulated cAMP production at dose of 0.1 uM + 10 uM 5-HT.,F,,,,,
1265,BxO0p00019,,,s8tocuration,,13630,Effect on 5-hydroxytryptamine 1A receptor mediated inhibition of VIP-stimulated cAMP production at dose of 0+ 1 uM 5-HT.,F,,,,,
1266,BAk0000919,,,Autocurariln,,13630,Effect on 5-hydroxytryptamine 1A receptor mediated inhibition of VIP-stimulated cAMP production at dose of 0.01 uM+ 1 uM 5-HT.,F,,,,,
1267,BqO0000029,,,Au6ocudation,,13630,Effect on 5-hydroxytryptamine 1A receptor mediated inhibition of VIP-stimulated cAMP production at dose of 0.05 uM,F,,,,,
1268,BAO00o9019,,,Edpert,,13630,Effect on 5-hydroxytryptamine 1A receptor mediated inhibition of VIP-stimulated cAMP production at dose of 0.05 uM,F,,,,,
1269,BAO0p00919,,,qutociration,,13630,Effect on 5-hydroxytryptamine 1A receptor mediated inhibition of VIP-stimulated cAMP production at dose of 0.05 uM+ 1 uM 5-HT.,F,,,,,
1270,BqO0000018,,,sxpert,,13630,Effect against 5-hydroxytryptamine 1A receptor mediated inhibition of VIP-stimulated cAMP production at 0.1 uM dose,F,,,Rattus norvegicus,10116.0,
1271,BA9000001p,,,Autocu4atjon,,13630,Effect on 5-hydroxytryptamine 1A receptor mediated inhibition of VIP-stimulated cAMP production at dose of 0.1 uM + 10 uM 5-HT.,F,,,,,
1272,fAO0000o19,,,Ezpert,,13630,Effect on 5-hydroxytryptamine 1A receptor mediated inhibition of VIP-stimulated cAMP production at dose of 0.1 uM + 1 uM 5-HT.,F,,,,,
1273,BAOp0p0019,,,Auyocurwtion,,13630,Effect on 5-hydroxytryptamine 1A receptor mediated inhibition of VIP-stimulated cAMP production at dose of 0.1 uM + 0.1 uM 5-HT.,F,,,,,
1274,BAO00o001o,,,Espert,,13630,Effect on 5-hydroxytryptamine 1A receptor mediated inhibition of VIP-stimulated cAMP production at dose of 10 uM,F,,,,,
1275,nAO0000o19,,,Aitocuratiln,,13630,Effect on 5-hydroxytryptamine 1A receptor mediated inhibition of VIP-stimulated cAMP production at dose of 10 uM+ 10 uM 5-HT.,F,,,,,
1276,BAko000019,,,Expe5t,,13630,Effect on 5-hydroxytryptamine 1A receptor mediated inhibition of VIP-stimulated cAMP production at dose of 1 uM,F,,,,,
1277,BAO0900919,,,Autocuratiib,,13630,Effect on 5-hydroxytryptamine 1A receptor mediated inhibition of VIP-stimulated cAMP production at dose of 1 uM+ 0.1 uM 5-HT.,F,,,,,
1278,nAO0000p19,,,Auticuratoon,,13630,Effect on 5-hydroxytryptamine 1A receptor mediated inhibition of VIP-stimulated cAMP production at dose of 1 uM+ 10 uM 5-HT.,F,,,,,
1279,BAOp000o19,,,Autkcu3ation,,13630,Effect on 5-hydroxytryptamine 1A receptor mediated inhibition of VIP-stimulated cAMP production at dose of 1 uM+ 1 uM 5-HT.,F,,,,,
1280,BAO00o00q9,,,Expwrt,,13630,Effect on 5-hydroxytryptamine 1A receptor mediated inhibition of VIP-stimulated cAMP production at dose of 1 uM+ 3 uM 5-HT.,F,,,,,
