Fiscal year,Sector ID,Climate change adaptation (marker),Organisation class,Project Browser country ID,CIDA business delivery model (old),Division name,Knowledge for development (marker),Untied amount(Project-level budget),Status,Gender equality (marker),Youth issues (marker),Project number,Programming process (new),Fund centre ID,Maximum CIDA contribution (project-level),Branch ID,Branch name,Division ID,Section ID,Section name,Regional program (marker),Fund centre name,FSTC percent,IRTC percent,CFLI (marker),Bilateral aid (international marker),PBA type,Enviromental sustainability (marker),Climate change mitigation (marker),Desertification (marker),Participatory development and good governance,Trade development (marker)
2009/2010,41010,0,Individual,CU,Directive,NDD Americas Programming,0,2862894.73,Terminating,0,0,A031717001,Uncoded: Pre-APP,4450,2862894.73,B4400,NGM Americas,D4400,S4450,Cuba,0,Cuba,0.7999999990000001,0.0,0,1,Not PBA,1,0,0,1,0
2009/2010,41010,0,Unknown,CU,Directive,NDD Americas Programming,0,2862894.73,Terminating,0,0,A031717001,Uncoded: Pre-APP,4450,2862894.73,B4400,NGM Americas,D4400,S4450,Cuba,0,Cuba,0.7999999990000001,0.0,0,1,Not PBA,1,0,0,1,0
2009/2010,53030,0,Governmental,CU,Directive,NDD Americas Programming,0,2862894.73,Terminating,0,0,A031717001,Uncoded: Pre-APP,4450,2862894.73,B4400,NGM Americas,D4400,S4450,Cuba,0,Cuba,0.7999999990000001,0.0,0,1,Not PBA,1,0,0,1,0
2009/2010,53030,0,Governmental,CU,Directive,NDD Americas Programming,0,2862894.73,Terminating,0,0,A031717001,Uncoded: Pre-APP,4450,2862894.73,B4400,NGM Americas,D4400,S4450,Cuba,0,Cuba,0.7999999990000001,0.0,0,1,Not PBA,1,0,0,1,0
2009/2010,53030,0,Civil Society,CU,Directive,NDD Americas Programming,0,2862894.73,Terminating,0,0,A031717001,Uncoded: Pre-APP,4450,2862894.73,B4400,NGM Americas,D4400,S4450,Cuba,0,Cuba,0.7999999990000001,0.0,0,1,Not PBA,1,0,0,1,0
2009/2010,53030,0,Civil Society,CU,Directive,NDD Americas Programming,0,2862894.73,Terminating,0,0,A031717001,Uncoded: Pre-APP,4450,2862894.73,B4400,NGM Americas,D4400,S4450,Cuba,0,Cuba,0.7999999990000001,0.0,0,1,Not PBA,1,0,0,1,0
2009/2010,53030,0,Individual,CU,Directive,NDD Americas Programming,0,2862894.73,Terminating,0,0,A031717001,Uncoded: Pre-APP,4450,2862894.73,B4400,NGM Americas,D4400,S4450,Cuba,0,Cuba,0.7999999990000001,0.0,0,1,Not PBA,1,0,0,1,0
2009/2010,53030,0,Individual,CU,Directive,NDD Americas Programming,0,2862894.73,Terminating,0,0,A031717001,Uncoded: Pre-APP,4450,2862894.73,B4400,NGM Americas,D4400,S4450,Cuba,0,Cuba,0.7999999990000001,0.0,0,1,Not PBA,1,0,0,1,0
2009/2010,53030,0,Individual,CU,Directive,NDD Americas Programming,0,2862894.73,Terminating,0,0,A031717001,Uncoded: Pre-APP,4450,2862894.73,B4400,NGM Americas,D4400,S4450,Cuba,0,Cuba,0.7999999990000001,0.0,0,1,Not PBA,1,0,0,1,0
2009/2010,53030,0,Unknown,CU,Directive,NDD Americas Programming,0,2862894.73,Terminating,0,0,A031717001,Uncoded: Pre-APP,4450,2862894.73,B4400,NGM Americas,D4400,S4450,Cuba,0,Cuba,0.7999999990000001,0.0,0,1,Not PBA,1,0,0,1,0
2009/2010,12220,0,Individual,ZM,Directive,WED Southern & Eastern Africa,0,7781946.52,Closed,0,0,A031734001,Uncoded: Pre-APP,4278,7781946.52,B4200,WGM Sub-Saharan Africa,D4270,S4219,Tanzania Program,0,Zambia,1.0,0.0,0,1,Other PBA,0,0,0,0,0
2009/2010,12281,0,Individual,ZM,Directive,WED Southern & Eastern Africa,0,7781946.52,Closed,0,0,A031734001,Uncoded: Pre-APP,4278,7781946.52,B4200,WGM Sub-Saharan Africa,D4270,S4219,Tanzania Program,0,Zambia,1.0,0.0,0,1,Other PBA,0,0,0,0,0
2009/2010,43010,0,Para-Governmental,CA,Directive,MND Health&Nutrition,0,6989767.52,Closed,0,0,A031743005,Uncoded: Pre-APP,1026,6989767.52,B5100,MFM Global Issues and Development,D5240,S5245,MNG Global Health,0,Global Health - POLICY,1.0,0.0,0,1,Not PBA,0,0,0,0,0
2009/2010,43010,0,Civil Society,CA,Directive,MND Health&Nutrition,0,6989767.52,Closed,0,0,A031743005,Uncoded: Pre-APP,1026,6989767.52,B5100,MFM Global Issues and Development,D5240,S5245,MNG Global Health,0,Global Health - POLICY,1.0,0.0,0,1,Not PBA,0,0,0,0,0
2009/2010,43010,0,Civil Society,CA,Directive,MED Economic Development,0,0.0,Closed,0,0,A031745007,Uncoded: Pre-APP,1037,599743.59,B5100,MFM Global Issues and Development,D5430,S1079,MES NATURAL RESOURCES & GOVERNANCE,0,Human Rights,1.0,0.0,0,1,Not PBA,0,0,0,0,0
2009/2010,43010,0,Civil Society,CA,Directive,MED Economic Development,0,0.0,Operational,0,0,A031745012,Uncoded: Pre-APP,1037,111087.63,B5100,MFM Global Issues and Development,D5430,S1079,MES NATURAL RESOURCES & GOVERNANCE,0,Human Rights,1.0,0.0,0,1,Not PBA,0,0,0,0,0
2009/2010,43010,0,Civil Society,CA,Directive,MED Economic Development,0,0.0,Terminating,0,0,A031745018,Uncoded: Pre-APP,1037,151046.05,B5100,MFM Global Issues and Development,D5430,S1079,MES NATURAL RESOURCES & GOVERNANCE,0,Human Rights,1.0,0.0,0,1,Not PBA,0,0,0,0,0
2009/2010,43010,0,Multilateral,X4,Responsive,MED Economic Development,0,1200000.0,Terminating,0,0,A031745022,Uncoded: Pre-APP,1012,1200000.0,B5100,MFM Global Issues and Development,D5430,S1079,MES NATURAL RESOURCES & GOVERNANCE,0,NATURAL RESOURCES & GOVERNANCE - POLICY,1.0,0.0,0,1,Not PBA,0,0,0,0,0
2009/2010,43010,0,Multilateral,CA,Directive,PVD Development Policy,0,0.0,Closed,0,0,A031746006,Uncoded: Pre-APP,1014,4390237.0,B1000,PFM Strategic Policy,D1035,S1014,International Strategy & Donor Relations,0,International Strategy & Donor Relations,1.0,0.0,0,1,Not PBA,0,0,0,0,0
2009/2010,43010,0,Multilateral,CA,Directive,PVD Development Policy,0,0.0,Closed,0,0,A031746008,Uncoded: Pre-APP,1014,255000.0,B1000,PFM Strategic Policy,D1035,S1014,International Strategy & Donor Relations,0,International Strategy & Donor Relations,1.0,0.0,0,1,Not PBA,0,0,0,0,0
2009/2010,43010,0,Civil Society,CA,Directive,PVD Development Policy,0,0.0,Closed,0,0,A031750011,Uncoded: Pre-APP,1048,2155013.78,B1000,PFM Strategic Policy,D1035,S1048,Policy Research,0,Policy Research,1.0,0.0,0,1,Not PBA,0,0,0,0,0
2009/2010,43010,0,Civil Society,CA,Directive,MGD Social Development,0,0.0,Operational,0,0,A031751005,Uncoded: Pre-APP,1015,574339.0,B5100,MFM Global Issues and Development,D5440,S1077,MGS Education Child Protection&Gender,0,"Educ, Child Protect & Gender Equal - POL",1.0,0.0,0,1,Not PBA,0,0,0,0,0
2009/2010,43010,0,Civil Society,CA,Directive,MGD Social Development,0,0.0,Operational,0,0,A031751005,Uncoded: Pre-APP,1015,574339.0,B5100,MFM Global Issues and Development,D5440,S1077,MGS Education Child Protection&Gender,0,"Educ, Child Protect & Gender Equal - POL",1.0,0.0,0,1,Not PBA,0,0,0,0,0
2009/2010,43010,0,Civil Society,CA,Directive,MGD Social Development,0,0.0,Closed,0,0,A031751014,Uncoded: Pre-APP,1015,391469.85,B5100,MFM Global Issues and Development,D5440,S1077,MGS Education Child Protection&Gender,0,"Educ, Child Protect & Gender Equal - POL",1.0,0.0,0,1,Not PBA,0,0,0,0,0
2009/2010,43010,0,Multilateral,CA,Directive,PVD Development Policy,0,0.0,Closed,0,0,A031757019,Uncoded: Pre-APP,1008,1082300.0,B1000,PFM Strategic Policy,D1035,S1008,Economic Analysis,0,Economic Analysis,1.0,0.0,0,1,Not PBA,0,0,0,0,0
2009/2010,43010,0,Civil Society,CA,Directive,PVD Development Policy,0,0.0,Terminating,0,0,A031759007,Uncoded: Pre-APP,1029,448930.97,B1000,PFM Strategic Policy,D1035,S1010,*Environment Section,0,*Environment Program,1.0,0.0,0,1,Not PBA,0,0,0,0,0
2009/2010,43010,0,Civil Society,CA,Directive,PVD Development Policy,0,0.0,Terminating,0,0,A031759010,Uncoded: Pre-APP,1029,878552.93,B1000,PFM Strategic Policy,D1035,S1010,*Environment Section,0,*Environment Program,1.0,0.0,0,1,Not PBA,0,0,0,0,0
2009/2010,31130,0,Civil Society,X1,Responsive,PVD Development Policy,0,80000.0,Closed,0,0,A031759013,Uncoded: Pre-APP,1029,80000.0,B1000,PFM Strategic Policy,D1035,S1010,*Environment Section,0,*Environment Program,1.0,0.0,0,1,Not PBA,0,0,0,0,0
2009/2010,31130,0,Civil Society,X2,Responsive,PVD Development Policy,0,80000.0,Closed,0,0,A031759013,Uncoded: Pre-APP,1029,80000.0,B1000,PFM Strategic Policy,D1035,S1010,*Environment Section,0,*Environment Program,1.0,0.0,0,1,Not PBA,0,0,0,0,0
2009/2010,31130,0,Civil Society,X3,Responsive,PVD Development Policy,0,80000.0,Closed,0,0,A031759013,Uncoded: Pre-APP,1029,80000.0,B1000,PFM Strategic Policy,D1035,S1010,*Environment Section,0,*Environment Program,1.0,0.0,0,1,Not PBA,0,0,0,0,0
2009/2010,33140,0,Civil Society,X1,Responsive,MED Economic Development,0,500000.0,Terminating,0,0,A031759014,Uncoded: Pre-APP,1049,500000.0,B5100,MFM Global Issues and Development,D5430,S5434,MEF ECONOMIC GROWTH AND IFIs,0,Economic Growth - POLICY,1.0,0.0,0,1,Not PBA,0,0,0,0,0
2009/2010,33140,0,Civil Society,X2,Responsive,MED Economic Development,0,500000.0,Terminating,0,0,A031759014,Uncoded: Pre-APP,1049,500000.0,B5100,MFM Global Issues and Development,D5430,S5434,MEF ECONOMIC GROWTH AND IFIs,0,Economic Growth - POLICY,1.0,0.0,0,1,Not PBA,0,0,0,0,0
2009/2010,43010,0,Civil Society,CA,Directive,MGD Social Development,0,0.0,Closed,0,0,A031772005,Uncoded: Pre-APP,1056,224625.54,B5100,MFM Global Issues and Development,D5440,S1077,MGS Education Child Protection&Gender,0,Education - General,1.0,0.0,0,1,Not PBA,0,0,0,0,0
2009/2010,11220,0,Governmental,EG,Directive,EDD Europe-Middle East Programming,0,4478731.9,Terminating,2,0,A031773001,Uncoded: Pre-APP,4263,4478731.9,B3100,"EGM Europe, Middle East and Maghreb",D3100,S4256,Middle East and North Africa,0,Egypt,1.0,0.0,0,1,Not PBA,0,0,0,0,0
2009/2010,11220,0,Civil Society,EG,Directive,EDD Europe-Middle East Programming,0,4478731.9,Terminating,2,0,A031773001,Uncoded: Pre-APP,4263,4478731.9,B3100,"EGM Europe, Middle East and Maghreb",D3100,S4256,Middle East and North Africa,0,Egypt,1.0,0.0,0,1,Not PBA,0,0,0,0,0
2009/2010,11220,0,Civil Society,EG,Directive,EDD Europe-Middle East Programming,0,4478731.9,Terminating,2,0,A031773001,Uncoded: Pre-APP,4263,4478731.9,B3100,"EGM Europe, Middle East and Maghreb",D3100,S4256,Middle East and North Africa,0,Egypt,1.0,0.0,0,1,Not PBA,0,0,0,0,0
2009/2010,11220,0,Individual,EG,Directive,EDD Europe-Middle East Programming,0,4478731.9,Terminating,2,0,A031773001,Uncoded: Pre-APP,4263,4478731.9,B3100,"EGM Europe, Middle East and Maghreb",D3100,S4256,Middle East and North Africa,0,Egypt,1.0,0.0,0,1,Not PBA,0,0,0,0,0
2009/2010,11220,0,Unknown,EG,Directive,EDD Europe-Middle East Programming,0,4478731.9,Terminating,2,0,A031773001,Uncoded: Pre-APP,4263,4478731.9,B3100,"EGM Europe, Middle East and Maghreb",D3100,S4256,Middle East and North Africa,0,Egypt,1.0,0.0,0,1,Not PBA,0,0,0,0,0
2009/2010,32130,0,Governmental,EG,Directive,EDD Europe-Middle East Programming,0,4478731.9,Terminating,2,0,A031773001,Uncoded: Pre-APP,4263,4478731.9,B3100,"EGM Europe, Middle East and Maghreb",D3100,S4256,Middle East and North Africa,0,Egypt,1.0,0.0,0,1,Not PBA,0,0,0,0,0
2009/2010,32130,0,Civil Society,EG,Directive,EDD Europe-Middle East Programming,0,4478731.9,Terminating,2,0,A031773001,Uncoded: Pre-APP,4263,4478731.9,B3100,"EGM Europe, Middle East and Maghreb",D3100,S4256,Middle East and North Africa,0,Egypt,1.0,0.0,0,1,Not PBA,0,0,0,0,0
2009/2010,32130,0,Civil Society,EG,Directive,EDD Europe-Middle East Programming,0,4478731.9,Terminating,2,0,A031773001,Uncoded: Pre-APP,4263,4478731.9,B3100,"EGM Europe, Middle East and Maghreb",D3100,S4256,Middle East and North Africa,0,Egypt,1.0,0.0,0,1,Not PBA,0,0,0,0,0
2009/2010,32130,0,Individual,EG,Directive,EDD Europe-Middle East Programming,0,4478731.9,Terminating,2,0,A031773001,Uncoded: Pre-APP,4263,4478731.9,B3100,"EGM Europe, Middle East and Maghreb",D3100,S4256,Middle East and North Africa,0,Egypt,1.0,0.0,0,1,Not PBA,0,0,0,0,0
2009/2010,32130,0,Unknown,EG,Directive,EDD Europe-Middle East Programming,0,4478731.9,Terminating,2,0,A031773001,Uncoded: Pre-APP,4263,4478731.9,B3100,"EGM Europe, Middle East and Maghreb",D3100,S4256,Middle East and North Africa,0,Egypt,1.0,0.0,0,1,Not PBA,0,0,0,0,0
2009/2010,43010,0,Governmental,EG,Directive,EDD Europe-Middle East Programming,0,4478731.9,Terminating,2,0,A031773001,Uncoded: Pre-APP,4263,4478731.9,B3100,"EGM Europe, Middle East and Maghreb",D3100,S4256,Middle East and North Africa,0,Egypt,1.0,0.0,0,1,Not PBA,0,0,0,0,0
2009/2010,43010,0,Civil Society,EG,Directive,EDD Europe-Middle East Programming,0,4478731.9,Terminating,2,0,A031773001,Uncoded: Pre-APP,4263,4478731.9,B3100,"EGM Europe, Middle East and Maghreb",D3100,S4256,Middle East and North Africa,0,Egypt,1.0,0.0,0,1,Not PBA,0,0,0,0,0
2009/2010,43010,0,Civil Society,EG,Directive,EDD Europe-Middle East Programming,0,4478731.9,Terminating,2,0,A031773001,Uncoded: Pre-APP,4263,4478731.9,B3100,"EGM Europe, Middle East and Maghreb",D3100,S4256,Middle East and North Africa,0,Egypt,1.0,0.0,0,1,Not PBA,0,0,0,0,0
2009/2010,43010,0,Individual,EG,Directive,EDD Europe-Middle East Programming,0,4478731.9,Terminating,2,0,A031773001,Uncoded: Pre-APP,4263,4478731.9,B3100,"EGM Europe, Middle East and Maghreb",D3100,S4256,Middle East and North Africa,0,Egypt,1.0,0.0,0,1,Not PBA,0,0,0,0,0
2009/2010,43010,0,Unknown,EG,Directive,EDD Europe-Middle East Programming,0,4478731.9,Terminating,2,0,A031773001,Uncoded: Pre-APP,4263,4478731.9,B3100,"EGM Europe, Middle East and Maghreb",D3100,S4256,Middle East and North Africa,0,Egypt,1.0,0.0,0,1,Not PBA,0,0,0,0,0
2009/2010,43010,0,Governmental,CU,Directive,NDD Americas Programming,0,0.0,Terminating,0,0,A031785002,Uncoded: Pre-APP,4452,3757126.03,B4400,NGM Americas,D4400,S4449,Ha�ti & Dominican Republic Section,0,Haiti,1.0,0.0,0,1,Not PBA,0,0,0,1,0
2009/2010,43010,0,Civil Society,CU,Directive,NDD Americas Programming,0,0.0,Terminating,0,0,A031785002,Uncoded: Pre-APP,4452,3757126.03,B4400,NGM Americas,D4400,S4449,Ha�ti & Dominican Republic Section,0,Haiti,1.0,0.0,0,1,Not PBA,0,0,0,1,0
2009/2010,43010,0,Civil Society,CU,Directive,NDD Americas Programming,0,0.0,Terminating,0,0,A031785002,Uncoded: Pre-APP,4452,3757126.03,B4400,NGM Americas,D4400,S4449,Ha�ti & Dominican Republic Section,0,Haiti,1.0,0.0,0,1,Not PBA,0,0,0,1,0
2009/2010,43010,0,Civil Society,CU,Directive,NDD Americas Programming,0,0.0,Terminating,0,0,A031785002,Uncoded: Pre-APP,4452,3757126.03,B4400,NGM Americas,D4400,S4449,Ha�ti & Dominican Republic Section,0,Haiti,1.0,0.0,0,1,Not PBA,0,0,0,1,0
2009/2010,43010,0,Civil Society,CU,Directive,NDD Americas Programming,0,0.0,Terminating,0,0,A031785002,Uncoded: Pre-APP,4452,3757126.03,B4400,NGM Americas,D4400,S4449,Ha�ti & Dominican Republic Section,0,Haiti,1.0,0.0,0,1,Not PBA,0,0,0,1,0
2009/2010,43010,0,Civil Society,CU,Directive,NDD Americas Programming,0,0.0,Terminating,0,0,A031785002,Uncoded: Pre-APP,4452,3757126.03,B4400,NGM Americas,D4400,S4449,Ha�ti & Dominican Republic Section,0,Haiti,1.0,0.0,0,1,Not PBA,0,0,0,1,0
2009/2010,43010,0,Civil Society,CU,Directive,NDD Americas Programming,0,0.0,Terminating,0,0,A031785002,Uncoded: Pre-APP,4452,3757126.03,B4400,NGM Americas,D4400,S4449,Ha�ti & Dominican Republic Section,0,Haiti,1.0,0.0,0,1,Not PBA,0,0,0,1,0
2009/2010,43010,0,Individual,CU,Directive,NDD Americas Programming,0,0.0,Terminating,0,0,A031785002,Uncoded: Pre-APP,4452,3757126.03,B4400,NGM Americas,D4400,S4449,Ha�ti & Dominican Republic Section,0,Haiti,1.0,0.0,0,1,Not PBA,0,0,0,1,0
2009/2010,43010,0,Individual,CU,Directive,NDD Americas Programming,0,0.0,Terminating,0,0,A031785002,Uncoded: Pre-APP,4452,3757126.03,B4400,NGM Americas,D4400,S4449,Ha�ti & Dominican Republic Section,0,Haiti,1.0,0.0,0,1,Not PBA,0,0,0,1,0
2009/2010,43010,0,Individual,CU,Directive,NDD Americas Programming,0,0.0,Terminating,0,0,A031785002,Uncoded: Pre-APP,4452,3757126.03,B4400,NGM Americas,D4400,S4449,Ha�ti & Dominican Republic Section,0,Haiti,1.0,0.0,0,1,Not PBA,0,0,0,1,0
2009/2010,43010,0,Individual,CU,Directive,NDD Americas Programming,0,0.0,Terminating,0,0,A031785002,Uncoded: Pre-APP,4452,3757126.03,B4400,NGM Americas,D4400,S4449,Ha�ti & Dominican Republic Section,0,Haiti,1.0,0.0,0,1,Not PBA,0,0,0,1,0
2009/2010,43010,0,Individual,CU,Directive,NDD Americas Programming,0,0.0,Terminating,0,0,A031785002,Uncoded: Pre-APP,4452,3757126.03,B4400,NGM Americas,D4400,S4449,Ha�ti & Dominican Republic Section,0,Haiti,1.0,0.0,0,1,Not PBA,0,0,0,1,0
2009/2010,43010,0,Individual,CU,Directive,NDD Americas Programming,0,0.0,Terminating,0,0,A031785002,Uncoded: Pre-APP,4452,3757126.03,B4400,NGM Americas,D4400,S4449,Ha�ti & Dominican Republic Section,0,Haiti,1.0,0.0,0,1,Not PBA,0,0,0,1,0
2009/2010,43010,0,Individual,CU,Directive,NDD Americas Programming,0,0.0,Terminating,0,0,A031785002,Uncoded: Pre-APP,4452,3757126.03,B4400,NGM Americas,D4400,S4449,Ha�ti & Dominican Republic Section,0,Haiti,1.0,0.0,0,1,Not PBA,0,0,0,1,0
2009/2010,43010,0,Individual,CU,Directive,NDD Americas Programming,0,0.0,Terminating,0,0,A031785002,Uncoded: Pre-APP,4452,3757126.03,B4400,NGM Americas,D4400,S4449,Ha�ti & Dominican Republic Section,0,Haiti,1.0,0.0,0,1,Not PBA,0,0,0,1,0
2009/2010,43010,0,Individual,CU,Directive,NDD Americas Programming,0,0.0,Terminating,0,0,A031785002,Uncoded: Pre-APP,4452,3757126.03,B4400,NGM Americas,D4400,S4449,Ha�ti & Dominican Republic Section,0,Haiti,1.0,0.0,0,1,Not PBA,0,0,0,1,0
2009/2010,43010,0,Individual,CU,Directive,NDD Americas Programming,0,0.0,Terminating,0,0,A031785002,Uncoded: Pre-APP,4452,3757126.03,B4400,NGM Americas,D4400,S4449,Ha�ti & Dominican Republic Section,0,Haiti,1.0,0.0,0,1,Not PBA,0,0,0,1,0
2009/2010,43010,0,Individual,CU,Directive,NDD Americas Programming,0,0.0,Terminating,0,0,A031785002,Uncoded: Pre-APP,4452,3757126.03,B4400,NGM Americas,D4400,S4449,Ha�ti & Dominican Republic Section,0,Haiti,1.0,0.0,0,1,Not PBA,0,0,0,1,0
2009/2010,43010,0,Individual,CU,Directive,NDD Americas Programming,0,0.0,Terminating,0,0,A031785002,Uncoded: Pre-APP,4452,3757126.03,B4400,NGM Americas,D4400,S4449,Ha�ti & Dominican Republic Section,0,Haiti,1.0,0.0,0,1,Not PBA,0,0,0,1,0
2009/2010,43010,0,Individual,CU,Directive,NDD Americas Programming,0,0.0,Terminating,0,0,A031785002,Uncoded: Pre-APP,4452,3757126.03,B4400,NGM Americas,D4400,S4449,Ha�ti & Dominican Republic Section,0,Haiti,1.0,0.0,0,1,Not PBA,0,0,0,1,0
2009/2010,43010,0,Governmental,DO,Directive,NDD Americas Programming,0,0.0,Terminating,0,0,A031785002,Uncoded: Pre-APP,4452,3757126.03,B4400,NGM Americas,D4400,S4449,Ha�ti & Dominican Republic Section,0,Haiti,1.0,0.0,0,1,Not PBA,0,0,0,1,0
2009/2010,43010,0,Civil Society,DO,Directive,NDD Americas Programming,0,0.0,Terminating,0,0,A031785002,Uncoded: Pre-APP,4452,3757126.03,B4400,NGM Americas,D4400,S4449,Ha�ti & Dominican Republic Section,0,Haiti,1.0,0.0,0,1,Not PBA,0,0,0,1,0
2009/2010,43010,0,Civil Society,DO,Directive,NDD Americas Programming,0,0.0,Terminating,0,0,A031785002,Uncoded: Pre-APP,4452,3757126.03,B4400,NGM Americas,D4400,S4449,Ha�ti & Dominican Republic Section,0,Haiti,1.0,0.0,0,1,Not PBA,0,0,0,1,0
2009/2010,43010,0,Civil Society,DO,Directive,NDD Americas Programming,0,0.0,Terminating,0,0,A031785002,Uncoded: Pre-APP,4452,3757126.03,B4400,NGM Americas,D4400,S4449,Ha�ti & Dominican Republic Section,0,Haiti,1.0,0.0,0,1,Not PBA,0,0,0,1,0
2009/2010,43010,0,Civil Society,DO,Directive,NDD Americas Programming,0,0.0,Terminating,0,0,A031785002,Uncoded: Pre-APP,4452,3757126.03,B4400,NGM Americas,D4400,S4449,Ha�ti & Dominican Republic Section,0,Haiti,1.0,0.0,0,1,Not PBA,0,0,0,1,0
2009/2010,43010,0,Civil Society,DO,Directive,NDD Americas Programming,0,0.0,Terminating,0,0,A031785002,Uncoded: Pre-APP,4452,3757126.03,B4400,NGM Americas,D4400,S4449,Ha�ti & Dominican Republic Section,0,Haiti,1.0,0.0,0,1,Not PBA,0,0,0,1,0
2009/2010,43010,0,Civil Society,DO,Directive,NDD Americas Programming,0,0.0,Terminating,0,0,A031785002,Uncoded: Pre-APP,4452,3757126.03,B4400,NGM Americas,D4400,S4449,Ha�ti & Dominican Republic Section,0,Haiti,1.0,0.0,0,1,Not PBA,0,0,0,1,0
2009/2010,43010,0,Individual,DO,Directive,NDD Americas Programming,0,0.0,Terminating,0,0,A031785002,Uncoded: Pre-APP,4452,3757126.03,B4400,NGM Americas,D4400,S4449,Ha�ti & Dominican Republic Section,0,Haiti,1.0,0.0,0,1,Not PBA,0,0,0,1,0
2009/2010,43010,0,Individual,DO,Directive,NDD Americas Programming,0,0.0,Terminating,0,0,A031785002,Uncoded: Pre-APP,4452,3757126.03,B4400,NGM Americas,D4400,S4449,Ha�ti & Dominican Republic Section,0,Haiti,1.0,0.0,0,1,Not PBA,0,0,0,1,0
2009/2010,43010,0,Individual,DO,Directive,NDD Americas Programming,0,0.0,Terminating,0,0,A031785002,Uncoded: Pre-APP,4452,3757126.03,B4400,NGM Americas,D4400,S4449,Ha�ti & Dominican Republic Section,0,Haiti,1.0,0.0,0,1,Not PBA,0,0,0,1,0
2009/2010,43010,0,Individual,DO,Directive,NDD Americas Programming,0,0.0,Terminating,0,0,A031785002,Uncoded: Pre-APP,4452,3757126.03,B4400,NGM Americas,D4400,S4449,Ha�ti & Dominican Republic Section,0,Haiti,1.0,0.0,0,1,Not PBA,0,0,0,1,0
2009/2010,43010,0,Individual,DO,Directive,NDD Americas Programming,0,0.0,Terminating,0,0,A031785002,Uncoded: Pre-APP,4452,3757126.03,B4400,NGM Americas,D4400,S4449,Ha�ti & Dominican Republic Section,0,Haiti,1.0,0.0,0,1,Not PBA,0,0,0,1,0
2009/2010,43010,0,Individual,DO,Directive,NDD Americas Programming,0,0.0,Terminating,0,0,A031785002,Uncoded: Pre-APP,4452,3757126.03,B4400,NGM Americas,D4400,S4449,Ha�ti & Dominican Republic Section,0,Haiti,1.0,0.0,0,1,Not PBA,0,0,0,1,0
2009/2010,43010,0,Individual,DO,Directive,NDD Americas Programming,0,0.0,Terminating,0,0,A031785002,Uncoded: Pre-APP,4452,3757126.03,B4400,NGM Americas,D4400,S4449,Ha�ti & Dominican Republic Section,0,Haiti,1.0,0.0,0,1,Not PBA,0,0,0,1,0
2009/2010,43010,0,Individual,DO,Directive,NDD Americas Programming,0,0.0,Terminating,0,0,A031785002,Uncoded: Pre-APP,4452,3757126.03,B4400,NGM Americas,D4400,S4449,Ha�ti & Dominican Republic Section,0,Haiti,1.0,0.0,0,1,Not PBA,0,0,0,1,0
2009/2010,43010,0,Individual,DO,Directive,NDD Americas Programming,0,0.0,Terminating,0,0,A031785002,Uncoded: Pre-APP,4452,3757126.03,B4400,NGM Americas,D4400,S4449,Ha�ti & Dominican Republic Section,0,Haiti,1.0,0.0,0,1,Not PBA,0,0,0,1,0
2009/2010,43010,0,Individual,DO,Directive,NDD Americas Programming,0,0.0,Terminating,0,0,A031785002,Uncoded: Pre-APP,4452,3757126.03,B4400,NGM Americas,D4400,S4449,Ha�ti & Dominican Republic Section,0,Haiti,1.0,0.0,0,1,Not PBA,0,0,0,1,0
2009/2010,43010,0,Individual,DO,Directive,NDD Americas Programming,0,0.0,Terminating,0,0,A031785002,Uncoded: Pre-APP,4452,3757126.03,B4400,NGM Americas,D4400,S4449,Ha�ti & Dominican Republic Section,0,Haiti,1.0,0.0,0,1,Not PBA,0,0,0,1,0
2009/2010,43010,0,Individual,DO,Directive,NDD Americas Programming,0,0.0,Terminating,0,0,A031785002,Uncoded: Pre-APP,4452,3757126.03,B4400,NGM Americas,D4400,S4449,Ha�ti & Dominican Republic Section,0,Haiti,1.0,0.0,0,1,Not PBA,0,0,0,1,0
2009/2010,43010,0,Individual,DO,Directive,NDD Americas Programming,0,0.0,Terminating,0,0,A031785002,Uncoded: Pre-APP,4452,3757126.03,B4400,NGM Americas,D4400,S4449,Ha�ti & Dominican Republic Section,0,Haiti,1.0,0.0,0,1,Not PBA,0,0,0,1,0
2009/2010,43010,0,Governmental,HT,Directive,NDD Americas Programming,0,0.0,Terminating,0,0,A031785002,Uncoded: Pre-APP,4452,3757126.03,B4400,NGM Americas,D4400,S4449,Ha�ti & Dominican Republic Section,0,Haiti,1.0,0.0,0,1,Not PBA,0,0,0,1,0
2009/2010,43010,0,Civil Society,HT,Directive,NDD Americas Programming,0,0.0,Terminating,0,0,A031785002,Uncoded: Pre-APP,4452,3757126.03,B4400,NGM Americas,D4400,S4449,Ha�ti & Dominican Republic Section,0,Haiti,1.0,0.0,0,1,Not PBA,0,0,0,1,0
2009/2010,43010,0,Civil Society,HT,Directive,NDD Americas Programming,0,0.0,Terminating,0,0,A031785002,Uncoded: Pre-APP,4452,3757126.03,B4400,NGM Americas,D4400,S4449,Ha�ti & Dominican Republic Section,0,Haiti,1.0,0.0,0,1,Not PBA,0,0,0,1,0
2009/2010,43010,0,Civil Society,HT,Directive,NDD Americas Programming,0,0.0,Terminating,0,0,A031785002,Uncoded: Pre-APP,4452,3757126.03,B4400,NGM Americas,D4400,S4449,Ha�ti & Dominican Republic Section,0,Haiti,1.0,0.0,0,1,Not PBA,0,0,0,1,0
