assay_id,doc_id,confidence_score,assay_strain,cell_id,assay_category,curated_by,tissue_id,assay_cell_type,assay_tissue,assay_tax_id,description,assay_type,assay_test_type,assay_organism,assay_subcellular_fraction,tid
763,10085,4,,,,Autocuration,10000000.0,,Hippocampus,,Ability to bind at 5-hydroxytryptamine 1 receptor of rat hippocampus by displacing [3H]5-HT,B,,,,104744
764,10085,4,,,,Autocuration,10000000.0,,Hippocampus,,Ability to bind at 5-hydroxytryptamine 1 receptor of rat hippocampus by displacing [3H]5-HT,B,,,,104744
765,10085,4,,,,Autocuration,10000000.0,,Hippocampus,,Ability to bind at serotonin 5-hydroxytryptamine 1 receptor of rat hippocampus by displacing [3H]5-HT,B,,,,104744
766,9841,4,,,,Autocuration,,,,,Ability to inhibit binding of titreated serotonin to the 5-hydroxytryptamine 1 receptor in rat brain frontal cortex membranes,B,,,Membranes,104744
767,8822,5,,,,Autocuration,,,,10116.0,Binding affinity towards 5-hydroxytryptamine 1 receptor in brain cortical membranes of rat,B,,Rattus norvegicus,,104744
768,9806,5,,,,Autocuration,,,,10116.0,Binding affinity towards 5-hydroxytryptamine 1 receptor in rat frontal cortex homogenates using [3H]5-HT as a radioligand,B,,Rattus norvegicus,,104744
769,9806,5,,,,Autocuration,,,,10116.0,Binding affinity towards 5-hydroxytryptamine 1 receptor using [3H]5-HT as a radioligand from rat frontal cortex homogenates,B,,Rattus norvegicus,,104744
770,8868,4,,,,Autocuration,,,,,Binding affinity towards 5-hydroxytryptamine 1 receptor was measured using radioligand ([3H]5-HT) binding assay,B,,,,104744
771,9036,4,,,,Autocuration,10000000.0,,Hippocampus,,Binding affinity towards hippocampus 5-hydroxytryptamine 1 receptor was measured using radioligand [3H]5-HT,B,,,,104744
772,11374,4,,,,Autocuration,10000000.0,,Hippocampus,,Compound was evaluated for the inhibition of [3H]5-HT (concentration of 12 nM) specific binding to rat hippocampus,B,,,,104744
773,10881,4,,,,Autocuration,,,,,Inhibitory activity against 5-hydroxytryptamine 1 receptor by 3H ligand binding experiments.,B,,,,104744
774,8822,4,,,,Autocuration,,,,,Tested for its binding affinity towards 5-hydroxytryptamine 1 receptor in rat,B,,,,104744
775,9806,5,,,,Autocuration,,,,10116.0,Tested for its binding affinity towards 5-hydroxytryptamine 1 receptor in rat cortical membrane homogenates using radioligand ([3H]5-HT) binding assay.,B,,Rattus norvegicus,,104744
776,15463,4,,,,Autocuration,,,,,Compound at 1 uM was tested for the inhibition of radioligand [3H]5-HT binding to 5-hydroxytryptamine 1 receptor in rat cerebral cortex,B,,,,104744
777,15463,4,,,,Autocuration,,,,,Compound at 1 uM was tested for the inhibition of radioligand [3H]5-HT binding to 5-hydroxytryptamine 1 receptor in rat cerebral cortex,B,,,,104744
778,14542,4,,,,Autocuration,955.0,,Brain,,Compound is evaluated for binding affinity towards 5-hydroxytryptamine 1 receptor using [3H]5-HT in rat brain cortex at 10 uM,B,,,,104744
779,14542,4,,,,Autocuration,955.0,,Brain,,Compound is evaluated for binding affinity towards 5-hydroxytryptamine 1 receptor using [3H]5-HT in rat brain cortex at 10 uM,B,,,,104744
780,8569,4,,,,Autocuration,,,,,Percent inhibition of 5-hydroxytryptamine 1 receptor from rat cortex membrane using [3H]- serotonin as radioligand at 33 uM,B,,,,104744
781,10062,5,,,,Autocuration,,,,10116.0,Inhibition of [3H]5-HT radioligand binding against 5-hydroxytryptamine 1 receptor,B,,Rattus norvegicus,,104744
782,4771,4,,,,Autocuration,,,,,Ancillary Binding affinity towards rat 5-hydroxytryptamine 1 receptor,B,,,,104744
783,10062,4,,,,Autocuration,,,,,Binding affinity determined in radioreceptor binding assay by using [3H]5-HT radioligand against 5-hydroxytryptamine 1 receptor,B,,,,104744
784,10062,4,,,,Autocuration,,,,,Binding affinity in radioreceptor binding assay by using [3H]5-HT radioligand against 5-hydroxytryptamine 1 receptor,B,,,,104744
785,10062,4,,,,Autocuration,,,,,Binding affinity in radioreceptor binding assay by using [3H]5-HT radioligand against 5-hydroxytryptamine 1 receptor,B,,,,104744
786,15463,4,,,,Autocuration,,,,,Binding affinity towards 5-hydroxytryptamine 1 receptor was determined in rat cerebral cortex using [3H]5-HT as radioligand,B,,,,104744
787,15463,4,,,,Autocuration,,,,,Binding affinity towards central 5-hydroxytryptamine 1 receptor was determined in rat cerebral cortex using [3H]5-HT as radioligand,B,,,,104744
788,9098,4,,,,Autocuration,,,,,Binding affinity towards 5-hydroxytryptamine 1 receptor was determined,B,,,,104744
789,3070,0,,,,Autocuration,,,,10116.0,Affinity for 5-hydroxytryptamine 1 receptor,B,,Rattus norvegicus,,22226
790,14542,4,,,,Autocuration,955.0,,Brain,,Compound is evaluated for binding affinity towards 5-hydroxytryptamine 1 receptor using [3H]5-HT in rat brain cortex,B,,,,104744
791,14542,4,,,,Autocuration,955.0,,Brain,,Compound is evaluated for binding affinity towards 5-hydroxytryptamine 1 receptor using [3H]5-HT in rat brain cortex at 10 uM,B,,,,104744
792,6398,4,,,,Autocuration,,,,,Compound was evaluated for 5-hydroxytryptamine 1 receptor binding,B,,,,104744
793,1344,4,,,,Autocuration,955.0,,Brain,,Compound was evaluated for its binding affinity to 5-hydroxytryptamine 1 receptor in rat brain using [3H]HT radioligand assay,B,,,,104744
794,11963,4,,,,Autocuration,,,,,Displacement of binding of [3H]5-HT to 5-hydroxytryptamine 1 receptor in rat cerebral cortex,B,,,,104744
795,8908,0,,,,Autocuration,,,,10116.0,Displacement of [3H]spiperone from 5-hydroxytryptamine 1 receptor of rat cortex,B,,Rattus norvegicus,,22226
796,9098,4,,,,Autocuration,,,,,Evaluated for binding affinity towards rat cortical membranes at 5-hydroxytryptamine 1 receptor binding site by using [3H]-5-HT as a radioligand.,B,,,,104744
797,8841,5,,,,Autocuration,,,,10116.0,Binding affinity for 5-hydroxytryptamine 1 receptor of rat prefrontal cortex,B,,Rattus norvegicus,,104744
798,8814,0,,,,Autocuration,,,,10116.0,Displacement of [3H]5-HT from 5-hydroxytryptamine 1 receptor of rat cortical membrane homogenates,B,,Rattus norvegicus,,22226
799,11752,4,,,,Autocuration,,,,,The ability to inhibit [3H]5-HT binding to 5-hydroxytryptamine 1 receptor in rat cortex,B,,,,104744
800,11642,4,,,,Autocuration,955.0,,Brain,,The binding affinity was measured on serotonin 5-hydroxytryptamine 1 receptor in rat brain tissue,B,,,,104744
801,11642,4,,,,Autocuration,,,,,The compound was tested for its binding affinity towards 5-hydroxytryptamine 1 receptor by displacing [3H]5-HT radioligand in rat cerebral cortex,B,,,,104744
802,9231,4,,,,Autocuration,955.0,,Brain,,Tested for 5-hydroxytryptamine 1 receptor binding ability by displacement of [3H]5-HT from rat brain synaptosomes,B,,,,104744
803,11351,4,,,,Autocuration,955.0,,Brain,,Inhibition constant (1 uM) was measured on 5-hydroxytryptamine 1 receptor/uptake using [3H]- serotonin as radioligand in rat brain cortex.,B,,,,104744
804,4639,0,,,,Autocuration,,,,,Compound was tested for binding affinity against 5-HT1 receptor,B,,,,22226
805,1205,0,,,,Autocuration,,,,,Inhibitory concentration against 5-hydroxytryptamine 1 receptor,B,,,,22226
806,10025,8,,,,Expert,,,,,Concentration necessary to achieve half maximal inhibition of [3H]8-Hydroxy-2-(di-n-propylamino)tetralin binding to 5-hydroxytryptamine 1A receptor at 1 uM,B,,,,10576
807,13241,8,,,,Autocuration,,,,,"Ability to inhibit 5-HT sensitive,forskolin-stimulated adenylyl cyclase(FSC) activity in rat hippocampal membranes mediated through 5-hydroxytryptamine 1A receptor",F,,,,10576
808,16245,8,,,,Autocuration,,,,,Agonistic activity (induction of forepaw treading in rats)on postsynaptic 5-hydroxytryptamine 1A receptor while iv administration,F,In vivo,,,10576
809,16245,8,,,,Autocuration,,,,,Agonistic activity (induction of forepaw treading in rats)on postsynaptic 5-hydroxytryptamine 1A receptor while subcutaneous administration,F,In vivo,,,10576
810,12438,8,,,,Autocuration,,,,,Inhibition of forskolin stimulated adenylate cyclase at 5-hydroxytryptamine 1A receptor,F,,,,10576
811,16245,8,,,,Autocuration,,,,,Agonistic activity (induction of forepaw treading in rats)on postsynaptic 5-hydroxytryptamine 1A receptor while iv administration,F,In vivo,,,10576
812,16245,8,,,,Autocuration,,,,,Agonistic activity (induction of forepaw treading in rats)on postsynaptic 5-hydroxytryptamine 1A receptor while subcutaneous administration,F,In vivo,,,10576
813,15740,8,,,,Autocuration,,,,,Evaluated for the 5-hydroxytryptamine 1A receptor agonist activity in LY-293284 trained rats,F,,,,10576
814,15535,8,,,,Autocuration,,,,,Percent of maximum response by 5-HT when tested for inhibition of vasoactive intestinal polypeptide-induced (VIP-induced) cAMP formation assessed in GH4ZD10 cells at 10 uM concentration,F,,,,10576
815,15535,8,,,,Expert,,,,,Percent inhibition of vasoactive intestinal polypeptide-induced (VIP-induced) cAMP formation in GH4ZD10 cells expressing 5-HT1A receptor at 50 uM relative to 5-HT,F,,,,51
816,15535,8,,,,Autocuration,,,,,Percent of maximum response by 5-HT when tested for inhibition of vasoactive intestinal polypeptide-induced (VIP-induced) cAMP formation assessed in GH4ZD10 cells at 50 uM concentration; No effect,F,,,,10576
817,9888,8,,,,Expert,,,,,Binding affinity at [3H]8-OH-DPAT-Labeled 5-hydroxytryptamine 1A receptor sites in rat brain hippocampal membranes expressed as Hill values,B,,,,10576
818,10085,8,,,,Autocuration,10000000.0,,Hippocampus,,Ability to bind at 5-hydroxytryptamine 1A receptor of rat hippocampus by displacing [3H]8-OH-DPAT,B,,,,10576
819,10085,8,,,,Autocuration,10000000.0,,Hippocampus,,Ability to bind at serotonin 5-hydroxytryptamine 1A receptors of rat hippocampus by displacing [3H]8-OH-DPAT,B,,,,10576
820,17331,8,,,,Expert,,,,,Binding affinity against 5-hydroxytryptamine 1A receptor (5-HT1A) by displacement of [3H]8-OH-DPAT from rat hippocampus membranes,B,,,Membranes,10576
821,10845,9,,,,Expert,10000000.0,,Hippocampus,10116.0,Binding affinity against 5-hydroxytryptamine 1A receptor of rat hippocampal tissue with [3H]8-OH-DPAT,B,,Rattus norvegicus,,10576
822,10845,9,,,,Expert,10000000.0,,Hippocampus,10116.0,Binding affinity against 5-hydroxytryptamine 1A receptor of rat hippocampal tissue with [3H]5-HT,B,,Rattus norvegicus,,10576
823,10845,8,,,,Expert,10000000.0,,Hippocampus,,Binding affinity against 5-hydroxytryptamine 1A receptor using in rat hippocampal tissue using [3H]8-OH-DPAT as radioligand,B,,,,10576
824,10845,9,,,,Expert,10000000.0,,Hippocampus,10116.0,Displacement of [3H]8-OH-DPAT from rat hippocampal 5-hydroxytryptamine 1A receptor; IA-Inactive,B,,Rattus norvegicus,,10576
825,10845,9,,,,Expert,10000000.0,,Hippocampus,10116.0,Binding affinity against 5-hydroxytryptamine 1A receptor of rat hippocampal tissue with [3H]5-HT,B,,Rattus norvegicus,,10576
826,13730,8,,,,Expert,,,,,Binding affinity towards rat 5-hydroxytryptamine 1A receptor was evaluated using [3H]8-OH-DPAT as radioligand,B,,,,10576
827,13508,8,,,,Expert,,,,,Binding affinity against 5-hydroxytryptamine 1A receptor in rat hippocampus membranes using [3H]8-OH-DPAT as radioligand,B,,,,10576
828,13508,8,,,,Expert,10000000.0,,Hippocampus,,Binding affinity against serotonin 5-hydroxytryptamine 1A receptor in rat hippocampus membrane using [3H]8-OH-DPAT as radioligand,B,,,,10576
829,12073,8,,,,Expert,10000000.0,,Hippocampus,,Binding affinity by measuring displacement of [3H]-8-OH-DPAT from 5-hydroxytryptamine 1A receptor in rat hippocampus,B,,,,10576
830,4671,8,,,,Autocuration,10000000.0,,Hippocampus,,Binding affinity to 5-hydroxytryptamine 1A receptor of rat hippocampus with [3H]8-OH-DPAT as radioligand,B,,,,10576
831,13631,8,,,,Expert,10000000.0,,Hippocampus,,Binding affinity towards serotonin 5-HT1A receptor was determined in rat hippocampus using [3H]8-OH-DPAT as ligand,B,,,,10576
832,12438,8,,,,Autocuration,,,,,Binding affinity was measured against serotonin 5-hydroxytryptamine 1A receptor,B,,,,10576
833,10483,8,,,,Autocuration,,,,,Binding affinity to 5-hydroxytryptamine 1A receptor in rat cortex using [3H]-8-OH- DPAT as radioligand,B,,,,10576
834,10483,8,,,,Autocuration,10000000.0,,Hippocampus,,Binding affinity to 5-hydroxytryptamine 1A receptor in rat hippocampus using [3H]-8-OH- DPAT as radioligand,B,,,,10576
835,12352,8,,,,Intermediate,,,,,Binding affinity against 5-hydroxytryptamine 1A (5-HT1A) receptor in rat hippocampus membranes,B,,,,10576
836,14732,8,,,,Autocuration,10000000.0,,Hippocampus,,Binding affinity was measured at the serotonin 5-hydroxytryptamine 1A receptor using [3H]8-OH-DPAT as radioligand in rat hippocampal membrane.,B,,,,10576
837,11049,9,,,,Expert,,,,10116.0,Binding affinity to 5-hydroxytryptamine 1A receptor in the rat brain using [3H]8-hydroxy-2-(di-n-propylamine)tetralin as radioligand.,B,,Rattus norvegicus,,10576
838,11049,9,,,,Expert,,,,10116.0,Binding affinity to 5-hydroxytryptamine 1A receptor in the rat brain using [3H]8-hydroxy-2-(di-n-propylamine)tetralin as radioligand; ND-Not determined,B,,Rattus norvegicus,,10576
839,13657,8,,,,Expert,,,,,"Binding affinity to 5-hydroxytryptamine 1A receptor in rat hippocampus membranes,3H-8-OH-DPAT and buspirone for nonspecific binding (NSB)",B,,,,10576
840,11473,8,,,,Autocuration,,,,,Compound was evaluated for binding affinity towards 5-hydroxytryptamine 1A receptor in rat cortex using [3H]-8-OH-DPAT as radioligand,B,,,,10576
841,2014,8,,,,Autocuration,,,,,Compound was evaluated for its ability to displace [3H]8-OH-DPAT from serotonin 5-hydroxytryptamine 1A receptor in rat cerebral cortex membranes,B,,,,10576
842,3086,8,,,,Expert,10000000.0,,Hippocampus,,Displacement of [3H]8-OH-DPAT from 5-hydroxytryptamine 1A receptor in rat hippocampus,B,,,,10576
843,15854,8,,,,Expert,,,,,Binding affinity towards 5-hydroxytryptamine 1A receptor in rat frontal cortex using [125I]iodocyanopindolol as radio-ligand.,B,,,,10576
844,10922,8,,,,Expert,10000000.0,,Hippocampus,,Affinity for 5-hydroxytryptamine 1A receptor labeled with [3H]8-OH-DPAT radioligand in hippocampus tissue,B,,,,10576
845,13346,8,,,,Expert,10000000.0,,Hippocampus,,Inhibition of [3H]8-OH-DPAT binding at serotonin 5-hydroxytryptamine 1A receptor from rat hippocampus tissue.,B,,,,10576
846,15311,8,,,,Expert,,,,,In vitro inhibition of [3H]8-OH-DPAT binding to rat 5-HT 1a receptors.,B,,,,10576
847,10922,8,,,,Autocuration,10000000.0,,Hippocampus,,Compound was measured for affinity at 5-hydroxytryptamine 1A receptor labeled with [3H]8-OH-DPAT radioligand in hippocampus tissue,B,,,,10576
848,10025,8,,,,Autocuration,,,,,Concentration necessary to achieve half maximal inhibition of [3H]8-Hydroxy-2-(di-n-propylamino)tetralin binding to 5-hydroxytryptamine 1A receptor<br>at 1 uM,B,,,,10576
849,10025,8,,,,Expert,,,,,Concentration necessary to achieve half maximal inhibition of [3H]8-Hydroxy-2-(di-n-propylamino)tetralin binding to 5-hydroxytryptamine 1A receptor at 1 uM,B,,,,10576
850,9742,8,,,,Autocuration,,,,,In vitro Inhibitory activity tested at 5-hydroxytryptamine 1A receptor binding site in rat,B,,,,10576
851,9742,8,,,,Autocuration,,,,,In vitro Inhibitory activity tested at 5-hydroxytryptamine 1A receptor binding site in rat,F,,,,10576
852,12304,8,,,,Expert,,,,,In vitro ability to inhibit binding of radioligand [3H]8-OH-DPAT to 5-hydroxytryptamine 1A receptor in rat cerebral cortex,B,,,,10576
853,15789,8,,,,Autocuration,10000000.0,,Hippocampus,,In vitro affinity against 5-hydroxytryptamine 1A receptor using [3H]-8-OH-DPAT in rat hippocampus,B,,,,10576
854,9912,8,,,,Autocuration,,,,,"In vitro binding activity against 5-hydroxytryptamine 1A receptor from homogenized rat brain, using [3H]-8-OH-DPAT as the radioligand",B,,,,10576
855,9912,8,,,,Autocuration,,,,,"In vitro binding activity against 5-hydroxytryptamine 1A receptor from homogenized rat brain, using [3H]8-OH-DPAT as the radioligand.",B,,,,10576
856,9912,8,,,,Autocuration,,,,,"In vitro binding activity against 5-hydroxytryptamine 1A receptor from homogenized rat brain, using [3H]8-OH-DPAT as the radioligand",B,,,,10576
857,16693,8,,,,Expert,,,,,In vitro binding affinity for serotonin 5-hydroxytryptamine 1A receptor fof rat cerebral cortex using [3H]8-OH-DPAT as radioligand,B,,,,10576
858,13276,8,,,,Expert,,,,,In vitro binding affinity measured on serotonin 5-hydroxytryptamine 1A receptor using [3H]8-OH-DPAT as radioligand.,B,,,,10576
859,12678,8,,,,Autocuration,10000000.0,,Hippocampus,,In vitro binding affinity to 5-hydroxytryptamine 1A receptor using [125I](R)-(+)-trans-8-OH-PIPAT as radioligand in rat hippocampal homogenate,B,,,,10576
860,11825,8,,,,Autocuration,,,,,In vitro binding affinity towards the 5-hydroxytryptamine 1A receptor was evaluated,B,,,,10576
861,12443,8,,,,Expert,,,,,In vitro binding affinity was measured on serotonergic 5-hydroxytryptamine 1A receptor by displacement of [3H]- tetralin,B,,,,10576
862,13830,8,,,,Expert,,,,,In vitro inhibitory activity against [3H]8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor,B,,,,10576
863,14286,8,,,,Expert,10000000.0,,Hippocampus,,In vitro inhibitory concentration against radioligand [3H]8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor in rat hippocampal membrane.,B,,,,10576
864,14356,9,,,,Expert,10000000.0,,Hippocampus,10116.0,In vitro radioligand binding assay on 5-hydroxytryptamine 1A receptor using [3H]8-OH-DPAT in rat hippocampus,B,,Rattus norvegicus,,10576
865,15306,8,,,,Autocuration,,,,,Inhibition concentration against 5-hydroxytryptamine 1A receptor,B,,,,10576
866,15306,8,,,,Expert,,,,,Inhibitory concentration against 5-hydroxytryptamine 1A receptor (Inactive at >1000 nM concentration),B,,,,10576
867,16616,9,,,,Expert,,,,10116.0,"Inhibition of (+)-8-OH-DPAT stimulated [35S]GTP-gamma-S, binding to 5-hydroxytryptamine 1A receptor in hippocampal membranes",F,,Rattus norvegicus,,10576
868,3651,8,,,,Autocuration,10000000.0,,Hippocampus,,"Inhibition of [3H]8-hydroxy-2-dipropylamino-1,2,3,4-tetrahydronaphthalene binding to 5-hydroxytryptamine 1A receptor in hippocampus region of rat brain; Residual radioligand binding higher than 50%",B,,,,10576
869,14331,8,,,,Autocuration,10000000.0,,Hippocampus,,Inhibition of forskolin-activated adenylate cyclase (cAMP) activity at 5-hydroxytryptamine 1A receptor in rat hippocampus,F,,,,10576
870,14331,8,,,,Autocuration,10000000.0,,Hippocampus,,Inhibition of forskolin-activated adenylate cyclase (cAMP) activity at 5-hydroxytryptamine 1A receptor in rat hippocampus,F,,,,10576
871,14178,9,,,,Expert,,,,10116.0,Inhibition of radiolabeled [3H]-8-OH-DPAT ligand binding to 5-hydroxytryptamine 1A receptor,B,,Rattus norvegicus,,10576
872,10639,9,,,,Expert,,,,10116.0,Displacement of [3H]8-OH-DPAT from rat cortex 5-hydroxytryptamine 1A receptor,B,,Rattus norvegicus,,10576
873,12306,8,,,,Autocuration,10000000.0,,Hippocampus,,Inhibitory activity against 5-hydroxytryptamine 1A receptor of rat hippocampal homogenates,B,,,,10576
874,1348,9,,,,Expert,,,,10116.0,Inhibitory activity against 5-hydroxytryptamine 1A receptor subtype,B,,Rattus norvegicus,,10576
875,13605,8,,,,Autocuration,10000000.0,,Hippocampus,,Inhibitory activity against [3H]DPAT binding to 5-HT1A receptor in rat hippocampus,B,,,,10576
876,17624,8,,449.0,,Autocuration,,CHO,,,Inhibition concentration against 5-hydroxytryptamine 1A receptor using cAMP as radioligand in CHO cells,B,,,,51
877,17624,8,,449.0,,Autocuration,,CHO,,,Inhibition concentration against binding of radioligand [35S]GTP-gamma-S in CHO cells expressing 5-hydroxytryptamine 1A receptor,F,,,,51
878,17624,8,,449.0,,Autocuration,,CHO,,,Inhibition concentration against binding of radioligand [35S]GTP-gamma-S in CHO cells expressing 5-hydroxytryptamine 1A receptor,F,,,,51
879,15267,8,,,,Autocuration,,,,,Inhibition of [3H]- 8-OH-DAPT binding against human recombinant 5-hydroxytryptamine 1A receptor,B,,,,51
880,16532,8,,,,Autocuration,,,,,The binding affinity at the 5-hydroxytryptamine 1A receptor determined using [3H]5-CT; Not tested,B,,,,51
881,6563,8,,,,Autocuration,,,,,"Agonistic activity of compound towards 5-hydroxytryptamine 1A receptor was evaluated by [35S]GTP-gamma-S, stimulated cAMP assay",F,,,,51
882,4751,8,,449.0,,Autocuration,,CHO,,,Ability to displace [3H]-8-OH-DPAT from CHO cells stably transfected with human 5-hydroxytryptamine 1A receptor at a concentration of 1 uM,B,,,,51
883,15463,8,,,,Autocuration,,,,,Compound at 1 uM was tested for the inhibition of radioligand [3H]8-OH-DPAT binding to recombinant human 5-hydroxytryptamine 1A receptor,B,,,,51
884,3805,8,,,,Autocuration,,,,,In vitro binding affinity against human 5-hydroxytryptamine 1A receptor at a concentration of 100 (nM),B,,,,51
885,5640,8,,,,Autocuration,,,,,In vitro binding affinity towards 5-hydroxytryptamine 1A receptor using [3H]8-OH-DPAT as radioligand,B,,,,51
886,6563,8,,,,Autocuration,,,,,Inhibition of [3H]8-OH-DPAT binding to human 5-hydroxytryptamine 1A receptor at 1000 nM compound concentration,B,,,,51
887,5548,8,,,,Autocuration,,,,,Inhibitory activity against 5-hydroxytryptamine 1A receptor using [3H]-8-OH-DPAT as radioligand at 100 nM concentration,B,,,,51
888,6347,8,,,,Autocuration,,,,,Percent binding affinity against 5-hydroxytryptamine 1A receptor,B,,,,51
889,17296,8,,722.0,,Autocuration,,HEK293,,,Intrinsic activity for human 5-hydroxytryptamine 1A receptors HEK 293 cell membranes using [35S]GTP gamma-S,F,,,,51
890,13047,8,,,,Autocuration,,,,,Binding affinity against 5-hydroxytryptamine 1 receptor using rabbit jugular vein assay in the absence of endothelium,B,,,,51
891,15740,8,,,,Autocuration,,,,,Dissociation constant against human 5-hydroxytryptamine 1A receptor receptor,B,,,,51
892,5640,8,,,,Expert,,,,,"Inhibition of 5-HT induced [35S]GTP-gamma-S, binding at human cloned 5-HT 1A receptors.",F,,,,51
893,5640,8,,,,Autocuration,,,,,"5-hydroxytryptamine 1A receptor antagonism was evaluated by the ability to inhibit [35S]GTP-gamma-S, binding that was induced by 5-HT; Ki (nM): not determined",F,,,,51
894,17211,8,,308.0,,Expert,,HeLa,,,Ability to displace [3H]5-CT (2.0 nM) from HeLa cells of human 5-hydroxytryptamine 1A receptor,B,,,,51
895,4751,8,,449.0,,Autocuration,,CHO,,,Ability to displace [3H]8-OH-DPAT from CHO cells stably transfected with human 5-hydroxytryptamine 1A receptor,B,,,,51
896,6491,9,,,,Expert,,,,9606.0,Affinity towards human 5-hydroxytryptamine 1A serotonin receptor,B,,Homo sapiens,,51
897,4707,8,,,,Autocuration,,,,,Binding affinity towards human 5-hydroxytryptamine 1A receptor was determined using [3H]8-OH-DPAT-as radioligand,B,,,,51
898,13910,9,,,,Expert,,,,9606.0,Binding affinity against 5-hydroxytryptamine 1A receptor,B,,Homo sapiens,,51
899,16190,8,,308.0,,Autocuration,,HeLa,,,Binding affinity against 5-hydroxytryptamine 1A receptor in HeLa cells was determined using [3H]5-HT,B,,,,51
900,16633,8,,,,Autocuration,,,,,Binding affinity against 5-hydroxytryptamine 1A receptor using [3H]8-OH-DPAT as radioligand,B,,,,51
901,11898,8,,449.0,,Autocuration,,CHO,,,Binding affinity against [3H]- -8-OH-DPAT -labeled 5-hydroxytryptamine 1A sites in cloned CHO cells,B,,,,51
902,11898,8,,449.0,,Autocuration,,CHO,,,Binding affinity against [3H]8-OH-DPAT-labeled 5-hydroxytryptamine 1A receptor sites in cloned CHO cells,B,,,,51
903,14331,8,,,,Autocuration,,,,,Binding affinity against human 5-hydroxytryptamine 1A receptor,B,,,,51
904,17624,8,,449.0,,Expert,,CHO,,,Binding affinity against human 5-hydroxytryptamine 1A receptor in CHO cells labeled with [3H]8-OH-DPAT radioligand,B,,,,51
905,17624,8,,449.0,,Autocuration,,CHO,,,Binding affinity against human 5-hydroxytryptamine 1A receptor in CHO cells labeled with [3H]8-OH-DPAT radioligand; nd=not determined,B,,,,51
906,3307,8,,,,Autocuration,,,,,Binding affinity of compound to human 5-hydroxytryptamine 1A receptor,B,,,,51
907,6563,9,,449.0,,Expert,,CHO,,9606.0,Displacement of [3H]8-OH-DPAT from human 5-hydroxytryptamine 1A receptor expressed in CHO cells,B,,Homo sapiens,,51
908,14165,8,,,,Autocuration,,,,,Binding affinity for 5-hydroxytryptamine 1A receptor in HeLa transfected cell type using [3H]8-OH-DPAT as radioligand,B,,,,51
909,5732,8,,,,Autocuration,,,,,Binding affinity towards cloned human 5-hydroxytryptamine 1A receptor was determined,B,,,,51
910,13366,8,,,,Expert,,,,,In vitro affinity at human cloned 5-hydroxytryptamine 1A receptor by [3H]8-OH-DPAT displacement.,B,,,,51
911,17626,8,,,,Autocuration,,,,,Binding affinity towards human 5-hydroxytryptamine 1A receptor,B,,,,51
912,6588,8,,308.0,,Expert,,HeLa,,,Binding affinity towards human 5-hydroxytryptamine 1A receptor by the displacement of [3H]5-HT radioligand from the cloned receptor expressed in HeLa cells,B,,,,51
913,16209,8,,,,Autocuration,,,,,Binding affinity towards human 5-hydroxytryptamine 1A receptor was determined using [3H]-5-HT as radioligand,B,,,,51
914,15463,8,,,,Autocuration,,,,,Binding affinity towards recombinant human 5-hydroxytryptamine 1A receptor was determined using [3H]8-OH-DPAT as radioligand,B,,,,51
915,15463,8,,,,Autocuration,,,,,Binding affinity towards recombinant human Compound at 1 uM was tested for the inhibition of radioligand [3H]8-OH-DPAT binding to recombinant human 5-hydroxytryptamine 1A receptor was determined using [3H]8-OH-DPAT as radioligand,B,,,,51
916,14770,8,,,,Autocuration,,,,,Binding affinity for recombinant human 5-hydroxytryptamine 1A receptor using [3H]5-HT as radioligand.,B,,,,51
917,16245,8,,1167.0,,Autocuration,,Cell line,,,Binding affinity on human cloned 5-hydroxytryptamine 1A receptor transfected in human cell lines (He La),B,,,,51
918,16245,8,,,,Autocuration,,,,,Binding affinity on human cloned 5-hydroxytryptamine 1A receptor transfected in human cell lines(He La),B,,,,51
919,5548,8,,,,Autocuration,,,,,Binding affinity towards 5-HT1A receptor using [3H]8-OH-DPAT as radioligand,B,,,,51
920,5548,8,,,,Expert,,,,,Binding affinity was determined towards 5-hydroxytryptamine 1A receptor using [3H]8-OH-DPAT as radioligand,B,,,,51
921,5548,8,,,,Autocuration,,,,,Binding affinity towards 5-hydroxytryptamine 1A receptor using [3H]8-OH-DPAT as radioligand,B,,,,51
922,6876,8,,,,Expert,,,,,Binding affinity was evaluated at 5-hydroxytryptamine 1A receptor labeled with [3H]-8-OH-DPAT,B,,,,51
923,2598,8,,,,Autocuration,,,,,Binding affinity was evaluated at human recombinant 5-hydroxytryptamine 1A receptor using [3H]8-OH-DPAT as radioligand,B,,,,51
924,17785,8,,,,Expert,,,,,Binding affinity to human 5-hydroxytryptamine 1A receptor was measured using [3H]-8-hydroxy-2-(di-n-propylamine) tetraline [3H]8-OH-DPAT) as radioligand,B,,,,51
925,6013,8,,,,Autocuration,,,,,Binding affinity towards 5-hydroxytryptamine 1A receptor,B,,,,51
926,5929,8,,,,Expert,,,,,Binding affinity towards 5-hydroxytryptamine 1A receptor in human using [3H]8-OH-DPAT as radioligand,B,,,,51
927,16633,8,,,,Autocuration,,,,,Binding affinity towards 5-hydroxytryptamine 1A receptor using [3H]8-OH-DPAT as radioligand,B,,,,51
928,1558,8,,,,Autocuration,,,,,Binding affinity towards cloned human 5-hydroxytryptamine 1A receptor was determined,B,,,,51
