assay_id,assay_subcellular_fraction,assay_test_type,bao_format,tissue_id,cell_id,doc_id,description,assay_type,assay_category,assay_organism,assay_tax_id,assay_strain,assay_tissue
1300,,,BAO_0000221,10000000.0,,12306,Inhibition of binding of [125I]-8-OH-PIPAT ligand to 5-hydroxytryptamine 1A receptor of rat hippocampal homogenates,B,,,,,Hippocampus
1301,,,BAO_0000221,10000000.0,,12306,The binding of [125I]MPPI ligand to 5-hydroxytryptamine 1A receptor of rat hippocampal homogenates,B,,,,,Hippocampus
1302,,,BAO_0000357,,,15247,Ability to displace [3H]8-OH-DPAT from 5-hydroxytryptamine 1A receptor,B,,Rattus norvegicus,10116.0,,
1303,,,BAO_0000221,10000000.0,,17529,Ability to bind to central serotonin 5-hydroxytryptamine 1A receptor in vitro in hippocampus of the rat brain using [3H]8-OH-DPAT radioligand,B,,,,,Hippocampus
1304,,,BAO_0000221,10000000.0,,14826,Ability to displace [3H]- -OH-DPAT bound to 5-hydroxytryptamine 1A receptor in rat hippocampus,B,,,,,Hippocampus
1305,,,BAO_0000221,10000000.0,,14826,Ability to displace [3H]- -(OH)-DPAT bound to 5-hydroxytryptamine 1A receptor in rat hippocampus,B,,,,,Hippocampus
1306,,,BAO_0000221,10000000.0,,13241,Ability to displace [3H]8-OH-DPAT binding to rat hippocampal 5-hydroxytryptamine 1A receptor,B,,,,,Hippocampus
1307,,,BAO_0000221,10000000.0,,14093,Ability to displace [3H]-8-OH-DPAT from rat hippocampal homogenate 5-hydroxytryptamine 1A receptor,B,,,,,Hippocampus
1308,,,BAO_0000221,10000000.0,,14093,Ability to displace [3H]-8-OH-DPAT from rat hippocampal homogenate 5-hydroxytryptamine 1A receptor; Not tested,B,,,,,Hippocampus
1309,,,BAO_0000221,955.0,,14442,Affinity at [3H]8-OH-DPAT-labeled 5-hydroxytryptamine 1A receptor in rat brain homogenate was determined,B,,,,,Brain
1310,,,BAO_0000357,,,9919,Affinity for 5-hydroxytryptamine 1A receptor site,B,,,,,
1311,,,BAO_0000357,,,9919,Affinity for 5-hydroxytryptamine 1A receptor site,B,,,,,
1312,,,BAO_0000221,10000000.0,,11440,Affinity in displacing [3H]8-OH-DPAT from rat hippocampal 5-HT1A receptor.,B,,,,,Hippocampus
1313,,,BAO_0000357,,,11257,Affinity on 5-hydroxytryptamine 1A receptor labeled by [3H]8-OH-DPAT,B,,,,,
1314,,,BAO_0000357,,,10330,Binding affinity against 5-hydroxytryptamine 1A receptor using [3H]-8-OH-DPAT as radioligand,B,,,,,
1315,,,BAO_0000221,10000000.0,,17331,Displacement of [3H]8-OH-DPAT from 5-hydroxytryptamine 1A receptor of rat hippocampus mambranes,B,,Rattus norvegicus,10116.0,,Hippocampus
1316,,,BAO_0000249,,,16567,Binding affinity against 5-hydroxytryptamine 1A receptor by displacing [3H]8-OH-DPAT radioligand in rat cortex membrane,B,,,,,
1317,,,BAO_0000019,,,12058,"Binding affinity against 5-hydroxytryptamine 1A receptor in homogenated rat brain tissue, using by [3H]8-OH-DPAT as radioligand",B,,Rattus norvegicus,10116.0,,
1318,,,BAO_0000221,10000000.0,,9699,Binding affinity against 5-hydroxytryptamine 1A receptor in rat hippocampal tissue,B,,,,,Hippocampus
1319,,,BAO_0000357,,,9547,Binding affinity against 5-hydroxytryptamine 1A receptor of rat was determined using [3H]8-OH-DPAT in binding assay,B,,,,,
1320,,,BAO_0000357,,,10330,Binding affinity against 5-hydroxytryptamine 1A receptor using [3H]DOB as radioligand,B,,,,,
1321,,,BAO_0000357,,,14331,Binding affinity against rat 5-hydroxytryptamine 1A receptor,B,,,,,
1322,,,BAO_0000019,,,14060,Binding affinity against rat brain 5-hydroxytryptamine 1A receptor,B,,Rattus norvegicus,10116.0,,
1323,,,BAO_0000221,10000000.0,,14744,Binding affinity against the 5-hydroxytryptamine 1A receptor labelled with [3H]8-OH-DPAT in rat hippocampal homogenates,B,,,,,Hippocampus
1324,,,BAO_0000357,,,13506,Binding affinity against serotonin 5-hydroxytryptamine 1A receptor using radioligand [3H]8-OH-DPAT binding assay,B,,,,,
1325,,,BAO_0000221,955.0,,10862,Binding affinity at 5-hydroxytryptamine 1A receptor by the displacement of [3H]8-OH-DPAT in rat brain.,B,,,,,Brain
1326,,,BAO_0000221,955.0,,10862,Binding affinity at 5-hydroxytryptamine 1A receptor by the displacement of [3H]8-OH-DPAT in rat brain.,B,,,,,Brain
1327,,,BAO_0000357,,,10062,Binding affinity at rat 5-hydroxytryptamine 1A receptor by [3H]WB-4101 displacement.,B,,,,,
1328,,,BAO_0000357,,,12073,Binding affinity for 5-hydroxytryptamine 1A receptor by use of [3H]8-OH-DPAT in male rat,B,,,,,
1329,,,BAO_0000357,,,14875,GTPgammaS radioligand binding assay,B,,,,,
1330,,,BAO_0000357,,,2391,The compound was evaluated for intrinsic activity against human cloned 5-hydroxytryptamine 1B receptor; Not determined,B,,,,,
1331,,,BAO_0000019,,,2391,The compound was evaluated for intrinsic activity against human cloned 5-hydroxytryptamine 1B receptor; Partial agonist,F,,,,,
1332,,,BAO_0000019,,,2391,The compound was evaluated for intrinsic activity against human cloned 5-hydroxytryptamine 1B receptor; Slient antagonist,F,,,,,
1333,,,BAO_0000357,,,2391,The compound was evaluated for intrinsic activity against human cloned 5-hydroxytryptamine 1B receptor,B,,,,,
1334,,,BAO_0000357,,,2391,The compound was evaluated for intrinsic activity against human cloned 5-hydroxytryptamine 1B receptor; Not determined,B,,,,,
1335,,,BAO_0000019,,,2391,The compound was evaluated for intrinsic activity against human cloned 5-hydroxytryptamine 1B receptor; silent antagonist,F,,,,,
1336,,,BAO_0000219,,308.0,17211,Ability to displace [3H]5-CT (1.5 nM) from HeLa cells of human 5-hydroxytryptamine 1B receptor,B,,,,,
1337,,,BAO_0000219,,308.0,17211,Ability to displace [3H]5-CT (1.5 nM) from HeLa cells of human 5-hydroxytryptamine 1B receptor receptor,B,,,,,
1338,,,BAO_0000357,,,6491,Affinity towards human 5-hydroxytryptamine 1B serotonin receptor,B,,Homo sapiens,9606.0,,
1339,,,BAO_0000219,,449.0,16190,Binding affinity against 5-hydroxytryptamine 1B receptor in CHO cells using [3H]5-HT as radioligand,B,,,,,
1340,,,BAO_0000019,,,14165,Binding affinity for 5-hydroxytryptamine 1B receptor in C6-glial transfected cell type using [3H]5-CT as radioligand,B,,,,,
1341,,,BAO_0000019,,,14165,Binding affinity for 5-hydroxytryptamine 1B receptor in C6-glial transfected cell type using [3H]GR-125743 as radioligand,B,,,,,
1342,,,BAO_0000357,,,4234,Binding affinity to cloned human 5-hydroxytryptamine 1B receptor,B,,Homo sapiens,9606.0,,
1343,,,BAO_0000219,,,6328,Binding affinity towards human 5-hydroxytryptamine 1B receptor in L-M(tk-) cells using [3H]GR-125743 as radioligand,B,,,,,
1344,,,BAO_0000357,,,14770,Binding affinity for recombinant human 5-hydroxytryptamine 1B receptor using [3H]5-HT as radioligand.,B,,,,,
1345,,,BAO_0000357,,,2598,Binding affinity was evaluated at human recombinant 5-hydroxytryptamine 1B receptor using [3H]5-CT as radioligand,B,,,,,
1346,,,BAO_0000357,,,6897,Binding affinity was evaluated at the cloned human 5-hydroxytryptamine 1B receptor,B,,,,,
1347,,,BAO_0000357,,,6897,Binding affinity was evaluated at the cloned human 5-hydroxytryptamine 1B receptor,B,,,,,
1348,,,BAO_0000357,,,6013,Binding affinity towards 5-hydroxytryptamine 1B receptor,B,,,,,
1349,,,BAO_0000357,,,5843,Binding affinity towards cloned human 5-hydroxytryptamine 1B receptor,B,,,,,
1350,,,BAO_0000357,,,14454,Binding affinity towards human 5-hydroxytryptamine 1B receptor using [3H]5-HT trifluoroacetate as radioligand,B,,,,,
1351,,,BAO_0000357,,,16209,Binding affinity towards human 5-hydroxytryptamine 1B receptor using [3H]5-HT radioligand,B,,,,,
1352,,,BAO_0000357,,,3935,Compound was evaluated for its binding affinity for human 5-hydroxytryptamine 1B receptor,B,,,,,
1353,,,BAO_0000219,,485.0,13729,Ability to inhibit the forskolin-stimulated c-AMP formation mediated by human 5-hydroxytryptamine 1B receptor in CHO-K1 cells,F,,,,,
1354,,,BAO_0000019,,,14251,Agonist activity to the human recombinant 5-hydroxytryptamine 1B receptor,F,,,,,
1355,,,BAO_0000019,,,17085,In vitro binding affinity by radioligand binding assay using cell line expressing human 5-hydroxytryptamine 1B receptor,B,,,,,
1356,,,BAO_0000357,,,3025,In vitro binding affinity was determined towards cloned human 5-hydroxytryptamine 1B receptor using [3H]5-CT radioligand,B,,,,,
1357,,,BAO_0000357,,,15315,In vitro receptor binding affinity for cloned human 5-hydroxytryptamine 1B receptor,B,,,,,
1358,,,BAO_0000219,,,14214,Receptor binding affinity for cloned human 5-hydroxytryptamine 1B receptor in Cos-7 cells,B,,Homo sapiens,9606.0,,
1359,,,BAO_0000357,,,3804,Binding affinity towards cloned human 5-hydroxytryptamine 1B receptor,B,,Homo sapiens,9606.0,,
1360,,,BAO_0000357,,,2391,Affinity for 5-hydroxytryptamine 1B receptor subtype,B,,Homo sapiens,9606.0,,
1361,,,BAO_0000357,,,4175,Binding affinity for human 5-hydroxytryptamine 1B receptor,B,,Homo sapiens,9606.0,,
1362,,,BAO_0000219,,449.0,17296,Binding affinity against cloned human 5-hydroxytryptamine 1B receptor in CHO cells using [3H]5-CT as radioligand; Not determined,B,,,,,
1363,,,BAO_0000019,,,17085,In vitro binding affinity was determined by radioligand binding assay using cell line expressing human 5-hydroxytryptamine 1B receptor; ND means not determined,B,,,,,
1364,,,BAO_0000219,,308.0,17211,Ability to displace [3H]5-CT (1.5 nM) from HeLa cells of human 5-hydroxytryptamine 1B receptor; NT denotes not tested,B,,,,,
1365,,,BAO_0000219,,308.0,17211,Ability to displace [3H]5-CT (1.5 nM) from HeLa cells of human 5-hydroxytryptamine 1B receptor; NT=not tested,B,,,,,
1366,,,BAO_0000219,,308.0,17211,Ability to displace [3H]-5-CT (1.5 nM) from HeLa cells of human 5-hydroxytryptamine 1B receptor; NT denotes not tested,B,,,,,
1367,,,BAO_0000357,,,15926,Binding activity against human 5-hydroxytryptamine 1B receptor; NT means not tested,B,,Homo sapiens,9606.0,,
1368,,,BAO_0000219,,485.0,16312,Binding affinity in CHO-K1 cells transfected with human recombinant 5-hydroxytryptamine 1B receptor; not tested,B,,,,,
1369,,,BAO_0000357,,,5843,Selectivity ratio against cloned human 5-HT1B receptor to that of h5-HT1D receptor,B,,,,,
1370,,,BAO_0000357,,,5843,Selectivity ratio against cloned human 5-hydroxytryptamine 1B receptor to that of human 5-hydroxytryptamine 1D receptor,B,,,,,
1371,,,BAO_0000219,,485.0,16312,Binding affinity in CHO-K1 cells transfected with human recombinant 5-hydroxytryptamine 1B receptor,B,,,,,
1372,,,BAO_0000357,,,15926,Binding activity against human 5-hydroxytryptamine 1B receptor,B,,Homo sapiens,9606.0,,
1373,,,BAO_0000357,,,15926,Binding activity against human 5-hydroxytryptamine 1B receptor,B,,Homo sapiens,9606.0,,
1374,,,BAO_0000219,,449.0,4540,Binding affinity to human cloned 5-hydroxytryptamine 1B receptor in CHO cells using [3H]5-HT as radioligand,B,,Homo sapiens,9606.0,,
1375,,,BAO_0000357,,,6166,Binding affinity towards cloned human 5-hydroxytryptamine 1B receptor was determined,B,,,,,
1376,,,BAO_0000219,,449.0,17296,Binding affinity against cloned human 5-hydroxytryptamine 1B receptor in CHO cells using [3H]5-CT as radioligand,B,,,,,
1377,,,BAO_0000219,,449.0,17296,Binding affinity against human 5-hydroxytryptamine 1B receptor cloned receptors in CHO cells,B,,,,,
1378,,,BAO_0000219,,449.0,17296,Binding affinity against human 5-hydroxytryptamine 1B receptor cloned receptors in CHO cells using [3H]5-CT as radioligand,B,,,,,
1379,,,BAO_0000219,,449.0,15779,Binding affinity towards 5-hydroxytryptamine 1B (human cloned receptor) in CHO cells using [3H]5-HT as radioligand,B,,,,,
1380,,,BAO_0000219,,449.0,15779,Binding affinity towards 5-hydroxytryptamine 1B receptor (human cloned receptor) in CHO cells using [3H]5-HT as radioligand,B,,,,,
1381,,,BAO_0000219,,449.0,15779,Binding affinity towards 5-hydroxytryptamine 1B receptor (human cloned receptor) in CHO cells using [3H]5-HT as radioligand;ND means no data.,B,,,,,
1382,,,BAO_0000219,,449.0,4199,Compound was evaluated for binding affinity against human cloned 5-hydroxytryptamine 1B receptor in CHO cells using [3H]5-HT as the radioligand,B,,,,,
1383,,,BAO_0000357,,,14875,Binding affinity for human 5-hydroxytryptamine 1B receptor,B,,Homo sapiens,9606.0,,
1384,,,BAO_0000219,,449.0,15146,Compound was tested for its binding affinity against human cloned 5-hydroxytryptamine 1B receptor in CHO cells using [3H]5-HT,B,,,,,
1385,,,BAO_0000357,,,5213,Compound was tested for its binding affinity for human cloned 5-hydroxytryptamine 1B receptor in CHO using [3H]5-HT as a radioligand,B,,,,,
1386,,,BAO_0000219,,449.0,14818,The compound was tested for its binding affinity towards cloned human 5-hydroxytryptamine 1B receptor in CHO cells using [3H]5-HT,B,,,,,
1387,,,BAO_0000219,,449.0,4829,"The compound was tested for the binding affinity towards human cloned 5-hydroxytryptamine 1B receptor in CHO cells, using [3H]5-HT as radioligand",B,,,,,
1388,,,BAO_0000019,,,14454,Adenyl cyclase activity was expressed as percent forskolin response against 5-hydroxytryptamine 1B receptor at concentration 1 uM,F,,,,,
1389,,,BAO_0000019,,,14454,Adenyl cyclase activity was expressed as percent forskolin response against 5-hydroxytryptamine 1B receptor at concentration 10 uM,F,,,,,
1390,,,BAO_0000219,,449.0,14875,"Effect of compound on [35S]GTP-gamma-S, radioligand binding CHO cells expressing human 5-hydroxytryptamine 1B receptor",F,,,,,
1391,,,BAO_0000219,,449.0,14875,"Effect of compound on [35S]GTP-gamma-S, radioligand binding in CHO cells expressing human 5-hydroxytryptamine 1B receptor",F,,,,,
1392,,,BAO_0000019,,,15250,"Compound was tested for maximum stimulation of [35S]GTP-gamma-S, binding expressed relative to the maximal effect produced by 5-HT.",F,,,,,
1393,,,BAO_0000219,,449.0,15250,Compound was tested for the displacement of [3H]5-HT binding to cloned 5-hydroxytryptamine 1D receptor stably expressed in CHO cells.,B,,,,,
1394,,,BAO_0000357,,,15086,The compound was tested for binding affinity against 5-hydroxytryptamine 1B receptor,B,,,,,
1395,,,BAO_0000019,,,3025,5-hydroxytryptamine 1B receptor agonist potency determined in rabbit saphenous vein contraction model,F,,Oryctolagus cuniculus,9986.0,,
1396,,,BAO_0000019,,,14998,The vascular 5-hydroxytryptamine 1B receptor affinity was assessed using ring preparations of rabbit saphenous vein (RbSV).,B,,Oryctolagus cuniculus,9986.0,,
1397,,,BAO_0000019,,,14998,"Binding affinity against vascular 5-hydroxytryptamine 1B receptor, measured using ring preparations of rabbit saphenous vein (RbSV)",B,,Oryctolagus cuniculus,9986.0,,
1398,,,BAO_0000019,,,14998,The vascular 5-hydroxytryptamine 1B receptor affinity was assessed using ring preparations of rabbit saphenous vein(RbSV).,B,,Oryctolagus cuniculus,9986.0,,
1399,,,BAO_0000357,,,13969,Binding affinity towards 5-hydroxytryptamine 1B receptor was measured using [3H]5-HT as radioligand,B,,,,,
1400,,,BAO_0000357,,,13392,Binding affinity for 5-hydroxytryptamine 1B receptor,B,,,,,
1401,,,BAO_0000019,2435.0,,3651,Inhibition of [3H]5-HT binding to 5-hydroxytryptamine 1B receptor in rat striatum; Less active,B,,Rattus norvegicus,10116.0,,Striatum
1402,,,BAO_0000357,,,10025,Concentration necessary to achieve half maximal inhibition of [125I]- Iodocyanopindolol binding to 5-hydroxytryptamine 1B receptor at 1 uM,B,,,,,
1403,,,BAO_0000357,,,13863,In vitro binding affinity of compound towards 5-hydroxytryptamine 1A receptor was determined using [3H]-8-OH-DPAT as radioligand; range=48-77,B,,,,,
1404,,,BAO_0000357,,,13863,In vitro binding affinity of compound towards 5-hydroxytryptamine 1A receptor was determined using [3H]8-OH-DPAT as radioligand; range=63-95,B,,,,,
1405,,,BAO_0000357,,,13863,In vitro binding affinity of compound towards 5-hydroxytryptamine 1A receptor was determined using [3H]8-OH-DPAT as radioligand; range=710-980,B,,,,,
1406,,,BAO_0000357,,,13863,In vitro binding affinity of compound towards 5-hydroxytryptamine 1A receptor was determined using [3H]8-OH-DPAT as radioligand; range=78-140,B,,,,,
1407,,,BAO_0000357,,,13863,In vitro binding affinity of compound towards 5-hydroxytryptamine 1A receptor was determined using [3H]8-OH-DPAT as radioligand; range=85-130,B,,,,,
1408,,,BAO_0000357,,,13863,In vitro binding affinity of compound towards 5-hydroxytryptamine 1A receptor was determined using [3H]8-OH-DPAT as radioligand; range=89-280,B,,,,,
1409,,,BAO_0000249,10000000.0,,4622,In vitro binding affinity towards 5-hydroxytryptamine 1A receptor using [3H]8-OH-DPAT as radioligand in rat hippocampus membrane.,B,,,,,Hippocampus
1410,,,BAO_0000019,,,14911,Binding affinity at 5-hydroxytryptamine 1A (5-HT1A) receptor in rat cerebral cortex using [3H]8-OH-DPAT as radioligand,B,,,,,
1411,,,BAO_0000221,10000000.0,,12678,In vitro binding affinity to 5-hydroxytryptamine 1A receptor using [125I](R)-(+)-trans-8-OH-PIPAT as radioligand in rat hippocampal homogenate,B,,,,,Hippocampus
1412,,,BAO_0000221,10000000.0,,12678,In vitro binding affinity to 5-hydroxytryptamine 1A receptor in rat hippocampal homogenate by [125I](R)-(+)-trans-8-OH-PIPAT displacement.,B,,,,,Hippocampus
1413,,,BAO_0000221,10000000.0,,14235,In vitro binding affinity to rat hippocampal 5-hydroxytryptamine 1A receptor was determined using [3H]8-OH-DPAT as radioligand,B,,,,,Hippocampus
1414,,,BAO_0000221,10000000.0,,14949,In vitro binding affinity towards 5-hydroxytryptamine 1A r receptor by the displacement of [3H]8-OH-DPAT radioligand in rat hippocampal homogenates,B,,,,,Hippocampus
1415,,,BAO_0000221,10000000.0,,14949,In vitro binding affinity towards 5-hydroxytryptamine 1A receptor by the displacement of [3H]8-OH-DPAT radioligand in rat hippocampal homogenates,B,,,,,Hippocampus
1416,,,BAO_0000221,10000000.0,,14949,In vitro binding affinity towards 5-hydroxytryptamine 1A receptor by the displacement of [3H]8-OH-DPAT radioligand in rat hippocampal homogenates; ND=not determined,B,,,,,Hippocampus
1417,,,BAO_0000221,10000000.0,,14949,In vitro binding affinity towards 5-hydroxytryptamine 1A receptor by the displacement of [3H]8-OH-DPAT radioligand in rat hippocampal homogenates; Not determined,B,,,,,Hippocampus
1418,,,BAO_0000221,10000000.0,,14949,In vitro binding affinity towards 5-hydroxytryptamine 1A receptor by the displacement of [3H]8-OH-DPAT radioligand in rat hippocampal homogenates; not determined,B,,,,,Hippocampus
1419,,,BAO_0000249,,,16118,In vitro binding affinity towards 5-hydroxytryptamine 1A receptor in rat cerebral cortex membranes,B,,,,,
1420,,,BAO_0000249,,,3268,In vitro binding affinity towards 5-hydroxytryptamine 1A receptor was determined using [3H]8-OH-DPAT as radioligand in rat cerebral cortex membranes,B,,,,,
1421,,,BAO_0000249,,,3268,In vitro binding affinity towards 5-hydroxytryptamine 1A receptor was determined using [3H]8-OH-DPAT as radioligand in rat cerebral cortex membranes; Inactive,B,,,,,
1422,,,BAO_0000357,,,16117,In vitro binding affinity towards 5-hydroxytryptamine 1A receptor was determined using radioligand [3H]-8-OH-DPAT,B,,,,,
1423,,,BAO_0000221,10000000.0,,9783,In vitro inhibition of [3H]spiperone binding to 5-hydroxytryptamine 1A receptor from rat hippocampal tissue.,B,,,,,Hippocampus
1424,,,BAO_0000221,10000000.0,,9783,In vitro inhibition of [3H]spiperone binding to 5-hydroxytryptamine 1A receptor from rat hippocampal tissue; NT=Not tested,B,,,,,Hippocampus
1425,,,BAO_0000221,10000000.0,,14356,Displacement of [3H]8-OH-DPAT from rat hippocampal 5-hydroxytryptamine 1A receptor,B,,Rattus norvegicus,10116.0,,Hippocampus
1426,,,BAO_0000019,,,15740,Inhibition constant of 50 uM forskolin-stimulated cAMP accumulation against 5-hydroxytryptamine 1A receptor,F,,,,,
1427,,,BAO_0000221,10000000.0,,12306,Inhibition of binding of [125I]8-OH-PIPAT ligand to 5-hydroxytryptamine 1A receptor of rat hippocampal homogenates,B,,,,,Hippocampus
1428,,,BAO_0000221,10000000.0,,13348,Displacement of [3H]5-HT from rat hippocampal 5-hydroxytryptamine 1A receptor with 10e-6 M ketanserin,B,,Rattus norvegicus,10116.0,,Hippocampus
1429,,,BAO_0000249,,,10394,Inhibitory activity against 5-hydroxytryptamine 1A receptor in rat cortical membranes using [3H]8-OH-DPAT as a radioligand,B,,,,,
1430,,,BAO_0000221,10000000.0,,15260,Inhibitory activity against 5-hydroxytryptamine 1A receptor of rat hippocampal tissue,B,,,,,Hippocampus
1431,,,BAO_0000221,10000000.0,,10046,Inhibitory activity against 5-hydroxytryptamine 1A receptor of rat hippocampal tissue using [3H]OH-DPAT as radioligand.,B,,,,,Hippocampus
1432,,,BAO_0000221,10000000.0,,15260,Antagonist activity against rat hippocampal tissue 5-hydroxytryptamine 1A receptor,F,,,,,Hippocampus
1433,,,BAO_0000357,,,12851,Inhibitory affinity constant against 5-hydroxytryptamine 1A receptor,B,,,,,
1434,,,BAO_0000221,10000000.0,,2148,Displacement of [3H]8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor of rat brain hippocampus,B,,Rattus norvegicus,10116.0,,Hippocampus
1435,,,BAO_0000357,,,13134,Affinity against the 5-hydroxytryptamine receptor 1A using [3H]WB-4101.,B,,,,,
1436,,,BAO_0000019,,,12462,Tested for affinity against 5-hydroxytryptamine 1A receptor using [3H]8-OH-DPAT in homogenized rat brain,B,,,,,
1437,,,BAO_0000019,,,12462,Tested for affinity against 5-hydroxytryptamine 1A receptor using [3H]8-OH-DPAT in homogenized rat brain tissue,B,,,,,
1438,,,BAO_0000219,,449.0,12462,Tested for affinity against 5-hydroxytryptamine 1A receptors using [3H]8-OH-DPAT in homogenized rat cloned CHO cells,B,,,,,
1439,,,BAO_0000357,,,11933,Tested for binding affinity against 5-hydroxytryptamine 1A receptor from rat frontal cortical regions using [3H]8-OH-DPAT as radioligand,B,,,,,
1440,,,BAO_0000357,,,11933,Tested for binding affinity against 5-hydroxytryptamine 1A receptor from rat frontal cortical regions using [3H]8-OH-DPAT as radioligand; ND is Not Determined,B,,,,,
1441,,,BAO_0000221,10000000.0,,403,Displacement of [3H]8-OH-DPAT from rat hippocampal 5-hydroxytryptamine 1A receptor,B,,Rattus norvegicus,10116.0,,Hippocampus
1442,,,BAO_0000221,10000000.0,,15538,Tested for binding affinity by measuring displacement of [3H]8-OH-DPAT from rat serotonin 5-hydroxytryptamine 1A receptor in rat hippocampus,B,,,,,Hippocampus
1443,,,BAO_0000221,10000000.0,,15538,Tested for binding affinity by measuring displacement of [3H]8-OH-DPAT from rat serotonin 5-hydroxytryptamine 1A receptor in rat hippocampus; NA means Not Active,B,,,,,Hippocampus
1444,,,BAO_0000221,10000000.0,,15538,Tested for binding affinity by measuring displacement of [3H]-8-OH-DPAT from rat serotonin 5-hydroxytryptamine 1A receptor in rat hippocampus; ND means Not Determined,B,,,,,Hippocampus
1445,,,BAO_0000019,,,12464,Binding affinity to displace [3H]2-(di-N-propylamino)-8-hydroxy-tetralin from 5-hydroxytryptamine 1A (5-HT1A) receptor in rat frontal cortex homogenates,B,,,,,
1446,,,BAO_0000357,,,1455,Binding affinity to 5-hydroxytryptamine 1A receptor using [3H]8-OH-DPAT radioligand assay.,B,,,,,
1447,,,BAO_0000357,,,12652,Tested for the binding affinity against the site labelled by the 5-hydroxytryptamine 1A receptor agonist [3H]- 8-OH-DPAT,B,,,,,
1448,,,BAO_0000221,10000000.0,,12639,Tested for the inhibitory activity against 5-hydroxytryptamine 1A receptor in rat hippocampal,B,,,,,Hippocampus
1449,,,BAO_0000249,,,13949,Tested in vitro for binding affinity by measuring its ability to inhibit [3H]8-OH-DPAT binding at 5-hydroxytryptamine 1A receptor in rat cerebral cortex membranes.,B,,,,,
1450,,,BAO_0000357,,,12463,Tested in vitro for receptor binding affinity against 5-hydroxytryptamine 1A receptor using radioligand [3H]8-OH-DPAT,B,,Rattus norvegicus,10116.0,,
1451,,,BAO_0000221,10000000.0,,14829,The binding affinity by measuring its ability to displace [3H]8-OH-DPAT radioligand in 5-hydroxytryptamine 1A receptor on rat hippocampal preparation,B,,,,,Hippocampus
1452,,,BAO_0000221,10000000.0,,14829,The binding affinity by measuring its ability to displace [3H]8-OH-DPAT radioligand in 5-hydroxytryptamine 1A receptor on rat hippocampal preparation; ND=not determined,B,,,,,Hippocampus
1453,,,BAO_0000357,,,12092,The binding affinity was measured on 5-hydroxytryptamine 1A receptor using [3H]- 8-OH-DPAT as radioligand.,B,,,,,
1454,,,BAO_0000249,,,403,The compound was evaluated for binding affinity against 5-hydroxytryptamine 1A receptor in rat hippocampal membranes using [3H]8-OH-DPAT as radioligand in the presence of 1 mM of MnCl2,B,,,,,
1455,,,BAO_0000249,,,403,The compound was evaluated for binding affinity against 5-hydroxytryptamine 1A receptor in rat hippocampal membranes using [3H]8-OH-DPAT as radioligand in the presence of 3*10e-5 M GTP gamma S,B,,,,,
1456,,,BAO_0000357,,,3967,Binding affinity at 5-hydroxytryptamine 1A receptor from striata of wistar rats by [3H]- 8-OH -DPAT displacement.,B,,,,,
1457,,,BAO_0000019,,,12771,Binding affinity towards 5-hydroxytryptamine 1A receptor of rat brain synaptosomal preparations,B,,Rattus norvegicus,10116.0,,
1458,,,BAO_0000019,,,15086,The compound was tested binding affinity against 5-hydroxytryptamine 1A receptor from rat brain using [3H]8-OH-DPAT as radioligand at 10e-6 M.,B,,,,,
1459,,,BAO_0000221,10000000.0,,14909,The compound was tested for binding affinity on [3H]8-OH-DPAT as specific ligand on 5-hydroxytryptamine 1A receptor in rat hippocampus,B,,,,,Hippocampus
1460,,,BAO_0000221,10000000.0,,14949,The compound was tested for binding affinity on [3H]8-OH-DPAT as specific ligand on 5-hydroxytryptamine 1A receptor in rat hippocampus,B,,,,,Hippocampus
1461,,,BAO_0000221,10000000.0,,2309,Binding affinity against 5-hydroxytryptamine 1A receptor of rat hippocampus using [3H]8-OH-DPAT,B,,Rattus norvegicus,10116.0,,Hippocampus
1462,,,BAO_0000357,,,4170,Binding affinity towards 5-hydroxytryptamine 1A receptor,B,,,,,
1463,,,BAO_0000221,10000000.0,,11642,Binding affinity towards 5-hydroxytryptamine 1A receptor by displacing [3H]WB-4101 from rat hippocampus,B,,Rattus norvegicus,10116.0,,Hippocampus
1464,,,BAO_0000221,10000000.0,,11642,The compound was tested for its binding affinity towards 5-hydroxytryptamine 1A receptor by displacing [3H]WB-4101 radioligand in rat hippocampus,B,,,,,Hippocampus
1465,,,BAO_0000221,10000000.0,,12953,The compound was tested for their binding affinity towards 5-hydroxytryptamine 1A receptor from rat hippocampus using [3H]-8-OH-DPAT as radioligand,B,,,,,Hippocampus
1466,,,BAO_0000221,10000000.0,,12953,The compound was tested for their binding affinity towards 5-hydroxytryptamine 1A receptor from rat hippocampus using [3H]8-OH-DPAT as radioligand.,B,,,,,Hippocampus
1467,,,BAO_0000221,10000000.0,,12953,Binding affinity for 5-hydroxytryptamine 1A receptor from rat hippocampus using [3H]8-OH-DPAT as radioligand,B,,,,,Hippocampus
1468,,,BAO_0000219,,449.0,12903,"In vitro binding affinity against cloned mammalian 5-hydroxytryptamine 1A receptor expressed in CHO cells, by using [3H]8-OH-DPAT as radioligand.",B,,,,,
1469,,,BAO_0000357,,,12536,Displacement of the radioligand [3H]8-OH-DPAT from 5-hydroxytryptamine 1A receptor,B,,,,,
1470,,,BAO_0000357,,,10058,The inhibition activity of 5-HT1A at 1 uM,B,,,,,
