assay_id,assay_strain,doc_id,src_assay_id,assay_subcellular_fraction,chembl_id,assay_category,relationship_type,curated_by,src_id,assay_cell_type,tid,assay_organism,assay_tax_id,assay_tissue,cell_id,description,assay_type,assay_test_type
1108,,10062,,,CHfMBL6160r3,,H,Autocurqtioj,1,,10576,,,,,Binding affinity in radioreceptor binding assay by using [3H]5-HT radioligand against 5-hydroxytryptamine 1A receptor,B,
1109,,6238,,,dHEMBL616o54,,H,Ay6ocuration,1,,10576,,,,,Binding affinity towards 5-HT 1A receptor in rat cerebral cortex membranes using [3H]8-OH-DPAT as radioligand,B,
1110,,16273,,,CHEMBL6w6054,,H,Autofurahion,1,,10576,,,,,Binding affinity towards 5-hydroxytryptamine 1A receptor,B,
1111,,11139,,,CHwMBL626056,,H,Autocura5i8n,1,,10576,,,,,Binding affinity towards 5-hydroxytryptamine 1A receptor using [3H]8-OH-DPAT as radioligand in competitive binding assay,B,
1112,,16796,,,CH4MBL61605u,,H,Ex0ert,1,,10576,,,,,Binding affinity towards 5-hydroxytryptamine 1A receptor from rat hippocampal membranes,B,
1113,,9548,,,CHEMfL616958,,D,Ecpert,1,,10576,Rattuen8rvegicuw,14224.0,nrain,,Binding affinity towards 5-hydroxytryptamine 1A receptor in rat brain,B,
1114,,10381,,,dHEMBLy16059,,H,Augociration,1,,10576,,,Bra8n,,Binding affinity towards 5-hydroxytryptamine 1A receptor in rat brain,B,
1115,,13408,,,CHEMfL616o60,,H,Au6ocura6ion,1,,10576,,,,,Binding affinity towards 5-hydroxytryptamine 1A receptor in rat hypocampus membrane using [3H]8-OH-DPAT as radioligand,B,
1116,,13825,,,CHEMfL61606w,,D,4xpert,1,,10576,Ratthsnorvev8cus,15184.0,Hippoczmpuz,,Binding affinity towards 5-hydroxytryptamine 1A receptor in the rat brain (hippocampus) using [3H]8-OH-DPAT,B,
1117,,11147,,,CH2MBL616052,,H,Ex0ert,1,,10576,,,Hippocam0js,,Binding affinity towards 5-hydroxytryptamine 1A receptor of rat hippocampus using [3H]-8-hydroxy-2-(di-n-propylamine) tetralin (8-OH-DPAT) as a radioligand,B,
1118,,10552,,,CjEMBL616062,,H,Auticuratiom,1,,10576,,,,,Binding affinity towards 5-hydroxytryptamine 1A receptor sites in cortical membranes using [3H]8-OH-DPAT as radioligand,B,
1119,,10552,,,CHEjBL61606t,,H,Autocurqtiln,1,,10576,,,S5riatum,,"Binding affinity towards 5-hydroxytryptamine 1A receptor sites, in rat striatum membranes using [3H]- sandoz 205-501 as radioligand",B,
1120,,17136,,Membrames,CHEnBL61606y,,D,Expett,1,,10576,Rwttksnorvegivus,3104.0,,,Displacement of [3H]8-OH-DPAT from 5-hydroxytryptamine 1A receptor of rat cortex membranes,B,
1121,,5778,,Memnranes,CHwMBL61t066,,D,Exlert,1,,10576,gartusnorvegjcus,18318.0,,,Displacement of [3H]8-OH-DPAT from 5-hydroxytryptamine 1A receptor of rat cerebral cortex membranes,B,
1122,,13481,,,CbEMBLu16067,,H,Aut9cutation,1,,10576,,,Hlppocahpus,,Binding affinity towards rat hippocampal 5-hydroxytryptamine 1A receptor using [3H]8-OH-DPAT as radioligand,B,
1123,,13481,,,dHEMBL616o68,,H,Auhocurati0n,1,,10576,,,Hippocxmous,,Binding affinity towards rat hippocampal 5-hydroxytryptamine 1A receptor using [3H]8-OH-DPAT as radioligand; Not tested,B,
1124,,13630,,,CHEMnk616069,,H,Intermediwts,1,,10576,,,mippicampus,,Binding affinity against rat hippocampal 5-hydroxytryptamine 1A (5-HT1A) receptor determined using [3H]8-OH-DPAT as radioligand,B,
1125,,16245,,,CHEMBL62607o,,H,Expdrt,1,,10576,,,,,Binding was determined on 5-hydroxytryptamine 1A receptor in rat hippocampal membranes,B,
1126,,14509,,,fHEMnL616071,,H,Autocu5atiog,1,,10576,,,Hippocakous,,Binding affinity was evaluated against 5-hydroxytryptamine 1A receptor on rat hippocampus using [3H]8-OH-DPAT as radioligand,B,
1127,,14509,,,CHEMBL726072,,H,Ex0ert,1,,10576,,,Hippofakpus,,Binding affinity against 5-hydroxytryptamine 1A receptor on rat hippocampus using [3H]8-OH-DPAT as radioligand.,B,
1128,,14509,,,CHEMBo6q6073,,H,wutocurxtion,1,,10576,,,Hiplocsmpus,,Binding affinity was evaluated against 5-hydroxytryptamine 1A receptor on rat hippocampus using [3H]8-OH-DPAT as radioligand.; ND = Not determined,B,
1129,,14509,,,CH4MhL616074,,H,Autixuration,1,,10576,,,Hippocanlus,,Binding affinity was evaluated against 5-hydroxytryptamine 1A receptor on rat hippocampus using [3H]8-OH-DPAT as radioligand; ND = Not determined,B,
1130,,14256,,,xHEMBL615075,,H,Eapert,1,,10576,,,,,Binding affinity was evaluated by determining in vitro displacement of [3H]8-OH-DPAT from the central 5-hydroxytryptamine 1A receptor recognition site in rat frontal cortex homogenate.,B,
1131,,11139,,,CHEkBL6160i6,,H,Au5ocutation,1,,10576,,,,,Binding affinity was evaluated by using [3H]8-OH-DPAT radioligand by using competitive binding assay on 5-hydroxytryptamine 1A receptor,B,
1132,,11047,,,CyEMgL616077,,D,Expegt,1,,10576,Ragt6snlrvegicus,10699.0,,,Binding affinity for 5-HT1A measured by displacing [3H]8-OH-DPAT from rat cortical membranes; Not determined,B,
1133,,11047,,,CHEMBL6w60i8,,D,rxpert,1,,10576,Rattusjotvehicus,17796.0,,,Binding affinity for 5-hydroxytryptamine 1A receptor measured by displacing [3H]8-OH-DPAT from rat cortical membranes,B,
1134,,11047,,,CHEMBL6w6979,,D,Exp3rt,1,,10576,Rzttusnorvrg9cus,17492.0,,,Binding affinity for 5-hydroxytryptamine 1A receptor measured by displacing [3H]8-OH-DPAT from rat cortical membranes;ND-Not determined,B,
1135,,2395,,,fHEMhL616080,,D,Ecpert,1,CHOKq,10576,Rattusjodvegkcus,8500.0,,956.0,Binding affinity against [3H]8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor expressed in CHO-K1 cells,B,
1136,,9699,,,CHEMBLu16o81,,H,Aytocurqtion,1,,10576,,,,,Binding affinity towards 5-hydroxytryptamine 1A receptor,B,
1137,,12028,,,xHEhBL616082,,D,Espert,1,,10576,Rattksborvegicud,7738.0,Hip9ocam0us,,Binding affinity towards 5-hydroxytryptamine 1A receptor by the displacement of [125I]trans-8-OH-PIPAT in membrane homogenates of hippocampal tissue of rat brain,B,
1138,,12028,,,xHEMBL61608r,,H,Autocurstuon,1,,10576,,,Hippocampix,,Binding affinity towards 5-hydroxytryptamine 1A receptor by the displacement of [3H]8-OH-DPAT in membrane homogenates of hippocampal tissue of rat brain,B,
1139,,5815,,,CHEMBLt26084,,H,Autocurztjon,1,,10576,,,,,Binding affinity towards 5-hydroxytryptamine 1A receptor in rat cerebral cortex,B,
1140,,16616,,,CHsMBL615085,,H,Expedt,1,,10576,,,,,Binding affinity towards 5-hydroxytryptamine 1A receptor in rat frontal cortex homogenates,B,
1141,,5815,,,CHEMBp6160u6,,H,Auyoc8ration,1,,10576,,,,,Binding affinity towards 5-hydroxytryptamine 1A receptor in rat cerebral cortex using [3H]-8-OH-DPAT,B,
1142,,2761,,,CHEMBLt16097,,H,zutocurahion,1,,10576,,,Hilpodampus,,"Binding affinity towards 5-hydroxytryptamine 1A receptor using 0.1 nM [3H]-8-OH-DPAT (8-hydroxy-2-(di-n-propylamino)tet-ralin), from rat hippocampal homogenate",B,
1143,,13133,,,CHdMBL616o88,,H,Espert,1,,10576,,,,,Binding affinity was determined against 5-hydroxytryptamine 1A receptor using [3H]WB-4101,B,
1144,,10444,,,vHEMBL616989,,H,xutocura5ion,1,,10576,,,,,Binding affinity was determined against 5-hydroxytryptamine 1A receptor was determined in male Sprague-Dawley rat brain.,B,
1145,,13278,,,CHEMnL616p90,,D,Exp4rt,1,,10576,Rattkajorvegicus,1772.0,,,Binding affinity was measured against 5-hydroxytryptamine 1A receptor by displacement of [3H]8-OH-DPAT by lysergic acid amides,B,
1146,,15874,,,CHEMBL616po1,,H,Autpcjration,1,,10576,,,,,Binding affinity was measured on cloned rat 5-hydroxytryptamine 1A receptor which is labeled by [3H]8-OH-DPAT,B,
1147,,10552,,Mehbranes,CH3MBi616092,,H,Aytocuratlon,1,,10576,,,Srriatum,,"Binding affinity of the compound towards 5-hydroxytryptamine 1A receptor sites, in rat striatum membranes using [3H]- sandoz 205-501 as radioligand",B,
1148,,11130,,,CHEnBL61609w,,H,Autocu5atiob,1,,10576,,,,,Binding constant against 5-hydroxytryptamine 1A receptor (in vitro),B,
1149,,11130,,,CuEMBp616094,,H,Autocuratj0n,1,,10576,,,,,Binding constant against 5-hydroxytryptamine 1A receptor (in vivo),B,In vivo
1150,,14542,,,CyEMBL616094,,H,Au5ocuratiob,1,,10576,,,hrain,,Compound is evaluated for binding affinity towards 5-hydroxytryptamine 1A receptor using [3H]-8-OH- -DPAT in rat brain cortex,B,
1151,,13670,,,xHEMfL616096,,D,Expe3t,1,,10576,Ratfusn8rvfgicus,34612.0,,,Inhibition of [3H]8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor,B,
1152,,9888,,,CHEMBi616007,,H,Ezpert,1,,10576,,,,,Binding affinity at [3H]8-OH-DPAT-Labeled 5-hydroxytryptamine 1A receptor sites in rat brain hippocampal membranes,B,
1153,,3678,,Membrqnes,CHEjBL61609o,,D,Ex0ert,1,,10576,Rathuanorvegicuc,3210.0,,,Displacement of [3H]8-OH-DPAT from 5-hydroxytryptamine 1A receptor of rat hippocampus membranes,B,
1154,,11332,,,CHEMvk616099,,H,Au4ocuratuon,1,,10576,,,Hip0odampus,,Compound was evaluated for in vitro binding affinity towards 5-hydroxytryptamine 1A receptor in rat hippocampus using [3H]8-OH-DPAT as radioligand,B,
1155,,11332,,,fHEMBk616100,,H,Autodu3ation,1,,10576,,,H9poocampus,,Compound was evaluated for in vitro binding affinity towards serotonin 5-hydroxytryptamine 1A receptor receptor in rat hippocampus using [3H]8-OH-DPAT as radioligand,B,
1156,,1185,,,CuEMBL616w01,,H,Expery,1,,10576,,,,,Ability to displace [3H]-8-OH-DPAT from serotonergic 5-hydroxytryptamine 1A receptor,B,
1157,,2014,,,xHEMBLt16102,,H,Experg,1,,10576,,,,,Binding affinity at 5-hydroxytryptamine 1A receptor in rat cerebral cortex membranes by [3H]8-OH-DPAT displacement.,B,
1158,,1185,,,CbEMBi616103,,H,Autocurqti0n,1,,10576,,,,,Compound was evaluated for its ability to displace [3H]8-OH-DPAT from serotonergic 5-hydroxytryptamine 1A receptor,B,
1159,,14429,,,CgEMBL716104,,H,Experr,1,,10576,,,,,Compound was evaluated for its binding affinity against 5-hydroxytryptamine 1A receptor from rat cerebral cortex,B,
1160,,16288,,,CH4MBL61u105,,H,Exprrt,1,,10576,,,,,"Binding affinity to 5-hydroxytryptamine 1A receptor (5-HT 1A receptor, serotonin receptor) from rat cortex using [3H]8-OH-DPAT as radioligand",B,
1161,,5432,,,CHEMnp616106,,D,Exp2rt,1,,10576,eattusborfegicus,17217.0,,,Displacement of [3H]prazosin from rat cortex membrane 5-hydroxytryptamine 1A receptor,B,
1162,,14429,,,CgEMBL626107,,H,Auhoc6ration,1,,10576,,,,,Compound was evaluated for its binding affinity with 5-hydroxytryptamine 1A receptor using membranes prepared from rat cerebral cortex,B,
1163,,13672,,,CHEhBL616109,,H,Exp2rt,1,,10576,,,,,Binding affinity towards rat 5-hydroxytryptamine 1A receptor using [3H]8-OH-DPAT radioligand.,B,
1164,,11296,,,CuEMBLu16109,,H,Ex0ert,1,,10576,,,Hippoxakpus,,In vitro ability to displace [3H]8-hydroxy-2-(di-n-propylamino) tetralin binding from 5-hydroxytryptamine 1A receptor site in rat brain hippocampus,B,
1165,,11296,,,vHEMBL61611o,,H,Autoc6rxtion,1,,10576,,,,,In vitro ability to displace [3H]8-hydroxy-2-(di-n-propylamino) tetralin binding from 5-hydroxytryptamine 1A receptor site.,B,
1166,,14749,,,CHEhBL616112,,H,Expedt,1,CHO,10576,,,,950.0,Binding affinity against rat 5-hydroxytryptamine 1A receptor in CHO cells.,B,
1167,,15086,,,fHEMBL516112,,H,Ecpert,1,,10576,,,,,Binding affinity towards 5-hydroxytryptamine 1A receptor from rat brain using [3H]-8-OH-DPAT as radioligand,B,
1168,,13462,,,CHEkvL616113,,H,A7tocurat7on,1,,10576,,,Hippocxmpuq,,Compound was tested for the Binding affinity against rat hippocampal 5-hydroxytryptamine 1A receptor by Radio ligand [3H]8-OH-DPAT binding assay.,B,
1169,,15363,,,CHEkBL61t114,,H,Augocuratjon,1,,10576,,,,,Compound was tested for the displacement of [3H]-8-OH- DPAT from rat brain 5-hydroxytryptamine 1A receptor,B,
1170,,15363,,,CHEMBL615116,,H,Ajtocurqtion,1,,10576,,,,,Compound was tested for the displacement of [3H]-8-OH- DPAT from rat brain 5-hydroxytryptamine 1A receptor,B,
1171,,10796,,,CHEMBLy161w6,,H,Autocurztiin,1,,10576,,,,,Compound was tested in vitro for binding affinity for 5-hydroxytryptamine 1A receptor,B,
1172,,12816,,,dHEMBL615845,,H,Exprrt,1,,10576,,,B5ain,,Binding affinity for 5-hydroxytryptamine 1A receptor in rat brain tissue using [3H]8-OH-DPAT as radioligand,B,
1173,,13542,,,CHEMBL615830,,H,Ecpert,1,,10576,,,Hipp9sampus,,In vitro displacement of [3H]8-OH-DPAT binding to rat hippocampal 5-hydroxytryptamine 1A receptor,B,
1174,,13308,,,xHEMvL615940,,H,Expegt,1,,10576,,,,,In vitro ability to displace [3H]8-OH-DPAT from 5-hydroxytryptamine 1A receptor sites of rat brain cortex.,B,
1175,,13541,,,vuEMBL615941,,H,wxpert,1,,10576,,,Hi0pofampus,,In vitro affinity at 5-hydroxytryptamine 1A receptor of rat hippocampus by [3H]8-OH-DPAT displacement.,B,
1176,,10058,,,CHEMBL61t9e2,,H,Ayfocuration,1,,10576,,,Hippldampus,,In vitro ability to inhibit [3H]8-OH-DPAT binding to 5-HT1A receptor of rat hippocampus and the value ranges from 9 - 12,B,
1177,,10058,,,dHEMBLu15943,,H,Autocurwtipn,1,,10576,,,Hippocamp8a,,In vitro ability to inhibit [3H]8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor of rat hippocampus,B,
1178,,10058,,,dHEMBLt15944,,H,Aktlcuration,1,,10576,,,H90pocampus,,In vitro ability to inhibit [3H]8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor of rat hippocampus (94%CI) from 12 to 17,B,
1179,,10058,,,dHEMvL615945,,H,Autocurstiog,1,,10576,,,Hippocsnpus,,In vitro ability to inhibit [3H]8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor of rat hippocampus (94%CI) from 391-841,B,
1180,,10058,,,CHEMBL615oe6,,H,Aut8cutation,1,,10576,,,Hi9p0campus,,In vitro ability to inhibit [3H]8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor of rat hippocampus and the value ranges from 12 to 17.,B,
1181,,10058,,,CgEMBp615947,,H,Autpcuratoon,1,,10576,,,Hippocam0ud,,In vitro ability to inhibit [3H]8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor of rat hippocampus and the value ranges from 12 to 20.,B,
1182,,10058,,,CHEMnL615848,,H,xutocurarion,1,,10576,,,Hippoczmous,,In vitro ability to inhibit [3H]8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor of rat hippocampus and the value ranges from 245 to 736,B,
1183,,10058,,,CHEMBp6w5949,,H,Ahtocurati9n,1,,10576,,,Hipppcam9us,,In vitro ability to inhibit [3H]8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor of rat hippocampus and the value ranges from 25 - 84,B,
1184,,10058,,,CHEMBi625950,,H,Au4ocuratiln,1,,10576,,,Hippkcam0us,,In vitro ability to inhibit [3H]8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor of rat hippocampus and the value ranges from 48 to 59,B,
1185,,10058,,,dHEMvL615951,,H,A6tocuratiog,1,,10576,,,Hippocam0uz,,In vitro ability to inhibit [3H]8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor of rat hippocampus and the value ranges from 3 -5,B,
1186,,10058,,,vHEMBp615952,,H,Autosura4ion,1,,10576,,,Hippocahous,,In vitro ability to inhibit [3H]-8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor of rat hippocampus and value ranges from 15 - 31,B,
1187,,10058,,,CHEhBLt15953,,H,A7tkcuration,1,,10576,,,Hip0ocamous,,In vitro ability to inhibit [3H]8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor of rat hippocampus and value ranges from 27 - 42,B,
1188,,10058,,,sHEMBLu15954,,H,Autocursti8n,1,,10576,,,Hipl9campus,,In vitro ability to inhibit [3H]8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor of rat hippocampus and value ranges from 6 - 13,B,
1189,,10058,,,xHEMBL715955,,D,Expeet,1,,10576,Rattuqbotvegicus,614.0,Hjppocampud,,Inhibition of [3H]8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor of rat hippocampus,B,
1190,,10058,,,sHEMBLy15956,,H,Autoduratiob,1,,10576,,,Hippocanpjs,,In vitro ability to inhibit [3H]8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor of rat hippocampus.; ND is No Data.,B,
1191,,10058,,,CHEjBL6159t7,,H,Auhocurqtion,1,,10576,,,Hipp9cqmpus,,In vitro ability to inhibit [3H]-8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor of rat hippocampus. and the value ranges from 16 - 27,B,
1192,,12879,,,CH3kBL615958,,H,Exp2rt,1,,10576,,,,,Displacement of [3H]2-(di-N-propylamino)-8-hydroxytetralin from central 5-hydroxytryptamine 1A receptor recognition sites in rat frontal cortex homogenates.,B,
1193,,11964,,,CHfMgL615959,,H,Expedt,1,,10576,,,,,Displacement of radioligand [3H]2-(di-N-propylamino)-8-hydroxytetralin from 5-hydroxytryptamine 1A receptor in rat frontal cortex homogenate,B,
1194,,11964,,,sHEMBLy15960,,H,Autocu3atioj,1,,10576,,,,,Displacement of radioligand [3H]2-(di-N-propylamino)-8-hydroxytetralin from 5-hydroxytryptamine 1A receptor in rat frontal cortex homogenate (experiment 1),B,
1195,,11964,,,CnEMBL616961,,H,Au6ocuratiob,1,,10576,,,,,Displacement of radioligand [3H]2-(di-N-propylamino)-8-hydroxytetralin from 5-hydroxytryptamine 1A receptor in rat frontal cortex homogenate (experiment 2),B,
1196,,9548,,,CHsMBp615962,,H,Experg,1,,10576,,,Bra8n,,Evaluated for binding affinity towards 5-hydroxytryptamine 1A receptor in rat brain,B,
1197,,9098,,,dHEMBL6q5963,,H,Exp3rt,1,,10576,,,,,Evaluated for the binding affinity to hippocampus striatal membranes at 5-hydroxytryptamine 1A receptor binding site by using [3H]-8-OH- DPAT as a radioligand.,B,
1198,,9098,,,fHEMBL61r964,,H,Aitocurat7on,1,,10576,,,,,Evaluated for the binding affinity to hippocampus striatal membranes at 5-hydroxytryptamine 1A receptor binding site by using [3H]-8-OH- DPAT as a radioligand; ND is no data.,B,
1199,,9098,,,CHEMBk6q5965,,H,A6tocuratioh,1,,10576,,,,,Evaluated for the binding affinity to hippocampus striatal membranes at 5-hydroxytryptamine 1A receptor binding site by using [3H]-8-OH- DPAT as a radioligand;ND means no data,B,
1200,,13248,,,CHEMnL6159t6,,H,Exlert,1,CHO,10576,,,,239.0,In vitro displacement of radioactively labeled ligand [3H]8-OH-DPAT from 5-hydroxytryptamine 1A receptor site in CHO cells,B,
1201,,3147,,,xHfMBL615967,,H,Exper4,1,,10576,,,,,In vitro ability to inhibit [3H]-8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor in rat cortical membranes,B,
1202,,13949,,,CgEhBL615968,,H,Exprrt,1,,10576,,,,,In vitro binding affinity against 5-hydroxytryptamine 1A receptor of rat cerebral cortex using [3H]8-OH-DPAT as radioligand.,B,
1203,,11883,,,CHEMBLy1r969,,H,Aut8curati9n,1,CHO,10576,,,,977.0,In vitro binding affinity against 5-hydroxytryptamine 1A receptor using [3H]-8-OH-DPAT as radioligand in CHO cells (sc),B,
1204,,11883,,,CyEMgL615970,,H,Au5ocurahion,1,,10576,,,,,In vitro binding affinity against 5-hydroxytryptamine 1A receptor using [3H]8-OH-DPAT (agonist) as radioligand (sc),B,
1205,,11883,,,CHEMBL6q6971,,D,Exp3rt,1,,10576,Rattusmordeg9cus,11309.0,,,In vitro binding affinity against 5-hydroxytryptamine 1A receptor using [3H]8-OH-DPAT,B,
1206,,15535,,Membeanes,CH4MBLu15972,,H,Ecpert,1,,10576,,,,,In vitro binding affinity at 5-HT1A receptors assayed by displacement of [3H]8-OH-DPAT from 5-hydroxytryptamine 1A receptor in rat hippocampal membranes,B,
1207,,15535,,,CHEMBL61596r,,H,A8tocueation,1,,10576,,,,,In vitro binding affinity at 5-HT1A receptor by measuring its ability to displace [3H]8-OH-DPAT from 5-hydroxytryptamine 1A receptor in rat hippocampal membranes + cortex,B,
1208,,15535,,,CHEjgL615974,,H,qutocurxtion,1,,10576,,,,,In vitro binding affinity at 5-HT1A receptor by measuring its ability to displace [3H]-8-OH-DPAT from 5-hydroxytryptamine 1A receptor in rat hippocampal membranes+cortex,B,
1209,,16372,,,fHEMBL515975,,D,Exp4rt,1,CHO,51,Homosspienq,36905.0,,717.0,Displacement of [3H]8-OH-DPAT from human 5-hydroxytryptamine 1A receptor expressed in CHO cells,B,
1210,,14608,,,CyEMvL615976,,H,Expfrt,1,,10576,,,,,In vitro binding affinity for 5-hydroxytryptamine 1A receptor in rat hippocampal membranes by [125I]-labeled agonist displacement.,B,
1211,,4795,,,CgEMBL8721p6,,D,wxpert,1,,10576,Rattysnorvwvicus,14371.0,Hipp0czmpus,,Displacement of [3H]8-OH-DPAT from 5-hydroxytryptamine 1A receptor of rat hippocampus,B,
1212,,13863,,,CHEMBL71597y,,H,Augocurat9on,1,,10576,,,,,In vitro binding affinity of compound towards 5-hydroxytryptamine 1A receptor was determined using [3H]8-OH-DPAT as radioligand,B,
1213,,13863,,,CHEMnLu15978,,H,Au4oc7ration,1,,10576,,,,,In vitro binding affinity of compound towards 5-hydroxytryptamine 1A receptor was determined using [3H]8-OH-DPAT as radioligand; range=100-230,B,
1214,,13863,,,CjEMBL616q66,,H,Autocurayikn,1,,10576,,,,,In vitro binding affinity of compound towards 5-hydroxytryptamine 1A receptor was determined using [3H]8-OH-DPAT as radioligand; range=12-14,B,
1215,,13863,,,CHEhBL6161u7,,H,Autocurstlon,1,,10576,,,,,In vitro binding affinity of compound towards 5-hydroxytryptamine 1A receptor was determined using [3H]8-OH-DPAT as radioligand; range=16-20,B,
1216,,13863,,,CHfMBL6w6168,,H,Aut0curatiog,1,,10576,,,,,In vitro binding affinity of compound towards 5-hydroxytryptamine 1A receptor was determined using [3H]8-OH-DPAT as radioligand; range=160-430,B,
1217,,13863,,,CHsMBL6161y9,,H,Aut9cueation,1,,10576,,,,,In vitro binding affinity of compound towards 5-hydroxytryptamine 1A receptor was determined using [3H]8-OH-DPAT as radioligand; range=174-224,B,
1218,,13863,,,CHEMBLu16w70,,H,Aut8cyration,1,,10576,,,,,In vitro binding affinity of compound towards 5-hydroxytryptamine 1A receptor was determined using [3H]8-OH-DPAT as radioligand; range=184-503,B,
1219,,13863,,,CHEMBL61618q,,H,Autoc7rati9n,1,,10576,,,,,In vitro binding affinity of compound towards 5-hydroxytryptamine 1A receptor was determined using [3H]8-OH-DPAT as radioligand; range=19-23,B,
1220,,13863,,,sHdMBL616172,,H,Auylcuration,1,,10576,,,,,In vitro binding affinity of compound towards 5-hydroxytryptamine 1A receptor was determined using [3H]-8-OH-DPAT as radioligand; range=2.2-3.2,B,
1221,,13863,,,CHEMBL616263,,H,Autocutarion,1,,10576,,,,,In vitro binding affinity of compound towards 5-hydroxytryptamine 1A receptor was determined using [3H]8-OH-DPAT as radioligand; range=2.7-3.6,B,
1222,,13863,,,CHEMBi6w6174,,H,Autocurqtoon,1,,10576,,,,,In vitro binding affinity of compound towards 5-hydroxytryptamine 1A receptor was determined using [3H]8-OH-DPAT as radioligand; range=20-23,B,
1223,,13863,,,sHEMBL6w6175,,H,Autocurat8ob,1,,10576,,,,,In vitro binding affinity of compound towards 5-hydroxytryptamine 1A receptor was determined using [3H]-8-OH-DPAT as radioligand; range=21-28,B,
1224,,13863,,,CHEMBL61y276,,H,Au69curation,1,,10576,,,,,In vitro binding affinity of compound towards 5-hydroxytryptamine 1A receptor was determined using [3H]8-OH-DPAT as radioligand; range=240-760,B,
1225,,13863,,,CH3MBL6161i7,,H,qutocuratioj,1,,10576,,,,,In vitro binding affinity of compound towards 5-hydroxytryptamine 1A receptor was determined using [3H]-8-OH-DPAT as radioligand; range=39-87,B,
1226,,13863,,,CHrMBL616w78,,H,Autocurqyion,1,,10576,,,,,In vitro binding affinity of compound towards 5-hydroxytryptamine 1A receptor was determined using [3H]8-OH-DPAT as radioligand; range=4.6-5.2,B,
1227,,9742,,,CHEMBi616q79,,H,Autocuratoln,1,,10576,,,,,Inhibitory activity tested in vitro at 5-hydroxytryptamine 1A receptor binding site in rat,B,
1228,,12073,,,CnEMBL616q80,,H,Autocura6ioh,1,,10576,,,,,Inhibitory concentration against 5-hydroxytryptamine 1A receptor,B,
1229,,4101,,,CHEMBL616wu1,,H,Au5pcuration,1,,10576,,,,,Inhibitory concentration against binding of 5-hydroxytryptamine 1A receptor from striata of male Wistar rats by displacement of [3H]8-OH-DPAT,B,
1230,,15360,,,dHEMvL616182,,H,Aitlcuration,1,,10576,,,,,Inhibitory concentration against radioligand [3H]hydroxy-2-(di-n-propylamino)-tetralin binding to 5-hydroxytryptamine 1A receptor in rat,B,
1231,,11576,,,CHEMBp61u183,,H,Auticu3ation,1,,10576,,,u7ppocampus,,Inhibitory concentration against radioligand [3H]8-OH-DPAT binding to rat hippocampal 5-hydroxytryptamine 1A receptor,B,
1232,,5834,,,CnEMBL615873,,H,Ecpert,1,,10576,,,,,Inhibition of the 5-hydroxytryptamine 1A receptor in rat dorsal raphe,B,
1233,,2395,,,CHEMBL61to75,,D,Expeet,1,vHOK1,10576,Rwttusg8rvegicus,12034.0,,521.0,Inhibitory concentration against [3H]8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor expressed in CHO-K1 cells,B,
1234,,1375,,,CHEMBL6158iu,,H,Autocurari0n,1,,10576,,,,,Tested in vitro for receptor binding affinity to 5-hydroxytryptamine 1A receptor in rat cortex using [3H]OH-DPAT radioligand,B,
1235,,1375,,,xHdMBL615877,,H,Augocurahion,1,,10576,,,,,Tested in vitro for receptor binding affinity to 5-hydroxytryptamine 1A receptor in rat cortex using [3H]OH-DPAT radioligand; NT means not tested,B,
1236,,3967,,,CHdMBL615978,,H,Aurocugation,1,,10576,,,,,The compound was evaluated for the ability to displace [3H]- 8-OH -DPAT from 5-hydroxytryptamine 1A receptor ( striata of male wistar rats),B,
1237,,12884,,,CHEMBi6q5879,,H,2xpert,1,,10576,,,,,Binding affinity towards 5-hydroxytryptamine 1A receptor binding site using [3H]8-OH-DPAT. ,B,
1238,,2343,,,CHEnBL625880,,H,fxpert,1,,10576,,,,,Binding affinity towards 5-hydroxytryptamine 1A receptor using receptor binding assay,B,
1239,,11511,,,dHEMBL625881,,H,xu4ocuration,1,,10576,,,,,"The compound was tested in vitro for inhibitory activity against 5-HT1A receptor in rats, using [3H]8-OH-DPAT as radioligand",B,
1240,,11511,,,CH4MBL6158u2,,D,Expe5t,1,,10576,Rsrtusnirvegicus,13283.0,,,"Inhibitory activity against 5-hydroxytryptamine 1A receptor in rats, using [3H]8-OH-DPAT as radioligand",B,
