assay_id,assay_organism,confidence_score,assay_type,assay_cell_type,src_id,description,tid,assay_tax_id,assay_subcellular_fraction,variant_id,chembl_id,doc_id,tissue_id,cell_id,src_assay_id,assay_test_type,assay_category,assay_strain
3748,,8,B,CHO,1,Percent inhibition of 5-HT7-induced stimulation of cAMP production in CHO cells expressing rat 5-HT receptors by 1 nM 5-HT.,11923,,,,CHEMBL620749,16372,,449.0,,,,
3749,,8,B,,1,Binding affinity towards rat 5-hydroxytryptamine 7 receptor,11923,,,,CHEMBL620750,17066,,,,,,
3750,Rattus norvegicus,9,B,,1,Binding affinity towards rat 5-hydroxytryptamine 7 receptor was evaluated using [3H]5-HT as radioligand,11923,10116.0,,,CHEMBL620751,17066,,,,,,
3751,,8,B,,1,Binding affinity to the rat 5-hydroxytryptamine 7 receptor,11923,,,,CHEMBL620752,17386,,,,,,
3752,,8,B,,1,Binding affinity against 5-hydroxytryptamine 7 receptor using from CHO cell membranes [3H]5-HT as the radioligand.,11923,,,,CHEMBL872929,14423,,,,,,
3753,Rattus norvegicus,9,B,,1,Binding affinity against Rat 5-hydroxytryptamine 7 receptor using [3H]5-HT,11923,10116.0,,,CHEMBL620753,15874,,,,,,
3754,Rattus norvegicus,9,B,,1,Displacement of [3H]5-HT from over-expressed rat 5-hydroxytryptamine 7 receptor,11923,10116.0,,,CHEMBL620754,15874,,,,,,
3755,Rattus norvegicus,9,B,CHO,1,Displacement of [3H]5-HT from rat 5-hydroxytryptamine 7 receptor expressed in CHO cells,11923,10116.0,,,CHEMBL620755,16372,,449.0,,,,
3756,,8,B,,1,In vitro binding affinity towards cloned rat 5-hydroxytryptamine 7 receptor using [3H]5-HT as radioligand,11923,,,,CHEMBL620756,4622,,,,,,
3757,,8,B,,1,The compound was tested for binding affinity against 5-hydroxytryptamine 7 receptor,11923,,,,CHEMBL620757,15086,,,,,,
3758,,8,B,CHO,1,"Effect of compound on stimulation of cAMP production in CHO cells expressing rat 5-HT7 receptors at 1, 10, 100 1000 and 10000 nM conc; Not tested",11923,,,,CHEMBL620758,16372,,449.0,,,,
3759,,8,B,CHO,1,"Effect of compound on stimulation of cAMP production in CHO cells expressing rat 5-HT7 receptors at 1, 10, 100 1000 and 10000 nM conc; not tested",11923,,,,CHEMBL620759,16372,,449.0,,,,
3760,,8,B,CHO,1,Percent inhibition of 5-HT7-induced stimulation of cAMP production in CHO cells expressing rat 5-HT receptors at a concentration of 1 nM; not tested,11923,,,,CHEMBL620760,16372,,449.0,,,,
3761,,8,B,CHO,1,Percent inhibition of 5-HT7-induced stimulation of cAMP production in CHO cells expressing rat 5-HT receptors by 1 nM 5-HT; Not tested,11923,,,,CHEMBL620761,16372,,449.0,,,,
3762,,8,F,,1,Maximal relaxation effect induced by 3 uM compound on substance P stimulated guinea pig ileum with 5-hydroxytryptamine 7 receptor desensitization,11923,,,,CHEMBL620762,17386,2116.0,,,,,
3763,,8,F,,1,Maximal relaxation effect induced by 3 uM compound on substance P stimulated guinea pig ileum with 5-hydroxytryptamine 7 receptor nondesensitization,11923,,,,CHEMBL620763,17386,2116.0,,,,,
3764,,8,F,,1,Maximal relaxation effect induced by 3 uM compound on substance P stimulated guinea pig ileum with 5-hydroxytryptamine receptor desensitization,11923,,,,CHEMBL620764,17386,2116.0,,,,,
3765,Rattus norvegicus,9,B,,1,Inhibition of [3H]-5-CT binding to 5-hydroxytryptamine 7 receptor of rat cortical membranes,11923,10116.0,Membranes,,CHEMBL857990,5831,,,,,,
3766,,8,B,,1,Binding affinity of compound towards serotonin 5-hydroxytryptamine 7 receptor was determined,11923,,,,CHEMBL620765,4342,,,,,,
3767,,8,B,,1,Binding affinity at rat 5-hydroxytryptamine 7 receptor.,11923,,,,CHEMBL620766,17319,,,,,,
3768,,8,B,,1,Binding affinity towards 5-hydroxytryptamine receptor 7 on rat hypothalamus membranes using [3H]5-CT as radioligand.,11923,,,,CHEMBL620767,17342,1898.0,,,,,
3769,,8,B,,1,Binding affinity towards cloned rat 5-hydroxytryptamine 7 receptor was determined using [3H]5-HT as radioligand,11923,,,,CHEMBL620768,17342,,,,,,
3770,,8,B,,1,Binding affinity against 5-hydroxytryptamine 7 receptor using [3H]-5-CT in rat hypothalamus membranes,11923,,,,CHEMBL619051,3680,1898.0,,,,,
3771,,8,B,,1,Binding affinity towards 5-hydroxytryptamine 7 receptor,11923,,,,CHEMBL619052,3680,,,,,,
3772,Rattus norvegicus,9,F,HEK293,1,Agonistic activity against rat 5-HT7 adenyl cyclase expressed by HEK293 cells,11923,10116.0,,,CHEMBL619053,17319,,722.0,,,,
3773,Rattus norvegicus,9,F,HEK293,1,Agonistic activity against rat 5-HT7 adenyl cyclase expressed in HEK293 cells; Active,11923,10116.0,,,CHEMBL619703,17319,,722.0,,,,
3774,Rattus norvegicus,9,F,HEK293,1,Agonistic activity against rat 5-HT7-adenyl cyclase expressed by HEK293 cells; Active,11923,10116.0,,,CHEMBL619704,17319,,722.0,,,,
3775,,8,B,,1,Binding affinity towards 5-hydroxytryptamine 7 receptor,10209,,,,CHEMBL619851,4820,,,,,,
3776,,8,B,,1,Percentage of displacement at 5-hydroxytryptamine 7 receptor at 10e-8 M,10209,,,,CHEMBL619852,4639,,,,,,
3777,,8,B,,1,Inhibition of binding towards 5-hydroxytryptamine 7 receptor at 100 nM concentration,10209,,,,CHEMBL619853,6011,,,,,,
3778,Homo sapiens,9,B,,1,Binding affinity towards human 5-hydroxytryptamine 7 receptor,10209,9606.0,,,CHEMBL619854,17066,,,,,,
3779,,8,B,,1,Binding affinity of compound towards rodent 5-hydroxytryptamine 7 receptor,10209,,,,CHEMBL619855,17066,,,,,,
3780,,8,B,,1,Binding affinity of compound towards serotonin 5-hydroxytryptamine 7 receptor; inactive at 10 uM,10209,,,,CHEMBL619856,17515,,,,,,
3781,,8,B,,1,Binding affinity relative to indolopiperidine (compound 1) for 5-hydroxytryptamine 7 receptor was determined,10209,,,,CHEMBL619857,4373,,,,,,
3782,,8,F,,1,Antagonistic activity towards 5-hydroxytryptamine 7 receptor was evaluated by cAMP assay,10209,,,,CHEMBL619858,17066,,,,,,
3783,,8,B,,1,Binding affinity for 5-hydroxytryptamine 7 receptor was determined,10209,,,,CHEMBL619859,4373,,,,,,
3784,,8,B,,1,Binding affinity relative to indolopiperidine (compound 1) for 5-hydroxytryptamine 7 receptor was determined,10209,,,,CHEMBL619860,4373,,,,,,
3785,,8,B,,1,Evaluated for the binding affinity to 5-hydroxytryptamine 7 receptor,10209,,,,CHEMBL619861,4687,,,,,,
3786,,8,B,,1,Non-selective inhibitory activity was determined against 5-hydroxytryptamine 7 receptor,10209,,,,CHEMBL619862,17342,,,,,,
3787,,8,B,,1,Ability to displace [125I]LSD 113808 from 5-hydroxytryptamine 7 receptor at concentration of 10e-6 M,10209,,,,CHEMBL619863,16946,,,,,,
3788,,8,B,,1,Ability to displace [125I]LSD 113808 from 5-hydroxytryptamine 7 receptor at concentration of 10e-8 M,10209,,,,CHEMBL619864,16946,,,,,,
3789,,8,B,,1,Binding affinities against 5-hydroxytryptamine 7 receptor,10209,,,,CHEMBL872928,16633,,,,,,
3790,,8,B,,1,Binding affinities towards 5-hydroxytryptamine 7 receptor,10209,,,,CHEMBL619865,16633,,,,,,
3791,,8,B,,1,Binding affinity towards rodent 5-hydroxytryptamine 7 receptor,10209,,,,CHEMBL619866,17066,,,,,,
3792,,8,B,,1,The binding affinity towards 5-hydroxytryptamine 7 receptor; No affinity,10209,,,,CHEMBL619867,16700,,,,,,
3793,,8,B,,1,Maximal relaxation effect induced by 3 uM compound on substance P stimulated guinea pig ileum with 5-hydroxytryptamine 7 receptor desensitization,10209,,,,CHEMBL619868,17386,2116.0,,,,,
3794,,8,F,,1,Compound was evaluated for the potency to inhibit oxidation of arachidonic acid by human recombinant 5-Lipoxygenase using a spectrophotometric assay,55,,,,CHEMBL619869,14080,,,,,,
3795,Homo sapiens,9,F,,1,Inhibition of oxidation of arachidonic acid by human 5-Lipoxygenase using spectrophotometric assay,55,9606.0,,,CHEMBL619870,14080,,,,,,
3796,,8,B,,1,In vitro inhibition of human recombinant 5-lipoxygenase enzyme,55,,,,CHEMBL619871,409,,,,,,
3797,,8,B,,1,In vitro inhibition of human recombinant lipoxygenase enzyme,55,,,,CHEMBL619872,409,,,,,,
3798,,8,B,,1,In vitro inhibition of human recombinant lipoxygenase enzyme; No inhibition,55,,,,CHEMBL619873,409,,,,,,
3799,,8,B,,1,Inhibition of 5-lipoxygenase in human whole blood.,55,,,,CHEMBL619874,11090,178.0,,,,,
3800,,8,B,,1,Inhibition of 5-lipoxygenase in human whole blood.,55,,,,CHEMBL619875,11090,178.0,,,,,
3801,,8,B,,1,Compound was tested for the inhibition of 5-lipoxygenase of human PMN stimulated by calcium ionophore A-23187 for the formation of 5-HETE,55,,,,CHEMBL619876,948,,,,,,
3802,,8,B,,1,Compound was tested for the inhibition of 5-lipoxygenase of human PMN stimulated by calcium ionophore A-23187 for the formation of leukotriene B4 (LTB4),55,,,,CHEMBL619877,948,,,,,,
3803,,8,F,,1,In vitro 5-lipoxygenase inhibitory activity against calcium ionophore (A23187) induced LTB4 formation in human polymorphonuclear leukocytes.,55,,,,CHEMBL619878,13622,,,,,,
3804,,8,F,,1,In vitro 5-lipoxygenase inhibitory activity against calcium ionophore (A23187) induced LTB4 formation in human whole blood,55,,,,CHEMBL619879,13622,178.0,,,,,
3805,,8,B,,1,In vitro inhibition of 5-lipoxygenase from human polymorphs,55,,,,CHEMBL619880,9637,,,,,,
3806,,8,B,,1,In vitro inhibition of leukotriene B4 synthesis in human whole blood by inhibiting 5-LPO (5-lipoxygenase),55,,,,CHEMBL619881,11320,,,,,,
3807,,8,B,,1,In vitro inhibition of leukotriene B4 synthesis in human whole blood by inhibiting 5-lipoxygenase,55,,,,CHEMBL619882,11320,,,,,,
3808,,8,B,,1,In vitro inhibitory activity against 5-lipoxygenase in a human whole blood assay,55,,,,CHEMBL619883,6838,,,,,,
3809,Homo sapiens,9,B,,1,Inhibition of 5-Lipoxygenase (5-LO) of human whole blood (HWB),55,9606.0,,,CHEMBL619884,17667,178.0,,,,,
3810,,8,B,,1,In vitro potency against human 5-Lipoxygenase,55,,,,CHEMBL619885,12703,,,,,,
3811,Homo sapiens,9,F,,1,Inhibitory activity against 5-lipoxygenase in Human whole blood (HWBL) stimulated with calcium ionophore (A23187) and LTB4 measured by enzyme immunoassay,55,9606.0,,,CHEMBL619886,14312,,,,,,
3812,,8,F,,1,Inhibition activity against 5-lipoxygenase in Human whole blood (HWBL) stimulated with calcium ionophore (A23187) and LTB4 measured by enzyme immunoassay; No data,55,,,,CHEMBL619887,14312,178.0,,,,,
3813,,8,F,,1,Inhibition of 5-lipoxygenase activity of compound evaluated as determined by the inhibition of calcium ionophore-induced leukotriene B4 production in human blood.,55,,,,CHEMBL875097,5364,,,,,,
3814,,8,B,,1,Inhibition of 5-lipoxygenase was evaluated in human polymorphonuclear leukocytes stimulated by calcium ionophore A-23187 for formation of 5-HETE,55,,,,CHEMBL618001,951,,,,,,
3815,,8,B,,1,Inhibition of 5-lipoxygenase was evaluated in human polymorphonuclear leukocytes stimulated by calcium ionophore A-23187 for formation of 5-HETE; NA means Not active,55,,,,CHEMBL618002,951,,,,,,
3816,,8,B,,1,Inhibition of 5-lipoxygenase was evaluated in human polymorphonuclear leukocytes stimulated by calcium ionophore A-23187 for formation of LTB4,55,,,,CHEMBL618003,951,,,,,,
3817,,8,B,,1,Inhibition of 5-lipoxygenase was evaluated in human polymorphonuclear leukocytes stimulated by calcium ionophore A-23187 for formation of LTB4; NA means Not active,55,,,,CHEMBL618004,951,,,,,,
3818,,8,B,,1,Inhibition of human 5-lipoxygenase in human cells,55,,,,CHEMBL618005,12365,,,,,,
3819,,8,B,,1,Inhibition of human neutrophil 5-lipoxygenase,55,,,,CHEMBL618006,10603,,,,,,
3820,,8,B,,1,Inhibitory activity against 5-lipoxygenase expressed from human polymorphonuclear cells,55,,,,CHEMBL875086,10501,,,,,,
3821,,8,B,,1,Inhibition of 5-lipoxygenase from human whole blood,55,,,,CHEMBL618007,12281,178.0,,,,,
3822,,8,B,,1,Inhibitory concentration required against 5-lipoxygenase activity in cytosolic fractions of human neutrophils,55,,,,CHEMBL618008,2567,,,,,,
3823,,8,B,,1,Inhibitory concentration required against 5-lipoxygenase activity in intact cells of human neutrophils,55,,,,CHEMBL618009,2567,,,,,,
3824,,8,B,,1,In vitro inhibition of polymorphonuclear leukocyte derived human 5-lipoxygenase,55,,,,CHEMBL618010,10193,,,,,,
3825,,8,B,,1,In vitro inhibitory activity against polymorphonuclear leukocyte 5-lipoxygenase in human cell at 10 uM,55,,,,CHEMBL618011,10193,,,,,,
3826,,8,B,,1,Potency to inhibit oxidation of arachidonic acid by recombinant human 5-lipoxygenase,55,,,,CHEMBL618012,13623,,,,,,
3827,,8,B,,1,Tested against 5-lipoxygenase,55,,,,CHEMBL882927,12780,,,,,,
3828,,8,B,,1,Tested for activity against 5-Lipoxygenase (5-LO),55,,,,CHEMBL618013,12780,,,,,,
3829,,8,B,,1,Tested for activity against 5-lipoxygenase,55,,,,CHEMBL618014,12780,,,,,,
3830,,8,B,,1,Tested for inhibition of 5-HPETE production by human 5-LO,55,,,,CHEMBL618015,11966,,,,,,
3831,,8,F,,1,The 5-lipoxygenase activity by the inhibition of calcium ionophore-induced leukotriene B4 production in human blood.,55,,,,CHEMBL618016,5364,,,,,,
3832,,8,B,,1,Inhibition of Human 5-lipoxygenase,55,,,,CHEMBL618017,13165,,,,,,
3833,,8,B,,1,The compound was evaluated for its inhibitory activity against 5-lipoxygenase using granulocytes-type cells,55,,,,CHEMBL618018,5364,,,,,,
3834,,8,B,,1,The compound was tested for inhibitory activity against 5-lipoxygenase in human polymorphonuclear leukocytes[PMNS],55,,,,CHEMBL875087,11311,,,,,,
3835,,8,B,,1,The compound was tested for inhibitory activity against LT synthesis in human polymorphonuclear leukocytes[PMNS],55,,,,CHEMBL618019,11311,,,,,,
3836,,8,B,,1,The compound was tested for the concentration (in uM) to inhibit 50% of 5-Lipoxygenase (5-LOX) and is expressed in IC50.,55,,,,CHEMBL618020,14863,,,,,,
3837,,8,B,,1,The compound was tested for the concentration (in uM) to inhibit 50% of 5-Lipoxygenase (5-LOX) and is expressed in IC50; Not tested,55,,,,CHEMBL618021,14863,,,,,,
3838,,8,B,,1,The compound was tested for the inhibition of 5-lipoxygenase (5-lo) in human whole blood (HWBL),55,,,,CHEMBL618022,11087,178.0,,,,,
3839,,8,B,,1,The compound was tested in vitro for inhibition against 5-lipoxygenase in intact human neutrophils,55,,,,CHEMBL618023,455,,,,,,
3840,,8,B,,1,5-lipoxygenase Inhibitory activity was measured by enzyme immunoassay using human whole blood stimulated with calcium ionophore (A23187) and LTB4 (leukotriene B4),55,,,,CHEMBL618024,13183,,,,,,
3841,,8,B,,1,In vitro inhibitory activity against 5-lipoxygenase in human polymorphonuclear (PMN) cells,55,,,,CHEMBL873950,10319,,,,,,
3842,,8,B,,1,In vitro inhibitory activity against polymorphonuclear leukocyte 5-lipoxygenase in human cell at 10 uM,55,,,,CHEMBL618025,10193,,,,,,
3843,,8,B,,1,Inhibition of 5-lipoxygenase was evaluated in human polymorphonuclear leukocytes stimulated by calcium ionophore A-23187 for formation of 5-HETE at 10 uM,55,,,,CHEMBL618026,951,,,,,,
3844,,8,B,,1,Inhibition of 5-lipoxygenase was evaluated in human polymorphonuclear leukocytes stimulated by calcium ionophore A-23187 for formation of 5-HETE at 10 uM; NA means Inactive,55,,,,CHEMBL618027,951,,,,,,
3845,,8,B,,1,Inhibition of 5-lipoxygenase was evaluated in human polymorphonuclear leukocytes stimulated by calcium ionophore A-23187 for formation of LTB4 at 10 uM,55,,,,CHEMBL618028,951,,,,,,
3846,,8,B,,1,Inhibition of 5-lipoxygenase was evaluated in human polymorphonuclear leukocytes stimulated by calcium ionophore A-23187 for formation of LTB4 at 10 uM; NA means Inactive,55,,,,CHEMBL618029,951,,,,,,
3847,,8,B,,1,Inhibitory activity against 5-lipoxygenase at 10 uM concentration,55,,,,CHEMBL618030,9859,,,,,,
3848,,8,B,,1,Inhibitory activity against 5-lipoxygenase at 1 uM concentration,55,,,,CHEMBL618031,9859,,,,,,
3849,,8,B,,1,Inhibitory activity against lipoxygenase (LO) at 10 uM concentration,55,,,,CHEMBL618032,9859,,,,,,
3850,,8,B,,1,Inhibitory concentration required against 5-lipoxygenase activity in cytosolic fractions of human neutrophils,55,,,,CHEMBL618033,2567,,,,,,
3851,,8,B,,1,In vitro inhibitory activity against polymorphonuclear leukocyte 5-lipoxygenase in human cell at 1 uM,55,,,,CHEMBL618034,10193,,,,,,
3852,,8,B,,1,In vitro inhibitory activity against polymorphonuclear leukocyte 5-lipoxygenase in human cell at 10 uM,55,,,,CHEMBL875088,10193,,,,,,
3853,,8,B,,1,Tested for the inhibition of 5-lipoxygenase from human polymorphonuclear leukocytes(PMN) at 10 uM concentration of the compound; IA= Inactive,55,,,,CHEMBL618035,949,,,,,,
3854,,8,B,,1,Tested for the inhibition of 5-lipoxygenase from human polymorphonuclear leukocytes(PMN) at 10 uM concentration of the compound; value ranges from 70-90,55,,,,CHEMBL618036,949,,,,,,
3855,,8,B,,1,Inhibition of human neutrophil 5-lipoxygenase at the concentration of 0.1 uM,55,,,,CHEMBL618037,10603,,,,,,
3856,,8,B,,1,Inhibition of human neutrophil 5-lipoxygenase at the concentration of 1 uM,55,,,,CHEMBL618038,10603,,,,,,
3857,,8,F,,1,Inhibition of human neutrophil 5-lipoxygenase at the concentration of 1 uM,55,,,,CHEMBL618761,10603,,,,,,
3858,,8,B,,1,Inhibition of lipoxygenase at the concentration of 0.1 uM,55,,,,CHEMBL618762,10603,,,,,,
3859,,8,B,,1,Inhibition of lipoxygenase at the concentration of 1 uM,55,,,,CHEMBL618763,10603,,,,,,
3860,,8,B,,1,In vitro inhibitory activity against polymorphonuclear leukocyte 5-lipoxygenase in human cell,55,,,,CHEMBL618764,10193,,,,,,
3861,Homo sapiens,9,B,,1,Inhibition of 5-Lipoxygenase (5-LOX),55,9606.0,,,CHEMBL618765,14580,,,,,,
3862,,8,B,,1,Inhibition of 5-lipoxygenase in mouse macrophages.,17087,,,,CHEMBL618766,11090,,,,,,
3863,,8,B,,1,Inhibition of 5-lipoxygenase in mouse macrophages.,17087,,,,CHEMBL618767,11090,,,,,,
3864,,8,B,,1,Inhibitory activity against lipoxygenase-2 in mice,17087,,,,CHEMBL619380,6339,,,,,,
3865,,8,B,,1,Inhibitory activity against murine lipoxygenase-2.,17087,,,,CHEMBL619381,6339,,,,,,
3866,Mus musculus,9,B,,1,Inhibition of 5-lipoxygenase from mouse macrophage,17087,10090.0,,,CHEMBL619382,12281,,,,,,
3867,,8,B,,1,The compound was tested for inhibitory activity against 5-lipoxygenase in mouse macrophages,17087,,,,CHEMBL619383,11311,,,,,,
3868,Sus scrofa,8,B,,1,The compound was tested for the inhibition of Arachidonate 5-lipoxygenase purified from porcine leukocytes.,55,9823.0,,,CHEMBL619384,11089,,,,,,
3869,Sus scrofa,8,B,,1,Inhibition of 5-lipoxygenase reaction catalyzed by purified enzyme from porcine leukocytes,55,9823.0,,,CHEMBL619385,10091,,,,,,
3870,Oryctolagus cuniculus,8,B,,1,Inhibitory concentration against 5-lipoxygenase from isolated rabbit granulocytes,55,9986.0,,,CHEMBL882928,14352,,,,,,
3871,Rattus norvegicus,9,B,,1,5-lipoxygenase Inhibitory activity against rat polymorphonuclear leucocytes using 5-HETE,12166,10116.0,,,CHEMBL619386,13329,,,,,,
3872,,8,B,,1,"5-lipoxygenase inhibitory activity against rat polymorphonuclear leucocytes from female wistar rat, by using 5-HETE. ",12166,,,,CHEMBL619387,13329,,,,,,
3873,,8,B,,1,"5-lipoxygenase inhibitory activity against rat polymorphonuclear leucocytes from female wistar rat, by using 5-HETE.",12166,,,,CHEMBL619388,13329,,,,,,
3874,,8,B,,1,"5-lipoxygenase inhibitory activity against rat polymorphonuclear leucocytes from female wistar rat, by using LTB4.",12166,,,,CHEMBL619389,13329,,,,,,
3875,,8,B,,1,Inhibition of 5-lipoxygenase pathway in rat polymorphonuclear assay (inhibition of 5-HETE formation),12166,,,,CHEMBL619390,13329,,,,,,
3876,,8,B,,1,"Inhibition of 5-lipoxygenase pathway in rat polymorphonuclear assay, by ability to inhibit formation of LTB4 AT 10 uM",12166,,,,CHEMBL619391,13329,,,,,,
3877,,8,B,,1,Inhibition of 5-lipoxygenase pathway was evaluated in rat polymorphonuclear assay by compound (50 uM) ability to inhibit formation of 5-HETE,12166,,,,CHEMBL619392,13329,,,,,,
3878,,8,B,,1,The effective dose for inhibition of 5-lipoxygenase in rat blood leukocyte (ex vivo),12166,,,,CHEMBL619393,11311,,,,,,
3879,,8,B,,1,The effective dose for inhibition of 5-lipoxygenase in rat passive Arthus model after oral administration,12166,,,,CHEMBL619394,11311,,,,,,
3880,,8,B,RBL-1,1,"In vitro inhibition of 5-lipoxygenase HETE (5-hydroperoxyeicosatetraenoic acid) in RBL-1 macrophage, a cell-free enzyme assay",12166,,,,CHEMBL619395,105,,702.0,,,,
3881,,8,B,RBL-1,1,"In vitro inhibition of 5-lipoxygenase HETE (5-hydroperoxyeicosatetraenoic acid) in RBL-1 macrophage, a cell-free enzyme assay",12166,,,,CHEMBL619396,105,,702.0,,,,
3882,,8,B,,1,Inhibition of rat neutrophil 5- Lipoxygenase (5-LO),12166,,,,CHEMBL619397,9138,,,,,,
3883,,8,B,,1,"Inhibition of rat neutrophil 5- Lipoxygenase (5-LO),",12166,,,,CHEMBL619398,9138,,,,,,
3884,,8,B,,1,"Inhibition of rat neutrophil 5- Lipoxygenase (5-LO), (at a concentration of 0.2 nM ),",12166,,,,CHEMBL619399,9138,,,,,,
3885,,8,B,,1,5-LO inhibitory activity determined by measuring the conversion of [14C]arachidonic acid to leukotrienes in RBL-2H3 cell using thin-layer chromatography; Not determined,12166,,,,CHEMBL619400,14427,,,,,,
3886,,8,B,,1,"5-lipoxygenase inhibitory activity against rat polymorphonuclear leucocytes from female wistar rat, by using 5-HETE.",12166,,,,CHEMBL619401,13329,,,,,,
3887,,8,B,,1,"5-lipoxygenase inhibitory activity against rat polymorphonuclear leucocytes from female wistar rat, by using LTB4. ",12166,,,,CHEMBL619402,13329,,,,,,
3888,Rattus norvegicus,9,B,RBL-2H3,1,Inhibition of 5-lipoxygenase mediated conversion of [14C]arachidonic acid to leukotrienes in RBL-2H3 cells,12166,10116.0,,,CHEMBL619403,14427,,663.0,,,,
3889,,8,B,,1,5-lipoxygenase inhibitory activity determined by measuring the conversion of [14C]arachidonic acid to leukotrienes in RBL-2H3 cell using thin-layer chromatography; Not determined,12166,,,,CHEMBL619404,14427,,,,,,
3890,,8,B,,1,5-lipoxygenase inhibitory activity determined by measuring the conversion of [14C]arachidonic acid to leukotrienes in RBL-2H3 cell using thin-layer chromatography.,12166,,,,CHEMBL619405,14427,,,,,,
3891,,8,B,RBL-1,1,Ability to inhibit 5-lipoxygenase by using a crude preparation of the cytosolic enzyme from the rat basophilic leukemia (RBL-1) cell line,12166,,,,CHEMBL619406,10293,,702.0,,,,
3892,Rattus norvegicus,9,B,RBL-1,1,Inhibition of 5-Lipoxygenase of rat basophilic leukemia cells,12166,10116.0,,,CHEMBL619407,338,,702.0,,,,
3893,,8,B,,1,Compound was evaluated for its inhibitory activity against 5-LO (5-lipoxygenase),12166,,,,CHEMBL619408,303,,,,,,
3894,,8,B,RBL-1,1,Compound was evaluated for its inhibitory activity against 5-LO (5-lipoxygenase) in intact RBL-1 cell line assay,12166,,,,CHEMBL619409,303,,702.0,,,,
3895,,8,B,RBL-1,1,Inhibition of rat basophilic leukemia-1 (RBL-1) 5-lipoxygenase,12166,,,,CHEMBL619410,9247,,702.0,,,,
3896,,8,B,RBL-1,1,Compound was evaluated for the inhibition of rat basophilic leukemia-1 (RBL-1) 5-Lipoxygenase at 100 uM; NS = no significant activity,12166,,,,CHEMBL619753,9247,,702.0,,,,
3897,,8,B,RBL-1,1,Compound was evaluated in an intact RBL-1 cell line for inhibition of 5-lipoxygenase,12166,,,,CHEMBL619754,137,,702.0,,,,
3898,,8,B,,1,Evaluated in vitro for its inhibitory activity against 5-lipoxygenase,12166,,,,CHEMBL619903,11481,,,,,,
3899,,8,B,,1,"Evaluated in vitro for its inhibitory activity against 5-lipoxygenase; N=Inactive, <50% inhibition at 10 uM concentration",12166,,,,CHEMBL619904,11481,,,,,,
3900,,8,B,,1,Inhibition of rat polymorphonuclear leukocyte (PMN) 5-Lipoxygenase in vitro,12166,,,,CHEMBL619905,9029,,,,,,
3901,,8,B,,1,Compound was tested for inhibition of 5-lipoxygenase activity in a broken cell supernatant rat basophilic leukemia cells,12166,,,,CHEMBL619906,1701,,,,,,
3902,,8,B,,1,Compound was tested for inhibition of 5-lipoxygenase activity in a broken cell supernatant rat basophilic leukemia cells at concentration of 32 uM; Not active,12166,,,,CHEMBL619907,1701,,,,,,
3903,,8,B,,1,Compound was tested for inhibition of 5-lipoxygenase activity in a broken cell supernatant rat basophilic leukemia cells at concentration of 50 uM; Not active,12166,,,,CHEMBL619908,1701,,,,,,
3904,,8,B,,1,Compound was tested for inhibition of 5-lipoxygenase activity in a broken cell supernatant rat basophilic leukemia cells; No data,12166,,,,CHEMBL619909,1701,,,,,,
3905,,8,F,RBL-1,1,Inhibition of 5-lipoxygenase by measuring 5-HETE levels in RBL-1 cell-free supernatant,12166,,,,CHEMBL619910,13358,,702.0,,,,
3906,,8,B,RBL-1,1,Inhibitory activity against 5-lipoxygenase enzyme from RBL-1 cells,12166,,,,CHEMBL882929,1175,,702.0,,,,
3907,,8,B,RBL-1,1,Ability to inhibit 5-lipoxygenase in rat basophilic leukemia cells.,12166,,,,CHEMBL619911,8797,,702.0,,,,
3908,,8,B,,1,Compound was tested for its ability to inhibit 5-lipoxygenase in rat basophilic leukemia cells; No data,12166,,,,CHEMBL619912,8797,,,,,,
3909,Rattus norvegicus,9,B,,1,Inhibition of rat basophilic leukemia cell 5-lipoxygenase,12166,10116.0,,,CHEMBL619913,577,,,,,,
3910,,8,B,RBL-1,1,In vitro inhibitory activity against RBL-1 5-LO,12166,,,,CHEMBL619914,9295,,702.0,,,,
3911,,8,B,RBL-1,1,Compound was tested for its in vitro inhibitory activity against RBL-1 5-LO (insoluble above 45 uM),12166,,,,CHEMBL619915,9295,,702.0,,,,
3912,,8,B,RBL-1,1,Compound was tested for its in vitro inhibitory activity against RBL-1 5-LO (time dependent),12166,,,,CHEMBL619916,9295,,702.0,,,,
3913,,8,B,,1,Compound was tested for its inhibition activity against 5-LO of the whole cell in vitro in rat.,12166,,,,CHEMBL619917,9295,,,,,,
3914,,8,B,,1,Compound was tested for its inhibition activity against the 5-LO in isolated enzyme,12166,,,,CHEMBL619918,9295,,,,,,
3915,,8,B,,1,Compound was tested for its inhibitory activity against 5-lipoxygenase in rat.,12166,,,,CHEMBL619919,216,,,,,,
3916,,8,B,RBL-1,1,Compound was tested for the inhibition of 5-lipoxygenase (5-LPO) in rat basophilic leukemia (RBL) cells.,12166,,,,CHEMBL883710,11090,,702.0,,,,
3917,,8,B,,1,Compound was tested for the inhibition of 5-lipoxygenase (5-Lpo) in rat whole blood.,12166,,,,CHEMBL619920,11090,178.0,,,,,
3918,,8,B,,1,Concentration required for 50 % inhibition of arachidonic acid oxidation by rat 5-lipoxygenase,12166,,,,CHEMBL619921,10091,,,,,,
3919,,8,F,,1,Concentration that produces 50% inhibition of A-23187-stimulated radiolabeled 5-HETE and TXB2 synthesis by PMN 5-lipoxygenase.,12166,,,,CHEMBL619922,10274,,,,,,
