assay_id,curated_by,assay_test_type,assay_strain,assay_type,relationship_type,doc_id,description,assay_category,assay_organism,assay_tax_id,assay_tissue,assay_cell_type,assay_subcellular_fraction
1066,Autocuration,,,B,H,217,Compound was tested for binding affinity to 5-hydroxytryptamine 1A receptor using [3H]8-OH-DPAT as a radioligand,,,,,,
1067,Expert,,,B,D,10297,Hill number was determined for inhibition of of [3H]8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor in mouse hippocampus,,Mus musculus,10090.0,Hippocampus,,
1068,Autocuration,,,B,H,4921,Ability to displace [3H]8-OH-DPAT radioligand from porcine 5-hydroxytryptamine 1A receptor,,Sus scrofa,9823.0,,,
1069,Autocuration,,,B,H,4921,Ability to displace [3H]8-OH-DPAT radioligand from porcine 5-hydroxytryptamine 1A receptor; ND denotes not determined,,Sus scrofa,9823.0,,,
1070,Autocuration,,,B,H,4996,Binding affinity of compound measured for 5-hydroxytryptamine 1A receptor using [3H]8-OH-DPAT-labeled porcine brain homogenates,,Sus scrofa,9823.0,,,
1071,Autocuration,,,B,H,12918,Compound was evaluated for the binding affinity at 5- HT1A receptor,,Sus scrofa,9823.0,,,
1072,Autocuration,,,B,H,5333,Compound was tested in vitro for its ability to compete with [3H]8-OH-DPAT at 5-hydroxytryptamine 1A receptor in porcine brain homogenate,,Sus scrofa,9823.0,,,
1073,Autocuration,,,B,H,4437,In vitro for its ability to displace [3H]8-OH-DPAT from 5-hydroxytryptamine 1A receptor in porcine brain homogenate,,Sus scrofa,9823.0,,,
1074,Autocuration,,,B,H,1742,Compound was tested for its ability to displace [3H]8-OH-DPAT from 5-hydroxytryptamine 1A receptor in pig cortex,,Sus scrofa,9823.0,,,
1075,Expert,,,B,H,16688,Displacement of [3H]- 8-OH-DPAT from porcine 5-hydroxytryptamine 1A receptor,,Sus scrofa,9823.0,,,
1076,Autocuration,,,B,H,12861,Binding activity radioligand.,,Sus scrofa,9823.0,,,
1077,Expert,,,B,H,12861,Binding activity against 5-hydroxytryptamine 1A receptor from pig cortex membrane using [3H]8-OH-DPAT-HT as radioligand.,,Sus scrofa,9823.0,,,
1078,Autocuration,,,B,H,12861,Binding activity against 5-hydroxytryptamine 1A receptor from pig cortex membrane using [3H]8-OH-DPAT-HT as radioligand.,,Sus scrofa,9823.0,,,
1079,Expert,,,B,H,12490,Displacement of [3H]8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor from pig cortex,,,,,,
1080,Expert,,,B,H,11828,Displacement of [3H]8-OH-DPAT from pig cortex 5-hydroxytryptamine 1A receptor,,Sus scrofa,9823.0,,,
1081,Autocuration,,,B,H,11866,Binding affinity for 5-hydroxytryptamine 1A receptor in piglet hippocampus using [3H]8-OH-DPAT,,Sus scrofa,9823.0,Hippocampus,,
1082,Autocuration,,,B,H,12827,Binding affinity towards 5-hydroxytryptamine 1A receptor in pig frontal cortex membranes using [8H]-OH-DPAT,,Sus scrofa,9823.0,,,
1083,Autocuration,,,B,H,12918,Binding affinity was evaluated by 5-hydroxytryptamine 1A receptor agonism in the pig cortex by displacing 8-OH-DPAT,,Sus scrofa,9823.0,,,
1084,Expert,,,F,H,12919,Agonistic activity against 5-hydroxytryptamine 1A receptor in pig cortex using [3H]8-OH-DPAT,,Sus scrofa,9823.0,,,
1085,Autocuration,,,B,H,13047,Binding affinity against 5-hydroxytryptamine 1 receptor using rabbit jugular vein assay in the presence of endothelium,,Oryctolagus cuniculus,9986.0,,,
1086,Expert,,,B,D,15796,Inhibition activity against 5-hydroxytryptamine 1A receptor in rat hippocampus membranes using radio binding assays,,Rattus norvegicus,10116.0,,,
1087,Expert,,,B,D,3651,"Inhibition of [3H]8-hydroxy-2-dipropylamino-1,2,3,4-tetrahydronaphthalene binding to 5-hydroxytryptamine 1A receptor in hippocampus region of rat brain; Less active",,Rattus norvegicus,10116.0,Hippocampus,,
1088,Autocuration,,,B,H,188,Tested for the effect on binding at 5-hydroxytryptamine 1A receptor; No activity,,,,,,
1089,Expert,,,F,D,16616,"Antagonist activity to stimulate binding of [35S]GTP-gamma-S, to 5-hydroxytryptamine 1A receptor in isolated rat hippocampal membranes",,Rattus norvegicus,10116.0,,,Membranes
1090,Expert,,,F,D,16616,"Inhibition of (+)-8-OH-DPAT stimulated [35S]GTP-gamma-S, binding in rat hippocampal membranes",,Rattus norvegicus,10116.0,Hippocampus,,Membranes
1091,Autocuration,,,B,H,12306,The binding of [125I]MPPI ligand to 5-hydroxytryptamine 1A receptor of rat hippocampal homogenates,,,,Hippocampus,,
1092,Expert,,,B,D,17167,Binding affinity for rat hippocampus 5-hydroxytryptamine 1A receptor by inhibition of [3H]8-OH-DPAT binding,,Rattus norvegicus,10116.0,Hippocampus,,
1093,Autocuration,,,B,H,14776,Binding affinity measured at the 5-hydroxytryptamine 1A receptor by the inhibition of [3H]8-OH-DPAT binding to rat cortex using unlabeled buspirone for nonspecific binding.,,,,,,
1094,Expert,,,B,H,12158,Binding affinity of 5-hydroxytryptamine 1A receptor using [3H]-8-OH-DPAT as radioligand.,,,,,,
1095,Autocuration,,,B,H,13481,Binding affinity of [3H]- -8-OH-DPAT labelled towards Rat Hippocampal 5-hydroxytryptamine 1A receptor using radioligand binding assay,,,,,,
1096,Autocuration,In vitro,,B,H,13427,Binding affinity of [3H]-8-OH-DPAT towards 5-hydroxytryptamine 1A receptor in cloned mammalian receptor expressed in cultured cells or from rat whole brain.,,,,,,
1097,Autocuration,,,B,H,10210,Binding affinity of compound against 5-hydroxytryptamine 1A receptor binding site using radioligand [3H]8-OH-DPAT,,,,,,
1098,Autocuration,,,B,H,10205,Binding affinity of compound towards 5-HT 1A receptor by measuring ability to displace [3H]OH-DPAT from 5-hydroxytryptamine 1A receptor in rat striatal membranes,,,,,,Membranes
1099,Autocuration,,,B,H,10205,Binding affinity of compound towards 5-HT 1A receptor by measuring ability to displace [3H]OH-DPAT from 5-hydroxytryptamine 1A receptor in rat striatal membranes,,,,,,Membranes
1100,Expert,,,B,H,10205,Binding affinity of compound towards 5-hydroxytryptamine 1A receptor in rat striatal membranes by [3H]OH-DPAT displacement.,,,,,,Membranes
1101,Expert,,,B,D,12280,Binding affinity for 5-hydroxytryptamine 1A receptor with [3H]5-HT,,Rattus norvegicus,10116.0,,,
1102,Expert,,,B,H,17386,Binding affinity to the rat 5-hydroxytryptamine 1A receptor,,,,,,
1103,Expert,,,B,H,13654,Binding affinity was tested on 5-hydroxytryptamine 1A receptor using radioligand [3H]5-HT binding assay.,,,,,,
1104,Autocuration,,,B,H,14423,Binding affinity against 5-hydroxytryptamine 1A receptor from rat hippocampus using [3H]8-OH-DPAT as the radioligand.,,,,Hippocampus,,
1105,Autocuration,,,B,H,15412,Binding affinity against 5-hydroxytryptamine 1A receptor of rat hippocampus tissue.,,,,Hippocampus,,
1106,Autocuration,,,B,H,12073,Binding affinity by measuring displacement of [3H]8-OH-DPAT from 5-hydroxytryptamine 1A receptor in rat hippocampus,,,,Hippocampus,,
1107,Expert,,,B,D,4101,Displacement of [3H]8-OH-DPAT from rat striata 5-hydroxytryptamine 1A receptor,,Rattus norvegicus,10116.0,,,
1108,Autocuration,,,B,H,10062,Binding affinity in radioreceptor binding assay by using [3H]5-HT radioligand against 5-hydroxytryptamine 1A receptor,,,,,,
1109,Autocuration,,,B,H,6238,Binding affinity towards 5-HT 1A receptor in rat cerebral cortex membranes using [3H]8-OH-DPAT as radioligand,,,,,,
1110,Autocuration,,,B,H,16273,Binding affinity towards 5-hydroxytryptamine 1A receptor,,,,,,
1111,Autocuration,,,B,H,11139,Binding affinity towards 5-hydroxytryptamine 1A receptor using [3H]8-OH-DPAT as radioligand in competitive binding assay,,,,,,
1112,Expert,,,B,H,16796,Binding affinity towards 5-hydroxytryptamine 1A receptor from rat hippocampal membranes,,,,,,
1113,Expert,,,B,D,9548,Binding affinity towards 5-hydroxytryptamine 1A receptor in rat brain,,Rattus norvegicus,10116.0,Brain,,
1114,Autocuration,,,B,H,10381,Binding affinity towards 5-hydroxytryptamine 1A receptor in rat brain,,,,Brain,,
1115,Autocuration,,,B,H,13408,Binding affinity towards 5-hydroxytryptamine 1A receptor in rat hypocampus membrane using [3H]8-OH-DPAT as radioligand,,,,,,
1116,Expert,,,B,D,13825,Binding affinity towards 5-hydroxytryptamine 1A receptor in the rat brain (hippocampus) using [3H]8-OH-DPAT,,Rattus norvegicus,10116.0,Hippocampus,,
1117,Expert,,,B,H,11147,Binding affinity towards 5-hydroxytryptamine 1A receptor of rat hippocampus using [3H]-8-hydroxy-2-(di-n-propylamine) tetralin (8-OH-DPAT) as a radioligand,,,,Hippocampus,,
1118,Autocuration,,,B,H,10552,Binding affinity towards 5-hydroxytryptamine 1A receptor sites in cortical membranes using [3H]8-OH-DPAT as radioligand,,,,,,
1119,Autocuration,,,B,H,10552,"Binding affinity towards 5-hydroxytryptamine 1A receptor sites, in rat striatum membranes using [3H]- sandoz 205-501 as radioligand",,,,Striatum,,
1120,Expert,,,B,D,17136,Displacement of [3H]8-OH-DPAT from 5-hydroxytryptamine 1A receptor of rat cortex membranes,,Rattus norvegicus,10116.0,,,Membranes
1121,Expert,,,B,D,5778,Displacement of [3H]8-OH-DPAT from 5-hydroxytryptamine 1A receptor of rat cerebral cortex membranes,,Rattus norvegicus,10116.0,,,Membranes
1122,Autocuration,,,B,H,13481,Binding affinity towards rat hippocampal 5-hydroxytryptamine 1A receptor using [3H]8-OH-DPAT as radioligand,,,,Hippocampus,,
1123,Autocuration,,,B,H,13481,Binding affinity towards rat hippocampal 5-hydroxytryptamine 1A receptor using [3H]8-OH-DPAT as radioligand; Not tested,,,,Hippocampus,,
1124,Intermediate,,,B,H,13630,Binding affinity against rat hippocampal 5-hydroxytryptamine 1A (5-HT1A) receptor determined using [3H]8-OH-DPAT as radioligand,,,,Hippocampus,,
1125,Expert,,,B,H,16245,Binding was determined on 5-hydroxytryptamine 1A receptor in rat hippocampal membranes,,,,,,
1126,Autocuration,,,B,H,14509,Binding affinity was evaluated against 5-hydroxytryptamine 1A receptor on rat hippocampus using [3H]8-OH-DPAT as radioligand,,,,Hippocampus,,
1127,Expert,,,B,H,14509,Binding affinity against 5-hydroxytryptamine 1A receptor on rat hippocampus using [3H]8-OH-DPAT as radioligand.,,,,Hippocampus,,
1128,Autocuration,,,B,H,14509,Binding affinity was evaluated against 5-hydroxytryptamine 1A receptor on rat hippocampus using [3H]8-OH-DPAT as radioligand.; ND = Not determined,,,,Hippocampus,,
1129,Autocuration,,,B,H,14509,Binding affinity was evaluated against 5-hydroxytryptamine 1A receptor on rat hippocampus using [3H]8-OH-DPAT as radioligand; ND = Not determined,,,,Hippocampus,,
1130,Expert,,,B,H,14256,Binding affinity was evaluated by determining in vitro displacement of [3H]8-OH-DPAT from the central 5-hydroxytryptamine 1A receptor recognition site in rat frontal cortex homogenate.,,,,,,
1131,Autocuration,,,B,H,11139,Binding affinity was evaluated by using [3H]8-OH-DPAT radioligand by using competitive binding assay on 5-hydroxytryptamine 1A receptor,,,,,,
1132,Expert,,,B,D,11047,Binding affinity for 5-HT1A measured by displacing [3H]8-OH-DPAT from rat cortical membranes; Not determined,,Rattus norvegicus,10116.0,,,
1133,Expert,,,B,D,11047,Binding affinity for 5-hydroxytryptamine 1A receptor measured by displacing [3H]8-OH-DPAT from rat cortical membranes,,Rattus norvegicus,10116.0,,,
1134,Expert,,,B,D,11047,Binding affinity for 5-hydroxytryptamine 1A receptor measured by displacing [3H]8-OH-DPAT from rat cortical membranes;ND-Not determined,,Rattus norvegicus,10116.0,,,
1135,Expert,,,B,D,2395,Binding affinity against [3H]8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor expressed in CHO-K1 cells,,Rattus norvegicus,10116.0,,CHO-K1,
1136,Autocuration,,,B,H,9699,Binding affinity towards 5-hydroxytryptamine 1A receptor,,,,,,
1137,Expert,,,B,D,12028,Binding affinity towards 5-hydroxytryptamine 1A receptor by the displacement of [125I]trans-8-OH-PIPAT in membrane homogenates of hippocampal tissue of rat brain,,Rattus norvegicus,10116.0,Hippocampus,,
1138,Autocuration,,,B,H,12028,Binding affinity towards 5-hydroxytryptamine 1A receptor by the displacement of [3H]8-OH-DPAT in membrane homogenates of hippocampal tissue of rat brain,,,,Hippocampus,,
1139,Autocuration,,,B,H,5815,Binding affinity towards 5-hydroxytryptamine 1A receptor in rat cerebral cortex,,,,,,
1140,Expert,,,B,H,16616,Binding affinity towards 5-hydroxytryptamine 1A receptor in rat frontal cortex homogenates,,,,,,
1141,Autocuration,,,B,H,5815,Binding affinity towards 5-hydroxytryptamine 1A receptor in rat cerebral cortex using [3H]-8-OH-DPAT,,,,,,
1142,Autocuration,,,B,H,2761,"Binding affinity towards 5-hydroxytryptamine 1A receptor using 0.1 nM [3H]-8-OH-DPAT (8-hydroxy-2-(di-n-propylamino)tet-ralin), from rat hippocampal homogenate",,,,Hippocampus,,
1143,Expert,,,B,H,13133,Binding affinity was determined against 5-hydroxytryptamine 1A receptor using [3H]WB-4101,,,,,,
1144,Autocuration,,,B,H,10444,Binding affinity was determined against 5-hydroxytryptamine 1A receptor was determined in male Sprague-Dawley rat brain.,,,,,,
1145,Expert,,,B,D,13278,Binding affinity was measured against 5-hydroxytryptamine 1A receptor by displacement of [3H]8-OH-DPAT by lysergic acid amides,,Rattus norvegicus,10116.0,,,
1146,Autocuration,,,B,H,15874,Binding affinity was measured on cloned rat 5-hydroxytryptamine 1A receptor which is labeled by [3H]8-OH-DPAT,,,,,,
1147,Autocuration,,,B,H,10552,"Binding affinity of the compound towards 5-hydroxytryptamine 1A receptor sites, in rat striatum membranes using [3H]- sandoz 205-501 as radioligand",,,,Striatum,,Membranes
1148,Autocuration,,,B,H,11130,Binding constant against 5-hydroxytryptamine 1A receptor (in vitro),,,,,,
1149,Autocuration,In vivo,,B,H,11130,Binding constant against 5-hydroxytryptamine 1A receptor (in vivo),,,,,,
1150,Autocuration,,,B,H,14542,Compound is evaluated for binding affinity towards 5-hydroxytryptamine 1A receptor using [3H]-8-OH- -DPAT in rat brain cortex,,,,Brain,,
1151,Expert,,,B,D,13670,Inhibition of [3H]8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor,,Rattus norvegicus,10116.0,,,
1152,Expert,,,B,H,9888,Binding affinity at [3H]8-OH-DPAT-Labeled 5-hydroxytryptamine 1A receptor sites in rat brain hippocampal membranes,,,,,,
1153,Expert,,,B,D,3678,Displacement of [3H]8-OH-DPAT from 5-hydroxytryptamine 1A receptor of rat hippocampus membranes,,Rattus norvegicus,10116.0,,,Membranes
1154,Autocuration,,,B,H,11332,Compound was evaluated for in vitro binding affinity towards 5-hydroxytryptamine 1A receptor in rat hippocampus using [3H]8-OH-DPAT as radioligand,,,,Hippocampus,,
1155,Autocuration,,,B,H,11332,Compound was evaluated for in vitro binding affinity towards serotonin 5-hydroxytryptamine 1A receptor receptor in rat hippocampus using [3H]8-OH-DPAT as radioligand,,,,Hippocampus,,
1156,Expert,,,B,H,1185,Ability to displace [3H]-8-OH-DPAT from serotonergic 5-hydroxytryptamine 1A receptor,,,,,,
1157,Expert,,,B,H,2014,Binding affinity at 5-hydroxytryptamine 1A receptor in rat cerebral cortex membranes by [3H]8-OH-DPAT displacement.,,,,,,
1158,Autocuration,,,B,H,1185,Compound was evaluated for its ability to displace [3H]8-OH-DPAT from serotonergic 5-hydroxytryptamine 1A receptor,,,,,,
1159,Expert,,,B,H,14429,Compound was evaluated for its binding affinity against 5-hydroxytryptamine 1A receptor from rat cerebral cortex,,,,,,
1160,Expert,,,B,H,16288,"Binding affinity to 5-hydroxytryptamine 1A receptor (5-HT 1A receptor, serotonin receptor) from rat cortex using [3H]8-OH-DPAT as radioligand",,,,,,
1161,Expert,,,B,D,5432,Displacement of [3H]prazosin from rat cortex membrane 5-hydroxytryptamine 1A receptor,,Rattus norvegicus,10116.0,,,
1162,Autocuration,,,B,H,14429,Compound was evaluated for its binding affinity with 5-hydroxytryptamine 1A receptor using membranes prepared from rat cerebral cortex,,,,,,
1163,Expert,,,B,H,13672,Binding affinity towards rat 5-hydroxytryptamine 1A receptor using [3H]8-OH-DPAT radioligand.,,,,,,
1164,Expert,,,B,H,11296,In vitro ability to displace [3H]8-hydroxy-2-(di-n-propylamino) tetralin binding from 5-hydroxytryptamine 1A receptor site in rat brain hippocampus,,,,Hippocampus,,
1165,Autocuration,,,B,H,11296,In vitro ability to displace [3H]8-hydroxy-2-(di-n-propylamino) tetralin binding from 5-hydroxytryptamine 1A receptor site.,,,,,,
1166,Expert,,,B,H,14749,Binding affinity against rat 5-hydroxytryptamine 1A receptor in CHO cells.,,,,,CHO,
1167,Expert,,,B,H,15086,Binding affinity towards 5-hydroxytryptamine 1A receptor from rat brain using [3H]-8-OH-DPAT as radioligand,,,,,,
1168,Autocuration,,,B,H,13462,Compound was tested for the Binding affinity against rat hippocampal 5-hydroxytryptamine 1A receptor by Radio ligand [3H]8-OH-DPAT binding assay.,,,,Hippocampus,,
1169,Autocuration,,,B,H,15363,Compound was tested for the displacement of [3H]-8-OH- DPAT from rat brain 5-hydroxytryptamine 1A receptor,,,,,,
1170,Autocuration,,,B,H,15363,Compound was tested for the displacement of [3H]-8-OH- DPAT from rat brain 5-hydroxytryptamine 1A receptor,,,,,,
1171,Autocuration,,,B,H,10796,Compound was tested in vitro for binding affinity for 5-hydroxytryptamine 1A receptor,,,,,,
1172,Expert,,,B,H,12816,Binding affinity for 5-hydroxytryptamine 1A receptor in rat brain tissue using [3H]8-OH-DPAT as radioligand,,,,Brain,,
1173,Expert,,,B,H,13542,In vitro displacement of [3H]8-OH-DPAT binding to rat hippocampal 5-hydroxytryptamine 1A receptor,,,,Hippocampus,,
1174,Expert,,,B,H,13308,In vitro ability to displace [3H]8-OH-DPAT from 5-hydroxytryptamine 1A receptor sites of rat brain cortex.,,,,,,
1175,Expert,,,B,H,13541,In vitro affinity at 5-hydroxytryptamine 1A receptor of rat hippocampus by [3H]8-OH-DPAT displacement.,,,,Hippocampus,,
1176,Autocuration,,,B,H,10058,In vitro ability to inhibit [3H]8-OH-DPAT binding to 5-HT1A receptor of rat hippocampus and the value ranges from 9 - 12,,,,Hippocampus,,
1177,Autocuration,,,B,H,10058,In vitro ability to inhibit [3H]8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor of rat hippocampus,,,,Hippocampus,,
1178,Autocuration,,,B,H,10058,In vitro ability to inhibit [3H]8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor of rat hippocampus (94%CI) from 12 to 17,,,,Hippocampus,,
1179,Autocuration,,,B,H,10058,In vitro ability to inhibit [3H]8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor of rat hippocampus (94%CI) from 391-841,,,,Hippocampus,,
1180,Autocuration,,,B,H,10058,In vitro ability to inhibit [3H]8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor of rat hippocampus and the value ranges from 12 to 17.,,,,Hippocampus,,
1181,Autocuration,,,B,H,10058,In vitro ability to inhibit [3H]8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor of rat hippocampus and the value ranges from 12 to 20.,,,,Hippocampus,,
1182,Autocuration,,,B,H,10058,In vitro ability to inhibit [3H]8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor of rat hippocampus and the value ranges from 245 to 736,,,,Hippocampus,,
1183,Autocuration,,,B,H,10058,In vitro ability to inhibit [3H]8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor of rat hippocampus and the value ranges from 25 - 84,,,,Hippocampus,,
1184,Autocuration,,,B,H,10058,In vitro ability to inhibit [3H]8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor of rat hippocampus and the value ranges from 48 to 59,,,,Hippocampus,,
1185,Autocuration,,,B,H,10058,In vitro ability to inhibit [3H]8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor of rat hippocampus and the value ranges from 3 -5,,,,Hippocampus,,
1186,Autocuration,,,B,H,10058,In vitro ability to inhibit [3H]-8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor of rat hippocampus and value ranges from 15 - 31,,,,Hippocampus,,
1187,Autocuration,,,B,H,10058,In vitro ability to inhibit [3H]8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor of rat hippocampus and value ranges from 27 - 42,,,,Hippocampus,,
1188,Autocuration,,,B,H,10058,In vitro ability to inhibit [3H]8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor of rat hippocampus and value ranges from 6 - 13,,,,Hippocampus,,
1189,Expert,,,B,D,10058,Inhibition of [3H]8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor of rat hippocampus,,Rattus norvegicus,10116.0,Hippocampus,,
1190,Autocuration,,,B,H,10058,In vitro ability to inhibit [3H]8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor of rat hippocampus.; ND is No Data.,,,,Hippocampus,,
1191,Autocuration,,,B,H,10058,In vitro ability to inhibit [3H]-8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor of rat hippocampus. and the value ranges from 16 - 27,,,,Hippocampus,,
1192,Expert,,,B,H,12879,Displacement of [3H]2-(di-N-propylamino)-8-hydroxytetralin from central 5-hydroxytryptamine 1A receptor recognition sites in rat frontal cortex homogenates.,,,,,,
1193,Expert,,,B,H,11964,Displacement of radioligand [3H]2-(di-N-propylamino)-8-hydroxytetralin from 5-hydroxytryptamine 1A receptor in rat frontal cortex homogenate,,,,,,
1194,Autocuration,,,B,H,11964,Displacement of radioligand [3H]2-(di-N-propylamino)-8-hydroxytetralin from 5-hydroxytryptamine 1A receptor in rat frontal cortex homogenate (experiment 1),,,,,,
1195,Autocuration,,,B,H,11964,Displacement of radioligand [3H]2-(di-N-propylamino)-8-hydroxytetralin from 5-hydroxytryptamine 1A receptor in rat frontal cortex homogenate (experiment 2),,,,,,
1196,Expert,,,B,H,9548,Evaluated for binding affinity towards 5-hydroxytryptamine 1A receptor in rat brain,,,,Brain,,
1197,Expert,,,B,H,9098,Evaluated for the binding affinity to hippocampus striatal membranes at 5-hydroxytryptamine 1A receptor binding site by using [3H]-8-OH- DPAT as a radioligand.,,,,,,
1198,Autocuration,,,B,H,9098,Evaluated for the binding affinity to hippocampus striatal membranes at 5-hydroxytryptamine 1A receptor binding site by using [3H]-8-OH- DPAT as a radioligand; ND is no data.,,,,,,
1199,Autocuration,,,B,H,9098,Evaluated for the binding affinity to hippocampus striatal membranes at 5-hydroxytryptamine 1A receptor binding site by using [3H]-8-OH- DPAT as a radioligand;ND means no data,,,,,,
1200,Expert,,,B,H,13248,In vitro displacement of radioactively labeled ligand [3H]8-OH-DPAT from 5-hydroxytryptamine 1A receptor site in CHO cells,,,,,CHO,
1201,Expert,,,B,H,3147,In vitro ability to inhibit [3H]-8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor in rat cortical membranes,,,,,,
1202,Expert,,,B,H,13949,In vitro binding affinity against 5-hydroxytryptamine 1A receptor of rat cerebral cortex using [3H]8-OH-DPAT as radioligand.,,,,,,
1203,Autocuration,,,B,H,11883,In vitro binding affinity against 5-hydroxytryptamine 1A receptor using [3H]-8-OH-DPAT as radioligand in CHO cells (sc),,,,,CHO,
1204,Autocuration,,,B,H,11883,In vitro binding affinity against 5-hydroxytryptamine 1A receptor using [3H]8-OH-DPAT (agonist) as radioligand (sc),,,,,,
1205,Expert,,,B,D,11883,In vitro binding affinity against 5-hydroxytryptamine 1A receptor using [3H]8-OH-DPAT,,Rattus norvegicus,10116.0,,,
1206,Expert,,,B,H,15535,In vitro binding affinity at 5-HT1A receptors assayed by displacement of [3H]8-OH-DPAT from 5-hydroxytryptamine 1A receptor in rat hippocampal membranes,,,,,,Membranes
1207,Autocuration,,,B,H,15535,In vitro binding affinity at 5-HT1A receptor by measuring its ability to displace [3H]8-OH-DPAT from 5-hydroxytryptamine 1A receptor in rat hippocampal membranes + cortex,,,,,,
1208,Autocuration,,,B,H,15535,In vitro binding affinity at 5-HT1A receptor by measuring its ability to displace [3H]-8-OH-DPAT from 5-hydroxytryptamine 1A receptor in rat hippocampal membranes+cortex,,,,,,
1209,Expert,,,B,D,16372,Displacement of [3H]8-OH-DPAT from human 5-hydroxytryptamine 1A receptor expressed in CHO cells,,Homo sapiens,9606.0,,CHO,
1210,Expert,,,B,H,14608,In vitro binding affinity for 5-hydroxytryptamine 1A receptor in rat hippocampal membranes by [125I]-labeled agonist displacement.,,,,,,
1211,Expert,,,B,D,4795,Displacement of [3H]8-OH-DPAT from 5-hydroxytryptamine 1A receptor of rat hippocampus,,Rattus norvegicus,10116.0,Hippocampus,,
1212,Autocuration,,,B,H,13863,In vitro binding affinity of compound towards 5-hydroxytryptamine 1A receptor was determined using [3H]8-OH-DPAT as radioligand,,,,,,
1213,Autocuration,,,B,H,13863,In vitro binding affinity of compound towards 5-hydroxytryptamine 1A receptor was determined using [3H]8-OH-DPAT as radioligand; range=100-230,,,,,,
1214,Autocuration,,,B,H,13863,In vitro binding affinity of compound towards 5-hydroxytryptamine 1A receptor was determined using [3H]8-OH-DPAT as radioligand; range=12-14,,,,,,
1215,Autocuration,,,B,H,13863,In vitro binding affinity of compound towards 5-hydroxytryptamine 1A receptor was determined using [3H]8-OH-DPAT as radioligand; range=16-20,,,,,,
1216,Autocuration,,,B,H,13863,In vitro binding affinity of compound towards 5-hydroxytryptamine 1A receptor was determined using [3H]8-OH-DPAT as radioligand; range=160-430,,,,,,
1217,Autocuration,,,B,H,13863,In vitro binding affinity of compound towards 5-hydroxytryptamine 1A receptor was determined using [3H]8-OH-DPAT as radioligand; range=174-224,,,,,,
1218,Autocuration,,,B,H,13863,In vitro binding affinity of compound towards 5-hydroxytryptamine 1A receptor was determined using [3H]8-OH-DPAT as radioligand; range=184-503,,,,,,
1219,Autocuration,,,B,H,13863,In vitro binding affinity of compound towards 5-hydroxytryptamine 1A receptor was determined using [3H]8-OH-DPAT as radioligand; range=19-23,,,,,,
1220,Autocuration,,,B,H,13863,In vitro binding affinity of compound towards 5-hydroxytryptamine 1A receptor was determined using [3H]-8-OH-DPAT as radioligand; range=2.2-3.2,,,,,,
1221,Autocuration,,,B,H,13863,In vitro binding affinity of compound towards 5-hydroxytryptamine 1A receptor was determined using [3H]8-OH-DPAT as radioligand; range=2.7-3.6,,,,,,
1222,Autocuration,,,B,H,13863,In vitro binding affinity of compound towards 5-hydroxytryptamine 1A receptor was determined using [3H]8-OH-DPAT as radioligand; range=20-23,,,,,,
1223,Autocuration,,,B,H,13863,In vitro binding affinity of compound towards 5-hydroxytryptamine 1A receptor was determined using [3H]-8-OH-DPAT as radioligand; range=21-28,,,,,,
1224,Autocuration,,,B,H,13863,In vitro binding affinity of compound towards 5-hydroxytryptamine 1A receptor was determined using [3H]8-OH-DPAT as radioligand; range=240-760,,,,,,
1225,Autocuration,,,B,H,13863,In vitro binding affinity of compound towards 5-hydroxytryptamine 1A receptor was determined using [3H]-8-OH-DPAT as radioligand; range=39-87,,,,,,
1226,Autocuration,,,B,H,13863,In vitro binding affinity of compound towards 5-hydroxytryptamine 1A receptor was determined using [3H]8-OH-DPAT as radioligand; range=4.6-5.2,,,,,,
1227,Autocuration,,,B,H,9742,Inhibitory activity tested in vitro at 5-hydroxytryptamine 1A receptor binding site in rat,,,,,,
1228,Autocuration,,,B,H,12073,Inhibitory concentration against 5-hydroxytryptamine 1A receptor,,,,,,
1229,Autocuration,,,B,H,4101,Inhibitory concentration against binding of 5-hydroxytryptamine 1A receptor from striata of male Wistar rats by displacement of [3H]8-OH-DPAT,,,,,,
1230,Autocuration,,,B,H,15360,Inhibitory concentration against radioligand [3H]hydroxy-2-(di-n-propylamino)-tetralin binding to 5-hydroxytryptamine 1A receptor in rat,,,,,,
