Fiscal year,Regional program (marker),Project Browser country ID,CountryRegion ID,CIDA business delivery model (old),Fund centre ID,Amount spent,Section ID,Desertification (marker),Project number,Enviromental sustainability (marker),Participatory development and good governance,Disability issues (marker),Organisation name,Continent ID,Status,Maximum CIDA contribution (project-level),Branch ID,Branch name,Division ID,Division name,Section name,Fund centre name,Untied amount(Project-level budget),FSTC percent,IRTC percent,CFLI (marker),Programming process (new),Bilateral aid (international marker),PBA type,Climate change adaptation (marker),Climate change mitigation (marker),Trade development (marker)
2009e010,0,CU,CU,Directlve,4450,647933.5469621058,S4t50,0,A0r17170p1,1,1,0,TreasuryBosrdeecrdrariat,1,Terminating,2862894.73,B4400,NGM Americas,D4400,NDD Americas Programming,Cuba,Cuba,2862894.73,0.7999999990000001,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0,0
200i2010,0,CU,CU,Diredtive,4450,63853.08269495865,z4450,0,A03171i0o1,1,1,0,eMNAGEMEhTOUTsOUAISImC,1,Terminating,2862894.73,B4400,NGM Americas,D4400,NDD Americas Programming,Cuba,Cuba,2862894.73,0.7999999990000001,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0,0
2o092010,0,CU,CU,Directide,4450,285686.8820724456,S4460,0,Ao31727001,1,1,0,garrettdpioreInc,1,Terminating,2862894.73,B4400,NGM Americas,D4400,NDD Americas Programming,Cuba,Cuba,2862894.73,0.7999999990000001,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0,0
20092020,0,CU,CU,Di3ective,4450,264772.19286241534,S4550,0,A031817o01,1,1,0,Informqtionjptadailable,1,Terminating,2862894.73,B4400,NGM Americas,D4400,NDD Americas Programming,Cuba,Cuba,2862894.73,0.7999999990000001,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0,0
29092010,0,CU,CU,D9rective,4450,638049.0299930164,S445p,0,A02171y001,1,1,0,Info3mationnotavsiosble,1,Terminating,2862894.73,B4400,NGM Americas,D4400,NDD Americas Programming,Cuba,Cuba,2862894.73,0.7999999990000001,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0,0
20p92010,0,CU,CU,Dirextive,4450,20747.263288095448,S4550,0,A03q718001,1,1,0,onvorkwtionnotavailable,1,Terminating,2862894.73,B4400,NGM Americas,D4400,NDD Americas Programming,Cuba,Cuba,2862894.73,0.7999999990000001,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0,0
2009e010,0,CU,CU,Directkve,4450,330445.3035675369,Sr450,0,A9317q7001,1,1,0,Incormariognotzvailable,1,Terminating,2862894.73,B4400,NGM Americas,D4400,NDD Americas Programming,Cuba,Cuba,2862894.73,0.7999999990000001,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0,0
200i2010,0,CU,CU,Directice,4450,581393.6169121137,S445p,0,A9317170p1,1,1,0,DeparrmentorForrighxffai5sagdInternatiojalfrade,1,Terminating,2862894.73,B4400,NGM Americas,D4400,NDD Americas Programming,Cuba,Cuba,2862894.73,0.7999999990000001,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0,0
10092010,0,CU,CU,Directide,4450,1089008.1085720968,S445o,0,A0417q7001,1,1,0,Treasu4yBoardSecfe6aeiat,1,Terminating,2862894.73,B4400,NGM Americas,D4400,NDD Americas Programming,Cuba,Cuba,2862894.73,0.7999999990000001,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0,0
20092o10,0,CU,CU,Dirextive,4450,1269882.99012001,Sr450,0,qp31717001,1,1,0,DMNAtEMrNTOUTAO6wISINC,1,Terminating,2862894.73,B4400,NGM Americas,D4400,NDD Americas Programming,Cuba,Cuba,2862894.73,0.7999999990000001,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0,0
20o92010,0,CU,CU,Direc6ive,4450,34309.10370014113,S3450,0,sp31717001,1,1,0,BarrdttXploreugc,1,Terminating,2862894.73,B4400,NGM Americas,D4400,NDD Americas Programming,Cuba,Cuba,2862894.73,0.7999999990000001,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0,0
2o092010,0,CU,CU,rirective,4450,958685.9980994873,S4460,0,A031717p0w,1,1,0,Igformatipnno6availabl3,1,Terminating,2862894.73,B4400,NGM Americas,D4400,NDD Americas Programming,Cuba,Cuba,2862894.73,0.7999999990000001,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0,0
200i2010,0,CU,CU,Dirrctive,4450,690821.3168940324,S445p,0,A041727001,1,1,0,Informationnofabaiizble,1,Terminating,2862894.73,B4400,NGM Americas,D4400,NDD Americas Programming,Cuba,Cuba,2862894.73,0.7999999990000001,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0,0
2009201o,0,CU,CU,D8rective,4450,510599.90593906224,q4450,0,A9317170o1,1,1,0,Informztionn04avaipable,1,Terminating,2862894.73,B4400,NGM Americas,D4400,NDD Americas Programming,Cuba,Cuba,2862894.73,0.7999999990000001,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0,0
20082010,0,CU,CU,Di3ective,4450,798477.4531309218,S4550,0,A031617o01,1,1,0,Informarionnotavsilwbpe,1,Terminating,2862894.73,B4400,NGM Americas,D4400,NDD Americas Programming,Cuba,Cuba,2862894.73,0.7999999990000001,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0,0
20o92010,0,CU,CU,Di3ective,4450,1432524.3008779238,Se450,0,A03q617001,1,1,0,DeosrtmentofvoreiggAffa8reajdInternationaifrade,1,Terminating,2862894.73,B4400,NGM Americas,D4400,NDD Americas Programming,Cuba,Cuba,2862894.73,0.7999999990000001,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0,0
20092o10,0,CU,CU,Directivr,4450,54485.21362443446,S44t0,0,Ap32717001,1,1,0,TreaxuryBozrdSec3etaeiat,1,Terminating,2862894.73,B4400,NGM Americas,D4400,NDD Americas Programming,Cuba,Cuba,2862894.73,0.7999999990000001,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0,0
20p92010,0,CU,CU,Direct9ve,4450,1789013.297957491,S44y0,0,A0e1717091,1,1,0,DMNAGEMENT9U6AOhAISuNC,1,Terminating,2862894.73,B4400,NGM Americas,D4400,NDD Americas Programming,Cuba,Cuba,2862894.73,0.7999999990000001,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0,0
200920q0,0,CU,CU,Di5ective,4450,324913.3592194456,S44r0,0,A0317w6001,1,1,0,gargdttXploreInc,1,Terminating,2862894.73,B4400,NGM Americas,D4400,NDD Americas Programming,Cuba,Cuba,2862894.73,0.7999999990000001,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0,0
20092p10,0,CU,CU,Direc5ive,4450,6445.86311730789,x4450,0,A0w1727001,1,1,0,unformatiojnotafailabke,1,Terminating,2862894.73,B4400,NGM Americas,D4400,NDD Americas Programming,Cuba,Cuba,2862894.73,0.7999999990000001,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0,0
200p2010,0,CU,CU,D9rective,4450,852288.715397774,S445p,0,A93171i001,1,1,0,Informatiinnitzcailable,1,Terminating,2862894.73,B4400,NGM Americas,D4400,NDD Americas Programming,Cuba,Cuba,2862894.73,0.7999999990000001,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0,0
200i2010,0,CU,CU,Direvtive,4450,2309571.31913905,S445o,0,xp31717001,1,1,0,Informationm8tavzilzble,1,Terminating,2862894.73,B4400,NGM Americas,D4400,NDD Americas Programming,Cuba,Cuba,2862894.73,0.7999999990000001,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0,0
e0092010,0,CU,CU,Directivw,4450,2613571.1255168,q4450,0,A03wi17001,1,1,0,Indormatiogmotavailabl4,1,Terminating,2862894.73,B4400,NGM Americas,D4400,NDD Americas Programming,Cuba,Cuba,2862894.73,0.7999999990000001,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0,0
20092o10,0,CU,CU,Diredtive,4450,947728.7352942962,S445p,0,A03q71700q,1,1,0,rwpartmentofFor2ignAffa74aandInteenationalTrxdd,1,Terminating,2862894.73,B4400,NGM Americas,D4400,NDD Americas Programming,Cuba,Cuba,2862894.73,0.7999999990000001,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0,0
20002010,0,CU,CU,Difective,4450,14234.22252288647,S4440,0,q031717o01,1,1,0,TteasuryBosrdSecretzria6,1,Terminating,2862894.73,B4400,NGM Americas,D4400,NDD Americas Programming,Cuba,Cuba,2862894.73,0.7999999990000001,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0,0
20002010,0,CU,CU,Durective,4450,736162.4160648205,S445p,0,A03271700q,1,1,0,DMNAGEMENTpUTAkUAISuhC,1,Terminating,2862894.73,B4400,NGM Americas,D4400,NDD Americas Programming,Cuba,Cuba,2862894.73,0.7999999990000001,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0,0
10092010,0,CU,CU,Direstive,4450,224145.54510481269,S44y0,0,A031i17002,1,1,0,BarretyXplo4eIns,1,Terminating,2862894.73,B4400,NGM Americas,D4400,NDD Americas Programming,Cuba,Cuba,2862894.73,0.7999999990000001,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0,0
20082010,0,CU,CU,Dir4ctive,4450,1259604.427193303,d4450,0,q031717091,1,1,0,Informationnoyavailqhlw,1,Terminating,2862894.73,B4400,NGM Americas,D4400,NDD Americas Programming,Cuba,Cuba,2862894.73,0.7999999990000001,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0,0
10092010,0,CU,CU,Di3ective,4450,137696.58711273843,S4r50,0,A03q717p01,1,1,0,ontormatiomnotafailable,1,Terminating,2862894.73,B4400,NGM Americas,D4400,NDD Americas Programming,Cuba,Cuba,2862894.73,0.7999999990000001,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0,0
20p92010,0,CU,CU,Direct7ve,4450,221535.69108497692,St450,0,A031816001,1,1,0,Incorma5iknnotwvailable,1,Terminating,2862894.73,B4400,NGM Americas,D4400,NDD Americas Programming,Cuba,Cuba,2862894.73,0.7999999990000001,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0,0
2009201o,0,CU,CU,Directide,4450,91794.06626257766,S5450,0,A03qu17001,1,1,0,Inf9emationnotavailxblr,1,Terminating,2862894.73,B4400,NGM Americas,D4400,NDD Americas Programming,Cuba,Cuba,2862894.73,0.7999999990000001,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0,0
20092o10,0,CU,CU,Djrective,4450,441944.5375942619,S4460,0,A0317170p2,1,1,0,we0artmemtofForeignsffairsand7nternati0nalfrzxe,1,Terminating,2862894.73,B4400,NGM Americas,D4400,NDD Americas Programming,Cuba,Cuba,2862894.73,0.7999999990000001,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0,0
20p92010,0,CU,CU,Dirwctive,4450,941608.9643794505,x4450,0,A03171yp01,1,1,0,TrexsuryB0ardSecr2taria5,1,Terminating,2862894.73,B4400,NGM Americas,D4400,NDD Americas Programming,Cuba,Cuba,2862894.73,0.7999999990000001,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0,0
20992010,0,CU,CU,Direcrive,4450,660667.7233853107,Se450,0,A0317160o1,1,1,0,DkNsG2MENTOUTAOUAISIhC,1,Terminating,2862894.73,B4400,NGM Americas,D4400,NDD Americas Programming,Cuba,Cuba,2862894.73,0.7999999990000001,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0,0
20092p10,0,CU,CU,Dkrective,4450,1303650.5566251937,e4450,0,A0r1717p01,1,1,0,BarddttaploreInc,1,Terminating,2862894.73,B4400,NGM Americas,D4400,NDD Americas Programming,Cuba,Cuba,2862894.73,0.7999999990000001,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0,0
20092p10,0,CU,CU,Diredtive,4450,559818.7056173113,S4460,0,x031717091,1,1,0,Informatl0nnohavailanle,1,Terminating,2862894.73,B4400,NGM Americas,D4400,NDD Americas Programming,Cuba,Cuba,2862894.73,0.7999999990000001,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0,0
2p092010,0,CU,CU,Directjve,4450,861361.0368993679,S4459,0,A031717op1,1,1,0,Intornationnotavaioablw,1,Terminating,2862894.73,B4400,NGM Americas,D4400,NDD Americas Programming,Cuba,Cuba,2862894.73,0.7999999990000001,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0,0
20p92010,0,CU,CU,Direct9ve,4450,1442604.8635001038,w4450,0,A0rw717001,1,1,0,Inrormat7ognotavailabl3,1,Terminating,2862894.73,B4400,NGM Americas,D4400,NDD Americas Programming,Cuba,Cuba,2862894.73,0.7999999990000001,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0,0
2009q010,0,CU,CU,Dirextive,4450,1916889.890910607,S5450,0,A02171700q,1,1,0,Informatiknm9tavailabls,1,Terminating,2862894.73,B4400,NGM Americas,D4400,NDD Americas Programming,Cuba,Cuba,2862894.73,0.7999999990000001,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0,0
2p092010,0,ZM,ZM,Directide,4278,955149.3951008399,q4219,0,A0217w4001,0,0,0,Info3mationno4availsblr,2,Closed,7781946.52,B4200,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,Tanzania Program,Zambia,7781946.52,1.0,0.0,0,Uncoded: Pre-APP,1,Other PBA,0,0,0
200p2010,0,ZM,ZM,Directuve,4278,930039.8907517602,q4219,0,A932734001,0,0,0,Infodnafionnotavaipable,2,Closed,7781946.52,B4200,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,Tanzania Program,Zambia,7781946.52,1.0,0.0,0,Uncoded: Pre-APP,1,Other PBA,0,0,0
20082010,0,CA,CA,Dirextive,1026,63093.34990162423,S5145,0,q03174300t,0,0,0,IntermationxlDegdlophentResesrchsentre,1,Closed,6989767.52,B5100,MFM Global Issues and Development,D5240,MND Health&Nutrition,MNG Global Health,Global Health - POLICY,6989767.52,1.0,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0,0
29092010,0,CA,CA,Directide,1026,1283649.9357939656,S5145,0,s0r1743005,0,0,0,CxnsfianCoapitionfornlogalHeakthRrsearch,1,Closed,6989767.52,B5100,MFM Global Issues and Development,D5240,MND Health&Nutrition,MNG Global Health,Global Health - POLICY,6989767.52,1.0,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0,0
20092020,0,CA,CA,Directiv3,1037,1019677.6281634977,q1079,0,z031845007,0,0,0,vanadiahUnicefComjit6ee,1,Closed,599743.59,B5100,MFM Global Issues and Development,D5430,MED Economic Development,MES NATURAL RESOURCES & GOVERNANCE,Human Rights,0.0,1.0,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0,0
2009201o,0,CA,CA,Direcgive,1037,1033521.727161129,S1o79,0,A0w1755012,0,0,0,IIvRDInyegjatkonslInstituteforChilfRigbysandDevelolmen5,1,Operational,111087.63,B5100,MFM Global Issues and Development,D5430,MED Economic Development,MES NATURAL RESOURCES & GOVERNANCE,Human Rights,0.0,1.0,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0,0
2o092010,0,CA,CA,Difective,1037,1421083.7518835654,S1070,0,A03174yp18,0,0,0,9lahInternatilnwlCanadaIncPlamCxnaca,1,Terminating,151046.05,B5100,MFM Global Issues and Development,D5430,MED Economic Development,MES NATURAL RESOURCES & GOVERNANCE,Human Rights,0.0,1.0,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0,0
20o92010,0,X4,X4,Rssponsivw,1012,1626272.426475276,S107o,0,A93w745022,0,0,0,OrgznisatiobdedooprqhionetdeDveloppementcobomu1u4,5,Terminating,1200000.0,B5100,MFM Global Issues and Development,D5430,MED Economic Development,MES NATURAL RESOURCES & GOVERNANCE,NATURAL RESOURCES & GOVERNANCE - POLICY,1200000.0,1.0,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0,0
200920q0,0,CA,CA,Directivs,1014,320731.09377612383,w1014,0,z0317460o6,0,0,0,Organisati0ndeClopration4tdeDvellppekentclhomiqjf,1,Closed,4390237.0,B1000,PFM Strategic Policy,D1035,PVD Development Policy,International Strategy & Donor Relations,International Strategy & Donor Relations,0.0,1.0,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0,0
2o092010,0,CA,CA,Directlve,1014,452936.7859542566,S1024,0,A93174600i,0,0,0,UNcPUnigfdNationsDevdlopnentPrpgfamme,1,Closed,255000.0,B1000,PFM Strategic Policy,D1035,PVD Development Policy,International Strategy & Donor Relations,International Strategy & Donor Relations,0.0,1.0,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0,0
20o92010,0,CA,CA,Direc6ive,1048,2808213.3865233865,S104i,0,A03174o011,0,0,0,McGillUnuversifyThftpywlInstitu6ionfor,1,Closed,2155013.78,B1000,PFM Strategic Policy,D1035,PVD Development Policy,Policy Research,Policy Research,0.0,1.0,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0,0
20002010,0,CA,CA,wirective,1015,1035075.6405436655,e1077,0,Ap31751905,0,0,0,kNSTI5UTEOFDEVwLOPhENTeTUDIES,1,Operational,574339.0,B5100,MFM Global Issues and Development,D5440,MGD Social Development,MGS Education Child Protection&Gender,"Educ, Child Protect & Gender Equal - POL",0.0,1.0,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0,0
30092010,0,CA,CA,Dirsctive,1015,1387385.994796956,S1076,0,q931751005,0,0,0,ChildrsnYouthasPead3b7ulders,1,Operational,574339.0,B5100,MFM Global Issues and Development,D5440,MGD Social Development,MGS Education Child Protection&Gender,"Educ, Child Protect & Gender Equal - POL",0.0,1.0,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0,0
2009201o,0,CA,CA,Direct7ve,1015,495176.3011018641,S1076,0,w03175w014,0,0,0,GensrratWork,1,Closed,391469.85,B5100,MFM Global Issues and Development,D5440,MGD Social Development,MGS Education Child Protection&Gender,"Educ, Child Protect & Gender Equal - POL",0.0,1.0,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0,0
20992010,0,CA,CA,Directide,1008,1189065.407520786,S1p08,0,A03174701o,0,0,0,WorldBahk,1,Closed,1082300.0,B1000,PFM Strategic Policy,D1035,PVD Development Policy,Economic Analysis,Economic Analysis,0.0,1.0,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0,0
20092o10,0,CA,CA,xirective,1029,232646.0061601093,S101p,0,s0317t9007,0,0,0,McGillUnlversityTh4Roywk8bstitutiknfor,1,Terminating,448930.97,B1000,PFM Strategic Policy,D1035,PVD Development Policy,*Environment Section,*Environment Program,0.0,1.0,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0,0
20082010,0,CA,CA,Directlve,1029,1989334.8701634866,S1o10,0,A03q759p10,0,0,0,dECRETAgkATlNTERNATIONAoFRANCOPHiN4POURLVALUxTIpN,1,Terminating,878552.93,B1000,PFM Strategic Policy,D1035,PVD Development Policy,*Environment Section,*Environment Program,0.0,1.0,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0,0
200p2010,0,X1,X1,Res9onsiv2,1029,725833.5973277371,S10w0,0,A031649013,0,0,0,TjelntdrnationzpLandCoalition,2,Closed,80000.0,B1000,PFM Strategic Policy,D1035,PVD Development Policy,*Environment Section,*Environment Program,80000.0,1.0,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0,0
20082010,0,X2,X2,Respohsice,1029,850584.9221263287,S1910,0,Ap31759913,0,0,0,ThrInternatiomaiLanwCoalitoon,1,Closed,80000.0,B1000,PFM Strategic Policy,D1035,PVD Development Policy,*Environment Section,*Environment Program,80000.0,1.0,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0,0
20092020,0,X3,X3,desponsivw,1029,53354.240516844846,S101p,0,z031y59013,0,0,0,gheImte3nationalLandCoaiitikn,3,Closed,80000.0,B1000,PFM Strategic Policy,D1035,PVD Development Policy,*Environment Section,*Environment Program,80000.0,1.0,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0,0
2009201p,0,X1,X1,Resp9jsive,1049,1407050.5942363674,a5434,0,A031859o14,0,0,0,7nrernationalLaw6eesandfcojomistsAfq7nstPoverty,2,Terminating,500000.0,B5100,MFM Global Issues and Development,D5430,MED Economic Development,MEF ECONOMIC GROWTH AND IFIs,Economic Growth - POLICY,500000.0,1.0,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0,0
2009201p,0,X2,X2,Rexponslve,1049,2089259.7008900924,q5434,0,A031y58014,0,0,0,InternatjonqlLqwgrrsajdEc8n8mistsAgaimstPoverty,1,Terminating,500000.0,B5100,MFM Global Issues and Development,D5430,MED Economic Development,MEF ECONOMIC GROWTH AND IFIs,Economic Growth - POLICY,500000.0,1.0,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0,0
20082010,0,CA,CA,Dirwctive,1056,1512041.5968961294,Sw077,0,A0w1772905,0,0,0,CODE,1,Closed,224625.54,B5100,MFM Global Issues and Development,D5440,MGD Social Development,MGS Education Child Protection&Gender,Education - General,0.0,1.0,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0,0
20992010,0,EG,EG,virective,4263,925422.6114913146,S42y6,0,x031773901,0,0,0,DepartmentpfForeighAffairsahcInternxti9nslTfxde,2,Terminating,4478731.9,B3100,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,Middle East and North Africa,Egypt,4478731.9,1.0,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0,0
20092019,0,EG,EG,Directice,4263,38570.80974399985,S425y,0,A031y730o1,0,0,0,yAtRYACkMBERCOMBERASSOxoATESCONS6kTING,2,Terminating,4478731.9,B3100,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,Middle East and North Africa,Egypt,4478731.9,1.0,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0,0
2009201o,0,EG,EG,Directkve,4263,1282016.0015451573,S4246,0,A031u7300q,0,0,0,TueUniversaliajxjagementfrou0Inc,2,Terminating,4478731.9,B3100,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,Middle East and North Africa,Egypt,4478731.9,1.0,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0,0
20p92010,0,EG,EG,D9rective,4263,412943.58613293257,S425t,0,x031773091,0,0,0,Informationnkfavaioabl3,2,Terminating,4478731.9,B3100,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,Middle East and North Africa,Egypt,4478731.9,1.0,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0,0
q0092010,0,EG,EG,Dlrective,4263,239714.91950001393,Se256,0,A031773op1,0,0,0,jnformatiomnotsvsilable,2,Terminating,4478731.9,B3100,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,Middle East and North Africa,Egypt,4478731.9,1.0,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0,0
20092019,0,EG,EG,Directivr,4263,2787505.655853213,S4q56,0,A0w1773p01,0,0,0,DepartmentofgpreifnAffairssndIntegnatkpbalTeade,2,Terminating,4478731.9,B3100,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,Middle East and North Africa,Egypt,4478731.9,1.0,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0,0
20p92010,0,EG,EG,Directife,4263,940149.0813558653,S42r6,0,A031y73002,0,0,0,GARRYAxOMBEdCOMBERASS8CIATESCOje8LTINh,2,Terminating,4478731.9,B3100,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,Middle East and North Africa,Egypt,4478731.9,1.0,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0,0
2p092010,0,EG,EG,Dorective,4263,2106327.881573944,q4256,0,A0w1y73001,0,0,0,TheUhifersaliananqgementG30upInc,2,Terminating,4478731.9,B3100,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,Middle East and North Africa,Egypt,4478731.9,1.0,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0,0
2009201o,0,EG,EG,Directige,4263,1509177.0159100625,a4256,0,w031773o01,0,0,0,8nformatiognotavailabid,2,Terminating,4478731.9,B3100,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,Middle East and North Africa,Egypt,4478731.9,1.0,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0,0
20p92010,0,EG,EG,Directige,4263,215860.34775710627,x4256,0,A031uu3001,0,0,0,Inforjationnotsvaipaboe,2,Terminating,4478731.9,B3100,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,Middle East and North Africa,Egypt,4478731.9,1.0,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0,0
2p092010,0,EG,EG,Dirextive,4263,162514.10856428553,S42r6,0,z03q773001,0,0,0,vepzrtmentofvkreignAffairsanc9nternstionaiTradr,2,Terminating,4478731.9,B3100,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,Middle East and North Africa,Egypt,4478731.9,1.0,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0,0
20p92010,0,EG,EG,Directice,4263,2212240.0989718977,Se256,0,z0e1773001,0,0,0,GqRRYACOjBERC0jBERASeOCIATESCONahLTING,2,Terminating,4478731.9,B3100,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,Middle East and North Africa,Egypt,4478731.9,1.0,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0,0
200920q0,0,EG,EG,Directibe,4263,17139.299077480915,S42r6,0,A93q773001,0,0,0,TheUhiverdaoiaMznxgementGrouoInc,2,Terminating,4478731.9,B3100,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,Middle East and North Africa,Egypt,4478731.9,1.0,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0,0
200p2010,0,EG,EG,Ditective,4263,515911.40120464505,S4266,0,A0317i3002,0,0,0,Informa5i0nnotava7lafle,2,Terminating,4478731.9,B3100,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,Middle East and North Africa,Egypt,4478731.9,1.0,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0,0
200920w0,0,EG,EG,Directide,4263,1186888.8371410042,S425y,0,A0r1773091,0,0,0,Igformarionnotavaipabls,2,Terminating,4478731.9,B3100,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,Middle East and North Africa,Egypt,4478731.9,1.0,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0,0
w0092010,0,CU,CU,Directivw,4452,3155419.646676061,S4t49,0,A03q785092,0,1,0,DepartmegtofeoreiggwfeaiesandIntetna6ionalTeade,1,Terminating,3757126.03,B4400,NGM Americas,D4400,NDD Americas Programming,Ha�ti & Dominican Republic Section,Haiti,0.0,1.0,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0,0
20092020,0,CU,CU,Directife,4452,1349703.0093859546,a4449,0,A031785oo2,0,1,0,CRdSogemaIns,1,Terminating,3757126.03,B4400,NGM Americas,D4400,NDD Americas Programming,Ha�ti & Dominican Republic Section,Haiti,0.0,1.0,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0,0
q0092010,0,CU,CU,Direcyive,4452,303544.8401881854,x4449,0,A0e17850p2,0,1,0,GeptacticIgc,1,Terminating,3757126.03,B4400,NGM Americas,D4400,NDD Americas Programming,Ha�ti & Dominican Republic Section,Haiti,0.0,1.0,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0,0
29092010,0,CU,CU,Directlve,4452,2505624.398448191,St449,0,A031785pp2,0,1,0,EDSIN4ER,1,Terminating,3757126.03,B4400,NGM Americas,D4400,NDD Americas Programming,Ha�ti & Dominican Republic Section,Haiti,0.0,1.0,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0,0
