assays_ASI,assays_CURAB,assays_Ti,assays_ASSTI,assays_ASSCA,assays_Descr,assays_RELATT,assays_CONSC,assays_SRI,assays_SASSI,assays_CHI,assays_CI,assays_BAFO,assays_TII,assays_VAI
834,Autocuration,10576,Hippocampus,,Binding affinity to 5-hydroxytryptamine 1A receptor in rat hippocampus using [3H]-8-OH- DPAT as radioligand,H,8,1,,CHEMBL615834,,BAO_0000221,10000000.0,
835,Intermediate,10576,,,Binding affinity against 5-hydroxytryptamine 1A (5-HT1A) receptor in rat hippocampus membranes,H,8,1,,CHEMBL615835,,BAO_0000249,,
836,Autocuration,10576,Hippocampus,,Binding affinity was measured at the serotonin 5-hydroxytryptamine 1A receptor using [3H]8-OH-DPAT as radioligand in rat hippocampal membrane.,H,8,1,,CHEMBL615836,,BAO_0000249,10000000.0,
837,Expert,10576,,,Binding affinity to 5-hydroxytryptamine 1A receptor in the rat brain using [3H]8-hydroxy-2-(di-n-propylamine)tetralin as radioligand.,D,9,1,,CHEMBL615837,,BAO_0000019,,
838,Expert,10576,,,Binding affinity to 5-hydroxytryptamine 1A receptor in the rat brain using [3H]8-hydroxy-2-(di-n-propylamine)tetralin as radioligand; ND-Not determined,D,9,1,,CHEMBL615838,,BAO_0000019,,
839,Expert,10576,,,"Binding affinity to 5-hydroxytryptamine 1A receptor in rat hippocampus membranes,3H-8-OH-DPAT and buspirone for nonspecific binding (NSB)",H,8,1,,CHEMBL615839,,BAO_0000249,,
840,Autocuration,10576,,,Compound was evaluated for binding affinity towards 5-hydroxytryptamine 1A receptor in rat cortex using [3H]-8-OH-DPAT as radioligand,H,8,1,,CHEMBL884525,,BAO_0000019,,
841,Autocuration,10576,,,Compound was evaluated for its ability to displace [3H]8-OH-DPAT from serotonin 5-hydroxytryptamine 1A receptor in rat cerebral cortex membranes,H,8,1,,CHEMBL615840,,BAO_0000249,,
842,Expert,10576,Hippocampus,,Displacement of [3H]8-OH-DPAT from 5-hydroxytryptamine 1A receptor in rat hippocampus,H,8,1,,CHEMBL615405,,BAO_0000221,10000000.0,
843,Expert,10576,,,Binding affinity towards 5-hydroxytryptamine 1A receptor in rat frontal cortex using [125I]iodocyanopindolol as radio-ligand.,H,8,1,,CHEMBL615406,,BAO_0000019,,
844,Expert,10576,Hippocampus,,Affinity for 5-hydroxytryptamine 1A receptor labeled with [3H]8-OH-DPAT radioligand in hippocampus tissue,H,8,1,,CHEMBL615900,,BAO_0000221,10000000.0,
845,Expert,10576,Hippocampus,,Inhibition of [3H]8-OH-DPAT binding at serotonin 5-hydroxytryptamine 1A receptor from rat hippocampus tissue.,H,8,1,,CHEMBL615901,,BAO_0000221,10000000.0,
846,Expert,10576,,,In vitro inhibition of [3H]8-OH-DPAT binding to rat 5-HT 1a receptors.,H,8,1,,CHEMBL615902,,BAO_0000357,,
847,Autocuration,10576,Hippocampus,,Compound was measured for affinity at 5-hydroxytryptamine 1A receptor labeled with [3H]8-OH-DPAT radioligand in hippocampus tissue,H,8,1,,CHEMBL615903,,BAO_0000221,10000000.0,
848,Autocuration,10576,,,Concentration necessary to achieve half maximal inhibition of [3H]8-Hydroxy-2-(di-n-propylamino)tetralin binding to 5-hydroxytryptamine 1A receptor<br>at 1 uM,H,8,1,,CHEMBL615904,,BAO_0000357,,
849,Expert,10576,,,Concentration necessary to achieve half maximal inhibition of [3H]8-Hydroxy-2-(di-n-propylamino)tetralin binding to 5-hydroxytryptamine 1A receptor at 1 uM,H,8,1,,CHEMBL615905,,BAO_0000357,,
850,Autocuration,10576,,,In vitro Inhibitory activity tested at 5-hydroxytryptamine 1A receptor binding site in rat,H,8,1,,CHEMBL615906,,BAO_0000019,,
851,Autocuration,10576,,,In vitro Inhibitory activity tested at 5-hydroxytryptamine 1A receptor binding site in rat,H,8,1,,CHEMBL615907,,BAO_0000019,,
852,Expert,10576,,,In vitro ability to inhibit binding of radioligand [3H]8-OH-DPAT to 5-hydroxytryptamine 1A receptor in rat cerebral cortex,H,8,1,,CHEMBL615908,,BAO_0000019,,
853,Autocuration,10576,Hippocampus,,In vitro affinity against 5-hydroxytryptamine 1A receptor using [3H]-8-OH-DPAT in rat hippocampus,H,8,1,,CHEMBL615909,,BAO_0000221,10000000.0,
854,Autocuration,10576,,,"In vitro binding activity against 5-hydroxytryptamine 1A receptor from homogenized rat brain, using [3H]-8-OH-DPAT as the radioligand",H,8,1,,CHEMBL615910,,BAO_0000019,,
855,Autocuration,10576,,,"In vitro binding activity against 5-hydroxytryptamine 1A receptor from homogenized rat brain, using [3H]8-OH-DPAT as the radioligand.",H,8,1,,CHEMBL615911,,BAO_0000019,,
856,Autocuration,10576,,,"In vitro binding activity against 5-hydroxytryptamine 1A receptor from homogenized rat brain, using [3H]8-OH-DPAT as the radioligand",H,8,1,,CHEMBL615912,,BAO_0000019,,
857,Expert,10576,,,In vitro binding affinity for serotonin 5-hydroxytryptamine 1A receptor fof rat cerebral cortex using [3H]8-OH-DPAT as radioligand,H,8,1,,CHEMBL615913,,BAO_0000019,,
858,Expert,10576,,,In vitro binding affinity measured on serotonin 5-hydroxytryptamine 1A receptor using [3H]8-OH-DPAT as radioligand.,H,8,1,,CHEMBL615914,,BAO_0000357,,
859,Autocuration,10576,Hippocampus,,In vitro binding affinity to 5-hydroxytryptamine 1A receptor using [125I](R)-(+)-trans-8-OH-PIPAT as radioligand in rat hippocampal homogenate,H,8,1,,CHEMBL615915,,BAO_0000221,10000000.0,
860,Autocuration,10576,,,In vitro binding affinity towards the 5-hydroxytryptamine 1A receptor was evaluated,H,8,1,,CHEMBL615916,,BAO_0000357,,
861,Expert,10576,,,In vitro binding affinity was measured on serotonergic 5-hydroxytryptamine 1A receptor by displacement of [3H]- tetralin,H,8,1,,CHEMBL615917,,BAO_0000357,,
862,Expert,10576,,,In vitro inhibitory activity against [3H]8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor,H,8,1,,CHEMBL615918,,BAO_0000357,,
863,Expert,10576,Hippocampus,,In vitro inhibitory concentration against radioligand [3H]8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor in rat hippocampal membrane.,H,8,1,,CHEMBL615919,,BAO_0000249,10000000.0,
864,Expert,10576,Hippocampus,,In vitro radioligand binding assay on 5-hydroxytryptamine 1A receptor using [3H]8-OH-DPAT in rat hippocampus,D,9,1,,CHEMBL615920,,BAO_0000221,10000000.0,
865,Autocuration,10576,,,Inhibition concentration against 5-hydroxytryptamine 1A receptor,H,8,1,,CHEMBL615921,,BAO_0000357,,
866,Expert,10576,,,Inhibitory concentration against 5-hydroxytryptamine 1A receptor (Inactive at >1000 nM concentration),H,8,1,,CHEMBL615922,,BAO_0000357,,
867,Expert,10576,,,"Inhibition of (+)-8-OH-DPAT stimulated [35S]GTP-gamma-S, binding to 5-hydroxytryptamine 1A receptor in hippocampal membranes",D,9,1,,CHEMBL881290,,BAO_0000249,,
868,Autocuration,10576,Hippocampus,,"Inhibition of [3H]8-hydroxy-2-dipropylamino-1,2,3,4-tetrahydronaphthalene binding to 5-hydroxytryptamine 1A receptor in hippocampus region of rat brain; Residual radioligand binding higher than 50%",H,8,1,,CHEMBL615923,,BAO_0000221,10000000.0,
869,Autocuration,10576,Hippocampus,,Inhibition of forskolin-activated adenylate cyclase (cAMP) activity at 5-hydroxytryptamine 1A receptor in rat hippocampus,H,8,1,,CHEMBL615924,,BAO_0000221,10000000.0,
870,Autocuration,10576,Hippocampus,,Inhibition of forskolin-activated adenylate cyclase (cAMP) activity at 5-hydroxytryptamine 1A receptor in rat hippocampus,H,8,1,,CHEMBL615925,,BAO_0000221,10000000.0,
871,Expert,10576,,,Inhibition of radiolabeled [3H]-8-OH-DPAT ligand binding to 5-hydroxytryptamine 1A receptor,D,9,1,,CHEMBL615926,,BAO_0000357,,
872,Expert,10576,,,Displacement of [3H]8-OH-DPAT from rat cortex 5-hydroxytryptamine 1A receptor,D,9,1,,CHEMBL615927,,BAO_0000019,,
873,Autocuration,10576,Hippocampus,,Inhibitory activity against 5-hydroxytryptamine 1A receptor of rat hippocampal homogenates,H,8,1,,CHEMBL615928,,BAO_0000221,10000000.0,
874,Expert,10576,,,Inhibitory activity against 5-hydroxytryptamine 1A receptor subtype,D,9,1,,CHEMBL615929,,BAO_0000357,,
875,Autocuration,10576,Hippocampus,,Inhibitory activity against [3H]DPAT binding to 5-HT1A receptor in rat hippocampus,H,8,1,,CHEMBL615930,,BAO_0000221,10000000.0,
876,Autocuration,51,,,Inhibition concentration against 5-hydroxytryptamine 1A receptor using cAMP as radioligand in CHO cells,H,8,1,,CHEMBL615931,449.0,BAO_0000219,,
877,Autocuration,51,,,Inhibition concentration against binding of radioligand [35S]GTP-gamma-S in CHO cells expressing 5-hydroxytryptamine 1A receptor,H,8,1,,CHEMBL615932,449.0,BAO_0000219,,
878,Autocuration,51,,,Inhibition concentration against binding of radioligand [35S]GTP-gamma-S in CHO cells expressing 5-hydroxytryptamine 1A receptor,H,8,1,,CHEMBL615933,449.0,BAO_0000219,,
879,Autocuration,51,,,Inhibition of [3H]- 8-OH-DAPT binding against human recombinant 5-hydroxytryptamine 1A receptor,H,8,1,,CHEMBL615934,,BAO_0000357,,
880,Autocuration,51,,,The binding affinity at the 5-hydroxytryptamine 1A receptor determined using [3H]5-CT; Not tested,H,8,1,,CHEMBL615935,,BAO_0000357,,
881,Autocuration,51,,,"Agonistic activity of compound towards 5-hydroxytryptamine 1A receptor was evaluated by [35S]GTP-gamma-S, stimulated cAMP assay",H,8,1,,CHEMBL615936,,BAO_0000019,,
882,Autocuration,51,,,Ability to displace [3H]-8-OH-DPAT from CHO cells stably transfected with human 5-hydroxytryptamine 1A receptor at a concentration of 1 uM,H,8,1,,CHEMBL615937,449.0,BAO_0000219,,
883,Autocuration,51,,,Compound at 1 uM was tested for the inhibition of radioligand [3H]8-OH-DPAT binding to recombinant human 5-hydroxytryptamine 1A receptor,H,8,1,,CHEMBL615938,,BAO_0000357,,
884,Autocuration,51,,,In vitro binding affinity against human 5-hydroxytryptamine 1A receptor at a concentration of 100 (nM),H,8,1,,CHEMBL615797,,BAO_0000357,,
885,Autocuration,51,,,In vitro binding affinity towards 5-hydroxytryptamine 1A receptor using [3H]8-OH-DPAT as radioligand,H,8,1,,CHEMBL615798,,BAO_0000357,,
886,Autocuration,51,,,Inhibition of [3H]8-OH-DPAT binding to human 5-hydroxytryptamine 1A receptor at 1000 nM compound concentration,H,8,1,,CHEMBL872870,,BAO_0000357,,
887,Autocuration,51,,,Inhibitory activity against 5-hydroxytryptamine 1A receptor using [3H]-8-OH-DPAT as radioligand at 100 nM concentration,H,8,1,,CHEMBL615799,,BAO_0000357,,
888,Autocuration,51,,,Percent binding affinity against 5-hydroxytryptamine 1A receptor,H,8,1,,CHEMBL615800,,BAO_0000357,,
889,Autocuration,51,,,Intrinsic activity for human 5-hydroxytryptamine 1A receptors HEK 293 cell membranes using [35S]GTP gamma-S,H,8,1,,CHEMBL615801,722.0,BAO_0000219,,
890,Autocuration,51,,,Binding affinity against 5-hydroxytryptamine 1 receptor using rabbit jugular vein assay in the absence of endothelium,H,8,1,,CHEMBL615802,,BAO_0000019,,
891,Autocuration,51,,,Dissociation constant against human 5-hydroxytryptamine 1A receptor receptor,H,8,1,,CHEMBL615803,,BAO_0000357,,
892,Expert,51,,,"Inhibition of 5-HT induced [35S]GTP-gamma-S, binding at human cloned 5-HT 1A receptors.",H,8,1,,CHEMBL835002,,BAO_0000019,,
893,Autocuration,51,,,"5-hydroxytryptamine 1A receptor antagonism was evaluated by the ability to inhibit [35S]GTP-gamma-S, binding that was induced by 5-HT; Ki (nM): not determined",H,8,1,,CHEMBL615804,,BAO_0000019,,
894,Expert,51,,,Ability to displace [3H]5-CT (2.0 nM) from HeLa cells of human 5-hydroxytryptamine 1A receptor,H,8,1,,CHEMBL615805,308.0,BAO_0000219,,
895,Autocuration,51,,,Ability to displace [3H]8-OH-DPAT from CHO cells stably transfected with human 5-hydroxytryptamine 1A receptor,H,8,1,,CHEMBL615806,449.0,BAO_0000219,,
896,Expert,51,,,Affinity towards human 5-hydroxytryptamine 1A serotonin receptor,D,9,1,,CHEMBL615807,,BAO_0000357,,
897,Autocuration,51,,,Binding affinity towards human 5-hydroxytryptamine 1A receptor was determined using [3H]8-OH-DPAT-as radioligand,H,8,1,,CHEMBL615808,,BAO_0000357,,
898,Expert,51,,,Binding affinity against 5-hydroxytryptamine 1A receptor,D,9,1,,CHEMBL615809,,BAO_0000357,,
899,Autocuration,51,,,Binding affinity against 5-hydroxytryptamine 1A receptor in HeLa cells was determined using [3H]5-HT,H,8,1,,CHEMBL615810,308.0,BAO_0000219,,
900,Autocuration,51,,,Binding affinity against 5-hydroxytryptamine 1A receptor using [3H]8-OH-DPAT as radioligand,H,8,1,,CHEMBL615811,,BAO_0000357,,
901,Autocuration,51,,,Binding affinity against [3H]- -8-OH-DPAT -labeled 5-hydroxytryptamine 1A sites in cloned CHO cells,H,8,1,,CHEMBL615812,449.0,BAO_0000219,,
902,Autocuration,51,,,Binding affinity against [3H]8-OH-DPAT-labeled 5-hydroxytryptamine 1A receptor sites in cloned CHO cells,H,8,1,,CHEMBL615751,449.0,BAO_0000219,,
903,Autocuration,51,,,Binding affinity against human 5-hydroxytryptamine 1A receptor,H,8,1,,CHEMBL615752,,BAO_0000357,,
904,Expert,51,,,Binding affinity against human 5-hydroxytryptamine 1A receptor in CHO cells labeled with [3H]8-OH-DPAT radioligand,H,8,1,,CHEMBL615753,449.0,BAO_0000219,,
905,Autocuration,51,,,Binding affinity against human 5-hydroxytryptamine 1A receptor in CHO cells labeled with [3H]8-OH-DPAT radioligand; nd=not determined,H,8,1,,CHEMBL615754,449.0,BAO_0000219,,
906,Autocuration,51,,,Binding affinity of compound to human 5-hydroxytryptamine 1A receptor,H,8,1,,CHEMBL615755,,BAO_0000357,,
907,Expert,51,,,Displacement of [3H]8-OH-DPAT from human 5-hydroxytryptamine 1A receptor expressed in CHO cells,D,9,1,,CHEMBL615756,449.0,BAO_0000219,,
908,Autocuration,51,,,Binding affinity for 5-hydroxytryptamine 1A receptor in HeLa transfected cell type using [3H]8-OH-DPAT as radioligand,H,8,1,,CHEMBL615757,,BAO_0000019,,
909,Autocuration,51,,,Binding affinity towards cloned human 5-hydroxytryptamine 1A receptor was determined,H,8,1,,CHEMBL615758,,BAO_0000357,,
910,Expert,51,,,In vitro affinity at human cloned 5-hydroxytryptamine 1A receptor by [3H]8-OH-DPAT displacement.,H,8,1,,CHEMBL615759,,BAO_0000357,,
911,Autocuration,51,,,Binding affinity towards human 5-hydroxytryptamine 1A receptor,H,8,1,,CHEMBL615760,,BAO_0000357,,
912,Expert,51,,,Binding affinity towards human 5-hydroxytryptamine 1A receptor by the displacement of [3H]5-HT radioligand from the cloned receptor expressed in HeLa cells,H,8,1,,CHEMBL615761,308.0,BAO_0000219,,
913,Autocuration,51,,,Binding affinity towards human 5-hydroxytryptamine 1A receptor was determined using [3H]-5-HT as radioligand,H,8,1,,CHEMBL872104,,BAO_0000357,,
914,Autocuration,51,,,Binding affinity towards recombinant human 5-hydroxytryptamine 1A receptor was determined using [3H]8-OH-DPAT as radioligand,H,8,1,,CHEMBL615762,,BAO_0000357,,
915,Autocuration,51,,,Binding affinity towards recombinant human Compound at 1 uM was tested for the inhibition of radioligand [3H]8-OH-DPAT binding to recombinant human 5-hydroxytryptamine 1A receptor was determined using [3H]8-OH-DPAT as radioligand,H,8,1,,CHEMBL615763,,BAO_0000357,,
916,Autocuration,51,,,Binding affinity for recombinant human 5-hydroxytryptamine 1A receptor using [3H]5-HT as radioligand.,H,8,1,,CHEMBL615764,,BAO_0000357,,
917,Autocuration,51,,,Binding affinity on human cloned 5-hydroxytryptamine 1A receptor transfected in human cell lines (He La),H,8,1,,CHEMBL615765,1167.0,BAO_0000219,,
918,Autocuration,51,,,Binding affinity on human cloned 5-hydroxytryptamine 1A receptor transfected in human cell lines(He La),H,8,1,,CHEMBL615766,,BAO_0000019,,
919,Autocuration,51,,,Binding affinity towards 5-HT1A receptor using [3H]8-OH-DPAT as radioligand,H,8,1,,CHEMBL615767,,BAO_0000357,,
920,Expert,51,,,Binding affinity was determined towards 5-hydroxytryptamine 1A receptor using [3H]8-OH-DPAT as radioligand,H,8,1,,CHEMBL615768,,BAO_0000357,,
921,Autocuration,51,,,Binding affinity towards 5-hydroxytryptamine 1A receptor using [3H]8-OH-DPAT as radioligand,H,8,1,,CHEMBL615769,,BAO_0000357,,
922,Expert,51,,,Binding affinity was evaluated at 5-hydroxytryptamine 1A receptor labeled with [3H]-8-OH-DPAT,H,8,1,,CHEMBL615770,,BAO_0000357,,
923,Autocuration,51,,,Binding affinity was evaluated at human recombinant 5-hydroxytryptamine 1A receptor using [3H]8-OH-DPAT as radioligand,H,8,1,,CHEMBL615771,,BAO_0000357,,
924,Expert,51,,,Binding affinity to human 5-hydroxytryptamine 1A receptor was measured using [3H]-8-hydroxy-2-(di-n-propylamine) tetraline [3H]8-OH-DPAT) as radioligand,H,8,1,,CHEMBL615772,,BAO_0000357,,
925,Autocuration,51,,,Binding affinity towards 5-hydroxytryptamine 1A receptor,H,8,1,,CHEMBL615773,,BAO_0000357,,
926,Expert,51,,,Binding affinity towards 5-hydroxytryptamine 1A receptor in human using [3H]8-OH-DPAT as radioligand,H,8,1,,CHEMBL615774,,BAO_0000357,,
927,Autocuration,51,,,Binding affinity towards 5-hydroxytryptamine 1A receptor using [3H]8-OH-DPAT as radioligand,H,8,1,,CHEMBL615775,,BAO_0000357,,
928,Autocuration,51,,,Binding affinity towards cloned human 5-hydroxytryptamine 1A receptor was determined,H,8,1,,CHEMBL615776,,BAO_0000357,,
929,Expert,51,,,Binding affinity towards human cloned 5-hydroxytryptamine 1A receptor using [3H]8-OH-DPAT as radioligand,H,8,1,,CHEMBL615777,,BAO_0000357,,
930,Autocuration,51,,,Binding affinity was measured on 5-hydroxytryptamine 1A receptor in AK cells transfected with human 5-HT1A gene labeled with [3H]-8-OH-DPAT,H,8,1,,CHEMBL615778,,BAO_0000219,,
931,Expert,51,,,Binding affinity was measured on cloned Human 5-hydroxytryptamine 1A receptor which is labeled by [3H]8-OH-DPAT,D,9,1,,CHEMBL615779,,BAO_0000357,,
932,Autocuration,51,,,Binding affinity was measured on cloned human 5-hydroxytryptamine 1A receptor which is labeled by [3H]8-OH-DPAT,H,8,1,,CHEMBL615780,,BAO_0000357,,
933,Autocuration,51,,,Compound was evaluated for its binding affinity for human 5-hydroxytryptamine 1A receptor,H,8,1,,CHEMBL616298,,BAO_0000357,,
934,Autocuration,51,,,Compound was evaluated for its binding affinity towards human 5-hydroxytryptamine 1A receptor,H,8,1,,CHEMBL616299,,BAO_0000357,,
935,Autocuration,51,,,Compound was tested for binding affinity against cloned human 5-hydroxytryptamine 1A receptor expressed in CHO-K1 cells.,H,8,1,,CHEMBL616300,485.0,BAO_0000219,,
936,Expert,51,,,Ability to inhibit the forskolin-stimulated c-AMP formation mediated by human 5-hydroxytryptamine 1A receptor in CHO-K1 cells,H,8,1,,CHEMBL616301,485.0,BAO_0000219,,
937,Autocuration,51,,,In vitro inhibition of [3H]- 8-OH-DPAT binding to cloned cell line containing human 5-hydroxytryptamine 1A receptor,H,8,1,,CHEMBL616302,,BAO_0000019,,
938,Autocuration,51,,,In vitro inhibition of [3H]- 8-OH-DPAT binding to cloned cell line containing human 5-hydroxytryptamine 1A receptor (Experiment 1),H,8,1,,CHEMBL616117,,BAO_0000019,,
939,Autocuration,51,,,In vitro inhibition of [3H]- 8-OH-DPAT binding to cloned cell line containing human 5-hydroxytryptamine 1A receptor (Experiment 2),H,8,1,,CHEMBL616118,,BAO_0000019,,
940,Autocuration,51,,,In vitro inhibition of [3H]- 8-OH-DPAT binding to cloned cell line containing human 5-hydroxytryptamine 1A receptor by Panlabs assay,H,8,1,,CHEMBL616119,,BAO_0000019,,
941,Expert,51,,,Displacement of specific [3H]- 5-HT binding to cloned human 5-hydroxytryptamine 1A receptor stably expressed in HeLa cells,D,9,1,,CHEMBL616120,308.0,BAO_0000219,,
942,Autocuration,51,,,Evaluated for the binding constant at [3H]8-OH-DPAT-labeled human 5-hydroxytryptamine 1A receptor,H,8,1,,CHEMBL616121,,BAO_0000357,,
943,Autocuration,51,,,Evaluated for the binding constant at [3H]8-OH-DPAT-labeled human 5-hydroxytryptamine 1A receptor receptor,H,8,1,,CHEMBL616122,,BAO_0000357,,
944,Autocuration,51,,,In vitro binding affinity tested on human 5-hydroxytryptamine 1A receptor,H,8,1,,CHEMBL616123,,BAO_0000357,,
945,Expert,51,,,In vitro binding affinity to human 5-hydroxytryptamine 1A receptor,D,9,1,,CHEMBL616124,,BAO_0000357,,
946,Expert,51,,,In vitro binding affinity at 5-hydroxytryptamine 1A receptor by [3H]8-OH-DPAT displacement.,H,8,1,,CHEMBL616125,,BAO_0000357,,
947,Expert,51,,,In vitro binding affinity towards Human 5-hydroxytryptamine 1A receptor by the displacement of [3H]8-OH-DPAT,H,8,1,,CHEMBL616126,,BAO_0000357,,
948,Autocuration,51,,,In vitro binding affinity towards cloned human 5-hydroxytryptamine 1A receptor expressed in Chinese hamster ovary (CHO) cells using [3H]8-OH-DPAT as radioligand,H,8,1,,CHEMBL616127,449.0,BAO_0000219,,
949,Expert,51,,,In vitro binding affinity by radioligand binding assay using cell line expressing human 5-hydroxytryptamine 1A receptor,H,8,1,,CHEMBL616128,,BAO_0000019,,
950,Autocuration,51,,,In vitro binding affinity was determined towards cloned human 5-hydroxytryptamine 1A receptor using [3H]8-OH-DPAT radioligand,H,8,1,,CHEMBL616129,,BAO_0000357,,
951,Expert,51,,,In vitro receptor binding affinity for cloned human 5-hydroxytryptamine 1A receptor,H,8,1,,CHEMBL616130,,BAO_0000357,,
952,Autocuration,51,,,Inhibition of [3H]- OH-DPAT binding against 5-hydroxytryptamine 1A receptor from human recombinant,H,8,1,,CHEMBL616131,,BAO_0000357,,
953,Autocuration,51,,,Inhibition of [3H]8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor serotonergic receptor in human HeLa cells,H,8,1,,CHEMBL616132,308.0,BAO_0000219,,
954,Expert,51,,,Receptor binding affinity for cloned human 5-hydroxytryptamine 1A receptor in HeLa cells,D,9,1,,CHEMBL616133,308.0,BAO_0000219,,
955,Autocuration,51,,,Tested in vitro for its ability to bind to 5-hydroxytryptamine 1A receptor using [3H]8-OH-DPAT as radioligand,H,8,1,,CHEMBL616134,,BAO_0000357,,
956,Autocuration,51,,,The binding affinity at the 5-hydroxytryptamine 1A receptor determined using [3H]5-CT,H,8,1,,CHEMBL616135,,BAO_0000357,,
957,Expert,51,,,Affinity for 5-hydroxytryptamine 1A receptor subtype,D,9,1,,CHEMBL616136,,BAO_0000357,,
958,Autocuration,51,,,The compound was tested for CNS binding affinity towards 5-hydroxytryptamine 1A receptor from cloned Human membranes,H,8,1,,CHEMBL616137,,BAO_0000019,,
959,Autocuration,51,,,The compound was tested for CNS binding affinity towards 5-hydroxytryptamine 1A receptor from cloned Human membranes.,H,8,1,,CHEMBL872105,,BAO_0000019,,
960,Autocuration,51,,,The compound was tested for binding affinity against 5-hydroxytryptamine 1A receptor receptor,H,8,1,,CHEMBL616138,,BAO_0000357,,
961,Expert,51,,,Binding affinity for cloned human 5-hydroxytryptamine 1A receptor,D,9,1,,CHEMBL616139,,BAO_0000357,,
962,Autocuration,51,,,"Ability to influence the binding of [35S]GTP-gamma-S, to HeLa cell membranes expressing the human 5-hydroxytryptamine 1A receptor; Not active",H,8,1,,CHEMBL616140,,BAO_0000019,,
963,Expert,51,,,In vitro binding affinity was determined by radioligand binding assay using cell line expressing human 5-hydroxytryptamine 1A receptor; ND means not determined,H,8,1,,CHEMBL616141,,BAO_0000019,,
964,Autocuration,51,,,Tested in vitro for its ability to bind to 5-hydroxytryptamine 1A receptor using [3H]8-OH-DPAT as radioligand,H,8,1,,CHEMBL616142,,BAO_0000357,,
965,Autocuration,51,,,Tested in vitro for its ability to bind to 5-hydroxytryptamine 1A receptor using [3H]8-OH-DPAT as radioligand; ND means Not determined,H,8,1,,CHEMBL616143,,BAO_0000357,,
966,Autocuration,51,,,Ability to displace [3H]5-CT (2.0 nM) from HeLa cells of human 5-hydroxytryptamine 1A receptor; NT denotes not tested,H,8,1,,CHEMBL616144,308.0,BAO_0000219,,
967,Autocuration,51,,,Ability to displace [3H]5-CT (2.0 nM) from HeLa cells of human 5-hydroxytryptamine 1A receptor; NT=not tested,H,8,1,,CHEMBL616145,308.0,BAO_0000219,,
968,Autocuration,51,,,Ability to displace [3H]5-CT (2.0 nM) from HeLa cells of human 5-hydroxytryptamine 1A receptor; NT denotes not tested,H,8,1,,CHEMBL616012,308.0,BAO_0000219,,
969,Autocuration,51,,,Ability to displace [3H]5-CT (2.0 nM) from HeLa cells of human 5-hydroxytryptamine 1A receptor; NT denotes not tested,H,8,1,,CHEMBL616013,308.0,BAO_0000219,,
970,Autocuration,51,,,"Agonist efficacy of [35S]GTP-gamma-S, binding to 5-hydroxytryptamine 1A receptor compared with 5-HT.; NT is not tested",H,8,1,,CHEMBL616014,,BAO_0000019,,
971,Autocuration,51,,,"Agonist efficacy of [35S]GTP-gamma-S, binding to 5-hydroxytryptamine 1A receptor compared with 5-HT.; NT is not tested",H,8,1,,CHEMBL616015,,BAO_0000019,,
972,Autocuration,51,,,"Agonist efficacy of [35S]GTP-gamma-S, binding to 5-hydroxytryptamine 1A receptor compared with 5-HT.; NT is not tested",H,8,1,,CHEMBL616016,,BAO_0000019,,
973,Autocuration,51,,,Antagonist induction of hypothermia by 8-OH-DPAT in 5-hydroxytryptamine 1A receptor after subcutaneous administration; NT is not tested,H,8,1,,CHEMBL616017,,BAO_0000218,,
974,Autocuration,51,,,Binding affinity at human 5-hydroxytryptamine 1A receptor by inhibition of [3H]-8-OH-DPAT binding in Chinese hamster ovary cell line; NT is not tested,H,8,1,,CHEMBL616018,,BAO_0000019,,
975,Autocuration,51,,,EC50 for inhibition of 50 uM forskolin-stimulated cAMP accumulation against 5-hydroxytryptamine 1A receptor receptor; Not tested,H,8,1,,CHEMBL616019,,BAO_0000019,,
976,Autocuration,51,,,EC50 for inhibition of 50 uM forskolin-stimulated cAMP accumulation against 5-hydroxytryptamine 1A receptor; Not tested,H,8,1,,CHEMBL616020,,BAO_0000019,,
977,Autocuration,51,,,Evaluated for the binding constant at [3H]8-OH-DPAT-labeled human 5-hydroxytryptamine 1A receptor,H,8,1,,CHEMBL858018,,BAO_0000357,,
978,Autocuration,51,,,Binding affinity against human 5-hydroxytryptamine 1A receptors HEK 293 cell membranes using [35S]GTP gamma-S,H,8,1,,CHEMBL616021,722.0,BAO_0000219,,
979,Expert,51,,,"Stimulation of binding of [35S]GTP-gamma-S, to G protein mediated by human cloned 5-hydroxytryptamine 1A receptor tested in vitro at 1 uM.",H,8,1,,CHEMBL616022,,BAO_0000019,,
980,Autocuration,51,,,"Stimulation of binding of [35S]GTP-gamma-S, to G protein mediated by human cloned 5-hydroxytryptamine 1A receptor tested in vitro at a concentration of 1 uM; ND means Not determined",H,8,1,,CHEMBL616023,,BAO_0000019,,
981,Autocuration,51,,,"Stimulation of binding of [35S]GTP-gamma-S, to G protein mediated by human cloned 5-hydroxytryptamine 1A receptor tested in vitro at a concentration of 1 uM; ND means not determined",H,8,1,,CHEMBL616024,,BAO_0000019,,
982,Autocuration,51,,,"Stimulation of binding of [35S]GTP-gamma-S, to G protein mediated by human cloned 5-hydroxytryptamine 1A receptor tested in vitro at a concentration of 1 uM; Not determined",H,8,1,,CHEMBL616025,,BAO_0000019,,
