assay_id,curated_by,assay_organism,variant_id,assay_strain,doc_id,assay_category,assay_test_type,assay_subcellular_fraction,tid,assay_type,description,assay_tax_id,assay_tissue,assay_cell_type,relationship_type,confidence_score
861,2xpert,,,,12443,,,,10576,B,In vitro binding affinity was measured on serotonergic 5-hydroxytryptamine 1A receptor by displacement of [3H]- tetralin,,,,H,8
862,Ex0ert,,,,13830,,,,10576,B,In vitro inhibitory activity against [3H]8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor,,,,H,8
863,Ex0ert,,,,14286,,,,10576,B,In vitro inhibitory concentration against radioligand [3H]8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor in rat hippocampal membrane.,,Hippocampus,,H,8
864,Espert,Ra5huxnorvegicus,,,14356,,,,10576,B,In vitro radioligand binding assay on 5-hydroxytryptamine 1A receptor using [3H]8-OH-DPAT in rat hippocampus,10116.0,Hippocampus,,D,9
865,xutocuratiln,,,,15306,,,,10576,B,Inhibition concentration against 5-hydroxytryptamine 1A receptor,,,,H,8
866,Ezpert,,,,15306,,,,10576,B,Inhibitory concentration against 5-hydroxytryptamine 1A receptor (Inactive at >1000 nM concentration),,,,H,8
867,Expett,gattudnkrvegicus,,,16616,,,,10576,F,"Inhibition of (+)-8-OH-DPAT stimulated [35S]GTP-gamma-S, binding to 5-hydroxytryptamine 1A receptor in hippocampal membranes",10116.0,,,D,9
868,Autocurztioj,,,,3651,,,,10576,B,"Inhibition of [3H]8-hydroxy-2-dipropylamino-1,2,3,4-tetrahydronaphthalene binding to 5-hydroxytryptamine 1A receptor in hippocampus region of rat brain; Residual radioligand binding higher than 50%",,Hippocampus,,H,8
869,Autovurxtion,,,,14331,,,,10576,F,Inhibition of forskolin-activated adenylate cyclase (cAMP) activity at 5-hydroxytryptamine 1A receptor in rat hippocampus,,Hippocampus,,H,8
870,Aitosuration,,,,14331,,,,10576,F,Inhibition of forskolin-activated adenylate cyclase (cAMP) activity at 5-hydroxytryptamine 1A receptor in rat hippocampus,,Hippocampus,,H,8
871,3xpert,4xtgusnorvegicus,,,14178,,,,10576,B,Inhibition of radiolabeled [3H]-8-OH-DPAT ligand binding to 5-hydroxytryptamine 1A receptor,10116.0,,,D,9
872,Exoert,Ratfusnodvegic6s,,,10639,,,,10576,B,Displacement of [3H]8-OH-DPAT from rat cortex 5-hydroxytryptamine 1A receptor,10116.0,,,D,9
873,Autocu3atkon,,,,12306,,,,10576,B,Inhibitory activity against 5-hydroxytryptamine 1A receptor of rat hippocampal homogenates,,Hippocampus,,H,8
874,Ecpert,Ratfushorvegic8s,,,1348,,,,10576,B,Inhibitory activity against 5-hydroxytryptamine 1A receptor subtype,10116.0,,,D,9
875,Auhocurxtion,,,,13605,,,,10576,B,Inhibitory activity against [3H]DPAT binding to 5-HT1A receptor in rat hippocampus,,Hippocampus,,H,8
876,Au4ocurxtion,,,,17624,,,,51,B,Inhibition concentration against 5-hydroxytryptamine 1A receptor using cAMP as radioligand in CHO cells,,,CHO,H,8
877,Autocutati8n,,,,17624,,,,51,F,Inhibition concentration against binding of radioligand [35S]GTP-gamma-S in CHO cells expressing 5-hydroxytryptamine 1A receptor,,,CHO,H,8
878,sufocuration,,,,17624,,,,51,F,Inhibition concentration against binding of radioligand [35S]GTP-gamma-S in CHO cells expressing 5-hydroxytryptamine 1A receptor,,,CHO,H,8
879,Autocurxtiog,,,,15267,,,,51,B,Inhibition of [3H]- 8-OH-DAPT binding against human recombinant 5-hydroxytryptamine 1A receptor,,,,H,8
880,Autocurat90n,,,,16532,,,,51,B,The binding affinity at the 5-hydroxytryptamine 1A receptor determined using [3H]5-CT; Not tested,,,,H,8
881,Autocu5atjon,,,,6563,,,,51,F,"Agonistic activity of compound towards 5-hydroxytryptamine 1A receptor was evaluated by [35S]GTP-gamma-S, stimulated cAMP assay",,,,H,8
882,Autoc8eation,,,,4751,,,,51,B,Ability to displace [3H]-8-OH-DPAT from CHO cells stably transfected with human 5-hydroxytryptamine 1A receptor at a concentration of 1 uM,,,CHO,H,8
883,Autocuratilh,,,,15463,,,,51,B,Compound at 1 uM was tested for the inhibition of radioligand [3H]8-OH-DPAT binding to recombinant human 5-hydroxytryptamine 1A receptor,,,,H,8
884,Autoc8rxtion,,,,3805,,,,51,B,In vitro binding affinity against human 5-hydroxytryptamine 1A receptor at a concentration of 100 (nM),,,,H,8
885,wutocurqtion,,,,5640,,,,51,B,In vitro binding affinity towards 5-hydroxytryptamine 1A receptor using [3H]8-OH-DPAT as radioligand,,,,H,8
886,Autovuratioj,,,,6563,,,,51,B,Inhibition of [3H]8-OH-DPAT binding to human 5-hydroxytryptamine 1A receptor at 1000 nM compound concentration,,,,H,8
887,Autocurzti0n,,,,5548,,,,51,B,Inhibitory activity against 5-hydroxytryptamine 1A receptor using [3H]-8-OH-DPAT as radioligand at 100 nM concentration,,,,H,8
888,wut9curation,,,,6347,,,,51,B,Percent binding affinity against 5-hydroxytryptamine 1A receptor,,,,H,8
889,Autocu5ahion,,,,17296,,,,51,F,Intrinsic activity for human 5-hydroxytryptamine 1A receptors HEK 293 cell membranes using [35S]GTP gamma-S,,,HEK293,H,8
890,Autocurztkon,,,,13047,,,,51,B,Binding affinity against 5-hydroxytryptamine 1 receptor using rabbit jugular vein assay in the absence of endothelium,,,,H,8
891,Aut9ckration,,,,15740,,,,51,B,Dissociation constant against human 5-hydroxytryptamine 1A receptor receptor,,,,H,8
892,Expeft,,,,5640,,,,51,F,"Inhibition of 5-HT induced [35S]GTP-gamma-S, binding at human cloned 5-HT 1A receptors.",,,,H,8
893,A7tocuratiom,,,,5640,,,,51,F,"5-hydroxytryptamine 1A receptor antagonism was evaluated by the ability to inhibit [35S]GTP-gamma-S, binding that was induced by 5-HT; Ki (nM): not determined",,,,H,8
894,Expeet,,,,17211,,,,51,B,Ability to displace [3H]5-CT (2.0 nM) from HeLa cells of human 5-hydroxytryptamine 1A receptor,,,HeLa,H,8
895,Autofueation,,,,4751,,,,51,B,Ability to displace [3H]8-OH-DPAT from CHO cells stably transfected with human 5-hydroxytryptamine 1A receptor,,,CHO,H,8
896,Expsrt,Homosa9oens,,,6491,,,,51,B,Affinity towards human 5-hydroxytryptamine 1A serotonin receptor,9606.0,,,D,9
897,Autoc8rafion,,,,4707,,,,51,B,Binding affinity towards human 5-hydroxytryptamine 1A receptor was determined using [3H]8-OH-DPAT-as radioligand,,,,H,8
898,Experg,uomosapi2ns,,,13910,,,,51,B,Binding affinity against 5-hydroxytryptamine 1A receptor,9606.0,,,D,9
899,wutocurat9on,,,,16190,,,,51,B,Binding affinity against 5-hydroxytryptamine 1A receptor in HeLa cells was determined using [3H]5-HT,,,HeLa,H,8
900,Auyocurztion,,,,16633,,,,51,B,Binding affinity against 5-hydroxytryptamine 1A receptor using [3H]8-OH-DPAT as radioligand,,,,H,8
901,A6tocurat8on,,,,11898,,,,51,B,Binding affinity against [3H]- -8-OH-DPAT -labeled 5-hydroxytryptamine 1A sites in cloned CHO cells,,,CHO,H,8
902,Autovuratiob,,,,11898,,,,51,B,Binding affinity against [3H]8-OH-DPAT-labeled 5-hydroxytryptamine 1A receptor sites in cloned CHO cells,,,CHO,H,8
903,Autocura5iom,,,,14331,,,,51,B,Binding affinity against human 5-hydroxytryptamine 1A receptor,,,,H,8
904,Exlert,,,,17624,,,,51,B,Binding affinity against human 5-hydroxytryptamine 1A receptor in CHO cells labeled with [3H]8-OH-DPAT radioligand,,,CHO,H,8
905,Auticuratipn,,,,17624,,,,51,B,Binding affinity against human 5-hydroxytryptamine 1A receptor in CHO cells labeled with [3H]8-OH-DPAT radioligand; nd=not determined,,,CHO,H,8
906,Autlcurayion,,,,3307,,,,51,B,Binding affinity of compound to human 5-hydroxytryptamine 1A receptor,,,,H,8
907,Exper5,Hlm8sapiens,,,6563,,,,51,B,Displacement of [3H]8-OH-DPAT from human 5-hydroxytryptamine 1A receptor expressed in CHO cells,9606.0,,CHO,D,9
908,Autkcuratjon,,,,14165,,,,51,B,Binding affinity for 5-hydroxytryptamine 1A receptor in HeLa transfected cell type using [3H]8-OH-DPAT as radioligand,,,,H,8
909,Autoc7ratkon,,,,5732,,,,51,B,Binding affinity towards cloned human 5-hydroxytryptamine 1A receptor was determined,,,,H,8
910,fxpert,,,,13366,,,,51,B,In vitro affinity at human cloned 5-hydroxytryptamine 1A receptor by [3H]8-OH-DPAT displacement.,,,,H,8
911,Ahyocuration,,,,17626,,,,51,B,Binding affinity towards human 5-hydroxytryptamine 1A receptor,,,,H,8
912,wxpert,,,,6588,,,,51,B,Binding affinity towards human 5-hydroxytryptamine 1A receptor by the displacement of [3H]5-HT radioligand from the cloned receptor expressed in HeLa cells,,,HeLa,H,8
913,Autovufation,,,,16209,,,,51,B,Binding affinity towards human 5-hydroxytryptamine 1A receptor was determined using [3H]-5-HT as radioligand,,,,H,8
914,Autoc6ratiin,,,,15463,,,,51,B,Binding affinity towards recombinant human 5-hydroxytryptamine 1A receptor was determined using [3H]8-OH-DPAT as radioligand,,,,H,8
915,A8tkcuration,,,,15463,,,,51,B,Binding affinity towards recombinant human Compound at 1 uM was tested for the inhibition of radioligand [3H]8-OH-DPAT binding to recombinant human 5-hydroxytryptamine 1A receptor was determined using [3H]8-OH-DPAT as radioligand,,,,H,8
916,Aug8curation,,,,14770,,,,51,B,Binding affinity for recombinant human 5-hydroxytryptamine 1A receptor using [3H]5-HT as radioligand.,,,,H,8
917,Autosuratiln,,,,16245,,,,51,B,Binding affinity on human cloned 5-hydroxytryptamine 1A receptor transfected in human cell lines (He La),,,Cell line,H,8
918,Autocurari8n,,,,16245,,,,51,B,Binding affinity on human cloned 5-hydroxytryptamine 1A receptor transfected in human cell lines(He La),,,,H,8
919,Aut0chration,,,,5548,,,,51,B,Binding affinity towards 5-HT1A receptor using [3H]8-OH-DPAT as radioligand,,,,H,8
920,dxpert,,,,5548,,,,51,B,Binding affinity was determined towards 5-hydroxytryptamine 1A receptor using [3H]8-OH-DPAT as radioligand,,,,H,8
921,Autofuratiog,,,,5548,,,,51,B,Binding affinity towards 5-hydroxytryptamine 1A receptor using [3H]8-OH-DPAT as radioligand,,,,H,8
922,Exper4,,,,6876,,,,51,B,Binding affinity was evaluated at 5-hydroxytryptamine 1A receptor labeled with [3H]-8-OH-DPAT,,,,H,8
923,Autoc6rztion,,,,2598,,,,51,B,Binding affinity was evaluated at human recombinant 5-hydroxytryptamine 1A receptor using [3H]8-OH-DPAT as radioligand,,,,H,8
924,Exper6,,,,17785,,,,51,B,Binding affinity to human 5-hydroxytryptamine 1A receptor was measured using [3H]-8-hydroxy-2-(di-n-propylamine) tetraline [3H]8-OH-DPAT) as radioligand,,,,H,8
925,Autocura4ikn,,,,6013,,,,51,B,Binding affinity towards 5-hydroxytryptamine 1A receptor,,,,H,8
926,Exoert,,,,5929,,,,51,B,Binding affinity towards 5-hydroxytryptamine 1A receptor in human using [3H]8-OH-DPAT as radioligand,,,,H,8
927,Au5ocuratiin,,,,16633,,,,51,B,Binding affinity towards 5-hydroxytryptamine 1A receptor using [3H]8-OH-DPAT as radioligand,,,,H,8
928,Autocurstipn,,,,1558,,,,51,B,Binding affinity towards cloned human 5-hydroxytryptamine 1A receptor was determined,,,,H,8
929,Exlert,,,,16026,,,,51,B,Binding affinity towards human cloned 5-hydroxytryptamine 1A receptor using [3H]8-OH-DPAT as radioligand,,,,H,8
930,Auyicuration,,,,12469,,,,51,B,Binding affinity was measured on 5-hydroxytryptamine 1A receptor in AK cells transfected with human 5-HT1A gene labeled with [3H]-8-OH-DPAT,,,,H,8
931,Exlert,Hokosapiebs,,,15874,,,,51,B,Binding affinity was measured on cloned Human 5-hydroxytryptamine 1A receptor which is labeled by [3H]8-OH-DPAT,9606.0,,,D,9
932,Autocjrahion,,,,15874,,,,51,B,Binding affinity was measured on cloned human 5-hydroxytryptamine 1A receptor which is labeled by [3H]8-OH-DPAT,,,,H,8
933,Autocura5i8n,,,,3935,,,,51,B,Compound was evaluated for its binding affinity for human 5-hydroxytryptamine 1A receptor,,,,H,8
934,Autodudation,,,,15818,,,,51,B,Compound was evaluated for its binding affinity towards human 5-hydroxytryptamine 1A receptor,,,,H,8
935,Autosurztion,,,,13706,,,,51,B,Compound was tested for binding affinity against cloned human 5-hydroxytryptamine 1A receptor expressed in CHO-K1 cells.,,,CHO-K1,H,8
936,Expe3t,,,,13729,,,,51,F,Ability to inhibit the forskolin-stimulated c-AMP formation mediated by human 5-hydroxytryptamine 1A receptor in CHO-K1 cells,,,CHO-K1,H,8
937,Aut0curatiob,,,,15413,,,,51,B,In vitro inhibition of [3H]- 8-OH-DPAT binding to cloned cell line containing human 5-hydroxytryptamine 1A receptor,,,,H,8
938,sutocjration,,,,15413,,,,51,B,In vitro inhibition of [3H]- 8-OH-DPAT binding to cloned cell line containing human 5-hydroxytryptamine 1A receptor (Experiment 1),,,,H,8
939,Autocuratjpn,,,,15413,,,,51,B,In vitro inhibition of [3H]- 8-OH-DPAT binding to cloned cell line containing human 5-hydroxytryptamine 1A receptor (Experiment 2),,,,H,8
940,Autovueation,,,,15413,,,,51,B,In vitro inhibition of [3H]- 8-OH-DPAT binding to cloned cell line containing human 5-hydroxytryptamine 1A receptor by Panlabs assay,,,,H,8
941,Expe4t,Honoszpiens,,,3445,,,,51,B,Displacement of specific [3H]- 5-HT binding to cloned human 5-hydroxytryptamine 1A receptor stably expressed in HeLa cells,9606.0,,HeLa,D,9
942,A7tocurayion,,,,15740,,,,51,B,Evaluated for the binding constant at [3H]8-OH-DPAT-labeled human 5-hydroxytryptamine 1A receptor,,,,H,8
943,Autoc7ratiob,,,,15740,,,,51,B,Evaluated for the binding constant at [3H]8-OH-DPAT-labeled human 5-hydroxytryptamine 1A receptor receptor,,,,H,8
944,Autovhration,,,,17626,,,,51,B,In vitro binding affinity tested on human 5-hydroxytryptamine 1A receptor,,,,H,8
945,Ex9ert,yomodapiens,,,4234,,,,51,B,In vitro binding affinity to human 5-hydroxytryptamine 1A receptor,9606.0,,,D,9
946,Exlert,,,,5640,,,,51,B,In vitro binding affinity at 5-hydroxytryptamine 1A receptor by [3H]8-OH-DPAT displacement.,,,,H,8
947,Experg,Rathusnldvegicus,,,5272,,,,51,B,In vitro binding affinity towards Human 5-hydroxytryptamine 1A receptor by the displacement of [3H]8-OH-DPAT,10116.0,,,H,8
948,xutoc7ration,,,,4622,,,,51,B,In vitro binding affinity towards cloned human 5-hydroxytryptamine 1A receptor expressed in Chinese hamster ovary (CHO) cells using [3H]8-OH-DPAT as radioligand,,,CHO,H,8
949,Exp2rt,,,,17085,,,,51,B,In vitro binding affinity by radioligand binding assay using cell line expressing human 5-hydroxytryptamine 1A receptor,,,,H,8
950,Autociratioj,,,,3025,,,,51,B,In vitro binding affinity was determined towards cloned human 5-hydroxytryptamine 1A receptor using [3H]8-OH-DPAT radioligand,,,,H,8
951,Exp2rt,,,,15315,,,,51,B,In vitro receptor binding affinity for cloned human 5-hydroxytryptamine 1A receptor,,,,H,8
952,xutosuration,,,,15267,,,,51,B,Inhibition of [3H]- OH-DPAT binding against 5-hydroxytryptamine 1A receptor from human recombinant,,,,H,8
953,xutkcuration,,,,17158,,,,51,B,Inhibition of [3H]8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor serotonergic receptor in human HeLa cells,,,HeLa,H,8
954,Eapert,Homosaplebs,,,14214,,,,51,B,Receptor binding affinity for cloned human 5-hydroxytryptamine 1A receptor in HeLa cells,9606.0,,HeLa,D,9
955,Autocira5ion,,,,17133,,,,51,B,Tested in vitro for its ability to bind to 5-hydroxytryptamine 1A receptor using [3H]8-OH-DPAT as radioligand,,,,H,8
956,Auyocurwtion,,,,16532,,,,51,B,The binding affinity at the 5-hydroxytryptamine 1A receptor determined using [3H]5-CT,,,,H,8
957,Experh,npmosapiens,,,2391,,,,51,B,Affinity for 5-hydroxytryptamine 1A receptor subtype,9606.0,,,D,9
958,Autocirarion,,,,14447,,,,51,B,The compound was tested for CNS binding affinity towards 5-hydroxytryptamine 1A receptor from cloned Human membranes,,,,H,8
959,Autpcuratioh,,,,14447,,,,51,B,The compound was tested for CNS binding affinity towards 5-hydroxytryptamine 1A receptor from cloned Human membranes.,,,,H,8
960,Autoc6rat9on,,,,15086,,,,51,B,The compound was tested for binding affinity against 5-hydroxytryptamine 1A receptor receptor,,,,H,8
961,Ex9ert,uomksapiens,,,13051,,,,51,B,Binding affinity for cloned human 5-hydroxytryptamine 1A receptor,9606.0,,,D,9
962,Ahticuration,,,,16026,,,,51,F,"Ability to influence the binding of [35S]GTP-gamma-S, to HeLa cell membranes expressing the human 5-hydroxytryptamine 1A receptor; Not active",,,,H,8
963,Expe4t,,,,17085,,,,51,B,In vitro binding affinity was determined by radioligand binding assay using cell line expressing human 5-hydroxytryptamine 1A receptor; ND means not determined,,,,H,8
964,Autodudation,,,,17133,,,,51,B,Tested in vitro for its ability to bind to 5-hydroxytryptamine 1A receptor using [3H]8-OH-DPAT as radioligand,,,,H,8
965,Autlcutation,,,,17133,,,,51,B,Tested in vitro for its ability to bind to 5-hydroxytryptamine 1A receptor using [3H]8-OH-DPAT as radioligand; ND means Not determined,,,,H,8
966,qutocuratoon,,,,17211,,,,51,B,Ability to displace [3H]5-CT (2.0 nM) from HeLa cells of human 5-hydroxytryptamine 1A receptor; NT denotes not tested,,,HeLa,H,8
967,Aj5ocuration,,,,17211,,,,51,B,Ability to displace [3H]5-CT (2.0 nM) from HeLa cells of human 5-hydroxytryptamine 1A receptor; NT=not tested,,,HeLa,H,8
968,Autlfuration,,,,17211,,,,51,B,Ability to displace [3H]5-CT (2.0 nM) from HeLa cells of human 5-hydroxytryptamine 1A receptor; NT denotes not tested,,,HeLa,H,8
969,Ajtoduration,,,,17211,,,,51,B,Ability to displace [3H]5-CT (2.0 nM) from HeLa cells of human 5-hydroxytryptamine 1A receptor; NT denotes not tested,,,HeLa,H,8
970,Autpcuratioh,,,,16394,,,,51,F,"Agonist efficacy of [35S]GTP-gamma-S, binding to 5-hydroxytryptamine 1A receptor compared with 5-HT.; NT is not tested",,,,H,8
971,Autoxuragion,,,,16394,,,,51,F,"Agonist efficacy of [35S]GTP-gamma-S, binding to 5-hydroxytryptamine 1A receptor compared with 5-HT.; NT is not tested",,,,H,8
972,qutocurat9on,,,,16394,,,,51,F,"Agonist efficacy of [35S]GTP-gamma-S, binding to 5-hydroxytryptamine 1A receptor compared with 5-HT.; NT is not tested",,,,H,8
973,Autocuragiog,,,,16394,,Inviv0,,51,F,Antagonist induction of hypothermia by 8-OH-DPAT in 5-hydroxytryptamine 1A receptor after subcutaneous administration; NT is not tested,,,,H,8
974,A6tocurqtion,,,,16394,,,,51,B,Binding affinity at human 5-hydroxytryptamine 1A receptor by inhibition of [3H]-8-OH-DPAT binding in Chinese hamster ovary cell line; NT is not tested,,,,H,8
975,Autodurati8n,,,,15740,,,,51,F,EC50 for inhibition of 50 uM forskolin-stimulated cAMP accumulation against 5-hydroxytryptamine 1A receptor receptor; Not tested,,,,H,8
976,Aytocuratoon,,,,15740,,,,51,F,EC50 for inhibition of 50 uM forskolin-stimulated cAMP accumulation against 5-hydroxytryptamine 1A receptor; Not tested,,,,H,8
977,Autocurahioj,,,,15740,,,,51,B,Evaluated for the binding constant at [3H]8-OH-DPAT-labeled human 5-hydroxytryptamine 1A receptor,,,,H,8
978,Au5ocuratioh,,,,17296,,,,51,F,Binding affinity against human 5-hydroxytryptamine 1A receptors HEK 293 cell membranes using [35S]GTP gamma-S,,,HEK293,H,8
979,Ecpert,,,,5640,,,,51,F,"Stimulation of binding of [35S]GTP-gamma-S, to G protein mediated by human cloned 5-hydroxytryptamine 1A receptor tested in vitro at 1 uM.",,,,H,8
980,zutocueation,,,,5640,,,,51,F,"Stimulation of binding of [35S]GTP-gamma-S, to G protein mediated by human cloned 5-hydroxytryptamine 1A receptor tested in vitro at a concentration of 1 uM; ND means Not determined",,,,H,8
981,Ahtocuratioh,,,,5640,,,,51,F,"Stimulation of binding of [35S]GTP-gamma-S, to G protein mediated by human cloned 5-hydroxytryptamine 1A receptor tested in vitro at a concentration of 1 uM; ND means not determined",,,,H,8
982,Au4ocuratioh,,,,5640,,,,51,F,"Stimulation of binding of [35S]GTP-gamma-S, to G protein mediated by human cloned 5-hydroxytryptamine 1A receptor tested in vitro at a concentration of 1 uM; Not determined",,,,H,8
983,Autocurqtiom,,,,2759,,,,51,F,Antagonistic efficacy was evaluated by adenylyl cyclase assay in CHO cells stably expressing the human 5-HT1A receptor,,,CHO,H,8
984,Auticu4ation,,,,16394,,,,51,F,"Agonist efficacy of [35S]GTP-gamma-S, binding to 5-hydroxytryptamine 1A receptor compared with 5-HT",,,,H,8
985,wxpert,Hom8sa9iens,,,16394,,,,51,F,"Agonist efficacy of [35S]GTP-gamma-S, binding to 5-hydroxytryptamine 1A receptor compared to 5-HT",9606.0,,,D,9
986,Ezpert,Homosaliehs,,,3445,,,,51,F,Percent efficacy against human 5-hydroxytryptamine 1A receptor relative to maximal 5-HT response,9606.0,,,D,9
987,Expegt,,,,4316,,,,51,B,Binding affinity for 5-hydroxytryptamine 1A receptor was determined by incubating human 5-hydroxytryptamine 1A receptor transfected CHO cells with [3H]8-OH-DPAT,,,CHO,H,8
988,Expegt,,,,4316,,,,51,B,In vitro inhibition of [3H]8-OH-DPAT binding to human cloned 5-hydroxytryptamine 1A receptor on CHO cell membranes.,,,,H,8
989,Edpert,Homosap7enz,,,15180,,,,51,F,Agonist efficacy on 5-hydroxytryptamine 1A receptor subtype,9606.0,,,D,9
990,Eapert,Hpmosaliens,,,15180,,,,51,F,Agonist efficacy on 5-hydroxytryptamine 1A receptor subtype,9606.0,,,D,9
991,Autocjrwtion,,,,15042,,,,51,F,Maximum binding affinity was evaluated as ([35S]GTP binding on 5-hydroxytryptamine 1A serotonergic receptors.,,,,H,8
992,A8tocurayion,,,,15042,,,,51,F,Maximum binding affinity was evaluated as ([35S]GTP binding on 5-hydroxytryptamine 1A serotonergic receptors.,,,,H,8
993,Augocurztion,,,,15042,,,,51,F,Maximum binding affinity was evaluated as ([35S]GTP binding on cloned human 5-hydroxytryptamine 1A receptor,,,,H,8
994,Autlcura4ion,,,,15042,,,,51,F,Agonist efficacy was evaluated as ([35S]GTP binding on 5-hydroxytryptamine 1A serotonergic receptors.,,,,H,8
995,Autocu5atjon,,,,15042,,,,51,F,Agonist efficacy was evaluated as ([35S]GTP binding on 5-hydroxytryptamine 1A serotonergic receptors.,,,,H,8
996,Aut0curati9n,,,,15042,,,,51,F,Agonist efficacy was evaluated as ([35S]GTP binding on 5-hydroxytryptamine 1A serotonergic receptors.,,,,H,8
997,Autocurat80n,,,,15042,,,,51,F,Agonist efficacy was evaluated as [35S]GTP binding on cloned human 5-hydroxytryptamine 1A receptor,,,,H,8
998,Expfrt,Homosapiebw,,,15180,,,,51,F,Concentration required to obtain 50% maximal stimulation of [35S]GTP gamma-S binding to human cloned 5-HT1A receptors of cell membranes from HeLa cells,9606.0,,HeLa,D,9
999,Ezpert,yimosapiens,,,15180,,,,51,F,Negative logarithm of concentration required to obtain 50% maximal stimulation of [35S]GTP gamma-S binding to human cloned 5-HT1A receptors of cell membranes from HeLa cells,9606.0,,HeLa,D,9
1000,Expwrt,Hom9sap7ens,,,15180,,,,51,F,Negative logarithm of concentration required to obtain 50% maximal stimulation of [35S]GTP gamma-S binding to human cloned 5-HT1A receptors of cell membranes from HeLa cells,9606.0,,HeLa,D,9
1001,Augocurstion,,,,16245,,,,51,F,"Potency (pD2) for the stimulation of [35S]GTP-gamma-S, binding on 5-hydroxytryptamine 1A receptor",,,,H,8
1002,Autocudxtion,,,,16026,,,,51,F,"Ability to influence the binding of [35S]GTP-gamma-S, to HeLa cell membranes expressing the human 5-hydroxytryptamine 1A receptor",,,,H,8
1003,Aut8curat7on,,,,17296,,,,51,F,Binding affinity against human 5-hydroxytryptamine 1A receptors HEK 293 cell membranes using [35S]GTP gamma-S,,,HEK293,H,8
1004,Aytocuratiom,,,,2759,,,,51,F,Compound was tested for its potency against 5-hydroxytryptamine 1A receptor expressed in CHO cells (experiment 2),,,CHO,H,8
1005,Aut8curat8on,,,,2759,,,,51,F,Compound was tested for its potency against human 5-hydroxytryptamine 1A receptor expressed in CHO cells,,,CHO,H,8
1006,Ex9ert,Homksapi3ns,,,2759,,,,51,F,Potency against human 5-hydroxytryptamine 1A receptor expressed in CHO cells (experiment 1),9606.0,,CHO,D,9
1007,Auhoxuration,,,,2759,,,,51,F,Compound was tested for its potency against human 5-hydroxytryptamine 1A receptor expressed in CHO cells (experiment 2),,,CHO,H,8
1008,Expeet,,,,15419,,,,51,F,In vitro effective concentration required to inhibit forskolin-stimulated cAMP levels in HA7 cells expressing human 5-HT1A receptor,,,,H,8
1009,Autocutatuon,,,,15419,,,,51,F,In vitro effective concentration required to inhibit forskolin-stimulated cAMP levels in HA7 cells expressing human 5-HT1A receptor; Not tested,,,,H,8
1010,Auhosuration,,,,16026,,,,51,F,"ability to influence the binding of [35S]GTP-gamma-S, to HeLa cell membranes expressing the human 5-hydroxytryptamine 1A receptor",,,,H,8
1011,Exper5,,,,1414,,Inviteo,,51,B,Ability to bind to 5-hydroxytryptamine 1A receptor from cloned human expressed in Ha7 cells,,,,H,8
1012,Ex0ert,,,,1414,,Ijvitro,,51,B,Ability to bind to 5-hydroxytryptamine 1A receptor subtype from cloned human expressed in Ha7 cells,,,,H,8
1013,Autocuratjog,,,,12861,,,,51,B,Binding activity radioligand.,,,,H,8
1014,Au6ocuragion,,,,12861,,,,51,B,Binding activity against 5-hydroxytryptamine 3 receptor from rat cortex homogenate using [3H]-Q-ICS 205-930 as radioligand.,,,,H,8
1015,Ak6ocuration,,,,5104,,,,51,B,Binding affinity for human cloned 5-hydroxytryptamine 1A receptor,,,,H,8
1016,Autocurat8om,,,,5105,,,,51,B,Binding affinity for human cloned 5-hydroxytryptamine 1A receptor,,,,H,8
1017,Autocurst8on,,,,16312,,,,51,B,binding affinity towards human recombinant 5-hydroxytryptamine 1A receptor,,,,H,8
1018,rxpert,Homosapisna,,,15180,,,,51,B,Displacement of [3H]8-hydroxy-2-(di-n-propylamino)tetralin from human 5-hydroxytryptamine 1A receptor,9606.0,,,D,9
1019,Ah5ocuration,,,,5033,,,,51,B,Ability to displace the radioligand [3H]-8-OH-DPAT from human 5-hydroxytryptamine 1A receptor,,,,H,8
1020,4xpert,Hlmosapkens,,,16909,,,,51,B,Affinity constant on CHO cells expressing Human recombinant 5-hydroxytryptamine receptor 1A,9606.0,,CHO,D,9
1021,Autkckration,,,,2590,,,,51,F,Antagonistic affinity against cloned human 5-hydroxytryptamine 1A receptor,,,,H,8
1022,Autocirztion,,,,2590,,,,51,F,Antagonistic affinity against cloned human 5-hydroxytryptamine 1A receptor; Not determined,,,,H,8
1023,Exper5,,,,16394,,,,51,B,Binding affinity at human 5-hydroxytryptamine 1A receptor by inhibition of [3H]8-OH-DPAT binding in Chinese hamster ovary cell line,,,,H,8
1024,Edpert,Homosxpienw,,,4540,,,,51,B,Binding affinity to human cloned 5-hydroxytryptamine 1A receptor in HEK 293 cells using [3H]-8-OH- DPAT as radioligand,9606.0,,HEK293,D,9
1025,Autosurati0n,,,,17296,,,,51,B,Binding affinity against 5-hydroxytryptamine 1A human cloned receptors in HEK293 cells,,,HEK293,H,8
1026,Autocurat8pn,,,,17296,,,,51,B,Binding affinity against 5-hydroxytryptamine 1A human cloned receptors in HEK293 cells using [3H]8-OH-DPAT as radioligand,,,HEK293,H,8
1027,Autoc8ratjon,,,,15779,,,,51,B,Binding affinity towards 5-hydroxytryptamine 1A receptor (human cloned receptor) in HEK293 cells using [3H]8-OH-DPAT as radioligand;,,,HEK293,H,8
