assay_id,curated_by,tid,assay_tissue,assay_category,description,doc_id,assay_type,assay_test_type,assay_organism,assay_tax_id,assay_strain,assay_cell_type,assay_subcellular_fraction
1480,Autocuration,10576,,,Binding affinity against 5-hydroxytryptamine 1A receptor by displacing [3H]8-OH-DPAT radioligand in rat cortex membrane;ND is defined as not determined.,16567,B,,,,,,
1481,Autocuration,10576,,,Binding affinity against 5-hydroxytryptamine 1A receptor by displacing [3H]8-OH-DPAT radioligand in rat cortex membrane;ND means not determined.,16567,B,,,,,,
1482,Autocuration,10576,,,Binding affinity towards 5-hydroxytryptamine 1A receptor was determined in rat cortex membranes using [3H]8-OH-DPAT as radioligand; No data,17136,B,,,,,,
1483,Autocuration,10576,,,Binding affinity towards 5-hydroxytryptamine 1A receptor was determined in rat cortex membranes using [3H]8-OH-DPAT as radioligand; Not determined,17136,B,,,,,,
1484,Expert,10576,,,Binding affinity towards 5-hydroxytryptamine 1A receptor in rat frontal cortex homogenates; ND means No data,16616,B,,Rattus norvegicus,10116.0,,,
1485,Autocuration,10576,Hippocampus,,Binding affinity against 5-hydroxytryptamine 1A receptor by displacement of [3H]8-OH-DPAT from rat hippocampus mambranes,17331,B,,,,,,
1486,Autocuration,10576,Hippocampus,,Binding affinity against 5-hydroxytryptamine 1A receptor by displacement of [3H]8-OH-DPAT from rat hippocampus mambranes; Not tested,17331,B,,,,,,
1487,Expert,10576,Hippocampus,,Binding affinity for rat hippocampus 5-hydroxytryptamine 1A receptor by inhibition of [3H]8-OH-DPAT binding; Not tested,17167,B,,Rattus norvegicus,10116.0,,,
1488,Autocuration,10576,,,Evaluated for the 5-hydroxytryptamine 1A receptor agonist activity in LY-293284 trained rats; Not tested,15740,F,,,,,,
1489,Autocuration,10576,,,Evaluated for the 5-hydroxytryptamine 1A receptor agonist activity in LY-293284 trained rats; not tested,15740,F,,,,,,
1490,Autocuration,10576,,,Ratio of binding affinity to 5-HT 1A and D2 receptor,4671,B,,,,,,
1491,Autocuration,10576,Hippocampus,,In vitro ability to inhibit [3H]-8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor of rat hippocampus at 1 uM,10058,B,,,,,,
1492,Autocuration,10576,Hippocampus,,In vitro ability to inhibit [3H]8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor of rat hippocampus at 1 uM,10058,B,,,,,,
1493,Autocuration,10576,Hippocampus,,In vitro ability to inhibit [3H]-8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor of rat hippocampus.,10058,B,,,,,,
1494,Autocuration,10576,,,Percentage inhibition against 5-hydroxytryptamine 1A receptor,12073,B,,,,,,
1495,Autocuration,10576,,,Compound was tested for its potency against 5-hydroxytryptamine 1A receptor in rat frontal cortex membranes (experiment 1),2759,B,,,,,,
1496,Autocuration,10576,,,Compound was tested for its potency against 5-hydroxytryptamine 1A receptor in rat frontal cortex membranes (experiment 1),2759,F,,,,,,
1497,Autocuration,10576,,,Compound was tested for its potency against 5-hydroxytryptamine 1A receptor in rat frontal cortex membranes (experiment 2),2759,B,,,,,,
1498,Autocuration,10576,,,Compound was tested for its potency against 5-hydroxytryptamine 1A receptor in rat frontal cortex membranes (experiment 2),2759,F,,,,,,
1499,Autocuration,10576,,,Compound was tested for its potency against 5-hydroxytryptamine 1A receptor in rat frontal cortex membranes.,2759,F,,,,,,
1500,Autocuration,10576,Brain,,Binding affinity towards 5-hydroxytryptamine 1A receptor in rat brain membrane using [3H]8-OH-DPAT as a selective ligand.,9737,B,,,,,,
1501,Autocuration,10576,,,Binding affinity towards 5-hydroxytryptamine 1A receptor in rat frontal cortex using [3H]8-OH-DPAT as a radioligand,9737,B,,,,,,
1502,Expert,10576,,,Antagonistic activity against 5-hydroxytryptamine 1A receptor in rat cerebral cortex using [3H]-8-OH-DPAT as radioligand.,5717,F,,,,,,
1503,Autocuration,10576,Hippocampus,,Binding affinity of 5-hydroxytryptamine 1A receptor using [3H]8-OH-DPAT in rat hippocampus,12253,B,,,,,,
1504,Autocuration,10576,,,Affinity pKi for 5-hydroxytryptamine 1A receptor was measured in rat cortex homogenates.,14025,B,,,,,,
1505,Expert,10576,,,Binding affinity against 5-hydroxytryptamine 1A receptor in rat cerebral cortical membrane using [3H]-8-OH-DPAT as radioligand.,10425,B,,,,,,
1506,Autocuration,10576,,,Binding affinity against 5-hydroxytryptamine 1A receptor in rat cortex homogenates.,14998,B,,,,,,
1507,Autocuration,10576,Hippocampus,,Binding affinity against native 5-HT1A-receptors from rat hippocampus using radioligand ([3H]- 8-hydri\oxy-2-(di-n-propylamino)tetraline) binding assay,13694,B,,,,,,
1508,Autocuration,10576,Hippocampus,,Binding affinity against native 5-HT1A-receptors from rat hippocampus using radioligand ([3H]8-hydroxy-2-(di-n-propylamino)-tetraline) binding assay,13694,B,,,,,,
1509,Autocuration,10576,,,Binding affinity of compound towards 5-hydroxytryptamine 1A receptor was determined,4342,B,,,,,,
1510,Expert,10576,,,Binding affinity against rat 5-hydroxytryptamine 1A receptor,12936,B,,Rattus norvegicus,10116.0,,,
1511,Expert,10576,,,Inhibition of [3H]2-(di-N-propylamino)-8-hydroxytetralin binding to 5-HT1A receptor of rat frontal cortex homogenates,13144,B,,Rattus norvegicus,10116.0,,,
1512,Expert,10576,,,Binding affinity of a compound to rat brain 5-hydroxytryptamine 1A (serotonin) receptor assayed by radiolabeled [3H]-8-OH-DPAT ligand displacement,13343,B,,,,,,
1513,Expert,10576,,,Binding affinity towards 5-hydroxytryptamine 1A receptor using [3H]8-OH-DPAT as radioligand.,12132,B,,,,,,
1514,Expert,10576,,,Binding affinity towards 5-hydroxytryptamine 1A receptor in rat cortex using [3H]8-OH-DPAT as a radioligand,15419,B,,,,,,
1515,Autocuration,10576,Hippocampus,,Binding affinity towards 5-hydroxytryptamine 1A receptor using [3H]8-OH-DPAT in rat hippocampus,1479,B,,,,,,
1516,Expert,10576,,,In vitro by displacement of [3H]8-OH-DPAT from 5-hydroxytryptamine 1A receptor on rat cortical membrane,14287,B,,,,,,
1517,Expert,10576,,,Binding affinity at 5-hydroxytryptamine 1A receptor,13116,B,,,,,,
1518,Expert,10576,,,Inhibition of [3H]8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor of rat frontal cortex membranes,2759,B,,Rattus norvegicus,10116.0,,,Membranes
1519,Autocuration,10576,,,Compound was tested for inhibition constant against 5-hydroxytryptamine 1A receptor in rat frontal cortex membranes.,2759,B,,,,,,
1520,Expert,10576,,,"Binding affinity for rat cortex 5-hydroxytryptamine 1A receptor, by displacement of 0.2 nM [3H]8-OH-DPAT radioligand",14748,B,,,,,,
1521,Autocuration,10576,,,In vitro ability to inhibit binding of radioligand [3H]8-OH-DPAT to 5-hydroxytryptamine 1A receptor in rat cerebral cortex,12304,B,,,,,,
1522,Expert,10576,Hippocampus,,Binding affinity towards 5-hydroxytryptamine 1A receptor in rat hippocampus using [3H]8-OH-DPAT,12409,B,,Rattus norvegicus,10116.0,,,
1523,Expert,10576,Hippocampus,,Binding affinity towards 5-hydroxytryptamine 1A receptor in rat hippocampus with [3H]8-OH-DPAT,12409,B,,Rattus norvegicus,10116.0,,,
1524,Autocuration,10576,Hippocampus,,The binding affinity (pKi) was measured against 5-hydroxytryptamine 4 receptor of piglet hippocampus using [125I]-SB 207710 as radioligand,13267,B,,,,,,
1525,Autocuration,10576,,,The compound was tested for the binding affinity against 5-hydroxytryptamine 1A receptor using [3H]8-OH-DPAT as radioligand.,15194,B,,,,,,
1526,Expert,10576,,,pKi value against rat 5-hydroxytryptamine 1A receptor.,14256,B,,,,,,
1527,Autocuration,10576,,,Binding affinity against 5-hydroxytryptamine 1A receptor by displacing [3H]8-OH-DPAT radioligand in rat cortex membrane;ND is define as non-determined.,16567,B,,,,,,
1528,Autocuration,10576,,,Evaluated for the 5-hydroxytryptamine 1A receptor agonist activity in LY-293284 trained rats; Not tested,15740,F,,,,,,
1529,Expert,12687,,,Binding affinity was measured against 5-hydroxytryptamine 2A receptor by displacement of [3H]- ketanserin by lysergic acid amides,13278,B,,Rattus norvegicus,10116.0,,,
1530,Expert,10626,,,Inhibition of specific [3H]OH-DPAT binding at 5-hydroxytryptamine 1A receptor in rat hippocampal membranes,1970,B,,,,,,Membranes
1531,Autocuration,10576,Brain,,Concentration of compound required to inhibit cortical 5-hydroxytryptamine 1A receptor binding sites in rat brain was evaluated,10034,B,,,,,,
1532,Autocuration,51,,,Inhibitory activity against 5-hydroxytryptamine 1A receptor isolated from rat hippocampus membranes membrane using [3H]5-HT as radioligand in the presence of 10e-6 M ketanserin as 5-HT2 blocker,13348,B,,Rattus norvegicus,10116.0,,,
1533,Autocuration,10576,,,Effect on 5-hydroxytryptamine 1A receptor mediated inhibition of VIP-stimulated cAMP production at dose of 1 uM+ 50 uM 5-HT.,13630,F,,,,,,
1534,Autocuration,10576,Brain,,Binding affinity at 5-hydroxytryptamine 1A receptor by the displacement of [3H]8-OH-DPAT in rat brain.,10862,B,,,,,,
1535,Autocuration,10576,,,"Binding affinity against 5-hydroxytryptamine 1A receptor in homogenated rat brain tissue, using by [3H]8-OH-DPAT as radioligand",12058,B,,,,,,
1536,Autocuration,51,,,Compound was tested for binding affinity against 5-hydroxytryptamine 1A receptor,4639,B,,,,,,
1537,Expert,51,,,Percent decrease in 5-hydroxytryptamine 1A receptor binding using 8-OH-DPAT,15453,B,,,,,,
1538,Expert,51,,,Binding affinity towards 5-hydroxytryptamine 1A receptor,4820,B,,,,,,
1539,Autocuration,51,,,Tested for binding affinity for 5-hydroxytryptamine 1A receptor,1089,B,,,,,,
1540,Autocuration,51,,,The compound was evaluated for its ability to displace [3H]-8-OH-DPAT from 5-hydroxytryptamine 1A receptor in cellular brain membranes,386,B,,,,,,Brain membranes
1541,Autocuration,51,,,Inhibition of binding towards 5-hydroxytryptamine 1A receptor at 100 nM concentration,6011,B,,,,,,
1542,Autocuration,51,,,Percent inhibition (at 1 uM) against 5-hydroxytryptamine 1A receptor,5014,B,,,,,,
1543,Expert,51,,,Binding affinity for 5-hydroxytryptamine 1A receptor determined using [3H]8-OH-DPAT as radioligand,4402,B,,,,,,
1544,Expert,51,,,Binding affinity towards 5-hydroxytryptamine 1A receptor,17066,B,,,,,,
1545,Autocuration,51,,,Binding affinity of compound towards serotonin 5-hydroxytryptamine 1A receptor; inactive at 10 uM,17515,B,,,,,,
1546,Autocuration,51,,,Binding affinity against 5-hydroxytryptamine 1A receptor,2474,B,,,,,,
1547,Autocuration,51,,,Binding affinity to 5-hydroxytryptamine 1A receptor was determined,4775,B,,,,,,
1548,Expert,51,,,Binding affinity towards Serotonin 5-hydroxytryptamine 1A receptor by displacement of [3H]-(+)-8-OH-DPAT.,14294,B,,Homo sapiens,9606.0,,,
1549,Expert,51,,,Binding affinity towards Serotonin 5-hydroxytryptamine 1A receptor by displacement of [3H](+)-8-OH-DPAT; inactive,14294,B,,Homo sapiens,9606.0,,,
1550,Autocuration,51,,,Compound was evaluated for the binding affinity against [3H]8-OH-DPAT-labeled 5-hydroxytryptamine 1A receptor sites in cloned CHO cells,12249,B,,,,,CHO,
1551,Expert,51,,,Displacement of [3H]8-OH-DPAT from 5-hydroxytryptamine 1A receptor expressed in CHO cell membranes,11376,B,,,,,,
1552,Autocuration,51,,,Compound was measured in vivo for its binding affinity at 5-hydroxytryptamine 1A receptor using [3H]8-OH-DPAT as radioligand,2474,B,In vivo,,,,,
1553,Autocuration,51,Hippocampus,,Tested for activity against 5-hydroxytryptamine 1A receptor from bovine hippocampus,13311,B,,,,,,
1554,Autocuration,51,,,Binding affinity relative to indolopiperidine (compound 1) for 5-hydroxytryptamine 1A receptor was determined,4373,B,,,,,,
1555,Expert,51,,,Binding affinity towards 5-hydroxytryptamine 1A receptor by displacement of [3H]8-OH-DPAT.,1633,B,,,,,,
1556,Autocuration,51,,,Binding affinity for 5-hydroxytryptamine 1A receptor was determined,11866,B,,,,,,
1557,Autocuration,51,,,Binding affinity for 5-hydroxytryptamine 1A receptor was determined,4373,B,,,,,,
1558,Autocuration,51,,,Evaluated for the binding affinity to 5-hydroxytryptamine 1A receptor,4687,B,,,,,,
1559,Autocuration,11863,,,Ability to displace [3H]8-OH-DPAT from 5-hydroxytryptamine 1A receptor,16946,B,,,,,,
1560,Autocuration,11863,,,Binding affinity against 5-hydroxytryptamine 1A receptor was determined using [3H]-8-OH-DPAT radioligand,13291,B,,,,,,
1561,Autocuration,11863,,,Compound was evaluated for the affinity at 5-hydroxytryptamine 1A receptor,14159,B,,,,,,
1562,Autocuration,11863,,,Compound was tested for the binding affinity against 5-hydroxytryptamine 1A receptor by using [3H]DPAT as radioligand,10812,B,,,,,,
1563,Expert,11863,,,In vitro binding affinity against 5-hydroxytryptamine 1A receptor in CHO cells,3032,B,,Mus musculus,10090.0,,CHO,
1564,Autocuration,11863,,,Inhibition of 5-OH-DPAT binding to 5-hydroxytryptamine 1A receptor,16655,B,,,,,,
1565,Autocuration,11863,,,Inhibitory activity against 5-hydroxytryptamine 1A receptor using [3H]8-OH-DPAT as radioligand at 10e-5 M concentration,14532,B,,,,,,
1566,Autocuration,11863,,,Binding affinity against 5-hydroxytryptamine 1A receptor,13944,B,,,,,,
1567,Autocuration,11863,,,Binding affinity against serotonergic 5-HT1a receptor,13033,B,,,,,,
1568,Autocuration,11863,,,Binding affinity for 5-hydroxytryptamine 1A receptor was determined by using [3H]8-OH-DPAT as radioligand,10321,B,,,,,,
1569,Expert,11863,,,Binding affinity for 5-hydroxytryptamine 1A receptor,2968,B,,Mus musculus,10090.0,,,
1570,Autocuration,11863,,,Binding affinity at 5-hydroxytryptamine 1A receptor,13964,B,,,,,,
1571,Autocuration,11863,,,"Binding affinity towards 5-hydroxytryptamine 1A receptor receptor, using [3H]5-HT as radioligand.",15527,B,,,,,,
1572,Autocuration,11863,,,Compound was evaluated for the binding affinity against [3H]8-OH-DPAT-labeled 5-hydroxytryptamine 1A receptor sites in cloned CHO cells,12248,B,,,,,CHO,
1573,Autocuration,11863,,,Compound was evaluated for the binding affinity against [3H]8-OH-DPAT-labeled 5-hydroxytryptamine 1A receptor sites in cloned CHO cells,12249,B,,,,,CHO,
1574,Autocuration,11863,,,Compound was tested for binding affinity using [3H]8-OH-DPAT against 5-hydroxytryptamine 1A receptor,15120,B,,,,,,
1575,Autocuration,11863,,,In vitro binding affinity towards 5-hydroxytryptamine 1A receptor by using [3H]-8-OH-DPAT as radioligand,13313,B,,,,,,
1576,Autocuration,11863,,,In vivo binding affinity was evaluated against 5-hydroxytryptamine 1A receptor,2613,B,,,,,,
1577,Autocuration,11863,,,The binding affinity towards 5-hydroxytryptamine 1A receptor; No affinity,16700,B,,,,,,
1578,Autocuration,11863,,,Ability to displace [125I]iodosulpiride from 5-hydroxytryptamine 1A receptor,2201,B,,,,,,
1579,Expert,11863,,,Binding affinity against 5-hydroxytryptamine 1A receptor,1274,B,,Mus musculus,10090.0,,,
1580,Autocuration,11863,,,Compound was evaluated for binding affinity against 5-hydroxytryptamine 1A receptor using radioligand binding assay,1317,B,,,,,,
1581,Autocuration,11863,,,Tested against 5-hydroxytryptamine 1A receptor,12146,B,,,,,,
1582,Autocuration,11863,,,The compound's binding affinity against 5-hydroxytryptamine 1A receptor,14059,B,,,,,,
1583,Expert,106,,,Dissociation equilibrium constant against the vascular 5-hydroxytryptamine 1B like receptor in the rabbit saphenous vein,14025,B,,Oryctolagus cuniculus,9986.0,,,
1584,Autocuration,106,,,The dissociation equilibrium constant (pKB=-log KB) of compound was determined against the vascular 5-hydroxytryptamine 1B like receptor in the rabbit saphenous vein(RbSV); NS=non surmountable,14025,B,,Oryctolagus cuniculus,9986.0,,,
1585,Intermediate,105571,,,The compound was tested for CNS binding affinity towards 5-hydroxytryptamine 1B receptor from cloned gorilla membranes expressed in cultured HEK 293 cells,14447,B,,Gorilla gorilla,9593.0,,HEK293,
1586,Autocuration,106,,,5-HT1B agonist potency was evaluated as effective dose that induced hypothermia in the guinea-pig upon intraperitoneal administration,3025,F,In vivo,Cavia porcellus,10141.0,,,
1587,Autocuration,106,,,5-hydroxytryptamine 1B receptor agonist potency was evaluated as effective dose that induced hypothermia in the guinea-pig upon intraperitoneal administration,3025,F,In vivo,Cavia porcellus,10141.0,,,
1588,Autocuration,106,,,Affinity of compound towards 5-hydroxytryptamine 1B receptor in isolated guinea-pig iliac artery,15329,F,,Cavia porcellus,10141.0,,,
1589,Autocuration,106,,,Affinity of compound towards 5-hydroxytryptamine 1B receptor in isolated guinea-pig iliac artery; n.d. indicates Not determined,15329,F,,Cavia porcellus,10141.0,,,
1590,Autocuration,106,,,Compound was evaluated for its antagonist affinity towards 5-hydroxytryptamine 1B receptor of guinea pig,15847,F,,Cavia porcellus,10141.0,,,
1591,Autocuration,106,,,Compound was evaluated for its antagonist affinity towards 5-hydroxytryptamine 1B receptor of guinea pig; ND means not done,15847,F,,Cavia porcellus,10141.0,,,
1592,Autocuration,106,,,Intrinsic activity for Antagonism of 5-hydroxytryptamine 1B receptor-mediated stimulation of [35S]GTP gamma S binding,14165,F,,,,,,
1593,Autocuration,106,,,Antagonism tested at 1 uM against the agonist-induced inhibitory effect of 10 nM 5-carbamoyltryptamine (5-CT),14214,F,,,,,,
1594,Autocuration,106,,,Antagonism tested at 1 uM against the agonist-induced inhibitory effect of 10 nM 5-carbamoyltryptamine(5-CT),14214,F,,,,,,
1595,Expert,106,,,Agonist activity at 5-hydroxytryptamine 1B receptor by measuring the inhibition of forskolin-stimulated cAMP formation,14214,F,,Homo sapiens,9606.0,,,
1596,Expert,106,,,Inhibition of forskolin-stimulated c-AMP formation by human 5-hydroxytryptamine 1B receptor expressed in CHO-K1 cells,13729,F,,Homo sapiens,9606.0,,CHO-K1,
1597,Autocuration,106,,,Effective concentration determined by measuring inhibition of forskolin-stimulated c-AMP formation at 5-hydroxytryptamine 1B receptor stably transfected in CHO cell lines,3025,F,,,,,CHO,
1598,Autocuration,106,,,The compound was evaluated for intrinsic activity against human cloned 5-hydroxytryptamine 1B receptor,2391,B,,,,,,
1599,Autocuration,106,,,The compound was evaluated for intrinsic activity against human cloned 5-hydroxytryptamine 1B receptor; full agonist,2391,F,,,,,,
1600,Expert,106,,,"Agonist-induced [35S]GTP-gamma-S, binding in CHO cells stably transfected with human 5-hydroxytryptamine 1B receptor",14956,F,,,,,CHO,
1601,Autocuration,106,,,The intrinsic activity was evaluated for its ability to inhibit forskolin-stimulated c-AMP formation mediated by cloned 5-hydroxytryptamine 1B receptor in CHO cell line,2598,F,,,,,CHO,
1602,Autocuration,106,,,The intrinsic activity was evaluated for its ability to inhibit forskolin-stimulated c-AMP formation mediated by cloned 5-hydroxytryptamine 1B receptor in CHO cell line; Antagonist,2598,F,,,,,CHO,
1603,Autocuration,106,,,The intrinsic activity was evaluated for its ability to inhibit forskolin-stimulated c-AMP formation mediated by cloned 5-hydroxytryptamine 1B receptor in CHO cell line; Full Agonist,2598,F,,,,,CHO,
1604,Autocuration,106,,,The intrinsic activity was evaluated for its ability to inhibit forskolin-stimulated c-AMP formation mediated by cloned 5-hydroxytryptamine 1B receptor in CHO cell line; Partial Agonist,2598,F,,,,,CHO,
1605,Expert,106,,,"Efficacy was evaluated relative to human 5-HT1B receptor using [35S]GTP-gamma-S, as radioligand",14956,F,,,,,,
1606,Autocuration,106,,,"Efficacy of compound was evaluated relative to human 5-hydroxytryptamine 1B receptor using [35S]GTP-gamma-S, as radioligand",14956,F,,,,,,
1607,Expert,106,,,Percentage Maximal inhibition obtained with 1 uM 5-HT against 5-hydroxytryptamine 1B receptor,14214,B,,Homo sapiens,9606.0,,,
1608,Expert,106,,,Ability to displace [3H]5-HT from recombinant human 5-hydroxytryptamine 1B receptor stably expressed in CHO cells determined in vitro,3463,B,,,,,CHO,
1609,Autocuration,106,,,Affinity of compound towards 5-hydroxytryptamine 1B receptor was evaluated using radioligand binding technique,15331,B,,,,,,
1610,Expert,106,,,Binding affinity against 5-hydroxytryptamine 1B receptor,16146,B,,Homo sapiens,9606.0,,,
1611,Expert,106,,,Displacement of [3H]5-HT from human 5-hydroxytryptamine 1B receptor expressed in CHO cells,14159,B,,Homo sapiens,9606.0,,CHO,
1612,Expert,106,,,Binding affinity to human cloned 5-hydroxytryptamine 1B receptor in CHO cells by [3H]5-HT binding displacement.,14158,B,,,,,CHO,
1613,Autocuration,106,,,Compound was evaluated for the affinity at 5-hydroxytryptamine 1B receptor,14159,B,,,,,,
1614,Expert,106,,,Displacement of [3H]5-HT binding to cloned 5-hydroxytryptamine 1B receptor stably expressed in CHO cells,15250,B,,,,,CHO,
1615,Expert,106,,,Binding affinity at cloned human 5-hydroxytryptamine 1B receptor stably expressed in CHO cells by [3H]5-HT displacement.,15250,B,,,,,CHO,
1616,Expert,106,,,Displacement of [3H]5-HT binding from the cloned human 5-hydroxytryptamine 1B receptor stably expressed in CHO cells,15331,B,,,,,CHO,
1617,Expert,106,,,Displacement of [3H]5-HT binding from cloned human 5-hydroxytryptamine 1B receptor stably expressed in CHO cells.,15332,B,,,,,CHO,
1618,Expert,106,,,Displacement of specific [3H]5-HT binding to cloned human 5-hydroxytryptamine 1B receptor expressed in CHO cells,14956,B,,,,,CHO,
1619,Autocuration,106,,,In vitro binding affinity against human 5-hydroxytryptamine 1B receptor at a concentration of 100 (nM),3805,B,,,,,,
1620,Autocuration,106,,,Intrinsic activity for each compound is calculated as a percentage of the 5-hydroxytryptamine 1B receptor response,14875,B,,,,,,
1621,Autocuration,105,,,Compound was tested for 5-hydroxytryptamine 1D like receptor-mediated vascular effect in rabbit saphenous vein (RSV),14454,F,,Oryctolagus cuniculus,9986.0,,,
1622,Expert,105,,,Tested for 5-hydroxytryptamine 1D like receptor-mediated vascular effect in rabbit saphenous vein (RSV),14454,F,,Oryctolagus cuniculus,9986.0,,,
1623,Autocuration,105,,,Affinity at 5-hydroxytryptamine 1D receptor (For sumatriptan = Ki (nM)-12+/-1.9),16288,B,,,,,,
1624,Autocuration,105,,,Affinity at 5-hydroxytryptamine 1D receptor from calf caudate using [3H]5-HT as radioligand (For sumatriptan = Ki(nM)-12+/-1.9),16288,B,,,,,,
1625,Autocuration,105,,,Binding affinity against calf caudate 5-hydroxytryptamine 1D receptor,16312,B,,,,,,
1626,Expert,105,,,Inhibitory activity against 5-hydroxytryptamine 1D receptor subtype,1348,B,,Bos taurus,9913.0,,,
1627,Autocuration,105,,,Inhibitory concentration required against 5-hydroxytryptamine 1D receptor in bovine caudate using [3H]5-HT,5834,B,,Bos taurus,9913.0,,,
1628,Autocuration,105,Striatum,,Binding affinity towards 5-hydroxytryptamine 1D receptor was determined in calf striatum homogenate,13366,B,,Bos taurus,9913.0,,,
1629,Expert,105,,,Ability to bind to 5-hydroxytryptamine 1D receptor of calf substantia nigra,1414,B,,Bos taurus,9913.0,,,
1630,Autocuration,105,,,Binding affinity against 5-hydroxytryptamine 1D receptor in calf caudate homogenates.,14998,B,,Bos taurus,9913.0,,,
1631,Autocuration,105,,,Compound was evaluated for binding affinity towards 5-hydroxytryptamine 1D receptor in bovine caudate using [3H]- serotonin as radioligand,11473,B,,Bos taurus,9913.0,,,
1632,Autocuration,105,,,Compound was evaluated for binding affinity towards 5-hydroxytryptamine 1D receptor in bovine caudate using [3H]- serotonin as radioligand,11473,B,,Bos taurus,9913.0,,,
1633,Autocuration,105,,,Compound was evaluated for its inhibitory activity against 5-hydroxytryptamine 1D receptor of bovine caudate using [3H]5-HT as the radioligand,10639,B,,Bos taurus,9913.0,,,
1634,Autocuration,105,,,Inhibitory activity against 5-hydroxytryptamine 1D receptor of bovine caudate using [3H]5-HT as the radioligand,10639,B,,Bos taurus,9913.0,,,
1635,Autocuration,105,,,Tested in vitro for receptor binding affinity to 5-hydroxytryptamine 1D receptor in bovine caudate using [3H]5-HT radioligand,1375,B,,Bos taurus,9913.0,,,
1636,Autocuration,105,,,Tested in vitro for receptor binding affinity to 5-hydroxytryptamine 1D receptor in bovine caudate using [3H]5-HT radioligand; NT means not tested,1375,B,,Bos taurus,9913.0,,,
1637,Autocuration,105,,,The binding affinity at 5-hydroxytryptamine 1D receptor was determined using [3H]5-CT; Not tested,16532,B,,Bos taurus,9913.0,,,
1638,Autocuration,105,,,Binding affinity towards 5-hydroxytryptamine 1D receptor using [3H]5-HT as radioligand,11147,B,,Bos taurus,9913.0,,,
1639,Autocuration,105,Striatum,,Binding affinity towards 5-hydroxytryptamine 1D receptor was determined in calf striatum homogenate,13366,B,,Bos taurus,9913.0,,,
1640,Autocuration,105,,,Binding affinity was determined against 5-hydroxytryptamine 1D receptor in bovine caudate homogenate,10444,B,,Bos taurus,9913.0,,,
1641,Autocuration,105,,,The binding affinity at 5-hydroxytryptamine 1D receptor was determined using [3H]5-CT,16532,B,,Bos taurus,9913.0,,,
1642,Autocuration,105,,,The binding affinity at 5-hydroxytryptamine 1D receptor was determined using [3H]5-CT; Not tested,16532,B,,Bos taurus,9913.0,,,
1643,Autocuration,105,,,Binding affinity towards 5-hydroxytryptamine 1B receptor in rat frontal cortex membranes using [125]ICYP,12827,B,,Bos taurus,9913.0,,,
1644,Autocuration,105,,,Binding affinity towards 5-hydroxytryptamine 1B receptor in rat frontal cortex membranes using [125]ICYP; Not determined,12827,B,,Bos taurus,9913.0,,,
1645,Expert,105,,,Agonistic activity against 5-hydroxytryptamine 1D receptor in calf caudate using [3H]-GTI,12919,F,,Bos taurus,9913.0,,,
1646,Autocuration,105,,,Affinity pKi for 5-hydroxytryptamine 1D receptor was measured in calf caudate homogenate,14025,B,,Bos taurus,9913.0,,,
1647,Expert,105,,,Agonistic activity against 5-hydroxytryptamine 1D receptor in calf caudate using [3H]-GTI,12919,F,,Bos taurus,9913.0,,,
1648,Expert,105,,,Agonistic activity against 5-hydroxytryptamine 1D receptor in calf caudate using [3H]-GTI,12919,F,,Bos taurus,9913.0,,,
1649,Expert,105,,,Agonistic activity against 5-hydroxytryptamine 1D receptor in calf caudate using [3H]-GTI,12919,F,,Bos taurus,9913.0,,,
1650,Autocuration,105,,,The compound was tested for CNS binding affinity towards 5-hydroxytryptamine 1D receptor from cloned gorilla membranes expressed in cultured HEK 293 cells,14447,B,,Gorilla gorilla,9593.0,,HEK293,
1651,Intermediate,105570,,,Compound was tested for the inhibition of forskolin-stimulated adenylate cyclase at 5-hydroxytryptamine 1D receptor in guinea pig substantia nigra,1375,B,,Cavia porcellus,10141.0,,,
1652,Intermediate,105570,,,Compound was tested for the inhibition of forskolin-stimulated adenylate cyclase at 5-hydroxytryptamine 1D receptor in guinea pig substantia nigra; NT means not tested,1375,B,,Cavia porcellus,10141.0,,,
1653,Intermediate,105570,,,Oral effective dose against hypothermia in the guinea pig caused by stimulation of central 5-hydroxytryptamine 1D receptor by the agonist GR-46611,12409,F,,Cavia porcellus,10141.0,,,
1654,Intermediate,105570,,,Oral effective dose against hypothermia in the guinea pig caused by stimulation of central 5-hydroxytryptamine 1D receptors by the agonist GR-46611,12409,F,,Cavia porcellus,10141.0,,,
1655,Intermediate,105570,,,Oral effective dose against hypothermia in the guinea pig caused by stimulation of central 5-hydroxytryptamine 1D receptors by the agonist GR-46611; range is 2-9,12409,F,,Cavia porcellus,10141.0,,,
1656,Intermediate,105570,,,Oral effective dose against hypothermia in the guinea pig caused by stimulation of central 5-hydroxytryptamine 1D receptors by the agonist GR-46611;range is 0.2-0.4,12409,F,,Cavia porcellus,10141.0,,,
1657,Intermediate,105570,,,Oral effective dose against hypothermia in the guinea pig caused by stimulation of central 5-hydroxytryptamine 1D receptors by the agonist GR-46611;range is 0.2-1.2,12409,F,,Cavia porcellus,10141.0,,,
1658,Intermediate,105570,,,Binding affinity against 5-hydroxytryptamine 1D receptor,11574,B,,Cavia porcellus,10141.0,,,
