assay_id,cell_id,assay_category,tissue_id,confidence_score,assay_tissue,assay_test_type,chembl_id,src_assay_id,curated_by,assay_type,variant_id,src_id,assay_subcellular_fraction,relationship_type,description,assay_strain,assay_cell_type,tid,bao_format
2333,,,,5,,,CHEMBL617540,,Autocuration,B,,1,,D,Displacement of [3H]ketanserin from 5-hydroxytryptamine 2 receptor,,,104686,BAO_0000224
2334,,,,5,,,CHEMBL617541,,Autocuration,B,,1,,D,Binding affinity for 5-hydroxytryptamine 2 receptor from striata of male Wistar rats by displacement of [3H]ketanserin,,,104686,BAO_0000224
2335,,,,4,,,CHEMBL617542,,Autocuration,B,,1,,H,Binding affinity in radioreceptor binding assay by using [3H]5-HT radioligand against 5-hydroxytryptamine 2 receptor,,,104686,BAO_0000224
2336,,,,4,,,CHEMBL617543,,Autocuration,B,,1,,H,Binding affinity towards 5-hydroxytryptamine 2 receptor using [3H]DOB as,,,104686,BAO_0000224
2337,485.0,,,5,,,CHEMBL617544,,Autocuration,B,,1,,D,Binding affinity against [3H]ketanserin binding to 5-hydroxytryptamine 2 receptor expressed in CHO-K1 cells,,CHO-K1,104686,BAO_0000219
2338,485.0,,,5,,,CHEMBL617545,,Autocuration,B,,1,,D,Binding affinity against [3H]ketanserin binding to 5-hydroxytryptamine 2 receptor expressed in CHO-K1 cells,,CHO-K1,104686,BAO_0000219
2339,,,,5,,,CHEMBL617413,,Autocuration,B,,1,,D,Binding affinity to rat cortical membranes at 5-hydroxytryptamine 2 receptor binding site by using [3H]- DOB as a radioligand,,,104686,BAO_0000019
2340,,,,4,,,CHEMBL617414,,Autocuration,B,,1,,H,Binding affinity to rat cortical membranes at 5-hydroxytryptamine 2 receptor binding site by using [3H]- DOB as a radioligand.,,,104686,BAO_0000019
2341,,,,5,,,CHEMBL617415,,Autocuration,B,,1,,D,Binding affinity to 5-hydroxytryptamine 2 receptor of rat cortical membranes using [3H]- DOB; ND means no data.,,,104686,BAO_0000019
2342,,,,4,,,CHEMBL617416,,Autocuration,B,,1,,H,Binding affinity towards 5-hydroxytryptamine 2 receptor,,,104686,BAO_0000224
2343,,,,4,,,CHEMBL617417,,Autocuration,B,,1,,H,Binding affinity towards 5-hydroxytryptamine 2 receptor at 1.0 uM concentration,,,104686,BAO_0000224
2344,,,,4,,,CHEMBL617418,,Autocuration,B,,1,,H,"Binding affinity towards 5-hydroxytryptamine 2 receptor using [3H]- 1-(4-bromo-2,5-dimethoxy-phenyl)-2-aminopropane (D) as radioligand in rat frontal cortex",,,104686,BAO_0000019
2345,,,,4,,,CHEMBL617419,,Autocuration,B,,1,,H,Binding affinity towards 5-hydroxytryptamine 2 receptor using [3H]- ketanserin as radioligand in rat frontal cortex,,,104686,BAO_0000019
2346,,,,4,,,CHEMBL617420,,Autocuration,B,,1,,H,Binding affinity towards 5-hydroxytryptamine 2 receptor was determined,,,104686,BAO_0000224
2347,,,,5,,,CHEMBL617421,,Autocuration,B,,1,,D,Affinity for 5-hydroxytryptamine 2 receptor,,,104686,BAO_0000224
2348,,,,4,,,CHEMBL617422,,Autocuration,B,,1,,H,Binding affinity towards serotonin 5-hydroxytryptamine 2 receptor of rat determined using 0.5 nM of [3H]ketanserin in binding assay,,,104686,BAO_0000224
2349,,,,4,,,CHEMBL617423,,Autocuration,B,,1,,H,Binding affinity was determined against 5-hydroxytryptamine 2 receptor from male Sprague-Dawley rat brain.,,,104686,BAO_0000019
2350,,,,4,,,CHEMBL617424,,Autocuration,B,,1,,H,Binding affinity which represents concentration giving half-maximal inhibition of [3H]ketanserin binding to 5-hydroxytryptamine 2 receptor from rat tissue homogenate,,,104686,BAO_0000019
2351,,,,4,,,CHEMBL617425,,Autocuration,B,,1,,H,Binding affinity which represents concentration giving half-maximal inhibition of [3H]ketanserin binding to 5-hydroxytryptamine 2 receptor rat tissue homogenate,,,104686,BAO_0000019
2352,,,,4,,,CHEMBL617426,,Autocuration,B,,1,,H,Binding constant against 5-hydroxytryptamine 2 receptor (in vitro),,,104686,BAO_0000224
2353,,,,4,,In vivo,CHEMBL617427,,Autocuration,B,,1,,H,Binding constant against 5-hydroxytryptamine 2 receptor (in vivo),,,104686,BAO_0000218
2354,,,955.0,4,Brain,,CHEMBL617428,,Autocuration,B,,1,,H,Compound is evaluated for binding affinity towards 5-hydroxytryptamine 2 receptor using [3H]ketanserin in rat brain,,,104686,BAO_0000221
2355,,,,4,,,CHEMBL617429,,Autocuration,B,,1,,H,Compound was evaluated for binding affinity against 5-hydroxytryptamine 2 receptor from rat,,,104686,BAO_0000224
2356,,,,4,,,CHEMBL617430,,Autocuration,B,,1,,H,Compound was evaluated for in vitro binding affinity towards 5-hydroxytryptamine 2 receptor in rat cortex using [3H]- spiperone as radioligand,,,104686,BAO_0000019
2357,,,,4,,,CHEMBL617431,,Autocuration,B,,1,,H,Compound was evaluated for in vitro binding affinity towards serotonin 5-hydroxytryptamine 2 receptor in rat cortex using [3H]- spiperone as radioligand,,,104686,BAO_0000019
2358,,,1870.0,4,Frontal cortex,,CHEMBL617432,,Autocuration,B,,1,,H,Compound was evaluated for its ability to displace 0.25 nM [125I](R)-DOI from binding sites in rat frontal cortex.,,,104686,BAO_0000019
2359,,,,4,,,CHEMBL617433,,Autocuration,B,,1,,H,Ability to displace [3H]ketanserin from serotonergic 5-hydroxytryptamine 2 receptor,,,104686,BAO_0000224
2360,,,,4,,,CHEMBL617434,,Autocuration,B,,1,,H,Compound was evaluated for its ability to displace [3H]ketanserin from serotonergic 5-hydroxytryptamine 2 receptor,,,104686,BAO_0000224
2361,,,,5,,,CHEMBL617435,,Autocuration,B,,1,,D,Binding affinity against 5-Hydroxy tryptamine 2 (5-hydroxytryptamine 2)receptor,,,104686,BAO_0000224
2362,,,,4,,,CHEMBL617436,,Autocuration,B,,1,,H,Compound was evaluated for its binding affinity to 5-hydroxytryptamine 2 receptor in rat cortex using [3H]ketanserin radioligand assay,,,104686,BAO_0000019
2363,,,2435.0,5,Striatum,,CHEMBL617437,,Autocuration,B,,1,,D,Binding affinity against 5-hydroxytryptamine 2 receptor in rat striatum using [3H]-RP62203,,,104686,BAO_0000019
2364,,,,4,,,CHEMBL617438,,Autocuration,B,,1,,H,"Binding affinity towards 5-hydroxytryptamine 2 receptor from frontal cortical regions of male Sprague-Dawley rat homogenates, using [3H]ketanserin as radioligand",,,104686,BAO_0000019
2365,,,,4,,,CHEMBL617439,,Autocuration,B,,1,,H,"Compound was tested for binding affinity towards 5-hydroxytryptamine 2 receptor from frontal cortical regions of male Sprague-Dawley rat homogenates, using [3H]ketanserin as radioligand; Not Determined",,,104686,BAO_0000019
2366,,,,4,,,CHEMBL617440,,Autocuration,B,,1,,H,Compound was tested in vitro for binding affinity for 5-hydroxytryptamine 2 receptor,,,104686,BAO_0000224
2367,,,,4,,,CHEMBL617441,,Autocuration,B,,1,,H,Evaluated for binding activity against [3H]ketanserin as radioligand for 5-hydroxytryptamine 2 receptor,,,104686,BAO_0000224
2368,,,,5,,,CHEMBL872918,,Autocuration,B,,1,,D,Displacement of [3H]ketanserin from 5-hydroxytryptamine 2 receptor of rat cortical membrane homogenates,,,104686,BAO_0000019
2369,,,,5,,,CHEMBL617442,,Autocuration,B,,1,,D,Displacement of [3H]ketanserin from 5-hydroxytryptamine 2 receptor of rat cortex,,,104686,BAO_0000019
2370,,,,4,,,CHEMBL617443,,Autocuration,B,,1,,H,Evaluated for the binding affinity to rat cortical membranes at 5-hydroxytryptamine 2 receptor binding site by using [3H]- KET as a radioligand; ND means no data.,,,104686,BAO_0000019
2371,,,,4,,,CHEMBL617444,,Autocuration,B,,1,,H,Binding affinity to rat cortical membranes at 5-hydroxytryptamine 2 (5-HT2) receptor using [3H]KET as a radioligand,,,104686,BAO_0000019
2372,,,,4,,,CHEMBL617445,,Autocuration,B,,1,,H,Evaluated for the binding affinity to rat cortical membranes at 5-hydroxytryptamine 2 receptor binding site by using [3H]- KET as a radioligand; ND means no data.,,,104686,BAO_0000019
2373,,,,4,,,CHEMBL617446,,Autocuration,B,,1,,H,Evaluated for the binding affinity to rat cortical membranes at 5-hydroxytryptamine 2 receptor binding site by using [3H]- KET as a radioligand.,,,104686,BAO_0000019
2374,,,,4,,,CHEMBL617447,,Autocuration,B,,1,,H,Binding affinity to 5-hydroxytryptamine 2 receptor in rat frontal cortical membranes by [3H]- KET displacement.,,,104686,BAO_0000249
2375,,,,4,,,CHEMBL617448,,Autocuration,B,,1,,H,Evaluated for the binding affinity to rat frontal cortical membranes at 5-hydroxytryptamine 2 receptor binding site by using [3H]- KET as a radioligand.;ND is not determined,,,104686,BAO_0000019
2376,,,,4,,,CHEMBL617449,,Autocuration,B,,1,,H,Evaluated for the binding affinity to rat frontal cortical membranes at 5-hydroxytryptamine 2 receptor binding site by using [3H]- KET as a radioligand;ND means no data,,,104686,BAO_0000019
2377,,,,4,,,CHEMBL617450,,Autocuration,B,,1,,H,In vitro binding affinity at 5-hydroxytryptamine 2 receptor in rat cortical tissue by [3H]spiperone displacement; No data.,,,104686,BAO_0000019
2378,,,,4,,,CHEMBL617451,,Autocuration,B,,1,,H,In vitro 5-hydroxytryptamine 2 receptor affinity by using [3H]spiperone as the radioligand in rat cortical tissue; value may range from 165 to 263,,,104686,BAO_0000019
2379,,,,4,,,CHEMBL617452,,Autocuration,B,,1,,H,In vitro 5-hydroxytryptamine 2 receptor affinity by using [3H]spiperone as the radioligand in rat cortical tissue; value may range from 2.4 to 5.3,,,104686,BAO_0000019
2380,,,,4,,,CHEMBL617453,,Autocuration,B,,1,,H,In vitro 5-hydroxytryptamine 2 receptor affinity by using [3H]-Spiperone as the radioligand in rat cortical tissue.,,,104686,BAO_0000019
2381,,,,4,,,CHEMBL617660,,Autocuration,B,,1,,H,In vitro 5-hydroxytryptamine 2 receptor affinity by using [3H]spiperone as the radioligand in rat cortical tissue.; value may range from 140 to 980,,,104686,BAO_0000019
2382,,,,4,,,CHEMBL617661,,Autocuration,B,,1,,H,In vitro 5-hydroxytryptamine 2 receptor affinity by using [3H]spiperone as the radioligand in rat cortical tissue.; value may range from 76 to 299,,,104686,BAO_0000019
2383,,,,4,,,CHEMBL617662,,Autocuration,B,,1,,H,In vitro 5-hydroxytryptamine 2 receptor affinity by using [3H]-Spiperone as the radioligand in rat cortical tissue; value may range from 12 to 66,,,104686,BAO_0000019
2384,,,,4,,,CHEMBL872919,,Autocuration,B,,1,,H,In vitro 5-hydroxytryptamine 2 receptor affinity by using [3H]spiperone as the radioligand in rat cortical tissue; value may range from 136 to 220,,,104686,BAO_0000019
2385,,,,4,,,CHEMBL617663,,Autocuration,B,,1,,H,In vitro 5-hydroxytryptamine 2 receptor affinity by using [3H]spiperone as the radioligand in rat cortical tissue; value may range from 197 to 341,,,104686,BAO_0000019
2386,,,,4,,,CHEMBL617664,,Autocuration,B,,1,,H,In vitro 5-hydroxytryptamine 2 receptor affinity by using [3H]spiperone as the radioligand in rat cortical tissue; value may range from 23 to 187,,,104686,BAO_0000019
2387,,,,4,,,CHEMBL617665,,Autocuration,B,,1,,H,In vitro 5-hydroxytryptamine 2 receptor affinity by using [3H]spiperone as the radioligand in rat cortical tissue; value may range from 29 to 132,,,104686,BAO_0000019
2388,,,,4,,,CHEMBL617666,,Autocuration,B,,1,,H,In vitro 5-hydroxytryptamine 2 receptor affinity by using [3H]spiperone as the radioligand in rat cortical tissue; value may range from 6 to 75,,,104686,BAO_0000019
2389,,,,4,,,CHEMBL617667,,Autocuration,B,,1,,H,In vitro binding affinity on 5-hydroxytryptamine 2 receptor is inhibition of binding of [125I]- I-LSD to P11 cells,,,104686,BAO_0000019
2390,,,,4,,,CHEMBL617668,,Autocuration,B,,1,,H,In vitro binding affinity towards 5-hydroxytryptamine 2 receptor in rat striatal membranes by [3H]ketanserin displacement.,,,104686,BAO_0000249
2391,,,,4,,,CHEMBL617669,,Autocuration,B,,1,,H,Inhibitory activity against 5-hydroxytryptamine 2 receptor in rat cortical membranes using [3H]ketanserin as a radioligand,,,104686,BAO_0000249
2392,,,,4,,,CHEMBL617670,,Autocuration,B,,1,,H,Inhibitory activity against rat cortical 5-hydroxytryptamine 2 receptor,,,104686,BAO_0000224
2393,,,,5,,,CHEMBL617671,,Autocuration,B,,1,,D,Inhibitory constant against 5-hydroxytryptamine 2 receptor,,,104686,BAO_0000224
2394,,,,4,,,CHEMBL617672,,Autocuration,B,,1,,H,Percentage specific displacement of radioligand [3H]-ketanserin from 5-hydroxytryptamine 2 receptor,,,104686,BAO_0000224
2395,,,,4,,,CHEMBL617673,,Autocuration,B,,1,,H,Potency to displace [3H]- Spiperone from 5-hydroxytryptamine 2 receptor in rat striatum,,,104686,BAO_0000019
2396,,,,4,,,CHEMBL617674,,Autocuration,B,,1,,H,Tested for binding affinity against 5-hydroxytryptamine 2 receptor from rat frontal cortical regions using [3H]ketanserin as radioligand,,,104686,BAO_0000224
2397,,,,4,,,CHEMBL617675,,Autocuration,B,,1,,H,Tested for binding affinity by measuring displacement of [3H]ketanserin from rat serotonin 5-hydroxytryptamine 2 receptor in rat cortex,,,104686,BAO_0000019
2398,,,,4,,,CHEMBL617676,,Autocuration,B,,1,,H,Tested for binding affinity by measuring displacement of [3H]ketanserin from rat serotonin 5-hydroxytryptamine 2 receptor in rat cortex; NA means Not Active,,,104686,BAO_0000019
2399,,,,4,,,CHEMBL617677,,Autocuration,B,,1,,H,Tested for binding affinity by measuring displacement of [3H]ketanserin from rat serotonin 5-hydroxytryptamine 2 receptor in rat cortex; not determined,,,104686,BAO_0000019
2400,,,,5,,,CHEMBL617678,,Autocuration,B,,1,,D,Displacement of [3H]ketanserin from rat prefrontal cortex 5-hydroxytryptamine 2 receptor,,,104686,BAO_0000019
2401,,,,4,,,CHEMBL617679,,Autocuration,B,,1,,H,Binding affinity to 5-hydroxytryptamine 2 receptor using [3H]ketanserin radioligand assay.,,,104686,BAO_0000224
2402,,,,4,,,CHEMBL617680,,Autocuration,B,,1,,H,Tested for its binding affinity to Tested for its binding affinity to 5-hydroxytryptamine 2 receptor using [3H]-ketanserin radioligand assay using [3H]-ketanserin radioligand assay,,,104686,BAO_0000224
2403,,,,4,,,CHEMBL617681,,Autocuration,B,,1,,H,The ability to inhibit [3H]ketanserin binding to 5-hydroxytryptamine 2 receptor in rat whole brain,,,104686,BAO_0000019
2404,,,955.0,4,Brain,,CHEMBL617682,,Autocuration,B,,1,,H,The binding affinity was measured on 5-hydroxytryptamine 2 receptor in rat brain tissue,,,104686,BAO_0000221
2405,,,,4,,,CHEMBL617683,,Autocuration,B,,1,,H,The binding affinity was measured on 5-hydroxytryptamine 2 receptor using [3H]- spiperone as radioligand.,,,104686,BAO_0000224
2406,,,,4,,,CHEMBL617684,,Autocuration,B,,1,,H,Binding affinity at 5-hydroxytryptamine 2 receptor from striata wistar rats by [3H]ketanserin displacement.,,,104686,BAO_0000224
2407,,,,5,,,CHEMBL617685,,Autocuration,B,,1,,D,Binding affinity towards 5-hydroxytryptamine 2 receptor,,,104686,BAO_0000224
2408,,,,4,,,CHEMBL617686,,Autocuration,B,,1,,H,The compound was tested for its binding affinity towards 5-hydroxytryptamine 2 receptor by displacing [3H]ketanserin radioligand in rat cerebral cortex,,,104686,BAO_0000019
2409,,,,4,,,CHEMBL617687,,Autocuration,B,,1,,H,The compound was tested in vitro for binding affinity towards 5-hydroxytryptamine 2 receptor by displacing [125]I-LSD radioligand,,,104686,BAO_0000224
2410,,,,4,,,CHEMBL617688,,Autocuration,B,,1,,H,Percentage specific displacement of radioligand [3H]ketanserin from 5-hydroxytryptamine 2 receptor,,,104686,BAO_0000224
2411,,,,4,,,CHEMBL617689,,Autocuration,F,,1,,H,In vitro antagonistic activity against the contraction induced by 5-HT through 5-hydroxytryptamine 2 receptor in rat thoracic aortic strips,,,104686,BAO_0000019
2412,,,,4,,,CHEMBL617690,,Autocuration,F,,1,,H,In vitro antagonistic activity against the contraction induced by 5-HT through 5-hydroxytryptamine 2 receptor in rat thoracic aortic strips,,,104686,BAO_0000019
2413,,,,4,,In vivo,CHEMBL617691,,Autocuration,F,,1,,H,"In vivo inhibitory activity of 10 mg/kg compound in rats against elevation of BP caused by 5-HT (300 ug/kg, iv) through 5-hydroxytryptamine 2 receptor 1 hr after oral administration",,,104686,BAO_0000218
2414,,,,4,,In vivo,CHEMBL617692,,Autocuration,F,,1,,H,"In vivo inhibitory activity of 10 mg/kg compound in rats against elevation of BP caused by 5-HT (300 ug/kg, iv) through 5-hydroxytryptamine 2 receptor 3h after oral administration",,,104686,BAO_0000218
2415,,,,4,,In vivo,CHEMBL617693,,Autocuration,F,,1,,H,"In vivo inhibitory activity of 3 mg/kg compound in rats against elevation of BP caused by 5-HT (300 ug/kg, iv) through 5-hydroxytryptamine 2 receptor 1 hr after oral administration",,,104686,BAO_0000218
2416,,,,4,,In vivo,CHEMBL617694,,Autocuration,F,,1,,H,"In vivo inhibitory activity of 3 mg/kg compound in rats against elevation of BP caused by 5-HT (300 ug/kg, iv) through 5-hydroxytryptamine 2 receptor 3h after oral administration",,,104686,BAO_0000218
2417,,,955.0,8,Brain,,CHEMBL857985,,Expert,B,,1,,H,Affinity for 5-hydroxytryptamine 2A receptor in rat brain cortex by ability to displace [3H]ketanserin,,,12687,BAO_0000221
2418,,,,9,,,CHEMBL617695,,Expert,B,,1,,D,Affinity at 5-hydroxytryptamine 2A receptor of the rat brain cortex was assessed on the basis of their ability to displace [3H]ketanserin,,,12687,BAO_0000019
2419,,,,8,,,CHEMBL617696,,Autocuration,B,,1,,H,Affinity pKi for 5-hydroxytryptamine 2A receptor was measured in rat cortex homogenates,,,12687,BAO_0000019
2420,,,,8,,,CHEMBL617697,,Autocuration,B,,1,,H,Binding affinity of compound towards serotonin 5-hydroxytryptamine 2A receptor was determined,,,12687,BAO_0000357
2421,,,,9,,,CHEMBL617257,,Expert,B,,1,,D,Displacement of [3H]ketanserin from 5-HT2A receptor of rat frontal cortex,,,12687,BAO_0000019
2422,,,,9,,,CHEMBL617258,,Expert,B,,1,,D,Binding affinity towards 5-hydroxytryptamine 2A receptor using [3H]ketanserin,,,12687,BAO_0000357
2423,,,,8,,,CHEMBL617259,,Expert,B,,1,,H,Binding affinity was evaluated in vitro by displacement of [3H]ketanserin from 5-hydroxytryptamine 2A receptor on rat cortical membrane,,,12687,BAO_0000019
2424,,,,8,,,CHEMBL617260,,Autocuration,B,,1,,H,In vitro affinity against serotonin ( 5-hydroxytryptamine 2A receptor ) receptor,,,12687,BAO_0000357
2425,,,,9,,,CHEMBL617261,,Expert,B,,1,,D,In vitro affinity against serotonin 5-hydroxytryptamine 2A receptor,,,12687,BAO_0000357
2426,,,,8,,,CHEMBL617262,,Autocuration,B,,1,,H,Compound was tested in vitro for its binding affinity towards 5-hydroxytryptamine 2A receptor from rat frontal cortex using [3H]-ketanserin as radioligand,,,12687,BAO_0000019
2427,,,,8,,,CHEMBL617263,,Expert,B,,1,,H,Half-maximal inhibition of [3H]- Ketanserin binding to 5-hydroxytryptamine 2A receptor in rat cerebral cortex homogenate,,,12687,BAO_0000019
2428,,,,8,,,CHEMBL617264,,Autocuration,B,,1,,H,Half-maximal inhibition of [3H]ketanserin binding to 5-hydroxytryptamine 2A receptor in rat tissue homogenate,,,12687,BAO_0000019
2429,,,,9,,,CHEMBL617265,,Expert,B,,1,,D,Displacement of [3H]-ketanserin from rat brain 5-hydroxytryptamine 2A receptor,,,12687,BAO_0000019
2430,,,,8,,,CHEMBL617266,,Autocuration,B,,1,Membranes,H,Inhibition constant for in vitro inhibition of [3H]ketanserin binding to rat frontal cortex membranes 5-hydroxytryptamine 2A receptor,,,12687,BAO_0000249
2431,,,,8,,,CHEMBL617267,,Autocuration,B,,1,,H,Inhibition of [3H]ketanserin binding to 5-hydroxytryptamine 2A receptor rat frontal cortex membrane,,,12687,BAO_0000019
2432,,,,8,,,CHEMBL617268,,Expert,B,,1,,H,Inhibitory constant on 5-hydroxytryptamine 2A receptor of Rat frontal cortex,,,12687,BAO_0000019
2433,449.0,,,8,,,CHEMBL617269,,Autocuration,B,,1,,H,Inhibitory constant on human 5-hydroxytryptamine 2A receptor transfected in to CHO cells,,CHO,12687,BAO_0000219
2434,,,,8,,,CHEMBL617323,,Expert,B,,1,,H,Kinetic inhibition constant evaluated by measuring serotonergic activity,,,12687,BAO_0000357
2435,,,,8,,,CHEMBL617324,,Autocuration,B,,1,,H,Serotonergic activity of the compound.,,,12687,BAO_0000357
2436,,,,8,,,CHEMBL617325,,Autocuration,B,,1,,H,Tested in vitro for its ability to inhibit [3H]ketanserin binding to 5-hydroxytryptamine 2A receptor in rat frontal cortex membranes,,,12687,BAO_0000249
2437,,,,9,,,CHEMBL617326,,Expert,B,,1,,D,The binding affinity was evaluated on 5-hydroxytryptamine 2A receptor expressed in rat cortex by using [3H]ketanserin as radioligand.,,,12687,BAO_0000019
2438,,,,8,,,CHEMBL617327,,Expert,B,,1,,H,In vitro ability to displace [3H]ketanserin binding from 5-hydroxytryptamine 2A receptor in rat striatal membrane.,,,12687,BAO_0000249
2439,,,,9,,,CHEMBL617328,,Expert,F,,1,,D,Agonistic activity against 5-hydroxytryptamine 2A receptor in rat cortex using [3H]ketanserin,,,12687,BAO_0000019
2440,,,,9,,,CHEMBL617329,,Expert,F,,1,,D,Agonistic activity against 5-hydroxytryptamine 2A receptor in rat cortex using [3H]ketanserin,,,12687,BAO_0000019
2441,,,,9,,,CHEMBL617330,,Expert,F,,1,,D,Agonistic activity against 5-hydroxytryptamine 2A receptor in rat cortex using [3H]ketanserin,,,12687,BAO_0000019
2442,,,,8,,,CHEMBL617331,,Autocuration,B,,1,,H,The compound was tested for the binding affinity against 5-hydroxytryptamine 2A receptor using [3H]ketanserin as radioligand,,,12687,BAO_0000357
2443,,,,8,,,CHEMBL617332,,Autocuration,B,,1,,H,The compound was tested for the binding affinity against 5-hydroxytryptamine 2A receptor using [3H]ketanserin as radioligand.,,,12687,BAO_0000357
2444,,,,8,,,CHEMBL617333,,Expert,B,,1,,H,Binding affinity towards 5-hydroxytryptamine 2A receptor,,,107,BAO_0000357
2445,,,,8,,,CHEMBL617334,,Autocuration,B,,1,,H,Binding affinity against serotonin 5-hydroxytryptamine 2A receptor was determined using human [125I]-eotaxin,,,107,BAO_0000357
2446,,,,8,,,CHEMBL617335,,Autocuration,B,,1,,H,Binding affinity towards 5-hydroxytryptamine 2A receptor was determined at a concentration of 0.000001 mol/L,,,107,BAO_0000357
2447,,,,8,,,CHEMBL617336,,Autocuration,B,,1,,H,Binding affinity towards 5-hydroxytryptamine 2A receptor was determined at a concentration of 0.00001 mol/L,,,107,BAO_0000357
2448,,,,8,,,CHEMBL617337,,Autocuration,B,,1,,H,Inhibition of binding towards 5-hydroxytryptamine 2A receptor at 100 nM concentration,,,107,BAO_0000357
2449,,,,9,,,CHEMBL617338,,Expert,B,,1,,D,Percent inhibition against 5-hydroxytryptamine 2A receptor using [3H]ketanserin at 1 uM,,,107,BAO_0000357
2450,,,,8,,,CHEMBL617339,,Autocuration,B,,1,,H,Percent inhibition (at 1 uM) against 5-hydroxytryptamine 2A receptor,,,107,BAO_0000357
2451,,,,8,,,CHEMBL617340,,Expert,B,,1,,H,Binding affinity towards 5-hydroxytryptamine 2A receptor,,,107,BAO_0000357
2452,,,,8,,,CHEMBL617341,,Autocuration,B,,1,,H,Binding affinity of compound towards serotonin 5-hydroxytryptamine 2A receptor; inactive at 10 uM,,,107,BAO_0000357
2453,,,,8,,,CHEMBL617342,,Expert,B,,1,,H,Inhibition of [125I]-eotaxin binding to serotonin 5-hydroxytryptamine 2A receptor,,,107,BAO_0000357
2454,,,,8,,,CHEMBL617343,,Expert,B,,1,,H,Affinity for 5-hydroxytryptamine 2A receptor,,,107,BAO_0000357
2455,723.0,,,8,,,CHEMBL617344,,Expert,B,,1,,H,Binding affinity was performed using [3H]ketanserin as the radioligand and stably transfected NIH3T3 cells expressing the 5-hydroxytryptamine 2A receptor (GF-62 cells).,,NIH3T3,107,BAO_0000219
2456,,,,8,,,CHEMBL617345,,Expert,B,,1,,H,Binding affinity towards 5-hydroxytryptamine 2A receptor using [3H]ketanserin,,,107,BAO_0000357
2457,,,,8,,,CHEMBL617346,,Expert,B,,1,,H,Binding affinity towards 5-hydroxytryptamine 2A receptor using [125I]DOI as radioligand.,,,107,BAO_0000357
2458,,,,8,,,CHEMBL617347,,Autocuration,B,,1,,H,Compound was evaluated for its binding against 5-hydroxytryptamine 2A receptor,,,107,BAO_0000357
2459,,,,8,,,CHEMBL617348,,Autocuration,B,,1,,H,Binding affinity relative to indolopiperidine (compound 1) for 5-hydroxytryptamine 2A receptor was determined,,,107,BAO_0000357
2460,,,,8,,,CHEMBL617349,,Autocuration,B,,1,,H,Binding affinity relative to indolopiperidine (compound 1)for 5-hydroxytryptamine 2A receptor was determined,,,107,BAO_0000357
2461,,,,8,,,CHEMBL617350,,Autocuration,F,,1,,H,Compound was evaluated for its inverse agonist activity against 5-hydroxytryptamine 2A receptor,,,107,BAO_0000019
2462,,,,8,,,CHEMBL872339,,Expert,B,,1,,H,Binding affinity towards 5-hydroxytryptamine 2A receptor by displacement of [3H]ketanserin,,,107,BAO_0000357
2463,,,,8,,,CHEMBL617351,,Autocuration,B,,1,,H,Binding affinity for 5-hydroxytryptamine 2A receptor was determined,,,107,BAO_0000357
2464,,,,8,,,CHEMBL617352,,Expert,B,,1,,H,Binding affinity towards serotonin 5-hydroxytryptamine 2A receptor,,,107,BAO_0000357
2465,,,,8,,,CHEMBL617353,,Autocuration,B,,1,,H,Evaluated for the binding affinity towards 5-hydroxytryptamine 2A receptor,,,107,BAO_0000357
2466,,,,8,,,CHEMBL617354,,Autocuration,B,,1,,H,Ability to displace [3H]-ketanserin from 5-hydroxytryptamine 2A receptor,,,107,BAO_0000357
2467,,,,8,,,CHEMBL617355,,Autocuration,B,,1,,H,Compound was evaluated for the affinity at 5-hydroxytryptamine 2A receptor,,,107,BAO_0000357
2468,449.0,,,8,,,CHEMBL617356,,Expert,B,,1,,H,In vitro binding affinity against 5-hydroxytryptamine 2A receptor in CHO cells,,CHO,107,BAO_0000219
2469,,,,8,,,CHEMBL617357,,Autocuration,B,,1,,H,Inhibition of ketanserin binding to 5-hydroxytryptamine 2A receptor,,,107,BAO_0000357
2470,,,,8,,,CHEMBL617358,,Autocuration,B,,1,,H,Binding affinity at 5-hydroxytryptamine 2A receptor,,,107,BAO_0000357
2471,,,,8,,,CHEMBL617359,,Expert,B,,1,,H,Binding affinity towards Serotonin 5-hydroxytryptamine 2A receptor,,,107,BAO_0000357
2472,,,,8,,,CHEMBL617360,,Autocuration,B,,1,,H,In vitro binding affinity towards 5-hydroxytryptamine 2A receptor was determined,,,107,BAO_0000357
2473,,,,8,,,CHEMBL875913,,Autocuration,B,,1,,H,The binding affinity towards 5-hydroxytryptamine 2A receptor; No affinity,,,107,BAO_0000357
2474,,,,8,,,CHEMBL617361,,Autocuration,B,,1,,H,Affinity against 5-hydroxytryptamine 2A receptor,,,107,BAO_0000357
2475,,,,9,,,CHEMBL617362,,Expert,B,,1,,D,Binding affinity against 5-Hydroxytryptamine 2A receptor,,,107,BAO_0000357
2476,,,,8,,,CHEMBL617363,,Autocuration,B,,1,,H,Compound was evaluated for binding affinity against 5-hydroxytryptamine 2A receptor using radioligand binding assay,,,107,BAO_0000357
2477,,,,8,,,CHEMBL617364,,Autocuration,B,,1,,H,Tested against 5-hydroxytryptamine 2A receptor,,,107,BAO_0000357
2478,,,,4,,,CHEMBL617365,,Autocuration,B,,1,,H,Binding affinity against the site labelled by the 5-hydroxytryptamine 2A receptor - 5-hydroxytryptamine 2C receptor antagonist [3H]- ketanserin,,,105075,BAO_0000224
