assays_assay_id,assays_assay_organism,assays_confidence_score,assays_assay_type,assays_assay_cell_type,assays_src_id,assays_description,assays_tid,assays_assay_tax_id,assays_assay_subcellular_fraction,assays_variant_id,assays_chembl_id,assays_doc_id,assays_tissue_id,assays_cell_id,assays_src_assay_id,assays_assay_tissue,assays_relationship_type,assays_curated_by,assays_bao_format
702,Rattus norvegicus,0,F,,1,Effective dose for half-maximal decrease in the accumulation of 5-hydroxytryptophan (5-HTP) in reserpinized rat brain limbic area by sc administration,22226,10116.0,,,CHEMBL616285,12058,,,,,U,Autocuration,BAO_0000218
703,Rattus norvegicus,0,F,,1,Effective dose for half-maximal decrease in the accumulation of 5-hydroxytryptophan (5-HTP) in reserpinized rat brain limbic area by sc administration; Inactive,22226,10116.0,,,CHEMBL616286,12058,,,,,U,Autocuration,BAO_0000218
704,Rattus norvegicus,0,F,,1,Effective dose for half-maximal decrease in the accumulation of 5-hydroxytryptophan (5-HTP) in reserpinized rat brain limbic area by sc administration; partial response at the highest dose tested,22226,10116.0,,,CHEMBL616287,12058,,,,,U,Autocuration,BAO_0000218
705,Rattus norvegicus,0,F,,1,Effective dose for half-maximal decrease in the accumulation of 5-hydroxytryptophan (5-HTP) in reserpinized rat brain striatal area by po administration,22226,10116.0,,,CHEMBL616288,12058,,,,,U,Autocuration,BAO_0000218
706,Rattus norvegicus,0,F,,1,Effective dose for half-maximal decrease in the accumulation of 5-hydroxytryptophan (5-HTP) in reserpinized rat brain striatal area by po administration; Inactive,22226,10116.0,,,CHEMBL616289,12058,,,,,U,Autocuration,BAO_0000218
707,Rattus norvegicus,0,F,,1,Effective dose for half-maximal decrease in the accumulation of 5-hydroxytryptophan (5-HTP) in reserpinized rat brain striatal area by po administration; Partial response at the highest dose tested,22226,10116.0,,,CHEMBL615610,12058,,,,,U,Autocuration,BAO_0000218
708,Rattus norvegicus,0,F,,1,Effective dose for half-maximal decrease in the accumulation of 5-hydroxytryptophan (5-HTP) in reserpinized rat brain striatal area by sc administration,22226,10116.0,,,CHEMBL615611,12058,,,,,U,Autocuration,BAO_0000218
709,Rattus norvegicus,0,F,,1,Effective dose for half-maximal decrease in the accumulation of 5-hydroxytryptophan (5-HTP) in reserpinized rat brain striatal area by sc administration; Inactive,22226,10116.0,,,CHEMBL615612,12058,,,,,U,Autocuration,BAO_0000218
710,Rattus norvegicus,0,F,,1,Effective dose for half-maximal decrease in the accumulation of 5-hydroxytryptophan (5-HTP) in reserpinized rat brain striatal area by sc administration; Partial response at the highest dose tested,22226,10116.0,,,CHEMBL615613,12058,,,,,U,Autocuration,BAO_0000218
711,Rattus norvegicus,0,F,,1,Effective dose for half-maximal decrease in the accumulation of 5-hydroxytryptophan (5-HTP) in reserpinized rat brain striatal area by sc administration; partial response at the highest dose tested,22226,10116.0,,,CHEMBL615614,12058,,,,,U,Autocuration,BAO_0000218
712,Rattus norvegicus,0,F,,1,Effective dose for half-maximal decrease in the accumulation of 5-hydroxytryptophan (5-HTP) in reserpinized rat brain hemispheral area by po administration,22226,10116.0,,,CHEMBL615615,12058,,,,,U,Autocuration,BAO_0000218
713,,4,B,,1,Affinity in displacing [125I](R)-DOI from rat cortical homogenate 5-HT2 receptor.,105093,,,,CHEMBL615616,11440,,,,,H,Autocuration,BAO_0000019
714,,8,B,,1,Binding affinity towards 5-HT 7 receptor in rat hypothalamus membranes using [3H]5-CT as radioligand,11923,,,,CHEMBL615617,6238,1898.0,,,Hypothalamus,H,Autocuration,BAO_0000249
715,,8,B,,1,Inhibitory activity against 5-HT1B receptor of rat striatal membrane homogenate using [3H]5-HT as the radioligand; nd is No Data,10577,,,,CHEMBL615618,10046,,,,,H,Autocuration,BAO_0000019
716,,8,B,,1,Inhibitory activity against 5-hydroxytryptamine 1B receptor of rat striatal membrane homogenate using [3H]5-HT as the radioligand; nd is No Data.,10577,,,,CHEMBL615619,10046,,,,,H,Autocuration,BAO_0000019
717,,8,B,,1,Inhibitory activity against 5-hydroxytryptamine 1B receptor of rat striatal membrane homogenate using [3H]5-HT as the radioligand.,10577,,,,CHEMBL615620,10046,,,,,H,Expert,BAO_0000019
718,,8,B,,1,"Inhibitory activity against human whole blood, LTB4 5-lipoxygenase was evaluated",55,,,,CHEMBL615621,167,,,,,H,Autocuration,BAO_0000357
719,,8,B,,1,"Inhibitory activity against intact human PMNL, LTB4 5-lipoxygenase was evaluated",55,,,,CHEMBL615622,167,,,,,H,Autocuration,BAO_0000357
720,,8,F,,1,Compound was evaluated for the inhibition of 5-LO (lipoxygenase),12166,,,,CHEMBL615623,11520,,,,,H,Autocuration,BAO_0000019
721,,8,F,,1,Compound was evaluated for the inhibition of 5-LO (5-lipoxygenase).,12166,,,,CHEMBL615624,11520,,,,,H,Autocuration,BAO_0000019
722,,8,F,,1,Compound was evaluated for the inhibition of 5-LO (5-lipoxygenase).,12166,,,,CHEMBL615625,11520,,,,,H,Autocuration,BAO_0000019
723,,8,F,,1,Compound was evaluated for the inhibition of 5-LO (5-lipoxygenase).,12166,,,,CHEMBL767045,11520,,,,,H,Autocuration,BAO_0000019
724,Cavia porcellus,8,F,,1,Inhibition of [14C]arachidonic acid conversion to 5-HETE by broken cell 5-LO isolated from guinea pig PMN,55,10141.0,,,CHEMBL615626,135,,,,,H,Autocuration,BAO_0000019
725,Cavia porcellus,8,F,,1,Inhibition of [14C]arachidonic acid conversion to 5-HETE by broken cell 5-LO isolated from guinea pig PMN; not active at the highest concentration (3 ug/mL) tested; No activity,55,10141.0,,,CHEMBL615627,135,,,,,H,Autocuration,BAO_0000019
726,Cavia porcellus,8,B,,1,The compound was tested for inhibitory activity against 5-Lipoxygenase in guinea pig polymorphonuclear leukocytes,55,10141.0,,,CHEMBL615628,11311,,,,,H,Autocuration,BAO_0000019
727,Cavia porcellus,8,B,,1,In vitro inhibitory activity against polymorphonuclear leukocyte 5-lipoxygenase using guinea pig supernatant at 10 uM,55,10141.0,,,CHEMBL615629,10193,,,,,H,Autocuration,BAO_0000357
728,Homo sapiens,9,B,,1,Inhibitory concentration against 5-lipoxygenase from human whole blood,55,9606.0,,,CHEMBL615630,12281,,,,,D,Expert,BAO_0000357
729,,8,B,,1,The compound was tested for inhibitory activity against 5-Lipoxygenase in human polymorphonuclear leukocytes[PMNS],55,,,,CHEMBL615631,11311,,,,,H,Autocuration,BAO_0000219
730,,8,F,,1,In vivo inhibition of 5-lipoxygenase (LTC4) in the mouse zymosan peritonitis assay at an oral dose of 30 mg/Kg,17087,,,,CHEMBL615632,12576,,,,,H,Autocuration,BAO_0000218
731,,8,B,,1,Inhibitory concentration against 5-lipoxygenase from mouse macrophage,17087,,,,CHEMBL615633,12281,,,,,H,Autocuration,BAO_0000357
732,,8,F,,1,In vivo inhibition of 5-lipoxygenase (LTC4) in the mouse zymosan peritonitis assay at an oral dose of 30 mg/Kg,17087,,,,CHEMBL615634,12576,,,,,H,Autocuration,BAO_0000218
733,Sus scrofa,8,B,,1,Inhibition of arachidonate 5-lipoxygenase purified from porcine leukocytes.,55,9823.0,,,CHEMBL615635,11089,,,,,H,Expert,BAO_0000019
734,,8,B,,1,In vitro inhibition of rat 5-Lipoxygenase,12166,,,,CHEMBL615636,11006,,,,,H,Expert,BAO_0000357
735,Rattus norvegicus,9,B,,1,Inhibitory activity against 5-Lipoxygenase,12166,10116.0,,,CHEMBL615637,11481,,,,,D,Expert,BAO_0000357
736,,8,B,RBL-1,1,Inhibitory activity against 5-lipoxygenase in rat basophilic leukemia cells,12166,,,,CHEMBL615638,10864,,702.0,,,H,Expert,BAO_0000219
737,,8,B,RBL-1,1,Inhibitory activity against 5-lipoxygenase (5-LO) in intact rat barophilic leukemia cells (RBL-1),12166,,,,CHEMBL615639,3595,,702.0,,,H,Autocuration,BAO_0000219
738,,8,B,RBL-1,1,The compound was tested for inhibitory activity against 5-Lipoxygenase in rat RBL-1,12166,,,,CHEMBL615640,11311,,702.0,,,H,Autocuration,BAO_0000219
739,,8,B,,1,The compound was tested for inhibitory activity against 5-Lipoxygenase in rat blood,12166,,,,CHEMBL615796,11311,,,,,H,Autocuration,BAO_0000019
740,,8,B,,1,The compound was tested for inhibitory activity against 5-Lipoxygenase receptor in rat polymorphonuclear leukocytes[PMNS],12166,,,,CHEMBL615845,11311,,,,,H,Autocuration,BAO_0000219
741,,8,B,,1,Compound was evaluated for the inhibition of 5-Lipoxygenase (5-LO) in vitro at 1 uM,12166,,,,CHEMBL615846,11006,,,,,H,Autocuration,BAO_0000357
742,,8,B,RBL-1,1,Inhibitory activity against 5-lipoxygenase (5-LO) using broken rat barophilic leukemia cells (RBL-1)at 10 uM,12166,,,,CHEMBL615847,3595,,702.0,,,H,Autocuration,BAO_0000219
743,,8,B,,1,The compound was tested for inhibition of isolated 5-Lipoxygenase,12166,,,,CHEMBL615848,11311,,,,,H,Autocuration,BAO_0000357
744,Rattus norvegicus,0,B,,1,Ratio of IC50 against 5-LO and COX,22226,10116.0,,,CHEMBL615849,11481,,,,,U,Autocuration,BAO_0000019
745,,8,B,,1,Compound was evaluated for the inhibition of 5-Lipoxygenase (5-LO) in vitro at 1 uM,12166,,,,CHEMBL615850,11006,,,,,H,Autocuration,BAO_0000357
746,,8,B,,1,Compound was evaluated for the inhibition of 5-Lipoxygenase (5-LO) in vitro at 1 uM; range is 20-35%,12166,,,,CHEMBL615851,11006,,,,,H,Autocuration,BAO_0000357
747,,8,B,,1,The compound was tested for inhibition against 5-Lipoxygenase in rat polymorphonuclear leukocytes at 10 uM concentration,12166,,,,CHEMBL615852,11311,,,,,H,Autocuration,BAO_0000219
748,,8,F,,1,Compound was evaluated for the inhibition of 5-Lipoxygenase (5-LO) ex vivo,12166,,,,CHEMBL615853,11006,,,,,H,Autocuration,BAO_0000019
749,,8,B,,1,Compound was tested for the inhibition of type 2 5-alpha-reductase of human prostates,120,,,,CHEMBL884527,4288,2367.0,,,Prostate gland,H,Autocuration,BAO_0000357
750,Columba livia,0,B,,1,Percent inhibition was measured against 5-amino-4-imidazolecarboxamide ribotide transformylase(pigeon liver) enzyme at 10E-4 M inhibitory concentration,22226,8932.0,,,CHEMBL872871,7587,,,,,U,Autocuration,BAO_0000019
751,Columba livia,0,B,,1,Percent inhibition was measured against 5-amino-4-imidazolecarboxamide ribotide transformylase(pigeon liver) enzyme at 10E-5 M inhibitory concentration,22226,8932.0,,,CHEMBL615854,7587,,,,,U,Autocuration,BAO_0000019
752,Columba livia,0,B,,1,Percent inhibition was measured against 5-amino-4-imidazolecarboxamide ribotide transformylase(pigeon liver) enzyme.,22226,8932.0,,,CHEMBL767046,7587,,,,,U,Autocuration,BAO_0000019
753,,8,B,,1,Compound was evaluated for the inhibition of 5-aminoimidazole-4-carboxamide ribonucleotide transformylase obtained from human at 100 uM,10732,,,,CHEMBL615855,11249,,,,,H,Autocuration,BAO_0000357
754,Rattus norvegicus,9,F,,1,Effect on synaptosomal uptake inhibition of 5-hydroxytryptamine (5-HT); NT = Not Tested,12198,10116.0,,,CHEMBL615856,8003,,,,,D,Expert,BAO_0000019
755,Rattus norvegicus,9,F,,1,Effect on synaptosomal uptake inhibition of 5-hydroxytryptamine (5-HT),12198,10116.0,,,CHEMBL615857,8003,,,,,D,Expert,BAO_0000019
756,Rattus norvegicus,9,F,,1,Effect on synaptosomal uptake inhibition of 5-hydroxytryptamine (5-HT),12198,10116.0,,,CHEMBL615858,8003,,,,,D,Expert,BAO_0000019
757,,8,B,,1,In vitro affinity towards 5-hydroxytryptamine 1A receptor using [3H]8-OH-DPAT as radioligand in hippocampus,10576,,,,CHEMBL615859,12416,10000000.0,,,Hippocampus,H,Expert,BAO_0000221
758,,8,B,,1,Binding affinity towards human 5-hydroxytryptamine 1 receptor,51,,,,CHEMBL615860,16293,,,,,H,Autocuration,BAO_0000357
759,Oryctolagus cuniculus,0,B,,1,Intrinsic activity against 5-hydroxytryptamine 1 receptor using rabbit saphenous vein assay.,22226,9986.0,,,CHEMBL615861,13047,,,,,U,Autocuration,BAO_0000019
760,Oryctolagus cuniculus,0,B,,1,Binding affinity against 5-hydroxytryptamine 1 receptor using rabbit saphenous vein assay.,22226,9986.0,,,CHEMBL615862,13047,,,,,U,Autocuration,BAO_0000019
761,Oryctolagus cuniculus,0,B,,1,Binding affinity against 5-hydroxytryptamine 1D receptor using rabbit saphenous vein assay.,22226,9986.0,,,CHEMBL615863,13047,,,,,U,Autocuration,BAO_0000019
762,Oryctolagus cuniculus,0,B,,1,Binding affinity against 5-hydroxytryptamine 4 receptor using rabbit saphenous vein assay.,22226,9986.0,,,CHEMBL615864,13047,,,,,U,Autocuration,BAO_0000019
763,,4,B,,1,Ability to bind at 5-hydroxytryptamine 1 receptor of rat hippocampus by displacing [3H]5-HT,104744,,,,CHEMBL615865,10085,10000000.0,,,Hippocampus,H,Autocuration,BAO_0000221
764,,4,B,,1,Ability to bind at 5-hydroxytryptamine 1 receptor of rat hippocampus by displacing [3H]5-HT,104744,,,,CHEMBL615866,10085,10000000.0,,,Hippocampus,H,Autocuration,BAO_0000221
765,,4,B,,1,Ability to bind at serotonin 5-hydroxytryptamine 1 receptor of rat hippocampus by displacing [3H]5-HT,104744,,,,CHEMBL615867,10085,10000000.0,,,Hippocampus,H,Autocuration,BAO_0000221
766,,4,B,,1,Ability to inhibit binding of titreated serotonin to the 5-hydroxytryptamine 1 receptor in rat brain frontal cortex membranes,104744,,Membranes,,CHEMBL615868,9841,,,,,H,Autocuration,BAO_0000249
767,Rattus norvegicus,5,B,,1,Binding affinity towards 5-hydroxytryptamine 1 receptor in brain cortical membranes of rat,104744,10116.0,,,CHEMBL615869,8822,,,,,D,Autocuration,BAO_0000249
768,Rattus norvegicus,5,B,,1,Binding affinity towards 5-hydroxytryptamine 1 receptor in rat frontal cortex homogenates using [3H]5-HT as a radioligand,104744,10116.0,,,CHEMBL615870,9806,,,,,D,Autocuration,BAO_0000019
769,Rattus norvegicus,5,B,,1,Binding affinity towards 5-hydroxytryptamine 1 receptor using [3H]5-HT as a radioligand from rat frontal cortex homogenates,104744,10116.0,,,CHEMBL615871,9806,,,,,D,Autocuration,BAO_0000019
770,,4,B,,1,Binding affinity towards 5-hydroxytryptamine 1 receptor was measured using radioligand ([3H]5-HT) binding assay,104744,,,,CHEMBL615872,8868,,,,,H,Autocuration,BAO_0000224
771,,4,B,,1,Binding affinity towards hippocampus 5-hydroxytryptamine 1 receptor was measured using radioligand [3H]5-HT,104744,,,,CHEMBL833492,9036,10000000.0,,,Hippocampus,H,Autocuration,BAO_0000221
772,,4,B,,1,Compound was evaluated for the inhibition of [3H]5-HT (concentration of 12 nM) specific binding to rat hippocampus,104744,,,,CHEMBL615873,11374,10000000.0,,,Hippocampus,H,Autocuration,BAO_0000221
773,,4,B,,1,Inhibitory activity against 5-hydroxytryptamine 1 receptor by 3H ligand binding experiments.,104744,,,,CHEMBL615479,10881,,,,,H,Autocuration,BAO_0000224
774,,4,B,,1,Tested for its binding affinity towards 5-hydroxytryptamine 1 receptor in rat,104744,,,,CHEMBL615480,8822,,,,,H,Autocuration,BAO_0000019
775,Rattus norvegicus,5,B,,1,Tested for its binding affinity towards 5-hydroxytryptamine 1 receptor in rat cortical membrane homogenates using radioligand ([3H]5-HT) binding assay.,104744,10116.0,,,CHEMBL615481,9806,,,,,D,Autocuration,BAO_0000249
776,,4,B,,1,Compound at 1 uM was tested for the inhibition of radioligand [3H]5-HT binding to 5-hydroxytryptamine 1 receptor in rat cerebral cortex,104744,,,,CHEMBL872869,15463,,,,,H,Autocuration,BAO_0000019
777,,4,B,,1,Compound at 1 uM was tested for the inhibition of radioligand [3H]5-HT binding to 5-hydroxytryptamine 1 receptor in rat cerebral cortex,104744,,,,CHEMBL615482,15463,,,,,H,Autocuration,BAO_0000019
778,,4,B,,1,Compound is evaluated for binding affinity towards 5-hydroxytryptamine 1 receptor using [3H]5-HT in rat brain cortex at 10 uM,104744,,,,CHEMBL615483,14542,955.0,,,Brain,H,Autocuration,BAO_0000221
779,,4,B,,1,Compound is evaluated for binding affinity towards 5-hydroxytryptamine 1 receptor using [3H]5-HT in rat brain cortex at 10 uM,104744,,,,CHEMBL615484,14542,955.0,,,Brain,H,Autocuration,BAO_0000221
780,,4,B,,1,Percent inhibition of 5-hydroxytryptamine 1 receptor from rat cortex membrane using [3H]- serotonin as radioligand at 33 uM,104744,,,,CHEMBL615485,8569,,,,,H,Autocuration,BAO_0000019
781,Rattus norvegicus,5,B,,1,Inhibition of [3H]5-HT radioligand binding against 5-hydroxytryptamine 1 receptor,104744,10116.0,,,CHEMBL615486,10062,,,,,D,Autocuration,BAO_0000224
782,,4,B,,1,Ancillary Binding affinity towards rat 5-hydroxytryptamine 1 receptor,104744,,,,CHEMBL615487,4771,,,,,H,Autocuration,BAO_0000224
783,,4,B,,1,Binding affinity determined in radioreceptor binding assay by using [3H]5-HT radioligand against 5-hydroxytryptamine 1 receptor,104744,,,,CHEMBL615488,10062,,,,,H,Autocuration,BAO_0000224
784,,4,B,,1,Binding affinity in radioreceptor binding assay by using [3H]5-HT radioligand against 5-hydroxytryptamine 1 receptor,104744,,,,CHEMBL615489,10062,,,,,H,Autocuration,BAO_0000224
785,,4,B,,1,Binding affinity in radioreceptor binding assay by using [3H]5-HT radioligand against 5-hydroxytryptamine 1 receptor,104744,,,,CHEMBL615389,10062,,,,,H,Autocuration,BAO_0000224
786,,4,B,,1,Binding affinity towards 5-hydroxytryptamine 1 receptor was determined in rat cerebral cortex using [3H]5-HT as radioligand,104744,,,,CHEMBL615390,15463,,,,,H,Autocuration,BAO_0000019
787,,4,B,,1,Binding affinity towards central 5-hydroxytryptamine 1 receptor was determined in rat cerebral cortex using [3H]5-HT as radioligand,104744,,,,CHEMBL615391,15463,,,,,H,Autocuration,BAO_0000019
788,,4,B,,1,Binding affinity towards 5-hydroxytryptamine 1 receptor was determined,104744,,,,CHEMBL615392,9098,,,,,H,Autocuration,BAO_0000224
789,Rattus norvegicus,0,B,,1,Affinity for 5-hydroxytryptamine 1 receptor,22226,10116.0,,,CHEMBL615393,3070,,,,,U,Autocuration,BAO_0000019
790,,4,B,,1,Compound is evaluated for binding affinity towards 5-hydroxytryptamine 1 receptor using [3H]5-HT in rat brain cortex,104744,,,,CHEMBL615394,14542,955.0,,,Brain,H,Autocuration,BAO_0000221
791,,4,B,,1,Compound is evaluated for binding affinity towards 5-hydroxytryptamine 1 receptor using [3H]5-HT in rat brain cortex at 10 uM,104744,,,,CHEMBL615395,14542,955.0,,,Brain,H,Autocuration,BAO_0000221
792,,4,B,,1,Compound was evaluated for 5-hydroxytryptamine 1 receptor binding,104744,,,,CHEMBL615396,6398,,,,,H,Autocuration,BAO_0000224
793,,4,B,,1,Compound was evaluated for its binding affinity to 5-hydroxytryptamine 1 receptor in rat brain using [3H]HT radioligand assay,104744,,,,CHEMBL615397,1344,955.0,,,Brain,H,Autocuration,BAO_0000221
794,,4,B,,1,Displacement of binding of [3H]5-HT to 5-hydroxytryptamine 1 receptor in rat cerebral cortex,104744,,,,CHEMBL615398,11963,,,,,H,Autocuration,BAO_0000019
795,Rattus norvegicus,0,B,,1,Displacement of [3H]spiperone from 5-hydroxytryptamine 1 receptor of rat cortex,22226,10116.0,,,CHEMBL615399,8908,,,,,U,Autocuration,BAO_0000019
796,,4,B,,1,Evaluated for binding affinity towards rat cortical membranes at 5-hydroxytryptamine 1 receptor binding site by using [3H]-5-HT as a radioligand.,104744,,,,CHEMBL615400,9098,,,,,H,Autocuration,BAO_0000019
797,Rattus norvegicus,5,B,,1,Binding affinity for 5-hydroxytryptamine 1 receptor of rat prefrontal cortex,104744,10116.0,,,CHEMBL615401,8841,,,,,D,Autocuration,BAO_0000019
798,Rattus norvegicus,0,B,,1,Displacement of [3H]5-HT from 5-hydroxytryptamine 1 receptor of rat cortical membrane homogenates,22226,10116.0,,,CHEMBL615402,8814,,,,,U,Autocuration,BAO_0000019
799,,4,B,,1,The ability to inhibit [3H]5-HT binding to 5-hydroxytryptamine 1 receptor in rat cortex,104744,,,,CHEMBL615403,11752,,,,,H,Autocuration,BAO_0000019
800,,4,B,,1,The binding affinity was measured on serotonin 5-hydroxytryptamine 1 receptor in rat brain tissue,104744,,,,CHEMBL615404,11642,955.0,,,Brain,H,Autocuration,BAO_0000221
801,,4,B,,1,The compound was tested for its binding affinity towards 5-hydroxytryptamine 1 receptor by displacing [3H]5-HT radioligand in rat cerebral cortex,104744,,,,CHEMBL615781,11642,,,,,H,Autocuration,BAO_0000019
802,,4,B,,1,Tested for 5-hydroxytryptamine 1 receptor binding ability by displacement of [3H]5-HT from rat brain synaptosomes,104744,,,,CHEMBL615782,9231,955.0,,,Brain,H,Autocuration,BAO_0000220
803,,4,B,,1,Inhibition constant (1 uM) was measured on 5-hydroxytryptamine 1 receptor/uptake using [3H]- serotonin as radioligand in rat brain cortex.,104744,,,,CHEMBL615783,11351,955.0,,,Brain,H,Autocuration,BAO_0000221
804,,0,B,,1,Compound was tested for binding affinity against 5-HT1 receptor,22226,,,,CHEMBL873481,4639,,,,,U,Autocuration,BAO_0000019
805,,0,B,,1,Inhibitory concentration against 5-hydroxytryptamine 1 receptor,22226,,,,CHEMBL615784,1205,,,,,U,Autocuration,BAO_0000019
806,,8,B,,1,Concentration necessary to achieve half maximal inhibition of [3H]8-Hydroxy-2-(di-n-propylamino)tetralin binding to 5-hydroxytryptamine 1A receptor at 1 uM,10576,,,,CHEMBL615785,10025,,,,,H,Expert,BAO_0000357
807,,8,F,,1,"Ability to inhibit 5-HT sensitive,forskolin-stimulated adenylyl cyclase(FSC) activity in rat hippocampal membranes mediated through 5-hydroxytryptamine 1A receptor",10576,,,,CHEMBL615786,13241,,,,,H,Autocuration,BAO_0000249
808,,8,F,,1,Agonistic activity (induction of forepaw treading in rats)on postsynaptic 5-hydroxytryptamine 1A receptor while iv administration,10576,,,,CHEMBL615787,16245,,,,,H,Autocuration,BAO_0000218
809,,8,F,,1,Agonistic activity (induction of forepaw treading in rats)on postsynaptic 5-hydroxytryptamine 1A receptor while subcutaneous administration,10576,,,,CHEMBL615788,16245,,,,,H,Autocuration,BAO_0000218
810,,8,F,,1,Inhibition of forskolin stimulated adenylate cyclase at 5-hydroxytryptamine 1A receptor,10576,,,,CHEMBL767044,12438,,,,,H,Autocuration,BAO_0000019
811,,8,F,,1,Agonistic activity (induction of forepaw treading in rats)on postsynaptic 5-hydroxytryptamine 1A receptor while iv administration,10576,,,,CHEMBL615789,16245,,,,,H,Autocuration,BAO_0000218
812,,8,F,,1,Agonistic activity (induction of forepaw treading in rats)on postsynaptic 5-hydroxytryptamine 1A receptor while subcutaneous administration,10576,,,,CHEMBL615790,16245,,,,,H,Autocuration,BAO_0000218
813,,8,F,,1,Evaluated for the 5-hydroxytryptamine 1A receptor agonist activity in LY-293284 trained rats,10576,,,,CHEMBL615813,15740,,,,,H,Autocuration,BAO_0000019
814,,8,F,,1,Percent of maximum response by 5-HT when tested for inhibition of vasoactive intestinal polypeptide-induced (VIP-induced) cAMP formation assessed in GH4ZD10 cells at 10 uM concentration,10576,,,,CHEMBL615814,15535,,,,,H,Autocuration,BAO_0000219
815,,8,F,,1,Percent inhibition of vasoactive intestinal polypeptide-induced (VIP-induced) cAMP formation in GH4ZD10 cells expressing 5-HT1A receptor at 50 uM relative to 5-HT,51,,,,CHEMBL615815,15535,,,,,H,Expert,BAO_0000219
816,,8,F,,1,Percent of maximum response by 5-HT when tested for inhibition of vasoactive intestinal polypeptide-induced (VIP-induced) cAMP formation assessed in GH4ZD10 cells at 50 uM concentration; No effect,10576,,,,CHEMBL615816,15535,,,,,H,Autocuration,BAO_0000219
817,,8,B,,1,Binding affinity at [3H]8-OH-DPAT-Labeled 5-hydroxytryptamine 1A receptor sites in rat brain hippocampal membranes expressed as Hill values,10576,,,,CHEMBL615817,9888,,,,,H,Expert,BAO_0000249
818,,8,B,,1,Ability to bind at 5-hydroxytryptamine 1A receptor of rat hippocampus by displacing [3H]8-OH-DPAT,10576,,,,CHEMBL615818,10085,10000000.0,,,Hippocampus,H,Autocuration,BAO_0000221
819,,8,B,,1,Ability to bind at serotonin 5-hydroxytryptamine 1A receptors of rat hippocampus by displacing [3H]8-OH-DPAT,10576,,,,CHEMBL615819,10085,10000000.0,,,Hippocampus,H,Autocuration,BAO_0000221
820,,8,B,,1,Binding affinity against 5-hydroxytryptamine 1A receptor (5-HT1A) by displacement of [3H]8-OH-DPAT from rat hippocampus membranes,10576,,Membranes,,CHEMBL615820,17331,,,,,H,Expert,BAO_0000249
821,Rattus norvegicus,9,B,,1,Binding affinity against 5-hydroxytryptamine 1A receptor of rat hippocampal tissue with [3H]8-OH-DPAT,10576,10116.0,,,CHEMBL615821,10845,10000000.0,,,Hippocampus,D,Expert,BAO_0000221
822,Rattus norvegicus,9,B,,1,Binding affinity against 5-hydroxytryptamine 1A receptor of rat hippocampal tissue with [3H]5-HT,10576,10116.0,,,CHEMBL615822,10845,10000000.0,,,Hippocampus,D,Expert,BAO_0000221
823,,8,B,,1,Binding affinity against 5-hydroxytryptamine 1A receptor using in rat hippocampal tissue using [3H]8-OH-DPAT as radioligand,10576,,,,CHEMBL615823,10845,10000000.0,,,Hippocampus,H,Expert,BAO_0000221
824,Rattus norvegicus,9,B,,1,Displacement of [3H]8-OH-DPAT from rat hippocampal 5-hydroxytryptamine 1A receptor; IA-Inactive,10576,10116.0,,,CHEMBL615824,10845,10000000.0,,,Hippocampus,D,Expert,BAO_0000221
825,Rattus norvegicus,9,B,,1,Binding affinity against 5-hydroxytryptamine 1A receptor of rat hippocampal tissue with [3H]5-HT,10576,10116.0,,,CHEMBL615825,10845,10000000.0,,,Hippocampus,D,Expert,BAO_0000221
826,,8,B,,1,Binding affinity towards rat 5-hydroxytryptamine 1A receptor was evaluated using [3H]8-OH-DPAT as radioligand,10576,,,,CHEMBL615826,13730,,,,,H,Expert,BAO_0000357
827,,8,B,,1,Binding affinity against 5-hydroxytryptamine 1A receptor in rat hippocampus membranes using [3H]8-OH-DPAT as radioligand,10576,,,,CHEMBL615827,13508,,,,,H,Expert,BAO_0000249
828,,8,B,,1,Binding affinity against serotonin 5-hydroxytryptamine 1A receptor in rat hippocampus membrane using [3H]8-OH-DPAT as radioligand,10576,,,,CHEMBL615828,13508,10000000.0,,,Hippocampus,H,Expert,BAO_0000249
829,,8,B,,1,Binding affinity by measuring displacement of [3H]-8-OH-DPAT from 5-hydroxytryptamine 1A receptor in rat hippocampus,10576,,,,CHEMBL615829,12073,10000000.0,,,Hippocampus,H,Expert,BAO_0000221
830,,8,B,,1,Binding affinity to 5-hydroxytryptamine 1A receptor of rat hippocampus with [3H]8-OH-DPAT as radioligand,10576,,,,CHEMBL615830,4671,10000000.0,,,Hippocampus,H,Autocuration,BAO_0000221
831,,8,B,,1,Binding affinity towards serotonin 5-HT1A receptor was determined in rat hippocampus using [3H]8-OH-DPAT as ligand,10576,,,,CHEMBL615831,13631,10000000.0,,,Hippocampus,H,Expert,BAO_0000221
832,,8,B,,1,Binding affinity was measured against serotonin 5-hydroxytryptamine 1A receptor,10576,,,,CHEMBL615832,12438,,,,,H,Autocuration,BAO_0000357
833,,8,B,,1,Binding affinity to 5-hydroxytryptamine 1A receptor in rat cortex using [3H]-8-OH- DPAT as radioligand,10576,,,,CHEMBL615833,10483,,,,,H,Autocuration,BAO_0000019
834,,8,B,,1,Binding affinity to 5-hydroxytryptamine 1A receptor in rat hippocampus using [3H]-8-OH- DPAT as radioligand,10576,,,,CHEMBL615834,10483,10000000.0,,,Hippocampus,H,Autocuration,BAO_0000221
835,,8,B,,1,Binding affinity against 5-hydroxytryptamine 1A (5-HT1A) receptor in rat hippocampus membranes,10576,,,,CHEMBL615835,12352,,,,,H,Intermediate,BAO_0000249
